civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN2010-ZUMKVG,2010,182,VIDHANSABHA,922706,-4.66,708176,678784,42.03,0.631,0.585,1,2,4,0,15.9,3.31,81.4,18,0
PLAN2008-EGE5EK,2008,468,VIDHANSABHA,1640890,-1.41,1029834,1016289,41.4,0.528,0.498,1,1,4,0,59.8,-10.62,4.0,14,0
PLAN2024-J2X707,2024,248,MUNICIPAL_WARD,2056121,2.2,1328435,1246030,5.52,0.648,0.172,1,1,5,0,78.2,4.71,98.1,20,0
PLAN2013-JFY4W8,2013,161,PANCHAYAT_WARD,1225361,-0.61,917439,854596,24.45,0.12,0.387,1,2,0,0,87.6,6.8,94.2,19,0
PLAN2012-8VYDWO,2012,51,VIDHANSABHA,145879,-2.97,96054,88528,9.94,0.539,0.126,0,1,1,0,37.0,3.38,49.9,16,0
PLAN2023-06ZXUN,2023,26,VIDHANSABHA,896811,-2.43,580400,538812,43.46,0.107,0.409,1,2,5,0,31.8,0.75,47.4,19,0
PLAN2011-HMIE89,2011,371,PANCHAYAT_WARD,971034,-3.21,603063,589853,8.64,0.244,0.707,1,1,1,1,30.2,-0.62,9.4,17,1
PLAN2013-9GNCTI,2013,183,MUNICIPAL_WARD,1232408,-4.46,777707,758502,39.23,0.411,0.22,1,1,2,0,43.7,-8.18,70.8,16,0
PLAN2022-88BYCZ,2022,144,MUNICIPAL_WARD,2162674,3.51,1654331,1561456,36.34,0.307,0.641,1,3,8,0,26.5,-5.88,0.2,20,0
PLAN2021-4TONZN,2021,146,PANCHAYAT_WARD,983303,-3.34,669228,639853,25.9,0.215,0.275,1,2,3,0,26.1,-1.01,83.5,23,0
PLAN2013-2OYYR2,2013,461,PANCHAYAT_WARD,2063312,6.2,1467462,1405984,17.2,0.457,0.692,1,0,1,0,50.8,9.17,52.7,16,0
PLAN2012-V62J16,2012,241,MUNICIPAL_WARD,1261481,-4.66,957418,908026,39.8,0.361,0.417,1,0,0,1,86.6,2.58,86.2,20,0
PLAN2020-8MINQ4,2020,141,PANCHAYAT_WARD,2313270,3.72,1665690,1581353,5.69,0.417,0.692,0,1,1,1,77.3,-11.87,89.2,15,0
PLAN2020-N01N3P,2020,82,MUNICIPAL_WARD,2375193,-3.44,1542088,1512076,13.2,0.559,0.311,0,1,2,0,23.2,-1.12,97.4,11,0
PLAN2013-EGKAZA,2013,34,MUNICIPAL_WARD,1965146,2.4,1520988,1458514,4.92,0.205,0.76,0,1,1,1,74.7,-9.86,6.6,18,0
PLAN2022-777LDM,2022,536,PANCHAYAT_WARD,1428658,5.16,1066638,1022766,36.2,0.107,0.241,1,0,0,0,83.7,14.43,65.0,27,0
PLAN2025-VL7UO4,2025,510,VIDHANSABHA,2381663,-6.39,1797329,1665072,4.13,0.514,0.66,1,2,2,0,44.8,-11.95,75.7,19,0
PLAN2012-E7A5JI,2012,16,LOKSABHA,1154315,4.93,872777,829476,6.67,0.284,0.632,1,2,3,0,51.6,-13.7,11.8,12,0
PLAN2017-JN7K98,2017,183,VIDHANSABHA,725672,-2.96,501643,491494,34.99,0.58,0.793,0,1,5,0,79.6,-12.89,85.2,25,0
PLAN2019-I673KL,2019,396,MUNICIPAL_WARD,1476686,0.44,1088061,1037535,19.21,0.174,0.266,1,3,5,1,56.9,-1.14,79.1,22,0
PLAN2010-H3QOXQ,2010,314,LOKSABHA,993701,4.42,633005,626632,28.08,0.562,0.291,1,0,1,0,24.7,5.73,65.4,19,1
PLAN2018-8YATYE,2018,356,MUNICIPAL_WARD,364262,-4.83,245938,240411,17.1,0.405,0.577,1,1,4,1,12.9,11.24,79.2,18,0
PLAN2022-7FENTD,2022,328,MUNICIPAL_WARD,699150,2.71,500170,488634,25.36,0.086,0.281,1,2,1,1,24.8,-2.7,27.0,26,0
PLAN2011-LH3X0G,2011,26,PANCHAYAT_WARD,586338,-1.52,385951,364487,15.38,0.465,0.396,1,1,2,0,15.4,7.57,30.0,17,1
PLAN2020-J4XYBR,2020,10,VIDHANSABHA,893440,-1.82,655908,631434,15.97,0.429,0.102,1,1,3,1,50.9,-1.26,84.7,16,0
PLAN2009-57YYOM,2009,277,VIDHANSABHA,2156846,5.26,1426075,1328526,8.94,0.143,0.709,1,2,2,1,81.6,-3.12,98.7,12,0
PLAN2009-IQQUOL,2009,348,VIDHANSABHA,2041178,-2.16,1582731,1565051,18.24,0.524,0.289,1,2,2,0,76.8,13.11,2.6,12,0
PLAN2025-HAKC37,2025,228,MUNICIPAL_WARD,1365835,4.54,959245,896925,11.24,0.08,0.272,1,2,3,0,45.9,-3.47,89.0,22,0
PLAN2022-337C7N,2022,77,LOKSABHA,2172159,-4.3,1659039,1609974,9.89,0.414,0.428,1,1,3,1,61.7,-7.7,34.1,15,0
PLAN2015-B7RY0C,2015,507,VIDHANSABHA,1388237,-4.48,926529,905099,17.04,0.057,0.556,1,0,0,1,57.8,-12.11,5.0,18,1
PLAN2016-LX8EAK,2016,353,LOKSABHA,1860677,1.32,1168268,1150681,5.29,0.18,0.403,1,1,3,0,26.8,-14.57,84.3,16,0
PLAN2021-1HO3YR,2021,140,VIDHANSABHA,1773657,-3.45,1254321,1198587,14.34,0.144,0.345,1,1,2,1,92.8,5.07,88.8,11,0
PLAN2014-6HHWMF,2014,52,PANCHAYAT_WARD,2212355,-5.53,1532283,1481144,24.7,0.18,0.747,1,1,3,0,74.7,9.19,73.4,17,1
PLAN2020-GZVG04,2020,464,VIDHANSABHA,2017974,-2.83,1310227,1215674,29.18,0.158,0.363,1,0,3,0,34.3,-3.92,97.0,14,0
PLAN2009-MZ8M6X,2009,118,VIDHANSABHA,710387,1.09,518445,506851,15.57,0.574,0.783,1,2,2,1,39.2,-10.86,38.3,16,0
PLAN2022-6FFY3I,2022,313,VIDHANSABHA,1973257,-2.55,1427102,1333979,25.22,0.112,0.13,1,3,1,1,38.8,11.22,57.8,11,0
PLAN2014-6VGK4Y,2014,224,VIDHANSABHA,1021790,2.45,694890,647815,28.24,0.136,0.607,1,0,3,0,75.9,-2.96,7.6,20,1
PLAN2015-2IIPS8,2015,369,PANCHAYAT_WARD,1609124,-1.45,1219075,1178246,23.6,0.23,0.632,1,1,3,1,87.2,-5.79,44.6,16,0
PLAN2015-O6TQSO,2015,479,PANCHAYAT_WARD,1313978,5.96,968281,947042,30.5,0.542,0.788,1,2,3,0,17.5,-8.35,15.4,21,1
PLAN2024-2ESF4N,2024,467,LOKSABHA,2105427,5.01,1356198,1254038,7.54,0.633,0.162,1,2,0,1,60.0,-1.96,32.3,24,0
PLAN2008-AEOM43,2008,157,VIDHANSABHA,1554833,-5.17,1157994,1117318,19.27,0.101,0.522,1,1,2,1,65.8,12.36,33.4,14,0
PLAN2012-6UU8Z8,2012,75,PANCHAYAT_WARD,692202,-0.93,474850,451653,33.7,0.38,0.302,1,2,4,0,50.0,12.29,62.0,15,0
PLAN2024-X4PZJ4,2024,124,PANCHAYAT_WARD,1188105,-0.04,861718,840374,15.85,0.305,0.49,1,0,2,1,55.9,8.23,62.6,15,0
PLAN2016-RL1EH8,2016,105,VIDHANSABHA,1314364,-6.16,865817,808261,13.96,0.62,0.385,1,2,3,1,38.5,-13.71,67.3,23,0
PLAN2008-99FFZA,2008,362,LOKSABHA,896603,-5.55,628038,592332,14.56,0.153,0.31,1,1,2,1,64.1,6.67,30.6,21,0
PLAN2016-1K9M94,2016,161,VIDHANSABHA,872564,1.66,603892,587389,28.2,0.051,0.798,1,1,2,1,51.1,8.75,79.8,16,0
PLAN2012-ZXY4G8,2012,132,PANCHAYAT_WARD,689044,2.78,476108,466061,6.43,0.28,0.213,1,1,6,1,65.2,9.28,1.6,9,0
PLAN2018-CG59MN,2018,332,LOKSABHA,1434248,6.06,931427,867770,27.07,0.159,0.566,1,1,5,1,18.9,-12.37,74.8,19,0
PLAN2020-6I62R2,2020,408,LOKSABHA,1080793,3.07,690160,650852,22.24,0.449,0.392,1,1,3,1,70.6,3.3,35.3,22,0
PLAN2011-4EBO2J,2011,487,VIDHANSABHA,740169,4.91,540837,531623,28.46,0.53,0.719,1,2,3,0,26.4,-5.33,47.6,21,0
PLAN2015-AYIUKE,2015,306,MUNICIPAL_WARD,476252,2.11,364003,335769,7.57,0.464,0.341,1,0,2,1,77.3,8.43,69.7,21,0
PLAN2021-F5C1GX,2021,37,MUNICIPAL_WARD,1630384,-6.41,1240050,1161777,22.91,0.166,0.67,0,1,1,1,31.4,4.6,63.7,23,0
PLAN2018-XI3RNC,2018,90,MUNICIPAL_WARD,898468,-1.31,634981,598062,10.2,0.171,0.427,1,0,2,0,94.0,-12.39,43.3,24,0
PLAN2008-2BLU27,2008,74,LOKSABHA,160462,6.19,104089,96177,30.07,0.113,0.454,1,2,2,0,55.7,-7.39,38.8,19,0
PLAN2022-NPZCU7,2022,371,MUNICIPAL_WARD,1921539,5.21,1388385,1323965,4.76,0.367,0.54,1,0,3,1,39.7,-6.66,35.3,19,0
PLAN2021-LJUYUN,2021,45,VIDHANSABHA,934197,-6.4,681584,637556,40.06,0.24,0.476,1,1,2,1,60.0,8.42,88.9,11,0
PLAN2019-VQR2C2,2019,435,VIDHANSABHA,1053137,0.58,743853,716141,44.3,0.07,0.43,1,3,4,1,19.5,2.75,38.4,11,0
PLAN2010-AG9XC5,2010,158,PANCHAYAT_WARD,895920,1.88,576786,537877,43.29,0.628,0.643,1,0,2,0,28.8,14.0,92.7,16,0
PLAN2016-D0DL7U,2016,312,PANCHAYAT_WARD,1947750,-5.81,1517207,1463852,21.72,0.545,0.604,1,0,7,0,90.7,9.99,63.5,18,0
PLAN2009-6WQUQB,2009,368,PANCHAYAT_WARD,476708,4.4,310589,296069,43.15,0.476,0.379,1,2,6,1,43.0,-3.54,20.2,10,0
PLAN2021-HFRRCV,2021,68,VIDHANSABHA,1264110,-5.16,820710,808800,35.9,0.603,0.723,1,1,5,0,28.3,-10.69,46.9,15,1
PLAN2014-EXYB8Z,2014,206,PANCHAYAT_WARD,900827,4.02,622250,609686,34.91,0.361,0.604,1,1,1,1,29.0,4.36,39.9,18,0
PLAN2020-XPIWHW,2020,347,MUNICIPAL_WARD,571354,-3.36,420149,405842,24.73,0.21,0.21,1,1,4,1,15.3,14.08,47.3,17,0
PLAN2022-HVWNLB,2022,91,MUNICIPAL_WARD,2367317,-5.1,1485341,1402628,27.31,0.551,0.23,1,1,0,0,32.2,0.15,11.6,20,0
PLAN2020-GEBEC4,2020,22,MUNICIPAL_WARD,1884306,5.04,1375512,1282550,31.25,0.142,0.323,1,1,6,1,16.6,-8.84,25.9,15,0
PLAN2018-RN9UQ7,2018,213,PANCHAYAT_WARD,2344495,4.32,1566193,1505506,30.67,0.387,0.166,1,0,0,0,35.3,5.6,38.4,18,0
PLAN2013-ABF8QL,2013,226,PANCHAYAT_WARD,1435665,-3.1,976448,932043,27.71,0.224,0.589,1,0,2,1,27.9,12.21,13.8,21,0
PLAN2025-RKQQL7,2025,286,PANCHAYAT_WARD,2318720,-1.1,1706232,1601627,28.44,0.383,0.469,1,1,4,0,72.8,0.69,89.6,25,0
PLAN2009-3NMYB4,2009,119,LOKSABHA,130427,-5.04,84440,78626,29.65,0.648,0.391,1,3,0,1,84.3,-0.57,0.2,22,0
PLAN2010-AILHHV,2010,66,PANCHAYAT_WARD,1317693,5.73,841653,797298,28.26,0.334,0.344,1,1,5,1,59.1,-9.24,25.6,19,0
PLAN2017-9UW8PD,2017,430,MUNICIPAL_WARD,2000007,5.77,1395715,1378632,4.09,0.37,0.258,1,1,1,0,83.0,6.08,76.9,12,0
PLAN2018-EZIHZV,2018,103,LOKSABHA,1383371,4.89,1006380,978655,12.3,0.342,0.663,1,0,5,0,85.7,-0.52,87.7,14,1
PLAN2021-GMFFOH,2021,50,MUNICIPAL_WARD,593820,-1.74,393277,384235,10.94,0.115,0.292,1,1,5,0,76.3,-13.05,59.3,21,0
PLAN2020-ICLKS4,2020,225,MUNICIPAL_WARD,1087782,-1.76,716816,663321,4.48,0.525,0.468,1,0,1,0,75.0,-4.0,28.8,17,0
PLAN2023-WMKXI9,2023,57,MUNICIPAL_WARD,1264557,1.26,794396,738996,42.76,0.056,0.242,1,1,0,1,84.2,-4.25,10.1,32,0
PLAN2020-57KHZ2,2020,292,MUNICIPAL_WARD,1619619,6.04,1026329,961384,37.76,0.287,0.433,1,1,6,0,78.7,11.54,0.5,27,0
PLAN2018-WO7V1I,2018,6,MUNICIPAL_WARD,2129880,2.62,1516867,1446390,25.53,0.093,0.468,1,1,3,1,28.7,8.82,79.1,16,0
PLAN2023-JQI55J,2023,525,VIDHANSABHA,1485811,6.31,1060833,1034014,26.66,0.397,0.438,1,0,2,1,70.6,-5.77,37.1,18,1
PLAN2019-FBLPVR,2019,49,VIDHANSABHA,601642,-4.89,437240,421700,32.32,0.31,0.368,1,2,3,1,52.8,-2.72,42.7,13,0
PLAN2021-9YT1S4,2021,123,MUNICIPAL_WARD,1022165,-4.59,656670,611511,18.71,0.111,0.728,1,1,2,1,25.7,1.67,87.1,26,1
PLAN2022-DF891Q,2022,417,LOKSABHA,740747,3.34,562014,541428,28.81,0.112,0.465,1,1,4,1,26.5,-6.38,68.1,21,0
PLAN2014-YERBL6,2014,90,MUNICIPAL_WARD,1073597,-2.66,794114,745778,4.06,0.208,0.212,1,1,1,0,48.0,14.71,35.2,19,0
PLAN2011-GW2NRV,2011,482,VIDHANSABHA,1671190,-1.94,1079587,1054611,6.09,0.399,0.635,1,1,7,1,23.9,-2.12,56.4,10,0
PLAN2020-BAKU4N,2020,217,LOKSABHA,846671,0.71,594704,577719,11.02,0.402,0.313,0,3,0,1,24.5,12.63,44.6,18,0
PLAN2008-FVU3F0,2008,115,MUNICIPAL_WARD,1644961,-5.85,1082786,1052427,35.9,0.531,0.501,1,0,4,1,52.4,9.64,31.6,9,0
PLAN2019-D2H5LO,2019,64,MUNICIPAL_WARD,2204343,0.84,1439135,1380859,7.22,0.12,0.181,0,0,1,0,19.5,13.08,52.6,17,0
PLAN2008-TVGUW4,2008,460,LOKSABHA,2160679,0.79,1644898,1529222,37.69,0.448,0.523,1,0,2,0,47.6,14.79,43.1,18,0
PLAN2019-TP37V7,2019,169,MUNICIPAL_WARD,903608,5.53,570129,546680,32.77,0.592,0.437,1,0,2,0,66.5,-0.5,18.2,15,0
PLAN2023-ZTGZOH,2023,357,LOKSABHA,1584631,4.41,990672,957857,14.65,0.347,0.238,1,0,2,0,46.9,-0.56,65.9,17,0
PLAN2021-ITN5KG,2021,512,PANCHAYAT_WARD,1325599,-0.14,875901,827357,36.7,0.072,0.747,1,1,5,0,88.6,-14.08,88.1,18,0
PLAN2012-FYE4HQ,2012,525,VIDHANSABHA,1354413,-4.74,1009173,945951,40.43,0.483,0.602,1,1,3,1,33.3,-13.41,78.7,16,0
PLAN2010-JHDKXZ,2010,428,PANCHAYAT_WARD,1839803,0.77,1144405,1073445,39.73,0.314,0.545,1,3,1,1,35.6,-11.3,62.7,16,0
PLAN2013-SY2O33,2013,478,LOKSABHA,750925,4.3,492899,471251,9.53,0.623,0.461,1,1,3,0,84.8,9.71,1.5,27,0
PLAN2021-T68LZF,2021,437,MUNICIPAL_WARD,2095093,4.62,1462750,1401590,20.16,0.617,0.792,1,3,4,0,94.7,-9.34,81.4,17,0
PLAN2012-NUB5XX,2012,400,PANCHAYAT_WARD,2276381,3.58,1604826,1481976,24.45,0.142,0.403,1,0,0,1,58.7,-10.21,91.8,24,0
PLAN2016-PKQGBH,2016,127,MUNICIPAL_WARD,937677,-4.11,617568,596457,31.55,0.094,0.556,0,3,3,1,23.1,2.78,98.7,21,0
PLAN2013-CI248F,2013,181,MUNICIPAL_WARD,2320173,4.09,1638298,1531922,12.0,0.474,0.298,0,1,3,1,58.5,-9.93,64.9,21,0
PLAN2009-PMQM57,2009,81,VIDHANSABHA,2106893,2.05,1396216,1324624,36.06,0.426,0.77,1,1,1,0,11.4,-10.85,45.3,24,0
PLAN2015-HE9WIE,2015,37,VIDHANSABHA,406813,0.08,278810,274916,14.6,0.55,0.461,1,0,5,0,71.8,4.7,44.5,20,0
PLAN2015-LUDHAA,2015,360,VIDHANSABHA,1613371,-1.86,1063509,1014636,42.38,0.219,0.39,1,0,3,1,84.3,0.28,31.8,15,0
PLAN2022-JQCYYP,2022,507,PANCHAYAT_WARD,2008891,4.79,1551040,1456970,17.0,0.462,0.495,1,0,3,1,17.4,-9.69,38.2,10,0
PLAN2024-N3PP1V,2024,62,MUNICIPAL_WARD,2251147,-1.9,1416035,1390328,10.9,0.135,0.651,1,0,3,1,30.4,-1.25,88.1,16,0
PLAN2012-1L6CKN,2012,462,LOKSABHA,1291686,0.67,838032,812926,12.72,0.231,0.542,1,1,6,0,77.0,-2.91,55.9,19,0
PLAN2019-C660UJ,2019,452,PANCHAYAT_WARD,2068779,-4.68,1428859,1371827,42.31,0.383,0.59,1,1,7,0,34.7,-11.37,54.8,17,0
PLAN2011-GBJ72B,2011,115,MUNICIPAL_WARD,325574,-2.85,215612,203006,37.82,0.27,0.271,1,4,4,1,80.5,6.7,70.8,17,0
PLAN2013-Q82327,2013,237,LOKSABHA,336120,1.3,241880,226978,34.68,0.165,0.389,1,2,1,0,93.2,-11.65,14.9,13,0
PLAN2016-DZ8XEB,2016,16,MUNICIPAL_WARD,621053,-2.0,461961,451342,32.97,0.292,0.527,1,0,1,1,46.7,11.22,22.2,25,0
PLAN2010-C3Z6J5,2010,46,PANCHAYAT_WARD,300861,-3.98,227150,218873,30.73,0.312,0.125,1,1,0,1,67.8,8.72,2.7,17,0
PLAN2011-083RWR,2011,221,MUNICIPAL_WARD,1613946,-2.23,1214414,1118043,10.65,0.224,0.596,1,0,4,1,83.7,2.0,38.6,10,0
PLAN2011-OW37GJ,2011,243,PANCHAYAT_WARD,540038,-6.19,386610,370129,22.33,0.335,0.514,1,0,1,0,83.7,-11.24,6.9,14,0
PLAN2011-MTT7FY,2011,139,VIDHANSABHA,621273,-4.93,432560,416175,34.88,0.136,0.474,1,1,3,1,94.0,-0.67,82.4,10,0
PLAN2024-M5CFV2,2024,264,MUNICIPAL_WARD,2200754,-0.68,1538613,1506500,19.16,0.242,0.372,1,0,0,1,75.1,14.56,66.3,24,0
PLAN2025-N1KJS0,2025,7,VIDHANSABHA,1974515,-3.68,1435289,1346116,21.1,0.609,0.286,1,1,1,1,60.3,-13.85,45.2,21,0
PLAN2018-RWQ1CG,2018,525,VIDHANSABHA,1378124,-2.16,880239,837773,21.98,0.215,0.329,1,1,4,0,50.9,-7.31,30.6,19,0
PLAN2019-D9EQSI,2019,541,MUNICIPAL_WARD,1081630,5.67,771113,742063,43.12,0.572,0.49,1,0,3,0,86.3,11.87,47.8,14,0
PLAN2025-9T30B6,2025,534,LOKSABHA,1551166,-2.1,1100063,1068420,12.75,0.251,0.247,1,5,4,0,49.0,-7.41,12.7,17,1
PLAN2018-QB3KBW,2018,464,VIDHANSABHA,249510,1.27,166650,162855,5.01,0.443,0.211,1,1,3,1,83.0,-8.51,47.4,18,0
PLAN2014-VMVWJM,2014,5,MUNICIPAL_WARD,980662,-0.44,667727,637968,43.85,0.069,0.788,1,2,3,0,20.1,3.18,99.1,21,0
PLAN2025-06DDG6,2025,264,PANCHAYAT_WARD,1774244,0.02,1214437,1191344,43.04,0.124,0.203,1,3,2,0,22.4,-14.94,89.6,11,1
PLAN2022-0IUGA4,2022,141,VIDHANSABHA,820416,-5.38,628074,615157,18.99,0.512,0.457,1,4,2,0,31.9,1.32,95.4,12,0
PLAN2013-FNNL3V,2013,184,PANCHAYAT_WARD,1509051,-4.18,1083065,1065718,36.78,0.281,0.561,1,1,2,1,91.3,5.61,26.6,19,0
PLAN2019-4GH0Y3,2019,364,VIDHANSABHA,1236769,6.45,897825,885079,34.27,0.387,0.616,1,2,4,1,24.1,-6.13,88.9,19,0
PLAN2021-9KP6AS,2021,168,PANCHAYAT_WARD,1181974,-5.44,888428,825742,33.99,0.304,0.105,1,1,0,1,10.1,13.04,82.5,20,0
PLAN2023-SULJAF,2023,479,MUNICIPAL_WARD,511023,4.31,346686,335813,22.37,0.607,0.533,1,1,1,0,23.1,9.38,0.2,25,0
PLAN2013-WNSMW5,2013,512,VIDHANSABHA,2296154,-0.29,1766598,1745835,28.55,0.386,0.142,1,3,4,1,39.5,2.32,73.5,19,0
PLAN2014-2QJZGP,2014,40,VIDHANSABHA,415391,-2.41,271367,266782,32.9,0.277,0.599,1,1,5,1,59.0,-8.62,93.5,19,0
PLAN2014-F50OJQ,2014,25,PANCHAYAT_WARD,1411819,-3.81,1026826,978812,31.54,0.409,0.629,1,2,3,0,59.8,-5.61,57.6,18,0
PLAN2014-R2FMFP,2014,93,PANCHAYAT_WARD,962426,-2.47,732470,718162,21.81,0.428,0.519,1,0,3,1,16.9,-11.82,75.9,24,0
PLAN2018-MD3EXU,2018,388,VIDHANSABHA,208183,-1.48,151056,141849,42.59,0.235,0.25,1,0,2,1,41.8,4.34,86.2,19,0
PLAN2017-FKC781,2017,414,VIDHANSABHA,1520379,-3.82,956096,945647,6.89,0.307,0.147,1,0,2,1,92.4,0.63,29.0,19,1
PLAN2015-BVLXUI,2015,495,VIDHANSABHA,228018,3.56,156051,146471,44.95,0.396,0.255,1,0,4,1,87.9,12.01,27.1,18,0
PLAN2016-QZFO30,2016,276,VIDHANSABHA,1847004,6.48,1150032,1136226,17.86,0.1,0.163,1,1,4,0,14.3,5.36,48.8,20,0
PLAN2015-BNMJSX,2015,247,MUNICIPAL_WARD,1522179,-0.05,1023598,1001172,32.19,0.204,0.435,1,0,3,1,34.5,14.03,85.6,25,0
PLAN2011-DHDX1B,2011,250,MUNICIPAL_WARD,1393627,-6.35,985589,943270,28.77,0.058,0.452,1,1,3,1,65.9,-1.27,82.8,16,0
PLAN2009-U4I4CX,2009,123,VIDHANSABHA,840550,5.98,577966,560934,6.12,0.089,0.764,1,1,4,1,80.1,-13.43,3.6,14,0
PLAN2025-4D32NK,2025,457,LOKSABHA,2296909,2.04,1685508,1591191,22.88,0.13,0.156,1,1,4,1,77.6,10.89,94.9,20,0
PLAN2011-ZT5TT9,2011,250,MUNICIPAL_WARD,1766899,-4.1,1304086,1271127,23.64,0.053,0.609,1,2,3,0,32.8,7.99,95.5,14,0
PLAN2024-6DUTJT,2024,250,PANCHAYAT_WARD,1687487,-3.23,1164076,1115565,28.68,0.182,0.609,0,1,3,1,83.0,-8.25,58.9,21,0
PLAN2021-LLE4A2,2021,337,VIDHANSABHA,261154,-1.66,198583,184310,20.87,0.147,0.773,1,1,1,0,36.4,14.05,80.2,10,0
PLAN2012-US7PSI,2012,430,MUNICIPAL_WARD,2372487,1.17,1705410,1611224,43.36,0.412,0.793,1,0,4,0,22.3,-13.4,71.1,23,0
PLAN2017-S18WK5,2017,209,MUNICIPAL_WARD,1005116,4.63,747387,735394,25.07,0.453,0.628,1,2,5,1,38.7,-6.14,74.7,20,0
PLAN2017-1EPEKG,2017,78,VIDHANSABHA,1564512,-0.97,1005495,953231,15.25,0.647,0.363,1,1,1,0,71.8,3.98,28.4,14,0
PLAN2010-ZPFCGL,2010,407,LOKSABHA,1274314,-6.32,843888,832669,38.78,0.579,0.102,1,1,1,1,44.0,7.7,59.8,24,0
PLAN2019-BFJH9K,2019,366,PANCHAYAT_WARD,2139009,4.01,1521681,1458069,8.17,0.157,0.244,1,2,1,1,71.4,12.44,3.4,23,0
PLAN2021-77U55D,2021,349,PANCHAYAT_WARD,2290890,1.69,1743466,1686264,31.17,0.408,0.17,1,1,3,1,22.0,8.93,11.1,15,1
PLAN2009-F1VVWU,2009,339,LOKSABHA,157508,-0.08,100837,96324,13.07,0.508,0.6,0,1,4,1,56.4,-2.29,81.0,15,0
PLAN2017-XSH0AH,2017,189,PANCHAYAT_WARD,249081,3.02,167653,163496,16.83,0.151,0.659,1,0,3,1,56.9,-4.78,40.7,13,0
PLAN2021-PAYGAA,2021,152,VIDHANSABHA,981603,0.07,667019,614937,42.89,0.074,0.732,1,0,1,1,86.8,8.51,16.0,13,0
PLAN2017-0TGO5A,2017,143,LOKSABHA,1339771,1.75,862870,803095,12.83,0.281,0.106,1,1,4,0,48.3,4.35,34.8,20,0
PLAN2016-LGITIZ,2016,309,MUNICIPAL_WARD,2192803,-0.04,1447934,1399918,6.52,0.525,0.629,1,0,1,0,47.1,-13.29,44.3,10,0
PLAN2016-TFP3G2,2016,411,LOKSABHA,2237451,-4.6,1581111,1497521,30.29,0.195,0.326,1,0,8,1,43.8,6.91,47.5,16,0
PLAN2025-COZFQP,2025,354,VIDHANSABHA,1559271,3.02,1138887,1104515,7.3,0.388,0.304,1,1,4,1,19.1,-13.04,65.6,19,0
PLAN2024-4GU65S,2024,379,PANCHAYAT_WARD,1382163,-3.67,885840,833183,11.57,0.208,0.19,1,0,2,1,40.8,3.1,39.9,17,0
PLAN2023-Y5H3O0,2023,140,MUNICIPAL_WARD,207056,-0.26,153601,150591,24.7,0.44,0.615,1,2,6,1,21.2,13.4,23.3,17,0
PLAN2014-W58611,2014,512,VIDHANSABHA,1031340,-2.27,723780,671685,39.92,0.218,0.509,1,3,4,0,87.6,-7.28,72.2,19,0
PLAN2021-ODPK1A,2021,293,LOKSABHA,769797,3.08,596589,586872,11.91,0.586,0.692,0,2,2,0,54.7,-9.76,52.0,15,0
PLAN2014-GX2HIV,2014,500,LOKSABHA,451028,5.02,341830,331292,17.61,0.263,0.125,1,1,1,0,51.6,-5.26,94.1,27,1
PLAN2016-Y40I6Q,2016,544,LOKSABHA,676776,2.44,425908,414929,30.86,0.62,0.737,1,3,1,1,11.2,1.64,52.1,15,0
PLAN2010-TL70ZO,2010,349,PANCHAYAT_WARD,574073,2.78,371543,365166,15.09,0.361,0.433,1,0,3,1,93.3,-14.27,84.5,21,0
PLAN2019-RDB103,2019,306,VIDHANSABHA,1807369,3.49,1174394,1085752,23.97,0.358,0.568,1,0,5,1,41.8,1.81,97.6,17,0
PLAN2018-A6TDXJ,2018,497,LOKSABHA,1541730,-4.03,1144137,1074005,37.95,0.179,0.452,1,1,5,0,66.6,-5.53,80.4,17,0
PLAN2014-WQQOQS,2014,510,LOKSABHA,890367,1.83,647373,608011,36.39,0.55,0.461,1,0,1,0,94.7,-1.1,41.9,20,0
PLAN2021-MVUTIY,2021,21,MUNICIPAL_WARD,324272,1.85,208257,197466,29.61,0.231,0.529,1,2,4,0,37.1,-6.71,77.2,16,0
PLAN2022-XGY93F,2022,223,PANCHAYAT_WARD,1853885,-6.0,1376930,1358440,24.01,0.385,0.692,0,0,6,1,12.6,-4.44,73.9,18,0
PLAN2014-NZ3T1W,2014,389,MUNICIPAL_WARD,1741233,-0.59,1327905,1251796,43.36,0.462,0.727,1,1,1,1,14.4,4.27,98.9,18,0
PLAN2022-UDLHWV,2022,442,VIDHANSABHA,1495477,-3.71,1087368,1045482,17.46,0.637,0.551,1,2,2,1,66.9,2.43,71.3,16,0
PLAN2022-MIJPW1,2022,18,MUNICIPAL_WARD,1031947,-5.37,749095,737239,39.1,0.598,0.789,1,1,2,0,64.9,-11.86,5.6,16,0
PLAN2018-5UVQWF,2018,175,PANCHAYAT_WARD,842550,-5.28,594289,577973,30.02,0.457,0.5,1,3,3,1,62.9,12.56,75.9,22,0
