env_ghg_reference_year,env_ghg_country_iso2,env_ghg_sector_ipcc_code,env_ghg_subsector_code,env_ghg_emissions_co2e_tonnes,env_ghg_emissions_ch4_tonnes,env_ghg_emissions_n2o_tonnes,env_ghg_lulucf_net_sink_co2e_tonnes,env_ghg_per_capita_co2e_tonnes,env_ghg_emissions_intensity_per_gdp,env_ghg_national_target_2030_pct,env_ghg_fit55_alignment_flag,env_ghg_policy_measure_count,env_ghg_energy_efficiency_contribution_pct,env_ghg_renewables_contribution_pct,env_ghg_transport_contribution_pct,env_ghg_agriculture_contribution_pct,env_ghg_data_source_eea_inventory,env_ghg_methodology_version,env_ghg_data_extract_date
2001,SK,1_ENERGY,1A2_MANUFACTURING,275519620.13,28993.1921,8906.59019,-779085.64,17.043,0.4371,-32.01,0,38,9.9,7.3,30.01,5.07,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-01-27
2002,HR,1_ENERGY,1A3_TRANSPORT,480586410.53,245601.2076,36596.12193,-864880.65,9.015,0.3724,-42.09,1,45,37.1,18.47,26.98,10.09,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-12-14
2003,DE,1_ENERGY,1A4_BUILDINGS,503385296.7,276762.0242,10242.77664,-688148.15,5.559,0.3654,-31.36,1,48,15.3,10.87,38.94,12.65,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-04-29
2004,LU,1_ENERGY,1B_FUGITIVE,40067207.78,26179.4476,70.31152,-146804.11,14.1,0.2077,-33.65,0,46,26.72,29.67,20.54,9.35,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-09-10
2005,SI,1_ENERGY,1A1_ENERGY_INDUSTRIES,325671075.8,92986.2182,3689.89713,-653180.12,13.834,0.2906,-41.0,1,31,7.44,10.17,26.8,15.37,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-03-18
2006,CY,1_ENERGY,1A2_MANUFACTURING,9104957.74,3357.4057,415.6408,-57433.1,14.444,0.2643,-54.56,0,67,11.11,35.99,14.33,3.77,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-08-29
2007,GR,1_ENERGY,1A3_TRANSPORT,240404229.49,9445.7592,18972.00103,-842453.75,12.467,0.4799,-30.1,1,32,5.84,52.26,29.47,13.32,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-01-03
2008,MT,1_ENERGY,1A4_BUILDINGS,442003721.24,271985.4633,32108.02973,-370287.39,17.217,0.1982,-35.09,0,62,22.13,31.42,27.64,24.42,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-07-11
2009,ES,1_ENERGY,1B_FUGITIVE,174471957.16,78026.0558,1153.25329,-581778.34,13.664,0.1331,-36.55,0,62,12.94,6.9,7.76,5.02,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-05-22
2010,CZ,1_ENERGY,1A1_ENERGY_INDUSTRIES,292866287.74,179212.3626,15746.43635,-443901.61,2.702,0.6272,-57.33,1,54,39.39,52.23,18.0,19.14,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-05-11
2011,HU,1_ENERGY,1A2_MANUFACTURING,379332026.92,262490.5817,12659.63782,-716278.72,13.416,0.5645,-55.56,1,48,31.89,25.2,32.19,22.9,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-11-12
2012,NL,1_ENERGY,1A3_TRANSPORT,394464028.12,241583.3454,20946.3929,-754677.64,14.91,0.1258,-51.61,1,72,16.65,21.16,20.27,12.14,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-04-22
2013,SE,1_ENERGY,1A4_BUILDINGS,282394901.86,81589.7307,3378.82252,-19761.35,2.838,0.4725,-53.53,1,56,7.39,21.65,18.15,23.14,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-02-12
2014,DK,1_ENERGY,1B_FUGITIVE,350179959.23,49935.6708,16718.28858,-189689.85,3.707,0.5592,-30.36,1,37,42.09,54.76,26.9,14.91,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-06-11
2015,IE,1_ENERGY,1A1_ENERGY_INDUSTRIES,123953903.16,65952.7036,4513.56693,-456646.36,4.239,0.1415,-35.59,1,43,7.62,25.66,24.48,15.58,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-09-10
2016,PL,1_ENERGY,1A2_MANUFACTURING,104175487.17,41676.7462,5040.53972,-147158.77,11.429,0.536,-61.36,1,72,33.36,16.98,29.65,22.27,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-02-17
2017,AT,1_ENERGY,1A3_TRANSPORT,300812034.08,28696.7541,2938.01057,-445959.18,16.752,0.2158,-63.55,1,74,26.46,44.93,34.27,10.06,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-08-19
2018,EE,1_ENERGY,1A4_BUILDINGS,317850972.55,158572.6822,13573.78524,-282346.56,15.141,0.1241,-34.34,0,62,31.8,51.96,12.52,19.43,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-01
2019,IT,1_ENERGY,1B_FUGITIVE,94319628.25,37515.4712,1558.28989,-847961.8,14.08,0.1985,-49.03,1,67,28.9,21.25,35.79,7.42,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-07-11
2020,PT,1_ENERGY,1A1_ENERGY_INDUSTRIES,538771025.42,319671.5557,31694.30242,-451370.04,11.48,0.5329,-50.43,1,71,29.03,44.85,14.58,23.7,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-05-21
2021,BE,1_ENERGY,1A2_MANUFACTURING,472703464.59,248883.3732,3714.26869,-306373.48,11.003,0.3858,-61.01,1,67,13.05,26.96,12.43,21.75,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-11-23
2022,FI,1_ENERGY,1A3_TRANSPORT,355551755.17,86552.3931,27971.16022,-359337.0,14.59,0.1749,-46.73,1,41,44.89,5.39,7.26,8.32,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-12-02
2023,LV,1_ENERGY,1A4_BUILDINGS,34842905.86,4476.8899,1342.61524,-165903.8,4.089,0.3853,-39.65,0,54,29.08,53.86,30.63,15.84,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-09-29
2024,RO,1_ENERGY,1B_FUGITIVE,229233646.43,34490.767,8681.47999,-929007.38,16.831,0.1545,-47.02,0,68,39.08,25.59,14.68,9.11,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-05-15
2025,BG,1_ENERGY,1A1_ENERGY_INDUSTRIES,385284964.62,239942.4303,25024.20505,-164502.21,5.295,0.5117,-50.63,0,45,11.59,20.16,20.38,9.56,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-11-17
1995,FR,1_ENERGY,1A2_MANUFACTURING,87465549.56,57342.3988,2037.60551,-401354.7,11.498,0.2602,-34.69,0,53,23.19,51.53,19.94,2.47,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-10-17
1996,LT,1_ENERGY,1A3_TRANSPORT,72307803.03,5386.1112,2553.60154,-868615.22,12.96,0.1735,-61.13,1,81,9.25,16.19,8.57,23.38,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-02-25
1997,SK,1_ENERGY,1A4_BUILDINGS,326750608.63,78279.0039,15151.83001,-383515.81,10.389,0.1163,-34.07,1,78,5.94,13.32,37.57,11.39,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-08-20
1998,HR,1_ENERGY,1B_FUGITIVE,460699081.28,154240.3763,16269.11394,-480452.76,7.258,0.1091,-62.46,0,50,23.33,53.68,6.36,20.12,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-04-21
1999,DE,1_ENERGY,1A1_ENERGY_INDUSTRIES,365343749.81,139480.3821,5345.60576,-101591.88,16.593,0.2644,-62.05,1,92,7.62,27.24,24.27,19.9,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-11-02
2000,LU,1_ENERGY,1A2_MANUFACTURING,13039386.06,7078.1337,373.22927,-648436.56,6.021,0.6059,-46.37,1,84,32.32,14.98,33.17,11.78,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-01-13
2001,SI,1_ENERGY,1A3_TRANSPORT,317266019.16,89604.0846,4254.38546,-409084.08,13.584,0.64,-36.3,1,86,23.47,37.56,11.63,19.0,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-04-10
2002,CY,1_ENERGY,1A4_BUILDINGS,411301002.82,87831.7427,6848.921,-668002.41,9.352,0.6451,-39.45,1,80,40.07,44.82,6.62,21.44,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-09
2003,GR,1_ENERGY,1B_FUGITIVE,10295394.45,759.9699,83.64345,-604658.21,11.666,0.5669,-41.39,0,93,16.26,11.68,35.41,23.45,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-08-15
2004,MT,1_ENERGY,1A1_ENERGY_INDUSTRIES,471102950.41,77737.3144,6287.43021,-730648.32,17.564,0.256,-56.07,1,52,39.32,12.96,23.08,23.49,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-08-07
2005,ES,1_ENERGY,1A2_MANUFACTURING,275993872.31,176368.5602,8097.68807,-338871.49,15.207,0.486,-51.2,0,52,28.52,20.88,35.44,15.18,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-11-28
2006,CZ,1_ENERGY,1A3_TRANSPORT,73374160.25,33042.1747,412.80384,-563192.36,6.453,0.1765,-40.75,0,58,42.43,18.95,7.51,16.83,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-01-11
2007,HU,1_ENERGY,1A4_BUILDINGS,398157763.24,58810.2807,21737.07726,-539573.88,8.078,0.4668,-60.37,0,68,7.12,29.15,7.78,9.75,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-07-14
2008,NL,1_ENERGY,1B_FUGITIVE,432935085.43,69899.5143,14829.9526,-830468.19,7.037,0.181,-38.56,0,66,20.28,8.14,28.08,12.51,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-02-18
2009,SE,1_ENERGY,1A1_ENERGY_INDUSTRIES,89367670.94,44226.5734,5996.57907,-601179.17,14.744,0.6089,-55.42,0,68,19.34,37.5,31.16,22.56,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-05-21
2010,DK,1_ENERGY,1A2_MANUFACTURING,57073161.4,34146.3279,4174.34554,-188265.43,14.568,0.2368,-46.04,0,97,21.17,33.47,6.42,23.32,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-01-07
2011,IE,1_ENERGY,1A3_TRANSPORT,37316451.11,1359.0508,1648.67079,-798059.14,15.97,0.2811,-38.74,0,77,27.1,30.42,20.63,21.51,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-04-05
2012,PL,1_ENERGY,1A4_BUILDINGS,342176482.89,183532.8955,510.78465,-519858.72,8.618,0.6133,-48.76,0,66,7.46,6.52,19.26,13.7,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-04-13
2013,AT,1_ENERGY,1B_FUGITIVE,75540325.85,14169.3077,4616.49768,-132395.01,10.377,0.0869,-59.3,1,78,27.45,48.37,22.37,9.45,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-03-23
2014,EE,1_ENERGY,1A1_ENERGY_INDUSTRIES,372435540.14,183540.9159,1459.5381,-888788.87,12.745,0.5703,-64.73,1,100,32.91,13.89,33.27,20.29,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-01-06
2015,IT,1_ENERGY,1A2_MANUFACTURING,299038700.46,57245.905,22168.88121,-24052.62,7.356,0.3333,-47.83,1,68,31.7,23.27,27.36,14.01,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-02-15
2016,PT,1_ENERGY,1A3_TRANSPORT,226561978.9,95914.8324,14831.36164,-894630.76,16.508,0.2737,-45.96,1,79,33.4,45.64,13.15,9.41,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-01-13
2017,BE,1_ENERGY,1A4_BUILDINGS,48070267.47,26847.2552,2499.02273,-568376.78,2.268,0.5464,-37.5,1,105,43.83,26.1,21.44,14.62,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-05-26
2018,FI,1_ENERGY,1B_FUGITIVE,32450267.66,11724.4808,1486.30101,-347497.07,11.175,0.505,-62.66,1,75,5.83,50.53,31.02,23.41,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-03-14
2019,LV,1_ENERGY,1A1_ENERGY_INDUSTRIES,129296660.3,47829.8229,10089.61216,-490127.11,15.718,0.2502,-56.85,1,84,13.17,20.77,5.11,9.77,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-07-14
2020,RO,1_ENERGY,1A2_MANUFACTURING,32553560.87,9499.5689,1760.26455,-361643.02,4.686,0.1601,-40.18,0,86,14.21,14.38,15.26,20.4,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-03-31
2021,BG,1_ENERGY,1A3_TRANSPORT,465947453.28,161225.5223,12838.07249,-221699.61,6.609,0.6378,-62.32,0,79,38.24,16.91,33.54,24.76,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-08-26
2022,FR,1_ENERGY,1A4_BUILDINGS,360718134.24,29814.2251,8408.82527,-167758.7,13.291,0.2247,-39.82,1,94,35.49,16.29,39.75,2.06,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-07-03
2023,LT,1_ENERGY,1B_FUGITIVE,205862576.09,97137.2879,1088.53291,-250964.79,6.027,0.051,-55.55,0,113,18.24,54.72,29.68,2.19,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-12-19
2024,SK,1_ENERGY,1A1_ENERGY_INDUSTRIES,264065433.75,176136.2082,430.66038,-119438.55,2.204,0.3857,-41.47,1,118,9.6,49.41,30.59,8.88,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-04-08
2025,HR,1_ENERGY,1A2_MANUFACTURING,132722394.48,38398.4105,640.43053,-572770.86,2.985,0.5462,-32.32,1,115,5.76,37.23,6.95,17.48,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-09-21
1995,DE,1_ENERGY,1A3_TRANSPORT,241426869.92,42833.7574,319.29217,-839491.42,4.646,0.467,-60.55,0,112,8.65,48.22,38.53,17.77,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-12-03
1996,LU,1_ENERGY,1A4_BUILDINGS,321254737.95,186179.6096,23407.00273,-21988.8,6.418,0.5753,-64.49,0,122,15.03,24.58,33.93,4.86,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-04-10
1997,SI,1_ENERGY,1B_FUGITIVE,245253905.77,97789.3504,8593.87221,-989459.41,2.169,0.1294,-60.25,1,100,5.63,31.82,9.32,8.01,EEA_GHG_INVENTORY,IPCC_2006_GPG,2026-01-01
1998,CY,1_ENERGY,1A1_ENERGY_INDUSTRIES,11240918.43,6906.1212,885.63638,-993867.22,17.339,0.5873,-38.38,1,107,28.1,24.99,28.63,13.39,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-12-22
1999,GR,1_ENERGY,1A2_MANUFACTURING,330884209.21,188080.4574,24322.31595,-735946.26,17.111,0.2643,-33.12,1,116,33.38,35.59,27.99,6.84,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-06-10
2000,MT,1_ENERGY,1A3_TRANSPORT,599523830.61,105147.2547,30842.28469,-715664.22,14.311,0.5045,-36.17,1,124,36.01,20.56,28.03,7.8,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-04-11
2001,ES,1_ENERGY,1A4_BUILDINGS,389019005.69,114107.36,19181.00329,-585874.04,3.887,0.2594,-49.37,1,112,11.21,11.49,33.91,7.19,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-07
2002,CZ,1_ENERGY,1B_FUGITIVE,282818105.82,39787.7076,14923.94208,-344473.33,11.314,0.094,-37.08,1,126,33.57,24.95,29.97,11.59,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-12-08
2003,HU,1_ENERGY,1A1_ENERGY_INDUSTRIES,454856572.7,287515.3583,6149.92285,-99298.38,7.292,0.1865,-36.15,0,119,18.18,45.46,31.6,6.04,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-03-29
2004,NL,1_ENERGY,1A2_MANUFACTURING,31258478.93,5510.7294,2167.58778,-54059.19,14.582,0.3056,-45.28,1,115,36.62,31.2,38.05,5.3,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-02-23
2005,SE,1_ENERGY,1A3_TRANSPORT,95867993.91,39059.9052,1366.52063,-462351.18,12.333,0.2638,-62.83,0,96,36.0,43.34,25.98,11.81,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-07
2006,DK,1_ENERGY,1A4_BUILDINGS,342902399.6,100119.0168,5224.48086,-681284.05,5.638,0.2147,-46.31,0,133,32.2,45.42,30.98,4.05,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-08-04
2007,IE,1_ENERGY,1B_FUGITIVE,468309119.01,45168.4247,22538.21479,-282951.88,17.885,0.5651,-64.12,1,96,8.86,29.84,27.73,7.1,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-08
2008,PL,1_ENERGY,1A1_ENERGY_INDUSTRIES,285476286.17,97030.1161,22070.26244,-558403.19,17.686,0.573,-46.34,1,130,21.2,10.8,38.2,17.63,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-07-31
2009,AT,1_ENERGY,1A2_MANUFACTURING,57599318.61,16551.2317,3704.2979,-605900.85,6.513,0.5943,-63.61,0,90,22.25,13.97,26.2,21.82,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-05-24
2010,EE,1_ENERGY,1A3_TRANSPORT,315302361.93,23288.9889,21522.79256,-681224.23,4.311,0.3326,-48.41,1,120,12.73,23.64,15.22,22.94,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-05-24
2011,IT,1_ENERGY,1A4_BUILDINGS,331786813.18,52534.0129,15845.97537,-456552.09,14.816,0.5789,-42.25,1,116,16.25,18.61,27.73,4.45,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-12-25
2012,PT,1_ENERGY,1B_FUGITIVE,298792148.01,170170.7165,3113.32391,-921053.63,4.612,0.2321,-61.89,1,93,18.37,27.52,10.91,15.57,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-01-12
2013,BE,1_ENERGY,1A1_ENERGY_INDUSTRIES,206786811.09,41373.4847,9142.48772,-559081.27,2.328,0.3777,-32.49,0,113,31.64,38.99,15.29,14.5,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-05-07
2014,FI,1_ENERGY,1A2_MANUFACTURING,90923510.81,42296.2122,5746.61476,-682284.14,6.601,0.3086,-50.48,1,129,20.27,14.44,36.16,12.69,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-07-21
2015,LV,1_ENERGY,1A3_TRANSPORT,560504378.13,28740.2113,37791.2075,-477602.45,17.388,0.4129,-50.04,1,121,15.85,28.39,8.3,3.99,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-02-05
2016,RO,1_ENERGY,1A4_BUILDINGS,135318212.08,89002.079,6075.66161,-574807.05,9.943,0.0542,-30.92,1,113,10.08,45.26,22.41,16.04,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-11-13
2017,BG,1_ENERGY,1B_FUGITIVE,242278434.37,28254.0258,9813.02813,-716638.33,6.868,0.5769,-46.89,1,110,39.91,48.7,36.95,5.01,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-03-19
2018,FR,1_ENERGY,1A1_ENERGY_INDUSTRIES,54671333.53,21050.359,1435.07164,-410719.14,13.252,0.1366,-52.85,1,129,43.65,42.65,28.99,23.83,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-05-01
2019,LT,1_ENERGY,1A2_MANUFACTURING,385173173.21,215452.6599,24493.46282,-155245.62,17.157,0.1388,-32.2,1,114,21.43,37.07,7.69,20.81,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-07-19
2020,SK,1_ENERGY,1A3_TRANSPORT,118206262.56,59798.2051,4884.07937,-313113.48,17.081,0.1174,-52.39,1,126,8.01,24.52,7.17,21.72,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-10-21
2021,HR,1_ENERGY,1A4_BUILDINGS,48272124.08,8094.1498,2857.15996,-560697.59,15.266,0.4503,-45.03,1,144,20.77,40.3,27.13,23.74,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-05-11
2022,DE,1_ENERGY,1B_FUGITIVE,136217272.31,62370.6442,10061.75261,-707440.25,4.417,0.1994,-59.42,0,131,30.86,29.54,25.06,3.73,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-26
2023,LU,1_ENERGY,1A1_ENERGY_INDUSTRIES,389126090.04,147365.2284,30570.34959,-399193.11,8.567,0.5952,-44.49,1,140,29.52,44.18,24.32,9.88,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-11-19
2024,SI,1_ENERGY,1A2_MANUFACTURING,311044346.13,143370.8765,17232.08874,-749641.13,2.795,0.5732,-30.34,1,129,24.51,40.09,27.41,10.58,EEA_GHG_INVENTORY,IPCC_2006_GPG,2026-01-01
2025,CY,1_ENERGY,1A3_TRANSPORT,169174330.01,94145.3417,4753.04678,-85515.74,15.51,0.3253,-64.4,1,144,29.27,35.53,25.27,11.83,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-03-10
1995,GR,1_ENERGY,1A4_BUILDINGS,346351720.86,149092.1037,17989.88577,-950276.15,10.997,0.095,-49.88,0,122,38.64,49.08,10.01,3.02,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-11-02
1996,MT,1_ENERGY,1B_FUGITIVE,370723726.47,81787.8973,26378.43129,-949935.53,16.533,0.2767,-35.48,0,141,15.98,42.85,10.14,10.02,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-10-10
1997,ES,1_ENERGY,1A1_ENERGY_INDUSTRIES,459687475.26,188973.7895,13558.92209,-80274.68,13.723,0.2045,-56.85,1,139,33.76,18.88,16.33,20.56,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-10-06
1998,CZ,1_ENERGY,1A2_MANUFACTURING,133703320.63,48889.2221,9646.9092,-431384.94,4.584,0.402,-34.05,1,145,10.36,38.61,25.92,10.67,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-01-28
1999,HU,1_ENERGY,1A3_TRANSPORT,86978763.91,22894.2515,807.32581,-789369.46,9.118,0.3863,-43.88,1,124,31.81,9.86,8.64,3.95,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-12-21
2000,NL,1_ENERGY,1A4_BUILDINGS,65897816.92,27199.1982,1098.80434,-781765.4,7.192,0.4582,-64.61,1,157,28.7,14.32,35.79,6.39,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-01-22
2001,SE,1_ENERGY,1B_FUGITIVE,216314205.89,139664.9415,4600.145,-303594.09,5.035,0.5366,-62.51,0,144,38.08,14.4,10.95,16.82,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-08-24
2002,DK,1_ENERGY,1A1_ENERGY_INDUSTRIES,512642036.06,254788.1272,11623.69802,-26798.97,13.286,0.2045,-46.42,0,131,18.65,38.37,30.94,14.53,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-08-07
2003,IE,1_ENERGY,1A2_MANUFACTURING,254326060.68,100994.0128,803.96024,-798356.52,7.152,0.4829,-58.13,1,112,23.76,38.48,22.97,23.03,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-15
2004,PL,1_ENERGY,1A3_TRANSPORT,132581098.58,25853.6712,9175.68306,-894918.79,8.113,0.1696,-47.21,1,151,44.38,46.12,11.51,18.48,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-07-21
2005,AT,1_ENERGY,1A4_BUILDINGS,323070798.87,94159.8692,2634.65269,-67489.27,14.286,0.0835,-31.95,1,145,22.03,9.03,7.6,9.42,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-10-25
2006,EE,1_ENERGY,1B_FUGITIVE,40886524.74,24430.0803,403.31431,-124330.23,11.247,0.3946,-48.2,1,137,16.97,37.3,38.52,19.35,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2026-02-17
2007,IT,1_ENERGY,1A1_ENERGY_INDUSTRIES,301196332.2,114492.7651,10072.18288,-725518.27,13.335,0.4546,-46.48,1,147,30.85,53.07,20.84,12.85,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-11-28
2008,PT,1_ENERGY,1A2_MANUFACTURING,250193223.12,147990.1583,9327.68506,-776283.21,6.21,0.0995,-52.2,1,150,9.14,54.98,19.3,10.06,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-07-30
2009,BE,1_ENERGY,1A3_TRANSPORT,572875393.62,79227.1343,33513.25164,-515635.5,7.096,0.5324,-37.56,1,156,23.45,47.39,21.49,22.32,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-05-30
2010,FI,1_ENERGY,1A4_BUILDINGS,261238335.47,82631.4191,6023.02922,-982341.26,13.275,0.2316,-31.01,0,123,38.07,48.38,7.84,24.65,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-03
2011,LV,1_ENERGY,1B_FUGITIVE,114532914.61,59659.1665,1831.31,-903974.22,12.208,0.2328,-40.4,1,128,38.49,21.62,18.62,10.2,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-01-07
2012,RO,1_ENERGY,1A1_ENERGY_INDUSTRIES,251370751.35,31885.9924,15376.17567,-662622.51,17.804,0.3502,-41.32,0,125,12.1,6.47,36.61,10.45,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-12-27
2013,BG,1_ENERGY,1A2_MANUFACTURING,91122979.8,30731.6295,235.7878,-801934.72,6.539,0.2464,-50.55,0,144,15.78,5.54,25.43,13.8,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-11-12
2014,FR,1_ENERGY,1A3_TRANSPORT,534280805.24,209550.2795,42166.06899,-509391.73,11.449,0.159,-47.58,0,122,6.24,36.03,28.13,6.91,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-05-11
2015,LT,1_ENERGY,1A4_BUILDINGS,20673560.73,14421.4753,1251.36815,-735482.79,12.817,0.1938,-45.29,1,126,10.79,46.43,20.77,24.31,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-06-04
2016,SK,1_ENERGY,1B_FUGITIVE,53038439.02,13005.4149,3765.59651,-844792.81,15.03,0.225,-33.09,1,131,26.27,46.36,24.47,9.42,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-23
2017,HR,1_ENERGY,1A1_ENERGY_INDUSTRIES,72161557.41,20872.8034,4913.42239,-824949.47,4.056,0.4218,-40.98,0,44,19.57,53.3,24.6,18.16,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-10-24
