demo_popproj_projection_year,demo_popproj_geography_geoid,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2027,06047,25-29,F,NH_Black,502293,541504,521749,565409,12.43,16.71,6.93,4.98,1922,22773,0.8905,1.473,0.0268,2020,HYBRID_SCEN
2021,06048,15-19,F,NH_AI_AN,326784,344561,340361,353092,9.97,17.51,4.49,-0.64,430236,48185,0.8846,1.431,-0.0179,2024,TREND_EXTRAP
2047,06049,10-14,F,NH_White,1830814,1863478,1823106,1937697,17.31,18.18,-18.16,17.65,982734,6248,0.9095,2.012,0.0047,2022,COHORT_COMP
2050,06050,70-74,M,NH_Asian,1919337,2066576,2042764,2187595,2.6,13.42,17.25,6.1,590707,50123,0.8835,1.698,-0.0067,2021,HYBRID_SCEN
2027,06051,50-54,M,Hispanic,269008,289505,282936,300573,13.41,2.21,-1.24,10.89,780734,48196,0.9025,1.229,0.0165,2019,COHORT_COMP
2026,06052,5-9,F,NH_White,391511,454590,431305,485019,2.75,17.23,-16.88,-7.5,411810,7136,0.9586,1.616,-0.0222,2025,TREND_EXTRAP
2045,06053,80-84,F,NH_Multiracial,1477641,1641932,1548714,1741843,7.18,4.13,-18.86,-8.79,976263,42285,0.941,2.168,-0.0038,2025,TREND_EXTRAP
2045,06054,5-9,F,NH_Black,1705127,1846683,1789219,1902050,10.75,4.34,23.28,-2.22,419885,57496,0.8621,2.157,0.0119,2024,HYBRID_SCEN
2021,06055,0-4,F,NH_Multiracial,782759,793051,759656,820012,13.4,14.11,-10.92,-0.73,860673,11800,0.945,1.794,-0.0056,2020,TREND_EXTRAP
2041,06056,20-24,M,NH_Multiracial,1668962,1678297,1600714,1737708,0.57,21.67,20.43,10.63,1154523,53112,0.9211,1.767,-0.0265,2021,HYBRID_SCEN
2041,06057,80-84,F,NH_AI_AN,1770903,1958496,1920032,2051663,5.06,6.85,-4.47,7.07,847970,52238,0.9893,1.895,0.0123,2023,HYBRID_SCEN
2022,06058,0-4,M,NH_AI_AN,177468,187760,179939,192868,9.92,14.92,-5.7,1.24,5692,13417,0.8931,1.463,0.0002,2025,MICROSIM
2046,06059,30-34,M,Hispanic,2154714,2337782,2234569,2497113,9.83,8.07,10.05,9.62,410243,25305,0.9582,1.831,-0.0293,2019,MICROSIM
2037,06060,10-14,F,NH_AI_AN,735622,830281,815750,868906,11.66,19.97,-24.51,-5.09,116559,36735,0.9589,1.213,0.0068,2023,MICROSIM
2031,06061,75-79,F,NH_AI_AN,1276985,1250438,1228323,1292908,5.82,13.87,-8.1,-8.1,158764,45129,0.883,1.771,0.0252,2025,COHORT_COMP
2020,06062,75-79,F,NH_White,507495,585558,560858,614075,9.96,6.15,-9.87,15.64,724362,37719,0.9846,1.603,-0.0233,2021,TREND_EXTRAP
2041,06063,55-59,M,NH_Asian,2185954,2466112,2420797,2549279,3.82,7.24,18.4,6.92,1039817,4002,0.9232,2.01,0.0054,2021,TREND_EXTRAP
2031,06064,40-44,F,Hispanic,2068290,1958119,1923928,2073780,3.77,10.65,1.46,9.47,202717,2332,0.9512,1.966,0.0137,2023,MICROSIM
2024,06065,65-69,F,NH_White,2073223,2511057,2413619,2621720,10.59,4.44,-6.77,-0.78,939567,26149,0.8717,1.657,-0.0258,2024,HYBRID_SCEN
2049,06066,55-59,M,NH_Asian,1033724,1126017,1062198,1140112,12.5,3.57,-11.7,1.16,521523,44228,0.8884,1.209,-0.0286,2019,HYBRID_SCEN
2049,06067,75-79,F,NH_Multiracial,566135,589509,554185,601656,2.61,15.6,4.53,-7.53,961759,4375,0.9373,1.503,-0.0021,2023,HYBRID_SCEN
2046,06068,80-84,M,NH_White,527909,581303,561634,617285,2.65,10.14,-17.42,15.71,204627,29458,0.8975,1.96,0.0175,2023,HYBRID_SCEN
2044,06069,55-59,F,NH_NHPI,2181445,2206207,2111789,2302781,10.39,16.52,-12.69,7.77,291480,33453,0.9245,1.287,-0.0204,2024,COHORT_COMP
2036,06070,15-19,M,NH_White,1601528,1766113,1748198,1884478,5.23,4.2,-10.32,-7.49,906461,20272,0.9057,1.329,0.0202,2023,TREND_EXTRAP
2035,06071,80-84,F,NH_AI_AN,288135,294586,288287,298811,7.37,14.2,5.4,14.14,801469,58923,0.9454,1.976,0.0094,2019,MICROSIM
2050,06072,0-4,F,NH_Asian,584010,695685,680424,714966,7.51,10.87,-6.34,3.32,75792,17352,0.9226,2.107,-0.0101,2022,COHORT_COMP
2034,06073,80-84,M,Hispanic,528536,567439,560494,579702,3.62,3.16,0.29,12.95,394131,56472,0.8507,1.586,0.0009,2019,TREND_EXTRAP
2042,06074,50-54,M,Hispanic,1599917,1774290,1746586,1850993,0.52,12.9,7.52,-9.62,1197123,2033,0.9468,1.788,0.0279,2024,COHORT_COMP
2034,06075,85+,F,NH_Asian,585168,598530,572140,618262,15.43,3.66,22.81,-9.14,1068967,39843,0.9129,2.335,-0.017,2023,HYBRID_SCEN
2024,06076,5-9,M,NH_AI_AN,2141983,2396857,2272937,2443443,13.01,18.55,13.24,-4.88,1000124,21645,0.9009,2.335,-0.0,2020,COHORT_COMP
2040,06077,40-44,M,NH_Black,751893,803957,785702,843001,12.58,14.64,-4.74,-3.67,846758,25343,0.864,1.569,0.0075,2020,COHORT_COMP
2033,06078,40-44,M,NH_White,1693981,1669060,1600484,1739457,10.06,13.14,12.41,12.92,445208,47415,0.8828,2.172,-0.0217,2021,HYBRID_SCEN
2021,06079,55-59,M,NH_AI_AN,826492,872506,840797,895613,12.77,4.67,22.48,11.2,242270,645,0.8833,1.913,-0.0274,2022,HYBRID_SCEN
2030,06080,60-64,F,NH_NHPI,600698,712347,692059,739976,16.87,7.75,-0.03,8.48,1072097,31775,0.9894,2.371,-0.0292,2025,MICROSIM
2038,06081,75-79,F,NH_Multiracial,398391,446810,440283,471270,12.15,11.86,-4.48,16.55,632993,4121,0.9144,1.773,-0.0105,2025,MICROSIM
2026,06082,60-64,M,NH_Asian,500701,524364,503889,536065,5.14,14.67,-21.1,-2.59,549447,8112,0.8563,2.13,-0.0256,2024,TREND_EXTRAP
2025,06083,65-69,M,NH_White,1042066,998142,977346,1025665,10.48,5.66,19.62,17.13,403931,9271,0.8707,2.122,0.0182,2021,MICROSIM
2047,06084,30-34,M,Hispanic,1045363,1066323,1016650,1099130,8.24,2.18,-12.68,17.28,589684,39204,0.8618,1.797,0.0298,2025,MICROSIM
2021,06085,5-9,M,NH_Multiracial,1059144,1043904,1017700,1101113,10.24,8.9,-21.8,3.03,677003,25212,0.9377,2.155,-0.0263,2021,TREND_EXTRAP
2025,06086,55-59,F,NH_Black,887698,851568,800541,903356,9.56,11.66,1.86,-7.17,993683,45285,0.8778,1.513,-0.004,2020,COHORT_COMP
2037,06087,80-84,F,NH_NHPI,1619782,1809515,1779794,1868474,15.53,5.69,17.29,11.8,168480,10292,0.9243,1.347,-0.0285,2019,COHORT_COMP
2021,06088,20-24,M,Hispanic,1835795,1971172,1855895,2025965,11.91,11.84,-4.67,0.11,133055,23481,0.9051,1.71,-0.022,2021,COHORT_COMP
2037,06089,45-49,M,NH_Asian,1071413,1261810,1231069,1341766,3.8,8.77,14.15,13.85,1020125,41060,0.9698,2.332,-0.0106,2021,HYBRID_SCEN
2049,06090,85+,M,NH_White,248167,250683,236221,268221,1.6,11.1,16.82,-5.09,472359,38354,0.8978,1.801,-0.0064,2025,TREND_EXTRAP
2034,06091,10-14,F,NH_Asian,657021,702922,670104,738223,7.93,8.95,-2.28,6.19,277660,28493,0.9183,1.962,0.0264,2022,COHORT_COMP
2046,06092,60-64,M,NH_Multiracial,887599,875482,844717,936239,0.77,14.57,4.55,5.24,1008078,29475,0.9575,1.949,-0.0062,2025,MICROSIM
2038,06093,60-64,F,NH_White,1401291,1449365,1392835,1521250,6.07,2.86,1.7,-6.99,487354,868,0.9146,1.359,-0.0002,2020,MICROSIM
2050,06094,45-49,M,NH_AI_AN,1417731,1498078,1422562,1578985,6.94,5.42,21.96,0.9,105564,47370,0.9682,1.668,-0.0153,2019,MICROSIM
2021,06095,5-9,F,NH_Black,1531681,1604467,1534978,1657926,7.07,10.66,11.28,-7.46,1040975,38682,0.9486,2.048,-0.03,2022,TREND_EXTRAP
2039,06096,75-79,M,NH_AI_AN,408474,438379,428026,454151,17.64,9.13,21.27,3.94,864032,8213,0.9112,2.366,0.024,2019,TREND_EXTRAP
2044,06097,15-19,F,NH_AI_AN,133748,150907,146902,153721,5.82,9.83,-14.0,15.29,746211,59969,0.9251,1.402,-0.0251,2025,MICROSIM
2025,06098,20-24,M,NH_Asian,1152382,1292955,1220020,1369711,5.14,18.08,-9.49,-1.89,1123619,22739,0.9941,1.693,0.0279,2019,HYBRID_SCEN
2020,06099,30-34,M,NH_Multiracial,2262378,2316312,2263884,2468872,2.76,19.73,-21.45,12.95,1025083,1903,0.9486,1.314,-0.0221,2021,HYBRID_SCEN
2043,06100,40-44,M,NH_Black,944631,1009034,951168,1056868,9.44,6.97,-0.0,-4.5,821819,35344,0.9848,1.491,0.0063,2022,COHORT_COMP
2034,06101,20-24,F,NH_White,2471821,2762620,2671857,2847208,3.19,18.73,18.7,10.21,1091312,47491,0.8766,1.652,0.03,2021,COHORT_COMP
2047,06102,35-39,M,NH_White,700770,793372,756086,808637,11.29,11.18,-8.66,17.47,379116,36877,0.922,1.849,-0.0217,2023,COHORT_COMP
2049,06103,5-9,F,NH_NHPI,90917,93674,90806,96101,3.22,7.48,-18.59,-0.28,744467,20998,0.9854,1.477,-0.0046,2019,COHORT_COMP
2042,06104,30-34,F,Hispanic,429138,477411,455004,489501,10.59,21.71,-21.58,17.01,32486,57166,0.8981,1.473,0.0168,2022,COHORT_COMP
2029,06105,15-19,M,NH_NHPI,1061060,1156416,1143982,1210549,14.96,18.5,-2.62,5.16,1004933,52445,0.9942,2.133,-0.0281,2020,TREND_EXTRAP
2038,06106,70-74,M,NH_NHPI,1138388,1145264,1094284,1221655,1.24,21.89,-16.8,-0.5,165575,18319,0.8645,2.355,0.0114,2021,TREND_EXTRAP
2036,06107,85+,M,NH_White,192958,215728,205394,218510,7.85,5.36,-7.69,16.9,172321,33383,0.9845,1.588,-0.0252,2023,HYBRID_SCEN
2024,06108,5-9,F,NH_Asian,525108,566640,540531,572341,8.57,4.88,16.0,-9.04,343245,21441,0.9163,2.026,-0.0158,2024,HYBRID_SCEN
2048,06109,65-69,M,NH_AI_AN,1536463,1483480,1460966,1551736,14.34,12.07,-5.8,-9.16,69926,10642,0.861,1.51,-0.0204,2023,TREND_EXTRAP
2023,06110,45-49,F,NH_Multiracial,1924282,2025054,1967969,2079818,8.69,14.77,5.49,7.99,378686,11776,0.981,2.314,0.0244,2023,HYBRID_SCEN
2029,06111,20-24,F,NH_AI_AN,415605,445691,435232,473695,10.43,5.42,0.11,13.9,699199,24862,0.8875,2.007,-0.0192,2021,MICROSIM
2043,06112,55-59,M,NH_AI_AN,1409291,1456714,1436175,1499883,14.35,19.21,10.93,12.55,190786,31103,0.8533,2.163,-0.0276,2020,HYBRID_SCEN
2036,06113,45-49,M,NH_Black,1304159,1491558,1470070,1532403,10.3,12.64,-17.19,-7.62,466404,11510,0.8702,1.259,0.0053,2025,MICROSIM
2029,06114,85+,M,NH_White,1977350,2265782,2213549,2325078,6.77,10.22,21.02,18.51,385589,34691,0.9482,1.918,-0.0092,2022,MICROSIM
2036,06115,25-29,M,NH_Multiracial,2139429,2240090,2127841,2281959,2.0,14.04,7.18,11.09,266304,13402,0.9957,1.833,-0.0057,2019,COHORT_COMP
2047,06116,55-59,M,NH_Asian,46750,48641,47773,50824,13.27,14.7,-11.45,18.47,301946,6455,0.8666,1.552,-0.0229,2020,HYBRID_SCEN
2039,06117,0-4,M,NH_Black,891872,947280,900094,966313,15.74,2.86,-18.84,-0.13,834142,40372,0.9188,1.515,0.0149,2021,MICROSIM
2043,06118,30-34,F,Hispanic,1351350,1429721,1397044,1480444,17.48,22.0,-17.51,10.82,508622,40920,0.8769,1.896,0.0061,2024,HYBRID_SCEN
2024,06119,55-59,F,NH_Asian,475647,492032,479377,510561,16.72,9.28,14.13,15.8,921414,2773,0.961,2.048,-0.0081,2022,HYBRID_SCEN
2021,06120,30-34,F,NH_NHPI,1753782,1490714,1457835,1507454,14.45,3.23,4.41,1.41,63764,43050,0.8676,1.24,-0.0197,2019,TREND_EXTRAP
2025,06121,40-44,M,NH_Asian,2112868,2483229,2400374,2510565,11.76,19.05,-5.96,18.95,1178033,54345,0.8857,1.881,0.0056,2024,TREND_EXTRAP
2040,06122,70-74,F,NH_Asian,2443945,2615082,2541693,2722856,14.18,21.86,-8.35,-2.05,115717,27377,0.8793,1.405,0.0167,2022,COHORT_COMP
2021,06123,55-59,F,NH_AI_AN,876836,928833,917376,976911,8.06,18.33,17.79,-0.53,1108753,58336,0.9323,1.368,-0.0113,2019,HYBRID_SCEN
2032,06124,60-64,F,NH_Asian,2242933,2443698,2309427,2606273,10.91,19.04,18.74,17.61,982679,9776,0.9801,1.948,-0.0284,2025,TREND_EXTRAP
2049,06125,15-19,F,NH_NHPI,704303,750221,716792,765785,6.6,14.52,4.06,19.09,794620,51055,0.9262,1.573,-0.0171,2019,MICROSIM
2030,06126,45-49,F,NH_NHPI,1588393,1658569,1609753,1685430,6.22,20.45,1.23,-1.44,285418,58219,0.8587,1.729,0.0109,2023,MICROSIM
2030,06127,10-14,M,NH_White,1509905,1524492,1506507,1544501,13.74,2.71,15.82,-5.91,517303,32059,0.9339,1.632,0.0293,2024,COHORT_COMP
2035,06128,20-24,M,NH_Asian,735303,705657,666689,731175,8.44,17.33,12.47,12.77,862677,29405,0.9688,1.978,-0.0292,2024,MICROSIM
2030,06129,15-19,F,NH_AI_AN,2285721,2259977,2126926,2367074,4.21,15.41,-4.98,17.89,572556,59229,0.8697,1.764,-0.0116,2021,HYBRID_SCEN
2038,06130,70-74,F,NH_Asian,114956,115300,108703,122267,4.03,2.99,-20.86,8.02,635457,143,0.8608,2.356,-0.0263,2020,MICROSIM
2034,06131,30-34,F,Hispanic,857341,950838,896279,999291,15.54,12.88,13.43,9.04,1065336,56648,0.878,1.623,-0.011,2025,COHORT_COMP
2044,06132,10-14,M,Hispanic,2480340,2761802,2721454,2823947,12.36,12.3,-16.56,12.89,1026521,51408,0.9612,2.088,-0.0056,2023,COHORT_COMP
2042,06133,75-79,M,NH_AI_AN,1418560,1442806,1408269,1497208,10.06,15.83,-24.18,-5.41,170210,25698,0.9382,1.509,0.0253,2023,MICROSIM
2042,06134,70-74,F,NH_White,34283,31203,30387,33219,7.52,3.55,17.17,19.2,871330,17083,0.9305,1.811,-0.0252,2022,HYBRID_SCEN
2035,06135,85+,M,NH_White,34652,37096,35839,38194,8.04,18.11,3.91,0.93,1167216,45169,0.8872,1.863,0.0166,2024,TREND_EXTRAP
2050,06136,10-14,M,NH_NHPI,445218,465122,455399,483691,1.51,4.79,19.58,8.85,430549,22702,0.8995,1.595,-0.0063,2019,HYBRID_SCEN
2030,06137,65-69,F,NH_NHPI,1602456,1671720,1584426,1784584,8.46,10.37,-0.77,4.06,732475,33038,0.9939,1.766,0.0187,2019,HYBRID_SCEN
2041,06138,0-4,M,NH_Black,149225,168229,161432,177327,14.42,19.63,21.32,4.05,528828,41022,0.8859,1.535,0.0008,2025,HYBRID_SCEN
2035,06139,30-34,M,NH_AI_AN,491715,530225,511402,559315,7.29,13.21,-7.3,11.08,1119067,1007,0.9843,1.207,-0.0276,2022,MICROSIM
2027,06140,5-9,F,NH_Asian,1804000,1824596,1725192,1870466,7.21,9.59,11.23,19.84,48931,27419,0.9365,1.459,0.0268,2024,TREND_EXTRAP
2023,06141,45-49,M,NH_Multiracial,2269193,2263781,2175438,2342745,0.78,2.96,-9.95,9.77,712988,46483,0.8684,2.04,-0.025,2021,HYBRID_SCEN
2027,06142,75-79,M,NH_AI_AN,908517,957797,915486,972106,8.51,15.45,-24.94,13.82,741001,43232,0.9196,2.125,0.0059,2019,TREND_EXTRAP
2023,06143,55-59,F,NH_Black,322398,327432,308368,342622,0.94,21.73,-6.01,-9.17,1151038,10174,0.9913,1.536,0.0227,2023,COHORT_COMP
2043,06144,85+,M,NH_NHPI,685838,730867,692011,742724,10.48,20.24,11.89,14.31,756000,30880,0.9124,1.69,-0.0252,2023,TREND_EXTRAP
2044,06145,25-29,M,NH_AI_AN,2140821,2422485,2369679,2568208,9.37,16.35,-17.5,-1.0,1014854,7203,0.9786,1.245,0.0032,2024,MICROSIM
2022,06146,80-84,F,NH_AI_AN,55245,54538,51314,57748,15.2,4.11,0.24,-6.2,402131,59772,0.8882,1.484,0.0195,2019,COHORT_COMP
2022,06147,35-39,F,NH_NHPI,1683532,1810246,1786192,1886305,10.68,6.79,-14.38,-6.6,1005237,36492,0.9351,2.135,0.0292,2019,COHORT_COMP
2046,06148,40-44,F,NH_Black,638773,718557,678548,731828,6.16,5.74,-21.27,10.4,449318,28989,0.9757,1.927,0.0135,2021,HYBRID_SCEN
2048,06149,5-9,M,NH_NHPI,1038847,1106194,1084027,1118953,9.53,9.11,5.87,19.93,1150130,27331,0.9872,1.447,-0.0133,2024,TREND_EXTRAP
2037,06150,30-34,F,NH_White,1760828,1960320,1930779,2073631,12.74,6.71,22.6,9.99,303024,44694,0.9224,1.509,0.012,2019,COHORT_COMP
2048,06151,50-54,M,NH_Asian,2118719,2230510,2201640,2333132,2.14,6.89,-9.46,-2.13,385551,22983,0.9453,2.18,0.0123,2021,COHORT_COMP
2045,06152,60-64,F,NH_NHPI,2148685,2321116,2282524,2443336,11.37,14.33,4.03,-3.9,59379,58636,0.8504,1.451,0.012,2023,TREND_EXTRAP
2038,06153,45-49,M,NH_Black,45756,50169,47880,51585,16.54,8.37,22.68,5.78,886245,55639,0.8877,1.601,0.0213,2021,TREND_EXTRAP
2038,06154,70-74,F,Hispanic,2337107,2420494,2315576,2518690,5.73,15.54,7.52,-8.05,302314,29735,0.8915,1.997,-0.0248,2019,COHORT_COMP
2040,06155,30-34,F,NH_White,502764,598007,574880,630795,11.47,20.96,8.66,1.98,4918,40685,0.8639,1.873,-0.0235,2020,COHORT_COMP
2024,06156,25-29,F,Hispanic,940195,1038590,983508,1077800,14.87,14.77,-16.05,9.99,420527,20893,0.8917,1.753,0.0084,2024,TREND_EXTRAP
2037,06157,55-59,F,NH_Multiracial,2184455,2508145,2360449,2623727,9.46,17.03,-0.37,19.03,956422,15739,0.8978,2.28,0.0272,2025,MICROSIM
2047,06158,10-14,M,NH_NHPI,1252890,1421104,1397593,1502652,13.06,17.03,-6.65,2.77,338113,29917,0.9943,1.464,-0.002,2019,TREND_EXTRAP
2029,06159,75-79,F,NH_White,2216495,2415175,2337180,2470514,5.94,8.61,-1.45,-3.99,141998,54552,0.9496,2.09,0.0276,2020,MICROSIM
2048,06160,40-44,F,NH_Asian,480309,553867,537492,561596,5.86,2.3,15.04,14.52,786131,20704,0.9135,1.391,0.0263,2023,COHORT_COMP
2041,06161,45-49,M,NH_NHPI,1261679,1364221,1345598,1421394,12.18,3.1,-1.97,12.33,541627,30152,0.9972,1.939,0.0242,2024,HYBRID_SCEN
2040,06162,60-64,F,NH_Asian,1767913,1814256,1765735,1839161,12.84,7.64,-21.86,15.79,120004,58521,0.8728,2.245,0.0246,2025,TREND_EXTRAP
2025,06163,35-39,M,NH_AI_AN,144782,155045,151097,163726,16.9,15.79,20.28,-3.56,569270,47383,0.9209,1.749,0.0239,2022,COHORT_COMP
2020,06164,25-29,F,Hispanic,1971777,1990765,1949652,2096579,4.43,20.13,2.24,2.14,544446,38240,0.9464,2.069,0.0192,2024,COHORT_COMP
2024,06165,10-14,F,NH_White,1818293,1716282,1623289,1824240,8.69,21.18,21.22,19.45,223011,7206,0.8583,2.184,0.0117,2023,HYBRID_SCEN
2028,06166,55-59,F,NH_Asian,1352706,1378201,1320327,1444869,4.88,2.52,3.62,-5.26,800215,23256,0.9568,1.363,-0.0285,2023,TREND_EXTRAP
2031,06167,40-44,M,NH_Black,945240,1015540,1003770,1029789,1.9,21.8,-21.52,10.14,834616,24307,0.8649,2.047,-0.0221,2023,COHORT_COMP
2045,06168,40-44,F,NH_Asian,1903216,2157705,2127813,2212055,7.56,8.45,2.64,-2.88,240934,4716,0.8709,2.304,-0.0219,2021,MICROSIM
2033,06169,50-54,F,NH_Black,1160538,1182203,1163528,1251333,7.05,18.86,3.79,5.0,1019526,56270,0.8738,1.892,-0.0286,2025,HYBRID_SCEN
2021,06170,25-29,F,NH_NHPI,1196811,1353126,1302525,1380226,5.23,5.61,-14.28,14.02,645734,35388,0.9884,1.423,-0.023,2023,MICROSIM
2036,06171,5-9,M,NH_White,1928584,1923490,1890520,2023336,5.7,3.26,-1.45,4.66,1020360,18920,0.9518,1.352,0.0252,2022,TREND_EXTRAP
2033,06172,30-34,M,NH_Asian,250237,253947,239324,268375,6.81,9.57,-2.03,14.16,176146,37871,0.9477,1.512,0.0098,2019,MICROSIM
2045,06173,40-44,F,NH_Multiracial,142657,165046,156368,169965,17.8,19.18,6.14,2.79,957901,42928,0.9328,1.324,-0.0113,2020,HYBRID_SCEN
2032,06174,85+,M,NH_Asian,1400965,1503035,1443963,1547130,14.2,6.42,-12.02,19.98,653598,23464,0.8936,1.816,0.0176,2024,COHORT_COMP
2046,06175,55-59,F,NH_Multiracial,2287819,2424133,2337275,2529505,1.75,5.08,4.09,3.07,533584,38085,0.9425,1.284,-0.0007,2024,HYBRID_SCEN
2028,06176,50-54,F,NH_White,594305,644296,614127,684034,15.77,20.2,-12.95,-5.52,491671,13587,0.9111,1.468,-0.0215,2023,COHORT_COMP
2045,06177,45-49,F,NH_Asian,1725589,1721474,1648868,1761815,11.58,20.77,-2.68,2.06,1010605,1195,0.8717,1.728,0.0231,2020,COHORT_COMP
2044,06178,10-14,F,NH_Black,1185395,1244841,1180282,1327592,16.09,2.25,-18.86,12.28,222772,25083,0.9527,1.769,-0.0097,2023,MICROSIM
2034,06179,55-59,F,NH_Asian,1463103,1565753,1510100,1637694,6.48,16.55,-23.13,15.44,534356,49556,0.8693,1.878,0.0119,2021,HYBRID_SCEN
2044,06180,15-19,F,Hispanic,1275529,1459055,1429424,1560499,8.63,8.18,-8.97,3.8,284226,50446,0.8784,2.047,-0.0126,2020,HYBRID_SCEN
2041,06181,45-49,F,NH_NHPI,137145,132999,129417,135044,16.18,9.49,-11.27,7.83,692523,22438,0.9718,1.257,0.0,2023,COHORT_COMP
2034,06182,5-9,M,NH_AI_AN,1042592,1225858,1158913,1247425,5.27,11.38,-4.65,15.35,888757,20009,0.9484,1.297,0.019,2023,HYBRID_SCEN
2043,06183,55-59,M,NH_Black,1652631,1755955,1693406,1860607,16.52,10.54,23.1,14.41,770924,40636,0.944,1.273,-0.0206,2022,TREND_EXTRAP
2049,06184,50-54,M,Hispanic,1187337,1191334,1161410,1265060,15.0,12.3,1.11,9.73,160742,35587,0.9123,1.708,0.0286,2022,TREND_EXTRAP
2030,06185,65-69,M,NH_Multiracial,342721,340151,328754,352643,17.66,13.65,2.66,14.45,896614,21143,0.909,1.25,-0.0258,2025,MICROSIM
2050,06186,70-74,M,NH_NHPI,2436419,2646898,2539920,2786771,6.17,11.31,22.08,7.28,731994,54897,0.9528,2.095,0.002,2022,MICROSIM
2035,06187,65-69,M,NH_White,1180080,1167296,1133556,1239730,4.63,16.03,21.06,-9.86,295719,13696,0.9603,1.468,0.025,2025,HYBRID_SCEN
2048,06188,55-59,M,NH_Black,54187,56159,55509,56865,6.29,16.37,19.21,-8.76,333554,7564,0.926,2.327,0.0267,2021,MICROSIM
2036,06189,5-9,F,NH_AI_AN,855244,902287,852431,942381,17.21,10.81,-20.1,19.39,677832,3637,0.9944,1.784,-0.0161,2025,HYBRID_SCEN
2045,06190,5-9,F,NH_NHPI,1156691,1317032,1263693,1397646,6.33,4.85,6.71,-5.65,939420,34641,0.9924,1.736,-0.0214,2020,MICROSIM
2023,06191,0-4,F,NH_Multiracial,2490772,2817330,2705567,2912807,10.39,14.81,15.4,2.14,875338,17790,0.9115,2.137,0.0135,2021,TREND_EXTRAP
2020,06192,70-74,F,NH_AI_AN,979591,1010370,978895,1038804,7.56,17.46,16.78,18.01,166434,28159,0.9723,2.056,-0.0275,2019,COHORT_COMP
2027,06193,45-49,M,NH_White,604953,639579,606070,676509,7.43,14.76,3.9,-4.15,644325,5514,0.9309,1.929,-0.0009,2023,COHORT_COMP
2036,06194,0-4,M,NH_White,582611,567624,538579,584736,3.88,13.76,-24.13,15.31,61601,34345,0.9263,2.322,0.0178,2023,TREND_EXTRAP
2022,06195,0-4,F,NH_Multiracial,2040160,1933366,1844949,1953067,9.9,6.59,23.69,14.55,319280,56924,0.8582,1.707,0.0036,2023,COHORT_COMP
2048,06196,0-4,F,NH_Black,2019950,2012389,1987824,2148374,15.36,14.9,-1.39,19.59,162790,21763,0.9355,2.17,-0.0187,2022,HYBRID_SCEN
2039,06197,50-54,M,NH_Multiracial,507054,576716,563281,602972,1.37,8.7,-5.32,-1.55,185734,12568,0.9842,1.656,-0.0008,2023,HYBRID_SCEN
2034,06198,55-59,F,NH_Asian,1971640,2201937,2142671,2332227,16.06,20.39,-5.25,-0.54,914078,28003,0.9662,2.206,0.0253,2025,TREND_EXTRAP
2034,06199,70-74,F,NH_White,2052289,2243164,2200202,2376672,12.15,15.07,-3.79,17.09,848181,5311,0.9672,1.511,0.007,2022,TREND_EXTRAP
2050,06200,65-69,F,NH_NHPI,1127609,1107923,1048514,1123416,11.29,7.56,-12.89,-2.98,917466,41596,0.8738,1.547,0.0133,2019,TREND_EXTRAP
2043,07001,0-4,F,NH_Asian,240511,247077,242868,252080,11.45,11.46,-8.63,6.44,915377,38315,0.9034,2.013,-0.0098,2021,TREND_EXTRAP
2041,07002,0-4,M,Hispanic,1238403,1261351,1223184,1297510,5.68,18.93,24.27,11.22,648455,17191,0.8847,1.455,-0.0187,2021,COHORT_COMP
2033,07003,25-29,F,NH_AI_AN,1554244,1647560,1576330,1695737,7.77,8.71,-6.59,-1.84,504763,51547,0.8971,1.475,-0.0147,2025,COHORT_COMP
2045,07004,10-14,F,NH_Asian,73184,77301,75816,81129,14.49,12.51,1.34,18.15,813517,20908,0.9364,1.566,0.002,2021,COHORT_COMP
2047,07005,65-69,M,NH_AI_AN,1499210,1514026,1483939,1585772,5.86,15.59,17.41,9.97,1093336,1415,0.9044,2.015,-0.0132,2022,HYBRID_SCEN
2042,07006,25-29,M,NH_Multiracial,1788720,1951409,1916840,2028831,8.73,17.09,1.37,-8.59,1062389,40276,0.9335,2.267,0.0025,2024,MICROSIM
2033,07007,35-39,F,NH_Asian,1265697,1371682,1297303,1402786,0.84,5.48,-8.78,-5.93,1185935,47650,0.9153,2.009,0.0125,2024,HYBRID_SCEN
2043,07008,70-74,M,NH_Multiracial,1830788,1878883,1857215,1940733,13.34,13.3,1.19,-4.28,1067441,18833,0.8927,2.193,0.0141,2020,MICROSIM
2021,07009,80-84,F,Hispanic,1991836,2167628,2141575,2260002,7.81,20.24,-19.3,-2.65,631056,15406,0.8642,1.852,-0.0201,2024,TREND_EXTRAP
2032,07010,40-44,F,NH_White,1842146,2095362,2007091,2175151,9.69,21.37,-18.5,11.92,291966,29336,0.9829,1.283,0.015,2020,TREND_EXTRAP
