tech_broadband_reference_year,tech_broadband_country_iso2,tech_broadband_region_nuts_code,tech_broadband_technology_type_code,tech_broadband_households_covered_pct,tech_broadband_households_subscribed_pct,tech_broadband_download_speed_mbps_median,tech_broadband_upload_speed_mbps_median,tech_broadband_latency_ms_median,tech_broadband_5g_coverage_pct,tech_broadband_fiber_coverage_pct,tech_broadband_rural_coverage_gap_pp,tech_broadband_affordability_index,tech_broadband_price_eur_per_month_median,tech_broadband_outage_minutes_avg,tech_broadband_net_neutrality_complaints_count,tech_broadband_public_subsidy_program_code,tech_broadband_infrastructure_investment_eur,tech_broadband_desi_component_score,tech_broadband_data_extract_date
2015,AT,AT417,DSL,73.29,41.71,17.32,8.2,27.74,82.98,59.78,48.16,90.08,55.38,21.12,1,CEF2_DIGITAL,256652686.82,51.84,2025-11-11
2016,CZ,PL398,DSL,67.53,33.11,20.06,9.84,18.52,29.15,62.41,10.92,77.52,44.6,78.69,11,NONE,108338265.72,22.09,2025-06-02
2017,DE,NL202,DSL,38.0,33.28,51.0,2.12,47.88,78.03,11.76,10.67,41.03,41.05,103.33,8,STATE_AID_GBER,210825105.68,24.37,2026-02-22
2018,LV,HR184,DSL,38.14,15.55,45.67,13.05,37.58,46.49,42.61,33.24,65.05,35.36,295.8,60,NATIONAL_RURAL_FIBER,8429086.67,29.78,2025-09-30
2019,PL,PT655,DSL,74.09,56.59,50.75,3.93,41.64,54.3,47.79,33.14,78.37,27.41,278.4,13,ERDF_CONNECT,92113865.29,71.02,2025-09-01
2020,ES,IT966,DSL,41.6,19.93,14.48,13.76,21.92,11.93,59.75,46.66,72.94,21.39,357.99,8,RRF_BROADBAND,224555685.62,38.71,2025-01-13
2021,HR,LV3,DSL,48.22,31.12,12.07,9.17,20.2,64.63,64.7,35.56,55.09,72.61,285.65,24,CEF2_DIGITAL,123251842.61,31.21,2025-04-13
2022,FI,IT14,DSL,79.54,67.19,29.11,4.15,35.24,17.6,70.46,53.77,60.32,61.15,350.12,9,NONE,176028360.32,50.52,2025-12-20
2023,IE,SI60,DSL,36.36,24.63,43.33,12.91,48.9,13.04,63.4,45.61,75.08,33.04,215.42,18,STATE_AID_GBER,61048368.75,35.53,2026-02-07
2024,MT,DE33,DSL,47.55,37.96,53.21,3.0,42.86,61.47,58.23,16.3,96.89,33.94,384.63,55,NATIONAL_RURAL_FIBER,173045413.99,61.32,2024-06-09
2025,SK,LV12,DSL,71.8,54.27,24.78,7.27,34.57,62.58,7.61,47.66,95.0,33.0,407.73,11,ERDF_CONNECT,103106289.4,61.27,2024-12-01
2026,BE,GR15,DSL,60.66,44.54,30.76,10.87,40.41,72.79,41.42,47.33,69.28,32.41,29.61,21,RRF_BROADBAND,24304032.95,84.8,2024-02-25
2014,DK,MT768,DSL,62.05,41.96,40.14,4.44,36.33,60.16,64.68,25.64,56.76,20.41,140.38,21,CEF2_DIGITAL,84342449.91,23.26,2025-03-21
2015,GR,GR908,DSL,72.54,55.47,36.7,14.32,29.98,90.87,40.57,11.01,42.73,51.92,148.01,26,NONE,109348998.6,49.7,2024-10-28
2016,LT,SK29,DSL,62.79,53.42,37.96,10.14,24.15,82.31,48.7,21.28,85.77,32.15,364.14,14,STATE_AID_GBER,17748349.35,23.29,2024-10-22
2017,PT,AT732,DSL,65.62,24.54,53.44,4.38,51.94,14.4,56.66,51.72,86.95,58.48,193.6,17,NATIONAL_RURAL_FIBER,28179945.07,80.7,2024-10-01
2018,SE,DK788,DSL,73.2,48.8,47.71,5.81,50.19,62.75,60.52,43.14,66.9,42.07,144.16,24,ERDF_CONNECT,218767369.0,50.6,2024-05-11
2019,CY,BG9,DSL,35.05,31.2,26.76,10.64,52.45,30.56,38.75,35.03,48.32,70.15,405.89,26,RRF_BROADBAND,101229148.95,40.25,2024-05-29
2020,FR,LV640,DSL,64.34,48.51,15.86,10.61,19.7,96.21,9.21,30.92,92.65,50.86,201.32,40,CEF2_DIGITAL,372604945.71,80.05,2025-08-29
2021,IT,AT7,DSL,64.72,42.29,43.07,3.48,30.14,73.66,63.02,47.83,57.36,75.72,177.7,23,NONE,180355434.55,61.57,2025-10-02
2022,NL,PT44,DSL,70.44,43.97,20.68,7.1,27.97,10.91,50.84,25.07,63.7,84.74,340.15,57,STATE_AID_GBER,346460834.22,49.73,2024-02-07
2023,SI,HR819,DSL,81.95,65.69,15.34,7.0,42.5,15.98,40.04,44.12,84.54,75.04,365.55,24,NATIONAL_RURAL_FIBER,124756988.74,71.13,2024-01-02
2024,BG,LU7,DSL,70.75,49.61,20.62,14.12,28.85,79.75,17.92,18.15,43.54,73.0,342.4,28,ERDF_CONNECT,58237647.28,55.58,2025-11-06
2025,EE,PT862,DSL,83.31,48.26,17.51,11.73,48.26,32.06,7.98,54.4,76.33,75.63,38.21,23,RRF_BROADBAND,77381925.12,64.47,2025-01-19
2026,HU,RO60,DSL,37.78,20.14,27.9,1.84,22.56,21.19,24.55,12.65,94.02,45.18,352.95,75,CEF2_DIGITAL,122337611.09,29.76,2024-12-15
2014,LU,SE65,DSL,55.66,46.56,20.94,6.34,41.35,54.11,8.79,15.88,59.39,33.09,302.96,33,NONE,129514431.61,81.65,2024-12-04
2015,RO,SE79,DSL,74.14,67.72,10.19,12.85,22.89,38.64,17.68,34.83,56.96,75.83,78.83,26,STATE_AID_GBER,25947575.05,79.35,2025-06-28
2016,AT,CY956,DSL,59.1,51.94,51.53,14.17,27.61,21.34,29.61,11.16,70.24,50.42,187.59,29,NATIONAL_RURAL_FIBER,299802257.54,72.24,2026-02-18
2017,CZ,IT49,DSL,52.76,32.95,37.22,9.97,39.39,14.91,48.92,20.15,41.74,46.17,405.84,31,ERDF_CONNECT,174212258.01,22.3,2026-01-30
2018,DE,FI1,DSL,68.83,38.74,36.58,4.58,30.6,95.81,27.38,40.55,48.68,29.35,151.48,38,RRF_BROADBAND,227652876.07,36.68,2024-09-25
2019,LV,PL51,DSL,59.77,24.28,36.16,1.83,51.27,55.08,68.82,21.48,50.98,22.36,253.54,35,CEF2_DIGITAL,170021927.4,68.78,2024-08-23
2020,PL,RO797,DSL,84.02,55.19,42.68,12.32,50.55,20.84,64.68,31.76,50.32,32.1,394.13,68,NONE,199730083.28,22.66,2026-02-19
2021,ES,FR9,DSL,59.16,38.52,33.17,14.2,30.39,67.09,58.21,13.14,52.0,72.83,396.47,39,STATE_AID_GBER,25254483.0,25.27,2024-08-19
2022,HR,SE2,DSL,55.7,45.3,27.85,5.5,44.82,72.75,13.06,26.96,78.0,75.35,285.63,67,NATIONAL_RURAL_FIBER,32231492.04,80.98,2025-02-02
2023,FI,NL97,DSL,49.48,42.87,49.9,9.71,42.99,17.65,61.15,24.38,58.42,52.28,389.82,42,ERDF_CONNECT,32798991.94,76.68,2024-06-21
2024,IE,HR304,DSL,47.41,30.04,48.91,12.09,25.56,44.69,9.05,38.94,73.56,28.7,416.46,40,RRF_BROADBAND,41358592.54,26.02,2024-10-26
2025,MT,EE994,DSL,82.18,68.43,43.49,6.39,35.31,57.65,7.43,35.59,46.36,29.81,353.9,38,CEF2_DIGITAL,124890740.37,28.66,2025-09-01
2026,SK,PL23,DSL,35.59,17.92,46.83,6.13,29.91,58.69,49.21,40.08,50.26,33.19,18.05,37,NONE,306153796.86,81.39,2025-03-15
2014,BE,PT518,DSL,67.64,47.34,45.99,2.31,37.77,42.16,6.12,43.52,71.19,37.77,130.33,43,STATE_AID_GBER,199553956.28,35.55,2025-12-12
2015,DK,LT499,DSL,47.96,30.94,28.0,6.67,32.93,50.86,24.59,49.27,91.67,84.39,220.42,45,NATIONAL_RURAL_FIBER,294830430.07,22.7,2024-01-30
2016,GR,RO147,DSL,35.74,31.67,36.03,8.92,32.85,94.34,25.9,15.77,82.56,59.65,180.38,1,ERDF_CONNECT,83738807.29,44.15,2024-09-24
2017,LT,FI2,DSL,52.87,34.86,28.98,12.41,49.27,19.11,74.72,15.94,44.31,47.99,117.93,11,RRF_BROADBAND,9616041.94,23.69,2024-01-29
2018,PT,DE72,DSL,43.06,26.06,28.38,6.01,40.43,45.17,41.11,8.34,49.83,46.56,407.65,3,CEF2_DIGITAL,127378202.5,48.75,2024-07-06
2019,SE,EE20,DSL,60.75,45.77,34.65,9.37,52.33,47.81,9.15,54.87,66.28,57.43,151.61,11,NONE,150864069.76,79.39,2025-08-28
2020,CY,SK814,DSL,43.37,35.03,46.96,12.38,51.21,79.64,54.92,38.23,66.22,26.27,225.31,8,STATE_AID_GBER,414454347.73,64.97,2024-06-20
2021,FR,LT66,DSL,80.71,30.27,25.8,10.88,33.2,10.08,11.57,33.92,62.86,66.01,298.62,10,NATIONAL_RURAL_FIBER,339479951.28,45.97,2025-09-09
2022,IT,SI449,DSL,42.83,32.87,40.48,12.38,18.03,54.15,55.41,45.5,75.02,22.95,206.97,18,ERDF_CONNECT,134558085.61,52.92,2024-10-03
2023,NL,PL7,DSL,64.87,25.69,35.12,2.66,44.26,39.68,10.28,22.22,47.12,37.86,399.95,9,RRF_BROADBAND,191968950.68,38.01,2025-03-05
2024,SI,CY372,DSL,47.13,39.84,38.81,8.62,29.32,72.71,30.81,38.88,78.24,83.77,314.53,49,CEF2_DIGITAL,21323071.11,29.68,2024-10-25
2025,BG,BG539,DSL,68.87,61.66,10.3,4.13,47.73,52.86,68.83,19.74,63.88,68.37,156.35,41,NONE,109752338.26,73.63,2024-06-04
2026,EE,NL3,DSL,71.05,31.09,22.14,8.03,41.22,85.2,72.96,44.58,52.79,80.35,281.49,39,STATE_AID_GBER,66078499.21,63.52,2025-02-09
2014,HU,PT669,DSL,76.78,67.7,49.93,7.43,52.8,83.31,62.51,6.63,50.22,72.26,69.46,50,NATIONAL_RURAL_FIBER,192344757.93,62.28,2026-02-03
2015,LU,DK160,DSL,37.69,31.99,21.88,7.65,31.31,49.54,65.67,13.06,75.62,60.24,86.97,16,ERDF_CONNECT,54319370.71,50.88,2025-10-03
2016,RO,FR434,DSL,77.79,34.19,34.26,14.07,27.43,79.51,64.48,46.04,41.39,53.41,142.33,42,RRF_BROADBAND,99575788.33,54.01,2024-02-14
2017,AT,ES35,DSL,83.82,73.51,52.41,4.02,19.08,93.29,56.65,9.95,61.54,26.08,201.51,38,CEF2_DIGITAL,236779625.06,59.04,2024-03-31
2018,CZ,BE959,DSL,74.88,34.77,47.66,2.86,20.12,14.94,34.1,50.81,89.2,33.3,391.64,16,NONE,178972150.26,60.49,2025-08-18
2019,DE,FI514,DSL,65.1,56.75,52.95,8.24,19.71,86.59,37.11,6.93,90.95,38.82,324.76,17,STATE_AID_GBER,158042592.96,34.41,2024-05-29
2020,LV,SE257,DSL,44.82,39.85,34.15,14.81,41.51,54.08,70.25,27.45,80.5,27.13,395.71,23,NATIONAL_RURAL_FIBER,312332220.99,79.3,2024-11-10
2021,PL,SE9,DSL,77.75,30.4,46.2,11.35,29.42,21.38,32.57,32.33,56.66,78.14,316.19,55,ERDF_CONNECT,80251950.63,72.82,2025-12-03
2022,ES,RO6,DSL,75.19,68.97,31.85,8.34,25.69,52.18,71.5,8.24,68.22,39.17,271.75,24,RRF_BROADBAND,21744348.55,60.31,2025-11-19
2023,HR,EE43,DSL,60.09,46.9,48.21,11.31,53.69,31.37,59.87,50.04,83.68,26.37,399.25,29,CEF2_DIGITAL,120529301.02,21.1,2025-04-22
2024,FI,SE940,DSL,46.43,40.4,27.46,6.76,27.21,21.09,38.49,50.37,65.6,23.78,199.78,28,NONE,49067186.42,30.78,2025-05-15
2025,IE,NL72,DSL,68.33,25.78,22.78,8.74,19.99,83.09,69.63,10.93,97.28,54.22,264.92,62,STATE_AID_GBER,56344675.16,55.35,2025-01-06
2026,MT,BE16,DSL,48.33,31.95,39.93,11.47,51.17,45.28,60.29,48.26,59.87,41.32,380.67,30,NATIONAL_RURAL_FIBER,302251799.5,20.47,2025-09-12
2014,SK,BE90,DSL,45.08,22.28,35.57,1.71,44.44,26.1,20.77,48.53,75.94,60.58,179.78,35,ERDF_CONNECT,120321922.85,39.69,2024-09-13
2015,BE,LU661,DSL,84.64,76.94,53.38,4.08,22.62,87.89,64.36,24.42,63.96,44.74,317.4,35,RRF_BROADBAND,296281249.41,24.45,2026-01-20
2016,DK,PT49,DSL,69.1,60.5,52.72,10.72,26.73,17.03,28.14,43.19,86.55,72.74,366.38,35,CEF2_DIGITAL,326312398.47,54.21,2025-06-22
2017,GR,LV442,DSL,81.29,51.05,12.33,12.03,36.48,44.7,48.58,16.69,49.64,28.02,126.27,37,NONE,109525778.8,64.34,2025-07-03
2018,LT,AT613,DSL,74.66,34.01,50.03,13.65,32.72,27.69,39.95,26.01,42.69,50.36,369.06,38,STATE_AID_GBER,1615026.47,42.99,2024-11-22
2019,PT,ES15,DSL,42.2,34.45,31.54,12.11,47.61,91.59,43.37,40.3,62.25,68.66,300.53,31,NATIONAL_RURAL_FIBER,241604822.97,52.2,2024-11-18
2020,SE,MT13,DSL,56.93,23.25,12.85,11.79,53.3,92.08,65.07,53.46,49.08,69.38,162.26,84,ERDF_CONNECT,66405937.77,65.79,2025-07-06
2021,CY,SE14,DSL,65.42,49.41,38.68,12.3,35.58,72.83,14.93,28.98,45.05,32.28,98.9,37,RRF_BROADBAND,29519632.6,56.51,2024-03-06
2022,FR,CY5,DSL,36.88,20.11,47.82,5.0,25.27,41.31,25.24,50.67,68.62,82.47,25.91,38,CEF2_DIGITAL,78932673.12,76.24,2024-03-08
2023,IT,AT3,DSL,71.49,45.96,29.69,2.76,22.98,64.09,31.1,47.12,81.25,72.95,28.56,43,NONE,25657878.76,54.38,2025-04-24
2024,NL,AT943,DSL,73.61,57.01,48.25,7.68,21.89,89.45,48.35,8.63,73.44,39.39,365.89,41,STATE_AID_GBER,167229928.17,38.14,2024-02-01
2025,SI,DK56,DSL,64.46,41.09,49.91,11.87,49.08,20.8,6.15,18.26,59.68,32.22,392.24,46,NATIONAL_RURAL_FIBER,120841501.87,44.92,2025-10-05
2026,BG,BG48,DSL,50.8,34.43,29.63,13.56,31.14,30.45,35.12,31.1,64.66,73.92,189.12,40,ERDF_CONNECT,135133615.35,44.33,2024-10-23
2014,EE,HR320,DSL,78.6,52.04,33.35,3.91,40.7,85.97,22.65,44.73,47.82,33.83,158.92,49,RRF_BROADBAND,280308500.56,64.53,2025-10-16
2015,HU,HR12,DSL,68.5,33.09,16.07,8.2,24.85,32.61,73.32,11.49,88.73,48.52,199.12,46,CEF2_DIGITAL,294049805.81,81.98,2025-05-03
2016,LU,BE181,DSL,66.27,50.3,21.44,9.08,23.47,35.29,39.16,42.74,66.46,26.62,150.39,50,NONE,57150875.01,41.36,2025-02-03
2017,RO,SK205,DSL,66.96,27.24,25.43,5.95,33.2,51.53,70.55,42.94,65.36,34.87,321.42,9,STATE_AID_GBER,43747744.53,83.28,2024-04-08
2018,AT,SK13,DSL,54.12,37.85,17.36,7.79,50.4,40.25,73.29,52.31,78.78,19.15,104.46,10,NATIONAL_RURAL_FIBER,117125573.79,72.31,2026-01-27
2019,CZ,PT36,DSL,74.51,33.48,46.34,12.8,44.07,70.13,29.4,33.05,41.63,72.81,32.73,6,ERDF_CONNECT,240898871.02,49.02,2026-02-06
2020,DE,AT16,DSL,36.24,31.19,18.26,2.77,54.73,11.91,62.55,10.91,57.85,82.39,308.24,15,RRF_BROADBAND,29466140.51,65.95,2025-07-16
2021,LV,FI62,DSL,48.12,24.36,41.56,10.21,52.97,88.98,41.89,12.48,64.88,72.76,95.75,7,CEF2_DIGITAL,41190191.87,72.48,2025-09-14
2022,PL,RO8,DSL,81.48,34.83,12.21,4.29,46.88,17.12,43.53,22.15,91.48,48.52,46.03,9,NONE,56596846.17,71.1,2024-10-28
2023,ES,CZ39,DSL,50.31,39.73,27.52,7.08,32.39,81.14,42.2,33.41,54.29,62.74,327.96,17,STATE_AID_GBER,287249160.97,59.06,2024-11-16
2024,HR,HR889,DSL,83.36,65.14,25.06,2.14,35.31,22.9,11.82,32.96,49.14,63.11,51.63,16,NATIONAL_RURAL_FIBER,201387266.47,83.47,2024-07-16
2025,FI,AT79,DSL,82.02,67.74,27.75,13.22,43.04,58.64,61.96,8.02,62.14,29.77,87.9,13,ERDF_CONNECT,156911254.91,64.25,2025-08-17
2026,IE,FR63,DSL,48.87,37.74,53.31,7.43,34.84,79.05,29.41,38.1,94.51,77.31,117.55,10,RRF_BROADBAND,171390551.11,30.46,2025-10-01
2014,MT,CZ8,DSL,48.92,18.52,44.48,2.28,48.93,75.66,26.27,43.41,70.3,79.67,137.54,16,CEF2_DIGITAL,222191772.99,49.28,2025-06-04
2015,SK,IT417,DSL,70.22,39.93,51.99,1.6,22.91,48.84,7.55,42.48,53.81,68.26,320.7,22,NONE,210262623.31,50.82,2026-01-15
2016,BE,IT39,DSL,77.34,40.99,27.31,2.16,20.21,63.91,46.21,20.05,94.31,66.32,315.99,25,STATE_AID_GBER,218744648.59,26.97,2026-02-17
2017,DK,IT125,DSL,71.42,35.53,31.72,8.4,19.32,24.64,48.03,16.41,80.66,33.76,121.14,19,NATIONAL_RURAL_FIBER,26473775.69,36.94,2025-03-20
2018,GR,FI75,DSL,57.77,26.81,28.63,12.57,47.64,22.94,72.3,9.88,71.18,18.45,132.67,18,ERDF_CONNECT,216407062.32,40.85,2026-01-16
2019,LT,SI8,DSL,52.46,27.33,42.09,13.86,22.82,41.92,64.39,32.36,86.0,82.04,219.33,31,RRF_BROADBAND,105893498.18,50.34,2024-12-16
2020,PT,SK41,DSL,61.59,30.5,45.01,10.84,45.69,62.35,39.73,36.47,87.59,81.96,167.24,25,CEF2_DIGITAL,129026329.95,31.09,2025-04-21
2021,SE,AT24,DSL,59.83,34.01,24.67,13.45,32.56,66.56,49.92,13.0,67.69,27.21,317.15,17,NONE,151891550.59,22.21,2024-08-02
2022,CY,ES82,DSL,55.9,48.41,11.38,6.75,33.34,79.23,26.95,29.75,56.78,18.2,249.71,24,STATE_AID_GBER,20263483.97,74.33,2024-07-30
2023,FR,CY558,DSL,43.68,25.07,38.72,6.43,18.75,20.68,32.33,49.06,64.6,44.7,156.38,19,NATIONAL_RURAL_FIBER,153669672.35,79.85,2024-08-27
2024,IT,FI808,DSL,42.45,29.68,27.21,6.51,51.1,45.88,63.87,27.78,84.11,38.91,363.72,74,ERDF_CONNECT,50772873.29,46.36,2025-03-27
2025,NL,AT270,DSL,83.47,70.13,40.23,4.31,19.09,74.27,62.74,13.76,47.4,36.98,198.64,23,RRF_BROADBAND,164504229.9,59.8,2025-01-03
2026,SI,SE8,DSL,74.54,44.51,25.6,14.39,30.78,24.59,36.44,31.58,66.23,42.86,11.73,27,CEF2_DIGITAL,301479703.15,44.76,2024-10-27
2014,BG,FR90,DSL,83.24,30.05,12.31,2.79,50.49,35.13,11.88,8.07,93.66,60.93,287.88,34,NONE,291489940.74,26.37,2025-11-12
2015,EE,EE6,DSL,60.12,43.6,47.21,9.13,25.24,12.2,48.97,43.96,94.42,56.02,21.64,24,STATE_AID_GBER,51133154.63,76.44,2026-01-01
2016,HU,AT88,DSL,37.64,33.46,29.11,5.0,18.04,45.81,50.12,45.79,79.51,67.79,101.19,67,NATIONAL_RURAL_FIBER,6633345.29,37.81,2024-05-17
2017,LU,BG811,DSL,77.54,42.4,27.57,2.92,22.95,21.18,52.21,53.04,92.38,44.53,28.63,49,ERDF_CONNECT,182831894.01,82.6,2025-06-23
2018,RO,CZ4,DSL,79.15,67.21,26.84,6.52,37.86,10.55,29.63,33.17,92.26,60.13,103.97,49,RRF_BROADBAND,114000200.92,66.08,2024-06-28
2019,AT,PL932,DSL,44.31,30.52,38.6,13.24,40.01,44.03,72.98,35.69,78.57,33.68,246.56,41,CEF2_DIGITAL,36125060.76,78.7,2024-01-15
2020,CZ,LU6,DSL,41.15,17.46,30.12,2.72,28.86,61.34,9.56,35.29,96.02,28.54,407.23,32,NONE,206860165.83,79.24,2026-02-24
2021,DE,FR85,DSL,41.15,23.27,41.72,5.5,54.72,86.64,45.24,27.77,92.17,77.5,134.14,37,STATE_AID_GBER,6697210.33,26.52,2024-05-05
2022,LV,BE86,DSL,76.61,29.6,11.77,10.52,30.95,13.19,53.84,27.15,80.61,58.29,143.34,59,NATIONAL_RURAL_FIBER,264249681.97,59.28,2024-02-18
2023,PL,AT40,DSL,51.51,20.51,19.54,12.93,40.14,15.79,49.5,46.67,58.08,40.96,12.15,38,ERDF_CONNECT,92525471.4,71.14,2025-01-18
2024,ES,SK7,DSL,35.96,19.35,43.28,12.69,48.41,73.86,12.69,38.56,77.3,18.79,175.67,37,RRF_BROADBAND,30953852.98,51.32,2024-02-08
2025,HR,NL9,DSL,42.54,38.69,10.45,2.11,25.68,25.43,45.99,39.21,89.91,54.77,377.0,34,CEF2_DIGITAL,279343957.53,26.35,2025-08-30
2026,FI,FI90,DSL,72.48,57.42,28.7,6.75,41.87,77.9,69.56,12.09,85.0,18.3,58.94,37,NONE,88198285.59,74.89,2025-05-01
2014,IE,SI6,DSL,82.92,72.1,16.04,3.25,31.51,94.33,61.12,47.38,95.84,47.25,57.35,42,STATE_AID_GBER,94792814.27,56.79,2024-12-04
2015,MT,ES186,DSL,39.8,20.71,46.46,9.02,20.99,57.8,39.95,50.84,47.82,62.71,386.38,75,NATIONAL_RURAL_FIBER,14970067.17,75.41,2024-05-25
2016,SK,GR55,DSL,77.92,67.63,49.47,8.99,25.23,47.65,54.5,45.23,42.35,19.6,205.73,48,ERDF_CONNECT,131435066.63,64.55,2025-12-02
2017,BE,AT521,DSL,75.37,26.52,46.8,1.83,51.37,35.72,11.73,18.09,91.64,78.98,377.54,46,RRF_BROADBAND,116998739.71,35.25,2025-01-13
2018,DK,SK34,DSL,41.03,34.78,37.48,7.18,44.86,75.01,36.5,25.48,87.61,78.64,231.74,10,CEF2_DIGITAL,8787861.85,61.75,2025-11-23
2019,GR,NL390,DSL,77.46,30.84,19.31,6.47,37.81,46.67,58.38,26.4,51.12,62.59,381.31,33,NONE,218983556.22,27.87,2026-02-21
2020,LT,LV200,DSL,51.36,25.83,49.3,3.82,29.67,30.85,65.38,7.11,83.25,39.87,241.66,6,STATE_AID_GBER,7192838.93,72.76,2025-11-29
2021,PT,SI3,DSL,46.15,22.0,35.97,6.84,28.3,26.51,67.56,29.58,46.24,56.65,363.84,8,NATIONAL_RURAL_FIBER,126145488.92,46.02,2025-04-16
2022,SE,HR54,DSL,84.33,54.51,43.6,3.93,37.18,91.07,64.7,35.42,57.82,23.12,76.62,13,ERDF_CONNECT,161618434.09,35.83,2025-04-24
2023,CY,ES39,DSL,47.82,23.24,12.81,2.72,53.97,46.2,58.92,36.3,47.56,25.56,46.15,13,RRF_BROADBAND,88812585.5,46.67,2024-03-26
2024,FR,HU77,DSL,81.78,56.93,12.67,12.3,20.62,68.83,39.29,45.34,83.71,56.35,243.47,10,CEF2_DIGITAL,214878282.46,51.52,2025-07-10
2025,IT,LT92,DSL,81.58,74.33,12.72,5.18,33.34,53.01,70.52,29.31,76.27,23.5,19.95,12,NONE,130922555.09,39.5,2026-02-16
2026,NL,PL790,DSL,65.52,44.17,43.69,2.62,39.66,77.61,47.02,19.14,79.45,38.02,276.05,11,STATE_AID_GBER,8840244.18,23.81,2024-05-03
2014,SI,IT7,DSL,69.13,33.55,51.29,10.16,50.29,40.51,24.67,42.63,90.16,42.0,383.13,24,NATIONAL_RURAL_FIBER,173471002.12,70.08,2025-11-28
2015,BG,BG788,DSL,43.33,25.58,19.31,2.01,48.62,77.18,61.16,39.43,94.58,38.45,78.47,22,ERDF_CONNECT,28144033.61,41.98,2025-09-04
2016,EE,NL96,DSL,71.46,39.59,27.44,10.69,31.94,79.07,68.77,31.25,93.17,43.01,306.68,20,RRF_BROADBAND,249759597.38,53.67,2025-06-03
2017,HU,DK7,DSL,38.57,31.97,50.99,2.91,44.75,42.69,11.5,32.06,52.86,68.87,181.9,18,CEF2_DIGITAL,263827711.32,71.48,2024-01-28
2018,LU,BG67,DSL,56.35,26.7,17.39,3.8,32.59,89.65,21.74,46.87,74.59,83.99,153.45,73,NONE,350370295.7,63.7,2024-04-06
2019,RO,EE226,DSL,58.81,34.07,47.22,3.0,36.54,55.73,57.75,33.42,82.84,38.57,25.41,62,STATE_AID_GBER,103806994.13,44.22,2025-03-11
2020,AT,CZ721,DSL,55.44,35.54,17.69,7.85,35.47,19.46,74.76,7.85,55.44,70.86,205.8,48,NATIONAL_RURAL_FIBER,190186515.48,33.48,2025-01-04
2021,CZ,DE24,DSL,80.43,68.07,43.03,2.34,49.81,52.83,24.12,15.38,93.99,36.96,373.23,24,ERDF_CONNECT,246138804.83,58.12,2024-04-10
2022,DE,CY593,DSL,77.72,30.56,45.98,4.17,50.63,47.43,53.57,29.61,89.02,75.28,196.94,21,RRF_BROADBAND,376008948.1,39.35,2026-01-12
2023,LV,BG132,DSL,67.88,25.51,19.79,8.6,29.7,41.25,72.19,44.21,45.44,22.04,380.05,63,CEF2_DIGITAL,255848480.64,25.47,2024-02-05
2024,PL,IE433,DSL,72.11,63.45,25.47,5.94,47.75,66.3,68.81,24.71,57.45,71.11,128.95,24,NONE,249874849.19,37.34,2025-10-08
2025,ES,NL23,DSL,76.7,27.09,15.16,8.43,44.03,42.05,23.04,21.87,74.7,57.34,362.48,21,STATE_AID_GBER,177030816.12,41.53,2024-02-15
2026,HR,BE911,DSL,67.3,61.19,37.54,7.48,21.63,25.47,63.46,16.98,94.26,37.68,376.31,32,NATIONAL_RURAL_FIBER,114549773.23,47.08,2024-03-12
2014,FI,FI390,DSL,57.2,33.19,20.23,11.77,48.07,37.89,54.45,33.38,78.22,30.93,139.45,47,ERDF_CONNECT,85061680.21,33.52,2025-07-30
2015,IE,SI33,DSL,53.99,39.3,12.13,2.59,41.86,71.56,15.06,9.36,88.55,83.25,162.31,32,RRF_BROADBAND,39791154.15,28.29,2024-05-26
2016,MT,DK45,DSL,74.0,65.87,11.63,2.19,37.01,96.71,49.88,40.84,69.27,18.88,153.97,26,CEF2_DIGITAL,103097011.01,27.57,2025-11-19
2017,SK,LU3,DSL,67.87,33.0,19.97,3.08,37.38,81.33,58.32,47.03,81.53,30.74,156.03,30,NONE,201169252.84,22.34,2025-09-23
2018,BE,GR19,DSL,64.9,43.54,13.89,12.11,47.25,34.69,17.91,20.22,92.94,44.59,80.36,32,STATE_AID_GBER,85374264.0,36.63,2024-05-25
2019,DK,PL90,DSL,43.27,22.87,37.44,14.26,49.25,88.56,58.41,9.87,47.85,18.26,36.35,37,NATIONAL_RURAL_FIBER,198909564.16,24.55,2024-07-17
2020,GR,BG51,DSL,63.55,50.42,25.12,5.31,54.24,76.18,59.08,27.95,54.53,35.06,195.0,56,ERDF_CONNECT,231146461.83,23.5,2024-08-06
2021,LT,PL93,DSL,37.36,18.11,30.61,9.3,25.0,32.57,57.21,40.78,44.96,68.72,285.01,32,RRF_BROADBAND,37482657.74,47.5,2024-08-01
2022,PT,EE95,DSL,53.27,45.67,20.4,10.91,49.69,88.95,43.84,9.54,67.24,36.67,343.96,70,CEF2_DIGITAL,78975053.29,81.27,2024-01-15
2023,SE,RO473,DSL,72.99,59.18,46.2,11.82,36.72,31.81,60.51,50.56,68.73,51.77,192.81,41,NONE,269457443.59,77.0,2025-05-15
2024,CY,LV390,DSL,74.14,29.3,45.72,3.47,30.25,28.12,19.07,27.61,58.44,21.46,320.18,38,STATE_AID_GBER,323800174.35,78.8,2026-02-19
2025,FR,PT431,DSL,75.52,35.74,34.54,8.43,39.71,55.43,16.88,32.32,94.89,43.26,178.07,45,NATIONAL_RURAL_FIBER,190682168.95,31.61,2025-12-29
2026,IT,PT123,DSL,51.05,31.25,54.61,2.83,49.95,97.35,8.65,42.02,61.29,69.38,74.29,94,ERDF_CONNECT,105261815.36,75.25,2025-08-09
