biz_innov_reference_year,biz_innov_country_iso2,biz_innov_region_nuts_code,biz_innov_patent_office_code,biz_innov_patent_family_id_hash,biz_innov_technology_field_code,biz_innov_patent_applications_count,biz_innov_patent_grants_count,biz_innov_r_and_d_expenditure_eur,biz_innov_r_and_d_expenditure_pct_gdp,biz_innov_researchers_fte_count,biz_innov_horizon_programme_code,biz_innov_horizon_grants_awarded_eur,biz_innov_horizon_participants_count,biz_innov_startup_creation_rate_per_1k,biz_innov_spinout_count,biz_innov_tech_transfer_office_count,biz_innov_trl_level,biz_innov_open_science_policy_flag,biz_innov_data_extract_date
2017,ES,SI29,BOIP,8ca91570a0e75c9c68a0,ADV_MATERIALS,107,55,6705530247.32,1.216,3579,HORIZON_SPACE,112657491.88,22,6.404,43,25,6,1,2024-10-27
2018,HR,GR376,PRV,7a99de9faeab023eecdb,AEROSPACE,122,98,16578117749.57,3.493,4255,HORIZON_DIGITAL,127400134.18,38,2.692,14,26,7,0,2026-01-01
2019,FI,ES2,UKIPO,9a2348ef64e71c932da1,MOBILITY,127,125,24656349417.21,4.184,3999,EIC_ACCELERATOR,151539521.76,22,4.198,64,27,8,0,2024-04-17
2020,IE,FR199,DPMA,d5f03b5f705be9a527e2,FINTECH,127,56,18484948661.21,3.495,4023,HORIZON_INDUSTRY,187382364.28,37,3.612,35,28,9,0,2025-11-07
2021,MT,NL24,EPO,db5dc45623358ef8e1d6,AGRI_TECH,130,72,24290935420.85,3.942,4011,HORIZON_HEALTH,23842836.68,29,6.478,33,29,1,1,2025-07-14
2022,SK,PT113,UPV,92a5ce86c8fbde9e64ce,SECURITY,112,102,7899507967.86,1.365,4119,HORIZON_WIDENING,179251226.3,38,0.322,43,30,2,0,2025-04-20
2023,BE,ES77,OEPM,5da30d6abf79229efbd7,ICT,111,51,4361226306.33,0.751,4267,HORIZON_CLIMATE,91924347.29,35,4.364,31,31,3,1,2024-06-29
2024,DK,SI42,INPI,ac606fc8fd8dacf95e4c,BIOTECH,131,67,13791819180.71,2.704,4166,EIC_PATHFINDER,238081304.88,34,3.407,60,32,4,0,2025-01-18
2025,GR,SK76,EUIPO,da8b40fb768ba9a3195e,MEDTECH,135,63,14235458512.59,2.541,3771,HORIZON_SPACE,318583747.57,46,6.044,57,33,5,1,2024-09-30
2026,LT,LV48,BOIP,6b684761b71248394b62,CLEAN_ENERGY,136,87,17123281669.19,2.933,4123,HORIZON_DIGITAL,358739252.0,33,3.805,42,34,6,1,2024-11-20
2014,PT,CY244,PRV,f256d2f9f5c5d3c614e0,ADV_MATERIALS,135,98,20530570789.3,3.306,3910,EIC_ACCELERATOR,125801077.65,48,3.427,61,35,7,1,2025-01-13
2015,SE,AT292,UKIPO,30d2b0d38ad53cfe9b86,AEROSPACE,117,62,13781165583.83,2.283,4129,HORIZON_INDUSTRY,240066472.0,35,2.822,12,1,8,0,2026-02-06
2016,CY,IE59,DPMA,5f137763b553f1f67442,MOBILITY,142,119,9531188567.47,1.79,4004,HORIZON_HEALTH,54047105.26,51,5.102,36,2,9,1,2025-04-15
2017,FR,SE834,EPO,b9d2b7250fd013dc6cd1,FINTECH,123,62,6800705648.57,1.072,3712,HORIZON_WIDENING,145691497.39,41,2.721,16,3,1,1,2024-06-30
2018,IT,SE82,UPV,a97ea1bddebe23449427,AGRI_TECH,144,115,7644354506.33,1.159,3782,HORIZON_CLIMATE,5039750.43,37,4.98,24,4,2,1,2025-12-15
2019,NL,RO110,OEPM,4c38940a1de90e325517,SECURITY,127,109,5517472632.57,1.053,3913,EIC_PATHFINDER,168542143.1,36,1.792,14,5,3,1,2025-11-02
2020,SI,LT73,INPI,5b8c83661112eb4526cb,ICT,142,117,23591851879.77,4.053,4292,HORIZON_SPACE,142854622.97,42,0.206,38,6,4,0,2025-06-06
2021,BG,BE71,EUIPO,0ecc8f6c116f5310c3f5,BIOTECH,127,73,23992244721.3,3.91,4214,HORIZON_DIGITAL,280437767.97,32,4.79,64,7,5,1,2025-01-17
2022,EE,DK96,BOIP,78b06d84ff6ec86acd51,MEDTECH,146,142,23845333518.36,3.522,4105,EIC_ACCELERATOR,111615793.27,54,1.326,42,8,6,0,2024-02-02
2023,HU,CZ9,PRV,663b5cd0d557511cd9e3,CLEAN_ENERGY,124,113,24037282741.39,3.879,3623,HORIZON_INDUSTRY,371728455.39,55,4.735,14,9,7,1,2025-03-06
2024,LU,LV358,UKIPO,45d275ce1d0cd3101eb3,ADV_MATERIALS,146,62,23584784941.5,3.473,3701,HORIZON_HEALTH,86396520.14,37,2.859,49,10,8,1,2025-04-28
2025,RO,BG866,DPMA,55a53d6ece342fa9f09c,AEROSPACE,127,55,5969494711.24,1.155,3829,HORIZON_WIDENING,94867704.94,49,6.385,59,11,9,1,2025-08-09
2026,AT,CZ4,EPO,dab056196b9abc6b9b88,MOBILITY,145,132,5889047261.97,1.028,4131,HORIZON_CLIMATE,11023723.99,61,2.451,53,12,1,1,2024-12-05
2014,CZ,SK8,UPV,7d125294b6120a0f3483,FINTECH,144,58,3432715009.95,0.67,3717,EIC_PATHFINDER,88165690.34,51,3.805,60,13,2,1,2024-09-17
2015,DE,BE88,OEPM,e3ea1bfe4732d1c47d31,AGRI_TECH,144,76,25308502551.69,3.832,3893,HORIZON_SPACE,30878751.72,46,4.736,45,14,3,1,2024-10-11
2016,LV,BE3,INPI,d29ed813b4ffb7439bb1,SECURITY,136,135,25310261859.46,3.703,4262,HORIZON_DIGITAL,217533371.83,59,6.097,15,15,4,1,2024-02-02
2017,PL,LV56,EUIPO,3a294187580e31b85e56,ICT,135,61,26446988860.86,3.963,3613,EIC_ACCELERATOR,135615998.64,48,3.681,51,16,5,1,2025-02-20
2018,ES,SI67,BOIP,4172ddbcb04a9592f225,BIOTECH,139,72,3999421601.67,0.638,4319,HORIZON_INDUSTRY,10412951.94,59,4.894,18,17,6,1,2025-05-09
2019,HR,FI952,PRV,b83ccbd07d50dbd41312,MEDTECH,156,93,27773628253.18,4.078,3837,HORIZON_HEALTH,101243709.74,61,6.339,40,18,7,0,2024-05-06
2020,FI,BG57,UKIPO,ec441910dfa39bab1adc,CLEAN_ENERGY,157,67,12858430101.76,2.18,3782,HORIZON_WIDENING,49260465.41,46,1.025,18,19,8,1,2024-09-03
2021,IE,NL6,DPMA,13af5c19ec66b95d255b,ADV_MATERIALS,136,55,17673632838.45,2.482,4038,HORIZON_CLIMATE,128058107.34,55,2.406,19,20,9,1,2025-01-26
2022,MT,NL865,EPO,678a73d009413ad6de63,AEROSPACE,156,139,25415160749.38,3.852,4260,EIC_PATHFINDER,128842069.5,55,2.447,44,21,1,1,2025-02-13
2023,SK,LU511,UPV,99c042b514c5815f1e05,MOBILITY,157,126,9031965413.05,1.313,3873,HORIZON_SPACE,212791818.42,52,1.898,29,22,2,0,2025-10-24
2024,BE,IT576,OEPM,d6494f6d3514e8d75c9b,FINTECH,149,87,23573255486.03,4.065,3606,HORIZON_DIGITAL,277324339.82,65,1.909,33,23,3,0,2025-06-03
2025,DK,DK189,INPI,ed62756688dab9183973,AGRI_TECH,145,137,14430110003.92,2.716,3657,EIC_ACCELERATOR,176322986.44,62,1.195,31,24,4,0,2025-04-02
2026,GR,SI793,EUIPO,2ec31a87280ea5aca243,SECURITY,145,107,16611672203.35,3.109,4299,HORIZON_INDUSTRY,135015501.37,57,1.43,64,25,5,0,2025-06-13
2014,LT,DK319,BOIP,fff005f3ace435043d84,ICT,141,72,4948341656.74,0.842,3739,HORIZON_HEALTH,105592730.13,62,5.438,41,26,6,1,2025-04-29
2015,PT,SK676,PRV,7e292897907321144e5b,BIOTECH,147,73,19850241437.96,2.944,4185,HORIZON_WIDENING,171061008.24,71,1.745,69,27,7,1,2024-06-10
2016,SE,LT961,UKIPO,ca88540f41b2f7cdf919,MEDTECH,154,68,21290369808.34,3.239,3834,HORIZON_CLIMATE,90729021.2,54,1.836,55,28,8,1,2025-04-12
2017,CY,LT5,DPMA,5ee196fd96e767b99710,CLEAN_ENERGY,158,68,14829036346.56,2.042,4122,EIC_PATHFINDER,118297807.42,71,2.802,17,29,9,1,2024-12-08
2018,FR,ES6,EPO,bc6137ad053468f718df,ADV_MATERIALS,155,126,21382372177.54,3.509,4322,HORIZON_SPACE,35933530.7,78,3.595,35,30,1,1,2025-02-15
2019,IT,AT39,UPV,ed865f208c6b248e2b2c,AEROSPACE,171,94,13216082134.8,2.318,3756,HORIZON_DIGITAL,172228125.55,65,4.014,19,31,2,0,2024-06-05
2020,NL,ES3,OEPM,11accf0dc7278c20ef45,MOBILITY,170,125,9491497175.78,1.592,4224,EIC_ACCELERATOR,69279135.06,66,2.874,38,32,3,1,2025-12-07
2021,SI,BG151,INPI,84dfeb6e2a2d5b3ec5be,FINTECH,164,99,6834032841.36,1.156,4221,HORIZON_INDUSTRY,74935092.59,70,3.898,26,33,4,1,2025-11-02
2022,BG,CZ793,EUIPO,a94c7b006b526dcd7c98,AGRI_TECH,153,74,3141079850.51,0.411,3958,HORIZON_HEALTH,160900875.02,72,3.931,66,34,5,0,2025-05-15
2023,EE,IE55,BOIP,69175e6f459f4312ca00,SECURITY,166,94,25508370200.02,3.676,4282,HORIZON_WIDENING,343583708.89,64,1.379,49,35,6,1,2024-03-26
2024,HU,PT691,PRV,e573402ed6b7968c0717,ICT,157,72,21446399175.48,3.639,4204,HORIZON_CLIMATE,185170329.8,79,1.449,65,1,7,1,2026-01-01
2025,LU,RO258,UKIPO,c890024e6875383256f1,BIOTECH,160,146,6029810096.38,0.882,3698,EIC_PATHFINDER,191048520.63,73,4.533,28,2,8,1,2024-04-01
2026,RO,CZ339,DPMA,4cedcae761fe7891eaf6,MEDTECH,161,145,24142790899.78,3.571,3630,HORIZON_SPACE,90879461.29,74,5.671,36,3,9,1,2024-10-26
2014,AT,FR529,EPO,ac9e588e1cf93488a7d7,CLEAN_ENERGY,174,145,29637651019.7,3.816,3682,HORIZON_DIGITAL,53477444.11,83,4.2,61,4,1,1,2025-09-04
2015,CZ,DK964,UPV,ead86f54131ad28a1f46,ADV_MATERIALS,177,113,12678451429.8,2.18,3662,EIC_ACCELERATOR,153884283.34,80,0.79,42,5,2,0,2024-02-07
2016,DE,EE173,OEPM,35c0353120d79436d64b,AEROSPACE,168,68,7197205442.11,0.914,4147,HORIZON_INDUSTRY,125641670.14,78,6.127,18,6,3,1,2025-05-01
2017,LV,PT732,INPI,864fa449e5d5efe0102d,MOBILITY,161,130,14158479320.56,2.242,4258,HORIZON_HEALTH,56852204.35,90,4.543,21,7,4,1,2024-05-22
2018,PL,RO3,EUIPO,ade223c062590e4e22a5,FINTECH,160,132,15093146661.71,2.22,4238,HORIZON_WIDENING,32821020.84,89,3.908,26,8,5,1,2024-02-12
2019,ES,HR765,BOIP,f452cf57b1ea0d99e550,AGRI_TECH,180,129,21355309143.34,3.679,4076,HORIZON_CLIMATE,266861649.57,69,0.298,30,9,6,0,2024-08-28
2020,HR,PL579,PRV,cfce484d55a7be4fc39e,SECURITY,167,138,13610674538.08,2.212,4221,EIC_PATHFINDER,189792064.88,88,5.463,24,10,7,0,2024-06-19
2021,FI,FR119,UKIPO,2bb39f4797c1e09e3072,ICT,166,131,20106178233.95,2.694,3628,HORIZON_SPACE,123263887.07,80,5.904,69,11,8,1,2024-08-04
2022,IE,LU224,DPMA,01fd0345ee049d8392e1,BIOTECH,163,122,21582177258.22,2.804,4329,HORIZON_DIGITAL,150200226.76,83,6.368,52,12,9,1,2025-12-27
2023,MT,SE89,EPO,535f609050065cea8553,MEDTECH,180,74,22050124585.5,3.554,4267,EIC_ACCELERATOR,241150918.04,83,4.765,21,13,1,0,2025-02-27
2024,SK,FI2,UPV,026f9a153534dc9acef5,CLEAN_ENERGY,189,90,21207497195.11,3.543,4362,HORIZON_INDUSTRY,253949781.13,86,4.119,28,14,2,0,2025-04-01
2025,BE,RO1,OEPM,5f6ac350800e4d2433f6,ADV_MATERIALS,182,124,10316698155.62,1.44,3658,HORIZON_HEALTH,36198321.17,75,5.018,49,15,3,1,2024-08-13
2026,DK,IE285,INPI,68999249e26fbc72e1c2,AEROSPACE,171,95,24699422575.74,3.706,3693,HORIZON_WIDENING,150565191.56,86,0.222,33,16,4,0,2024-02-05
2014,GR,NL882,EUIPO,f7be3f976e468e0422b9,MOBILITY,176,167,19558445150.97,2.596,4113,HORIZON_CLIMATE,2584358.24,102,5.962,47,17,5,0,2025-05-13
2015,LT,HU918,BOIP,03c141884b347e3b45f4,FINTECH,184,177,3008607815.13,0.494,4247,EIC_PATHFINDER,132500187.55,93,4.237,53,18,6,1,2025-06-16
2016,PT,PL34,PRV,8792b089b1338e2481a8,AGRI_TECH,170,76,16671756078.7,2.705,3879,HORIZON_SPACE,120091208.28,87,3.908,49,19,7,1,2024-06-29
2017,SE,SE49,UKIPO,ba1dbfb245a222c42d8c,SECURITY,185,135,6229514250.39,0.817,3949,HORIZON_DIGITAL,124719234.65,80,5.114,62,20,8,0,2025-07-25
2018,CY,SK568,DPMA,081ed7ca1cf8fd801ba0,ICT,173,155,29920940431.27,4.122,4039,EIC_ACCELERATOR,122532126.83,98,5.785,60,21,9,1,2025-07-13
2019,FR,RO6,EPO,1d0a81e1dea5738eeebd,BIOTECH,177,174,6134556813.6,0.995,4365,HORIZON_INDUSTRY,79259973.74,107,1.165,64,22,1,1,2024-03-14
2020,IT,BE2,UPV,9352afbd609144a7ffa2,MEDTECH,179,82,21937308866.69,2.852,3991,HORIZON_HEALTH,172633114.76,104,1.251,17,23,2,1,2024-09-05
2021,NL,HU79,OEPM,1226f5fbac71655d2ef0,CLEAN_ENERGY,185,124,12542382285.61,1.496,3742,HORIZON_WIDENING,48479327.45,96,4.004,24,24,3,1,2025-08-29
2022,SI,CY7,INPI,41ba1975b7dca676f144,ADV_MATERIALS,177,96,27649614574.1,4.035,4422,HORIZON_CLIMATE,70159583.81,100,4.413,43,25,4,1,2025-08-28
2023,BG,NL313,EUIPO,37de30d3060182fe68d4,AEROSPACE,182,107,25103564035.36,3.448,4326,EIC_PATHFINDER,355979084.31,108,0.412,39,26,5,0,2024-07-26
2024,EE,BG6,BOIP,d4fcffec41ed7388d1fd,MOBILITY,185,144,15833340787.96,2.081,3968,HORIZON_SPACE,34865233.35,97,4.351,18,27,6,0,2025-08-06
2025,HU,CY684,PRV,7c6a5084ff544fe3b61b,FINTECH,183,136,28851489607.85,3.593,3947,HORIZON_DIGITAL,324311328.72,91,0.345,44,28,7,0,2025-08-22
2026,LU,SK82,UKIPO,0a0ef866643f1f582e78,AGRI_TECH,185,126,3938313703.56,0.453,4396,EIC_ACCELERATOR,120754306.76,93,3.082,30,29,8,1,2024-05-08
2014,RO,IT817,DPMA,31e86360d129e25aa0e1,SECURITY,204,130,12056175220.03,1.551,3711,HORIZON_INDUSTRY,79289916.03,96,3.579,26,30,9,1,2024-06-20
2015,AT,HU1,EPO,d82ecc2d47d3c513b0aa,ICT,9,4,18475064155.11,2.186,4402,HORIZON_HEALTH,78693434.9,18,0.869,30,31,1,1,2025-05-18
2016,CZ,GR4,UPV,342d5ef3fc298ba42585,BIOTECH,27,24,23013913915.98,3.438,4432,HORIZON_WIDENING,217012821.1,9,0.585,9,32,2,1,2026-02-01
2017,DE,SK78,OEPM,9378448f79349ea6f416,MEDTECH,24,19,22994495972.03,2.81,3755,HORIZON_CLIMATE,167949624.9,21,2.211,34,33,3,1,2024-10-22
2018,LV,LT371,INPI,a6730c68ce6ecb078b7c,CLEAN_ENERGY,15,11,17166284139.77,2.628,4101,EIC_PATHFINDER,10858018.45,23,0.946,44,34,4,1,2024-02-04
2019,PL,DK7,EUIPO,adc74e9c5a09cf3f1e6b,ADV_MATERIALS,15,9,3047373677.82,0.428,3677,HORIZON_SPACE,333902572.62,15,1.421,41,35,5,1,2024-06-04
2020,ES,GR144,BOIP,3e1f5ff8856f3e6044dc,AEROSPACE,24,20,8384052529.31,1.117,3753,HORIZON_DIGITAL,147409897.28,18,4.777,54,1,6,1,2024-05-25
2021,HR,IE5,PRV,f93f5826ef95311c1f23,MOBILITY,23,20,25248379517.06,2.901,4185,EIC_ACCELERATOR,192990749.87,29,5.032,29,2,7,1,2025-03-13
2022,FI,IT49,UKIPO,12d3de4ea3e11e6ddfd6,FINTECH,14,8,17546839707.65,2.394,4356,HORIZON_INDUSTRY,144869474.0,20,0.714,24,3,8,0,2024-11-21
2023,IE,RO916,DPMA,c2842692a919af6d603c,AGRI_TECH,14,8,15330406053.29,1.82,4259,HORIZON_HEALTH,197183231.28,34,6.12,10,4,9,0,2026-01-18
2024,MT,LV58,EPO,70411e411aa2913d4b72,SECURITY,20,19,4499648833.5,0.589,3769,HORIZON_WIDENING,24327117.83,23,3.037,57,5,1,1,2025-08-12
2025,SK,PL597,UPV,d2e4e2c7f97db46db95d,ICT,30,19,32793841964.38,4.039,3840,HORIZON_CLIMATE,70545003.89,36,4.743,43,6,2,1,2026-02-19
2026,BE,ES151,OEPM,e2b8b42c6e7f242d0a30,BIOTECH,25,12,28267652282.85,4.139,4297,EIC_PATHFINDER,200006701.88,14,6.169,10,7,3,1,2024-09-08
2014,DK,NL186,INPI,9890bbef3b31022de539,MEDTECH,18,18,2825236219.04,0.428,3866,HORIZON_SPACE,186379084.93,16,3.041,11,8,4,0,2024-09-26
2015,GR,LV957,EUIPO,7b6131c0cd8bb705af9a,CLEAN_ENERGY,38,38,37900727682.0,4.118,4367,HORIZON_DIGITAL,148206652.15,20,4.269,44,9,5,1,2024-10-05
2016,LT,PT6,BOIP,89325821ebf39da92bdd,ADV_MATERIALS,20,18,8965694982.59,1.1,3981,EIC_ACCELERATOR,174112321.29,39,5.022,57,10,6,1,2025-02-17
2017,PT,ES412,PRV,0e58aaa97008ba47f6fe,AEROSPACE,21,10,13391112258.06,1.661,4471,HORIZON_INDUSTRY,36309374.41,16,1.619,33,11,7,0,2025-12-09
2018,SE,GR437,UKIPO,ea7df40f8c2bb232ae1d,MOBILITY,37,31,15517383917.11,1.872,3812,HORIZON_HEALTH,152576377.57,23,3.589,25,12,8,1,2024-12-17
2019,CY,DE813,DPMA,0927fb17057977ee1ead,FINTECH,26,24,13220928313.57,1.43,3729,HORIZON_WIDENING,949489.85,21,4.654,29,13,9,1,2025-12-05
2020,FR,EE246,EPO,e9fc4af2aeb299cf4018,AGRI_TECH,27,12,9943943054.44,1.348,4304,HORIZON_CLIMATE,218286038.84,37,0.788,35,14,1,1,2024-05-15
2021,IT,BE7,UPV,e55e2f086cf40656f70f,SECURITY,33,22,16018982318.03,2.38,4143,EIC_PATHFINDER,146281021.45,25,4.968,27,15,2,1,2025-09-22
2022,NL,FI1,OEPM,2211fe2ca518424df5e2,ICT,44,24,33861223972.22,3.846,4048,HORIZON_SPACE,268920701.76,26,5.846,22,16,3,1,2025-07-27
2023,SI,GR112,INPI,94591d34e4040cd3d2e9,BIOTECH,40,36,36052132958.01,4.018,4248,HORIZON_DIGITAL,46977116.85,30,3.739,27,17,4,1,2024-09-28
2024,BG,BG4,EUIPO,2d0310f1d7cb0f90cc59,MEDTECH,36,33,25244688313.87,2.98,4168,EIC_ACCELERATOR,273381029.41,23,3.159,42,18,5,1,2025-02-03
2025,EE,PT12,BOIP,cd455c713ab356ba6d32,CLEAN_ENERGY,40,31,26471190012.8,2.983,4249,HORIZON_INDUSTRY,157287392.41,35,4.924,23,19,6,0,2024-07-30
2026,HU,SI856,PRV,21e0a3a873a4647e508f,ADV_MATERIALS,30,17,29672540334.64,3.423,4013,HORIZON_HEALTH,135604530.97,50,6.302,57,20,7,1,2025-04-02
2014,LU,LV532,UKIPO,1bc2ae78f2a98eacca78,AEROSPACE,46,37,11209317075.41,1.513,4100,HORIZON_WIDENING,154690322.92,42,4.569,30,21,8,1,2026-01-21
2015,RO,PT37,DPMA,4d989f5cd84704dd3eb2,MOBILITY,42,23,27042860209.55,3.948,4280,HORIZON_CLIMATE,156765226.24,35,4.342,30,22,9,0,2024-08-22
2016,AT,SE91,EPO,a5d76e7c46da213d55a8,FINTECH,34,17,3646610618.96,0.514,4208,EIC_PATHFINDER,83085987.56,49,6.18,22,23,1,0,2024-05-10
2017,CZ,LT70,UPV,156333be4dd9a5643f40,AGRI_TECH,54,41,14320987747.31,1.566,4409,HORIZON_SPACE,231371917.06,42,1.35,32,24,2,0,2026-01-15
2018,DE,IT91,OEPM,131515cf6906687289b3,SECURITY,35,18,17947600815.05,2.212,4147,HORIZON_DIGITAL,130742645.19,42,6.205,29,25,3,1,2024-10-23
2019,LV,LT16,INPI,8013b623c44bd2db29c5,ICT,51,45,27263807172.04,2.831,4283,EIC_ACCELERATOR,134009225.06,41,3.685,21,26,4,0,2024-09-04
2020,PL,SE12,EUIPO,5d6aa433ca4e1a0485b8,BIOTECH,55,46,29533783707.11,4.146,4345,HORIZON_INDUSTRY,13803997.41,38,1.712,12,27,5,1,2025-10-15
2021,ES,SI2,BOIP,353999105560f25e9f07,MEDTECH,36,16,11238380933.39,1.141,4232,HORIZON_HEALTH,216825521.52,45,6.336,30,28,6,1,2024-09-20
2022,HR,LU23,PRV,9309b8119dee9c785c8d,CLEAN_ENERGY,42,30,18305568055.41,1.917,3920,HORIZON_WIDENING,256217299.57,37,3.079,47,29,7,1,2024-12-17
2023,FI,CZ5,UKIPO,aa62d8282ef0b2cd900c,ADV_MATERIALS,36,26,10950771895.9,1.41,3957,HORIZON_CLIMATE,9620936.31,58,6.488,22,30,8,1,2025-02-04
2024,IE,LV6,DPMA,1e88be8ca01d4034fb76,AEROSPACE,39,38,11884577347.06,1.524,4213,EIC_PATHFINDER,84648367.58,42,6.075,46,31,9,1,2024-05-29
2025,MT,FR728,EPO,ecdb145db3b453d7753c,MOBILITY,37,31,6191334604.3,0.87,4219,HORIZON_SPACE,202177764.2,45,1.488,39,32,1,1,2024-08-06
2026,SK,GR87,UPV,d0c4747ebdb36da2c4e2,FINTECH,61,53,11989017819.99,1.247,4514,HORIZON_DIGITAL,78636740.51,42,3.923,12,33,2,1,2025-09-22
2014,BE,DE751,OEPM,ccdb1f270baf4614e4a2,AGRI_TECH,48,23,32000185627.54,3.436,4428,EIC_ACCELERATOR,61143302.49,61,4.44,20,34,3,0,2024-01-09
2015,DK,LT8,INPI,9b6253a9b1cbec2cd3dc,SECURITY,53,45,10644810649.99,1.244,4197,HORIZON_INDUSTRY,91690606.09,48,6.078,13,35,4,1,2024-09-02
2016,GR,FI46,EUIPO,abc96d6110a7c84c14cc,ICT,45,45,7355691295.24,0.739,3784,HORIZON_HEALTH,95699677.15,58,6.35,8,1,5,1,2025-09-03
2017,LT,RO920,BOIP,40ecc4bfe427a0c1addc,BIOTECH,45,40,25054760184.21,2.981,3782,HORIZON_WIDENING,175563270.46,56,6.09,54,2,6,0,2025-08-24
2018,PT,CZ211,PRV,441856ec6ec761dab028,MEDTECH,49,30,39366053598.15,4.097,4240,HORIZON_CLIMATE,67778504.82,55,6.135,17,3,7,1,2025-07-01
2019,SE,FI538,UKIPO,463bfddd9efca59e90a2,CLEAN_ENERGY,51,43,5449967833.33,0.608,4478,EIC_PATHFINDER,163566527.4,54,4.339,51,4,8,1,2025-05-24
2020,CY,BE510,DPMA,535993fa565401b1c868,ADV_MATERIALS,55,26,10141708826.78,1.186,4136,HORIZON_SPACE,35344632.55,65,4.929,20,5,9,1,2026-01-07
2021,FR,LU89,EPO,0f8be7d6b63250a92664,AEROSPACE,54,31,12379196881.66,1.365,3971,HORIZON_DIGITAL,190754430.66,51,4.951,12,6,1,1,2024-01-29
2022,IT,CZ527,UPV,cbda3180fa5ef6517c4f,MOBILITY,67,67,24531714761.49,2.503,3947,EIC_ACCELERATOR,132929045.88,63,5.99,16,7,2,1,2024-08-13
2023,NL,LV682,OEPM,77d65d828058bc49a589,FINTECH,48,25,4370751857.6,0.518,4282,HORIZON_INDUSTRY,91360244.09,59,4.342,50,8,3,0,2024-02-17
2024,SI,HR983,INPI,bb9be746e6f7969e08d1,AGRI_TECH,66,49,10076671444.0,1.178,4012,HORIZON_HEALTH,106470649.14,50,6.278,34,9,4,1,2024-09-20
2025,BG,SI789,EUIPO,5eeebbf65be7a141b99e,SECURITY,59,25,3458936003.53,0.439,4401,HORIZON_WIDENING,61855267.89,64,3.452,33,10,5,1,2024-02-22
2026,EE,IT270,BOIP,8e883f6715b1983bdb31,ICT,66,52,14401379666.3,1.668,4525,HORIZON_CLIMATE,143887265.22,72,0.623,43,11,6,1,2024-06-06
2014,HU,IT33,PRV,d00d177cc8b7c5376dce,BIOTECH,60,40,6303518614.36,0.695,3876,EIC_PATHFINDER,177828217.41,77,4.571,38,12,7,0,2025-09-05
2015,LU,CZ68,UKIPO,aa081a539a3c4199f22f,MEDTECH,76,40,36950250919.46,3.654,4055,HORIZON_SPACE,166169999.94,71,1.982,50,13,8,0,2025-04-18
2016,RO,SE3,DPMA,68da8b1b2aca3ec74726,CLEAN_ENERGY,57,55,20877589533.43,2.074,4215,HORIZON_DIGITAL,76399665.8,58,0.316,53,14,9,1,2024-09-25
2017,AT,HR67,EPO,f86711b96fc8947dc540,ADV_MATERIALS,66,30,20118874907.8,2.586,3992,EIC_ACCELERATOR,75471409.78,61,3.445,26,15,1,1,2024-04-09
2018,CZ,NL4,UPV,c43813da2924e176adc1,AEROSPACE,74,64,21752341498.61,2.331,3831,HORIZON_INDUSTRY,59561740.71,72,2.321,15,16,2,1,2026-02-04
2019,DE,NL7,OEPM,78740d7f736f2a8b290c,MOBILITY,60,34,29340535798.74,3.476,4450,HORIZON_HEALTH,315451035.72,69,1.95,15,17,3,1,2025-04-25
2020,LV,IT309,INPI,2c8f1d35821483ddd54c,FINTECH,71,55,39009037019.59,3.819,4395,HORIZON_WIDENING,3423526.96,79,5.941,23,18,4,1,2024-11-13
2021,PL,IT2,EUIPO,19f4b9c66ab2385d7a82,AGRI_TECH,82,72,24445003179.49,2.933,4445,HORIZON_CLIMATE,80068587.36,72,0.419,33,19,5,0,2024-03-14
2022,ES,SE72,BOIP,8910b58648ac10b9b408,SECURITY,61,55,11626314981.2,1.159,4205,EIC_PATHFINDER,125296771.55,60,3.749,14,20,6,1,2024-09-16
2023,HR,PT666,PRV,6d172d60dc00429ccf4d,ICT,86,41,24318130508.55,2.411,4364,HORIZON_SPACE,160574976.94,68,4.69,49,21,7,0,2024-06-13
2024,FI,CY439,UKIPO,b3270a9d36da95490ff1,BIOTECH,75,46,40900041974.14,3.908,3910,HORIZON_DIGITAL,175580340.71,71,4.111,58,22,8,1,2024-12-01
2025,IE,LU231,DPMA,6396166f8f0089f72c29,MEDTECH,79,47,32638639602.31,3.062,3892,EIC_ACCELERATOR,247572153.42,82,3.657,7,23,9,1,2024-03-29
2026,MT,FR21,EPO,bb078234988fdab66eca,CLEAN_ENERGY,67,38,7039886198.68,0.901,4297,HORIZON_INDUSTRY,23757026.25,82,4.991,29,24,1,1,2024-01-24
2014,SK,LT6,UPV,5c13d8ac082a13b02e6d,ADV_MATERIALS,79,44,30509857208.02,2.923,3907,HORIZON_HEALTH,380384179.61,76,0.37,27,25,2,1,2025-07-14
2015,BE,SE749,OEPM,9197f0a12cbde6aef2df,AEROSPACE,75,44,10802175097.62,1.132,4229,HORIZON_WIDENING,142227862.53,69,0.247,43,26,3,1,2024-09-14
2016,DK,CZ72,INPI,40155dbb810dceb40801,MOBILITY,80,72,25594428272.52,2.935,3962,HORIZON_CLIMATE,182969824.96,88,1.43,18,27,4,0,2025-10-23
2017,GR,LU69,EUIPO,feecfee7cddfc78363f0,FINTECH,68,65,18190369255.53,2.18,4468,EIC_PATHFINDER,247248103.46,81,3.949,46,28,5,0,2025-08-28
