care_coverage_coverage_year,care_coverage_marketplace_rating_area,care_coverage_plan_metal_level,care_coverage_premium_second_lowest_silver,care_coverage_premium_benchmark_adjusted,care_coverage_deductible_individual,care_coverage_oop_max_individual,care_coverage_network_tier_type,care_coverage_covered_lives_count,care_coverage_uninsured_rate_estimate,care_coverage_medicaid_enrollment,care_coverage_chip_enrollment,care_coverage_medicare_enrollment,care_coverage_employer_covered_share_pct,care_coverage_self_insured_share_pct,care_coverage_subsidy_eligible_share_pct,care_coverage_csr_variant_code,care_coverage_plan_switch_rate_pct,care_coverage_special_enrollment_count,care_coverage_rate_review_status
2016,RA001077,SILVER,547.68,492.79,1155,6195,BROAD,27459,2.66,326704,28307,630541,20.9,36.4,43.89,NONE,32.95,47394,APPROVED
2018,RA001078,SILVER,365.37,373.52,5647,1891,HMO,180468,20.62,1028520,233400,940724,66.85,17.31,4.35,CSR87,39.71,70136,APPROVED
2023,RA001079,SILVER,952.62,981.9,6959,8365,PPO,201488,20.04,707469,164134,1550912,39.56,29.38,65.72,CSR87,13.14,49875,MODIFIED
2021,RA001080,SILVER,398.87,369.36,5124,2010,EPO,70721,15.59,691574,124630,1432240,62.35,14.97,64.81,CSR87,31.99,67817,APPROVED
2020,RA001081,SILVER,694.47,715.65,3444,7843,PPO,185331,14.46,483933,154419,445523,58.12,34.86,50.08,NONE,8.78,43088,APPROVED
2017,RA001082,PLATINUM,665.0,626.77,257,7019,NARROW,26317,1.64,968399,65692,251694,48.96,30.77,46.12,NONE,10.73,37992,APPROVED
2022,RA001083,SILVER,387.36,350.0,2175,4579,BROAD,112767,23.18,915229,84152,552281,73.45,42.24,83.66,NONE,31.42,40458,APPROVED
2025,RA001084,GOLD,674.55,660.49,3181,3026,HMO,29259,22.19,1196092,209232,396427,54.2,33.72,73.9,CSR87,24.69,16802,APPROVED
2022,RA001085,GOLD,682.76,669.41,7434,3980,EPO,118524,10.79,204485,417,176627,59.05,16.0,3.87,NONE,20.19,8281,APPROVED
2017,RA001086,GOLD,390.08,335.38,6265,4832,EPO,46686,11.47,1095825,45778,1517720,33.71,34.09,45.55,NONE,29.04,83841,APPROVED
2024,RA001087,GOLD,862.36,774.34,1092,2622,NARROW,248620,15.29,388087,52035,973980,57.14,7.46,35.6,NONE,25.33,62764,APPROVED
2016,RA001088,BRONZE,315.74,306.95,5521,8429,NARROW,25933,6.21,1170115,119255,63385,21.31,59.66,30.28,NONE,14.28,70194,APPROVED
2020,RA001089,BRONZE,412.6,393.26,9169,8814,EPO,66386,7.18,951449,54018,360720,23.8,7.32,23.03,NONE,40.01,28773,APPROVED
2019,RA001090,BRONZE,340.48,361.24,8425,2536,EPO,268449,23.36,200353,221325,1381388,25.0,40.1,7.58,NONE,11.27,16734,APPROVED
2016,RA001091,GOLD,429.07,389.48,6056,1930,HMO,33949,7.59,816127,208062,681087,63.48,33.48,27.61,CSR87,25.88,34402,PENDING
2023,RA001092,PLATINUM,350.92,314.49,9025,7321,NARROW,171825,2.97,1109434,45769,979898,51.87,63.19,79.87,NONE,22.55,73484,APPROVED
2020,RA001093,BRONZE,960.93,878.68,4799,3211,PPO,259762,11.51,918101,217295,1423697,62.53,11.39,40.74,NONE,16.16,72102,APPROVED
2015,RA001094,BRONZE,527.19,457.91,6112,1524,PPO,96916,21.82,916851,86972,1608418,44.6,51.35,58.66,NONE,33.51,8032,APPROVED
2015,RA001095,SILVER,974.84,1025.21,7183,6765,NARROW,108796,19.24,683437,143443,647396,66.53,21.51,1.83,CSR73,25.81,3168,APPROVED
2017,RA001096,GOLD,852.34,791.54,1207,1552,HMO,35398,6.26,1016544,165657,1541466,26.79,44.72,17.54,CSR87,26.3,49630,PENDING
2020,RA001097,SILVER,699.53,628.1,8476,7929,NARROW,146353,7.72,471301,105346,573629,61.34,36.72,32.3,NONE,16.62,34920,APPROVED
2017,RA001098,SILVER,660.5,622.93,6831,5161,EPO,202363,18.56,1065372,227057,1334729,26.24,38.69,22.67,NONE,5.2,72181,NOT_REQUIRED
2017,RA001099,BRONZE,822.13,708.66,7331,3444,EPO,230227,18.66,832973,233403,1016279,24.0,57.87,56.19,NONE,18.05,50070,DENIED
2023,RA001100,SILVER,515.25,469.98,5729,2302,EPO,207242,20.85,426546,232099,742189,53.51,7.93,60.38,NONE,8.25,76367,APPROVED
2015,RA001101,SILVER,647.82,666.16,620,6633,HMO,132148,22.7,856018,77589,1551737,66.03,60.52,40.84,NONE,33.41,30578,APPROVED
2019,RA001102,BRONZE,257.64,227.12,5373,6962,HMO,95801,4.52,1172913,3375,1253742,35.47,15.95,16.03,NONE,4.55,41451,APPROVED
2022,RA001103,GOLD,685.13,696.6,7795,2298,HMO,223280,13.84,487756,204269,794568,54.18,21.76,72.94,CSR94,4.63,77458,NOT_REQUIRED
2016,RA001104,SILVER,291.27,262.66,7687,8860,HMO,171464,3.47,603568,14750,1019987,42.01,36.26,9.07,NONE,39.94,37209,APPROVED
2020,RA001105,SILVER,569.24,551.39,5231,2560,NARROW,225431,7.32,971748,226509,409343,35.36,19.31,57.22,NONE,14.55,59266,MODIFIED
2021,RA001106,BRONZE,316.69,288.55,161,3146,BROAD,241229,13.57,92598,148500,1492503,68.95,23.12,5.74,NONE,26.8,4684,PENDING
2025,RA001107,GOLD,304.62,291.94,3262,6680,TIERED,9702,8.16,86137,159761,648799,73.91,23.55,54.33,NONE,24.55,10543,NOT_REQUIRED
2017,RA001108,SILVER,699.55,646.93,4094,4213,TIERED,150934,18.35,132266,80969,132201,70.51,56.04,53.65,CSR73,15.2,58341,APPROVED
2019,RA001109,SILVER,606.79,531.7,772,6768,NARROW,162558,2.26,594482,220953,1107002,31.17,13.97,29.83,NONE,39.18,26150,APPROVED
2015,RA001110,SILVER,904.34,942.48,2904,5042,HMO,273178,9.08,427133,18365,119817,29.75,17.34,42.59,NONE,36.94,56577,NOT_REQUIRED
2025,RA001111,BRONZE,950.91,893.22,854,6619,PPO,272058,8.67,451392,100613,1173858,28.66,56.32,15.28,CSR73,22.54,76367,NOT_REQUIRED
2024,RA001112,BRONZE,524.1,557.89,1330,7865,HMO,252528,6.7,692520,125302,598345,53.43,50.13,84.02,CSR87,1.38,9613,APPROVED
2019,RA001113,GOLD,342.96,365.2,7503,5428,EPO,114849,19.89,50039,191736,1195921,35.27,51.99,39.17,CSR73,24.56,55063,APPROVED
2022,RA001114,SILVER,482.42,432.2,3433,7446,PPO,207102,4.84,1144063,169196,818306,69.0,38.63,70.84,NONE,39.98,74975,DENIED
2022,RA001115,SILVER,656.62,579.72,8841,6520,EPO,127643,7.34,551183,76561,519928,27.91,39.99,80.18,NONE,40.05,42557,MODIFIED
2022,RA001116,GOLD,303.04,282.4,365,1554,BROAD,50893,3.85,775315,183314,1499303,37.77,32.28,8.27,CSR73,1.21,23139,APPROVED
2018,RA001117,GOLD,400.38,394.23,5045,8979,HMO,220155,12.94,706940,63230,550064,66.66,33.31,60.07,NONE,8.23,45071,DENIED
2019,RA001118,BRONZE,557.21,474.29,2399,1844,BROAD,259125,6.05,972106,91121,1540562,73.77,13.71,50.24,NONE,28.8,8043,APPROVED
2017,RA001119,SILVER,229.68,203.43,7403,8409,NARROW,125853,13.97,126915,14146,78546,60.02,19.8,21.61,NONE,34.03,58072,MODIFIED
2023,RA001120,BRONZE,520.47,528.55,1565,5958,NARROW,143156,5.21,566200,167289,1409479,20.6,61.05,17.21,NONE,5.36,26269,PENDING
2021,RA001121,GOLD,493.75,494.8,4995,2956,PPO,265199,8.82,342275,211362,1162108,72.97,62.94,26.24,NONE,25.67,788,MODIFIED
2024,RA001122,GOLD,614.11,528.7,5051,2652,NARROW,209140,5.1,677321,153571,276580,34.99,12.84,74.51,CSR73,29.44,53452,APPROVED
2021,RA001123,PLATINUM,370.81,392.59,2428,8988,TIERED,160287,2.69,931611,19495,929115,23.2,5.16,77.16,CSR73,13.31,65211,APPROVED
2023,RA001124,SILVER,269.18,238.54,5832,4840,HMO,264257,22.27,726720,70937,161550,71.89,59.92,17.48,NONE,3.13,31791,APPROVED
2017,RA001125,GOLD,652.3,618.25,1097,4521,EPO,139539,3.69,992158,141224,595629,40.33,51.23,34.85,NONE,41.82,41148,PENDING
2018,RA001126,SILVER,937.36,970.83,687,3028,BROAD,100726,6.07,890664,190515,12956,60.5,57.23,65.89,NONE,9.24,18020,NOT_REQUIRED
2020,RA001127,BRONZE,387.59,357.08,8331,1704,EPO,4200,16.91,544621,42901,768040,73.61,63.42,32.11,NONE,18.86,36322,PENDING
2021,RA001128,BRONZE,262.32,235.69,7190,8951,PPO,53399,18.37,420460,63825,1219528,28.7,57.28,48.5,NONE,4.2,48689,PENDING
2020,RA001129,SILVER,484.29,511.86,4824,2656,BROAD,271246,3.68,1105348,9077,90124,23.65,42.11,35.87,NONE,10.1,75457,APPROVED
2014,RA001130,BRONZE,770.41,767.51,2375,7697,PPO,6178,3.87,347228,171619,1242037,43.23,29.32,10.81,NONE,12.5,67650,APPROVED
2014,RA001131,BRONZE,796.07,839.53,8298,8973,HMO,25250,16.91,441500,97048,1374307,72.16,48.9,41.64,NONE,37.18,13145,PENDING
2017,RA001132,SILVER,279.42,281.68,8100,4809,BROAD,44829,20.4,507335,174125,928516,33.58,6.61,20.02,CSR73,2.09,8934,PENDING
2016,RA001133,GOLD,270.6,249.11,4102,5952,EPO,63811,17.88,253841,79433,297503,64.6,25.33,72.15,NONE,29.15,49845,NOT_REQUIRED
2018,RA001134,BRONZE,266.63,276.15,2875,3790,TIERED,260616,4.91,592152,152708,1172345,42.28,34.68,9.45,CSR87,15.27,42527,APPROVED
2023,RA001135,SILVER,672.4,678.11,7334,3918,BROAD,207555,18.15,252103,72516,1626535,69.58,50.3,59.92,NONE,18.33,63431,MODIFIED
2016,RA001136,GOLD,732.96,637.19,6464,2287,TIERED,151352,21.78,721960,148687,291267,44.98,64.56,27.77,NONE,5.34,28899,PENDING
2015,RA001137,SILVER,458.18,405.64,9144,4019,EPO,120483,7.5,1127489,151838,160654,57.78,48.46,68.16,NONE,8.44,30888,APPROVED
2023,RA001138,BRONZE,480.24,451.0,1467,7531,BROAD,167054,15.89,487097,87539,485453,67.94,15.74,9.92,CSR73,19.25,46363,MODIFIED
2017,RA001139,BRONZE,245.86,242.99,345,9017,BROAD,246961,1.94,979168,215788,336725,68.8,53.68,54.69,CSR94,25.82,10178,APPROVED
2014,RA001140,SILVER,576.54,535.73,7281,5366,TIERED,13615,1.68,338430,213996,1362186,55.79,41.98,57.02,NONE,12.77,6268,APPROVED
2022,RA001141,SILVER,349.78,298.18,7629,2764,BROAD,181926,11.74,117012,102898,832669,51.5,7.23,37.27,CSR87,37.29,41359,PENDING
2021,RA001142,SILVER,952.38,972.82,4525,3371,PPO,254760,14.72,751076,231536,728346,38.67,36.55,27.67,CSR94,18.58,38007,PENDING
2020,RA001143,PLATINUM,327.82,304.01,7064,3707,PPO,186988,21.73,935360,88437,196762,59.12,22.65,14.44,NONE,41.11,11268,APPROVED
2024,RA001144,BRONZE,261.07,273.36,4491,7283,BROAD,155648,23.86,221428,17197,823120,29.32,17.14,20.92,NONE,25.11,39475,APPROVED
2018,RA001145,PLATINUM,497.64,514.27,1732,2325,EPO,217041,11.48,916804,30360,155831,54.07,48.6,41.81,CSR73,11.33,66298,APPROVED
2015,RA001146,BRONZE,624.83,669.82,8926,4969,HMO,13839,7.21,568261,72485,1542360,58.67,7.77,69.74,NONE,13.84,49618,NOT_REQUIRED
2019,RA001147,SILVER,816.07,695.98,811,7071,BROAD,27748,20.8,1151617,189434,863248,20.42,15.71,25.35,CSR94,39.35,77041,MODIFIED
2016,RA001148,PLATINUM,250.92,224.94,6443,6081,BROAD,208112,2.27,640868,44702,590586,48.82,49.07,51.78,NONE,22.69,10893,DENIED
2015,RA001149,SILVER,236.48,242.1,8584,2616,BROAD,138336,7.96,646914,167382,1163549,24.11,24.21,62.44,NONE,35.45,83986,PENDING
2022,RA001150,SILVER,640.02,661.5,6440,7546,NARROW,64834,8.96,1192814,195721,766974,53.97,45.26,83.13,NONE,1.13,76539,MODIFIED
2020,RA001151,SILVER,565.76,510.29,2751,4257,NARROW,55348,23.63,7415,109404,793136,32.31,14.16,59.87,NONE,16.0,68654,APPROVED
2018,RA001152,BRONZE,816.42,810.56,6030,9110,BROAD,27209,11.29,269965,108656,860812,52.85,20.13,73.27,NONE,15.18,73334,PENDING
2022,RA001153,BRONZE,571.77,501.89,9044,8525,PPO,262983,23.71,900030,94084,132552,24.15,43.83,12.37,NONE,2.38,25977,APPROVED
2014,RA001154,GOLD,867.84,878.18,292,8594,NARROW,115894,19.87,271923,25036,1608080,28.29,23.64,31.4,NONE,0.6,80905,APPROVED
2018,RA001155,SILVER,883.27,770.72,5111,3875,TIERED,260188,12.73,514779,150577,241031,47.99,61.18,47.7,NONE,12.97,69379,NOT_REQUIRED
2018,RA001156,SILVER,280.33,293.64,191,6551,HMO,239118,18.19,341776,156212,1057206,30.67,13.22,79.86,NONE,31.09,58745,PENDING
2017,RA001157,SILVER,521.76,527.27,9161,9063,TIERED,73579,4.44,1150203,204210,184723,43.33,14.87,48.42,CSR87,0.72,22271,PENDING
2021,RA001158,SILVER,911.45,872.43,3790,8980,TIERED,214674,10.65,261716,119901,1154454,47.28,14.91,4.38,NONE,12.06,69991,APPROVED
2015,RA001159,PLATINUM,306.07,314.12,3736,2880,BROAD,118574,11.66,1050752,164586,390060,42.21,18.24,15.82,NONE,6.62,14385,APPROVED
2014,RA001160,SILVER,392.96,423.57,1816,9028,BROAD,109742,16.38,59912,180690,307014,46.65,31.57,66.75,NONE,4.85,17925,MODIFIED
2019,RA001161,SILVER,435.44,461.78,4898,7369,NARROW,53990,20.66,766897,49252,1309815,73.54,26.48,31.86,CSR87,27.8,38809,NOT_REQUIRED
2015,RA001162,SILVER,670.53,662.15,4044,3915,HMO,147610,19.69,268914,43653,1496295,49.27,26.81,24.31,CSR73,1.93,9832,MODIFIED
2015,RA001163,GOLD,313.97,270.24,1168,7202,EPO,111773,13.61,609109,111100,1544210,65.61,23.55,29.16,CSR73,22.3,19194,APPROVED
2017,RA001164,BRONZE,756.91,680.58,5978,7136,BROAD,96035,6.59,751553,224771,1112829,49.54,26.84,10.07,CSR94,23.03,78854,DENIED
2018,RA001165,BRONZE,485.71,422.2,3479,3358,NARROW,104749,22.55,674639,42416,1431911,56.78,8.34,2.77,CSR73,26.47,9716,APPROVED
2023,RA001166,BRONZE,561.9,605.04,3330,2024,EPO,4096,11.47,95149,177612,483581,59.52,58.44,6.48,CSR87,39.19,72502,APPROVED
2025,RA001167,SILVER,633.71,566.98,4252,8442,BROAD,267897,13.46,776339,1285,887637,42.13,61.78,28.41,NONE,10.7,16742,MODIFIED
2016,RA001168,SILVER,905.26,894.05,2216,6892,HMO,50076,19.42,960741,212710,57587,63.75,21.49,2.87,NONE,30.19,32379,DENIED
2024,RA001169,SILVER,329.33,350.71,8760,6701,EPO,251603,13.1,363953,122340,945293,66.0,36.94,32.44,NONE,26.42,83758,APPROVED
2021,RA001170,GOLD,658.47,644.1,4862,5237,HMO,274972,4.63,405745,214750,1598467,38.17,23.62,24.27,CSR87,25.66,8306,APPROVED
2014,RA001171,BRONZE,943.19,827.52,7290,3573,NARROW,67564,14.71,416176,192876,573367,70.57,25.69,39.41,NONE,9.21,32866,NOT_REQUIRED
2014,RA001172,GOLD,526.01,561.01,4195,1821,EPO,218800,18.55,706434,59309,1068196,52.17,62.35,3.98,NONE,38.65,72853,APPROVED
2023,RA001173,BRONZE,368.49,332.56,2288,7802,EPO,269615,18.12,1066586,127560,1047357,42.52,50.21,74.46,NONE,4.06,7525,DENIED
2025,RA001174,SILVER,351.99,364.56,1927,5859,EPO,23154,11.52,995958,18368,118314,31.7,64.21,30.14,NONE,15.17,74484,APPROVED
2015,RA001175,SILVER,952.11,841.81,562,4174,EPO,204228,17.49,166626,51825,801972,70.71,31.37,83.78,NONE,33.74,37214,MODIFIED
2025,RA001176,PLATINUM,584.41,623.61,1938,3804,NARROW,108321,6.04,881340,96757,1008762,37.74,23.77,84.78,NONE,26.71,62402,NOT_REQUIRED
2016,RA001177,BRONZE,801.47,852.98,5013,6889,NARROW,66918,8.9,985721,49664,1232410,48.48,42.07,11.05,NONE,26.65,82414,MODIFIED
2022,RA001178,GOLD,719.64,676.37,4319,8964,NARROW,99049,22.68,347089,148463,1407651,25.57,39.62,69.65,NONE,38.49,74680,APPROVED
2019,RA001179,SILVER,797.44,788.25,1792,8902,HMO,239624,17.55,1009986,173028,821415,36.79,22.1,77.55,NONE,12.73,63274,PENDING
2019,RA001180,GOLD,496.83,448.83,5300,3989,BROAD,69787,22.68,502320,170224,815468,21.61,38.99,69.98,NONE,39.92,33761,PENDING
2019,RA001181,PLATINUM,423.08,415.73,1867,4236,NARROW,73857,7.83,92104,173487,43281,42.2,29.39,28.42,NONE,39.73,72405,DENIED
2023,RA001182,BRONZE,649.11,581.79,6677,9075,BROAD,44355,22.26,669589,35905,1268712,63.31,39.27,11.47,NONE,1.86,31009,APPROVED
2015,RA001183,SILVER,335.85,301.96,8663,3200,BROAD,101841,22.6,405067,151736,1415830,24.93,18.6,18.34,NONE,32.07,33394,MODIFIED
2022,RA001184,SILVER,800.84,693.06,3521,3126,NARROW,273309,3.04,268268,84327,1091293,57.4,37.13,25.32,NONE,30.02,15026,NOT_REQUIRED
2017,RA001185,BRONZE,496.77,437.16,4738,8319,HMO,147628,21.73,188940,12865,1195378,33.38,14.68,5.47,CSR87,16.78,33343,MODIFIED
2025,RA001186,SILVER,596.67,563.53,2560,7069,TIERED,1948,23.08,80642,139663,837689,70.62,22.35,16.38,CSR87,35.86,27725,APPROVED
2019,RA001187,SILVER,627.72,621.41,1518,4446,TIERED,173052,18.6,604986,165510,567706,73.13,20.96,3.08,NONE,11.44,46126,APPROVED
2024,RA001188,SILVER,946.95,986.66,1908,5579,NARROW,768,6.62,163741,160782,761676,51.75,33.09,11.26,NONE,3.43,48361,MODIFIED
2018,RA001189,CATASTROPHIC,348.88,372.12,4388,2503,BROAD,263534,4.07,563651,205927,18269,37.77,59.66,78.12,NONE,23.1,22452,APPROVED
2014,RA001190,SILVER,966.32,911.37,4994,4930,NARROW,222890,4.35,565699,117960,612813,33.11,25.48,43.97,NONE,34.31,41770,NOT_REQUIRED
2021,RA001191,BRONZE,569.82,533.76,7577,5556,HMO,237364,7.07,610495,193004,175981,53.26,6.49,76.32,CSR73,27.76,31040,PENDING
2020,RA001192,SILVER,556.47,576.99,3654,7250,EPO,244858,9.58,924952,44378,496570,40.93,7.93,56.14,CSR73,25.05,15305,NOT_REQUIRED
2024,RA001193,PLATINUM,760.85,752.86,7777,2507,PPO,198015,6.63,72172,12267,849888,71.5,19.36,41.99,NONE,36.06,49921,APPROVED
2019,RA001194,BRONZE,897.15,929.74,7980,3040,EPO,196967,19.17,1004528,85168,828339,37.1,47.72,28.95,NONE,30.66,78359,APPROVED
2018,RA001195,SILVER,257.75,252.5,8640,6502,BROAD,6549,18.59,288993,196767,1257612,74.44,12.84,15.85,NONE,6.93,79464,PENDING
2018,RA001196,GOLD,885.99,933.62,8307,9074,EPO,256974,2.35,151577,85562,1350398,69.68,54.78,27.25,NONE,18.7,21945,DENIED
2017,RA001197,BRONZE,246.05,243.42,7887,4658,NARROW,26080,23.9,879974,202955,1474055,43.64,15.78,44.11,NONE,24.53,59347,DENIED
2022,RA001198,GOLD,243.75,218.3,1623,8965,NARROW,155245,18.51,717589,142545,1286475,40.25,22.35,29.93,NONE,14.05,1710,APPROVED
2024,RA001199,SILVER,435.15,373.57,507,2165,PPO,87274,12.14,659502,111626,1446962,72.77,40.71,38.81,NONE,0.82,68146,NOT_REQUIRED
2016,RA001200,GOLD,283.57,261.94,3388,3395,NARROW,262317,22.19,346477,76615,725772,63.55,55.45,13.65,CSR87,22.76,25199,MODIFIED
2019,RA001201,GOLD,757.71,648.11,2306,8300,TIERED,81946,5.67,1150095,149965,871597,24.1,53.89,61.25,NONE,14.25,63777,PENDING
2022,RA001202,BRONZE,945.39,911.48,7346,2269,TIERED,143657,15.76,381218,168198,288437,29.6,6.77,48.76,NONE,15.8,46336,MODIFIED
2022,RA001203,SILVER,360.03,314.45,690,6021,BROAD,119027,20.08,206143,76804,1592088,28.87,49.66,77.08,CSR87,41.37,43354,APPROVED
2016,RA001204,GOLD,475.63,513.63,3079,6869,TIERED,194471,16.29,26379,53030,980235,37.15,37.68,13.11,NONE,24.36,59058,APPROVED
2016,RA001205,SILVER,527.76,544.53,8985,2933,PPO,21649,7.27,893714,188521,1027310,49.06,62.84,6.71,NONE,40.28,68474,NOT_REQUIRED
2015,RA001206,SILVER,934.1,845.94,9116,8008,HMO,172701,23.76,921276,206356,196682,63.45,18.21,18.04,NONE,35.8,6819,APPROVED
2019,RA001207,BRONZE,277.61,270.28,5759,5179,PPO,105518,4.96,550975,170488,621952,53.56,16.81,60.23,NONE,12.79,55095,MODIFIED
2020,RA001208,SILVER,763.67,755.09,2784,6007,PPO,278787,4.31,1080912,113224,1352057,49.58,44.56,10.5,NONE,0.69,58390,APPROVED
2024,RA001209,SILVER,473.2,429.25,2672,4942,NARROW,98841,17.84,111721,58478,549646,29.15,7.86,17.33,CSR73,5.14,55675,APPROVED
2025,RA001210,SILVER,375.65,351.6,6819,3978,BROAD,4533,19.66,160263,227870,1194847,61.26,21.84,2.79,CSR87,25.79,69908,PENDING
2016,RA001211,SILVER,866.8,812.26,1522,3660,TIERED,98345,23.11,484903,45330,593355,29.69,5.39,84.64,NONE,6.01,55935,APPROVED
2025,RA001212,BRONZE,276.9,254.32,9162,6493,NARROW,118033,21.75,393430,28215,1590498,22.85,64.34,70.84,NONE,12.8,30869,MODIFIED
2020,RA001213,BRONZE,584.11,500.28,1670,1831,HMO,126834,14.31,550835,97286,684366,25.99,42.84,49.25,NONE,34.08,55459,MODIFIED
2018,RA001214,GOLD,454.15,403.54,8429,5998,NARROW,194379,18.75,1153000,37418,349652,35.4,60.17,26.5,CSR94,12.36,51655,APPROVED
2018,RA001215,GOLD,350.38,327.33,3643,3724,EPO,38671,6.15,812132,95317,622541,52.69,62.51,38.35,CSR87,29.1,66284,APPROVED
2014,RA001216,GOLD,819.71,794.99,7139,8192,NARROW,183232,12.46,994834,23071,966384,24.57,50.51,8.26,NONE,30.99,71283,PENDING
2024,RA001217,GOLD,582.02,562.11,3368,8659,HMO,93779,3.02,108506,198966,1220319,27.55,38.58,17.89,NONE,0.61,68032,APPROVED
2014,RA001218,SILVER,363.12,379.83,1750,5126,PPO,245268,9.67,256730,87893,911299,59.54,14.15,52.95,NONE,27.86,22637,APPROVED
2018,RA001219,BRONZE,490.2,479.01,1681,2894,PPO,28168,4.16,722648,99872,1357645,63.63,37.83,36.84,NONE,15.17,36408,NOT_REQUIRED
2020,RA001220,PLATINUM,562.71,538.44,4060,5652,TIERED,113889,10.17,979628,64685,1541798,21.77,22.87,41.03,CSR94,15.95,66449,APPROVED
2018,RA001221,SILVER,719.92,742.83,5536,4481,TIERED,40711,18.49,363158,154144,1454167,20.31,53.35,26.76,CSR87,11.0,46239,APPROVED
2018,RA001222,SILVER,654.34,646.6,7658,8446,NARROW,267591,14.18,493925,101840,184182,52.67,6.71,45.02,NONE,40.45,41171,APPROVED
2025,RA001223,BRONZE,660.8,588.25,7585,3902,HMO,83165,23.58,149635,119735,1591062,31.15,6.04,59.53,NONE,18.67,68092,NOT_REQUIRED
2020,RA001224,SILVER,499.27,488.91,5630,4707,EPO,249588,3.12,1194143,177718,1194148,20.07,7.62,77.34,NONE,2.22,37456,APPROVED
2017,RA001225,GOLD,565.33,606.99,5274,1602,TIERED,258756,14.55,903794,53444,1001936,69.44,28.38,3.2,CSR73,20.09,32369,APPROVED
2023,RA001226,GOLD,877.16,770.12,1842,3595,TIERED,29322,4.27,298751,44896,1218675,54.06,49.32,33.59,NONE,25.52,37256,MODIFIED
2025,RA001227,BRONZE,922.57,875.79,7873,7787,EPO,256296,19.66,161400,56195,851928,46.57,54.77,67.33,NONE,33.24,67904,PENDING
2024,RA001228,SILVER,306.98,271.83,711,4954,PPO,192082,7.35,1062215,212759,98927,74.26,33.6,63.04,NONE,1.9,66119,APPROVED
2021,RA001229,SILVER,870.26,863.69,1832,8594,TIERED,257744,6.12,1148688,112182,286749,36.29,23.86,84.53,NONE,13.45,18230,APPROVED
2021,RA001230,SILVER,881.0,933.58,5570,4547,PPO,31427,11.09,1052509,108117,397131,51.99,17.17,30.33,NONE,35.34,8705,PENDING
2022,RA001231,GOLD,920.96,852.52,8700,6668,BROAD,129905,11.23,149128,223601,1023264,37.93,36.58,33.95,NONE,0.28,22196,NOT_REQUIRED
2023,RA001232,SILVER,877.79,766.02,1609,8466,TIERED,198013,17.54,873327,25235,394577,73.4,35.13,15.76,NONE,25.37,67330,APPROVED
2015,RA001233,GOLD,446.73,426.82,1153,4652,PPO,194965,6.16,358281,46320,1233096,23.61,51.72,42.52,CSR73,35.25,68208,APPROVED
2020,RA001234,SILVER,762.66,678.29,620,5618,EPO,226969,12.82,817699,77169,752912,36.5,33.0,20.26,NONE,13.68,50018,MODIFIED
2025,RA001235,SILVER,374.3,347.94,6084,5957,EPO,70686,7.15,1152456,25815,36008,63.16,10.68,37.91,CSR87,30.64,15355,APPROVED
2022,RA001236,BRONZE,927.97,888.48,6683,7971,BROAD,242009,1.95,712941,228253,1634737,73.69,9.4,82.77,NONE,41.2,63397,DENIED
2025,RA001237,SILVER,776.91,774.4,2990,5713,HMO,253822,5.81,131530,187494,872592,25.48,20.72,38.54,CSR87,41.9,59392,DENIED
2015,RA001238,SILVER,913.63,932.51,7993,5348,EPO,265514,4.09,808578,120562,1166124,56.68,29.54,71.35,NONE,22.31,46829,APPROVED
2021,RA001239,GOLD,793.63,694.19,8697,6936,BROAD,113868,15.5,1153710,520,1459019,22.56,49.48,7.55,NONE,36.2,68069,APPROVED
2021,RA001240,BRONZE,685.51,676.93,7865,4477,BROAD,154760,3.48,34289,30252,910175,29.8,26.11,7.07,CSR94,32.52,67256,NOT_REQUIRED
2015,RA001241,SILVER,606.05,534.77,2456,7405,BROAD,167710,4.13,376487,131907,862789,66.3,50.06,54.13,NONE,21.65,42998,NOT_REQUIRED
2022,RA001242,GOLD,477.58,481.93,7364,8621,BROAD,63921,11.27,1127363,253,485310,25.88,14.35,72.98,NONE,9.03,44057,APPROVED
2025,RA001243,SILVER,241.84,247.14,8888,4390,HMO,108545,9.85,1030718,14324,437355,53.74,60.41,14.14,NONE,13.94,79238,PENDING
2021,RA001244,GOLD,615.83,586.95,7542,3064,HMO,105501,20.2,550226,77505,224339,22.73,16.59,40.6,NONE,28.85,9876,APPROVED
2025,RA001245,BRONZE,949.13,890.16,492,1748,HMO,63164,8.38,704381,115209,19026,53.15,63.52,71.9,CSR73,38.2,4875,PENDING
2017,RA001246,SILVER,718.81,647.33,49,6789,NARROW,133196,7.54,579944,194526,759433,55.36,19.43,57.46,CSR87,3.66,69678,APPROVED
2019,RA001247,BRONZE,947.92,1009.7,6396,1573,PPO,45076,13.75,151576,223425,617297,56.38,10.16,57.73,CSR87,12.81,20432,APPROVED
2024,RA001248,GOLD,236.36,255.22,1875,2155,NARROW,42455,17.66,101694,69206,915114,29.73,15.99,40.36,NONE,20.08,3404,MODIFIED
2019,RA001249,BRONZE,412.94,353.31,7104,3919,HMO,68583,18.65,699814,31915,798453,44.23,43.74,54.79,NONE,2.43,46630,APPROVED
2017,RA001250,BRONZE,515.96,500.97,5644,9195,EPO,172653,3.92,560915,6454,1294614,41.21,15.51,83.01,NONE,2.7,54819,PENDING
2021,RA001251,SILVER,529.62,475.37,4230,4178,NARROW,89563,8.55,27434,194999,1131628,34.91,6.37,1.7,CSR87,6.14,64425,MODIFIED
