qol_social_survey_cycle_id,qol_social_neighborhood_cluster_id,qol_social_neighborliness_score,qol_social_belonging_score,qol_social_participation_local_events_rate,qol_social_mutual_aid_participation_rate,qol_social_intergroup_contact_score,qol_social_civic_pride_score,qol_social_shared_norms_score,qol_social_conflict_resolution_score,qol_social_online_community_engagement_rate,qol_social_hate_incident_awareness_score,qol_social_trust_local_institutions_score,qol_social_youth_engagement_score,qol_social_senior_engagement_score,qol_social_newcomer_integration_score,qol_social_language_inclusion_score,qol_social_public_space_comfort_score,qol_social_community_problem_solving_score,qol_social_survey_sampling_weight
CYC000001051,NBH000189,1.258,1.833,0.4928,0.6243,0.4,1.494,0.874,9.914,0.5131,4.145,2.511,5.673,7.814,3.699,3.583,4.724,6.915,1.2801
CYC000001052,NBH000040,0.1871,6.405,0.9839,0.6078,7.25,3.576,1.912,1.27,0.2303,3.059,7.336,8.755,1.222,3.146,5.663,0.986,8.105,1.1111
CYC000001053,NBH000173,2.1722,2.798,0.5853,0.529,1.768,3.495,7.606,5.076,0.0368,6.122,3.067,4.034,6.245,8.751,5.033,2.282,5.433,3.4878
CYC000001054,NBH000123,4.7883,6.125,0.3766,0.1196,7.667,9.14,1.355,8.838,0.0722,1.349,2.597,0.8,5.98,8.586,9.744,7.512,4.206,1.1158
CYC000001055,NBH000238,6.9834,4.279,0.8195,0.427,4.649,1.778,2.483,8.201,0.8222,6.856,3.204,2.947,9.22,5.978,8.544,0.619,4.318,3.9984
CYC000001056,NBH000211,3.4365,0.929,0.0115,0.9051,6.707,4.102,1.534,3.035,0.096,7.187,3.694,4.83,9.334,7.287,8.944,1.157,7.6,2.4801
CYC000001057,NBH000143,5.2076,9.196,0.8867,0.4341,4.107,4.719,8.596,4.738,0.695,0.169,7.649,3.387,4.573,3.895,2.85,0.709,7.501,1.7169
CYC000001058,NBH000051,8.5587,7.363,0.0786,0.4879,1.021,6.474,6.816,9.949,0.2828,1.191,8.146,1.875,4.514,8.388,7.923,1.327,8.26,0.1074
CYC000001059,NBH000188,0.5818,3.856,0.2347,0.7357,9.295,4.488,0.842,1.333,0.5836,0.308,3.649,5.243,5.389,7.3,9.881,0.263,0.048,4.6787
CYC000001060,NBH000164,9.0299,5.715,0.8614,0.3562,3.031,6.51,1.408,2.111,0.9971,1.462,6.715,5.105,4.526,5.567,6.903,6.679,6.164,1.1605
CYC000001061,NBH000204,0.527,3.117,0.0075,0.5531,1.772,5.79,1.523,7.5,0.3353,8.853,8.966,4.874,5.846,6.561,8.827,4.96,8.806,3.9935
CYC000001062,NBH000025,8.0481,5.181,0.1403,0.1548,7.318,8.343,8.107,9.098,0.6778,7.89,2.173,0.914,2.612,9.379,0.436,0.96,5.29,0.3375
CYC000001063,NBH000194,9.0712,5.917,0.5377,0.3953,6.5,2.827,1.449,4.471,0.4138,8.074,8.529,3.717,6.98,2.25,1.695,4.474,9.714,3.5971
CYC000001064,NBH000151,4.8023,2.134,0.684,0.3388,7.35,6.071,5.61,8.439,0.9861,8.152,4.192,5.503,5.369,0.385,9.149,8.456,3.054,4.4779
CYC000001065,NBH000086,2.9934,8.887,0.1067,0.2559,3.243,8.862,4.573,9.167,0.2621,5.223,0.248,6.719,0.754,1.552,5.676,4.822,3.262,3.2657
CYC000001066,NBH000180,0.5315,6.356,0.2703,0.5616,9.485,0.858,6.125,8.492,0.64,8.91,5.631,8.361,8.384,4.225,6.508,5.15,3.369,4.5793
CYC000001067,NBH000122,4.9796,0.345,0.8,0.0936,6.785,3.042,9.274,8.389,0.6313,5.815,8.465,9.193,0.909,7.358,1.682,7.106,4.667,3.7802
CYC000001068,NBH000136,2.0137,1.736,0.6545,0.3408,6.656,0.168,9.608,0.513,0.2126,4.771,4.818,8.486,1.598,6.97,3.229,6.749,5.753,2.5018
CYC000001069,NBH000063,1.3368,6.615,0.7376,0.3036,9.008,5.15,7.077,2.224,0.5093,5.445,6.114,1.557,0.445,0.789,9.371,3.814,0.899,4.3836
CYC000001070,NBH000049,10.0269,4.853,0.3754,0.2784,2.76,6.907,4.884,1.415,0.7339,4.679,9.692,9.575,1.165,1.098,7.578,4.893,3.68,3.266
CYC000001071,NBH000036,3.208,4.921,0.8409,0.3762,6.12,9.078,3.337,3.093,0.3914,3.79,9.984,1.299,7.403,3.055,5.786,7.788,3.535,4.0826
CYC000001072,NBH000149,3.9481,4.345,0.6938,0.5464,5.528,4.05,0.494,8.042,0.8333,8.47,5.416,3.097,9.796,9.066,9.334,8.542,4.432,1.5638
CYC000001073,NBH000025,0.8442,6.604,0.5931,0.3047,6.923,0.093,2.024,7.853,0.3768,7.162,6.369,4.67,1.845,1.306,9.571,8.363,6.648,4.8916
CYC000001074,NBH000142,3.5683,7.498,0.3134,0.9016,1.321,4.257,0.851,0.22,0.0658,1.586,0.899,8.45,4.382,5.286,8.615,4.054,8.431,2.6954
CYC000001075,NBH000075,1.3484,5.893,0.4613,0.6421,9.17,7.67,1.184,7.586,0.4789,4.283,0.651,4.524,5.904,1.407,9.827,0.065,0.68,2.775
CYC000001076,NBH000109,2.3495,0.166,0.0576,0.499,0.676,4.472,7.272,0.741,0.6517,6.338,0.792,7.433,5.791,1.432,9.775,7.094,7.849,4.4815
CYC000001077,NBH000107,4.8196,4.958,0.8401,0.6056,7.479,1.203,4.363,1.136,0.8044,8.935,6.083,6.209,2.456,2.463,7.888,2.143,8.63,0.8438
CYC000001078,NBH000016,1.7827,4.291,0.7569,0.3442,0.091,4.336,4.602,4.186,0.2675,3.088,3.195,3.331,8.19,8.164,9.296,9.393,9.161,1.331
CYC000001079,NBH000065,6.9388,3.228,0.3902,0.2948,6.345,6.502,3.698,9.094,0.3259,7.967,0.354,6.798,6.039,8.731,0.348,3.678,4.306,4.8993
CYC000001080,NBH000083,9.6689,8.342,0.7826,0.7243,3.262,4.526,9.419,8.9,0.3593,2.18,9.697,2.396,0.62,6.409,5.624,9.977,0.487,3.5057
CYC000001081,NBH000087,6.186,2.111,0.7694,0.1653,1.419,2.755,3.069,5.143,0.2729,1.748,9.098,0.747,2.222,0.309,7.309,3.81,5.752,3.7168
CYC000001082,NBH000187,3.3181,4.563,0.3248,0.5947,9.626,0.605,2.684,0.242,0.4436,4.734,3.837,8.411,3.18,0.593,9.958,1.972,6.519,4.7518
CYC000001083,NBH000159,1.7222,4.973,0.2337,0.3613,7.01,9.36,9.619,3.879,0.6567,9.226,1.245,9.624,7.733,3.038,1.671,0.168,1.84,3.2408
CYC000001084,NBH000226,10.0893,3.111,0.0761,0.541,8.366,6.457,3.538,1.519,0.8731,3.689,6.433,7.855,7.499,5.41,9.285,7.074,6.472,2.7018
CYC000001085,NBH000047,6.5294,3.949,0.5373,0.5962,3.155,1.403,5.693,1.091,0.0642,3.521,1.71,8.919,0.104,3.879,0.209,9.255,4.528,2.9451
CYC000001086,NBH000001,5.5305,1.978,0.4015,0.1491,7.672,5.887,9.815,9.858,0.1733,9.714,5.808,4.752,1.701,2.789,7.809,8.445,8.529,3.0599
CYC000001087,NBH000031,2.0246,0.683,0.2883,0.735,4.813,2.499,8.406,6.554,0.8994,2.546,9.402,1.123,3.051,4.896,3.976,9.681,3.431,3.38
CYC000001088,NBH000226,2.9957,8.961,0.1126,0.0151,4.958,9.061,5.842,1.062,0.6615,9.422,0.353,6.152,9.498,3.799,0.874,1.101,4.399,0.1885
CYC000001089,NBH000073,3.4788,8.027,0.1486,0.7724,2.239,6.973,4.385,3.674,0.9296,1.525,9.391,5.905,8.207,7.07,2.875,9.115,7.089,1.6572
CYC000001090,NBH000207,0.5699,2.106,0.4974,0.8158,0.889,6.074,5.613,0.936,0.0683,2.881,7.485,3.14,6.741,4.228,7.921,4.378,5.196,0.3689
CYC000001091,NBH000001,3.258,1.739,0.9138,0.5272,3.645,2.515,6.53,8.614,0.3931,5.79,6.855,0.622,1.438,1.173,7.489,8.464,6.913,4.7031
CYC000001092,NBH000202,6.8191,9.296,0.0075,0.1369,5.768,7.966,5.799,1.397,0.756,7.232,5.301,3.052,3.192,9.209,5.725,3.936,8.851,0.7831
CYC000001093,NBH000100,4.0222,2.9,0.5369,0.6897,8.154,0.448,7.123,4.231,0.5522,6.933,8.806,3.167,6.524,7.684,8.765,8.723,3.603,4.4202
CYC000001094,NBH000041,4.4123,5.945,0.1771,0.7575,7.021,8.599,7.4,6.968,0.4803,6.926,8.921,6.298,6.069,1.937,4.013,1.087,3.446,3.629
CYC000001095,NBH000167,3.0554,1.791,0.3307,0.2592,3.461,1.779,1.829,5.389,0.3016,1.437,3.071,0.132,0.622,9.291,2.675,8.89,4.412,1.4462
CYC000001096,NBH000173,0.7115,3.945,0.4152,0.7811,7.054,8.106,7.724,4.254,0.8916,6.805,1.083,9.214,8.897,5.827,0.972,0.39,8.014,3.3369
CYC000001097,NBH000052,3.5106,7.324,0.7659,0.3217,8.89,5.381,1.417,3.049,0.7605,2.478,0.568,6.557,3.196,5.515,1.994,0.76,2.418,1.6644
CYC000001098,NBH000001,6.5207,4.087,0.8507,0.0693,0.178,2.439,6.273,9.178,0.1542,3.984,5.442,9.853,6.594,9.29,0.728,5.868,4.945,0.2304
CYC000001099,NBH000239,5.8898,0.481,0.5059,0.7709,1.621,3.202,7.023,8.952,0.1793,3.38,6.934,8.748,7.594,9.278,7.015,4.036,5.052,0.349
CYC000001100,NBH000213,0.9109,4.335,0.4975,0.7316,0.292,6.075,7.821,3.168,0.9314,0.049,0.488,0.905,8.907,8.401,0.563,7.839,6.976,2.2117
CYC000001101,NBH000156,10.091,8.826,0.1833,0.9553,2.203,4.678,3.783,3.59,0.5753,3.57,0.74,6.507,1.524,7.19,0.69,1.627,9.115,3.4672
CYC000001102,NBH000032,9.1721,9.789,0.4392,0.1937,8.195,2.289,8.629,3.804,0.57,1.975,4.707,7.428,7.829,0.486,8.611,7.564,4.304,3.2604
CYC000001103,NBH000028,7.8372,8.581,0.2292,0.4071,6.274,3.395,2.07,2.583,0.1718,8.239,1.515,0.614,9.181,5.661,3.058,7.604,3.701,1.4112
CYC000001104,NBH000026,1.1413,6.169,0.8449,0.8482,6.075,7.111,9.502,6.375,0.6522,8.24,8.276,0.052,1.362,0.781,1.926,6.618,5.135,3.3265
CYC000001105,NBH000016,9.2834,6.987,0.875,0.7462,8.41,7.426,5.102,9.43,0.5499,8.317,2.303,4.736,0.493,8.725,5.1,9.679,4.031,2.1376
CYC000001106,NBH000104,8.3505,8.751,0.4568,0.7554,3.679,4.207,2.193,6.392,0.0031,4.777,5.781,2.145,3.58,7.174,1.241,2.618,1.712,1.1802
CYC000001107,NBH000123,9.0326,1.488,0.071,0.5843,5.791,8.552,9.139,1.187,0.8354,1.022,7.525,3.963,3.661,2.114,9.617,3.151,1.862,0.9584
CYC000001108,NBH000095,8.1487,9.059,0.9765,0.5875,5.052,6.295,2.437,9.123,0.1986,5.548,9.923,6.083,4.16,8.017,8.375,2.144,2.358,1.9226
CYC000001109,NBH000132,2.6838,3.756,0.7199,0.7588,1.115,0.491,6.241,7.279,0.2874,8.607,5.187,5.789,5.506,1.351,4.396,9.119,1.36,0.2533
CYC000001110,NBH000034,2.6189,3.413,0.7569,0.1425,2.009,6.519,9.803,7.382,0.2172,3.639,6.591,1.967,0.032,0.066,9.15,0.019,9.291,3.3373
CYC000001111,NBH000100,1.737,7.76,0.882,0.4888,1.643,6.57,9.936,4.557,0.9357,5.969,8.629,7.746,9.352,5.426,9.857,2.274,2.535,1.9292
CYC000001112,NBH000121,1.3581,7.861,0.8181,0.9667,0.884,7.894,5.317,2.204,0.5033,1.14,3.987,2.24,4.387,0.62,1.974,2.719,3.547,1.0811
CYC000001113,NBH000243,4.6332,3.95,0.9698,0.4854,0.469,5.838,4.879,7.127,0.7596,5.344,1.298,2.547,1.07,2.772,3.946,6.571,9.859,3.7504
CYC000001114,NBH000093,0.6713,8.799,0.375,0.6733,6.817,4.95,3.026,6.266,0.6127,2.67,9.058,8.843,9.942,0.244,6.445,2.384,0.836,0.3463
CYC000001115,NBH000246,0.7334,8.791,0.79,0.4477,9.974,9.297,9.221,1.328,0.8801,0.101,0.083,4.081,9.67,5.272,5.606,9.892,2.427,0.3387
CYC000001116,NBH000198,7.8405,4.21,0.8818,0.3311,2.79,7.895,9.194,2.333,0.2894,6.871,3.241,6.758,2.779,6.626,2.648,9.007,9.846,0.3495
CYC000001117,NBH000036,4.5106,9.649,0.0576,0.2306,6.169,2.097,7.52,8.084,0.6168,6.856,2.58,0.347,2.007,0.056,8.713,9.794,1.476,4.6008
CYC000001118,NBH000083,3.8877,8.419,0.5772,0.9312,0.713,9.158,7.579,2.518,0.4679,5.952,0.433,4.046,7.205,1.218,7.351,3.372,5.145,2.1985
CYC000001119,NBH000045,9.3658,0.446,0.531,0.4651,7.608,0.61,7.105,6.006,0.5744,8.274,3.681,2.034,0.752,5.142,6.503,5.751,8.061,0.7324
CYC000001120,NBH000218,9.4569,3.677,0.1371,0.9536,1.954,4.028,6.722,5.561,0.1559,8.624,7.157,8.645,2.386,5.51,1.533,0.372,9.082,3.9475
CYC000001121,NBH000249,4.512,8.657,0.5834,0.3925,9.849,8.489,5.124,4.555,0.1344,0.579,7.479,1.158,9.957,9.247,6.103,3.617,8.259,1.683
CYC000001122,NBH000204,6.6981,2.436,0.619,0.8624,9.012,3.178,4.604,7.346,0.3533,1.357,4.519,3.298,7.334,9.576,5.624,0.828,8.522,2.1858
CYC000001123,NBH000225,4.7662,6.679,0.3948,0.4223,2.807,8.734,3.464,9.299,0.987,9.1,1.032,8.212,2.012,4.865,8.086,4.579,4.518,3.7951
CYC000001124,NBH000231,6.6763,4.692,0.1017,0.8298,1.372,0.021,8.524,5.812,0.3301,5.72,3.736,2.185,8.135,4.798,5.236,1.699,1.308,2.3241
CYC000001125,NBH000166,0.6564,5.598,0.5023,0.0012,0.467,0.446,6.397,4.272,0.1329,4.308,0.184,0.451,5.903,4.757,0.657,5.854,8.344,2.8277
CYC000001126,NBH000159,1.9605,6.868,0.3617,0.4818,0.938,9.776,7.945,5.967,0.0689,8.217,0.41,1.399,4.734,7.433,2.481,1.885,8.566,0.2972
CYC000001127,NBH000223,0.9446,2.147,0.1803,0.1887,0.356,9.601,6.413,1.331,0.8766,7.784,9.921,5.699,8.421,4.744,1.213,3.598,7.351,2.6409
CYC000001128,NBH000102,4.3367,6.973,0.6885,0.8351,8.6,8.317,6.0,7.051,0.2441,7.079,7.211,4.696,7.908,2.651,9.644,3.663,2.578,4.1394
CYC000001129,NBH000083,6.3918,0.884,0.182,0.7641,1.537,6.185,6.19,5.916,0.812,0.471,0.732,1.131,8.767,6.384,6.207,5.82,5.869,4.5688
CYC000001130,NBH000085,2.6359,2.81,0.6583,0.4026,3.026,5.907,8.605,3.021,0.5001,6.941,0.608,8.344,7.068,8.306,1.775,3.835,2.558,3.6036
CYC000001131,NBH000229,2.116,6.98,0.2262,0.9564,8.251,2.642,8.133,1.42,0.2677,4.19,5.276,8.216,2.796,3.307,6.385,5.9,1.589,4.3246
CYC000001132,NBH000066,3.5231,7.67,0.6974,0.16,1.847,3.751,8.394,2.669,0.2001,2.393,1.872,8.037,5.339,0.23,5.67,9.294,9.382,3.3628
CYC000001133,NBH000222,6.0142,1.243,0.5525,0.3404,4.247,2.473,0.111,5.144,0.7875,1.739,8.15,4.821,7.431,2.446,8.287,7.376,8.355,3.9364
CYC000001134,NBH000145,9.0523,7.301,0.953,0.6418,0.967,5.1,7.016,7.328,0.6402,8.931,4.549,5.802,3.671,4.092,8.062,7.996,6.009,1.6171
CYC000001135,NBH000008,7.8194,5.509,0.8957,0.1988,8.899,9.833,1.957,6.138,0.4455,8.417,0.813,9.216,8.605,0.149,1.207,3.456,6.953,3.1862
CYC000001136,NBH000191,6.0825,5.322,0.9175,0.7529,2.143,2.378,8.863,0.512,0.9744,2.229,0.173,4.293,5.34,1.191,6.946,4.384,3.306,1.6017
CYC000001137,NBH000073,5.6196,1.399,0.5709,0.4778,9.616,9.885,7.337,4.416,0.2093,4.136,4.127,3.858,4.932,5.021,5.188,5.176,9.266,4.7158
CYC000001138,NBH000019,8.3837,3.129,0.8795,0.2193,7.86,4.677,8.776,5.864,0.8515,4.289,1.252,7.809,5.452,1.652,2.319,2.982,2.035,2.0044
CYC000001139,NBH000068,9.9748,7.801,0.1166,0.7971,2.876,3.586,6.072,8.825,0.5717,7.015,9.059,5.704,3.335,6.597,4.242,4.43,9.147,4.9139
CYC000001140,NBH000030,8.5329,6.495,0.9781,0.4876,0.554,6.772,7.821,8.191,0.4099,4.527,0.483,2.15,4.761,2.202,9.139,9.651,3.71,2.6597
CYC000001141,NBH000173,1.293,0.478,0.4671,0.4745,7.018,4.828,2.271,0.639,0.4055,8.964,9.605,0.968,6.792,3.597,9.226,9.448,9.648,2.286
CYC000001142,NBH000084,1.1091,1.907,0.1331,0.1785,5.565,6.003,1.745,8.632,0.0179,0.64,2.378,7.577,2.864,1.219,2.084,4.952,0.116,2.2367
CYC000001143,NBH000194,5.7492,4.721,0.0966,0.0602,1.441,4.046,7.998,9.511,0.5059,9.872,6.483,5.692,3.754,6.542,2.941,5.348,5.67,0.7541
CYC000001144,NBH000056,5.5243,4.653,0.2572,0.8905,6.286,8.018,6.277,9.107,0.3346,4.008,9.002,2.999,2.558,5.44,6.686,8.709,2.703,4.8626
CYC000001145,NBH000001,7.5214,5.221,0.1601,0.8246,7.242,6.406,0.007,1.696,0.5419,1.151,9.665,2.773,8.824,5.717,3.255,0.597,3.226,2.2418
CYC000001146,NBH000234,8.1095,4.859,0.3309,0.0277,8.153,5.798,6.749,1.428,0.8174,3.197,5.575,6.6,4.26,6.727,7.087,6.264,5.361,0.7487
CYC000001147,NBH000235,2.6866,8.905,0.3595,0.0591,5.383,4.677,7.898,4.335,0.1838,5.811,2.354,3.294,3.892,2.564,2.74,7.64,8.92,2.0798
CYC000001148,NBH000064,9.9187,2.647,0.6957,0.4143,9.864,0.516,8.31,9.775,0.5009,2.563,5.711,1.864,8.531,1.504,9.4,5.482,4.381,3.135
CYC000001149,NBH000112,6.4248,3.343,0.151,0.1946,7.029,4.519,1.849,3.21,0.4598,7.975,9.371,4.451,4.994,5.053,3.354,7.752,0.566,4.9813
CYC000001150,NBH000248,8.2789,8.042,0.9526,0.3049,5.854,1.741,9.698,8.371,0.8243,1.04,3.979,1.115,5.495,7.708,4.548,4.36,2.586,0.8716
CYC000001151,NBH000080,3.836,6.641,0.3276,0.0298,5.602,1.454,8.813,4.797,0.8139,7.194,4.286,9.479,6.544,6.007,8.055,7.974,5.396,1.5961
CYC000001152,NBH000164,8.5581,4.569,0.4425,0.4632,9.104,2.201,1.723,6.835,0.8336,6.783,9.314,0.376,7.965,3.199,2.058,5.119,5.749,3.719
CYC000001153,NBH000217,2.3272,3.401,0.9749,0.8612,8.091,4.424,0.433,1.245,0.2857,5.479,5.289,0.569,2.184,3.053,3.182,0.486,0.142,0.3967
CYC000001154,NBH000024,3.9043,8.384,0.407,0.8688,1.82,2.492,4.736,7.958,0.2642,2.477,4.34,2.072,2.545,0.811,5.58,6.633,2.184,2.6957
CYC000001155,NBH000214,9.5794,2.63,0.8468,0.9872,4.244,1.884,3.907,0.732,0.5334,3.264,1.925,3.571,1.325,5.396,0.047,9.326,8.648,3.7504
CYC000001156,NBH000208,3.7495,3.898,0.9662,0.1745,7.388,2.003,10.0,6.847,0.777,7.274,1.908,8.038,1.892,2.912,9.699,7.884,5.598,3.3049
CYC000001157,NBH000201,0.9666,1.941,0.7047,0.0652,7.547,0.643,7.231,1.234,0.0668,0.198,9.585,5.533,9.547,0.457,8.928,5.797,9.079,2.4653
CYC000001158,NBH000107,6.8647,8.269,0.7785,0.5148,0.666,3.348,7.398,9.46,0.0286,4.133,6.251,9.138,7.892,5.002,0.699,5.114,0.114,3.0428
CYC000001159,NBH000083,3.4378,9.416,0.8784,0.0821,3.62,3.662,7.284,2.494,0.0303,5.666,9.475,5.772,3.808,0.769,9.889,0.611,5.942,0.3982
CYC000001160,NBH000103,6.9869,4.249,0.419,0.0092,5.968,9.505,6.745,2.684,0.9465,4.06,6.566,8.588,9.255,7.404,5.141,6.929,1.836,4.0918
CYC000001161,NBH000242,2.281,0.12,0.7304,0.8489,3.54,4.466,2.633,5.518,0.3484,6.868,7.763,5.035,2.15,5.744,3.509,2.418,6.963,1.7036
CYC000001162,NBH000070,7.1261,0.335,0.4511,0.1986,0.592,8.245,7.689,4.853,0.9319,9.981,4.603,5.691,8.979,9.731,6.969,0.285,7.391,0.8239
CYC000001163,NBH000065,4.0842,7.372,0.3103,0.9447,0.37,6.768,5.817,8.475,0.9642,4.386,5.769,0.307,6.775,4.268,9.317,6.254,4.66,3.0615
CYC000001164,NBH000124,8.6153,9.422,0.3112,0.5867,7.564,9.225,1.383,1.225,0.5993,5.783,3.397,9.67,5.96,2.234,6.78,7.259,6.954,2.5753
CYC000001165,NBH000101,0.4454,2.986,0.4925,0.2481,7.097,6.886,8.33,5.323,0.8319,8.596,3.798,0.893,1.286,1.688,7.249,0.311,4.223,4.585
CYC000001166,NBH000222,3.1375,4.097,0.4781,0.8899,3.007,5.203,7.359,6.826,0.8293,3.639,7.375,5.338,1.681,0.348,2.668,7.129,1.223,0.7274
CYC000001167,NBH000022,9.7756,6.068,0.0239,0.6162,8.683,3.844,6.416,9.253,0.8503,1.456,6.484,4.414,2.374,8.647,4.865,1.133,2.31,0.5198
CYC000001168,NBH000125,8.4997,2.27,0.0203,0.3739,1.57,4.399,7.311,5.83,0.098,3.124,6.017,2.224,1.269,0.592,2.809,9.602,6.03,1.9365
CYC000001169,NBH000017,0.3858,4.305,0.7533,0.3971,7.682,1.981,2.76,1.946,0.8179,1.207,0.993,0.811,1.656,8.724,2.397,6.682,9.703,0.8796
CYC000001170,NBH000231,1.2889,3.682,0.3298,0.4988,6.322,1.886,6.858,0.797,0.7436,3.904,3.503,9.288,2.112,3.564,8.441,1.854,0.375,2.7847
CYC000001171,NBH000151,5.158,6.273,0.9956,0.8448,4.014,5.692,4.839,1.853,0.2558,1.883,0.201,4.895,2.721,1.766,5.507,7.733,2.116,0.8358
CYC000001172,NBH000084,8.0031,3.892,0.6715,0.1297,3.635,4.397,8.075,6.984,0.8566,6.488,9.859,7.362,3.056,3.504,6.695,9.426,8.982,0.5426
CYC000001173,NBH000197,8.2182,6.641,0.269,0.0958,6.756,5.322,7.051,5.562,0.2047,4.133,2.402,7.767,1.52,5.193,6.47,4.796,5.879,3.8026
CYC000001174,NBH000225,4.5023,8.236,0.9742,0.2813,3.21,3.961,1.937,3.424,0.0868,3.56,9.962,0.518,6.541,1.105,3.521,8.672,1.881,3.5892
CYC000001175,NBH000031,6.5084,3.335,0.3505,0.8234,7.457,6.633,3.324,8.654,0.7422,7.013,5.949,7.925,2.874,5.238,4.791,7.533,7.742,3.2841
CYC000001176,NBH000186,3.5325,3.864,0.7267,0.0354,9.439,9.723,3.367,4.726,0.1266,0.554,6.278,3.092,8.857,4.328,6.151,8.835,9.811,4.7319
CYC000001177,NBH000208,6.5566,2.311,0.0966,0.3539,8.018,1.257,1.679,9.942,0.8422,9.133,4.681,9.603,3.382,1.041,8.427,2.839,4.893,0.8131
CYC000001178,NBH000001,3.1977,0.516,0.5968,0.9942,6.477,6.275,3.181,2.356,0.2456,8.497,8.139,1.148,0.348,9.416,5.418,9.53,6.509,1.8556
CYC000001179,NBH000084,9.0648,3.551,0.8735,0.6668,5.644,4.094,8.43,9.367,0.0572,7.035,7.252,7.899,0.134,1.109,5.764,8.861,9.208,4.1477
CYC000001180,NBH000165,3.4989,1.678,0.4799,0.1047,2.071,8.24,9.596,6.443,0.7372,4.701,4.619,1.249,8.684,6.052,4.973,6.722,5.761,4.8616
CYC000001181,NBH000045,10.114,9.169,0.8144,0.2767,1.432,6.626,8.056,6.674,0.1576,1.137,6.266,6.453,9.888,3.33,0.594,3.529,8.505,2.6405
CYC000001182,NBH000016,2.5061,8.135,0.2076,0.3437,4.635,0.84,9.727,4.795,0.3531,4.411,4.769,7.886,7.078,6.753,7.195,6.136,7.393,0.7533
CYC000001183,NBH000072,5.1412,7.53,0.153,0.4131,1.912,1.036,7.222,1.69,0.096,3.454,0.333,2.777,3.205,9.626,4.778,1.546,7.416,0.1379
CYC000001184,NBH000215,1.5223,6.414,0.0688,0.0868,5.847,2.614,7.996,7.579,0.4097,5.992,4.982,3.904,9.458,4.591,9.226,2.73,0.722,1.0362
CYC000001185,NBH000031,0.7674,7.726,0.2064,0.1246,9.041,2.206,5.471,7.098,0.4829,9.028,5.286,5.262,9.962,7.625,8.606,9.849,1.209,1.8666
CYC000001186,NBH000095,1.7585,4.857,0.9157,0.6219,4.474,8.874,9.644,0.269,0.8155,1.019,1.777,6.181,2.585,1.9,1.81,9.26,6.222,2.5565
CYC000001187,NBH000076,5.9986,1.794,0.3683,0.2487,5.449,1.947,2.613,2.325,0.3839,2.898,3.19,3.964,7.541,5.098,4.719,0.084,2.592,2.5393
CYC000001188,NBH000178,3.6927,6.147,0.0319,0.2657,9.451,3.838,6.958,7.65,0.4621,3.171,0.654,1.284,0.326,7.067,2.938,2.595,7.533,1.9906
CYC000001189,NBH000057,7.9728,2.324,0.4257,0.3806,5.494,7.785,5.15,7.623,0.3075,0.556,8.07,5.555,3.156,8.612,3.37,2.864,3.124,0.1873
CYC000001190,NBH000107,7.3229,3.328,0.6346,0.5722,7.747,0.652,8.893,7.285,0.2934,1.316,0.962,6.034,1.652,9.523,0.463,7.086,7.081,0.2559
CYC000001191,NBH000108,6.619,6.647,0.3773,0.3504,2.298,1.069,6.347,2.936,0.1989,1.18,9.245,9.732,1.81,7.904,6.484,0.2,3.222,1.9891
CYC000001192,NBH000243,5.6521,7.388,0.8774,0.3296,1.983,8.111,3.313,1.567,0.0673,4.658,8.064,7.767,7.013,3.114,8.568,1.799,5.975,3.8509
CYC000001193,NBH000033,2.1712,0.192,0.7433,0.8081,7.265,5.869,9.172,4.269,0.8206,3.283,6.765,0.019,3.927,0.734,6.223,9.42,1.92,0.5706
CYC000001194,NBH000160,7.1033,4.33,0.3677,0.831,7.268,9.472,5.372,2.368,0.1775,1.971,4.653,3.89,3.321,5.817,3.756,5.024,0.058,2.0235
CYC000001195,NBH000007,2.8964,6.577,0.0752,0.6392,1.324,1.579,2.993,9.734,0.797,7.49,6.299,7.487,3.044,4.13,2.264,0.581,0.667,1.9576
CYC000001196,NBH000222,1.6485,0.088,0.9317,0.2423,3.542,9.933,2.963,0.192,0.8165,8.736,5.541,2.29,8.393,5.405,4.617,5.796,1.624,1.1637
CYC000001197,NBH000135,9.7796,3.526,0.3041,0.6625,7.368,6.751,2.056,1.701,0.1591,5.459,0.491,2.014,8.337,3.505,8.435,9.714,1.238,2.4443
CYC000001198,NBH000149,2.3827,8.597,0.0673,0.5245,9.84,6.374,4.261,9.506,0.5975,6.436,3.861,9.0,8.891,6.822,0.333,7.999,6.991,3.038
CYC000001199,NBH000174,3.6208,8.534,0.2662,0.1521,1.588,8.566,1.721,1.663,0.015,7.234,4.176,0.612,6.449,3.997,9.32,7.852,0.897,2.4536
CYC000001200,NBH000173,1.9199,8.837,0.3061,0.0421,5.005,9.618,0.915,4.109,0.2986,8.456,1.764,0.379,3.437,1.11,0.001,8.482,7.889,2.7289
CYC000001201,NBH000036,0.305,6.949,0.2349,0.663,6.733,9.63,7.946,4.261,0.0778,4.804,9.238,0.458,0.242,8.191,8.227,9.712,7.213,3.5887
CYC000001202,NBH000151,6.8651,7.622,0.8869,0.4106,8.169,7.782,1.142,9.815,0.7038,4.226,9.32,6.213,5.039,1.578,3.814,8.718,4.017,3.458
CYC000001203,NBH000106,6.3952,5.001,0.863,0.4774,3.123,0.448,6.786,5.317,0.6083,4.861,6.535,0.61,0.326,4.766,4.376,5.992,1.359,4.8999
