tech_opendata_reference_year,tech_opendata_country_iso2,tech_opendata_open_data_maturity_score,tech_opendata_open_by_default_policy_flag,tech_opendata_public_sector_info_directive_compliance_flag,tech_opendata_high_value_datasets_published_count,tech_opendata_api_endpoints_count,tech_opendata_machine_readable_share_pct,tech_opendata_metadata_dc_at_ap_compliance_pct,tech_opendata_licensing_standard_code,tech_opendata_reuse_cases_count,tech_opendata_digital_identity_eidas_level,tech_opendata_eudi_wallet_ready_flag,tech_opendata_cross_border_service_usage_count,tech_opendata_interoperability_framework_adoption_pct,tech_opendata_data_spaces_participation_flag,tech_opendata_gaia_x_alignment_flag,tech_opendata_data_governance_act_compliance_flag,tech_opendata_data_act_compliance_flag,tech_opendata_data_extract_date
2025,AT,93.73,1,1,129,220,67.18,49.86,EU_PSI_STANDARD,1360,LOW,0,2655,54.11,1,1,1,0,2025-05-06
2026,CZ,67.15,1,1,52,326,87.32,66.44,CC_BY_4_0,1300,HIGH,1,2666,89.81,0,0,0,1,2026-02-05
2014,DE,67.77,1,1,52,228,87.4,61.91,ODC_BY,1057,SUBSTANTIAL,1,4496,60.18,1,0,1,1,2025-12-20
2015,LV,61.53,1,1,64,367,61.0,89.33,OTHER,1303,LOW,1,1885,65.56,0,1,0,0,2024-02-05
2016,PL,62.03,0,0,64,165,87.6,51.3,CC0_1_0,1291,HIGH,0,4050,80.02,0,0,0,0,2025-10-17
2017,ES,42.19,1,0,126,206,84.8,80.22,EU_PSI_STANDARD,1107,SUBSTANTIAL,1,1375,57.6,0,1,1,1,2024-08-05
2018,HR,41.11,1,1,77,121,38.59,60.38,CC_BY_4_0,1241,LOW,0,1329,29.95,1,0,1,1,2025-12-30
2019,FI,94.66,1,1,87,147,63.8,53.03,ODC_BY,1013,HIGH,1,3609,72.7,0,1,1,1,2026-01-17
2020,IE,37.83,0,1,134,235,79.13,52.46,OTHER,1250,SUBSTANTIAL,0,2281,58.35,0,0,0,0,2026-01-09
2021,MT,67.11,1,1,91,131,56.5,76.52,CC0_1_0,1399,LOW,1,3943,69.25,0,1,0,1,2025-10-28
2022,SK,61.1,0,0,122,145,44.08,89.34,EU_PSI_STANDARD,1494,HIGH,0,4963,43.02,0,0,1,1,2026-02-07
2023,BE,52.63,1,1,128,371,84.29,56.72,CC_BY_4_0,1179,SUBSTANTIAL,0,3668,86.47,0,0,1,1,2025-03-03
2024,DK,77.24,0,1,102,308,79.99,74.81,ODC_BY,1083,LOW,0,2430,49.75,1,1,1,1,2025-10-10
2025,GR,56.73,0,1,131,265,92.98,58.18,OTHER,1068,HIGH,1,2045,62.15,0,0,1,0,2025-05-08
2026,LT,37.35,1,1,123,325,59.05,79.84,CC0_1_0,1184,SUBSTANTIAL,1,4236,29.91,0,0,0,1,2024-01-12
2014,PT,39.49,1,1,80,184,89.67,92.5,EU_PSI_STANDARD,1210,LOW,0,3320,55.44,0,0,1,0,2025-05-14
2015,SE,66.52,0,0,96,133,61.38,72.48,CC_BY_4_0,1435,HIGH,0,2540,21.61,1,0,1,1,2026-02-05
2016,CY,47.17,1,0,114,332,64.75,75.71,ODC_BY,1043,SUBSTANTIAL,0,4416,55.6,1,1,1,1,2024-03-20
2017,FR,25.59,0,1,108,283,63.31,41.49,OTHER,1044,LOW,0,1493,90.2,0,1,0,1,2024-04-06
2018,IT,75.78,1,0,133,250,57.9,96.91,CC0_1_0,1120,HIGH,1,2029,39.54,1,0,1,1,2024-12-10
2019,NL,77.71,1,1,102,233,67.92,53.74,EU_PSI_STANDARD,1461,SUBSTANTIAL,1,3487,39.5,0,1,1,1,2025-11-28
2020,SI,29.95,0,1,99,186,65.62,61.61,CC_BY_4_0,1509,LOW,0,1068,80.82,0,1,0,1,2024-06-02
2021,BG,64.66,1,1,117,181,70.88,71.95,ODC_BY,1504,HIGH,1,2139,48.04,0,0,0,0,2025-06-19
2022,EE,82.2,1,1,150,186,91.77,91.35,OTHER,1517,SUBSTANTIAL,1,1316,21.41,1,0,0,1,2024-09-17
2023,HU,47.67,1,1,106,198,44.45,58.98,CC0_1_0,1196,LOW,1,1055,38.21,0,1,1,0,2025-12-23
2024,LU,38.88,1,1,98,371,75.64,45.63,EU_PSI_STANDARD,1108,HIGH,1,1319,21.5,0,0,1,1,2024-03-06
2025,RO,74.45,0,0,118,295,55.92,68.27,CC_BY_4_0,1171,SUBSTANTIAL,1,4643,24.72,0,1,1,1,2024-02-01
2026,AT,89.18,0,1,86,323,93.38,59.78,ODC_BY,1245,LOW,0,1958,60.02,0,1,1,0,2024-10-19
2014,CZ,24.82,1,1,87,166,84.36,61.61,OTHER,1444,HIGH,1,3096,18.47,0,0,0,1,2024-12-26
2015,DE,65.4,1,0,111,216,62.74,74.78,CC0_1_0,1403,SUBSTANTIAL,1,2614,42.44,1,1,0,1,2025-12-13
2016,LV,32.49,1,1,133,184,74.15,98.51,EU_PSI_STANDARD,1315,LOW,0,4796,77.02,0,0,1,1,2025-04-14
2017,PL,79.48,0,0,156,217,84.69,45.95,CC_BY_4_0,1240,HIGH,0,3128,37.7,0,0,0,0,2025-06-19
2018,ES,50.57,1,0,143,181,58.87,61.25,ODC_BY,1097,SUBSTANTIAL,0,3042,53.15,0,0,1,0,2026-01-14
2019,HR,27.18,1,1,94,326,77.59,54.3,OTHER,1202,LOW,0,3358,89.89,1,0,0,1,2026-02-18
2020,FI,69.99,0,1,158,292,36.55,79.66,CC0_1_0,1247,HIGH,1,2160,39.19,1,0,1,1,2026-01-02
2021,IE,30.6,1,0,145,338,37.93,79.71,EU_PSI_STANDARD,1157,SUBSTANTIAL,1,1872,53.64,1,0,1,1,2026-02-09
2022,MT,50.64,0,1,109,263,58.53,94.45,CC_BY_4_0,1043,LOW,0,3946,33.65,0,1,0,1,2025-01-24
2023,SK,61.41,0,1,101,291,42.93,86.86,ODC_BY,1134,HIGH,0,4237,81.39,0,1,0,0,2024-07-04
2024,BE,72.61,1,0,140,333,50.2,95.57,OTHER,1147,SUBSTANTIAL,1,1711,53.78,0,0,1,1,2024-04-17
2025,DK,73.1,0,0,161,311,78.42,40.73,CC0_1_0,1160,LOW,1,1828,45.03,0,0,1,1,2024-11-15
2026,GR,60.18,0,1,94,324,80.24,97.29,EU_PSI_STANDARD,1526,HIGH,1,1534,48.41,1,0,0,0,2024-10-02
2014,LT,32.97,1,0,107,263,96.93,94.51,CC_BY_4_0,1267,SUBSTANTIAL,1,2061,57.53,1,0,1,0,2024-01-02
2015,PT,74.72,0,1,91,339,67.12,88.3,ODC_BY,1046,LOW,0,2102,18.84,1,1,1,1,2025-11-10
2016,SE,26.39,0,0,119,164,79.92,52.84,OTHER,1398,HIGH,1,2456,91.0,1,1,1,1,2024-02-04
2017,CY,48.61,1,0,116,386,87.38,46.87,CC0_1_0,1215,SUBSTANTIAL,1,4052,26.16,1,0,0,0,2024-05-16
2018,FR,78.11,1,0,106,198,44.14,83.46,EU_PSI_STANDARD,1494,LOW,0,2752,46.8,0,1,0,1,2025-02-03
2019,IT,76.83,0,1,169,179,75.61,82.15,CC_BY_4_0,1141,HIGH,1,3642,79.25,0,0,0,1,2024-10-19
2020,NL,23.69,1,0,104,285,58.53,45.38,ODC_BY,1166,SUBSTANTIAL,0,3622,83.36,1,1,1,0,2025-09-18
2021,SI,27.1,1,1,127,367,81.44,51.01,OTHER,1112,LOW,1,1433,85.83,1,1,0,0,2024-04-24
2022,BG,47.06,1,1,124,380,91.51,68.06,CC0_1_0,1157,HIGH,0,1519,91.91,0,0,1,1,2024-01-18
2023,EE,54.91,1,1,110,402,78.32,43.9,EU_PSI_STANDARD,1528,SUBSTANTIAL,0,2891,37.56,0,0,1,0,2024-11-18
2024,HU,39.67,0,1,118,304,61.94,86.38,CC_BY_4_0,1533,LOW,0,3580,56.51,1,1,0,0,2025-10-02
2025,LU,67.62,1,0,169,322,41.46,44.96,ODC_BY,1552,HIGH,1,3364,20.58,1,0,1,0,2024-01-14
2026,RO,66.21,1,1,119,340,97.46,61.15,OTHER,1432,SUBSTANTIAL,1,2458,74.15,1,0,0,1,2024-08-31
2014,AT,28.62,0,0,118,182,59.31,61.94,CC0_1_0,1197,LOW,0,1932,35.54,0,0,1,0,2025-07-10
2015,CZ,42.89,1,1,128,270,97.29,84.12,EU_PSI_STANDARD,1155,HIGH,1,3888,67.84,1,0,0,0,2024-07-20
2016,DE,26.15,1,0,165,210,55.78,47.36,CC_BY_4_0,1450,SUBSTANTIAL,0,3952,39.45,0,1,0,1,2025-01-01
2017,LV,21.11,1,1,114,295,93.76,58.84,ODC_BY,1282,LOW,0,3711,38.16,0,0,1,0,2024-05-24
2018,PL,22.34,0,1,153,302,84.22,76.68,OTHER,1076,HIGH,1,3587,82.48,1,0,1,0,2025-08-06
2019,ES,67.67,0,1,118,316,59.33,46.46,CC0_1_0,1156,SUBSTANTIAL,0,2809,59.87,1,0,1,0,2024-10-02
2020,HR,43.04,1,1,125,272,92.42,82.39,EU_PSI_STANDARD,1247,LOW,0,1778,73.04,0,0,1,0,2025-10-22
2021,FI,66.53,1,1,174,352,51.65,56.9,CC_BY_4_0,1254,HIGH,1,2783,56.87,1,1,1,0,2024-06-23
2022,IE,44.58,0,1,182,303,84.16,60.52,ODC_BY,1202,SUBSTANTIAL,0,1376,88.1,1,0,1,0,2024-07-14
2023,MT,84.21,1,1,149,237,65.88,94.04,OTHER,1408,LOW,1,3958,87.29,1,0,0,0,2024-08-19
2024,SK,58.07,0,0,177,312,86.15,65.34,CC0_1_0,1149,HIGH,1,3906,56.67,1,0,1,1,2025-03-02
2025,BE,84.59,0,1,168,415,63.68,96.81,EU_PSI_STANDARD,1298,SUBSTANTIAL,1,2734,46.77,1,1,0,0,2024-10-08
2026,DK,67.63,1,1,138,378,54.51,74.63,CC_BY_4_0,1355,LOW,0,2593,62.75,1,0,0,0,2024-04-12
2014,GR,78.43,1,0,181,359,35.3,60.13,ODC_BY,1147,HIGH,1,3756,18.4,0,0,1,0,2026-02-24
2015,LT,39.34,1,1,193,355,73.76,73.22,OTHER,1166,SUBSTANTIAL,1,2234,53.87,0,0,1,0,2025-03-28
2016,PT,55.33,1,1,185,364,43.61,64.33,CC0_1_0,1200,LOW,1,2687,94.08,0,0,1,1,2026-02-06
2017,SE,83.93,1,0,120,359,41.51,67.42,EU_PSI_STANDARD,1539,HIGH,1,2649,70.7,1,0,0,1,2024-05-18
2018,CY,50.94,1,1,148,229,79.26,69.1,CC_BY_4_0,1390,SUBSTANTIAL,1,3425,83.67,0,0,0,0,2025-06-02
2019,FR,32.84,1,1,197,257,62.34,76.62,ODC_BY,1524,LOW,0,2404,36.3,1,0,1,1,2025-08-17
2020,IT,30.56,1,0,195,280,85.72,91.84,OTHER,1182,HIGH,1,4707,28.99,1,0,0,0,2025-12-24
2021,NL,51.4,0,1,171,335,39.76,61.52,CC0_1_0,1080,SUBSTANTIAL,1,3887,23.5,1,0,1,1,2026-01-14
2022,SI,29.5,0,1,132,329,58.43,44.0,EU_PSI_STANDARD,1430,LOW,0,4154,45.52,1,0,0,1,2025-04-08
2023,BG,89.49,0,1,175,339,49.87,62.76,CC_BY_4_0,1172,HIGH,1,3271,80.88,0,0,1,1,2024-08-03
2024,EE,35.26,1,0,155,231,43.55,43.6,ODC_BY,1535,SUBSTANTIAL,1,3743,82.47,0,0,0,1,2025-05-09
2025,HU,94.92,1,1,197,431,70.31,75.07,OTHER,1240,LOW,1,3133,50.37,0,1,1,1,2024-07-26
2026,LU,57.69,1,1,162,374,49.25,85.28,CC0_1_0,1372,HIGH,1,2960,88.86,1,0,1,0,2024-09-20
2014,RO,84.83,1,0,190,413,54.41,42.69,EU_PSI_STANDARD,1332,SUBSTANTIAL,0,3313,66.95,0,0,0,1,2024-09-04
2015,AT,52.45,1,0,131,415,87.33,45.13,CC_BY_4_0,1507,LOW,0,1153,48.49,1,1,1,1,2024-12-31
2016,CZ,55.65,1,1,137,256,42.0,73.64,ODC_BY,1376,HIGH,1,3517,19.04,0,1,1,1,2024-10-16
2017,DE,59.46,1,1,178,283,89.24,56.72,OTHER,1356,SUBSTANTIAL,1,1692,53.45,0,1,1,1,2024-05-23
2018,LV,92.15,1,1,164,320,91.02,59.39,CC0_1_0,1110,LOW,0,4338,36.76,1,0,0,1,2025-11-08
2019,PL,74.69,1,1,148,204,71.43,65.13,EU_PSI_STANDARD,1584,HIGH,1,4340,35.41,1,0,1,0,2024-01-26
2020,ES,44.3,0,1,174,432,50.7,58.65,CC_BY_4_0,1231,SUBSTANTIAL,0,2944,85.05,0,1,1,1,2024-04-16
2021,HR,54.99,0,0,196,308,77.72,59.6,ODC_BY,1290,LOW,1,1934,86.7,1,0,1,1,2024-05-31
2022,FI,94.52,0,1,186,259,83.37,90.57,OTHER,1579,HIGH,0,3542,70.32,1,0,0,1,2025-11-29
2023,IE,47.79,1,0,215,288,41.43,94.47,CC0_1_0,1570,SUBSTANTIAL,1,2348,50.35,0,0,1,0,2025-10-19
2024,MT,78.3,1,1,166,428,71.64,63.7,EU_PSI_STANDARD,1446,LOW,0,4312,75.45,0,0,1,0,2025-06-23
2025,SK,86.63,0,1,177,337,77.81,44.57,CC_BY_4_0,1383,HIGH,1,2797,95.72,1,0,0,1,2025-11-10
2026,BE,47.39,1,1,159,275,65.57,86.75,ODC_BY,1135,SUBSTANTIAL,1,4600,38.29,1,1,1,1,2024-06-21
2014,DK,39.86,0,1,182,457,98.0,85.37,OTHER,1360,LOW,0,2910,69.39,0,0,0,1,2024-07-17
2015,GR,72.1,1,1,167,442,69.74,43.46,CC0_1_0,1541,HIGH,1,3637,54.02,0,0,1,1,2025-06-23
2016,LT,64.12,1,0,215,215,36.94,61.42,EU_PSI_STANDARD,1464,SUBSTANTIAL,1,4457,77.75,1,0,0,1,2024-05-04
2017,PT,66.57,1,1,164,223,84.0,89.85,CC_BY_4_0,1391,LOW,0,3595,35.21,0,0,1,0,2024-01-13
2018,SE,94.93,1,1,171,446,94.37,61.08,ODC_BY,1374,HIGH,0,4781,91.38,0,1,1,0,2024-04-02
2019,CY,61.71,0,1,187,391,50.96,95.54,OTHER,1391,SUBSTANTIAL,1,2685,37.04,1,0,0,0,2024-10-01
2020,FR,66.09,1,0,213,229,94.83,63.61,CC0_1_0,1371,LOW,0,2289,46.05,1,0,0,0,2024-07-27
2021,IT,75.05,1,0,168,260,53.31,96.54,EU_PSI_STANDARD,1461,HIGH,1,3527,58.48,0,0,0,0,2024-01-24
2022,NL,68.23,0,1,198,306,86.4,87.98,CC_BY_4_0,1156,SUBSTANTIAL,1,3324,21.85,1,0,1,1,2024-05-13
2023,SI,88.65,1,0,163,299,60.27,56.83,ODC_BY,1485,LOW,0,3085,80.14,1,0,0,1,2024-09-07
2024,BG,33.58,0,1,187,343,74.71,49.95,OTHER,1501,HIGH,1,1982,44.72,1,1,1,1,2025-10-27
2025,EE,43.93,0,1,185,292,56.13,67.41,CC0_1_0,1482,SUBSTANTIAL,1,2370,44.08,1,1,1,0,2024-07-17
2026,HU,41.03,1,1,168,387,82.75,82.39,EU_PSI_STANDARD,1211,LOW,0,4679,34.96,0,1,1,0,2024-07-09
2014,LU,47.13,0,0,215,228,52.49,84.94,CC_BY_4_0,1530,HIGH,1,2536,82.92,0,0,0,1,2024-03-14
2015,RO,60.37,1,1,163,282,55.16,45.67,ODC_BY,1255,SUBSTANTIAL,1,4735,42.85,0,1,0,1,2025-12-25
2016,AT,40.54,1,1,191,422,92.47,57.83,OTHER,1218,LOW,1,1887,64.46,0,1,0,0,2024-06-19
2017,CZ,59.7,0,0,190,448,94.51,56.55,CC0_1_0,1286,HIGH,1,4821,61.01,0,0,0,0,2024-03-04
2018,DE,54.39,0,1,207,400,40.09,52.68,EU_PSI_STANDARD,1161,SUBSTANTIAL,1,4012,24.86,0,0,0,0,2024-02-18
2019,LV,41.66,0,1,235,325,91.84,53.4,CC_BY_4_0,1309,LOW,0,1352,50.17,0,1,1,0,2025-03-20
2020,PL,92.41,0,1,220,386,91.36,66.47,ODC_BY,1157,HIGH,1,4978,94.49,0,0,1,1,2026-01-21
2021,ES,22.43,1,1,186,272,66.8,58.74,OTHER,1237,SUBSTANTIAL,1,3601,93.03,0,0,1,1,2024-02-13
2022,HR,92.74,1,1,190,440,84.65,53.98,CC0_1_0,1217,LOW,0,3428,23.08,1,0,1,1,2026-01-20
2023,FI,30.14,0,1,237,384,93.3,96.04,EU_PSI_STANDARD,1452,HIGH,0,1150,22.53,0,0,1,1,2025-05-30
2024,IE,67.81,1,0,192,429,94.47,56.13,CC_BY_4_0,1601,SUBSTANTIAL,1,4993,25.51,1,1,0,1,2024-05-06
2025,MT,60.87,1,1,236,252,50.13,62.0,ODC_BY,1273,LOW,0,2670,52.24,0,0,1,0,2024-10-12
2026,SK,92.9,1,1,198,270,42.02,82.84,OTHER,1403,HIGH,0,1802,42.08,0,1,1,1,2025-03-08
2014,BE,60.35,1,0,223,359,85.71,73.96,CC0_1_0,1302,SUBSTANTIAL,0,1230,23.63,0,0,0,0,2024-01-09
2015,DK,76.89,1,0,176,484,96.82,54.99,EU_PSI_STANDARD,1195,LOW,0,3755,27.61,0,0,1,0,2024-11-16
2016,GR,81.16,1,0,196,249,89.19,63.7,CC_BY_4_0,1597,HIGH,1,1845,66.44,0,0,1,1,2024-08-01
2017,LT,88.15,1,0,219,277,54.66,93.96,ODC_BY,1554,SUBSTANTIAL,1,3609,36.61,0,0,1,0,2024-01-30
2018,PT,38.75,0,0,221,391,44.01,50.6,OTHER,1150,LOW,0,3029,34.63,1,0,1,0,2024-05-04
2019,SE,57.64,1,1,206,487,54.81,67.02,CC0_1_0,1553,HIGH,0,3887,65.87,0,1,0,0,2025-04-30
2020,CY,59.55,0,1,193,332,95.9,81.08,EU_PSI_STANDARD,1240,SUBSTANTIAL,1,4133,26.55,0,1,1,0,2024-05-30
2021,FR,45.83,1,0,183,274,57.34,78.31,CC_BY_4_0,1296,LOW,0,3680,79.55,0,0,0,1,2025-07-25
2022,IT,43.94,1,1,202,381,55.68,42.71,ODC_BY,1247,HIGH,0,4918,67.66,0,1,0,1,2026-02-14
2023,NL,41.24,1,1,218,420,61.84,79.81,OTHER,1618,SUBSTANTIAL,0,4946,24.12,0,0,0,1,2025-01-18
2024,SI,87.46,1,1,220,435,46.19,71.12,CC0_1_0,1440,LOW,0,2178,83.88,1,0,0,1,2024-09-14
2025,BG,86.6,1,1,232,434,84.22,90.21,EU_PSI_STANDARD,1297,HIGH,1,5036,39.4,0,0,0,1,2024-09-02
2026,EE,47.29,1,1,205,382,53.17,86.33,CC_BY_4_0,1627,SUBSTANTIAL,0,1699,34.46,0,0,1,0,2024-12-22
2014,HU,47.57,1,1,201,326,47.29,85.92,ODC_BY,1183,LOW,1,4895,76.77,0,1,1,1,2025-05-04
2015,LU,48.24,1,1,187,480,81.72,44.57,OTHER,1370,HIGH,1,2370,44.64,0,0,1,0,2026-01-20
2016,RO,31.22,1,0,244,260,95.24,81.28,CC0_1_0,1503,SUBSTANTIAL,1,2348,36.93,0,0,1,0,2024-10-22
2017,AT,53.67,1,1,245,348,36.48,54.62,EU_PSI_STANDARD,1306,LOW,0,2281,70.75,0,0,0,1,2025-03-09
2018,CZ,40.88,1,0,250,490,73.84,63.23,CC_BY_4_0,1627,HIGH,0,1983,54.86,0,0,0,1,2025-07-18
2019,DE,83.0,1,1,232,318,77.63,57.61,ODC_BY,1404,SUBSTANTIAL,1,4267,59.93,0,0,1,1,2024-09-11
2020,LV,71.5,0,1,225,401,92.15,73.83,OTHER,1361,LOW,1,1821,85.81,1,1,1,1,2025-04-19
2021,PL,82.23,0,1,244,416,53.29,91.44,CC0_1_0,1364,HIGH,0,1696,82.2,1,0,0,1,2025-09-01
2022,ES,46.6,1,1,228,322,41.15,91.63,EU_PSI_STANDARD,1385,SUBSTANTIAL,1,2236,43.1,0,1,0,1,2026-02-11
2023,HR,86.87,0,1,248,313,58.0,80.85,CC_BY_4_0,1205,LOW,0,1944,46.82,0,0,1,1,2024-05-29
2024,FI,45.48,1,1,226,389,35.54,88.31,ODC_BY,1298,HIGH,0,5093,67.97,0,0,0,0,2024-02-04
2025,IE,57.36,1,1,235,298,81.1,81.18,OTHER,1154,SUBSTANTIAL,1,2484,56.61,0,0,1,0,2024-12-06
2026,MT,84.49,1,1,249,358,80.61,62.21,CC0_1_0,1225,LOW,0,2826,33.6,1,0,1,0,2025-09-30
2014,SK,73.55,1,0,229,494,42.69,52.47,EU_PSI_STANDARD,1376,HIGH,1,1468,64.1,1,0,0,0,2025-02-23
2015,BE,67.66,0,1,227,311,37.43,78.33,CC_BY_4_0,1496,SUBSTANTIAL,1,3508,48.43,0,1,1,0,2025-08-06
2016,DK,48.38,0,1,256,309,80.13,98.25,ODC_BY,1624,LOW,0,4891,45.92,0,0,0,1,2024-08-05
2017,GR,41.68,0,1,205,320,40.83,67.65,OTHER,1533,HIGH,1,4623,95.45,1,0,1,1,2025-05-20
2018,LT,44.25,1,0,203,365,87.26,50.51,CC0_1_0,1337,SUBSTANTIAL,1,4797,37.87,0,0,1,0,2025-11-19
2019,PT,63.73,1,1,276,303,94.11,55.57,EU_PSI_STANDARD,1191,LOW,0,2056,24.94,1,0,0,0,2024-03-31
2020,SE,48.58,1,0,259,501,67.78,84.39,CC_BY_4_0,1271,HIGH,1,2734,53.81,1,0,0,0,2025-12-16
2021,CY,67.33,0,1,222,312,91.31,91.4,ODC_BY,1367,SUBSTANTIAL,1,3736,30.81,1,0,0,1,2024-12-18
2022,FR,45.65,1,1,280,375,57.61,87.28,OTHER,1405,LOW,1,1854,46.66,1,0,1,1,2025-04-12
2023,IT,49.45,0,0,224,339,58.35,64.2,CC0_1_0,1558,HIGH,1,3419,74.93,0,0,1,1,2024-07-22
2024,NL,27.85,0,1,271,283,89.26,47.9,EU_PSI_STANDARD,1354,SUBSTANTIAL,1,2034,42.84,1,0,1,1,2024-07-05
2025,SI,54.33,1,1,237,305,48.09,98.64,CC_BY_4_0,1379,LOW,1,4562,18.9,0,0,1,1,2024-11-11
2026,BG,67.4,1,0,223,367,79.92,52.03,ODC_BY,1617,HIGH,1,1244,50.78,0,1,0,0,2026-02-13
2014,EE,83.09,0,1,236,282,94.79,82.65,OTHER,1211,SUBSTANTIAL,1,2192,37.38,0,0,0,0,2025-11-26
2015,HU,90.64,1,1,221,498,53.43,56.95,CC0_1_0,1215,LOW,0,5115,26.73,0,1,1,1,2025-08-06
2016,LU,77.3,0,1,276,447,64.8,60.16,EU_PSI_STANDARD,1387,HIGH,0,3033,40.76,0,1,0,1,2025-01-26
2017,RO,79.18,1,1,261,465,41.58,50.18,CC_BY_4_0,1293,SUBSTANTIAL,0,4058,31.36,0,0,1,1,2024-05-13
2018,AT,88.77,1,1,277,372,36.13,84.53,ODC_BY,1405,LOW,0,1954,32.63,0,1,0,1,2024-09-12
2019,CZ,50.24,1,1,268,406,74.55,87.29,OTHER,1181,HIGH,1,4052,59.86,1,1,1,1,2025-04-05
2020,DE,43.87,0,1,222,428,80.34,89.69,CC0_1_0,1453,SUBSTANTIAL,1,5010,87.73,0,0,1,1,2024-03-22
2021,LV,73.12,0,0,252,383,51.17,62.52,EU_PSI_STANDARD,1473,LOW,1,2212,32.49,1,1,1,1,2024-08-30
2022,PL,49.37,0,1,258,457,43.12,61.57,CC_BY_4_0,1265,HIGH,1,3315,19.08,0,0,0,1,2025-01-16
2023,ES,59.01,0,0,280,523,38.15,96.77,ODC_BY,1513,SUBSTANTIAL,0,1266,46.85,1,0,1,0,2026-02-19
2024,HR,49.23,1,1,284,429,74.26,70.94,OTHER,1643,LOW,1,1904,72.1,1,0,1,0,2025-06-17
2025,FI,25.36,0,1,261,481,97.38,43.9,CC0_1_0,1218,HIGH,0,3438,31.28,0,1,0,1,2024-01-20
2026,IE,75.96,1,1,238,326,94.34,79.38,EU_PSI_STANDARD,1343,SUBSTANTIAL,0,2343,54.53,0,1,1,0,2024-12-03
2014,MT,69.9,1,1,269,481,63.95,56.63,CC_BY_4_0,1382,LOW,0,3796,67.89,1,0,0,0,2025-06-26
2015,SK,77.72,0,1,266,442,73.95,67.42,ODC_BY,1179,HIGH,1,1287,24.62,1,0,1,0,2024-04-03
2016,BE,59.64,1,1,284,529,90.7,79.5,OTHER,1634,SUBSTANTIAL,1,3274,95.8,0,0,1,1,2025-05-01
2017,DK,21.72,1,1,281,440,77.39,47.79,CC0_1_0,1641,LOW,0,2526,23.3,0,1,1,0,2025-03-15
2018,GR,38.16,0,1,284,397,64.63,76.87,EU_PSI_STANDARD,1385,HIGH,1,2669,76.29,0,1,0,0,2025-05-28
2019,LT,46.62,1,1,301,314,41.35,81.83,CC_BY_4_0,1439,SUBSTANTIAL,1,3124,31.03,0,1,1,1,2024-11-22
2020,PT,82.4,0,1,261,430,81.1,76.78,ODC_BY,1623,LOW,0,2192,48.59,1,0,1,1,2025-05-01
2021,SE,53.68,0,0,281,349,37.4,87.02,OTHER,1210,HIGH,0,4239,73.32,1,0,1,0,2024-07-13
2022,CY,37.83,1,1,290,399,68.54,42.92,CC0_1_0,1438,SUBSTANTIAL,1,2046,75.03,0,0,0,0,2025-12-23
2023,FR,46.92,1,1,281,445,85.83,74.71,EU_PSI_STANDARD,1363,LOW,1,2311,57.1,1,0,0,1,2025-11-27
2024,IT,56.64,0,1,253,327,60.07,71.61,CC_BY_4_0,1350,HIGH,1,3753,83.23,1,0,1,1,2026-02-19
2025,NL,55.93,1,1,281,318,81.67,85.54,ODC_BY,1567,SUBSTANTIAL,1,1899,60.54,0,0,0,0,2024-02-23
2026,SI,58.43,1,1,268,321,67.07,69.98,OTHER,1449,LOW,1,3926,18.63,0,1,1,1,2024-11-15
2014,BG,41.34,1,1,291,509,40.11,51.62,CC0_1_0,1429,HIGH,1,1804,58.01,0,0,1,1,2024-11-16
2015,EE,77.48,1,0,278,309,44.45,96.23,EU_PSI_STANDARD,1574,SUBSTANTIAL,0,3455,72.34,0,0,0,0,2025-03-20
2016,HU,68.26,0,0,301,338,37.98,45.37,CC_BY_4_0,1326,LOW,1,4778,20.47,1,0,0,0,2026-01-14
2017,LU,89.12,1,1,243,545,70.41,86.15,ODC_BY,1247,HIGH,0,1610,67.96,1,1,1,1,2025-02-23
2018,RO,69.71,1,1,281,343,48.39,47.6,OTHER,1278,SUBSTANTIAL,0,3584,28.31,0,1,1,1,2024-05-17
2019,AT,28.93,1,1,275,338,57.58,79.7,CC0_1_0,1443,LOW,1,2555,78.21,0,0,0,0,2024-05-01
2020,CZ,71.24,0,1,299,532,41.51,51.62,EU_PSI_STANDARD,1442,HIGH,1,2468,86.68,0,0,1,1,2025-04-06
2021,DE,56.31,0,0,258,498,50.07,41.0,CC_BY_4_0,1237,SUBSTANTIAL,0,3426,52.7,1,1,1,1,2026-01-24
2022,LV,42.42,1,1,303,357,47.22,44.06,ODC_BY,1468,LOW,0,3338,94.95,1,0,1,0,2025-02-06
2023,PL,40.48,1,0,245,556,81.49,91.69,OTHER,1372,HIGH,0,1747,35.0,1,0,1,1,2025-06-19
2024,ES,91.27,1,0,306,512,93.99,48.54,CC0_1_0,1378,SUBSTANTIAL,0,3668,64.77,0,0,1,1,2025-05-28
2025,HR,61.62,1,0,310,517,96.31,73.42,EU_PSI_STANDARD,1603,LOW,1,2203,47.9,1,1,1,0,2024-12-06
2026,FI,80.86,1,0,260,312,47.93,58.41,CC_BY_4_0,1236,HIGH,1,2650,34.86,1,0,0,0,2025-09-04
2014,IE,30.83,0,1,267,494,76.11,73.28,ODC_BY,1321,SUBSTANTIAL,0,2609,74.2,1,0,0,0,2024-04-20
2015,MT,74.28,1,0,307,361,49.89,51.73,OTHER,1295,LOW,0,2867,51.9,0,0,0,1,2024-10-29
