civ_trans_reference_year,civ_trans_register_entity_id,civ_trans_entity_type_code,civ_trans_headquarters_country_iso2,civ_trans_policy_area_code,civ_trans_declared_spend_eur,civ_trans_spend_bracket_code,civ_trans_number_of_persons_involved,civ_trans_meetings_commissioners_count,civ_trans_meetings_cabinet_count,civ_trans_meetings_meps_count,civ_trans_legislative_files_targeted_count,civ_trans_clients_count,civ_trans_consultation_participations_count,civ_trans_code_of_conduct_breach_flag,civ_trans_sanction_type_code,civ_trans_sanction_date,civ_trans_data_source,civ_trans_last_update_date,civ_trans_data_extract_date
2019,REG_2019_001085,LAW_FIRM,HR,HEALTH,2612142.32,1M_4_9M,1099,3,6,28,69,68,52,0,NONE,,PUBLIC_DISCLOSURE_API,2019-09-16,2025-03-04
2020,REG_2020_001086,NGO,DE,CLIMATE,1792863.07,1M_4_9M,1159,18,9,49,59,15,52,0,NONE,,JOINT_SECRETARIAT,2020-05-03,2024-07-27
2021,REG_2021_001087,PUBLIC_BODY,LU,SPACE,8373539.58,5M_PLUS,1158,12,35,36,84,23,14,1,NONE,,EU_TRANSPARENCY_REGISTER,2021-02-04,2024-06-16
2022,REG_2022_001088,TRADE_ASSOCIATION,SI,COMPETITION,4670639.43,1M_4_9M,1139,18,16,59,24,40,10,0,NONE,,PUBLIC_DISCLOSURE_API,2022-05-21,2024-06-24
2023,REG_2023_001089,COMPANY,IS,SECURITY,10471685.64,5M_PLUS,1092,16,10,14,32,2,55,1,FINE,2023-09-12,JOINT_SECRETARIAT,2024-06-04,2025-08-26
2024,REG_2024_001090,THINK_TANK,BE,AGRICULTURE,3472016.53,1M_4_9M,1170,6,25,66,9,22,2,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-10-30,2025-02-02
2025,REG_2025_001091,CONSULTANCY,FI,TRANSPORT,5702527.02,5M_PLUS,1109,14,5,12,48,80,19,0,NONE,,PUBLIC_DISCLOSURE_API,2025-08-08,2024-01-10
2026,REG_2026_001092,UNIVERSITY,LV,ENERGY,6322395.04,5M_PLUS,1141,19,32,20,41,6,10,0,NONE,,JOINT_SECRETARIAT,2026-02-07,2025-04-03
2014,REG_2014_001093,LAW_FIRM,RO,DIGITAL,6773607.98,5M_PLUS,1103,18,27,42,71,225,35,0,NONE,,EU_TRANSPARENCY_REGISTER,2014-07-15,2025-05-14
2015,REG_2015_001094,NGO,CH,DATA_GOV,3757431.39,1M_4_9M,1110,25,38,28,56,22,25,0,NONE,,PUBLIC_DISCLOSURE_API,2016-08-23,2024-01-30
2016,REG_2016_001095,PUBLIC_BODY,KR,CONSUMER,704183.17,500000_999999,1155,24,6,33,73,19,0,1,SUSPENSION,2017-02-12,JOINT_SECRETARIAT,2016-03-21,2025-01-02
2017,REG_2017_001096,TRADE_ASSOCIATION,DK,MIGRATION,3159650.65,1M_4_9M,1150,9,14,28,84,32,46,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-05-10,2025-05-30
2018,REG_2018_001097,COMPANY,IE,FINANCE,2915966.89,1M_4_9M,1128,7,17,42,28,23,0,0,NONE,,PUBLIC_DISCLOSURE_API,2019-04-26,2025-07-16
2019,REG_2019_001098,THINK_TANK,PL,HEALTH,695520.73,500000_999999,1170,13,18,63,7,23,46,0,NONE,,JOINT_SECRETARIAT,2019-03-08,2025-09-21
2020,REG_2020_001099,CONSULTANCY,US,CLIMATE,5403161.13,5M_PLUS,1160,14,21,6,71,135,4,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-06-07,2024-09-09
2021,REG_2021_001100,UNIVERSITY,CA,SPACE,8477144.94,5M_PLUS,1107,25,19,47,65,5,3,0,NONE,,PUBLIC_DISCLOSURE_API,2022-01-05,2025-04-23
2022,REG_2022_001101,LAW_FIRM,CY,COMPETITION,2969671.58,1M_4_9M,1163,13,13,54,63,115,42,0,NONE,,JOINT_SECRETARIAT,2023-02-14,2026-01-03
2023,REG_2023_001102,NGO,GR,SECURITY,3832198.6,1M_4_9M,1145,6,15,4,20,4,20,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-11-11,2025-05-16
2024,REG_2024_001103,PUBLIC_BODY,MT,AGRICULTURE,6070163.15,5M_PLUS,1116,6,28,24,47,31,33,0,NONE,,PUBLIC_DISCLOSURE_API,2024-01-11,2024-07-11
2025,REG_2025_001104,TRADE_ASSOCIATION,ES,TRANSPORT,4392539.62,1M_4_9M,1118,15,17,25,66,40,28,0,NONE,,JOINT_SECRETARIAT,2026-07-21,2025-04-20
2026,REG_2026_001105,COMPANY,UA,ENERGY,6535893.43,5M_PLUS,1108,18,13,35,73,16,29,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-11-16,2025-09-16
2014,REG_2014_001106,THINK_TANK,BG,DIGITAL,9856692.34,5M_PLUS,1151,0,8,31,74,36,51,0,NONE,,PUBLIC_DISCLOSURE_API,2014-03-20,2024-02-01
2015,REG_2015_001107,CONSULTANCY,FR,DATA_GOV,3221933.55,1M_4_9M,1142,11,31,24,12,250,7,0,NONE,,JOINT_SECRETARIAT,2015-12-08,2024-11-14
2016,REG_2016_001108,UNIVERSITY,LT,CONSUMER,421255.46,100000_499999,1187,16,11,22,79,3,8,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-02-07,2025-12-07
2017,REG_2017_001109,LAW_FIRM,SK,MIGRATION,5837546.7,5M_PLUS,1171,19,9,28,33,199,23,0,NONE,,PUBLIC_DISCLOSURE_API,2017-06-26,2025-07-03
2018,REG_2018_001110,NGO,NO,FINANCE,1075629.36,1M_4_9M,1177,5,26,45,27,32,28,0,NONE,,JOINT_SECRETARIAT,2019-01-28,2025-09-11
2019,REG_2019_001111,PUBLIC_BODY,AT,HEALTH,6234858.7,5M_PLUS,1188,9,24,56,11,26,24,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-11-06,2024-05-13
2020,REG_2020_001112,TRADE_ASSOCIATION,EE,CLIMATE,3228701.51,1M_4_9M,1183,4,0,10,23,1,48,0,NONE,,PUBLIC_DISCLOSURE_API,2021-03-06,2025-01-21
2021,REG_2021_001113,COMPANY,IT,SPACE,5332551.12,5M_PLUS,1170,18,17,46,40,18,5,0,NONE,,JOINT_SECRETARIAT,2021-01-03,2025-05-15
2022,REG_2022_001114,THINK_TANK,PT,COMPETITION,4504070.03,1M_4_9M,1123,20,24,9,9,29,40,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-10-02,2024-05-03
2023,REG_2023_001115,CONSULTANCY,GB,SECURITY,2858927.7,1M_4_9M,1135,5,25,26,59,14,44,0,NONE,,PUBLIC_DISCLOSURE_API,2024-04-14,2025-09-03
2024,REG_2024_001116,UNIVERSITY,JP,AGRICULTURE,5080497.27,5M_PLUS,1124,17,24,12,45,28,45,0,NONE,,JOINT_SECRETARIAT,2024-11-29,2025-04-10
2025,REG_2025_001117,LAW_FIRM,CZ,TRANSPORT,5273113.23,5M_PLUS,1195,9,11,36,70,56,11,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-04-17,2024-10-03
2026,REG_2026_001118,NGO,HU,ENERGY,2481746.93,1M_4_9M,1133,18,11,55,51,28,54,0,NONE,,PUBLIC_DISCLOSURE_API,2026-09-17,2025-05-08
2014,REG_2014_001119,PUBLIC_BODY,NL,DIGITAL,9367571.65,5M_PLUS,1148,3,31,11,39,23,10,0,NONE,,JOINT_SECRETARIAT,2015-12-06,2025-01-26
2015,REG_2015_001120,TRADE_ASSOCIATION,SE,DATA_GOV,8016264.29,5M_PLUS,1153,21,27,29,58,40,26,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-09-19,2025-04-18
2016,REG_2016_001121,COMPANY,TR,CONSUMER,3453559.45,1M_4_9M,1171,19,7,7,57,38,36,0,NONE,,PUBLIC_DISCLOSURE_API,2016-10-06,2024-08-31
2017,REG_2017_001122,THINK_TANK,HR,MIGRATION,1195658.0,1M_4_9M,1185,12,11,49,22,8,33,0,NONE,,JOINT_SECRETARIAT,2017-09-18,2024-05-08
2018,REG_2018_001123,CONSULTANCY,DE,FINANCE,263049.1,100000_499999,1199,20,35,21,59,179,8,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-05-06,2024-04-21
2019,REG_2019_001124,UNIVERSITY,LU,HEALTH,6722579.58,5M_PLUS,1139,11,25,58,52,11,44,0,NONE,,PUBLIC_DISCLOSURE_API,2019-09-12,2024-03-14
2020,REG_2020_001125,LAW_FIRM,SI,CLIMATE,4637701.16,1M_4_9M,1127,11,14,41,57,163,49,0,NONE,,JOINT_SECRETARIAT,2020-12-23,2024-02-13
2021,REG_2021_001126,NGO,IS,SPACE,2520957.0,1M_4_9M,1141,5,20,22,92,34,7,0,NONE,,EU_TRANSPARENCY_REGISTER,2022-01-23,2025-06-07
2022,REG_2022_001127,PUBLIC_BODY,BE,COMPETITION,9171463.9,5M_PLUS,1178,0,20,6,7,6,50,0,NONE,,PUBLIC_DISCLOSURE_API,2023-11-01,2024-05-01
2023,REG_2023_001128,TRADE_ASSOCIATION,FI,SECURITY,2090832.56,1M_4_9M,1204,4,24,22,33,31,4,0,NONE,,JOINT_SECRETARIAT,2024-02-02,2024-05-19
2024,REG_2024_001129,COMPANY,LV,AGRICULTURE,3731247.53,1M_4_9M,1147,8,6,39,51,39,33,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-01-17,2024-01-13
2025,REG_2025_001130,THINK_TANK,RO,TRANSPORT,5614073.68,5M_PLUS,1196,19,33,38,66,35,10,0,NONE,,PUBLIC_DISCLOSURE_API,2026-09-26,2026-01-10
2026,REG_2026_001131,CONSULTANCY,CH,ENERGY,3638458.06,1M_4_9M,1170,19,35,43,84,231,60,0,NONE,,JOINT_SECRETARIAT,2026-07-25,2024-06-19
2014,REG_2014_001132,UNIVERSITY,KR,DIGITAL,74871.95,50000_99999,1141,4,31,53,42,17,22,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-02-09,2026-01-01
2015,REG_2015_001133,LAW_FIRM,DK,DATA_GOV,1950400.73,1M_4_9M,1212,10,3,1,34,165,49,0,NONE,,PUBLIC_DISCLOSURE_API,2015-10-17,2024-12-10
2016,REG_2016_001134,NGO,IE,CONSUMER,3703711.0,1M_4_9M,1176,6,16,34,57,18,11,0,NONE,,JOINT_SECRETARIAT,2016-02-25,2024-07-02
2017,REG_2017_001135,PUBLIC_BODY,PL,MIGRATION,1472664.66,1M_4_9M,1161,5,9,57,49,28,32,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-12-07,2024-06-01
2018,REG_2018_001136,TRADE_ASSOCIATION,US,FINANCE,971162.93,500000_999999,1139,20,14,20,13,26,32,0,NONE,,PUBLIC_DISCLOSURE_API,2019-10-29,2024-09-04
2019,REG_2019_001137,COMPANY,CA,HEALTH,1504894.18,1M_4_9M,1157,24,26,12,53,36,21,0,NONE,,JOINT_SECRETARIAT,2019-05-20,2024-01-25
2020,REG_2020_001138,THINK_TANK,CY,CLIMATE,7005705.37,5M_PLUS,1172,20,23,17,46,15,42,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-12-16,2024-02-21
2021,REG_2021_001139,CONSULTANCY,GR,SPACE,3124925.38,1M_4_9M,1163,17,24,10,91,170,19,0,NONE,,PUBLIC_DISCLOSURE_API,2021-05-07,2024-06-21
2022,REG_2022_001140,UNIVERSITY,MT,COMPETITION,250251.84,100000_499999,1163,13,21,25,43,7,26,0,NONE,,JOINT_SECRETARIAT,2022-07-03,2024-03-04
2023,REG_2023_001141,LAW_FIRM,ES,SECURITY,4442661.29,1M_4_9M,1193,19,26,55,95,46,6,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-05-23,2024-12-21
2024,REG_2024_001142,NGO,UA,AGRICULTURE,5508425.88,5M_PLUS,1195,17,21,17,8,19,43,0,NONE,,PUBLIC_DISCLOSURE_API,2024-01-31,2024-06-29
2025,REG_2025_001143,PUBLIC_BODY,BG,TRANSPORT,6056221.17,5M_PLUS,1144,4,27,2,31,38,50,0,NONE,,JOINT_SECRETARIAT,2025-06-22,2024-06-02
2026,REG_2026_001144,TRADE_ASSOCIATION,FR,ENERGY,1634702.96,1M_4_9M,1204,0,25,47,70,13,43,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-06-19,2025-10-31
2014,REG_2014_001145,COMPANY,LT,DIGITAL,5233049.31,5M_PLUS,1202,16,34,22,3,21,38,0,NONE,,PUBLIC_DISCLOSURE_API,2014-10-04,2024-04-20
2015,REG_2015_001146,THINK_TANK,SK,DATA_GOV,987643.36,500000_999999,1147,4,24,59,4,9,30,0,NONE,,JOINT_SECRETARIAT,2015-03-17,2024-08-03
2016,REG_2016_001147,CONSULTANCY,NO,CONSUMER,1648800.46,1M_4_9M,1189,1,0,37,85,196,38,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-08-01,2025-01-02
2017,REG_2017_001148,UNIVERSITY,AT,MIGRATION,6133726.59,5M_PLUS,1212,17,25,17,12,8,44,0,NONE,,PUBLIC_DISCLOSURE_API,2018-08-03,2024-02-05
2018,REG_2018_001149,LAW_FIRM,EE,FINANCE,4618725.24,1M_4_9M,1188,3,16,39,68,155,35,0,NONE,,JOINT_SECRETARIAT,2019-04-28,2024-06-03
2019,REG_2019_001150,NGO,IT,HEALTH,6435030.71,5M_PLUS,1220,12,3,58,29,11,3,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-03-17,2024-06-10
2020,REG_2020_001151,PUBLIC_BODY,PT,CLIMATE,7495026.22,5M_PLUS,1207,14,21,47,81,16,51,0,NONE,,PUBLIC_DISCLOSURE_API,2021-12-13,2024-10-10
2021,REG_2021_001152,TRADE_ASSOCIATION,GB,SPACE,4708100.09,1M_4_9M,1206,13,17,46,21,25,30,0,NONE,,JOINT_SECRETARIAT,2021-04-08,2024-06-20
2022,REG_2022_001153,COMPANY,JP,COMPETITION,1241609.88,1M_4_9M,1176,16,31,50,83,34,15,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-05-26,2025-11-16
2023,REG_2023_001154,THINK_TANK,CZ,SECURITY,3281443.97,1M_4_9M,1226,6,16,47,78,24,22,0,NONE,,PUBLIC_DISCLOSURE_API,2023-08-09,2025-04-12
2024,REG_2024_001155,CONSULTANCY,HU,AGRICULTURE,619646.31,500000_999999,1200,19,31,31,29,9,6,0,NONE,,JOINT_SECRETARIAT,2025-03-24,2025-04-17
2025,REG_2025_001156,UNIVERSITY,NL,TRANSPORT,4273195.8,1M_4_9M,1181,8,26,31,48,11,10,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-09-17,2024-05-28
2026,REG_2026_001157,LAW_FIRM,SE,ENERGY,2266212.52,1M_4_9M,1184,14,34,26,26,131,26,0,NONE,,PUBLIC_DISCLOSURE_API,2026-11-05,2024-10-15
2014,REG_2014_001158,NGO,TR,DIGITAL,4017310.26,1M_4_9M,1180,17,32,25,39,20,15,0,NONE,,JOINT_SECRETARIAT,2015-09-17,2025-04-14
2015,REG_2015_001159,PUBLIC_BODY,HR,DATA_GOV,1224619.78,1M_4_9M,1216,10,22,49,56,17,0,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-06-10,2024-05-15
2016,REG_2016_001160,TRADE_ASSOCIATION,DE,CONSUMER,8394770.93,5M_PLUS,1161,10,32,53,20,28,17,0,NONE,,PUBLIC_DISCLOSURE_API,2016-11-23,2026-02-23
2017,REG_2017_001161,COMPANY,LU,MIGRATION,896105.77,500000_999999,1203,5,29,53,16,35,44,0,NONE,,JOINT_SECRETARIAT,2018-05-25,2025-09-20
2018,REG_2018_001162,THINK_TANK,SI,FINANCE,176619.7,100000_499999,1188,3,31,36,3,9,22,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-08-21,2025-07-17
2019,REG_2019_001163,CONSULTANCY,IS,HEALTH,3042245.64,1M_4_9M,1243,10,26,49,33,197,13,1,WARNING,2020-06-15,PUBLIC_DISCLOSURE_API,2020-07-15,2024-06-16
2020,REG_2020_001164,UNIVERSITY,BE,CLIMATE,6314705.38,5M_PLUS,1195,12,37,46,58,14,50,0,NONE,,JOINT_SECRETARIAT,2021-06-01,2025-06-20
2021,REG_2021_001165,LAW_FIRM,FI,SPACE,1974624.06,1M_4_9M,1198,0,0,17,36,157,45,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-08-04,2025-08-17
2022,REG_2022_001166,NGO,LV,COMPETITION,3266965.93,1M_4_9M,1208,7,0,26,37,17,25,0,NONE,,PUBLIC_DISCLOSURE_API,2022-04-03,2025-06-04
2023,REG_2023_001167,PUBLIC_BODY,RO,SECURITY,7448452.49,5M_PLUS,1171,7,20,24,52,23,48,0,NONE,,JOINT_SECRETARIAT,2023-05-29,2025-12-05
2024,REG_2024_001168,TRADE_ASSOCIATION,CH,AGRICULTURE,2308003.97,1M_4_9M,1233,13,19,31,11,40,34,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-04-15,2024-02-22
2025,REG_2025_001169,COMPANY,KR,TRANSPORT,6843016.61,5M_PLUS,1179,3,28,30,93,26,32,0,NONE,,PUBLIC_DISCLOSURE_API,2025-06-23,2025-07-02
2026,REG_2026_001170,THINK_TANK,DK,ENERGY,3847701.41,1M_4_9M,1244,4,19,9,27,1,37,0,NONE,,JOINT_SECRETARIAT,2026-12-17,2025-09-27
2014,REG_2014_001171,CONSULTANCY,IE,DIGITAL,6473715.73,5M_PLUS,1231,14,35,53,81,238,42,0,NONE,,EU_TRANSPARENCY_REGISTER,2014-08-31,2025-06-05
2015,REG_2015_001172,UNIVERSITY,PL,DATA_GOV,1750977.88,1M_4_9M,1250,16,26,4,30,8,5,0,NONE,,PUBLIC_DISCLOSURE_API,2016-11-26,2024-01-30
2016,REG_2016_001173,LAW_FIRM,US,CONSUMER,2217589.23,1M_4_9M,1184,4,16,15,53,114,12,0,NONE,,JOINT_SECRETARIAT,2017-03-28,2024-05-26
2017,REG_2017_001174,NGO,CA,MIGRATION,696650.09,500000_999999,1219,14,4,22,32,16,54,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-08-05,2026-01-06
2018,REG_2018_001175,PUBLIC_BODY,CY,FINANCE,4032502.73,1M_4_9M,1198,6,27,36,28,39,55,0,NONE,,PUBLIC_DISCLOSURE_API,2018-02-19,2025-08-16
2019,REG_2019_001176,TRADE_ASSOCIATION,GR,HEALTH,7149093.78,5M_PLUS,1203,16,17,57,28,6,21,0,NONE,,JOINT_SECRETARIAT,2019-05-09,2024-11-26
2020,REG_2020_001177,COMPANY,MT,CLIMATE,4897247.15,1M_4_9M,1194,20,16,2,48,34,13,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-04-07,2024-10-17
2021,REG_2021_001178,THINK_TANK,ES,SPACE,2680559.23,1M_4_9M,1247,0,26,19,30,28,39,0,NONE,,PUBLIC_DISCLOSURE_API,2021-05-26,2024-08-28
2022,REG_2022_001179,CONSULTANCY,UA,COMPETITION,232178.7,100000_499999,1240,7,1,9,2,124,42,0,NONE,,JOINT_SECRETARIAT,2023-07-10,2024-10-27
2023,REG_2023_001180,UNIVERSITY,BG,SECURITY,8236341.61,5M_PLUS,1220,9,13,47,11,17,15,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-01-18,2025-07-02
2024,REG_2024_001181,LAW_FIRM,FR,AGRICULTURE,6948519.46,5M_PLUS,1216,19,24,18,25,232,7,0,NONE,,PUBLIC_DISCLOSURE_API,2025-02-22,2025-02-14
2025,REG_2025_001182,NGO,LT,TRANSPORT,896553.88,500000_999999,1211,20,21,9,83,19,26,0,NONE,,JOINT_SECRETARIAT,2025-10-17,2025-12-29
2026,REG_2026_001183,PUBLIC_BODY,SK,ENERGY,3168910.83,1M_4_9M,1246,10,16,56,66,20,23,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-12-09,2024-08-30
2014,REG_2014_001184,TRADE_ASSOCIATION,NO,DIGITAL,5976362.28,5M_PLUS,1258,18,4,31,82,18,51,0,NONE,,PUBLIC_DISCLOSURE_API,2014-09-06,2024-10-13
2015,REG_2015_001185,COMPANY,AT,DATA_GOV,3033645.04,1M_4_9M,1240,5,5,17,65,2,22,1,SUSPENSION,2015-01-24,JOINT_SECRETARIAT,2016-06-18,2024-04-27
2016,REG_2016_001186,THINK_TANK,EE,CONSUMER,7675288.84,5M_PLUS,1219,20,2,15,18,36,0,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-12-28,2025-08-19
2017,REG_2017_001187,CONSULTANCY,IT,MIGRATION,1359974.23,1M_4_9M,1233,5,27,45,50,41,45,0,NONE,,PUBLIC_DISCLOSURE_API,2018-04-08,2024-03-09
2018,REG_2018_001188,UNIVERSITY,PT,FINANCE,5930022.82,5M_PLUS,1190,14,12,40,56,33,7,0,NONE,,JOINT_SECRETARIAT,2018-03-15,2024-02-16
2019,REG_2019_001189,LAW_FIRM,GB,HEALTH,7556076.47,5M_PLUS,1241,16,35,54,78,30,17,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-07-11,2024-05-22
2020,REG_2020_001190,NGO,JP,CLIMATE,5035198.91,5M_PLUS,1222,7,23,55,61,26,49,0,NONE,,PUBLIC_DISCLOSURE_API,2020-08-31,2024-12-25
2021,REG_2021_001191,PUBLIC_BODY,CZ,SPACE,4225272.36,1M_4_9M,1192,2,18,7,45,28,50,0,NONE,,JOINT_SECRETARIAT,2021-11-29,2024-09-08
2022,REG_2022_001192,TRADE_ASSOCIATION,HU,COMPETITION,6202873.41,5M_PLUS,1198,11,1,9,74,23,5,0,NONE,,EU_TRANSPARENCY_REGISTER,2022-07-20,2026-02-25
2023,REG_2023_001193,COMPANY,NL,SECURITY,3712277.12,1M_4_9M,1254,5,38,43,72,5,46,0,NONE,,PUBLIC_DISCLOSURE_API,2023-12-09,2024-08-08
2024,REG_2024_001194,THINK_TANK,SE,AGRICULTURE,4975712.41,1M_4_9M,1226,9,37,46,11,30,23,0,NONE,,JOINT_SECRETARIAT,2025-08-11,2025-09-25
2025,REG_2025_001195,CONSULTANCY,TR,TRANSPORT,1357166.82,1M_4_9M,1259,8,0,34,57,8,28,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-12-17,2024-04-13
2026,REG_2026_001196,UNIVERSITY,HR,ENERGY,3557672.78,1M_4_9M,1268,13,8,0,43,16,60,0,NONE,,PUBLIC_DISCLOSURE_API,2026-06-15,2025-05-25
2014,REG_2014_001197,LAW_FIRM,DE,DIGITAL,513725.94,500000_999999,1201,9,16,60,57,236,36,0,NONE,,JOINT_SECRETARIAT,2015-08-25,2025-12-30
2015,REG_2015_001198,NGO,LU,DATA_GOV,4342165.0,1M_4_9M,1268,11,13,41,16,21,23,1,NONE,,EU_TRANSPARENCY_REGISTER,2015-05-25,2024-09-29
2016,REG_2016_001199,PUBLIC_BODY,SI,CONSUMER,8646678.18,5M_PLUS,1267,17,16,48,52,3,10,0,NONE,,PUBLIC_DISCLOSURE_API,2016-07-22,2024-12-28
2017,REG_2017_001200,TRADE_ASSOCIATION,IS,MIGRATION,4340794.19,1M_4_9M,1279,20,30,52,35,18,31,0,NONE,,JOINT_SECRETARIAT,2018-07-29,2025-02-25
2018,REG_2018_001201,COMPANY,BE,FINANCE,6585673.55,5M_PLUS,1255,20,34,13,11,23,34,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-06-13,2026-01-21
2019,REG_2019_001202,THINK_TANK,FI,HEALTH,7979766.04,5M_PLUS,1209,6,5,40,89,22,51,0,NONE,,PUBLIC_DISCLOSURE_API,2020-02-26,2024-06-27
2020,REG_2020_001203,CONSULTANCY,LV,CLIMATE,848062.82,500000_999999,1245,16,27,40,39,233,0,0,NONE,,JOINT_SECRETARIAT,2020-06-28,2025-09-17
2021,REG_2021_001204,UNIVERSITY,RO,SPACE,4600641.91,1M_4_9M,1252,16,34,13,32,6,38,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-05-08,2025-08-28
2022,REG_2022_001205,LAW_FIRM,CH,COMPETITION,1029957.43,1M_4_9M,1224,8,24,14,12,151,34,0,NONE,,PUBLIC_DISCLOSURE_API,2022-08-16,2025-11-24
2023,REG_2023_001206,NGO,KR,SECURITY,6077785.95,5M_PLUS,1248,19,12,26,46,1,60,0,NONE,,JOINT_SECRETARIAT,2023-01-02,2025-12-20
2024,REG_2024_001207,PUBLIC_BODY,DK,AGRICULTURE,8360764.11,5M_PLUS,1226,19,22,51,29,21,28,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-01-18,2025-07-06
2025,REG_2025_001208,TRADE_ASSOCIATION,IE,TRANSPORT,972035.43,500000_999999,1280,18,24,44,39,11,2,0,NONE,,PUBLIC_DISCLOSURE_API,2025-07-18,2025-02-19
2026,REG_2026_001209,COMPANY,PL,ENERGY,11319734.08,5M_PLUS,1278,13,26,27,34,17,28,0,NONE,,JOINT_SECRETARIAT,2026-05-07,2025-03-25
2014,REG_2014_001210,THINK_TANK,US,DIGITAL,8347930.31,5M_PLUS,1212,12,31,54,24,20,20,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-06-02,2025-06-26
2015,REG_2015_001211,CONSULTANCY,CA,DATA_GOV,1891721.83,1M_4_9M,1286,9,16,22,27,100,52,1,WARNING,2015-08-30,PUBLIC_DISCLOSURE_API,2016-07-24,2025-07-22
2016,REG_2016_001212,UNIVERSITY,CY,CONSUMER,3184592.22,1M_4_9M,1247,13,3,34,63,24,36,0,NONE,,JOINT_SECRETARIAT,2016-01-18,2024-06-14
2017,REG_2017_001213,LAW_FIRM,GR,MIGRATION,1632380.79,1M_4_9M,1284,11,27,21,18,62,48,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-07-08,2026-02-14
2018,REG_2018_001214,NGO,MT,FINANCE,3486542.83,1M_4_9M,1231,9,6,33,64,11,52,0,NONE,,PUBLIC_DISCLOSURE_API,2018-03-26,2025-03-21
2019,REG_2019_001215,PUBLIC_BODY,ES,HEALTH,1830784.62,1M_4_9M,1234,19,6,59,1,4,33,0,NONE,,JOINT_SECRETARIAT,2020-02-21,2025-03-18
2020,REG_2020_001216,TRADE_ASSOCIATION,UA,CLIMATE,2119565.11,1M_4_9M,1235,12,10,55,6,4,42,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-03-10,2024-02-29
2021,REG_2021_001217,COMPANY,BG,SPACE,5967203.81,5M_PLUS,1239,1,13,66,37,36,60,1,NONE,,PUBLIC_DISCLOSURE_API,2022-09-07,2025-02-20
2022,REG_2022_001218,THINK_TANK,FR,COMPETITION,4121360.78,1M_4_9M,1246,17,20,16,20,0,37,0,NONE,,JOINT_SECRETARIAT,2022-10-29,2024-02-03
2023,REG_2023_001219,CONSULTANCY,LT,SECURITY,7784318.56,5M_PLUS,1246,15,20,39,16,166,1,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-03-24,2025-06-25
2024,REG_2024_001220,UNIVERSITY,SK,AGRICULTURE,1525567.36,1M_4_9M,1251,9,22,12,82,27,9,0,NONE,,PUBLIC_DISCLOSURE_API,2025-01-12,2024-04-18
2025,REG_2025_001221,LAW_FIRM,NO,TRANSPORT,6300490.02,5M_PLUS,1241,9,7,42,57,25,32,0,NONE,,JOINT_SECRETARIAT,2025-09-30,2025-01-25
2026,REG_2026_001222,NGO,AT,ENERGY,2569845.95,1M_4_9M,1268,15,9,26,0,16,24,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-02-26,2025-11-18
2014,REG_2014_001223,PUBLIC_BODY,EE,DIGITAL,8178789.85,5M_PLUS,1232,17,23,45,17,24,35,0,NONE,,PUBLIC_DISCLOSURE_API,2014-01-03,2025-06-25
2015,REG_2015_001224,TRADE_ASSOCIATION,IT,DATA_GOV,10246088.33,5M_PLUS,1253,13,30,20,49,12,54,0,NONE,,JOINT_SECRETARIAT,2015-12-15,2024-05-14
