env_adapt_reference_year,env_adapt_country_iso2,env_adapt_region_nuts_code,env_adapt_hazard_type_code,env_adapt_hazard_frequency_index,env_adapt_hazard_severity_index,env_adapt_population_exposed_count,env_adapt_assets_exposed_eur,env_adapt_vulnerability_index,env_adapt_adaptive_capacity_index,env_adapt_expected_annual_loss_eur,env_adapt_insurance_penetration_pct,env_adapt_national_adaptation_plan_flag,env_adapt_local_adaptation_plan_count,env_adapt_nature_based_solutions_area_ha,env_adapt_climate_services_usage_flag,env_adapt_disaster_risk_reduction_investment_eur,env_adapt_solidarity_fund_activation_flag,env_adapt_data_source,env_adapt_data_extract_date
2009,CZ,RO43,COLD_SPELL,0.5997,0.7944,397717,58773351936.49,0.8779,0.3105,1717183320.55,10.76,1,127,57646.37,0,3219530541.43,0,COPERNICUS_C3S_INDICATORS,2024-03-05
2010,DE,LV446,LANDSLIDE,0.1254,0.4419,435982,26471437566.55,0.2807,0.7712,27238127.04,67.4,1,157,68269.68,0,688497958.73,0,NATIONAL_RISK_ASSESSMENT,2025-09-10
2011,LV,BG80,STORM_WIND,0.2812,0.6019,447054,26873799509.44,0.5116,0.3244,116262949.6,35.52,1,147,10035.9,0,1338019684.82,0,REGIONAL_RESILIENCE_REPORT,2025-04-05
2012,PL,MT842,WILDFIRE,0.932,0.9492,454938,34353126517.6,0.8104,0.9478,1927850731.65,42.47,0,188,66443.28,1,1859111628.61,0,EEA_CLIMATE_ADAPTATION_DB,2024-04-07
2013,ES,BG15,DROUGHT,0.4816,0.3411,428684,26045260131.16,0.2323,0.9531,36227138.98,55.24,1,90,39415.41,1,4686351301.08,0,COPERNICUS_C3S_INDICATORS,2025-03-16
2014,HR,LV2,FLOOD_COASTAL,0.5616,0.9126,423876,56168322933.14,0.1621,0.2601,358342389.53,41.19,1,212,60186.09,1,677060337.51,0,NATIONAL_RISK_ASSESSMENT,2024-03-29
2015,FI,EE9,FLOOD_RIVER,0.4138,0.142,460485,26407171282.33,0.5477,0.2431,65148063.69,15.39,0,20,39350.49,1,264905723.66,0,REGIONAL_RESILIENCE_REPORT,2025-07-06
2016,IE,NL58,HEATWAVE,0.1779,0.7677,400191,5733856921.02,0.4934,0.9224,8222057.56,29.59,1,210,2552.36,0,1293845679.69,0,EEA_CLIMATE_ADAPTATION_DB,2024-12-28
2017,MT,NL91,COLD_SPELL,0.6021,0.8358,434284,49290715205.25,0.2221,0.3936,251131996.15,54.7,0,216,49917.17,0,933872367.95,0,COPERNICUS_C3S_INDICATORS,2024-06-17
2018,SK,SE2,LANDSLIDE,0.4988,0.2795,452319,26038964187.76,0.2637,0.2571,53502584.23,71.53,0,40,7302.22,1,2723103654.52,0,NATIONAL_RISK_ASSESSMENT,2025-07-17
2019,BE,DE316,STORM_WIND,0.7606,0.2066,465816,30053622529.79,0.1516,0.2781,30171729.74,73.56,1,145,33600.87,0,1935441394.9,0,REGIONAL_RESILIENCE_REPORT,2025-12-01
2020,DK,BG655,WILDFIRE,0.5709,0.583,398614,5119634389.36,0.6676,0.5098,27678464.96,78.46,1,24,41106.42,0,1159369944.65,0,EEA_CLIMATE_ADAPTATION_DB,2025-03-13
2021,GR,BE31,DROUGHT,0.3084,0.1325,413453,15907232785.77,0.2711,0.9204,10258644.78,11.28,0,71,74831.6,1,620852712.18,0,COPERNICUS_C3S_INDICATORS,2025-05-04
2022,LT,IT88,FLOOD_COASTAL,0.2899,0.1058,463815,29899614156.89,0.7814,0.8048,32041001.75,53.88,1,8,96729.27,0,2477954096.17,0,NATIONAL_RISK_ASSESSMENT,2024-08-09
2023,PT,FR758,FLOOD_RIVER,0.5211,0.8167,456765,47762052210.38,0.2744,0.5138,434237566.82,76.85,1,106,67655.18,1,4271141432.16,0,REGIONAL_RESILIENCE_REPORT,2025-05-06
2024,SE,LU20,HEATWAVE,0.6464,0.5883,458006,29566871536.38,0.386,0.4531,282774950.13,79.1,1,60,35888.94,0,2162468232.95,1,EEA_CLIMATE_ADAPTATION_DB,2025-11-05
2025,CY,AT985,COLD_SPELL,0.0974,0.7192,417856,7340403638.32,0.2995,0.578,7430109.82,38.59,1,162,68397.13,1,1122551815.58,0,COPERNICUS_C3S_INDICATORS,2025-09-19
2005,FR,DK26,LANDSLIDE,0.2034,0.3338,411124,29914264125.88,0.7779,0.2819,93449754.49,63.08,0,169,834.7,0,609021904.28,0,NATIONAL_RISK_ASSESSMENT,2025-04-28
2006,IT,MT791,STORM_WIND,0.8387,0.5738,461337,25333850048.66,0.679,0.8975,138040454.85,32.11,1,50,64712.76,1,3728136745.54,0,REGIONAL_RESILIENCE_REPORT,2025-03-30
2007,NL,BG9,WILDFIRE,0.7127,0.3605,453672,26254668567.01,0.1344,0.432,25712722.74,76.1,0,13,69677.54,1,2975677454.63,0,EEA_CLIMATE_ADAPTATION_DB,2024-10-06
2008,SI,IT39,DROUGHT,0.0527,0.1064,441804,32854347189.24,0.2424,0.9343,957533.38,61.78,1,31,48832.15,0,41311475.98,0,COPERNICUS_C3S_INDICATORS,2024-03-10
2009,BG,SK664,FLOOD_COASTAL,0.6855,0.8605,459260,21941670788.58,0.2832,0.6672,78036667.42,23.01,1,27,70987.61,0,2552797850.03,0,NATIONAL_RISK_ASSESSMENT,2025-10-17
2010,EE,NL69,FLOOD_RIVER,0.435,0.11,474236,13442371068.23,0.1116,0.3716,1998487.67,21.22,0,116,57899.45,0,3561982247.92,0,REGIONAL_RESILIENCE_REPORT,2024-07-28
2011,HU,MT15,HEATWAVE,0.1718,0.8656,428191,19112818015.98,0.5139,0.6582,83949989.92,49.02,0,41,14086.02,0,2439250069.57,0,EEA_CLIMATE_ADAPTATION_DB,2024-06-27
2012,LU,FR1,COLD_SPELL,0.1605,0.156,469068,64086541514.03,0.7956,0.1233,59172540.38,75.2,1,173,16608.99,0,2396092912.43,0,COPERNICUS_C3S_INDICATORS,2024-08-23
2013,RO,GR134,LANDSLIDE,0.7472,0.5874,474336,36990150341.65,0.2136,0.5022,47069107.12,41.11,1,62,61374.57,0,100439874.0,0,NATIONAL_RISK_ASSESSMENT,2025-08-09
2014,AT,DK1,STORM_WIND,0.7079,0.112,423976,40555122401.97,0.1265,0.3912,16903306.15,39.88,1,239,26211.59,0,3601471127.24,0,REGIONAL_RESILIENCE_REPORT,2025-12-19
2015,CZ,LV61,WILDFIRE,0.1321,0.7081,466621,58174329869.4,0.3763,0.588,129388449.89,7.48,1,95,21496.71,1,2063106520.71,0,EEA_CLIMATE_ADAPTATION_DB,2025-01-04
2016,DE,FI35,DROUGHT,0.7768,0.2103,425134,42612737106.09,0.2227,0.4688,87206345.7,54.66,1,96,38063.37,1,1715647304.24,0,COPERNICUS_C3S_INDICATORS,2025-08-12
2017,LV,IE26,FLOOD_COASTAL,0.6688,0.9484,466632,17977889556.28,0.2049,0.8068,89276512.97,32.43,1,139,74592.71,1,2547900779.37,0,NATIONAL_RISK_ASSESSMENT,2024-03-21
2018,PL,LT679,FLOOD_RIVER,0.4003,0.5282,476215,49125824173.92,0.2031,0.3072,102873348.31,10.53,0,19,27053.22,0,3864763815.83,0,REGIONAL_RESILIENCE_REPORT,2026-02-05
2019,ES,PL39,HEATWAVE,0.7526,0.2146,442420,10573248922.92,0.5379,0.5793,33003639.18,61.74,0,89,45533.61,1,1580940862.02,0,EEA_CLIMATE_ADAPTATION_DB,2025-09-27
2020,HR,NL514,COLD_SPELL,0.1216,0.4141,450778,58580224336.35,0.3402,0.436,57404277.35,68.41,1,34,14073.62,0,1613244645.35,0,COPERNICUS_C3S_INDICATORS,2024-12-29
2021,FI,PT381,LANDSLIDE,0.8706,0.623,458645,40683484946.03,0.7493,0.6903,1039273095.82,25.79,1,122,37033.86,1,381262984.91,0,NATIONAL_RISK_ASSESSMENT,2024-02-25
2022,IE,IE80,STORM_WIND,0.6078,0.3094,464886,12739883111.73,0.7975,0.3636,141575285.91,30.38,1,184,49775.79,0,290178379.49,0,REGIONAL_RESILIENCE_REPORT,2024-10-13
2023,MT,PT5,WILDFIRE,0.4027,0.4195,435380,60239313040.72,0.6273,0.6592,79851136.76,6.89,1,151,238.17,1,2102512296.2,1,EEA_CLIMATE_ADAPTATION_DB,2025-07-22
2024,SK,HU60,DROUGHT,0.1573,0.605,486303,42574110528.96,0.942,0.2897,134728523.09,57.6,0,71,14172.97,0,1215150621.3,0,COPERNICUS_C3S_INDICATORS,2025-11-13
2025,BE,BG79,FLOOD_COASTAL,0.5886,0.6148,441399,5228025670.5,0.5272,0.6452,73763606.57,54.72,0,50,94468.35,0,3542925625.94,0,NATIONAL_RISK_ASSESSMENT,2025-04-21
2005,DK,ES52,FLOOD_RIVER,0.7283,0.8184,480658,11536102640.55,0.7471,0.2579,105930831.68,54.98,1,237,77224.75,1,2128643175.94,0,REGIONAL_RESILIENCE_REPORT,2025-07-01
2006,GR,AT18,HEATWAVE,0.5593,0.9117,439314,5705102014.08,0.9392,0.6117,214639976.97,63.88,1,48,74751.47,0,1123322670.31,0,EEA_CLIMATE_ADAPTATION_DB,2025-07-13
2007,LT,SK28,COLD_SPELL,0.7347,0.6612,416031,13441537966.57,0.1488,0.8316,24316523.69,33.56,0,15,52074.55,1,502428063.03,0,COPERNICUS_C3S_INDICATORS,2024-09-27
2008,PT,BE750,LANDSLIDE,0.4439,0.465,468330,28274732295.28,0.3297,0.1771,76502075.35,17.22,1,164,36324.28,0,886717163.75,0,NATIONAL_RISK_ASSESSMENT,2024-11-27
2009,SE,LV44,STORM_WIND,0.1419,0.2162,457088,36866257816.68,0.7535,0.7961,19373614.46,26.66,1,120,65082.32,0,1087753995.26,0,REGIONAL_RESILIENCE_REPORT,2025-06-21
2010,CY,FR8,WILDFIRE,0.5984,0.9292,460152,470429797.08,0.4693,0.3206,2126951.31,83.3,1,23,11118.5,0,493718004.61,0,EEA_CLIMATE_ADAPTATION_DB,2025-02-28
2011,FR,FR237,DROUGHT,0.296,0.5921,456480,56404563698.53,0.71,0.8854,483102292.27,28.76,1,74,30444.32,1,1278620701.98,0,COPERNICUS_C3S_INDICATORS,2025-02-03
2012,IT,SK1,FLOOD_COASTAL,0.6264,0.415,487231,58807001429.68,0.1474,0.2449,64881754.74,74.98,1,88,70531.93,0,285634898.73,0,NATIONAL_RISK_ASSESSMENT,2025-01-31
2013,NL,LT17,FLOOD_RIVER,0.7763,0.8386,473407,25629514395.7,0.821,0.5516,1018905174.74,17.72,0,152,80500.48,1,1337085843.52,0,REGIONAL_RESILIENCE_REPORT,2024-10-25
2014,SI,SE388,HEATWAVE,0.3556,0.8826,434783,44893497665.14,0.1004,0.3427,49552949.68,45.62,1,150,38910.11,1,221896255.2,0,EEA_CLIMATE_ADAPTATION_DB,2025-10-15
2015,BG,CY263,COLD_SPELL,0.8764,0.1669,414806,53726841049.33,0.751,0.1739,319344198.4,37.46,0,195,38409.56,1,468612027.7,0,COPERNICUS_C3S_INDICATORS,2024-12-09
2016,EE,IT716,LANDSLIDE,0.738,0.9376,451120,60456175518.74,0.5332,0.1375,1255070536.64,15.97,0,204,35138.61,0,712920956.44,0,NATIONAL_RISK_ASSESSMENT,2025-03-02
2017,HU,DE20,STORM_WIND,0.7671,0.4606,462492,3269070616.84,0.4232,0.2028,33991051.87,44.19,1,232,167.12,0,3540637096.91,0,REGIONAL_RESILIENCE_REPORT,2025-01-09
2018,LU,IT216,WILDFIRE,0.7372,0.1169,447086,21740800424.61,0.1863,0.827,7787819.86,41.45,1,44,70370.32,0,1393561623.21,0,EEA_CLIMATE_ADAPTATION_DB,2025-04-26
2019,RO,CZ4,DROUGHT,0.7999,0.1545,422542,4263304283.05,0.7467,0.5565,13494294.47,10.49,0,174,74146.15,0,3096348985.52,0,COPERNICUS_C3S_INDICATORS,2024-07-16
2020,AT,NL198,FLOOD_COASTAL,0.4376,0.6837,469771,9155560783.89,0.7363,0.7115,36723735.6,55.0,1,92,4377.2,1,3913004068.9,0,NATIONAL_RISK_ASSESSMENT,2025-01-28
2021,CZ,PT6,FLOOD_RIVER,0.7276,0.572,494104,3450428715.53,0.8859,0.6051,93069022.76,46.15,0,5,44673.03,1,3463848111.65,0,REGIONAL_RESILIENCE_REPORT,2024-08-16
2022,DE,MT80,HEATWAVE,0.7102,0.6727,421754,5584919841.8,0.6193,0.1355,66818522.05,21.88,1,100,68205.93,0,2433523335.63,0,EEA_CLIMATE_ADAPTATION_DB,2024-09-17
2023,LV,MT905,COLD_SPELL,0.3972,0.2469,492589,43853179875.65,0.3973,0.8009,104350520.61,78.85,1,130,45601.63,0,1124475400.34,0,COPERNICUS_C3S_INDICATORS,2024-06-09
2024,PL,PT25,LANDSLIDE,0.6209,0.5509,459826,29132330515.11,0.9125,0.23,354166864.3,23.24,1,1,42393.94,0,1914955219.52,0,NATIONAL_RISK_ASSESSMENT,2025-06-12
2025,ES,IE334,STORM_WIND,0.3508,0.5201,450278,6726029275.16,0.4375,0.7982,12333250.61,40.92,1,107,73315.66,1,344530892.99,0,REGIONAL_RESILIENCE_REPORT,2025-01-04
2005,HR,BE203,WILDFIRE,0.3153,0.5842,496035,17142778851.24,0.1241,0.5757,16685909.25,42.59,0,116,61745.5,1,271468115.76,0,EEA_CLIMATE_ADAPTATION_DB,2025-10-24
2006,FI,SE599,DROUGHT,0.4323,0.8413,475681,12479988793.44,0.5246,0.8716,182240881.99,39.28,1,6,68277.63,0,2507821998.49,0,COPERNICUS_C3S_INDICATORS,2025-01-28
2007,IE,BE97,FLOOD_COASTAL,0.4007,0.7749,429632,41254071087.07,0.7162,0.8887,191917881.02,19.28,1,67,41086.54,1,1854100657.09,0,NATIONAL_RISK_ASSESSMENT,2025-05-03
2008,MT,DE412,FLOOD_RIVER,0.4784,0.5766,496098,60620144478.14,0.2101,0.8336,89635477.08,37.94,1,143,25236.42,1,1867428110.46,0,REGIONAL_RESILIENCE_REPORT,2025-06-23
2009,SK,RO21,HEATWAVE,0.3242,0.25,430965,63033780507.91,0.3595,0.6191,59940168.17,77.55,0,213,51755.47,1,2553485636.44,0,EEA_CLIMATE_ADAPTATION_DB,2024-05-04
2010,BE,BE21,COLD_SPELL,0.9369,0.4692,437872,68128629098.82,0.5615,0.8063,917046193.98,56.75,0,122,7610.44,1,596482703.82,0,COPERNICUS_C3S_INDICATORS,2024-06-20
2011,DK,PL754,LANDSLIDE,0.4079,0.7067,462076,26716969695.73,0.2933,0.3014,89035770.2,81.24,0,18,41507.2,0,3758592814.77,0,NATIONAL_RISK_ASSESSMENT,2025-02-21
2012,GR,CZ712,STORM_WIND,0.8666,0.3388,469265,36696482081.9,0.4443,0.7371,224399962.66,21.83,0,19,33595.48,1,4089432485.51,0,REGIONAL_RESILIENCE_REPORT,2024-09-21
2013,LT,PT828,WILDFIRE,0.2789,0.2787,423008,37961419112.2,0.7556,0.3653,163501935.16,39.62,1,77,39963.04,1,1091893782.23,0,EEA_CLIMATE_ADAPTATION_DB,2024-03-06
2014,PT,PT372,DROUGHT,0.1797,0.1638,466262,61924716683.42,0.8322,0.3992,31494971.64,33.34,1,108,73686.91,1,3865428930.53,0,COPERNICUS_C3S_INDICATORS,2024-07-31
2015,SE,BG87,FLOOD_COASTAL,0.3353,0.8045,438852,47086752136.99,0.896,0.6073,441317749.17,57.26,1,116,38072.89,0,1433591600.4,1,NATIONAL_RISK_ASSESSMENT,2025-08-06
2016,CY,IT63,FLOOD_RIVER,0.5897,0.6105,459079,9478357488.81,0.4047,0.7758,75021317.24,60.79,1,96,55788.84,1,2760566.56,0,REGIONAL_RESILIENCE_REPORT,2025-12-01
2017,FR,NL89,HEATWAVE,0.7274,0.5218,476463,54403249562.66,0.3282,0.776,84205844.83,42.72,0,191,12268.57,0,2375309922.11,0,EEA_CLIMATE_ADAPTATION_DB,2024-07-10
2018,IT,EE537,COLD_SPELL,0.2818,0.2846,468658,42824495755.56,0.4875,0.2593,107818745.96,53.29,0,116,7866.39,0,874148473.2,0,COPERNICUS_C3S_INDICATORS,2024-10-19
2019,NL,GR75,LANDSLIDE,0.1542,0.6775,462964,51283215524.77,0.4943,0.7239,88397497.54,75.53,1,83,19642.96,1,1711236812.21,0,NATIONAL_RISK_ASSESSMENT,2025-01-08
2020,SI,RO20,STORM_WIND,0.4576,0.3542,498537,29244373061.62,0.1465,0.9185,52841894.21,65.14,1,165,49073.2,1,2093472041.77,0,REGIONAL_RESILIENCE_REPORT,2025-08-02
2021,BG,SE55,WILDFIRE,0.387,0.4708,498307,24534305830.53,0.2251,0.8228,62437922.77,41.22,0,43,18689.7,0,1562119388.58,0,EEA_CLIMATE_ADAPTATION_DB,2025-04-03
2022,EE,LV459,DROUGHT,0.1492,0.9373,476095,17080830852.26,0.6507,0.2825,28799763.78,14.24,1,31,5201.3,1,2189768064.89,0,COPERNICUS_C3S_INDICATORS,2025-12-17
2023,HU,DK847,FLOOD_COASTAL,0.5826,0.164,450135,38913723907.97,0.5238,0.3059,88670270.77,27.49,1,149,50301.22,0,146572325.16,0,NATIONAL_RISK_ASSESSMENT,2024-02-26
2024,LU,AT445,FLOOD_RIVER,0.8768,0.5373,458352,13734918719.06,0.1388,0.4618,71634667.27,35.49,0,106,71808.01,0,3085480655.38,0,REGIONAL_RESILIENCE_REPORT,2026-02-23
2025,RO,MT63,HEATWAVE,0.4389,0.6445,496988,43025939835.95,0.2902,0.2468,263237853.75,79.86,1,140,53848.41,0,1707097171.44,0,EEA_CLIMATE_ADAPTATION_DB,2025-03-28
2005,AT,HR23,COLD_SPELL,0.7349,0.795,452719,55101351930.59,0.7633,0.5299,825541597.05,51.03,0,147,71492.48,0,760428760.5,0,COPERNICUS_C3S_INDICATORS,2025-05-01
2006,CZ,LV443,LANDSLIDE,0.1178,0.3986,477424,24606998501.65,0.5659,0.9302,47535747.0,60.65,1,34,67146.01,1,2775227575.24,0,NATIONAL_RISK_ASSESSMENT,2025-05-29
2007,DE,CY5,STORM_WIND,0.4588,0.2783,456213,57815069384.01,0.4186,0.5488,114824912.05,47.53,1,115,14835.7,1,2126425749.92,0,REGIONAL_RESILIENCE_REPORT,2024-06-15
2008,LV,DK3,WILDFIRE,0.5954,0.2773,428464,9764121791.16,0.702,0.5538,41902371.58,71.15,0,184,45748.7,1,2770539398.29,0,EEA_CLIMATE_ADAPTATION_DB,2024-08-08
2009,PL,PT876,DROUGHT,0.4954,0.6934,458756,45730951109.47,0.1395,0.4442,130899872.62,57.66,1,238,63386.22,0,2070318973.7,0,COPERNICUS_C3S_INDICATORS,2025-09-28
2010,ES,MT27,FLOOD_COASTAL,0.8801,0.8639,442030,16195529996.6,0.6217,0.3264,582779811.77,50.56,1,160,59577.43,0,1036171735.86,0,NATIONAL_RISK_ASSESSMENT,2026-01-05
2011,HR,SE3,FLOOD_RIVER,0.464,0.185,452927,57057820363.74,0.2444,0.3173,43959906.21,9.96,0,87,51948.87,1,1269717933.68,0,REGIONAL_RESILIENCE_REPORT,2024-05-18
2012,FI,LV795,HEATWAVE,0.3415,0.5959,439074,14304229490.43,0.4001,0.7832,30576876.18,12.79,0,135,69092.88,1,2774733099.9,0,EEA_CLIMATE_ADAPTATION_DB,2025-04-17
2013,IE,EE67,COLD_SPELL,0.5019,0.978,472163,20008137426.82,0.2214,0.8068,45634693.0,8.32,1,164,19388.77,1,2982941871.55,0,COPERNICUS_C3S_INDICATORS,2024-03-11
2014,MT,DK6,LANDSLIDE,0.8544,0.5569,443651,15574007934.35,0.8626,0.4334,287950107.78,38.3,1,53,58315.34,1,2000732056.08,0,NATIONAL_RISK_ASSESSMENT,2025-02-26
2015,SK,LU2,STORM_WIND,0.332,0.9682,486559,39132266318.14,0.3634,0.1478,126150718.78,26.62,0,219,14300.29,1,1857699222.59,0,REGIONAL_RESILIENCE_REPORT,2025-10-04
2016,BE,HR16,WILDFIRE,0.6076,0.776,464013,44960950814.08,0.9204,0.3521,665747174.07,25.88,0,51,40986.07,0,2861482323.48,0,EEA_CLIMATE_ADAPTATION_DB,2024-05-22
2017,DK,SK980,DROUGHT,0.2248,0.5814,457162,28980682700.62,0.3408,0.7153,88559106.5,18.83,0,19,982.97,1,1403607056.93,0,COPERNICUS_C3S_INDICATORS,2025-06-16
2018,GR,EE3,FLOOD_COASTAL,0.1735,0.2069,486099,857707110.3,0.1974,0.3827,280277.92,58.58,1,112,37209.76,0,2667204781.57,0,NATIONAL_RISK_ASSESSMENT,2025-11-28
2019,LT,RO2,FLOOD_RIVER,0.3073,0.1718,493204,52549266604.62,0.7782,0.6143,64943035.19,20.49,1,101,69088.59,1,1015844292.65,0,REGIONAL_RESILIENCE_REPORT,2024-08-06
2020,PT,EE53,HEATWAVE,0.3263,0.1703,466369,11805658619.57,0.2453,0.3042,2771586.3,41.48,0,47,59927.74,1,1217474664.04,0,EEA_CLIMATE_ADAPTATION_DB,2025-07-20
2021,SE,RO25,COLD_SPELL,0.4047,0.2126,469668,60184279698.78,0.2022,0.5161,71213624.13,8.89,0,95,10951.28,0,801242265.78,0,COPERNICUS_C3S_INDICATORS,2025-10-25
2022,CY,DE282,LANDSLIDE,0.0716,0.2076,492135,13121193263.24,0.547,0.6652,8189775.12,44.05,1,244,55701.2,0,834949390.12,0,NATIONAL_RISK_ASSESSMENT,2025-02-04
2023,FR,SE44,STORM_WIND,0.5188,0.8177,440828,65872037409.71,0.6025,0.4575,636619209.98,68.15,1,57,68853.57,0,3258091160.92,1,REGIONAL_RESILIENCE_REPORT,2024-06-17
2024,IT,CZ65,WILDFIRE,0.6148,0.1314,498746,37969317923.65,0.5212,0.196,23285240.14,38.04,1,60,67066.86,1,398893775.76,0,EEA_CLIMATE_ADAPTATION_DB,2024-12-28
2025,NL,FR7,DROUGHT,0.5441,0.2681,511575,49666499958.94,0.8099,0.5017,144304356.3,20.17,1,256,36216.66,1,1682355486.33,0,COPERNICUS_C3S_INDICATORS,2026-01-09
2005,SI,SE795,FLOOD_COASTAL,0.9177,0.231,507853,52282878887.33,0.5348,0.6983,93149914.98,83.8,1,87,54225.57,0,1046962858.11,0,NATIONAL_RISK_ASSESSMENT,2025-08-04
2006,BG,PL680,FLOOD_RIVER,0.1388,0.6206,464371,35151656815.33,0.5493,0.4641,84460440.82,83.51,1,69,16121.84,1,1888091532.16,0,REGIONAL_RESILIENCE_REPORT,2024-04-26
2007,EE,PL6,HEATWAVE,0.7786,0.5639,484900,59487535670.46,0.9405,0.3064,1141919967.08,18.63,1,198,66293.53,0,2107141902.71,0,EEA_CLIMATE_ADAPTATION_DB,2024-07-12
2008,HU,HU7,COLD_SPELL,0.6873,0.3295,470156,9165216050.06,0.4915,0.7751,16429989.35,71.63,1,141,63186.11,0,270947922.35,0,COPERNICUS_C3S_INDICATORS,2024-10-05
2009,LU,PL4,LANDSLIDE,0.7019,0.5273,442175,62322037261.22,0.9443,0.6103,782132588.53,72.37,1,41,18066.4,0,2258671755.89,0,NATIONAL_RISK_ASSESSMENT,2025-08-07
2010,RO,SI9,STORM_WIND,0.6145,0.3273,476934,18746128162.26,0.4905,0.5222,51065880.78,40.78,1,80,55140.07,1,864312562.34,0,REGIONAL_RESILIENCE_REPORT,2024-07-09
2011,AT,PL1,WILDFIRE,0.9399,0.2348,466421,16409315693.91,0.627,0.4744,142644018.26,73.5,0,168,2638.93,0,3134802696.37,0,EEA_CLIMATE_ADAPTATION_DB,2025-03-05
2012,CZ,FI4,DROUGHT,0.132,0.3774,455571,47785220321.06,0.8958,0.2868,75659621.51,8.76,0,181,13384.54,0,2244198246.05,0,COPERNICUS_C3S_INDICATORS,2024-06-06
2013,DE,ES234,FLOOD_COASTAL,0.3542,0.3656,516901,37421376299.49,0.1938,0.3133,69746907.98,40.35,0,45,64684.14,1,775926681.64,0,NATIONAL_RISK_ASSESSMENT,2025-08-11
2014,LV,EE86,FLOOD_RIVER,0.7823,0.4932,503786,4714658055.67,0.8193,0.5365,57630496.06,20.79,0,128,65504.11,1,1640536377.62,0,REGIONAL_RESILIENCE_REPORT,2025-01-16
2015,PL,DE84,HEATWAVE,0.2667,0.1362,443788,37646899945.0,0.5079,0.9097,28994268.74,78.32,1,48,48744.95,0,2704765134.4,0,EEA_CLIMATE_ADAPTATION_DB,2024-01-21
2016,ES,CZ783,COLD_SPELL,0.3445,0.706,450793,40116001816.08,0.5615,0.4678,407343528.91,8.81,1,194,2765.73,0,1381106910.64,0,COPERNICUS_C3S_INDICATORS,2024-12-08
2017,HR,ES86,LANDSLIDE,0.3527,0.1263,479875,2126155012.78,0.2427,0.4941,906305.37,29.0,0,195,9566.9,1,1172683568.31,0,NATIONAL_RISK_ASSESSMENT,2024-01-06
2018,FI,HR8,STORM_WIND,0.2744,0.7512,499099,18958043956.24,0.4873,0.3821,96406840.67,54.25,0,56,27577.11,0,488138127.87,0,REGIONAL_RESILIENCE_REPORT,2025-08-08
2019,IE,PT76,WILDFIRE,0.1395,0.5676,516734,4844196215.48,0.6279,0.4092,16665669.74,74.93,0,205,30580.09,0,41476453.28,0,EEA_CLIMATE_ADAPTATION_DB,2025-01-10
2020,MT,DK685,DROUGHT,0.0833,0.6201,502597,29092244801.38,0.7823,0.3394,61098105.51,61.86,1,82,69785.4,0,2000785234.94,0,COPERNICUS_C3S_INDICATORS,2025-06-26
2021,SK,PL145,FLOOD_COASTAL,0.2526,0.3204,493367,35994595381.27,0.82,0.14,24860983.62,40.79,1,132,23102.69,1,627730624.79,0,NATIONAL_RISK_ASSESSMENT,2024-08-19
2022,BE,MT984,FLOOD_RIVER,0.1971,0.1942,490394,18594037547.43,0.7483,0.8743,16321262.41,58.94,0,181,57470.11,1,97881877.05,0,REGIONAL_RESILIENCE_REPORT,2025-01-21
2023,DK,HR804,HEATWAVE,0.4982,0.3313,509545,32608263785.04,0.308,0.3048,81067511.46,58.71,1,124,35799.54,0,1390666221.73,0,EEA_CLIMATE_ADAPTATION_DB,2025-11-11
2024,GR,LV70,COLD_SPELL,0.6765,0.6099,446678,37107358039.2,0.7758,0.7925,552807100.98,76.74,1,105,17493.56,1,3601673157.58,0,COPERNICUS_C3S_INDICATORS,2024-08-21
2025,LT,AT35,LANDSLIDE,0.6333,0.8659,457945,68722944825.46,0.3808,0.5179,707522112.98,73.45,0,25,19496.24,1,1716556587.7,0,NATIONAL_RISK_ASSESSMENT,2024-01-29
2005,PT,SI450,STORM_WIND,0.8841,0.5889,447617,1752301957.73,0.3557,0.3735,22322980.74,74.08,1,206,49356.37,1,3295588481.02,0,REGIONAL_RESILIENCE_REPORT,2024-02-26
2006,SE,PT499,WILDFIRE,0.564,0.5865,522579,40889456831.4,0.3776,0.2229,273886149.0,82.5,0,14,17715.95,1,2552177099.18,1,EEA_CLIMATE_ADAPTATION_DB,2024-08-18
2007,CY,DK567,DROUGHT,0.4438,0.4629,518359,37263796261.0,0.2247,0.576,86606701.32,6.18,1,112,59681.22,1,2613688147.67,1,COPERNICUS_C3S_INDICATORS,2024-03-22
2008,FR,FR95,FLOOD_COASTAL,0.6318,0.1251,475625,35506351103.93,0.5781,0.7432,31266598.69,44.64,1,163,73480.8,0,3708483823.53,0,NATIONAL_RISK_ASSESSMENT,2024-06-30
2009,IT,MT41,FLOOD_RIVER,0.696,0.8528,523062,27538708562.79,0.9479,0.4955,566122417.42,15.19,1,215,29463.3,0,3423993303.73,0,REGIONAL_RESILIENCE_REPORT,2024-10-15
2010,NL,CY145,HEATWAVE,0.4788,0.3024,499822,28870962996.24,0.4011,0.6877,66276873.51,53.81,1,87,52740.71,1,313202388.98,0,EEA_CLIMATE_ADAPTATION_DB,2025-06-09
2011,SI,SK19,COLD_SPELL,0.7615,0.6598,512490,20877924744.43,0.1714,0.5555,72537379.76,77.39,1,128,29746.11,1,1380377273.87,0,COPERNICUS_C3S_INDICATORS,2025-02-20
