lab_wages_reference_year,lab_wages_country_iso2,lab_wages_region_nuts_code,lab_wages_nace_section,lab_wages_occupation_isco_code,lab_wages_mean_hourly_earnings_eur,lab_wages_median_hourly_earnings_eur,lab_wages_wage_growth_pct,lab_wages_gender_pay_gap_unadjusted_pct,lab_wages_gender_pay_gap_adjusted_pct,lab_wages_collective_bargaining_coverage_pct,lab_wages_minimum_wage_level_eur_month,lab_wages_low_pay_share_pct,lab_wages_bonus_share_pct,lab_wages_inwork_poverty_rate_pct,lab_wages_labor_share_gdp_pct,lab_wages_unit_labor_cost_index,lab_wages_eurostat_table_code,lab_wages_revision_round,lab_wages_data_extract_date
2023,LU,LT93,F,2_PROFESSIONALS,42.48,33.92,5.91,6.16,3.02,25.0,677.29,17.45,14.25,8.3,49.33,110.68,earn_ses_annual,BENCHMARK,2025-08-27
2024,RO,LT270,Q,6_AGRI,13.53,11.85,3.23,6.6,2.43,45.45,772.26,26.06,6.28,11.42,52.56,122.39,lfs_gpg,SECOND,2024-10-21
2025,AT,HR38,G,1_MANAGERS,44.11,37.61,2.97,15.23,8.05,74.28,152.67,11.37,9.49,3.37,52.62,99.38,nama_10_lp_ulc,FIRST,2024-10-05
2006,CZ,SE619,R,5_SERVICE_SALES,14.32,11.59,3.56,11.04,6.61,29.19,510.13,16.72,9.22,9.96,52.5,108.56,earn_ses_hourly,FLASH,2025-11-15
2007,DE,MT842,H,9_ELEMENTARY,28.03,22.68,-0.13,10.71,7.69,65.55,2562.97,12.58,10.09,10.67,57.68,80.71,earn_ses_annual,BENCHMARK,2025-07-07
2008,LV,RO1,S,4_CLERICAL,16.74,14.79,3.22,13.12,6.22,24.87,1915.78,24.7,4.28,15.39,55.05,89.24,lfs_gpg,SECOND,2024-09-26
2009,PL,EE38,I,8_PLANT_MACHINE,18.35,14.51,1.55,17.67,6.98,31.05,1071.36,11.68,11.82,9.33,48.58,87.85,nama_10_lp_ulc,FIRST,2024-10-30
2010,ES,DE46,T,3_TECHNICIANS,26.1,22.77,3.24,5.63,2.21,36.2,883.27,18.55,6.18,6.33,52.7,97.78,earn_ses_hourly,FLASH,2024-07-01
2011,HR,PT359,J,7_CRAFT,13.4,11.11,3.14,8.91,3.67,17.11,371.47,16.45,3.65,7.6,46.9,88.68,earn_ses_annual,BENCHMARK,2025-07-15
2012,FI,LV755,U,2_PROFESSIONALS,68.15,55.65,2.17,9.57,4.47,95.86,1524.81,19.28,0.82,8.96,48.44,101.56,lfs_gpg,SECOND,2025-09-18
2013,IE,EE5,K,6_AGRI,18.31,14.95,5.35,12.41,5.36,51.5,1718.73,16.98,5.08,4.7,55.42,123.2,nama_10_lp_ulc,FIRST,2024-11-06
2014,MT,RO797,A,1_MANAGERS,43.6,34.42,-1.26,19.44,7.3,45.06,810.76,17.02,11.9,4.45,53.85,97.43,earn_ses_hourly,FLASH,2024-06-20
2015,SK,DE83,L,5_SERVICE_SALES,22.87,19.2,0.03,15.33,6.29,22.02,1465.26,9.78,9.44,11.22,44.95,80.62,earn_ses_annual,BENCHMARK,2024-04-26
2016,BE,EE73,B,9_ELEMENTARY,13.85,10.96,3.81,10.93,6.85,98.67,577.32,8.98,0.72,3.6,58.43,99.97,lfs_gpg,SECOND,2024-07-22
2017,DK,HU699,M,4_CLERICAL,18.56,15.58,7.3,9.08,5.13,48.8,1868.66,9.08,9.01,4.59,56.43,104.34,nama_10_lp_ulc,FIRST,2024-06-13
2018,GR,AT387,C,8_PLANT_MACHINE,14.8,12.86,2.25,18.38,7.69,17.24,1338.14,25.24,6.9,12.86,48.63,82.63,earn_ses_hourly,FLASH,2024-07-09
2019,LT,AT854,N,3_TECHNICIANS,40.78,37.59,-0.14,14.03,8.38,77.07,464.24,8.9,9.68,7.37,58.78,87.17,earn_ses_annual,BENCHMARK,2024-07-15
2020,PT,LV708,D,7_CRAFT,20.13,18.66,4.68,4.3,2.47,75.23,1453.73,27.89,10.65,14.6,58.92,112.09,lfs_gpg,SECOND,2025-05-02
2021,SE,FR4,O,2_PROFESSIONALS,34.62,28.07,-0.3,10.08,3.69,77.54,311.71,16.12,7.24,11.91,63.59,99.72,nama_10_lp_ulc,FIRST,2024-09-24
2022,CY,LV43,E,6_AGRI,24.59,22.48,6.77,15.07,10.08,39.08,787.86,13.56,8.74,10.34,54.08,115.15,earn_ses_hourly,FLASH,2024-08-06
2023,FR,IT4,P,1_MANAGERS,64.53,51.65,1.12,13.53,6.1,20.11,1285.31,17.27,12.65,2.95,49.52,100.11,earn_ses_annual,BENCHMARK,2024-08-29
2024,IT,PL5,F,5_SERVICE_SALES,35.35,29.89,3.8,4.85,3.25,86.28,1274.99,17.09,5.19,13.62,65.44,131.17,lfs_gpg,SECOND,2025-10-12
2025,NL,LV130,Q,9_ELEMENTARY,37.56,34.49,0.33,14.62,8.44,21.02,2035.42,5.52,7.47,9.46,52.73,103.49,nama_10_lp_ulc,FIRST,2024-08-04
2006,SI,PT53,G,4_CLERICAL,19.36,17.05,-0.61,19.27,13.49,18.74,94.92,14.84,8.42,9.29,53.66,102.28,earn_ses_hourly,FLASH,2024-02-04
2007,BG,BG939,R,8_PLANT_MACHINE,13.09,10.41,4.57,14.7,7.21,21.83,75.52,25.73,6.35,5.92,52.97,92.32,earn_ses_annual,BENCHMARK,2024-01-06
2008,EE,LV452,H,3_TECHNICIANS,27.86,25.16,2.08,8.56,3.85,25.83,1403.88,12.12,1.11,7.92,59.09,100.78,lfs_gpg,SECOND,2024-02-10
2009,HU,IE58,S,7_CRAFT,10.67,8.48,0.01,15.79,8.64,53.66,979.36,25.43,11.53,15.31,56.81,87.09,nama_10_lp_ulc,FIRST,2026-02-20
2010,LU,GR981,I,2_PROFESSIONALS,40.3,36.56,6.61,7.41,3.54,48.56,1635.32,5.49,15.83,6.17,47.91,123.52,earn_ses_hourly,FLASH,2025-05-28
2011,RO,BE6,T,6_AGRI,21.01,18.78,5.0,7.56,4.81,73.42,689.48,13.11,5.34,4.89,51.6,90.43,earn_ses_annual,BENCHMARK,2024-09-01
2012,AT,GR276,J,1_MANAGERS,35.28,31.04,7.14,21.64,10.78,55.08,501.43,12.2,9.28,5.7,45.82,122.88,lfs_gpg,SECOND,2025-01-01
2013,CZ,DK2,U,5_SERVICE_SALES,29.52,23.44,3.81,15.76,9.37,72.32,367.44,6.74,0.38,7.43,48.44,81.42,nama_10_lp_ulc,FIRST,2024-03-30
2014,DE,SI865,K,9_ELEMENTARY,27.69,24.81,7.05,21.27,12.02,76.95,857.94,22.19,4.17,10.93,66.14,117.08,earn_ses_hourly,FLASH,2025-03-10
2015,LV,CZ8,A,4_CLERICAL,30.98,28.42,-0.27,12.94,7.35,51.85,1462.28,5.61,2.6,2.76,48.88,108.9,earn_ses_annual,BENCHMARK,2025-06-15
2016,PL,PT607,L,8_PLANT_MACHINE,33.49,28.04,-0.92,12.41,8.88,66.85,196.59,14.34,9.66,9.34,49.18,94.38,lfs_gpg,SECOND,2025-12-16
2017,ES,CZ9,B,3_TECHNICIANS,40.12,34.96,6.99,6.89,3.08,41.67,2463.71,10.7,1.74,10.48,50.3,123.22,nama_10_lp_ulc,FIRST,2025-02-27
2018,HR,HR136,M,7_CRAFT,16.05,13.34,1.5,10.85,6.2,66.63,64.49,28.02,0.67,2.54,61.61,108.06,earn_ses_hourly,FLASH,2024-12-30
2019,FI,IT246,C,2_PROFESSIONALS,54.55,44.48,3.85,5.11,2.92,76.14,872.03,10.06,18.26,6.19,61.39,86.0,earn_ses_annual,BENCHMARK,2025-08-28
2020,IE,RO630,N,6_AGRI,24.67,20.14,2.58,8.37,3.84,57.01,700.08,9.64,5.12,9.25,52.83,102.85,lfs_gpg,SECOND,2025-08-16
2021,MT,LV58,D,1_MANAGERS,55.13,48.34,2.01,7.91,3.56,43.18,674.4,21.25,1.31,15.74,49.91,91.74,nama_10_lp_ulc,FIRST,2025-07-14
2022,SK,PL20,O,5_SERVICE_SALES,29.38,25.17,1.37,18.58,9.19,29.05,1061.91,25.94,10.16,7.74,51.49,112.12,earn_ses_hourly,FLASH,2024-04-21
2023,BE,ES363,E,9_ELEMENTARY,17.68,15.8,8.72,2.6,1.86,24.5,2219.45,13.51,9.47,1.94,50.53,118.13,earn_ses_annual,BENCHMARK,2024-11-19
2024,DK,DE84,P,4_CLERICAL,27.91,25.79,5.68,4.33,2.76,85.85,1864.01,20.72,10.79,3.36,50.16,108.88,lfs_gpg,SECOND,2025-12-13
2025,GR,RO402,F,8_PLANT_MACHINE,27.4,23.64,7.88,7.53,3.0,73.49,1491.81,25.13,7.85,11.45,62.84,136.52,nama_10_lp_ulc,FIRST,2025-08-31
2006,LT,IT917,Q,3_TECHNICIANS,36.56,32.5,-0.88,11.31,8.14,69.76,123.01,21.46,4.87,13.95,56.68,83.28,earn_ses_hourly,FLASH,2025-11-18
2007,PT,FR925,G,7_CRAFT,28.08,23.11,5.37,5.12,2.3,73.05,945.7,26.04,8.32,6.43,62.44,119.94,earn_ses_annual,BENCHMARK,2025-05-22
2008,SE,IT98,R,2_PROFESSIONALS,19.4,17.54,-1.12,17.38,12.61,69.1,161.6,27.67,15.24,10.96,49.47,84.59,lfs_gpg,SECOND,2025-01-16
2009,CY,SE29,H,6_AGRI,9.32,8.48,0.62,14.84,9.98,48.13,1587.1,19.16,11.99,14.84,50.38,105.83,nama_10_lp_ulc,FIRST,2024-05-28
2010,FR,NL631,S,1_MANAGERS,36.66,30.81,4.95,2.51,1.43,38.54,2543.21,18.61,11.89,8.41,57.04,88.03,earn_ses_hourly,FLASH,2024-10-31
2011,IT,MT485,I,5_SERVICE_SALES,26.32,22.35,3.39,18.87,7.25,33.22,967.48,6.68,6.65,9.72,56.97,92.94,earn_ses_annual,BENCHMARK,2025-01-29
2012,NL,EE729,T,9_ELEMENTARY,13.62,10.82,1.83,14.68,8.37,31.08,637.51,10.89,10.33,11.14,53.0,115.06,lfs_gpg,SECOND,2025-04-17
2013,SI,BG431,J,4_CLERICAL,16.19,14.53,3.43,2.89,1.16,20.27,1131.51,28.59,10.49,14.0,56.09,85.25,nama_10_lp_ulc,FIRST,2025-10-20
2014,BG,HR69,U,8_PLANT_MACHINE,25.47,21.11,4.65,2.28,1.26,30.25,1880.67,27.77,2.09,5.81,59.53,102.99,earn_ses_hourly,FLASH,2024-12-17
2015,EE,CZ512,K,3_TECHNICIANS,13.93,11.17,0.73,12.02,5.53,78.62,63.3,12.47,3.52,10.46,50.9,99.12,earn_ses_annual,BENCHMARK,2026-01-12
2016,HU,IT950,A,7_CRAFT,37.23,33.37,3.29,13.06,5.19,58.8,908.88,5.97,9.46,6.67,53.7,95.16,lfs_gpg,SECOND,2025-05-20
2017,LU,BE58,L,2_PROFESSIONALS,49.28,39.69,7.74,8.46,4.3,76.27,1518.23,13.72,11.39,2.76,50.45,113.5,nama_10_lp_ulc,FIRST,2026-02-11
2018,RO,DE54,B,6_AGRI,23.45,21.47,1.63,9.95,7.46,19.82,684.8,10.39,3.1,10.5,43.86,97.95,earn_ses_hourly,FLASH,2026-01-22
2019,AT,SE201,M,1_MANAGERS,102.12,81.35,2.99,13.19,8.53,17.72,1274.64,19.94,11.38,11.47,49.0,108.77,earn_ses_annual,BENCHMARK,2025-05-26
2020,CZ,PT784,C,5_SERVICE_SALES,35.24,28.69,1.98,12.19,7.44,54.09,1262.98,11.77,1.31,7.19,53.25,108.72,lfs_gpg,SECOND,2025-12-28
2021,DE,EE163,N,9_ELEMENTARY,28.23,25.01,5.76,3.18,1.97,36.94,1008.36,14.28,0.77,5.82,55.14,118.9,nama_10_lp_ulc,FIRST,2025-09-15
2022,LV,SE597,D,4_CLERICAL,14.96,12.4,8.04,9.0,4.99,68.01,1227.44,7.53,1.63,5.47,54.46,141.65,earn_ses_hourly,FLASH,2024-08-07
2023,PL,MT573,O,8_PLANT_MACHINE,32.45,28.12,-0.68,10.25,6.2,47.78,1139.09,11.26,4.54,9.87,45.06,95.45,earn_ses_annual,BENCHMARK,2025-12-11
2024,ES,DK5,E,3_TECHNICIANS,24.93,22.93,4.07,3.73,1.75,28.07,54.66,11.35,4.98,2.33,58.85,116.99,lfs_gpg,SECOND,2025-03-25
2025,HR,ES46,P,7_CRAFT,12.73,11.25,2.9,3.63,1.84,59.62,1681.45,17.81,6.17,9.99,44.23,124.75,nama_10_lp_ulc,FIRST,2025-01-11
2006,FI,AT97,F,2_PROFESSIONALS,19.17,17.69,-0.77,16.92,6.55,45.28,11.35,26.75,11.5,3.91,45.01,101.57,earn_ses_hourly,FLASH,2024-02-07
2007,IE,LU5,Q,6_AGRI,23.94,20.73,3.67,7.23,4.12,64.58,1797.91,11.3,8.26,2.78,49.3,101.27,earn_ses_annual,BENCHMARK,2024-03-11
2008,MT,DE981,G,1_MANAGERS,26.21,22.24,6.35,9.89,3.63,63.7,590.44,8.71,14.49,10.89,55.14,100.51,lfs_gpg,SECOND,2024-01-12
2009,SK,FI59,R,5_SERVICE_SALES,16.56,13.75,1.24,17.81,6.52,77.36,568.66,18.59,2.53,5.22,55.82,101.58,nama_10_lp_ulc,FIRST,2025-04-13
2010,BE,BG15,H,9_ELEMENTARY,29.36,25.84,7.28,6.09,3.71,72.44,1596.91,11.06,10.06,4.47,61.41,118.11,earn_ses_hourly,FLASH,2025-10-28
2011,DK,GR4,S,4_CLERICAL,12.18,10.64,-0.35,14.43,5.91,81.47,478.63,17.43,9.17,4.52,64.55,95.59,earn_ses_annual,BENCHMARK,2025-08-01
2012,GR,AT82,I,8_PLANT_MACHINE,20.23,18.58,-0.7,2.66,1.86,20.46,1254.15,27.88,0.55,4.23,45.02,96.98,lfs_gpg,SECOND,2025-08-08
2013,LT,LT22,T,3_TECHNICIANS,18.12,16.43,6.83,18.2,9.59,42.68,1242.85,16.54,5.79,3.06,53.83,91.58,nama_10_lp_ulc,FIRST,2024-02-07
2014,PT,CY449,J,7_CRAFT,27.83,22.36,0.37,11.75,4.4,53.6,1650.69,25.0,3.0,4.12,46.22,83.13,earn_ses_hourly,FLASH,2025-11-06
2015,SE,AT11,U,2_PROFESSIONALS,39.75,31.45,1.52,14.45,9.91,38.57,537.86,11.18,12.62,10.81,45.74,106.11,earn_ses_annual,BENCHMARK,2024-04-02
2016,CY,LT13,K,6_AGRI,13.25,10.81,1.66,9.31,6.26,28.99,1362.54,27.83,0.67,13.1,59.44,106.64,lfs_gpg,SECOND,2024-06-15
2017,FR,GR45,A,1_MANAGERS,32.53,27.75,2.88,5.77,2.82,49.08,1710.06,13.19,3.67,5.21,49.04,90.61,nama_10_lp_ulc,FIRST,2024-07-12
2018,IT,HU67,L,5_SERVICE_SALES,34.19,30.67,1.67,12.38,7.49,73.82,624.83,13.87,6.04,12.49,49.32,97.37,earn_ses_hourly,FLASH,2024-04-15
2019,NL,SK143,B,9_ELEMENTARY,34.9,29.68,6.45,15.71,9.17,33.96,1051.92,12.56,8.92,8.83,50.1,102.39,earn_ses_annual,BENCHMARK,2024-10-01
2020,SI,SE711,M,4_CLERICAL,16.49,14.94,0.33,4.33,2.19,71.69,1361.67,22.97,2.47,4.13,58.58,91.94,lfs_gpg,SECOND,2024-06-12
2021,BG,BG32,C,8_PLANT_MACHINE,11.65,10.12,4.3,9.6,6.88,19.06,712.0,20.96,11.64,14.62,56.87,139.39,nama_10_lp_ulc,FIRST,2024-06-30
2022,EE,PL931,N,3_TECHNICIANS,24.45,20.45,0.5,8.28,5.84,19.25,915.81,8.78,9.15,4.63,51.58,128.94,earn_ses_hourly,FLASH,2024-10-13
2023,HU,DK4,D,7_CRAFT,22.67,19.04,0.19,14.9,8.61,38.54,1026.82,24.36,9.13,11.68,51.8,118.11,earn_ses_annual,BENCHMARK,2025-12-30
2024,LU,SE988,O,2_PROFESSIONALS,75.84,61.57,5.64,12.7,8.24,80.54,1375.67,8.26,12.55,8.39,54.18,109.48,lfs_gpg,SECOND,2025-04-14
2025,RO,LT416,E,6_AGRI,28.33,26.3,6.52,4.03,2.19,71.28,314.84,6.74,0.66,11.61,53.54,144.01,nama_10_lp_ulc,FIRST,2024-01-26
2006,AT,DK936,P,1_MANAGERS,61.19,49.65,3.61,17.04,12.46,70.25,750.86,17.39,9.74,8.42,50.91,90.61,earn_ses_hourly,FLASH,2025-11-30
2007,CZ,FR78,F,5_SERVICE_SALES,13.66,10.81,5.21,7.77,2.95,77.7,1449.77,28.47,9.16,3.65,54.25,97.64,earn_ses_annual,BENCHMARK,2025-10-27
2008,DE,LT476,Q,9_ELEMENTARY,24.8,19.72,5.17,18.64,8.75,19.64,468.85,26.57,5.7,15.62,49.75,91.47,lfs_gpg,SECOND,2025-09-20
2009,LV,PL806,G,4_CLERICAL,19.08,15.73,7.85,5.54,2.21,72.65,133.35,14.74,3.02,1.96,49.61,93.9,nama_10_lp_ulc,FIRST,2024-06-02
2010,PL,EE87,R,8_PLANT_MACHINE,14.5,12.9,7.37,13.84,10.15,36.8,1487.52,13.13,7.34,3.44,55.32,87.46,earn_ses_hourly,FLASH,2026-01-30
2011,ES,BE281,H,3_TECHNICIANS,30.46,25.34,2.67,5.17,2.65,79.09,1785.11,8.74,2.87,8.96,62.18,114.15,earn_ses_annual,BENCHMARK,2024-05-02
2012,HR,FR955,S,7_CRAFT,24.39,21.98,1.51,11.68,6.55,60.71,80.53,8.61,6.91,5.15,52.64,116.36,lfs_gpg,SECOND,2024-05-26
2013,FI,DK97,I,2_PROFESSIONALS,77.65,69.03,3.55,21.51,11.56,20.41,10.05,12.98,6.97,8.55,50.39,82.99,nama_10_lp_ulc,FIRST,2025-07-11
2014,IE,DK20,T,6_AGRI,24.51,19.84,0.42,14.33,8.12,27.7,2447.31,27.03,6.87,9.49,48.45,108.72,earn_ses_hourly,FLASH,2024-01-10
2015,MT,BG919,J,1_MANAGERS,48.67,41.39,7.55,12.93,9.12,67.86,128.15,13.32,16.01,4.53,57.25,106.84,earn_ses_annual,BENCHMARK,2025-01-07
2016,SK,AT5,U,5_SERVICE_SALES,10.18,8.57,-0.69,16.7,11.58,20.84,24.62,22.57,1.09,8.5,50.4,109.03,lfs_gpg,SECOND,2026-01-23
2017,BE,SK88,K,9_ELEMENTARY,28.65,22.6,4.41,7.95,4.22,95.73,1795.72,26.17,10.92,5.21,54.62,92.68,nama_10_lp_ulc,FIRST,2025-09-28
2018,DK,PT719,A,4_CLERICAL,28.71,25.17,5.83,18.51,11.5,32.9,1005.3,16.9,11.75,5.12,56.93,99.56,earn_ses_hourly,FLASH,2025-07-17
2019,GR,CZ7,L,8_PLANT_MACHINE,33.17,30.33,5.73,19.76,10.03,80.77,20.43,16.53,6.78,4.99,51.34,94.77,earn_ses_annual,BENCHMARK,2024-04-26
2020,LT,PL2,B,3_TECHNICIANS,43.01,35.83,5.71,7.46,4.9,53.53,78.81,16.33,4.33,1.72,49.63,120.02,lfs_gpg,SECOND,2024-07-05
2021,PT,NL6,M,7_CRAFT,11.71,9.57,3.1,16.22,5.81,74.27,471.47,16.23,5.4,3.47,50.08,109.66,nama_10_lp_ulc,FIRST,2025-09-05
2022,SE,SE928,C,2_PROFESSIONALS,89.73,72.88,3.67,6.76,3.95,51.83,338.51,5.66,1.25,6.12,48.28,130.11,earn_ses_hourly,FLASH,2024-11-01
2023,CY,FR68,N,6_AGRI,26.68,23.78,6.0,12.34,6.91,23.22,1615.72,11.14,0.63,2.67,47.51,105.39,earn_ses_annual,BENCHMARK,2024-05-21
2024,FR,FR93,D,1_MANAGERS,52.75,42.1,7.56,14.63,8.96,52.76,678.82,8.84,6.5,2.9,56.44,119.7,lfs_gpg,SECOND,2025-01-16
2025,IT,LU811,O,5_SERVICE_SALES,15.46,13.54,3.92,6.65,4.72,22.99,1036.96,21.46,8.46,14.03,55.54,109.94,nama_10_lp_ulc,FIRST,2024-06-11
2006,NL,DK531,E,9_ELEMENTARY,10.28,8.57,3.16,14.52,5.9,19.85,1626.99,17.99,3.62,5.99,50.7,84.63,earn_ses_hourly,FLASH,2024-02-07
2007,SI,EE16,P,4_CLERICAL,16.99,13.48,4.16,18.82,11.99,54.63,166.89,20.25,1.53,13.54,53.43,108.2,earn_ses_annual,BENCHMARK,2025-11-29
2008,BG,LU67,F,8_PLANT_MACHINE,25.46,20.15,0.73,19.56,10.69,19.78,1706.03,15.04,11.74,13.04,54.65,111.54,lfs_gpg,SECOND,2024-02-29
2009,EE,RO8,Q,3_TECHNICIANS,26.89,23.29,3.03,14.23,9.46,66.89,1471.84,8.74,9.76,9.27,64.65,89.01,nama_10_lp_ulc,FIRST,2024-09-15
2010,HU,AT722,G,7_CRAFT,17.53,14.55,1.47,12.3,6.75,29.83,1895.52,13.73,9.81,9.93,49.56,108.22,earn_ses_hourly,FLASH,2025-07-27
2011,LU,HR32,R,2_PROFESSIONALS,54.57,48.87,4.43,15.04,7.57,75.34,1804.45,5.69,8.28,1.89,55.45,118.64,earn_ses_annual,BENCHMARK,2025-09-02
2012,RO,DK249,H,6_AGRI,28.21,24.87,6.01,12.99,8.54,60.1,179.77,27.19,1.01,9.27,63.77,98.42,lfs_gpg,SECOND,2025-01-25
2013,AT,MT34,S,1_MANAGERS,67.35,57.68,2.31,3.58,2.53,21.79,1485.27,19.86,17.86,6.87,47.04,85.27,nama_10_lp_ulc,FIRST,2024-03-05
2014,CZ,NL919,I,5_SERVICE_SALES,32.37,27.42,7.36,21.47,14.04,62.12,776.06,18.64,10.74,12.41,54.34,107.58,earn_ses_hourly,FLASH,2025-01-12
2015,DE,SE476,T,9_ELEMENTARY,32.0,29.44,1.42,9.11,3.7,46.57,1004.98,19.89,6.29,4.47,52.36,82.13,earn_ses_annual,BENCHMARK,2024-07-23
2016,LV,LU59,J,4_CLERICAL,11.45,10.54,5.27,8.22,4.66,35.41,1120.28,13.31,9.0,8.03,50.52,111.78,lfs_gpg,SECOND,2025-11-27
2017,PL,BE169,U,8_PLANT_MACHINE,40.31,33.13,0.89,16.0,8.11,30.3,741.56,5.78,9.58,4.29,49.58,100.77,nama_10_lp_ulc,FIRST,2025-08-22
2018,ES,EE9,K,3_TECHNICIANS,48.5,39.3,5.01,17.14,10.99,63.35,372.94,20.9,5.34,15.25,54.21,93.0,earn_ses_hourly,FLASH,2024-05-26
2019,HR,FR729,A,7_CRAFT,43.63,39.33,4.75,10.75,6.06,60.76,55.35,9.99,3.99,4.06,51.51,96.93,earn_ses_annual,BENCHMARK,2024-05-26
2020,FI,SI9,L,2_PROFESSIONALS,67.76,55.09,-1.18,5.74,2.79,22.38,1010.83,19.53,10.1,6.93,55.6,79.21,lfs_gpg,SECOND,2024-04-29
2021,IE,SE3,B,6_AGRI,29.9,23.61,7.1,7.78,3.29,43.09,1881.12,18.08,8.87,14.99,46.2,106.2,nama_10_lp_ulc,FIRST,2025-01-27
2022,MT,LU78,M,1_MANAGERS,51.85,47.52,-0.88,16.77,8.92,41.36,1242.26,20.97,15.67,3.27,57.37,118.57,earn_ses_hourly,FLASH,2026-02-19
2023,SK,BE2,C,5_SERVICE_SALES,15.04,12.36,10.05,12.08,4.99,60.58,366.81,10.96,1.99,8.07,51.51,130.34,earn_ses_annual,BENCHMARK,2025-07-01
2024,BE,SE4,N,9_ELEMENTARY,12.29,10.98,5.4,12.74,5.86,49.24,1393.16,26.23,6.73,2.53,56.68,111.56,lfs_gpg,SECOND,2024-11-09
2025,DK,SE9,D,4_CLERICAL,18.93,16.53,-0.09,7.28,4.95,89.95,1706.65,21.46,9.77,8.51,56.65,127.7,nama_10_lp_ulc,FIRST,2025-08-05
2006,GR,SI88,O,8_PLANT_MACHINE,19.44,17.86,-0.8,15.47,9.42,72.19,1285.96,23.99,1.59,13.19,52.35,108.92,earn_ses_hourly,FLASH,2024-11-07
2007,LT,DE541,E,3_TECHNICIANS,18.38,14.66,0.01,5.62,2.33,31.52,423.93,23.91,2.62,12.24,59.66,108.16,earn_ses_annual,BENCHMARK,2025-11-21
2008,PT,DK204,P,7_CRAFT,9.62,8.28,3.05,12.47,7.2,31.61,1285.72,18.44,8.42,12.16,53.74,94.41,lfs_gpg,SECOND,2025-09-18
2009,SE,CZ6,F,2_PROFESSIONALS,64.08,55.37,0.35,7.28,4.7,97.48,1000.11,5.91,13.73,5.11,65.22,107.48,nama_10_lp_ulc,FIRST,2025-04-02
2010,CY,SK426,Q,6_AGRI,23.47,20.95,5.61,6.13,2.64,74.56,1430.87,14.55,4.55,11.43,59.94,112.0,earn_ses_hourly,FLASH,2025-11-20
2011,FR,NL8,G,1_MANAGERS,28.21,24.0,7.65,14.04,5.71,29.23,729.44,18.92,12.25,6.06,59.1,92.9,earn_ses_annual,BENCHMARK,2025-07-08
2012,IT,CZ172,R,5_SERVICE_SALES,22.47,18.26,-0.02,3.8,2.13,49.33,1876.84,20.88,7.07,6.25,56.3,102.73,lfs_gpg,SECOND,2026-01-30
2013,NL,NL276,H,9_ELEMENTARY,9.51,8.61,5.1,18.85,8.99,55.55,1240.68,23.61,9.39,8.11,57.6,95.06,nama_10_lp_ulc,FIRST,2025-11-09
2014,SI,MT5,S,4_CLERICAL,18.09,14.24,-1.08,9.86,4.73,55.61,906.13,24.02,6.04,10.25,44.76,112.05,earn_ses_hourly,FLASH,2026-02-14
2015,BG,IT774,I,8_PLANT_MACHINE,25.36,21.6,1.96,5.64,4.22,39.78,1262.13,12.0,2.71,7.01,55.87,93.51,earn_ses_annual,BENCHMARK,2025-08-20
2016,EE,BE87,T,3_TECHNICIANS,18.07,15.31,2.43,11.51,8.2,38.43,748.66,24.57,3.05,7.31,55.18,91.04,lfs_gpg,SECOND,2025-08-19
2017,HU,NL20,J,7_CRAFT,13.79,12.53,5.56,17.83,10.57,17.3,1449.57,24.12,9.03,4.84,52.59,118.94,nama_10_lp_ulc,FIRST,2024-10-11
2018,LU,RO857,U,2_PROFESSIONALS,36.67,28.73,6.15,18.43,11.33,44.45,627.96,22.58,1.14,13.84,53.9,112.13,earn_ses_hourly,FLASH,2025-09-01
2019,RO,FI4,K,6_AGRI,15.0,12.62,0.27,14.47,9.14,49.08,41.52,18.49,5.44,11.85,58.28,92.35,earn_ses_annual,BENCHMARK,2024-08-25
2020,AT,PT2,A,1_MANAGERS,66.3,57.37,7.04,8.74,4.94,60.82,1181.44,21.96,5.47,14.96,50.41,107.17,lfs_gpg,SECOND,2024-03-01
2021,CZ,HU326,L,5_SERVICE_SALES,10.68,8.98,4.43,17.75,7.84,60.35,1364.39,26.22,8.04,4.16,62.07,115.84,nama_10_lp_ulc,FIRST,2024-04-24
2022,DE,SK1,B,9_ELEMENTARY,19.78,18.13,1.25,13.06,8.1,61.3,95.48,20.54,10.02,13.05,57.84,130.24,earn_ses_hourly,FLASH,2025-08-03
2023,LV,FI49,M,4_CLERICAL,42.21,36.91,3.73,6.32,2.54,61.18,113.56,20.38,4.32,14.07,55.14,105.54,earn_ses_annual,BENCHMARK,2024-01-25
2024,PL,DK834,C,8_PLANT_MACHINE,19.28,17.3,2.99,16.16,6.63,23.76,1182.08,25.21,5.52,7.44,57.14,112.06,lfs_gpg,SECOND,2025-05-20
2025,ES,BE892,N,3_TECHNICIANS,30.29,24.88,7.82,7.63,2.8,40.12,2002.6,15.56,3.8,6.54,57.27,111.39,nama_10_lp_ulc,FIRST,2026-01-02
2006,HR,IT885,D,7_CRAFT,22.85,19.18,0.78,15.55,10.78,37.05,262.66,9.46,1.24,9.22,50.84,89.11,earn_ses_hourly,FLASH,2024-08-07
2007,FI,CY84,O,2_PROFESSIONALS,40.94,35.94,0.46,8.68,3.74,36.62,260.47,19.1,4.69,10.1,50.0,83.92,earn_ses_annual,BENCHMARK,2024-06-25
2008,IE,HU7,E,6_AGRI,24.5,20.26,2.51,5.0,2.59,41.06,713.62,16.71,9.07,4.15,55.0,109.41,lfs_gpg,SECOND,2025-10-11
