labor_wage_wage_survey_year,labor_wage_occupation_nco_6,labor_wage_industry_nic_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2020,443391,693,Daily,13598.66,19109.09,23842.5,28794.61,34288.3,286789.26,15.01,10.46,26.74,36.01,3.06,7.54,22.87,10.06,109.733,0.78
2020,430359,581,Daily,90925.54,133605.8,150375.25,187953.96,221660.57,1847008.8,7.23,26.17,24.94,36.55,2.2,1.97,44.69,17.79,74.389,1.552
2016,149860,692,Annual,62012.02,74501.47,104261.06,154128.16,181770.63,1273552.95,5.94,23.82,17.21,3.12,12.51,0.21,23.99,32.96,113.819,1.969
2018,407981,713,Daily,71489.52,94068.0,108229.05,151515.41,203736.93,1307030.21,2.8,19.99,24.87,18.79,32.66,17.78,9.26,24.8,72.943,7.778
2022,153039,294,Daily,21177.05,34002.24,41093.66,61183.31,67854.49,446154.69,20.3,6.41,15.62,38.07,33.37,15.23,22.75,6.8,118.512,0.743
2020,217302,030,Monthly,75904.1,101510.91,132952.53,179935.56,203824.96,1764542.23,5.79,29.74,34.77,39.31,28.13,9.39,59.56,19.98,146.511,1.206
2021,928314,638,Monthly,21148.07,27272.52,36529.9,45687.06,61279.64,437892.77,10.48,21.59,1.51,18.89,6.95,14.83,6.37,35.85,107.478,4.749
2019,058797,230,Monthly,70471.06,88529.59,110338.39,157312.57,205933.91,1306274.38,5.04,5.6,11.87,18.8,7.73,13.41,9.05,22.63,125.134,1.678
2016,111509,636,Annual,66842.67,89471.81,114627.88,156964.48,172926.01,1359732.55,6.8,25.41,12.91,16.25,-6.45,0.41,18.15,29.24,152.487,1.454
2022,793498,339,Monthly,54021.97,84766.22,120729.28,174281.82,222263.68,1616456.23,24.25,4.72,33.65,5.26,13.63,21.56,45.21,30.07,157.459,5.364
2022,291986,363,Monthly,16806.41,23851.41,32224.22,47274.25,52019.91,362437.3,2.13,27.44,27.75,22.97,4.66,11.72,1.61,2.03,121.91,6.803
2017,116596,649,Daily,37175.86,59347.89,71531.09,82447.15,95370.91,989043.21,15.82,12.9,15.14,27.49,0.62,26.67,18.84,11.03,82.365,4.956
2020,958509,363,Hourly,63978.18,102361.16,124197.0,160585.98,181928.03,1379500.97,11.47,18.48,10.58,36.39,-0.27,-1.42,26.45,6.45,113.663,7.171
2021,861009,255,Annual,52450.26,70366.18,85159.61,94023.47,114161.27,1161153.04,7.07,14.53,8.83,31.02,26.85,19.97,39.85,22.29,137.42,7.79
2021,680327,416,Monthly,50085.12,61229.64,77907.14,89498.04,95321.38,849768.34,1.35,20.06,3.19,35.69,-3.41,-8.59,48.0,33.21,90.034,1.461
2018,853152,286,Monthly,26632.12,31655.76,43391.52,50173.95,53928.67,564816.76,0.32,15.69,6.67,9.79,-0.14,13.34,6.28,8.01,104.609,2.694
2019,967315,086,Monthly,71933.33,114239.45,148079.72,170484.49,180930.14,1586418.48,19.71,17.44,23.26,22.29,19.32,-4.45,35.99,38.25,136.446,3.271
2024,495547,297,Hourly,45371.17,57920.48,71707.28,100647.79,119187.76,874523.28,23.15,11.69,4.32,5.4,27.33,27.54,45.09,31.96,115.639,2.581
2023,751003,078,Hourly,58884.2,83843.18,117939.0,164462.25,202656.82,1345287.77,24.96,22.82,19.04,20.47,4.11,21.28,2.05,37.3,122.379,7.565
2023,815244,088,Daily,6647.33,10861.3,12507.37,17715.99,20535.89,166245.6,8.98,20.99,21.3,30.87,31.41,1.42,6.84,17.75,107.291,6.499
2025,438671,924,Monthly,42639.54,69950.47,88204.98,130603.64,163121.82,963787.13,15.64,23.43,19.77,15.98,22.06,29.98,5.61,27.88,108.637,1.176
2021,750527,951,Daily,100755.49,122394.84,161883.19,182113.22,212952.23,1728298.9,2.51,6.85,16.11,3.81,25.61,21.96,22.45,35.53,99.397,2.798
2021,159522,870,Annual,88607.17,106766.72,149774.57,185393.63,217798.2,2060941.35,19.0,28.61,14.0,37.7,22.97,24.21,4.68,27.69,117.548,6.276
2018,097009,066,Monthly,27160.08,41677.45,57760.64,69448.77,75932.72,806139.22,8.46,4.59,19.83,39.08,5.21,-9.98,12.67,0.37,113.705,7.543
2016,940594,119,Hourly,116778.95,138206.29,174430.08,200171.03,237178.69,2231926.6,2.55,16.07,11.01,6.13,0.56,5.97,8.96,5.18,136.354,4.509
2025,055391,343,Annual,16130.58,21327.62,25321.24,29156.89,34757.06,286277.73,0.23,21.11,1.03,2.99,21.47,26.17,9.23,17.89,152.004,0.748
2023,077572,911,Monthly,12146.32,18086.19,24974.97,37071.63,45247.91,288518.73,1.17,18.62,28.01,0.79,-0.34,20.45,23.55,15.51,93.521,2.638
2024,693078,541,Monthly,7138.66,9522.75,13329.39,18726.01,20108.0,181140.53,21.89,16.71,32.66,7.8,1.45,2.3,38.85,21.07,131.207,6.637
2020,065576,081,Annual,87338.68,111709.12,143657.46,200601.9,255550.38,1512684.32,14.28,8.01,8.55,15.46,1.78,20.18,45.61,13.46,110.767,2.827
2016,003653,624,Monthly,83906.5,127698.19,152467.55,191513.55,222734.82,1603854.67,4.69,8.22,22.3,0.24,17.98,25.27,55.36,29.23,146.959,0.805
2018,528395,145,Hourly,61896.93,78063.73,108882.98,141378.79,184150.48,1239348.91,14.35,3.07,7.11,3.27,15.12,28.04,14.51,17.88,133.202,0.843
2016,971390,316,Daily,85152.02,120972.7,161363.98,183439.15,244839.98,1935176.8,14.83,13.95,26.19,1.2,6.45,0.04,49.68,18.66,95.298,6.988
2020,045810,968,Monthly,54652.36,64375.4,82236.53,110832.48,136926.57,1043577.97,23.52,22.53,9.31,39.05,8.02,14.23,8.17,8.85,146.935,7.301
2024,457807,557,Annual,35965.3,57187.09,81417.95,108323.94,135161.21,1138466.9,17.49,18.17,11.24,20.09,3.31,25.68,3.38,13.86,120.573,4.528
2022,174956,859,Annual,113198.31,138507.72,169474.07,211961.34,256666.27,2196893.6,14.16,4.2,21.11,12.75,2.53,12.8,54.62,25.27,74.609,6.708
2018,170250,337,Hourly,87565.83,109781.21,147181.34,166957.03,196491.14,2011772.89,2.3,25.97,2.73,36.02,0.07,19.85,4.17,15.11,134.179,7.047
2016,958637,577,Hourly,83916.4,107835.22,138041.19,195346.47,209289.08,1562563.99,4.37,17.87,27.18,38.91,22.97,18.97,32.98,25.08,107.621,7.461
2019,672260,482,Annual,13925.78,17588.0,21304.35,29527.55,39456.24,280629.73,0.2,3.69,22.07,32.3,15.61,6.63,8.34,54.04,141.162,6.218
2017,495405,906,Daily,28404.16,42008.4,56986.94,81465.24,93083.11,752207.41,7.42,6.49,22.81,7.36,0.49,11.25,37.98,41.63,95.935,5.08
2018,965378,003,Hourly,104259.19,147901.02,165318.62,189580.33,222381.8,2228090.99,22.6,0.62,16.82,34.42,14.31,-9.61,8.08,6.24,92.556,7.151
2024,410870,406,Monthly,71519.92,102547.53,134497.05,154762.52,198572.78,1509924.38,20.21,19.73,11.94,37.93,12.56,7.78,37.79,35.77,136.16,2.557
2016,270551,981,Monthly,88863.05,139640.95,164852.51,187009.37,218013.82,2066631.71,21.65,8.22,7.17,24.14,25.59,19.73,8.81,14.51,133.007,3.732
2020,589314,656,Daily,15991.36,25753.44,31523.67,38267.15,41606.13,402877.69,17.63,15.11,0.7,24.19,-6.79,-6.34,7.65,10.22,116.057,2.717
2022,685248,870,Hourly,45697.23,67120.49,80923.32,119610.9,153440.84,983382.16,7.28,13.24,14.33,6.04,9.96,-5.83,23.87,19.21,92.085,0.596
2016,373845,848,Monthly,46406.78,62936.96,89652.8,121914.34,133503.62,1205835.87,7.63,21.82,6.07,5.75,12.4,20.43,12.09,30.31,78.454,1.643
2023,942681,587,Monthly,53173.5,81289.8,99035.42,142495.39,168925.92,1206480.99,4.17,16.52,11.91,3.44,6.43,9.82,53.72,30.51,108.99,5.185
2021,187801,039,Monthly,70666.32,84087.05,110988.82,129600.23,156650.0,1246325.98,15.97,0.22,7.74,13.98,22.01,21.27,52.63,35.43,134.823,2.421
2022,842444,168,Monthly,52647.97,71844.4,97322.15,125026.56,160631.49,1216551.32,14.21,14.32,11.04,18.3,-6.59,2.37,8.1,4.94,140.873,1.825
2022,266285,760,Monthly,70793.13,111868.35,159180.48,184113.69,232113.54,2227848.51,3.88,16.49,12.4,7.38,-4.74,26.59,32.5,15.3,117.164,3.216
2019,700841,265,Monthly,42477.48,66144.57,92624.8,109033.35,145495.4,1182632.83,17.39,15.5,11.49,38.5,-4.55,8.17,37.13,50.16,107.171,1.139
2020,705472,495,Annual,49644.67,74879.7,98210.66,120143.6,159791.84,1113880.75,11.85,26.39,22.77,9.96,29.86,12.25,0.23,36.96,111.721,3.58
2025,970342,095,Daily,23881.77,35912.41,42313.51,52987.01,61946.09,549945.73,23.42,9.9,5.48,18.05,29.27,6.06,5.47,54.14,113.63,1.503
2023,906611,803,Daily,19629.38,29974.62,38439.43,53824.44,68165.2,481346.17,14.8,29.85,9.23,3.62,29.22,0.48,12.52,48.85,86.419,4.806
2021,522613,846,Hourly,8729.68,12220.91,14541.03,17786.57,21566.25,177839.13,20.11,7.07,8.96,16.49,27.7,21.08,25.21,42.56,100.711,4.02
2016,986003,567,Hourly,30539.45,45628.14,60594.01,88418.34,103458.45,694463.96,14.04,2.3,22.8,14.09,6.53,25.57,36.9,35.79,91.094,7.585
2021,649819,061,Monthly,108152.95,130785.55,151733.14,176645.53,200784.77,1840662.22,18.69,14.26,32.84,1.38,-6.67,23.25,38.79,22.08,108.01,7.345
2016,662647,015,Monthly,38903.36,48472.69,60160.29,88600.43,114919.26,658739.38,7.17,25.89,29.87,29.7,31.7,16.34,51.98,11.85,114.171,1.972
2016,308644,534,Monthly,49333.1,59740.03,70806.58,97037.35,108825.35,758560.77,7.04,9.75,3.0,13.02,-8.18,-3.87,32.41,16.29,119.739,5.697
2017,536608,642,Daily,66863.44,108360.36,128287.01,164626.23,210363.19,1377235.43,7.88,21.03,16.92,18.68,9.7,11.6,1.66,7.93,71.306,1.732
2024,767768,898,Daily,71194.61,99803.44,125821.41,178208.92,204788.17,1555568.25,0.47,15.97,10.59,26.05,8.87,-7.44,54.43,51.06,84.238,2.17
2025,297231,321,Monthly,21160.61,33661.84,43212.55,57930.14,73739.45,525366.06,9.2,5.31,33.32,26.2,13.16,26.25,24.41,1.16,105.36,1.257
2025,930419,564,Hourly,24636.8,32716.81,46012.04,66833.55,70834.91,586096.83,19.77,22.29,26.19,29.66,18.67,20.55,32.52,40.74,112.604,4.681
2023,326124,463,Hourly,67694.11,92580.63,113677.15,164450.2,200392.98,1447766.78,22.98,5.42,13.46,18.65,21.9,25.81,48.66,11.69,144.105,2.0
2022,696781,924,Hourly,94249.92,143451.97,167467.97,204538.68,230256.32,1821205.52,17.83,2.52,5.68,36.72,17.67,10.13,48.03,24.06,74.01,6.615
2025,207473,282,Annual,17991.14,29945.58,36330.73,43398.81,51743.49,459208.07,15.93,25.11,20.87,12.02,-7.78,3.61,13.3,8.44,124.508,1.252
2017,695115,643,Annual,78546.02,92407.49,106715.13,122742.34,158994.75,1121433.74,4.43,25.47,23.55,17.35,-6.74,24.18,55.15,24.55,72.454,5.635
2021,796525,772,Monthly,87535.46,134101.25,152574.55,188216.6,201063.66,1851169.68,11.03,11.42,12.78,16.8,13.27,-5.78,1.3,12.46,117.432,1.626
2023,057801,335,Hourly,63750.35,104374.74,140619.45,199682.05,235971.63,1493214.14,21.36,12.24,16.13,17.64,4.38,23.86,44.09,41.52,127.609,4.343
2022,218360,885,Annual,68906.29,93462.88,117826.08,167396.73,197266.02,1419734.49,2.86,18.84,16.13,28.44,-4.52,-3.39,2.78,46.3,103.64,5.064
2018,569598,783,Annual,49272.16,58850.22,83451.91,101270.38,119220.52,1038996.1,11.86,12.26,19.49,28.09,30.64,8.02,14.23,6.12,122.692,2.558
2022,611303,968,Daily,94087.91,114192.14,159102.47,234568.66,283666.8,2011528.59,15.76,24.35,9.07,7.07,2.44,10.03,32.33,1.42,154.329,6.12
2017,232374,597,Hourly,50506.46,71402.73,90608.67,133071.63,161585.47,1066286.0,7.56,24.33,14.83,16.9,-7.37,22.9,7.79,6.12,77.103,2.905
2021,017090,035,Monthly,74106.79,96937.76,125687.95,164952.47,175438.04,1602059.6,2.45,3.62,18.72,33.33,0.76,0.42,58.83,54.78,99.564,2.993
2023,754848,612,Hourly,65868.5,84870.64,113512.03,134207.94,175140.27,1576079.74,6.01,20.34,30.82,3.83,-0.68,12.38,49.47,1.87,106.947,1.353
2017,827314,655,Monthly,14944.46,18156.73,20557.06,23951.32,27844.32,244688.06,15.44,8.38,5.31,35.39,8.77,19.24,21.01,15.7,134.009,1.057
2017,954241,039,Annual,35649.53,43323.19,60146.1,76567.62,97212.22,711114.44,9.75,5.86,34.16,7.4,-3.45,26.07,29.84,47.14,117.218,3.879
2021,285285,831,Annual,29929.07,42498.81,51650.7,65307.82,74484.93,687332.91,3.88,13.94,23.73,17.71,1.3,7.18,46.58,17.76,84.022,7.55
2016,960202,315,Hourly,38179.55,55649.13,62140.57,90053.99,94978.1,813727.98,3.61,28.5,32.93,12.03,18.13,10.84,6.48,42.06,79.96,7.947
2025,824692,276,Daily,23729.58,33643.51,39540.59,59108.02,65343.28,438490.91,7.29,16.28,32.07,10.51,-1.58,9.99,6.07,43.1,150.935,7.65
2016,814973,179,Annual,63303.66,94594.9,130417.85,194004.67,259556.41,1450682.93,24.25,22.43,24.29,39.61,19.85,3.9,21.41,27.91,73.398,6.48
2020,002966,884,Daily,46855.59,58840.29,78680.24,115443.22,130700.59,1000342.03,11.42,28.84,11.52,23.67,1.95,12.7,44.9,45.39,103.319,4.119
2016,061945,773,Daily,47168.44,71014.09,93525.2,114665.12,121471.18,1253754.9,5.27,20.13,24.06,23.0,9.14,16.42,19.26,33.68,140.725,1.395
2018,373067,405,Monthly,73212.55,96600.88,126064.87,162556.1,192413.28,1451630.56,4.72,10.07,18.64,39.67,4.21,20.65,5.2,40.36,140.61,1.979
2020,007971,791,Hourly,27472.33,40031.61,57057.58,68635.82,75905.14,640774.96,20.62,13.5,31.35,13.61,14.6,10.94,16.15,53.81,145.91,1.288
2018,075991,474,Daily,71668.37,114791.72,128661.47,192554.58,226606.34,1571276.7,4.82,8.16,5.06,7.93,30.18,14.23,21.98,7.12,72.779,5.391
2022,375962,217,Hourly,33147.13,39563.69,47647.43,55326.72,66648.99,551870.53,23.82,23.69,3.34,2.03,26.24,1.06,55.65,20.8,141.925,2.561
2019,668944,960,Hourly,64948.73,95752.63,130148.92,169834.64,191052.53,1594571.53,16.74,22.08,19.12,23.22,16.9,3.47,16.34,45.54,70.627,5.099
2019,753005,829,Hourly,23470.43,29776.1,37893.81,48005.81,54293.82,469218.08,19.68,25.57,4.14,29.04,-8.48,0.31,59.26,53.75,88.535,4.139
2018,052586,153,Hourly,77216.9,91208.78,121042.17,151834.96,178530.14,1325471.93,11.39,18.32,9.57,3.38,16.28,-0.94,34.61,44.36,76.601,4.719
2019,018504,047,Hourly,97101.86,118255.87,136339.66,181744.0,214564.11,1859362.79,9.42,26.3,29.15,3.47,0.03,-7.2,19.62,48.95,72.6,4.589
2021,890535,867,Daily,55512.86,72619.35,84148.11,118254.9,147793.95,897095.86,6.19,6.18,14.88,7.89,-6.28,8.98,42.35,34.81,131.068,3.024
2024,226240,192,Annual,37063.05,52558.4,69844.01,85001.39,113594.1,930446.29,21.61,17.25,34.44,34.46,-0.58,23.88,30.49,24.02,72.828,4.663
2024,311644,025,Annual,46337.0,70570.68,99461.71,145148.35,194131.54,1079051.61,4.38,24.31,4.77,9.02,-4.81,14.91,10.01,44.4,138.855,5.265
2016,045691,383,Monthly,18878.44,25009.31,30521.42,38800.84,44441.79,353213.27,0.77,18.45,1.73,30.68,1.17,-7.08,52.09,11.68,91.985,7.12
2016,795652,817,Monthly,37309.6,59822.99,77572.32,110814.04,146966.23,992076.96,1.97,3.2,28.55,19.73,21.32,6.32,20.15,42.04,120.063,2.131
2025,369819,846,Monthly,93442.11,134675.08,161935.65,239977.7,292899.05,2103133.95,17.28,29.09,31.61,5.27,26.31,6.38,28.93,2.06,132.136,7.975
2025,774797,758,Annual,77375.7,95641.18,135444.74,199127.65,210020.13,1791821.99,15.16,21.44,1.54,0.66,25.24,-4.14,56.44,10.44,112.065,7.097
2016,366886,960,Hourly,38568.51,47089.01,53265.27,79284.41,92750.79,627929.8,11.29,16.54,17.47,11.96,24.96,23.46,6.18,8.14,144.394,1.391
2023,467498,637,Daily,36052.29,48504.53,56647.53,83586.56,106965.01,763373.86,14.35,22.76,19.06,26.05,24.2,23.48,4.34,7.73,76.062,1.386
2024,416982,345,Annual,66043.94,87718.4,99387.46,139788.25,178353.05,1250340.0,2.7,14.13,5.65,25.63,-5.57,27.59,1.79,26.25,130.636,1.949
2025,229344,428,Monthly,40845.48,67359.08,76280.17,110175.11,146102.06,1000672.29,2.79,29.77,4.54,21.12,3.37,5.4,29.24,51.83,102.266,7.258
2019,074588,111,Annual,57067.07,75189.44,101253.7,134367.24,177298.47,1386654.59,15.79,20.73,6.63,35.65,-2.6,10.43,46.03,16.35,105.489,7.799
2024,868065,023,Hourly,33497.81,45910.66,64789.03,81676.84,96661.54,755956.3,2.57,14.61,1.38,33.6,28.69,-1.91,24.18,39.1,138.711,6.361
2016,105496,075,Hourly,21882.81,32097.53,45459.16,52453.58,65938.56,615948.11,6.08,28.3,2.91,34.51,-5.72,-4.36,40.03,38.42,96.36,5.987
2020,935360,486,Annual,75723.96,97144.96,130060.85,162127.15,194528.94,1425970.23,22.01,1.74,14.28,9.01,-7.4,-3.65,31.28,7.42,157.971,6.19
2025,023431,720,Annual,33334.69,39891.45,47843.43,68453.86,90069.49,641485.37,18.45,21.21,29.9,15.54,-5.89,19.94,17.45,1.27,148.232,4.704
2018,789453,834,Annual,42943.85,57886.89,70829.74,92964.46,123175.89,872352.51,8.26,11.82,34.47,11.65,-0.6,13.84,38.04,21.05,70.692,0.992
2020,360611,146,Annual,89155.91,105510.27,117988.06,134052.32,142787.49,1628066.22,9.74,12.62,17.38,18.97,26.53,0.68,12.56,29.62,104.817,4.782
2017,041681,181,Hourly,104596.1,145630.73,170892.29,206517.92,264351.64,2220807.62,14.45,15.08,19.84,32.33,-3.3,22.41,41.84,19.06,133.628,5.627
2024,306097,401,Daily,106294.33,131384.64,161281.39,190434.08,218551.0,2183263.02,2.9,21.57,4.62,27.72,33.29,-9.67,2.64,49.83,157.239,3.354
2018,045686,440,Daily,10955.33,15120.15,18795.12,21101.65,27958.53,261331.85,20.34,10.99,4.18,39.28,34.43,-0.21,36.54,7.41,90.703,2.251
2023,897415,536,Annual,65432.75,93657.22,112390.75,161581.39,205428.48,1534092.4,1.41,3.58,10.76,3.3,20.49,14.76,49.9,35.38,99.665,4.006
2021,433778,759,Annual,26897.99,31925.1,36674.0,43458.31,57194.36,424895.94,13.82,19.83,33.15,35.67,26.9,16.38,23.28,16.89,87.964,1.262
2020,800150,127,Annual,77406.49,106601.73,125488.89,156146.28,172569.03,1384606.99,22.62,12.87,18.33,32.4,34.25,-0.45,6.05,46.52,135.017,0.739
2020,694872,849,Monthly,41410.2,61819.6,69478.95,88223.04,92991.51,824548.84,1.71,19.53,18.97,6.92,5.84,-6.84,56.43,51.12,120.475,6.107
2023,656010,540,Daily,102171.35,158177.75,178786.1,257220.28,288750.64,2307611.54,19.19,22.12,0.17,27.34,28.12,13.61,48.91,34.21,103.786,1.791
2023,425480,835,Hourly,84370.13,124880.1,165030.1,215442.76,250961.51,2181972.87,10.95,4.42,32.73,19.62,22.14,-4.02,45.04,20.23,120.307,2.034
2016,572744,422,Annual,47930.54,66585.41,90224.99,134730.66,174278.04,957544.23,11.41,19.46,18.2,17.22,15.76,-9.94,37.88,13.21,149.923,5.733
2023,885238,213,Monthly,40451.34,51004.57,57889.02,67967.45,73624.84,636591.59,15.06,4.12,6.19,24.57,8.89,-9.66,11.62,32.31,85.628,2.62
2016,695318,594,Daily,55956.53,71125.43,90162.53,114062.92,153937.66,1220672.34,10.25,17.1,3.62,37.7,6.01,5.27,55.12,54.66,92.618,5.015
2022,972406,996,Hourly,40358.23,57561.27,80018.68,102379.66,124715.06,947123.41,17.95,14.1,2.62,12.2,11.67,-3.97,12.92,46.25,100.286,1.974
2020,937774,880,Monthly,28567.38,35922.71,40634.03,60019.94,75862.35,567915.61,1.9,26.51,26.16,25.76,34.91,-6.87,38.38,13.92,135.841,4.911
2023,751152,268,Daily,46811.76,59122.11,79918.88,114996.57,131315.29,1062304.13,12.99,10.3,23.45,26.58,12.63,12.68,21.13,43.78,140.008,0.899
2018,677835,647,Daily,13479.63,21330.95,23708.29,29735.63,38322.21,259569.39,21.98,25.58,30.43,15.83,20.99,20.24,3.61,27.79,98.005,4.68
2019,923433,705,Daily,57852.51,84563.2,111704.8,134067.51,173771.71,1465663.27,20.66,12.76,13.7,15.42,9.02,4.76,30.66,9.26,127.95,1.688
2017,507521,535,Annual,63093.0,76315.81,94704.61,118437.69,137106.18,1254738.66,1.13,1.38,25.09,5.18,15.51,13.07,31.91,41.86,100.041,1.111
2021,911578,234,Hourly,21029.63,29359.17,33202.8,37883.27,46246.52,416362.49,5.96,24.19,30.84,11.67,24.23,-5.26,24.09,20.65,83.159,2.755
2016,476168,426,Daily,88247.36,111398.5,135285.3,188008.33,209723.0,1455514.86,9.92,25.1,33.0,11.33,-6.66,28.97,2.62,41.95,87.224,6.302
2023,955566,211,Daily,22852.5,30368.48,41078.82,49333.76,57872.51,564654.04,11.99,19.31,12.32,21.04,11.57,-10.0,48.78,5.32,155.294,5.602
2025,559359,298,Monthly,95091.3,112821.13,160992.07,221120.14,261099.79,2035062.29,11.71,19.6,30.82,26.15,24.3,1.06,14.09,8.39,79.258,3.281
2025,747771,115,Annual,81801.13,98771.56,135420.82,171672.34,192044.46,1443778.2,14.41,9.17,12.09,9.55,21.53,-2.43,44.63,30.79,129.11,3.092
2017,754305,256,Daily,85551.87,108381.34,124940.79,182756.64,233622.71,1598000.48,9.45,15.4,20.59,2.53,19.49,24.1,3.35,27.23,144.085,1.909
2020,249935,936,Hourly,40566.75,49239.07,64111.45,72734.45,76842.39,829877.89,19.77,19.67,16.26,35.32,-9.31,28.75,37.45,53.38,98.787,6.29
2020,320824,540,Daily,38720.33,53395.74,69476.66,88326.58,103935.39,736432.5,24.42,21.28,18.29,31.64,16.15,-1.31,31.64,43.79,143.372,4.932
2018,109530,164,Daily,14509.46,20137.51,23883.05,27837.19,31802.78,267498.42,16.99,29.64,8.2,35.79,24.18,2.02,49.74,51.2,82.44,7.833
2022,155985,115,Hourly,82757.62,102852.36,145892.28,186890.82,231198.34,1953911.02,17.79,20.26,9.65,10.38,-3.52,18.12,35.36,51.39,145.641,1.985
2018,280336,864,Hourly,73522.16,94443.39,122274.26,180130.88,195987.4,1582986.01,2.03,5.84,24.23,9.94,25.32,0.94,17.83,19.03,115.631,7.642
2020,768360,939,Hourly,64595.64,88081.15,125241.43,140186.09,187707.18,1567638.07,8.24,19.7,19.84,9.18,-3.33,13.27,51.34,42.39,92.799,3.909
2024,421228,533,Hourly,68516.05,81127.16,113554.43,140026.4,152042.77,1577936.53,15.69,29.16,10.11,17.49,4.5,-4.25,35.02,34.39,149.672,3.969
2020,639144,782,Monthly,89836.0,125359.7,140214.05,167991.6,218823.43,1728695.13,24.65,23.02,31.97,15.39,9.87,27.92,12.92,46.66,89.704,5.424
2023,837899,270,Annual,22043.7,26374.86,29704.39,41106.53,48709.56,342733.74,6.24,29.09,22.37,35.65,-7.96,13.9,26.75,43.0,120.25,3.121
2021,746543,491,Daily,9885.59,13605.24,16872.77,18703.36,23303.39,214732.37,19.91,23.01,21.89,8.9,-4.72,22.45,16.28,36.73,146.881,3.231
2024,710784,463,Daily,21300.53,28429.8,38889.5,47096.01,55277.94,423465.35,19.74,3.67,12.16,3.49,-7.44,24.01,8.75,16.55,74.93,5.456
2020,270738,229,Monthly,58314.55,94646.93,116555.24,128602.82,159782.46,1543126.31,2.74,8.67,19.56,4.29,33.25,1.48,12.02,22.88,73.353,6.631
2025,517629,932,Daily,34630.98,50547.66,70851.73,85170.05,108071.39,754340.75,0.34,8.25,31.22,30.73,7.67,-4.8,19.81,44.77,155.654,7.208
2021,019170,690,Monthly,66047.18,105817.97,145169.89,176304.41,215098.87,1840694.94,17.98,27.52,27.81,30.96,-8.33,20.8,12.41,47.82,92.586,1.08
2024,695586,967,Daily,44607.51,53514.44,59485.12,76688.59,99672.6,771456.2,2.55,5.65,9.81,4.37,11.41,25.65,25.08,48.54,143.83,4.938
2016,609029,123,Daily,53604.87,83948.77,115209.18,141970.65,181991.05,1216071.41,18.67,15.48,21.64,36.92,9.49,-1.99,59.27,22.05,85.407,4.95
2020,956139,256,Monthly,110350.07,140729.32,157842.87,194421.44,217337.71,2156585.86,0.64,25.48,0.39,9.56,-5.4,7.43,13.59,26.0,159.822,1.457
2023,627173,567,Hourly,14805.26,19980.5,24170.11,36134.98,48022.72,330552.23,6.48,14.26,9.03,38.9,21.14,-6.73,16.73,32.24,134.218,0.567
2024,358880,950,Daily,52497.59,87161.19,97766.65,138252.04,185728.97,1162305.91,13.28,27.96,33.76,23.96,-9.42,5.2,2.29,49.09,71.202,7.74
2024,967234,711,Hourly,99938.65,125656.79,164174.31,209960.08,248425.95,1965650.03,17.36,24.52,29.56,34.4,18.83,-3.54,33.88,11.67,92.006,6.837
2020,186798,668,Annual,74196.79,100273.2,112523.22,153403.22,164791.82,1407882.47,24.3,18.89,20.48,17.24,-5.73,28.0,40.56,32.25,144.386,0.8
2020,540277,166,Hourly,10542.17,17315.41,20842.99,26820.24,32645.63,237220.01,16.13,14.68,7.06,35.72,-4.13,0.4,29.74,26.8,135.089,6.075
2021,567320,391,Annual,62895.45,86310.49,111208.56,154488.9,196726.92,1187238.55,15.24,10.21,32.72,4.03,24.25,5.62,54.74,40.37,98.522,5.275
2017,408735,205,Daily,83383.66,115504.39,131666.73,168189.11,191189.29,1384213.68,19.98,25.72,18.77,39.99,25.55,-4.1,17.34,42.23,158.53,7.911
2024,800590,417,Monthly,22438.0,28590.86,35578.6,46241.23,56152.67,420074.64,6.99,14.26,13.47,6.37,-9.32,-8.01,10.75,36.43,107.029,0.657
2021,962118,782,Hourly,85707.45,115071.29,138132.22,184539.09,214533.41,1478166.5,12.26,21.92,25.66,32.06,17.83,17.07,47.23,19.38,116.309,3.578
2018,732203,918,Daily,61447.9,97650.97,122253.48,142065.91,177044.33,1620651.25,19.29,2.66,2.18,30.78,12.44,25.3,42.83,39.71,93.482,2.375
2025,885971,170,Hourly,11561.41,14694.28,16764.96,23754.47,28252.83,207955.6,5.27,17.54,15.07,22.16,19.07,-7.96,8.92,0.91,131.695,3.809
2023,505663,994,Hourly,59127.81,75226.25,91543.44,128286.36,143238.14,1055472.98,9.19,24.49,34.96,17.23,0.45,17.64,25.79,30.75,97.808,3.345
2016,581155,269,Hourly,107855.04,145129.85,163071.6,195277.0,219973.6,2164074.3,14.58,27.1,11.32,0.79,-1.99,15.6,43.47,26.05,157.682,2.405
2019,720640,660,Annual,19214.26,24383.43,30945.99,38329.06,45498.0,415732.34,13.1,21.63,4.36,33.82,7.58,9.32,22.28,34.29,77.2,5.746
