gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_inr,gov_debt_principal_issued_inr,gov_debt_principal_retired_inr,gov_debt_interest_cost_inr,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_inr,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_inr,gov_debt_fiscal_distress_flag
2010,GOV16901139,GOVMT2NE,4562804,28466,26797,681517,12.66,val_1699_01139,0.409,3336,1.807,val_1699_01139,val_1699_01139,val_1699_01139,MoRD,690220377,1,529668,1
2020,GOV16901140,GOV9DCQI,74849,56924,94397998,5804127,10.74,val_1699_01140,2.278,2620,4.212,val_1699_01140,val_1699_01140,val_1699_01140,MOF,4806387,1,656600,1
2019,GOV16901141,GOVUYGN0,77217991,62827,736803306,83224845,37.76,val_1699_01141,1.589,2968,1.778,val_1699_01141,val_1699_01141,val_1699_01141,MoHUA,29549917,1,3824366,1
2017,GOV16901142,GOV7YG4Z,178747,170745885,701329181,21632,77.04,val_1699_01142,1.343,2745,1.878,val_1699_01142,val_1699_01142,val_1699_01142,MeitY,108438,1,769104485,1
2021,GOV16901143,GOV1ASUE,5152143,7351144,37755890,602398679,48.79,val_1699_01143,3.213,1503,0.827,val_1699_01143,val_1699_01143,val_1699_01143,MNRE,45620,1,716994696,0
2023,GOV16901144,GOVKF5H5,70296716,518205,7081483,3441988,20.5,val_1699_01144,2.028,3617,2.785,val_1699_01144,val_1699_01144,val_1699_01144,MoRTH,2013603,0,3811153,1
2014,GOV16901145,GOVXW21A,787871,569154,338354,45734841,35.23,val_1699_01145,1.628,799,0.423,val_1699_01145,val_1699_01145,val_1699_01145,MoHFW,424443337,1,38750,1
2022,GOV16901146,GOVUYURO,50427962,52956,401496633,77326304,31.17,val_1699_01146,3.124,205,0.472,val_1699_01146,val_1699_01146,val_1699_01146,MeitY,5252726,0,2656836,1
2024,GOV16901147,GOVUCMN5,41184258,63885379,75830992,33300,79.0,val_1699_01147,3.115,2276,1.175,val_1699_01147,val_1699_01147,val_1699_01147,DoPT,593893723,0,623787,1
2010,GOV16901148,GOVONXV7,42159,3638094,721324,560643709,48.7,val_1699_01148,1.742,3527,2.231,val_1699_01148,val_1699_01148,val_1699_01148,MNRE,78767,1,391038096,1
2019,GOV16901149,GOVXGVUQ,1252488,44674,639424,46481793,72.14,val_1699_01149,2.12,3232,1.049,val_1699_01149,val_1699_01149,val_1699_01149,DoPT,30983506,1,713437321,0
2016,GOV16901150,GOVZ97YK,6140333,4158962,478848,49200669,88.85,val_1699_01150,2.513,488,2.645,val_1699_01150,val_1699_01150,val_1699_01150,DoPT,75721601,0,53818595,1
2016,GOV16901151,GOVW9O2L,5415603,58428,756256089,91687448,7.56,val_1699_01151,2.309,1241,1.278,val_1699_01151,val_1699_01151,val_1699_01151,MeitY,88636,1,43502848,0
2019,GOV16901152,GOVOIYP1,5174110,82581103,61341,42969,85.93,val_1699_01152,2.713,1325,2.543,val_1699_01152,val_1699_01152,val_1699_01152,DoPT,516506846,0,757208232,1
2013,GOV16901153,GOVUNFDO,635625,462912146,448855,25632028,24.63,val_1699_01153,2.849,1482,3.5,val_1699_01153,val_1699_01153,val_1699_01153,MoE,501550906,1,500922,0
2010,GOV16901154,GOV18RSY,3088381,469239490,5127470,32219841,33.3,val_1699_01154,4.33,451,3.799,val_1699_01154,val_1699_01154,val_1699_01154,MoHFW,207178947,1,712791666,1
2013,GOV16901155,GOVUHJRC,3949503,643174,738353,470918438,84.26,val_1699_01155,3.481,3504,0.883,val_1699_01155,val_1699_01155,val_1699_01155,MoHUA,532743,1,455829816,0
2014,GOV16901156,GOVOM6NS,89167545,701962,3195220,62748837,48.65,val_1699_01156,3.439,499,4.467,val_1699_01156,val_1699_01156,val_1699_01156,MNRE,69484540,0,5029352,0
2016,GOV16901157,GOVI6TUK,6093583,38905,621731669,672317,75.14,val_1699_01157,4.895,27,3.712,val_1699_01157,val_1699_01157,val_1699_01157,DoPT,4741877,1,7656044,0
2011,GOV16901158,GOV3G9DP,732324745,5181205,17275141,35574,58.63,val_1699_01158,0.817,1414,3.69,val_1699_01158,val_1699_01158,val_1699_01158,MoHUA,48737627,0,315040256,1
2020,GOV16901159,GOV3TOV8,43158700,4317863,598856475,793757,77.52,val_1699_01159,1.592,611,2.736,val_1699_01159,val_1699_01159,val_1699_01159,MHA,51931501,0,4563197,0
2013,GOV16901160,GOVQYASV,760065918,4075465,359199,699530,78.8,val_1699_01160,1.475,2198,1.597,val_1699_01160,val_1699_01160,val_1699_01160,MoE,53229,1,67897050,0
2011,GOV16901161,GOVE2SPB,348139,735247054,621589234,74461732,93.07,val_1699_01161,0.704,3535,4.577,val_1699_01161,val_1699_01161,val_1699_01161,MoE,5116245,0,528062,0
2021,GOV16901162,GOVOGF74,61673859,32299882,37282001,66472337,87.57,val_1699_01162,3.948,1080,4.891,val_1699_01162,val_1699_01162,val_1699_01162,MHA,7635179,0,5188212,1
2022,GOV16901163,GOVG5ZIH,773966,38577791,477240497,48643468,44.71,val_1699_01163,3.705,3170,0.187,val_1699_01163,val_1699_01163,val_1699_01163,DoPT,403348014,0,105513,0
2017,GOV16901164,GOVS1NKY,75482943,737133,58016,727861520,90.62,val_1699_01164,0.774,2805,4.393,val_1699_01164,val_1699_01164,val_1699_01164,MoRD,177691193,0,681531111,1
2015,GOV16901165,GOVRLNAN,585684783,460662809,6005126,506201,42.56,val_1699_01165,3.729,164,2.281,val_1699_01165,val_1699_01165,val_1699_01165,MNRE,36275,1,5222407,0
2014,GOV16901166,GOVH7AR7,12615,344826949,29911,72406,28.43,val_1699_01166,4.247,3321,3.331,val_1699_01166,val_1699_01166,val_1699_01166,DoPT,200709,0,190470334,1
2023,GOV16901167,GOVJ6P5C,78116,424371,43066,529295,76.07,val_1699_01167,1.904,540,2.264,val_1699_01167,val_1699_01167,val_1699_01167,MoE,662243,0,506979214,1
2019,GOV16901168,GOVZ25U4,44042,684593573,12326,932041979,75.75,val_1699_01168,1.852,1904,1.392,val_1699_01168,val_1699_01168,val_1699_01168,MOF,61235,0,91665,1
2022,GOV16901169,GOVMV21K,4021762,48355,498914,14014,50.02,val_1699_01169,0.468,2313,3.759,val_1699_01169,val_1699_01169,val_1699_01169,MoE,2825857,0,369591955,0
2015,GOV16901170,GOVR9ZA0,3291829,1707012,52745337,37051,83.99,val_1699_01170,4.67,3405,3.775,val_1699_01170,val_1699_01170,val_1699_01170,DoPT,849631,0,7885650,1
2024,GOV16901171,GOVX2OP5,380684,563638,50789165,337841103,91.85,val_1699_01171,4.981,1181,1.952,val_1699_01171,val_1699_01171,val_1699_01171,MoRTH,13994,1,485780395,0
2022,GOV16901172,GOVCGY1V,83870959,379700946,67769858,4884792,13.7,val_1699_01172,1.791,1796,0.539,val_1699_01172,val_1699_01172,val_1699_01172,MHA,43357,1,3448571,1
2017,GOV16901173,GOVZMOAT,63443965,106087615,37698,607720,55.77,val_1699_01173,4.605,2667,2.289,val_1699_01173,val_1699_01173,val_1699_01173,MoRD,350003561,1,818999557,1
2024,GOV16901174,GOVS4NZF,44205,2284928,16568,238452,34.37,val_1699_01174,1.678,404,1.097,val_1699_01174,val_1699_01174,val_1699_01174,MoHUA,71082,1,47929556,1
2012,GOV16901175,GOV77F9W,5282375,10511851,7669463,462286561,41.8,val_1699_01175,0.888,282,4.268,val_1699_01175,val_1699_01175,val_1699_01175,MoRTH,58674,0,708468,1
2017,GOV16901176,GOV0SLV1,3995538,7894028,20423027,453749,44.05,val_1699_01176,4.871,975,3.376,val_1699_01176,val_1699_01176,val_1699_01176,MoHFW,8836,0,535027374,1
2014,GOV16901177,GOVFPKLD,477614,42071,4692843,437923436,44.86,val_1699_01177,4.913,335,0.928,val_1699_01177,val_1699_01177,val_1699_01177,MHA,38477386,0,12959042,0
2016,GOV16901178,GOVZ4B4N,52700510,720332,494581,48304191,53.79,val_1699_01178,2.818,3349,4.776,val_1699_01178,val_1699_01178,val_1699_01178,MoHUA,443702,0,815873087,0
2017,GOV16901179,GOVK4Z8X,723450,79510116,273114300,4035421,58.98,val_1699_01179,3.398,2793,2.976,val_1699_01179,val_1699_01179,val_1699_01179,MoHUA,84958,0,84261,0
2017,GOV16901180,GOVC9V6F,7836735,226610,186548300,765459682,55.9,val_1699_01180,0.118,2097,1.948,val_1699_01180,val_1699_01180,val_1699_01180,MoHUA,501361191,0,6900741,1
2018,GOV16901181,GOV5JZ2M,80113,450641,518963,64768117,26.69,val_1699_01181,2.918,1783,3.762,val_1699_01181,val_1699_01181,val_1699_01181,MoRD,17290640,1,461110,1
2010,GOV16901182,GOVJ9UJ9,322817,4804372,363277031,6307668,7.79,val_1699_01182,1.083,2057,4.812,val_1699_01182,val_1699_01182,val_1699_01182,DoPT,712181,1,59997902,1
2013,GOV16901183,GOV4ZYIK,33814582,5810381,21438065,4067950,13.2,val_1699_01183,4.554,159,1.476,val_1699_01183,val_1699_01183,val_1699_01183,MOF,19490291,1,18603,0
2013,GOV16901184,GOV24FIB,78394,5316701,24416,28700,17.22,val_1699_01184,0.371,2321,1.588,val_1699_01184,val_1699_01184,val_1699_01184,DoPT,760195505,0,62342,1
2023,GOV16901185,GOV00VKJ,6413003,60611795,266166,390569616,73.82,val_1699_01185,1.321,1265,0.198,val_1699_01185,val_1699_01185,val_1699_01185,DoPT,300933830,0,5394956,1
2023,GOV16901186,GOVJF1U7,570202012,322831394,3969554,450031465,21.08,val_1699_01186,4.068,361,2.226,val_1699_01186,val_1699_01186,val_1699_01186,MoRTH,44650,0,753544775,0
2024,GOV16901187,GOVPAPO4,85714,676918339,4602137,59848150,30.53,val_1699_01187,2.225,866,0.511,val_1699_01187,val_1699_01187,val_1699_01187,MOF,647484226,1,73671229,1
2011,GOV16901188,GOVS6OGP,7272563,66827842,729391,4589362,52.9,val_1699_01188,1.523,1794,3.872,val_1699_01188,val_1699_01188,val_1699_01188,MoRTH,772008,1,5970903,0
2010,GOV16901189,GOVZ46L9,42144402,470439,404283,56617990,92.48,val_1699_01189,1.399,739,1.788,val_1699_01189,val_1699_01189,val_1699_01189,MoRTH,72103390,0,752763,0
2024,GOV16901190,GOV3B2P7,29756602,43917,856306,5632778,64.72,val_1699_01190,3.864,2043,4.211,val_1699_01190,val_1699_01190,val_1699_01190,MoHFW,57667,1,887236530,1
2018,GOV16901191,GOVAOD0R,175797,5650115,744838,3808638,34.99,val_1699_01191,1.632,233,0.432,val_1699_01191,val_1699_01191,val_1699_01191,MoHUA,69748,0,54591,0
2012,GOV16901192,GOV1PE5C,409359,62847275,6174301,5686989,19.03,val_1699_01192,4.098,2769,4.096,val_1699_01192,val_1699_01192,val_1699_01192,MoHUA,33518,1,39106333,1
2026,GOV16901193,GOV6I6PK,4475726,56579,3692368,674695,89.87,val_1699_01193,3.495,2455,0.816,val_1699_01193,val_1699_01193,val_1699_01193,MoHFW,68350222,0,505716,1
2010,GOV16901194,GOV4NL1X,468300,408944835,7410333,450177,60.87,val_1699_01194,4.595,340,1.958,val_1699_01194,val_1699_01194,val_1699_01194,MoE,6952232,0,568128990,1
2011,GOV16901195,GOVLD89T,521794118,48713,395112,233259966,47.85,val_1699_01195,0.604,2222,0.69,val_1699_01195,val_1699_01195,val_1699_01195,MoRD,46086596,1,494587454,1
2024,GOV16901196,GOVFSAGG,247747,18532531,535030443,66986,23.47,val_1699_01196,0.517,578,3.12,val_1699_01196,val_1699_01196,val_1699_01196,MOF,4369905,1,2948941,0
2019,GOV16901197,GOVY2MLH,3890434,17764,54977,260022,8.51,val_1699_01197,4.696,2910,3.7,val_1699_01197,val_1699_01197,val_1699_01197,MoRTH,774466832,0,401992926,1
2011,GOV16901198,GOVRN2EH,24067260,817114145,51143137,31273842,70.28,val_1699_01198,4.392,270,0.749,val_1699_01198,val_1699_01198,val_1699_01198,MoHUA,819913,0,58162,1
2012,GOV16901199,GOVLKHTH,6511798,368897,28889,513434,11.19,val_1699_01199,3.947,1454,1.941,val_1699_01199,val_1699_01199,val_1699_01199,MoRTH,28405,0,522821952,0
2012,GOV16901200,GOVY631J,4633809,233994362,298490,41955,97.46,val_1699_01200,3.391,2052,1.417,val_1699_01200,val_1699_01200,val_1699_01200,MHA,54557,0,2018965,0
2015,GOV16901201,GOV5MNFF,76213027,50815,43076,68611651,36.51,val_1699_01201,2.21,2987,4.705,val_1699_01201,val_1699_01201,val_1699_01201,MHA,557328,1,47254609,0
2015,GOV16901202,GOVSPM9P,30948,208809921,406447,621706017,60.56,val_1699_01202,1.212,2823,1.003,val_1699_01202,val_1699_01202,val_1699_01202,MOF,7263856,0,628239,0
2026,GOV16901203,GOV7H9QY,78589,4748171,231182057,660265,37.8,val_1699_01203,2.694,1073,1.488,val_1699_01203,val_1699_01203,val_1699_01203,MHA,64999,1,26997,1
2022,GOV16901204,GOVYPS4W,815378,7406669,6995975,6938375,17.03,val_1699_01204,0.223,1241,2.42,val_1699_01204,val_1699_01204,val_1699_01204,MoRD,1060162,1,15916,1
2025,GOV16901205,GOV945VY,7908571,1290527,43400,832693294,3.28,val_1699_01205,1.455,192,1.372,val_1699_01205,val_1699_01205,val_1699_01205,MNRE,296132,1,761550917,0
2015,GOV16901206,GOVIFZYG,4318926,496047797,39832957,6097937,90.53,val_1699_01206,4.468,1031,1.139,val_1699_01206,val_1699_01206,val_1699_01206,MOF,543174,0,67677,1
2026,GOV16901207,GOVXD0K9,7199545,756841275,31305,4483542,76.68,val_1699_01207,3.133,253,3.303,val_1699_01207,val_1699_01207,val_1699_01207,MeitY,6033779,1,37955,0
2012,GOV16901208,GOVUN609,2924723,72863661,459111,226035042,77.75,val_1699_01208,0.109,38,1.805,val_1699_01208,val_1699_01208,val_1699_01208,MoE,519419023,1,9331139,1
2013,GOV16901209,GOVO9PM3,301695,7199569,52624,531775704,30.37,val_1699_01209,3.964,245,3.993,val_1699_01209,val_1699_01209,val_1699_01209,MOF,80812,0,58707781,0
2013,GOV16901210,GOVT7K6X,343824,457855313,728805413,363494246,20.67,val_1699_01210,0.758,699,0.85,val_1699_01210,val_1699_01210,val_1699_01210,MoE,56098649,1,186770236,1
2025,GOV16901211,GOV1K5RY,195280,58233,55621963,86707602,37.95,val_1699_01211,3.735,1832,3.569,val_1699_01211,val_1699_01211,val_1699_01211,MNRE,24130573,0,527420,0
2014,GOV16901212,GOVDTUO8,267360157,66536890,223935,753881543,91.0,val_1699_01212,3.561,2965,1.007,val_1699_01212,val_1699_01212,val_1699_01212,MoHUA,843578390,0,58190,1
2017,GOV16901213,GOVMS289,642364,30627637,29007,5099256,59.36,val_1699_01213,1.183,219,1.917,val_1699_01213,val_1699_01213,val_1699_01213,MoHFW,535198,1,359087032,0
2017,GOV16901214,GOVHSIHJ,620047149,54926398,41835,290929,95.42,val_1699_01214,0.612,2463,2.116,val_1699_01214,val_1699_01214,val_1699_01214,MoE,51130,0,554652,1
2021,GOV16901215,GOVO4NJJ,50823,16638831,433430582,2142152,90.33,val_1699_01215,0.54,3076,0.472,val_1699_01215,val_1699_01215,val_1699_01215,MoE,673272492,1,26618,1
2022,GOV16901216,GOVY8DWJ,8050388,549735,47375093,59103,39.93,val_1699_01216,0.796,3629,4.26,val_1699_01216,val_1699_01216,val_1699_01216,MeitY,54765,0,31416532,1
2020,GOV16901217,GOVNHN2I,4245667,34312,428408546,781286,48.0,val_1699_01217,4.952,1521,0.572,val_1699_01217,val_1699_01217,val_1699_01217,MNRE,46966,0,359556654,0
2022,GOV16901218,GOVGDOCD,562664,768129613,638153,54284,45.08,val_1699_01218,3.244,2127,3.217,val_1699_01218,val_1699_01218,val_1699_01218,MNRE,74657,1,195810,0
2011,GOV16901219,GOVLF2A5,34601912,6035604,67633,45840,25.22,val_1699_01219,1.39,693,1.136,val_1699_01219,val_1699_01219,val_1699_01219,MoE,73866,0,17423,0
2026,GOV16901220,GOVC9MCG,6455029,9158,7207521,853677,99.21,val_1699_01220,4.905,1294,3.321,val_1699_01220,val_1699_01220,val_1699_01220,MNRE,51144046,1,51422,1
2014,GOV16901221,GOVX4G3Q,5025510,27055,37090,29157356,81.8,val_1699_01221,3.472,3344,3.724,val_1699_01221,val_1699_01221,val_1699_01221,MoRTH,504612115,0,175550322,0
2026,GOV16901222,GOVDZK32,84181,72694258,50474216,558712,49.23,val_1699_01222,2.016,2292,1.902,val_1699_01222,val_1699_01222,val_1699_01222,MeitY,6095080,1,7280985,1
2019,GOV16901223,GOV9G2C0,1597236,391607287,725466,6809649,3.69,val_1699_01223,2.834,2576,3.565,val_1699_01223,val_1699_01223,val_1699_01223,MOF,633092119,1,100730584,1
2021,GOV16901224,GOVE7312,66668010,482052100,577914956,565468861,45.96,val_1699_01224,4.942,1829,0.771,val_1699_01224,val_1699_01224,val_1699_01224,MoHFW,737852,0,8771941,1
2012,GOV16901225,GOVCCGAV,59693,607444409,446877,58916,92.71,val_1699_01225,3.625,1775,1.531,val_1699_01225,val_1699_01225,val_1699_01225,MoHUA,57414866,1,501850734,1
2011,GOV16901226,GOV1O83H,212247,57997,5433737,3828164,24.38,val_1699_01226,1.481,1995,0.953,val_1699_01226,val_1699_01226,val_1699_01226,DoPT,658994109,1,415438,0
2011,GOV16901227,GOV43K8W,383458721,85143049,416852,23886428,82.6,val_1699_01227,4.132,54,1.222,val_1699_01227,val_1699_01227,val_1699_01227,MeitY,80683,1,2902078,0
2019,GOV16901228,GOVG2CPB,33728,65656,7763908,662636380,53.5,val_1699_01228,0.964,490,4.128,val_1699_01228,val_1699_01228,val_1699_01228,MNRE,7728608,1,7898,0
2013,GOV16901229,GOVWOHGM,8315,52768,654749,743507,40.66,val_1699_01229,2.233,2897,1.009,val_1699_01229,val_1699_01229,val_1699_01229,DoPT,35074,1,537767,1
2014,GOV16901230,GOVU3E1M,405148929,34697,11517,46389829,59.73,val_1699_01230,4.727,350,4.406,val_1699_01230,val_1699_01230,val_1699_01230,DoPT,480819,0,431926870,0
2025,GOV16901231,GOVU4EBQ,46983,597680,50165,66506274,80.39,val_1699_01231,1.328,2510,0.663,val_1699_01231,val_1699_01231,val_1699_01231,MOF,363291,1,34493,1
2019,GOV16901232,GOV6JSNG,18113766,389918,733215,735564084,52.62,val_1699_01232,1.182,812,3.836,val_1699_01232,val_1699_01232,val_1699_01232,MoRD,5849753,1,4699431,1
2014,GOV16901233,GOVD5384,454811,73287,67506,525238,75.19,val_1699_01233,2.134,2846,0.961,val_1699_01233,val_1699_01233,val_1699_01233,MoRD,10157439,1,70857,0
2018,GOV16901234,GOVVQ0K2,5763060,542220,8502649,45531725,0.83,val_1699_01234,1.06,375,4.583,val_1699_01234,val_1699_01234,val_1699_01234,MoRD,55618,1,416347453,0
2014,GOV16901235,GOVW6V55,69093,61870,465594638,840994931,64.22,val_1699_01235,2.636,1678,0.073,val_1699_01235,val_1699_01235,val_1699_01235,MOF,503880,1,69155187,0
2020,GOV16901236,GOVHM0HE,60057609,4459165,276289,2740329,89.26,val_1699_01236,1.887,287,3.992,val_1699_01236,val_1699_01236,val_1699_01236,MoRTH,5145864,0,43364617,0
2019,GOV16901237,GOVOC4Q6,43352766,574454807,5750530,512400,89.71,val_1699_01237,0.716,2834,2.909,val_1699_01237,val_1699_01237,val_1699_01237,MOF,35479393,0,3875595,1
2016,GOV16901238,GOVPGJKC,5272696,314597,595209,51929,57.96,val_1699_01238,2.997,2620,4.898,val_1699_01238,val_1699_01238,val_1699_01238,MoHFW,89005279,0,622256729,0
2020,GOV16901239,GOVAATCB,2227452,3211651,2271230,649734,23.26,val_1699_01239,4.355,2287,4.468,val_1699_01239,val_1699_01239,val_1699_01239,MoE,56602,1,6239633,1
2015,GOV16901240,GOVLBA04,57603,486597,58042659,38803426,54.57,val_1699_01240,4.503,566,1.213,val_1699_01240,val_1699_01240,val_1699_01240,MHA,639919,0,629820390,1
2019,GOV16901241,GOVVDOI2,3266139,6442727,7023955,88281734,63.83,val_1699_01241,1.353,1472,0.334,val_1699_01241,val_1699_01241,val_1699_01241,MoHFW,709021149,1,30035,0
2026,GOV16901242,GOVU4HEU,54291,6401492,64964010,48816092,95.41,val_1699_01242,2.672,2962,4.599,val_1699_01242,val_1699_01242,val_1699_01242,MoE,44142,1,77579,0
2010,GOV16901243,GOVTFE3Y,60479559,2802436,49694660,530830515,72.9,val_1699_01243,2.741,492,4.511,val_1699_01243,val_1699_01243,val_1699_01243,MoE,736396875,1,756686997,1
2010,GOV16901244,GOV7B5UN,18206189,42471985,56557731,673392456,52.75,val_1699_01244,0.385,1035,1.24,val_1699_01244,val_1699_01244,val_1699_01244,DoPT,315913,1,5070582,0
2010,GOV16901245,GOVPXHZU,5171809,650934,5008430,531915,68.73,val_1699_01245,2.03,2619,3.006,val_1699_01245,val_1699_01245,val_1699_01245,MNRE,7840354,1,27462718,0
2016,GOV16901246,GOVOYROP,469696,66182354,464195453,530944409,64.02,val_1699_01246,1.623,105,3.048,val_1699_01246,val_1699_01246,val_1699_01246,MoRD,8068407,1,17094,1
2024,GOV16901247,GOVQZMHT,58500,4510602,704466331,268837938,50.5,val_1699_01247,2.291,696,4.393,val_1699_01247,val_1699_01247,val_1699_01247,MHA,457502116,1,680703,0
2018,GOV16901248,GOV52MBO,28057,301718636,442524297,52663210,8.51,val_1699_01248,3.207,162,1.066,val_1699_01248,val_1699_01248,val_1699_01248,MHA,2114415,0,510141,0
2011,GOV16901249,GOVD6SGZ,707352,49116,31692,13782522,38.89,val_1699_01249,4.245,2879,1.967,val_1699_01249,val_1699_01249,val_1699_01249,MoRD,415042,1,509115,0
2016,GOV16901250,GOVQ34QV,71350,564254,342203398,59620663,3.71,val_1699_01250,4.25,302,1.811,val_1699_01250,val_1699_01250,val_1699_01250,MeitY,45020,1,10382,0
2014,GOV16901251,GOVPBHEP,552789,46787718,4426868,393904,80.17,val_1699_01251,4.904,3228,0.679,val_1699_01251,val_1699_01251,val_1699_01251,DoPT,530403,1,753130,1
2023,GOV16901252,GOV4D7QT,53949685,666586,7812410,71737,63.26,val_1699_01252,1.858,1215,0.818,val_1699_01252,val_1699_01252,val_1699_01252,MoRD,47179290,0,39747773,1
2016,GOV16901253,GOVRJ6HR,4504901,6335790,520494368,292767270,31.63,val_1699_01253,4.145,3447,3.478,val_1699_01253,val_1699_01253,val_1699_01253,MoRD,30086,1,5367342,0
2017,GOV16901254,GOVYDJYP,7937479,5053467,63643943,4435529,34.29,val_1699_01254,4.998,664,3.414,val_1699_01254,val_1699_01254,val_1699_01254,MNRE,646308830,0,620512540,0
2013,GOV16901255,GOVGAVO1,50190043,26065,5012664,7496670,27.89,val_1699_01255,2.631,2072,3.705,val_1699_01255,val_1699_01255,val_1699_01255,MeitY,614193,1,88343295,0
2019,GOV16901256,GOVH581F,50004413,312743,854938270,27185,42.0,val_1699_01256,2.095,772,3.816,val_1699_01256,val_1699_01256,val_1699_01256,MoHFW,438233999,1,571277208,0
2010,GOV16901257,GOVWQVHG,52118611,95166813,391135,390029884,75.43,val_1699_01257,4.568,1952,4.726,val_1699_01257,val_1699_01257,val_1699_01257,MoRTH,4570579,1,29647032,1
2010,GOV16901258,GOVMTGW8,402879677,3639210,6298216,5582996,38.88,val_1699_01258,1.761,3641,0.076,val_1699_01258,val_1699_01258,val_1699_01258,MoHUA,35065490,0,522943078,0
2019,GOV16901259,GOVTSAVP,464531,68587,1673828,51778,26.85,val_1699_01259,1.925,2535,0.445,val_1699_01259,val_1699_01259,val_1699_01259,MoHFW,5502006,0,459224895,1
2025,GOV16901260,GOVLIVMS,5278356,88601,474392073,56072,50.08,val_1699_01260,0.449,3549,2.031,val_1699_01260,val_1699_01260,val_1699_01260,MeitY,226518,1,44250,1
2017,GOV16901261,GOVE7AL4,422947,41615,5834843,468064395,37.07,val_1699_01261,1.782,603,0.091,val_1699_01261,val_1699_01261,val_1699_01261,MNRE,478110,1,48005,1
2026,GOV16901262,GOV5JJGJ,586932013,6553415,47795587,58502,96.13,val_1699_01262,2.493,3452,3.317,val_1699_01262,val_1699_01262,val_1699_01262,DoPT,47931259,1,671060891,1
2022,GOV16901263,GOVTKV3D,525980081,41477327,8570459,73962768,1.02,val_1699_01263,3.02,1659,4.924,val_1699_01263,val_1699_01263,val_1699_01263,MoHFW,84519,0,442902295,1
2024,GOV16901264,GOV5G0NS,99713,754841689,828365,429322867,80.07,val_1699_01264,4.589,2734,4.947,val_1699_01264,val_1699_01264,val_1699_01264,MoRD,41957121,1,560474,0
2012,GOV16901265,GOVDG22M,452310147,5582970,482674,104282669,93.61,val_1699_01265,3.054,1267,0.368,val_1699_01265,val_1699_01265,val_1699_01265,MoHUA,309631549,1,532327115,0
2025,GOV16901266,GOV7BETW,50578206,5974809,6882999,62940,72.26,val_1699_01266,1.02,2201,0.656,val_1699_01266,val_1699_01266,val_1699_01266,MOF,39142116,1,403305,1
2010,GOV16901267,GOV9J8NW,83896,743627,1865616,648722558,2.17,val_1699_01267,2.309,189,1.601,val_1699_01267,val_1699_01267,val_1699_01267,MOF,608694761,1,29460430,0
2020,GOV16901268,GOVQIJ05,404979,39013,47618460,5680764,76.61,val_1699_01268,3.295,2166,2.638,val_1699_01268,val_1699_01268,val_1699_01268,MoHUA,5187516,1,53568,0
2024,GOV16901269,GOV9OXI0,99452,5567419,585375544,78959193,5.24,val_1699_01269,0.247,1915,2.45,val_1699_01269,val_1699_01269,val_1699_01269,MNRE,296803887,0,172365671,1
2012,GOV16901270,GOV3VBSQ,479344365,68685,8496672,6372903,1.24,val_1699_01270,3.865,3526,2.549,val_1699_01270,val_1699_01270,val_1699_01270,MHA,58963,0,38857280,1
2022,GOV16901271,GOVSXZTW,652192,763589120,760856329,504042891,10.01,val_1699_01271,0.647,380,4.073,val_1699_01271,val_1699_01271,val_1699_01271,DoPT,386032847,0,781479,1
2014,GOV16901272,GOVIG7AN,186539,3046148,424135,66759751,92.04,val_1699_01272,1.795,3503,3.742,val_1699_01272,val_1699_01272,val_1699_01272,MoHUA,36051,0,3723606,1
2023,GOV16901273,GOVY8MEA,7039189,578121570,116865500,468071,94.97,val_1699_01273,3.854,1384,4.338,val_1699_01273,val_1699_01273,val_1699_01273,MOF,596856907,0,79422991,1
2017,GOV16901274,GOVA75OG,40639129,9759073,490626,492254,61.89,val_1699_01274,3.827,2084,2.254,val_1699_01274,val_1699_01274,val_1699_01274,DoPT,56829,1,499125,0
2020,GOV16901275,GOV6MKXB,3713620,5014504,86179,674681841,22.98,val_1699_01275,0.302,3461,0.098,val_1699_01275,val_1699_01275,val_1699_01275,MoE,613761391,1,48712,0
2015,GOV16901276,GOVNEXMI,70462,21981765,35635894,610483330,68.63,val_1699_01276,3.385,3480,0.276,val_1699_01276,val_1699_01276,val_1699_01276,MoRTH,388760922,0,593978,1
2016,GOV16901277,GOVR88R1,11810,4725546,6069787,64883368,94.04,val_1699_01277,1.066,1135,0.765,val_1699_01277,val_1699_01277,val_1699_01277,MoHFW,594228436,1,40658744,1
2011,GOV16901278,GOVIZSFQ,289935,36922,51393186,6143748,22.39,val_1699_01278,3.773,2635,4.941,val_1699_01278,val_1699_01278,val_1699_01278,MoRTH,240751886,1,464577744,1
2026,GOV16901279,GOVLH4H3,51332,456547192,24024998,44594,26.38,val_1699_01279,1.091,1561,3.593,val_1699_01279,val_1699_01279,val_1699_01279,MoRD,775530,1,5065736,1
2026,GOV16901280,GOVVJV2Z,52135368,913931711,24432909,503742265,16.23,val_1699_01280,3.95,2679,4.492,val_1699_01280,val_1699_01280,val_1699_01280,MNRE,6248330,1,78227273,1
