house_social_reference_year,house_social_country_iso2,house_social_region_nuts_code,house_social_social_housing_stock_count,house_social_social_housing_share_pct,house_social_new_units_completed_count,house_social_renovated_units_count,house_social_waitlist_households_count,house_social_average_wait_time_months,house_social_allocation_rule_code,house_social_income_threshold_eur,house_social_rent_setting_rule_code,house_social_rent_level_eur_median,house_social_energy_efficiency_upgrade_flag,house_social_state_aid_compliance_flag,house_social_public_investment_eur,house_social_eu_funding_support_eur,house_social_data_source,house_social_last_update_date,house_social_data_extract_date
2014,LV,IT71,341605,25.72,11871,5181,87130,59.52,LOCAL_PRIORITY,16076.35,CAPPED_RENT,564.34,0,0,3013659030.13,1662684796.34,HOUSING_AUTHORITY_ADMIN,2010-11-11,2024-09-24
2015,PL,EE64,3260901,12.62,33492,65846,382337,77.07,MIXED_MODEL,25177.39,MARKET_DISCOUNTED,552.32,1,1,4706143875.19,1620718795.56,MINISTRY_HOUSING_REPORT,2010-12-04,2026-01-21
2016,ES,FI898,2597585,12.93,30489,97511,360567,31.56,POINTS_BASED,15430.63,COST_BASED,1049.15,0,1,8133192509.66,1116070600.5,SOCIAL_HOUSING_REGISTER,2010-12-27,2024-09-28
2017,HR,DK41,1339398,7.44,58342,63289,422896,12.67,NEEDS_BASED,19809.81,FIXED_GRID,1089.8,0,1,10955738542.34,247683555.51,AUDIT_REPORT,2011-01-19,2024-01-14
2018,FI,PT238,1044615,14.36,8400,23016,265750,29.11,LOTTERY,75006.55,INCOME_RELATED,1496.1,1,0,9164029226.74,1397636860.44,HOUSING_AUTHORITY_ADMIN,2011-02-11,2025-04-04
2019,IE,EE67,810163,18.81,43084,48771,174301,16.72,LOCAL_PRIORITY,67062.55,CAPPED_RENT,1092.82,1,1,8641756905.24,1740703743.93,MINISTRY_HOUSING_REPORT,2011-03-06,2025-10-31
2020,MT,NL882,3369505,15.55,201314,55548,454792,96.95,MIXED_MODEL,39799.1,MARKET_DISCOUNTED,742.2,1,1,5815313478.67,429740911.56,SOCIAL_HOUSING_REGISTER,2011-03-29,2026-01-02
2021,SK,ES121,805586,20.76,29786,66247,54565,59.71,POINTS_BASED,13881.14,COST_BASED,526.85,0,0,1741894632.61,2523346995.75,AUDIT_REPORT,2011-04-21,2025-03-07
2022,BE,SI62,1434668,17.27,55854,114356,160571,68.17,NEEDS_BASED,19373.86,FIXED_GRID,774.47,1,1,4557922444.96,2604914137.32,HOUSING_AUTHORITY_ADMIN,2011-05-14,2024-12-26
2023,DK,LT715,2049655,14.49,76619,70682,378194,50.85,LOTTERY,64988.69,INCOME_RELATED,834.89,0,1,1398088414.55,1633888722.51,MINISTRY_HOUSING_REPORT,2011-06-06,2025-08-29
2024,GR,LV60,1871623,9.05,48023,70337,186199,4.08,LOCAL_PRIORITY,38479.75,CAPPED_RENT,266.04,0,0,998926919.81,453075784.84,SOCIAL_HOUSING_REGISTER,2011-06-29,2024-07-04
2025,LT,FI94,811150,18.65,30178,64290,51662,28.4,MIXED_MODEL,24266.26,MARKET_DISCOUNTED,1770.62,0,1,2285930945.76,671254301.49,AUDIT_REPORT,2011-07-22,2024-07-02
2006,PT,RO893,2414053,2.56,95048,65452,326816,69.36,POINTS_BASED,36203.01,COST_BASED,1174.65,1,1,1825887411.18,503270882.93,HOUSING_AUTHORITY_ADMIN,2011-08-14,2025-04-04
2007,SE,ES776,374140,18.59,18741,19040,65554,70.51,NEEDS_BASED,76454.71,FIXED_GRID,835.09,0,1,7979113195.78,224581574.9,MINISTRY_HOUSING_REPORT,2011-09-06,2024-11-13
2008,CY,DK3,1497784,26.02,29727,105775,289617,79.87,LOTTERY,77103.2,INCOME_RELATED,796.09,1,1,1154120230.82,1044457960.96,SOCIAL_HOUSING_REGISTER,2011-09-29,2024-07-24
2009,FR,MT3,1940215,10.38,108342,138211,199916,46.27,LOCAL_PRIORITY,44567.39,CAPPED_RENT,969.38,0,1,42061103.52,339251658.62,AUDIT_REPORT,2011-10-22,2025-08-05
2010,IT,FR875,1704697,14.52,84863,63222,424558,24.16,MIXED_MODEL,49670.42,MARKET_DISCOUNTED,717.52,1,1,2619543890.79,125776196.4,HOUSING_AUTHORITY_ADMIN,2011-11-14,2025-01-19
2011,NL,LU955,1735877,27.92,55159,31058,90993,3.31,POINTS_BASED,41556.95,COST_BASED,1162.74,0,1,5488567077.88,26293858.61,MINISTRY_HOUSING_REPORT,2011-12-07,2025-04-06
2012,SI,AT77,251374,24.21,14399,16912,35424,29.73,NEEDS_BASED,51409.04,FIXED_GRID,1190.94,1,1,3846341587.08,543405153.26,SOCIAL_HOUSING_REGISTER,2011-12-30,2026-02-14
2013,BG,GR487,2206310,14.29,75918,131937,413293,88.33,LOTTERY,72497.42,INCOME_RELATED,1119.95,1,0,2140573881.87,488725256.27,AUDIT_REPORT,2012-01-22,2024-02-28
2014,EE,EE197,2971002,17.04,42359,247291,88090,71.53,LOCAL_PRIORITY,44588.79,CAPPED_RENT,1113.44,0,1,484216063.76,166347754.66,HOUSING_AUTHORITY_ADMIN,2012-02-14,2024-12-21
2015,HU,HR752,320014,27.8,9816,15036,111529,27.1,MIXED_MODEL,74033.36,MARKET_DISCOUNTED,1533.75,1,1,7147527897.93,906764189.44,MINISTRY_HOUSING_REPORT,2012-03-08,2024-08-05
2016,LU,IT76,2526645,16.89,22117,124145,420383,33.6,POINTS_BASED,45513.5,COST_BASED,427.15,1,1,2193174272.55,798285875.41,SOCIAL_HOUSING_REGISTER,2012-03-31,2025-10-07
2017,RO,CY2,972950,15.18,53558,22757,355948,73.8,NEEDS_BASED,35234.69,FIXED_GRID,192.22,0,1,12206703.21,1118685966.78,AUDIT_REPORT,2012-04-23,2024-01-04
2018,AT,LV6,1329962,24.99,5654,23135,389173,46.01,LOTTERY,53686.02,INCOME_RELATED,1456.98,1,1,8808812504.33,713496874.39,HOUSING_AUTHORITY_ADMIN,2012-05-16,2025-05-11
2019,CZ,DK14,1379799,19.35,79054,17323,198250,45.04,LOCAL_PRIORITY,53526.06,CAPPED_RENT,1271.39,0,1,6113445972.03,1128401121.45,MINISTRY_HOUSING_REPORT,2012-06-08,2026-02-10
2020,DE,SE67,2998506,14.12,59208,141767,412389,73.64,MIXED_MODEL,22872.16,MARKET_DISCOUNTED,752.11,1,0,12283313899.67,619414979.97,SOCIAL_HOUSING_REGISTER,2012-07-01,2025-02-28
2021,LV,MT232,2695101,5.05,86490,218150,459316,32.02,POINTS_BASED,76766.65,COST_BASED,1111.89,0,1,912951524.22,640776043.36,AUDIT_REPORT,2012-07-24,2025-11-13
2022,PL,PL359,2285407,7.48,76603,22628,417106,62.07,NEEDS_BASED,54716.12,FIXED_GRID,356.06,0,1,7696540762.34,1122763508.98,HOUSING_AUTHORITY_ADMIN,2012-08-16,2025-11-27
2023,ES,HU26,1343304,15.74,5336,90980,392070,101.07,LOTTERY,18682.15,INCOME_RELATED,331.84,1,1,1102463827.52,2382317920.29,MINISTRY_HOUSING_REPORT,2012-09-08,2025-02-07
2024,HR,EE27,1414040,9.25,11845,64794,206935,87.81,LOCAL_PRIORITY,64268.99,CAPPED_RENT,486.51,1,1,1346691153.08,3328545694.66,SOCIAL_HOUSING_REGISTER,2012-10-01,2025-07-23
2025,FI,GR71,2873276,5.35,86388,104258,75048,29.35,MIXED_MODEL,39759.58,MARKET_DISCOUNTED,970.95,0,1,318973449.08,850787580.87,AUDIT_REPORT,2012-10-24,2024-05-06
2006,IE,FI207,19603,9.75,1167,983,265928,15.44,POINTS_BASED,71929.86,COST_BASED,1251.28,1,1,2010692109.46,747317249.4,HOUSING_AUTHORITY_ADMIN,2012-11-16,2024-10-05
2007,MT,MT188,2476202,17.71,34562,87451,327173,71.52,NEEDS_BASED,23767.77,FIXED_GRID,998.12,0,1,902819003.9,299493476.69,MINISTRY_HOUSING_REPORT,2012-12-09,2025-04-11
2008,SK,LU4,1280226,12.83,57614,29359,373290,91.12,LOTTERY,10800.63,INCOME_RELATED,1475.37,0,0,8263354552.95,437672422.82,SOCIAL_HOUSING_REGISTER,2013-01-01,2025-05-18
2009,BE,FI10,1576386,10.5,59224,74424,18224,17.07,LOCAL_PRIORITY,12838.98,CAPPED_RENT,375.88,1,1,241517926.77,608777639.65,AUDIT_REPORT,2013-01-24,2024-11-21
2010,DK,CY87,789875,27.84,42509,64770,394409,35.4,MIXED_MODEL,25790.54,MARKET_DISCOUNTED,1110.43,1,0,10207500283.75,32239101.55,HOUSING_AUTHORITY_ADMIN,2013-02-16,2025-08-22
2011,GR,GR828,241125,6.32,14424,15179,323498,94.53,POINTS_BASED,34608.74,COST_BASED,1022.09,1,1,508402537.24,10529671.32,MINISTRY_HOUSING_REPORT,2013-03-11,2025-12-06
2012,LT,LV8,2168246,25.88,24180,102083,420290,35.13,NEEDS_BASED,24658.36,FIXED_GRID,664.52,1,1,5385079566.29,295234547.33,SOCIAL_HOUSING_REGISTER,2013-04-03,2026-02-20
2013,PT,NL562,1046959,17.65,53086,89312,143907,64.96,LOTTERY,46108.28,INCOME_RELATED,1023.02,1,1,954173255.68,136400242.89,AUDIT_REPORT,2013-04-26,2025-01-05
2014,SE,EE647,679921,26.67,31028,55729,489768,80.99,LOCAL_PRIORITY,22733.21,CAPPED_RENT,370.17,0,1,11531865494.73,2357747442.19,HOUSING_AUTHORITY_ADMIN,2013-05-19,2025-09-11
2015,CY,IE4,2105683,27.91,103167,158104,111678,65.14,MIXED_MODEL,55124.61,MARKET_DISCOUNTED,637.82,1,1,1839013123.41,1849435772.38,MINISTRY_HOUSING_REPORT,2013-06-11,2025-04-24
2016,FR,FR22,2183522,18.97,66364,47596,327553,64.65,POINTS_BASED,19003.94,COST_BASED,1157.25,0,1,760986032.11,1899648851.6,SOCIAL_HOUSING_REGISTER,2013-07-04,2024-04-23
2017,IT,EE65,454059,23.97,23472,4693,281727,33.95,NEEDS_BASED,44085.89,FIXED_GRID,791.21,0,1,2946769789.61,2615673563.7,AUDIT_REPORT,2013-07-27,2024-01-03
2018,NL,FI3,866319,15.15,10445,65314,402751,6.77,LOTTERY,38851.96,INCOME_RELATED,314.39,0,1,5390924580.3,290895392.94,HOUSING_AUTHORITY_ADMIN,2013-08-19,2025-07-10
2019,SI,NL408,1068413,5.49,36353,90369,163510,35.17,LOCAL_PRIORITY,32381.8,CAPPED_RENT,1763.99,1,0,2939463673.96,1082410905.94,MINISTRY_HOUSING_REPORT,2013-09-11,2024-10-18
2020,BG,AT974,865622,9.13,34568,67842,78400,57.82,MIXED_MODEL,30076.58,MARKET_DISCOUNTED,623.93,0,1,9927899947.12,1253444681.49,SOCIAL_HOUSING_REGISTER,2013-10-04,2026-01-07
2021,EE,HR81,129350,6.07,6013,8512,78838,3.14,POINTS_BASED,24754.66,COST_BASED,588.98,1,1,6248057136.23,2387510512.53,AUDIT_REPORT,2013-10-27,2026-02-01
2022,HU,NL998,1738344,15.2,60884,48636,124175,24.91,NEEDS_BASED,19598.95,FIXED_GRID,889.88,0,1,1677379865.35,1089376661.77,HOUSING_AUTHORITY_ADMIN,2013-11-19,2024-03-12
2023,LU,LT93,1409998,15.58,9018,15525,103371,36.77,LOTTERY,47583.47,INCOME_RELATED,647.49,0,1,5221705792.78,66797401.3,MINISTRY_HOUSING_REPORT,2013-12-12,2025-07-04
2024,RO,LT270,213002,12.72,2008,656,198929,69.46,LOCAL_PRIORITY,62320.09,CAPPED_RENT,515.88,1,1,4351492423.39,126153398.6,SOCIAL_HOUSING_REGISTER,2014-01-04,2024-02-17
2025,AT,HR38,1596041,14.57,40507,63567,91131,50.79,MIXED_MODEL,40100.86,MARKET_DISCOUNTED,1008.1,1,0,1179754471.99,1421412000.68,AUDIT_REPORT,2014-01-27,2024-08-02
2006,CZ,SE619,533675,21.64,19781,5152,1073,23.91,POINTS_BASED,48292.85,COST_BASED,250.27,1,1,4820899259.84,931918478.4,HOUSING_AUTHORITY_ADMIN,2014-02-19,2025-11-08
2007,DE,MT842,2925642,5.36,135427,144668,327217,50.39,NEEDS_BASED,15896.06,FIXED_GRID,1274.52,0,1,2374379206.25,345398861.02,MINISTRY_HOUSING_REPORT,2014-03-14,2024-10-02
2008,LV,RO1,2998699,16.24,47536,44715,16003,19.39,LOTTERY,47564.32,INCOME_RELATED,479.07,0,1,4245026783.94,28715968.01,SOCIAL_HOUSING_REGISTER,2014-04-06,2025-08-08
2009,PL,EE38,844007,22.69,10772,47987,426822,64.23,LOCAL_PRIORITY,49416.14,CAPPED_RENT,630.92,1,1,4113776172.08,413137179.04,AUDIT_REPORT,2014-04-29,2025-05-21
2010,ES,DE46,2999932,2.21,39593,206424,341713,86.76,MIXED_MODEL,15323.17,MARKET_DISCOUNTED,251.95,0,1,2106169974.83,829140416.33,HOUSING_AUTHORITY_ADMIN,2014-05-22,2025-11-17
2011,HR,PT359,821965,23.46,45130,27994,153921,10.57,POINTS_BASED,66849.5,COST_BASED,660.17,0,1,8407951767.55,722462794.13,MINISTRY_HOUSING_REPORT,2014-06-14,2024-05-06
2012,FI,LV755,578484,15.21,32513,25983,235013,17.06,NEEDS_BASED,29961.83,FIXED_GRID,626.17,0,1,1539651354.57,553871876.85,SOCIAL_HOUSING_REGISTER,2014-07-07,2025-01-14
2013,IE,EE5,2081089,19.87,78064,182791,171833,11.13,LOTTERY,71415.74,INCOME_RELATED,587.65,1,1,368183495.39,678991814.27,AUDIT_REPORT,2014-07-30,2024-05-25
2014,MT,RO797,2171088,8.93,103271,190360,133349,31.55,LOCAL_PRIORITY,45571.1,CAPPED_RENT,690.15,1,1,12004089057.65,120703659.67,HOUSING_AUTHORITY_ADMIN,2014-08-22,2025-12-29
2015,SK,DE83,1611593,15.59,5241,32241,390356,52.58,MIXED_MODEL,49128.09,MARKET_DISCOUNTED,1395.72,1,1,2940800869.59,2623156684.93,MINISTRY_HOUSING_REPORT,2014-09-14,2024-01-22
2016,BE,EE73,279268,24.1,6044,17082,421530,17.07,POINTS_BASED,75756.89,COST_BASED,255.07,0,1,10178722335.35,2423834513.76,SOCIAL_HOUSING_REGISTER,2014-10-07,2026-01-30
2017,DK,HU699,796132,15.42,36562,24157,176034,8.71,NEEDS_BASED,66106.54,FIXED_GRID,565.3,0,1,153813208.92,2259974003.97,AUDIT_REPORT,2014-10-30,2025-01-28
2018,GR,AT387,1095686,14.22,60196,35297,181937,72.05,LOTTERY,45450.73,INCOME_RELATED,926.7,0,1,2964120544.99,2812225121.66,HOUSING_AUTHORITY_ADMIN,2014-11-22,2025-01-26
2019,LT,AT854,1832406,8.59,11496,121112,24198,42.57,LOCAL_PRIORITY,61796.08,CAPPED_RENT,744.67,1,1,5163377739.2,1380789950.74,MINISTRY_HOUSING_REPORT,2014-12-15,2025-10-23
2020,PT,LV708,833270,20.23,49008,59386,149753,39.44,MIXED_MODEL,73848.68,MARKET_DISCOUNTED,932.15,1,1,4589789197.79,1006934069.17,SOCIAL_HOUSING_REGISTER,2015-01-07,2025-10-29
2021,SE,FR4,2081657,17.5,84224,166449,459916,73.07,POINTS_BASED,75845.91,COST_BASED,364.02,0,1,4657097415.45,502032194.44,AUDIT_REPORT,2015-01-30,2025-08-02
2022,CY,LV43,1257440,2.35,49873,75958,214641,36.23,NEEDS_BASED,28037.01,FIXED_GRID,277.59,1,0,9377930801.7,1906662719.82,HOUSING_AUTHORITY_ADMIN,2015-02-22,2025-06-08
2023,FR,IT4,104830,11.61,379,7364,320850,16.32,LOTTERY,81971.36,INCOME_RELATED,534.44,0,1,8918519637.3,1117426884.69,MINISTRY_HOUSING_REPORT,2015-03-17,2024-04-28
2024,IT,PL5,2243050,27.01,130305,28009,258463,22.6,LOCAL_PRIORITY,71987.36,CAPPED_RENT,1932.58,1,1,6985649798.85,463458694.19,SOCIAL_HOUSING_REGISTER,2015-04-09,2024-05-15
2025,NL,LV130,755437,25.83,4107,31849,121557,58.18,MIXED_MODEL,24307.19,MARKET_DISCOUNTED,1247.26,0,1,4423465307.09,1304693596.99,AUDIT_REPORT,2015-05-02,2026-02-20
2006,SI,PT53,799143,18.87,27693,52141,320849,38.82,POINTS_BASED,51248.87,COST_BASED,1079.61,0,1,2800471653.49,486649503.15,HOUSING_AUTHORITY_ADMIN,2015-05-25,2025-03-31
2007,BG,BG939,2637267,8.4,112987,135165,303161,62.0,NEEDS_BASED,95556.89,FIXED_GRID,471.73,0,1,10447412433.55,106831743.56,MINISTRY_HOUSING_REPORT,2015-06-17,2025-06-16
2008,EE,LV452,1445848,12.7,66783,44083,141169,79.08,LOTTERY,42748.69,INCOME_RELATED,796.17,1,0,1625511350.68,458709743.24,SOCIAL_HOUSING_REGISTER,2015-07-10,2024-03-13
2009,HU,IE58,1719601,12.26,91863,32327,404705,35.77,LOCAL_PRIORITY,81540.1,CAPPED_RENT,1066.87,0,1,10332986689.69,752430641.4,AUDIT_REPORT,2015-08-02,2025-05-26
2010,LU,GR981,143370,21.15,8404,7473,275852,16.96,MIXED_MODEL,26524.79,MARKET_DISCOUNTED,388.19,1,1,2824365239.86,159158907.07,HOUSING_AUTHORITY_ADMIN,2015-08-25,2024-02-12
2011,RO,BE6,1444003,15.1,6277,47921,298268,66.79,POINTS_BASED,30678.42,COST_BASED,1027.98,1,1,5988943021.03,654929091.85,MINISTRY_HOUSING_REPORT,2015-09-17,2025-10-30
2012,AT,GR276,1811776,13.79,25148,55125,322083,80.49,NEEDS_BASED,88866.99,FIXED_GRID,1213.65,0,1,3358609680.62,107596063.22,SOCIAL_HOUSING_REGISTER,2015-10-10,2025-10-02
2013,CZ,DK2,2192922,25.92,118758,84868,56721,77.77,LOTTERY,45830.06,INCOME_RELATED,1087.55,1,1,4421268266.5,723125510.14,AUDIT_REPORT,2015-11-02,2025-06-28
2014,DE,SI865,1476289,24.92,64956,6324,367161,20.74,LOCAL_PRIORITY,60616.39,CAPPED_RENT,492.62,1,1,8139374466.23,1394216089.33,HOUSING_AUTHORITY_ADMIN,2015-11-25,2025-11-26
2015,LV,CZ8,2757386,11.33,15971,15540,61056,30.22,MIXED_MODEL,41570.87,MARKET_DISCOUNTED,348.46,1,0,5823161577.89,195353710.16,MINISTRY_HOUSING_REPORT,2015-12-18,2026-02-18
2016,PL,PT607,122899,2.61,1862,1891,166737,49.38,POINTS_BASED,74151.53,COST_BASED,530.27,1,0,1047103779.2,2147229778.87,SOCIAL_HOUSING_REGISTER,2016-01-10,2025-10-10
2017,ES,CZ9,99687,3.3,5427,4247,168423,32.33,NEEDS_BASED,39030.97,FIXED_GRID,704.86,1,1,677791148.63,1613214391.75,AUDIT_REPORT,2016-02-02,2024-08-06
2018,HR,HR136,2205983,17.6,122950,6872,63681,2.99,LOTTERY,42396.66,INCOME_RELATED,758.15,0,1,4483515951.17,165152542.51,HOUSING_AUTHORITY_ADMIN,2016-02-25,2024-02-15
2019,FI,IT246,2597340,17.38,110601,150040,176875,48.19,LOCAL_PRIORITY,44782.6,CAPPED_RENT,1209.04,0,1,4449422343.07,554131448.99,MINISTRY_HOUSING_REPORT,2016-03-19,2025-10-28
2020,IE,RO630,1906935,1.91,32237,56941,147646,60.32,MIXED_MODEL,54745.33,MARKET_DISCOUNTED,362.09,0,1,4740147718.37,2288061820.97,SOCIAL_HOUSING_REGISTER,2016-04-11,2024-12-12
2021,MT,LV58,2001297,13.65,72511,162941,374835,84.13,POINTS_BASED,79872.73,COST_BASED,903.57,1,1,2127320990.08,2802743550.57,AUDIT_REPORT,2016-05-04,2024-10-20
2022,SK,PL20,1057989,21.74,18051,23081,116585,77.17,NEEDS_BASED,47234.19,FIXED_GRID,505.01,1,1,3132250260.73,1290745644.82,HOUSING_AUTHORITY_ADMIN,2016-05-27,2024-10-28
2023,BE,ES363,377888,20.78,11418,3659,109107,49.62,LOTTERY,87335.19,INCOME_RELATED,230.81,1,1,7009532863.74,1867951829.23,MINISTRY_HOUSING_REPORT,2016-06-19,2025-03-20
2024,DK,DE84,2072767,3.27,118029,37027,40098,7.64,LOCAL_PRIORITY,37711.63,CAPPED_RENT,629.53,1,1,766426814.64,934325996.82,SOCIAL_HOUSING_REGISTER,2016-07-12,2025-03-23
2025,GR,RO402,2033235,21.14,33594,75972,255865,46.38,MIXED_MODEL,56240.14,MARKET_DISCOUNTED,240.04,1,1,4792333666.18,2811656083.35,AUDIT_REPORT,2016-08-04,2024-09-27
2006,LT,IT917,2500159,23.15,109742,117281,70077,53.66,POINTS_BASED,68181.43,COST_BASED,801.24,0,1,1829934112.87,386717638.12,HOUSING_AUTHORITY_ADMIN,2016-08-27,2024-05-28
2007,PT,FR925,399929,10.87,5288,9546,42973,30.47,NEEDS_BASED,48063.28,FIXED_GRID,320.58,1,0,2782832836.89,291700951.23,MINISTRY_HOUSING_REPORT,2016-09-19,2025-01-28
2008,SE,IT98,548995,18.15,30561,17044,221423,24.74,LOTTERY,83730.52,INCOME_RELATED,1149.09,1,1,7821322945.61,416782762.55,SOCIAL_HOUSING_REGISTER,2016-10-12,2024-08-07
2009,CY,SE29,2285382,26.46,135194,99257,355761,97.99,LOCAL_PRIORITY,56003.46,CAPPED_RENT,1414.72,1,1,6443147098.34,385590443.91,AUDIT_REPORT,2016-11-04,2024-04-02
2010,FR,NL631,787487,1.23,43770,41902,235690,90.6,MIXED_MODEL,11370.83,MARKET_DISCOUNTED,795.96,0,1,1295472459.03,280040851.76,HOUSING_AUTHORITY_ADMIN,2016-11-27,2025-05-10
2011,IT,MT485,1386965,9.14,73318,32273,183806,37.64,POINTS_BASED,40040.93,COST_BASED,1398.44,0,1,478903240.02,594856323.22,MINISTRY_HOUSING_REPORT,2016-12-20,2024-08-22
2012,NL,EE729,1881739,15.65,40126,47533,384019,9.1,NEEDS_BASED,47012.44,FIXED_GRID,1344.38,1,1,6259652693.87,293427344.66,SOCIAL_HOUSING_REGISTER,2017-01-12,2024-12-27
2013,SI,BG431,1451662,1.17,86470,127479,198534,14.41,LOTTERY,45448.82,INCOME_RELATED,1511.86,1,1,2075231064.0,238828619.45,AUDIT_REPORT,2017-02-04,2025-09-09
2014,BG,HR69,1683554,22.64,95874,39700,180919,42.06,LOCAL_PRIORITY,18256.58,CAPPED_RENT,1000.83,0,1,1136536153.27,1721629864.53,HOUSING_AUTHORITY_ADMIN,2017-02-27,2026-01-28
2015,EE,CZ512,2074612,26.61,123098,106368,377970,24.52,MIXED_MODEL,50031.49,MARKET_DISCOUNTED,1423.92,1,1,3192562177.23,45600056.15,MINISTRY_HOUSING_REPORT,2017-03-22,2024-10-29
2016,HU,IT950,1727649,3.28,92049,70387,278215,51.19,POINTS_BASED,41734.61,COST_BASED,1191.7,0,1,6431156329.06,3240180037.34,SOCIAL_HOUSING_REGISTER,2017-04-14,2024-06-24
2017,LU,BE58,1503944,22.61,84039,20291,16595,42.35,NEEDS_BASED,84671.85,FIXED_GRID,220.11,1,1,63898327.76,1050420946.72,AUDIT_REPORT,2017-05-07,2025-01-12
2018,RO,DE54,213654,11.8,11520,5224,352343,84.58,LOTTERY,66674.51,INCOME_RELATED,978.02,1,1,6852079744.26,1017004885.69,HOUSING_AUTHORITY_ADMIN,2017-05-30,2024-10-28
2019,AT,SE201,3132487,19.36,168719,12218,435316,93.72,LOCAL_PRIORITY,25470.51,CAPPED_RENT,952.61,1,1,389292201.67,1319539417.04,MINISTRY_HOUSING_REPORT,2017-06-22,2024-06-09
2020,CZ,PT784,1617928,12.89,9221,57664,159464,50.1,MIXED_MODEL,70690.52,MARKET_DISCOUNTED,1431.54,0,0,6566247938.66,3584409131.54,SOCIAL_HOUSING_REGISTER,2017-07-15,2025-09-11
2021,DE,EE163,1000955,10.0,45808,80231,531364,18.22,POINTS_BASED,20421.93,COST_BASED,1442.42,0,1,7244017158.11,354621601.81,AUDIT_REPORT,2017-08-07,2024-08-19
2022,LV,SE597,1924846,11.24,77310,80265,256137,30.94,NEEDS_BASED,25534.1,FIXED_GRID,806.08,1,1,958245014.18,515880418.67,HOUSING_AUTHORITY_ADMIN,2017-08-30,2024-11-06
2023,PL,MT573,1541118,16.46,69556,10670,312717,89.34,LOTTERY,69186.54,INCOME_RELATED,1210.91,1,0,6334058213.01,953188817.39,MINISTRY_HOUSING_REPORT,2017-09-22,2024-12-24
2024,ES,DK5,1172948,14.95,24307,37280,61554,15.28,LOCAL_PRIORITY,50325.44,CAPPED_RENT,677.89,1,1,8197474920.48,735292318.9,SOCIAL_HOUSING_REGISTER,2017-10-15,2025-03-02
2025,HR,ES46,1381158,19.97,48045,111747,1881,68.96,MIXED_MODEL,13966.58,MARKET_DISCOUNTED,501.69,1,0,1188659385.17,1263715040.61,AUDIT_REPORT,2017-11-07,2024-11-25
2006,FI,AT97,2451321,22.83,11702,96016,6310,37.81,POINTS_BASED,30137.43,COST_BASED,1543.68,0,0,4101181885.71,847144561.19,HOUSING_AUTHORITY_ADMIN,2017-11-30,2024-06-13
2007,IE,LU5,2037566,16.19,33100,100238,352605,74.2,NEEDS_BASED,56283.26,FIXED_GRID,394.15,0,1,5592537803.17,33501796.63,MINISTRY_HOUSING_REPORT,2017-12-23,2024-05-17
2008,MT,DE981,984483,16.44,50224,61032,621825,80.61,LOTTERY,53269.42,INCOME_RELATED,649.63,1,0,11930589578.6,253831747.67,SOCIAL_HOUSING_REGISTER,2018-01-15,2025-09-18
2009,SK,FI59,1093453,20.23,62864,13083,401139,52.46,LOCAL_PRIORITY,25768.85,CAPPED_RENT,864.39,0,1,6768432022.18,595984812.3,AUDIT_REPORT,2018-02-07,2024-12-16
2010,BE,BG15,588570,22.49,11425,49620,357237,60.4,MIXED_MODEL,78728.83,MARKET_DISCOUNTED,811.4,1,1,4186180688.27,358192287.34,HOUSING_AUTHORITY_ADMIN,2018-03-02,2025-09-07
2011,DK,GR4,114709,7.24,2960,492,365124,73.75,POINTS_BASED,36170.18,COST_BASED,818.01,1,1,6926237856.88,643950986.11,MINISTRY_HOUSING_REPORT,2018-03-25,2024-06-04
2012,GR,AT82,123234,9.25,2962,6687,432575,24.83,NEEDS_BASED,60101.35,FIXED_GRID,1317.96,1,1,9867492794.31,121561298.61,SOCIAL_HOUSING_REGISTER,2018-04-17,2024-03-09
2013,LT,LT22,2737835,16.23,96038,173586,474461,15.76,LOTTERY,38161.27,INCOME_RELATED,575.61,1,1,8172439823.64,1068578055.99,AUDIT_REPORT,2018-05-10,2024-10-20
2014,PT,CY449,114320,1.34,1190,8697,120654,27.33,LOCAL_PRIORITY,18164.38,CAPPED_RENT,1100.67,0,1,3257328348.19,1547123607.68,HOUSING_AUTHORITY_ADMIN,2018-06-02,2024-06-28
2015,SE,AT11,780855,15.93,25345,61363,228818,30.72,MIXED_MODEL,83619.47,MARKET_DISCOUNTED,1543.32,1,1,6582171135.81,612876867.02,MINISTRY_HOUSING_REPORT,2018-06-25,2024-07-30
2016,CY,LT13,2598442,11.8,46683,92118,277921,56.85,POINTS_BASED,20430.36,COST_BASED,1155.61,0,1,3673425906.48,138155151.09,SOCIAL_HOUSING_REGISTER,2018-07-18,2024-02-15
2017,FR,GR45,481692,5.51,28254,30314,398872,46.76,NEEDS_BASED,27648.63,FIXED_GRID,727.6,0,1,10558293080.48,222877934.35,AUDIT_REPORT,2018-08-10,2025-03-01
2018,IT,HU67,1881093,20.25,87035,32855,393631,35.81,LOTTERY,23704.59,INCOME_RELATED,1263.39,0,0,5141074680.02,353096457.37,HOUSING_AUTHORITY_ADMIN,2018-09-02,2025-11-27
2019,NL,SK143,1341256,26.97,72526,116750,42816,27.67,LOCAL_PRIORITY,14026.36,CAPPED_RENT,854.5,1,1,349770430.18,290208177.11,MINISTRY_HOUSING_REPORT,2018-09-25,2024-11-08
2020,SI,SE711,1924494,23.33,77188,61423,475726,9.64,MIXED_MODEL,48633.83,MARKET_DISCOUNTED,945.41,1,1,4256997899.51,778576422.79,SOCIAL_HOUSING_REGISTER,2018-10-18,2024-06-30
