tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_nic,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_inr,tax_incent_credits_claimed_inr,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_inr,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2019,INC-0297,EXPORT_REBATE,82,EXPORT_PROMOTE,3870,1667,37806737,33221953,171,5323,2655,10160727983,9399779601,1,6057899,60.35,14239.83,0,2033-03-09
2021,INC-2978,EXPORT_REBATE,46,SKILL_DEV,4870,2251,453419775,188040330,3757,1295,1135,8514296502,6567404314,0,0,73.88,399488.79,0,2029-04-10
2021,INC-8889,TAX_HOLIDAY,46,R_AND_D,1121,945,12016988,7165491,1041,2007,667,12365494043,7581889927,0,0,83.93,18016.47,0,2027-10-26
2021,INC-3825,TAX_HOLIDAY,41,MANUF_UPGRADE,3516,2465,460781911,436722327,1871,868,519,19817275654,16727933298,0,0,85.86,887826.42,0,2031-08-08
2022,INC-2963,CAPEX_SUBSIDY,30,GREEN_TECH,3161,852,206393825,115377669,3634,4181,1097,17402770954,9430694901,0,0,74.86,188143.87,0,2033-08-19
2020,INC-7718,EXPORT_REBATE,39,EXPORT_PROMOTE,4586,977,182544753,169689761,927,6178,3760,9802923950,3568126321,0,0,96.68,48549.14,0,2026-03-07
2020,INC-1259,CAPEX_SUBSIDY,48,EXPORT_PROMOTE,596,175,16734794,9391237,3221,2730,2339,11322804085,4839264512,0,0,83.68,7154.68,1,2030-10-31
2020,INC-4167,GST_REFUND,59,EXPORT_PROMOTE,4504,2915,2771644,2363719,530,6890,4852,13135033785,4227341042,0,0,78.37,571.24,0,2030-11-30
2018,INC-3999,GST_REFUND,82,MSME_FORMALIZE,1157,506,239266844,222480793,1484,2526,1282,18990447447,15613967849,0,0,76.82,186635.6,0,2033-06-16
2019,INC-9865,TAX_HOLIDAY,36,GREEN_TECH,2585,2431,288356028,111341962,2671,110,81,4374006555,2600937768,0,0,68.5,3559950.96,1,2029-05-16
2022,INC-1457,INTEREST_SUBVENTION,89,MANUF_UPGRADE,2975,2370,334494481,205817190,1825,6779,4535,18730151173,8462427137,0,0,81.97,73758.43,0,2030-02-13
2021,INC-7979,INTEREST_SUBVENTION,56,R_AND_D,1134,336,437276864,169411563,2848,151,82,8687750301,5172219404,0,0,96.53,5332644.68,0,2030-02-28
2023,INC-1911,GST_REFUND,40,MSME_FORMALIZE,3668,788,132915336,69368093,175,443,90,18758078334,16987766913,0,0,62.55,1476837.07,1,2031-02-08
2024,INC-6857,TAX_HOLIDAY,92,MANUF_UPGRADE,1863,893,36710218,34216170,4955,499,301,6571556835,6203820426,0,0,99.86,121960.86,0,2032-04-27
2021,INC-3784,GST_REFUND,44,MANUF_UPGRADE,1087,784,191976429,151614849,2476,7797,1151,15356364672,7199513039,0,0,92.64,166790.99,0,2028-10-01
2019,INC-6188,TAX_HOLIDAY,76,MANUF_UPGRADE,2856,1540,283758439,200058411,1045,3931,616,6337764600,3839460474,0,0,76.85,460646.82,0,2031-01-01
2018,INC-9244,EXPORT_REBATE,94,EXPORT_PROMOTE,994,217,489298170,330463920,3019,7311,2237,9778608035,4702217154,0,0,62.17,218729.62,0,2028-12-03
2019,INC-9640,CAPEX_SUBSIDY,19,R_AND_D,4032,1442,373406805,279615563,2412,6680,1081,3708160609,2455650218,0,0,75.82,345427.2,0,2031-09-01
2018,INC-3082,TAX_HOLIDAY,32,EXPORT_PROMOTE,4313,1777,216490663,193019942,4370,1560,389,11473650850,3351087739,0,0,99.69,556531.27,0,2031-11-26
2021,INC-9498,GST_REFUND,28,R_AND_D,164,125,281163039,246152043,1495,6374,3849,18983166992,11950109386,0,0,88.09,73048.33,1,2033-12-28
2023,INC-0496,TAX_HOLIDAY,43,EXPORT_PROMOTE,3452,1093,381396442,363851212,427,3653,1655,17262295734,11724342925,0,0,85.17,230451.02,0,2031-02-13
2025,INC-5092,GST_REFUND,16,MSME_FORMALIZE,2268,972,22383068,10206705,2460,2798,1806,16505708899,13958582250,0,0,97.26,12393.73,0,2032-07-22
2019,INC-1302,CAPEX_SUBSIDY,18,EXPORT_PROMOTE,2036,1245,73092119,29439913,2216,1958,376,246564959,154916679,1,2798087,82.95,194393.93,1,2033-03-24
2020,INC-8480,INTEREST_SUBVENTION,89,R_AND_D,255,161,415733857,350754454,4714,1823,1409,5194910991,2638000622,0,0,66.25,295055.97,0,2033-05-20
2019,INC-1121,EXPORT_REBATE,79,MSME_FORMALIZE,3149,872,374979851,362902773,312,6115,1774,18119887546,17412196768,0,0,93.52,211375.34,1,2029-07-28
2021,INC-7305,CAPEX_SUBSIDY,36,SKILL_DEV,4809,1094,198041216,77927588,609,5911,4737,13766363966,5069493740,0,0,75.2,41807.31,0,2028-12-08
2024,INC-9238,EXPORT_REBATE,52,GREEN_TECH,4677,3453,492400997,279967502,4631,4221,2950,12910055794,10075218763,0,0,94.67,166915.59,0,2027-10-14
2022,INC-2102,EXPORT_REBATE,23,EXPORT_PROMOTE,1298,642,36218806,18792288,419,2607,2205,18113998780,7764171195,0,0,91.79,16425.76,0,2029-04-09
2022,INC-9243,CAPEX_SUBSIDY,88,GREEN_TECH,4781,966,150734787,68099293,3139,2954,2226,8301735930,2099414799,0,0,64.85,67715.54,0,2030-07-21
2019,INC-1012,GST_REFUND,17,MSME_FORMALIZE,479,406,404939889,204456203,470,1,0,5297863402,1546429526,0,0,87.26,404939889.0,0,2026-04-20
2022,INC-8952,GST_REFUND,73,MSME_FORMALIZE,864,189,13238993,5434530,2534,401,326,8449631705,6862184695,0,0,94.55,40610.41,0,2028-11-02
2019,INC-7070,CAPEX_SUBSIDY,58,GREEN_TECH,391,182,187057925,156618252,1589,1256,885,8938526667,7240399736,0,0,74.76,211364.89,0,2028-07-06
2019,INC-8712,CAPEX_SUBSIDY,29,GREEN_TECH,1713,1535,332830494,315895163,3502,1283,900,4142120873,3926052333,0,0,96.55,369811.66,0,2030-01-15
2023,INC-8673,CAPEX_SUBSIDY,28,SKILL_DEV,2205,1004,284573157,110411763,2849,6563,3671,17610092933,9152095506,0,0,82.3,77519.25,1,2029-07-18
2024,INC-7345,INTEREST_SUBVENTION,57,GREEN_TECH,2407,1642,332505935,273830585,606,3070,2100,592372085,575484872,0,0,74.59,158336.16,1,2026-09-15
2022,INC-7573,INTEREST_SUBVENTION,72,MANUF_UPGRADE,1959,1851,223467934,162716790,4228,3922,2751,12735672807,3222837403,0,0,97.42,81231.53,1,2026-07-25
2023,INC-8518,CAPEX_SUBSIDY,32,R_AND_D,4354,1226,463116904,281894814,4335,1594,1367,4416963535,2059464476,0,0,98.37,338783.4,1,2027-06-12
2023,INC-6465,EXPORT_REBATE,26,SKILL_DEV,4178,2070,201067272,113477519,1425,7391,2454,2431622889,2214128754,0,0,85.59,81934.5,0,2030-10-02
2023,INC-2740,TAX_HOLIDAY,60,SKILL_DEV,1105,528,102450417,80759275,3377,2392,2058,9299164878,4502043620,0,0,92.81,49781.54,1,2027-09-14
2018,INC-0611,TAX_HOLIDAY,50,MANUF_UPGRADE,1775,481,307477115,118455096,3823,1575,924,10774488346,8753368497,0,0,72.53,332767.44,0,2028-03-14
2019,INC-6769,EXPORT_REBATE,27,SKILL_DEV,2255,1024,325072474,127187981,4196,2216,1821,14942376438,7038462945,0,0,83.86,178513.17,1,2027-06-19
2022,INC-8297,EXPORT_REBATE,66,EXPORT_PROMOTE,1888,903,323542231,259441257,2869,1994,847,505534458,184844774,0,0,79.12,381986.11,1,2028-11-12
2019,INC-4894,GST_REFUND,13,GREEN_TECH,339,312,172898621,139522979,4724,6198,1194,7794496258,3509078790,0,0,85.22,144806.22,0,2028-03-03
2019,INC-7685,GST_REFUND,81,MSME_FORMALIZE,4604,1222,5656105,2574737,2820,4779,887,1186598122,988478181,0,0,88.64,6376.67,1,2028-05-01
2024,INC-1607,TAX_HOLIDAY,13,MSME_FORMALIZE,1662,1402,3469900,2059020,86,1756,1556,19782464125,13030013393,0,0,87.11,2230.01,0,2030-12-22
2018,INC-0894,GST_REFUND,33,EXPORT_PROMOTE,157,81,402613803,340197095,1734,5596,3471,17307972807,8165823022,0,0,73.31,115993.61,1,2032-09-04
2018,INC-7251,TAX_HOLIDAY,97,EXPORT_PROMOTE,3845,786,217787347,83069555,603,1952,1900,19475333307,16849518625,0,0,91.81,114624.92,1,2033-12-06
2020,INC-7025,INTEREST_SUBVENTION,69,R_AND_D,2380,1095,373011021,230635395,4483,4641,4505,8571397184,3528188791,0,0,73.5,82799.34,0,2030-07-18
2022,INC-6446,GST_REFUND,66,EXPORT_PROMOTE,4411,1465,230064691,153542527,1562,1702,1215,4963530536,3783580701,0,0,82.41,189353.66,1,2027-12-23
2019,INC-9962,GST_REFUND,19,GREEN_TECH,103,48,443941924,345336000,4455,1634,1271,2166393556,793590486,0,0,70.52,349285.54,0,2030-12-23
2022,INC-1907,GST_REFUND,71,MANUF_UPGRADE,1150,899,1342481,1000349,1698,7083,1564,15812072918,7717937606,0,0,64.14,858.36,0,2030-08-12
2023,INC-0832,EXPORT_REBATE,42,SKILL_DEV,1196,1035,162827519,69194661,584,677,115,15257715503,7020228607,0,0,76.14,1415891.47,0,2031-03-17
2025,INC-9193,INTEREST_SUBVENTION,92,EXPORT_PROMOTE,2229,695,417955882,281712756,4732,7895,5132,4816097200,2740908280,0,0,63.52,81441.13,1,2028-04-10
2023,INC-2371,CAPEX_SUBSIDY,30,GREEN_TECH,1489,1230,56145129,49960852,1557,3361,1721,19256248363,11440607351,0,0,93.93,32623.55,0,2032-08-19
2019,INC-0799,INTEREST_SUBVENTION,89,MANUF_UPGRADE,2561,1770,328877231,263940091,4212,4080,2232,10032700317,8455928795,0,0,87.4,147346.43,0,2027-04-02
2021,INC-3677,GST_REFUND,80,MSME_FORMALIZE,3606,743,468592473,247573121,1360,4945,4359,3449585505,2059870554,0,0,93.51,107499.99,0,2026-09-16
2018,INC-7593,CAPEX_SUBSIDY,33,GREEN_TECH,104,57,1790424,897572,4442,2403,278,2779016732,2489723662,0,0,92.23,6440.37,1,2032-02-22
2024,INC-5663,INTEREST_SUBVENTION,40,SKILL_DEV,2992,2383,35129250,26443541,4613,1184,1015,4341985851,4070826423,0,0,68.37,34610.1,1,2030-01-07
2021,INC-5879,TAX_HOLIDAY,70,MANUF_UPGRADE,3183,2170,85024461,51722353,1075,3059,2784,14637836007,10155279220,0,0,91.5,30540.4,0,2031-09-07
2023,INC-9089,EXPORT_REBATE,82,SKILL_DEV,1138,298,9422291,4299788,889,3546,563,9663351739,5669343657,0,0,66.35,16735.86,0,2027-01-01
2020,INC-3554,TAX_HOLIDAY,74,MANUF_UPGRADE,1198,867,173213051,61099827,3342,7301,2895,742577543,395574300,1,6726691,66.71,59831.8,0,2026-09-04
2024,INC-0541,CAPEX_SUBSIDY,37,R_AND_D,1708,640,66702344,60750838,3902,6601,6104,7408453266,5611280467,0,0,63.63,10927.64,0,2029-08-11
2020,INC-2038,CAPEX_SUBSIDY,30,MSME_FORMALIZE,2882,2520,490144097,432262501,284,6861,3105,16068906330,7574911002,0,0,75.36,157856.39,0,2028-07-31
2020,INC-4526,CAPEX_SUBSIDY,85,MSME_FORMALIZE,3084,2528,92059152,82938910,476,4383,3080,3827656472,2369407639,0,0,89.83,29889.34,1,2026-12-06
2023,INC-7966,INTEREST_SUBVENTION,13,GREEN_TECH,3566,1290,244942128,164261944,4172,6327,2806,11293613904,9064750635,0,0,87.43,87292.28,0,2027-11-05
2019,INC-2431,EXPORT_REBATE,19,R_AND_D,1493,1367,137879096,64824071,1285,1040,259,2886274442,1133881103,0,0,86.97,532351.72,0,2031-01-10
2025,INC-9392,EXPORT_REBATE,10,GREEN_TECH,2685,2050,461975451,305388386,991,5161,5036,6679355833,1978451360,0,0,77.96,91734.6,0,2033-09-24
2024,INC-6597,TAX_HOLIDAY,28,MANUF_UPGRADE,3250,2166,149622328,92471286,1780,7713,4647,133653876,82838416,0,0,94.57,32197.62,0,2027-11-01
2025,INC-1888,GST_REFUND,58,R_AND_D,798,648,248268459,189888801,3373,7939,6470,13928456849,8444748646,0,0,96.18,38372.25,0,2028-07-24
2025,INC-4487,GST_REFUND,66,SKILL_DEV,4786,1116,238484561,232284367,1672,1119,356,8460231739,7789106075,0,0,79.73,669900.45,0,2026-05-08
2024,INC-4301,GST_REFUND,80,SKILL_DEV,215,55,2457131,1181446,2434,7569,2712,2460675668,1253731847,1,252837,85.32,906.02,0,2032-07-14
2023,INC-0607,INTEREST_SUBVENTION,72,MSME_FORMALIZE,2259,1670,243039106,196887447,4104,3672,2277,844124573,248994447,0,0,64.32,106736.54,1,2028-06-22
2025,INC-8062,GST_REFUND,59,GREEN_TECH,1810,527,246122371,157597434,1961,2403,2061,5324116847,3196627188,0,0,69.65,119418.91,0,2028-04-08
2024,INC-4756,TAX_HOLIDAY,89,MSME_FORMALIZE,3256,2326,466704185,391234411,1780,7489,2704,19427140303,11730007810,0,0,94.7,172597.7,0,2029-10-11
2020,INC-4710,EXPORT_REBATE,31,MANUF_UPGRADE,1059,594,375622055,168828471,1495,2177,667,15403008837,14109254872,0,0,67.87,563151.51,0,2030-10-08
2023,INC-5914,EXPORT_REBATE,83,SKILL_DEV,2684,865,77049760,48485201,3907,763,670,8291167266,7883129508,0,0,61.62,114999.64,1,2033-09-07
2018,INC-0899,CAPEX_SUBSIDY,86,GREEN_TECH,1033,214,232983302,130803419,4097,2020,1892,4204053716,4006649462,0,0,63.97,123141.28,0,2028-01-31
2023,INC-1094,TAX_HOLIDAY,98,GREEN_TECH,2420,1033,387401445,243423895,3143,3200,2873,15359404991,5231325577,0,0,77.08,134842.13,0,2028-09-28
2022,INC-8928,GST_REFUND,81,SKILL_DEV,4318,1119,452549185,419686011,4327,4610,3933,5925656017,2092481634,0,0,66.24,115064.63,0,2032-06-22
2019,INC-8858,INTEREST_SUBVENTION,26,GREEN_TECH,483,255,306544599,213099136,485,5097,1384,10308359620,9488061360,0,0,95.64,221491.76,0,2033-08-08
2020,INC-1390,TAX_HOLIDAY,59,MANUF_UPGRADE,2972,1827,398747992,277104632,4561,4645,3664,11989630325,3397930569,1,116018672,95.69,108828.6,1,2030-06-26
2022,INC-5933,CAPEX_SUBSIDY,22,EXPORT_PROMOTE,810,712,297172914,116818771,4347,151,61,11075469485,4002591668,0,0,65.2,4871687.11,1,2027-06-20
2019,INC-8405,TAX_HOLIDAY,98,EXPORT_PROMOTE,2220,2068,350104162,229649982,33,765,399,5036164446,4921084245,0,0,67.07,877454.04,1,2026-11-08
2018,INC-3657,EXPORT_REBATE,82,R_AND_D,4812,1497,469885294,364863428,4708,5536,4811,18616309986,7557804079,0,0,97.55,97668.94,1,2032-05-12
2024,INC-2444,GST_REFUND,20,EXPORT_PROMOTE,3040,663,447778764,243895685,56,5049,2677,6018675391,5501506878,0,0,82.9,167268.87,0,2028-01-12
2023,INC-4144,EXPORT_REBATE,13,MSME_FORMALIZE,4698,1388,426046390,402687545,3689,2758,944,13327943967,10464121854,0,0,72.19,451320.33,1,2027-04-28
2025,INC-1401,EXPORT_REBATE,58,R_AND_D,1895,1752,138971894,120401731,769,7633,5812,8118874676,3699402189,0,0,75.35,23911.2,0,2027-07-08
2018,INC-8223,TAX_HOLIDAY,53,R_AND_D,396,153,294642415,285172528,2209,763,121,17426930467,8931599123,0,0,85.35,2435061.28,0,2028-11-07
2025,INC-4074,TAX_HOLIDAY,11,GREEN_TECH,2011,989,394391850,226074598,1677,2239,478,5308729440,2221403282,0,0,89.4,825087.55,1,2032-10-12
2025,INC-9138,GST_REFUND,42,MSME_FORMALIZE,3400,1206,145662450,98805760,2141,4645,1598,7557689053,7144626222,0,0,95.8,91152.97,1,2031-11-02
2021,INC-8036,TAX_HOLIDAY,32,MANUF_UPGRADE,869,520,206341280,153644026,662,2040,1629,10348840805,5654108050,0,0,71.34,126667.45,1,2033-06-17
2025,INC-6583,EXPORT_REBATE,20,R_AND_D,3480,1425,433289989,263959431,241,1842,463,6868011965,6070693433,1,62660650,69.77,935831.51,1,2030-12-04
2018,INC-8985,TAX_HOLIDAY,37,SKILL_DEV,3112,2543,356953908,175938379,4041,5654,639,14778965258,8783938807,0,0,63.84,558613.31,0,2032-10-17
2018,INC-6485,INTEREST_SUBVENTION,78,GREEN_TECH,3423,1916,81370441,44418742,2639,1492,1255,16834402009,11873551911,0,0,63.37,64837.0,0,2033-07-04
2022,INC-1159,CAPEX_SUBSIDY,54,EXPORT_PROMOTE,1635,892,93345591,70587890,2415,5514,3716,18221466469,17454111144,0,0,91.92,25119.91,0,2031-06-04
2019,INC-0208,CAPEX_SUBSIDY,79,GREEN_TECH,3858,1164,167181296,75975556,4191,6861,6582,9603199167,4549311020,0,0,79.87,25399.77,0,2029-03-29
2024,INC-0747,CAPEX_SUBSIDY,96,MANUF_UPGRADE,633,490,102343711,51184961,2553,4088,843,8932588054,5936682556,0,0,80.83,121404.16,0,2030-11-22
2022,INC-0598,CAPEX_SUBSIDY,57,GREEN_TECH,3698,3223,450167689,358204327,2253,3205,2478,12694724089,12408765740,0,0,67.9,181665.73,0,2029-06-20
2021,INC-2346,EXPORT_REBATE,69,MANUF_UPGRADE,963,289,172090562,73091039,1231,4775,2464,16879248194,6719010030,0,0,89.57,69841.95,0,2032-02-19
2019,INC-9888,TAX_HOLIDAY,44,MANUF_UPGRADE,992,794,8481967,3319138,1007,6331,5881,8057855246,2955323022,0,0,76.67,1442.27,0,2027-09-23
2019,INC-6829,INTEREST_SUBVENTION,42,MANUF_UPGRADE,2801,925,248160320,157315890,2805,6949,5997,3901165717,1531022113,0,0,98.41,41380.74,0,2027-01-20
2020,INC-7151,CAPEX_SUBSIDY,89,SKILL_DEV,3062,1823,61907587,43217137,1225,6892,945,2834144277,2583529905,0,0,93.88,65510.67,1,2027-03-25
2023,INC-4083,INTEREST_SUBVENTION,42,R_AND_D,2524,1698,175451190,95521681,760,2189,1108,2437039006,1075193724,0,0,85.48,158349.45,0,2033-04-10
2025,INC-4192,TAX_HOLIDAY,30,EXPORT_PROMOTE,4282,2849,113053196,53080459,2706,1795,1213,9404801807,5199897341,0,0,97.48,93201.32,0,2031-08-23
2021,INC-8563,CAPEX_SUBSIDY,88,R_AND_D,473,149,348374677,285038931,3484,4376,4227,3422673738,3229371133,0,0,89.58,82416.53,0,2030-10-02
2023,INC-1820,EXPORT_REBATE,69,MSME_FORMALIZE,3063,2042,484156076,425728680,1242,7540,5067,14332383939,10694632239,0,0,76.11,95550.83,1,2032-10-01
2023,INC-5347,CAPEX_SUBSIDY,48,MANUF_UPGRADE,2326,1731,331731415,316403409,1856,6822,3900,1302300192,632363960,0,0,86.02,85059.34,1,2027-03-27
2019,INC-3149,EXPORT_REBATE,64,R_AND_D,3484,2808,322485319,195267334,4587,5039,2282,12930015985,3840213193,0,0,69.69,141316.97,1,2030-12-25
2023,INC-1154,TAX_HOLIDAY,50,EXPORT_PROMOTE,2054,1453,331967057,136453349,3585,6313,2767,722654710,226201208,0,0,81.27,119973.64,1,2033-01-02
2023,INC-6851,GST_REFUND,60,SKILL_DEV,3188,942,299772188,244911098,2843,3385,1136,2549965346,1854410264,0,0,70.59,263883.97,0,2027-01-12
2020,INC-1544,CAPEX_SUBSIDY,71,MSME_FORMALIZE,4430,1478,413838063,399843310,4588,3310,553,990395793,415598996,0,0,68.72,748350.93,0,2030-09-27
2024,INC-6663,EXPORT_REBATE,16,MANUF_UPGRADE,1948,634,381580022,201380015,4727,7751,1313,18770275813,11724344465,0,0,96.09,290616.92,1,2027-12-27
2020,INC-7829,TAX_HOLIDAY,28,GREEN_TECH,3789,3560,454534170,236505807,3771,1882,1697,9145824892,7839480935,0,0,76.86,267845.71,0,2030-02-06
2022,INC-9420,TAX_HOLIDAY,56,SKILL_DEV,3940,1901,13334067,6024216,4439,453,193,5173372408,3305607281,0,0,78.55,69088.43,0,2028-04-06
2022,INC-7408,INTEREST_SUBVENTION,93,EXPORT_PROMOTE,1640,1273,151613695,56236911,1984,7510,3313,18238109149,6521281857,0,0,63.34,45763.26,0,2028-01-14
2021,INC-6563,EXPORT_REBATE,75,R_AND_D,2196,1360,9960203,8822379,1894,2928,1121,697352721,632811901,0,0,83.7,8885.11,1,2031-07-02
2022,INC-1304,INTEREST_SUBVENTION,83,GREEN_TECH,217,94,108576937,79286222,1826,7272,5583,18103666823,8763607325,0,0,97.31,19447.78,0,2026-08-08
2021,INC-7026,CAPEX_SUBSIDY,90,EXPORT_PROMOTE,4131,849,285473257,105314401,4792,60,53,15266125406,13605347015,0,0,76.68,5386287.87,0,2032-08-29
2023,INC-2428,CAPEX_SUBSIDY,24,MANUF_UPGRADE,3068,2702,18091538,8399775,3658,715,293,5831285620,5589480868,0,0,71.39,61745.86,1,2028-09-23
2023,INC-9735,GST_REFUND,34,GREEN_TECH,2798,2211,24364567,10117423,3345,7177,2011,17943887946,6578043552,0,0,65.94,12115.65,1,2031-12-22
2019,INC-9397,INTEREST_SUBVENTION,12,SKILL_DEV,3818,3432,404750388,184777314,3483,4785,3226,17746990664,17290933800,0,0,83.86,125465.09,1,2026-02-27
2023,INC-6028,GST_REFUND,76,EXPORT_PROMOTE,1285,703,194168006,83904727,1150,7790,6420,18640063059,18485520514,0,0,93.45,30244.24,1,2030-08-03
2025,INC-1173,CAPEX_SUBSIDY,61,EXPORT_PROMOTE,4367,2887,48176957,27401763,3980,3229,2201,16082867737,5888450650,0,0,65.46,21888.67,1,2031-06-25
2018,INC-7703,EXPORT_REBATE,74,SKILL_DEV,1211,950,207564503,163518083,4174,6174,3666,4138220293,4087325278,0,0,92.47,56618.8,0,2029-11-10
2018,INC-7627,INTEREST_SUBVENTION,84,R_AND_D,3623,2894,464335213,239415617,2947,2126,1682,10645475611,10017826265,0,0,86.18,276061.36,0,2031-08-15
2020,INC-6008,TAX_HOLIDAY,60,R_AND_D,74,43,431526130,253094442,3836,3157,2650,16878316918,13912868576,0,0,68.32,162840.05,1,2031-10-20
2022,INC-2916,GST_REFUND,92,EXPORT_PROMOTE,4814,1221,234821242,100231215,383,1507,876,1176868227,376225751,0,0,91.39,268060.78,1,2033-12-10
2024,INC-0448,GST_REFUND,22,EXPORT_PROMOTE,2127,685,357847188,145277269,1683,6791,3884,12726920003,12725199155,0,0,84.09,92133.67,0,2028-08-08
2024,INC-3403,TAX_HOLIDAY,83,MSME_FORMALIZE,3949,3496,155723708,92542363,458,7854,3597,18293139141,6556455081,0,0,80.85,43292.66,0,2026-04-04
2023,INC-6153,GST_REFUND,79,EXPORT_PROMOTE,269,69,23029826,14808248,1306,5152,1059,13382360346,7788252593,0,0,69.17,21746.77,0,2030-05-25
2023,INC-1305,EXPORT_REBATE,35,MSME_FORMALIZE,2064,427,105906446,85884194,1477,1334,338,9720370326,5891112576,0,0,83.56,313332.68,1,2031-07-03
2025,INC-1188,EXPORT_REBATE,30,SKILL_DEV,1992,1518,10214183,4716251,1742,6611,2119,14832168225,12542056980,1,960616,88.6,4820.28,0,2033-11-04
2019,INC-1749,TAX_HOLIDAY,26,EXPORT_PROMOTE,2093,420,453232115,258173873,645,7527,4989,11104124162,8087292106,0,0,80.29,90846.28,0,2027-08-13
2023,INC-8004,TAX_HOLIDAY,33,SKILL_DEV,4715,1607,339445057,240347152,1774,4290,1910,7271425265,6441777894,0,0,61.84,177719.93,0,2027-06-19
2020,INC-8814,TAX_HOLIDAY,47,EXPORT_PROMOTE,1968,707,286605213,232406254,1486,5860,2971,4011703159,3291835578,0,0,94.91,96467.59,0,2030-04-15
2022,INC-0394,INTEREST_SUBVENTION,95,R_AND_D,823,596,53016064,43869016,3110,1978,592,5456056589,1811015817,0,0,67.35,89554.16,0,2031-04-09
2022,INC-1545,CAPEX_SUBSIDY,81,GREEN_TECH,3796,903,344704364,301568541,3245,2793,879,15655193743,9844083165,0,0,83.79,392155.14,1,2027-11-25
2023,INC-0693,CAPEX_SUBSIDY,73,SKILL_DEV,4924,1455,40934561,37276618,2634,7011,4724,16646619831,12010740476,0,0,88.51,8665.23,1,2027-10-06
2021,INC-7836,INTEREST_SUBVENTION,25,SKILL_DEV,2608,885,412958081,288891798,2089,1817,1765,9850884885,6217361830,1,128600421,72.0,233970.58,0,2026-08-17
2021,INC-1746,TAX_HOLIDAY,70,MSME_FORMALIZE,1473,998,325432193,125929673,701,585,79,5523092912,3410427415,0,0,74.8,4119394.85,0,2026-03-19
2019,INC-0150,INTEREST_SUBVENTION,57,SKILL_DEV,1377,506,298602612,207881217,937,1657,745,8239526326,7068430676,0,0,84.07,400808.88,0,2031-06-22
2022,INC-4016,TAX_HOLIDAY,61,R_AND_D,2115,1770,356754527,143373562,4824,5965,3525,9295512656,8707827313,0,0,89.36,101206.96,0,2032-04-24
2023,INC-2101,CAPEX_SUBSIDY,39,R_AND_D,4108,2013,499218747,380803437,2604,1254,1003,2609943994,2033848663,0,0,86.01,497725.57,0,2032-11-24
2022,INC-9303,CAPEX_SUBSIDY,65,MSME_FORMALIZE,1640,919,24955636,12197231,3333,5252,3255,3370533382,3195533655,1,2017462,95.56,7666.86,0,2026-02-25
2024,INC-8448,INTEREST_SUBVENTION,24,GREEN_TECH,1357,654,123185346,77989315,1565,7361,4500,3220083082,1120080579,0,0,86.5,27374.52,0,2033-08-06
2023,INC-0165,INTEREST_SUBVENTION,87,R_AND_D,1761,882,25448567,18018204,1638,1232,303,6429332357,6316804855,1,1656261,99.51,83988.67,1,2027-07-21
2022,INC-7831,CAPEX_SUBSIDY,93,R_AND_D,1337,722,277266642,253543426,2264,7679,2052,568089277,171994471,0,0,82.67,135120.2,1,2033-11-20
2023,INC-8078,EXPORT_REBATE,74,SKILL_DEV,861,354,164691468,59899632,2157,2325,460,13147948096,8396658004,0,0,73.07,358024.93,0,2031-05-31
2022,INC-9706,EXPORT_REBATE,11,MANUF_UPGRADE,968,554,167375304,86089030,121,2917,2869,17649653984,15342884042,0,0,98.5,58339.25,0,2028-10-09
2023,INC-1933,CAPEX_SUBSIDY,89,GREEN_TECH,2152,1062,162936539,68822837,1778,2843,527,10976694825,9185956132,0,0,99.38,309177.49,0,2031-09-01
2024,INC-1689,TAX_HOLIDAY,83,EXPORT_PROMOTE,4741,1718,235747218,187789519,728,4419,1686,9999818313,9016477271,0,0,96.1,139826.35,0,2028-08-26
2019,INC-2525,TAX_HOLIDAY,81,GREEN_TECH,4586,3947,330771987,223766490,237,7281,3415,15081182347,12350244857,0,0,86.66,96858.56,0,2033-01-23
2018,INC-6541,EXPORT_REBATE,81,MSME_FORMALIZE,3102,891,60073059,34778751,4348,1440,456,6934002054,4563826497,0,0,74.62,131739.16,1,2032-02-17
2024,INC-5158,GST_REFUND,85,MANUF_UPGRADE,3572,883,95700853,43555165,3092,2628,1520,9955776218,8914244952,0,0,74.45,62961.09,1,2028-08-17
2019,INC-4772,INTEREST_SUBVENTION,47,SKILL_DEV,342,113,52189009,44653697,4497,2244,1782,5492438665,5084380241,0,0,70.05,29286.76,1,2027-09-16
2022,INC-7988,EXPORT_REBATE,45,SKILL_DEV,583,328,110540977,88520863,10,3191,3059,974141129,719564029,0,0,86.05,36136.31,0,2033-08-05
2023,INC-4968,EXPORT_REBATE,34,GREEN_TECH,3980,1669,221166881,94466810,3352,7961,1687,16885384418,14531848242,0,0,68.95,131100.7,1,2026-10-06
