ph_env_reference_year,ph_env_country_iso2,ph_env_region_nuts_code,ph_env_heatwave_days_count,ph_env_heat_related_mortality_count,ph_env_cold_spell_days_count,ph_env_air_pollution_attributable_deaths_count,ph_env_noise_exposure_l_den_share_pct,ph_env_urban_heat_island_index,ph_env_green_space_access_pct,ph_env_water_quality_compliance_pct,ph_env_bathing_water_quality_code,ph_env_chemical_exposure_indicator,ph_env_endocrine_disruptor_risk_index,ph_env_climate_adaptation_measures_count,ph_env_health_alert_system_flag,ph_env_data_source,ph_env_methodology_version,ph_env_revision_round,ph_env_data_extract_date
2009,FR,PT1,6,526,14,6198,15.37,5.32,64.39,80.1,POOR,28.3,40.52,20,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2026-01-24
2010,IT,IE74,12,1907,14,46957,31.13,2.12,33.67,86.31,UNKNOWN,18.23,36.27,30,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-06-07
2011,NL,DK29,8,491,17,47243,32.69,7.87,49.8,88.52,EXCELLENT,34.95,61.14,15,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-11-08
2012,SI,MT87,11,587,17,35724,28.19,4.42,47.27,77.05,GOOD,69.07,49.49,20,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-09-08
2013,BG,AT890,15,69,11,10337,31.07,6.73,19.88,83.42,SUFFICIENT,64.15,67.21,28,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-04-08
2014,EE,BG64,20,314,15,24870,25.9,1.32,63.02,84.53,POOR,68.9,82.44,64,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2026-02-06
2015,HU,CZ208,9,2085,21,14024,8.63,6.44,81.81,78.39,UNKNOWN,50.47,71.17,75,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-11-01
2016,LU,SE4,19,2020,12,22841,28.31,0.84,73.87,73.66,EXCELLENT,64.28,83.02,34,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-03-20
2017,RO,FR2,5,347,22,33062,15.74,3.15,53.84,81.04,GOOD,35.67,44.88,43,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-07-18
2018,AT,BE296,20,595,0,20810,20.24,4.58,52.87,80.57,SUFFICIENT,33.83,17.58,67,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-10-01
2019,CZ,PT29,19,581,15,39568,23.05,6.6,63.04,77.37,POOR,10.23,38.33,87,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-06-06
2020,DE,SI4,20,1873,7,2271,37.81,3.6,43.19,71.63,UNKNOWN,81.89,19.51,83,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-03-28
2021,LV,LU815,15,873,16,7687,36.24,6.22,77.84,95.72,EXCELLENT,13.1,47.71,66,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-05-09
2022,PL,GR20,18,1333,6,5117,21.15,1.47,54.9,81.1,GOOD,10.02,12.97,54,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2026-01-26
2023,ES,HU240,17,1543,12,17080,43.56,7.01,34.06,88.32,SUFFICIENT,13.84,26.34,67,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-12-21
2024,HR,SE363,28,36,0,2201,28.66,1.23,72.76,84.28,POOR,39.06,22.94,69,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-03-15
2025,FI,FI77,23,2114,0,19494,13.39,4.76,31.8,84.6,UNKNOWN,38.47,56.36,84,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2026-01-26
2006,IE,ES781,14,1495,20,6180,35.93,7.68,50.49,91.24,EXCELLENT,8.66,22.2,37,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-08-11
2007,MT,PL328,17,86,6,977,36.24,5.58,25.95,81.41,GOOD,42.76,28.37,25,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-04-30
2008,SK,DE6,11,18,12,1265,33.42,3.94,79.57,93.43,SUFFICIENT,30.95,73.49,18,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2026-01-02
2009,BE,FI9,18,3265,21,40027,37.2,1.33,76.72,89.31,POOR,9.9,11.08,49,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2026-01-16
2010,DK,IT343,3,536,3,12861,28.12,7.87,31.02,87.48,UNKNOWN,52.75,45.24,14,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-04-05
2011,GR,LU675,12,1381,8,9541,15.22,3.42,69.95,74.91,EXCELLENT,68.13,42.03,56,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-06-07
2012,LT,IT87,8,701,21,43251,11.76,3.42,21.26,79.33,GOOD,43.08,53.82,42,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-01-18
2013,PT,EE31,5,1180,21,23049,33.33,0.98,20.18,85.54,SUFFICIENT,49.9,11.06,53,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-12-04
2014,SE,RO53,19,1336,16,2227,18.96,1.09,71.3,90.68,POOR,45.89,12.36,23,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-06-04
2015,CY,HU905,12,300,5,22905,8.66,5.63,82.95,74.5,UNKNOWN,21.68,8.99,28,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-08-21
2016,FR,SK723,12,1298,9,2975,37.99,2.66,45.28,84.44,EXCELLENT,55.89,11.0,50,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2026-01-03
2017,IT,IT829,13,866,20,28408,17.42,2.26,81.31,75.36,GOOD,53.71,11.18,38,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-01-30
2018,NL,FI32,10,1314,5,27544,16.17,4.58,55.2,81.75,SUFFICIENT,29.69,62.01,80,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2026-02-20
2019,SI,IT3,17,1084,6,21961,21.93,4.88,66.27,86.04,POOR,7.81,48.92,19,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-10-24
2020,BG,BE368,29,2580,3,5463,13.29,0.51,76.2,77.33,UNKNOWN,34.48,38.53,7,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-05-02
2021,EE,CY2,29,5012,11,7172,23.1,4.18,36.03,95.87,EXCELLENT,62.24,85.23,73,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-08-01
2022,HU,DK8,15,1588,2,34016,6.74,1.81,64.47,91.63,GOOD,32.29,16.84,50,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2026-01-11
2023,LU,PL17,14,955,16,1896,17.71,5.41,72.53,88.91,SUFFICIENT,32.54,53.42,39,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-11-10
2024,RO,IE29,29,466,12,4890,25.68,3.65,38.62,86.42,POOR,60.84,57.35,80,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-06-10
2025,AT,PL98,18,3735,4,31163,19.69,6.69,70.69,88.34,UNKNOWN,26.22,12.56,122,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-04-13
2006,CZ,ES421,11,1231,24,25408,15.96,4.63,67.09,84.73,EXCELLENT,43.94,38.24,32,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-04-16
2007,DE,FI3,15,2703,8,43186,16.48,6.04,75.57,89.88,GOOD,45.09,26.2,51,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-03-18
2008,LV,HR911,10,2375,7,4522,7.6,3.43,56.85,72.99,SUFFICIENT,59.95,40.98,15,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-06-20
2009,PL,CZ112,3,387,23,8012,22.17,3.74,58.45,89.3,POOR,29.4,52.04,23,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2026-02-02
2010,ES,ES7,21,2153,20,41582,14.62,2.27,66.59,77.24,UNKNOWN,73.12,13.92,21,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-08-29
2011,HR,DK113,14,1358,13,1147,6.27,4.79,80.37,84.93,EXCELLENT,9.23,35.38,16,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-11-13
2012,FI,FR982,10,1213,11,1142,10.88,4.28,72.2,90.02,GOOD,17.21,33.03,28,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-10-01
2013,IE,RO46,14,648,7,17495,9.0,3.36,49.7,94.17,SUFFICIENT,23.96,9.03,31,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-05-28
2014,MT,CY7,4,294,18,24926,18.2,2.81,49.13,99.28,POOR,53.67,43.86,58,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-02-01
2015,SK,HR76,12,480,16,8076,33.32,2.04,60.29,78.28,UNKNOWN,24.76,20.66,17,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-02-12
2016,BE,PL82,8,299,8,13722,30.77,2.74,60.62,95.57,EXCELLENT,16.27,36.32,3,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-05-10
2017,DK,PT6,26,661,16,19778,11.36,1.34,61.06,85.04,GOOD,38.3,46.96,12,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-08-14
2018,GR,NL7,30,461,16,20509,29.69,5.25,42.82,90.05,SUFFICIENT,35.73,9.86,50,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-07-07
2019,LT,RO88,24,2554,10,10301,34.75,3.62,78.6,87.03,POOR,22.77,41.57,94,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-10-12
2020,PT,LT81,25,3188,1,1283,6.77,0.75,79.34,87.92,UNKNOWN,49.08,43.38,49,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2026-02-09
2021,SE,FR89,23,3292,4,14306,30.06,1.79,37.73,96.36,EXCELLENT,39.59,10.79,34,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2026-01-14
2022,CY,IE58,8,1254,3,10993,7.56,1.68,73.94,80.73,GOOD,51.21,63.84,77,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-09-10
2023,FR,AT41,23,2549,2,21700,41.86,1.73,22.12,75.88,SUFFICIENT,57.74,61.67,55,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-08-18
2024,IT,CZ2,18,2240,7,9246,18.72,6.34,83.57,91.99,POOR,72.83,32.82,30,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2026-01-24
2025,NL,DE58,21,277,6,26842,45.14,6.97,35.33,76.09,UNKNOWN,23.3,64.39,18,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-09-03
2006,SI,BE3,5,194,20,21166,20.99,3.09,66.31,75.35,EXCELLENT,48.73,72.63,39,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-04-01
2007,BG,CY907,6,221,19,7971,10.84,5.99,55.67,93.53,GOOD,32.76,34.9,18,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-10-01
2008,EE,GR743,2,212,25,14826,5.93,1.74,39.26,92.07,SUFFICIENT,11.03,9.89,50,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-03-26
2009,HU,LT957,2,180,11,8341,8.67,2.06,70.14,78.31,POOR,25.43,53.38,15,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-07-04
2010,LU,EE142,3,478,10,7589,20.44,2.89,43.21,91.47,UNKNOWN,42.04,41.54,46,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-01-12
2011,RO,DK898,3,145,17,9194,6.02,4.81,50.24,77.35,EXCELLENT,67.79,87.35,28,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-09-03
2012,AT,IT41,10,1007,6,6318,22.91,6.71,76.32,72.99,GOOD,33.52,12.6,52,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-11-24
2013,CZ,PL671,7,542,3,286,35.09,6.92,40.57,76.09,SUFFICIENT,45.5,10.31,51,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-05-14
2014,DE,LU72,20,1596,16,5241,19.6,3.77,35.13,77.91,POOR,18.34,51.28,18,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-12-20
2015,LV,ES171,14,2331,5,18788,6.06,1.6,44.03,76.79,UNKNOWN,58.29,79.96,36,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-02-08
2016,PL,DE305,10,1305,14,8092,30.99,2.83,38.73,83.53,EXCELLENT,37.95,18.86,72,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-04-12
2017,ES,RO7,15,669,19,29592,8.95,4.01,44.35,72.65,GOOD,38.29,65.58,37,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-03-09
2018,HR,EE764,2,53,21,31811,30.38,6.99,51.78,94.3,SUFFICIENT,8.86,24.4,67,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-07-29
2019,FI,DK937,18,3942,6,35944,6.43,5.86,44.44,91.43,POOR,27.7,22.19,40,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2026-01-23
2020,IE,PL57,28,2069,8,10828,29.8,1.73,74.06,97.01,UNKNOWN,70.38,87.05,80,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-12-19
2021,MT,RO680,12,1570,7,20647,29.19,1.61,36.55,98.35,EXCELLENT,53.71,88.85,23,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-05-26
2022,SK,PT55,12,622,17,24180,8.88,2.13,29.3,75.25,GOOD,60.39,25.43,89,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2026-02-25
2023,BE,ES43,17,978,16,2297,35.4,4.72,26.05,76.79,SUFFICIENT,42.02,36.31,41,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-11-26
2024,DK,PL30,10,180,14,14820,11.9,1.14,42.41,80.87,POOR,56.35,20.61,84,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-04-21
2025,GR,DE462,36,3171,11,10558,33.01,7.59,22.93,81.8,UNKNOWN,71.22,56.95,102,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-11-19
2006,LT,BG322,14,587,8,31330,17.71,3.34,42.77,76.45,EXCELLENT,16.76,59.27,11,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-04-09
2007,PT,ES386,0,0,3,23679,25.81,3.03,20.75,78.42,GOOD,70.91,51.94,28,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-01-30
2008,SE,SI72,1,32,9,9259,6.47,4.52,43.7,93.66,SUFFICIENT,25.9,63.87,31,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-03-29
2009,CY,HU29,11,366,5,804,29.58,4.39,58.89,91.36,POOR,53.56,7.78,12,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-03-14
2010,FR,RO34,20,517,18,16276,37.69,2.93,46.97,87.64,UNKNOWN,47.78,11.49,15,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-05-13
2011,IT,FR431,11,1100,15,13309,29.5,2.59,48.63,90.97,EXCELLENT,30.12,5.42,41,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-10-05
2012,NL,CZ516,19,1052,10,34660,16.3,6.45,27.69,88.6,GOOD,14.88,22.94,30,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-09-16
2013,SI,BE364,19,3588,19,6441,37.56,4.82,31.1,74.98,SUFFICIENT,52.59,75.02,43,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-01-17
2014,BG,AT721,10,106,9,27397,12.74,1.74,29.15,79.7,POOR,36.12,65.26,42,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-07-23
2015,EE,IT903,11,1460,0,2441,34.28,4.9,20.26,71.68,UNKNOWN,40.71,34.2,42,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-11-13
2016,HU,ES369,17,1949,18,26503,17.62,2.36,21.99,76.01,EXCELLENT,49.17,33.32,35,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-10-02
2017,LU,CY13,21,2407,2,7413,34.53,5.55,80.65,71.07,GOOD,18.46,70.4,54,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-08-30
2018,RO,SE16,14,1020,9,30651,30.25,6.8,68.68,95.92,SUFFICIENT,73.97,48.8,46,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-10-05
2019,AT,HR253,6,374,15,19418,9.4,3.05,44.98,91.29,POOR,19.02,60.82,23,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-08-08
2020,CZ,BG381,27,366,12,25529,23.77,2.01,75.21,78.36,UNKNOWN,63.14,7.4,92,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-01-27
2021,DE,EE27,18,1343,1,803,8.98,6.59,79.98,86.08,EXCELLENT,63.94,88.43,54,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-09-09
2022,LV,MT1,16,2738,8,3003,32.16,7.42,57.0,86.1,GOOD,50.8,12.61,57,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-12-30
2023,PL,GR27,24,1918,13,30589,36.87,5.45,33.59,93.34,SUFFICIENT,39.47,24.94,63,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-07-31
2024,ES,MT367,18,2616,5,23773,15.65,1.12,31.31,69.56,POOR,66.44,18.96,78,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-05-10
2025,HR,HR733,11,73,9,8342,24.51,2.22,20.73,92.85,UNKNOWN,20.22,21.35,57,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-09-08
2006,FI,FI133,13,2518,8,13638,23.07,4.21,43.72,90.73,EXCELLENT,20.84,72.63,18,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-04-23
2007,IE,BE4,6,392,27,20839,28.01,6.08,77.65,79.02,GOOD,45.42,27.05,24,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-01-28
2008,MT,BE8,10,720,1,16362,18.85,1.77,63.49,79.44,SUFFICIENT,67.47,84.2,38,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-12-28
2009,SK,IE98,9,1246,17,16922,15.22,1.3,72.14,77.97,POOR,10.77,11.66,51,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-07-12
2010,BE,MT46,21,2113,16,33674,24.05,2.57,68.97,85.63,UNKNOWN,50.53,35.01,32,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2026-01-24
2011,DK,RO78,12,96,4,5274,10.65,1.26,54.93,89.21,EXCELLENT,55.91,83.09,36,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-06-17
2012,GR,AT7,18,1746,21,20449,8.62,0.49,28.1,92.82,GOOD,42.08,27.94,15,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2026-01-19
2013,LT,RO692,8,1006,13,18464,16.15,4.47,70.26,70.73,SUFFICIENT,25.56,48.98,50,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-01-31
2014,PT,PL46,6,219,6,32199,6.57,6.48,26.3,81.29,POOR,23.41,42.14,46,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-11-21
2015,SE,PT15,15,2192,4,5111,17.34,5.95,55.74,83.9,UNKNOWN,52.25,45.09,38,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-07-23
2016,CY,FI75,3,102,0,39095,34.65,5.0,59.61,89.38,EXCELLENT,18.74,20.11,28,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-06-22
2017,FR,PL533,17,248,19,25070,9.06,3.33,33.77,94.1,GOOD,25.57,47.24,67,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-08-02
2018,IT,IT812,2,171,0,4857,7.97,6.42,69.84,84.49,SUFFICIENT,57.89,38.37,38,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2026-01-01
2019,NL,HU3,9,431,20,14690,25.55,3.61,80.2,98.65,POOR,21.17,72.52,69,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-01-31
2020,SI,NL36,17,3623,10,13994,18.65,4.63,67.22,72.84,UNKNOWN,12.26,5.85,91,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-05-22
2021,BG,ES88,17,779,1,26073,24.4,1.79,60.15,83.83,EXCELLENT,54.24,85.1,89,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-12-02
2022,EE,SK1,30,5756,6,22220,35.74,7.48,51.8,80.63,GOOD,48.15,65.51,40,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2026-01-12
2023,HU,RO62,23,90,17,13745,16.46,2.5,76.96,89.3,SUFFICIENT,43.23,7.74,65,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-05-14
2024,LU,EE963,23,2730,5,12533,20.73,2.73,67.18,74.1,POOR,18.98,34.96,58,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-04-08
2025,RO,BG931,24,3215,9,25607,28.14,1.34,44.18,73.29,UNKNOWN,57.45,65.4,60,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-02-22
2006,AT,BG205,10,1008,3,29591,25.34,5.73,48.93,88.45,EXCELLENT,16.37,43.75,42,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-06-29
2007,CZ,BG3,2,140,17,3749,22.73,2.55,59.5,82.04,GOOD,8.46,45.52,47,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-12-14
2008,DE,MT23,14,758,13,36138,19.04,5.72,47.97,75.73,SUFFICIENT,34.19,16.32,18,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-01-03
2009,LV,IE69,14,852,13,26587,6.09,5.39,45.16,80.69,POOR,31.91,67.04,23,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-10-21
2010,PL,HR8,16,2309,8,35514,17.76,4.53,33.1,85.39,UNKNOWN,66.4,71.77,38,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-01-13
2011,ES,ES966,20,133,23,18714,23.91,2.67,70.79,81.61,EXCELLENT,58.06,36.49,43,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-03-11
2012,HR,DE8,6,28,7,39082,8.58,5.93,50.63,74.42,GOOD,20.37,73.03,33,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-05-14
2013,FI,FR29,11,1066,7,7956,23.27,1.4,73.56,74.37,SUFFICIENT,66.6,55.82,46,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2026-01-14
2014,IE,AT569,8,1447,0,23485,25.69,6.95,17.96,88.96,POOR,23.53,23.67,38,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-04-25
2015,MT,SE650,18,1141,13,13845,31.94,4.77,23.68,100.0,UNKNOWN,44.19,67.35,26,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-11-02
2016,SK,LT83,18,399,6,7534,11.56,0.87,63.17,83.78,EXCELLENT,57.52,35.82,65,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-01-09
2017,BE,EE969,5,68,16,5655,15.51,3.42,27.43,77.73,GOOD,41.36,6.48,56,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-01-25
2018,DK,MT825,27,531,10,30839,35.75,5.75,44.53,93.86,SUFFICIENT,31.63,73.67,20,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-05-13
2019,GR,DK4,19,1072,10,9894,20.5,5.55,51.25,74.64,POOR,63.65,30.89,54,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-05-20
2020,LT,HR18,17,4224,18,20179,5.96,1.0,76.31,98.16,UNKNOWN,30.88,45.2,33,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-02-19
2021,PT,CZ64,14,2146,3,29641,36.78,6.77,77.24,100.0,EXCELLENT,52.4,34.28,28,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-02-26
2022,SE,MT163,14,577,13,18107,13.17,5.06,20.86,77.76,GOOD,60.85,13.22,46,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-05-07
2023,CY,LU752,13,669,5,6725,32.48,5.32,71.87,86.3,SUFFICIENT,18.47,47.94,23,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-10-05
2024,FR,DK170,24,171,10,2303,10.87,1.34,17.83,78.5,POOR,12.32,7.24,78,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-04-21
2025,IT,PL311,27,413,5,23403,16.69,3.96,35.16,83.55,UNKNOWN,56.66,84.08,68,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-04-17
2006,NL,IE107,4,281,23,19896,37.15,5.32,35.97,75.23,EXCELLENT,46.79,18.96,26,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-08-13
2007,SI,AT2,13,1389,17,33965,17.59,3.58,38.75,91.7,GOOD,21.39,56.96,25,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-12-24
2008,BG,LT243,17,2135,22,11388,14.84,6.15,27.7,88.66,SUFFICIENT,16.4,49.93,4,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-07-04
2009,EE,BE2,8,211,14,31693,12.75,4.58,27.26,98.64,POOR,29.94,12.32,64,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-08-30
2010,HU,BG153,13,2851,21,1601,17.94,2.11,36.56,87.67,UNKNOWN,24.73,38.35,26,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2026-01-06
2011,LU,PT9,13,545,20,9769,8.24,5.03,25.73,72.48,EXCELLENT,16.64,38.92,42,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-11-15
2012,RO,IE617,3,276,19,21648,20.22,1.52,61.64,90.6,GOOD,15.08,26.14,24,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-11-27
2013,AT,IE56,9,1052,24,8870,33.42,3.65,21.04,87.29,SUFFICIENT,57.61,82.94,56,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-03-29
2014,CZ,EE6,11,618,1,12351,33.46,5.97,32.77,96.61,POOR,19.82,18.86,33,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-05-24
2015,DE,SK118,19,949,3,26405,7.56,6.59,48.47,86.63,UNKNOWN,62.61,34.85,18,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-03-25
2016,LV,FI91,19,2449,20,20993,7.01,3.53,79.26,90.84,EXCELLENT,43.54,72.38,81,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-04-16
2017,PL,DK6,13,1001,13,17120,6.83,4.61,52.2,75.29,GOOD,30.04,43.32,57,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-03-03
2018,ES,IE21,19,3547,11,2878,32.54,1.01,45.09,98.44,SUFFICIENT,15.74,18.16,46,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2026-02-21
2019,HR,FI41,20,653,8,17315,13.41,1.3,38.38,87.07,POOR,62.15,55.33,57,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-10-27
