demo_migflow_move_year,demo_migflow_origin_nuts_code,demo_migflow_destination_nuts_code,demo_migflow_movement_scope_code,demo_migflow_schengen_flag,demo_migflow_residence_permit_type,demo_migflow_citizenship_iso2,demo_migflow_age_at_move,demo_migflow_sex,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_employment_status_before_move,demo_migflow_employment_status_after_move,demo_migflow_commute_change_minutes,demo_migflow_distance_km_estimate,demo_migflow_cross_border_worker_flag,demo_migflow_inflow_count,demo_migflow_outflow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2026,IT3,LT84,CROSS_BORDER,1,WORK,BE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-51,1557,0,52,128,1.9025,2026Q4
2015,AT378,FR84,INTRA_EU,1,WORK,HU,36,M,1,WORK,EMPLOYED,EMPLOYED,9,1051,0,56,137,1.7466,2024Q1
2016,RO49,SK75,EXTRA_EU,0,WORK,SK,39,F,2,OTHER,INACTIVE,INACTIVE,86,116,0,60,149,2.4952,2026Q2
2017,CY8,LU6,INTERNAL,1,WORK,EE,42,T,3,RETIREMENT,STUDENT,STUDENT,-34,2325,0,70,139,0.3917,2023Q3
2018,PT28,LT94,CROSS_BORDER,1,WORK,MT,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-119,358,1,71,123,0.787,2025Q4
2019,RO358,HU68,INTRA_EU,1,WORK,BG,48,F,5,FAMILY,EMPLOYED,EMPLOYED,-64,2145,0,83,148,3.2027,2023Q1
2020,LU678,NL780,EXTRA_EU,1,WORK,IE,51,T,6,STUDY,INACTIVE,INACTIVE,56,410,0,75,134,1.5499,2025Q2
2021,HU886,RO88,INTERNAL,1,WORK,SI,54,M,1,WORK,STUDENT,STUDENT,16,1510,0,51,161,1.3395,2022Q3
2022,DE277,HU595,CROSS_BORDER,1,WORK,FI,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-5,92,0,65,128,2.7989,2024Q4
2023,PL326,DE269,INTRA_EU,1,WORK,NL,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-99,1669,0,73,132,2.0395,2022Q1
2024,RO6,FI409,EXTRA_EU,1,WORK,HR,63,M,4,PROTECTION,INACTIVE,INACTIVE,-15,1068,0,52,148,1.1803,2024Q2
2025,DK942,BE230,INTERNAL,1,WORK,IT,66,F,5,FAMILY,STUDENT,STUDENT,-56,2306,0,82,165,0.4086,2026Q3
2026,LT399,IE468,CROSS_BORDER,1,WORK,ES,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-76,1999,0,89,160,3.1041,2023Q4
2015,BE539,LT9,INTRA_EU,1,WORK,FR,72,M,1,WORK,EMPLOYED,EMPLOYED,87,747,0,76,158,1.2123,2026Q1
2016,FR573,LU95,EXTRA_EU,1,WORK,PL,75,F,2,OTHER,INACTIVE,INACTIVE,-11,2364,0,63,150,3.4391,2023Q2
2017,BG127,DK5,INTERNAL,1,WORK,CY,78,T,3,RETIREMENT,STUDENT,STUDENT,1,1453,0,64,178,1.3969,2025Q3
2018,SK72,SI47,CROSS_BORDER,1,WORK,LV,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-117,464,1,61,179,0.955,2022Q4
2019,HR83,ES541,INTRA_EU,1,WORK,SE,84,F,5,FAMILY,EMPLOYED,EMPLOYED,28,2717,0,78,191,0.8892,2025Q1
2020,CZ63,SE34,EXTRA_EU,1,WORK,DE,87,T,6,STUDY,INACTIVE,INACTIVE,-90,1681,0,94,171,2.9346,2022Q2
2021,HU833,DK584,INTERNAL,1,WORK,PT,0,M,1,WORK,STUDENT,STUDENT,112,2111,0,65,162,0.4697,2024Q3
2022,IE5,EE401,CROSS_BORDER,1,WORK,CZ,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-1,2283,0,100,181,2.336,2026Q4
2023,BE19,PT1,INTRA_EU,1,WORK,LT,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-17,311,0,77,168,3.0406,2024Q1
2024,LU26,SI64,EXTRA_EU,0,WORK,AT,9,M,4,PROTECTION,INACTIVE,INACTIVE,79,2324,0,81,174,2.5363,2026Q2
2025,SE221,PL480,INTERNAL,0,WORK,GR,12,F,5,FAMILY,STUDENT,STUDENT,-76,2567,0,104,187,1.3028,2023Q3
2026,GR4,SE82,CROSS_BORDER,1,WORK,RO,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-82,2224,1,78,205,0.8407,2025Q4
2015,BE3,FR254,INTRA_EU,1,WORK,DK,18,M,1,WORK,EMPLOYED,EMPLOYED,0,1476,0,97,214,3.4793,2023Q1
2016,CY62,CY843,EXTRA_EU,1,WORK,LU,21,F,2,OTHER,INACTIVE,INACTIVE,-67,202,0,93,201,1.5107,2025Q2
2017,LT979,AT649,INTERNAL,1,WORK,BE,24,T,3,RETIREMENT,STUDENT,STUDENT,62,1939,0,73,205,1.9565,2022Q3
2018,FR197,DE7,CROSS_BORDER,1,WORK,HU,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,66,270,0,98,189,2.4604,2024Q4
2019,PL723,AT73,INTRA_EU,1,WORK,SK,30,F,5,FAMILY,EMPLOYED,EMPLOYED,32,1142,1,70,221,2.6287,2022Q1
2020,IT72,MT145,EXTRA_EU,1,WORK,EE,33,T,6,STUDY,INACTIVE,INACTIVE,-14,493,1,96,209,1.1147,2024Q2
2021,SI802,PT514,INTERNAL,1,WORK,MT,36,M,1,WORK,STUDENT,STUDENT,-100,427,0,104,211,0.4931,2026Q3
2022,DE886,SK668,CROSS_BORDER,1,WORK,BG,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-28,1247,1,92,230,0.9812,2023Q4
2023,PT597,IT619,INTRA_EU,1,WORK,IE,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,77,2751,0,108,223,3.4042,2026Q1
2024,LU44,LT23,EXTRA_EU,1,WORK,SI,45,M,4,PROTECTION,INACTIVE,INACTIVE,7,2745,0,93,240,2.459,2023Q2
2025,DE68,CY779,INTERNAL,0,WORK,FI,48,F,5,FAMILY,STUDENT,STUDENT,6,1882,1,106,243,2.0936,2025Q3
2026,MT966,HU13,CROSS_BORDER,1,WORK,NL,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-83,1400,1,98,217,0.8018,2022Q4
2015,IT573,IE28,INTRA_EU,1,WORK,HR,54,M,1,WORK,EMPLOYED,EMPLOYED,66,2277,0,113,224,2.7158,2025Q1
2016,CY4,SI7,EXTRA_EU,1,WORK,IT,57,F,2,OTHER,INACTIVE,INACTIVE,26,2403,1,105,242,1.6182,2022Q2
2017,IE81,HU9,INTERNAL,1,WORK,ES,60,T,3,RETIREMENT,STUDENT,STUDENT,18,1767,0,93,255,3.4768,2024Q3
2018,PL83,LU92,CROSS_BORDER,0,WORK,FR,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,45,1483,1,107,242,1.588,2026Q4
2019,PL2,SI5,INTRA_EU,0,WORK,PL,66,F,5,FAMILY,EMPLOYED,EMPLOYED,15,552,0,82,226,0.9045,2024Q1
2020,CZ30,IT34,EXTRA_EU,0,WORK,CY,69,T,6,STUDY,INACTIVE,INACTIVE,0,44,0,120,230,1.7305,2026Q2
2021,SK10,DK2,INTERNAL,0,WORK,LV,72,M,1,WORK,STUDENT,STUDENT,4,2135,0,117,272,1.9388,2023Q3
2022,IT987,NL130,CROSS_BORDER,1,WORK,SE,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,115,1785,0,99,245,0.4171,2025Q4
2023,CZ842,LT49,INTRA_EU,0,WORK,DE,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,83,148,0,118,253,1.1735,2023Q1
2024,NL768,CY936,EXTRA_EU,1,WORK,PT,81,M,4,PROTECTION,INACTIVE,INACTIVE,-81,2759,0,114,272,2.6121,2025Q2
2025,CY63,MT368,INTERNAL,1,WORK,CZ,84,F,5,FAMILY,STUDENT,STUDENT,101,1681,0,99,283,1.6115,2022Q3
2026,IT64,RO72,CROSS_BORDER,1,WORK,LT,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,1,1178,0,110,272,1.3133,2024Q4
2015,RO1,LV4,INTRA_EU,1,WORK,AT,0,M,1,WORK,EMPLOYED,EMPLOYED,0,1623,0,107,255,2.7749,2022Q1
2016,GR432,LU78,EXTRA_EU,1,WORK,GR,3,F,2,OTHER,INACTIVE,INACTIVE,8,426,0,128,270,1.8949,2024Q2
2017,LV439,PL8,INTERNAL,1,WORK,RO,6,T,3,RETIREMENT,STUDENT,STUDENT,-120,170,0,113,264,2.7153,2026Q3
2018,HR9,FI11,CROSS_BORDER,1,WORK,DK,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-9,740,1,107,262,0.9935,2023Q4
2019,RO818,DK50,INTRA_EU,0,WORK,LU,12,F,5,FAMILY,EMPLOYED,EMPLOYED,-21,2721,0,110,34,0.8499,2026Q1
2020,BE840,EE646,EXTRA_EU,0,WORK,BE,15,T,6,STUDY,INACTIVE,INACTIVE,-7,917,0,134,17,3.4971,2023Q2
2021,MT1,GR871,INTERNAL,1,WORK,HU,18,M,1,WORK,STUDENT,STUDENT,78,1061,0,98,42,1.0267,2025Q3
2022,BE72,GR70,CROSS_BORDER,1,WORK,SK,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,11,1409,1,106,38,1.7879,2022Q4
2023,GR86,AT99,INTRA_EU,1,WORK,EE,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-26,505,0,133,36,1.843,2025Q1
2024,CY612,DK46,EXTRA_EU,1,WORK,MT,27,M,4,PROTECTION,INACTIVE,INACTIVE,31,106,1,121,40,1.5782,2022Q2
2025,SK1,LU647,INTERNAL,0,WORK,BG,30,F,5,FAMILY,STUDENT,STUDENT,-16,2464,0,112,38,1.8762,2024Q3
2026,IT968,SK828,CROSS_BORDER,1,WORK,IE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-54,535,1,123,58,0.8099,2026Q4
2015,DK206,BE1,INTRA_EU,0,WORK,SI,36,M,1,WORK,EMPLOYED,EMPLOYED,13,950,0,116,67,2.4573,2024Q1
2016,NL8,AT9,EXTRA_EU,1,WORK,FI,39,F,2,OTHER,INACTIVE,INACTIVE,72,2379,0,105,53,2.8917,2026Q2
2017,HU48,AT960,INTERNAL,1,WORK,NL,42,T,3,RETIREMENT,STUDENT,STUDENT,91,222,1,141,61,0.7562,2023Q3
2018,DE634,AT721,CROSS_BORDER,1,WORK,HR,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,119,144,1,133,45,1.1547,2025Q4
2019,FR18,NL554,INTRA_EU,1,WORK,IT,48,F,5,FAMILY,EMPLOYED,EMPLOYED,107,810,0,146,88,2.0197,2023Q1
2020,PL785,HU43,EXTRA_EU,0,WORK,ES,51,T,6,STUDY,INACTIVE,INACTIVE,-67,2189,0,132,91,2.7513,2025Q2
2021,FR38,HU78,INTERNAL,1,WORK,FR,54,M,1,WORK,STUDENT,STUDENT,-28,2649,0,143,94,3.2501,2022Q3
2022,FR370,RO2,CROSS_BORDER,1,WORK,PL,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-64,1806,1,142,97,1.4894,2024Q4
2023,EE45,HR133,INTRA_EU,0,WORK,CY,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,53,470,0,136,96,2.4079,2022Q1
2024,GR9,BG589,EXTRA_EU,1,WORK,LV,63,M,4,PROTECTION,INACTIVE,INACTIVE,108,2677,0,129,86,3.0013,2024Q2
2025,DK937,BG39,INTERNAL,1,WORK,SE,66,F,5,FAMILY,STUDENT,STUDENT,-43,595,0,143,100,2.833,2026Q3
2026,SK49,HU318,CROSS_BORDER,1,WORK,DE,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,51,649,1,114,89,0.96,2023Q4
2015,IT644,DE750,INTRA_EU,1,WORK,PT,72,M,1,WORK,EMPLOYED,EMPLOYED,90,1849,0,152,99,1.9717,2026Q1
2016,ES853,EE96,EXTRA_EU,1,WORK,CZ,75,F,2,OTHER,INACTIVE,INACTIVE,-68,1082,0,123,108,3.4745,2023Q2
2017,MT3,BG36,INTERNAL,1,WORK,LT,78,T,3,RETIREMENT,STUDENT,STUDENT,85,2348,1,154,107,2.2635,2025Q3
2018,MT742,GR2,CROSS_BORDER,1,WORK,AT,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,113,2777,0,130,86,2.5188,2022Q4
2019,MT8,BG7,INTRA_EU,1,WORK,GR,84,F,5,FAMILY,EMPLOYED,EMPLOYED,-78,392,0,141,121,2.9377,2025Q1
2020,SK872,HR2,EXTRA_EU,1,WORK,RO,87,T,6,STUDY,INACTIVE,INACTIVE,-32,1491,0,120,95,1.3612,2022Q2
2021,PL9,ES70,INTERNAL,1,WORK,DK,0,M,1,WORK,STUDENT,STUDENT,-9,2664,0,160,92,1.5905,2024Q3
2022,CY412,SK498,CROSS_BORDER,1,WORK,LU,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-44,2029,1,126,112,2.9523,2026Q4
2023,IT19,FI57,INTRA_EU,1,WORK,BE,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,16,1760,0,157,133,1.4468,2024Q1
2024,AT584,NL471,EXTRA_EU,1,WORK,HU,9,M,4,PROTECTION,INACTIVE,INACTIVE,107,8,0,144,110,1.2933,2026Q2
2025,HR333,DE757,INTERNAL,0,WORK,SK,12,F,5,FAMILY,STUDENT,STUDENT,-23,696,0,144,124,2.1111,2023Q3
2026,ES25,DE475,CROSS_BORDER,1,WORK,EE,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,112,2778,1,138,141,2.4653,2025Q4
2015,FR201,SK893,INTRA_EU,1,WORK,MT,18,M,1,WORK,EMPLOYED,EMPLOYED,32,2477,0,147,146,1.2249,2023Q1
2016,LV1,MT380,EXTRA_EU,1,WORK,BG,21,F,2,OTHER,INACTIVE,INACTIVE,24,1429,0,145,137,1.4593,2025Q2
2017,LV69,ES26,INTERNAL,1,WORK,IE,24,T,3,RETIREMENT,STUDENT,STUDENT,47,1512,0,158,117,1.9434,2022Q3
2018,RO840,EE36,CROSS_BORDER,1,WORK,SI,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-107,617,0,138,146,3.308,2024Q4
2019,DE4,NL78,INTRA_EU,1,WORK,FI,30,F,5,FAMILY,EMPLOYED,EMPLOYED,-24,912,0,140,142,2.6547,2022Q1
2020,EE785,ES99,EXTRA_EU,1,WORK,NL,33,T,6,STUDY,INACTIVE,INACTIVE,-2,844,0,142,133,3.3306,2024Q2
2021,SK11,SI71,INTERNAL,1,WORK,HR,36,M,1,WORK,STUDENT,STUDENT,115,2073,0,168,139,2.2148,2026Q3
2022,PL87,EE989,CROSS_BORDER,1,WORK,IT,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,50,1608,1,139,166,0.6963,2023Q4
2023,BG531,HU92,INTRA_EU,1,WORK,ES,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-43,2252,0,159,133,2.6929,2026Q1
2024,RO365,HR71,EXTRA_EU,1,WORK,FR,45,M,4,PROTECTION,INACTIVE,INACTIVE,99,636,0,154,163,2.7754,2023Q2
2025,AT85,DE48,INTERNAL,1,WORK,PL,48,F,5,FAMILY,STUDENT,STUDENT,26,2577,0,166,170,1.4437,2025Q3
2026,IT986,IT851,CROSS_BORDER,1,WORK,CY,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,120,1149,1,164,144,2.8181,2022Q4
2015,GR299,AT22,INTRA_EU,1,WORK,LV,54,M,1,WORK,EMPLOYED,EMPLOYED,-115,2460,0,144,170,1.2364,2025Q1
2016,FR71,CZ358,EXTRA_EU,0,WORK,SE,57,F,2,OTHER,INACTIVE,INACTIVE,61,2695,0,179,182,0.6438,2022Q2
2017,CZ722,HU193,INTERNAL,1,WORK,DE,60,T,3,RETIREMENT,STUDENT,STUDENT,72,2015,0,157,176,1.6931,2024Q3
2018,IE74,RO434,CROSS_BORDER,1,WORK,PT,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-44,1049,0,155,187,1.7095,2026Q4
2019,CY16,ES925,INTRA_EU,1,WORK,CZ,66,F,5,FAMILY,EMPLOYED,EMPLOYED,-106,1338,0,178,157,2.4094,2024Q1
2020,DE34,FI885,EXTRA_EU,1,WORK,LT,69,T,6,STUDY,INACTIVE,INACTIVE,-32,364,0,171,193,2.8563,2026Q2
2021,CZ64,MT255,INTERNAL,1,WORK,AT,72,M,1,WORK,STUDENT,STUDENT,-5,1817,0,177,196,1.9079,2023Q3
2022,DE56,MT225,CROSS_BORDER,0,WORK,GR,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-50,1010,0,183,190,1.926,2025Q4
2023,SK47,CZ628,INTRA_EU,1,WORK,RO,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,8,171,0,166,171,0.7794,2023Q1
2024,PT34,MT762,EXTRA_EU,1,WORK,DK,81,M,4,PROTECTION,INACTIVE,INACTIVE,100,2342,0,171,188,1.5585,2025Q2
2025,ES27,CZ679,INTERNAL,1,WORK,LU,84,F,5,FAMILY,STUDENT,STUDENT,43,682,0,162,193,2.7785,2022Q3
2026,LT780,CY468,CROSS_BORDER,1,WORK,BE,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-56,2169,1,170,188,3.4896,2024Q4
2015,CZ196,IE872,INTRA_EU,1,WORK,HU,0,M,1,WORK,EMPLOYED,EMPLOYED,-94,1461,0,165,212,1.746,2022Q1
2016,AT5,BE538,EXTRA_EU,1,WORK,SK,3,F,2,OTHER,INACTIVE,INACTIVE,19,189,0,170,209,2.2901,2024Q2
2017,RO475,SK888,INTERNAL,1,WORK,EE,6,T,3,RETIREMENT,STUDENT,STUDENT,-120,1232,0,155,199,1.8262,2026Q3
2018,GR8,SE680,CROSS_BORDER,1,WORK,MT,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-50,1887,1,190,196,2.4026,2023Q4
2019,HR354,IE234,INTRA_EU,0,WORK,BG,12,F,5,FAMILY,EMPLOYED,EMPLOYED,-11,337,0,161,213,0.4417,2026Q1
2020,LV81,SE271,EXTRA_EU,1,WORK,IE,15,T,6,STUDY,INACTIVE,INACTIVE,66,2358,0,180,215,3.4329,2023Q2
2021,FR2,RO696,INTERNAL,1,WORK,SI,18,M,1,WORK,STUDENT,STUDENT,-16,2064,0,160,238,2.1017,2025Q3
2022,SK9,ES195,CROSS_BORDER,1,WORK,FI,21,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-110,1244,1,190,239,1.0092,2022Q4
2023,IE836,CZ644,INTRA_EU,1,WORK,NL,24,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-87,2232,0,183,204,0.6213,2025Q1
2024,IT760,CY704,EXTRA_EU,1,WORK,HR,27,M,4,PROTECTION,INACTIVE,INACTIVE,-40,1297,0,160,217,2.1756,2022Q2
2025,SI291,CY636,INTERNAL,0,WORK,IT,30,F,5,FAMILY,STUDENT,STUDENT,3,795,0,160,216,3.4729,2024Q3
2026,DE471,PL767,CROSS_BORDER,0,WORK,ES,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-103,760,0,190,219,3.3819,2026Q4
2015,NL796,SK557,INTRA_EU,1,WORK,FR,36,M,1,WORK,EMPLOYED,EMPLOYED,-25,2294,1,167,254,1.2447,2024Q1
2016,IT349,SI275,EXTRA_EU,1,WORK,PL,39,F,2,OTHER,INACTIVE,INACTIVE,28,479,0,188,259,2.8101,2026Q2
2017,HR441,IE474,INTERNAL,1,WORK,CY,42,T,3,RETIREMENT,STUDENT,STUDENT,104,1464,0,200,228,2.4499,2023Q3
2018,HU792,MT397,CROSS_BORDER,1,WORK,LV,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,31,916,0,199,253,0.5607,2025Q4
2019,LV928,HR801,INTRA_EU,1,WORK,SE,48,F,5,FAMILY,EMPLOYED,EMPLOYED,49,2022,1,166,262,0.3367,2023Q1
2020,BE607,IE424,EXTRA_EU,1,WORK,DE,51,T,6,STUDY,INACTIVE,INACTIVE,-83,2452,0,177,266,3.203,2025Q2
2021,LT867,FI252,INTERNAL,0,WORK,PT,54,M,1,WORK,STUDENT,STUDENT,96,1502,1,174,272,1.6522,2022Q3
2022,BG134,IE210,CROSS_BORDER,1,WORK,CZ,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,31,906,1,177,241,2.7397,2024Q4
2023,FR379,MT487,INTRA_EU,1,WORK,LT,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-30,673,0,172,276,3.0889,2022Q1
2024,HR248,IE371,EXTRA_EU,0,WORK,AT,63,M,4,PROTECTION,INACTIVE,INACTIVE,86,1091,1,174,256,1.8296,2024Q2
2025,SI883,HR654,INTERNAL,1,WORK,GR,66,F,5,FAMILY,STUDENT,STUDENT,119,1934,0,205,281,1.416,2026Q3
2026,BE845,BG990,CROSS_BORDER,1,WORK,RO,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-6,1049,1,197,274,0.6399,2023Q4
2015,SI439,SK426,INTRA_EU,1,WORK,DK,72,M,1,WORK,EMPLOYED,EMPLOYED,109,747,0,182,254,2.3789,2026Q1
2016,CZ333,HR319,EXTRA_EU,0,WORK,LU,75,F,2,OTHER,INACTIVE,INACTIVE,-21,2429,0,198,259,1.6738,2023Q2
2017,LU598,DE334,INTERNAL,1,WORK,BE,78,T,3,RETIREMENT,STUDENT,STUDENT,-97,693,0,211,285,0.4538,2025Q3
2018,MT581,NL504,CROSS_BORDER,1,WORK,HU,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,18,340,0,185,25,3.0994,2022Q4
2019,PL323,DK740,INTRA_EU,1,WORK,SK,84,F,5,FAMILY,EMPLOYED,EMPLOYED,35,912,0,189,34,1.443,2025Q1
2020,LV394,HR479,EXTRA_EU,0,WORK,EE,87,T,6,STUDY,INACTIVE,INACTIVE,10,2033,0,187,20,1.6734,2022Q2
2021,BG268,DE369,INTERNAL,1,WORK,MT,0,M,1,WORK,STUDENT,STUDENT,-91,1170,0,201,58,1.6775,2024Q3
2022,LV690,SI810,CROSS_BORDER,1,WORK,BG,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,9,2484,0,182,60,2.5525,2026Q4
2023,BG963,DK106,INTRA_EU,1,WORK,IE,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,26,1662,0,185,44,1.4498,2024Q1
2024,DE558,IE718,EXTRA_EU,1,WORK,SI,9,M,4,PROTECTION,INACTIVE,INACTIVE,-98,271,0,186,42,2.8363,2026Q2
2025,ES600,FR283,INTERNAL,1,WORK,FI,12,F,5,FAMILY,STUDENT,STUDENT,-89,1663,0,190,67,2.7598,2023Q3
2026,CZ870,HU246,CROSS_BORDER,1,WORK,NL,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,71,1672,0,189,74,1.8986,2025Q4
2015,CZ515,BG717,INTRA_EU,1,WORK,HR,18,M,1,WORK,EMPLOYED,EMPLOYED,-111,2265,0,203,65,2.1046,2023Q1
2016,BE743,HR120,EXTRA_EU,1,WORK,IT,21,F,2,OTHER,INACTIVE,INACTIVE,24,1448,1,212,41,2.19,2025Q2
2017,DK812,LT525,INTERNAL,0,WORK,ES,24,T,3,RETIREMENT,STUDENT,STUDENT,69,1366,0,220,46,1.6247,2022Q3
2018,AT151,DE748,CROSS_BORDER,1,WORK,FR,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-4,1079,1,216,85,2.084,2024Q4
2019,EE711,LV885,INTRA_EU,1,WORK,PL,30,F,5,FAMILY,EMPLOYED,EMPLOYED,43,2242,0,212,86,2.3924,2022Q1
2020,CY722,GR341,EXTRA_EU,1,WORK,CY,33,T,6,STUDY,INACTIVE,INACTIVE,-84,2496,0,196,72,0.7578,2024Q2
2021,NL375,SK43,INTERNAL,1,WORK,LV,36,M,1,WORK,STUDENT,STUDENT,-116,1194,0,221,84,3.2046,2026Q3
2022,NL831,MT10,CROSS_BORDER,1,WORK,SE,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,97,785,0,211,88,1.6,2023Q4
2023,SK756,LT183,INTRA_EU,1,WORK,DE,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-99,2464,0,206,64,0.6063,2026Q1
2024,PL238,IT502,EXTRA_EU,0,WORK,PT,45,M,4,PROTECTION,INACTIVE,INACTIVE,-47,2034,0,235,90,0.6951,2023Q2
2025,DK998,CY6,INTERNAL,0,WORK,CZ,48,F,5,FAMILY,STUDENT,STUDENT,52,1542,0,216,105,3.2012,2025Q3
2026,ES476,HR69,CROSS_BORDER,1,WORK,LT,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,80,1591,1,225,95,0.5714,2022Q4
2015,BG905,LU7,INTRA_EU,1,WORK,AT,54,M,1,WORK,EMPLOYED,EMPLOYED,-21,566,0,232,99,1.6932,2025Q1
2016,IE682,MT2,EXTRA_EU,1,WORK,GR,57,F,2,OTHER,INACTIVE,INACTIVE,-42,2449,0,216,102,3.1036,2022Q2
2017,MT204,EE7,INTERNAL,1,WORK,RO,60,T,3,RETIREMENT,STUDENT,STUDENT,41,2770,0,202,87,1.5667,2024Q3
2018,LT586,GR44,CROSS_BORDER,1,WORK,DK,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,94,2043,0,219,85,0.806,2026Q4
2019,LU341,LU427,INTRA_EU,0,WORK,LU,66,F,5,FAMILY,EMPLOYED,EMPLOYED,90,2041,0,215,91,2.5938,2024Q1
2020,ES385,PT13,EXTRA_EU,1,WORK,BE,69,T,6,STUDY,INACTIVE,INACTIVE,-83,1125,0,215,110,0.7844,2026Q2
2021,SK403,HU23,INTERNAL,0,WORK,HU,72,M,1,WORK,STUDENT,STUDENT,-21,143,1,224,125,2.9806,2023Q3
2022,NL142,HU824,CROSS_BORDER,1,WORK,SK,75,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-21,261,1,211,118,3.3585,2025Q4
2023,CZ858,LU79,INTRA_EU,1,WORK,EE,78,T,3,RETIREMENT,EMPLOYED,EMPLOYED,77,620,1,229,112,1.3575,2023Q1
2024,CY510,LT20,EXTRA_EU,1,WORK,MT,81,M,4,PROTECTION,INACTIVE,INACTIVE,-72,492,0,230,127,0.3533,2025Q2
2025,BG591,ES791,INTERNAL,1,WORK,BG,84,F,5,FAMILY,STUDENT,STUDENT,92,2559,0,217,119,0.7782,2022Q3
2026,BE892,FI118,CROSS_BORDER,1,WORK,IE,87,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,62,511,1,214,116,3.2483,2024Q4
2015,PL1,FR37,INTRA_EU,1,WORK,SI,0,M,1,WORK,EMPLOYED,EMPLOYED,114,1062,0,224,116,2.8371,2022Q1
2016,CY281,LT5,EXTRA_EU,1,WORK,FI,3,F,2,OTHER,INACTIVE,INACTIVE,58,2629,0,228,114,2.8838,2024Q2
2017,BG4,CY38,INTERNAL,1,WORK,NL,6,T,3,RETIREMENT,STUDENT,STUDENT,82,1993,0,228,128,2.4789,2026Q3
2018,RO963,LV2,CROSS_BORDER,1,WORK,HR,9,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,104,1978,1,247,128,2.5054,2023Q4
2019,RO64,EE217,INTRA_EU,1,WORK,IT,12,F,5,FAMILY,EMPLOYED,EMPLOYED,73,613,0,221,149,3.2778,2026Q1
2020,HR7,SI3,EXTRA_EU,1,WORK,ES,15,T,6,STUDY,INACTIVE,INACTIVE,-97,893,0,251,158,0.5586,2023Q2
