agri_nutrition_reference_year,agri_nutrition_country_iso2,agri_nutrition_region_nuts_code,agri_nutrition_age_group,agri_nutrition_sex,agri_nutrition_bmi_category,agri_nutrition_obesity_rate_pct,agri_nutrition_fruit_veg_intake_servings_day,agri_nutrition_ultra_processed_food_share_pct,agri_nutrition_food_desert_index,agri_nutrition_school_meal_program_flag,agri_nutrition_front_of_pack_label_scheme_code,agri_nutrition_sugar_sweetened_tax_flag,agri_nutrition_salt_reduction_policy_flag,agri_nutrition_breastfeeding_rate_pct,agri_nutrition_household_food_insecurity_rate_pct,agri_nutrition_nutri_score_distribution,agri_nutrition_ehis_table_code,agri_nutrition_data_source,agri_nutrition_data_extract_date
2011,IE,SE146,65+,F,NORMAL,31.46,4.13,46.65,0.4324,0,KEYHOLE,0,0,37.72,12.86,A:0.13;B:0.2;C:0.16;D:0.24;E:0.27,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-01-10
2012,MT,LV29,50-64,M,OVERWEIGHT,18.97,5.05,38.65,0.5552,1,NUTRI_SCORE,0,1,69.24,2.0,A:0.22;B:0.11;C:0.2;D:0.08;E:0.39,hlth_ehis_sk1e,WHO_EURO,2025-12-29
2013,SK,PL283,35-49,T,OBESE,29.68,4.28,12.68,0.2479,1,NONE,0,1,28.19,2.3,A:0.2;B:0.34;C:0.11;D:0.25;E:0.1,hlth_ehis_bm1e,EHIS,2024-02-03
2014,BE,FR12,20-34,F,UNDERWEIGHT,29.62,4.05,24.74,0.4635,0,TRAFFIC_LIGHTS,0,1,66.77,7.36,A:0.27;B:0.33;C:0.17;D:0.09;E:0.14,hlth_ehis_dn1e,ECDC_NUTRITION,2025-02-27
2015,DK,MT510,15-19,M,NORMAL,6.13,1.98,20.48,0.4355,1,BATTERY_LABEL,1,1,21.82,15.16,A:0.25;B:0.31;C:0.14;D:0.18;E:0.12,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-12-30
2016,GR,LT919,10-14,T,OVERWEIGHT,18.62,2.52,32.65,0.4384,1,NORDIC_KEYHOLE,1,1,46.03,11.31,A:0.18;B:0.15;C:0.3;D:0.15;E:0.22,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-09
2017,LT,FR82,5-9,F,OBESE,32.29,6.06,48.96,0.8099,1,KEYHOLE,0,1,50.68,10.1,A:0.32;B:0.23;C:0.24;D:0.1;E:0.11,hlth_ehis_sk1e,WHO_EURO,2025-05-18
2018,PT,LT5,0-4,M,UNDERWEIGHT,13.64,4.84,34.92,0.7149,0,NUTRI_SCORE,1,1,64.6,12.0,A:0.13;B:0.11;C:0.18;D:0.19;E:0.39,hlth_ehis_bm1e,EHIS,2024-06-07
2019,SE,MT97,65+,T,NORMAL,22.84,6.51,58.57,0.3967,0,NONE,0,1,34.52,1.35,A:0.3;B:0.17;C:0.28;D:0.25;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2024-12-14
2020,CY,NL24,50-64,F,OVERWEIGHT,6.54,3.58,9.05,0.615,1,TRAFFIC_LIGHTS,1,1,20.78,13.22,A:0.33;B:0.1;C:0.22;D:0.23;E:0.12,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-07-05
2021,FR,SK91,35-49,M,OBESE,33.45,4.82,41.15,0.5136,1,BATTERY_LABEL,0,0,41.88,7.88,A:0.1;B:0.34;C:0.26;D:0.14;E:0.16,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-12-28
2022,IT,SE6,20-34,T,UNDERWEIGHT,9.12,3.19,31.9,0.527,0,NORDIC_KEYHOLE,0,0,64.92,13.26,A:0.35;B:0.22;C:0.24;D:0.07;E:0.12,hlth_ehis_sk1e,WHO_EURO,2024-01-21
2023,NL,HU1,15-19,F,NORMAL,26.31,4.9,26.12,0.5713,0,KEYHOLE,1,0,34.42,1.33,A:0.24;B:0.3;C:0.15;D:0.08;E:0.23,hlth_ehis_bm1e,EHIS,2026-01-19
2024,SI,LT966,10-14,M,OVERWEIGHT,8.65,5.8,37.55,0.2645,0,NUTRI_SCORE,1,0,61.12,13.2,A:0.33;B:0.25;C:0.28;D:0.11;E:0.03,hlth_ehis_dn1e,ECDC_NUTRITION,2025-04-05
2025,BG,BE5,5-9,T,OBESE,34.51,4.21,49.41,0.7082,1,NONE,1,1,43.84,13.77,A:0.11;B:0.2;C:0.11;D:0.2;E:0.38,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-09-17
2026,EE,FI550,0-4,F,UNDERWEIGHT,9.8,5.24,52.58,0.4024,1,TRAFFIC_LIGHTS,0,1,37.12,2.35,A:0.16;B:0.34;C:0.13;D:0.15;E:0.22,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-01-16
2010,HU,CY4,65+,M,NORMAL,19.3,2.0,35.15,0.398,1,BATTERY_LABEL,1,0,19.08,1.97,A:0.13;B:0.24;C:0.12;D:0.09;E:0.42,hlth_ehis_sk1e,WHO_EURO,2025-10-26
2011,LU,SE4,50-64,T,OVERWEIGHT,30.44,3.81,41.68,0.2398,1,NORDIC_KEYHOLE,0,1,54.45,15.6,A:0.17;B:0.1;C:0.35;D:0.23;E:0.15,hlth_ehis_bm1e,EHIS,2025-03-24
2012,RO,LU737,35-49,F,OBESE,18.7,2.96,43.77,0.1841,1,KEYHOLE,0,1,70.83,1.0,A:0.27;B:0.26;C:0.29;D:0.09;E:0.09,hlth_ehis_dn1e,ECDC_NUTRITION,2025-12-04
2013,AT,AT28,20-34,M,UNDERWEIGHT,18.77,4.07,34.86,0.6848,1,NUTRI_SCORE,1,1,60.27,11.99,A:0.14;B:0.11;C:0.16;D:0.18;E:0.41,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-10-03
2014,CZ,LU8,15-19,T,NORMAL,34.05,3.82,20.57,0.2929,1,NONE,0,0,35.58,2.98,A:0.19;B:0.26;C:0.13;D:0.15;E:0.27,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-02-14
2015,DE,ES655,10-14,F,OVERWEIGHT,20.08,2.71,8.44,0.4826,0,TRAFFIC_LIGHTS,0,0,55.2,15.45,A:0.19;B:0.27;C:0.31;D:0.17;E:0.06,hlth_ehis_sk1e,WHO_EURO,2025-02-24
2016,LV,DE440,5-9,M,OBESE,8.07,6.44,17.01,0.4754,0,BATTERY_LABEL,1,1,20.46,12.71,A:0.15;B:0.13;C:0.34;D:0.13;E:0.25,hlth_ehis_bm1e,EHIS,2025-03-01
2017,PL,DK3,0-4,T,UNDERWEIGHT,25.18,3.5,31.24,0.8161,1,NORDIC_KEYHOLE,0,0,37.13,6.73,A:0.16;B:0.16;C:0.25;D:0.14;E:0.29,hlth_ehis_dn1e,ECDC_NUTRITION,2024-06-28
2018,ES,DE895,65+,F,NORMAL,5.41,5.43,47.94,0.6939,1,KEYHOLE,0,0,70.33,3.64,A:0.21;B:0.16;C:0.34;D:0.09;E:0.2,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-10-11
2019,HR,IE53,50-64,M,OVERWEIGHT,11.76,6.33,58.38,0.8953,1,NUTRI_SCORE,0,1,60.21,15.67,A:0.27;B:0.17;C:0.14;D:0.21;E:0.21,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-05-16
2020,FI,MT68,35-49,T,OBESE,24.29,4.04,9.51,0.4087,0,NONE,0,1,38.29,6.48,A:0.16;B:0.3;C:0.24;D:0.23;E:0.07,hlth_ehis_sk1e,WHO_EURO,2025-10-02
2021,IE,NL82,20-34,F,UNDERWEIGHT,20.18,3.85,49.86,0.5226,0,TRAFFIC_LIGHTS,1,1,68.53,1.45,A:0.26;B:0.27;C:0.24;D:0.1;E:0.13,hlth_ehis_bm1e,EHIS,2025-06-15
2022,MT,ES22,15-19,M,NORMAL,24.15,5.3,28.58,0.9164,1,BATTERY_LABEL,1,0,59.76,11.02,A:0.3;B:0.27;C:0.3;D:0.13;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2024-10-19
2023,SK,FR3,10-14,T,OVERWEIGHT,16.35,6.59,52.48,0.6021,0,NORDIC_KEYHOLE,0,0,49.7,16.41,A:0.2;B:0.13;C:0.21;D:0.19;E:0.27,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2026-02-07
2024,BE,HR5,5-9,F,OBESE,23.14,4.15,59.95,0.2365,1,KEYHOLE,0,1,55.55,12.12,A:0.24;B:0.3;C:0.27;D:0.19;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-10-12
2025,DK,MT90,0-4,M,UNDERWEIGHT,13.21,2.8,36.08,0.2179,0,NUTRI_SCORE,0,1,47.79,14.48,A:0.15;B:0.27;C:0.15;D:0.08;E:0.35,hlth_ehis_sk1e,WHO_EURO,2025-03-02
2026,GR,SI88,65+,T,NORMAL,21.95,3.39,23.43,0.8409,1,NONE,0,0,68.94,4.99,A:0.28;B:0.2;C:0.34;D:0.18;E:0.0,hlth_ehis_bm1e,EHIS,2025-05-15
2010,LT,FR26,50-64,F,OVERWEIGHT,4.3,2.21,42.04,0.6046,0,TRAFFIC_LIGHTS,0,0,50.62,7.49,A:0.14;B:0.22;C:0.27;D:0.25;E:0.12,hlth_ehis_dn1e,ECDC_NUTRITION,2024-09-29
2011,PT,CZ357,35-49,M,OBESE,23.11,2.53,38.11,0.4913,0,BATTERY_LABEL,1,1,64.98,15.02,A:0.13;B:0.11;C:0.25;D:0.12;E:0.39,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-19
2012,SE,SK19,20-34,T,UNDERWEIGHT,28.39,3.09,27.92,0.303,1,NORDIC_KEYHOLE,0,1,68.28,10.4,A:0.23;B:0.21;C:0.2;D:0.17;E:0.19,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-06-13
2013,CY,LT161,15-19,F,NORMAL,17.76,4.09,26.93,0.9304,0,KEYHOLE,1,1,47.47,12.59,A:0.23;B:0.17;C:0.26;D:0.17;E:0.17,hlth_ehis_sk1e,WHO_EURO,2025-08-09
2014,FR,NL55,10-14,M,OVERWEIGHT,30.26,2.96,17.64,0.3642,0,NUTRI_SCORE,0,1,47.62,16.18,A:0.13;B:0.21;C:0.23;D:0.22;E:0.21,hlth_ehis_bm1e,EHIS,2025-01-26
2015,IT,GR996,5-9,T,OBESE,22.45,4.13,55.09,0.906,1,NONE,0,1,23.82,8.91,A:0.12;B:0.2;C:0.13;D:0.2;E:0.35,hlth_ehis_dn1e,ECDC_NUTRITION,2024-07-11
2016,NL,CY6,0-4,F,UNDERWEIGHT,9.05,2.91,44.16,0.8751,0,TRAFFIC_LIGHTS,0,1,57.28,8.55,A:0.26;B:0.18;C:0.15;D:0.06;E:0.35,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-03-19
2017,SI,IE24,65+,M,NORMAL,11.07,2.51,37.74,0.0897,0,BATTERY_LABEL,1,1,48.7,2.3,A:0.19;B:0.2;C:0.27;D:0.14;E:0.2,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-11-05
2018,BG,IT506,50-64,T,OVERWEIGHT,28.57,5.18,42.39,0.8139,1,NORDIC_KEYHOLE,0,1,58.33,1.48,A:0.16;B:0.31;C:0.11;D:0.17;E:0.25,hlth_ehis_sk1e,WHO_EURO,2025-08-11
2019,EE,IE933,35-49,F,OBESE,11.87,1.72,19.1,0.7748,0,KEYHOLE,0,0,64.62,15.53,A:0.15;B:0.15;C:0.34;D:0.12;E:0.24,hlth_ehis_bm1e,EHIS,2024-10-27
2020,HU,MT567,20-34,M,UNDERWEIGHT,5.09,6.16,16.01,0.059,1,NUTRI_SCORE,1,0,69.4,5.65,A:0.19;B:0.18;C:0.16;D:0.09;E:0.38,hlth_ehis_dn1e,ECDC_NUTRITION,2025-12-06
2021,LU,LV892,15-19,T,NORMAL,32.94,5.32,34.85,0.8814,1,NONE,0,0,54.31,12.86,A:0.3;B:0.3;C:0.14;D:0.13;E:0.13,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-03-17
2022,RO,LV621,10-14,F,OVERWEIGHT,18.31,6.07,29.45,0.765,0,TRAFFIC_LIGHTS,0,0,44.76,4.56,A:0.29;B:0.19;C:0.26;D:0.08;E:0.18,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-07-09
2023,AT,SI86,5-9,M,OBESE,13.07,2.03,55.76,0.3851,1,BATTERY_LABEL,0,1,22.94,6.68,A:0.14;B:0.16;C:0.23;D:0.19;E:0.28,hlth_ehis_sk1e,WHO_EURO,2024-02-16
2024,CZ,SE778,0-4,T,UNDERWEIGHT,25.07,6.57,17.61,0.1556,1,NORDIC_KEYHOLE,0,0,43.48,9.57,A:0.25;B:0.15;C:0.23;D:0.1;E:0.27,hlth_ehis_bm1e,EHIS,2025-09-12
2025,DE,DK506,65+,F,NORMAL,31.94,1.87,52.66,0.0813,0,KEYHOLE,0,0,28.68,10.67,A:0.3;B:0.22;C:0.28;D:0.07;E:0.13,hlth_ehis_dn1e,ECDC_NUTRITION,2025-05-09
2026,LV,RO65,50-64,M,OVERWEIGHT,20.6,3.07,61.96,0.5004,1,NUTRI_SCORE,0,1,22.6,1.54,A:0.25;B:0.27;C:0.32;D:0.16;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-03-13
2010,PL,LU56,35-49,T,OBESE,32.57,4.3,28.71,0.6826,0,NONE,1,0,39.24,3.37,A:0.15;B:0.11;C:0.1;D:0.14;E:0.5,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-18
2011,ES,DK44,20-34,F,UNDERWEIGHT,21.47,6.76,24.06,0.4403,1,TRAFFIC_LIGHTS,1,1,50.73,4.22,A:0.24;B:0.26;C:0.21;D:0.23;E:0.06,hlth_ehis_sk1e,WHO_EURO,2026-01-27
2012,HR,BE40,15-19,M,NORMAL,33.53,5.5,57.37,0.447,0,BATTERY_LABEL,0,1,31.53,14.08,A:0.13;B:0.11;C:0.2;D:0.22;E:0.34,hlth_ehis_bm1e,EHIS,2024-04-17
2013,FI,FR475,10-14,T,OVERWEIGHT,11.11,2.54,9.5,0.52,1,NORDIC_KEYHOLE,0,1,57.17,8.77,A:0.28;B:0.21;C:0.2;D:0.05;E:0.26,hlth_ehis_dn1e,ECDC_NUTRITION,2025-06-09
2014,IE,LU267,5-9,F,OBESE,7.53,5.12,46.78,0.0851,0,KEYHOLE,0,0,64.33,4.72,A:0.15;B:0.14;C:0.13;D:0.18;E:0.4,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-03-15
2015,MT,BG54,0-4,M,UNDERWEIGHT,11.98,5.28,23.23,0.8645,1,NUTRI_SCORE,0,0,26.52,5.03,A:0.32;B:0.24;C:0.32;D:0.12;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-08-16
2016,SK,PL47,65+,T,NORMAL,24.47,2.96,8.13,0.1075,0,NONE,1,0,54.53,6.59,A:0.15;B:0.24;C:0.13;D:0.06;E:0.42,hlth_ehis_sk1e,WHO_EURO,2024-07-20
2017,BE,SK8,50-64,F,OVERWEIGHT,26.48,4.03,31.29,0.0859,1,TRAFFIC_LIGHTS,0,1,70.15,13.99,A:0.31;B:0.14;C:0.24;D:0.07;E:0.24,hlth_ehis_bm1e,EHIS,2024-11-01
2018,DK,DK915,35-49,M,OBESE,9.41,4.32,33.72,0.2312,1,BATTERY_LABEL,0,0,57.73,17.28,A:0.23;B:0.2;C:0.2;D:0.17;E:0.2,hlth_ehis_dn1e,ECDC_NUTRITION,2025-10-04
2019,GR,SK1,20-34,T,UNDERWEIGHT,27.79,2.34,16.73,0.3669,0,NORDIC_KEYHOLE,1,0,36.97,13.71,A:0.34;B:0.23;C:0.32;D:0.12;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-03
2020,LT,HR85,15-19,F,NORMAL,28.55,6.02,44.74,0.2804,1,KEYHOLE,1,0,55.64,5.22,A:0.28;B:0.31;C:0.19;D:0.21;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-01-06
2021,PT,HR672,10-14,M,OVERWEIGHT,33.38,6.13,17.26,0.8813,0,NUTRI_SCORE,0,1,26.15,6.95,A:0.11;B:0.32;C:0.31;D:0.12;E:0.14,hlth_ehis_sk1e,WHO_EURO,2024-09-12
2022,SE,IE458,5-9,T,OBESE,34.72,4.16,34.25,0.3006,0,NONE,0,0,54.16,10.95,A:0.32;B:0.24;C:0.13;D:0.15;E:0.16,hlth_ehis_bm1e,EHIS,2024-06-11
2023,CY,DE19,0-4,F,UNDERWEIGHT,30.1,6.11,33.53,0.0606,1,TRAFFIC_LIGHTS,0,0,20.06,7.09,A:0.29;B:0.18;C:0.34;D:0.07;E:0.12,hlth_ehis_dn1e,ECDC_NUTRITION,2024-04-25
2024,FR,PL45,65+,M,NORMAL,34.74,6.19,48.77,0.5776,0,BATTERY_LABEL,0,0,71.46,3.22,A:0.21;B:0.28;C:0.27;D:0.12;E:0.12,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-12-08
2025,IT,NL8,50-64,T,OVERWEIGHT,20.33,4.01,42.55,0.2086,0,NORDIC_KEYHOLE,0,1,24.62,6.66,A:0.15;B:0.18;C:0.17;D:0.09;E:0.41,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-01-11
2026,NL,AT8,35-49,F,OBESE,24.75,5.71,11.05,0.3788,1,KEYHOLE,1,1,40.44,2.96,A:0.29;B:0.34;C:0.2;D:0.17;E:0.0,hlth_ehis_sk1e,WHO_EURO,2024-07-20
2010,SI,GR297,20-34,M,UNDERWEIGHT,27.32,4.12,10.41,0.7778,1,NUTRI_SCORE,1,0,66.45,16.61,A:0.19;B:0.11;C:0.17;D:0.17;E:0.36,hlth_ehis_bm1e,EHIS,2026-01-08
2011,BG,CY56,15-19,T,NORMAL,13.44,5.3,38.14,0.4461,1,NONE,0,1,43.66,7.32,A:0.22;B:0.21;C:0.21;D:0.06;E:0.3,hlth_ehis_dn1e,ECDC_NUTRITION,2024-12-22
2012,EE,DE6,10-14,F,OVERWEIGHT,30.98,1.28,46.19,0.8875,1,TRAFFIC_LIGHTS,1,1,36.89,17.99,A:0.11;B:0.33;C:0.3;D:0.09;E:0.17,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-04-03
2013,HU,HR820,5-9,M,OBESE,12.27,2.55,56.58,0.7763,1,BATTERY_LABEL,0,1,58.71,8.1,A:0.27;B:0.23;C:0.27;D:0.06;E:0.17,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-01-16
2014,LU,AT657,0-4,T,UNDERWEIGHT,24.98,3.55,45.19,0.0928,1,NORDIC_KEYHOLE,1,1,38.77,17.08,A:0.17;B:0.25;C:0.24;D:0.22;E:0.12,hlth_ehis_sk1e,WHO_EURO,2025-07-22
2015,RO,SE407,65+,F,NORMAL,7.45,1.22,34.82,0.9358,1,KEYHOLE,0,1,21.13,15.8,A:0.15;B:0.21;C:0.11;D:0.13;E:0.4,hlth_ehis_bm1e,EHIS,2024-08-16
2016,AT,GR14,50-64,M,OVERWEIGHT,28.8,2.55,45.57,0.5671,1,NUTRI_SCORE,1,1,36.1,3.9,A:0.17;B:0.32;C:0.3;D:0.17;E:0.04,hlth_ehis_dn1e,ECDC_NUTRITION,2025-02-15
2017,CZ,DE836,35-49,T,OBESE,33.0,3.03,60.67,0.307,0,NONE,1,1,69.02,6.81,A:0.32;B:0.17;C:0.15;D:0.24;E:0.12,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-12-02
2018,DE,CY3,20-34,F,UNDERWEIGHT,12.56,6.33,60.08,0.1706,1,TRAFFIC_LIGHTS,0,0,29.09,16.5,A:0.11;B:0.21;C:0.28;D:0.19;E:0.21,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-03-23
2019,LV,EE6,15-19,M,NORMAL,22.84,6.0,48.99,0.9278,0,BATTERY_LABEL,0,0,60.57,8.04,A:0.35;B:0.22;C:0.18;D:0.19;E:0.06,hlth_ehis_sk1e,WHO_EURO,2024-08-30
2020,PL,LT97,10-14,T,OVERWEIGHT,29.89,1.86,21.22,0.5418,0,NORDIC_KEYHOLE,0,1,28.02,16.15,A:0.24;B:0.17;C:0.15;D:0.19;E:0.25,hlth_ehis_bm1e,EHIS,2024-03-27
2021,ES,RO966,5-9,F,OBESE,18.92,5.52,13.92,0.134,1,KEYHOLE,1,1,56.87,1.76,A:0.21;B:0.19;C:0.13;D:0.2;E:0.27,hlth_ehis_dn1e,ECDC_NUTRITION,2024-03-23
2022,HR,NL37,0-4,M,UNDERWEIGHT,6.27,5.08,35.73,0.6746,0,NUTRI_SCORE,0,1,66.62,17.18,A:0.33;B:0.2;C:0.21;D:0.13;E:0.13,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-12-02
2023,FI,SI248,65+,T,NORMAL,6.41,1.25,12.9,0.2822,1,NONE,1,0,69.59,10.16,A:0.31;B:0.11;C:0.21;D:0.1;E:0.27,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-09-10
2024,IE,RO676,50-64,F,OVERWEIGHT,26.21,3.19,30.5,0.4284,1,TRAFFIC_LIGHTS,0,1,59.69,13.8,A:0.16;B:0.16;C:0.26;D:0.24;E:0.18,hlth_ehis_sk1e,WHO_EURO,2024-12-02
2025,MT,PL63,35-49,M,OBESE,28.88,5.4,24.04,0.084,1,BATTERY_LABEL,0,1,60.66,3.37,A:0.2;B:0.25;C:0.33;D:0.08;E:0.14,hlth_ehis_bm1e,EHIS,2025-05-13
2026,SK,IE9,20-34,T,UNDERWEIGHT,13.46,2.65,28.88,0.271,0,NORDIC_KEYHOLE,0,0,41.63,17.02,A:0.11;B:0.18;C:0.33;D:0.14;E:0.24,hlth_ehis_dn1e,ECDC_NUTRITION,2025-09-08
2010,BE,BE8,15-19,F,NORMAL,30.18,3.37,30.86,0.3135,0,KEYHOLE,0,1,40.05,2.63,A:0.13;B:0.15;C:0.33;D:0.08;E:0.31,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-10-12
2011,DK,IE14,10-14,M,OVERWEIGHT,29.21,6.29,57.98,0.4763,0,NUTRI_SCORE,0,0,64.95,3.29,A:0.29;B:0.27;C:0.3;D:0.07;E:0.07,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-06-07
2012,GR,SI62,5-9,T,OBESE,4.1,6.46,56.47,0.4763,1,NONE,1,1,37.3,1.95,A:0.32;B:0.3;C:0.21;D:0.16;E:0.0,hlth_ehis_sk1e,WHO_EURO,2024-09-23
2013,LT,SK3,0-4,F,UNDERWEIGHT,32.5,1.6,55.49,0.7806,1,TRAFFIC_LIGHTS,1,1,19.46,15.95,A:0.14;B:0.13;C:0.26;D:0.17;E:0.3,hlth_ehis_bm1e,EHIS,2024-08-03
2014,PT,FR31,65+,M,NORMAL,31.71,2.53,34.79,0.731,0,BATTERY_LABEL,1,1,20.23,13.22,A:0.27;B:0.1;C:0.31;D:0.11;E:0.21,hlth_ehis_dn1e,ECDC_NUTRITION,2024-06-22
2015,SE,DK99,50-64,T,OVERWEIGHT,25.75,5.76,50.28,0.486,1,NORDIC_KEYHOLE,1,0,46.86,11.21,A:0.19;B:0.12;C:0.23;D:0.22;E:0.24,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-01-07
2016,CY,NL64,35-49,F,OBESE,30.78,2.75,57.35,0.2461,1,KEYHOLE,0,1,35.94,6.91,A:0.33;B:0.26;C:0.16;D:0.24;E:0.01,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2026-02-16
2017,FR,DE1,20-34,M,UNDERWEIGHT,19.45,4.44,39.02,0.464,0,NUTRI_SCORE,0,1,70.85,7.06,A:0.25;B:0.2;C:0.34;D:0.13;E:0.08,hlth_ehis_sk1e,WHO_EURO,2024-11-29
2018,IT,BG6,15-19,T,NORMAL,14.26,4.15,31.99,0.1491,1,NONE,0,0,33.92,6.62,A:0.31;B:0.25;C:0.33;D:0.11;E:0.0,hlth_ehis_bm1e,EHIS,2025-07-01
2019,NL,ES99,10-14,F,OVERWEIGHT,11.48,6.4,60.95,0.1067,0,TRAFFIC_LIGHTS,0,0,66.87,3.38,A:0.25;B:0.35;C:0.21;D:0.07;E:0.12,hlth_ehis_dn1e,ECDC_NUTRITION,2025-04-18
2020,SI,FR127,5-9,M,OBESE,5.09,6.3,37.41,0.1696,1,BATTERY_LABEL,0,0,56.39,14.71,A:0.22;B:0.17;C:0.29;D:0.11;E:0.21,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-09-04
2021,BG,PT2,0-4,T,UNDERWEIGHT,30.72,5.05,40.69,0.9489,0,NORDIC_KEYHOLE,1,1,42.87,2.78,A:0.28;B:0.29;C:0.28;D:0.16;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-10-09
2022,EE,FR64,65+,F,NORMAL,27.1,6.68,13.18,0.6712,0,KEYHOLE,1,1,31.15,3.2,A:0.27;B:0.25;C:0.23;D:0.11;E:0.14,hlth_ehis_sk1e,WHO_EURO,2026-02-17
2023,HU,EE84,50-64,M,OVERWEIGHT,19.93,2.38,37.3,0.6435,0,NUTRI_SCORE,0,1,59.37,17.5,A:0.32;B:0.18;C:0.13;D:0.14;E:0.23,hlth_ehis_bm1e,EHIS,2024-02-24
2024,LU,SI73,35-49,T,OBESE,18.72,3.3,45.85,0.4291,1,NONE,1,1,23.36,5.94,A:0.12;B:0.28;C:0.23;D:0.14;E:0.23,hlth_ehis_dn1e,ECDC_NUTRITION,2024-05-06
2025,RO,LT6,20-34,F,UNDERWEIGHT,33.23,5.54,57.12,0.724,1,TRAFFIC_LIGHTS,1,1,32.12,17.41,A:0.17;B:0.19;C:0.32;D:0.17;E:0.15,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-02-06
2026,AT,HR860,15-19,M,NORMAL,30.61,1.52,48.93,0.8026,0,BATTERY_LABEL,0,0,33.51,3.9,A:0.13;B:0.18;C:0.32;D:0.15;E:0.22,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-02-17
2010,CZ,MT259,10-14,T,OVERWEIGHT,16.01,5.81,22.25,0.4085,1,NORDIC_KEYHOLE,0,1,64.8,7.09,A:0.2;B:0.12;C:0.25;D:0.18;E:0.25,hlth_ehis_sk1e,WHO_EURO,2024-08-21
2011,DE,EE95,5-9,F,OBESE,30.51,4.82,19.15,0.474,1,KEYHOLE,0,0,41.2,15.69,A:0.18;B:0.24;C:0.22;D:0.12;E:0.24,hlth_ehis_bm1e,EHIS,2024-10-01
2012,LV,AT5,0-4,M,UNDERWEIGHT,33.4,3.59,15.65,0.4544,1,NUTRI_SCORE,1,1,21.49,2.63,A:0.21;B:0.2;C:0.31;D:0.17;E:0.11,hlth_ehis_dn1e,ECDC_NUTRITION,2024-03-22
2013,PL,LV470,65+,T,NORMAL,19.29,5.74,25.29,0.405,0,NONE,1,1,51.43,11.05,A:0.29;B:0.31;C:0.24;D:0.15;E:0.01,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-03-26
2014,ES,NL149,50-64,F,OVERWEIGHT,16.25,6.06,34.49,0.8012,0,TRAFFIC_LIGHTS,0,0,41.07,5.52,A:0.19;B:0.12;C:0.18;D:0.19;E:0.32,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-12-29
2015,HR,SI33,35-49,M,OBESE,31.96,1.33,26.67,0.3126,1,BATTERY_LABEL,0,1,35.14,5.02,A:0.16;B:0.17;C:0.28;D:0.17;E:0.22,hlth_ehis_sk1e,WHO_EURO,2024-06-12
