qol_amen_inventory_year,qol_amen_service_area_id,qol_amen_park_acres_per_1k,qol_amen_playground_count,qol_amen_trail_miles_total,qol_amen_library_branches_count,qol_amen_library_visits_per_capita,qol_amen_public_pool_count,qol_amen_recreation_program_participation,qol_amen_arts_venue_count,qol_amen_community_center_count,qol_amen_clinic_access_points_count,qol_amen_childcare_slots_per_1k,qol_amen_senior_center_count,qol_amen_public_restroom_count,qol_amen_tree_canopy_acres,qol_amen_streetlight_density,qol_amen_sidewalk_coverage_pct,qol_amen_accessibility_score_ada,qol_amen_amenity_equity_index
2016,SVC000000972,112.1591,82,789.61,17,15.42,16,0.0624,20,38,146,19.99,33,669,23368.55,133.761,13.3,65.07,0.9574
2021,SVC000000973,28.3342,164,782.68,16,24.229,1,0.2079,86,52,140,99.33,3,511,42751.88,116.952,29.5,85.71,0.5151
2010,SVC000000974,72.8483,82,209.76,12,11.414,25,0.5371,18,12,30,64.84,1,538,19235.45,5.726,30.72,6.48,0.1004
2021,SVC000000975,90.8244,120,630.59,88,32.604,18,0.2078,114,33,24,79.63,40,379,2109.75,69.68,11.2,95.74,0.093
2018,SVC000000976,7.0455,238,239.48,100,4.183,9,0.0796,102,80,0,75.14,19,369,25347.46,81.611,97.83,43.69,0.2078
2024,SVC000000977,42.5716,314,60.97,72,29.901,17,0.1656,2,69,150,1.79,59,601,9847.16,225.264,84.62,39.04,0.5914
2016,SVC000000978,87.7847,90,595.63,13,0.485,49,0.5307,103,38,117,22.87,14,485,42205.23,194.401,86.28,18.79,0.4096
2024,SVC000000979,71.0408,193,848.31,17,6.643,39,0.1896,106,64,1,98.01,32,399,28410.01,79.066,8.03,20.48,0.3605
2017,SVC000000980,18.2489,400,555.58,95,34.324,40,0.9183,37,43,27,49.09,31,417,31633.99,143.776,93.71,17.99,0.9689
2017,SVC000000981,6.082,28,874.38,71,2.679,6,0.3808,17,8,169,28.87,47,297,19884.12,33.794,63.58,84.26,0.5704
2014,SVC000000982,78.7911,185,431.39,78,13.988,48,0.3611,70,61,85,12.97,54,483,39989.86,246.672,61.87,35.84,0.1739
2013,SVC000000983,55.6882,126,54.8,50,20.312,19,0.451,1,18,149,20.5,32,548,28707.89,95.932,50.99,91.81,0.5307
2025,SVC000000984,29.3873,451,688.22,42,32.644,49,0.17,13,78,28,53.75,59,161,6577.33,231.82,1.5,87.93,0.4988
2012,SVC000000985,69.5234,17,461.37,74,39.169,6,0.7724,43,72,52,90.37,20,514,4005.79,155.227,73.37,36.57,0.1707
2017,SVC000000986,70.2465,113,387.84,39,23.254,31,0.4809,48,78,134,51.74,52,268,42444.41,175.275,80.23,73.44,0.9912
2011,SVC000000987,96.1726,232,21.71,19,1.358,41,0.939,61,26,11,73.84,27,15,26537.27,98.566,15.61,92.26,0.95
2009,SVC000000988,33.6177,385,877.2,84,18.792,19,0.3723,60,53,140,115.76,30,335,36197.15,148.341,94.87,1.7,0.1437
2023,SVC000000989,7.9478,193,658.9,39,4.103,14,0.2474,128,50,129,11.72,29,192,34766.0,9.09,20.45,78.75,0.2124
2014,SVC000000990,30.4199,432,421.39,41,2.834,22,0.6943,89,55,72,27.8,22,208,40146.46,169.969,47.54,1.51,0.3657
2014,SVC000000991,104.619,130,388.62,53,13.048,41,0.0285,125,47,76,0.43,45,469,12634.79,232.275,38.86,53.84,0.7767
2016,SVC000000992,101.6081,471,266.05,47,34.618,20,0.1133,118,70,44,107.78,52,87,13405.94,34.272,43.96,88.46,0.2484
2020,SVC000000993,7.2432,43,427.22,11,0.559,20,0.6345,63,43,35,67.19,39,628,44531.94,123.874,38.67,7.7,0.0623
2022,SVC000000994,119.5383,150,618.44,44,26.395,44,0.4265,0,26,61,67.63,13,89,21161.75,189.401,47.36,17.99,0.2208
2020,SVC000000995,65.6484,212,157.77,53,10.978,3,0.9693,20,39,190,82.65,50,693,12415.78,87.253,48.06,28.12,0.8529
2017,SVC000000996,69.5395,219,828.36,92,6.332,10,0.8068,134,39,114,6.48,15,108,26396.44,135.203,26.26,15.87,0.8374
2018,SVC000000997,72.5846,154,419.88,34,28.477,36,0.004,104,11,54,63.25,30,521,28002.93,212.212,59.32,2.31,0.1562
2009,SVC000000998,8.0127,34,355.63,15,2.092,25,0.9852,98,7,178,87.59,47,302,34037.06,222.258,38.36,64.19,0.133
2014,SVC000000999,7.8248,289,72.85,65,15.124,19,0.1037,62,64,95,27.08,9,552,18433.99,22.609,35.73,8.99,0.0088
2022,SVC000001000,35.9689,6,702.49,100,32.337,48,0.2158,0,58,95,112.48,34,210,12448.02,212.157,56.27,23.69,0.3717
2020,SVC000001001,40.116,481,386.3,20,37.49,28,0.0159,10,72,43,30.12,0,375,876.39,49.539,69.88,69.64,0.2063
2021,SVC000001002,41.9501,84,857.28,69,7.55,49,0.0721,127,71,194,40.18,4,83,29144.24,159.062,85.87,0.39,0.5565
2014,SVC000001003,44.4912,406,472.5,5,25.123,23,0.5932,39,35,16,81.95,18,53,26389.94,223.462,31.38,83.18,0.406
2018,SVC000001004,49.0813,90,56.33,24,14.635,1,0.0678,106,61,35,112.5,7,93,40423.34,223.906,36.93,66.86,0.1954
2015,SVC000001005,63.6444,265,696.02,9,10.95,13,0.0294,57,44,129,19.54,55,663,40624.53,93.748,97.17,93.3,0.6403
2024,SVC000001006,56.4345,142,882.84,8,20.766,30,0.0914,28,59,31,100.97,0,516,23440.45,213.023,75.13,18.02,0.6508
2015,SVC000001007,7.3936,186,294.29,89,30.961,13,0.5137,94,27,184,32.56,50,67,6648.05,32.037,35.74,93.92,0.7092
2024,SVC000001008,55.4607,427,467.31,27,1.31,45,0.7129,140,45,61,18.04,15,330,12727.84,126.884,32.61,40.05,0.2579
2012,SVC000001009,59.9288,10,413.22,23,29.033,4,0.5331,31,24,119,19.41,12,300,18818.2,171.161,84.93,34.1,0.0845
2019,SVC000001010,70.5789,187,735.17,51,4.253,42,0.6351,96,51,128,15.55,33,480,17781.84,50.482,36.69,9.39,0.5247
2009,SVC000001011,74.936,95,418.83,46,36.279,16,0.3534,39,1,42,31.2,9,145,21571.01,15.412,75.88,11.72,0.6199
2014,SVC000001012,88.5861,293,122.22,80,0.138,25,0.245,62,67,169,37.43,23,362,12873.25,95.775,46.48,34.25,0.7651
2015,SVC000001013,2.1062,332,14.61,50,38.407,6,0.5474,20,18,191,107.69,12,326,30047.18,209.335,29.89,85.62,0.537
2011,SVC000001014,50.6233,262,621.78,93,23.4,7,0.853,140,60,147,113.16,38,68,7260.64,45.235,47.25,59.09,0.2273
2015,SVC000001015,54.5224,118,56.49,26,37.362,6,0.7099,140,19,180,81.96,54,45,28272.64,111.981,95.51,7.09,0.4003
2020,SVC000001016,58.3905,104,4.7,26,5.537,16,0.9994,78,38,141,26.12,48,157,35060.65,64.255,66.26,29.77,0.1222
2013,SVC000001017,85.5556,46,251.97,47,29.553,31,0.7138,55,6,149,23.2,60,286,2304.96,89.102,67.05,23.95,0.2625
2012,SVC000001018,16.6737,467,453.88,74,26.193,34,0.3723,139,75,27,62.5,25,686,41851.6,137.254,6.37,20.65,0.5805
2016,SVC000001019,116.5508,286,693.37,44,2.724,25,0.9248,22,26,145,103.89,32,224,22700.24,142.223,82.23,72.22,0.7931
2018,SVC000001020,102.4119,430,544.12,30,6.605,29,0.3284,142,33,179,55.23,53,173,31810.95,68.738,30.98,78.0,0.8724
2023,SVC000001021,48.873,483,631.88,12,25.453,19,0.2464,115,5,9,44.95,44,315,29044.62,222.283,93.43,65.64,0.5611
2012,SVC000001022,32.7221,90,137.41,27,4.246,33,0.9037,37,25,108,8.39,15,606,25311.04,206.83,70.19,14.5,0.1756
2017,SVC000001023,69.5892,416,172.78,53,27.05,18,0.9652,131,17,130,15.3,60,270,1032.71,163.798,26.26,59.31,0.3769
2020,SVC000001024,69.8603,114,707.72,2,32.195,19,0.3355,125,5,149,8.28,27,562,24672.71,193.313,84.56,33.19,0.2529
2014,SVC000001025,13.7534,101,542.26,37,24.643,18,0.5004,111,58,187,106.49,40,576,20105.38,85.855,84.55,47.64,0.4217
2018,SVC000001026,41.4745,324,268.64,69,39.631,37,0.8263,2,69,5,27.08,11,28,11641.68,111.998,47.06,4.29,0.5135
2010,SVC000001027,96.2006,226,337.02,19,21.694,35,0.5294,86,8,112,56.35,46,555,3400.38,222.545,51.57,55.22,0.5875
2019,SVC000001028,46.4307,344,400.08,8,15.377,43,0.5064,114,28,196,50.38,20,453,35316.9,16.531,53.98,88.56,0.4828
2009,SVC000001029,118.2458,450,122.85,77,11.896,39,0.678,25,19,141,8.15,56,688,14254.04,111.877,24.43,29.92,0.5755
2022,SVC000001030,9.5379,494,392.12,68,11.439,32,0.1451,112,58,29,27.43,15,476,29417.57,206.779,1.61,8.87,0.7935
2009,SVC000001031,40.622,362,488.75,90,8.197,22,0.3501,127,62,169,15.84,33,32,29337.14,215.948,90.32,99.2,0.3296
2023,SVC000001032,104.9011,370,232.08,67,19.728,41,0.7555,125,56,42,110.21,15,302,26046.25,30.516,89.04,78.43,0.6682
2017,SVC000001033,9.0382,478,835.75,76,2.167,35,0.8816,135,48,121,36.6,8,457,40610.4,170.583,32.48,90.0,0.8723
2025,SVC000001034,34.6813,259,85.83,56,25.954,17,0.0427,22,48,79,53.5,55,17,24502.54,21.857,24.55,86.04,0.7048
2014,SVC000001035,53.5284,263,454.98,45,31.239,44,0.2773,131,29,151,52.01,39,172,2239.22,191.12,53.38,34.07,0.0218
2013,SVC000001036,28.3255,373,59.79,33,12.491,35,0.5018,106,40,97,13.04,3,100,13356.7,17.471,45.65,41.86,0.8953
2010,SVC000001037,43.2366,405,676.31,85,14.928,8,0.6488,34,33,172,27.94,26,67,33951.02,145.512,96.71,44.65,0.4353
2019,SVC000001038,84.6427,367,335.47,9,23.063,13,0.0809,39,73,161,92.98,20,618,49596.51,217.897,40.07,19.98,0.478
2011,SVC000001039,33.4118,417,458.79,6,21.526,20,0.727,125,41,196,70.93,22,489,34059.91,33.39,54.36,79.41,0.5474
2011,SVC000001040,83.4349,110,464.31,69,3.122,13,0.2198,99,43,85,44.6,23,62,1051.51,248.031,98.46,9.91,0.0827
2020,SVC000001041,82.084,229,186.24,85,25.539,9,0.1891,5,26,155,62.39,52,151,23814.57,161.552,39.96,88.14,0.4573
2017,SVC000001042,51.7961,176,251.63,23,5.01,22,0.1977,99,29,9,49.43,54,66,24080.57,8.25,44.78,32.4,0.9512
2016,SVC000001043,9.4502,287,581.17,56,30.773,49,0.9489,137,52,155,69.09,43,103,44612.89,222.791,16.55,83.84,0.0236
2024,SVC000001044,0.3173,442,512.67,53,38.938,35,0.5056,60,71,166,65.26,25,365,10585.92,184.478,42.05,95.85,0.329
2025,SVC000001045,71.3824,306,760.92,54,34.18,16,0.0437,63,25,140,38.94,57,384,20266.48,227.686,63.3,52.23,0.5359
2020,SVC000001046,103.7985,13,355.5,79,30.064,8,0.246,129,7,47,45.06,22,327,569.57,55.735,17.13,41.1,0.182
2025,SVC000001047,36.8526,161,663.65,11,22.632,11,0.9142,101,3,22,46.15,37,295,45472.07,180.133,45.29,19.11,0.7732
2013,SVC000001048,4.8637,119,154.6,16,11.064,24,0.5928,146,43,75,69.31,54,353,8101.77,147.178,53.16,42.14,0.7912
2011,SVC000001049,112.6378,58,186.2,91,17.642,39,0.6343,42,63,186,59.62,1,350,45126.73,168.941,48.34,75.71,0.2071
2011,SVC000001050,0.4999,39,490.7,5,10.619,4,0.4784,16,54,112,1.39,19,104,40616.04,140.529,5.65,30.3,0.5517
2011,SVC000001051,60.764,252,169.32,24,2.239,10,0.3235,88,55,156,113.99,21,492,15058.11,230.238,32.4,61.37,0.4455
2025,SVC000001052,21.1781,242,529.47,70,10.007,50,0.3212,138,7,76,22.45,42,601,19179.65,179.112,25.02,94.85,0.6017
2010,SVC000001053,111.8952,204,680.87,68,33.673,4,0.9457,17,19,161,35.94,48,168,19291.12,226.725,78.88,36.97,0.883
2016,SVC000001054,62.1863,395,666.95,79,39.557,20,0.242,100,80,162,108.42,5,544,10435.04,214.717,25.78,87.08,0.8183
2024,SVC000001055,14.7694,485,52.21,55,15.753,34,0.9152,62,38,174,100.98,10,158,15805.06,242.648,4.67,24.26,0.7522
2021,SVC000001056,88.7075,144,829.83,78,20.637,43,0.3146,116,65,189,85.98,55,381,2903.71,187.632,10.34,62.72,0.5336
2011,SVC000001057,83.8636,43,662.09,37,17.662,13,0.4569,49,46,189,67.69,10,684,19820.13,69.531,16.12,37.47,0.7975
2016,SVC000001058,98.0527,97,873.22,79,35.366,43,0.2027,132,20,112,69.86,31,243,32821.37,145.108,3.48,61.85,0.4487
2014,SVC000001059,50.4908,278,308.6,49,0.533,45,0.6765,111,47,38,59.87,7,298,31909.2,140.316,90.55,7.98,0.7538
2019,SVC000001060,25.6289,158,472.83,51,3.836,38,0.7187,135,35,43,11.16,44,68,49566.35,190.074,87.38,0.11,0.4332
2022,SVC000001061,25.566,254,898.66,60,9.481,15,0.6388,97,16,12,110.76,38,685,10118.13,175.569,11.85,54.25,0.1807
2015,SVC000001062,112.0931,331,807.92,18,6.295,39,0.5662,150,15,34,9.12,54,690,36647.25,112.505,68.61,43.62,0.7635
2025,SVC000001063,89.1962,248,884.62,28,24.186,15,0.4261,7,11,41,58.66,40,589,41319.79,183.003,21.21,86.11,0.5289
2025,SVC000001064,12.2823,312,61.05,94,8.809,48,0.7377,4,11,69,77.02,58,387,20917.44,207.184,43.21,1.14,0.2175
2009,SVC000001065,91.1384,29,344.11,68,11.887,8,0.2861,59,79,90,25.49,14,700,45781.85,239.074,63.86,84.34,0.0084
2024,SVC000001066,12.9045,293,773.16,86,6.23,34,0.9809,82,7,147,42.97,5,237,8387.14,227.581,28.83,72.27,0.4805
2024,SVC000001067,45.7306,378,403.52,3,5.624,8,0.8411,113,33,124,64.35,58,9,12252.32,92.581,29.42,96.75,0.1597
2023,SVC000001068,117.4077,19,116.57,15,20.601,38,0.4588,107,29,71,46.23,40,207,42829.79,219.197,51.37,2.83,0.383
2021,SVC000001069,95.3938,407,214.98,66,20.32,26,0.826,89,77,32,89.91,43,373,16247.44,209.275,89.15,28.35,0.6232
2024,SVC000001070,89.1689,120,226.38,82,5.669,44,0.2288,84,15,72,110.4,26,519,14746.59,170.783,60.76,30.79,0.3968
2010,SVC000001071,14.21,487,370.88,7,30.692,7,0.3212,27,44,14,103.05,32,691,27806.46,56.211,29.64,65.15,0.9825
2015,SVC000001072,102.7011,447,89.5,74,2.06,43,0.3884,19,67,198,0.69,45,365,34787.53,110.614,85.47,98.98,0.3299
2025,SVC000001073,25.3202,154,646.81,21,13.428,44,0.3397,23,45,22,96.91,37,150,32143.44,43.775,59.92,22.18,0.2261
2010,SVC000001074,8.0043,48,478.98,77,7.034,9,0.8918,22,29,125,7.95,34,438,11228.99,150.929,52.06,22.58,0.382
2015,SVC000001075,31.2084,145,291.22,17,22.436,16,0.4491,143,17,150,119.0,50,553,24913.18,209.377,10.27,43.27,0.66
2017,SVC000001076,83.3655,394,496.21,61,3.967,44,0.7805,136,54,1,52.43,21,283,12523.83,144.142,1.39,76.39,0.6189
2018,SVC000001077,106.9236,111,491.51,55,33.896,15,0.4624,67,1,40,24.4,43,121,2010.37,235.175,47.87,23.07,0.9281
2024,SVC000001078,15.8697,374,362.14,5,1.959,46,0.0851,79,75,94,94.0,32,577,29672.43,74.525,49.92,34.05,0.6107
2022,SVC000001079,58.3408,176,269.56,34,24.77,39,0.4523,42,37,45,82.8,23,52,46296.41,113.472,1.41,88.44,0.288
2022,SVC000001080,89.7969,118,782.53,21,3.948,36,0.7357,75,69,184,47.92,15,486,25390.6,131.676,31.11,81.36,0.0619
2025,SVC000001081,102.503,275,177.55,6,16.777,49,0.9218,130,39,151,34.25,49,571,14665.41,189.368,61.55,30.54,0.0667
2012,SVC000001082,110.6921,397,839.16,81,33.481,16,0.4462,116,54,110,6.34,55,433,23309.67,156.772,60.6,5.55,0.5992
2020,SVC000001083,106.3312,50,91.6,26,22.804,45,0.006,26,7,70,53.69,14,194,23702.14,82.068,13.73,28.0,0.0574
2013,SVC000001084,86.8523,384,490.28,93,32.969,42,0.7139,142,34,40,90.64,20,279,49622.61,61.654,73.01,91.27,0.5737
2012,SVC000001085,12.7944,38,56.84,70,2.3,42,0.8092,22,12,99,70.21,34,75,165.97,19.778,82.04,72.14,0.1482
2016,SVC000001086,20.8615,425,12.77,17,24.722,5,0.6799,20,19,85,21.02,21,587,2249.76,184.195,44.44,92.93,0.6093
2009,SVC000001087,46.6086,420,552.62,27,29.726,15,0.9417,56,79,127,100.11,12,356,36910.06,53.526,3.89,65.54,0.1199
2013,SVC000001088,108.9887,191,175.33,100,12.436,23,0.0658,129,47,35,44.07,9,419,24152.58,47.844,66.99,12.11,0.3909
2016,SVC000001089,12.8718,70,336.14,71,2.554,42,0.7325,101,74,145,4.07,18,607,1851.86,167.792,41.48,54.35,0.5802
2013,SVC000001090,26.4559,114,838.56,83,33.304,28,0.7308,33,80,171,90.06,37,460,26221.03,202.659,53.72,95.69,0.3259
2013,SVC000001091,23.457,318,378.62,16,0.068,19,0.3012,82,59,143,44.8,12,173,24790.74,161.178,45.94,40.61,0.9764
2022,SVC000001092,78.2141,153,413.17,51,21.625,25,0.6695,23,20,129,22.62,31,636,8085.4,102.915,28.56,88.04,0.0363
2009,SVC000001093,61.5302,474,103.62,1,26.583,16,0.5098,131,5,187,110.28,43,202,34858.44,190.209,38.74,44.4,0.5365
2016,SVC000001094,15.6693,217,670.72,10,39.654,48,0.8507,31,3,116,87.16,46,176,18132.85,107.462,11.29,42.27,0.1151
2019,SVC000001095,10.9854,478,261.82,35,0.075,4,0.0811,125,37,109,1.21,32,387,20202.67,210.949,45.39,68.06,0.6806
2023,SVC000001096,101.3415,491,39.08,52,23.113,33,0.8362,80,12,25,88.24,22,479,494.8,126.087,35.09,88.38,0.9119
2020,SVC000001097,21.4436,241,531.12,34,32.607,25,0.2255,12,33,190,18.28,46,212,10605.43,9.014,16.44,64.2,0.5053
2009,SVC000001098,46.3347,233,302.0,32,7.642,36,0.1797,60,10,153,100.86,16,486,13239.41,30.797,41.1,99.47,0.9134
2017,SVC000001099,48.8698,481,853.94,84,24.68,8,0.8169,3,28,39,109.21,3,442,3371.79,135.024,83.9,36.49,0.5325
2012,SVC000001100,119.0919,118,849.75,74,34.185,0,0.4192,129,57,98,32.58,14,511,31472.41,238.321,9.51,28.11,0.1242
2025,SVC000001101,95.255,76,836.56,89,4.732,35,0.6889,147,40,173,111.17,11,20,5891.82,223.652,11.05,10.21,0.6575
2020,SVC000001102,76.9151,252,606.43,21,30.058,19,0.4398,58,53,68,82.1,43,278,42155.38,173.97,54.04,12.29,0.9396
2009,SVC000001103,102.9652,0,601.59,86,32.006,15,0.6943,41,76,135,62.84,57,53,48137.18,249.978,34.77,16.96,0.5426
2023,SVC000001104,14.4873,399,868.34,54,19.368,30,0.7002,115,32,41,45.64,43,319,43518.03,59.197,2.94,81.11,0.0165
2022,SVC000001105,27.5394,384,645.11,43,25.227,20,0.4622,82,41,64,96.43,19,590,32547.34,91.214,16.78,83.37,0.7681
2009,SVC000001106,49.1135,274,816.25,64,2.486,41,0.334,60,30,14,78.22,55,260,24656.5,59.65,62.79,30.87,0.4417
2009,SVC000001107,61.1876,161,576.22,9,11.405,48,0.2987,142,9,43,78.84,6,158,10083.25,42.72,19.69,4.99,0.4918
2016,SVC000001108,47.3007,443,274.52,99,37.426,1,0.7031,67,27,72,61.48,33,158,21099.73,214.841,55.91,80.47,0.1589
2016,SVC000001109,3.3108,203,189.75,67,12.509,41,0.0103,0,44,54,70.12,50,342,3633.74,35.651,55.13,5.23,0.7469
2021,SVC000001110,118.7689,451,831.21,40,9.836,46,0.0914,61,37,115,3.97,35,304,7088.2,94.876,27.2,62.06,0.8423
2010,SVC000001111,102.967,309,573.88,5,1.581,35,0.0921,144,10,173,92.64,38,56,39636.92,49.653,26.0,40.15,0.4047
2021,SVC000001112,75.1711,451,151.72,86,12.873,48,0.5596,118,44,79,70.09,32,631,37119.49,126.431,32.73,55.47,0.1287
2022,SVC000001113,94.7132,441,266.78,78,22.423,17,0.8188,122,34,110,112.85,27,122,3343.62,20.746,77.18,57.81,0.3471
2025,SVC000001114,35.8353,32,572.03,98,2.267,19,0.6903,84,32,99,6.39,36,343,34550.49,66.484,54.13,62.11,0.9882
2013,SVC000001115,107.1764,95,215.37,81,0.147,10,0.6317,77,12,138,64.07,50,641,39136.39,86.054,38.24,71.19,0.8372
2009,SVC000001116,22.4635,269,245.84,65,36.471,28,0.5296,143,65,5,82.79,21,558,47051.1,79.487,40.34,55.46,0.0583
2022,SVC000001117,64.3616,487,71.26,49,5.471,33,0.6323,20,28,25,12.2,5,491,37251.76,208.951,33.68,48.53,0.4266
2018,SVC000001118,76.9647,99,27.34,21,6.904,19,0.5291,69,41,172,33.65,12,308,39964.21,79.749,82.0,76.38,0.4058
2025,SVC000001119,27.7048,248,137.0,2,10.778,34,0.2134,4,42,176,83.63,30,230,28804.83,153.416,79.54,18.81,0.478
2015,SVC000001120,98.2989,118,238.9,85,3.026,29,0.252,147,28,75,0.77,56,676,47606.33,76.853,16.79,45.85,0.587
2017,SVC000001121,10.582,79,548.4,35,22.483,21,0.3661,12,4,71,37.28,2,473,21016.72,234.421,60.2,94.46,0.0561
2024,SVC000001122,16.3241,170,703.91,74,14.139,39,0.8867,45,50,15,104.1,36,524,9521.12,159.329,97.78,54.61,0.7043
2017,SVC000001123,81.2962,47,753.73,21,7.139,1,0.2383,58,29,150,49.66,10,254,23940.13,33.319,71.03,72.05,0.937
2015,SVC000001124,77.3163,20,895.62,27,9.108,12,0.155,97,51,77,65.99,26,169,20320.14,127.072,6.52,69.96,0.5122
2014,SVC000001125,13.8684,234,744.81,68,27.318,44,0.4024,102,1,29,77.37,39,297,27120.21,170.973,48.43,28.81,0.1322
2009,SVC000001126,14.6425,36,376.0,42,18.057,31,0.551,148,80,126,57.99,39,436,31689.21,99.203,91.06,84.38,0.6872
2014,SVC000001127,71.6566,358,480.42,94,33.507,25,0.0609,110,33,185,18.43,11,324,39978.15,99.321,57.44,38.94,0.2991
2024,SVC000001128,70.9627,432,871.17,59,7.465,39,0.9447,98,51,132,119.44,27,632,29321.84,191.975,22.13,23.88,0.4093
2020,SVC000001129,104.3678,104,549.82,11,9.824,46,0.667,27,70,177,42.49,28,632,3833.86,202.839,97.16,3.61,0.0489
2014,SVC000001130,74.0119,117,529.27,15,16.972,27,0.7689,107,23,199,4.43,0,153,27156.71,18.379,16.55,78.41,0.994
2016,SVC000001131,96.952,489,99.57,31,21.204,36,0.5573,105,0,182,15.98,35,547,27729.96,30.682,75.46,48.56,0.1474
2009,SVC000001132,38.4091,45,125.7,90,34.686,17,0.6169,32,72,161,45.08,8,418,17121.81,228.168,85.63,60.35,0.0867
2018,SVC000001133,23.6982,279,176.52,73,24.504,2,0.7158,77,53,115,26.25,41,146,41681.53,108.644,92.77,40.74,0.4152
2015,SVC000001134,117.1373,129,185.63,96,1.57,35,0.7539,102,24,54,94.42,0,189,40271.27,135.124,2.3,30.26,0.3153
2011,SVC000001135,5.1124,285,487.72,75,13.935,42,0.3984,56,14,98,4.65,12,573,42179.15,201.989,7.42,71.63,0.8306
2022,SVC000001136,91.7485,347,363.59,40,6.224,7,0.3722,64,4,30,20.75,49,645,28810.41,114.622,36.79,80.96,0.864
2012,SVC000001137,85.7296,60,366.94,83,33.495,7,0.0403,145,21,8,99.3,46,87,42976.1,217.13,53.6,93.83,0.0633
2015,SVC000001138,92.7827,440,179.1,61,8.213,46,0.8896,98,22,160,7.72,34,446,14534.54,45.171,93.87,33.12,0.9584
2023,SVC000001139,65.7878,179,892.91,81,8.584,36,0.805,113,16,62,88.66,21,403,6393.0,136.917,85.73,94.53,0.1357
2012,SVC000001140,105.7319,326,643.07,21,16.148,46,0.5031,41,55,87,99.58,1,437,35864.58,28.973,63.59,49.68,0.5199
2015,SVC000001141,43.105,130,490.55,12,10.834,39,0.9851,111,71,112,119.88,8,534,24214.91,3.062,47.44,31.08,0.4771
2017,SVC000001142,89.3181,204,543.19,80,0.621,13,0.4647,81,66,11,88.38,13,401,35107.62,212.785,10.79,23.73,0.3543
2009,SVC000001143,16.6302,335,393.96,86,3.544,43,0.5558,32,51,16,78.25,43,459,41914.72,245.772,62.67,99.7,0.9313
2013,SVC000001144,92.0753,374,355.27,51,28.446,6,0.9743,25,79,106,116.96,5,135,38536.22,120.249,54.99,95.02,0.1613
2009,SVC000001145,66.8754,26,844.95,11,2.911,14,0.9056,18,72,89,63.4,40,644,3252.82,105.176,72.08,91.68,0.6326
2011,SVC000001146,88.2855,349,44.27,92,21.243,37,0.5535,100,41,5,58.18,29,439,32556.37,31.978,54.94,50.44,0.0485
2013,SVC000001147,113.8286,96,773.75,56,13.905,49,0.9813,118,18,158,2.56,51,56,26056.22,134.548,20.41,77.08,0.0835
2025,SVC000001148,64.9947,131,787.64,12,36.535,36,0.5248,81,20,56,43.78,11,38,31790.78,175.447,60.67,79.71,0.371
2015,SVC000001149,119.6428,282,373.99,32,26.093,46,0.0898,92,25,60,79.4,58,589,26594.33,206.261,97.8,71.45,0.2695
2015,SVC000001150,92.3249,5,550.35,77,19.145,24,0.4269,141,54,93,16.14,58,668,39399.96,48.129,58.37,64.42,0.6293
2011,SVC000001151,69.532,146,680.75,11,38.546,17,0.4214,112,39,191,9.25,51,184,46802.71,20.179,13.32,59.16,0.5568
2016,SVC000001152,42.6981,21,118.67,94,3.835,11,0.5608,48,65,85,8.37,19,8,49858.71,49.855,66.95,34.07,0.805
2022,SVC000001153,90.5652,285,464.91,58,17.093,3,0.5694,136,69,59,68.52,41,484,423.51,189.117,10.72,37.52,0.584
2015,SVC000001154,69.5433,429,333.25,57,27.833,29,0.9532,87,70,39,31.94,37,13,40997.91,27.914,98.88,77.92,0.3107
2015,SVC000001155,39.6634,463,563.52,70,14.777,12,0.7434,125,35,102,52.13,34,171,20115.09,83.072,29.16,33.86,0.9632
2022,SVC000001156,112.2585,468,456.81,30,22.943,29,0.1923,86,42,166,105.61,6,692,27554.83,61.468,27.27,6.57,0.676
2010,SVC000001157,111.9856,335,214.57,88,13.987,32,0.5204,136,6,32,51.65,60,33,23495.53,146.67,43.04,84.73,0.7361
2019,SVC000001158,44.4427,290,546.94,26,10.02,6,0.7943,134,26,83,86.77,55,335,10310.85,203.196,71.93,20.88,0.1324
2010,SVC000001159,5.9558,393,442.63,60,4.592,24,0.2607,111,50,153,59.24,60,107,39129.14,77.563,96.08,31.76,0.3953
2018,SVC000001160,15.5089,160,762.4,79,17.317,31,0.6588,37,63,120,18.91,9,9,38704.89,65.016,18.87,54.78,0.2714
2025,SVC000001161,75.654,65,787.57,34,35.633,38,0.0232,107,73,117,109.72,56,614,43429.43,179.937,15.78,62.42,0.6209
2020,SVC000001162,30.4191,468,463.82,33,2.012,33,0.6773,89,1,171,52.8,43,100,2349.2,215.129,67.48,25.27,0.384
2019,SVC000001163,99.7272,436,539.27,92,4.381,31,0.9125,37,14,192,103.49,54,286,17585.55,133.848,5.98,46.16,0.8458
2014,SVC000001164,72.8523,268,665.52,31,32.19,25,0.055,21,17,86,12.75,0,317,36174.0,151.893,21.36,62.84,0.4198
2015,SVC000001165,20.3954,483,864.99,26,14.434,3,0.7919,131,78,118,95.39,34,621,1980.54,189.952,43.98,3.5,0.6182
2012,SVC000001166,21.4065,390,273.53,78,0.33,2,0.3507,108,2,141,10.0,43,340,6551.27,165.514,69.6,72.71,0.6469
2022,SVC000001167,107.0446,57,73.93,35,8.201,44,0.2385,21,2,127,32.79,16,374,6685.3,73.65,22.2,79.63,0.6785
