edu_att_reference_year,edu_att_country_iso2,edu_att_region_nuts_code,edu_att_age_group,edu_att_sex,edu_att_isc_level,edu_att_early_school_leavers_rate_pct,edu_att_tertiary_attainment_rate_pct,edu_att_vet_participation_rate_pct,edu_att_adult_learning_rate_pct,edu_att_neet_rate_pct,edu_att_pisa_reading_score,edu_att_pisa_math_score,edu_att_pisa_science_score,edu_att_digital_skills_students_pct,edu_att_teacher_shortage_index,edu_att_education_expenditure_pct_gdp,edu_att_eurostat_table_code,edu_att_survey_weight,edu_att_data_extract_date
2011,ES,DE528,15_24,M,ISCED_5_8,15.6,47.74,24.39,10.69,8.8,496,495,462,52.73,59.51,4.97,edat_lfse_29,3.3496,2024-04-25
2012,CZ,HR438,25_34,X,ISCED_3_4,4.47,52.0,38.36,13.8,17.67,457,437,451,65.08,18.96,4.8,edat_lfs_9912,2.2872,2024-06-05
2013,HU,SI53,35_44,F,ISCED_0_2,15.1,35.83,35.61,16.43,10.99,515,455,533,57.03,36.78,6.83,edat_lfse_03,1.5345,2024-11-07
2014,NL,SK393,45_54,M,ISCED_5_8,6.13,52.35,47.15,9.56,18.05,493,476,531,29.2,25.27,6.91,edat_lfse_14,2.272,2025-03-02
2015,SE,LT356,55_64,X,ISCED_3_4,4.2,35.21,24.13,17.85,4.71,466,485,526,68.96,12.61,7.81,edat_lfse_29,1.4409,2025-05-08
2016,DK,EE96,15_24,F,ISCED_0_2,12.06,38.16,29.82,6.61,17.7,550,542,491,25.87,17.27,6.19,edat_lfs_9912,2.9755,2025-04-04
2017,IE,DE833,25_34,M,ISCED_5_8,8.81,43.99,51.6,13.7,8.04,549,513,515,67.18,24.07,4.32,edat_lfse_03,3.7841,2024-02-20
2018,PL,RO95,35_44,X,ISCED_3_4,3.43,32.8,20.24,12.87,16.97,525,511,507,58.55,10.29,6.41,edat_lfse_14,2.8658,2026-01-21
2019,AT,LV149,45_54,F,ISCED_0_2,13.92,47.39,38.26,16.12,9.52,452,438,511,66.24,62.73,7.12,edat_lfse_29,2.2848,2025-05-08
2020,EE,SI8,55_64,M,ISCED_5_8,9.0,55.25,25.61,18.34,7.56,513,457,490,36.46,36.5,5.77,edat_lfs_9912,3.8417,2024-05-21
2021,IT,FR714,15_24,X,ISCED_3_4,17.39,48.85,11.6,9.43,18.49,464,449,455,62.52,72.3,3.18,edat_lfse_03,1.6183,2025-11-22
2022,PT,SK367,25_34,F,ISCED_0_2,8.32,38.14,50.87,4.24,13.12,438,392,429,68.06,44.45,6.75,edat_lfse_14,3.0126,2024-06-28
2023,BE,BG5,35_44,M,ISCED_5_8,10.2,35.02,48.61,7.87,16.8,425,415,450,66.69,60.75,6.5,edat_lfse_29,0.9984,2024-06-14
2024,FI,LU87,45_54,X,ISCED_3_4,13.6,31.04,51.59,3.37,14.38,439,473,427,75.02,75.6,6.91,edat_lfs_9912,2.6619,2024-01-22
2025,LV,MT374,55_64,F,ISCED_0_2,9.75,43.31,18.79,2.8,9.36,536,506,536,58.77,13.62,4.36,edat_lfse_03,2.1685,2025-03-21
2006,RO,LV1,15_24,M,ISCED_5_8,14.85,19.53,42.17,6.23,9.59,434,404,420,52.4,52.7,4.84,edat_lfse_14,2.0104,2025-03-14
2007,BG,MT725,25_34,X,ISCED_3_4,14.53,34.93,46.33,12.82,14.11,409,439,397,51.41,68.06,5.53,edat_lfse_29,4.774,2024-04-22
2008,FR,LT2,35_44,F,ISCED_0_2,10.38,45.15,10.29,7.01,11.67,400,398,396,33.56,15.68,3.73,edat_lfs_9912,4.4823,2024-08-25
2009,LT,ES63,45_54,M,ISCED_5_8,4.35,45.09,39.6,8.76,15.27,459,463,487,59.14,28.06,4.12,edat_lfse_03,3.5171,2024-04-06
2010,SK,ES34,55_64,X,ISCED_3_4,11.33,50.38,48.09,6.74,6.13,472,458,493,36.52,66.43,6.53,edat_lfse_14,3.4868,2024-05-27
2011,HR,FR43,15_24,F,ISCED_0_2,12.29,25.61,32.37,5.59,13.01,498,439,465,78.06,19.97,6.08,edat_lfse_29,1.3222,2025-12-25
2012,DE,EE472,25_34,M,ISCED_5_8,13.26,37.94,42.18,8.26,10.06,474,492,473,60.95,65.43,6.79,edat_lfs_9912,0.5249,2024-07-23
2013,LU,ES85,35_44,X,ISCED_3_4,13.31,36.54,18.54,9.25,9.57,445,425,468,37.15,38.4,4.59,edat_lfse_03,1.6647,2024-09-05
2014,SI,NL54,45_54,F,ISCED_0_2,7.06,21.88,12.55,7.65,16.74,476,455,473,24.47,51.78,3.35,edat_lfse_14,1.5195,2025-12-04
2015,CY,FR6,55_64,M,ISCED_5_8,9.67,26.47,23.23,18.06,15.15,445,405,445,46.32,35.56,6.97,edat_lfse_29,4.5301,2024-07-15
2016,GR,GR39,15_24,X,ISCED_3_4,15.09,38.91,21.66,16.56,8.34,494,429,483,29.32,37.86,5.58,edat_lfs_9912,1.1016,2025-06-13
2017,MT,PL43,25_34,F,ISCED_0_2,10.51,24.09,15.26,8.67,4.92,478,423,487,35.85,53.33,4.77,edat_lfse_03,1.6738,2025-09-19
2018,ES,LU3,35_44,M,ISCED_5_8,10.91,28.28,44.56,10.52,11.87,481,498,449,25.64,40.21,4.66,edat_lfse_14,0.5428,2024-10-07
2019,CZ,CY21,45_54,X,ISCED_3_4,6.2,50.52,41.34,5.85,4.88,443,451,475,68.93,20.59,6.24,edat_lfse_29,3.0403,2025-10-07
2020,HU,IT910,55_64,F,ISCED_0_2,14.93,48.57,24.94,7.24,22.35,452,442,471,36.2,61.18,3.95,edat_lfs_9912,3.8608,2024-08-24
2021,NL,GR87,15_24,M,ISCED_5_8,12.07,24.71,16.79,15.67,20.3,475,435,444,47.56,69.82,5.06,edat_lfse_03,0.4152,2025-06-18
2022,SE,FR444,25_34,X,ISCED_3_4,3.87,56.67,28.64,17.87,18.33,580,590,583,43.8,49.59,7.15,edat_lfse_14,1.3143,2024-11-20
2023,DK,BG985,35_44,F,ISCED_0_2,7.53,51.52,15.74,15.05,10.97,472,451,478,83.79,45.13,7.18,edat_lfse_29,0.2303,2025-03-06
2024,IE,DE651,45_54,M,ISCED_5_8,10.47,44.79,22.67,8.77,17.07,472,464,461,33.27,59.54,4.73,edat_lfs_9912,3.8991,2024-07-07
2025,PL,HR288,55_64,X,ISCED_3_4,6.02,18.53,33.16,2.74,15.19,426,418,418,59.9,53.1,4.96,edat_lfse_03,2.2846,2025-07-25
2006,AT,IE84,15_24,F,ISCED_0_2,17.74,32.84,27.74,15.1,21.85,443,458,431,24.91,64.66,3.68,edat_lfse_14,2.7381,2024-04-04
2007,EE,LU2,25_34,M,ISCED_5_8,7.06,40.98,37.39,7.4,6.79,427,447,419,79.38,44.31,5.67,edat_lfse_29,4.4822,2024-07-14
2008,IT,BE8,35_44,X,ISCED_3_4,13.77,57.93,39.35,14.07,10.78,435,429,441,63.95,17.78,6.32,edat_lfs_9912,4.5301,2025-01-08
2009,PT,IE647,45_54,F,ISCED_0_2,18.33,20.54,20.63,16.88,11.29,441,416,424,42.0,41.07,5.5,edat_lfse_03,4.5013,2024-03-04
2010,BE,PL22,55_64,M,ISCED_5_8,4.48,43.38,15.69,13.46,5.59,488,456,460,76.99,61.47,5.79,edat_lfse_14,1.6265,2026-02-22
2011,FI,IT8,15_24,X,ISCED_3_4,9.87,44.92,15.98,15.8,17.04,471,515,516,67.02,60.82,7.24,edat_lfse_29,0.2675,2024-02-01
2012,LV,HR47,25_34,F,ISCED_0_2,14.37,52.15,51.32,8.33,10.59,526,479,476,30.05,17.7,7.21,edat_lfs_9912,3.3562,2024-03-19
2013,RO,FI2,35_44,M,ISCED_5_8,18.49,61.19,10.07,4.44,12.25,468,506,532,43.72,19.9,5.68,edat_lfse_03,0.202,2024-07-13
2014,BG,LT380,45_54,X,ISCED_3_4,5.55,37.52,13.66,9.43,7.14,444,452,487,47.71,62.09,4.78,edat_lfse_14,4.7761,2025-10-12
2015,FR,LU4,55_64,F,ISCED_0_2,12.03,20.9,41.74,14.44,14.33,446,470,463,51.32,20.59,5.0,edat_lfse_29,2.4314,2026-01-04
2016,LT,PL945,15_24,M,ISCED_5_8,4.23,26.99,35.05,3.43,21.79,503,495,465,59.56,25.5,7.14,edat_lfs_9912,1.5536,2024-02-16
2017,SK,FR913,25_34,X,ISCED_3_4,15.04,50.83,31.56,18.7,12.29,447,402,434,40.04,23.31,6.71,edat_lfse_03,4.6212,2025-01-06
2018,HR,SI38,35_44,F,ISCED_0_2,4.77,22.91,29.13,7.12,15.71,474,505,460,34.63,15.93,5.84,edat_lfse_14,3.9832,2024-10-13
2019,DE,SI34,45_54,M,ISCED_5_8,14.05,18.16,13.23,6.12,15.08,470,432,453,37.87,14.01,4.76,edat_lfse_29,3.9476,2024-01-19
2020,LU,FR746,55_64,X,ISCED_3_4,3.86,36.35,16.09,3.81,16.23,418,400,421,56.65,65.95,4.6,edat_lfs_9912,1.5466,2025-12-12
2021,SI,BG49,15_24,F,ISCED_0_2,11.43,29.96,47.06,11.8,11.63,477,447,524,40.24,76.54,3.82,edat_lfse_03,4.1912,2025-12-03
2022,CY,FR4,25_34,M,ISCED_5_8,6.42,32.21,30.51,7.76,8.16,409,452,433,30.21,35.81,6.03,edat_lfse_14,2.5533,2025-04-17
2023,GR,DK82,35_44,X,ISCED_3_4,13.86,41.38,39.07,16.4,11.58,515,531,515,60.58,30.38,6.17,edat_lfse_29,1.5695,2025-09-18
2024,MT,IT9,45_54,F,ISCED_0_2,9.78,21.28,38.46,4.21,10.03,476,449,476,52.89,75.39,3.83,edat_lfs_9912,1.4121,2026-02-19
2025,ES,FR967,55_64,M,ISCED_5_8,8.27,25.36,22.39,16.41,14.53,466,442,505,50.51,63.09,5.75,edat_lfse_03,4.2756,2024-06-08
2006,CZ,IE281,15_24,X,ISCED_3_4,5.24,43.28,31.1,6.99,9.13,419,383,389,30.83,65.74,5.77,edat_lfse_14,4.2993,2024-11-11
2007,HU,CY845,25_34,F,ISCED_0_2,15.02,32.7,27.05,15.45,5.89,452,458,442,78.97,18.08,6.0,edat_lfse_29,1.3036,2024-07-19
2008,NL,ES666,35_44,M,ISCED_5_8,4.97,47.72,51.95,17.65,6.79,453,479,485,24.76,8.75,6.28,edat_lfs_9912,2.5734,2024-05-03
2009,SE,LV5,45_54,X,ISCED_3_4,13.13,55.45,40.18,18.65,4.83,466,445,444,80.27,23.05,5.41,edat_lfse_03,1.4279,2025-03-29
2010,DK,EE75,55_64,F,ISCED_0_2,7.82,41.64,27.37,17.82,18.18,439,442,484,50.83,8.98,5.32,edat_lfse_14,1.6225,2026-02-06
2011,IE,DK66,15_24,M,ISCED_5_8,16.66,25.02,42.82,4.38,9.54,492,478,517,26.1,56.03,7.31,edat_lfse_29,3.3202,2025-06-18
2012,PL,PT8,25_34,X,ISCED_3_4,14.85,33.83,35.56,9.29,17.42,453,455,432,49.05,14.55,4.81,edat_lfs_9912,2.8588,2024-05-09
2013,AT,SE642,35_44,F,ISCED_0_2,6.11,57.49,24.21,14.33,6.53,435,423,471,59.43,28.5,6.9,edat_lfse_03,3.5438,2026-01-18
2014,EE,CZ653,45_54,M,ISCED_5_8,8.65,50.23,51.87,8.55,14.83,502,531,533,63.6,33.92,4.27,edat_lfse_14,4.7486,2024-02-25
2015,IT,HR99,55_64,X,ISCED_3_4,9.98,39.02,47.71,12.0,16.89,476,467,451,54.42,42.14,3.52,edat_lfse_29,2.9165,2024-01-13
2016,PT,GR935,15_24,F,ISCED_0_2,16.05,49.17,30.93,6.32,14.41,540,526,497,44.14,52.44,7.21,edat_lfs_9912,4.2638,2024-05-11
2017,BE,CZ90,25_34,M,ISCED_5_8,12.07,64.44,42.33,5.97,7.94,472,488,491,51.53,30.85,7.28,edat_lfse_03,1.5947,2025-11-04
2018,FI,RO325,35_44,X,ISCED_3_4,7.62,32.68,23.89,5.16,13.68,525,549,547,78.72,53.76,7.34,edat_lfse_14,3.5776,2025-05-05
2019,LV,RO431,45_54,F,ISCED_0_2,3.69,30.29,30.86,5.96,11.96,436,439,390,89.35,20.79,7.23,edat_lfse_29,1.4105,2024-10-25
2020,RO,SE136,55_64,M,ISCED_5_8,13.68,27.07,38.33,11.02,12.04,440,445,408,46.96,40.43,6.81,edat_lfs_9912,4.4249,2026-01-06
2021,BG,CY261,15_24,X,ISCED_3_4,6.54,33.8,33.93,9.93,20.05,406,409,416,73.57,33.98,5.41,edat_lfse_03,3.4333,2024-04-28
2022,FR,PT82,25_34,F,ISCED_0_2,14.65,45.87,42.04,14.34,18.35,498,453,517,44.09,36.02,6.86,edat_lfse_14,0.7721,2024-01-22
2023,LT,IT64,35_44,M,ISCED_5_8,9.75,54.35,39.86,8.47,10.13,515,500,471,78.69,40.08,3.25,edat_lfse_29,3.6017,2024-01-05
2024,SK,AT789,45_54,X,ISCED_3_4,8.69,43.93,28.0,11.38,4.69,438,402,449,88.31,28.05,6.56,edat_lfs_9912,0.3767,2024-02-29
2025,HR,GR74,55_64,F,ISCED_0_2,7.56,38.59,11.7,18.86,13.62,419,417,416,90.34,64.2,6.1,edat_lfse_03,2.3983,2024-09-01
2006,DE,IE120,15_24,M,ISCED_5_8,14.57,39.41,18.79,17.83,12.45,537,469,523,61.27,35.44,6.81,edat_lfse_14,4.1972,2024-03-23
2007,LU,ES32,25_34,X,ISCED_3_4,9.89,52.5,34.67,12.03,7.11,487,490,526,61.19,57.93,6.49,edat_lfse_29,4.4062,2024-05-18
2008,SI,NL58,35_44,F,ISCED_0_2,7.28,58.29,38.38,14.52,10.94,492,548,493,42.1,48.76,6.37,edat_lfs_9912,3.164,2025-05-13
2009,CY,HR567,45_54,M,ISCED_5_8,10.11,20.71,17.93,12.94,16.53,454,439,436,76.99,15.46,5.67,edat_lfse_03,3.9567,2025-09-22
2010,GR,FR395,55_64,X,ISCED_3_4,5.58,21.45,34.6,12.29,9.23,527,462,512,67.95,49.33,6.33,edat_lfse_14,3.0327,2025-07-03
2011,MT,FR423,15_24,F,ISCED_0_2,11.95,27.5,38.86,4.25,19.98,494,520,488,73.46,26.57,6.07,edat_lfse_29,4.686,2024-06-22
2012,ES,IE251,25_34,M,ISCED_5_8,15.09,22.68,43.26,17.48,17.37,433,448,409,35.11,43.81,7.1,edat_lfs_9912,4.4724,2024-12-06
2013,CZ,IT33,35_44,X,ISCED_3_4,14.26,35.78,41.03,6.51,16.89,505,475,503,28.09,42.95,7.13,edat_lfse_03,2.6323,2025-03-02
2014,HU,HU35,45_54,F,ISCED_0_2,12.47,54.89,29.06,9.37,16.09,514,468,515,58.52,16.82,5.37,edat_lfse_14,3.1767,2024-06-17
2015,NL,LU1,55_64,M,ISCED_5_8,4.59,40.88,42.0,9.44,5.28,522,514,590,21.43,35.5,4.4,edat_lfse_29,4.2107,2024-06-13
2016,SE,BG252,15_24,X,ISCED_3_4,13.36,42.59,19.03,11.34,17.76,541,542,481,42.29,9.91,3.83,edat_lfs_9912,1.5644,2024-12-24
2017,DK,LU72,25_34,F,ISCED_0_2,5.71,56.01,47.53,10.92,4.73,568,560,535,37.15,33.13,5.78,edat_lfse_03,4.79,2026-01-28
2018,IE,DE892,35_44,M,ISCED_5_8,5.33,54.86,18.17,8.72,7.73,546,492,544,30.47,40.37,4.17,edat_lfse_14,4.5496,2024-07-19
2019,PL,DE818,45_54,X,ISCED_3_4,14.63,24.83,23.58,13.85,11.78,468,450,457,44.7,24.66,5.12,edat_lfse_29,4.4947,2024-11-03
2020,AT,BE663,55_64,F,ISCED_0_2,10.05,48.38,31.87,15.64,12.42,448,487,466,41.04,24.2,5.58,edat_lfs_9912,0.6198,2025-06-24
2021,EE,CZ67,15_24,M,ISCED_5_8,12.15,43.19,21.99,13.91,16.24,547,517,566,63.48,65.25,6.83,edat_lfse_03,3.7339,2025-01-14
2022,IT,GR553,25_34,X,ISCED_3_4,6.88,43.51,20.54,17.86,5.13,403,416,424,65.57,77.53,6.97,edat_lfse_14,2.883,2024-03-21
2023,PT,IT55,35_44,F,ISCED_0_2,11.03,51.38,22.6,15.54,8.18,476,532,516,59.03,29.83,6.07,edat_lfse_29,1.3423,2025-10-01
2024,BE,ES494,45_54,M,ISCED_5_8,4.54,37.5,42.0,9.54,9.53,505,520,498,47.04,59.98,4.11,edat_lfs_9912,1.6762,2025-05-31
2025,FI,EE399,55_64,X,ISCED_3_4,4.52,28.52,22.21,11.92,16.72,507,555,525,35.46,43.49,5.07,edat_lfse_03,3.1047,2024-02-09
2006,LV,PT975,15_24,F,ISCED_0_2,14.31,32.41,14.27,10.59,11.06,520,509,511,60.66,12.59,5.9,edat_lfse_14,0.5058,2025-02-01
2007,RO,ES716,25_34,M,ISCED_5_8,6.78,46.85,45.34,9.44,5.22,471,487,484,22.93,23.22,4.97,edat_lfse_29,2.1091,2024-05-24
2008,BG,IT1,35_44,X,ISCED_3_4,10.18,42.69,14.44,12.67,8.61,456,462,430,48.18,30.29,4.94,edat_lfs_9912,1.8098,2024-05-15
2009,FR,SE37,45_54,F,ISCED_0_2,10.95,42.8,49.79,9.13,5.61,432,423,404,31.52,49.87,4.23,edat_lfse_03,1.1514,2025-05-12
2010,LT,LU18,55_64,M,ISCED_5_8,14.94,38.25,33.72,13.42,12.94,505,459,536,34.13,17.81,5.61,edat_lfse_14,3.5097,2024-01-07
2011,SK,DE749,15_24,X,ISCED_3_4,12.12,46.83,60.26,18.88,12.08,450,439,449,73.03,21.42,6.66,edat_lfse_29,2.4556,2024-01-01
2012,HR,GR54,25_34,F,ISCED_0_2,12.9,26.08,27.89,9.76,5.01,467,443,467,28.44,15.83,5.99,edat_lfs_9912,3.248,2024-04-03
2013,DE,EE84,35_44,M,ISCED_5_8,12.33,54.42,29.58,9.79,7.21,432,473,463,78.37,17.47,6.27,edat_lfse_03,4.525,2025-03-15
2014,LU,CZ81,45_54,X,ISCED_3_4,12.69,38.34,48.87,2.72,17.82,470,504,514,35.34,40.34,4.48,edat_lfse_14,0.5983,2025-12-17
2015,SI,LU6,55_64,F,ISCED_0_2,7.49,27.23,28.39,14.61,7.65,517,527,520,61.93,58.22,4.45,edat_lfse_29,4.1899,2024-09-30
2016,CY,FR3,15_24,M,ISCED_5_8,15.84,23.87,20.74,8.29,10.61,429,430,391,27.91,64.31,4.36,edat_lfs_9912,4.1652,2026-01-15
2017,GR,LT317,25_34,X,ISCED_3_4,14.79,41.72,44.61,16.14,6.15,461,471,512,75.72,36.26,5.42,edat_lfse_03,4.6853,2024-07-21
2018,MT,BG4,35_44,F,ISCED_0_2,14.28,37.45,45.39,10.65,9.14,446,480,450,59.97,15.62,4.51,edat_lfse_14,1.9546,2024-09-20
2019,ES,HU1,45_54,M,ISCED_5_8,6.75,31.84,19.94,12.56,7.53,455,463,429,59.62,34.8,5.3,edat_lfse_29,1.8849,2025-06-23
2020,CZ,HU4,55_64,X,ISCED_3_4,6.41,28.85,14.13,8.28,14.31,419,448,463,36.49,42.27,4.46,edat_lfs_9912,1.9736,2024-05-11
2021,HU,RO29,15_24,F,ISCED_0_2,10.9,32.07,28.71,10.58,15.0,481,458,484,31.57,35.2,3.47,edat_lfse_03,2.3062,2024-12-10
2022,NL,AT986,25_34,M,ISCED_5_8,10.46,46.48,52.19,11.54,10.67,485,443,428,36.04,66.52,4.27,edat_lfse_14,0.8986,2026-01-16
2023,SE,IT2,35_44,X,ISCED_3_4,13.96,28.98,45.13,12.55,4.41,495,460,436,54.55,36.51,6.58,edat_lfse_29,0.7711,2024-04-15
2024,DK,AT569,45_54,F,ISCED_0_2,12.99,41.15,40.77,11.39,11.91,509,451,463,60.45,59.47,5.43,edat_lfs_9912,2.0341,2024-06-19
2025,IE,MT7,55_64,M,ISCED_5_8,12.8,50.67,24.15,12.4,12.27,521,489,548,28.63,20.67,5.04,edat_lfse_03,3.0512,2024-12-29
2006,PL,SE539,15_24,X,ISCED_3_4,10.06,38.26,19.1,6.28,17.76,476,463,467,25.26,64.22,5.47,edat_lfse_14,3.039,2024-02-16
2007,AT,SI69,25_34,F,ISCED_0_2,12.44,29.12,57.14,9.85,9.47,494,462,486,52.21,38.79,5.7,edat_lfse_29,3.7503,2024-09-02
2008,EE,LT14,35_44,M,ISCED_5_8,10.48,62.95,14.89,15.27,9.71,580,511,590,62.91,25.7,5.87,edat_lfs_9912,2.7282,2025-08-16
2009,IT,FI82,45_54,X,ISCED_3_4,5.99,54.88,28.33,10.79,6.17,437,450,432,25.11,28.86,7.22,edat_lfse_03,1.9648,2025-10-21
2010,PT,DE150,55_64,F,ISCED_0_2,15.46,23.02,30.81,14.61,17.84,464,460,449,61.6,31.04,6.99,edat_lfse_14,4.2283,2024-12-18
2011,BE,CZ188,15_24,M,ISCED_5_8,13.86,23.92,50.71,11.38,17.03,485,522,545,36.1,53.59,5.76,edat_lfse_29,4.43,2024-08-05
2012,FI,DK68,25_34,X,ISCED_3_4,6.68,31.24,12.63,15.33,16.94,485,526,500,50.67,50.06,5.3,edat_lfs_9912,1.107,2025-02-17
2013,LV,SK31,35_44,F,ISCED_0_2,7.86,27.79,36.71,12.87,6.78,465,469,442,32.83,36.43,4.5,edat_lfse_03,1.9398,2025-12-08
2014,RO,AT9,45_54,M,ISCED_5_8,14.29,20.67,12.85,11.76,8.22,430,418,431,64.97,55.82,4.79,edat_lfse_14,1.3353,2025-06-18
2015,BG,BE868,55_64,X,ISCED_3_4,18.18,36.58,10.33,9.84,8.64,492,467,497,50.74,46.72,4.22,edat_lfse_29,4.4596,2025-01-20
2016,FR,PL522,15_24,F,ISCED_0_2,8.22,34.83,34.7,6.16,13.54,441,439,484,60.09,28.44,5.85,edat_lfs_9912,1.4868,2025-04-11
2017,LT,RO8,25_34,M,ISCED_5_8,11.95,24.0,17.63,10.08,12.39,494,485,448,32.51,34.93,6.62,edat_lfse_03,4.7475,2025-06-09
2018,SK,SI794,35_44,X,ISCED_3_4,8.1,42.33,50.61,12.04,9.81,508,488,496,56.31,31.06,4.32,edat_lfse_14,4.6213,2024-10-11
2019,HR,LT4,45_54,F,ISCED_0_2,4.69,39.53,21.35,12.62,16.99,411,396,403,31.63,36.58,7.2,edat_lfse_29,2.315,2024-09-20
2020,DE,LU691,55_64,M,ISCED_5_8,5.4,22.56,12.78,2.74,9.8,436,446,474,39.24,68.29,3.62,edat_lfs_9912,1.0595,2026-01-13
2021,LU,ES17,15_24,X,ISCED_3_4,4.67,34.89,28.31,9.5,7.32,410,414,410,57.08,46.49,5.86,edat_lfse_03,2.0258,2024-01-19
2022,SI,PL4,25_34,F,ISCED_0_2,6.02,36.25,55.14,6.79,14.0,508,475,516,34.4,75.74,3.97,edat_lfse_14,2.426,2025-02-27
2023,CY,NL71,35_44,M,ISCED_5_8,7.62,25.33,31.26,13.45,11.26,424,455,420,73.33,63.53,5.46,edat_lfse_29,3.6923,2024-08-28
2024,GR,DK835,45_54,X,ISCED_3_4,9.98,52.65,47.64,13.66,8.06,464,462,452,61.33,56.27,5.33,edat_lfs_9912,4.5565,2025-09-24
2025,MT,LV6,55_64,F,ISCED_0_2,12.62,42.42,29.08,6.13,10.39,515,490,504,27.67,77.79,3.45,edat_lfse_03,4.6698,2025-10-13
2006,ES,PT218,15_24,M,ISCED_5_8,14.84,20.84,17.42,13.08,10.39,450,448,444,31.46,8.35,4.61,edat_lfse_14,3.7929,2024-09-28
2007,CZ,RO731,25_34,X,ISCED_3_4,13.9,38.51,57.62,18.36,8.96,501,508,472,56.41,13.14,5.77,edat_lfse_29,0.8903,2025-06-09
2008,HU,SI546,35_44,F,ISCED_0_2,10.77,61.75,18.03,5.89,5.06,484,518,509,64.09,14.35,7.16,edat_lfs_9912,0.3553,2025-07-18
2009,NL,LV250,45_54,M,ISCED_5_8,11.54,39.99,41.91,5.4,14.14,483,450,486,35.43,13.03,4.3,edat_lfse_03,4.5833,2024-04-30
2010,SE,MT336,55_64,X,ISCED_3_4,3.81,38.33,14.78,3.87,12.97,515,464,523,43.91,27.61,4.82,edat_lfse_14,3.3133,2024-12-26
2011,DK,SK22,15_24,F,ISCED_0_2,13.68,41.45,30.47,15.23,14.02,578,537,536,49.87,43.48,7.56,edat_lfse_29,3.1388,2024-09-17
2012,IE,BE34,25_34,M,ISCED_5_8,9.18,40.88,10.78,4.89,15.14,476,469,482,33.98,46.37,3.34,edat_lfs_9912,2.1886,2025-04-02
2013,PL,SK194,35_44,X,ISCED_3_4,12.88,21.03,47.25,6.0,9.99,501,474,482,43.59,23.37,4.44,edat_lfse_03,3.517,2025-12-30
2014,AT,BE5,45_54,F,ISCED_0_2,7.31,51.41,14.44,6.14,17.57,455,488,457,77.58,27.99,6.22,edat_lfse_14,2.7684,2024-01-17
2015,EE,LV57,55_64,M,ISCED_5_8,12.5,20.29,26.87,11.22,9.32,486,451,486,58.66,52.07,3.39,edat_lfse_29,4.001,2025-06-16
2016,IT,MT41,15_24,X,ISCED_3_4,14.6,21.73,29.37,15.17,15.83,429,401,457,42.52,42.63,4.41,edat_lfs_9912,0.7479,2026-02-20
2017,PT,GR26,25_34,F,ISCED_0_2,6.67,47.2,17.49,19.35,17.48,491,514,506,78.57,38.01,6.61,edat_lfse_03,2.2585,2025-11-12
2018,BE,ES81,35_44,M,ISCED_5_8,11.01,48.61,11.51,8.19,5.56,457,436,467,74.86,57.36,4.92,edat_lfse_14,0.4066,2025-06-07
2019,FI,HU51,45_54,X,ISCED_3_4,8.95,28.64,45.84,11.1,14.24,561,561,573,32.54,60.62,6.04,edat_lfse_29,1.536,2024-12-12
2020,LV,HU579,55_64,F,ISCED_0_2,15.27,47.81,41.82,7.3,10.89,524,509,477,51.0,29.15,3.76,edat_lfs_9912,1.1639,2024-05-18
2021,RO,LT118,15_24,M,ISCED_5_8,20.91,22.63,15.12,8.35,24.46,460,454,413,36.73,39.84,5.06,edat_lfse_03,2.2924,2024-07-23
2022,BG,HR985,25_34,X,ISCED_3_4,13.6,45.82,25.97,4.92,17.84,448,478,478,79.93,44.27,6.51,edat_lfse_14,1.4775,2025-02-27
2023,FR,IT32,35_44,F,ISCED_0_2,14.56,20.96,50.24,14.79,10.69,442,428,449,41.09,42.79,4.08,edat_lfse_29,1.5653,2024-08-25
2024,LT,PT61,45_54,M,ISCED_5_8,15.34,49.11,48.58,7.2,11.87,532,503,520,27.33,58.84,4.75,edat_lfs_9912,1.3971,2024-12-16
2025,SK,HR87,55_64,X,ISCED_3_4,15.19,23.05,33.55,6.74,7.39,414,407,383,79.18,58.42,3.61,edat_lfse_03,2.7902,2024-01-09
2006,HR,IT144,15_24,F,ISCED_0_2,5.04,46.62,28.79,3.47,16.16,463,464,475,52.11,28.64,5.69,edat_lfse_14,0.4007,2026-02-25
2007,DE,GR4,25_34,M,ISCED_5_8,11.06,49.8,17.56,15.88,14.56,495,536,524,39.22,60.28,6.74,edat_lfse_29,4.1746,2024-05-23
2008,LU,HU85,35_44,X,ISCED_3_4,11.97,41.61,50.42,13.36,16.46,448,474,439,35.75,27.26,3.73,edat_lfs_9912,2.9707,2025-09-24
2009,SI,AT355,45_54,F,ISCED_0_2,13.72,19.18,12.84,6.96,12.91,471,477,416,64.49,37.07,3.48,edat_lfse_03,2.2948,2024-01-04
2010,CY,DK157,55_64,M,ISCED_5_8,13.11,39.24,44.83,11.98,9.11,407,421,421,54.89,53.66,4.98,edat_lfse_14,3.4252,2025-05-26
2011,GR,DK887,15_24,X,ISCED_3_4,7.5,42.55,37.9,6.15,13.25,432,436,457,53.76,34.92,5.15,edat_lfse_29,4.6104,2025-05-31
2012,MT,IE6,25_34,F,ISCED_0_2,5.18,42.73,41.58,3.45,15.87,401,416,439,24.71,22.54,4.73,edat_lfs_9912,2.4813,2024-07-23
