mig_permits_reference_year,mig_permits_host_country_iso2,mig_permits_nuts_code,mig_permits_applicant_citizenship_iso2,mig_permits_permit_type_code,mig_permits_permit_reason_code,mig_permits_duration_months,mig_permits_first_permit_flag,mig_permits_renewal_flag,mig_permits_blue_card_flag,mig_permits_family_reunification_flag,mig_permits_student_permit_flag,mig_permits_seasonal_worker_flag,mig_permits_biometrics_collected_flag,mig_permits_processing_time_days_median,mig_permits_decision_outcome_code,mig_permits_appeal_lodged_flag,mig_permits_residence_permit_count,mig_permits_eurostat_table_code,mig_permits_data_extract_date
2025,DE,SK28,PK,D_VISA,WORK,36,1,0,0,0,0,0,1,130,WITHDRAWN,0,7,migr_resbc,2024-07-25
2026,LV,RO296,BG,D_VISA,OTHER,1,1,0,0,0,0,0,0,123,PARTIALLY_GRANTED,0,33,migr_reslt,2025-05-28
2010,PL,GR5,IE,D_VISA,RESEARCH,9,1,1,0,0,0,0,1,113,REFUSED,0,34,migr_asyappctza,2024-11-26
2011,ES,CY11,SI,D_VISA,INVESTOR,36,0,1,0,0,0,0,1,126,PENDING,0,14,migr_resfirst,2025-03-09
2012,HR,ES586,GE,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,114,GRANTED,0,17,migr_resvalid,2024-02-02
2013,FI,LT7,MK,D_VISA,FAMILY,9,1,0,0,1,0,0,1,125,WITHDRAWN,0,33,migr_resbc,2024-08-02
2014,IE,IE7,VN,D_VISA,STUDY,36,1,0,0,0,1,0,1,127,PARTIALLY_GRANTED,0,32,migr_reslt,2024-04-23
2015,MT,CZ99,DE,D_VISA,WORK,1,0,1,0,0,0,1,1,137,REFUSED,0,9,migr_asyappctza,2024-12-24
2016,SK,SE5,PT,D_VISA,OTHER,9,1,0,0,0,0,0,1,118,PENDING,0,14,migr_resfirst,2025-06-04
2017,BE,IE258,DZ,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,120,GRANTED,0,19,migr_resvalid,2024-10-08
2018,DK,AT35,MA,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,141,WITHDRAWN,0,31,migr_resbc,2025-04-20
2019,GR,BE945,TR,D_VISA,PROTECTION,9,0,0,0,0,0,0,1,134,PARTIALLY_GRANTED,0,41,migr_reslt,2024-09-09
2020,LT,AT96,EE,D_VISA,FAMILY,36,1,0,0,1,0,0,1,137,REFUSED,0,35,migr_asyappctza,2025-08-29
2021,PT,FI19,MT,D_VISA,STUDY,1,1,0,0,0,0,0,1,137,PENDING,0,41,migr_resfirst,2025-05-08
2022,SE,GR48,BY,D_VISA,WORK,9,1,0,0,0,0,1,1,136,GRANTED,0,42,migr_resvalid,2025-02-09
2023,CY,CZ78,IS,D_VISA,OTHER,36,0,1,0,0,0,0,1,129,WITHDRAWN,0,19,migr_resbc,2024-06-19
2024,FR,CY244,RU,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,142,PARTIALLY_GRANTED,0,34,migr_reslt,2025-01-03
2025,IT,SI2,CY,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,125,REFUSED,0,20,migr_asyappctza,2026-02-24
2026,NL,CZ937,LV,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,134,PENDING,0,39,migr_resfirst,2026-02-14
2010,SI,LV288,SE,D_VISA,FAMILY,1,0,1,0,1,0,0,0,143,GRANTED,0,47,migr_resvalid,2025-08-22
2011,BG,LU656,IN,D_VISA,STUDY,9,1,0,0,0,1,0,1,136,WITHDRAWN,0,28,migr_resbc,2026-01-20
2012,EE,GR276,NO,D_VISA,WORK,36,1,1,0,1,0,0,1,132,PARTIALLY_GRANTED,0,42,migr_reslt,2024-04-28
2013,HU,PL889,BE,D_VISA,OTHER,1,1,0,0,0,0,0,1,140,REFUSED,1,38,migr_asyappctza,2026-01-13
2014,LU,LV2,HU,D_VISA,RESEARCH,9,0,1,0,0,0,0,1,156,PENDING,0,41,migr_resfirst,2024-10-08
2015,RO,HU897,SK,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,151,GRANTED,0,50,migr_resvalid,2024-04-11
2016,AT,IT2,GB,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,150,WITHDRAWN,0,29,migr_resbc,2024-08-18
2017,CZ,BG376,ME,D_VISA,FAMILY,9,1,0,0,0,0,0,1,143,PARTIALLY_GRANTED,0,48,migr_reslt,2024-10-20
2018,DE,SE137,US,D_VISA,STUDY,36,0,0,0,0,1,0,0,157,REFUSED,1,39,migr_asyappctza,2024-03-08
2019,LV,BE7,FR,D_VISA,WORK,1,1,0,0,0,0,0,1,152,PENDING,0,43,migr_resfirst,2025-05-06
2020,PL,DE619,PL,D_VISA,OTHER,9,1,0,0,0,0,0,1,151,GRANTED,0,59,migr_resvalid,2024-06-23
2021,ES,CY9,CN,D_VISA,RESEARCH,36,1,0,0,1,0,0,1,151,WITHDRAWN,0,32,migr_resbc,2025-06-10
2022,HR,SK774,KE,D_VISA,INVESTOR,1,0,1,0,0,0,0,1,143,PARTIALLY_GRANTED,0,42,migr_reslt,2026-01-15
2023,FI,PT376,TN,D_VISA,PROTECTION,9,1,0,0,0,0,0,0,159,REFUSED,1,51,migr_asyappctza,2025-01-10
2024,IE,CZ77,DK,D_VISA,FAMILY,36,1,0,0,0,0,0,1,165,PENDING,0,43,migr_resfirst,2024-01-07
2025,MT,PL21,LU,D_VISA,STUDY,1,1,1,0,1,1,0,1,153,GRANTED,0,39,migr_resvalid,2024-08-04
2026,SK,HR30,BA,D_VISA,WORK,9,0,0,0,0,0,0,1,141,WITHDRAWN,0,61,migr_resbc,2024-10-07
2010,BE,SE544,IR,D_VISA,OTHER,36,1,0,0,0,0,0,1,151,PARTIALLY_GRANTED,0,47,migr_reslt,2025-12-15
2011,DK,GR80,RS,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,170,REFUSED,0,56,migr_asyappctza,2025-10-30
2012,GR,IE2,HR,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,152,PENDING,0,43,migr_resfirst,2024-04-01
2013,LT,SK99,IT,D_VISA,PROTECTION,36,0,1,0,0,0,0,1,161,GRANTED,0,70,migr_resvalid,2024-06-14
2014,PT,RO8,ES,D_VISA,FAMILY,1,1,0,0,1,0,0,1,163,WITHDRAWN,0,61,migr_resbc,2025-02-19
2015,SE,DK24,GH,D_VISA,STUDY,9,1,0,0,0,1,0,0,148,PARTIALLY_GRANTED,0,54,migr_reslt,2024-08-30
2016,CY,BE653,NG,D_VISA,WORK,36,1,1,0,0,0,0,1,151,REFUSED,0,50,migr_asyappctza,2024-06-12
2017,FR,BE975,AT,D_VISA,OTHER,1,0,1,0,0,0,0,1,155,PENDING,0,72,migr_resfirst,2024-04-30
2018,IT,IT4,GR,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,175,GRANTED,0,47,migr_resvalid,2024-12-18
2019,NL,CZ574,RO,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,162,WITHDRAWN,0,58,migr_resbc,2024-03-01
2020,SI,SI373,EG,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,153,PARTIALLY_GRANTED,0,76,migr_reslt,2024-10-21
2021,BG,BG81,MD,D_VISA,FAMILY,9,0,1,0,1,0,0,0,173,REFUSED,0,74,migr_asyappctza,2024-08-15
2022,EE,AT775,UA,D_VISA,STUDY,36,1,1,0,0,1,0,1,157,PENDING,0,80,migr_resfirst,2025-12-30
2023,HU,ES1,FI,D_VISA,WORK,1,1,0,0,0,0,0,1,175,GRANTED,0,74,migr_resvalid,2024-12-01
2024,LU,HR90,NL,D_VISA,OTHER,9,1,0,0,0,0,0,1,162,WITHDRAWN,0,79,migr_resbc,2024-02-17
2025,RO,HU795,CH,D_VISA,RESEARCH,36,0,0,0,0,0,0,1,184,PARTIALLY_GRANTED,0,68,migr_reslt,2024-08-02
2026,AT,HU1,JP,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,169,REFUSED,0,82,migr_asyappctza,2024-08-11
2010,CZ,CZ9,SY,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,169,PENDING,0,83,migr_resfirst,2025-11-21
2011,DE,NL844,CZ,D_VISA,FAMILY,36,1,0,0,0,0,0,1,172,GRANTED,0,84,migr_resvalid,2024-02-19
2012,LV,AT744,LT,D_VISA,STUDY,1,0,0,0,0,1,0,1,169,WITHDRAWN,0,86,migr_resbc,2024-08-25
2013,PL,MT976,AL,D_VISA,WORK,9,1,0,0,0,0,0,1,164,PARTIALLY_GRANTED,0,64,migr_reslt,2026-02-07
2014,ES,CZ416,IQ,D_VISA,OTHER,36,1,0,0,0,0,0,1,187,REFUSED,1,78,migr_asyappctza,2025-06-10
2015,HR,CZ571,PK,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,181,PENDING,0,82,migr_resfirst,2024-04-22
2016,FI,GR560,BG,D_VISA,INVESTOR,9,0,1,0,0,0,0,1,191,GRANTED,0,68,migr_resvalid,2024-09-22
2017,IE,MT644,IE,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,189,WITHDRAWN,0,68,migr_resbc,2024-12-17
2018,MT,LV436,SI,D_VISA,FAMILY,1,1,0,0,1,0,0,1,185,PARTIALLY_GRANTED,0,90,migr_reslt,2025-02-20
2019,SK,AT661,GE,D_VISA,STUDY,9,1,0,0,0,1,0,1,194,REFUSED,0,74,migr_asyappctza,2025-07-06
2020,BE,PL280,MK,D_VISA,WORK,36,0,1,0,1,0,1,1,170,PENDING,0,93,migr_resfirst,2025-03-23
2021,DK,RO76,VN,D_VISA,OTHER,1,1,0,0,1,0,0,1,187,GRANTED,0,84,migr_resvalid,2025-09-23
2022,GR,NL95,DE,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,196,WITHDRAWN,0,92,migr_resbc,2025-03-15
2023,LT,CY2,PT,D_VISA,INVESTOR,36,1,0,0,1,0,0,1,200,PARTIALLY_GRANTED,0,98,migr_reslt,2024-01-17
2024,PT,DE478,DZ,D_VISA,PROTECTION,1,0,1,0,0,0,0,0,181,REFUSED,1,79,migr_asyappctza,2024-01-02
2025,SE,LT5,MA,D_VISA,FAMILY,9,1,0,0,1,0,0,1,174,PENDING,0,89,migr_resfirst,2025-01-29
2026,CY,SE683,TR,D_VISA,STUDY,36,1,0,0,0,1,0,1,179,GRANTED,0,93,migr_resvalid,2025-08-15
2010,FR,HU649,EE,D_VISA,WORK,1,1,0,0,1,0,0,1,196,WITHDRAWN,0,83,migr_resbc,2025-10-24
2011,IT,NL270,MT,D_VISA,OTHER,9,0,1,0,0,0,0,1,188,PARTIALLY_GRANTED,0,80,migr_reslt,2024-02-08
2012,NL,LU37,BY,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,191,REFUSED,1,84,migr_asyappctza,2024-05-29
2013,SI,HU676,IS,D_VISA,INVESTOR,1,1,0,0,0,0,0,0,204,PENDING,0,100,migr_resfirst,2024-12-29
2014,BG,IT476,RU,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,183,GRANTED,0,103,migr_resvalid,2025-02-12
2015,EE,HR92,CY,D_VISA,FAMILY,36,0,1,0,1,0,0,1,206,WITHDRAWN,0,82,migr_resbc,2024-05-19
2016,HU,HR57,LV,D_VISA,STUDY,1,1,0,0,0,1,0,1,209,PARTIALLY_GRANTED,0,89,migr_reslt,2025-02-16
2017,LU,SE479,SE,D_VISA,WORK,9,1,0,0,1,0,0,1,206,REFUSED,0,104,migr_asyappctza,2025-12-25
2018,RO,FR18,IN,D_VISA,OTHER,36,1,0,0,0,0,0,1,191,PENDING,0,90,migr_resfirst,2025-10-02
2019,AT,AT535,NO,D_VISA,RESEARCH,1,0,1,0,0,0,0,1,28,GRANTED,0,85,migr_resvalid,2025-06-01
2020,CZ,FR978,BE,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,26,WITHDRAWN,0,100,migr_resbc,2024-04-15
2021,DE,IT10,HU,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,35,PARTIALLY_GRANTED,0,97,migr_reslt,2024-10-03
2022,LV,GR349,SK,D_VISA,FAMILY,1,1,0,0,1,0,0,1,24,REFUSED,1,94,migr_asyappctza,2026-02-13
2023,PL,CZ5,GB,D_VISA,STUDY,9,0,1,0,0,1,0,1,21,PENDING,0,108,migr_resfirst,2025-08-18
2024,ES,HR667,ME,D_VISA,WORK,36,1,0,0,0,0,0,1,39,GRANTED,0,113,migr_resvalid,2024-07-02
2025,HR,AT28,US,D_VISA,OTHER,1,1,0,0,0,0,0,1,36,WITHDRAWN,0,104,migr_resbc,2025-07-12
2026,FI,IT40,FR,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,38,PARTIALLY_GRANTED,0,91,migr_reslt,2025-01-04
2010,IE,HR795,PL,D_VISA,INVESTOR,36,0,1,0,0,0,0,1,18,REFUSED,0,109,migr_asyappctza,2025-08-12
2011,MT,BE403,CN,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,42,PENDING,0,93,migr_resfirst,2024-09-30
2012,SK,CY185,KE,D_VISA,FAMILY,9,1,0,0,1,0,0,1,22,GRANTED,0,109,migr_resvalid,2025-09-25
2013,BE,PL63,TN,D_VISA,STUDY,36,1,1,0,0,1,0,1,26,WITHDRAWN,0,115,migr_resbc,2025-01-23
2014,DK,NL9,DK,D_VISA,WORK,1,0,1,0,0,0,0,1,35,PARTIALLY_GRANTED,0,97,migr_reslt,2024-09-03
2015,GR,SK696,LU,D_VISA,OTHER,9,1,0,0,0,0,0,0,46,REFUSED,1,113,migr_asyappctza,2024-01-13
2016,LT,SI4,BA,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,46,PENDING,0,122,migr_resfirst,2025-12-01
2017,PT,IT24,IR,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,26,GRANTED,0,106,migr_resvalid,2024-06-14
2018,SE,DE51,RS,D_VISA,PROTECTION,9,0,1,0,0,0,0,1,24,WITHDRAWN,0,99,migr_resbc,2025-07-14
2019,CY,LV894,HR,D_VISA,FAMILY,36,1,0,0,1,0,0,1,27,PARTIALLY_GRANTED,0,99,migr_reslt,2025-05-01
2020,FR,DE965,IT,D_VISA,STUDY,1,1,0,0,0,1,0,1,35,REFUSED,1,127,migr_asyappctza,2025-09-11
2021,IT,FI3,ES,D_VISA,WORK,9,1,0,0,0,0,0,1,46,PENDING,0,103,migr_resfirst,2025-07-20
2022,NL,HR98,GH,D_VISA,OTHER,36,0,1,0,0,0,0,1,33,GRANTED,0,110,migr_resvalid,2026-01-01
2023,SI,SK28,NG,D_VISA,RESEARCH,1,1,0,0,1,0,0,1,40,WITHDRAWN,0,110,migr_resbc,2025-10-08
2024,BG,RO296,AT,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,30,PARTIALLY_GRANTED,0,107,migr_reslt,2026-02-23
2025,EE,GR5,GR,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,45,REFUSED,0,125,migr_asyappctza,2025-09-13
2026,HU,CY11,RO,D_VISA,FAMILY,1,0,0,0,1,0,0,1,31,PENDING,0,108,migr_resfirst,2024-04-15
2010,LU,ES586,EG,D_VISA,STUDY,9,1,1,0,0,1,0,1,37,GRANTED,0,111,migr_resvalid,2025-03-15
2011,RO,LT7,MD,D_VISA,WORK,36,1,0,0,0,0,0,1,56,WITHDRAWN,0,110,migr_resbc,2026-02-19
2012,AT,IE7,UA,D_VISA,OTHER,1,1,0,0,0,0,0,1,57,PARTIALLY_GRANTED,0,135,migr_reslt,2024-11-25
2013,CZ,CZ99,FI,D_VISA,RESEARCH,9,0,1,0,0,0,0,0,52,REFUSED,0,128,migr_asyappctza,2024-10-18
2014,DE,SE5,NL,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,64,PENDING,0,130,migr_resfirst,2024-06-13
2015,LV,IE258,CH,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,51,GRANTED,0,139,migr_resvalid,2025-09-06
2016,PL,AT35,JP,D_VISA,FAMILY,9,1,0,0,1,0,0,1,54,WITHDRAWN,0,120,migr_resbc,2026-01-09
2017,ES,BE945,SY,D_VISA,STUDY,36,0,0,0,0,1,0,1,38,PARTIALLY_GRANTED,0,128,migr_reslt,2024-02-13
2018,HR,AT96,CZ,D_VISA,WORK,1,1,1,0,0,0,0,1,43,REFUSED,0,143,migr_asyappctza,2024-09-20
2019,FI,FI19,LT,D_VISA,OTHER,9,1,1,0,0,0,0,1,48,PENDING,0,125,migr_resfirst,2024-10-07
2020,IE,GR48,AL,D_VISA,RESEARCH,36,1,0,0,1,0,0,1,40,GRANTED,0,124,migr_resvalid,2025-03-05
2021,MT,CZ78,IQ,D_VISA,INVESTOR,1,0,0,0,0,0,0,1,52,WITHDRAWN,0,133,migr_resbc,2025-12-10
2022,SK,CY244,PK,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,50,PARTIALLY_GRANTED,0,133,migr_reslt,2025-02-03
2023,BE,SI2,BG,D_VISA,FAMILY,36,1,1,0,1,0,0,1,56,REFUSED,1,133,migr_asyappctza,2026-02-10
2024,DK,CZ937,IE,D_VISA,STUDY,1,1,0,0,1,1,0,1,60,PENDING,0,134,migr_resfirst,2025-01-30
2025,GR,LV288,SI,D_VISA,WORK,9,0,1,0,0,0,0,1,58,GRANTED,0,132,migr_resvalid,2025-03-17
2026,LT,LU656,GE,D_VISA,OTHER,36,1,1,0,0,0,0,1,69,WITHDRAWN,0,123,migr_resbc,2025-07-01
2010,PT,GR276,MK,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,70,PARTIALLY_GRANTED,0,131,migr_reslt,2025-04-14
2011,SE,PL889,VN,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,77,REFUSED,0,136,migr_asyappctza,2024-02-13
2012,CY,LV2,DE,D_VISA,PROTECTION,36,0,1,0,1,0,0,1,73,PENDING,0,138,migr_resfirst,2025-12-03
2013,FR,HU897,PT,D_VISA,FAMILY,1,1,0,0,1,0,0,1,71,GRANTED,0,133,migr_resvalid,2025-05-16
2014,IT,IT2,DZ,D_VISA,STUDY,9,1,0,0,0,1,0,1,71,WITHDRAWN,0,151,migr_resbc,2024-03-18
2015,NL,BG376,MA,D_VISA,WORK,36,1,0,0,0,0,0,1,58,PARTIALLY_GRANTED,0,130,migr_reslt,2025-09-13
2016,SI,SE137,TR,D_VISA,OTHER,1,0,1,0,0,0,0,1,57,REFUSED,1,149,migr_asyappctza,2024-07-09
2017,BG,BE7,EE,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,67,PENDING,0,140,migr_resfirst,2024-02-12
2018,EE,DE619,MT,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,84,GRANTED,0,149,migr_resvalid,2024-03-18
2019,HU,CY9,BY,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,82,WITHDRAWN,0,155,migr_resbc,2025-10-24
2020,LU,SK774,IS,D_VISA,FAMILY,9,0,0,0,0,0,0,0,64,PARTIALLY_GRANTED,0,142,migr_reslt,2025-05-05
2021,RO,PT376,RU,D_VISA,STUDY,36,1,0,0,0,1,0,1,63,REFUSED,0,158,migr_asyappctza,2024-01-16
2022,AT,CZ77,CY,D_VISA,WORK,1,1,0,0,0,0,1,1,73,PENDING,0,164,migr_resfirst,2024-01-05
2023,CZ,PL21,LV,D_VISA,OTHER,9,1,0,0,0,0,0,1,68,GRANTED,0,142,migr_resvalid,2024-06-28
2024,DE,HR30,SE,D_VISA,RESEARCH,36,0,1,0,0,0,0,0,67,WITHDRAWN,0,142,migr_resbc,2024-04-20
2025,LV,SE544,IN,D_VISA,INVESTOR,1,1,0,0,1,0,0,1,71,PARTIALLY_GRANTED,0,146,migr_reslt,2024-07-29
2026,PL,GR80,NO,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,85,REFUSED,1,144,migr_asyappctza,2025-07-29
2010,ES,IE2,BE,D_VISA,FAMILY,36,1,0,0,1,0,0,1,92,PENDING,0,165,migr_resfirst,2024-05-31
2011,HR,SK99,HU,D_VISA,STUDY,1,0,0,0,0,1,0,0,83,GRANTED,0,154,migr_resvalid,2024-03-05
2012,FI,RO8,SK,D_VISA,WORK,9,1,0,0,0,0,0,1,78,WITHDRAWN,0,170,migr_resbc,2025-09-28
2013,IE,DK24,GB,D_VISA,OTHER,36,1,0,0,0,0,0,1,83,PARTIALLY_GRANTED,0,173,migr_reslt,2024-03-28
2014,MT,BE653,ME,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,91,REFUSED,0,171,migr_asyappctza,2024-01-18
2015,SK,BE975,US,D_VISA,INVESTOR,9,0,1,0,0,0,0,1,87,PENDING,0,145,migr_resfirst,2024-04-26
2016,BE,IT4,FR,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,72,GRANTED,0,171,migr_resvalid,2025-05-16
2017,DK,CZ574,PL,D_VISA,FAMILY,1,1,0,0,1,0,0,1,85,WITHDRAWN,0,169,migr_resbc,2024-06-18
2018,GR,SI373,CN,D_VISA,STUDY,9,1,0,0,0,1,0,1,82,PARTIALLY_GRANTED,0,161,migr_reslt,2025-03-03
2019,LT,BG81,KE,D_VISA,WORK,36,0,1,0,0,0,1,1,93,REFUSED,1,164,migr_asyappctza,2025-09-14
2020,PT,AT775,TN,D_VISA,OTHER,1,1,0,0,0,0,0,1,104,PENDING,0,151,migr_resfirst,2024-04-08
2021,SE,ES1,DK,D_VISA,RESEARCH,9,1,0,0,1,0,0,1,85,GRANTED,0,176,migr_resvalid,2024-01-13
2022,CY,HR90,LU,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,92,WITHDRAWN,0,159,migr_resbc,2024-08-17
2023,FR,HU795,BA,D_VISA,PROTECTION,1,0,1,0,1,0,0,1,90,PARTIALLY_GRANTED,0,164,migr_reslt,2024-11-01
2024,IT,HU1,IR,D_VISA,FAMILY,9,1,0,0,1,0,0,1,78,REFUSED,0,167,migr_asyappctza,2025-04-20
2025,NL,CZ9,RS,D_VISA,STUDY,36,1,0,0,0,1,0,1,101,PENDING,0,181,migr_resfirst,2025-04-29
2026,SI,NL844,HR,D_VISA,WORK,1,1,0,0,0,0,0,1,82,GRANTED,0,183,migr_resvalid,2025-03-10
2010,BG,AT744,IT,D_VISA,OTHER,9,0,0,0,0,0,0,1,109,WITHDRAWN,0,166,migr_resbc,2025-04-04
2011,EE,MT976,ES,D_VISA,RESEARCH,36,1,0,0,0,0,0,1,107,PARTIALLY_GRANTED,0,163,migr_reslt,2024-10-21
2012,HU,CZ416,GH,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,112,REFUSED,0,178,migr_asyappctza,2024-02-25
2013,LU,CZ571,NG,D_VISA,PROTECTION,9,1,0,0,0,0,0,1,99,PENDING,0,164,migr_resfirst,2025-11-04
2014,RO,GR560,AT,D_VISA,FAMILY,36,0,0,0,1,0,0,1,115,GRANTED,0,177,migr_resvalid,2026-02-01
2015,AT,MT644,GR,D_VISA,STUDY,1,1,0,0,0,1,0,1,112,WITHDRAWN,0,166,migr_resbc,2025-01-10
2016,CZ,LV436,RO,D_VISA,WORK,9,1,0,0,0,0,1,1,99,PARTIALLY_GRANTED,0,163,migr_reslt,2024-10-19
2017,DE,AT661,EG,D_VISA,OTHER,36,1,0,0,0,0,0,1,100,REFUSED,1,164,migr_asyappctza,2024-10-10
2018,LV,PL280,MD,D_VISA,RESEARCH,1,0,1,0,0,0,0,1,94,PENDING,0,189,migr_resfirst,2024-12-08
2019,PL,RO76,UA,D_VISA,INVESTOR,9,1,0,0,1,0,0,1,94,GRANTED,0,170,migr_resvalid,2025-03-24
2020,ES,NL95,FI,D_VISA,PROTECTION,36,1,0,0,0,0,0,1,114,WITHDRAWN,0,170,migr_resbc,2024-04-29
2021,HR,CY2,NL,D_VISA,FAMILY,1,1,0,0,1,0,0,1,109,PARTIALLY_GRANTED,0,194,migr_reslt,2025-04-15
2022,FI,DE478,CH,D_VISA,STUDY,9,0,1,0,0,1,0,1,117,REFUSED,0,191,migr_asyappctza,2025-04-15
2023,IE,LT5,JP,D_VISA,WORK,36,1,0,0,0,0,0,1,107,PENDING,0,196,migr_resfirst,2024-12-09
2024,MT,SE683,SY,D_VISA,OTHER,1,1,0,0,0,0,0,1,98,GRANTED,0,194,migr_resvalid,2025-09-01
2025,SK,HU649,CZ,D_VISA,RESEARCH,9,1,0,0,0,0,0,1,103,WITHDRAWN,0,199,migr_resbc,2024-09-21
2026,BE,NL270,LT,D_VISA,INVESTOR,36,0,1,0,0,0,0,1,120,PARTIALLY_GRANTED,0,200,migr_reslt,2024-09-16
2010,DK,LU37,AL,D_VISA,PROTECTION,1,1,1,0,0,0,0,1,118,REFUSED,0,179,migr_asyappctza,2024-06-21
2011,GR,HU676,IQ,D_VISA,FAMILY,9,1,0,0,1,0,0,1,120,PENDING,0,181,migr_resfirst,2025-01-25
2012,LT,IT476,PK,D_VISA,STUDY,36,1,0,0,0,1,0,1,105,GRANTED,0,179,migr_resvalid,2025-09-28
2013,PT,HR92,BG,D_VISA,WORK,1,0,1,0,1,0,0,1,109,WITHDRAWN,0,191,migr_resbc,2024-06-19
2014,SE,HR57,IE,D_VISA,OTHER,9,1,0,0,0,0,0,1,128,PARTIALLY_GRANTED,0,187,migr_reslt,2024-06-04
2015,CY,SE479,SI,D_VISA,RESEARCH,36,1,0,0,0,0,0,0,128,REFUSED,1,189,migr_asyappctza,2025-07-14
2016,FR,FR18,GE,D_VISA,INVESTOR,1,1,0,0,0,0,0,1,123,PENDING,0,194,migr_resfirst,2025-07-14
2017,IT,AT535,MK,D_VISA,PROTECTION,9,0,1,0,0,0,0,1,121,GRANTED,0,188,migr_resvalid,2024-12-19
2018,NL,FR978,VN,D_VISA,FAMILY,36,1,0,0,1,0,0,1,112,WITHDRAWN,0,202,migr_resbc,2024-09-14
2019,SI,IT10,DE,D_VISA,STUDY,1,1,1,0,0,1,0,1,109,PARTIALLY_GRANTED,0,204,migr_reslt,2024-10-21
2020,BG,GR349,PT,D_VISA,WORK,9,1,0,0,1,0,0,1,109,REFUSED,0,200,migr_asyappctza,2025-06-09
2021,EE,CZ5,DZ,D_VISA,OTHER,36,0,1,0,0,0,0,1,127,PENDING,0,199,migr_resfirst,2025-12-09
2022,HU,HR667,MA,D_VISA,RESEARCH,1,1,0,0,0,0,0,1,126,GRANTED,0,208,migr_resvalid,2025-05-11
2023,LU,AT28,TR,D_VISA,INVESTOR,9,1,0,0,0,0,0,1,121,WITHDRAWN,0,192,migr_resbc,2024-08-09
2024,RO,IT40,EE,D_VISA,PROTECTION,36,1,0,0,1,0,0,1,129,PARTIALLY_GRANTED,0,197,migr_reslt,2024-11-17
2025,AT,HR795,MT,D_VISA,FAMILY,1,0,0,0,1,0,0,1,117,REFUSED,0,200,migr_asyappctza,2024-11-10
2026,CZ,BE403,BY,D_VISA,STUDY,9,1,1,0,0,1,0,0,138,PENDING,0,190,migr_resfirst,2025-03-03
2010,DE,CY185,IS,D_VISA,WORK,36,1,1,0,0,0,0,1,120,GRANTED,0,218,migr_resvalid,2025-01-07
2011,LV,PL63,RU,D_VISA,OTHER,1,1,0,0,1,0,0,1,142,WITHDRAWN,0,211,migr_resbc,2026-01-25
2012,PL,NL9,CY,D_VISA,RESEARCH,9,0,0,0,0,0,0,1,128,PARTIALLY_GRANTED,0,199,migr_reslt,2024-02-15
2013,ES,SK696,LV,D_VISA,INVESTOR,36,1,0,0,0,0,0,1,140,REFUSED,1,204,migr_asyappctza,2025-10-08
2014,HR,SI4,SE,D_VISA,PROTECTION,1,1,0,0,0,0,0,1,145,PENDING,0,206,migr_resfirst,2024-02-05
2015,FI,IT24,IN,D_VISA,FAMILY,9,1,0,0,1,0,0,1,122,GRANTED,0,210,migr_resvalid,2024-08-10
2016,IE,DE51,NO,D_VISA,STUDY,36,0,1,0,0,1,0,1,131,WITHDRAWN,0,219,migr_resbc,2025-07-19
