safe_terror_reference_year,safe_terror_country_iso2,safe_terror_attack_type_code,safe_terror_attack_count,safe_terror_fatalities_count,safe_terror_injuries_count,safe_terror_arrests_count,safe_terror_plot_disrupted_count,safe_terror_radicalisation_channel_code,safe_terror_online_propaganda_takedowns_count,safe_terror_foreign_fighter_returnees_count,safe_terror_financing_case_count,safe_terror_ct_policy_measure_code,safe_terror_public_alert_level_code,safe_terror_critical_infrastructure_threat_flag,safe_terror_cross_border_cooperation_flag,safe_terror_eu_agency_dataset,safe_terror_data_source,safe_terror_revision_round,safe_terror_data_extract_date
2015,PL,SABOTAGE,9,0,38,176,14,PRISON,4049,17,74,DERADICALISATION_PROGRAM,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-07-08
2016,ES,ARSON,10,18,33,132,16,IN_PERSON_NETWORK,2637,51,38,BORDER_SCREENING,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-11-21
2017,HR,EXPLOSIVE_DEVICE,5,7,8,59,19,FAMILY_PEER,2478,50,5,CRITICAL_INFRA_PROTECTION,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-05-04
2018,FI,ATTACK_ATTEMPTED,4,2,4,141,41,TRAVEL_RELATED,2438,40,52,CT_STRATEGY_UPDATE,HIGH,0,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2024-12-26
2019,IE,STABBING,2,0,8,35,8,UNKNOWN,1907,72,38,FINANCIAL_SANCTIONS,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-02-11
2020,MT,FIREARM,5,21,26,11,0,ONLINE,13480,33,60,INTELLIGENCE_SHARING,GUARDED,0,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-06-26
2021,SK,ATTACK_COMPLETED,11,17,19,198,41,PRISON,774,31,60,ONLINE_CONTENT_ACTION,LOW,0,1,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2025-11-10
2022,BE,VEHICLE_ATTACK,2,4,8,92,10,IN_PERSON_NETWORK,304,42,26,DERADICALISATION_PROGRAM,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2025-05-20
2023,DK,SABOTAGE,2,3,4,173,24,FAMILY_PEER,108,4,84,BORDER_SCREENING,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-02-22
2024,GR,ARSON,11,11,47,245,31,TRAVEL_RELATED,1075,13,40,CRITICAL_INFRA_PROTECTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-13
2025,LT,EXPLOSIVE_DEVICE,5,6,44,25,4,UNKNOWN,4162,34,21,CT_STRATEGY_UPDATE,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-01-09
2006,PT,ATTACK_ATTEMPTED,6,1,14,154,26,ONLINE,13446,20,25,FINANCIAL_SANCTIONS,LOW,1,1,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-10-16
2007,SE,STABBING,5,9,34,176,23,PRISON,2211,19,24,INTELLIGENCE_SHARING,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2026-02-10
2008,CY,FIREARM,1,3,6,115,17,IN_PERSON_NETWORK,1848,45,12,ONLINE_CONTENT_ACTION,HIGH,1,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-03-16
2009,FR,ATTACK_COMPLETED,0,0,0,11,9,FAMILY_PEER,3022,65,21,DERADICALISATION_PROGRAM,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-08-08
2010,IT,VEHICLE_ATTACK,11,17,52,82,14,TRAVEL_RELATED,1236,62,28,BORDER_SCREENING,GUARDED,0,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-12-11
2011,NL,SABOTAGE,7,12,2,171,38,UNKNOWN,887,12,0,CRITICAL_INFRA_PROTECTION,LOW,1,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-07-16
2012,SI,ARSON,5,5,33,183,34,ONLINE,5794,35,97,CT_STRATEGY_UPDATE,SEVERE,1,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-12-30
2013,BG,EXPLOSIVE_DEVICE,10,6,76,23,3,PRISON,2389,26,69,FINANCIAL_SANCTIONS,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-11-06
2014,EE,ATTACK_ATTEMPTED,7,2,41,155,30,IN_PERSON_NETWORK,1444,56,58,INTELLIGENCE_SHARING,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-02-01
2015,HU,STABBING,9,5,8,77,6,FAMILY_PEER,2568,17,2,ONLINE_CONTENT_ACTION,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-03-02
2016,LU,FIREARM,11,10,41,185,29,TRAVEL_RELATED,3832,10,50,DERADICALISATION_PROGRAM,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-04-19
2017,RO,ATTACK_COMPLETED,7,11,36,53,12,UNKNOWN,1314,72,62,BORDER_SCREENING,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-03-15
2018,AT,VEHICLE_ATTACK,11,15,107,32,3,ONLINE,13881,54,50,CRITICAL_INFRA_PROTECTION,HIGH,0,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2024-06-12
2019,CZ,SABOTAGE,2,4,4,186,32,PRISON,29,6,46,CT_STRATEGY_UPDATE,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-09-07
2020,DE,ARSON,7,7,2,163,41,IN_PERSON_NETWORK,2746,42,8,FINANCIAL_SANCTIONS,GUARDED,0,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-10-28
2021,LV,EXPLOSIVE_DEVICE,9,35,93,128,29,FAMILY_PEER,2531,5,43,INTELLIGENCE_SHARING,LOW,0,1,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2025-06-20
2022,PL,ATTACK_ATTEMPTED,7,2,3,92,35,TRAVEL_RELATED,1554,4,22,ONLINE_CONTENT_ACTION,SEVERE,0,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2026-01-01
2023,ES,STABBING,2,0,4,221,37,UNKNOWN,3664,16,40,DERADICALISATION_PROGRAM,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-03-09
2024,HR,FIREARM,11,18,105,88,30,ONLINE,7300,22,64,BORDER_SCREENING,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-10-18
2025,FI,ATTACK_COMPLETED,8,11,9,207,9,PRISON,4128,29,62,CRITICAL_INFRA_PROTECTION,GUARDED,1,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-06-24
2006,IE,VEHICLE_ATTACK,11,42,118,30,18,IN_PERSON_NETWORK,3631,15,61,CT_STRATEGY_UPDATE,LOW,0,1,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-06-01
2007,MT,SABOTAGE,10,16,67,140,37,FAMILY_PEER,1030,19,52,FINANCIAL_SANCTIONS,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-24
2008,SK,ARSON,1,1,3,132,5,TRAVEL_RELATED,1507,31,4,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-12-20
2009,BE,EXPLOSIVE_DEVICE,4,16,37,138,22,UNKNOWN,1184,54,5,ONLINE_CONTENT_ACTION,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-06-15
2010,DK,ATTACK_ATTEMPTED,10,0,27,250,17,ONLINE,9636,32,28,DERADICALISATION_PROGRAM,GUARDED,0,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-10-07
2011,GR,STABBING,11,22,2,145,22,PRISON,3212,53,74,BORDER_SCREENING,LOW,1,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-07-06
2012,LT,FIREARM,10,16,94,90,2,IN_PERSON_NETWORK,887,67,43,CRITICAL_INFRA_PROTECTION,SEVERE,1,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-05-22
2013,PT,ATTACK_COMPLETED,6,11,23,41,5,FAMILY_PEER,2686,76,55,CT_STRATEGY_UPDATE,HIGH,0,0,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2025-04-14
2014,SE,VEHICLE_ATTACK,6,11,56,114,11,TRAVEL_RELATED,2288,70,32,FINANCIAL_SANCTIONS,ELEVATED,1,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2024-09-21
2015,CY,SABOTAGE,9,2,35,130,2,UNKNOWN,2158,8,14,INTELLIGENCE_SHARING,GUARDED,0,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-05-02
2016,FR,ARSON,8,0,33,10,21,ONLINE,7347,35,56,ONLINE_CONTENT_ACTION,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-08-21
2017,IT,EXPLOSIVE_DEVICE,4,0,34,183,38,PRISON,1069,31,34,DERADICALISATION_PROGRAM,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2026-02-04
2018,NL,ATTACK_ATTEMPTED,2,4,6,37,8,IN_PERSON_NETWORK,3797,54,61,BORDER_SCREENING,HIGH,0,0,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-09-20
2019,SI,STABBING,4,3,22,112,14,FAMILY_PEER,3801,0,46,CRITICAL_INFRA_PROTECTION,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-04-17
2020,BG,FIREARM,0,0,0,36,26,TRAVEL_RELATED,2117,68,33,CT_STRATEGY_UPDATE,GUARDED,0,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-07-05
2021,EE,ATTACK_COMPLETED,7,0,22,216,42,UNKNOWN,285,15,20,FINANCIAL_SANCTIONS,LOW,0,1,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2025-09-15
2022,HU,VEHICLE_ATTACK,3,9,4,190,42,ONLINE,5413,4,36,INTELLIGENCE_SHARING,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-01-05
2023,LU,SABOTAGE,1,1,7,234,38,PRISON,4135,46,10,ONLINE_CONTENT_ACTION,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-03-18
2024,RO,ARSON,0,0,0,67,28,IN_PERSON_NETWORK,2974,10,3,DERADICALISATION_PROGRAM,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-11
2025,AT,EXPLOSIVE_DEVICE,11,4,132,111,18,FAMILY_PEER,2868,25,16,BORDER_SCREENING,GUARDED,0,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-03-19
2006,CZ,ATTACK_ATTEMPTED,2,0,15,39,21,TRAVEL_RELATED,2282,4,37,CRITICAL_INFRA_PROTECTION,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-03-07
2007,DE,STABBING,11,13,85,37,23,UNKNOWN,1181,33,66,CT_STRATEGY_UPDATE,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-02
2008,LV,FIREARM,9,8,55,232,31,ONLINE,8309,43,54,FINANCIAL_SANCTIONS,HIGH,0,1,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2026-02-06
2009,PL,ATTACK_COMPLETED,7,5,55,167,14,PRISON,679,67,4,INTELLIGENCE_SHARING,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-08-10
2010,ES,VEHICLE_ATTACK,10,37,142,56,19,IN_PERSON_NETWORK,4120,36,9,ONLINE_CONTENT_ACTION,GUARDED,1,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-08-22
2011,HR,SABOTAGE,3,3,18,49,18,FAMILY_PEER,3864,34,32,DERADICALISATION_PROGRAM,LOW,1,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-07-25
2012,FI,ARSON,5,8,24,185,34,TRAVEL_RELATED,1468,68,22,BORDER_SCREENING,SEVERE,0,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-11
2013,IE,EXPLOSIVE_DEVICE,9,9,108,117,15,UNKNOWN,1337,19,36,CRITICAL_INFRA_PROTECTION,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-03-25
2014,MT,ATTACK_ATTEMPTED,10,14,48,45,28,ONLINE,10976,70,64,CT_STRATEGY_UPDATE,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2025-09-14
2015,SK,STABBING,0,0,0,82,23,PRISON,1943,71,72,FINANCIAL_SANCTIONS,GUARDED,1,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-03-04
2016,BE,FIREARM,4,10,37,156,36,IN_PERSON_NETWORK,1130,2,65,INTELLIGENCE_SHARING,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-05-17
2017,DK,ATTACK_COMPLETED,4,6,16,249,7,FAMILY_PEER,1731,75,44,ONLINE_CONTENT_ACTION,SEVERE,0,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-01-23
2018,GR,VEHICLE_ATTACK,11,13,149,136,21,TRAVEL_RELATED,4174,18,66,DERADICALISATION_PROGRAM,HIGH,0,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-06-30
2019,LT,SABOTAGE,0,0,0,1,24,UNKNOWN,235,59,8,BORDER_SCREENING,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-11-28
2020,PT,ARSON,10,22,72,116,17,ONLINE,12083,44,13,CRITICAL_INFRA_PROTECTION,GUARDED,0,0,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-08-16
2021,SE,EXPLOSIVE_DEVICE,10,41,67,12,8,PRISON,3610,14,70,CT_STRATEGY_UPDATE,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-10-13
2022,CY,ATTACK_ATTEMPTED,2,3,2,169,42,IN_PERSON_NETWORK,706,2,39,FINANCIAL_SANCTIONS,SEVERE,1,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2025-05-20
2023,FR,STABBING,2,3,10,16,17,FAMILY_PEER,4090,6,20,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-06-28
2024,IT,FIREARM,1,1,0,128,27,TRAVEL_RELATED,3617,8,15,ONLINE_CONTENT_ACTION,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-01-03
2025,NL,ATTACK_COMPLETED,4,7,1,28,8,UNKNOWN,3690,34,81,DERADICALISATION_PROGRAM,GUARDED,0,1,FRA_DATA,COURT_CASES_REGISTER,FIRST,2025-02-13
2006,SI,VEHICLE_ATTACK,7,31,60,188,36,ONLINE,12770,40,37,BORDER_SCREENING,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2025-10-19
2007,BG,SABOTAGE,9,1,12,70,29,PRISON,2711,48,40,CRITICAL_INFRA_PROTECTION,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-11-17
2008,EE,ARSON,11,15,49,96,27,IN_PERSON_NETWORK,1512,61,65,CT_STRATEGY_UPDATE,HIGH,0,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-04-30
2009,HU,EXPLOSIVE_DEVICE,3,11,11,12,20,FAMILY_PEER,2805,18,16,FINANCIAL_SANCTIONS,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-05-08
2010,LU,ATTACK_ATTEMPTED,9,17,48,95,3,TRAVEL_RELATED,1383,34,101,INTELLIGENCE_SHARING,GUARDED,0,1,FRA_DATA,EUROPOL_TE_SAT,FLASH,2026-02-11
2011,RO,STABBING,1,0,1,65,8,UNKNOWN,1616,46,21,ONLINE_CONTENT_ACTION,LOW,1,1,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-11-19
2012,AT,FIREARM,5,3,4,126,29,ONLINE,12221,40,81,DERADICALISATION_PROGRAM,SEVERE,1,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-09-05
2013,CZ,ATTACK_COMPLETED,6,5,38,164,16,PRISON,3419,32,23,BORDER_SCREENING,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-06-09
2014,DE,VEHICLE_ATTACK,11,1,116,109,42,IN_PERSON_NETWORK,249,24,97,CRITICAL_INFRA_PROTECTION,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2025-01-13
2015,LV,SABOTAGE,5,6,5,216,17,FAMILY_PEER,276,3,50,CT_STRATEGY_UPDATE,GUARDED,0,1,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-07-30
2016,PL,ARSON,6,7,54,40,22,TRAVEL_RELATED,3470,71,73,FINANCIAL_SANCTIONS,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-01-10
2017,ES,EXPLOSIVE_DEVICE,3,6,43,196,19,UNKNOWN,1973,10,20,INTELLIGENCE_SHARING,SEVERE,1,1,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-06-23
2018,HR,ATTACK_ATTEMPTED,10,16,85,39,2,ONLINE,11402,27,31,ONLINE_CONTENT_ACTION,HIGH,0,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2025-08-23
2019,FI,STABBING,3,1,6,85,21,PRISON,2585,54,47,DERADICALISATION_PROGRAM,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-11-28
2020,IE,FIREARM,10,20,77,74,39,IN_PERSON_NETWORK,2479,16,2,BORDER_SCREENING,GUARDED,1,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-05-14
2021,MT,ATTACK_COMPLETED,4,2,21,214,27,FAMILY_PEER,782,4,59,CRITICAL_INFRA_PROTECTION,LOW,1,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2024-06-21
2022,SK,VEHICLE_ATTACK,3,4,13,38,15,TRAVEL_RELATED,3647,43,54,CT_STRATEGY_UPDATE,SEVERE,0,1,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2024-01-17
2023,BE,SABOTAGE,8,8,24,202,31,UNKNOWN,1095,32,2,FINANCIAL_SANCTIONS,HIGH,0,0,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-12-19
2024,DK,ARSON,2,2,11,131,2,ONLINE,891,28,14,INTELLIGENCE_SHARING,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-08-27
2025,GR,EXPLOSIVE_DEVICE,2,0,30,42,34,PRISON,218,47,48,ONLINE_CONTENT_ACTION,GUARDED,1,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-09-28
2006,LT,ATTACK_ATTEMPTED,3,4,19,226,25,IN_PERSON_NETWORK,4111,29,50,DERADICALISATION_PROGRAM,LOW,1,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2024-11-25
2007,PT,STABBING,0,0,0,107,5,FAMILY_PEER,2044,1,13,BORDER_SCREENING,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-23
2008,SE,FIREARM,2,1,10,58,9,TRAVEL_RELATED,2609,3,7,CRITICAL_INFRA_PROTECTION,HIGH,0,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2026-01-02
2009,CY,ATTACK_COMPLETED,2,0,5,240,33,UNKNOWN,4072,68,10,CT_STRATEGY_UPDATE,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2024-02-24
2010,FR,VEHICLE_ATTACK,11,43,105,125,34,ONLINE,20,2,85,FINANCIAL_SANCTIONS,GUARDED,0,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2024-03-22
2011,IT,SABOTAGE,11,13,21,120,7,PRISON,533,59,14,INTELLIGENCE_SHARING,LOW,0,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-10-23
2012,NL,ARSON,2,3,12,158,20,IN_PERSON_NETWORK,2967,59,7,ONLINE_CONTENT_ACTION,SEVERE,0,1,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-12-07
2013,SI,EXPLOSIVE_DEVICE,10,0,19,53,33,FAMILY_PEER,281,45,28,DERADICALISATION_PROGRAM,HIGH,0,0,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-03-21
2014,BG,ATTACK_ATTEMPTED,9,4,66,183,40,TRAVEL_RELATED,4086,17,81,BORDER_SCREENING,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2025-10-16
2015,EE,STABBING,2,1,0,8,11,UNKNOWN,4079,28,49,CRITICAL_INFRA_PROTECTION,GUARDED,0,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-06-21
2016,HU,FIREARM,1,3,4,71,37,ONLINE,3738,75,66,CT_STRATEGY_UPDATE,LOW,0,1,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-07-25
2017,LU,ATTACK_COMPLETED,10,2,26,200,23,PRISON,2731,59,24,FINANCIAL_SANCTIONS,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2024-06-14
2018,RO,VEHICLE_ATTACK,2,0,7,31,17,IN_PERSON_NETWORK,1956,70,55,INTELLIGENCE_SHARING,HIGH,0,1,EU_INTEL_SITCEN,EUROPOL_TE_SAT,FLASH,2024-10-06
2019,AT,SABOTAGE,3,5,8,10,17,FAMILY_PEER,56,65,24,ONLINE_CONTENT_ACTION,ELEVATED,0,0,FRONTEX_RISK_ANALYSIS,NATIONAL_SECURITY_SERVICE,BENCHMARK,2026-02-15
2020,CZ,ARSON,5,7,24,39,23,TRAVEL_RELATED,2050,50,20,DERADICALISATION_PROGRAM,GUARDED,1,1,FRA_DATA,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-12-13
2021,DE,EXPLOSIVE_DEVICE,2,1,10,207,4,UNKNOWN,939,3,24,BORDER_SCREENING,LOW,0,0,EUROPOL_TE_SAT,COURT_CASES_REGISTER,FIRST,2025-03-21
2022,LV,ATTACK_ATTEMPTED,3,1,15,235,18,ONLINE,4425,41,87,CRITICAL_INFRA_PROTECTION,SEVERE,0,0,ENISA_SECTOR_NOTE,EUROPOL_TE_SAT,FLASH,2025-12-02
2023,PL,STABBING,9,15,26,195,40,PRISON,1753,17,43,CT_STRATEGY_UPDATE,HIGH,0,1,EU_INTEL_SITCEN,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-09-30
2024,ES,FIREARM,4,0,4,104,23,IN_PERSON_NETWORK,4164,41,30,FINANCIAL_SANCTIONS,ELEVATED,0,1,FRONTEX_RISK_ANALYSIS,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-03-29
2025,HR,ATTACK_COMPLETED,5,5,1,93,41,FAMILY_PEER,788,41,1,INTELLIGENCE_SHARING,GUARDED,0,0,FRA_DATA,COURT_CASES_REGISTER,FIRST,2024-03-12
2006,FI,VEHICLE_ATTACK,5,0,7,125,8,TRAVEL_RELATED,791,1,25,ONLINE_CONTENT_ACTION,LOW,0,0,EUROPOL_TE_SAT,EUROPOL_TE_SAT,FLASH,2025-04-06
2007,IE,SABOTAGE,5,8,32,232,11,UNKNOWN,3180,12,17,DERADICALISATION_PROGRAM,SEVERE,0,0,ENISA_SECTOR_NOTE,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-02-09
2008,MT,ARSON,10,12,32,70,31,ONLINE,6005,45,67,BORDER_SCREENING,HIGH,0,0,EU_INTEL_SITCEN,INTERIOR_MINISTRY_BRIEFING,SECOND,2024-10-27
2009,SK,EXPLOSIVE_DEVICE,8,32,45,84,0,PRISON,2136,42,5,CRITICAL_INFRA_PROTECTION,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,COURT_CASES_REGISTER,FIRST,2025-05-18
2010,BE,ATTACK_ATTEMPTED,10,19,62,0,23,IN_PERSON_NETWORK,790,5,63,CT_STRATEGY_UPDATE,GUARDED,1,0,FRA_DATA,EUROPOL_TE_SAT,FLASH,2025-11-15
2011,DK,STABBING,10,9,63,34,9,FAMILY_PEER,2084,20,52,FINANCIAL_SANCTIONS,LOW,1,0,EUROPOL_TE_SAT,NATIONAL_SECURITY_SERVICE,BENCHMARK,2025-12-29
2012,GR,FIREARM,5,19,45,172,25,TRAVEL_RELATED,1385,12,61,INTELLIGENCE_SHARING,SEVERE,0,0,ENISA_SECTOR_NOTE,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-07-05
2013,LT,ATTACK_COMPLETED,10,11,58,33,14,UNKNOWN,766,52,31,ONLINE_CONTENT_ACTION,HIGH,0,1,EU_INTEL_SITCEN,COURT_CASES_REGISTER,FIRST,2024-07-12
2014,PT,VEHICLE_ATTACK,7,9,32,93,43,ONLINE,7342,18,26,DERADICALISATION_PROGRAM,ELEVATED,1,0,FRONTEX_RISK_ANALYSIS,EUROPOL_TE_SAT,FLASH,2025-01-29
2015,SE,SABOTAGE,3,6,20,69,0,PRISON,1953,76,8,BORDER_SCREENING,GUARDED,0,0,FRA_DATA,NATIONAL_SECURITY_SERVICE,BENCHMARK,2024-03-10
2016,CY,ARSON,9,10,71,0,1,IN_PERSON_NETWORK,767,25,29,CRITICAL_INFRA_PROTECTION,LOW,0,0,EUROPOL_TE_SAT,INTERIOR_MINISTRY_BRIEFING,SECOND,2025-11-29
2017,FR,EXPLOSIVE_DEVICE,4,3,45,23,17,FAMILY_PEER,926,31,30,CT_STRATEGY_UPDATE,SEVERE,0,0,ENISA_SECTOR_NOTE,COURT_CASES_REGISTER,FIRST,2025-10-08
