tax_env_reference_year,tax_env_country_iso2,tax_env_tax_type_code,tax_env_tax_base_unit,tax_env_tax_rate_value,tax_env_tax_revenue_eur,tax_env_tax_revenue_pct_gdp,tax_env_ets_auction_revenue_eur,tax_env_ets_allowances_auctioned_count,tax_env_cbam_revenue_eur,tax_env_energy_tax_revenue_eur,tax_env_transport_tax_revenue_eur,tax_env_pollution_tax_revenue_eur,tax_env_resource_tax_revenue_eur,tax_env_revenue_recycled_to_households_flag,tax_env_green_budget_tagging_flag,tax_env_fossil_fuel_subsidy_eur,tax_env_policy_reference_fit55_flag,tax_env_data_source,tax_env_data_extract_date
2016,IT,POLLUTION,EUR_PER_MWH,11.3659,7047201.57,0.007,2635014121.1,34532367,42938158.23,777952.51,496300.86,2010876.64,3762071.56,0,1,1106945169.27,0,EUROSTAT_ENV_TAX,2024-06-25
2017,NL,CARBON,EUR_PER_LITRE,158.073,34594863.38,0.0333,1665563449.97,34531038,199335845.63,9895094.67,6090504.75,1398600.0,17210663.96,1,1,2264082640.9,1,ETS_AUCTION_PLATFORM,2024-11-07
2018,SI,TRANSPORT,EUR_PER_TONNE,72.9805,106130608.8,0.0994,367730166.15,34523805,33731192.38,10473699.7,28166847.87,2701262.33,64788798.9,0,1,2848522373.49,0,NATIONAL_ENV_MINISTRY,2025-04-23
2019,BG,RESOURCE,EUR_PER_VEHICLE,137.4252,78261207.08,0.0711,1614056265.33,34462678,145198469.97,7616412.02,13989128.63,11220337.03,45435329.4,0,1,965157009.33,0,BUDGET_REPORTING,2025-12-08
2020,EE,ENERGY,EUR_PER_TCO2,9.7398,10601946.26,0.0094,2303596921.04,34555517,56914357.83,3863716.59,973195.11,862947.19,4902087.37,0,1,2893621293.82,1,EUROSTAT_ENV_TAX,2024-08-21
2021,HU,POLLUTION,EUR_PER_MWH,83.9925,46298115.54,0.0403,583809549.72,34618627,96434501.55,7394266.04,5414013.31,13973841.89,19515994.3,1,1,261532440.25,1,ETS_AUCTION_PLATFORM,2024-04-18
2022,LU,CARBON,EUR_PER_LITRE,172.2649,47920526.78,0.0411,360964415.41,34629671,3215428.22,13947562.83,9196880.64,4321872.05,20454211.26,1,0,575535021.97,0,NATIONAL_ENV_MINISTRY,2025-07-08
2023,RO,TRANSPORT,EUR_PER_TONNE,3.2672,5597567.52,0.0046,2274792890.44,34687924,751294715.54,585283.84,1876727.56,728374.27,2407181.85,0,0,1950380668.99,1,BUDGET_REPORTING,2025-08-28
2024,AT,RESOURCE,EUR_PER_VEHICLE,60.5381,13347857.64,0.0109,2996029802.0,34775925,14212389.8,993727.78,1619557.93,1511035.71,9223536.22,1,0,5816219650.78,1,EUROSTAT_ENV_TAX,2024-11-30
2025,CZ,ENERGY,EUR_PER_TCO2,15.2822,1106033.25,0.0009,3234745258.58,34765588,570515424.89,468229.51,57010.27,113475.19,467318.28,0,0,1703772180.12,1,ETS_AUCTION_PLATFORM,2025-07-20
2026,DE,POLLUTION,EUR_PER_MWH,15.4771,13380327.79,0.0105,2587258751.21,34926709,808238831.99,3296365.39,1749152.79,3665824.04,4668985.57,0,1,2338701252.61,1,NATIONAL_ENV_MINISTRY,2025-04-10
2010,LV,CARBON,EUR_PER_LITRE,130.6329,191254603.98,0.1464,1738845218.95,34804684,204022756.36,68657565.34,33910652.4,24690387.52,63995998.72,0,0,1572578229.49,0,BUDGET_REPORTING,2025-03-31
2011,PL,TRANSPORT,EUR_PER_TONNE,91.1844,157710481.14,0.119,2572472412.46,34903311,149382023.42,12163359.5,25237858.12,10522768.63,109786494.89,0,1,4526267439.09,0,EUROSTAT_ENV_TAX,2025-11-29
2012,ES,RESOURCE,EUR_PER_VEHICLE,141.8683,158953844.65,0.1175,978830022.61,34879464,12857439.69,31634917.17,25744484.54,4194618.66,97379824.28,0,1,521115502.74,0,ETS_AUCTION_PLATFORM,2024-05-01
2013,HR,ENERGY,EUR_PER_TCO2,131.9895,300318114.28,0.2173,193594281.68,34964019,190364337.88,149908397.19,17479224.28,21529324.34,111401168.47,1,1,1197068237.58,0,NATIONAL_ENV_MINISTRY,2024-07-16
2014,FI,POLLUTION,EUR_PER_MWH,156.8927,77680880.88,0.0551,2640468936.37,35033643,40301170.28,11060770.61,8332809.73,17006338.53,41280962.01,1,0,3406763798.14,0,BUDGET_REPORTING,2025-07-21
2015,IE,CARBON,EUR_PER_LITRE,132.8887,34452945.19,0.0242,2627899107.27,35046181,119463531.19,22336769.08,6122893.54,3655128.75,2338153.82,0,1,4241299860.59,0,EUROSTAT_ENV_TAX,2025-07-18
2016,MT,TRANSPORT,EUR_PER_TONNE,155.172,208141228.38,0.1432,2773782785.31,35039227,101082397.11,36719678.63,58498977.09,6775932.22,106146640.44,1,1,4736449277.06,1,ETS_AUCTION_PLATFORM,2024-05-05
2017,SK,RESOURCE,EUR_PER_VEHICLE,168.4792,49615684.16,0.0334,1845390668.23,35164646,103315818.11,9753213.64,2750796.89,7054457.95,30057215.68,0,1,3696011568.45,0,NATIONAL_ENV_MINISTRY,2024-07-10
2018,BE,ENERGY,EUR_PER_TCO2,62.369,24622226.67,0.0163,1720162758.44,35112723,122472277.8,15464699.97,3339198.68,1035792.73,4782535.29,0,1,2526907595.28,0,BUDGET_REPORTING,2025-04-25
2019,DK,POLLUTION,EUR_PER_MWH,30.3134,36425889.62,0.0237,1514004391.13,35182390,155046682.97,2138420.01,6776484.71,9309862.0,18201122.9,0,0,1519781978.96,0,EUROSTAT_ENV_TAX,2026-01-02
2020,GR,CARBON,EUR_PER_LITRE,153.0962,83489742.74,0.0532,2357340065.86,35284808,151502135.88,51844746.92,9407534.97,10558649.34,11678811.51,1,0,1930579856.93,1,ETS_AUCTION_PLATFORM,2024-06-25
2021,LT,TRANSPORT,EUR_PER_TONNE,33.915,40767991.03,0.0255,1235340164.49,35337280,54946042.96,2390621.62,5615575.76,4558030.77,28203762.88,1,0,6771372574.69,1,NATIONAL_ENV_MINISTRY,2025-01-14
2022,PT,RESOURCE,EUR_PER_VEHICLE,70.6523,120052571.78,0.0742,2835676968.29,35398019,170757011.13,21384628.59,11358984.85,16478509.87,70830448.47,1,1,5668259386.38,0,BUDGET_REPORTING,2026-01-20
2023,SE,ENERGY,EUR_PER_TCO2,51.7543,18366030.99,0.0111,1965917717.93,35320461,797659609.7,9747294.62,3541866.94,770900.88,4305968.55,0,0,2550812250.62,1,EUROSTAT_ENV_TAX,2024-01-03
2024,CY,POLLUTION,EUR_PER_MWH,179.7858,356935790.97,0.2136,1130075788.55,35351593,8821276.73,77688016.41,53185775.55,64065250.82,161996748.19,1,1,5742635749.03,0,ETS_AUCTION_PLATFORM,2024-03-06
2025,FR,CARBON,EUR_PER_LITRE,29.8756,1959360.26,0.0012,50809791.39,35551460,76327194.11,867307.47,296770.71,162148.4,633133.68,1,0,2174664415.44,1,NATIONAL_ENV_MINISTRY,2025-10-07
2026,IT,TRANSPORT,EUR_PER_TONNE,113.0061,69417491.55,0.0404,1395062650.17,35440151,676977586.21,13579297.04,10255742.47,2153529.26,43428922.78,0,1,1245567370.86,1,BUDGET_REPORTING,2024-04-07
2010,NL,RESOURCE,EUR_PER_VEHICLE,159.1598,105727090.89,0.0606,2685656494.81,35505923,39114220.37,25122620.86,18069933.64,10125676.11,52408860.28,0,0,1737419936.97,0,EUROSTAT_ENV_TAX,2025-11-24
2011,SI,ENERGY,EUR_PER_TCO2,77.3275,38512569.42,0.0217,738852255.52,35639692,52499813.42,23562295.98,6033552.26,1587367.06,7329354.12,0,1,1073444944.39,0,ETS_AUCTION_PLATFORM,2025-08-17
2012,BG,POLLUTION,EUR_PER_MWH,67.3879,31023531.81,0.0173,82400502.38,35556849,211386501.86,1985977.4,4386024.26,9520889.92,15130640.23,1,0,5885881917.73,0,NATIONAL_ENV_MINISTRY,2025-08-21
2013,EE,CARBON,EUR_PER_LITRE,34.5067,5703468.12,0.0031,130327940.0,35742224,90162611.94,3148517.42,1001289.41,132372.18,1421289.11,1,0,1617602708.23,0,BUDGET_REPORTING,2025-09-10
2014,HU,TRANSPORT,EUR_PER_TONNE,172.364,31457165.65,0.017,844053641.94,35686925,178800279.52,5436551.82,12475117.4,1361254.97,12184241.46,0,1,527988046.87,0,EUROSTAT_ENV_TAX,2025-02-12
2015,LU,RESOURCE,EUR_PER_VEHICLE,145.1752,4131610.84,0.0022,2519893845.02,35767168,50536321.21,408805.18,522837.22,365041.66,2834926.78,0,1,4232834878.11,0,ETS_AUCTION_PLATFORM,2026-02-16
2016,RO,ENERGY,EUR_PER_TCO2,160.5366,23861424.15,0.0126,1478449370.05,35850626,10733190.65,12433475.79,2932278.25,2490362.46,6005307.65,1,0,1147258810.7,1,NATIONAL_ENV_MINISTRY,2024-02-28
2017,AT,POLLUTION,EUR_PER_MWH,72.1186,75764298.47,0.0393,856534242.83,35836274,181165350.54,7936611.36,13782763.44,15959336.38,38085587.29,1,1,2092151844.74,0,BUDGET_REPORTING,2024-10-17
2018,CZ,CARBON,EUR_PER_LITRE,114.3818,87086596.7,0.0447,2173940419.67,35840099,153756160.08,47536019.53,12510628.26,5717936.99,21322011.92,1,1,1045498734.35,0,EUROSTAT_ENV_TAX,2025-04-12
2019,DE,TRANSPORT,EUR_PER_TONNE,83.5272,30468748.68,0.0155,79412804.78,35914824,209762498.16,4100237.71,9274391.77,2292800.67,14801318.53,1,1,256117567.56,0,ETS_AUCTION_PLATFORM,2025-04-07
2020,LV,RESOURCE,EUR_PER_VEHICLE,30.0838,5098340.41,0.0026,283751734.0,35948593,61052589.25,1153478.46,888022.56,322380.66,2734458.73,1,1,5520939322.43,1,NATIONAL_ENV_MINISTRY,2025-01-04
2021,PL,ENERGY,EUR_PER_TCO2,132.3079,201532313.01,0.0991,735308862.07,35983673,96657457.79,76543615.63,27489169.5,21092061.49,76407466.39,0,0,6430961017.88,0,BUDGET_REPORTING,2025-06-20
2022,ES,POLLUTION,EUR_PER_MWH,133.7644,86334874.88,0.0419,432316756.73,36074314,118045511.27,6879439.0,12415556.94,17917375.66,49122503.28,0,1,6375156872.2,1,EUROSTAT_ENV_TAX,2025-07-05
2023,HR,CARBON,EUR_PER_LITRE,37.3865,47072477.66,0.0227,1352326749.96,36066346,424676418.27,27262775.7,5344978.39,6655555.28,7809168.29,1,0,577869961.61,1,ETS_AUCTION_PLATFORM,2025-12-16
2024,FI,TRANSPORT,EUR_PER_TONNE,21.7657,22295222.81,0.0106,525840717.72,36075920,676705164.07,5310280.46,4550104.09,2133005.77,10301832.49,1,0,4647262297.95,1,NATIONAL_ENV_MINISTRY,2024-12-16
2025,IE,RESOURCE,EUR_PER_VEHICLE,67.0675,132728603.82,0.0622,1653800491.46,36259743,354881015.48,14189471.45,26102211.87,3076781.08,89360139.42,0,0,3179201067.14,0,BUDGET_REPORTING,2024-07-06
2026,MT,ENERGY,EUR_PER_TCO2,176.5663,261053415.81,0.1211,1277454435.14,36223908,407970977.45,101893893.87,16694473.76,21131844.67,121333203.51,1,0,2739987203.77,0,EUROSTAT_ENV_TAX,2025-11-19
2010,SK,POLLUTION,EUR_PER_MWH,126.5558,192455393.54,0.0881,799388015.57,36156702,123750850.21,35536735.27,31891051.07,19401656.45,105625950.75,0,1,4402265392.2,0,ETS_AUCTION_PLATFORM,2024-05-20
2011,BE,CARBON,EUR_PER_LITRE,154.1566,385229694.28,0.1747,1654170932.09,36375237,187155519.72,197626831.59,36732267.49,19486857.85,131383737.35,0,1,1693288399.83,1,NATIONAL_ENV_MINISTRY,2025-11-02
2012,DK,TRANSPORT,EUR_PER_TONNE,57.0228,40771871.79,0.0182,2092649.54,36348372,194108093.33,3090059.34,8869799.82,2317521.0,26494491.63,1,0,1303950176.56,1,BUDGET_REPORTING,2024-02-21
2013,GR,RESOURCE,EUR_PER_VEHICLE,124.8722,123452825.6,0.0546,1045296532.38,36367894,38810948.01,10803698.16,17919871.78,16967464.32,77761791.34,0,1,2798093875.39,0,EUROSTAT_ENV_TAX,2024-02-01
2014,LT,ENERGY,EUR_PER_TCO2,143.2531,75317515.3,0.0329,2165304868.64,36434117,16927991.05,33766993.21,5260294.86,2347490.95,33942736.28,1,0,1109119429.41,0,ETS_AUCTION_PLATFORM,2024-11-30
2015,PT,POLLUTION,EUR_PER_MWH,148.6672,143149625.37,0.062,12629198.26,36471917,120441219.59,22366697.52,21181966.96,17988659.84,81612301.05,1,0,1796060849.84,1,NATIONAL_ENV_MINISTRY,2024-01-09
2016,SE,CARBON,EUR_PER_LITRE,11.6046,5116382.99,0.0022,1452862359.84,36559878,204082366.23,1947721.03,693839.2,403424.73,2071398.03,0,1,328221615.78,0,BUDGET_REPORTING,2024-11-03
2017,CY,TRANSPORT,EUR_PER_TONNE,136.1806,43849345.66,0.0185,812187434.98,36521690,131098152.18,8372131.08,9490594.33,5582352.12,20404268.13,0,1,5464216593.92,0,EUROSTAT_ENV_TAX,2026-02-17
2018,FR,RESOURCE,EUR_PER_VEHICLE,14.3838,4325413.9,0.0018,1246799540.17,36652488,212036297.68,829497.55,466390.89,230594.58,2798930.88,0,1,730995551.35,0,ETS_AUCTION_PLATFORM,2024-02-10
2019,IT,ENERGY,EUR_PER_TCO2,139.5559,199546016.8,0.0825,1244099123.64,36532254,168168218.35,66268785.23,36064830.01,7152525.02,90059876.54,0,1,1576822267.58,0,NATIONAL_ENV_MINISTRY,2025-03-19
2020,NL,POLLUTION,EUR_PER_MWH,89.5873,80138162.64,0.0329,5004182009.53,36694333,183967881.12,8458157.21,11156560.24,27775681.45,32747763.74,1,0,978973328.77,1,BUDGET_REPORTING,2024-09-09
2021,SI,CARBON,EUR_PER_LITRE,114.7527,108362912.74,0.0437,2871199225.34,36721744,64683596.13,66938282.56,17853415.04,6869088.85,16702126.29,0,0,3654754774.36,1,EUROSTAT_ENV_TAX,2024-07-06
2022,BG,TRANSPORT,EUR_PER_TONNE,139.1409,86941220.74,0.0348,3532131090.89,36674846,22994708.86,8415070.89,10279173.78,12566323.54,55680652.53,1,1,4269470548.14,1,ETS_AUCTION_PLATFORM,2025-10-25
2023,EE,RESOURCE,EUR_PER_VEHICLE,0.9329,450071.02,0.0002,449301912.59,36705355,726148480.49,34205.38,48947.65,39054.34,327863.65,0,1,3250056146.25,1,NATIONAL_ENV_MINISTRY,2025-01-02
2024,HU,ENERGY,EUR_PER_TCO2,25.8878,22891843.33,0.009,441830154.85,36747092,80514036.37,13425942.1,2231492.55,2098903.91,5135504.77,0,1,1516110972.59,0,BUDGET_REPORTING,2024-03-17
2025,LU,POLLUTION,EUR_PER_MWH,175.0298,94987681.81,0.0369,1730833251.87,36821011,816275493.17,20726481.69,13400199.07,21205226.06,39655774.99,1,1,265897273.93,0,EUROSTAT_ENV_TAX,2026-02-04
2026,RO,CARBON,EUR_PER_LITRE,158.165,5583915.2,0.0021,572502629.51,36898214,666355696.71,1799801.65,704336.3,312788.89,2766988.36,0,1,5831660400.21,1,ETS_AUCTION_PLATFORM,2024-01-12
2010,AT,TRANSPORT,EUR_PER_TONNE,144.559,68147061.54,0.0259,4815651863.82,36890298,50224123.27,6719764.49,16735698.53,8241405.39,36450193.13,0,1,3277370749.77,0,NATIONAL_ENV_MINISTRY,2024-09-10
2011,CZ,RESOURCE,EUR_PER_VEHICLE,132.7553,159383465.38,0.0599,3326750781.1,36896044,63549666.09,34803725.57,30036549.78,18319991.25,76223198.78,1,1,4937656686.59,0,BUDGET_REPORTING,2025-08-02
2012,DE,ENERGY,EUR_PER_TCO2,52.8938,91609057.82,0.0343,2235677283.0,37040273,173829302.48,24306758.39,4717499.82,9266810.36,53317989.25,1,1,4759991373.26,1,EUROSTAT_ENV_TAX,2025-04-13
2013,LV,POLLUTION,EUR_PER_MWH,10.5061,12313842.32,0.0045,4753528233.63,37002966,94853470.93,2730462.33,919561.94,1328359.89,7335458.16,1,0,1194969579.74,0,ETS_AUCTION_PLATFORM,2024-02-06
2014,PL,CARBON,EUR_PER_LITRE,78.8061,132180962.41,0.0483,2523981306.92,37087687,60077601.2,45140928.6,7363813.95,4552003.4,75124216.46,0,0,2658139197.08,0,NATIONAL_ENV_MINISTRY,2025-08-12
2015,ES,TRANSPORT,EUR_PER_TONNE,155.7883,85074368.15,0.0308,2429398301.58,37119298,115134652.79,8358967.0,8960048.87,8423302.85,59332049.43,1,1,2164186909.51,0,BUDGET_REPORTING,2026-01-11
2016,HR,RESOURCE,EUR_PER_VEHICLE,48.2642,59319943.52,0.0213,1466118449.19,37204052,99638498.28,13258204.24,9553036.25,8254113.11,28254589.92,0,1,4374192679.13,0,EUROSTAT_ENV_TAX,2025-06-13
2017,FI,ENERGY,EUR_PER_TCO2,53.2822,16539822.35,0.0059,2076061216.26,37259626,136630869.38,6098889.15,1077584.83,1848831.65,7514516.72,0,0,668322869.93,0,ETS_AUCTION_PLATFORM,2026-02-20
2018,IE,POLLUTION,EUR_PER_MWH,62.5282,42498335.8,0.0149,167238718.13,37279140,84170166.02,3898046.02,3847311.69,10304350.8,24448627.29,0,0,934661373.18,0,NATIONAL_ENV_MINISTRY,2024-02-04
2019,MT,CARBON,EUR_PER_LITRE,149.6749,285443308.2,0.0999,14099093.37,37376414,150806598.04,96500746.17,20418905.57,20293156.22,148230500.24,1,0,944558652.51,0,BUDGET_REPORTING,2025-08-15
2020,SK,TRANSPORT,EUR_PER_TONNE,93.32,57486002.54,0.0199,3336930298.34,37295371,116175288.56,6726855.1,16924689.56,4130893.32,29703564.56,1,1,5929823382.63,1,EUROSTAT_ENV_TAX,2024-06-17
2021,BE,RESOURCE,EUR_PER_VEHICLE,126.7927,36914514.84,0.0127,2919649320.24,37438993,60200256.01,4081295.72,3737629.51,2935285.81,26160303.8,1,1,3377030891.24,1,ETS_AUCTION_PLATFORM,2024-06-13
2022,DK,ENERGY,EUR_PER_TCO2,133.8028,10937827.3,0.0037,1692203781.16,37406976,24233447.13,5056348.23,701485.09,618509.87,4561484.11,1,1,2161803601.26,1,NATIONAL_ENV_MINISTRY,2025-07-01
2023,GR,POLLUTION,EUR_PER_MWH,7.5465,4909081.63,0.0017,2935016434.09,37466935,195573933.21,491433.85,657027.37,1398581.19,2362039.22,0,1,1486245109.97,1,BUDGET_REPORTING,2025-11-22
2024,LT,CARBON,EUR_PER_LITRE,43.9592,47134573.21,0.0158,665316184.82,37554668,346288377.07,28000629.1,6900878.17,3638618.75,8594447.19,1,0,4871729738.55,1,EUROSTAT_ENV_TAX,2025-12-16
2025,PT,TRANSPORT,EUR_PER_TONNE,48.4484,33595863.73,0.0111,3241115927.69,37544305,307438357.1,5034283.93,13855740.92,2088955.18,12616883.7,1,1,766561841.27,1,ETS_AUCTION_PLATFORM,2025-07-08
2026,SE,RESOURCE,EUR_PER_VEHICLE,81.86,123539776.62,0.0407,941836915.94,37616718,620682442.35,29834509.45,19082502.14,3293615.23,71329149.8,0,0,6301031391.52,1,NATIONAL_ENV_MINISTRY,2024-03-22
2010,CY,ENERGY,EUR_PER_TCO2,176.0012,89856526.85,0.0292,1748845498.05,37618976,88438869.39,26979786.88,5703306.43,11528252.75,45645180.79,1,1,920930715.82,0,BUDGET_REPORTING,2025-03-15
2011,FR,POLLUTION,EUR_PER_MWH,7.2728,5752045.21,0.0019,2055838218.84,37642868,63086906.8,1342879.39,566984.77,1937484.0,1904697.05,0,1,5993246824.12,0,EUROSTAT_ENV_TAX,2026-02-20
2012,IT,CARBON,EUR_PER_LITRE,25.8946,12390460.84,0.004,2468319857.12,37650950,74153518.17,3685596.57,2145224.57,1127384.02,5432255.68,1,0,945651418.31,1,ETS_AUCTION_PLATFORM,2025-07-17
2013,NL,TRANSPORT,EUR_PER_TONNE,95.0505,62596030.76,0.0199,4230016533.07,37708759,107825498.34,11996493.65,21225538.98,8263076.44,21110921.69,0,1,2243897674.18,0,NATIONAL_ENV_MINISTRY,2024-08-18
2014,SI,RESOURCE,EUR_PER_VEHICLE,88.5958,73309270.71,0.0231,1026707924.72,37683448,52838767.4,7039136.26,11465061.13,1528204.71,53276868.61,0,0,4655081030.58,0,BUDGET_REPORTING,2024-01-18
2015,BG,ENERGY,EUR_PER_TCO2,118.4598,122876988.75,0.0384,1411572937.44,37774686,47526144.27,61269042.93,16288616.84,15464393.64,29854935.34,1,1,5459008858.32,0,EUROSTAT_ENV_TAX,2025-08-05
2016,EE,POLLUTION,EUR_PER_MWH,170.8379,137103599.69,0.0425,1398976375.65,37854042,127748297.43,24817603.27,14683665.95,21886675.29,75715655.18,0,1,6801177353.48,0,ETS_AUCTION_PLATFORM,2024-08-13
2017,HU,CARBON,EUR_PER_LITRE,111.9569,68110730.65,0.021,85224275.34,37844726,150288127.58,20339516.39,6186107.36,8832790.9,32752316.0,0,0,5072194309.84,0,NATIONAL_ENV_MINISTRY,2024-06-05
2018,LU,TRANSPORT,EUR_PER_TONNE,85.6802,35140022.23,0.0107,1967301409.66,37837325,162365715.26,3439980.33,8063242.05,705200.86,22931598.99,0,1,1070932677.07,0,BUDGET_REPORTING,2025-08-17
2019,RO,RESOURCE,EUR_PER_VEHICLE,53.4081,7352351.89,0.0022,1965070903.36,37974272,38578767.9,877558.3,1076349.3,685144.67,4713299.62,1,0,2427267355.61,0,EUROSTAT_ENV_TAX,2025-02-27
2020,AT,ENERGY,EUR_PER_TCO2,56.9946,29697119.88,0.0089,975247377.86,37951935,63306139.09,12835235.55,3603832.33,4150332.69,9107719.31,0,0,913573322.47,1,ETS_AUCTION_PLATFORM,2026-01-30
2021,CZ,POLLUTION,EUR_PER_MWH,14.3931,13276956.7,0.004,561687832.6,38080069,7893180.47,1970900.74,1927198.97,2591079.9,6787777.09,0,1,4460635814.91,1,NATIONAL_ENV_MINISTRY,2024-11-09
2022,DE,CARBON,EUR_PER_LITRE,100.2288,42013485.4,0.0124,1264584630.55,38122267,57483377.49,15976480.26,8069124.58,5259289.67,12708590.89,1,1,6279572953.08,1,BUDGET_REPORTING,2025-12-29
2023,LV,TRANSPORT,EUR_PER_TONNE,48.311,43854502.52,0.0129,2821514349.35,38030408,118334014.38,10158986.2,16384134.29,1604079.21,15707302.82,1,1,567941173.72,1,EUROSTAT_ENV_TAX,2025-11-19
2024,PL,RESOURCE,EUR_PER_VEHICLE,157.3095,189116767.24,0.0551,1866833274.68,38194080,92564190.65,12171299.36,15626012.21,24249193.95,137070261.72,1,1,2520664654.2,1,ETS_AUCTION_PLATFORM,2024-03-16
2025,ES,ENERGY,EUR_PER_TCO2,136.0138,162662376.53,0.047,728656405.44,38244933,768168153.01,81165769.86,13453526.6,11529194.24,56513885.83,0,0,2001488945.76,1,NATIONAL_ENV_MINISTRY,2025-03-09
2026,HR,POLLUTION,EUR_PER_MWH,3.5171,1867622.44,0.0005,569854576.29,38257867,114625225.42,108021.63,148537.53,480021.84,1131041.44,0,1,6658312170.53,1,BUDGET_REPORTING,2025-01-31
2010,FI,CARBON,EUR_PER_LITRE,45.8184,30537181.31,0.0087,1997503346.68,38207636,68237815.54,12995727.09,5726541.15,624421.41,11190491.66,0,1,4753217200.68,0,EUROSTAT_ENV_TAX,2025-06-28
2011,IE,TRANSPORT,EUR_PER_TONNE,7.4827,71944.47,0.0,1154530500.38,38356959,124087206.25,12426.61,9067.79,7665.06,42785.01,0,1,2871791670.12,0,ETS_AUCTION_PLATFORM,2024-05-15
2012,MT,RESOURCE,EUR_PER_VEHICLE,129.4086,11461931.68,0.0032,2068758370.72,38425323,54638429.74,630672.46,1630896.24,634924.21,8565438.77,1,0,4087264625.14,0,NATIONAL_ENV_MINISTRY,2024-02-10
2013,SK,ENERGY,EUR_PER_TCO2,77.0286,61320737.69,0.0171,1918917574.84,38347767,11264208.31,37470806.23,5201928.98,8480678.77,10167323.71,0,0,1291859413.24,0,BUDGET_REPORTING,2025-09-11
2014,BE,POLLUTION,EUR_PER_MWH,166.9387,286685006.58,0.0794,599029587.19,38468048,119845475.31,53770172.75,54863036.62,94393086.27,83658710.94,1,1,447684241.54,0,EUROSTAT_ENV_TAX,2024-04-14
2015,DK,CARBON,EUR_PER_LITRE,155.0686,135126409.27,0.0371,891947794.44,38381433,198945631.26,54769798.69,20211584.69,9404481.33,50740544.56,1,0,2675087803.81,0,ETS_AUCTION_PLATFORM,2024-09-11
2016,GR,TRANSPORT,EUR_PER_TONNE,72.255,174424503.74,0.0476,1621122442.95,38472610,142255558.74,19733276.86,75305085.01,10765743.62,68620398.25,1,1,6338731259.02,0,NATIONAL_ENV_MINISTRY,2025-05-23
2017,LT,RESOURCE,EUR_PER_VEHICLE,82.3879,132746747.05,0.036,1574254910.58,38594782,48576570.23,25510889.5,24482527.36,5451184.73,77302145.46,1,1,213390140.63,0,BUDGET_REPORTING,2025-10-03
2018,PT,ENERGY,EUR_PER_TCO2,41.1648,72304961.93,0.0195,2883604777.37,38636926,124226823.35,37006439.36,6397452.74,4384476.04,24516593.79,0,0,671610940.64,1,EUROSTAT_ENV_TAX,2025-01-30
2019,SE,POLLUTION,EUR_PER_MWH,176.7415,191960410.8,0.0513,2634710897.17,38731864,67952163.83,43722832.13,16211715.25,39546509.25,92479354.17,0,1,900277657.16,0,ETS_AUCTION_PLATFORM,2024-06-30
2020,CY,CARBON,EUR_PER_LITRE,134.2507,110338849.88,0.0292,3430793123.61,38746562,33119225.93,35289001.02,13371018.65,5893559.59,55785270.62,1,1,2182904590.35,1,NATIONAL_ENV_MINISTRY,2025-11-02
2021,FR,TRANSPORT,EUR_PER_TONNE,123.3898,11950170.32,0.0031,2940637459.07,38718819,165340295.93,2299933.01,2102327.24,1359724.9,6188185.17,1,0,1632068593.09,1,BUDGET_REPORTING,2025-03-31
2022,IT,RESOURCE,EUR_PER_VEHICLE,62.955,8978244.86,0.0023,395171191.27,38825477,136825326.23,1475606.78,1293629.62,516446.82,5692561.64,0,0,3643110423.85,1,EUROSTAT_ENV_TAX,2024-08-29
2023,NL,ENERGY,EUR_PER_TCO2,98.759,145031552.73,0.0377,1959974872.06,38742338,262933682.79,71218230.19,14237658.68,18479640.41,41096023.45,1,0,1027820982.48,0,ETS_AUCTION_PLATFORM,2024-03-24
2024,SI,POLLUTION,EUR_PER_MWH,48.5174,21493355.07,0.0056,4154947271.46,38782189,489379579.79,5364202.0,3990617.93,6402568.93,5735966.21,0,0,6185766635.79,1,NATIONAL_ENV_MINISTRY,2024-07-06
2025,BG,CARBON,EUR_PER_LITRE,3.6527,7234467.91,0.0019,393099932.87,38830931,380050970.02,3804951.16,741039.61,852405.78,1836071.36,0,0,762532040.32,1,BUDGET_REPORTING,2024-02-18
2026,EE,TRANSPORT,EUR_PER_TONNE,96.4047,113381022.77,0.0288,3383206406.59,38966869,36211462.84,21949893.25,38539917.46,11828265.65,41062946.41,1,0,5841547467.92,0,EUROSTAT_ENV_TAX,2025-11-09
2010,HU,RESOURCE,EUR_PER_VEHICLE,80.6468,49946771.52,0.0126,2298856499.86,38893125,68977872.74,10195208.01,8281309.62,2018148.97,29452104.92,0,0,949215735.08,0,ETS_AUCTION_PLATFORM,2024-10-14
2011,LU,ENERGY,EUR_PER_TCO2,167.9707,181947538.53,0.0458,1525720449.54,38910113,8174484.09,100120134.82,14051354.3,24582986.08,43193063.33,1,1,4807203506.99,0,NATIONAL_ENV_MINISTRY,2024-05-29
2012,RO,POLLUTION,EUR_PER_MWH,131.339,165681179.09,0.0413,632395999.01,39012342,132542642.8,39413885.49,26240702.45,27183985.71,72842605.44,0,0,1581489125.89,1,BUDGET_REPORTING,2025-07-16
2013,AT,CARBON,EUR_PER_LITRE,46.8373,34112940.67,0.0084,2358529238.55,38994676,25938539.72,16777410.11,6304433.18,2227739.73,8803357.65,1,1,605392293.09,0,EUROSTAT_ENV_TAX,2026-01-06
