energy_renew_reference_year,energy_renew_country_iso2,energy_renew_sector_code,energy_renew_share_pct,energy_renew_target_2030_pct,energy_renew_fit55_alignment_flag,energy_renew_installed_capacity_mw,energy_renew_new_installations_mw,energy_renew_permitting_time_months_median,energy_renew_grid_connection_queue_count,energy_renew_curtailment_rate_pct,energy_renew_storage_capacity_mwh,energy_renew_hydrogen_production_tonnes,energy_renew_rfnsbo_compliance_flag,energy_renew_renewable_guarantees_of_origin_count,energy_renew_support_scheme_code,energy_renew_support_amount_eur,energy_renew_repower_eu_flag,energy_renew_data_source,energy_renew_data_extract_date
2020,FI,TRANSPORT,54.96,51.45,1,81371.39,2543.44,32.12,11419,5.04,180447.28,278758.64,0,6384912,CONTRACTS_FOR_DIFFERENCE,4584601742.28,0,COMMISSION_PROGRESS_REPORT,2025-08-11
2021,IE,HEATING_COOLING,12.9,43.45,0,86826.78,2944.09,17.1,5811,11.78,54560.3,174917.02,0,2827469,CAPEX_GRANT,10819707728.88,0,GO_REGISTRY,2025-02-28
2022,MT,ELECTRICITY,77.26,49.08,0,80029.15,926.55,34.75,8000,9.75,811974.89,354601.16,0,16471786,FEED_IN_TARIFF,8638400764.84,1,NATIONAL_ENERGY_STAT,2025-08-04
2023,SK,INDUSTRY,22.37,51.91,1,1232.35,13.36,36.85,8970,6.76,363742.99,220858.55,0,8141913,TAX_CREDIT,1844230979.28,1,ENTSOE_RENEWABLES,2025-01-30
2024,BE,TRANSPORT,75.8,32.27,1,153952.96,424.61,21.34,5258,5.08,501869.95,7745.77,0,12937541,FEED_IN_PREMIUM,3326995302.79,0,COMMISSION_PROGRESS_REPORT,2025-07-25
2025,DK,HEATING_COOLING,66.36,59.75,0,355551.4,11455.83,19.91,3908,8.04,424622.06,380971.01,1,9412416,NET_METERING,1189901467.93,1,GO_REGISTRY,2024-07-20
2004,GR,ELECTRICITY,19.14,42.8,0,255034.74,6838.78,32.85,7907,2.98,999929.37,29931.78,0,29640767,AUCTION_CFD,3038731106.55,0,NATIONAL_ENERGY_STAT,2024-03-30
2005,LT,INDUSTRY,76.5,40.59,1,28723.43,2007.91,57.49,853,12.29,519693.06,55915.52,0,5950591,CONTRACTS_FOR_DIFFERENCE,6032178967.7,1,ENTSOE_RENEWABLES,2025-05-06
2006,PT,TRANSPORT,68.54,46.99,1,342741.88,26237.47,34.98,6647,10.22,316088.1,65956.75,0,13511789,CAPEX_GRANT,9075823078.66,0,COMMISSION_PROGRESS_REPORT,2024-01-18
2007,SE,HEATING_COOLING,30.58,35.45,1,60355.28,2982.15,15.89,6033,4.47,341086.49,50400.11,0,5939322,FEED_IN_TARIFF,178589817.53,0,GO_REGISTRY,2024-08-20
2008,CY,ELECTRICITY,64.4,51.7,1,66217.73,812.4,38.5,10254,3.14,646257.01,2181.46,0,20686047,TAX_CREDIT,3173214082.11,0,NATIONAL_ENERGY_STAT,2024-12-27
2009,FR,INDUSTRY,79.08,39.94,1,138955.61,4804.92,45.42,0,2.13,107692.89,8156.07,0,10869185,FEED_IN_PREMIUM,6628924859.48,0,ENTSOE_RENEWABLES,2024-05-06
2010,IT,TRANSPORT,59.21,40.59,1,143309.89,7609.92,45.37,5496,6.02,496386.12,13501.57,0,10902180,NET_METERING,3689423293.35,0,COMMISSION_PROGRESS_REPORT,2024-02-16
2011,NL,HEATING_COOLING,17.21,54.11,1,363430.31,22635.4,53.43,3822,3.89,450886.48,102306.4,0,1466832,AUCTION_CFD,4232281364.78,0,GO_REGISTRY,2025-08-06
2012,SI,ELECTRICITY,43.01,33.13,1,274909.2,20944.61,33.37,12901,0.08,361084.32,26886.78,0,20998355,CONTRACTS_FOR_DIFFERENCE,6109746601.14,0,NATIONAL_ENERGY_STAT,2024-04-10
2013,BG,INDUSTRY,65.05,42.89,1,245545.42,4488.0,38.44,4385,11.64,336457.88,1949.38,0,7415959,CAPEX_GRANT,4953825202.65,1,ENTSOE_RENEWABLES,2024-12-25
2014,EE,TRANSPORT,25.33,45.05,1,122328.35,5544.6,41.41,8617,11.25,423441.89,92918.29,0,6383574,FEED_IN_TARIFF,3922340358.72,1,COMMISSION_PROGRESS_REPORT,2025-01-31
2015,HU,HEATING_COOLING,44.16,35.86,1,260259.82,13044.78,52.9,10979,10.21,282498.47,73310.28,0,3464147,TAX_CREDIT,1719046449.4,0,GO_REGISTRY,2026-01-31
2016,LU,ELECTRICITY,35.7,56.28,0,62065.04,4744.79,39.78,11278,5.88,240841.85,94308.38,0,20199233,FEED_IN_PREMIUM,1213021368.56,0,NATIONAL_ENERGY_STAT,2025-12-25
2017,RO,INDUSTRY,46.02,47.8,1,111412.28,6715.56,26.79,6919,10.13,131346.79,104362.31,0,3923719,NET_METERING,1819401399.43,0,ENTSOE_RENEWABLES,2025-11-10
2018,AT,TRANSPORT,63.28,34.79,1,130719.41,7817.94,47.98,598,7.58,283336.11,56881.68,0,7705806,AUCTION_CFD,2151410664.17,0,COMMISSION_PROGRESS_REPORT,2024-04-20
2019,CZ,HEATING_COOLING,15.74,45.82,1,279307.71,4088.17,23.34,667,5.59,184390.45,36777.9,0,7313606,CONTRACTS_FOR_DIFFERENCE,3493471514.9,1,GO_REGISTRY,2024-08-04
2020,DE,ELECTRICITY,12.36,48.62,1,101464.98,4430.14,38.54,1645,1.43,870364.7,292393.37,0,28488986,CAPEX_GRANT,6350550645.49,0,NATIONAL_ENERGY_STAT,2024-10-30
2021,LV,INDUSTRY,8.34,40.91,0,166134.37,9328.93,40.85,11486,5.37,104326.49,156343.82,0,5297220,FEED_IN_TARIFF,3615004405.31,0,ENTSOE_RENEWABLES,2025-01-19
2022,PL,TRANSPORT,9.4,49.12,0,219520.78,14363.27,41.64,4393,0.52,285121.46,333024.4,0,5232028,TAX_CREDIT,2995732484.39,1,COMMISSION_PROGRESS_REPORT,2024-09-20
2023,ES,HEATING_COOLING,71.11,45.68,1,233665.02,14415.47,27.68,1949,10.34,83863.81,313860.1,0,8648553,FEED_IN_PREMIUM,1998647379.4,1,GO_REGISTRY,2025-03-05
2024,HR,ELECTRICITY,38.68,55.89,0,136023.95,9903.05,40.97,4726,1.0,963244.89,281349.52,1,21520656,NET_METERING,2584994711.05,0,NATIONAL_ENERGY_STAT,2025-10-21
2025,FI,INDUSTRY,11.03,52.1,0,104652.19,7331.18,20.07,4988,1.86,181464.59,260853.23,1,12713372,AUCTION_CFD,2831668622.89,1,ENTSOE_RENEWABLES,2025-02-11
2004,IE,TRANSPORT,66.59,47.52,1,146660.2,968.71,36.15,4889,10.29,32812.54,75317.84,0,7874566,CONTRACTS_FOR_DIFFERENCE,3704546886.91,0,COMMISSION_PROGRESS_REPORT,2025-12-15
2005,MT,HEATING_COOLING,31.24,49.5,0,85071.91,1477.05,27.71,6204,0.12,428753.25,13307.11,0,4969598,CAPEX_GRANT,1386481544.8,1,GO_REGISTRY,2024-09-11
2006,SK,ELECTRICITY,44.36,42.38,1,117792.39,3352.35,39.3,8678,8.71,276119.45,8652.49,0,11833016,FEED_IN_TARIFF,3973316428.35,0,NATIONAL_ENERGY_STAT,2024-08-15
2007,BE,INDUSTRY,69.57,36.77,1,352878.85,25374.14,57.11,1622,1.04,222177.52,3589.28,0,2268449,TAX_CREDIT,5768141655.3,0,ENTSOE_RENEWABLES,2025-11-20
2008,DK,TRANSPORT,6.47,47.95,0,196632.69,13105.9,23.15,10295,1.69,454147.05,65347.84,0,5950651,FEED_IN_PREMIUM,2342633248.14,0,COMMISSION_PROGRESS_REPORT,2025-06-10
2009,GR,HEATING_COOLING,43.14,37.67,1,188693.05,7832.78,25.64,4402,7.95,186943.91,13117.14,0,7466440,NET_METERING,2622132203.22,0,GO_REGISTRY,2025-11-28
2010,LT,ELECTRICITY,29.11,53.13,0,152706.64,1443.68,10.21,3265,8.81,121837.07,60373.4,0,12130596,AUCTION_CFD,5790250174.52,0,NATIONAL_ENERGY_STAT,2025-11-14
2011,PT,INDUSTRY,50.78,46.06,1,323116.62,10029.8,10.53,11076,9.33,312529.97,32474.99,0,9283976,CONTRACTS_FOR_DIFFERENCE,3172124312.44,0,ENTSOE_RENEWABLES,2025-07-11
2012,SE,TRANSPORT,60.59,53.53,1,81702.5,4556.07,53.77,1994,12.35,408289.97,101304.33,0,9665791,CAPEX_GRANT,8392677348.04,0,COMMISSION_PROGRESS_REPORT,2025-05-25
2013,CY,HEATING_COOLING,49.9,51.57,1,65423.83,2106.09,6.79,129,5.27,252160.13,84786.06,0,5911893,FEED_IN_TARIFF,416860088.65,1,GO_REGISTRY,2025-12-17
2014,FR,ELECTRICITY,65.42,59.85,1,134900.8,3996.29,56.29,9754,9.93,773746.37,46133.82,0,28230895,TAX_CREDIT,1148524272.26,0,NATIONAL_ENERGY_STAT,2024-11-26
2015,IT,INDUSTRY,47.43,35.06,1,145977.47,11885.03,15.93,3049,4.86,169516.39,12082.2,0,6127206,FEED_IN_PREMIUM,6884731101.24,0,ENTSOE_RENEWABLES,2025-04-20
2016,NL,TRANSPORT,14.45,57.17,0,406511.4,11681.73,30.85,2715,6.66,254484.63,85375.82,0,12322350,NET_METERING,1516083318.88,0,COMMISSION_PROGRESS_REPORT,2025-06-28
2017,SI,HEATING_COOLING,33.8,35.42,1,62764.73,597.98,56.76,1061,9.11,239445.83,104322.72,0,1996700,AUCTION_CFD,4260242591.45,0,GO_REGISTRY,2025-10-16
2018,BG,ELECTRICITY,60.82,32.43,1,385682.73,2470.3,13.59,11700,9.43,355319.68,32221.17,0,14467166,CONTRACTS_FOR_DIFFERENCE,4675168471.16,0,NATIONAL_ENERGY_STAT,2025-12-18
2019,EE,INDUSTRY,19.47,57.29,0,374038.42,31417.31,33.65,6900,7.86,263216.85,19216.73,0,12211931,CAPEX_GRANT,5001998611.79,0,ENTSOE_RENEWABLES,2026-01-25
2020,HU,TRANSPORT,31.68,36.21,1,297375.72,11743.29,26.28,6680,6.16,224369.63,1622.63,0,5789201,FEED_IN_TARIFF,1729468486.12,0,COMMISSION_PROGRESS_REPORT,2026-01-05
2021,LU,HEATING_COOLING,5.24,51.57,0,152923.25,8761.55,37.9,6574,9.66,425634.55,377173.7,0,2749083,TAX_CREDIT,3324230500.89,0,GO_REGISTRY,2025-03-03
2022,RO,ELECTRICITY,13.32,54.58,0,61323.41,4410.63,14.19,7505,2.04,165834.52,67978.4,0,20704927,FEED_IN_PREMIUM,8255587974.14,1,NATIONAL_ENERGY_STAT,2025-10-23
2023,AT,INDUSTRY,73.59,34.56,1,134796.27,4710.31,17.57,3389,4.93,427998.64,373870.53,1,8035584,NET_METERING,5595103350.95,1,ENTSOE_RENEWABLES,2025-04-10
2024,CZ,TRANSPORT,54.15,49.16,1,48299.01,4239.47,11.04,5627,10.7,254156.08,79404.95,0,7308661,AUCTION_CFD,3377872952.95,1,COMMISSION_PROGRESS_REPORT,2024-01-11
2025,DE,HEATING_COOLING,70.87,46.94,1,223040.92,12001.03,8.18,8126,5.88,438079.37,129139.41,1,7922680,CONTRACTS_FOR_DIFFERENCE,1940300321.26,0,GO_REGISTRY,2026-01-11
2004,LV,ELECTRICITY,75.17,36.59,1,146908.22,2789.58,37.01,1381,1.62,861369.63,72869.66,0,3001773,CAPEX_GRANT,10270736973.74,0,NATIONAL_ENERGY_STAT,2024-01-10
2005,PL,INDUSTRY,14.18,55.82,0,30189.02,2598.15,8.43,2751,2.39,433316.27,48042.67,0,3960304,FEED_IN_TARIFF,4378668699.31,0,ENTSOE_RENEWABLES,2025-01-24
2006,ES,TRANSPORT,39.79,38.95,1,92553.85,7201.65,37.12,5704,1.11,305170.06,110544.12,0,6477168,TAX_CREDIT,3748351071.35,0,COMMISSION_PROGRESS_REPORT,2024-06-09
2007,HR,HEATING_COOLING,29.66,54.66,0,268831.37,4358.26,41.87,4718,0.87,297399.64,75577.24,0,2306265,FEED_IN_PREMIUM,4221170041.82,0,GO_REGISTRY,2024-07-25
2008,FI,ELECTRICITY,18.35,38.22,1,179245.31,1498.69,43.22,3935,11.0,780380.41,91965.23,0,28860748,NET_METERING,4424391191.93,1,NATIONAL_ENERGY_STAT,2024-11-14
2009,IE,INDUSTRY,70.73,52.23,1,41573.04,2526.22,6.51,7019,8.05,15389.06,59894.99,0,6064636,AUCTION_CFD,4296426451.96,0,ENTSOE_RENEWABLES,2025-06-21
2010,MT,TRANSPORT,36.29,50.6,0,133598.8,1824.1,31.5,4392,8.89,380047.85,49488.06,0,339956,CONTRACTS_FOR_DIFFERENCE,219080692.28,0,COMMISSION_PROGRESS_REPORT,2025-02-10
2011,SK,HEATING_COOLING,5.24,58.59,0,6080.12,91.02,14.98,11066,2.76,478503.17,20625.35,0,8943101,CAPEX_GRANT,4005543045.26,0,GO_REGISTRY,2024-02-28
2012,BE,ELECTRICITY,77.75,34.14,1,226330.31,10099.81,25.29,237,0.96,637817.71,30029.43,0,15134888,FEED_IN_TARIFF,9791464619.45,1,NATIONAL_ENERGY_STAT,2024-05-02
2013,DK,INDUSTRY,71.32,59.78,1,75331.47,5317.77,13.28,4432,11.91,346379.6,55445.52,0,13469507,TAX_CREDIT,9895082813.17,0,ENTSOE_RENEWABLES,2024-12-04
2014,GR,TRANSPORT,40.2,44.79,1,270518.79,5576.5,23.0,5087,11.41,252785.65,7630.66,0,12711550,FEED_IN_PREMIUM,5817853423.84,0,COMMISSION_PROGRESS_REPORT,2024-11-25
2015,LT,HEATING_COOLING,27.52,50.69,0,104333.82,2743.64,38.14,7248,0.32,358232.42,44915.91,0,2291283,NET_METERING,8202790216.33,0,GO_REGISTRY,2025-02-09
2016,PT,ELECTRICITY,61.14,47.64,1,240425.05,1900.76,29.14,10009,10.32,994282.08,27018.1,0,12425232,AUCTION_CFD,4513922853.81,0,NATIONAL_ENERGY_STAT,2025-11-22
2017,SE,INDUSTRY,58.14,56.32,1,187439.12,2118.63,46.43,4276,2.82,198577.52,102317.55,0,12604985,CONTRACTS_FOR_DIFFERENCE,4499342818.8,0,ENTSOE_RENEWABLES,2024-10-19
2018,CY,TRANSPORT,78.36,52.31,1,247081.43,11388.68,19.31,11059,10.6,66415.42,101226.6,0,1021158,CAPEX_GRANT,3810867221.57,0,COMMISSION_PROGRESS_REPORT,2025-07-20
2019,FR,HEATING_COOLING,71.88,41.17,0,220275.83,18099.28,36.44,9938,3.5,287172.28,41067.31,0,13414031,FEED_IN_TARIFF,6270440894.69,0,GO_REGISTRY,2024-07-16
2020,IT,ELECTRICITY,60.03,41.54,0,58169.5,4509.4,21.37,9184,9.45,93397.61,206488.36,0,26474274,TAX_CREDIT,1802330151.82,0,NATIONAL_ENERGY_STAT,2025-08-26
2021,NL,INDUSTRY,5.52,47.86,0,241576.25,12108.24,22.46,11879,1.17,230168.04,270713.23,0,11792976,FEED_IN_PREMIUM,539156978.55,0,ENTSOE_RENEWABLES,2025-11-15
2022,SI,TRANSPORT,23.45,54.62,0,123801.03,2773.06,13.97,5091,4.8,155858.49,246436.16,0,379405,NET_METERING,4308489866.09,1,COMMISSION_PROGRESS_REPORT,2024-01-14
2023,BG,HEATING_COOLING,55.51,41.3,1,72927.41,476.83,26.89,418,7.22,503196.1,123326.11,0,10764752,AUCTION_CFD,5081702522.26,1,GO_REGISTRY,2025-06-04
2024,EE,ELECTRICITY,33.03,40.64,1,103234.04,4303.78,37.25,2605,3.15,949916.11,175123.78,0,6613629,CONTRACTS_FOR_DIFFERENCE,9116510237.63,1,NATIONAL_ENERGY_STAT,2024-03-25
2025,HU,INDUSTRY,41.67,43.24,1,277533.45,881.98,23.16,439,10.76,102699.61,198820.96,0,7614857,CAPEX_GRANT,2685563896.56,0,ENTSOE_RENEWABLES,2025-03-27
2004,LU,TRANSPORT,28.3,41.35,0,84117.29,4107.08,40.49,10146,11.8,215125.06,30099.28,0,803526,FEED_IN_TARIFF,3775930048.52,0,COMMISSION_PROGRESS_REPORT,2024-12-29
2005,RO,HEATING_COOLING,58.9,50.33,0,33874.41,1587.15,15.3,274,3.83,297515.56,104800.75,0,916058,TAX_CREDIT,6088036352.71,0,GO_REGISTRY,2024-12-28
2006,AT,ELECTRICITY,17.61,39.56,0,145971.76,9859.2,21.54,10668,5.64,222412.24,40119.98,0,2809272,FEED_IN_PREMIUM,3301294285.0,0,NATIONAL_ENERGY_STAT,2025-07-15
2007,CZ,INDUSTRY,76.75,48.24,1,131740.01,2022.11,14.78,10463,12.11,311551.85,29384.09,0,2403225,NET_METERING,9008447626.88,0,ENTSOE_RENEWABLES,2024-02-29
2008,DE,TRANSPORT,70.4,57.55,1,70381.6,5010.34,32.13,313,2.09,52242.9,93910.12,0,12097623,AUCTION_CFD,2923716122.89,0,COMMISSION_PROGRESS_REPORT,2025-05-05
2009,LV,HEATING_COOLING,25.74,49.17,0,13359.74,316.75,4.91,243,10.13,232287.39,61038.31,0,6559101,CONTRACTS_FOR_DIFFERENCE,1280160535.38,0,GO_REGISTRY,2026-02-14
2010,PL,ELECTRICITY,77.53,50.65,1,162251.21,7020.52,28.89,11279,9.51,158610.76,89604.35,0,24209187,CAPEX_GRANT,6511708099.77,0,NATIONAL_ENERGY_STAT,2024-04-23
2011,ES,INDUSTRY,40.38,42.34,1,114520.81,5228.91,45.04,2183,2.33,56653.5,8880.97,0,5883625,FEED_IN_TARIFF,2228343193.15,0,ENTSOE_RENEWABLES,2024-02-28
2012,HR,TRANSPORT,79.67,41.76,1,326465.67,4849.11,31.01,2940,2.51,157348.72,79177.58,0,1401091,TAX_CREDIT,90329260.53,0,COMMISSION_PROGRESS_REPORT,2024-12-30
2013,FI,HEATING_COOLING,12.3,38.6,0,146329.67,11016.99,37.72,9983,3.99,181715.36,33190.57,0,5063277,FEED_IN_PREMIUM,4520581924.1,0,GO_REGISTRY,2024-05-31
2014,IE,ELECTRICITY,63.3,38.09,1,227274.27,2060.1,33.77,3341,6.18,734272.94,28430.34,0,12737828,NET_METERING,169218105.82,0,NATIONAL_ENERGY_STAT,2025-03-11
2015,MT,INDUSTRY,12.3,54.23,0,241375.52,2595.77,18.86,8156,1.72,508672.27,50447.2,0,9976437,AUCTION_CFD,2466820203.7,0,ENTSOE_RENEWABLES,2025-08-17
2016,SK,TRANSPORT,61.76,48.55,1,222372.26,2087.07,39.99,3946,4.85,263503.66,73759.84,0,8342329,CONTRACTS_FOR_DIFFERENCE,2059399069.19,0,COMMISSION_PROGRESS_REPORT,2026-01-14
2017,BE,HEATING_COOLING,28.95,57.31,1,18100.91,324.5,25.85,8188,2.46,126417.79,72542.35,0,11619037,CAPEX_GRANT,3968313466.04,0,GO_REGISTRY,2024-02-08
2018,DK,ELECTRICITY,7.79,51.77,0,225395.92,3385.96,36.41,5067,6.6,631756.67,59919.48,0,10331349,FEED_IN_TARIFF,3057264783.98,0,NATIONAL_ENERGY_STAT,2025-07-23
2019,GR,INDUSTRY,53.17,37.68,1,163332.72,1748.17,12.16,1845,0.56,381772.16,81352.7,0,3021383,TAX_CREDIT,4652077608.87,1,ENTSOE_RENEWABLES,2024-07-11
2020,LT,TRANSPORT,52.71,32.52,1,214762.85,11060.12,5.13,1154,2.06,418956.59,13497.82,0,2215031,FEED_IN_PREMIUM,3088857765.25,0,COMMISSION_PROGRESS_REPORT,2024-06-28
2021,PT,HEATING_COOLING,68.35,41.24,1,213379.74,1478.65,18.9,2349,3.73,361037.29,74138.13,0,8192203,NET_METERING,5271806611.48,0,GO_REGISTRY,2025-12-08
2022,SE,ELECTRICITY,69.14,49.36,1,229394.34,20102.5,27.17,9200,1.09,1082810.1,227214.87,0,25746091,AUCTION_CFD,5875906261.36,1,NATIONAL_ENERGY_STAT,2024-08-20
2023,CY,INDUSTRY,71.42,51.39,1,96770.25,3354.46,34.15,6680,2.26,117573.93,370877.4,1,9913038,CONTRACTS_FOR_DIFFERENCE,2598152993.61,0,ENTSOE_RENEWABLES,2024-07-13
2024,FR,TRANSPORT,35.6,39.43,1,217664.1,19162.51,22.03,7996,10.4,106894.79,201086.17,1,3708175,CAPEX_GRANT,2505936860.13,1,COMMISSION_PROGRESS_REPORT,2025-12-02
2025,IT,HEATING_COOLING,31.91,38.81,1,102795.37,4895.78,23.52,1826,3.2,87953.95,381465.54,0,12469451,FEED_IN_TARIFF,8110930412.63,0,GO_REGISTRY,2024-07-26
2004,NL,ELECTRICITY,4.17,43.5,0,1004.51,32.88,31.46,10560,10.25,377012.32,86471.51,0,15817607,TAX_CREDIT,2275134539.89,0,NATIONAL_ENERGY_STAT,2024-11-18
2005,SI,INDUSTRY,62.24,38.73,1,383128.58,32084.57,50.38,10579,5.39,354532.95,28587.96,0,8150793,FEED_IN_PREMIUM,4684914327.56,0,ENTSOE_RENEWABLES,2024-01-24
2006,BG,TRANSPORT,54.36,35.32,1,231074.21,18914.43,3.72,7130,7.92,314172.07,4764.19,0,2330047,NET_METERING,608075823.12,0,COMMISSION_PROGRESS_REPORT,2025-09-13
2007,EE,HEATING_COOLING,65.83,44.83,1,192950.91,5730.88,11.22,8096,10.97,234585.76,40260.18,0,6354667,AUCTION_CFD,7866509059.69,0,GO_REGISTRY,2024-11-11
2008,HU,ELECTRICITY,71.24,56.15,1,201525.47,5432.45,30.72,2510,10.97,958170.43,5395.94,0,28962960,CONTRACTS_FOR_DIFFERENCE,2741542834.34,0,NATIONAL_ENERGY_STAT,2024-11-07
2009,LU,INDUSTRY,82.63,35.21,1,9494.08,277.98,15.58,3861,2.7,356915.81,89082.28,0,3610551,CAPEX_GRANT,4980061968.53,1,ENTSOE_RENEWABLES,2026-02-16
2010,RO,TRANSPORT,53.15,36.81,1,198555.39,13179.48,53.41,10280,10.08,68521.29,62102.57,0,10246061,FEED_IN_TARIFF,795219043.06,0,COMMISSION_PROGRESS_REPORT,2024-11-04
2011,AT,HEATING_COOLING,69.54,41.11,1,289290.47,22149.43,51.82,8035,4.99,293394.29,6761.41,0,4549405,TAX_CREDIT,7783635422.77,0,GO_REGISTRY,2025-01-03
2012,CZ,ELECTRICITY,41.11,39.25,1,183443.01,8444.07,44.1,2800,9.05,169637.68,105552.82,0,4389888,FEED_IN_PREMIUM,6510222925.32,1,NATIONAL_ENERGY_STAT,2025-06-10
2013,DE,INDUSTRY,55.13,41.11,1,29997.3,2181.41,43.14,5313,5.76,190678.85,67623.23,0,7250279,NET_METERING,953284443.0,0,ENTSOE_RENEWABLES,2024-06-03
2014,LV,TRANSPORT,65.69,41.29,1,101878.84,3862.54,14.42,3244,7.06,54957.18,108999.93,0,934783,AUCTION_CFD,4189507091.32,0,COMMISSION_PROGRESS_REPORT,2025-06-30
2015,PL,HEATING_COOLING,71.02,36.77,1,6951.91,463.58,30.11,4354,10.11,39415.23,76442.57,0,5146497,CONTRACTS_FOR_DIFFERENCE,5330953062.52,0,GO_REGISTRY,2025-02-17
2016,ES,ELECTRICITY,81.99,45.51,1,198760.41,8235.55,19.45,9257,8.78,117335.99,67155.53,0,22989843,CAPEX_GRANT,6578522758.33,0,NATIONAL_ENERGY_STAT,2025-04-02
2017,HR,INDUSTRY,32.58,52.72,0,204399.31,16140.81,18.13,545,2.73,43713.46,62049.74,0,7686082,FEED_IN_TARIFF,2473348450.39,0,ENTSOE_RENEWABLES,2024-06-15
2018,FI,TRANSPORT,38.03,39.55,1,2355.2,122.49,45.35,3750,0.39,2234.73,48117.28,0,2988624,TAX_CREDIT,4167152828.35,0,COMMISSION_PROGRESS_REPORT,2026-01-11
2019,IE,HEATING_COOLING,61.37,51.6,1,69396.33,521.3,14.82,9976,1.22,163882.19,62097.98,0,5052771,FEED_IN_PREMIUM,1231471201.03,0,GO_REGISTRY,2024-07-20
2020,MT,ELECTRICITY,80.63,34.23,1,84080.4,3619.94,41.45,6192,9.64,68782.82,98404.12,0,18138092,NET_METERING,1022089348.94,0,NATIONAL_ENERGY_STAT,2024-07-09
2021,SK,INDUSTRY,39.8,43.36,1,153566.72,8671.53,13.33,9501,11.48,57903.16,376774.53,0,7134859,AUCTION_CFD,1605481557.85,0,ENTSOE_RENEWABLES,2024-08-09
2022,BE,TRANSPORT,68.86,41.99,1,55350.57,4724.67,10.35,5624,10.86,290858.0,168947.93,0,10139042,CONTRACTS_FOR_DIFFERENCE,5513663832.41,0,COMMISSION_PROGRESS_REPORT,2025-05-18
2023,DK,HEATING_COOLING,14.78,36.22,0,20123.16,1076.34,39.91,3431,6.73,357999.69,314194.86,1,13423088,CAPEX_GRANT,4363668101.22,1,GO_REGISTRY,2025-11-27
2024,GR,ELECTRICITY,36.84,44.48,1,385465.06,7166.91,23.54,1106,8.9,850257.63,89393.42,0,812203,FEED_IN_TARIFF,1263507124.32,1,NATIONAL_ENERGY_STAT,2025-03-06
2025,LT,INDUSTRY,28.81,48.99,0,65694.45,3653.06,36.36,3770,5.26,39309.62,183432.37,1,9770834,TAX_CREDIT,5572252975.95,1,ENTSOE_RENEWABLES,2025-12-23
2004,PT,TRANSPORT,48.63,37.9,1,306891.83,1568.48,21.21,3565,6.28,303152.92,13904.22,0,9571521,FEED_IN_PREMIUM,9377389242.14,0,COMMISSION_PROGRESS_REPORT,2025-02-01
2005,SE,HEATING_COOLING,14.25,37.78,0,213991.69,16911.77,31.55,2310,1.44,24110.29,44135.75,0,1267875,NET_METERING,939723565.38,0,GO_REGISTRY,2025-03-09
2006,CY,ELECTRICITY,69.82,41.82,1,231427.18,18174.46,41.38,3839,8.92,318106.37,90403.9,0,25384183,AUCTION_CFD,79856180.42,1,NATIONAL_ENERGY_STAT,2024-09-21
2007,FR,INDUSTRY,25.32,34.38,0,10567.18,185.21,52.12,5642,8.2,233937.37,100833.13,0,5458161,CONTRACTS_FOR_DIFFERENCE,1011994911.85,0,ENTSOE_RENEWABLES,2024-12-25
2008,IT,TRANSPORT,34.23,34.56,1,297790.61,24260.26,21.23,4582,0.3,468303.24,90025.83,0,9397880,CAPEX_GRANT,5327895324.8,0,COMMISSION_PROGRESS_REPORT,2024-08-22
2009,NL,HEATING_COOLING,13.12,33.5,0,356374.63,24065.12,57.51,5581,5.64,484000.24,42539.34,0,4977726,FEED_IN_TARIFF,2560134124.62,1,GO_REGISTRY,2025-01-07
2010,SI,ELECTRICITY,10.13,35.02,0,142639.31,11010.91,46.95,8453,5.37,473732.69,73739.72,0,1511815,TAX_CREDIT,3780124465.87,1,NATIONAL_ENERGY_STAT,2025-10-28
2011,BG,INDUSTRY,78.83,40.0,1,77800.2,349.99,14.15,2324,9.76,513376.27,677.38,0,1182043,FEED_IN_PREMIUM,275090396.64,0,ENTSOE_RENEWABLES,2025-01-18
2012,EE,TRANSPORT,77.26,47.64,1,77626.59,2505.16,5.44,10405,0.29,245108.06,8261.82,0,6349333,NET_METERING,6686520366.52,0,COMMISSION_PROGRESS_REPORT,2025-06-22
2013,HU,HEATING_COOLING,81.26,57.98,0,81694.51,2619.52,46.37,9650,10.82,68333.09,103981.07,0,2784480,AUCTION_CFD,1622457797.0,0,GO_REGISTRY,2025-06-04
2014,LU,ELECTRICITY,11.41,46.33,0,233545.7,5631.02,51.26,11574,0.39,527288.74,57553.37,0,12028396,CONTRACTS_FOR_DIFFERENCE,8492701962.88,0,NATIONAL_ENERGY_STAT,2025-11-19
2015,RO,INDUSTRY,23.04,33.72,0,134572.98,2232.41,34.65,11241,8.38,58253.67,77615.14,0,13440326,CAPEX_GRANT,2928617797.6,0,ENTSOE_RENEWABLES,2024-02-19
2016,AT,TRANSPORT,60.58,40.19,1,153808.15,1779.45,9.32,10720,10.54,271005.3,71247.69,0,13578236,FEED_IN_TARIFF,6205155154.57,0,COMMISSION_PROGRESS_REPORT,2024-03-11
2017,CZ,HEATING_COOLING,34.16,55.37,0,1611.49,104.42,29.9,10017,9.79,408278.26,45451.3,0,6795515,TAX_CREDIT,7299162322.31,0,GO_REGISTRY,2024-09-26
