qol_cult_reference_year,qol_cult_country_iso2,qol_cult_region_nuts_code,qol_cult_cultural_venue_type_code,qol_cult_visits_per_capita,qol_cult_participation_rate_pct,qol_cult_public_spend_culture_eur_per_capita,qol_cult_employment_cultural_sector_pct,qol_cult_creative_industries_turnover_eur,qol_cult_libraries_per_100k,qol_cult_museums_per_100k,qol_cult_cinema_admissions_per_capita,qol_cult_festival_events_count,qol_cult_european_capital_of_culture_flag,qol_cult_cross_border_cultural_projects_count,qol_cult_digital_culture_consumption_pct,qol_cult_copyright_collecting_society_revenues_eur,qol_cult_data_source,qol_cult_methodology_version,qol_cult_data_extract_date
2025,BG,IE424,THEATRE,7.37,40.19,132.55,2.71,25686009029.06,20.37,13.31,1.42,100,0,43,57.58,836856299.56,EUROSTAT_CULT,CULT_V2,2025-10-27
2006,FR,CZ49,CONCERT_HALL,3.35,30.75,170.0,1.66,10105488599.96,21.39,8.22,4.88,76,0,67,63.64,250362800.24,CULTURE_STATS_SURVEY,CULT_V1,2025-01-31
2007,LT,FI66,HERITAGE_SITE,7.65,37.64,109.81,3.42,18678255446.23,24.96,10.64,6.07,40,0,93,38.79,946987595.31,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-06-09
2008,SK,SI43,CINEMA,8.37,60.71,235.97,3.68,8512156483.74,24.66,12.28,1.49,78,0,36,36.28,386636427.94,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-05-08
2009,HR,SE488,CULTURAL_CENTRE,6.84,36.79,78.2,3.54,6932393657.71,23.64,9.95,5.39,69,0,45,23.66,57254810.17,EUROSTAT_CULT,CULT_V1,2025-05-09
2010,DE,LT11,MUSEUM,4.99,54.16,173.3,4.45,27872355955.9,20.42,3.12,6.29,222,0,16,37.6,1024381016.46,CULTURE_STATS_SURVEY,CULT_V3,2025-02-20
2011,LU,AT127,LIBRARY,10.13,53.8,80.12,3.78,10158342519.01,10.66,13.9,5.13,127,0,99,56.12,416715428.07,CREATIVE_ECON_ACCOUNTS,CULT_V2,2026-02-25
2012,SI,SE826,FESTIVAL_SITE,10.58,30.28,206.77,3.02,1094858212.95,19.12,15.01,3.68,251,1,173,33.61,629719175.43,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-12-05
2013,CY,PT355,THEATRE,2.81,59.16,217.59,3.39,8158155633.7,22.83,3.46,6.35,182,0,75,40.14,651089706.04,EUROSTAT_CULT,CULT_V3,2026-01-22
2014,GR,AT86,CONCERT_HALL,3.08,57.61,224.67,1.92,15859990063.33,19.33,11.31,6.02,272,0,13,53.6,676533479.17,CULTURE_STATS_SURVEY,CULT_V2,2025-07-12
2015,MT,LU70,HERITAGE_SITE,9.7,43.24,179.61,2.18,2452186818.26,26.88,13.44,2.29,43,0,113,43.35,588917744.22,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-11-06
2016,ES,LU66,CINEMA,5.21,41.04,136.51,3.32,1371997750.44,22.9,8.26,5.84,366,0,13,32.48,1505051153.89,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-11-16
2017,CZ,ES41,CULTURAL_CENTRE,5.34,66.73,159.55,3.35,2175097090.56,28.23,10.71,6.03,367,0,76,67.6,303427827.37,EUROSTAT_CULT,CULT_V2,2026-01-31
2018,HU,HR882,MUSEUM,7.98,35.58,224.23,1.92,21116002283.99,27.16,11.6,6.21,265,0,25,37.64,287995151.0,CULTURE_STATS_SURVEY,CULT_V1,2024-01-14
2019,NL,FR592,LIBRARY,1.06,40.25,105.76,4.4,28804088908.53,28.38,9.3,1.36,361,0,93,64.12,285633641.65,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-06-16
2020,SE,CY12,FESTIVAL_SITE,4.95,26.75,127.96,1.96,12195965918.36,33.77,16.47,2.89,88,0,76,33.68,1495589818.31,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-07-25
2021,DK,LT5,THEATRE,4.9,68.49,101.86,2.89,10743738189.36,25.7,7.23,4.81,350,1,75,87.48,349886308.81,EUROSTAT_CULT,CULT_V1,2024-01-27
2022,IE,PL54,CONCERT_HALL,8.76,46.41,79.17,2.93,15322035277.9,20.94,5.16,1.5,355,0,21,39.63,949174785.9,CULTURE_STATS_SURVEY,CULT_V3,2024-01-15
2023,PL,FI6,HERITAGE_SITE,1.1,58.9,99.45,2.52,17206727005.66,18.23,2.59,2.69,104,0,130,71.06,112138653.5,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-10-30
2024,AT,IT769,CINEMA,10.88,72.65,254.38,3.53,14183637656.5,9.34,9.77,6.42,80,0,25,67.68,475355213.92,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-03-17
2025,EE,HR717,CULTURAL_CENTRE,6.08,45.78,243.19,1.4,7956068529.6,12.0,14.25,3.86,263,0,86,38.84,31915830.86,EUROSTAT_CULT,CULT_V3,2025-11-18
2006,IT,CZ118,MUSEUM,12.55,84.89,95.43,3.11,4556352032.94,20.54,4.55,2.22,16,0,62,22.85,1457465886.51,CULTURE_STATS_SURVEY,CULT_V2,2024-08-30
2007,PT,BG638,LIBRARY,6.57,68.75,171.62,1.7,3118404090.54,28.16,12.7,6.38,101,0,90,28.88,534115787.27,CREATIVE_ECON_ACCOUNTS,CULT_V1,2026-02-17
2008,BE,SK55,FESTIVAL_SITE,3.54,84.29,196.75,4.19,15197189804.4,28.1,5.1,2.55,223,1,58,44.38,938205289.47,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-09-07
2009,FI,SI377,THEATRE,1.55,67.08,205.14,2.72,17276495251.53,25.0,8.51,5.94,346,0,30,46.48,944298888.71,EUROSTAT_CULT,CULT_V2,2025-06-04
2010,LV,IT546,CONCERT_HALL,8.61,60.36,181.37,3.14,11360067933.03,30.21,9.99,2.6,234,0,134,35.95,806951805.07,CULTURE_STATS_SURVEY,CULT_V1,2024-02-17
2011,RO,LU47,HERITAGE_SITE,10.4,34.15,82.95,3.04,9593831524.96,9.61,15.11,6.12,15,0,29,67.17,613749142.56,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-08-18
2012,BG,CZ17,CINEMA,5.19,30.05,234.22,2.86,11345809605.65,28.57,2.47,1.15,302,0,62,59.69,680219239.86,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-06-15
2013,FR,GR354,CULTURAL_CENTRE,5.21,76.14,263.74,3.48,19235334483.81,12.9,9.4,5.78,170,0,48,34.75,210289134.62,EUROSTAT_CULT,CULT_V1,2025-01-02
2014,LT,GR8,MUSEUM,7.34,49.75,153.01,2.35,4157610701.18,28.95,14.16,5.62,102,0,26,36.05,303295157.55,CULTURE_STATS_SURVEY,CULT_V3,2025-02-27
2015,SK,FR71,LIBRARY,6.71,40.09,139.34,3.43,18394613144.09,14.63,13.8,5.43,57,0,62,59.49,838696533.07,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-08-06
2016,HR,CY742,FESTIVAL_SITE,3.55,47.91,205.22,2.31,10130451769.8,30.31,15.65,3.01,307,0,19,62.79,236523596.41,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-03-31
2017,DE,GR73,THEATRE,7.95,59.42,177.09,3.15,15849439057.96,10.34,7.76,3.84,107,0,126,60.2,899830351.52,EUROSTAT_CULT,CULT_V3,2024-03-01
2018,LU,AT4,CONCERT_HALL,2.06,61.09,167.63,3.54,17382262593.4,10.91,6.03,6.01,167,0,48,44.41,902104054.86,CULTURE_STATS_SURVEY,CULT_V2,2025-06-10
2019,SI,HR312,HERITAGE_SITE,3.1,69.94,110.99,2.03,12667414513.42,30.04,10.83,5.12,68,0,71,44.52,387485073.22,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-08-12
2020,CY,SE61,CINEMA,7.51,68.19,54.12,3.83,10318493163.53,29.33,3.57,3.33,58,0,114,90.56,851753730.98,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-04-28
2021,GR,HU75,CULTURAL_CENTRE,8.95,28.24,130.29,3.21,13935410903.16,21.94,13.43,3.97,226,0,81,73.28,399292576.51,EUROSTAT_CULT,CULT_V2,2024-08-12
2022,MT,BG50,MUSEUM,12.2,57.89,202.84,1.37,5195465403.1,24.51,9.14,2.62,257,0,102,61.35,824710395.81,CULTURE_STATS_SURVEY,CULT_V1,2024-11-08
2023,ES,HR406,LIBRARY,7.88,67.18,150.07,3.21,12056586247.52,19.98,14.03,2.02,50,0,49,40.31,1601030466.1,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-02-27
2024,CZ,CY993,FESTIVAL_SITE,7.32,53.33,111.07,3.2,15649001895.29,23.04,2.18,5.16,74,0,109,54.69,687384648.72,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-10-26
2025,HU,EE264,THEATRE,1.33,47.31,61.5,1.62,16141982671.3,20.42,12.7,1.93,262,0,23,65.39,229272125.92,EUROSTAT_CULT,CULT_V1,2025-04-24
2006,NL,FI81,CONCERT_HALL,9.76,76.84,121.62,1.49,17942908385.73,17.7,13.28,1.82,264,0,96,23.63,331604416.75,CULTURE_STATS_SURVEY,CULT_V3,2024-09-23
2007,SE,IE612,HERITAGE_SITE,6.25,41.88,215.66,3.2,16947627883.21,27.76,16.75,5.38,160,0,34,33.11,634719963.64,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-05-17
2008,DK,NL2,CINEMA,4.67,62.92,180.96,3.19,19505880204.36,21.8,9.81,3.46,145,0,58,49.56,234185035.94,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-03-12
2009,IE,MT93,CULTURAL_CENTRE,6.02,44.5,157.76,2.18,3447195339.18,25.13,2.86,6.23,142,0,1,61.39,804058968.01,EUROSTAT_CULT,CULT_V3,2026-01-12
2010,PL,IT558,MUSEUM,11.51,72.05,87.07,1.9,8252009906.74,20.08,16.35,5.7,152,0,60,50.37,692611502.88,CULTURE_STATS_SURVEY,CULT_V2,2024-07-03
2011,AT,SI512,LIBRARY,1.15,74.18,265.18,2.56,9282296458.72,19.01,14.41,5.3,352,0,127,39.82,637869319.51,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-01-17
2012,EE,SK38,FESTIVAL_SITE,5.43,29.57,100.02,3.48,14300944948.75,19.43,11.33,4.22,165,0,21,25.17,271656808.15,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-07-27
2013,IT,MT369,THEATRE,6.98,61.07,194.95,2.52,3474538836.4,14.57,6.05,1.39,191,0,122,54.31,1023064901.37,EUROSTAT_CULT,CULT_V2,2024-01-21
2014,PT,SE881,CONCERT_HALL,10.72,41.93,78.11,1.91,9331620789.67,22.82,5.62,2.63,168,0,11,34.58,566205427.1,CULTURE_STATS_SURVEY,CULT_V1,2024-07-01
2015,BE,RO8,HERITAGE_SITE,8.08,35.26,271.08,2.94,9259490667.83,27.34,17.77,5.29,211,0,142,62.9,292740058.92,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-09-07
2016,FI,FI431,CINEMA,2.14,66.91,188.86,3.35,15724333905.15,13.04,8.93,5.48,320,0,94,39.67,956557326.18,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-09-16
2017,LV,RO966,CULTURAL_CENTRE,6.74,31.09,214.62,3.87,17288629982.71,8.86,5.75,5.68,215,0,89,37.4,691538906.79,EUROSTAT_CULT,CULT_V1,2024-06-05
2018,RO,DE933,MUSEUM,2.52,58.52,102.82,2.42,1889967713.95,8.4,6.96,5.18,26,0,14,47.33,274600618.2,CULTURE_STATS_SURVEY,CULT_V3,2025-11-28
2019,BG,FR736,LIBRARY,4.22,43.19,104.1,2.68,5420239201.27,29.48,4.97,2.35,236,0,124,90.8,66237636.0,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-02-06
2020,FR,HR336,FESTIVAL_SITE,12.37,29.79,260.1,3.27,7002201533.22,19.19,13.22,1.18,97,0,37,75.03,816915131.81,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-01-19
2021,LT,SE73,THEATRE,2.72,30.27,58.41,3.26,14564572268.37,12.51,9.94,5.13,18,0,36,66.66,790289771.86,EUROSTAT_CULT,CULT_V3,2026-02-03
2022,SK,DE8,CONCERT_HALL,6.95,54.56,184.57,2.07,17543149402.16,27.45,7.77,3.3,98,0,7,50.35,161533004.0,CULTURE_STATS_SURVEY,CULT_V2,2025-04-21
2023,HR,SI8,HERITAGE_SITE,1.9,68.07,180.98,3.71,7377485660.11,17.92,5.29,1.02,128,0,128,62.57,26934490.46,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-03-30
2024,DE,HR666,CINEMA,6.27,42.25,148.69,2.83,24640578661.07,23.18,16.64,5.4,9,0,49,44.63,1539589540.17,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-12-14
2025,LU,HR642,CULTURAL_CENTRE,5.71,63.52,86.7,3.73,19441426254.0,16.47,9.1,5.76,207,0,118,47.51,329866883.02,EUROSTAT_CULT,CULT_V2,2024-10-23
2006,SI,HU80,MUSEUM,12.19,73.94,209.35,2.35,12859474342.99,13.69,4.99,1.89,139,0,93,52.35,949717841.22,CULTURE_STATS_SURVEY,CULT_V1,2026-01-05
2007,CY,EE245,LIBRARY,2.67,30.66,233.32,3.13,4690548494.64,12.4,6.91,6.06,327,0,83,66.52,338032646.02,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-12-24
2008,GR,RO605,FESTIVAL_SITE,8.99,47.8,228.44,3.51,17187567324.65,17.79,6.95,2.57,240,0,53,16.74,373607435.1,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-07-20
2009,MT,EE701,THEATRE,3.81,52.35,96.71,2.83,18639729961.99,19.23,15.34,1.66,211,0,105,31.66,170592162.33,EUROSTAT_CULT,CULT_V1,2025-10-17
2010,ES,HU3,CONCERT_HALL,4.62,31.81,164.64,3.87,10296676452.49,27.19,11.84,6.38,393,0,90,56.26,497494022.51,CULTURE_STATS_SURVEY,CULT_V3,2026-02-14
2011,CZ,MT17,HERITAGE_SITE,3.25,23.99,53.2,2.2,2548593884.0,29.3,4.12,4.19,266,0,94,16.66,334473509.71,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-03-31
2012,HU,HU5,CINEMA,6.49,56.69,162.77,1.79,13116836210.71,11.59,12.45,5.69,12,0,3,40.2,613040412.27,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-09-06
2013,NL,BG54,CULTURAL_CENTRE,10.93,79.18,236.71,2.53,13664668645.09,20.79,18.4,2.56,234,0,3,36.54,1505670221.03,EUROSTAT_CULT,CULT_V3,2025-02-21
2014,SE,EE41,MUSEUM,6.66,34.81,221.85,3.15,11156679661.37,29.88,12.19,1.77,120,0,132,56.18,1588759658.01,CULTURE_STATS_SURVEY,CULT_V2,2025-01-02
2015,DK,RO20,LIBRARY,5.57,25.83,108.46,3.06,17475841624.42,32.56,14.61,4.32,206,0,112,19.46,582151288.96,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-05-12
2016,IE,DE390,FESTIVAL_SITE,6.5,55.78,65.05,2.9,17104192072.45,10.97,3.02,2.45,284,0,28,43.76,76845583.81,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-12-11
2017,PL,SE9,THEATRE,5.18,57.42,110.46,1.16,1822155110.33,20.95,13.72,4.76,17,0,77,26.81,942091582.21,EUROSTAT_CULT,CULT_V2,2025-06-17
2018,AT,IE909,CONCERT_HALL,3.89,30.65,267.91,2.91,18278135850.94,13.94,4.62,6.09,179,0,175,59.21,790476849.14,CULTURE_STATS_SURVEY,CULT_V1,2025-12-04
2019,EE,EE4,HERITAGE_SITE,6.22,47.73,130.24,3.14,8183743332.77,23.26,11.51,4.62,96,0,77,29.26,709418979.7,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-05-07
2020,IT,CZ782,CINEMA,10.24,32.0,237.02,1.56,11202839305.3,15.21,3.31,3.1,204,0,72,36.77,921694730.36,NATIONAL_CULTURE_MINISTRY,CULT_V2,2025-07-25
2021,PT,BG24,CULTURAL_CENTRE,0.97,29.34,211.49,1.72,14789187034.69,26.19,4.54,1.11,19,0,7,87.09,887292393.57,EUROSTAT_CULT,CULT_V1,2025-12-19
2022,BE,PL2,MUSEUM,9.13,75.52,150.97,1.99,15896861810.81,14.16,17.0,4.81,243,0,0,33.05,955721190.26,CULTURE_STATS_SURVEY,CULT_V3,2024-12-24
2023,FI,FI96,LIBRARY,9.66,60.7,156.78,3.79,17572544594.05,26.93,2.67,6.19,320,0,94,41.02,943647709.71,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-01-27
2024,LV,HR548,FESTIVAL_SITE,10.05,68.41,129.74,3.22,2771574467.28,14.15,11.72,3.64,78,0,5,59.94,494073792.58,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-12-23
2025,RO,SI317,THEATRE,2.98,59.3,216.71,3.36,9828674163.72,22.63,8.98,3.84,356,0,84,73.16,938113418.24,EUROSTAT_CULT,CULT_V3,2024-08-20
2006,BG,SK232,CONCERT_HALL,3.51,43.57,75.99,2.57,12461043557.63,11.28,6.56,5.46,292,0,127,23.11,13296310.28,CULTURE_STATS_SURVEY,CULT_V2,2024-03-08
2007,FR,AT535,HERITAGE_SITE,3.39,52.61,208.06,2.52,8115698313.79,25.5,9.75,5.65,340,0,6,24.19,662002083.17,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-01-14
2008,LT,IE175,CINEMA,1.3,34.12,118.25,2.62,9423690663.47,16.73,6.13,2.52,243,0,128,58.03,523316670.03,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-03-10
2009,SK,ES6,CULTURAL_CENTRE,9.89,60.63,125.22,2.42,13994407112.17,25.85,9.89,1.23,263,0,47,27.09,888816362.56,EUROSTAT_CULT,CULT_V2,2024-01-15
2010,HR,CY300,MUSEUM,8.16,59.71,191.2,2.39,14380086972.18,9.07,7.29,2.39,144,0,20,22.79,959883267.47,CULTURE_STATS_SURVEY,CULT_V1,2025-06-24
2011,DE,HU1,LIBRARY,2.4,74.55,101.89,1.52,10629361854.5,24.23,18.22,3.67,149,0,0,56.44,931066144.92,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-09-21
2012,LU,GR9,FESTIVAL_SITE,5.68,41.21,114.88,1.2,7231553258.15,25.58,4.28,5.47,263,0,56,57.96,33899435.07,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-11-04
2013,SI,LV4,THEATRE,7.85,68.91,174.16,3.6,228935327.46,28.66,7.76,2.97,59,0,105,24.89,237312115.56,EUROSTAT_CULT,CULT_V1,2024-05-03
2014,CY,LU8,CONCERT_HALL,3.41,52.28,246.62,2.97,3073399600.06,27.52,5.34,1.23,63,0,132,44.36,3001332.62,CULTURE_STATS_SURVEY,CULT_V3,2026-02-24
2015,GR,BE7,HERITAGE_SITE,2.12,59.06,162.82,2.45,5399803508.67,17.07,7.25,4.69,289,0,0,40.51,947520936.59,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-10-23
2016,MT,LT7,CINEMA,7.5,49.8,214.01,3.07,8575087768.46,8.11,14.11,1.72,27,0,42,70.83,187580448.8,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-08-07
2017,ES,DE63,CULTURAL_CENTRE,6.32,75.27,146.83,2.32,37205192882.63,30.06,18.88,5.56,350,0,75,92.01,89932044.93,EUROSTAT_CULT,CULT_V3,2026-02-05
2018,CZ,HR75,MUSEUM,2.14,39.72,146.44,3.22,5808995848.82,25.89,5.51,2.0,284,0,3,28.22,418118092.54,CULTURE_STATS_SURVEY,CULT_V2,2025-03-04
2019,HU,DE5,LIBRARY,6.1,34.63,63.01,1.18,22346817873.95,14.61,8.45,2.24,313,0,59,39.63,109458389.7,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-07-19
2020,NL,RO699,FESTIVAL_SITE,2.96,54.71,130.58,2.56,16510531874.43,33.46,8.31,1.86,68,0,164,33.23,440911839.07,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-07-10
2021,SE,BE106,THEATRE,10.48,31.78,219.37,2.12,3453152240.77,16.19,6.6,1.83,170,0,16,100.0,1394858156.07,EUROSTAT_CULT,CULT_V2,2024-10-25
2022,DK,CY80,CONCERT_HALL,1.32,52.83,216.84,1.43,17343388749.97,17.63,6.92,4.52,347,0,78,65.26,832984039.02,CULTURE_STATS_SURVEY,CULT_V1,2024-10-19
2023,IE,AT5,HERITAGE_SITE,2.54,72.9,133.28,1.64,16141296001.16,7.89,3.33,5.07,227,0,59,56.33,572468599.74,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-01-09
2024,PL,HU483,CINEMA,9.68,37.04,71.24,3.31,15016897603.13,7.95,7.33,3.77,159,0,87,39.92,494582729.8,NATIONAL_CULTURE_MINISTRY,CULT_V2,2026-01-17
2025,AT,SE14,CULTURAL_CENTRE,4.32,34.65,89.97,3.87,10047889156.39,16.15,14.77,3.18,38,0,2,63.85,400312877.83,EUROSTAT_CULT,CULT_V1,2025-06-03
2006,EE,PT7,MUSEUM,6.45,61.26,216.92,2.05,3877325168.85,18.91,10.36,1.04,258,0,94,30.72,877048634.88,CULTURE_STATS_SURVEY,CULT_V3,2024-03-07
2007,IT,HR480,LIBRARY,11.56,83.24,217.4,2.59,22461487586.74,25.26,14.25,1.96,261,0,125,51.38,1554109872.35,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-01-05
2008,PT,IE964,FESTIVAL_SITE,4.09,41.36,99.53,2.49,17820023251.38,15.12,7.46,5.84,73,0,13,42.33,918561613.86,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-09-01
2009,BE,NL82,THEATRE,7.42,32.26,184.8,2.03,19267769120.9,14.14,9.47,3.24,239,0,28,31.35,511542650.61,EUROSTAT_CULT,CULT_V3,2024-04-28
2010,FI,IE4,CONCERT_HALL,8.63,28.2,56.7,1.77,13138082725.83,23.06,11.67,2.54,35,0,131,43.35,139458025.85,CULTURE_STATS_SURVEY,CULT_V2,2025-11-01
2011,LV,PT53,HERITAGE_SITE,7.96,65.63,229.28,2.38,3056802649.14,13.47,10.58,5.56,299,0,125,53.69,503615565.54,CREATIVE_ECON_ACCOUNTS,CULT_V1,2025-11-15
2012,RO,LU771,CINEMA,5.24,72.38,143.49,3.22,4042215058.75,15.96,2.91,5.87,295,0,120,63.74,703591656.36,NATIONAL_CULTURE_MINISTRY,CULT_V3,2024-05-29
2013,BG,LU993,CULTURAL_CENTRE,5.4,30.49,201.83,1.96,18594081297.65,29.48,9.65,1.5,270,0,2,16.79,307674552.78,EUROSTAT_CULT,CULT_V2,2024-03-07
2014,FR,SE398,MUSEUM,4.44,55.84,272.68,3.14,23788140203.07,15.75,5.57,5.34,57,0,67,48.59,786639995.98,CULTURE_STATS_SURVEY,CULT_V1,2025-07-13
2015,LT,SI76,LIBRARY,7.12,44.69,171.19,1.84,23450870248.29,25.39,11.04,2.39,137,0,0,61.88,927146527.97,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-04-15
2016,SK,IE2,FESTIVAL_SITE,4.97,56.88,176.33,2.55,689358102.23,17.09,9.76,5.32,79,0,110,91.89,322800650.97,NATIONAL_CULTURE_MINISTRY,CULT_V2,2026-02-10
2017,HR,EE13,THEATRE,4.52,53.26,235.48,3.39,23992744383.5,23.04,2.98,5.01,259,1,86,49.35,849130829.94,EUROSTAT_CULT,CULT_V1,2025-04-11
2018,DE,FR89,CONCERT_HALL,10.22,49.59,242.37,4.05,38944886892.57,27.44,7.81,1.57,55,0,87,91.37,272241164.0,CULTURE_STATS_SURVEY,CULT_V3,2025-09-17
2019,LU,DE9,HERITAGE_SITE,5.32,48.03,83.57,1.99,22017171776.46,12.11,6.69,1.96,29,0,84,58.82,720334309.22,CREATIVE_ECON_ACCOUNTS,CULT_V2,2024-11-13
2020,SI,LV96,CINEMA,6.73,68.37,171.81,2.3,6887224921.15,11.47,5.17,4.07,78,0,76,40.38,359345515.63,NATIONAL_CULTURE_MINISTRY,CULT_V1,2025-01-14
2021,CY,PL334,CULTURAL_CENTRE,0.99,72.52,185.52,2.31,14655293152.5,8.67,5.66,1.63,82,0,56,68.72,581314179.96,EUROSTAT_CULT,CULT_V3,2025-05-09
2022,GR,EE9,MUSEUM,7.43,49.3,166.05,3.68,16556397599.36,8.78,14.71,2.08,20,0,54,41.49,558141837.43,CULTURE_STATS_SURVEY,CULT_V2,2025-06-30
2023,MT,BE804,LIBRARY,3.06,59.86,147.68,1.25,6387624636.94,10.94,16.36,4.06,241,0,53,32.64,517365464.51,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-01-11
2024,ES,BG296,FESTIVAL_SITE,4.53,67.03,82.25,2.41,20769592160.46,14.87,10.67,1.05,217,0,34,30.93,6697201.32,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-08-10
2025,CZ,CY239,THEATRE,8.99,24.38,198.01,1.89,8114163596.25,11.0,13.31,1.92,198,0,166,74.37,555634455.95,EUROSTAT_CULT,CULT_V2,2024-12-28
2006,HU,ES66,CONCERT_HALL,5.02,33.81,164.14,1.85,11391019206.06,10.51,9.34,5.87,207,0,124,40.07,907197623.86,CULTURE_STATS_SURVEY,CULT_V1,2024-03-24
2007,NL,MT8,HERITAGE_SITE,5.87,53.13,122.93,2.17,6567676575.79,27.26,2.79,3.45,165,0,137,35.9,898713825.88,CREATIVE_ECON_ACCOUNTS,CULT_V3,2024-08-14
2008,SE,AT29,CINEMA,5.66,30.57,71.51,3.3,8172455421.33,30.74,9.58,5.2,191,0,113,50.65,737362884.0,NATIONAL_CULTURE_MINISTRY,CULT_V2,2024-06-22
2009,DK,LV540,CULTURAL_CENTRE,4.67,65.58,107.06,1.3,10492639847.3,34.04,6.45,4.38,335,0,111,48.13,882748060.59,EUROSTAT_CULT,CULT_V1,2024-03-26
2010,IE,LU6,MUSEUM,12.16,50.04,157.31,1.14,9341047488.03,11.62,8.16,5.94,260,0,112,66.81,260737914.53,CULTURE_STATS_SURVEY,CULT_V3,2025-02-22
2011,PL,LV636,LIBRARY,9.79,35.49,126.49,2.42,6014533747.43,9.5,4.23,2.42,108,0,56,60.29,237862982.98,CREATIVE_ECON_ACCOUNTS,CULT_V2,2025-10-31
2012,AT,BG62,FESTIVAL_SITE,10.17,74.29,149.88,2.04,20968614630.89,9.19,14.41,3.97,374,0,163,67.8,376697538.55,NATIONAL_CULTURE_MINISTRY,CULT_V1,2024-11-06
2013,EE,SK7,THEATRE,3.72,62.19,195.84,3.63,10256468575.8,18.83,7.01,2.37,341,0,14,17.76,4864487.11,EUROSTAT_CULT,CULT_V3,2024-09-04
2014,IT,EE185,CONCERT_HALL,9.29,35.47,114.26,1.73,4373343230.83,25.24,18.39,4.41,323,0,87,29.06,503859396.29,CULTURE_STATS_SURVEY,CULT_V2,2025-09-15
2015,PT,PL329,HERITAGE_SITE,3.64,44.26,188.6,3.61,21223274955.81,26.6,14.8,3.5,268,0,1,31.0,570710069.12,CREATIVE_ECON_ACCOUNTS,CULT_V1,2024-03-12
2016,BE,SE651,CINEMA,2.32,40.33,69.13,2.53,23805116291.9,29.88,13.57,2.34,183,0,41,66.54,353472964.1,NATIONAL_CULTURE_MINISTRY,CULT_V3,2025-03-11
2017,FI,IE41,CULTURAL_CENTRE,5.71,25.06,187.04,2.73,23937677740.12,33.18,8.78,4.4,19,0,1,24.49,239296110.59,EUROSTAT_CULT,CULT_V2,2026-01-11
2018,LV,GR651,MUSEUM,8.95,33.61,170.64,1.21,1157137831.84,13.41,16.38,6.12,53,0,135,26.85,642356711.38,CULTURE_STATS_SURVEY,CULT_V1,2024-11-04
2019,RO,AT638,LIBRARY,1.24,29.68,133.67,3.77,2636676897.54,12.05,12.21,4.64,205,0,25,71.68,656847305.16,CREATIVE_ECON_ACCOUNTS,CULT_V3,2025-12-20
