health_cap_reference_year,health_cap_country_iso2,health_cap_region_nuts_code,health_cap_hospital_type_code,health_cap_hospitals_count,health_cap_beds_total,health_cap_icu_beds_total,health_cap_doctors_per_1000,health_cap_nurses_per_1000,health_cap_gps_per_1000,health_cap_specialists_per_1000,health_cap_occupancy_rate_pct,health_cap_avg_length_of_stay_days,health_cap_surgery_wait_time_days_median,health_cap_emergency_wait_time_minutes_median,health_cap_staff_vacancy_rate_pct,health_cap_cross_border_patient_flows_count,health_cap_data_source,health_cap_revision_round,health_cap_data_extract_date
2011,RO,BE9,UNIVERSITY,99,28553,513,5.61,11.96,1.63,4.09,56.66,10.63,90.57,59.8,12.77,72690,EUROSTAT_HEALTH,FIRST,2025-06-12
2012,AT,NL159,GENERAL_ACUTE,37,14663,428,4.13,9.63,1.88,3.48,90.41,8.72,48.96,42.29,10.95,75510,NATIONAL_HEALTH_MINISTRY,SECOND,2024-02-29
2013,CZ,BG670,DAY_SURGERY,137,70431,4100,5.82,9.19,0.66,5.0,80.56,11.95,79.08,158.92,6.41,35453,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-09-11
2014,DE,IT874,PSYCHIATRIC,7,3313,155,1.85,5.99,0.68,2.01,86.6,6.91,105.75,48.25,12.56,79351,OECD_HEALTH_STAT,FLASH,2024-12-24
2015,LV,MT146,REHABILITATION,19,4717,331,4.74,7.72,1.0,4.92,67.39,14.59,84.12,160.38,9.41,114915,EUROSTAT_HEALTH,FIRST,2024-04-15
2016,PL,HU7,SPECIALISED,154,35321,2333,3.3,6.16,2.16,1.43,87.22,3.65,137.58,164.81,8.03,49910,NATIONAL_HEALTH_MINISTRY,SECOND,2024-01-20
2017,ES,AT66,UNIVERSITY,21,1587,81,2.34,7.21,1.27,2.19,81.42,5.14,159.86,65.37,10.42,97869,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-02-04
2018,HR,SE808,GENERAL_ACUTE,178,70113,4750,3.82,10.14,0.41,3.24,85.77,5.29,85.08,53.26,5.43,84963,OECD_HEALTH_STAT,FLASH,2024-04-28
2019,FI,BE91,DAY_SURGERY,44,14986,678,6.22,11.9,1.77,3.92,64.02,4.49,158.17,35.05,2.62,61672,EUROSTAT_HEALTH,FIRST,2025-06-22
2020,IE,RO47,PSYCHIATRIC,85,28517,2276,5.97,12.72,1.5,4.93,83.78,9.57,75.15,66.82,7.25,72417,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-01
2021,MT,LT953,REHABILITATION,57,14511,1293,6.17,10.67,1.31,4.86,86.34,14.34,77.69,229.25,2.14,53695,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-06
2022,SK,PT61,SPECIALISED,196,92953,1657,3.04,13.45,2.17,0.6,72.89,7.78,208.02,21.99,10.84,103970,OECD_HEALTH_STAT,FLASH,2025-09-23
2023,BE,FR84,UNIVERSITY,61,3887,163,5.74,13.72,1.81,4.94,78.32,6.62,121.38,66.23,10.45,25187,EUROSTAT_HEALTH,FIRST,2024-11-18
2024,DK,IT29,GENERAL_ACUTE,6,1985,68,3.23,9.46,1.87,1.08,64.61,8.6,139.88,45.32,9.13,131724,NATIONAL_HEALTH_MINISTRY,SECOND,2024-09-04
2025,GR,ES415,DAY_SURGERY,144,17090,950,3.53,9.37,1.65,2.88,59.53,12.14,96.64,53.75,4.36,101366,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-01
2006,LT,IE844,PSYCHIATRIC,128,7773,230,5.36,6.48,2.19,2.65,74.76,11.74,85.14,67.81,3.25,106009,OECD_HEALTH_STAT,FLASH,2024-08-09
2007,PT,ES7,REHABILITATION,86,9818,759,3.07,12.93,0.77,3.59,75.7,13.39,32.35,160.09,8.45,58116,EUROSTAT_HEALTH,FIRST,2025-09-06
2008,SE,LV27,SPECIALISED,71,4916,74,3.86,6.24,2.16,2.9,54.43,6.56,184.59,100.86,5.76,57910,NATIONAL_HEALTH_MINISTRY,SECOND,2025-12-01
2009,CY,MT37,UNIVERSITY,89,26471,1878,3.06,12.16,1.02,1.74,54.33,9.0,109.44,163.44,8.04,30548,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-12
2010,FR,DE1,GENERAL_ACUTE,210,69362,3443,3.29,13.92,1.84,2.18,58.53,5.08,151.73,26.89,2.43,120907,OECD_HEALTH_STAT,FLASH,2025-10-12
2011,IT,SI83,DAY_SURGERY,12,1908,52,2.76,5.42,1.64,1.31,68.21,6.43,103.48,187.18,12.42,104415,EUROSTAT_HEALTH,FIRST,2025-01-16
2012,NL,BG55,PSYCHIATRIC,4,2006,138,2.97,8.89,2.19,1.65,68.11,10.02,175.27,80.51,13.97,174089,NATIONAL_HEALTH_MINISTRY,SECOND,2025-03-15
2013,SI,EE94,REHABILITATION,99,31579,1838,4.77,6.11,0.52,5.32,61.23,16.59,83.03,143.68,6.1,85646,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-06-21
2014,BG,IT79,SPECIALISED,269,42599,2987,4.19,12.91,1.56,3.93,52.36,11.11,28.07,80.61,6.19,80972,OECD_HEALTH_STAT,FLASH,2025-08-04
2015,EE,NL559,UNIVERSITY,123,9481,278,4.21,7.78,1.34,4.12,57.96,7.55,30.02,162.97,4.75,42969,EUROSTAT_HEALTH,FIRST,2024-10-24
2016,HU,IE802,GENERAL_ACUTE,227,75170,6669,4.93,10.38,1.73,3.5,69.71,7.29,5.81,111.39,4.02,115024,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-23
2017,LU,PL728,DAY_SURGERY,153,20820,994,2.0,6.9,1.44,0.6,78.99,7.74,49.85,22.81,9.67,22427,HOSPITAL_ADMIN_REPORT,BENCHMARK,2026-01-08
2018,RO,FI740,PSYCHIATRIC,8,1486,23,5.26,4.43,1.72,3.37,72.36,4.44,99.96,87.81,12.51,75542,OECD_HEALTH_STAT,FLASH,2024-01-10
2019,AT,MT23,REHABILITATION,76,29691,1330,4.2,12.25,1.87,3.62,86.31,9.62,164.4,198.82,9.71,100410,EUROSTAT_HEALTH,FIRST,2024-09-27
2020,CZ,HU123,SPECIALISED,88,6567,469,2.73,14.15,2.17,1.63,71.19,4.5,65.12,12.71,15.12,27060,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-11
2021,DE,ES64,UNIVERSITY,147,22660,1918,2.09,8.6,1.04,0.6,62.73,4.0,250.82,25.7,16.02,183554,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-05-05
2022,LV,LV79,GENERAL_ACUTE,131,6679,514,5.6,7.61,0.85,4.63,71.21,3.42,167.12,113.87,17.01,15822,OECD_HEALTH_STAT,FLASH,2025-06-01
2023,PL,LT4,DAY_SURGERY,79,5069,125,2.94,4.27,2.02,2.15,82.53,10.74,109.57,66.95,8.7,72899,EUROSTAT_HEALTH,FIRST,2026-02-22
2024,ES,LU48,PSYCHIATRIC,53,8341,611,4.36,5.82,1.38,3.31,68.2,16.24,179.77,135.3,12.28,76284,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-25
2025,HR,AT8,REHABILITATION,136,47861,1839,3.05,7.12,1.05,3.15,81.09,4.19,177.55,18.4,3.83,43333,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-26
2006,FI,SI32,SPECIALISED,175,26456,749,2.69,8.19,1.93,1.42,53.56,9.68,143.08,19.92,0.93,34477,OECD_HEALTH_STAT,FLASH,2025-11-01
2007,IE,LU78,UNIVERSITY,90,35138,649,2.21,10.04,0.44,2.34,81.47,3.22,125.3,43.54,1.29,109155,EUROSTAT_HEALTH,FIRST,2025-12-14
2008,MT,EE919,GENERAL_ACUTE,173,25824,2106,4.56,6.37,0.6,5.21,91.74,5.97,19.73,179.4,1.83,29402,NATIONAL_HEALTH_MINISTRY,SECOND,2025-06-21
2009,SK,IE835,DAY_SURGERY,38,13229,384,5.88,10.86,1.71,3.7,60.04,9.45,133.96,48.28,9.45,96020,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-27
2010,BE,GR926,PSYCHIATRIC,1,402,9,6.24,4.01,0.54,7.08,77.6,6.97,50.82,119.02,13.9,83481,OECD_HEALTH_STAT,FLASH,2024-09-21
2011,DK,DE354,REHABILITATION,47,17699,1330,4.07,9.29,1.69,3.28,65.21,12.08,117.36,167.93,10.36,63031,EUROSTAT_HEALTH,FIRST,2025-08-13
2012,GR,PT454,SPECIALISED,63,18699,1006,2.02,12.05,0.62,2.33,74.28,3.89,193.08,10.67,4.91,36811,NATIONAL_HEALTH_MINISTRY,SECOND,2024-04-21
2013,LT,CY823,UNIVERSITY,139,50356,3976,5.01,6.95,0.53,5.11,76.02,8.41,96.56,89.24,0.74,123808,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-04-12
2014,PT,PT49,GENERAL_ACUTE,167,84949,1654,2.1,5.88,2.03,0.65,63.27,9.11,132.89,108.56,1.17,38533,OECD_HEALTH_STAT,FLASH,2025-05-05
2015,SE,LV523,DAY_SURGERY,132,42790,2524,2.45,11.93,2.07,0.96,81.22,3.69,114.61,72.2,13.64,90542,EUROSTAT_HEALTH,FIRST,2025-01-10
2016,CY,EE643,PSYCHIATRIC,100,46995,1969,6.34,4.86,1.95,5.48,76.54,14.1,187.88,97.46,10.78,38197,NATIONAL_HEALTH_MINISTRY,SECOND,2025-01-03
2017,FR,HR32,REHABILITATION,116,45179,1243,3.27,7.57,2.12,2.41,67.98,9.05,46.47,27.89,4.72,74909,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-16
2018,IT,GR311,SPECIALISED,197,76016,4466,1.8,6.5,1.67,0.6,75.35,12.14,158.37,83.87,6.3,117451,OECD_HEALTH_STAT,FLASH,2025-06-16
2019,NL,IE752,UNIVERSITY,85,22553,508,4.16,14.12,1.81,2.99,85.4,8.06,12.42,199.89,12.14,197657,EUROSTAT_HEALTH,FIRST,2025-07-23
2020,SI,PL44,GENERAL_ACUTE,254,25093,1444,4.93,9.38,1.48,4.02,68.77,6.35,197.07,171.82,9.09,30346,NATIONAL_HEALTH_MINISTRY,SECOND,2025-06-02
2021,BG,DE60,DAY_SURGERY,26,3547,80,3.61,8.7,0.5,3.52,76.44,9.94,46.99,130.89,10.65,109813,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-23
2022,EE,PL75,PSYCHIATRIC,123,54436,986,2.75,10.73,1.08,1.91,82.03,15.55,90.9,72.79,1.22,83078,OECD_HEALTH_STAT,FLASH,2025-11-11
2023,HU,FR358,REHABILITATION,82,25713,284,2.28,12.15,1.22,2.46,65.72,13.21,75.01,117.0,6.2,23187,EUROSTAT_HEALTH,FIRST,2024-04-17
2024,LU,LV10,SPECIALISED,70,10076,842,2.73,6.32,0.55,1.89,57.66,8.33,165.77,39.81,6.56,202333,NATIONAL_HEALTH_MINISTRY,SECOND,2025-09-22
2025,RO,PL31,UNIVERSITY,60,10492,755,4.02,3.39,1.73,2.38,58.92,5.15,205.93,115.59,9.75,55209,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-04-20
2006,AT,BG9,GENERAL_ACUTE,27,11816,440,2.82,5.83,1.49,1.72,86.85,6.22,163.24,78.05,3.09,3554,OECD_HEALTH_STAT,FLASH,2025-08-16
2007,CZ,HU175,DAY_SURGERY,152,63576,2133,2.95,9.49,0.91,3.21,74.7,9.15,72.68,76.82,7.73,36937,EUROSTAT_HEALTH,FIRST,2025-12-24
2008,DE,ES362,PSYCHIATRIC,31,9460,657,5.28,6.24,1.51,4.94,83.78,8.32,85.94,184.66,6.0,54279,NATIONAL_HEALTH_MINISTRY,SECOND,2024-09-13
2009,LV,GR433,REHABILITATION,120,53550,3034,4.14,9.64,1.27,3.07,53.85,4.74,160.5,142.01,4.38,107308,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-08-10
2010,PL,PT651,SPECIALISED,25,3994,153,3.49,11.06,0.83,3.44,63.6,11.64,109.27,69.57,1.51,94362,OECD_HEALTH_STAT,FLASH,2025-09-01
2011,ES,PL971,UNIVERSITY,79,19324,1451,4.35,10.79,1.64,4.01,84.45,2.9,150.66,36.86,8.49,94918,EUROSTAT_HEALTH,FIRST,2025-11-12
2012,HR,RO466,GENERAL_ACUTE,197,38540,1949,5.1,5.14,1.7,4.6,58.11,6.96,181.32,117.29,12.7,34874,NATIONAL_HEALTH_MINISTRY,SECOND,2024-06-11
2013,FI,LV503,DAY_SURGERY,97,3278,287,4.9,11.47,1.57,3.94,59.12,6.06,15.88,63.27,2.5,58783,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-11
2014,IE,CY50,PSYCHIATRIC,64,30593,683,5.21,12.88,0.89,5.23,77.85,8.58,187.9,64.1,11.14,108505,OECD_HEALTH_STAT,FLASH,2024-05-31
2015,MT,DE504,REHABILITATION,69,22642,315,4.7,9.73,0.46,3.74,54.22,8.95,52.3,63.3,5.58,114696,EUROSTAT_HEALTH,FIRST,2025-04-23
2016,SK,BG5,SPECIALISED,62,5287,359,4.83,9.43,0.91,4.6,73.66,9.13,179.56,90.64,12.47,14339,NATIONAL_HEALTH_MINISTRY,SECOND,2025-11-27
2017,BE,IE16,UNIVERSITY,85,16081,638,1.84,9.83,1.26,1.66,72.79,8.82,136.39,23.45,3.84,67209,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-06-20
2018,DK,LV44,GENERAL_ACUTE,44,19478,1413,2.95,5.15,1.49,2.19,62.53,11.9,167.29,34.72,10.85,72349,OECD_HEALTH_STAT,FLASH,2026-01-10
2019,GR,ES15,DAY_SURGERY,22,5208,214,6.14,10.86,1.36,4.61,72.1,4.6,146.22,42.97,10.47,32003,EUROSTAT_HEALTH,FIRST,2024-10-19
2020,LT,FR5,PSYCHIATRIC,151,32271,1444,5.06,3.77,0.72,5.55,59.46,11.04,131.74,47.46,5.38,46367,NATIONAL_HEALTH_MINISTRY,SECOND,2024-08-28
2021,PT,HR4,REHABILITATION,101,28386,953,4.77,12.81,0.72,4.71,78.27,12.33,56.34,144.76,16.63,52661,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-04-23
2022,SE,FI35,SPECIALISED,78,35828,1086,3.59,10.47,0.86,3.92,73.31,6.08,98.33,153.45,7.86,11055,OECD_HEALTH_STAT,FLASH,2024-02-17
2023,CY,DK421,UNIVERSITY,156,8084,495,5.65,12.76,1.24,4.32,68.09,11.85,157.34,177.38,7.91,14599,EUROSTAT_HEALTH,FIRST,2026-02-06
2024,FR,CZ996,GENERAL_ACUTE,2,853,43,1.81,6.97,1.55,0.6,83.57,11.72,56.81,24.81,8.84,53674,NATIONAL_HEALTH_MINISTRY,SECOND,2024-11-11
2025,IT,PT97,DAY_SURGERY,72,12498,773,6.13,8.83,0.98,5.73,72.22,6.83,204.95,105.81,13.99,82696,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-02-19
2006,NL,NL1,PSYCHIATRIC,63,13326,1174,3.27,3.24,1.4,2.14,75.04,6.53,198.51,70.31,3.24,30352,OECD_HEALTH_STAT,FLASH,2024-01-21
2007,SI,FI20,REHABILITATION,141,47136,1008,3.74,12.57,1.92,2.15,70.2,3.98,148.72,150.88,6.49,28388,EUROSTAT_HEALTH,FIRST,2025-05-05
2008,BG,HR9,SPECIALISED,113,39839,2594,2.59,8.14,0.55,2.97,56.39,5.03,103.4,158.53,8.89,4549,NATIONAL_HEALTH_MINISTRY,SECOND,2026-01-10
2009,EE,LV625,UNIVERSITY,44,8244,696,2.29,13.5,0.43,2.1,85.64,10.97,96.38,30.34,7.16,4545,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-07-31
2010,HU,SE8,GENERAL_ACUTE,228,53755,4363,2.01,4.34,1.64,0.6,88.43,4.58,161.83,196.04,9.01,111239,OECD_HEALTH_STAT,FLASH,2024-09-22
2011,LU,SK367,DAY_SURGERY,130,52514,4331,2.65,7.74,0.94,1.88,79.24,6.6,201.07,145.39,12.74,134419,EUROSTAT_HEALTH,FIRST,2025-06-10
2012,RO,CZ8,PSYCHIATRIC,76,26750,1145,5.54,10.46,1.31,3.73,82.17,8.38,185.0,86.42,4.58,33783,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-02
2013,AT,CZ742,REHABILITATION,73,11978,928,5.04,8.35,1.31,4.15,64.38,15.13,134.64,129.05,13.56,70653,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-10
2014,CZ,SI6,SPECIALISED,73,5498,457,3.22,7.55,1.55,2.9,68.59,11.23,159.63,146.07,2.06,45949,OECD_HEALTH_STAT,FLASH,2025-06-25
2015,DE,FR4,UNIVERSITY,134,18344,1388,3.31,5.79,1.02,3.05,76.55,5.58,72.83,52.66,7.35,146933,EUROSTAT_HEALTH,FIRST,2025-01-09
2016,LV,PT1,GENERAL_ACUTE,13,6337,281,1.76,4.64,0.81,1.77,59.2,4.79,45.22,156.28,1.31,88356,NATIONAL_HEALTH_MINISTRY,SECOND,2025-05-13
2017,PL,NL3,DAY_SURGERY,162,52812,3752,5.02,5.16,0.56,5.82,80.11,7.49,97.98,16.8,5.05,1176,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-10-23
2018,ES,LT2,PSYCHIATRIC,97,48166,3921,2.41,5.49,0.67,3.11,66.2,6.46,126.49,67.35,1.14,106089,OECD_HEALTH_STAT,FLASH,2024-06-10
2019,HR,HU53,REHABILITATION,129,40622,1492,2.36,11.04,0.73,2.39,83.7,3.74,77.26,138.02,3.98,40522,EUROSTAT_HEALTH,FIRST,2024-08-16
2020,FI,SK8,SPECIALISED,243,113233,3989,3.61,3.73,0.67,3.51,83.97,2.97,25.76,67.65,13.19,2821,NATIONAL_HEALTH_MINISTRY,SECOND,2024-05-23
2021,IE,PL8,UNIVERSITY,125,19871,683,4.27,9.16,0.49,4.76,83.64,6.31,85.22,139.55,3.31,57638,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-06-25
2022,MT,EE263,GENERAL_ACUTE,118,34409,1040,3.69,11.35,2.16,2.33,77.46,10.56,96.21,16.18,9.7,72411,OECD_HEALTH_STAT,FLASH,2025-12-07
2023,SK,SK819,DAY_SURGERY,42,8502,335,3.45,11.65,1.16,2.87,52.66,8.35,194.8,108.9,2.19,48350,EUROSTAT_HEALTH,FIRST,2026-01-25
2024,BE,IT12,PSYCHIATRIC,144,8239,701,2.37,12.02,2.1,0.92,62.67,10.08,151.28,106.18,15.92,11595,NATIONAL_HEALTH_MINISTRY,SECOND,2024-10-11
2025,DK,GR534,REHABILITATION,113,50193,3594,1.74,10.41,2.11,0.6,75.7,6.38,180.93,21.8,14.63,23481,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-09
2006,GR,ES24,SPECIALISED,45,16273,925,3.97,3.34,2.17,1.71,59.84,11.92,41.67,180.69,3.57,40240,OECD_HEALTH_STAT,FLASH,2026-01-29
2007,LT,LV3,UNIVERSITY,40,17310,1299,1.92,4.06,1.73,1.52,55.15,6.9,145.12,76.74,7.72,71422,EUROSTAT_HEALTH,FIRST,2025-12-22
2008,PT,CZ5,GENERAL_ACUTE,73,32258,1764,5.84,12.65,1.02,5.74,75.06,10.8,32.53,165.19,3.16,122825,NATIONAL_HEALTH_MINISTRY,SECOND,2025-02-08
2009,SE,LV65,DAY_SURGERY,4,1124,72,3.2,5.33,1.11,1.81,69.83,5.96,64.08,57.97,10.16,112293,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-11-12
2010,CY,CY804,PSYCHIATRIC,24,4588,231,6.03,13.62,1.14,5.61,87.05,16.53,145.11,79.51,2.84,84309,OECD_HEALTH_STAT,FLASH,2024-07-16
2011,FR,LV36,REHABILITATION,150,7945,691,3.26,8.06,0.89,2.56,83.56,5.0,136.8,58.0,10.93,4501,EUROSTAT_HEALTH,FIRST,2024-10-01
2012,IT,LU247,SPECIALISED,55,17245,795,4.45,3.93,1.19,3.65,64.92,10.2,41.6,26.25,7.76,67993,NATIONAL_HEALTH_MINISTRY,SECOND,2025-04-11
2013,NL,CY79,UNIVERSITY,136,38378,2191,5.74,4.5,0.85,4.87,81.04,3.39,205.22,58.03,12.06,151961,HOSPITAL_ADMIN_REPORT,BENCHMARK,2026-01-20
2014,SI,LV1,GENERAL_ACUTE,160,48177,2123,3.91,3.38,2.1,1.49,64.83,8.53,87.79,87.25,10.16,125737,OECD_HEALTH_STAT,FLASH,2025-05-25
2015,BG,DE96,DAY_SURGERY,23,3692,237,5.04,14.15,1.53,3.66,73.63,5.51,143.93,165.07,10.77,26181,EUROSTAT_HEALTH,FIRST,2024-04-21
2016,EE,GR85,PSYCHIATRIC,16,5214,130,3.2,6.03,1.03,2.6,60.3,16.65,187.04,120.06,2.49,94096,NATIONAL_HEALTH_MINISTRY,SECOND,2024-09-30
2017,HU,IT344,REHABILITATION,27,13733,796,4.17,3.11,0.72,4.03,52.82,6.52,95.37,157.07,3.17,35169,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-11-27
2018,LU,AT57,SPECIALISED,244,45223,2587,4.82,6.34,1.33,4.79,64.29,4.5,87.73,183.41,13.36,193916,OECD_HEALTH_STAT,FLASH,2025-11-08
2019,RO,HR182,UNIVERSITY,50,6776,321,6.12,5.72,2.02,5.37,58.32,7.97,32.4,36.82,6.51,76270,EUROSTAT_HEALTH,FIRST,2024-06-27
2020,AT,BE67,GENERAL_ACUTE,189,68216,2694,3.52,12.7,0.68,2.58,70.81,4.53,76.68,76.15,8.52,122500,NATIONAL_HEALTH_MINISTRY,SECOND,2025-07-15
2021,CZ,AT45,DAY_SURGERY,148,51017,4082,2.49,4.2,1.65,1.72,85.64,3.31,64.12,91.63,1.24,36355,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-04-04
2022,DE,AT587,PSYCHIATRIC,16,3844,200,5.65,4.42,1.93,4.28,62.26,11.88,108.31,15.39,2.77,69754,OECD_HEALTH_STAT,FLASH,2025-01-05
2023,LV,FR601,REHABILITATION,85,26837,1944,4.72,4.99,0.96,3.9,68.69,9.04,53.0,174.25,10.62,60333,EUROSTAT_HEALTH,FIRST,2025-11-17
2024,PL,LT30,SPECIALISED,193,48144,2243,3.72,11.07,1.81,2.9,53.41,4.31,103.94,100.16,17.07,54452,NATIONAL_HEALTH_MINISTRY,SECOND,2025-10-31
2025,ES,FR415,UNIVERSITY,37,8241,682,2.69,6.73,0.64,2.04,58.94,9.51,101.17,21.33,19.92,100884,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-05-15
2006,HR,LU47,GENERAL_ACUTE,173,54147,1130,5.82,5.8,1.65,4.91,86.09,3.95,160.37,20.89,1.46,75165,OECD_HEALTH_STAT,FLASH,2025-10-03
2007,FI,CZ42,DAY_SURGERY,56,25509,1008,4.67,3.35,1.92,2.59,64.17,8.8,41.95,185.19,15.25,79738,EUROSTAT_HEALTH,FIRST,2024-02-26
2008,IE,MT319,PSYCHIATRIC,138,24643,1488,3.2,13.66,1.28,1.36,56.68,14.03,60.4,127.06,13.92,82247,NATIONAL_HEALTH_MINISTRY,SECOND,2024-11-22
2009,MT,RO34,REHABILITATION,13,5841,321,2.14,9.25,1.63,1.07,62.1,14.54,159.21,42.77,5.13,36658,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-02-27
2010,SK,EE18,SPECIALISED,245,51252,3181,3.7,4.5,0.84,3.1,73.02,6.1,192.13,122.04,0.78,27248,OECD_HEALTH_STAT,FLASH,2024-08-04
2011,BE,LU49,UNIVERSITY,14,5254,415,3.97,9.74,1.61,3.62,66.31,8.82,58.55,85.73,1.23,77400,EUROSTAT_HEALTH,FIRST,2026-02-15
2012,DK,HU574,GENERAL_ACUTE,62,8361,386,2.4,9.34,0.81,1.41,66.75,9.67,78.57,71.14,5.62,115672,NATIONAL_HEALTH_MINISTRY,SECOND,2024-04-25
2013,GR,LT67,DAY_SURGERY,133,62433,2874,2.11,3.03,1.45,1.93,77.8,2.85,41.15,77.99,15.26,29297,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-10-31
2014,LT,SE544,PSYCHIATRIC,10,5248,221,5.39,5.1,0.99,4.92,56.85,12.41,19.33,156.19,4.04,48252,OECD_HEALTH_STAT,FLASH,2026-02-14
2015,PT,ES251,REHABILITATION,12,4905,130,4.98,9.35,1.62,3.08,60.44,9.38,173.18,129.65,3.53,114346,EUROSTAT_HEALTH,FIRST,2024-05-30
2016,SE,SE18,SPECIALISED,66,8583,229,2.32,8.62,1.82,1.19,77.54,11.43,59.71,63.1,2.36,181196,NATIONAL_HEALTH_MINISTRY,SECOND,2024-06-16
2017,CY,NL23,UNIVERSITY,44,14358,1136,3.99,8.11,0.66,4.42,63.68,9.63,92.46,124.39,12.14,36395,HOSPITAL_ADMIN_REPORT,BENCHMARK,2025-04-16
2018,FR,GR99,GENERAL_ACUTE,260,14489,414,3.2,8.4,1.92,0.99,70.9,12.2,164.65,166.38,5.13,11802,OECD_HEALTH_STAT,FLASH,2025-10-19
2019,IT,RO541,DAY_SURGERY,113,56535,3837,2.18,9.41,0.98,1.72,61.4,7.68,103.51,48.34,4.97,48551,EUROSTAT_HEALTH,FIRST,2025-09-05
2020,NL,IE578,PSYCHIATRIC,110,53153,757,4.77,5.3,1.7,2.6,58.25,10.98,239.08,103.73,10.39,64585,NATIONAL_HEALTH_MINISTRY,SECOND,2025-03-16
2021,SI,LV586,REHABILITATION,66,25106,2131,2.0,11.16,1.07,1.1,79.26,5.31,11.51,173.14,7.92,21112,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-11-25
2022,BG,CY893,SPECIALISED,33,7829,297,3.94,14.37,0.51,3.95,64.01,5.71,147.63,38.92,17.4,54101,OECD_HEALTH_STAT,FLASH,2024-08-06
2023,EE,PL615,UNIVERSITY,141,39124,1789,2.01,13.14,2.03,0.6,63.42,3.84,114.59,56.54,9.06,95605,EUROSTAT_HEALTH,FIRST,2026-01-29
2024,HU,DK347,GENERAL_ACUTE,162,61088,3882,5.19,7.25,1.57,4.51,84.65,10.58,203.25,161.61,18.74,30219,NATIONAL_HEALTH_MINISTRY,SECOND,2026-02-15
2025,LU,NL6,DAY_SURGERY,28,11887,400,2.08,9.11,2.16,0.88,71.43,7.23,198.69,102.98,6.52,149339,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-12-20
2006,RO,BE41,PSYCHIATRIC,116,20389,915,2.77,3.81,0.92,2.91,81.6,15.79,138.78,179.19,2.33,116641,OECD_HEALTH_STAT,FLASH,2025-05-15
2007,AT,SE644,REHABILITATION,87,24163,1741,6.08,13.84,0.69,6.73,73.34,5.35,171.74,106.33,8.29,94120,EUROSTAT_HEALTH,FIRST,2025-11-07
2008,CZ,DK6,SPECIALISED,189,46108,851,1.76,7.33,2.13,0.6,80.01,10.17,130.41,92.72,2.99,108573,NATIONAL_HEALTH_MINISTRY,SECOND,2025-08-27
2009,DE,RO372,UNIVERSITY,153,61419,2516,4.48,9.84,0.56,4.48,63.41,5.55,53.9,175.56,6.12,52577,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-09-18
2010,LV,GR8,GENERAL_ACUTE,241,73788,879,6.25,9.36,2.12,4.0,69.09,3.44,12.81,144.81,4.87,15067,OECD_HEALTH_STAT,FLASH,2024-02-05
2011,PL,PT3,DAY_SURGERY,106,23386,1450,5.78,3.27,1.83,5.21,69.66,3.29,83.69,120.22,2.74,64426,EUROSTAT_HEALTH,FIRST,2025-11-02
2012,ES,PT196,PSYCHIATRIC,112,56459,3294,4.02,4.61,2.07,1.81,69.7,13.0,175.44,49.61,3.08,37073,NATIONAL_HEALTH_MINISTRY,SECOND,2024-07-24
2013,HR,AT28,REHABILITATION,81,19252,1439,2.88,14.45,1.64,1.15,66.78,15.59,44.97,166.65,2.87,103392,HOSPITAL_ADMIN_REPORT,BENCHMARK,2024-03-06
