labor_wage_wage_survey_year,labor_wage_occupation_soc_6,labor_wage_industry_naics_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2024,451935,452,MONTHLY,21.25,23.82,32.97,35.69,40.77,41268,6.4,1.76,19.14,34.59,-3.24,16.88,0.02,4.64,107.83,5.01
2021,461936,484,BIWEEKLY,20.81,27.61,32.66,36.9,42.12,59206,1.95,2.32,20.66,40.97,12.12,19.27,22.01,11.39,77.54,1.35
2019,471937,611,HOURLY,24.4,28.27,37.55,53.96,62.24,156912,10.86,2.03,27.97,8.33,19.82,5.75,14.8,23.65,75.11,4.83
2016,481938,332,HOURLY,33.17,42.27,53.66,63.64,86.84,36483,10.22,6.61,17.81,9.53,-5.76,12.11,23.92,5.47,70.89,5.36
2015,491939,484,WEEKLY,31.7,35.84,44.06,54.38,60.86,86434,4.17,2.85,13.99,4.88,-4.69,0.35,22.66,4.13,123.02,3.56
2018,501940,324,BIWEEKLY,24.85,28.45,41.97,55.38,69.82,82804,8.52,0.41,27.42,40.24,19.4,27.68,28.64,13.41,104.75,2.3
2021,511941,339,BIWEEKLY,12.94,17.12,26.33,40.14,48.97,160303,9.26,9.97,17.18,40.9,12.58,-4.25,50.13,0.48,121.66,5.07
2019,521942,623,HOURLY,12.26,17.59,29.41,38.71,50.1,190615,8.18,11.59,25.54,28.65,-8.05,12.25,46.38,16.91,123.09,3.85
2021,531943,335,HOURLY,13.76,18.46,29.62,34.48,49.2,186028,5.68,6.52,25.85,1.71,1.96,10.17,37.72,37.26,108.3,3.33
2015,541944,511,WEEKLY,12.26,19.73,27.48,33.44,39.5,176578,0.88,1.22,18.81,35.29,25.45,-4.68,9.19,5.78,106.42,1.86
2016,101945,484,BIWEEKLY,19.65,29.01,34.91,39.71,42.1,132203,6.7,8.04,33.77,31.21,24.35,21.19,10.55,21.17,101.03,2.98
2017,111946,238,BIWEEKLY,11.04,20.16,30.68,39.49,54.18,128868,1.73,13.33,30.72,2.83,2.92,-9.04,4.72,36.72,134.26,0.86
2017,121947,213,WEEKLY,19.67,26.87,28.53,38.39,59.96,156777,9.71,10.39,27.06,25.63,19.63,31.22,19.64,16.93,132.72,6.34
2016,131948,524,MONTHLY,22.82,27.13,30.96,40.47,56.19,165243,2.1,3.02,11.38,4.53,4.01,21.95,33.49,7.02,128.46,1.24
2017,141949,561,MONTHLY,33.59,42.35,45.47,52.66,71.75,168990,7.58,9.83,27.18,24.03,10.12,17.48,11.46,30.65,96.43,4.37
2023,151950,481,ANNUAL,22.55,30.65,33.71,39.63,50.13,165345,1.75,9.21,32.71,19.63,6.12,25.62,5.92,33.78,80.16,2.34
2019,161951,622,BIWEEKLY,12.62,13.66,18.49,30.62,54.6,162425,9.24,8.65,23.79,3.88,24.84,-10.71,21.75,21.41,75.89,2.2
2019,171952,316,MONTHLY,12.56,19.99,28.89,42.14,56.02,57624,10.84,6.84,30.83,11.41,-6.24,18.88,16.36,21.5,103.7,5.53
2023,181953,336,HOURLY,25.8,33.26,39.48,59.31,83.63,73320,2.72,10.73,9.43,6.68,9.49,0.73,18.83,14.53,136.7,4.8
2015,191954,326,MONTHLY,21.75,25.46,39.64,52.12,56.21,114494,4.05,2.67,26.66,3.95,7.81,24.91,8.62,30.43,99.3,1.16
2017,201955,112,WEEKLY,18.47,25.96,37.53,44.82,58.52,128859,11.08,11.48,27.3,31.49,21.92,2.53,9.25,9.15,108.29,0.56
2018,211956,237,HOURLY,20.08,24.9,35.06,44.18,48.01,30303,6.11,14.79,10.04,31.73,14.42,-6.59,51.59,34.32,136.39,0.78
2016,221957,492,ANNUAL,23.72,28.2,39.58,50.37,59.68,125294,10.28,13.36,25.08,7.11,4.11,26.85,1.42,14.09,110.19,3.62
2021,231958,623,MONTHLY,14.72,21.06,28.47,40.3,63.49,59345,6.31,9.17,32.71,11.18,24.59,27.02,49.37,38.24,130.79,2.56
2015,241959,811,HOURLY,18.86,20.14,24.07,36.07,46.11,65604,1.5,11.05,16.63,27.35,17.06,5.64,25.32,1.62,110.81,2.51
2022,251960,323,MONTHLY,29.72,31.03,37.62,41.81,48.59,73753,5.65,6.98,31.79,34.72,11.12,8.28,35.86,16.11,114.44,4.38
2025,261961,511,HOURLY,28.33,29.38,37.96,52.5,55.41,30255,5.98,4.3,23.42,9.12,-3.75,15.5,51.81,27.5,121.79,0.75
2021,271962,333,HOURLY,18.47,26.94,31.08,33.54,42.52,169534,2.28,11.47,13.14,35.92,19.84,8.24,11.5,5.57,78.7,2.35
2020,281963,236,ANNUAL,27.12,28.33,34.51,45.01,68.63,165208,2.75,1.84,32.18,20.72,7.92,-8.54,7.48,31.27,135.55,2.64
2022,291964,623,ANNUAL,17.71,23.25,29.18,37.36,54.52,56541,7.95,6.06,33.05,13.77,24.78,8.93,21.85,29.24,98.49,4.9
2021,301965,311,HOURLY,12.25,15.33,26.63,39.77,50.69,160166,11.32,1.16,16.91,24.06,23.7,-7.56,25.16,19.26,85.56,0.5
2019,311966,623,HOURLY,22.08,30.1,42.8,50.74,69.34,95510,0.83,6.2,10.39,13.91,23.48,3.39,15.46,35.67,117.22,0.73
2020,321967,339,WEEKLY,16.5,22.04,23.68,33.11,53.21,175290,1.37,7.49,8.08,43.77,24.92,27.82,6.3,13.35,84.86,4.14
2022,331968,213,ANNUAL,33.38,39.19,46.09,55.2,77.84,142875,1.57,15.56,14.54,32.01,20.24,11.74,32.57,32.27,133.83,2.97
2020,341969,336,WEEKLY,10.82,18.45,32.64,40.52,57.03,45616,9.18,11.94,18.34,17.0,2.21,-7.31,14.3,21.69,126.64,5.88
2020,351970,327,MONTHLY,26.9,34.6,37.33,41.52,54.8,91385,8.82,16.77,33.42,26.87,-0.73,6.37,10.6,30.6,87.02,4.12
2018,361971,722,BIWEEKLY,15.85,24.81,35.12,50.47,71.13,33957,0.5,13.6,26.41,17.92,23.88,-6.54,17.67,11.55,135.59,5.36
2016,371972,326,HOURLY,9.94,13.6,16.92,28.73,48.4,100432,9.43,4.04,33.89,15.89,-6.3,14.81,50.99,15.75,73.22,6.33
2020,381973,337,ANNUAL,25.78,32.37,44.32,56.95,80.68,133813,2.38,16.17,20.92,38.08,14.19,-4.24,20.77,29.58,130.47,1.35
2023,391974,452,ANNUAL,14.94,20.32,30.33,42.26,48.85,31739,8.94,9.86,22.55,31.77,27.45,27.72,49.92,10.02,92.01,6.19
2020,401975,331,BIWEEKLY,30.89,32.19,40.04,51.53,57.36,177002,5.71,11.08,25.19,30.64,25.55,18.79,10.24,28.5,99.58,2.47
2017,411976,722,WEEKLY,26.31,32.31,43.76,57.91,63.12,160289,1.76,11.02,14.77,1.26,15.71,-0.93,17.16,25.64,126.07,4.66
2019,421977,452,ANNUAL,19.84,29.59,33.56,51.8,62.46,141948,9.39,14.22,18.41,35.46,8.1,-0.99,21.45,32.57,131.97,6.3
2022,431978,423,HOURLY,28.15,33.49,36.05,52.59,77.49,155788,10.82,4.79,21.96,13.9,-4.82,-4.79,5.52,2.04,120.7,1.43
2020,441979,313,WEEKLY,14.94,20.39,21.84,32.14,56.53,186915,4.55,4.24,16.87,9.43,0.02,17.17,53.49,33.16,77.83,1.14
2019,451980,531,BIWEEKLY,17.29,20.93,30.9,33.63,39.02,98913,0.44,12.84,31.7,20.9,7.4,5.09,35.3,19.21,94.03,3.88
2016,461981,541,WEEKLY,17.08,19.57,25.48,39.64,60.52,43381,6.51,9.41,23.54,3.2,1.96,6.06,32.42,12.0,85.79,2.35
2020,471982,811,ANNUAL,18.76,24.32,32.05,50.59,73.99,179518,9.97,3.06,16.04,23.4,-8.12,6.02,2.22,30.5,74.81,2.03
2019,481983,315,ANNUAL,23.53,29.41,33.0,45.14,60.86,135345,3.41,10.68,18.19,34.73,26.22,11.29,7.31,37.05,115.66,4.52
2022,491984,111,ANNUAL,30.25,38.67,48.36,57.83,77.26,125006,7.08,16.48,8.44,37.74,26.04,19.18,50.87,33.5,122.55,4.68
2023,501985,326,HOURLY,33.99,36.88,40.59,48.68,60.64,134815,2.0,0.02,26.46,27.22,-9.16,-6.36,6.2,37.66,99.94,0.86
2022,511986,337,WEEKLY,14.66,17.11,27.89,30.39,37.21,54404,10.78,11.02,31.67,11.15,22.1,12.03,36.13,38.04,100.0,1.86
2021,521987,111,ANNUAL,24.92,27.83,42.18,58.05,76.99,33671,0.69,6.01,12.98,30.45,23.48,26.94,22.62,10.53,114.71,2.67
2019,531988,315,WEEKLY,29.58,32.95,37.23,47.52,59.37,196901,11.08,0.57,14.41,14.79,1.63,15.94,11.24,27.02,137.71,3.06
2017,541989,517,WEEKLY,13.05,16.86,29.65,45.15,55.11,205297,0.69,6.94,31.75,25.58,-1.94,21.51,29.87,26.38,128.18,6.39
2023,101990,531,MONTHLY,9.91,19.26,32.54,50.81,61.58,148114,2.75,4.46,32.42,26.63,6.94,8.66,52.06,2.47,130.08,3.97
2015,111991,211,ANNUAL,9.83,13.87,22.43,32.72,50.38,188918,4.26,4.57,15.91,5.14,10.58,24.78,19.44,21.97,120.8,0.88
2015,121992,484,MONTHLY,23.44,32.5,45.38,59.19,82.8,86425,8.23,0.15,20.2,11.3,5.94,19.8,8.66,35.94,76.6,1.11
2020,131993,339,ANNUAL,25.37,30.76,38.8,54.7,78.41,56147,5.53,0.48,30.31,37.28,5.55,25.02,17.75,29.39,105.26,3.91
2021,141994,622,MONTHLY,31.0,32.86,45.75,60.27,71.07,206482,8.3,16.32,28.05,7.95,20.27,23.7,46.88,29.75,116.15,5.15
2018,151995,333,MONTHLY,9.5,18.12,25.49,36.94,44.89,75094,5.59,2.64,33.35,13.3,12.61,30.52,39.2,19.22,139.55,4.76
2015,161996,339,MONTHLY,23.0,31.05,43.1,51.98,63.93,188659,8.96,17.04,13.4,15.98,18.4,-11.54,43.53,26.34,138.29,4.58
2023,171997,322,WEEKLY,29.26,30.64,43.16,56.02,78.99,205990,10.92,7.35,31.49,37.09,15.14,15.07,54.36,7.71,98.54,5.36
2024,181998,312,ANNUAL,11.76,21.72,30.67,42.42,47.55,182456,8.19,8.41,28.52,1.55,-5.79,11.55,22.34,33.69,73.17,3.55
2023,191999,325,WEEKLY,15.13,20.84,26.42,43.79,60.1,88065,2.28,3.85,28.46,27.36,1.25,10.54,30.92,12.49,134.4,6.23
2017,202000,326,HOURLY,16.09,17.71,27.17,46.52,67.59,58754,9.52,1.94,31.95,4.61,10.88,-0.4,14.7,8.15,76.98,0.51
2018,212001,322,MONTHLY,19.03,22.4,32.24,39.73,58.01,186859,1.29,0.52,26.36,26.18,16.19,6.14,13.35,25.79,133.06,5.2
2023,222002,211,WEEKLY,27.8,29.65,38.59,52.23,67.27,178198,5.41,8.99,25.07,43.01,-8.46,-11.32,8.34,37.75,76.62,2.3
2024,232003,323,BIWEEKLY,22.9,30.01,42.77,56.89,62.62,54534,0.91,9.54,34.14,6.56,3.56,27.21,15.32,7.56,114.91,5.12
2021,242004,312,MONTHLY,23.28,32.68,36.28,52.15,70.75,94993,5.21,3.0,26.12,1.35,-4.05,3.13,42.75,37.61,86.11,1.15
2023,252005,211,BIWEEKLY,17.6,25.51,27.98,36.07,45.7,89687,1.91,13.28,17.46,8.26,12.42,-2.92,52.3,19.99,116.07,2.49
2024,262006,112,MONTHLY,25.23,34.55,46.18,49.4,52.35,140048,7.27,14.8,28.4,8.93,14.46,18.31,13.8,2.89,90.74,3.97
2024,272007,519,BIWEEKLY,27.14,35.96,37.93,52.18,71.9,122422,4.05,10.3,16.98,41.16,22.3,13.27,9.96,35.92,87.26,0.79
2019,282008,511,MONTHLY,15.43,19.77,29.66,36.79,53.86,33528,3.24,17.66,12.86,39.59,-4.81,1.06,7.74,10.34,107.15,4.9
2023,292009,236,BIWEEKLY,15.31,23.89,32.38,44.12,50.07,100506,10.8,6.92,22.32,17.0,19.19,-6.69,46.05,7.7,133.15,1.29
2023,302010,484,BIWEEKLY,26.47,32.99,39.22,51.69,66.55,77296,10.5,6.72,18.12,36.51,22.34,-4.4,22.04,27.82,93.83,5.24
2016,312011,722,MONTHLY,28.26,34.97,38.85,58.83,62.02,77001,9.57,12.5,19.55,6.12,5.68,-10.5,10.08,35.52,77.86,1.7
2021,322012,325,MONTHLY,29.61,34.63,42.63,49.06,62.28,131660,7.73,2.81,28.46,9.41,7.26,-0.17,9.13,17.18,135.98,5.84
2016,332013,236,HOURLY,21.41,24.26,36.11,52.37,56.88,40769,4.46,12.5,31.69,6.38,-9.41,-7.59,36.35,26.65,130.34,3.44
2018,342014,335,WEEKLY,23.27,25.35,34.39,41.3,52.79,131034,0.91,15.47,12.08,35.27,0.1,-7.87,50.06,35.61,108.98,6.16
2018,352015,424,MONTHLY,28.67,36.93,50.34,60.22,71.79,48116,1.22,2.29,27.93,23.1,7.01,4.84,34.09,38.36,112.48,5.78
2025,362016,488,HOURLY,26.66,30.98,41.43,53.17,64.17,57906,2.54,1.2,34.25,25.62,12.92,-1.06,30.44,16.13,98.23,6.02
2016,372017,316,BIWEEKLY,14.41,16.67,19.67,39.59,52.57,90158,1.02,15.38,30.69,23.78,8.35,20.37,21.45,32.25,120.22,3.54
2020,382018,811,ANNUAL,10.8,12.65,18.51,22.46,42.47,44170,9.39,9.2,32.41,16.67,20.91,-6.38,46.29,12.65,82.11,2.11
2020,392019,519,BIWEEKLY,13.82,22.71,31.68,39.63,54.96,64092,1.03,7.28,21.97,13.13,7.44,16.16,23.93,4.57,72.38,3.29
2017,402020,324,HOURLY,17.44,19.99,31.64,44.7,66.7,177797,7.28,3.76,17.26,15.78,22.63,-7.93,12.05,33.39,127.66,2.41
2018,412021,622,MONTHLY,13.01,22.71,33.15,43.79,47.29,105050,1.11,9.33,19.1,43.1,13.83,31.46,2.2,20.33,132.72,4.74
2024,422022,337,ANNUAL,12.09,20.95,29.4,41.85,62.13,112448,4.33,4.91,31.51,14.27,-7.12,29.21,23.25,2.08,70.52,2.81
2015,432023,621,MONTHLY,32.85,34.07,46.33,55.45,63.39,99426,1.83,2.0,23.71,34.19,25.98,6.66,40.41,29.01,114.07,2.76
2017,442024,332,HOURLY,21.94,29.37,35.9,51.47,69.31,45782,7.14,11.55,15.24,1.62,6.84,11.65,8.03,39.45,83.65,2.49
2022,452025,445,HOURLY,27.59,34.9,38.17,49.63,58.27,42159,3.97,10.21,21.96,4.48,7.96,19.46,6.15,34.0,128.48,6.17
2015,462026,522,WEEKLY,18.47,27.9,30.61,36.98,56.13,110083,5.72,14.65,32.06,32.82,12.69,14.88,11.66,24.17,79.38,2.8
2022,472027,488,ANNUAL,19.21,25.55,37.66,45.82,65.21,105319,11.5,9.59,32.73,32.86,20.53,18.6,9.78,24.06,96.59,5.13
2025,482028,333,ANNUAL,12.55,13.6,24.13,34.81,44.88,182488,5.01,6.87,11.44,18.55,0.53,-11.54,52.89,14.74,96.47,6.37
2023,492029,237,BIWEEKLY,34.25,42.14,53.62,61.55,78.37,34710,4.03,14.71,27.04,31.17,-8.13,0.42,11.67,35.16,137.91,3.41
2020,502030,541,MONTHLY,17.25,18.65,23.12,33.68,48.02,123851,6.09,3.37,34.6,24.55,15.18,6.31,11.97,9.64,131.43,2.53
2016,512031,314,WEEKLY,30.6,39.8,41.38,47.16,63.15,192765,7.55,9.83,15.35,32.01,1.8,-0.64,29.66,0.11,100.26,5.36
2020,522032,111,HOURLY,31.05,35.53,50.32,68.54,80.71,99073,2.44,11.97,18.12,38.41,2.57,13.62,42.7,15.39,90.21,5.49
2025,532033,211,ANNUAL,21.38,30.97,32.91,37.81,45.64,71584,5.37,15.85,26.56,23.95,-3.54,31.03,26.57,24.72,135.69,0.47
2023,542034,517,HOURLY,26.72,30.01,33.55,53.19,75.53,166684,10.22,13.71,27.93,11.46,17.36,16.23,25.96,10.78,88.13,3.05
2023,102035,722,ANNUAL,16.28,25.09,30.28,36.13,43.77,57331,7.15,4.32,32.63,22.11,12.28,20.1,47.3,35.31,136.19,2.21
2019,112036,316,HOURLY,28.78,36.54,44.61,60.34,76.19,142012,12.0,1.83,17.87,11.88,17.82,14.39,54.83,14.56,122.85,5.35
2017,122037,311,HOURLY,9.04,17.13,25.96,32.92,34.94,59922,11.99,5.95,33.16,23.46,8.37,5.16,41.42,24.22,96.53,2.91
2019,132038,111,ANNUAL,32.21,40.78,46.49,51.25,69.91,112394,6.61,11.62,13.2,8.94,7.18,28.48,46.23,27.25,71.3,5.17
2025,142039,921,MONTHLY,12.97,16.46,28.83,32.58,44.33,183654,1.35,12.21,29.4,8.18,-6.21,15.47,43.03,17.73,106.19,3.16
2025,152040,111,ANNUAL,23.18,29.3,41.7,60.4,83.46,117186,1.5,8.52,30.36,38.53,25.0,5.7,37.36,36.24,119.94,2.73
2022,162041,332,BIWEEKLY,15.79,25.23,31.55,37.6,42.8,98136,0.47,10.45,12.49,8.87,3.14,12.67,22.69,23.8,120.7,3.47
2019,172042,921,WEEKLY,27.57,34.23,35.6,47.81,59.94,194244,4.73,4.16,23.06,19.35,-8.42,14.65,13.95,8.25,124.33,3.99
2019,182043,237,WEEKLY,15.09,23.57,36.86,39.92,45.12,102793,3.74,8.25,15.51,44.44,3.67,16.32,13.07,39.92,101.66,1.08
2023,192044,327,HOURLY,27.25,34.79,41.3,58.16,78.01,75592,4.55,9.25,14.96,0.58,-4.09,13.47,23.01,24.37,98.0,4.01
2019,202045,517,ANNUAL,22.06,29.46,37.14,47.57,54.96,112030,11.6,2.31,20.09,28.42,0.94,29.6,1.34,15.04,89.99,5.22
2024,212046,331,MONTHLY,22.08,23.77,26.64,32.07,47.65,69809,2.98,16.24,17.4,27.71,-8.1,12.43,53.01,12.57,122.54,3.19
2023,222047,337,ANNUAL,10.84,12.56,24.95,43.07,60.51,132614,8.06,15.8,23.68,0.02,-0.19,21.95,33.33,23.19,97.13,6.25
2017,232048,316,HOURLY,16.11,24.61,31.88,41.38,49.26,208757,6.43,0.79,9.01,8.47,-2.84,-0.99,30.89,19.38,109.51,1.69
2018,242049,623,MONTHLY,30.51,37.45,40.75,43.46,53.33,57400,5.97,16.07,25.71,27.32,2.66,-0.38,47.43,18.62,95.64,2.55
2024,252050,811,HOURLY,30.99,38.23,44.68,48.59,62.82,187314,7.43,8.23,17.51,32.33,11.76,27.36,34.17,1.65,102.12,1.88
2022,262051,622,MONTHLY,33.36,40.3,42.12,56.1,65.13,123048,5.35,13.51,11.66,11.66,27.38,4.03,9.17,38.39,93.33,0.3
2016,272052,237,HOURLY,20.01,25.68,40.63,50.0,63.24,100275,3.15,1.01,32.21,22.33,-9.82,8.04,40.24,35.22,105.64,6.39
2023,282053,445,WEEKLY,34.29,40.49,46.78,59.56,78.47,117772,9.01,12.79,34.12,44.73,25.39,-2.63,6.96,24.44,133.25,2.76
2025,292054,324,MONTHLY,30.19,37.97,49.82,52.82,65.14,38082,2.46,15.54,19.58,38.19,15.29,30.63,53.09,28.57,136.25,1.08
2020,302055,323,MONTHLY,13.89,19.44,20.51,24.75,34.6,94559,4.46,17.26,11.74,28.08,26.58,3.69,34.35,19.07,122.55,3.38
2024,312056,322,MONTHLY,34.31,38.2,42.87,49.01,73.97,51446,9.22,10.16,14.27,16.99,6.29,6.37,31.91,9.09,106.28,4.67
2017,322057,237,ANNUAL,31.07,33.91,47.44,49.85,64.67,97815,3.8,11.55,21.64,10.32,9.95,27.11,20.1,7.42,109.69,2.78
2024,332058,333,MONTHLY,34.64,36.1,49.15,54.51,70.52,97061,5.96,2.94,24.74,8.73,-0.47,28.92,41.42,16.37,118.3,2.09
2020,342059,623,ANNUAL,10.35,13.42,27.64,40.01,58.65,134717,3.86,14.8,30.58,18.92,25.7,16.37,48.44,6.2,123.1,6.19
2024,352060,488,ANNUAL,9.11,12.44,15.27,21.94,27.82,89079,0.88,3.01,24.6,10.16,23.87,2.74,29.51,22.27,90.37,5.3
2023,362061,622,HOURLY,27.01,33.81,35.12,49.88,57.92,66514,4.83,2.48,17.63,41.03,16.53,-9.26,54.62,14.25,74.3,1.33
2019,372062,211,ANNUAL,28.7,33.16,43.79,47.81,66.83,169522,9.45,16.15,31.09,1.27,-2.86,-1.04,5.91,13.12,79.93,4.27
2021,382063,481,WEEKLY,11.83,15.26,29.68,38.94,50.54,97534,10.59,9.98,23.8,9.16,5.35,-0.73,18.61,19.4,118.41,4.34
2018,392064,238,BIWEEKLY,30.62,38.53,41.11,44.65,55.21,193080,1.2,14.7,32.79,32.15,13.64,20.06,15.11,26.52,119.21,3.11
2020,402065,561,MONTHLY,17.67,19.55,31.4,36.27,48.7,103401,11.7,13.39,32.29,43.38,18.76,12.44,32.65,14.5,91.46,5.4
2019,412066,213,WEEKLY,30.86,36.28,43.29,52.9,66.28,167155,3.6,4.45,9.01,15.01,13.15,-7.6,38.67,31.08,120.8,2.69
2022,422067,323,HOURLY,28.75,34.17,44.99,47.67,57.87,194598,10.14,17.95,30.34,34.58,-6.96,29.37,51.69,28.02,105.36,4.15
2016,432068,425,BIWEEKLY,26.52,33.24,42.73,50.71,67.05,80971,1.72,10.79,23.8,23.53,-6.01,13.2,42.45,16.5,126.09,0.98
2016,442069,622,ANNUAL,14.64,22.55,28.67,36.42,55.53,168734,11.83,0.8,27.92,37.61,7.53,8.83,25.71,9.27,94.51,5.76
2019,452070,325,HOURLY,12.32,18.18,26.76,29.5,32.67,86924,3.63,16.37,27.97,43.04,20.5,-0.53,24.93,5.03,97.56,1.39
2019,462071,518,WEEKLY,23.3,33.19,42.99,49.69,69.24,102772,0.95,15.15,8.27,34.9,25.05,-8.94,6.31,3.39,132.15,1.7
2021,472072,424,BIWEEKLY,21.62,26.33,41.11,56.98,75.14,54257,3.5,16.22,9.69,10.64,15.67,20.12,47.68,31.03,88.35,2.34
2019,482073,519,BIWEEKLY,14.9,23.96,34.18,37.29,44.87,157898,9.56,1.82,17.99,26.38,23.68,2.54,15.31,4.46,120.03,6.11
2022,492074,323,ANNUAL,19.01,28.33,32.14,36.94,53.78,170232,0.86,13.32,12.97,27.09,16.81,-2.87,22.98,24.46,70.55,3.28
2024,502075,323,ANNUAL,29.49,34.05,37.13,53.33,69.98,38766,4.8,14.33,30.14,35.71,25.99,15.55,22.67,16.82,88.01,1.31
2022,512076,561,BIWEEKLY,25.75,34.41,44.05,63.39,77.19,201617,9.62,11.99,20.98,18.51,17.93,-2.22,3.26,38.3,96.74,1.57
2022,522077,313,WEEKLY,22.44,30.46,36.92,46.73,60.6,175355,5.13,9.65,24.56,18.03,-3.53,3.24,20.97,18.55,80.16,5.92
2024,532078,316,ANNUAL,9.93,13.1,26.15,43.0,53.51,151297,1.54,15.26,27.5,13.72,-6.13,5.21,28.86,24.43,83.6,3.78
2017,542079,211,BIWEEKLY,19.01,25.13,28.83,39.99,63.38,30245,3.01,10.11,8.9,40.93,16.58,26.88,42.5,10.14,104.92,4.23
2024,102080,452,BIWEEKLY,13.94,19.99,27.88,39.88,60.55,159326,2.97,13.28,27.79,27.42,3.49,16.47,54.98,31.42,85.72,4.75
2019,112081,541,HOURLY,12.04,15.84,26.89,29.48,52.49,61473,3.13,10.59,21.0,31.88,-8.15,5.54,6.3,11.09,118.37,0.86
2017,122082,336,ANNUAL,18.51,28.5,39.01,47.43,49.45,204457,1.32,4.93,31.74,39.96,21.21,-3.13,30.6,31.3,96.74,3.49
2020,132083,523,BIWEEKLY,27.41,31.84,34.7,46.28,65.38,40272,11.43,7.14,25.44,44.03,13.26,7.98,29.54,7.04,95.12,4.59
2016,142084,238,BIWEEKLY,21.22,25.67,26.87,32.09,56.08,34388,0.63,10.65,12.5,29.54,27.89,-8.94,7.21,26.03,88.32,5.97
2019,152085,621,WEEKLY,21.29,25.44,31.84,43.11,65.36,31131,8.09,16.78,29.52,39.9,22.42,16.35,26.19,24.36,71.12,6.01
2025,162086,339,ANNUAL,24.92,33.96,39.09,57.63,65.41,140362,8.42,12.13,18.39,19.67,-7.96,17.7,52.58,15.75,76.93,1.64
2020,172087,236,WEEKLY,32.74,36.71,49.29,59.91,73.15,147555,5.61,4.53,28.99,25.65,21.28,1.6,25.82,39.59,81.65,0.71
2020,182088,213,MONTHLY,22.18,25.69,37.3,44.53,64.6,55440,6.65,13.53,26.52,10.25,18.77,-1.9,17.04,38.54,105.34,6.36
2025,192089,488,ANNUAL,12.56,13.62,15.74,32.83,53.44,46094,5.76,1.49,21.92,2.43,2.79,-7.49,53.23,3.75,109.03,5.01
2023,202090,312,HOURLY,20.54,28.68,32.05,40.22,53.27,30236,11.95,14.81,14.83,2.85,23.19,11.82,19.14,27.01,104.45,5.52
2021,212091,327,MONTHLY,21.28,24.91,32.37,37.63,57.74,113223,7.29,8.12,17.1,14.1,24.57,-0.95,1.28,6.58,125.94,1.1
2018,222092,213,MONTHLY,30.8,37.74,39.14,54.73,67.03,202805,2.22,3.88,18.07,6.74,-2.84,2.68,23.26,18.74,109.55,5.19
2022,232093,333,ANNUAL,28.08,31.04,33.1,53.04,68.65,196737,6.3,16.88,22.86,14.32,-7.19,20.6,1.44,10.52,112.31,6.26
2025,242094,621,ANNUAL,24.17,28.66,37.96,46.27,52.46,43398,4.66,7.69,22.88,12.44,25.16,29.1,51.45,26.16,99.52,4.93
2020,252095,335,HOURLY,33.82,40.41,54.56,70.19,84.09,37874,9.15,9.72,32.35,6.98,1.92,30.22,40.54,8.18,104.74,3.42
2021,262096,335,BIWEEKLY,24.81,31.04,32.82,45.93,69.89,134123,9.62,10.59,29.96,4.17,16.97,16.41,3.19,28.42,108.81,2.07
2017,272097,324,ANNUAL,9.38,17.36,21.3,27.99,50.96,187901,1.73,3.99,14.06,44.09,-4.95,12.44,30.6,22.01,104.26,0.44
2024,282098,484,BIWEEKLY,31.71,40.6,51.87,69.0,86.52,159561,6.34,7.54,29.01,38.06,9.62,-3.17,37.19,12.6,138.59,0.56
2025,292099,334,WEEKLY,11.37,18.99,29.35,44.66,57.55,140988,6.72,12.37,23.86,43.74,-1.83,21.81,2.34,36.74,116.11,6.21
2025,302100,311,HOURLY,17.26,18.64,33.43,46.41,70.32,87769,11.35,17.01,15.01,22.19,7.64,8.36,30.74,10.19,96.56,5.68
2016,312101,331,BIWEEKLY,28.85,31.94,39.97,58.72,80.79,168964,0.58,1.08,13.41,3.22,25.42,12.48,37.7,7.47,109.93,3.18
2017,322102,561,ANNUAL,31.14,36.82,38.35,45.31,48.46,172066,9.95,2.06,25.54,26.65,5.41,17.96,8.62,27.29,88.63,2.63
2016,332103,452,HOURLY,9.92,14.31,19.49,37.58,60.57,69667,0.7,2.69,13.71,33.69,9.91,2.36,44.46,36.5,123.28,2.31
2016,342104,519,WEEKLY,28.96,36.32,43.24,61.69,66.23,106941,0.64,17.29,27.57,12.5,11.08,20.99,24.21,11.95,111.9,1.18
2022,352105,213,MONTHLY,20.72,27.96,31.95,39.07,56.96,74261,10.78,16.65,13.38,8.39,-4.15,17.17,2.27,24.33,87.96,6.41
2015,362106,311,MONTHLY,9.04,10.59,22.66,30.91,38.74,85905,12.0,5.96,22.59,1.09,25.91,9.34,28.39,12.3,120.53,5.93
2024,372107,331,ANNUAL,26.68,33.42,46.12,48.24,69.85,172531,9.74,6.1,16.88,32.92,-7.64,0.78,17.15,8.4,105.2,2.69
2018,382108,611,WEEKLY,28.11,35.41,36.75,56.01,76.14,193714,4.01,2.78,12.88,9.78,22.52,26.48,41.35,29.14,79.14,5.97
