gov_rrf_reference_year,gov_rrf_member_state_iso2,gov_rrf_plan_component_code,gov_rrf_measure_id,gov_rrf_milestone_id,gov_rrf_target_id,gov_rrf_milestone_due_date,gov_rrf_milestone_status_code,gov_rrf_payment_request_date,gov_rrf_payment_disbursed_eur,gov_rrf_total_allocation_eur,gov_rrf_green_share_pct,gov_rrf_digital_share_pct,gov_rrf_reforms_flag,gov_rrf_investments_flag,gov_rrf_procurement_linked_flag,gov_rrf_state_aid_compliance_flag,gov_rrf_audit_findings_count,gov_rrf_data_source,gov_rrf_data_extract_date
2026,FI,C08,FI_C08_M100,FI_C08_M100_MS20,FI_C08_M100_T20,2026-01-31,IN_PROGRESS,,294139809.19,41527480919.76,50.73,26.57,1,1,0,1,5,NATIONAL_RRF_REPORT,2025-05-20
2020,IE,C09,IE_C09_M101,IE_C09_M101_MS21,IE_C09_M101_T21,2022-09-08,COMPLETED,2022-09-17,2429524528.78,34687934730.71,54.07,30.6,0,1,1,1,55,RRF_SCOREBOARD,2025-08-07
2021,MT,C10,MT_C10_M102,MT_C10_M102_MS22,MT_C10_M102_T22,2026-02-10,DELAYED,,534284110.27,15480210394.18,43.43,29.52,1,1,0,0,16,ECA_AUDIT_SUMMARY,2024-05-05
2022,SK,C11,SK_C11_M103,SK_C11_M103_MS23,SK_C11_M103_T23,2024-07-30,CANCELLED,,288531053.88,22431210713.47,20.59,21.87,1,1,0,0,52,COMMISSION_IMPLEMENTING_DECISIONS,2026-02-16
2023,BE,C12,BE_C12_M104,BE_C12_M104_MS24,BE_C12_M104_T24,2023-03-14,REVISED,2020-11-17,924789975.43,21763378489.43,48.52,18.97,1,1,1,1,0,NATIONAL_RRF_REPORT,2024-03-30
2024,DK,C13,DK_C13_M105,DK_C13_M105_MS25,DK_C13_M105_T25,2024-03-15,PLANNED,,744808395.17,16442693133.16,53.27,33.12,0,1,1,1,52,RRF_SCOREBOARD,2025-08-27
2025,GR,C14,GR_C14_M106,GR_C14_M106_MS26,GR_C14_M106_T26,2025-06-17,IN_PROGRESS,,13538436.1,18164834230.97,51.9,21.92,0,0,0,0,41,ECA_AUDIT_SUMMARY,2025-05-26
2026,LT,C15,LT_C15_M107,LT_C15_M107_MS27,LT_C15_M107_T27,2026-02-07,COMPLETED,2026-02-15,335201670.36,4878649485.02,41.84,24.99,0,1,1,0,47,COMMISSION_IMPLEMENTING_DECISIONS,2024-12-13
2020,PT,C16,PT_C16_M108,PT_C16_M108_MS28,PT_C16_M108_T28,2025-08-29,DELAYED,,1039479050.7,36406174624.48,36.2,23.98,1,0,0,0,25,NATIONAL_RRF_REPORT,2026-01-29
2021,SE,C17,SE_C17_M109,SE_C17_M109_MS29,SE_C17_M109_T29,2022-08-31,CANCELLED,,30132407.57,3759869168.75,37.39,24.54,1,1,1,1,38,RRF_SCOREBOARD,2024-06-28
2022,CY,C18,CY_C18_M110,CY_C18_M110_MS30,CY_C18_M110_T30,2022-02-13,REVISED,2020-07-11,507246954.41,14110267356.52,24.52,28.43,1,1,1,1,1,ECA_AUDIT_SUMMARY,2026-02-03
2023,FR,C01,FR_C01_M111,FR_C01_M111_MS31,FR_C01_M111_T01,2023-10-29,PLANNED,2025-10-21,980763156.47,27253980217.6,44.03,36.63,0,1,1,1,41,COMMISSION_IMPLEMENTING_DECISIONS,2024-09-19
2024,IT,C02,IT_C02_M112,IT_C02_M112_MS32,IT_C02_M112_T02,2024-04-20,IN_PROGRESS,2022-03-20,563437498.42,17999417678.16,51.77,22.94,0,1,1,0,24,NATIONAL_RRF_REPORT,2025-06-06
2025,NL,C03,NL_C03_M113,NL_C03_M113_MS33,NL_C03_M113_T03,2025-04-20,COMPLETED,2025-09-23,739942903.84,13032796654.72,25.32,21.51,0,1,1,1,39,RRF_SCOREBOARD,2024-01-28
2026,SI,C04,SI_C04_M114,SI_C04_M114_MS34,SI_C04_M114_T04,2026-01-17,DELAYED,,349606695.07,10391289496.3,31.82,34.95,0,1,0,1,55,ECA_AUDIT_SUMMARY,2024-06-11
2020,BG,C05,BG_C05_M115,BG_C05_M115_MS35,BG_C05_M115_T05,2025-04-30,CANCELLED,,33647435.87,19610281776.93,29.96,37.44,0,1,0,1,48,COMMISSION_IMPLEMENTING_DECISIONS,2024-03-23
2021,EE,C06,EE_C06_M116,EE_C06_M116_MS36,EE_C06_M116_T06,2021-12-07,REVISED,,228478205.53,22491453762.37,20.74,22.83,1,1,1,1,45,NATIONAL_RRF_REPORT,2025-04-13
2022,HU,C07,HU_C07_M117,HU_C07_M117_MS37,HU_C07_M117_T07,2024-01-23,PLANNED,2025-02-26,205584163.92,22130383683.12,38.07,20.68,0,1,1,1,43,RRF_SCOREBOARD,2025-04-17
2023,LU,C08,LU_C08_M118,LU_C08_M118_MS38,LU_C08_M118_T08,2023-10-03,IN_PROGRESS,2020-11-07,177178033.83,4147263328.85,34.69,29.15,1,1,1,1,20,ECA_AUDIT_SUMMARY,2025-04-02
2024,RO,C09,RO_C09_M119,RO_C09_M119_MS39,RO_C09_M119_T09,2025-03-07,COMPLETED,2025-05-17,1022079079.96,40003432943.59,22.94,29.97,1,1,1,0,29,COMMISSION_IMPLEMENTING_DECISIONS,2025-07-26
2025,AT,C10,AT_C10_M120,AT_C10_M120_MS40,AT_C10_M120_T10,2025-03-12,DELAYED,2024-10-25,354261575.78,16994019483.83,54.59,21.35,1,1,1,0,5,NATIONAL_RRF_REPORT,2025-05-26
2026,CZ,C11,CZ_C11_M121,CZ_C11_M121_MS01,CZ_C11_M121_T11,2026-01-04,CANCELLED,,632908771.15,24228777219.46,24.32,15.06,1,1,1,1,12,RRF_SCOREBOARD,2024-11-30
2020,DE,C12,DE_C12_M122,DE_C12_M122_MS02,DE_C12_M122_T12,2022-05-27,REVISED,,692610870.84,28793312080.51,34.73,15.42,0,0,0,1,55,ECA_AUDIT_SUMMARY,2026-01-31
2021,LV,C13,LV_C13_M123,LV_C13_M123_MS03,LV_C13_M123_T13,2021-11-22,PLANNED,2023-08-14,940801867.49,24037477530.24,34.14,25.44,1,1,0,1,48,COMMISSION_IMPLEMENTING_DECISIONS,2025-05-15
2022,PL,C14,PL_C14_M124,PL_C14_M124_MS04,PL_C14_M124_T14,2024-10-24,IN_PROGRESS,2024-03-02,257385611.96,7782466273.77,38.61,23.98,1,1,0,1,36,NATIONAL_RRF_REPORT,2026-01-25
2023,ES,C15,ES_C15_M125,ES_C15_M125_MS05,ES_C15_M125_T15,2023-02-19,COMPLETED,2025-12-17,110294806.36,8698080920.68,46.87,17.82,1,1,1,1,24,RRF_SCOREBOARD,2024-02-28
2024,HR,C16,HR_C16_M126,HR_C16_M126_MS06,HR_C16_M126_T16,2025-05-11,DELAYED,,335194096.98,18648424806.2,32.09,38.55,0,1,0,0,51,ECA_AUDIT_SUMMARY,2025-06-19
2025,FI,C17,FI_C17_M127,FI_C17_M127_MS07,FI_C17_M127_T17,2025-12-29,CANCELLED,,1546192141.36,33638820715.29,45.48,34.33,0,1,0,1,54,COMMISSION_IMPLEMENTING_DECISIONS,2025-07-31
2026,IE,C18,IE_C18_M128,IE_C18_M128_MS08,IE_C18_M128_T18,2026-01-02,REVISED,,14570428.28,2352136845.41,47.6,26.05,1,1,0,0,41,NATIONAL_RRF_REPORT,2024-04-06
2020,MT,C01,MT_C01_M129,MT_C01_M129_MS09,MT_C01_M129_T19,2020-04-14,PLANNED,2024-08-10,115097523.38,21446160390.38,28.53,22.62,1,1,1,1,41,RRF_SCOREBOARD,2024-06-10
2021,SK,C02,SK_C02_M130,SK_C02_M130_MS10,SK_C02_M130_T20,2026-02-15,IN_PROGRESS,2026-01-18,664852869.7,23801471867.08,22.88,29.83,1,1,1,0,40,ECA_AUDIT_SUMMARY,2025-08-26
2022,BE,C03,BE_C03_M131,BE_C03_M131_MS11,BE_C03_M131_T21,2024-08-20,COMPLETED,,282145747.22,17405684307.79,51.14,22.57,1,1,0,1,21,COMMISSION_IMPLEMENTING_DECISIONS,2025-08-08
2023,DK,C04,DK_C04_M132,DK_C04_M132_MS12,DK_C04_M132_T22,2025-12-22,DELAYED,,42545544.57,2126844798.09,51.21,31.48,1,1,1,0,0,NATIONAL_RRF_REPORT,2024-11-13
2024,GR,C05,GR_C05_M133,GR_C05_M133_MS13,GR_C05_M133_T23,2024-04-24,CANCELLED,,507773168.06,12016540582.17,42.73,26.35,1,1,1,0,53,RRF_SCOREBOARD,2024-03-15
2025,LT,C06,LT_C06_M134,LT_C06_M134_MS14,LT_C06_M134_T24,2025-04-05,REVISED,,1263738189.6,36990467661.48,46.54,33.72,0,1,1,0,46,ECA_AUDIT_SUMMARY,2025-07-10
2026,PT,C07,PT_C07_M135,PT_C07_M135_MS15,PT_C07_M135_T25,2026-01-17,PLANNED,2020-08-12,38513633.36,3315475365.63,48.74,28.26,1,1,0,1,53,COMMISSION_IMPLEMENTING_DECISIONS,2024-02-07
2020,SE,C08,SE_C08_M136,SE_C08_M136_MS16,SE_C08_M136_T26,2020-03-05,IN_PROGRESS,,93269491.94,2887167246.32,27.55,20.52,1,0,0,1,32,NATIONAL_RRF_REPORT,2024-06-08
2021,CY,C09,CY_C09_M137,CY_C09_M137_MS17,CY_C09_M137_T27,2025-06-10,COMPLETED,2025-09-02,3371233822.34,29029573330.65,47.53,37.51,1,1,1,1,0,RRF_SCOREBOARD,2025-10-10
2022,FR,C10,FR_C10_M138,FR_C10_M138_MS18,FR_C10_M138_T28,2024-07-15,DELAYED,2022-11-23,93020956.01,26893037729.77,24.65,24.78,1,1,0,1,48,ECA_AUDIT_SUMMARY,2025-11-23
2023,IT,C11,IT_C11_M139,IT_C11_M139_MS19,IT_C11_M139_T29,2023-01-22,CANCELLED,,189303621.93,10468409510.14,28.11,32.67,1,1,1,1,11,COMMISSION_IMPLEMENTING_DECISIONS,2025-09-20
2024,NL,C12,NL_C12_M140,NL_C12_M140_MS20,NL_C12_M140_T30,2024-05-14,REVISED,,839418104.89,47676849351.25,20.55,15.38,0,0,0,0,14,NATIONAL_RRF_REPORT,2025-03-27
2025,SI,C13,SI_C13_M141,SI_C13_M141_MS21,SI_C13_M141_T01,2025-07-22,PLANNED,2023-05-06,644204679.13,19250788955.14,20.08,28.06,0,1,0,0,23,RRF_SCOREBOARD,2024-04-12
2026,BG,C14,BG_C14_M142,BG_C14_M142_MS22,BG_C14_M142_T02,2026-01-07,IN_PROGRESS,2023-06-20,209555881.63,22217016044.22,25.78,25.16,0,1,0,0,18,ECA_AUDIT_SUMMARY,2025-04-08
2020,EE,C15,EE_C15_M143,EE_C15_M143_MS23,EE_C15_M143_T03,2025-07-06,COMPLETED,2025-09-22,142974097.01,22488748144.03,35.88,37.34,1,1,1,1,19,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-20
2021,HU,C16,HU_C16_M144,HU_C16_M144_MS24,HU_C16_M144_T04,2023-04-21,DELAYED,2020-07-03,620628802.68,17206910193.24,54.35,20.59,0,1,1,1,33,NATIONAL_RRF_REPORT,2025-09-02
2022,LU,C17,LU_C17_M145,LU_C17_M145_MS25,LU_C17_M145_T05,2026-01-04,CANCELLED,2022-09-16,1192009590.94,34458314001.52,21.83,26.84,1,1,1,0,28,RRF_SCOREBOARD,2024-05-30
2023,RO,C18,RO_C18_M146,RO_C18_M146_MS26,RO_C18_M146_T06,2024-02-08,REVISED,2020-01-24,64112325.56,20180061992.92,33.79,18.89,1,1,1,0,47,ECA_AUDIT_SUMMARY,2025-01-19
2024,AT,C01,AT_C01_M147,AT_C01_M147_MS27,AT_C01_M147_T07,2024-05-26,PLANNED,2023-05-06,1069928418.01,40278195547.15,44.76,31.68,0,1,1,0,35,COMMISSION_IMPLEMENTING_DECISIONS,2025-06-08
2025,CZ,C02,CZ_C02_M148,CZ_C02_M148_MS28,CZ_C02_M148_T08,2025-03-02,IN_PROGRESS,2020-09-16,235604917.2,10879730337.79,51.33,38.66,0,1,0,1,37,NATIONAL_RRF_REPORT,2025-05-27
2026,DE,C03,DE_C03_M149,DE_C03_M149_MS29,DE_C03_M149_T09,2026-02-24,COMPLETED,2026-02-24,4359081723.5,46587769619.2,35.45,16.49,1,1,0,1,37,RRF_SCOREBOARD,2024-02-20
2020,LV,C04,LV_C04_M150,LV_C04_M150_MS30,LV_C04_M150_T10,2022-04-10,DELAYED,,81295551.34,12115417970.27,32.87,23.23,0,1,1,1,41,ECA_AUDIT_SUMMARY,2025-07-24
2021,PL,C05,PL_C05_M151,PL_C05_M151_MS31,PL_C05_M151_T11,2023-12-05,CANCELLED,,540142251.44,15693890405.25,47.85,17.51,0,1,1,1,47,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-16
2022,ES,C06,ES_C06_M152,ES_C06_M152_MS32,ES_C06_M152_T12,2025-11-24,REVISED,,294152058.52,14153882191.88,32.01,31.69,1,1,1,0,14,NATIONAL_RRF_REPORT,2024-09-17
2023,HR,C07,HR_C07_M153,HR_C07_M153_MS33,HR_C07_M153_T13,2023-04-22,PLANNED,2024-03-02,576271394.8,40730409843.63,53.5,35.83,0,1,0,0,1,RRF_SCOREBOARD,2024-05-18
2024,FI,C08,FI_C08_M154,FI_C08_M154_MS34,FI_C08_M154_T14,2025-03-27,IN_PROGRESS,2023-09-10,119746505.54,4698751503.14,34.11,26.55,0,1,1,1,11,ECA_AUDIT_SUMMARY,2025-07-19
2025,IE,C09,IE_C09_M155,IE_C09_M155_MS35,IE_C09_M155_T15,2025-08-20,COMPLETED,2025-10-15,397296800.71,21932111883.91,48.02,36.56,1,1,1,1,20,COMMISSION_IMPLEMENTING_DECISIONS,2025-04-23
2026,MT,C10,MT_C10_M156,MT_C10_M156_MS36,MT_C10_M156_T16,2026-02-13,DELAYED,2025-10-21,614710278.59,26851489750.81,21.47,17.35,1,1,1,0,0,NATIONAL_RRF_REPORT,2026-02-14
2020,SK,C11,SK_C11_M157,SK_C11_M157_MS37,SK_C11_M157_T17,2024-12-02,CANCELLED,2025-06-19,29481959.13,8238233156.38,21.41,16.69,1,1,1,1,16,RRF_SCOREBOARD,2025-11-14
2021,BE,C12,BE_C12_M158,BE_C12_M158_MS38,BE_C12_M158_T18,2024-08-27,REVISED,2021-04-10,422054539.94,41220039411.11,44.34,16.7,1,1,0,1,13,ECA_AUDIT_SUMMARY,2026-02-14
2022,DK,C13,DK_C13_M159,DK_C13_M159_MS39,DK_C13_M159_T19,2022-09-30,PLANNED,2020-11-22,91638920.63,3295688674.41,53.82,34.44,0,1,0,1,11,COMMISSION_IMPLEMENTING_DECISIONS,2025-01-03
2023,GR,C14,GR_C14_M160,GR_C14_M160_MS40,GR_C14_M160_T20,2023-09-02,IN_PROGRESS,,451110613.36,16633853610.88,33.06,17.97,0,0,0,1,17,NATIONAL_RRF_REPORT,2025-05-18
2024,LT,C15,LT_C15_M161,LT_C15_M161_MS01,LT_C15_M161_T21,2025-01-06,COMPLETED,2025-03-19,2235402378.58,26278480794.31,28.17,16.32,1,1,1,0,16,RRF_SCOREBOARD,2024-08-20
2025,PT,C16,PT_C16_M162,PT_C16_M162_MS02,PT_C16_M162_T22,2025-06-24,DELAYED,2020-05-11,626125500.91,21850270909.77,42.52,34.85,0,1,1,1,54,ECA_AUDIT_SUMMARY,2025-04-04
2026,SE,C17,SE_C17_M163,SE_C17_M163_MS03,SE_C17_M163_T23,2026-01-01,CANCELLED,,867369798.83,37065706568.8,54.93,19.91,1,1,0,1,44,COMMISSION_IMPLEMENTING_DECISIONS,2025-08-21
2020,CY,C18,CY_C18_M164,CY_C18_M164_MS04,CY_C18_M164_T24,2025-03-05,REVISED,2023-11-18,48427058.32,19953857456.67,32.46,29.32,1,1,1,1,35,NATIONAL_RRF_REPORT,2025-03-17
2021,FR,C01,FR_C01_M165,FR_C01_M165_MS05,FR_C01_M165_T25,2024-02-02,PLANNED,,153561252.58,3300787536.17,39.06,25.53,1,1,1,0,53,RRF_SCOREBOARD,2024-02-08
2022,IT,C02,IT_C02_M166,IT_C02_M166_MS06,IT_C02_M166_T26,2025-12-01,IN_PROGRESS,2022-10-14,1008226273.74,27208327554.18,25.01,18.17,0,1,0,0,20,ECA_AUDIT_SUMMARY,2024-03-10
2023,NL,C03,NL_C03_M167,NL_C03_M167_MS07,NL_C03_M167_T27,2025-07-31,COMPLETED,2025-08-18,360967866.29,23305156717.72,45.95,30.13,0,1,0,1,21,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-10
2024,SI,C04,SI_C04_M168,SI_C04_M168_MS08,SI_C04_M168_T28,2026-01-04,DELAYED,,1063597778.59,22663380854.3,48.55,15.69,1,1,1,0,11,NATIONAL_RRF_REPORT,2025-04-06
2025,BG,C05,BG_C05_M169,BG_C05_M169_MS09,BG_C05_M169_T29,2025-04-26,CANCELLED,2024-08-23,34316257.06,28196012555.16,22.86,36.93,1,0,0,1,50,RRF_SCOREBOARD,2025-08-16
2026,EE,C06,EE_C06_M170,EE_C06_M170_MS10,EE_C06_M170_T30,2026-02-03,REVISED,,1105704017.95,32930167116.25,53.61,34.4,1,0,0,0,25,ECA_AUDIT_SUMMARY,2025-02-09
2020,HU,C07,HU_C07_M171,HU_C07_M171_MS11,HU_C07_M171_T01,2021-08-20,PLANNED,,124430190.61,5425780332.69,23.47,39.2,1,1,1,1,38,COMMISSION_IMPLEMENTING_DECISIONS,2026-01-29
2021,LU,C08,LU_C08_M172,LU_C08_M172_MS12,LU_C08_M172_T02,2026-02-23,IN_PROGRESS,2025-03-21,503905559.85,12439928802.66,21.17,21.0,1,1,1,1,6,NATIONAL_RRF_REPORT,2025-02-22
2022,RO,C09,RO_C09_M173,RO_C09_M173_MS13,RO_C09_M173_T03,2022-09-30,COMPLETED,2023-07-23,450069566.39,17801265126.07,21.41,32.27,1,1,1,0,7,RRF_SCOREBOARD,2024-10-26
2023,AT,C10,AT_C10_M174,AT_C10_M174_MS14,AT_C10_M174_T04,2023-01-11,DELAYED,,224487185.11,23689566682.69,48.42,28.43,1,0,1,1,45,ECA_AUDIT_SUMMARY,2024-05-01
2024,CZ,C11,CZ_C11_M175,CZ_C11_M175_MS15,CZ_C11_M175_T05,2024-08-29,CANCELLED,,1736357380.53,36597015822.35,31.41,20.29,0,1,1,1,14,COMMISSION_IMPLEMENTING_DECISIONS,2025-07-18
2025,DE,C12,DE_C12_M176,DE_C12_M176_MS16,DE_C12_M176_T06,2025-04-13,REVISED,,366708671.01,25855537014.28,21.57,35.33,1,1,1,1,14,NATIONAL_RRF_REPORT,2024-07-06
2026,LV,C13,LV_C13_M177,LV_C13_M177_MS17,LV_C13_M177_T07,2026-02-25,PLANNED,,141416835.94,3491647237.58,43.97,29.13,0,1,1,0,13,RRF_SCOREBOARD,2024-05-09
2020,PL,C14,PL_C14_M178,PL_C14_M178_MS18,PL_C14_M178_T08,2024-05-03,IN_PROGRESS,,344940815.62,19852085549.41,47.26,21.03,0,1,0,1,14,ECA_AUDIT_SUMMARY,2025-08-13
2021,ES,C15,ES_C15_M179,ES_C15_M179_MS19,ES_C15_M179_T09,2022-08-08,COMPLETED,2023-09-01,1261848601.54,11381329333.71,25.59,15.62,1,1,0,0,12,COMMISSION_IMPLEMENTING_DECISIONS,2024-07-10
2022,HR,C16,HR_C16_M180,HR_C16_M180_MS20,HR_C16_M180_T10,2024-07-01,DELAYED,,289305656.09,16508867293.48,43.7,31.93,0,1,1,0,49,NATIONAL_RRF_REPORT,2025-01-03
2023,FI,C17,FI_C17_M181,FI_C17_M181_MS21,FI_C17_M181_T11,2024-09-26,CANCELLED,2025-12-04,705383274.79,26789741047.09,51.4,31.22,1,1,0,0,54,RRF_SCOREBOARD,2024-11-26
2024,IE,C18,IE_C18_M182,IE_C18_M182_MS22,IE_C18_M182_T12,2024-06-19,REVISED,2023-11-27,580856054.65,46456047769.04,38.41,35.21,1,1,1,1,47,ECA_AUDIT_SUMMARY,2026-02-07
2025,MT,C01,MT_C01_M183,MT_C01_M183_MS23,MT_C01_M183_T13,2025-06-26,PLANNED,2020-07-12,58135219.19,2531351232.97,27.43,33.97,1,1,0,1,26,COMMISSION_IMPLEMENTING_DECISIONS,2024-08-08
2026,SK,C02,SK_C02_M184,SK_C02_M184_MS24,SK_C02_M184_T14,2026-01-08,IN_PROGRESS,2021-05-03,1152158770.59,48601265973.43,37.66,39.21,1,1,0,0,51,NATIONAL_RRF_REPORT,2024-03-17
2020,BE,C03,BE_C03_M185,BE_C03_M185_MS25,BE_C03_M185_T15,2025-11-17,COMPLETED,2023-09-29,1096185037.09,9780498060.1,29.72,26.25,1,1,0,1,36,RRF_SCOREBOARD,2025-04-08
2021,DK,C04,DK_C04_M186,DK_C04_M186_MS26,DK_C04_M186_T16,2025-03-12,DELAYED,2023-12-03,202468335.23,7847082268.49,33.51,31.53,1,1,1,1,35,ECA_AUDIT_SUMMARY,2024-04-03
2022,GR,C05,GR_C05_M187,GR_C05_M187_MS27,GR_C05_M187_T17,2023-03-29,CANCELLED,,157496370.34,4472126201.67,53.92,33.29,1,0,0,0,27,COMMISSION_IMPLEMENTING_DECISIONS,2025-02-04
2023,LT,C06,LT_C06_M188,LT_C06_M188_MS28,LT_C06_M188_T18,2023-07-21,REVISED,2021-07-16,694594803.85,18012200063.07,53.19,30.89,1,0,0,1,42,NATIONAL_RRF_REPORT,2025-07-21
2024,PT,C07,PT_C07_M189,PT_C07_M189_MS29,PT_C07_M189_T19,2025-11-09,PLANNED,2023-12-10,745479555.33,16106626059.0,39.12,33.33,0,0,0,0,9,RRF_SCOREBOARD,2024-07-31
2025,SE,C08,SE_C08_M190,SE_C08_M190_MS30,SE_C08_M190_T20,2025-03-07,IN_PROGRESS,2022-02-20,224251503.87,16893998553.98,29.71,16.17,1,1,1,0,11,ECA_AUDIT_SUMMARY,2025-11-07
2026,CY,C09,CY_C09_M191,CY_C09_M191_MS31,CY_C09_M191_T21,2026-02-11,COMPLETED,2026-02-25,834433128.17,27370055236.83,51.83,31.38,0,1,1,1,55,COMMISSION_IMPLEMENTING_DECISIONS,2024-10-20
2020,FR,C10,FR_C10_M192,FR_C10_M192_MS32,FR_C10_M192_T22,2022-09-26,DELAYED,2022-08-20,43414264.5,1740723852.89,37.53,15.82,0,1,1,1,63,NATIONAL_RRF_REPORT,2024-12-09
2021,IT,C11,IT_C11_M193,IT_C11_M193_MS33,IT_C11_M193_T23,2021-02-04,CANCELLED,2022-05-01,43074296.19,14235737726.41,36.43,34.65,1,1,1,0,20,RRF_SCOREBOARD,2025-05-19
2022,NL,C12,NL_C12_M194,NL_C12_M194_MS34,NL_C12_M194_T24,2024-10-14,REVISED,,619052238.01,21930904760.54,31.38,20.68,1,1,1,1,0,ECA_AUDIT_SUMMARY,2025-10-12
2023,SI,C13,SI_C13_M195,SI_C13_M195_MS35,SI_C13_M195_T25,2024-01-21,PLANNED,,1507651942.89,34119262296.81,39.31,39.47,1,1,1,1,20,COMMISSION_IMPLEMENTING_DECISIONS,2024-06-18
2024,BG,C14,BG_C14_M196,BG_C14_M196_MS36,BG_C14_M196_T26,2024-01-02,IN_PROGRESS,2022-07-21,686879980.99,24327984652.8,45.08,24.21,0,1,0,1,31,NATIONAL_RRF_REPORT,2024-09-11
2025,EE,C15,EE_C15_M197,EE_C15_M197_MS37,EE_C15_M197_T27,2025-06-28,COMPLETED,2022-02-08,441752596.38,35747681824.64,39.26,20.14,1,0,0,0,31,RRF_SCOREBOARD,2025-02-14
2026,HU,C16,HU_C16_M198,HU_C16_M198_MS38,HU_C16_M198_T28,2026-01-13,DELAYED,2024-03-21,1897437.35,2054571338.32,32.75,25.96,1,1,0,1,41,ECA_AUDIT_SUMMARY,2025-07-14
2020,LU,C17,LU_C17_M199,LU_C17_M199_MS39,LU_C17_M199_T29,2020-01-01,CANCELLED,2024-03-08,65631771.08,1623121482.26,34.93,15.54,1,0,0,0,13,COMMISSION_IMPLEMENTING_DECISIONS,2024-04-24
2021,RO,C18,RO_C18_M200,RO_C18_M200_MS40,RO_C18_M200_T30,2025-06-14,REVISED,2022-08-16,1519975488.72,36825741932.32,33.39,30.84,1,1,1,1,50,NATIONAL_RRF_REPORT,2025-07-01
2022,AT,C01,AT_C01_M201,AT_C01_M201_MS01,AT_C01_M201_T01,2022-02-04,PLANNED,,162057590.96,41164372942.01,37.79,38.28,1,1,1,1,32,RRF_SCOREBOARD,2025-07-01
2023,CZ,C02,CZ_C02_M202,CZ_C02_M202_MS02,CZ_C02_M202_T02,2023-05-26,IN_PROGRESS,2022-07-09,204998490.13,29790458119.33,26.95,21.92,1,1,1,0,55,ECA_AUDIT_SUMMARY,2024-06-12
2024,DE,C03,DE_C03_M203,DE_C03_M203_MS03,DE_C03_M203_T03,2024-06-03,COMPLETED,2025-06-27,579826695.16,7690018494.51,27.51,37.44,1,1,1,0,24,COMMISSION_IMPLEMENTING_DECISIONS,2024-03-30
2025,LV,C04,LV_C04_M204,LV_C04_M204_MS04,LV_C04_M204_T04,2026-01-25,DELAYED,2023-12-22,23738167.39,5209292043.14,48.15,17.01,0,0,0,0,21,NATIONAL_RRF_REPORT,2024-07-26
2026,PL,C05,PL_C05_M205,PL_C05_M205_MS05,PL_C05_M205_T05,2026-02-13,CANCELLED,2025-10-20,116744754.62,16191734293.83,23.49,22.16,0,1,1,0,31,RRF_SCOREBOARD,2026-02-21
2020,ES,C06,ES_C06_M206,ES_C06_M206_MS06,ES_C06_M206_T06,2021-02-25,REVISED,2022-05-03,205798836.74,13020421503.92,41.38,24.84,0,0,0,1,24,ECA_AUDIT_SUMMARY,2024-08-18
2021,HR,C07,HR_C07_M207,HR_C07_M207_MS07,HR_C07_M207_T07,2021-07-27,PLANNED,,727468747.8,32009838916.79,27.16,36.63,1,1,0,1,32,COMMISSION_IMPLEMENTING_DECISIONS,2024-11-17
2022,FI,C08,FI_C08_M208,FI_C08_M208_MS08,FI_C08_M208_T08,2024-04-01,IN_PROGRESS,2024-08-26,1145612876.83,34613084171.85,21.3,20.25,0,1,1,1,26,NATIONAL_RRF_REPORT,2024-09-11
2023,IE,C09,IE_C09_M209,IE_C09_M209_MS09,IE_C09_M209_T09,2025-02-18,COMPLETED,2025-12-31,2056861623.86,28912642025.62,22.16,32.11,0,0,0,0,25,RRF_SCOREBOARD,2025-01-16
2024,MT,C10,MT_C10_M210,MT_C10_M210_MS10,MT_C10_M210_T10,2024-08-21,DELAYED,2024-01-31,489632037.07,20653805004.7,20.11,15.09,1,1,0,1,35,ECA_AUDIT_SUMMARY,2024-03-03
2025,SK,C11,SK_C11_M211,SK_C11_M211_MS11,SK_C11_M211_T11,2025-01-07,CANCELLED,,483746421.02,12235872069.15,38.95,30.41,1,1,1,0,12,COMMISSION_IMPLEMENTING_DECISIONS,2025-10-18
2026,BE,C12,BE_C12_M212,BE_C12_M212_MS12,BE_C12_M212_T12,2026-02-22,REVISED,2020-02-11,1324689528.54,39530206889.93,26.7,31.07,1,1,1,0,31,NATIONAL_RRF_REPORT,2025-03-21
2020,DK,C13,DK_C13_M213,DK_C13_M213_MS13,DK_C13_M213_T13,2020-07-26,PLANNED,,638395890.13,44703281446.01,51.97,36.47,1,0,1,0,4,RRF_SCOREBOARD,2026-02-03
2021,GR,C14,GR_C14_M214,GR_C14_M214_MS14,GR_C14_M214_T14,2024-06-04,IN_PROGRESS,2023-05-24,1304385196.23,41873864537.71,28.49,31.59,1,1,1,1,38,ECA_AUDIT_SUMMARY,2024-03-18
2022,LT,C15,LT_C15_M215,LT_C15_M215_MS15,LT_C15_M215_T15,2023-05-14,COMPLETED,2024-08-24,1069557812.81,10236155642.12,41.72,31.56,0,0,0,0,10,COMMISSION_IMPLEMENTING_DECISIONS,2024-06-06
