ph_mental_reference_year,ph_mental_country_iso2,ph_mental_region_nuts_code,ph_mental_age_group,ph_mental_sex,ph_mental_depressive_symptoms_rate_pct,ph_mental_anxiety_rate_pct,ph_mental_wellbeing_index_score,ph_mental_self_harm_rate_per_100k,ph_mental_suicide_rate_per_100k,ph_mental_psych_services_access_rate_pct,ph_mental_waiting_time_days_median,ph_mental_antidepressant_use_did,ph_mental_sick_leave_due_to_mental_health_days,ph_mental_work_stress_index,ph_mental_loneliness_rate_pct,ph_mental_mental_health_strategy_flag,ph_mental_ehis_table_code,ph_mental_survey_weight,ph_mental_data_extract_date
2011,HR,ES388,55_64,F,22.99,10.95,52.96,21.96,5.99,48.55,30.04,103.73,5411,36.72,10.36,0,HLTH_EHIS_MH2,2.9824,2026-02-17
2012,DE,LT68,25_34,M,5.22,13.6,62.03,51.97,5.72,44.92,132.66,109.18,1636,22.19,20.68,0,HLTH_EHIS_MH3,0.873,2025-10-20
2013,LU,SI51,65_74,X,15.27,21.9,54.34,61.08,10.38,30.14,143.45,32.77,7586,30.38,25.99,0,HLTH_EHIS_MH4,4.3846,2025-08-01
2014,SI,DK413,35_44,F,16.04,24.56,37.9,16.95,14.38,55.48,105.42,96.04,7115,74.33,19.63,1,HLTH_EHIS_MH1,2.8504,2024-04-04
2015,CY,RO680,75_PLUS,M,16.98,24.96,49.8,32.38,27.02,82.33,87.19,43.96,7686,72.0,6.91,1,HLTH_EHIS_MH2,3.7374,2025-06-17
2016,GR,LT66,45_54,X,6.66,20.91,48.49,52.37,13.46,81.74,13.25,61.56,3587,37.67,14.52,1,HLTH_EHIS_MH3,4.3628,2025-02-20
2017,MT,IE10,15_24,F,15.57,30.03,41.37,109.59,14.09,41.05,100.79,137.68,5611,31.13,33.73,1,HLTH_EHIS_MH4,0.8912,2025-12-16
2018,ES,NL663,55_64,M,8.67,23.25,35.27,24.55,5.44,54.58,133.69,105.27,3595,52.17,31.55,1,HLTH_EHIS_MH1,3.1143,2024-05-07
2019,CZ,BG608,25_34,X,15.18,22.98,38.62,23.24,3.14,73.05,67.55,39.43,15290,48.9,16.81,1,HLTH_EHIS_MH2,4.1698,2025-01-09
2020,HU,SE63,65_74,F,27.25,17.31,51.9,62.55,6.41,41.66,38.3,75.11,18042,64.5,49.95,0,HLTH_EHIS_MH3,2.0833,2024-10-27
2021,NL,LT85,35_44,M,23.56,14.75,31.91,10.56,18.53,45.71,19.23,17.41,19781,68.69,14.14,1,HLTH_EHIS_MH4,3.438,2025-12-17
2022,SE,BG322,75_PLUS,X,18.52,7.66,58.95,9.06,18.29,26.21,119.18,134.33,13541,64.28,40.12,0,HLTH_EHIS_MH1,3.7212,2024-12-03
2023,DK,LU2,45_54,F,5.61,17.98,45.15,18.03,5.52,32.85,59.18,103.81,13185,38.41,27.69,1,HLTH_EHIS_MH2,2.1946,2024-06-29
2024,IE,MT496,15_24,M,15.94,10.71,51.76,99.5,15.82,53.48,48.99,59.57,9634,59.53,22.96,1,HLTH_EHIS_MH3,2.4424,2025-05-21
2025,PL,PL117,55_64,X,13.5,24.76,42.43,55.86,8.98,28.55,109.95,114.25,4826,66.83,25.12,1,HLTH_EHIS_MH4,0.4523,2025-12-25
2006,AT,FR308,25_34,F,23.72,17.06,25.84,17.77,8.57,29.15,10.43,75.16,13077,68.34,35.72,0,HLTH_EHIS_MH1,2.8103,2025-01-09
2007,EE,GR355,65_74,M,9.78,23.81,50.95,50.1,14.55,49.68,39.1,188.68,10669,27.83,16.47,0,HLTH_EHIS_MH2,3.2533,2025-07-07
2008,IT,ES674,35_44,X,5.37,18.35,58.52,9.25,13.27,56.17,52.9,73.2,8239,37.3,20.55,0,HLTH_EHIS_MH3,3.9335,2024-03-04
2009,PT,FR431,75_PLUS,F,6.31,12.77,43.81,8.84,17.52,51.96,53.4,120.93,1990,32.14,37.39,0,HLTH_EHIS_MH4,3.9978,2025-10-10
2010,BE,SK21,45_54,M,13.87,8.15,50.96,45.0,10.29,64.31,29.57,72.44,9967,82.24,27.05,0,HLTH_EHIS_MH1,4.125,2024-12-08
2011,FI,SI475,15_24,X,20.74,14.99,50.82,50.53,14.75,41.22,134.0,41.01,17094,42.72,28.61,1,HLTH_EHIS_MH2,3.2991,2024-02-14
2012,LV,SI64,55_64,F,7.76,17.8,51.25,24.16,7.72,60.67,61.41,55.96,4486,39.87,17.66,0,HLTH_EHIS_MH3,2.9297,2026-01-03
2013,RO,NL387,25_34,M,16.89,25.44,63.71,94.03,4.75,64.08,29.93,100.09,16996,82.27,27.03,0,HLTH_EHIS_MH4,1.6455,2024-07-05
2014,BG,SI9,65_74,X,20.07,20.69,45.13,45.67,8.72,28.0,140.07,33.26,714,21.01,26.4,1,HLTH_EHIS_MH1,2.3787,2024-05-15
2015,FR,BE659,35_44,F,18.78,17.37,65.62,71.14,16.19,35.22,94.4,72.83,16851,29.94,17.46,1,HLTH_EHIS_MH2,0.5497,2024-07-04
2016,LT,ES369,75_PLUS,M,21.03,22.63,46.0,55.97,16.62,30.42,158.84,183.92,4269,56.72,15.28,1,HLTH_EHIS_MH3,0.3557,2024-10-18
2017,SK,HU25,45_54,X,12.38,11.73,48.21,55.12,4.24,76.92,60.35,23.25,14736,49.36,29.61,1,HLTH_EHIS_MH4,4.6968,2024-01-12
2018,HR,NL291,15_24,F,19.18,7.74,55.14,115.14,8.17,44.28,72.68,70.09,18085,44.19,9.49,1,HLTH_EHIS_MH1,3.6349,2025-09-14
2019,DE,DK89,55_64,M,5.27,13.66,65.52,82.91,16.53,50.85,41.14,81.08,3365,61.69,20.13,0,HLTH_EHIS_MH2,4.5489,2024-06-04
2020,LU,HU228,25_34,X,24.42,7.86,53.37,50.48,15.99,28.28,134.54,55.4,20235,40.28,14.29,1,HLTH_EHIS_MH3,3.1976,2025-10-02
2021,SI,HR130,65_74,F,7.56,35.96,40.47,14.59,15.08,30.01,204.57,30.19,2702,43.9,13.92,0,HLTH_EHIS_MH4,2.775,2026-01-22
2022,CY,BE1,35_44,M,17.59,16.72,52.41,47.72,19.4,24.04,45.0,96.06,3826,29.74,6.86,1,HLTH_EHIS_MH1,2.2586,2024-12-31
2023,GR,EE27,75_PLUS,X,8.29,9.53,49.32,73.13,6.75,71.74,75.82,21.72,5707,43.15,42.22,1,HLTH_EHIS_MH2,1.6165,2024-04-05
2024,MT,FR455,45_54,F,19.42,5.64,39.65,67.62,20.57,36.17,64.26,82.77,2604,58.47,24.3,1,HLTH_EHIS_MH3,3.2125,2025-12-24
2025,ES,LV233,15_24,M,20.61,14.84,47.24,32.68,12.41,69.42,51.26,73.79,6744,68.99,7.06,1,HLTH_EHIS_MH4,2.0653,2025-06-25
2006,CZ,SE293,55_64,X,7.61,11.04,49.25,16.96,17.8,43.84,144.75,58.42,1349,44.61,8.69,1,HLTH_EHIS_MH1,0.6947,2024-11-19
2007,HU,GR982,25_34,F,21.02,12.89,33.32,60.87,12.25,47.63,26.27,16.43,7344,56.95,23.28,1,HLTH_EHIS_MH2,2.0133,2024-08-23
2008,NL,BG310,65_74,M,14.3,9.59,49.91,8.45,6.93,57.37,9.59,174.1,1772,48.69,24.17,0,HLTH_EHIS_MH3,3.6368,2024-03-30
2009,SE,NL438,35_44,X,8.64,23.36,62.12,22.53,8.72,72.59,135.02,123.74,7005,47.71,25.77,0,HLTH_EHIS_MH4,4.341,2024-11-21
2010,DK,FI133,75_PLUS,F,8.44,22.55,40.11,49.56,5.08,68.41,42.54,67.17,10846,75.07,9.33,0,HLTH_EHIS_MH1,4.6782,2024-10-23
2011,IE,EE943,45_54,M,12.51,20.68,36.01,73.87,6.03,25.17,15.95,55.02,11755,46.08,12.57,0,HLTH_EHIS_MH2,1.6425,2025-05-01
2012,PL,FR26,15_24,X,22.1,7.08,54.15,48.77,5.7,61.73,132.18,135.79,790,51.92,21.14,0,HLTH_EHIS_MH3,2.0689,2024-06-29
2013,AT,PT62,55_64,F,14.89,22.97,56.66,62.16,9.67,70.15,98.09,154.2,14709,73.78,22.53,0,HLTH_EHIS_MH4,1.4189,2025-08-15
2014,EE,IT42,25_34,M,6.6,19.21,41.63,105.2,22.85,43.96,22.9,64.1,11866,70.95,17.18,0,HLTH_EHIS_MH1,3.9049,2025-07-25
2015,IT,CY564,65_74,X,12.87,6.4,46.19,51.98,17.68,40.59,25.33,94.85,5120,26.71,9.44,0,HLTH_EHIS_MH2,2.82,2024-03-24
2016,PT,PL9,35_44,F,5.82,5.57,55.77,10.71,11.54,58.23,8.96,50.51,13293,76.45,28.54,0,HLTH_EHIS_MH3,2.8146,2025-02-14
2017,BE,RO78,75_PLUS,M,17.08,9.09,36.37,55.6,24.03,63.21,40.35,28.74,2982,21.32,10.44,0,HLTH_EHIS_MH4,2.4515,2024-08-24
2018,FI,CZ713,45_54,X,4.69,17.32,65.06,60.25,17.65,51.17,32.87,25.89,13874,32.26,26.75,1,HLTH_EHIS_MH1,3.0965,2025-03-07
2019,LV,FR535,15_24,F,21.42,10.85,40.0,57.71,6.03,83.46,80.68,133.02,7933,67.89,26.64,1,HLTH_EHIS_MH2,3.7463,2024-03-21
2020,RO,EE89,55_64,M,9.78,19.97,39.27,26.14,24.59,69.19,45.65,114.56,3589,71.65,37.07,0,HLTH_EHIS_MH3,0.4772,2024-01-12
2021,BG,AT65,25_34,X,6.5,27.07,34.8,117.49,3.27,41.97,84.46,101.9,8451,60.48,11.81,1,HLTH_EHIS_MH4,3.097,2025-03-28
2022,FR,CY29,65_74,F,20.9,21.61,28.77,52.37,15.6,27.5,136.65,56.12,37,46.37,28.12,0,HLTH_EHIS_MH1,1.7992,2024-07-04
2023,LT,ES713,35_44,M,6.4,22.31,41.32,19.86,9.29,25.07,132.1,56.74,7762,81.62,9.76,0,HLTH_EHIS_MH2,1.6796,2025-02-24
2024,SK,FI75,75_PLUS,X,18.04,6.65,45.81,76.27,14.31,41.53,116.03,73.22,4985,22.1,11.17,1,HLTH_EHIS_MH3,2.925,2025-08-24
2025,HR,CY27,45_54,F,13.47,20.97,50.1,83.3,18.23,52.71,123.79,110.62,16388,46.59,31.51,0,HLTH_EHIS_MH4,3.7212,2025-04-26
2006,DE,LT72,15_24,M,5.23,17.4,43.01,32.68,12.66,55.13,22.85,45.58,6074,30.85,14.48,0,HLTH_EHIS_MH1,3.5311,2024-07-04
2007,LU,DK23,55_64,X,7.54,7.06,39.69,58.31,9.31,81.23,118.22,60.72,4811,29.02,8.7,0,HLTH_EHIS_MH2,0.2502,2025-01-06
2008,SI,EE980,25_34,F,16.52,22.72,49.03,10.79,8.9,58.83,14.96,13.79,5378,39.34,34.35,0,HLTH_EHIS_MH3,0.8305,2024-06-14
2009,CY,HR4,65_74,M,15.61,20.58,45.26,65.83,19.05,44.81,83.22,151.14,13142,65.89,38.52,1,HLTH_EHIS_MH4,0.4593,2024-08-02
2010,GR,LV298,35_44,X,5.39,22.56,45.48,65.24,16.76,42.93,157.92,25.44,4238,27.4,8.91,0,HLTH_EHIS_MH1,1.6586,2024-09-22
2011,MT,ES88,75_PLUS,F,12.98,19.88,59.04,65.12,7.28,83.02,41.35,122.2,3753,38.87,43.08,1,HLTH_EHIS_MH2,1.8547,2024-01-23
2012,ES,BG66,45_54,M,5.58,15.44,61.88,62.04,25.63,67.06,55.76,131.96,10196,24.35,32.0,0,HLTH_EHIS_MH3,3.9359,2025-02-08
2013,CZ,AT91,15_24,X,14.52,13.23,47.6,76.9,3.92,35.62,89.64,135.81,10883,53.43,9.41,0,HLTH_EHIS_MH4,4.601,2025-09-02
2014,HU,CZ8,55_64,F,20.96,14.48,43.01,67.34,9.62,39.86,14.17,95.47,1539,41.39,27.96,1,HLTH_EHIS_MH1,1.307,2024-09-28
2015,NL,PL575,25_34,M,16.21,24.31,41.73,17.73,8.11,87.76,105.14,94.02,9128,58.02,28.02,0,HLTH_EHIS_MH2,1.4432,2024-08-10
2016,SE,CY365,65_74,X,17.94,17.21,66.0,38.47,5.4,48.64,117.81,146.88,1835,41.76,42.38,0,HLTH_EHIS_MH3,2.9552,2025-09-15
2017,DK,FR998,35_44,F,13.01,24.8,47.53,42.5,11.48,46.78,109.39,113.75,2739,83.8,34.64,1,HLTH_EHIS_MH4,4.7615,2025-01-11
2018,IE,BG205,75_PLUS,M,15.13,22.74,30.17,82.27,14.63,28.72,98.09,90.82,8115,47.11,13.43,0,HLTH_EHIS_MH1,4.5284,2024-05-16
2019,PL,DE40,45_54,X,7.27,17.2,43.64,31.04,4.73,59.66,55.63,13.76,4031,29.89,22.5,1,HLTH_EHIS_MH2,0.726,2025-05-15
2020,AT,DK542,15_24,F,30.06,14.15,45.75,148.34,4.85,25.43,24.28,106.36,10202,33.3,26.65,0,HLTH_EHIS_MH3,0.7355,2024-07-29
2021,EE,LT6,55_64,M,10.38,21.72,40.1,97.78,22.16,24.73,30.62,151.76,16375,71.78,30.39,0,HLTH_EHIS_MH4,0.6663,2025-10-28
2022,IT,IT401,25_34,X,19.62,14.64,43.77,104.5,14.04,22.58,91.09,91.01,7723,27.67,24.21,1,HLTH_EHIS_MH1,0.7642,2025-07-02
2023,PT,EE318,65_74,F,4.63,16.3,61.4,10.8,18.56,46.98,91.65,118.91,9204,64.72,20.7,1,HLTH_EHIS_MH2,4.485,2025-10-29
2024,BE,GR36,35_44,M,13.94,21.58,37.59,22.34,9.48,75.16,95.81,130.04,2628,28.65,10.9,1,HLTH_EHIS_MH3,4.7196,2024-05-27
2025,FI,ES966,75_PLUS,X,9.26,11.78,66.39,68.75,10.74,66.28,65.52,170.99,11127,60.44,37.98,0,HLTH_EHIS_MH4,3.7857,2024-04-21
2006,LV,AT879,45_54,F,20.81,10.12,36.29,35.97,5.3,67.89,55.47,122.87,4455,20.75,18.88,1,HLTH_EHIS_MH1,0.4992,2025-03-07
2007,RO,SK9,15_24,M,7.29,12.46,57.23,58.94,14.19,53.19,80.92,130.91,13819,59.17,24.64,0,HLTH_EHIS_MH2,2.7278,2024-03-29
2008,BG,CZ60,55_64,X,4.25,4.97,63.64,37.48,16.95,40.0,12.14,137.44,1271,51.94,19.19,0,HLTH_EHIS_MH3,2.1734,2024-09-14
2009,FR,RO207,25_34,F,23.85,8.28,61.63,89.95,9.87,50.52,14.73,40.28,857,40.53,27.7,0,HLTH_EHIS_MH4,2.4058,2025-10-30
2010,LT,LT84,65_74,M,17.97,24.53,34.74,67.04,28.31,25.59,156.69,137.42,16643,38.03,25.19,1,HLTH_EHIS_MH1,2.5408,2025-01-31
2011,SK,CZ1,35_44,X,17.18,9.99,54.94,58.26,6.02,32.8,95.31,126.88,9246,21.57,28.57,0,HLTH_EHIS_MH2,1.2778,2026-02-07
2012,HR,LT83,75_PLUS,F,20.07,13.08,40.9,43.01,14.24,68.94,79.32,18.66,11584,56.09,40.28,0,HLTH_EHIS_MH3,3.1732,2024-11-28
2013,DE,BG6,45_54,M,6.93,11.3,37.62,54.03,26.65,82.96,34.01,140.1,12241,71.15,22.82,0,HLTH_EHIS_MH4,4.561,2024-04-19
2014,LU,HR22,15_24,X,11.82,16.54,36.34,114.44,7.98,80.38,126.49,86.08,2860,41.74,13.86,0,HLTH_EHIS_MH1,0.837,2025-09-09
2015,SI,DK138,55_64,F,17.29,22.49,56.83,23.0,19.39,57.46,106.87,96.84,13405,54.13,17.8,1,HLTH_EHIS_MH2,4.7758,2024-02-06
2016,CY,IT7,25_34,M,7.23,13.05,36.81,55.81,11.65,47.05,66.49,36.69,7942,37.03,12.93,1,HLTH_EHIS_MH3,3.6098,2024-02-24
2017,GR,LT4,65_74,X,8.92,19.87,54.72,32.84,5.23,71.94,41.34,182.86,1263,62.02,31.51,1,HLTH_EHIS_MH4,0.641,2024-10-09
2018,MT,RO77,35_44,F,8.52,5.72,47.44,53.64,7.25,29.62,155.89,128.3,6280,54.82,13.6,0,HLTH_EHIS_MH1,1.9571,2025-03-24
2019,ES,CZ64,75_PLUS,M,4.55,16.5,45.87,21.19,27.09,21.34,57.14,37.08,2611,34.68,11.41,0,HLTH_EHIS_MH2,0.583,2025-11-04
2020,CZ,BE167,45_54,X,6.63,8.17,33.75,14.94,8.11,61.73,141.07,43.57,16908,48.76,10.94,0,HLTH_EHIS_MH3,3.1943,2025-03-18
2021,HU,RO8,15_24,F,23.92,32.4,29.7,58.11,14.76,50.13,50.9,20.1,8111,35.53,18.07,1,HLTH_EHIS_MH4,2.8863,2024-06-09
2022,NL,HU99,55_64,M,11.92,6.38,44.63,48.03,21.57,85.13,43.11,175.6,5477,69.11,5.9,1,HLTH_EHIS_MH1,3.4928,2025-04-08
2023,SE,SE45,25_34,X,16.22,18.49,70.45,95.81,8.83,57.18,95.61,18.74,12411,55.08,35.17,1,HLTH_EHIS_MH2,2.3336,2024-06-01
2024,DK,DE4,65_74,F,21.67,13.98,55.61,79.2,12.54,30.51,16.04,81.0,1950,18.72,18.68,1,HLTH_EHIS_MH3,0.9457,2025-06-30
2025,IE,IT808,35_44,M,5.69,8.65,69.58,10.12,7.08,49.07,84.37,73.94,3130,46.41,7.26,1,HLTH_EHIS_MH4,3.75,2024-12-20
2006,PL,IE107,75_PLUS,X,4.28,7.15,55.14,23.41,10.19,59.62,91.72,124.03,11239,63.92,7.37,0,HLTH_EHIS_MH1,1.6595,2026-02-17
2007,AT,DK29,45_54,F,19.04,18.25,59.88,22.31,12.91,66.08,63.91,50.62,13846,44.97,17.29,0,HLTH_EHIS_MH2,2.8045,2024-02-01
2008,EE,SK3,15_24,M,6.07,26.25,46.87,48.96,11.52,50.31,46.88,39.78,6997,45.39,26.81,0,HLTH_EHIS_MH3,2.1074,2025-10-29
2009,IT,IE5,55_64,X,10.03,18.97,62.03,46.64,16.63,37.29,131.49,152.54,13372,23.02,32.64,0,HLTH_EHIS_MH4,1.1975,2025-10-14
2010,PT,DE88,25_34,F,13.65,22.89,45.82,72.14,14.23,75.73,86.62,139.63,12423,48.69,23.28,0,HLTH_EHIS_MH1,3.5228,2024-06-15
2011,BE,EE32,65_74,M,13.25,21.76,50.57,79.65,11.64,30.38,64.0,180.19,796,22.65,15.46,0,HLTH_EHIS_MH2,2.7055,2025-03-11
2012,FI,CY31,35_44,X,4.35,21.63,56.15,72.84,14.47,82.92,105.16,114.23,6699,56.65,31.05,0,HLTH_EHIS_MH3,3.3442,2025-12-23
2013,LV,PT9,75_PLUS,F,22.27,12.77,35.13,63.21,8.38,25.08,21.72,42.51,2753,21.26,33.46,0,HLTH_EHIS_MH4,2.3716,2025-10-06
2014,RO,SE4,45_54,M,6.07,20.51,61.53,29.11,20.23,26.52,7.34,69.04,6082,34.76,24.92,1,HLTH_EHIS_MH1,4.0199,2025-03-29
2015,BG,DK13,15_24,X,15.53,5.44,58.87,22.21,11.73,70.02,50.39,18.3,17736,76.09,11.32,1,HLTH_EHIS_MH2,0.6144,2025-07-31
2016,FR,LT174,55_64,F,19.21,7.78,44.93,53.38,12.55,69.25,113.5,21.27,17704,56.43,24.56,1,HLTH_EHIS_MH3,3.7261,2026-01-24
2017,LT,CY36,25_34,M,17.06,6.52,48.22,51.11,19.17,42.49,49.51,110.23,17585,51.43,14.7,1,HLTH_EHIS_MH4,3.3983,2024-10-20
2018,SK,IE457,65_74,X,17.06,24.54,45.99,29.99,11.15,22.92,125.6,28.42,8183,41.93,21.69,0,HLTH_EHIS_MH1,4.6371,2024-01-03
2019,HR,AT653,35_44,F,7.75,8.19,45.42,9.63,12.82,42.47,87.59,55.19,9186,26.1,11.59,1,HLTH_EHIS_MH2,2.8754,2024-10-18
2020,DE,FI91,75_PLUS,M,26.3,26.25,44.13,18.59,12.78,87.26,30.55,87.82,17701,43.99,13.59,1,HLTH_EHIS_MH3,3.9804,2025-02-01
2021,LU,LU815,45_54,X,12.43,9.68,36.81,80.37,12.57,32.41,25.31,111.67,14331,49.19,42.17,1,HLTH_EHIS_MH4,3.5593,2024-08-25
2022,SI,FI152,15_24,F,7.03,27.96,36.56,117.66,3.24,20.96,68.15,99.91,10780,31.67,13.27,0,HLTH_EHIS_MH1,4.1029,2024-12-06
2023,CY,BG68,55_64,M,20.0,17.71,42.0,13.55,28.17,37.14,165.12,145.15,14757,75.12,15.17,1,HLTH_EHIS_MH2,1.5822,2024-12-03
2024,GR,BG14,25_34,X,7.26,7.75,39.18,63.68,11.16,27.38,133.47,107.41,8273,20.99,27.93,1,HLTH_EHIS_MH3,4.1752,2024-06-03
2025,MT,RO5,65_74,F,17.64,19.17,53.38,16.26,16.89,51.14,7.57,154.93,13282,20.28,28.37,1,HLTH_EHIS_MH4,0.8548,2025-10-13
2006,ES,HR9,35_44,M,15.2,4.81,53.48,18.63,9.13,69.47,119.33,105.47,8483,47.71,24.71,0,HLTH_EHIS_MH1,2.8421,2024-06-22
2007,CZ,RO701,75_PLUS,X,18.29,9.94,60.94,42.06,3.97,22.21,55.47,93.85,6107,41.92,41.08,0,HLTH_EHIS_MH2,3.7318,2024-07-18
2008,HU,ES781,45_54,F,22.44,21.44,29.16,35.44,11.57,63.07,78.85,78.44,1035,65.32,31.68,0,HLTH_EHIS_MH3,0.9745,2025-11-23
2009,NL,PT49,15_24,M,8.89,14.85,48.83,41.44,23.07,57.46,124.81,107.76,11678,66.68,25.43,0,HLTH_EHIS_MH4,1.0784,2025-03-16
2010,SE,GR429,55_64,X,18.4,18.11,48.31,18.72,12.75,84.59,17.49,58.02,4999,22.35,25.54,0,HLTH_EHIS_MH1,3.4864,2025-09-25
2011,DK,LV82,25_34,F,10.2,7.43,49.09,59.47,8.18,27.22,101.19,65.94,4538,46.77,16.02,0,HLTH_EHIS_MH2,4.4481,2024-01-19
2012,IE,PT99,65_74,M,18.22,20.63,42.17,16.85,18.42,83.53,13.47,80.91,5778,19.8,31.35,0,HLTH_EHIS_MH3,3.0694,2026-01-25
2013,PL,NL72,35_44,X,6.43,10.43,37.46,51.05,3.58,22.96,128.28,95.31,2963,50.18,7.52,0,HLTH_EHIS_MH4,2.5389,2024-04-12
2014,AT,IE9,75_PLUS,F,12.62,8.76,52.39,21.24,12.41,54.09,93.35,111.94,11379,63.52,41.5,1,HLTH_EHIS_MH1,2.5296,2025-10-02
2015,EE,LU675,45_54,M,4.01,10.05,80.65,70.99,19.56,35.8,130.91,75.9,12960,31.65,11.28,1,HLTH_EHIS_MH2,2.2222,2025-04-10
2016,IT,SE3,15_24,X,5.04,9.97,66.36,114.93,6.66,48.2,35.47,104.74,8853,52.84,34.02,0,HLTH_EHIS_MH3,1.883,2024-10-30
2017,PT,LV19,55_64,F,15.5,10.23,61.07,51.13,10.61,72.09,59.12,121.14,11920,62.46,15.47,1,HLTH_EHIS_MH4,4.2162,2024-06-22
2018,BE,SE97,25_34,M,4.05,9.37,47.37,51.94,6.24,32.73,80.91,47.13,6845,52.35,24.83,1,HLTH_EHIS_MH1,2.3313,2024-10-21
2019,FI,DK68,65_74,X,18.27,23.42,29.25,60.79,19.14,81.81,8.55,101.71,3198,73.41,28.59,1,HLTH_EHIS_MH2,1.9169,2025-03-03
2020,LV,LU83,35_44,F,20.61,6.79,52.1,11.17,5.2,58.66,58.18,34.24,18437,26.02,44.5,0,HLTH_EHIS_MH3,3.7305,2025-05-13
2021,RO,HU580,75_PLUS,M,8.25,29.65,50.38,42.59,7.14,38.81,164.11,55.01,14440,23.55,48.62,1,HLTH_EHIS_MH4,0.9872,2024-06-01
2022,BG,SK723,45_54,X,4.72,6.63,43.66,82.64,14.44,52.3,73.82,94.11,13568,22.0,18.33,1,HLTH_EHIS_MH1,3.5737,2024-04-04
2023,FR,LU41,15_24,F,6.66,27.33,53.2,68.2,5.0,51.17,33.22,55.44,11126,27.29,32.62,0,HLTH_EHIS_MH2,0.3845,2025-11-23
2024,LT,HU43,55_64,M,13.52,24.78,48.34,39.1,8.1,41.36,135.48,145.14,14627,27.48,32.08,1,HLTH_EHIS_MH3,1.1484,2025-11-21
2025,SK,HR94,25_34,X,13.23,16.67,46.54,78.57,13.35,48.25,40.33,62.46,16493,65.03,17.38,1,HLTH_EHIS_MH4,3.6039,2025-10-15
2006,HR,DK5,65_74,F,23.93,25.33,42.34,36.59,7.45,32.7,121.96,51.38,8175,42.43,36.89,0,HLTH_EHIS_MH1,3.1649,2025-04-09
2007,DE,IT2,35_44,M,12.96,14.51,50.61,47.58,20.64,71.9,63.88,75.88,12563,71.68,32.6,0,HLTH_EHIS_MH2,3.6852,2024-02-07
2008,LU,ES27,75_PLUS,X,11.97,23.49,41.64,33.63,10.26,52.42,80.83,146.63,177,36.34,15.93,0,HLTH_EHIS_MH3,2.4392,2024-07-23
2009,SI,CY2,45_54,F,5.96,17.88,62.2,72.58,10.72,28.44,76.57,48.49,2574,69.5,20.8,0,HLTH_EHIS_MH4,3.0963,2025-10-09
2010,CY,MT524,15_24,M,18.95,25.24,31.65,13.27,22.17,63.38,7.41,131.02,15795,58.58,12.11,0,HLTH_EHIS_MH1,3.4997,2025-10-14
2011,GR,LV13,55_64,X,19.68,5.17,39.8,12.52,18.04,73.68,8.12,40.18,152,69.71,7.66,0,HLTH_EHIS_MH2,2.5022,2025-10-11
2012,MT,BG77,25_34,F,13.62,24.96,44.46,18.38,16.39,34.31,127.66,17.3,17369,22.32,26.65,0,HLTH_EHIS_MH3,4.212,2025-09-26
2013,ES,SE205,65_74,M,4.33,7.27,74.95,37.42,20.6,35.72,69.58,96.38,1188,36.45,29.24,0,HLTH_EHIS_MH4,4.1575,2025-07-20
2014,CZ,LU965,35_44,X,14.81,13.7,52.88,26.48,11.05,56.09,77.64,75.33,4618,43.28,20.58,1,HLTH_EHIS_MH1,1.0243,2025-03-17
2015,HU,ES39,75_PLUS,F,8.13,10.22,46.15,76.05,12.3,65.49,55.48,19.19,4644,68.7,17.33,1,HLTH_EHIS_MH2,1.3397,2025-06-20
2016,NL,ES421,45_54,M,17.13,16.32,36.01,29.71,12.43,82.2,115.57,87.23,4567,34.1,33.39,1,HLTH_EHIS_MH3,2.4349,2024-03-09
2017,SE,AT559,15_24,X,19.51,5.51,52.32,66.71,7.73,80.69,127.62,13.26,4684,24.47,19.89,1,HLTH_EHIS_MH4,3.3399,2025-11-17
2018,DK,EE519,55_64,F,13.08,25.3,53.62,49.4,8.12,38.04,8.47,125.63,16364,59.83,16.23,1,HLTH_EHIS_MH1,1.6368,2024-07-29
2019,IE,CZ4,25_34,M,10.92,5.82,55.62,115.06,20.5,36.75,43.08,111.2,880,56.24,25.32,1,HLTH_EHIS_MH2,3.2378,2026-01-08
2020,PL,NL67,65_74,X,17.12,26.53,53.52,76.78,17.26,53.9,126.63,118.38,3095,45.51,51.71,0,HLTH_EHIS_MH3,0.3683,2025-12-06
2021,AT,DE97,35_44,F,6.64,21.48,61.65,69.67,8.48,28.04,24.37,120.79,12225,40.72,44.35,1,HLTH_EHIS_MH4,0.5678,2026-02-07
2022,EE,HU34,75_PLUS,M,9.66,18.0,41.29,70.9,22.73,43.26,136.09,155.79,10016,39.98,11.46,1,HLTH_EHIS_MH1,2.8584,2024-10-19
2023,IT,DK113,45_54,X,19.77,13.74,39.55,50.8,17.83,37.9,17.19,86.06,11096,45.05,26.46,1,HLTH_EHIS_MH2,4.1617,2025-09-30
2024,PT,LT9,15_24,F,6.95,21.27,56.14,33.58,3.67,57.41,106.8,139.81,13887,20.14,20.19,1,HLTH_EHIS_MH3,1.9884,2025-06-23
2025,BE,GR1,55_64,M,18.35,19.8,59.41,25.25,22.73,66.67,23.42,161.71,9820,75.76,29.67,1,HLTH_EHIS_MH4,4.2967,2024-12-09
2006,FI,HU344,25_34,X,6.66,23.29,64.1,75.76,14.98,29.01,112.19,95.3,3357,83.09,15.73,0,HLTH_EHIS_MH1,4.6244,2024-11-12
