gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2019,GOV97400900,GOVM7MMQ,15741,64899292,4018243,4484315,315031579,82033214,25094308,591037357,49343709,872111017,34900,val_974e_00900,val_974e_00900,389234152,3898618,GOVWOKVJ,68.04
2015,GOV97400901,GOV8C6K9,699237,42124040,3701700,27872990,57737,678662,355482,35867674,452297402,15954409,1031072,val_974e_00901,val_974e_00901,644507,3266364,GOVHDZQ4,62.44
2026,GOV97400902,GOVR5YL8,653902,5735403,530768,486796978,3147790,22268067,28290,83242,68141,114840,522402,val_974e_00902,val_974e_00902,572753656,62174073,GOVRGWD9,82.25
2021,GOV97400903,GOVBZMQZ,378632024,5496903,322711,664685798,42472,5041648,777127,660501,6473678,55688,40843,val_974e_00903,val_974e_00903,580195,424637700,GOVUFM6B,17.28
2018,GOV97400904,GOVLCP9I,28954,350085,791761,62701,406114177,4435483,958040081,6168025,694589,767090123,481351349,val_974e_00904,val_974e_00904,641602374,728257,GOVG4FAL,97.1
2012,GOV97400905,GOVGZRSJ,73808,310793341,118755986,40888392,6451606,42307,5445227,58149136,6803552,61259253,34481,val_974e_00905,val_974e_00905,305855529,8641048,GOV55BOM,16.41
2018,GOV97400906,GOVND45U,641083009,59364,57500964,2630036,62829923,268427564,32129,487761,37928,38836,77240566,val_974e_00906,val_974e_00906,487449401,535922,GOVXQELB,42.82
2011,GOV97400907,GOVDHJRI,385403,51779,785200,22533725,21606296,7425005,51956417,42612,53305,309897,6324831,val_974e_00907,val_974e_00907,320592747,94741720,GOVS36BV,34.11
2019,GOV97400908,GOVR9KHR,74438,7651667,2919317,588083615,36863,372344286,808147,377200,54016,517316456,760382,val_974e_00908,val_974e_00908,262391564,5372902,GOVC6Y4L,21.35
2016,GOV97400909,GOVKMT5A,45275,815343,49974201,55752691,1607716,64801437,1471901,70291719,44220,392215,18910,val_974e_00909,val_974e_00909,706914344,17775837,GOVH0E3E,5.0
2012,GOV97400910,GOVF9IU1,53257,34426,922534,78910116,768792166,694360,65823,622673,431107602,59364,584338,val_974e_00910,val_974e_00910,40618673,419828,GOV5QD1G,56.82
2010,GOV97400911,GOVFYUCV,16416756,607498,1459267,19318475,669826348,402568,446628,40085083,47033371,988544489,6262168,val_974e_00911,val_974e_00911,56182,507559,GOVGBVPY,28.04
2014,GOV97400912,GOVPUE8O,52402784,59259,4995251,7556562,54000,261933,39332001,4900399,4349051,32837,636316,val_974e_00912,val_974e_00912,30014,484420,GOV0RQK3,53.6
2012,GOV97400913,GOVT6MTB,77660,476220393,48587,31028,65828246,323727105,1745291,3447543,386290689,581504593,67312794,val_974e_00913,val_974e_00913,685194,21721576,GOV04AF8,20.94
2013,GOV97400914,GOVEUN9C,7689633,52532941,41049764,33959,962508982,3441320,8825216,54866,467121163,442094161,29882,val_974e_00914,val_974e_00914,32979,53566193,GOVUVFR1,16.93
2016,GOV97400915,GOVEY0QJ,364283913,528378262,28724753,641150,49875,503388,15002,4786459,700645643,111186286,370863,val_974e_00915,val_974e_00915,34945,63963,GOV541EI,13.42
2018,GOV97400916,GOVLODHB,37387007,43035409,45371,25556,517919289,45160,66890,77551511,49844729,4588833,731961897,val_974e_00916,val_974e_00916,671298,641698367,GOVXE2AN,51.31
2013,GOV97400917,GOVNW8B5,409451755,86596,2045669,484980,471057,1009049,302896707,4766189,34279,2453359,42889,val_974e_00917,val_974e_00917,32978,40376,GOVQW3MY,31.49
2018,GOV97400918,GOVMRDLF,6980143,37064,48713,405066096,620268,350442925,48155889,48307081,555802687,27671722,5234267,val_974e_00918,val_974e_00918,131709797,70248,GOVTKXY0,88.94
2023,GOV97400919,GOV1DR7R,764951,64989,693935946,986658364,268825,4884953,3997632,30468970,50342486,73720302,37159113,val_974e_00919,val_974e_00919,57834392,6679819,GOVN9CBN,34.17
2013,GOV97400920,GOV7MZEY,655318559,15234,60320,42374062,3886924,71604,73517,3041071,70883,54756,23170,val_974e_00920,val_974e_00920,364285,70850200,GOV0GEOO,10.82
2023,GOV97400921,GOV1FDV9,468500,3766992,410109582,42251137,3898444,513171,5500623,62462,31781589,472455,5885651,val_974e_00921,val_974e_00921,66311,4672109,GOVBOPKO,70.17
2024,GOV97400922,GOVRVBDE,35452,480301095,823765,762225295,236641342,274630625,78727893,80773625,8279482,749560,52940,val_974e_00922,val_974e_00922,68207,72642,GOVRVTEP,64.56
2019,GOV97400923,GOVF737W,35705,64505,621971752,5311478,5903080,43460,83041,64733,41726410,542650,595828406,val_974e_00923,val_974e_00923,9734700,15580,GOVIE5EH,92.99
2026,GOV97400924,GOVNAYA1,3684183,35422,537159923,39046626,444369292,358646197,4127186,5211857,34577393,688159,51502631,val_974e_00924,val_974e_00924,421862,505295166,GOV4K7NB,69.39
2012,GOV97400925,GOVG0YPM,46876,205777355,530756443,456917789,631521506,70557057,89660,643086829,45756659,57620931,582368082,val_974e_00925,val_974e_00925,43901769,7620764,GOV9PBBO,82.48
2021,GOV97400926,GOVXXNWU,7618048,385215710,5046775,412362,924983,612568,63442321,701253302,6510711,264770,2368,val_974e_00926,val_974e_00926,4140635,6438737,GOV8CY9D,80.96
2013,GOV97400927,GOVJAVN9,73329,31385091,32284,690646,53274932,664417,377985187,375989,51676751,665258213,37795012,val_974e_00927,val_974e_00927,54266,50724303,GOVYHB9D,82.55
2016,GOV97400928,GOVASP7V,64945283,499551,74595292,68304,491067,706026,66319855,829630300,581854599,7052994,36486,val_974e_00928,val_974e_00928,6297905,74418545,GOVXI423,41.26
2017,GOV97400929,GOVX2DAS,6755317,78844,33246618,29036,42469192,62736297,863573,480512,136649635,5151752,875973,val_974e_00929,val_974e_00929,664575655,305472,GOVNSYYY,17.12
2022,GOV97400930,GOV741SH,61716,10022,411257,71697,353441623,497888,65695492,591356,586406044,8260343,704509075,val_974e_00930,val_974e_00930,37965389,56494,GOVYT8TE,56.21
2018,GOV97400931,GOVTJWGT,53046846,307985353,29175530,2106664,570780,74871,133390328,58302843,507419228,634068,743787106,val_974e_00931,val_974e_00931,41244010,41514013,GOVYN1YG,44.81
2017,GOV97400932,GOV9EMU1,4531963,497018636,5718469,53518129,2877610,15863,4864267,69060,2451409,57830269,561004109,val_974e_00932,val_974e_00932,22612130,36273295,GOVANNT4,42.28
2025,GOV97400933,GOV7CGU5,665286677,72332,6754893,38272591,435015,53262144,25337,484177690,857266,726605,14515587,val_974e_00933,val_974e_00933,624414899,4535938,GOVIFZGY,17.6
2013,GOV97400934,GOVXD2CJ,456538188,358078,56226442,729319043,826453442,433205,331695614,306949,34605365,9393500,499497,val_974e_00934,val_974e_00934,460046,185431,GOVWZDTE,43.2
2016,GOV97400935,GOVAG3PX,672147,252540838,5091598,84630,40417236,296856,4137804,31295197,65062,107704,176648601,val_974e_00935,val_974e_00935,72706,6686422,GOVYS3A8,97.23
2021,GOV97400936,GOVHJJEC,52029,534171,48992912,839854477,6072260,104585806,69431,52582053,6919810,64565960,6875811,val_974e_00936,val_974e_00936,692383,427081,GOV1RVNY,93.14
2010,GOV97400937,GOVT0MF6,63677906,63963692,735057,625095446,56433561,10680345,22775,731880340,643273,65034014,87068681,val_974e_00937,val_974e_00937,35261818,680825097,GOVFRCCY,74.91
2023,GOV97400938,GOVTT6D5,10752,52361241,609186,484861605,522666733,620617559,357974921,43776,865766,52307,720757397,val_974e_00938,val_974e_00938,58268906,6207995,GOV7RHMW,84.22
2015,GOV97400939,GOVRJG59,2069322,681121,703186,641820635,59293281,5248639,409881,77944022,3824290,605301805,598098,val_974e_00939,val_974e_00939,5085623,432900,GOVU5Q66,78.63
2019,GOV97400940,GOV1KBHP,17939,29953,459231,56091,32874388,26286565,74988727,393061243,6974433,611791649,61604,val_974e_00940,val_974e_00940,570159,760476202,GOVI9HLU,64.07
2024,GOV97400941,GOVB8P8L,855241041,3175248,36063,243981603,5845696,573190690,5315277,614980839,240316417,6841955,813953773,val_974e_00941,val_974e_00941,58530460,532677443,GOVDKI7V,93.53
2025,GOV97400942,GOVRQLOC,55370,342734124,44262682,395523928,384625,37819070,812365179,537650,55987,45895,184743361,val_974e_00942,val_974e_00942,7648342,66547573,GOVKZULZ,44.24
2026,GOV97400943,GOVW31ZA,67678,723711143,29998472,298295084,512673184,3975060,41357091,54211984,6946662,225573,439713,val_974e_00943,val_974e_00943,66181376,76902916,GOVU0RS4,98.65
2017,GOV97400944,GOVQZSAW,54975,368512709,828275,74967962,45338,32079,46518535,46215133,530949,727969716,28150451,val_974e_00944,val_974e_00944,2987958,43471,GOVGUVIP,44.34
2014,GOV97400945,GOVPOK8Y,1040463,391648,32871,1001118163,34535,699148117,5645047,73060416,54053,772518,22221,val_974e_00945,val_974e_00945,708162,256366069,GOVV9N7Q,81.01
2012,GOV97400946,GOVEBBYH,431304857,620610805,3526607,65308,3779657,74329,61362842,6941931,280613,107351,38444,val_974e_00946,val_974e_00946,47089,223588349,GOVD4QZA,86.45
2021,GOV97400947,GOVBZY3N,3984286,621104701,636279,2302879,73317,35534,755891,62930,44711880,434200,319990203,val_974e_00947,val_974e_00947,720047370,4172059,GOV7G7J9,7.5
2014,GOV97400948,GOV26343,48126,80232,26348,569501240,70590,271223725,14445,510132,747631484,329220023,7202594,val_974e_00948,val_974e_00948,84771411,773793,GOVFCFDC,69.36
2015,GOV97400949,GOVDU5JK,719303963,60793601,316285,306062306,56612,890194788,69700,292051,1537622,950510,67950124,val_974e_00949,val_974e_00949,8136302,70529399,GOVH4KCJ,95.51
2012,GOV97400950,GOVH1P0H,502507,4697317,415149665,689237,48318060,367199995,5234685,811409,419522,638429615,54972971,val_974e_00950,val_974e_00950,60525,6708454,GOVP0RG0,35.05
2024,GOV97400951,GOVFDKF9,55624,78874405,24355,40724128,29418,2373129,15762660,621893,4721327,32637322,8137393,val_974e_00951,val_974e_00951,560914357,49064554,GOV9V28A,6.24
2013,GOV97400952,GOVJQLO4,488318860,345814,246744092,40405,38877,45078,78788,820220,56695019,724986,377200260,val_974e_00952,val_974e_00952,6108676,60652332,GOVLMAH1,39.97
2022,GOV97400953,GOVRSAPK,3653570,3251605,8437535,166277,3581914,4552531,23916382,749104105,322335422,60930819,33076,val_974e_00953,val_974e_00953,46202620,589336,GOV1JT5V,12.07
2013,GOV97400954,GOV2BQPG,42756553,68812,57623,36142015,724611379,513182593,667689629,579044433,16829636,550902966,4601352,val_974e_00954,val_974e_00954,642664,6266655,GOVUJQO2,33.67
2015,GOV97400955,GOVJ2XPU,512176541,53867121,538840,69085363,530508663,555819,39145763,3700040,29042618,483475689,308290513,val_974e_00955,val_974e_00955,52700780,322592908,GOVZ4T6Q,99.13
2015,GOV97400956,GOVJQ3NJ,716116002,401316475,634396,421101240,461690644,61398,523746,27672193,351140097,57336,38342,val_974e_00956,val_974e_00956,74826713,1857436,GOVLIDBW,66.95
2017,GOV97400957,GOVOO21T,60223057,8332729,428862225,4778192,46302141,190761214,6721439,4932751,60378,706192765,870134936,val_974e_00957,val_974e_00957,6589245,59614626,GOV68TP8,96.45
2026,GOV97400958,GOVJQSTJ,2809036,587399262,344977,65447565,2476366,37565,813008,4619270,56071295,21990461,429827,val_974e_00958,val_974e_00958,668732590,5208031,GOVYUORE,58.57
2021,GOV97400959,GOV4OBCV,43018,49521,238190,497755955,54473,42109,300739,823136,23898697,69438602,273019904,val_974e_00959,val_974e_00959,58772098,3446356,GOVIGFCW,81.29
2025,GOV97400960,GOV5DTOZ,55950,525800,911653,3792271,9128043,993796,57125733,38567889,7404531,236991153,473766,val_974e_00960,val_974e_00960,623630299,648075103,GOV0Y3QB,24.38
2022,GOV97400961,GOVR6HOA,493815,660551965,4849133,565455077,51289806,41043,56484536,739769026,3143,30858,58933,val_974e_00961,val_974e_00961,504548,4550797,GOVB0Q9H,44.64
2011,GOV97400962,GOV9R9YG,675916124,6684581,4809298,494326455,5831060,435261800,29198,632493,2896758,521948590,57397059,val_974e_00962,val_974e_00962,702832,6709649,GOVJ2TAD,85.32
2014,GOV97400963,GOVQA3WZ,7803912,644272,15148192,615844069,696876,47566,32193212,49722,129728,33584480,496534,val_974e_00963,val_974e_00963,206437864,516187092,GOVIWMDV,62.29
2023,GOV97400964,GOVK2UW6,67937,4068692,519071,5390149,61778985,62251,635930006,47910664,608966926,8701591,395703078,val_974e_00964,val_974e_00964,134584485,4469050,GOVH4U8S,25.15
2020,GOV97400965,GOVY7QIM,32282305,647778,55495947,597941706,4106848,69338259,92344,55993104,470979,363442038,530917,val_974e_00965,val_974e_00965,30429113,66838844,GOV1N2QV,79.38
2021,GOV97400966,GOV4YXBS,503654,45326661,428638,7398731,5974924,776945,504805,951767650,29813052,4184519,8607904,val_974e_00966,val_974e_00966,59280,596360,GOVL3KTW,10.35
2017,GOV97400967,GOVFALDK,550360,36804,3487053,501061666,69087915,731006,252899,9496650,67251,669694,2780043,val_974e_00967,val_974e_00967,698417093,220019,GOVJQ4UM,6.45
2017,GOV97400968,GOVAP9VT,813821065,477286692,6571773,313603,490555,184283421,1393,65640987,64307304,441958,57340,val_974e_00968,val_974e_00968,374458,704451947,GOVBIWCI,93.71
2019,GOV97400969,GOVSBI44,72416731,5492167,681405,773533550,684273,26287,3974916,47903,5765875,189813,534976,val_974e_00969,val_974e_00969,45168999,3895377,GOV2EZLR,54.81
2024,GOV97400970,GOV37FEJ,5360931,195761613,124642,56444,36652114,248895693,679371772,684756579,5252860,838782,646043013,val_974e_00970,val_974e_00970,49880050,586844,GOVWKL6G,97.05
2024,GOV97400971,GOV3W502,73669,471531,808501,634680886,631756221,36163,45660,37262,74859455,7383627,35845,val_974e_00971,val_974e_00971,43207,36069,GOV1KLVA,61.37
2017,GOV97400972,GOVNFICO,502878793,64136801,57174055,1299748,64609,415473,30551,416543420,454501,83754,71129450,val_974e_00972,val_974e_00972,53633147,19618336,GOV9PMZP,42.99
2018,GOV97400973,GOVC5CXW,6609,311677421,35036571,1513049,79028352,7655,4528987,37746,50705340,75102536,24525,val_974e_00973,val_974e_00973,782352021,56488657,GOVI3NWI,8.97
2011,GOV97400974,GOVAEUF2,3882121,17947133,559405,483861,35981,396847796,30375,4072083,4017365,749440126,51719475,val_974e_00974,val_974e_00974,42309,751753,GOV2JT6W,20.85
2026,GOV97400975,GOVBJ4S7,786282,64384783,5966546,2013827,450693007,369252,311434,509556,51940,388101072,4770053,val_974e_00975,val_974e_00975,771685817,63438,GOVMQSS6,75.55
2021,GOV97400976,GOV56YU6,298065001,2010391,59060543,466673,5373693,7023157,53959597,712967,54720,7828838,99765,val_974e_00976,val_974e_00976,680432275,35830970,GOVGI69K,75.24
2011,GOV97400977,GOV2CGNU,49629,64486,308524,456870411,8981928,781750809,32842,18377944,51392,4167614,80164680,val_974e_00977,val_974e_00977,452971352,43050639,GOVGNAQ0,87.28
2021,GOV97400978,GOVIVD01,36594839,455968,78324,174995,41336842,32218,7264500,57236058,96787,729153,642001840,val_974e_00978,val_974e_00978,31115,42452,GOVG1U2P,34.05
2011,GOV97400979,GOVXE8ID,438602,72264380,22153116,70259,65233983,5398243,620943896,240004187,31047554,14513252,361575595,val_974e_00979,val_974e_00979,726497876,42852042,GOVH75MY,36.22
2013,GOV97400980,GOVHESNU,3778094,137296067,733904,37765081,52158,8709722,5372368,375196794,471947142,61237,718920,val_974e_00980,val_974e_00980,51802,63781453,GOVUYJUJ,71.39
2011,GOV97400981,GOV47PVM,6234332,7198476,53257086,228324859,6236638,82716,7462074,41975,46133877,644499380,18120,val_974e_00981,val_974e_00981,682765670,184522139,GOV97CHW,24.42
2018,GOV97400982,GOVB3PZH,493569896,661734,468556929,61906,6021760,2607565,39307941,383999208,377951,30946610,19416402,val_974e_00982,val_974e_00982,159655805,65330,GOV6YVKC,77.97
2024,GOV97400983,GOVHNC7L,346368934,70561,5734037,584078850,335261883,42281,672205649,4893980,78132,5390271,57294,val_974e_00983,val_974e_00983,57367337,5897334,GOVPC1WJ,62.17
2022,GOV97400984,GOVRVR19,5321152,515892,56427676,74621,432677,3589755,23099,359216144,268335832,37685642,51102,val_974e_00984,val_974e_00984,42160575,490663,GOV9803B,73.66
2022,GOV97400985,GOVF5AJ7,497627234,801551551,6623840,1236556,782680,381876478,627940,440152,363076983,66561667,77276,val_974e_00985,val_974e_00985,15821,36682865,GOV3G11B,59.56
2013,GOV97400986,GOVLMGAV,4463944,987821349,35377,45458,6095156,55935143,58629244,35353,1234449,6415604,61474,val_974e_00986,val_974e_00986,2855314,4300269,GOVL8C73,63.73
2022,GOV97400987,GOVLKN0D,709100847,48960439,49643979,40330880,760320746,19384955,240469068,603696,336530417,648765402,64567041,val_974e_00987,val_974e_00987,350562,449818,GOVFSSPF,71.22
2018,GOV97400988,GOVVTWN4,633869,57108790,383216,211319,7163097,65461654,299157010,3220337,76808,31344535,49508,val_974e_00988,val_974e_00988,104183,160845,GOVWC4TM,94.27
2023,GOV97400989,GOVN45Q9,503591608,49244884,41566,530789291,879539,361566459,564071866,73881,39825309,49562624,61907,val_974e_00989,val_974e_00989,458010240,287009727,GOV5DISQ,93.42
2013,GOV97400990,GOVVJELK,45352018,354876657,782845,890843045,47274,636800928,714980,180426,441768,43524249,544842132,val_974e_00990,val_974e_00990,67984,692644,GOVN9MHU,4.76
2013,GOV97400991,GOVTK3O7,715388,5166002,894433575,5582914,397624820,29150436,8444539,355403980,7180483,49192827,707422,val_974e_00991,val_974e_00991,72463,57819413,GOVVD9RY,1.64
2017,GOV97400992,GOVHIJLR,25606192,60374488,41210,6442322,499932629,10648588,338490,740692,18428,73613219,62811952,val_974e_00992,val_974e_00992,5553159,51607,GOV3XHZF,42.97
2018,GOV97400993,GOVUMP3Z,603952,92106,2670379,4367328,271962458,20809,8352403,521289,754740,310930012,78126,val_974e_00993,val_974e_00993,2505345,620459,GOVQCGSP,59.0
2016,GOV97400994,GOV7RMIW,10075586,410880,406359,33867130,4785550,45259387,150702271,66007821,564331,22426,364706677,val_974e_00994,val_974e_00994,83943821,836076140,GOVAA2SX,54.9
2016,GOV97400995,GOVN8KCK,20036,640746,2572879,5841716,68956,320005,242908139,54252,69197,51744316,67397642,val_974e_00995,val_974e_00995,28227733,397412,GOVFM7EX,23.6
2020,GOV97400996,GOVKNB5G,492729,616366632,6067821,88434,595618,575240221,604928504,293586512,480407,31200609,42009,val_974e_00996,val_974e_00996,5674148,19308429,GOVL1LWB,49.8
2026,GOV97400997,GOV65XHA,4669564,834408,67845001,818627,56116,42550,305091,61259034,399821981,24963,808517629,val_974e_00997,val_974e_00997,45561,40916,GOVNDRYD,39.37
2015,GOV97400998,GOVCXGRW,602808,44655141,348663,6722337,73375510,32118,12373,6676516,341234,8015208,490154,val_974e_00998,val_974e_00998,432310596,611082,GOVLFMY3,51.6
2026,GOV97400999,GOVCJOOG,6407822,58352,54467657,47671,51581,4460360,187206580,3941006,59201785,449687507,8308396,val_974e_00999,val_974e_00999,240046,6971875,GOV81ZXU,36.17
2023,GOV97401000,GOVLN2Y1,41981023,5694361,384766,47176184,3578879,607204,39442270,70067112,322266,76914,295150,val_974e_01000,val_974e_01000,30468,62011,GOVVINX2,74.62
2020,GOV97401001,GOVYYZL3,45521694,24794076,436732,64847042,724217,52294,3492038,180557626,851318651,41418444,4517209,val_974e_01001,val_974e_01001,47369143,252868,GOV8LOPD,35.45
2014,GOV97401002,GOVHLC80,622053,379875,600434396,43923,50157,47332,459833312,64102,262311857,48076234,597700,val_974e_01002,val_974e_01002,583323032,501833,GOV5F1VO,92.89
2016,GOV97401003,GOV8ZSFQ,513109,53781305,1446172,378797976,953676,62381231,50755,72768966,376026,74561888,62382,val_974e_01003,val_974e_01003,645403,255788,GOV20P05,80.43
2018,GOV97401004,GOVFSTLR,40129,42340632,505584958,24134,734812849,245296,41014,5808509,3743322,6955834,6423274,val_974e_01004,val_974e_01004,80351796,52411237,GOVWXP5N,33.25
2012,GOV97401005,GOV6OOA9,330374,6751091,714190441,4390719,234524,54498,815470424,549425365,8876,677902190,25269036,val_974e_01005,val_974e_01005,3396506,5650622,GOVGDUNN,79.06
2017,GOV97401006,GOVWV2ZQ,473999,42006222,516661146,30341775,60261,4574234,39970921,133301,53328,334611551,3299145,val_974e_01006,val_974e_01006,5512595,293769,GOVO76T9,5.46
2018,GOV97401007,GOV2GZEN,72941,48874084,2853092,8218548,141803412,55117,3904986,9036476,353756657,399658,461178,val_974e_01007,val_974e_01007,95986,7992841,GOV5CYBL,72.26
2014,GOV97401008,GOVJ6DPP,673624511,4627342,311091041,3372793,45736,5122232,55443401,68570,1247003,455368,341739,val_974e_01008,val_974e_01008,867388,1827139,GOVDDA76,38.47
2012,GOV97401009,GOV3R2O2,569182696,39155,545953,462697966,2816883,675752,3387104,175062362,82940734,648224799,546465,val_974e_01009,val_974e_01009,29780,39826993,GOVZ5E4Q,27.5
2018,GOV97401010,GOVDOLOA,674584926,44799774,48056,48054,479751,793725840,59701277,32682266,3317304,491005484,58824,val_974e_01010,val_974e_01010,83178,389277815,GOVVY397,74.87
2010,GOV97401011,GOV9YWH7,519106898,11970844,232385,459541074,66741,5538003,7852420,226308610,48648986,235918881,4416701,val_974e_01011,val_974e_01011,18469,93267345,GOVR6SBF,11.38
2020,GOV97401012,GOVWMZ73,75834685,439022,451076,252481,449724,57038601,62376545,239612,9536935,50775,90631,val_974e_01012,val_974e_01012,74475,40873,GOVPTIUI,26.61
2020,GOV97401013,GOVJSGW3,48220298,85333,200253340,52191,407766,738562,232615802,20015933,62236,129165052,5162293,val_974e_01013,val_974e_01013,959000,578902,GOVS1G2B,61.56
2015,GOV97401014,GOV663I1,444054,5598962,53825419,47686839,557514020,33387849,6308134,56540116,53744448,50328,70667865,val_974e_01014,val_974e_01014,37314,5876089,GOVJG000,4.8
2018,GOV97401015,GOVZX160,334201,409763,663345,21845,3350382,3062163,5165550,45590039,284058759,63777,43744909,val_974e_01015,val_974e_01015,35101,4997652,GOVOSKHZ,22.72
2011,GOV97401016,GOV4OTHY,8471344,4628613,652117785,529048,6461585,69919,585051,69308,54967754,70315123,847287,val_974e_01016,val_974e_01016,5938137,212417,GOV3BWN0,78.16
2012,GOV97401017,GOVQE141,487721111,40501,31554,6548056,61940759,12730834,55145008,23914,79927364,722225423,135630155,val_974e_01017,val_974e_01017,71514,779998,GOV16JRC,75.12
2026,GOV97401018,GOV9QCQ1,69200,55805,865643,672964,590053,4621535,96195,6702229,33862,5671997,60751,val_974e_01018,val_974e_01018,63213579,57510,GOVM2X2J,49.23
2013,GOV97401019,GOV4QOK2,51782,594386277,5777533,1036077808,5462625,720028140,5262693,38254,7896080,43117,459897619,val_974e_01019,val_974e_01019,516857,27653,GOVN0EZJ,36.67
2012,GOV97401020,GOVL3KXA,263625869,83883,798787,45630,106569,275814301,672053186,2354222,6427,8084,226063,val_974e_01020,val_974e_01020,50307,45670639,GOVJX1PT,44.42
2021,GOV97401021,GOVYD55T,5391714,389950,48309,628636,82053,3708619,47763504,32431,36199,24038921,58371,val_974e_01021,val_974e_01021,4444009,32075,GOVL5Z7Z,71.72
2026,GOV97401022,GOVCTHEC,1931495,47857,684465674,559474,330165178,33147692,586862,75548,42896582,51659,28902,val_974e_01022,val_974e_01022,408765832,54374021,GOVSZBX2,12.76
2016,GOV97401023,GOVQ6V7B,51005406,48363364,27331,19613,63332,27718,7492619,498224338,99738,4936897,39154589,val_974e_01023,val_974e_01023,344588458,18613,GOVBM1Q4,16.06
2020,GOV97401024,GOV3WTTU,215785837,49830,675689790,484,6577604,462130,59942,433074357,664631048,71420,100354,val_974e_01024,val_974e_01024,278265479,47075469,GOVLX0RZ,95.05
2016,GOV97401025,GOVOTLW9,412821,43190,60667,215999646,63091511,4421370,531759191,962996374,432451460,5266504,40287773,val_974e_01025,val_974e_01025,7033544,20702043,GOVTB477,66.24
2014,GOV97401026,GOVD186R,3203075,26838044,54479983,2251560,72443870,76370,536844,6536933,419873979,282804,3495161,val_974e_01026,val_974e_01026,438768,550482187,GOV2UFQ6,14.17
2025,GOV97401027,GOVZ5FH1,4779600,523199,66550,8689514,12289473,54245,495627684,61531387,400248810,435372,843029454,val_974e_01027,val_974e_01027,725394065,693318,GOVWTSNA,11.73
2015,GOV97401028,GOVMRVWL,555739,39177,522274,605398,48512416,4833541,33524,564356025,38398,201708,101201902,val_974e_01028,val_974e_01028,6439225,379365,GOV2W09K,54.97
2011,GOV97401029,GOV6YMIW,52840,55028,56202017,39283,835236086,192041,612193,820543913,363300071,58930611,385238,val_974e_01029,val_974e_01029,264131,51392,GOVI55QA,85.19
2026,GOV97401030,GOV3V592,522591,580651625,39793688,46968,37212,7743913,283525,673665388,47492,51000841,515597,val_974e_01030,val_974e_01030,56979,38674,GOVUV780,88.25
2013,GOV97401031,GOVXJKWE,316582253,267362,74125,377360,60920,848966759,539054,75033,500456206,414725608,388753952,val_974e_01031,val_974e_01031,628112908,812800183,GOVJTKC2,61.2
2017,GOV97401032,GOVAAYKY,312489,311799,821095446,598476088,560272,563656634,72613,29209475,660082340,468510906,499881127,val_974e_01032,val_974e_01032,5330051,163861,GOVVGXD9,7.28
2015,GOV97401033,GOVGIPMB,12259185,295421,14405,149184412,590991,22332746,53308427,722681673,566819069,31976,31057278,val_974e_01033,val_974e_01033,68445925,26794805,GOVA9A2T,99.19
2022,GOV97401034,GOV8AY7P,467891605,39985,47328,517765833,606916,681587766,325234,52300,204557791,441517,2028239,val_974e_01034,val_974e_01034,606893,7140552,GOVAKX09,15.44
2025,GOV97401035,GOVM6F8R,4049903,38152,344754131,626465629,71204,284980,5270,42764491,13335,568493,5425043,val_974e_01035,val_974e_01035,68569783,8099279,GOVKAQ8S,33.92
2018,GOV97401036,GOVVWOYQ,6010524,23468812,94420626,35478,45651174,725963199,53050241,53438138,37659327,514110,4150130,val_974e_01036,val_974e_01036,39864670,191216666,GOVPKZ81,73.4
2022,GOV97401037,GOV9ZBAV,49848018,790977164,396055261,434791934,215540,38759639,633217870,493978730,41478,40630615,67468466,val_974e_01037,val_974e_01037,57720,449377666,GOV6QWYA,19.11
2021,GOV97401038,GOVTMAKD,49484457,7219169,68464,314805,917031530,667416,5250052,57130533,35574627,784146761,2602964,val_974e_01038,val_974e_01038,57209,29068,GOVHDDMF,25.45
2014,GOV97401039,GOVQ11H9,606658250,1070741,28916,64780,321781737,77705274,19646,34897,3615356,28862423,44751,val_974e_01039,val_974e_01039,6909505,38127,GOVVYNHQ,99.57
2013,GOV97401040,GOVC5A1J,41939,769762391,598775271,5440920,44523534,56835,69199,666548590,6930742,5792375,403715165,val_974e_01040,val_974e_01040,407752767,52541535,GOV0C1SG,45.26
2012,GOV97401041,GOVHC4OI,582054,421235,287942829,5616113,554456430,409863,31984,644367,307942,222476,6104933,val_974e_01041,val_974e_01041,359065,530236238,GOVMYR5C,96.36
2012,GOV97401042,GOVD0R6U,514665,381286860,1055673,807065,78651357,39190,593391838,5221108,4565842,46103,63508,val_974e_01042,val_974e_01042,37391,1001741024,GOV9JDZ0,94.44
2015,GOV97401043,GOV9PDWO,5892,136766,5053971,69800221,6287781,385897,1043401585,40616,58917673,19521,6221871,val_974e_01043,val_974e_01043,523732,60018972,GOVP14D3,41.27
