labor_indmix_establishment_year,labor_indmix_county_business_pattern_code,labor_indmix_industry_naics_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2024,CBP101059,4451,50_99,72576,74568,811207504,2800142216,1344.15,9117,9690,24.73,841,1206,15.06,48.65,71.2,25.35,SUBURBAN,0
2024,CBP101060,5221,250_499,24855,25950,383662943,1435753858,2195.13,6257,7491,54.09,1069,1379,23.39,27.2,1.43,8.63,URBAN_CORE,0
2022,CBP101061,3341,50_99,526,559,4004258,15400784,555.0,5379,3689,48.74,1150,845,20.02,38.28,35.14,8.42,URBAN_CORE,0
2019,CBP101062,5241,50_99,56579,51956,1022961499,3742515537,2374.0,5495,3935,0.43,1650,1459,15.14,33.28,38.94,31.33,SUBURBAN,0
2020,CBP101063,9211,5_9,46095,49709,860896257,3611950681,1526.88,3266,9664,28.98,1141,741,4.45,0.68,60.64,30.12,RURAL,0
2017,CBP101064,3371,500_999,42404,43837,894131805,3362004191,1108.39,8937,6432,42.03,1044,836,43.6,10.43,30.82,0.42,URBAN_CORE,1
2021,CBP101065,4921,5_9,63914,56991,933887398,3364727279,2485.29,11593,5684,41.64,1698,312,62.27,35.98,51.36,4.09,SMALL_TOWN,0
2020,CBP101066,3331,5_9,41300,45375,552907231,2310964314,669.77,2712,3645,18.14,613,1444,45.49,56.02,67.53,21.68,RURAL,0
2019,CBP101067,3111,5_9,4689,5067,58014131,240683796,1207.29,10069,9034,31.5,1512,419,51.76,59.66,18.15,2.04,SUBURBAN,0
2010,CBP101068,2371,250_499,31701,28413,452142321,1639096518,1854.23,11891,11755,24.11,693,1496,69.88,8.58,66.0,4.81,URBAN_CORE,0
2024,CBP101069,3361,5_9,20876,18907,321411873,1243028287,1099.1,4765,5291,48.02,394,245,49.28,30.95,28.25,4.64,SMALL_TOWN,0
2015,CBP101070,2361,5_9,63690,64666,453807456,1611666250,1101.36,470,159,32.45,1128,1285,15.46,41.28,25.46,30.87,RURAL,1
2011,CBP101071,1112,20_49,21533,23805,195947738,698034870,768.68,2281,24,14.02,791,1607,43.81,62.77,33.87,14.08,SUBURBAN,0
2014,CBP101072,3391,1_4,7929,8790,157041609,651603259,2501.19,4794,6339,34.01,756,245,2.47,7.81,30.72,34.64,SUBURBAN,0
2017,CBP101073,3351,10_19,37442,38841,492605606,2018080968,537.17,11191,2781,23.33,1394,400,27.89,23.18,13.69,30.41,RURAL,0
2021,CBP101074,6111,10_19,52585,51200,1163712667,4590008874,1772.84,933,7172,19.58,1304,968,3.47,28.12,51.17,14.01,SMALL_TOWN,0
2018,CBP101075,2111,500_999,52200,48196,780725333,3078712720,836.15,10199,2244,1.97,1639,1014,6.08,10.04,72.08,14.68,SUBURBAN,0
2021,CBP101076,7221,1000_PLUS,69153,72128,1514054124,5155429274,1933.09,1271,6893,3.46,1305,358,2.47,54.01,21.48,29.39,RURAL,0
2011,CBP101077,3261,100_249,60918,62646,750455591,3035300725,2374.87,10941,4737,29.81,580,1758,37.95,61.14,19.1,8.26,URBAN_CORE,0
2017,CBP101078,3361,500_999,41425,42013,292298767,1199716402,1987.11,2430,3760,38.52,1537,519,43.59,27.31,71.52,18.31,RURAL,0
2025,CBP101079,3371,1_4,52042,57241,574382224,2143570249,748.73,1907,7107,18.11,1493,1244,22.72,16.48,73.96,16.92,SUBURBAN,0
2019,CBP101080,3131,5_9,37760,39339,933660601,3311236057,2510.82,11482,6202,9.36,261,947,52.65,2.35,53.48,13.63,SUBURBAN,0
2022,CBP101081,3321,100_249,9530,9565,200377533,746959246,1961.15,10030,7285,37.82,207,573,19.85,60.78,20.93,8.76,RURAL,0
2014,CBP101082,3371,250_499,32719,28203,458608615,1621605510,1167.81,5264,2410,53.58,1788,756,61.97,26.05,7.68,10.0,SMALL_TOWN,0
2024,CBP101083,1111,50_99,15066,15451,264807772,1060409697,2356.0,2243,3539,19.13,161,121,1.07,42.92,1.12,21.77,SUBURBAN,1
2023,CBP101084,3371,100_249,56289,60209,842025348,3271246153,2145.34,10935,1360,0.62,1526,1159,76.81,14.28,73.74,2.24,URBAN_CORE,0
2017,CBP101085,1112,500_999,60840,58265,1295423612,4838077616,690.35,4507,954,39.07,1204,1283,70.23,23.39,44.71,7.74,URBAN_CORE,0
2020,CBP101086,1121,20_49,8365,7477,71343292,269840524,817.32,7465,10827,52.59,124,620,54.68,20.82,0.82,16.3,RURAL,0
2010,CBP101087,3391,100_249,22559,19301,193795607,754485847,959.54,1764,9771,35.58,1162,674,23.4,5.51,66.15,4.34,RURAL,0
2016,CBP101088,4811,1_4,10025,9392,113091455,446530828,740.12,5554,10734,42.46,1028,1361,70.37,31.99,63.63,29.46,URBAN_CORE,0
2020,CBP101089,4841,20_49,67213,66298,509371364,1971634776,968.74,9785,987,3.45,514,1776,59.19,48.22,28.28,14.11,SMALL_TOWN,0
2010,CBP101090,4811,100_249,43298,45954,656574151,2382111125,2198.62,8200,5167,33.0,1413,1689,0.38,17.65,14.51,0.96,SUBURBAN,0
2017,CBP101091,1112,5_9,33908,32228,744811724,2621344575,2185.92,10762,10104,42.05,20,802,55.79,41.5,33.61,1.06,SUBURBAN,0
2020,CBP101092,3351,50_99,62265,57553,746665406,2938641461,1654.33,10697,8419,17.62,1258,1396,69.23,10.71,30.87,28.92,SUBURBAN,0
2013,CBP101093,4241,500_999,49260,41916,405947690,1518859568,473.64,8444,8540,18.43,894,1747,79.02,7.1,22.91,0.66,SUBURBAN,0
2024,CBP101094,4841,10_19,27810,26157,584497832,2128000907,2502.65,7892,9616,33.2,1340,730,69.98,33.48,62.68,2.22,RURAL,0
2025,CBP101095,3341,250_499,14621,13833,232917332,833200289,826.27,4893,10611,5.75,1511,1203,81.26,61.89,70.6,21.21,SMALL_TOWN,0
2014,CBP101096,2111,10_19,46511,40790,836986945,3488872068,1546.91,517,6366,4.45,729,1129,54.14,48.79,25.06,18.95,URBAN_CORE,0
2011,CBP101097,4231,100_249,37927,38727,244004762,920423582,1239.19,8819,4140,11.09,1750,1699,40.64,8.55,5.98,0.01,URBAN_CORE,0
2016,CBP101098,3131,20_49,16985,14745,156737532,657356568,987.29,3195,4809,53.06,274,851,58.68,28.25,56.76,6.04,URBAN_CORE,0
2012,CBP101099,5191,250_499,23732,26328,304692464,1177924137,804.22,10509,8379,54.59,192,299,71.11,14.92,34.44,5.49,SMALL_TOWN,0
2015,CBP101100,4521,50_99,9934,10577,73442859,261073187,904.43,11599,10991,51.82,723,640,49.53,31.58,21.86,0.35,SUBURBAN,0
2021,CBP101101,3391,500_999,10002,10858,162346395,623574349,731.36,1417,319,42.17,889,1698,43.62,40.12,30.02,4.5,URBAN_CORE,0
2025,CBP101102,5221,500_999,40590,39513,380162351,1473856428,1495.02,1060,9198,34.53,1419,242,12.13,21.73,52.61,6.36,SMALL_TOWN,0
2023,CBP101103,3331,1000_PLUS,7314,6680,109246619,452397655,2025.14,2415,6327,15.74,549,1513,73.57,64.13,2.63,17.08,URBAN_CORE,1
2018,CBP101104,1121,100_249,22891,20789,399703024,1382894404,2251.83,9522,5078,36.17,1573,683,4.49,20.45,69.79,31.25,RURAL,0
2024,CBP101105,3371,100_249,40148,36832,553139445,1948208217,1101.4,11201,11107,11.64,259,1127,40.99,55.99,21.83,12.8,SMALL_TOWN,0
2024,CBP101106,5111,1000_PLUS,6195,5602,48230932,189313058,1427.87,11665,10773,38.32,1447,630,69.1,32.73,20.77,28.49,RURAL,0
2018,CBP101107,3371,250_499,23297,20553,185804318,687720665,1511.17,5277,10835,40.85,747,1097,23.59,28.42,37.78,1.46,SMALL_TOWN,0
2015,CBP101108,2211,5_9,2117,2198,46743463,193682809,1808.66,819,850,8.53,983,1465,47.35,3.36,68.02,15.95,SUBURBAN,0
2019,CBP101109,5411,50_99,764,703,14667547,51869691,1390.28,6312,10621,43.2,1157,1187,9.7,30.24,4.35,3.76,SUBURBAN,0
2021,CBP101110,2211,1_4,67658,64109,670047581,2511991042,2398.12,4329,6897,28.97,1738,883,21.79,3.35,58.49,5.19,SMALL_TOWN,0
2016,CBP101111,3111,500_999,50365,44416,521559243,1884537734,1684.32,4554,7596,52.08,1569,1617,51.79,61.57,24.27,30.69,SUBURBAN,0
2013,CBP101112,1111,500_999,16963,18981,154951310,535175055,2189.35,9855,6959,42.34,1376,548,41.14,28.73,25.16,19.52,SMALL_TOWN,0
2011,CBP101113,5111,250_499,22898,24189,478720328,1789441282,561.87,9788,7840,28.04,184,67,71.91,51.47,42.01,3.85,SMALL_TOWN,0
2024,CBP101114,6221,10_19,16964,17407,107838824,438066533,992.1,11269,2356,10.8,1286,947,16.83,55.22,48.53,19.44,SUBURBAN,1
2016,CBP101115,7221,500_999,45804,42795,347767403,1404638730,1188.11,8834,10549,12.44,949,147,19.1,14.93,61.96,14.55,SUBURBAN,0
2011,CBP101116,3141,100_249,50084,55410,1059767720,4149637908,1618.01,1636,11097,29.42,476,1043,16.1,15.82,49.69,23.97,URBAN_CORE,0
2014,CBP101117,6221,500_999,60201,59887,434394275,1693474868,1921.64,7380,10500,4.18,784,312,15.77,17.65,36.08,0.61,URBAN_CORE,0
2014,CBP101118,6211,20_49,57984,58759,510163744,2077512170,865.17,3581,5561,23.28,1274,912,45.59,61.47,1.97,2.43,SMALL_TOWN,0
2020,CBP101119,3361,10_19,27316,25682,238672533,995979386,2502.42,11731,7187,28.92,127,47,43.25,44.48,57.28,20.56,URBAN_CORE,0
2020,CBP101120,7221,50_99,33963,37495,402702356,1512780452,979.24,6262,8368,25.29,1764,265,13.18,20.7,21.73,28.55,SUBURBAN,0
2016,CBP101121,4231,250_499,5830,5903,53672994,217893127,595.26,1069,2316,14.67,1071,358,22.92,54.36,39.16,23.62,URBAN_CORE,0
2013,CBP101122,4841,100_249,40841,37127,761000384,2683648912,2428.23,8270,10728,19.87,513,558,56.44,4.52,10.69,16.8,SMALL_TOWN,0
2015,CBP101123,3121,50_99,20486,22026,508943325,1978096777,545.57,1285,781,48.63,1687,1702,83.29,11.33,62.75,34.99,SUBURBAN,0
2020,CBP101124,2381,50_99,53773,56795,357912134,1405197905,959.46,1064,10625,18.48,17,164,79.7,36.06,15.29,20.85,SMALL_TOWN,0
2023,CBP101125,3351,250_499,38762,39425,683260606,2495832004,2186.41,5222,5251,46.25,1706,512,60.89,2.28,60.07,2.94,RURAL,0
2018,CBP101126,5611,500_999,56282,54093,488719421,1852739400,1589.26,9712,7142,26.99,29,1674,1.94,45.13,47.78,27.99,RURAL,0
2014,CBP101127,7221,250_499,8253,7113,134684473,474489370,472.32,9623,1522,19.65,1553,105,46.8,38.42,30.6,21.78,SMALL_TOWN,0
2025,CBP101128,2371,1_4,59096,63286,432415874,1693902359,2111.98,799,8521,0.4,1067,1667,59.91,30.7,6.0,9.19,SMALL_TOWN,0
2021,CBP101129,6231,5_9,5266,5315,73146292,276086518,1040.49,4042,10327,24.89,1057,472,56.01,9.12,70.53,20.01,URBAN_CORE,0
2012,CBP101130,5191,5_9,16766,15316,305962422,1212330281,1539.19,3059,4869,27.97,1512,667,66.43,48.04,28.84,3.29,SUBURBAN,0
2025,CBP101131,6211,50_99,1405,1219,10547824,40331609,544.9,5997,6492,1.21,191,130,12.14,42.19,25.9,4.28,RURAL,0
2010,CBP101132,6111,1000_PLUS,32349,34834,632710026,2550405620,2069.59,3763,9177,14.47,1546,1766,37.26,13.59,50.07,25.11,SMALL_TOWN,0
2012,CBP101133,4841,50_99,72836,73370,556110880,2136847575,744.44,7751,8049,20.79,1598,498,46.51,56.12,13.71,13.41,URBAN_CORE,0
2010,CBP101134,4231,1_4,45042,46467,604500259,2345084254,1073.21,8059,11430,52.45,961,742,78.3,33.02,73.13,30.25,URBAN_CORE,0
2017,CBP101135,5611,20_49,34912,34009,236853089,930249272,2503.28,902,8399,36.75,542,172,79.84,48.32,24.57,8.09,SUBURBAN,0
2019,CBP101136,3371,250_499,25458,23974,160466342,645135108,617.36,1105,7356,3.56,277,622,11.0,56.3,31.97,29.15,SMALL_TOWN,0
2010,CBP101137,4451,1_4,27302,23871,170844503,710794546,2182.2,9683,4262,50.39,514,887,60.9,32.28,41.89,33.33,SMALL_TOWN,0
2010,CBP101138,1112,5_9,15624,14375,251217826,1052975574,2104.55,9204,1390,16.01,779,60,9.45,54.01,30.04,16.27,SUBURBAN,0
2010,CBP101139,5311,1_4,45396,45987,1097413064,3998137332,626.24,7377,10589,18.39,1636,676,22.91,62.72,9.14,2.17,RURAL,0
2025,CBP101140,5221,1000_PLUS,40505,44861,978539405,3600862470,1882.01,6714,3543,36.75,1699,427,64.93,36.43,37.96,14.15,URBAN_CORE,0
2017,CBP101141,3371,10_19,7233,7908,98658260,389248630,2326.05,7385,4577,15.51,1119,1410,54.04,56.25,13.86,3.97,URBAN_CORE,0
2019,CBP101142,4241,100_249,63666,57470,1298445225,4829854939,2279.03,2313,3446,23.02,1435,539,38.68,0.63,72.8,33.61,SUBURBAN,0
2018,CBP101143,3231,10_19,74744,73895,1741429793,6746076311,1099.96,8930,5751,52.63,193,1164,50.78,10.36,8.61,24.9,SUBURBAN,0
2020,CBP101144,3121,100_249,38895,41125,532078641,1831205500,2416.24,7499,11701,43.47,189,1175,40.02,61.77,16.86,4.72,RURAL,0
2024,CBP101145,6111,100_249,73821,79969,1138700489,4289192926,659.61,6087,11585,28.61,1043,1104,25.42,24.97,20.43,22.4,RURAL,0
2012,CBP101146,3231,20_49,45053,38597,279619619,1034636395,2431.83,6815,11349,10.7,1742,1177,71.34,12.12,48.19,21.75,SUBURBAN,0
2016,CBP101147,3221,20_49,13449,14375,216595610,898508035,1663.8,1755,57,11.78,454,920,30.16,44.46,63.77,18.9,SMALL_TOWN,1
2012,CBP101148,5181,1_4,70743,65937,1523304076,5609648410,2002.77,11831,6132,54.23,58,558,14.24,25.71,54.27,9.29,RURAL,0
2015,CBP101149,5231,100_249,34080,35138,429677452,1747834202,2256.85,4267,15,18.86,349,1466,6.69,39.28,17.17,7.26,SUBURBAN,0
2019,CBP101150,3371,250_499,31349,30280,511301931,1933869949,1422.84,10774,2957,2.55,1627,174,42.87,56.98,22.96,12.94,RURAL,0
2012,CBP101151,4231,10_19,57767,61723,397816607,1482598477,1204.2,69,11677,16.01,1457,1572,45.74,24.38,38.69,14.87,SMALL_TOWN,0
2018,CBP101152,4921,1000_PLUS,67504,58396,1184884857,4752390452,877.7,9976,3892,2.78,1277,519,65.77,56.88,7.32,13.12,SMALL_TOWN,0
2024,CBP101153,3311,250_499,14404,13650,290558061,1067260521,1176.11,1755,1546,32.78,1472,148,68.91,35.9,36.09,16.97,URBAN_CORE,0
2012,CBP101154,3121,1000_PLUS,53144,53786,722256815,2496369191,2109.57,6239,3707,14.49,15,501,20.18,40.17,6.35,30.6,RURAL,0
2017,CBP101155,2361,50_99,64372,59321,839849067,3164034476,1654.24,11842,7430,11.86,448,836,71.84,35.41,15.76,7.51,RURAL,0
2013,CBP101156,5221,5_9,5113,4838,98781146,373723031,2036.03,4137,10521,17.38,123,297,65.7,33.48,71.37,20.51,SMALL_TOWN,0
2022,CBP101157,5411,500_999,66410,61031,1202865267,4670512555,713.83,2328,6579,41.32,1468,1623,14.02,17.82,21.83,24.2,URBAN_CORE,0
2011,CBP101158,3331,10_19,2197,2359,16640683,57332195,1151.13,7980,9916,9.12,276,1591,22.67,60.96,35.06,8.57,SUBURBAN,0
2017,CBP101159,4521,5_9,61495,62055,1348108128,4975087493,742.17,1411,10505,50.6,210,560,46.51,34.41,22.02,5.68,RURAL,0
2018,CBP101160,2371,500_999,54318,59586,1327476075,5499536658,2485.82,6077,8271,48.94,1548,1308,29.72,45.59,31.39,15.08,URBAN_CORE,0
2017,CBP101161,5171,1000_PLUS,9746,9679,126975275,478091180,1534.65,1259,4147,45.92,994,587,4.21,49.1,57.31,18.04,URBAN_CORE,0
2017,CBP101162,3361,100_249,45916,44681,531643237,2136154983,780.65,5937,5727,4.58,1689,626,5.79,18.43,58.76,28.89,SMALL_TOWN,0
2023,CBP101163,8111,250_499,49210,44714,763016363,2687813894,1545.41,460,10463,46.82,212,651,38.65,41.93,4.16,16.27,RURAL,0
2022,CBP101164,3361,10_19,3402,3054,31509559,115951385,1671.27,9350,3110,29.31,766,1233,31.04,26.97,3.4,5.84,URBAN_CORE,0
2023,CBP101165,6221,20_49,33804,34662,685472540,2467856444,1023.43,9139,6125,34.84,586,383,3.82,27.5,35.84,3.26,URBAN_CORE,0
2013,CBP101166,7221,5_9,8922,9958,66152296,257636416,1457.92,545,8237,53.35,1772,287,3.03,8.2,26.12,15.95,RURAL,0
2020,CBP101167,6221,1000_PLUS,17233,18678,435760858,1680288840,1809.11,2015,1902,0.94,1659,564,30.31,25.65,20.93,0.99,SUBURBAN,1
2010,CBP101168,4451,1_4,35159,38707,907499972,3737028625,1784.51,1554,1525,36.5,1216,1415,53.24,31.5,64.17,1.43,RURAL,0
2011,CBP101169,4241,500_999,18649,16634,136837949,553683648,629.7,2293,72,49.48,1786,1061,52.67,22.29,19.74,19.75,URBAN_CORE,0
2019,CBP101170,5411,1000_PLUS,12124,13425,196434696,817181960,2579.15,4645,10360,7.79,213,630,45.01,52.85,36.2,5.53,RURAL,0
2021,CBP101171,1111,100_249,18666,18562,222248563,922354868,1306.17,6638,9798,45.4,1781,319,80.97,47.3,56.93,24.53,SUBURBAN,1
2015,CBP101172,1111,10_19,39918,40394,842483852,3474774241,528.68,4892,10263,1.41,1259,588,35.63,8.3,20.89,1.72,SUBURBAN,0
2013,CBP101173,3221,250_499,71011,61508,507204969,2023873502,1534.92,2476,6052,16.69,600,15,58.11,15.96,33.03,12.88,SUBURBAN,0
2023,CBP101174,6221,250_499,25928,28184,613622114,2496925122,2052.03,694,9525,42.89,886,1756,34.37,51.29,43.46,27.54,SUBURBAN,0
2025,CBP101175,3391,1_4,67717,58057,621321147,2355460129,743.13,6019,8355,52.95,178,1429,47.9,21.67,40.0,25.83,SMALL_TOWN,0
2019,CBP101176,3371,1000_PLUS,13177,13025,140900876,482852854,2471.6,10682,11944,28.9,1116,133,44.04,50.66,58.61,18.75,SUBURBAN,0
2018,CBP101177,3131,1_4,40040,34855,727890930,3045932339,1671.95,5654,2257,3.51,392,479,34.39,24.97,30.19,9.25,SMALL_TOWN,0
2024,CBP101178,3271,50_99,188,185,1178112,4055439,1300.43,585,6501,6.66,661,1135,53.54,53.21,72.39,5.0,RURAL,1
2018,CBP101179,6111,5_9,65720,67354,668359868,2782126886,880.53,9705,1489,50.65,935,502,65.64,63.09,50.42,8.01,SMALL_TOWN,0
2013,CBP101180,4521,250_499,28061,31254,580750079,2134798430,2099.27,7925,2197,33.14,954,68,69.75,2.85,48.29,6.53,RURAL,0
2018,CBP101181,5111,50_99,22624,22739,345949310,1218616411,2558.55,1911,2741,53.96,1624,1216,54.96,41.89,23.95,24.74,SUBURBAN,0
2022,CBP101182,3261,100_249,29246,31146,672946619,2554474538,1602.49,2435,6930,48.07,1354,1436,77.16,2.77,59.66,10.16,SUBURBAN,0
2017,CBP101183,3131,100_249,42640,40865,461041738,1619080013,1454.35,2507,7538,25.76,282,823,69.52,57.03,41.89,11.75,SUBURBAN,0
2020,CBP101184,6221,250_499,45040,46132,653196370,2661282745,665.18,765,6333,4.39,1378,1436,42.06,13.37,59.06,8.48,URBAN_CORE,0
2023,CBP101185,2381,500_999,7198,7657,101189133,377797217,941.3,3504,9018,25.89,41,1111,13.78,12.0,69.08,6.81,RURAL,0
2011,CBP101186,2371,250_499,59707,54854,1246918988,5033548275,1242.43,5249,6120,28.16,360,947,71.48,49.14,31.21,25.04,SMALL_TOWN,0
2023,CBP101187,2381,500_999,45906,41265,399185986,1502204958,856.35,818,3374,17.76,385,1698,45.18,41.03,45.75,32.59,URBAN_CORE,0
2010,CBP101188,6231,20_49,7260,7618,115791489,452222399,1533.18,11841,10736,31.85,798,241,19.13,30.49,1.26,24.64,RURAL,0
2023,CBP101189,2111,10_19,2563,2578,46261895,166414732,1583.64,3559,6930,12.3,823,488,15.59,49.35,8.48,19.65,SMALL_TOWN,0
2017,CBP101190,3251,5_9,71869,65656,1276688783,4360533211,2417.75,11451,4461,46.57,797,1318,51.58,19.2,26.16,27.56,URBAN_CORE,0
2015,CBP101191,5311,50_99,42635,40985,598744620,2190730266,2222.74,3638,7695,46.39,850,1371,29.85,63.87,50.0,14.86,SMALL_TOWN,0
2016,CBP101192,5611,1_4,52010,44921,881390583,3205379655,2223.48,5051,8501,30.25,1340,1189,16.17,12.47,73.52,10.1,SMALL_TOWN,0
2014,CBP101193,3261,100_249,37428,38351,878368473,3348195203,563.84,2684,11557,42.78,177,1599,34.5,38.38,13.27,10.06,URBAN_CORE,0
2014,CBP101194,3341,10_19,15012,16138,321158030,1277350327,1544.11,5963,9406,50.61,1743,1504,79.43,41.58,17.83,24.23,SMALL_TOWN,0
2010,CBP101195,3121,1000_PLUS,43929,38500,807897056,2917946592,1741.12,5669,11746,5.78,855,1659,31.91,21.15,14.46,14.49,RURAL,0
2015,CBP101196,4521,100_249,13447,13136,291845664,1217307882,824.18,5503,10362,15.76,705,812,29.77,14.42,12.17,5.67,SMALL_TOWN,0
2022,CBP101197,3271,1000_PLUS,41954,41910,396234703,1633444320,1304.11,10059,3107,14.41,8,1670,15.04,41.48,30.47,10.76,SMALL_TOWN,0
2012,CBP101198,3251,500_999,9579,8989,167887966,603948904,1514.6,9010,9546,1.71,1381,761,5.95,14.36,66.22,32.95,RURAL,0
2015,CBP101199,8111,5_9,70935,66777,929339634,3349157830,2299.99,3474,11306,39.52,1276,764,60.23,23.91,43.38,16.73,URBAN_CORE,0
2021,CBP101200,1112,100_249,34531,34594,298573100,1208086792,1116.92,11730,2179,30.15,1761,909,69.42,37.53,31.73,20.18,SMALL_TOWN,0
2021,CBP101201,4411,5_9,9844,8813,80203420,272968909,1374.97,1103,1948,12.06,1358,1312,0.24,4.55,42.31,9.45,SUBURBAN,0
2024,CBP101202,4451,100_249,51038,52308,773647595,2947908865,1880.49,8958,226,30.79,244,526,55.66,21.78,12.97,28.03,SMALL_TOWN,0
2015,CBP101203,5191,100_249,56386,58838,1111801908,3846575624,2212.13,9646,10124,47.18,1455,1255,32.4,36.02,37.23,29.08,SUBURBAN,0
2020,CBP101204,3311,5_9,29368,25741,262466273,1076397682,2069.61,8766,3593,1.07,1231,1089,38.01,32.75,5.23,19.08,SMALL_TOWN,0
2015,CBP101205,7221,20_49,48459,50112,346647276,1267777380,615.16,4691,5329,20.95,396,1492,12.08,19.54,10.19,31.61,URBAN_CORE,0
2021,CBP101206,3361,100_249,20132,20462,251191192,990454177,1675.23,3195,3182,7.59,1793,4,58.35,9.1,30.84,6.75,SUBURBAN,0
2017,CBP101207,6231,100_249,26778,22872,247151318,897760621,1243.47,4317,778,3.34,183,824,55.32,62.83,7.53,17.6,SMALL_TOWN,0
2010,CBP101208,3131,50_99,15380,15410,300136066,1126689807,1444.81,5839,126,5.52,1311,1004,47.74,54.69,58.67,15.12,SUBURBAN,0
2015,CBP101209,5241,250_499,71066,61958,839038534,3186445790,2560.44,7129,10946,5.4,972,462,20.37,63.48,1.86,26.8,SUBURBAN,0
2018,CBP101210,3321,5_9,54456,48440,985129227,3937451283,1575.26,6017,1254,2.54,922,1576,53.32,22.8,35.05,28.5,SUBURBAN,0
2016,CBP101211,3111,1000_PLUS,12222,11866,105227307,367016281,1436.76,2024,3734,4.4,1583,1511,75.36,43.79,28.09,1.05,RURAL,0
2019,CBP101212,5411,100_249,71837,73274,1200137153,4900434196,1502.07,1632,5334,49.99,549,509,38.61,64.64,60.13,25.66,SUBURBAN,0
2019,CBP101213,2381,1000_PLUS,53647,53122,706313237,2493856319,1363.43,352,8404,47.81,1139,1661,2.02,1.66,71.4,26.87,SUBURBAN,0
2023,CBP101214,3151,50_99,71451,67877,1146395272,4803354108,1172.56,10530,1974,23.0,382,419,26.01,56.26,46.11,11.01,URBAN_CORE,0
2023,CBP101215,2111,1_4,28198,26325,376826223,1296948199,2179.15,2022,317,2.33,296,826,54.17,25.32,52.9,19.64,SUBURBAN,1
2014,CBP101216,1112,10_19,4493,4588,59755534,217894363,2585.71,6704,5828,35.7,983,1434,57.85,48.88,20.44,11.71,SUBURBAN,0
2025,CBP101217,3341,500_999,29126,32006,532018015,2053496387,999.81,10505,5540,46.73,1666,424,11.07,33.34,49.88,9.76,URBAN_CORE,0
2024,CBP101218,1112,50_99,4998,4721,82885661,318040668,490.34,5808,724,7.2,953,1305,30.64,5.4,46.36,20.1,URBAN_CORE,0
2022,CBP101219,3231,100_249,53440,54271,792133750,3049262991,2084.58,9789,9023,17.34,682,1279,56.38,15.89,36.63,27.46,URBAN_CORE,0
2020,CBP101220,5411,100_249,18188,19925,352015938,1286272129,545.39,9431,5137,16.45,349,693,84.4,16.57,7.53,6.73,SMALL_TOWN,0
2011,CBP101221,3371,10_19,69795,65000,738308846,3022199470,1146.23,2608,9513,10.6,1787,1074,58.94,21.39,70.13,3.55,SUBURBAN,1
2011,CBP101222,2111,1000_PLUS,24755,24168,327394864,1132256412,1091.21,932,1645,30.19,535,973,59.13,63.28,57.17,5.78,SMALL_TOWN,0
2020,CBP101223,3371,20_49,41194,44841,831593753,3223808640,2325.39,10179,5682,52.02,1007,93,50.68,58.96,72.75,3.3,URBAN_CORE,0
2020,CBP101224,5171,20_49,68134,65936,1300880936,5326700371,2217.18,3644,5979,13.88,1108,1396,54.56,11.13,10.12,14.89,SMALL_TOWN,1
2013,CBP101225,6221,500_999,46216,42912,316453889,1116182203,1096.04,3536,6743,8.41,1200,1264,12.0,34.17,36.06,11.17,SMALL_TOWN,0
2016,CBP101226,5611,250_499,68720,68021,1535513534,6353734472,1788.01,8289,6379,15.87,1043,1545,54.49,13.51,50.37,12.49,SMALL_TOWN,0
2011,CBP101227,6111,1_4,63496,70214,1517365194,6041100072,2223.12,5104,1310,13.9,1731,1522,54.53,53.36,49.87,5.93,SMALL_TOWN,0
2013,CBP101228,5191,10_19,45648,50196,595741494,2365889780,600.77,11299,1895,46.07,1212,52,57.15,15.65,19.33,20.51,SUBURBAN,0
2024,CBP101229,1111,10_19,52484,45014,749229743,2795598177,1560.3,2154,1763,43.45,1446,1071,54.11,44.42,73.92,18.45,SUBURBAN,0
2023,CBP101230,1112,50_99,10333,10660,70494386,249664492,1588.39,1198,2703,20.96,1298,1559,48.44,5.34,54.33,11.32,RURAL,0
2012,CBP101231,3361,50_99,15261,14679,253457317,862752998,1393.31,9243,9249,49.39,1527,1055,2.82,37.0,59.87,11.65,SMALL_TOWN,0
2018,CBP101232,6221,20_49,60409,65273,1338480049,5290613009,870.62,6509,5821,42.18,1797,376,40.29,7.74,49.38,31.9,URBAN_CORE,0
2025,CBP101233,6231,10_19,47784,51997,596992665,2156944217,2174.76,1796,5529,14.07,391,72,80.22,28.31,21.96,26.04,RURAL,0
2013,CBP101234,3261,10_19,47037,40154,818780225,2795278636,2101.92,4285,8722,24.24,915,1286,15.47,40.19,22.18,3.51,URBAN_CORE,0
2014,CBP101235,1121,20_49,74241,81772,674608203,2653085735,1213.17,222,1035,44.95,1391,535,72.52,25.76,54.18,23.18,SMALL_TOWN,0
2021,CBP101236,3311,10_19,64193,60531,1051110862,4403857166,2599.16,249,7613,19.02,221,423,59.26,40.99,19.06,2.02,SMALL_TOWN,0
