demo_nativity_estimate_year,demo_nativity_subdistrict_lgd_code,demo_nativity_nativity_category,demo_nativity_country_of_birth,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_english_proficiency_level,demo_nativity_primary_language,demo_nativity_secondary_language,demo_nativity_ancestry_first,demo_nativity_ancestry_second,demo_nativity_language_isolates_count,demo_nativity_foreign_language_speaker_count,demo_nativity_limited_english_households,demo_nativity_naturalization_rate_estimate,demo_nativity_visa_class_at_entry,demo_nativity_refugee_admission_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_cultural_linguistic_diversity_index
2024,66338074,International_migrant,Sri_Lanka,2020,Other,Intermediate,Kannada,Gujarati,Assamese,Odia,10,130738,32070,0.022,Tourist,Y,N,Y,0.648
2020,59073432,Interstate_migrant,Pakistan,2009,Resident,Basic,Marathi,Bengali,Bengali,Tamil,5,106486,31061,0.739,Study,N,Y,Y,0.598
2023,98369947,Interstate_migrant,Myanmar,2019,OCI,Basic,Odia,Urdu,Hindi,Odia,6,50948,11107,0.928,Work,N,N,N,0.248
2025,14988094,Interstate_migrant,Bhutan,2024,Resident,None,Odia,Bengali,Odia,Gujarati,4,134133,27204,0.332,Tourist,N,N,N,0.932
2018,98727692,Native,Pakistan,2021,OCI,Advanced,Tamil,Marathi,Assamese,Malayalam,3,122509,23939,0.478,Work,Y,N,N,0.022
2022,85081378,International_migrant,India,1995,Other,Basic,Malayalam,Other,Hindi,Telugu,8,42933,20129,0.763,Other,N,N,N,0.869
2019,22212665,Native,Nepal,2007,Citizen,Intermediate,Hindi,Punjabi,Other,Hindi,0,3879,24236,0.231,Other,Y,Y,N,0.895
2021,29070559,Interstate_migrant,Sri_Lanka,1995,Other,Basic,Gujarati,Bengali,Other,Marathi,1,94639,6906,0.52,Tourist,Y,Y,N,0.474
2025,38978654,Native,Bhutan,2002,Other,Intermediate,Odia,Kannada,Punjabi,Odia,3,69585,30153,0.917,Refugee,Y,Y,Y,0.834
2020,32643723,Interstate_migrant,Nepal,2024,Resident,Advanced,Punjabi,Telugu,Assamese,Hindi,6,147781,19412,0.883,Other,N,Y,Y,0.334
2025,86434782,International_migrant,Pakistan,1996,OCI,Intermediate,Odia,Kannada,Marathi,Malayalam,7,131072,19362,0.995,Family,N,Y,Y,0.654
2020,31726596,International_migrant,Bhutan,2023,Other,None,Telugu,Gujarati,Bengali,Odia,3,96974,27187,0.284,Family,Y,N,Y,0.459
2019,36904884,Interstate_migrant,Nepal,2016,Citizen,None,Hindi,Marathi,Malayalam,Assamese,5,146545,31821,0.938,Other,N,Y,Y,0.765
2023,21721443,Native,Pakistan,2019,OCI,None,Odia,Tamil,Marathi,Punjabi,4,51009,1222,0.207,Work,Y,N,Y,0.341
2025,90502668,Interstate_migrant,Nepal,2009,Resident,Intermediate,Gujarati,Bengali,Urdu,Other,10,82121,12346,0.248,Family,Y,Y,N,0.169
2019,37245561,International_migrant,Bangladesh,2015,OCI,Intermediate,Odia,Punjabi,Bengali,Tamil,8,161294,2055,0.976,Family,Y,Y,N,0.598
2022,75702548,Interstate_migrant,Bhutan,1999,Citizen,None,Telugu,Malayalam,Bengali,Urdu,2,88885,31332,0.545,Work,Y,Y,Y,0.989
2024,37839216,Native,Myanmar,1995,Resident,Advanced,Other,Punjabi,Tamil,Gujarati,8,148084,7677,0.071,Work,N,N,Y,0.357
2019,77113970,International_migrant,Bhutan,1993,OCI,Advanced,Urdu,Kannada,Malayalam,Odia,0,179738,26297,0.892,Family,N,Y,N,0.95
2020,61650539,International_migrant,Other,1994,Other,Advanced,Telugu,Other,Kannada,Odia,1,72988,11675,0.407,Refugee,Y,N,N,0.819
2023,60410298,Interstate_migrant,Nepal,2011,OCI,None,Marathi,Odia,Kannada,Malayalam,9,174151,17053,0.211,Work,Y,N,N,0.13
2018,16444161,International_migrant,Bhutan,2003,Citizen,Intermediate,Odia,Marathi,Odia,Malayalam,6,125434,253,0.519,Work,N,N,Y,0.151
2024,71380521,Interstate_migrant,Myanmar,2015,OCI,Basic,Punjabi,Telugu,Kannada,Other,10,11584,24150,0.929,Family,Y,Y,N,0.042
2025,24322127,International_migrant,Bangladesh,1991,OCI,None,Other,Malayalam,Kannada,Marathi,1,22065,35055,0.934,Other,Y,Y,Y,0.829
2022,37225418,Interstate_migrant,Myanmar,2017,Other,None,Other,Telugu,Telugu,Malayalam,5,52892,1310,0.724,Work,N,Y,Y,0.181
2021,29090631,International_migrant,Pakistan,2020,Other,Basic,Tamil,Gujarati,Telugu,Kannada,3,188558,799,0.03,Other,Y,Y,Y,0.674
2019,29303615,International_migrant,Bhutan,2022,Resident,None,Assamese,Kannada,Odia,Urdu,4,160325,35998,0.918,Family,N,N,Y,0.598
2018,66946137,International_migrant,Pakistan,2011,OCI,Basic,Other,Urdu,Hindi,Malayalam,1,110233,7611,0.267,Work,N,Y,N,0.65
2024,84611167,Native,Other,1990,OCI,Advanced,Punjabi,Other,Malayalam,Assamese,2,31222,19499,0.378,Refugee,N,N,N,0.19
2018,18569681,International_migrant,Sri_Lanka,2021,Resident,Basic,Hindi,Telugu,Urdu,Assamese,6,9066,24064,0.169,Work,Y,N,N,0.927
2021,72057142,Interstate_migrant,Myanmar,2024,Citizen,Intermediate,Tamil,Hindi,Malayalam,Other,1,189720,7685,0.067,Refugee,Y,Y,Y,0.887
2020,12794195,Native,Nepal,2025,Resident,None,Telugu,Gujarati,Assamese,Gujarati,7,197229,15978,0.168,Refugee,Y,Y,N,0.194
2023,49537633,Interstate_migrant,Sri_Lanka,2012,Other,Intermediate,Malayalam,Tamil,Other,Tamil,1,170963,31312,0.36,Study,N,Y,Y,0.066
2023,85347882,Interstate_migrant,Bhutan,1993,Resident,Advanced,Marathi,Malayalam,Urdu,Hindi,5,141445,3665,0.785,Study,N,Y,N,0.484
2022,26292953,International_migrant,Nepal,1995,Other,Intermediate,Odia,Hindi,Urdu,Assamese,3,11616,23105,0.642,Work,N,N,N,0.172
2023,44512090,International_migrant,Bhutan,2005,Other,Basic,Tamil,Telugu,Odia,Bengali,9,42130,15638,0.991,Family,N,Y,Y,0.252
2024,76269207,International_migrant,Bangladesh,2019,Citizen,Advanced,Malayalam,Assamese,Assamese,Assamese,8,7711,25270,0.011,Other,N,N,N,0.188
2019,33373375,Interstate_migrant,Other,2004,Citizen,Advanced,Odia,Punjabi,Other,Tamil,1,81024,31510,0.101,Study,Y,N,Y,0.896
2020,35338917,Native,Bangladesh,2004,OCI,None,Tamil,Punjabi,Kannada,Punjabi,1,196329,6606,0.924,Refugee,N,N,N,0.813
2020,25447282,International_migrant,Sri_Lanka,1992,OCI,None,Odia,Other,Telugu,Telugu,2,85540,35576,0.64,Tourist,N,N,Y,0.358
2019,75784010,International_migrant,Bangladesh,2008,Citizen,Intermediate,Odia,Gujarati,Urdu,Urdu,5,73906,309,0.216,Tourist,N,N,Y,0.679
2020,87433315,International_migrant,Bhutan,2018,Citizen,None,Kannada,Bengali,Other,Gujarati,7,67454,19916,0.39,Tourist,Y,N,N,0.379
2020,51915741,International_migrant,Myanmar,2003,Citizen,Basic,Bengali,Malayalam,Marathi,Assamese,1,144674,10071,0.597,Work,N,Y,Y,0.899
2018,41325481,Interstate_migrant,Myanmar,2005,OCI,Advanced,Assamese,Urdu,Telugu,Assamese,5,188479,7710,0.191,Other,Y,Y,Y,0.81
2025,58237517,Native,Bangladesh,2008,OCI,Basic,Hindi,Tamil,Hindi,Kannada,0,102061,36621,0.495,Refugee,N,N,N,0.079
2020,75650648,Interstate_migrant,Bangladesh,2010,OCI,Basic,Tamil,Assamese,Kannada,Gujarati,8,159833,30540,0.859,Work,Y,N,N,0.334
2023,23299923,International_migrant,Pakistan,2004,Citizen,Advanced,Gujarati,Punjabi,Punjabi,Bengali,6,110361,20421,0.884,Tourist,N,N,N,0.978
2023,33129332,Interstate_migrant,Other,2022,OCI,Basic,Marathi,Telugu,Gujarati,Hindi,4,59824,3691,0.252,Family,N,Y,Y,0.924
2021,48273642,International_migrant,India,2000,Citizen,None,Bengali,Hindi,Kannada,Odia,7,178255,12267,0.454,Other,N,N,Y,0.126
2023,61265039,Interstate_migrant,Other,2002,Other,Advanced,Tamil,Urdu,Odia,Other,5,57722,37136,0.541,Family,N,N,Y,0.687
2019,17338797,Interstate_migrant,Sri_Lanka,2010,Citizen,Basic,Assamese,Tamil,Malayalam,Odia,0,85670,38110,0.083,Other,N,Y,Y,0.972
2019,71155751,International_migrant,Myanmar,2023,OCI,Intermediate,Hindi,Bengali,Hindi,Other,2,161549,974,0.095,Work,Y,Y,Y,0.418
2018,68358656,Interstate_migrant,Myanmar,2002,Other,None,Urdu,Other,Hindi,Marathi,7,42782,30281,0.518,Other,Y,Y,N,0.869
2022,89304233,International_migrant,Bangladesh,2022,Other,None,Kannada,Odia,Telugu,Assamese,1,10152,36913,0.902,Other,N,Y,Y,0.601
2024,20092337,Interstate_migrant,Myanmar,2017,Other,Intermediate,Other,Bengali,Kannada,Kannada,10,176660,16521,0.991,Tourist,Y,N,Y,0.042
2018,24122024,Interstate_migrant,Other,2004,Other,Basic,Marathi,Kannada,Other,Odia,2,174868,31257,0.367,Family,N,Y,Y,0.321
2025,20907287,International_migrant,Pakistan,2008,Citizen,Advanced,Telugu,Other,Marathi,Gujarati,3,163524,12043,0.052,Tourist,Y,N,Y,0.476
2019,64195479,International_migrant,Nepal,2007,Resident,None,Urdu,Tamil,Odia,Odia,0,178612,11735,0.51,Study,Y,Y,N,0.508
2024,31442219,International_migrant,Nepal,2012,Resident,Advanced,Gujarati,Odia,Urdu,Assamese,8,53363,3997,0.599,Work,N,N,N,0.331
2019,41626551,Interstate_migrant,Nepal,2022,Citizen,Basic,Kannada,Punjabi,Other,Bengali,10,144254,26849,0.902,Tourist,N,N,N,0.258
2025,59773408,Native,Sri_Lanka,1995,Citizen,Intermediate,Other,Telugu,Malayalam,Hindi,9,49702,31293,0.44,Work,Y,N,N,0.108
2020,50026637,Native,India,1997,Resident,None,Tamil,Assamese,Kannada,Odia,0,11520,34337,0.339,Other,N,N,N,0.926
2024,94880024,International_migrant,Other,1996,OCI,Basic,Gujarati,Marathi,Malayalam,Marathi,10,85277,7943,0.346,Other,N,Y,N,0.917
2020,76421947,International_migrant,Other,2000,Citizen,Basic,Urdu,Punjabi,Other,Bengali,3,152407,14837,0.658,Other,Y,N,Y,0.596
2023,66342229,Interstate_migrant,Bhutan,2015,Citizen,None,Punjabi,Tamil,Assamese,Hindi,4,58722,33966,0.747,Work,Y,N,Y,0.667
2024,96204170,Native,India,2018,Resident,None,Telugu,Odia,Punjabi,Malayalam,2,126355,30499,0.309,Study,N,N,Y,0.27
2021,88935571,Native,Nepal,1997,Other,Advanced,Tamil,Kannada,Gujarati,Telugu,6,1731,26281,0.538,Work,Y,N,Y,0.278
2019,88870872,Native,Pakistan,1997,OCI,Advanced,Punjabi,Odia,Punjabi,Kannada,9,17119,31743,0.894,Work,Y,Y,Y,0.146
2019,28616365,International_migrant,Bhutan,1996,Resident,Advanced,Malayalam,Gujarati,Kannada,Tamil,4,94557,31734,0.897,Refugee,Y,Y,Y,0.184
2023,70953074,Interstate_migrant,Other,2007,Citizen,Advanced,Kannada,Tamil,Gujarati,Assamese,6,173930,23973,0.578,Work,N,Y,Y,0.847
2021,24507852,Native,Bhutan,2017,Resident,Advanced,Other,Urdu,Urdu,Malayalam,2,184055,38609,0.047,Tourist,N,N,Y,0.62
2019,67238263,Native,Myanmar,2001,Citizen,None,Kannada,Assamese,Bengali,Assamese,8,55536,26189,0.392,Study,Y,N,N,0.821
2023,87253051,Native,Nepal,2021,Other,Basic,Tamil,Other,Punjabi,Kannada,0,167579,34168,0.95,Tourist,N,N,N,0.513
2025,39688971,Interstate_migrant,Myanmar,2013,OCI,Advanced,Punjabi,Malayalam,Malayalam,Other,10,99235,29866,0.807,Family,Y,N,N,0.116
2024,66845374,Interstate_migrant,Other,1992,OCI,Intermediate,Malayalam,Bengali,Punjabi,Tamil,0,36980,18732,0.435,Study,Y,Y,Y,0.377
2018,74347855,International_migrant,Bangladesh,2004,Resident,Intermediate,Malayalam,Tamil,Gujarati,Bengali,6,143424,7409,0.252,Other,N,N,Y,0.709
2022,20024665,Native,Sri_Lanka,2016,Citizen,Advanced,Odia,Bengali,Hindi,Gujarati,3,198112,19370,0.801,Study,N,Y,Y,0.75
2023,63895078,International_migrant,Nepal,1998,Other,Advanced,Hindi,Tamil,Tamil,Kannada,2,66327,37347,0.195,Work,N,N,Y,0.251
2023,63488265,Native,India,1992,Resident,None,Malayalam,Urdu,Odia,Assamese,10,124303,981,0.756,Family,Y,N,N,0.893
2024,54472800,International_migrant,Nepal,2020,Citizen,None,Assamese,Hindi,Other,Marathi,1,22340,8314,0.781,Study,N,N,N,0.753
2024,87144728,Native,Myanmar,1999,Other,Basic,Malayalam,Bengali,Bengali,Tamil,3,72879,29243,0.012,Refugee,Y,N,Y,0.292
2023,11046396,Interstate_migrant,Bhutan,2020,OCI,Intermediate,Bengali,Other,Malayalam,Odia,9,93233,27632,0.151,Family,N,Y,Y,0.032
2021,26927292,Native,Bhutan,2014,Resident,Intermediate,Gujarati,Bengali,Odia,Gujarati,3,70254,22091,0.725,Other,N,N,N,0.173
2021,53647516,International_migrant,Pakistan,2023,Citizen,Advanced,Gujarati,Malayalam,Punjabi,Gujarati,5,7875,38977,0.108,Study,N,N,N,0.638
2018,15940869,International_migrant,Bangladesh,2025,OCI,None,Other,Tamil,Punjabi,Kannada,8,177531,30423,0.018,Study,N,Y,N,0.389
2021,60869845,International_migrant,Nepal,2022,OCI,Intermediate,Marathi,Other,Assamese,Gujarati,4,62396,15999,0.431,Study,N,N,Y,0.778
2018,48433899,International_migrant,India,1994,OCI,Advanced,Marathi,Marathi,Marathi,Other,1,156768,13430,0.472,Tourist,N,Y,N,0.976
2023,30915243,Interstate_migrant,Bangladesh,1991,OCI,Intermediate,Punjabi,Gujarati,Malayalam,Tamil,3,164505,16840,0.832,Tourist,N,N,N,0.782
2024,31907171,Interstate_migrant,Nepal,2024,Other,Basic,Tamil,Assamese,Gujarati,Telugu,10,56553,15496,0.57,Tourist,N,Y,N,0.882
2020,36236402,Native,India,2021,OCI,None,Marathi,Kannada,Hindi,Assamese,8,149598,19171,0.364,Family,Y,N,Y,0.684
2019,86428977,International_migrant,Sri_Lanka,2016,Other,Intermediate,Kannada,Gujarati,Malayalam,Assamese,9,72576,2419,0.515,Family,N,N,N,0.071
2018,43533435,Native,Pakistan,2005,Other,Basic,Bengali,Punjabi,Kannada,Other,6,89334,39197,0.919,Refugee,Y,Y,N,0.795
2019,85667660,International_migrant,Other,2008,Citizen,Basic,Marathi,Assamese,Other,Malayalam,1,44312,15437,0.032,Work,N,N,Y,0.069
2024,15672743,Interstate_migrant,Pakistan,2022,Citizen,None,Urdu,Other,Assamese,Bengali,6,149072,469,0.846,Work,Y,Y,Y,0.057
2024,57967070,Interstate_migrant,India,2003,Other,None,Hindi,Kannada,Assamese,Malayalam,2,93594,24654,0.475,Work,N,Y,N,0.309
2020,35208421,International_migrant,India,1997,OCI,Basic,Other,Other,Marathi,Odia,7,96600,39221,0.0,Other,N,Y,Y,0.006
2024,76476271,Native,India,2012,Resident,Intermediate,Bengali,Gujarati,Hindi,Hindi,2,83480,17880,0.955,Refugee,Y,Y,N,0.906
2023,67550590,Interstate_migrant,Nepal,1999,Other,Basic,Telugu,Bengali,Odia,Malayalam,5,188840,20688,0.456,Tourist,N,Y,N,0.741
2023,17675376,Native,Other,2002,Other,None,Bengali,Other,Gujarati,Punjabi,9,32299,4117,0.341,Work,N,Y,N,0.839
2018,34290832,Native,Bangladesh,2015,Other,Intermediate,Bengali,Kannada,Other,Gujarati,4,89297,30550,0.597,Other,N,Y,N,0.543
2023,86242828,Native,Myanmar,1991,Citizen,Basic,Gujarati,Hindi,Punjabi,Tamil,2,123565,14555,0.969,Other,Y,N,N,0.49
2019,87416544,Interstate_migrant,Nepal,1992,Citizen,Intermediate,Telugu,Malayalam,Other,Bengali,7,114584,3794,0.219,Refugee,Y,N,Y,0.448
2021,38275138,International_migrant,Myanmar,2022,Other,Intermediate,Kannada,Other,Odia,Urdu,3,140152,39933,0.709,Refugee,N,Y,N,0.881
2024,94331899,Interstate_migrant,Other,2018,Resident,Basic,Bengali,Kannada,Assamese,Malayalam,10,97423,28221,0.654,Tourist,Y,N,N,0.928
2022,95401545,Native,Pakistan,1993,Resident,Advanced,Malayalam,Kannada,Odia,Other,10,164405,1785,0.016,Family,Y,Y,N,0.613
2018,96699410,International_migrant,Bangladesh,1998,Citizen,Basic,Bengali,Other,Telugu,Odia,0,174909,3404,0.38,Study,Y,N,Y,0.587
2018,92605198,Interstate_migrant,Bhutan,1998,Resident,Basic,Hindi,Gujarati,Kannada,Other,6,87983,30261,0.269,Family,N,N,N,0.664
2024,21319584,Native,Bhutan,2017,Citizen,None,Tamil,Odia,Other,Tamil,1,196264,29960,0.976,Work,N,Y,Y,0.04
2025,20026981,Native,Pakistan,2018,Citizen,Advanced,Telugu,Kannada,Tamil,Assamese,7,102096,5033,0.115,Other,N,N,Y,0.656
2019,19964820,International_migrant,Myanmar,2008,Citizen,None,Malayalam,Gujarati,Marathi,Hindi,4,151239,7611,0.193,Study,Y,Y,Y,0.126
2024,42024217,Native,Other,2009,Other,Intermediate,Assamese,Other,Assamese,Odia,8,98854,7405,0.251,Work,Y,N,N,0.045
2022,65963507,International_migrant,Other,2014,Resident,Basic,Kannada,Hindi,Bengali,Odia,2,142520,37465,0.427,Other,Y,N,N,0.212
2022,52130200,International_migrant,Myanmar,2023,OCI,Basic,Hindi,Marathi,Malayalam,Kannada,0,109083,23792,0.993,Work,N,N,N,0.38
2025,60079527,Native,India,2019,Resident,Basic,Marathi,Kannada,Tamil,Hindi,0,175390,29825,0.731,Tourist,Y,Y,N,0.83
2024,92968981,International_migrant,Nepal,2020,Other,Basic,Odia,Tamil,Marathi,Bengali,5,21163,4995,0.26,Study,N,N,Y,0.929
2025,48045671,International_migrant,India,2015,OCI,Basic,Gujarati,Hindi,Odia,Gujarati,3,98832,4473,0.865,Other,N,Y,Y,0.785
2022,84759997,International_migrant,Nepal,2013,Citizen,Advanced,Hindi,Marathi,Telugu,Tamil,2,192122,8775,0.565,Tourist,N,Y,N,0.025
2024,60954405,International_migrant,India,2003,Resident,Intermediate,Urdu,Hindi,Hindi,Gujarati,9,99605,21438,0.852,Tourist,Y,Y,Y,0.872
2019,32800536,Native,Myanmar,1991,Other,Basic,Kannada,Bengali,Punjabi,Bengali,0,195589,5298,0.553,Family,N,N,N,0.144
2022,41771242,International_migrant,Bangladesh,2008,OCI,None,Tamil,Telugu,Odia,Hindi,9,163057,38455,0.919,Refugee,N,Y,N,0.333
2025,75094034,Native,Other,2016,Citizen,Intermediate,Punjabi,Odia,Assamese,Gujarati,6,150296,23478,0.461,Family,N,Y,Y,0.722
2018,15937013,Native,Pakistan,2001,OCI,Advanced,Malayalam,Gujarati,Hindi,Other,1,49131,20687,0.673,Family,Y,N,N,0.688
2020,25549106,Interstate_migrant,Pakistan,2022,OCI,Intermediate,Punjabi,Telugu,Odia,Hindi,5,77130,11490,0.292,Work,N,Y,N,0.415
2024,22733787,Native,Myanmar,2007,Resident,None,Punjabi,Other,Malayalam,Gujarati,7,110473,16893,0.765,Tourist,Y,N,Y,0.603
2019,26244433,Native,Other,1991,OCI,Advanced,Other,Bengali,Urdu,Malayalam,7,109008,31915,0.683,Refugee,Y,Y,Y,0.631
2022,34409107,International_migrant,Pakistan,2014,Resident,Basic,Telugu,Urdu,Hindi,Tamil,1,156177,37065,0.229,Other,N,Y,N,0.74
2022,43530896,International_migrant,Pakistan,2021,OCI,None,Malayalam,Other,Tamil,Hindi,6,100138,5861,0.782,Work,N,N,N,0.234
2023,99160625,Interstate_migrant,Bangladesh,2000,OCI,None,Other,Assamese,Marathi,Tamil,2,26951,5792,0.637,Other,N,N,N,0.689
2024,42960222,International_migrant,Sri_Lanka,1993,Citizen,None,Malayalam,Urdu,Urdu,Other,2,70522,25244,0.984,Tourist,Y,Y,Y,0.899
2023,19050646,Native,India,2019,Citizen,Basic,Punjabi,Telugu,Gujarati,Telugu,2,135721,18231,0.051,Tourist,Y,N,N,0.56
2021,15423413,Interstate_migrant,Myanmar,2016,Other,Intermediate,Kannada,Hindi,Gujarati,Assamese,0,95629,35248,0.809,Refugee,N,Y,Y,0.365
2020,88824026,Native,Pakistan,2001,Resident,Advanced,Gujarati,Assamese,Punjabi,Malayalam,9,88704,13383,0.279,Work,Y,Y,Y,0.671
2022,16195457,Native,Sri_Lanka,1996,Citizen,Basic,Malayalam,Bengali,Tamil,Assamese,8,1406,5634,0.23,Work,N,Y,Y,0.273
2022,99393304,Native,Bhutan,2017,Citizen,Basic,Odia,Tamil,Other,Bengali,8,109619,9488,0.087,Work,Y,Y,N,0.636
2020,99164668,Native,Bhutan,2022,OCI,Basic,Odia,Kannada,Hindi,Marathi,9,68867,27106,0.298,Refugee,Y,Y,Y,0.591
2022,63805493,International_migrant,Bangladesh,2007,Other,Basic,Punjabi,Kannada,Marathi,Bengali,8,170462,21729,0.448,Refugee,Y,N,N,0.137
2018,32570317,Native,Nepal,1997,OCI,None,Telugu,Tamil,Malayalam,Marathi,1,10595,39005,0.045,Study,N,Y,N,0.886
2022,96245042,International_migrant,Bangladesh,2007,OCI,Advanced,Bengali,Urdu,Marathi,Tamil,6,172119,7543,0.714,Family,N,Y,Y,0.465
2019,66843366,International_migrant,Myanmar,1991,Resident,Basic,Urdu,Telugu,Marathi,Urdu,10,148969,27607,0.094,Family,N,N,Y,0.772
2022,39269513,International_migrant,Myanmar,1998,Resident,Intermediate,Urdu,Other,Assamese,Kannada,10,169682,34617,0.474,Work,Y,N,Y,0.493
2018,20897378,International_migrant,India,2016,Other,None,Gujarati,Bengali,Hindi,Assamese,9,149397,19063,0.033,Work,N,N,N,0.019
2018,33072807,Native,Nepal,2006,Citizen,None,Assamese,Punjabi,Telugu,Punjabi,1,142210,36467,0.693,Work,N,N,N,0.489
2022,19153275,Native,Pakistan,1994,OCI,None,Urdu,Hindi,Marathi,Other,7,174017,23380,0.419,Other,N,Y,Y,0.647
2023,51659451,Interstate_migrant,India,2021,Citizen,None,Odia,Kannada,Malayalam,Kannada,6,18513,22767,0.776,Other,Y,Y,Y,0.657
2022,25056533,Interstate_migrant,Myanmar,2001,OCI,Advanced,Punjabi,Assamese,Malayalam,Other,3,100328,10219,0.676,Study,Y,N,Y,0.74
2022,92269134,Native,Nepal,1990,Resident,Basic,Other,Punjabi,Punjabi,Malayalam,5,133599,8425,0.538,Tourist,Y,Y,N,0.864
2019,95822386,Interstate_migrant,Other,2002,OCI,Intermediate,Bengali,Other,Hindi,Assamese,8,111551,36424,0.034,Refugee,N,Y,Y,0.864
2025,99284333,Interstate_migrant,India,1996,Resident,None,Marathi,Kannada,Punjabi,Bengali,7,176383,21981,0.769,Family,Y,Y,N,0.384
2023,41277029,International_migrant,Other,2002,Other,Intermediate,Marathi,Bengali,Urdu,Other,6,74413,34313,0.174,Refugee,N,N,Y,0.279
2024,30385372,International_migrant,Bangladesh,1999,Resident,Advanced,Malayalam,Odia,Hindi,Telugu,0,140255,14161,0.596,Tourist,N,N,Y,0.83
2021,27475354,Interstate_migrant,India,2020,OCI,Advanced,Telugu,Bengali,Telugu,Assamese,0,194072,17928,0.036,Other,Y,Y,Y,0.019
2021,16422759,Interstate_migrant,Pakistan,2025,Citizen,Basic,Marathi,Telugu,Urdu,Urdu,9,168912,9042,0.126,Refugee,N,N,N,0.757
2019,54516303,Native,Other,1993,OCI,Intermediate,Hindi,Odia,Hindi,Kannada,3,60641,33720,0.153,Refugee,Y,N,N,0.292
2021,97253573,International_migrant,Nepal,1991,Resident,Advanced,Bengali,Tamil,Urdu,Marathi,5,180897,36790,0.601,Study,Y,Y,N,0.274
2018,78658778,Native,Bangladesh,1994,Other,Intermediate,Malayalam,Hindi,Assamese,Kannada,10,6262,32562,0.467,Work,N,Y,N,0.4
2025,41439466,Interstate_migrant,Other,2022,Resident,None,Bengali,Marathi,Assamese,Bengali,3,175677,2482,0.438,Refugee,N,Y,N,0.625
2020,53480668,International_migrant,Bangladesh,2018,OCI,None,Assamese,Marathi,Odia,Urdu,0,48582,1662,0.484,Other,Y,Y,Y,0.827
2019,48847440,International_migrant,Nepal,2011,OCI,None,Kannada,Telugu,Marathi,Punjabi,7,119178,21303,0.217,Tourist,N,Y,N,0.977
2019,64355339,Interstate_migrant,Nepal,2015,Citizen,Basic,Assamese,Odia,Marathi,Marathi,8,131906,28709,0.96,Tourist,N,N,N,0.644
2024,64964193,Interstate_migrant,Myanmar,2022,Resident,Advanced,Punjabi,Malayalam,Odia,Tamil,2,1816,16403,0.604,Work,Y,N,Y,0.175
2020,19243660,Native,Pakistan,2005,Other,None,Odia,Urdu,Gujarati,Other,8,47669,6966,0.982,Other,N,N,Y,0.994
2020,26401869,Interstate_migrant,India,2021,Other,Basic,Kannada,Urdu,Malayalam,Odia,5,59689,6039,0.154,Work,N,Y,Y,0.285
2021,16236800,Interstate_migrant,Other,2011,Other,None,Punjabi,Malayalam,Hindi,Malayalam,7,69544,4644,0.221,Refugee,N,N,N,0.424
2021,27222532,Interstate_migrant,Other,1991,Citizen,Basic,Malayalam,Assamese,Telugu,Hindi,6,51235,13879,0.541,Study,N,Y,N,0.751
2019,19796706,Interstate_migrant,Pakistan,2003,Other,Intermediate,Kannada,Malayalam,Marathi,Hindi,8,168620,37190,0.961,Work,Y,Y,Y,0.639
2019,71603925,Native,Sri_Lanka,1997,Resident,Advanced,Marathi,Punjabi,Odia,Marathi,9,166042,39057,0.076,Study,N,Y,Y,0.361
2024,10429381,International_migrant,Sri_Lanka,2020,Citizen,Basic,Bengali,Punjabi,Punjabi,Other,1,135840,35407,0.863,Study,Y,Y,Y,0.968
2025,65662905,Native,Other,1999,Other,Basic,Other,Tamil,Kannada,Punjabi,4,57515,23563,0.917,Tourist,N,Y,Y,0.792
2022,69711240,Native,Sri_Lanka,2021,Other,Advanced,Bengali,Assamese,Tamil,Assamese,2,180069,18922,0.14,Study,Y,Y,Y,0.08
2022,34959274,Interstate_migrant,Bangladesh,2022,Resident,Advanced,Punjabi,Tamil,Gujarati,Telugu,9,16056,16939,0.657,Tourist,N,Y,Y,0.401
2021,36614252,International_migrant,India,1996,Citizen,Basic,Gujarati,Tamil,Gujarati,Gujarati,3,113855,30023,0.111,Refugee,Y,N,N,0.42
2018,65826833,Native,Bangladesh,2004,Citizen,None,Telugu,Hindi,Bengali,Other,9,1241,12708,0.827,Family,Y,N,N,0.217
2024,45177826,International_migrant,Other,2018,Citizen,Basic,Hindi,Urdu,Kannada,Tamil,3,46338,20350,0.181,Study,Y,N,Y,0.51
2020,68321801,Native,Other,2009,Citizen,None,Odia,Urdu,Marathi,Odia,1,19380,32508,0.867,Work,Y,N,Y,0.451
2022,49156757,Interstate_migrant,Other,2006,Other,Basic,Assamese,Tamil,Hindi,Telugu,2,54027,28910,0.089,Other,Y,N,N,0.853
2021,84545565,Interstate_migrant,Sri_Lanka,1993,Resident,Intermediate,Kannada,Telugu,Urdu,Malayalam,3,41334,25560,0.017,Family,N,Y,N,0.86
2020,30469472,Native,Bhutan,2003,Resident,Intermediate,Kannada,Tamil,Kannada,Urdu,10,76411,37114,0.913,Tourist,N,N,N,0.391
2024,21864753,Interstate_migrant,Other,1998,Resident,Intermediate,Urdu,Odia,Bengali,Other,7,341,22126,0.085,Refugee,Y,Y,Y,0.057
2024,36959363,Interstate_migrant,Sri_Lanka,2019,Resident,Advanced,Telugu,Punjabi,Bengali,Marathi,0,54160,18096,0.436,Tourist,N,Y,Y,0.5
