econ_fiscal_reference_year,econ_fiscal_country_iso2,econ_fiscal_gov_sector_esa2010,econ_fiscal_deficit_surplus_eur,econ_fiscal_deficit_surplus_pct_gdp,econ_fiscal_gross_debt_eur,econ_fiscal_gross_debt_pct_gdp,econ_fiscal_interest_expenditure_eur,econ_fiscal_primary_balance_pct_gdp,econ_fiscal_structural_balance_pct_gdp,econ_fiscal_excessive_deficit_procedure_status,econ_fiscal_sgp_corrective_arm_flag,econ_fiscal_sgp_preventive_arm_flag,econ_fiscal_debt_reduction_benchmark_flag,econ_fiscal_expenditure_benchmark_flag,econ_fiscal_one_off_measures_eur,econ_fiscal_revenue_total_eur,econ_fiscal_expenditure_total_eur,econ_fiscal_eurostat_table_code,econ_fiscal_data_extract_date
2026,LT,S1312,8715752334.84,1.022,1025644491488.53,120.266,13486220461.61,-0.005,1.85,UNKNOWN,0,0,0,1,106986861.96,353544680977.48,344828928642.64,gov_10q_ggdebt,2025-09-21
2010,PT,S1314,48115011622.48,5.632,1544814804089.98,180.825,20151027983.3,5.765,7.532,ON_WATCHLIST,0,1,1,1,829471836.03,406260715019.36,358145703396.88,gov_10dd_edpt2,2024-01-17
2011,SE,S1311,-96123833431.45,-11.205,453596402738.75,52.875,11743018043.55,-10.756,-10.485,OUT_EDP,0,1,0,1,942686105.95,394996954768.1,491120788199.55,gov_10dd_sgpe,2026-02-13
2012,CY,S1313,29852142505.03,3.473,1289787904246.84,150.054,16020159472.25,2.373,2.218,IN_EDP,1,0,0,1,1101184863.45,439681849869.51,409829707364.48,gov_10dd_ma,2025-09-12
2013,FR,S13,-85075116691.29,-9.866,943526676793.42,109.419,36658251019.03,-9.254,-9.705,UNKNOWN,0,0,1,1,334543287.43,444464752302.08,529539868993.37,gov_10dd_edpt1,2025-07-05
2014,IT,S1312,-34609549472.81,-4.004,277498745323.47,32.104,5969937588.17,-4.33,-3.821,ON_WATCHLIST,0,1,0,1,56018070.97,382059446751.46,416668996224.27,gov_10q_ggdebt,2024-02-03
2015,NL,S1314,49521378384.58,5.711,1341473528560.38,154.704,13199524512.05,5.283,7.02,OUT_EDP,0,1,1,0,-636557789.76,415490947396.57,365969569011.99,gov_10dd_edpt2,2025-07-27
2016,SI,S1311,-99964696680.47,-11.495,407607246464.57,46.871,4122283347.92,-12.605,-12.513,IN_EDP,1,0,0,1,-1430403543.67,338981405355.43,438946102035.9,gov_10dd_sgpe,2025-09-11
2017,BG,S1313,-53741939746.52,-6.159,557890024295.12,63.936,22671699548.03,-5.987,-6.954,UNKNOWN,0,0,1,1,1159372393.12,420921238517.69,474663178264.21,gov_10dd_ma,2025-06-01
2018,EE,S13,50757095161.89,5.797,210750954036.0,24.07,8679220370.27,6.447,7.109,ON_WATCHLIST,0,1,0,1,-1922247301.46,411034903092.19,360277807930.3,gov_10dd_edpt1,2025-07-11
2019,HU,S1312,-102622537409.12,-11.703,450686826683.66,51.396,8101425742.25,-12.318,-13.263,OUT_EDP,0,1,0,1,1087662277.98,406018138574.1,508640675983.22,gov_10q_ggdebt,2025-04-16
2020,LU,S1314,-27600164515.93,-3.137,906740629533.75,103.059,37140702163.52,-3.936,-4.19,IN_EDP,1,0,0,1,-1254535022.24,430602492965.63,458202657481.56,gov_10dd_edpt2,2025-05-13
2021,RO,S1311,34426599887.09,3.903,1598292166574.57,181.201,64092139513.69,3.929,5.508,UNKNOWN,0,0,1,1,378571794.9,336788075441.61,302361475554.52,gov_10dd_sgpe,2024-04-09
2022,AT,S1313,-86724839276.24,-9.792,671196407241.71,75.784,5691034331.04,-7.71,-11.741,ON_WATCHLIST,0,1,1,1,-373963043.34,377466967754.28,464191807030.52,gov_10dd_ma,2024-12-28
2023,CZ,S13,-99338787536.76,-11.192,1492389540424.48,168.14,46780403454.18,-9.701,-9.353,OUT_EDP,0,1,1,0,-1463255866.37,434652648490.05,533991436026.81,gov_10dd_edpt1,2025-05-31
2024,DE,S1312,-12379854232.7,-1.392,223708946385.96,25.154,4313105111.2,-1.711,0.508,IN_EDP,1,0,0,1,1772251294.69,351568004247.54,363947858480.24,gov_10q_ggdebt,2025-09-03
2025,LV,S1314,34812818894.65,3.898,499561271855.03,55.936,15546580535.62,5.527,5.561,UNKNOWN,0,0,0,1,292566841.64,350027058950.3,315214240055.65,gov_10dd_edpt2,2025-06-07
2026,PL,S1311,-19031551787.03,-2.125,1279278521063.48,142.84,16806102610.4,-1.821,-2.303,ON_WATCHLIST,0,1,0,0,1932158160.97,420892130757.05,439923682544.08,gov_10dd_sgpe,2025-03-20
2010,ES,S1313,-69967432109.99,-7.798,1256632307865.09,140.054,30847167286.83,-6.031,-7.867,OUT_EDP,0,1,1,1,840740262.31,461791691017.96,531759123127.95,gov_10dd_ma,2025-11-03
2011,HR,S13,-54197376578.29,-6.026,845050963913.57,93.958,19337690465.43,-5.49,-5.95,IN_EDP,1,0,1,0,1812847589.16,409280336238.18,463477712816.47,gov_10dd_edpt1,2024-11-19
2012,FI,S1312,-36587337082.11,-4.052,636368646479.69,70.477,21607164102.62,-3.048,-4.171,UNKNOWN,0,0,0,0,902270509.81,404430771657.53,441018108739.64,gov_10q_ggdebt,2025-02-27
2013,IE,S1314,-78065987113.11,-8.63,738723148505.79,81.664,17756502166.53,-6.205,-7.375,ON_WATCHLIST,0,1,0,1,518003967.38,349467042343.25,427533029456.36,gov_10dd_edpt2,2025-11-25
2014,MT,S1311,-79791037019.25,-8.793,850596229504.86,93.736,12999562319.32,-7.818,-8.37,OUT_EDP,0,1,0,1,1975214730.43,354540289405.53,434331326424.78,gov_10dd_sgpe,2025-12-26
2015,SK,S1313,-18670123077.56,-2.053,400029894756.75,43.988,9076907146.87,-0.94,-2.225,IN_EDP,1,0,0,1,1413818153.94,418286012513.77,436956135591.33,gov_10dd_ma,2024-09-26
2016,BE,S13,-84324191798.8,-9.242,437213908981.45,47.919,7053879881.29,-9.081,-8.925,UNKNOWN,0,0,0,1,888119784.67,394799122454.88,479123314253.68,gov_10dd_edpt1,2024-05-16
2017,DK,S1312,-88806847971.39,-9.714,1171283153721.09,128.119,18428996385.01,-7.825,-10.162,ON_WATCHLIST,0,1,1,0,-182342083.92,448780364802.11,537587212773.5,gov_10q_ggdebt,2024-10-12
2018,GR,S1314,-85672138699.5,-9.331,1489883572918.95,162.271,18593243001.14,-6.944,-9.97,OUT_EDP,0,1,1,1,654801297.76,376879541519.08,462551680218.58,gov_10dd_edpt2,2024-10-01
2019,LT,S1311,-8982247252.25,-0.977,532416500127.86,57.911,8849867798.95,-1.597,0.727,IN_EDP,1,0,0,0,1354079144.39,393182244596.57,402164491848.82,gov_10dd_sgpe,2024-11-03
2020,PT,S1313,3422065133.1,0.371,1101572912628.37,119.426,16060197490.15,1.112,1.766,UNKNOWN,0,0,0,0,-1288380053.9,394212011190.13,390789946057.03,gov_10dd_ma,2024-11-04
2021,SE,S13,46808928127.98,5.061,680343399360.94,73.559,20690876428.67,4.912,3.921,ON_WATCHLIST,0,1,1,1,1125574098.25,384439759168.82,337630831040.84,gov_10dd_edpt1,2026-02-15
2022,CY,S1312,-30722743477.82,-3.31,1257349160870.07,135.464,46784250201.82,-3.912,-3.365,OUT_EDP,0,1,1,1,-730299598.17,357129920846.01,387852664323.83,gov_10q_ggdebt,2025-06-29
2023,FR,S1314,-8702384016.11,-0.936,1524070082752.7,163.924,66432927522.17,0.829,-0.889,IN_EDP,1,0,1,1,1724655513.13,464919320382.02,473621704398.13,gov_10dd_edpt2,2025-10-27
2024,IT,S1311,-19438130688.31,-2.086,202395109563.77,21.72,5523249086.49,-0.345,-2.938,UNKNOWN,0,0,0,1,533657923.07,372797965552.85,392236096241.16,gov_10dd_sgpe,2025-02-13
2025,NL,S1313,-96731628054.47,-10.35,1115488573411.88,119.354,35252007259.75,-9.147,-10.181,ON_WATCHLIST,0,1,1,1,-1941680339.99,476343803673.46,573075431727.93,gov_10dd_ma,2025-08-03
2026,SI,S13,30157600640.39,3.216,695228343867.4,74.139,21249213610.95,3.812,4.1,OUT_EDP,0,1,1,0,-584008770.38,453013258062.1,422855657421.71,gov_10dd_edpt1,2025-01-07
2010,BG,S1312,42231180197.78,4.494,428767703356.5,45.627,15758264609.22,6.099,6.294,IN_EDP,1,0,0,1,398786655.09,451952450598.26,409721270400.48,gov_10q_ggdebt,2025-04-29
2011,EE,S1314,-6388591145.92,-0.678,705684908702.85,74.892,17405310963.68,-1.837,0.838,UNKNOWN,0,0,0,1,-1264849311.19,468249067166.34,474637658312.26,gov_10dd_edpt2,2025-09-05
2012,HU,S1311,-58625180864.99,-6.201,356780692708.1,37.738,10728391765.62,-5.314,-7.012,ON_WATCHLIST,0,1,0,1,24502474.68,470797304332.7,529422485197.69,gov_10dd_sgpe,2025-07-27
2013,LU,S1313,-80180766872.64,-8.461,1215798565972.36,128.296,41823258760.53,-7.025,-10.109,OUT_EDP,0,1,0,0,-1197528854.55,389596904796.05,469777671668.69,gov_10dd_ma,2024-10-27
2014,RO,S13,42872657948.0,4.516,1428895563712.99,150.513,42116666471.45,5.823,2.914,IN_EDP,1,0,0,1,-232559025.94,412807663598.23,369935005650.23,gov_10dd_edpt1,2025-05-19
2015,AT,S1312,-86616521293.58,-9.089,560925123043.27,58.86,8056104041.95,-7.864,-9.268,UNKNOWN,0,0,0,1,513656958.86,388105013941.93,474721535235.51,gov_10q_ggdebt,2025-10-01
2016,CZ,S1314,19494780134.51,2.042,931090556786.77,97.528,32632282750.73,2.699,3.037,ON_WATCHLIST,0,1,0,1,387428623.44,457064532817.5,437569752682.99,gov_10dd_edpt2,2024-07-28
2017,DE,S1311,-39037335627.49,-4.079,665223378801.51,69.509,25991907113.67,-3.389,-4.693,OUT_EDP,0,1,0,1,115471957.54,374736211958.88,413773547586.37,gov_10dd_sgpe,2025-07-01
2018,LV,S1313,-97672672423.97,-10.174,1686336833821.98,175.656,19843674311.93,-9.304,-10.969,IN_EDP,1,0,0,1,-1456737989.3,428906125032.65,526578797456.62,gov_10dd_ma,2024-09-25
2019,PL,S13,-42439049224.86,-4.406,1768232714378.44,183.577,50888109365.03,-5.819,-5.053,UNKNOWN,0,0,1,0,-95612763.07,382377461699.18,424816510924.04,gov_10dd_edpt1,2024-05-25
2020,ES,S1312,-24444139855.03,-2.532,1607762132321.24,166.537,24342913121.81,-3.033,-4.004,ON_WATCHLIST,0,1,0,0,1023452864.65,387505704566.83,411949844421.86,gov_10q_ggdebt,2025-09-11
2021,HR,S1314,-75730212510.33,-7.833,1747576410408.42,180.757,34775686823.38,-9.123,-6.423,OUT_EDP,0,1,1,0,1628821915.22,502318195260.26,578048407770.59,gov_10dd_edpt2,2025-07-20
2022,FI,S1311,-27241613332.38,-2.808,619125811839.73,63.818,15027760907.24,-4.003,-1.216,IN_EDP,1,0,0,0,-1553258357.36,438627253978.16,465868867310.54,gov_10dd_sgpe,2024-10-02
2023,IE,S1313,-36367847274.03,-3.741,1180414190698.03,121.424,27469907747.32,-1.969,-5.26,UNKNOWN,0,0,1,0,-1638574018.05,504330300421.17,540698147695.2,gov_10dd_ma,2024-05-24
2024,MT,S13,-75145439189.23,-7.71,245250932077.65,25.163,10835753158.32,-8.144,-6.004,ON_WATCHLIST,0,1,0,1,269988312.55,474182248007.51,549327687196.74,gov_10dd_edpt1,2025-02-03
2025,SK,S1312,-52674730072.78,-5.393,1843537414620.25,188.747,77606504059.1,-6.776,-6.374,OUT_EDP,0,1,0,1,1720756086.32,400670959670.19,453345689742.97,gov_10q_ggdebt,2025-10-23
2026,BE,S1314,4840224400.85,0.494,1558238720269.85,159.036,22242975676.95,0.519,-0.76,IN_EDP,1,0,1,1,-885497032.94,497609976083.48,492769751682.63,gov_10dd_edpt2,2024-05-22
2010,DK,S1311,-48042113013.83,-4.886,968118388731.51,98.46,25305634529.8,-2.728,-4.129,UNKNOWN,0,0,1,0,1272068007.0,478203020180.57,526245133194.4,gov_10dd_sgpe,2025-03-18
2011,GR,S1313,-20484726938.89,-2.08,1625256265646.44,165.027,25030219441.21,-3.093,-1.903,ON_WATCHLIST,0,1,0,0,675582368.15,378717562237.35,399202289176.24,gov_10dd_ma,2024-03-06
2012,LT,S13,33276581781.32,3.368,1777570184513.2,179.912,14515403476.49,2.764,2.921,OUT_EDP,0,1,1,1,364332474.56,468367326005.35,435090744224.03,gov_10dd_edpt1,2025-05-11
2013,PT,S1312,20752848938.44,2.097,1199558213007.81,121.211,31374904315.02,3.588,1.225,IN_EDP,1,0,1,1,1082481153.63,471924877697.03,451172028758.59,gov_10q_ggdebt,2025-06-01
2014,SE,S1314,-53415905716.69,-5.381,1720426956248.04,173.312,48544954316.53,-5.674,-7.363,UNKNOWN,0,0,0,1,-356670155.51,428092592391.16,481508498107.85,gov_10dd_edpt2,2025-05-14
2015,CY,S1311,19299104958.16,1.939,800499801170.61,80.427,34383701905.84,0.852,3.433,ON_WATCHLIST,0,1,0,1,-1329025359.78,471785878083.69,452486773125.53,gov_10dd_sgpe,2025-08-21
2016,FR,S1313,-106343221931.43,-10.662,1622866188073.62,162.709,51658259335.91,-8.844,-11.939,OUT_EDP,0,1,0,0,-1173334284.01,401619667034.77,507962888966.2,gov_10dd_ma,2025-08-22
2017,IT,S13,-83634569472.29,-8.368,230274914034.59,23.04,7970302776.94,-8.026,-9.566,IN_EDP,1,0,0,1,-1705614896.21,484564795062.96,568199364535.25,gov_10dd_edpt1,2024-07-04
2018,NL,S1312,53997513173.81,5.385,1425273635561.5,142.138,61519413565.86,7.299,7.05,UNKNOWN,0,0,1,1,-1139840789.75,479918098785.2,425920585611.39,gov_10q_ggdebt,2025-09-09
2019,SI,S1314,-92316747846.23,-9.191,554483053868.26,55.204,4623209922.49,-9.965,-8.222,ON_WATCHLIST,0,1,0,1,-790762575.92,387002313272.71,479319061118.94,gov_10dd_edpt2,2026-02-02
2020,BG,S1311,44146170013.35,4.382,1490794602062.03,147.978,61932575612.81,4.959,4.788,OUT_EDP,0,1,1,1,1533222846.73,454443495225.71,410297325212.36,gov_10dd_sgpe,2025-03-19
2021,EE,S1313,-42723123488.11,-4.228,1646062935924.63,162.899,47305172694.52,-4.404,-4.877,IN_EDP,1,0,0,1,900114632.05,454069036118.86,496792159606.97,gov_10dd_ma,2025-10-21
2022,HU,S13,-40156278579.41,-3.969,1806051140502.42,178.508,14897500635.33,-2.441,-5.352,UNKNOWN,0,0,0,1,-481717908.04,511182073370.92,551338351950.33,gov_10dd_edpt1,2024-07-08
2023,LU,S1312,-80168724837.16,-7.902,1205320849693.66,118.805,36137350158.96,-7.313,-9.739,ON_WATCHLIST,0,1,0,1,1007804983.89,498007456019.43,578176180856.59,gov_10q_ggdebt,2025-01-05
2024,RO,S1314,4256443855.64,0.418,1372183816563.25,134.754,12277455505.31,-0.639,0.361,OUT_EDP,0,1,0,0,-73675193.05,480264383373.89,476007939518.25,gov_10dd_edpt2,2026-01-20
2025,AT,S1311,57086154586.17,5.597,613637913975.73,60.164,7854177902.75,5.424,6.624,IN_EDP,1,0,1,0,-779992426.82,431994435722.68,374908281136.51,gov_10dd_sgpe,2026-01-22
2026,CZ,S1313,-32547242337.06,-3.181,1668299405941.62,163.051,46994779528.19,-1.884,-3.752,UNKNOWN,0,0,0,0,-265442093.33,503415356971.91,535962599308.97,gov_10dd_ma,2024-09-12
2010,DE,S13,38412739450.63,3.745,692178076461.16,67.483,29427971140.69,5.482,3.323,ON_WATCHLIST,0,1,1,0,1349338359.6,397707177536.41,359294438085.78,gov_10dd_edpt1,2024-11-21
2011,LV,S1312,-58725010815.98,-5.717,863751742084.04,84.088,12174085013.88,-4.364,-6.074,OUT_EDP,0,1,1,0,-1734905020.5,508365356492.88,567090367308.86,gov_10q_ggdebt,2024-03-27
2012,PL,S1314,6123871922.36,0.595,496692327901.45,48.259,17980592269.84,0.291,-0.049,IN_EDP,1,0,0,0,827801649.7,452325722204.38,446201850282.02,gov_10dd_edpt2,2025-06-05
2013,ES,S1311,35660062396.13,3.454,299445411041.52,29.004,12997825992.88,3.236,5.379,UNKNOWN,0,0,0,0,-668807160.88,524585049627.89,488924987231.76,gov_10dd_sgpe,2025-09-27
2014,HR,S1313,-77319628467.78,-7.476,207954222793.17,20.107,7191352753.32,-8.093,-7.16,ON_WATCHLIST,0,1,0,0,956956627.02,513749328737.19,591068957204.97,gov_10dd_ma,2025-03-17
2015,FI,S13,-69705799533.83,-6.718,1672596781639.49,161.199,69856840657.11,-4.989,-5.869,OUT_EDP,0,1,0,0,1451069487.39,499789342374.95,569495141908.78,gov_10dd_edpt1,2024-03-17
2016,IE,S1312,-117573620752.94,-11.303,1654383483380.65,159.045,43769213349.14,-11.674,-10.865,IN_EDP,1,0,1,0,-1385665867.21,399395408847.48,516969029600.42,gov_10q_ggdebt,2024-05-21
2017,MT,S1314,-122856022742.51,-11.792,1476668548794.74,141.734,17871369265.09,-10.146,-12.389,UNKNOWN,0,0,1,1,-609606914.91,487022973160.34,609878995902.85,gov_10dd_edpt2,2025-09-14
2018,SK,S1311,13647900234.59,1.307,340988662708.9,32.655,4810789281.28,2.66,-0.073,ON_WATCHLIST,0,1,0,1,-1934607944.62,528347466504.04,514699566269.45,gov_10dd_sgpe,2025-11-12
2019,BE,S1313,2263851746.19,0.216,862569438480.23,82.3,17465817083.26,-0.697,1.036,OUT_EDP,0,1,0,1,1893368976.69,534809955137.62,532546103391.43,gov_10dd_ma,2024-05-16
2020,DK,S13,-2464839194.2,-4.935,26737636592.28,53.533,781919607.9,-3.059,-6.922,IN_EDP,1,0,0,1,-1622771061.17,20051446346.44,22516285540.64,gov_10dd_edpt1,2025-05-20
2021,GR,S1312,-2369459727.43,-4.553,71160813575.42,136.738,2025879720.74,-4.213,-3.526,UNKNOWN,0,0,0,1,-1711242879.33,24695919819.81,27065379547.24,gov_10q_ggdebt,2026-02-17
2022,LT,S1314,-3983515429.39,-7.225,103010676570.06,186.833,2394741991.93,-7.277,-7.717,ON_WATCHLIST,0,1,1,0,1936830759.75,28629932916.64,32613448346.03,gov_10dd_edpt2,2025-10-29
2023,PT,S1311,1000882097.8,1.725,54473515866.61,93.884,1294447382.78,2.137,2.518,OUT_EDP,0,1,1,0,-146559530.12,28978079704.39,27977197606.59,gov_10dd_sgpe,2025-04-17
2024,SE,S1313,-479161318.93,-0.801,12377436766.59,20.691,404297182.79,-2.263,-0.775,IN_EDP,1,0,0,1,1473365718.86,25019434158.41,25498595477.34,gov_10dd_ma,2026-02-16
2025,CY,S13,-735870794.72,-1.175,31411349429.63,50.156,272179970.3,0.401,-1.186,UNKNOWN,0,0,0,0,618198797.93,30566210978.52,31302081773.24,gov_10dd_edpt1,2025-02-22
2026,FR,S1312,-4320836237.05,-6.706,40014448677.21,62.103,488149884.36,-6.562,-7.239,ON_WATCHLIST,0,1,1,1,-1911893190.33,25278591439.53,29599427676.58,gov_10q_ggdebt,2024-01-27
2010,IT,S1314,-4385947507.43,-6.51,82988729342.28,123.179,3388833861.65,-4.164,-5.308,OUT_EDP,0,1,1,1,-1981512717.65,31908348734.89,36294296242.32,gov_10dd_edpt2,2026-01-11
2011,NL,S1311,-4501963362.54,-6.504,31578808813.93,45.622,867433767.32,-5.821,-6.657,IN_EDP,1,0,0,1,482111717.46,34354752500.85,38856715863.39,gov_10dd_sgpe,2025-10-27
2012,SI,S1313,-4863397549.07,-6.734,36359204961.47,50.344,1246866130.41,-5.873,-6.269,UNKNOWN,0,0,0,0,-1922986585.33,29189439673.97,34052837223.04,gov_10dd_ma,2024-10-04
2013,BG,S13,-9064073256.94,-11.978,116544246650.06,154.011,1077302050.7,-9.574,-10.52,ON_WATCHLIST,0,1,1,1,-1048668145.1,30676461451.54,39740534708.48,gov_10dd_edpt1,2025-08-22
2014,EE,S1312,1482736213.72,1.92,66683744436.59,86.349,2603689929.85,2.439,3.195,OUT_EDP,0,1,0,0,-1999313473.81,32068321188.14,30585584974.42,gov_10q_ggdebt,2024-08-15
2015,HU,S1314,819454618.46,1.034,145585543829.29,183.702,2349097862.75,2.509,1.627,IN_EDP,1,0,0,1,-658179754.8,33456461953.07,32637007334.61,gov_10dd_edpt2,2025-09-26
2016,LU,S1311,-8877985101.98,-10.815,28348806057.5,34.534,482348420.3,-10.972,-11.848,UNKNOWN,0,0,0,0,1115674093.67,35301789286.88,44179774388.86,gov_10dd_sgpe,2024-07-19
2017,RO,S1313,-2022183203.49,-2.372,118290897224.68,138.754,5207619895.66,-0.12,-1.665,ON_WATCHLIST,0,1,0,1,-612578907.51,41617475860.34,43639659063.83,gov_10dd_ma,2024-03-29
2018,AT,S13,-2014916204.96,-2.292,163020083427.29,185.438,2148716187.09,-1.35,-0.911,OUT_EDP,0,1,0,0,-83071198.29,34109366462.17,36124282667.13,gov_10dd_edpt1,2024-07-06
2019,CZ,S1312,-88729950.73,-0.099,149121885470.95,166.382,2523778581.14,-1.425,-1.65,IN_EDP,1,0,0,0,425726158.92,44109064814.85,44197794765.58,gov_10q_ggdebt,2024-08-31
2020,DE,S1314,-6682344950.59,-7.193,165847199071.9,178.521,1799245425.57,-6.776,-7.64,UNKNOWN,0,0,0,1,1603461403.86,44672517123.85,51354862074.44,gov_10dd_edpt2,2024-08-24
2021,LV,S1311,-2373038076.87,-2.513,46253939944.7,48.982,893606588.16,-0.455,-3.034,ON_WATCHLIST,0,1,0,1,-1620332807.78,48310412602.34,50683450679.21,gov_10dd_sgpe,2025-06-11
2022,PL,S1313,3081167066.24,3.149,88256992497.46,90.2,2719518151.38,2.618,3.189,OUT_EDP,0,1,1,0,1447754017.39,40462691922.81,37381524856.57,gov_10dd_ma,2024-08-15
2023,ES,S13,4919525168.56,4.923,24556654782.11,24.574,744715930.7,5.771,6.005,IN_EDP,1,0,0,0,885845191.84,44019629468.88,39100104300.32,gov_10dd_edpt1,2025-11-05
2024,HR,S1312,-8127749299.68,-7.879,66914927506.3,64.867,1967693506.79,-6.669,-9.171,UNKNOWN,0,0,1,1,-1871051581.02,44666018137.99,52793767437.67,gov_10q_ggdebt,2024-01-15
2025,FI,S1314,321885427.46,0.306,197064359786.37,187.339,6030024282.41,1.6,-1.593,ON_WATCHLIST,0,1,1,0,1972358340.97,43875593638.93,43553708211.47,gov_10dd_edpt2,2025-10-19
2026,IE,S1311,-4937496999.68,-4.578,116085105846.81,107.633,995015067.01,-3.683,-6.322,OUT_EDP,0,1,0,0,-295845049.12,51496727115.16,56434224114.84,gov_10dd_sgpe,2025-05-13
2010,MT,S1313,467012343.21,0.422,191874566536.56,173.381,3174226034.47,-0.587,0.885,IN_EDP,1,0,1,1,-1290241152.66,51353905705.72,50886893362.51,gov_10dd_ma,2024-03-06
2011,SK,S13,-1445435040.4,-1.277,201347856038.62,177.885,3514754208.21,-2.421,-1.396,UNKNOWN,0,0,0,1,-1246575732.21,57743135354.11,59188570394.51,gov_10dd_edpt1,2024-11-05
2012,BE,S1312,4616015954.89,4.042,80300633812.01,70.315,3116489379.69,5.515,4.676,ON_WATCHLIST,0,1,0,1,152058639.25,51407596526.51,46791580571.62,gov_10q_ggdebt,2026-02-07
2013,DK,S1314,3700767536.99,3.171,161581509386.04,138.451,6370403473.13,2.784,4.457,OUT_EDP,0,1,1,1,-1239849393.28,53463059222.07,49762291685.08,gov_10dd_edpt2,2025-09-13
2014,GR,S1311,-2230865180.34,-1.848,75583836943.34,62.612,1572309482.64,-1.238,-1.302,IN_EDP,1,0,1,0,800946026.21,48077416474.74,50308281655.08,gov_10dd_sgpe,2025-01-20
2015,LT,S1313,4774294149.41,3.886,129802811496.05,105.652,4083742222.12,3.457,3.942,UNKNOWN,0,0,0,1,-1619575578.96,54182978257.15,49408684107.74,gov_10dd_ma,2024-10-24
2016,PT,S13,-14961993542.52,-11.905,51545670151.45,41.014,2010012280.03,-10.338,-12.625,ON_WATCHLIST,0,1,0,1,1972883781.96,49978621770.35,64940615312.87,gov_10dd_edpt1,2024-08-29
2017,SE,S1312,2955330041.57,2.313,230587294683.01,180.47,8381395331.87,4.706,2.721,OUT_EDP,0,1,0,0,531991340.15,53534144473.96,50578814432.39,gov_10q_ggdebt,2024-09-29
2018,CY,S1314,-5649104636.52,-4.337,59511630559.8,45.689,1948425534.54,-1.992,-3.947,IN_EDP,1,0,0,0,990472342.52,52378000701.28,58027105337.8,gov_10dd_edpt2,2025-08-24
2019,FR,S1311,-9949205809.49,-7.47,206827606552.87,155.289,8267305594.84,-8.041,-5.802,UNKNOWN,0,0,1,0,-1538442239.32,50818527225.44,60767733034.93,gov_10dd_sgpe,2025-06-26
2020,IT,S1313,-10735466283.26,-7.947,131234219582.25,97.147,4635593435.34,-6.468,-8.605,ON_WATCHLIST,0,1,1,1,1849601408.34,62906692976.92,73642159260.18,gov_10dd_ma,2025-08-29
2021,NL,S13,-10397078164.82,-7.603,38306320341.04,28.012,735104461.28,-7.786,-8.322,OUT_EDP,0,1,0,1,-1409662250.81,59156074711.92,69553152876.74,gov_10dd_edpt1,2026-01-14
2022,SI,S1312,-7669982132.2,-5.498,248256033163.98,177.955,10359927488.58,-3.687,-3.702,IN_EDP,1,0,0,0,506901473.41,57790680841.91,65460662974.11,gov_10q_ggdebt,2025-04-12
2023,BG,S1314,-3978646519.01,-2.794,134133360364.48,94.195,3696784547.2,-3.78,-3.31,UNKNOWN,0,0,1,0,-114486614.46,64335516180.97,68314162699.98,gov_10dd_edpt2,2025-12-26
2024,EE,S1311,3668320064.41,2.53,81681743410.4,56.335,3002191037.73,3.648,1.457,ON_WATCHLIST,0,1,0,1,753692010.7,70753455580.42,67085135516.01,gov_10dd_sgpe,2024-11-21
2025,HU,S1313,7788172422.59,5.304,231781825995.19,157.851,4172815041.09,4.334,6.768,OUT_EDP,0,1,1,1,748429029.27,58288753436.07,50500581013.48,gov_10dd_ma,2025-04-13
2026,LU,S13,-1589094426.61,-1.057,149643984807.9,99.537,5263170164.12,-1.139,-2.199,IN_EDP,1,0,1,0,-222725875.31,61995212929.79,63584307356.4,gov_10dd_edpt1,2024-07-05
2010,RO,S1312,-12164476796.09,-7.997,213286767342.84,140.216,5407759132.48,-6.619,-9.288,UNKNOWN,0,0,1,0,-1400657976.91,62470093378.15,74634570174.24,gov_10q_ggdebt,2026-01-23
2011,AT,S1314,419720104.13,0.271,223498632276.07,144.306,9148986041.57,2.681,0.664,ON_WATCHLIST,0,1,0,1,-1250960854.32,67501977159.53,67082257055.4,gov_10dd_edpt2,2024-04-07
2012,CZ,S1311,-18066150916.2,-11.443,70551611115.29,44.687,1052146212.67,-11.864,-11.854,OUT_EDP,0,1,0,0,-1497793148.42,70608997951.34,88675148867.54,gov_10dd_sgpe,2024-01-31
2013,DE,S1313,-2424196135.18,-1.515,185791031851.82,116.11,6393527996.6,-2.187,-2.839,IN_EDP,1,0,1,1,-380073882.1,76870435791.12,79294631926.3,gov_10dd_ma,2024-05-27
2014,LV,S13,-3835953538.31,-2.358,222935924021.88,137.041,5924657753.89,-0.715,-1.625,UNKNOWN,0,0,0,0,941988695.2,83225100945.26,87061054483.57,gov_10dd_edpt1,2025-09-19
2015,PL,S1312,-6663715899.48,-4.036,177405750664.71,107.449,1481268816.87,-2.823,-5.172,ON_WATCHLIST,0,1,1,0,1948046372.43,80374710129.37,87038426028.85,gov_10q_ggdebt,2025-09-06
2016,ES,S1314,-7927682845.0,-4.718,268314593483.65,159.682,5446514617.21,-2.927,-6.049,OUT_EDP,0,1,1,1,143387737.79,77813214165.43,85740897010.43,gov_10dd_edpt2,2025-01-23
2017,HR,S1311,-7677303562.35,-4.499,160757514868.82,94.206,1768638906.91,-2.111,-3.809,IN_EDP,1,0,1,1,1354208170.25,85045012617.56,92722316179.91,gov_10dd_sgpe,2025-07-25
