agri_livestock_reference_year,agri_livestock_country_iso2,agri_livestock_region_nuts_code,agri_livestock_species_code,agri_livestock_herd_count,agri_livestock_slaughtered_count,agri_livestock_meat_production_tonnes,agri_livestock_milk_production_tonnes,agri_livestock_egg_production_million,agri_livestock_feed_price_index,agri_livestock_veterinary_medicines_use_index,agri_livestock_antimicrobial_use_mg_pcu,agri_livestock_notifiable_disease_code,agri_livestock_outbreak_count,agri_livestock_animal_welfare_compliance_flag,agri_livestock_carbon_footprint_tco2e,agri_livestock_manure_management_type,agri_livestock_eurostat_table_code,agri_livestock_data_source,agri_livestock_data_extract_date
2020,PL,LT97,POULTRY,2472,3871,5.15,0.0,26.639,179.137,94.854,217.45,BLUETONGUE,11,1,79.42,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2025-01-29
2021,ES,RO966,EQUINE,2550,1346,84.94,0.0,0.0,180.27,94.214,196.0,FMD,12,1,488.39,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-04-10
2022,HR,NL37,BOVINE,2637,3288,664.62,11568.09,0.0,181.81,94.108,92.33,NONE,0,0,19824.02,LAGOON,apro_mk_pobta,EFSA,2024-07-12
2023,FI,SI248,PIGS,2531,1351,142.47,0.0,0.0,181.9,95.34,48.76,BRUCELLOSIS,2,0,1900.09,OTHER,apro_mk_pobta,FARM_REPORTING,2024-04-30
2024,IE,RO676,SHEEP,2878,4962,124.08,4097.71,0.0,181.545,96.16,209.94,AVIAN_INFLUENZA,3,1,3620.86,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-05-03
2025,MT,PL63,GOATS,2277,2417,59.73,11303.3,0.0,182.048,95.987,158.05,TB,4,0,11309.37,COMPOSTING,apro_mt_lscatl,EUROSTAT,2025-12-21
2026,SK,IE9,POULTRY,2526,3828,6.2,0.0,19.515,183.013,95.935,112.58,BSE,5,0,70.59,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-08-19
2010,BE,BE8,EQUINE,2373,3536,266.59,0.0,0.0,182.635,97.149,151.15,ASF,6,1,2044.34,SOLID_STORAGE,apro_mk_pobta,EFSA,2024-11-12
2011,DK,IE14,BOVINE,2426,2048,547.17,9705.17,0.0,183.686,96.412,142.76,BLUETONGUE,7,1,18678.33,LAGOON,apro_mk_pobta,FARM_REPORTING,2024-05-29
2012,GR,SI62,PIGS,2186,1758,209.49,0.0,0.0,183.798,97.177,112.83,FMD,8,0,5037.6,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-04-10
2013,LT,SK3,SHEEP,2420,3360,96.48,12230.0,0.0,75.647,98.66,65.76,NONE,0,1,11044.76,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-09-16
2014,PT,FR31,GOATS,2802,1371,36.65,10293.69,0.0,75.323,97.465,144.83,BRUCELLOSIS,10,1,2453.4,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2024-09-24
2015,SE,DK99,POULTRY,2706,2701,3.62,0.0,32.102,75.191,99.257,53.92,AVIAN_INFLUENZA,11,1,72.27,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2024-06-05
2016,CY,NL64,EQUINE,2250,2503,261.84,0.0,0.0,75.962,98.027,48.44,TB,12,1,5317.49,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2024-07-08
2017,FR,DE1,BOVINE,2477,1290,233.5,391.84,0.0,76.267,100.398,145.73,BSE,1,1,1655.54,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2024-01-13
2018,IT,BG6,PIGS,3022,5050,560.87,0.0,0.0,76.531,99.501,154.69,ASF,2,1,13297.77,OTHER,apro_mt_lscatl,EUROSTAT,2025-07-08
2019,NL,ES99,SHEEP,2672,3317,76.84,6915.57,0.0,77.343,99.662,177.35,BLUETONGUE,3,1,4278.84,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2024-05-15
2020,SI,FR127,GOATS,2389,1432,32.84,13631.52,0.0,77.627,99.301,77.09,FMD,4,1,6567.53,COMPOSTING,apro_mk_pobta,EFSA,2025-09-26
2021,BG,PT2,POULTRY,2956,5048,9.84,0.0,4.397,78.486,100.86,9.76,NONE,0,1,127.73,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2024-05-13
2022,EE,FR64,EQUINE,2655,1134,116.75,0.0,0.0,78.052,100.122,149.35,BRUCELLOSIS,6,1,2487.83,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2024-09-15
2023,HU,EE84,BOVINE,2962,1710,441.84,6068.75,0.0,78.499,100.761,117.24,AVIAN_INFLUENZA,7,1,9614.7,LAGOON,apro_mt_lscatl,EUROSTAT,2025-01-18
2024,LU,SI73,PIGS,2644,1865,176.97,0.0,0.0,79.761,101.158,86.35,TB,8,1,3556.7,OTHER,agr_r_animal,ECDC_ZOONOSES,2025-03-11
2025,RO,LT6,SHEEP,2729,1441,31.1,9211.75,0.0,79.115,102.75,13.7,BSE,9,1,2521.87,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2024-03-19
2026,AT,HR860,GOATS,2406,1174,25.41,7453.26,0.0,80.534,103.237,120.88,ASF,10,1,6416.02,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2025-11-08
2010,CZ,MT259,POULTRY,2292,3802,5.99,0.0,10.936,80.323,103.523,131.5,BLUETONGUE,11,1,12.01,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-07-25
2011,DE,EE95,EQUINE,2473,3136,252.74,0.0,0.0,81.53,103.008,114.28,FMD,12,1,3297.91,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2025-01-06
2012,LV,AT5,BOVINE,2216,3195,943.7,3761.68,0.0,81.844,103.13,218.4,NONE,0,1,25667.71,LAGOON,agr_r_animal,ECDC_ZOONOSES,2024-01-01
2013,PL,LV470,PIGS,2948,1872,214.14,0.0,0.0,81.327,102.911,187.21,BRUCELLOSIS,2,1,4785.88,OTHER,apro_mk_pobta,EFSA,2024-11-28
2014,ES,NL149,SHEEP,2682,2742,81.31,4663.99,0.0,81.759,104.544,31.64,AVIAN_INFLUENZA,3,1,3297.2,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2024-05-17
2015,HR,SI33,GOATS,2262,1239,28.63,8958.23,0.0,82.997,105.532,184.06,TB,4,1,5343.49,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2025-08-05
2016,FI,HU581,POULTRY,2883,1048,2.54,0.0,40.294,84.355,104.761,7.52,BSE,5,0,46.66,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2025-01-10
2017,IE,BG8,EQUINE,2240,1029,117.81,0.0,0.0,84.309,105.928,218.2,ASF,6,1,1277.76,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-10-17
2018,MT,RO7,BOVINE,2970,5174,1409.57,3397.27,0.0,85.24,106.1,68.44,BLUETONGUE,7,1,12918.69,LAGOON,apro_mk_pobta,EFSA,2025-06-22
2019,SK,EE540,PIGS,2805,1598,150.05,0.0,0.0,84.705,105.55,218.98,FMD,8,1,3726.39,OTHER,apro_mk_pobta,FARM_REPORTING,2024-06-19
2020,BE,SI1,SHEEP,2504,4481,132.23,9217.81,0.0,85.788,107.39,161.57,NONE,0,1,5478.69,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-02-21
2021,DK,BE432,GOATS,2622,1449,22.99,5233.08,0.0,84.809,106.748,139.05,BRUCELLOSIS,10,1,2993.47,COMPOSTING,apro_mt_lscatl,EUROSTAT,2026-02-10
2022,GR,IE291,POULTRY,2288,3806,8.76,0.0,28.594,85.735,107.618,17.92,AVIAN_INFLUENZA,11,1,71.33,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2026-01-29
2023,LT,ES35,EQUINE,3110,2556,297.12,0.0,0.0,87.037,107.139,174.42,TB,12,1,1170.99,SOLID_STORAGE,apro_mk_pobta,EFSA,2024-08-15
2024,PT,SE5,BOVINE,2323,1592,442.44,8076.39,0.0,85.875,106.969,140.05,BSE,1,1,8915.75,LAGOON,apro_mk_pobta,FARM_REPORTING,2024-09-03
2025,SE,CZ48,PIGS,2802,1461,166.13,0.0,0.0,86.246,107.216,80.79,ASF,2,1,1176.54,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-11-16
2026,CY,CY30,SHEEP,2514,1568,45.92,12641.37,0.0,87.151,107.617,159.49,BLUETONGUE,3,1,6002.93,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-05-25
2010,FR,LU68,GOATS,2534,3874,68.44,1077.32,0.0,88.899,109.557,128.62,FMD,4,1,2057.47,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2025-12-24
2011,IT,PT841,POULTRY,3042,2736,6.02,0.0,28.759,88.604,108.158,196.62,NONE,0,1,79.89,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2024-07-24
2012,NL,LV3,EQUINE,2853,1984,159.97,0.0,0.0,89.743,110.504,59.56,BRUCELLOSIS,6,1,368.6,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2026-02-18
2013,SI,LV56,BOVINE,2863,1253,234.95,6719.32,0.0,88.695,109.833,35.67,AVIAN_INFLUENZA,7,1,4345.51,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2024-09-21
2014,BG,BE4,PIGS,2588,2381,178.76,0.0,0.0,88.972,110.42,131.26,TB,8,1,2332.87,OTHER,apro_mt_lscatl,EUROSTAT,2024-07-16
2015,EE,DE126,SHEEP,2884,3245,73.84,12137.09,0.0,90.612,110.192,162.52,BSE,9,1,9697.73,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2025-06-02
2016,HU,LU25,GOATS,2498,4461,111.27,14627.67,0.0,91.203,110.905,171.59,ASF,10,1,12968.52,COMPOSTING,apro_mk_pobta,EFSA,2024-07-31
2017,LU,SK318,POULTRY,2590,3766,7.17,0.0,5.601,90.799,111.279,169.96,BLUETONGUE,11,1,47.48,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2025-01-16
2018,RO,BE2,EQUINE,2951,4108,251.86,0.0,0.0,91.147,111.987,160.33,FMD,12,0,1544.03,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2024-08-11
2019,AT,EE8,BOVINE,2839,3405,713.24,14597.93,0.0,92.246,111.814,124.41,NONE,0,1,12595.39,LAGOON,apro_mt_lscatl,EUROSTAT,2024-07-31
2020,CZ,NL79,PIGS,2355,3419,292.96,0.0,0.0,92.298,113.009,60.72,BRUCELLOSIS,2,1,1583.59,OTHER,agr_r_animal,ECDC_ZOONOSES,2025-10-25
2021,DE,AT4,SHEEP,2957,4386,115.34,16277.15,0.0,92.972,112.06,88.57,AVIAN_INFLUENZA,3,1,7017.92,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2025-06-30
2022,LV,PT24,GOATS,2808,4784,76.17,11644.78,0.0,92.815,112.23,23.16,TB,4,1,4177.03,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2026-02-04
2023,PL,PT66,POULTRY,2522,1338,3.3,0.0,37.178,93.33,113.511,197.03,BSE,5,0,50.63,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-09-15
2024,ES,MT12,EQUINE,3033,4288,381.72,0.0,0.0,93.76,114.145,130.07,ASF,6,1,9026.48,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2025-07-17
2025,HR,LU91,BOVINE,2285,3921,1000.63,12438.16,0.0,94.092,114.5,117.63,BLUETONGUE,7,1,27581.91,LAGOON,agr_r_animal,ECDC_ZOONOSES,2024-03-08
2026,FI,CZ602,PIGS,2631,3928,398.52,0.0,0.0,94.537,113.552,100.33,FMD,8,1,1843.68,OTHER,apro_mk_pobta,EFSA,2025-09-13
2010,IE,IE2,SHEEP,3102,1283,35.44,12266.32,0.0,95.954,114.223,72.71,NONE,0,1,7122.68,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-11-01
2011,MT,HU2,GOATS,2397,940,21.21,13642.82,0.0,95.699,114.73,24.97,BRUCELLOSIS,10,0,6984.28,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-04-24
2012,SK,DK85,POULTRY,2589,2852,4.45,0.0,7.809,96.328,116.549,134.28,AVIAN_INFLUENZA,11,0,27.22,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2024-02-16
2013,BE,SE58,EQUINE,2608,4515,368.76,0.0,0.0,97.201,114.676,101.97,TB,12,1,5535.53,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2025-12-26
2014,DK,LT346,BOVINE,3130,3060,962.92,7455.72,0.0,95.855,116.175,165.77,BSE,1,1,8469.46,LAGOON,apro_mk_pobta,EFSA,2025-05-02
2015,GR,HR3,PIGS,3095,2912,254.52,0.0,0.0,97.245,117.083,214.11,ASF,2,1,6169.16,OTHER,apro_mk_pobta,FARM_REPORTING,2025-06-16
2016,LT,PT9,SHEEP,3005,1480,40.25,11818.19,0.0,97.005,117.862,128.19,BLUETONGUE,3,1,6485.46,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-08-27
2017,PT,AT91,GOATS,2633,3133,80.18,14656.26,0.0,98.958,116.657,166.62,FMD,4,1,14035.96,COMPOSTING,apro_mt_lscatl,EUROSTAT,2024-04-11
2018,SE,HU974,POULTRY,2767,2344,5.52,0.0,15.291,98.27,117.873,190.55,NONE,0,1,22.25,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2024-02-12
2019,CY,DE71,EQUINE,2385,2602,164.52,0.0,0.0,98.755,118.851,216.1,BRUCELLOSIS,6,1,2659.64,SOLID_STORAGE,apro_mk_pobta,EFSA,2026-01-24
2020,FR,AT94,BOVINE,2914,4627,1473.3,6532.6,0.0,99.012,118.694,132.81,AVIAN_INFLUENZA,7,1,18839.25,LAGOON,apro_mk_pobta,FARM_REPORTING,2026-01-17
2021,IT,LT16,PIGS,2567,2354,276.39,0.0,0.0,99.541,119.639,147.05,TB,8,1,6034.97,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-06-21
2022,NL,IT5,SHEEP,3033,3876,88.51,800.76,0.0,99.587,119.383,88.61,BSE,9,1,2520.53,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-01-04
2023,SI,EE9,GOATS,2959,1697,25.62,10596.21,0.0,99.661,120.183,176.11,ASF,10,1,8245.08,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2024-02-24
2024,BG,SI77,POULTRY,3050,3767,8.89,0.0,34.448,100.274,118.977,170.97,BLUETONGUE,11,0,213.16,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2025-06-12
2025,EE,ES3,EQUINE,3036,5025,328.87,0.0,0.0,101.239,119.363,204.65,FMD,12,1,4846.6,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2026-02-19
2026,HU,IE63,BOVINE,2903,4141,954.63,7814.79,0.0,101.415,120.954,172.68,NONE,0,1,17325.69,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2025-04-17
2010,LU,LU87,PIGS,2574,1740,165.75,0.0,0.0,101.673,120.47,59.6,BRUCELLOSIS,2,1,1725.64,OTHER,apro_mt_lscatl,EUROSTAT,2024-02-08
2011,RO,PL14,SHEEP,3021,1964,53.07,4492.78,0.0,102.451,120.456,151.93,AVIAN_INFLUENZA,3,1,2287.77,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2025-01-09
2012,AT,SK6,GOATS,3128,5624,122.01,7732.16,0.0,103.372,120.309,21.27,TB,4,1,1977.27,COMPOSTING,apro_mk_pobta,EFSA,2024-04-24
2013,CZ,DK32,POULTRY,2378,2356,3.9,0.0,0.921,104.401,121.968,198.76,BSE,5,1,17.78,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2025-03-31
2014,DE,AT972,EQUINE,2343,3570,375.31,0.0,0.0,103.707,121.648,142.78,ASF,6,0,5065.59,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2025-10-02
2015,LV,IE55,BOVINE,2546,3939,974.41,5298.16,0.0,104.438,121.937,184.11,BLUETONGUE,7,1,21673.94,LAGOON,apro_mt_lscatl,EUROSTAT,2024-05-14
2016,PL,LT67,PIGS,3030,3241,355.79,0.0,0.0,105.787,121.796,33.9,FMD,8,1,3496.19,OTHER,agr_r_animal,ECDC_ZOONOSES,2024-12-06
2017,ES,NL49,SHEEP,2798,2757,55.96,8860.28,0.0,105.283,124.061,49.71,NONE,0,1,5041.33,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2026-01-17
2018,HR,SI96,GOATS,2936,1444,31.45,14259.88,0.0,106.087,124.076,31.85,BRUCELLOSIS,10,1,10009.22,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2024-09-21
2019,FI,AT469,POULTRY,2687,1495,2.4,0.0,22.362,106.923,122.874,30.96,AVIAN_INFLUENZA,11,1,21.25,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-12-13
2020,IE,SE62,EQUINE,2510,1717,175.44,0.0,0.0,107.201,123.557,185.76,TB,12,0,2816.86,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2024-07-07
2021,MT,MT28,BOVINE,3073,1778,451.88,5969.18,0.0,106.797,124.353,27.99,BSE,1,1,13255.03,LAGOON,agr_r_animal,ECDC_ZOONOSES,2025-04-16
2022,SK,MT25,PIGS,2394,1373,119.12,0.0,0.0,107.943,126.147,31.95,ASF,2,1,1199.63,OTHER,apro_mk_pobta,EFSA,2025-05-23
2023,BE,DK2,SHEEP,3102,3210,69.62,10738.71,0.0,107.603,125.926,47.06,BLUETONGUE,3,1,9589.46,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2025-06-13
2024,DK,IE20,GOATS,2760,2674,69.17,10838.64,0.0,107.195,126.752,136.34,FMD,4,1,8298.32,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2024-01-21
2025,GR,LV147,POULTRY,2394,3124,7.24,0.0,25.48,109.218,126.098,39.81,NONE,0,1,164.24,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2024-04-24
2026,LT,BE894,EQUINE,2623,2000,235.71,0.0,0.0,109.022,127.405,156.57,BRUCELLOSIS,6,1,3928.29,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2025-07-30
2010,PT,EE4,BOVINE,2485,2023,445.67,195.43,0.0,109.419,127.599,64.17,AVIAN_INFLUENZA,7,0,8700.92,LAGOON,apro_mk_pobta,EFSA,2025-03-01
2011,SE,CY75,PIGS,2476,2518,214.72,0.0,0.0,110.704,127.506,186.01,TB,8,1,3030.98,OTHER,apro_mk_pobta,FARM_REPORTING,2024-06-02
2012,CY,DE937,SHEEP,2873,1533,41.49,4112.36,0.0,109.679,126.773,127.88,BSE,9,1,3237.19,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2025-09-03
2013,FR,NL6,GOATS,2358,2249,61.9,10435.8,0.0,110.974,127.29,154.39,ASF,10,1,6477.67,COMPOSTING,apro_mt_lscatl,EUROSTAT,2024-10-14
2014,IT,HR55,POULTRY,2965,2669,5.52,0.0,6.667,110.618,129.24,55.1,BLUETONGUE,11,1,106.72,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2026-02-15
2015,NL,LT50,EQUINE,2528,2033,193.18,0.0,0.0,110.85,127.956,53.41,FMD,12,1,1913.65,SOLID_STORAGE,apro_mk_pobta,EFSA,2024-12-31
2016,SI,DE382,BOVINE,2440,3322,977.52,7293.42,0.0,111.622,128.858,116.69,NONE,0,1,10978.69,LAGOON,apro_mk_pobta,FARM_REPORTING,2024-05-19
2017,BG,BE500,PIGS,3041,3098,319.99,0.0,0.0,112.246,129.131,57.48,BRUCELLOSIS,2,1,2133.99,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2024-03-16
2018,EE,LV496,SHEEP,2360,2793,72.03,8041.77,0.0,113.441,129.314,215.78,AVIAN_INFLUENZA,3,1,6640.85,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2024-01-11
2019,HU,RO3,GOATS,2889,1898,39.88,17214.17,0.0,113.833,129.064,146.14,TB,4,1,4603.35,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2024-05-30
2020,LU,PL216,POULTRY,2979,3379,5.0,0.0,12.281,113.189,130.427,61.68,BSE,5,1,43.69,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2025-03-05
2021,RO,NL752,EQUINE,2960,1186,109.1,0.0,0.0,113.335,130.678,113.92,ASF,6,1,746.31,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2025-12-05
2022,AT,PT29,BOVINE,3084,4132,957.11,16372.05,0.0,114.449,130.548,26.76,BLUETONGUE,7,0,27959.57,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2024-09-27
2023,CZ,DK30,PIGS,2921,1263,121.72,0.0,0.0,114.937,131.717,101.55,FMD,8,0,2492.81,OTHER,apro_mt_lscatl,EUROSTAT,2024-11-20
2024,DE,LV28,SHEEP,2709,3967,106.52,5108.56,0.0,115.314,130.945,111.75,NONE,0,1,1316.01,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2024-05-29
2025,LV,ES1,GOATS,2743,3608,69.26,2083.37,0.0,114.75,132.499,132.26,BRUCELLOSIS,10,1,1923.32,COMPOSTING,apro_mk_pobta,EFSA,2025-12-17
2026,PL,AT684,POULTRY,2501,1427,2.89,0.0,6.994,115.252,132.586,18.61,AVIAN_INFLUENZA,11,0,12.49,ANAEROBIC_DIGESTION,apro_mk_pobta,FARM_REPORTING,2025-11-14
2010,ES,MT3,EQUINE,2428,3073,209.48,0.0,0.0,117.419,131.825,186.87,TB,12,1,1797.14,SOLID_STORAGE,apro_mt_pann,NATIONAL_VET_SERVICE,2025-12-28
2011,HR,CZ269,BOVINE,3031,4300,1309.22,6097.77,0.0,117.121,132.657,23.82,BSE,1,1,8464.66,LAGOON,apro_mt_lscatl,EUROSTAT,2025-07-31
2012,FI,GR90,PIGS,2571,3595,279.66,0.0,0.0,117.072,133.019,69.0,ASF,2,1,2141.47,OTHER,agr_r_animal,ECDC_ZOONOSES,2024-11-06
2013,IE,RO9,SHEEP,2851,4209,102.6,973.23,0.0,117.725,134.802,207.35,BLUETONGUE,3,1,1269.37,PASTURE_DEPOSITION,apro_mk_pobta,EFSA,2025-01-29
2014,MT,GR450,GOATS,3081,5364,118.62,1738.21,0.0,118.08,133.504,56.92,FMD,4,1,2347.04,COMPOSTING,apro_mk_pobta,FARM_REPORTING,2024-07-17
2015,SK,RO885,POULTRY,2644,3696,8.52,0.0,14.195,117.789,134.154,137.12,NONE,0,1,73.23,ANAEROBIC_DIGESTION,apro_mt_pann,NATIONAL_VET_SERVICE,2026-02-14
2016,BE,RO84,EQUINE,2607,3666,364.32,0.0,0.0,118.792,135.861,48.52,BRUCELLOSIS,6,1,8908.7,SOLID_STORAGE,apro_mt_lscatl,EUROSTAT,2024-04-15
2017,DK,SE33,BOVINE,2791,3967,770.23,2050.23,0.0,120.095,135.128,39.81,AVIAN_INFLUENZA,7,0,3444.93,LAGOON,agr_r_animal,ECDC_ZOONOSES,2026-02-10
2018,GR,AT2,PIGS,2647,2938,266.62,0.0,0.0,119.314,134.329,166.14,TB,8,1,1447.43,OTHER,apro_mk_pobta,EFSA,2025-04-02
2019,LT,SK912,SHEEP,2490,2035,60.47,12828.33,0.0,121.06,136.68,49.77,BSE,9,1,7154.56,PASTURE_DEPOSITION,apro_mk_pobta,FARM_REPORTING,2024-03-21
2020,PT,LU813,GOATS,3281,2873,69.85,12816.21,0.0,119.867,137.03,129.14,ASF,10,1,2247.71,COMPOSTING,apro_mt_pann,NATIONAL_VET_SERVICE,2025-10-13
2021,SE,CY18,POULTRY,3003,5377,12.62,0.0,29.419,121.368,135.431,80.05,BLUETONGUE,11,1,169.39,ANAEROBIC_DIGESTION,apro_mt_lscatl,EUROSTAT,2024-01-25
2022,CY,RO15,EQUINE,3070,2817,182.03,0.0,0.0,122.409,136.655,104.75,FMD,12,1,3692.78,SOLID_STORAGE,agr_r_animal,ECDC_ZOONOSES,2024-02-13
2023,FR,BG3,BOVINE,3260,1640,384.97,13469.85,0.0,122.602,136.415,41.53,NONE,0,1,13862.43,LAGOON,apro_mk_pobta,EFSA,2025-08-12
2024,IT,HR4,PIGS,2418,2658,312.31,0.0,0.0,121.773,137.853,8.45,BRUCELLOSIS,2,0,7665.88,OTHER,apro_mk_pobta,FARM_REPORTING,2026-02-05
2025,NL,AT30,SHEEP,3138,2637,73.57,9072.66,0.0,123.874,137.033,129.89,AVIAN_INFLUENZA,3,1,6334.7,PASTURE_DEPOSITION,apro_mt_pann,NATIONAL_VET_SERVICE,2024-02-12
2026,SI,MT86,GOATS,2547,1144,27.89,14986.27,0.0,122.937,138.92,17.47,TB,4,1,2291.85,COMPOSTING,apro_mt_lscatl,EUROSTAT,2025-04-13
2010,BG,PT466,POULTRY,2545,1113,1.43,0.0,4.038,124.495,138.564,157.24,BSE,5,0,12.58,ANAEROBIC_DIGESTION,agr_r_animal,ECDC_ZOONOSES,2025-12-08
2011,EE,HU19,EQUINE,2965,1343,94.17,0.0,0.0,124.67,140.039,64.39,ASF,6,1,1795.99,SOLID_STORAGE,apro_mk_pobta,EFSA,2024-01-14
2012,HU,GR486,BOVINE,2837,1809,482.45,10884.45,0.0,123.647,138.988,43.21,BLUETONGUE,7,1,8397.45,LAGOON,apro_mk_pobta,FARM_REPORTING,2026-02-02
2013,LU,LU975,PIGS,2895,2367,168.56,0.0,0.0,125.382,139.365,202.24,FMD,8,1,494.36,OTHER,apro_mt_pann,NATIONAL_VET_SERVICE,2025-12-02
2014,RO,LV851,SHEEP,3283,1595,35.99,1069.41,0.0,126.173,140.326,158.63,NONE,0,1,784.22,PASTURE_DEPOSITION,apro_mt_lscatl,EUROSTAT,2025-06-18
2015,AT,GR60,GOATS,3045,3581,92.54,14395.02,0.0,126.559,140.626,102.27,BRUCELLOSIS,10,1,8808.28,COMPOSTING,agr_r_animal,ECDC_ZOONOSES,2025-12-06
2016,CZ,CZ63,POULTRY,3180,1230,1.99,0.0,25.579,125.606,139.512,25.41,AVIAN_INFLUENZA,11,0,24.75,ANAEROBIC_DIGESTION,apro_mk_pobta,EFSA,2025-06-18
2017,DE,MT4,EQUINE,2445,3494,224.02,0.0,0.0,125.973,140.914,184.52,TB,12,1,2968.82,SOLID_STORAGE,apro_mk_pobta,FARM_REPORTING,2025-12-09
2018,LV,LU612,BOVINE,3288,2375,596.53,10988.46,0.0,127.909,142.151,74.6,BSE,1,1,16467.55,LAGOON,apro_mt_pann,NATIONAL_VET_SERVICE,2025-03-12
2019,PL,NL798,PIGS,2848,1648,168.07,0.0,0.0,128.239,140.996,169.72,ASF,2,1,1229.7,OTHER,apro_mt_lscatl,EUROSTAT,2025-06-04
2020,ES,LV1,SHEEP,2708,4857,131.85,14366.53,0.0,127.278,143.009,83.8,BLUETONGUE,3,1,9483.21,PASTURE_DEPOSITION,agr_r_animal,ECDC_ZOONOSES,2024-02-13
2021,HR,LU943,GOATS,2963,5286,140.66,2832.8,0.0,127.882,141.734,14.7,FMD,4,1,3336.37,COMPOSTING,apro_mk_pobta,EFSA,2024-01-01
