health_eh_reference_year,health_eh_country_iso2,health_eh_region_nuts_code,health_eh_ehr_coverage_pct,health_eh_e_prescription_coverage_pct,health_eh_e_referral_coverage_pct,health_eh_patient_portal_usage_pct,health_eh_interoperability_level_code,health_eh_eidas_authentication_supported_flag,health_eh_cross_border_ehealth_enabled_flag,health_eh_cyber_incidents_count,health_eh_gdpr_breach_notifications_count,health_eh_digital_health_apps_certified_count,health_eh_ai_in_clinical_use_cases_count,health_eh_telemedicine_visits_per_1k,health_eh_remote_monitoring_patients_count,health_eh_data_spaces_health_flag,health_eh_data_source,health_eh_methodology_version,health_eh_data_extract_date
2013,LU,DE3,52.57,51.74,33.21,34.07,LEVEL_2_STRUCTURED,1,0,23,43,663,58,197.24,78274,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-05-06
2014,SI,BG656,60.79,60.21,30.03,43.21,LEVEL_3_SEMANTIC,0,0,50,36,807,18,218.1,112158,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-02-08
2015,CY,LT953,51.08,50.41,52.87,31.6,LEVEL_4_FEDERATED,0,0,42,59,175,84,1.6,8303,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-07-21
2016,GR,RO249,51.1,41.21,44.34,47.7,LEVEL_0_NONE,1,0,22,43,749,5,182.47,73767,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-05-21
2017,MT,SE508,71.5,71.81,50.59,50.71,LEVEL_1_BASIC,1,0,51,19,1179,35,76.19,140786,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-05-20
2018,ES,AT99,49.02,64.44,58.28,32.55,LEVEL_2_STRUCTURED,1,0,8,7,1609,61,153.45,82180,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-11-28
2019,CZ,DK76,61.46,60.56,69.01,40.09,LEVEL_3_SEMANTIC,0,1,47,67,1100,80,226.14,139636,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-06-20
2020,HU,HU57,48.4,70.73,46.79,62.3,LEVEL_4_FEDERATED,1,1,76,11,1497,92,41.68,168237,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-01-19
2021,NL,RO345,67.73,64.83,75.44,49.96,LEVEL_0_NONE,1,0,77,31,982,18,80.51,48795,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-03-19
2022,SE,IE844,78.31,75.08,53.63,63.73,LEVEL_1_BASIC,0,0,74,41,1112,368,136.98,22706,1,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-09-03
2023,DK,SE441,80.12,61.54,79.88,74.17,LEVEL_2_STRUCTURED,0,0,3,23,482,324,242.6,43752,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-10-07
2024,IE,SE505,100.0,82.58,58.56,63.91,LEVEL_3_SEMANTIC,1,1,37,68,137,257,8.65,47848,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-08-07
2025,PL,DE971,72.89,97.87,67.35,84.14,LEVEL_4_FEDERATED,0,0,4,28,182,13,193.96,59462,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-09-22
2006,AT,HR82,11.07,31.25,5.77,3.67,LEVEL_0_NONE,0,0,25,7,1167,13,146.64,27200,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-12-24
2007,EE,AT2,33.74,28.22,23.68,13.63,LEVEL_1_BASIC,0,0,20,4,1400,48,209.61,84277,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-06-23
2008,IT,DE65,45.32,19.4,28.51,22.51,LEVEL_2_STRUCTURED,0,0,27,40,944,78,69.25,75311,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-02-04
2009,PT,SI83,24.29,22.73,19.61,20.49,LEVEL_3_SEMANTIC,0,0,12,46,51,95,25.85,129301,1,EHDS_PILOT_REPORT,EHEALTH_V1,2024-06-13
2010,BE,FR34,59.96,25.49,28.83,30.87,LEVEL_4_FEDERATED,0,0,15,13,959,86,9.39,130471,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-11-07
2011,FI,BE55,32.39,26.42,42.45,23.66,LEVEL_0_NONE,0,0,48,19,1028,36,180.1,43160,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-01-25
2012,LV,BG32,33.19,36.14,40.2,17.38,LEVEL_1_BASIC,0,0,61,52,1414,45,212.96,86692,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-07-07
2013,RO,NL78,67.89,60.61,35.74,42.99,LEVEL_2_STRUCTURED,0,0,51,32,188,15,51.12,4287,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-07-17
2014,BG,LU4,70.22,31.38,39.56,36.75,LEVEL_3_SEMANTIC,0,0,62,46,951,56,5.77,68212,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-06-15
2015,FR,LU173,40.11,27.95,48.76,53.16,LEVEL_4_FEDERATED,0,1,40,17,841,62,45.89,65836,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-05-25
2016,LT,IE802,57.75,41.34,37.45,31.86,LEVEL_0_NONE,0,0,24,24,61,29,158.71,104609,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-10-29
2017,SK,CY324,82.56,67.54,56.29,66.73,LEVEL_1_BASIC,1,1,59,55,82,47,62.2,30557,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-12-05
2018,HR,BE8,85.08,58.33,42.14,42.66,LEVEL_2_STRUCTURED,0,0,36,6,3119,50,230.59,117346,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-09-26
2019,DE,LT10,39.94,46.22,42.07,31.97,LEVEL_3_SEMANTIC,1,1,25,7,2802,1,202.04,114537,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-06-07
2020,LU,PL18,69.66,43.89,62.2,46.95,LEVEL_4_FEDERATED,1,0,5,3,1659,67,90.54,144384,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-09-15
2021,SI,AT442,75.66,85.05,67.43,60.66,LEVEL_0_NONE,0,0,52,55,2192,79,228.93,263846,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-03-07
2022,CY,DE71,90.48,85.39,79.32,71.08,LEVEL_1_BASIC,1,1,26,50,807,342,77.53,55686,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-10-18
2023,GR,ES64,83.51,77.75,67.83,46.25,LEVEL_2_STRUCTURED,1,1,62,22,1897,314,66.58,196394,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2026-02-02
2024,MT,PT45,92.2,80.67,70.35,65.37,LEVEL_3_SEMANTIC,1,1,67,31,2718,207,150.38,259866,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-12-06
2025,ES,AT74,100.0,80.92,64.19,60.47,LEVEL_4_FEDERATED,1,0,36,57,121,42,159.68,216414,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-07-08
2006,CZ,HU50,19.75,39.43,15.29,8.03,LEVEL_0_NONE,0,1,35,39,950,26,145.49,134633,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-10-10
2007,HU,FI399,10.7,23.52,5.55,17.86,LEVEL_1_BASIC,1,0,24,8,687,44,16.73,60239,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-06-22
2008,NL,LU53,26.61,38.99,28.17,24.78,LEVEL_2_STRUCTURED,0,1,45,28,632,0,175.65,131590,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-07-09
2009,SE,BE511,37.95,23.97,41.89,18.16,LEVEL_3_SEMANTIC,1,0,25,44,1174,43,187.23,109140,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-10-17
2010,DK,SI32,55.68,14.51,44.98,31.0,LEVEL_4_FEDERATED,0,0,14,8,1482,106,53.73,114124,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-05-25
2011,IE,EE4,30.43,47.64,22.15,18.68,LEVEL_0_NONE,0,0,51,4,1298,71,161.07,82264,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-03-15
2012,PL,SI635,25.54,23.54,48.21,40.54,LEVEL_1_BASIC,0,1,53,32,397,62,82.02,37065,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-09-19
2013,AT,LV71,45.02,58.95,34.57,27.06,LEVEL_2_STRUCTURED,0,0,36,64,560,11,47.89,25616,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-07-09
2014,EE,SK380,68.55,37.01,49.5,44.54,LEVEL_3_SEMANTIC,0,0,19,21,416,29,114.9,127582,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-10-22
2015,IT,HR299,71.34,61.05,58.07,29.81,LEVEL_4_FEDERATED,1,0,16,5,775,78,110.1,140722,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-09-21
2016,PT,SE81,47.62,62.02,29.84,34.89,LEVEL_0_NONE,0,1,0,38,840,59,76.19,117642,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-01-21
2017,BE,DE354,47.24,62.68,33.98,49.79,LEVEL_1_BASIC,1,0,24,3,1105,10,95.5,122109,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-03-03
2018,FI,PT693,47.25,54.94,53.07,48.71,LEVEL_2_STRUCTURED,0,0,47,43,1417,85,118.9,109021,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-08-21
2019,LV,PL21,89.34,47.76,45.55,51.95,LEVEL_3_SEMANTIC,0,0,32,10,3441,106,189.89,137686,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-02-23
2020,RO,EE782,67.15,80.83,79.49,62.1,LEVEL_4_FEDERATED,0,0,18,1,2141,6,296.54,48480,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-08-31
2021,BG,HU192,79.62,86.26,59.06,49.61,LEVEL_0_NONE,0,1,72,2,800,392,249.65,152658,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-01-14
2022,FR,DK83,75.66,54.54,55.27,47.59,LEVEL_1_BASIC,0,0,11,35,2449,223,249.64,156051,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-12-11
2023,LT,PT680,76.73,85.73,89.76,59.97,LEVEL_2_STRUCTURED,0,1,64,18,1185,244,234.82,193853,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-11-29
2024,SK,EE643,79.57,99.88,47.81,79.24,LEVEL_3_SEMANTIC,1,0,91,48,1498,389,240.99,111124,1,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-01-24
2025,HR,IE352,100.0,90.78,94.79,74.99,LEVEL_4_FEDERATED,0,1,74,43,282,75,98.77,57574,1,EHDS_PILOT_REPORT,EHEALTH_V1,2025-10-10
2006,DE,SE147,24.26,27.02,21.29,4.09,LEVEL_0_NONE,0,0,25,30,223,21,128.1,34742,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-03-12
2007,LU,MT547,24.61,41.89,18.32,14.69,LEVEL_1_BASIC,0,0,39,27,1081,24,52.89,89028,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2026-01-04
2008,SI,AT47,11.91,44.59,16.06,23.7,LEVEL_2_STRUCTURED,0,0,28,12,1045,98,7.12,102202,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-10-16
2009,CY,AT948,52.22,24.89,11.19,24.8,LEVEL_3_SEMANTIC,0,0,16,33,113,38,9.39,88809,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-01-06
2010,GR,CZ99,35.18,46.62,18.96,32.34,LEVEL_4_FEDERATED,0,0,28,18,530,85,119.93,108105,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-10-20
2011,MT,DE60,37.53,37.42,37.99,19.04,LEVEL_0_NONE,0,0,59,58,69,51,73.14,137949,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-01-05
2012,ES,CZ3,44.04,41.26,21.75,40.8,LEVEL_1_BASIC,0,0,61,64,486,90,239.96,103972,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2026-02-19
2013,CZ,LT362,59.24,46.45,27.36,21.4,LEVEL_2_STRUCTURED,0,0,9,20,548,47,115.72,76120,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-12-03
2014,HU,DE18,47.71,56.18,30.89,21.17,LEVEL_3_SEMANTIC,0,0,2,20,1160,94,16.83,71999,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-09-25
2015,NL,ES9,36.06,50.35,52.78,27.36,LEVEL_4_FEDERATED,0,0,34,53,218,54,84.22,137293,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-07-11
2016,SE,ES509,54.69,66.98,32.53,44.54,LEVEL_0_NONE,1,0,10,24,1251,21,82.93,47949,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-12-28
2017,DK,DK16,69.76,79.07,42.84,59.6,LEVEL_1_BASIC,0,0,37,27,864,0,214.95,79060,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-10-06
2018,IE,BG9,70.52,72.48,55.36,42.94,LEVEL_2_STRUCTURED,1,1,45,22,1235,77,115.27,5848,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-01-01
2019,PL,CZ1,66.72,66.53,74.29,54.72,LEVEL_3_SEMANTIC,0,0,42,56,2635,19,42.34,137838,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-08-18
2020,AT,AT761,78.11,71.17,50.98,33.25,LEVEL_4_FEDERATED,0,1,8,30,2763,13,182.1,222307,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-04-11
2021,EE,SE710,81.52,53.58,83.0,42.65,LEVEL_0_NONE,1,1,34,26,664,250,166.31,142665,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-05-12
2022,IT,LT63,73.73,95.01,77.2,60.2,LEVEL_1_BASIC,1,1,46,10,3132,296,12.85,3945,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-07-13
2023,PT,PT2,75.3,84.74,73.54,57.72,LEVEL_2_STRUCTURED,1,0,77,20,1670,65,91.87,132202,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-01-04
2024,BE,SE338,69.71,100.0,76.52,55.16,LEVEL_3_SEMANTIC,0,1,80,3,2953,124,60.51,33661,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-01-16
2025,FI,PL971,74.03,98.99,56.65,89.77,LEVEL_4_FEDERATED,0,1,93,57,1051,316,103.28,103821,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-09-18
2006,LV,FI75,38.42,22.96,25.1,20.35,LEVEL_0_NONE,0,0,11,16,1099,86,189.04,139426,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-11-29
2007,RO,LV9,25.6,15.65,29.29,4.69,LEVEL_1_BASIC,0,0,18,33,1239,59,161.02,51629,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2025-09-17
2008,BG,CY963,28.46,42.26,31.59,20.59,LEVEL_2_STRUCTURED,0,0,3,18,704,75,121.51,30528,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-10-13
2009,FR,MT83,17.93,36.64,42.46,14.88,LEVEL_3_SEMANTIC,0,0,37,36,544,81,73.09,111867,1,EHDS_PILOT_REPORT,EHEALTH_V1,2024-11-28
2010,LT,MT4,48.07,48.48,37.74,36.22,LEVEL_4_FEDERATED,0,0,29,51,1480,95,80.96,135080,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-07-03
2011,SK,FI43,36.54,43.44,26.25,26.05,LEVEL_0_NONE,0,0,50,63,1231,79,8.24,16305,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-04-22
2012,HR,BG5,32.63,45.82,37.56,43.71,LEVEL_1_BASIC,0,0,3,13,813,15,43.66,35287,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-03-15
2013,DE,IT719,56.55,28.99,59.47,22.57,LEVEL_2_STRUCTURED,0,0,21,30,316,32,83.92,106670,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-06-23
2014,LU,DK2,60.71,31.58,30.88,49.0,LEVEL_3_SEMANTIC,0,0,0,14,1096,9,89.09,44762,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2026-01-10
2015,SI,CY3,50.16,34.03,37.86,39.02,LEVEL_4_FEDERATED,0,0,59,67,154,52,85.61,142628,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-12-16
2016,CY,PT32,70.25,74.47,64.35,38.63,LEVEL_0_NONE,1,0,16,20,1176,78,209.37,35858,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-01-10
2017,GR,RO4,76.94,35.2,50.67,60.75,LEVEL_1_BASIC,1,0,30,0,928,54,60.32,11166,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-02-05
2018,MT,HU526,46.54,77.21,54.09,43.53,LEVEL_2_STRUCTURED,1,0,13,16,2426,57,191.96,100258,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-09-01
2019,ES,HR4,53.75,73.75,70.46,46.26,LEVEL_3_SEMANTIC,1,0,35,37,3343,33,128.74,131826,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-06-09
2020,CZ,SK2,77.06,87.87,43.81,49.98,LEVEL_4_FEDERATED,1,0,71,22,3045,26,309.99,164789,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-08-25
2021,HU,CY46,85.06,52.27,57.2,49.23,LEVEL_0_NONE,1,0,37,5,1523,337,202.73,164351,0,EHDS_PILOT_REPORT,EHEALTH_V1,2024-02-11
2022,NL,LV2,73.43,70.37,57.52,51.8,LEVEL_1_BASIC,0,0,25,27,829,236,82.04,167,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-01-04
2023,SE,RO54,79.62,82.04,62.53,65.87,LEVEL_2_STRUCTURED,0,1,34,26,118,296,167.5,242704,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-09-29
2024,DK,LT1,71.09,80.94,60.65,48.09,LEVEL_3_SEMANTIC,1,1,55,29,1029,155,181.13,260443,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-07-29
2025,IE,BG561,72.45,73.95,64.91,64.68,LEVEL_4_FEDERATED,1,1,29,40,3398,317,234.34,20746,1,EHDS_PILOT_REPORT,EHEALTH_V3,2025-12-17
2006,PL,NL1,29.6,34.56,8.76,21.54,LEVEL_0_NONE,0,0,41,27,604,63,137.2,96509,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-05-03
2007,AT,PT616,20.61,12.27,4.36,12.07,LEVEL_1_BASIC,0,0,27,34,1276,36,92.05,79398,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2024-03-06
2008,EE,HU149,47.39,17.98,7.92,18.43,LEVEL_2_STRUCTURED,1,0,34,11,831,111,61.89,107968,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-07-18
2009,IT,EE3,30.82,27.99,19.7,29.26,LEVEL_3_SEMANTIC,0,0,39,64,729,75,204.35,119214,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-04-09
2010,PT,LV739,44.89,33.29,28.63,12.98,LEVEL_4_FEDERATED,0,0,43,50,1429,57,70.66,34412,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-05-13
2011,BE,DK73,22.57,52.96,31.25,38.98,LEVEL_0_NONE,0,0,61,61,206,105,83.75,81176,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-03-03
2012,FI,IT166,49.3,25.14,32.07,36.73,LEVEL_1_BASIC,0,0,19,14,1160,93,180.06,37427,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-07-24
2013,LV,SK367,47.46,65.45,26.6,30.66,LEVEL_2_STRUCTURED,0,0,40,56,294,32,32.76,78246,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-01-17
2014,RO,HR713,51.24,41.04,36.8,19.93,LEVEL_3_SEMANTIC,0,0,8,0,1186,42,67.33,42930,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-10-30
2015,BG,FI5,75.64,74.31,48.8,34.98,LEVEL_4_FEDERATED,0,0,40,29,192,110,14.73,25603,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2026-01-03
2016,FR,EE26,42.05,62.33,44.42,52.44,LEVEL_0_NONE,0,0,52,54,197,42,66.33,5459,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-03-05
2017,LT,ES16,83.34,72.23,63.12,42.6,LEVEL_1_BASIC,0,0,29,27,1010,7,40.04,59754,0,EHDS_PILOT_REPORT,EHEALTH_V3,2026-02-01
2018,SK,SE33,77.18,87.37,67.5,33.77,LEVEL_2_STRUCTURED,1,1,57,60,1882,62,41.34,67387,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2024-05-04
2019,HR,FR35,65.85,78.21,74.28,51.35,LEVEL_3_SEMANTIC,1,1,20,14,3449,8,72.88,66489,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-12-28
2020,DE,PT1,53.93,61.97,46.52,73.02,LEVEL_4_FEDERATED,1,1,88,16,367,18,29.89,182030,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2024-10-28
2021,LU,IE6,75.97,85.79,79.79,52.31,LEVEL_0_NONE,1,0,74,34,498,375,103.38,96503,0,EHDS_PILOT_REPORT,EHEALTH_V2,2024-01-11
2022,SI,DK47,81.02,95.8,45.87,52.26,LEVEL_1_BASIC,0,0,42,62,3347,393,245.16,41341,1,DESI_EHEALTH_MODULE,EHEALTH_V1,2026-01-21
2023,CY,BG50,96.67,49.24,52.3,87.16,LEVEL_2_STRUCTURED,1,1,21,16,407,342,3.64,69690,1,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-03-04
2024,GR,PT487,83.8,78.59,74.37,36.31,LEVEL_3_SEMANTIC,0,1,93,13,1770,242,66.46,56570,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-02-25
2025,MT,HR3,82.32,78.6,64.38,46.92,LEVEL_4_FEDERATED,1,1,88,55,2935,320,141.83,214820,1,EHDS_PILOT_REPORT,EHEALTH_V1,2024-07-08
2006,ES,HU3,13.18,24.91,7.98,25.51,LEVEL_0_NONE,0,0,36,41,1117,10,12.42,53629,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-02-14
2007,CZ,PL8,9.64,27.41,18.4,16.88,LEVEL_1_BASIC,0,0,22,42,124,40,127.08,23915,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-03-16
2008,HU,AT6,10.9,35.6,29.52,16.16,LEVEL_2_STRUCTURED,0,0,41,39,900,66,163.29,43471,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-12-30
2009,NL,ES5,14.46,47.14,28.91,11.8,LEVEL_3_SEMANTIC,0,1,25,14,1287,50,115.29,19018,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-10-09
2010,SE,LT9,57.85,21.09,32.5,35.91,LEVEL_4_FEDERATED,0,0,38,42,950,70,135.65,24206,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-11-23
2011,DK,BG3,60.34,46.51,24.39,41.24,LEVEL_0_NONE,0,0,10,6,1482,95,182.42,126329,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2026-02-07
2012,IE,GR5,57.29,44.46,50.21,31.55,LEVEL_1_BASIC,0,0,15,30,214,82,126.9,8866,0,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-06-29
2013,PL,LV8,60.96,62.78,34.9,43.22,LEVEL_2_STRUCTURED,0,0,32,36,1205,110,248.71,51511,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-04-09
2014,AT,ES24,48.97,54.36,35.62,40.19,LEVEL_3_SEMANTIC,0,0,5,0,1073,41,213.79,19958,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2024-09-10
2015,EE,LU5,46.41,33.83,39.4,33.96,LEVEL_4_FEDERATED,0,0,50,41,441,20,172.13,59903,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-07-22
2016,IT,NL5,41.16,35.73,45.91,50.27,LEVEL_0_NONE,1,0,28,20,585,40,94.61,25795,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2024-09-26
2017,PT,NL39,44.85,49.77,57.23,40.77,LEVEL_1_BASIC,0,0,18,10,1238,98,83.83,54673,0,EHDS_PILOT_REPORT,EHEALTH_V1,2026-02-15
2018,BE,FI935,44.72,51.41,34.18,43.95,LEVEL_2_STRUCTURED,1,0,47,53,144,42,46.71,23658,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2024-03-28
2019,FI,IT257,83.29,78.45,42.05,54.91,LEVEL_3_SEMANTIC,0,1,17,24,2499,71,145.86,121341,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2024-11-23
2020,LV,SI1,65.93,46.25,81.34,62.38,LEVEL_4_FEDERATED,1,1,56,17,3165,19,183.78,73851,1,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2025-02-25
2021,RO,LV36,60.72,95.49,48.48,37.81,LEVEL_0_NONE,1,0,90,8,2149,204,298.6,265219,0,EHDS_PILOT_REPORT,EHEALTH_V3,2025-06-17
2022,BG,ES719,80.98,66.94,68.97,65.7,LEVEL_1_BASIC,0,1,105,26,3448,0,57.29,169492,0,DESI_EHEALTH_MODULE,EHEALTH_V2,2025-09-27
2023,FR,ES770,55.45,64.81,44.62,37.85,LEVEL_2_STRUCTURED,0,0,54,14,3414,114,213.75,147884,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V1,2025-02-25
2024,LT,LU9,96.11,79.49,43.75,60.19,LEVEL_3_SEMANTIC,1,1,59,2,311,371,102.33,129294,1,HOSPITAL_EHR_SURVEY,EHEALTH_V3,2025-05-28
2025,SK,NL87,65.19,100.0,77.86,79.81,LEVEL_4_FEDERATED,1,0,91,5,2492,248,90.31,116974,0,EHDS_PILOT_REPORT,EHEALTH_V2,2025-02-15
2006,HR,AT167,43.47,4.35,24.43,3.89,LEVEL_0_NONE,0,0,47,4,515,43,18.4,74256,0,DESI_EHEALTH_MODULE,EHEALTH_V1,2025-11-30
2007,DE,CZ239,25.59,11.2,22.16,24.61,LEVEL_1_BASIC,0,0,23,39,1431,8,62.45,20969,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V3,2024-04-11
2008,LU,GR85,38.73,16.46,37.13,24.45,LEVEL_2_STRUCTURED,0,0,47,45,553,23,112.4,81785,0,HOSPITAL_EHR_SURVEY,EHEALTH_V2,2025-04-18
2009,SI,NL493,48.38,29.61,14.1,32.99,LEVEL_3_SEMANTIC,0,0,56,50,1482,61,173.9,125653,0,EHDS_PILOT_REPORT,EHEALTH_V1,2025-12-22
2010,CY,LU439,29.61,21.5,25.15,33.55,LEVEL_4_FEDERATED,0,0,50,68,520,17,70.58,66951,0,DESI_EHEALTH_MODULE,EHEALTH_V3,2025-05-13
2011,GR,CY841,26.47,23.9,23.9,39.17,LEVEL_0_NONE,0,0,41,44,1307,92,57.71,28062,0,NATIONAL_EHEALTH_AUTHORITY,EHEALTH_V2,2025-09-18
2012,MT,AT515,22.58,23.28,18.85,25.75,LEVEL_1_BASIC,0,0,56,50,1080,3,32.18,66086,0,HOSPITAL_EHR_SURVEY,EHEALTH_V1,2024-09-26
2013,ES,LT7,41.46,29.54,18.38,34.5,LEVEL_2_STRUCTURED,0,0,11,43,719,87,110.28,75271,0,EHDS_PILOT_REPORT,EHEALTH_V3,2024-01-13
