soc_vuln_index_year,soc_vuln_community_geoid,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_social_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2011,GEO00000000991,20.64,2.41,59.05,52.02,24.65,39.68,0.43,15.618,0.18,5.66,19.12,1057.5,47.64,66.5,0.3405,8.81,10.28,681
2012,GEO00000000992,14.75,20.43,11.34,9.09,23.26,15.39,13.04,17.148,27.18,2.5,28.0,68.17,52.86,98.58,0.4482,67.64,98.07,1115
2020,GEO00000000993,21.89,1.67,47.35,18.27,23.47,35.95,27.97,7.545,1.87,22.56,39.67,263.43,88.77,49.37,0.0986,26.18,41.57,1385
2023,GEO00000000994,24.81,8.33,17.75,35.35,4.86,35.32,11.82,5.053,7.05,24.77,23.19,369.07,33.56,47.56,0.4804,43.54,97.44,1319
2025,GEO00000000995,5.21,6.97,17.17,38.28,0.29,40.56,31.67,18.126,50.03,14.97,12.49,478.48,70.05,84.95,0.2533,68.28,19.15,809
2023,GEO00000000996,31.68,22.8,66.04,53.89,16.48,43.94,32.39,6.329,13.23,23.54,14.46,1037.3,49.4,13.35,0.7915,46.68,40.59,700
2011,GEO00000000997,53.51,11.45,74.75,25.93,19.36,24.22,17.56,17.475,17.19,6.52,36.89,768.11,52.27,97.39,0.7288,8.95,16.47,1669
2013,GEO00000000998,44.22,19.39,3.8,16.93,32.66,6.2,16.23,2.855,13.95,10.11,36.25,544.49,15.52,38.34,0.6052,96.3,37.62,1409
2010,GEO00000000999,10.37,16.84,33.86,41.72,21.93,20.05,10.46,5.284,25.97,29.93,7.86,558.7,52.23,46.99,0.6467,95.04,4.11,57
2016,GEO00000001000,33.38,0.48,26.74,45.86,10.96,25.98,0.93,11.55,51.36,13.69,27.96,796.31,18.34,13.18,0.6283,54.14,61.76,908
2015,GEO00000001001,18.86,30.7,74.86,25.62,6.64,32.33,24.09,4.966,57.69,10.79,35.16,1360.51,54.82,96.23,0.1726,87.87,95.82,687
2010,GEO00000001002,0.15,12.94,32.69,53.28,36.92,43.27,30.19,11.001,27.34,24.73,34.13,418.04,57.9,31.59,0.6015,47.38,27.3,427
2012,GEO00000001003,44.39,0.45,64.26,11.03,9.44,32.4,0.26,11.654,54.68,24.16,17.08,1406.22,69.44,50.66,0.4,74.83,35.01,1597
2025,GEO00000001004,52.37,10.07,13.02,46.62,38.95,14.86,8.46,8.498,46.76,13.95,27.17,31.6,17.26,81.21,0.4017,52.94,36.65,585
2022,GEO00000001005,49.49,31.11,19.71,12.24,32.29,16.93,26.33,9.379,22.94,16.9,36.42,492.74,34.0,22.06,0.5739,99.7,68.78,1197
2020,GEO00000001006,35.26,0.98,6.51,26.11,39.64,33.94,14.31,0.469,12.11,28.4,11.43,579.76,80.28,69.89,0.5703,63.17,87.65,1294
2009,GEO00000001007,5.47,0.63,41.28,34.86,2.92,17.09,20.18,11.112,14.89,4.69,19.13,826.28,15.83,23.34,0.658,20.83,9.01,500
2025,GEO00000001008,47.2,4.38,5.31,10.54,21.24,1.35,12.76,8.846,24.64,26.11,20.94,1333.12,56.99,91.87,0.7654,55.78,22.31,1330
2013,GEO00000001009,12.47,30.42,51.04,49.79,14.4,38.2,39.73,18.769,57.69,23.61,25.79,396.58,56.34,45.56,0.9571,40.37,69.58,1812
2008,GEO00000001010,45.03,2.23,57.68,29.38,26.69,28.63,0.13,2.423,48.24,18.3,38.09,707.88,88.09,9.49,0.7189,7.79,82.97,1434
2017,GEO00000001011,6.36,14.44,43.46,9.52,38.84,26.23,35.45,16.516,52.66,24.31,6.99,350.54,87.62,26.28,0.1426,59.86,44.36,1329
2016,GEO00000001012,34.1,23.43,72.46,39.73,35.53,26.73,34.1,17.427,8.05,12.12,24.53,570.87,93.94,45.72,0.7086,99.84,6.96,1232
2008,GEO00000001013,48.02,29.69,3.9,23.78,32.74,25.01,12.67,12.983,25.27,7.14,4.3,485.48,13.89,92.22,0.191,62.45,58.97,1306
2007,GEO00000001014,0.75,15.82,69.16,15.61,28.94,28.18,5.36,1.931,6.43,12.01,39.43,946.57,13.54,99.54,0.2302,73.2,90.62,373
2020,GEO00000001015,47.73,31.7,11.28,15.27,39.62,7.39,15.16,1.665,5.41,20.01,16.31,428.76,92.47,10.96,0.9809,5.75,76.46,739
2011,GEO00000001016,15.52,11.75,47.15,46.35,0.39,42.24,1.91,17.537,11.37,28.37,36.61,1221.65,75.58,30.34,0.5851,83.92,77.52,94
2011,GEO00000001017,35.54,10.09,15.04,43.4,14.97,6.18,11.25,2.305,55.57,20.52,6.9,7.02,89.87,54.46,0.6236,78.91,97.3,1354
2023,GEO00000001018,33.58,30.56,55.9,14.35,39.17,15.39,19.53,19.37,37.2,18.62,35.52,1384.44,20.61,99.23,0.1628,20.11,41.92,1172
2019,GEO00000001019,37.16,32.97,29.2,12.14,4.3,33.65,12.53,14.707,6.78,22.65,24.34,855.8,73.93,86.62,0.0054,66.19,44.19,1439
2012,GEO00000001020,29.04,34.82,16.92,20.61,36.38,16.65,34.3,17.823,17.6,1.78,16.08,398.83,29.88,43.59,0.6107,84.12,99.34,837
2012,GEO00000001021,15.95,20.66,15.11,6.39,15.11,28.57,23.27,19.674,50.49,8.55,35.24,292.19,48.08,22.19,0.6422,62.13,78.63,1987
2007,GEO00000001022,31.92,4.09,18.01,29.43,20.9,2.87,23.96,9.787,17.19,11.65,19.33,791.56,4.51,11.5,0.5418,78.13,67.43,1296
2023,GEO00000001023,46.29,25.92,37.78,35.29,23.15,11.09,6.41,4.971,23.12,5.68,33.93,951.18,19.63,77.73,0.9629,70.9,77.9,652
2013,GEO00000001024,54.02,32.78,35.18,50.15,11.25,39.73,22.05,17.819,36.07,19.03,27.49,750.09,97.96,14.46,0.9249,52.46,63.01,596
2022,GEO00000001025,4.57,34.53,22.51,14.59,23.6,23.03,35.21,2.495,53.82,10.39,12.52,956.24,48.72,0.86,0.2254,31.59,77.43,1723
2016,GEO00000001026,0.46,24.03,11.08,1.7,29.78,15.69,23.36,13.549,55.13,5.76,16.84,185.33,52.57,1.11,0.1119,65.76,68.05,1902
2007,GEO00000001027,31.76,12.62,32.17,6.25,21.82,22.5,21.72,12.847,14.63,24.46,26.05,244.28,80.13,2.82,0.1512,14.75,4.1,1471
2011,GEO00000001028,5.2,1.08,68.24,22.7,35.72,35.63,0.83,5.907,43.37,2.38,4.91,1380.3,69.88,47.21,0.6554,80.3,93.41,1274
2023,GEO00000001029,9.19,29.31,20.42,27.83,38.75,14.19,22.57,18.12,57.64,2.39,17.25,381.28,55.12,94.65,0.9853,53.04,31.95,1397
2007,GEO00000001030,32.88,23.38,13.11,6.25,9.83,5.94,33.0,4.095,15.81,9.81,30.05,409.34,21.06,68.29,0.4227,46.09,81.68,393
2022,GEO00000001031,1.97,21.26,43.06,14.16,16.14,32.61,37.04,17.781,59.81,12.45,34.39,1318.71,1.86,43.67,0.6457,48.07,88.66,871
2010,GEO00000001032,42.91,3.71,5.36,30.9,9.05,2.92,39.81,18.508,49.57,24.72,18.68,200.96,44.37,94.83,0.1159,10.39,7.81,605
2021,GEO00000001033,41.47,27.53,50.24,13.98,19.32,12.36,0.92,11.715,35.81,16.8,3.02,131.81,88.74,13.14,0.427,71.65,85.25,1881
2012,GEO00000001034,16.72,33.04,42.71,40.97,37.72,24.81,29.76,6.584,52.34,11.38,13.43,1397.2,60.86,51.97,0.7039,44.22,52.23,46
2010,GEO00000001035,39.23,32.99,26.78,20.03,27.35,6.84,5.29,12.513,50.14,23.69,12.69,753.48,63.03,4.13,0.1119,4.61,93.9,1193
2010,GEO00000001036,8.43,1.46,53.26,54.98,2.13,32.22,11.12,18.686,1.99,1.58,7.54,677.01,4.12,6.0,0.8829,11.72,64.49,23
2015,GEO00000001037,38.89,21.5,19.67,20.93,15.43,33.14,29.53,0.161,37.49,26.51,13.52,1356.23,83.82,47.87,0.5488,31.27,52.78,1888
2015,GEO00000001038,22.92,34.57,3.3,25.42,37.69,23.06,26.06,2.995,11.23,17.24,7.66,907.94,84.72,96.33,0.4943,88.2,73.77,1364
2025,GEO00000001039,22.53,24.17,7.5,32.32,39.26,3.8,2.16,16.853,44.15,29.05,18.98,80.88,4.36,7.02,0.4396,18.18,20.42,1446
2014,GEO00000001040,24.24,1.36,24.0,42.79,26.58,2.43,21.28,18.217,14.45,7.31,27.76,141.57,4.56,30.41,0.045,55.89,78.18,449
2017,GEO00000001041,34.3,3.41,12.09,47.81,25.29,16.4,37.22,14.454,26.11,23.44,12.13,874.85,97.17,38.22,0.8166,94.46,58.62,494
2007,GEO00000001042,29.93,21.33,16.61,45.73,13.6,34.74,3.15,11.234,59.71,8.4,18.84,112.4,97.13,20.64,0.6609,38.15,5.07,1898
2014,GEO00000001043,19.25,33.09,65.58,44.77,1.78,34.92,9.73,19.257,58.73,14.91,24.66,264.2,1.2,57.72,0.2194,87.13,60.28,1439
2012,GEO00000001044,47.77,28.63,67.11,53.52,5.12,9.29,29.21,4.088,49.4,18.29,13.09,1222.29,74.06,6.94,0.2245,27.69,25.41,1069
2024,GEO00000001045,7.71,19.47,27.52,23.99,11.22,12.9,13.13,10.802,25.02,10.62,14.33,159.55,39.5,91.03,0.3463,83.77,55.5,117
2010,GEO00000001046,23.0,12.43,11.53,42.66,32.98,33.16,36.84,9.672,41.0,7.42,24.37,518.64,72.19,69.2,0.7159,0.55,74.72,1240
2019,GEO00000001047,4.42,17.27,63.94,51.59,7.69,41.05,36.66,8.855,1.11,29.89,36.5,807.25,9.38,54.21,0.0905,56.24,59.79,1780
2021,GEO00000001048,49.59,24.66,47.75,11.38,5.09,13.42,22.15,9.883,11.41,17.07,31.76,131.53,1.14,30.5,0.5168,39.23,89.42,1918
2012,GEO00000001049,34.33,32.88,24.68,17.19,30.67,15.65,3.82,8.098,8.56,21.68,34.26,290.28,81.77,94.81,0.2502,64.77,42.53,63
2012,GEO00000001050,27.58,0.15,37.61,25.64,21.68,17.03,2.87,19.725,44.42,19.27,3.19,1290.3,93.69,58.86,0.1909,17.03,2.89,1470
2020,GEO00000001051,35.73,3.44,44.83,18.27,38.77,10.49,30.61,1.381,18.07,25.26,16.99,10.31,42.4,12.14,0.3417,78.48,87.21,101
2023,GEO00000001052,16.98,27.29,9.8,4.9,5.61,14.63,29.66,17.142,28.55,28.03,12.23,435.29,19.11,53.03,0.8538,76.04,10.83,1976
2025,GEO00000001053,20.77,10.34,39.67,15.6,28.77,15.16,8.17,8.077,38.47,3.78,33.25,1188.25,78.55,7.88,0.1677,1.82,16.08,791
2007,GEO00000001054,8.71,8.13,41.13,54.27,7.71,2.48,10.9,14.71,52.24,8.01,0.54,441.77,37.28,16.12,0.1483,45.7,32.75,1785
2023,GEO00000001055,12.41,29.61,3.7,21.55,0.48,31.31,10.26,1.439,36.5,3.44,0.05,562.28,53.25,3.03,0.489,43.71,32.2,962
2020,GEO00000001056,15.62,12.99,71.88,22.51,25.81,31.16,35.0,13.218,17.98,13.54,34.6,1378.27,37.27,85.58,0.4226,2.97,54.57,1909
2025,GEO00000001057,53.84,6.21,33.83,41.16,11.17,3.11,8.16,3.922,37.76,25.13,33.91,1149.06,15.81,65.77,0.0182,50.78,82.18,1049
2020,GEO00000001058,54.52,6.62,23.48,1.19,18.16,15.59,0.53,17.261,32.42,25.91,7.03,171.86,58.19,26.32,0.8679,58.52,54.02,1593
2013,GEO00000001059,4.5,9.89,68.4,12.82,11.31,10.71,12.23,8.237,47.73,2.51,36.97,40.62,49.26,40.91,0.7195,39.6,5.86,642
2010,GEO00000001060,40.75,7.75,60.29,47.54,27.56,22.22,27.15,16.682,7.45,25.48,11.43,904.04,12.96,45.29,0.7606,52.04,40.1,1949
2023,GEO00000001061,12.56,14.72,14.63,0.9,32.16,10.72,20.05,13.091,55.37,9.69,14.68,618.01,44.63,81.12,0.1942,7.35,4.28,233
2011,GEO00000001062,51.25,15.29,56.69,29.31,31.92,19.23,0.79,19.299,1.91,12.48,3.65,1275.73,91.67,22.34,0.2795,5.32,49.84,1230
2016,GEO00000001063,34.04,32.5,1.48,6.13,20.5,23.92,10.45,1.032,46.27,6.83,6.61,1228.36,59.56,36.59,0.1036,73.68,56.19,972
2007,GEO00000001064,9.66,15.14,38.09,2.86,28.22,29.99,17.06,16.914,47.57,19.1,19.46,567.68,14.36,63.37,0.1353,50.15,4.99,305
2007,GEO00000001065,31.56,32.35,70.79,18.97,29.44,7.11,26.59,11.619,55.68,26.45,28.99,1455.65,24.25,27.19,0.3226,90.57,87.01,1892
2013,GEO00000001066,52.66,34.54,25.73,24.94,30.1,33.22,26.79,15.592,9.21,14.98,20.64,341.0,98.67,45.08,0.2095,46.97,79.01,204
2019,GEO00000001067,4.05,28.38,71.95,34.81,38.44,3.38,6.27,14.875,56.4,25.27,17.14,668.95,40.89,95.58,0.096,88.2,17.93,317
2008,GEO00000001068,17.5,30.19,54.21,44.65,19.46,21.04,38.82,1.367,10.1,2.02,11.45,974.22,63.51,20.72,0.1883,93.8,48.91,161
2013,GEO00000001069,12.52,10.75,58.75,54.35,32.5,22.03,6.79,9.749,59.29,27.36,10.01,541.1,72.4,50.12,0.1112,35.35,48.73,625
2011,GEO00000001070,25.63,0.51,30.48,16.69,6.21,6.49,2.61,7.366,26.19,29.25,0.43,1485.42,55.11,78.51,0.7916,17.68,48.82,685
2018,GEO00000001071,7.78,8.82,10.57,20.5,1.36,17.79,23.78,11.332,54.78,28.0,9.8,302.18,29.85,73.84,0.0456,50.09,61.44,765
2025,GEO00000001072,17.23,29.15,44.06,5.99,1.56,27.48,11.01,11.195,4.34,18.54,17.88,370.64,93.3,32.69,0.7957,63.58,35.63,1300
2011,GEO00000001073,33.48,34.36,50.03,22.44,18.21,37.03,25.5,12.385,34.48,9.3,8.86,1205.12,22.41,34.18,0.1126,3.47,74.53,760
2023,GEO00000001074,43.0,30.97,38.55,37.24,32.57,2.83,17.23,0.693,33.29,28.5,18.27,290.59,16.53,13.44,0.5905,92.84,30.88,1559
2022,GEO00000001075,17.36,7.0,71.88,40.32,3.99,0.48,9.93,6.239,44.82,28.14,29.89,1439.73,20.78,19.2,0.715,48.37,52.97,894
2015,GEO00000001076,3.62,10.94,33.65,29.35,1.71,44.47,28.73,3.886,30.98,10.32,21.87,1210.32,0.17,96.15,0.2408,68.47,70.11,1170
2011,GEO00000001077,9.58,19.85,31.81,50.59,17.93,43.76,28.44,5.44,47.37,6.74,2.81,493.51,54.02,1.48,0.6101,11.37,63.34,853
2010,GEO00000001078,52.54,14.53,72.92,10.77,30.83,38.24,34.95,14.864,23.05,29.36,22.21,340.44,84.05,62.13,0.4824,23.87,97.71,1647
2012,GEO00000001079,22.34,28.63,22.43,7.1,14.51,20.72,15.75,5.928,39.57,25.77,23.13,183.38,39.41,72.05,0.0099,26.55,89.54,64
2008,GEO00000001080,39.57,10.91,9.53,23.77,18.74,36.25,28.98,16.553,54.13,10.58,39.83,1300.58,14.28,11.29,0.8529,77.28,28.61,1948
2009,GEO00000001081,14.63,20.32,40.4,0.72,19.94,21.57,6.95,6.434,54.31,24.72,23.61,76.03,19.15,26.96,0.7359,19.63,23.9,1132
2018,GEO00000001082,19.94,23.32,66.09,23.42,8.68,19.07,27.15,4.699,36.25,22.79,16.35,163.05,84.49,40.67,0.4888,62.29,19.87,1284
2011,GEO00000001083,48.98,0.24,46.19,18.01,29.82,42.89,26.37,5.842,22.85,4.38,24.2,569.98,99.31,97.08,0.8303,60.59,7.62,100
2020,GEO00000001084,42.84,21.01,5.59,51.55,23.21,33.5,2.03,0.52,5.46,12.71,19.76,1204.21,3.14,86.02,0.6648,43.12,85.11,1720
2014,GEO00000001085,25.67,32.08,1.44,1.25,10.07,5.13,15.36,0.913,47.79,22.62,7.47,351.08,47.47,60.38,0.6521,47.86,8.93,1628
2013,GEO00000001086,9.23,13.9,62.33,39.6,28.36,26.81,38.4,8.093,13.75,23.76,13.74,154.42,22.8,48.08,0.0516,65.6,77.56,46
2007,GEO00000001087,4.22,3.69,2.08,18.45,37.18,8.45,39.97,8.475,16.24,5.93,38.39,396.18,47.88,43.63,0.0871,7.22,40.67,11
2025,GEO00000001088,10.59,31.65,49.59,21.07,23.86,27.65,26.65,19.576,18.52,4.04,4.03,180.93,47.54,28.23,0.9108,48.54,80.81,78
2023,GEO00000001089,15.86,19.24,2.65,21.3,32.76,11.25,5.55,6.401,48.03,1.69,38.38,516.7,41.82,86.44,0.95,4.08,72.06,1845
2014,GEO00000001090,51.34,24.22,39.39,9.65,1.92,43.09,30.2,8.949,56.57,7.19,3.48,401.75,22.19,37.69,0.5344,38.48,18.95,1307
2017,GEO00000001091,44.38,11.97,73.16,11.24,15.6,7.76,10.56,0.041,47.81,27.81,13.81,607.22,67.62,65.38,0.8864,88.01,0.61,1732
2020,GEO00000001092,17.41,18.74,14.15,26.82,19.89,31.63,9.01,1.477,25.37,27.79,1.47,316.84,72.44,0.98,0.9266,46.23,98.93,12
2011,GEO00000001093,12.85,30.73,56.55,26.3,4.25,42.21,7.41,14.093,23.18,15.81,15.0,212.06,49.51,70.59,0.7641,10.93,91.21,1196
2019,GEO00000001094,11.34,26.18,33.0,43.56,35.38,0.65,12.28,6.544,23.63,26.94,36.98,855.7,53.52,97.8,0.8086,1.06,46.79,1138
2017,GEO00000001095,36.22,9.14,30.28,44.24,24.45,42.8,6.51,16.838,2.51,26.03,34.1,505.55,72.05,31.26,0.2935,78.94,60.2,1130
2012,GEO00000001096,53.08,18.32,8.55,3.98,34.07,12.29,12.32,17.528,3.09,4.35,38.88,1084.05,60.08,98.3,0.4128,28.9,1.33,722
2007,GEO00000001097,30.06,18.81,19.29,16.81,2.46,20.62,7.46,7.737,16.94,19.58,0.14,327.88,93.83,11.62,0.0248,30.14,65.03,720
2025,GEO00000001098,9.8,9.25,18.18,9.18,24.92,33.01,9.98,5.572,9.79,20.4,11.62,43.86,76.3,31.88,0.8136,70.45,24.07,556
2022,GEO00000001099,23.45,15.42,7.92,40.39,27.64,5.66,21.0,5.184,26.65,18.19,6.24,1115.12,67.24,14.75,0.8291,22.59,15.74,1892
2015,GEO00000001100,39.18,11.0,19.29,41.37,32.88,37.52,34.42,12.259,27.59,11.13,27.68,744.89,32.48,0.16,0.5762,79.82,17.93,621
2011,GEO00000001101,43.14,15.18,31.17,9.82,15.22,4.55,8.72,11.533,55.98,27.5,29.47,831.26,38.87,43.88,0.602,22.63,60.82,874
2024,GEO00000001102,35.45,3.21,8.63,41.9,9.62,20.5,4.11,3.312,46.0,13.9,11.6,1255.0,81.69,11.98,0.6828,70.41,69.09,135
2007,GEO00000001103,16.93,34.78,0.34,44.94,0.46,3.5,10.55,19.456,38.54,17.36,33.08,1217.56,4.12,29.62,0.8768,32.3,56.5,1911
2008,GEO00000001104,46.64,34.31,29.76,16.27,34.6,21.44,35.21,3.709,33.07,20.09,22.51,1453.68,1.81,94.91,0.1253,49.66,47.5,1742
2007,GEO00000001105,1.75,2.31,40.03,45.3,17.73,25.65,10.36,13.294,49.86,3.13,32.75,1165.21,9.13,76.53,0.1809,76.12,62.35,1193
2024,GEO00000001106,17.22,11.92,3.3,0.13,28.49,42.18,36.56,4.853,57.45,23.29,15.05,978.18,0.46,53.39,0.9163,26.15,38.35,1161
2021,GEO00000001107,19.35,10.65,25.87,49.34,19.28,17.46,1.4,12.039,16.24,13.69,3.41,58.31,21.97,53.68,0.9627,42.43,96.8,886
2021,GEO00000001108,1.85,17.02,35.98,34.43,34.9,26.72,25.26,8.38,18.8,25.29,10.88,47.83,4.29,44.17,0.0152,45.89,59.87,12
2015,GEO00000001109,25.5,31.55,31.26,33.48,25.9,17.21,6.77,1.145,41.65,25.88,31.65,544.0,72.03,11.14,0.4982,65.95,13.37,422
2009,GEO00000001110,4.81,10.9,67.18,28.37,38.81,36.47,16.87,2.081,3.23,7.5,5.4,1375.88,89.85,80.16,0.8728,91.81,21.98,16
2007,GEO00000001111,18.67,11.35,21.39,13.84,20.6,24.68,4.11,3.422,57.32,10.63,20.02,644.85,21.47,61.3,0.2544,21.4,36.31,1031
2019,GEO00000001112,22.59,4.35,33.56,36.82,13.39,17.84,37.8,17.69,26.87,28.77,6.5,482.66,37.63,65.81,0.2121,85.96,76.56,1940
2021,GEO00000001113,3.81,29.26,12.3,25.07,3.32,33.94,11.88,10.151,9.61,0.82,28.52,502.88,31.91,23.92,0.2595,7.24,93.75,1708
2016,GEO00000001114,13.25,25.03,2.85,8.06,39.7,43.82,7.24,4.05,54.93,2.62,24.03,822.24,90.85,23.5,0.191,56.18,26.7,956
2014,GEO00000001115,53.61,31.87,16.09,38.55,28.2,4.85,13.97,7.031,13.36,18.69,27.92,1255.8,1.43,30.14,0.6262,54.52,16.17,1062
2017,GEO00000001116,43.19,3.95,64.67,23.09,5.71,32.51,37.03,18.093,23.24,3.14,36.46,1127.42,93.29,80.96,0.5431,40.64,81.77,246
2010,GEO00000001117,2.28,23.35,59.82,54.33,3.54,24.35,35.47,1.22,30.37,19.59,39.06,509.47,22.8,64.3,0.3447,3.91,47.13,1534
2014,GEO00000001118,22.46,3.95,32.17,16.87,17.83,29.46,37.55,6.333,34.87,23.67,23.55,1319.53,90.66,6.78,0.6026,70.09,5.08,90
2020,GEO00000001119,20.78,16.29,31.66,40.68,14.44,5.03,18.71,13.071,9.19,8.39,14.16,285.86,6.95,92.7,0.1765,30.68,41.06,555
2014,GEO00000001120,11.55,14.26,27.84,48.54,37.46,17.3,29.58,2.006,24.55,7.42,3.66,1175.44,76.92,39.49,0.8462,46.81,72.3,1583
2015,GEO00000001121,8.64,19.51,63.14,32.57,29.02,15.43,25.5,17.473,2.85,22.97,17.96,364.57,85.51,35.7,0.5676,84.05,19.06,702
2015,GEO00000001122,22.49,3.03,31.81,22.61,34.15,44.29,13.29,12.902,50.02,13.62,18.57,1029.95,13.03,35.23,0.0816,31.27,85.29,944
2024,GEO00000001123,18.51,23.43,56.94,33.76,7.0,23.57,2.33,5.924,17.56,23.38,3.35,104.96,51.88,45.71,0.3517,70.53,92.17,1527
2023,GEO00000001124,1.96,22.7,7.41,28.94,3.99,31.37,21.77,10.267,20.2,6.13,3.82,516.78,73.25,64.87,0.3336,6.99,24.24,554
2021,GEO00000001125,30.86,26.26,70.9,28.55,11.0,19.3,28.52,2.676,18.52,21.84,38.29,1451.22,98.06,70.87,0.1266,75.32,76.65,744
2009,GEO00000001126,22.82,30.01,16.23,0.34,24.77,2.82,8.47,19.922,16.01,25.35,15.81,316.95,38.33,60.94,0.7557,78.1,63.35,927
2020,GEO00000001127,35.7,10.2,45.25,54.09,36.85,11.85,36.89,10.182,53.85,16.75,16.89,1388.46,86.91,17.78,0.47,0.13,88.28,218
2011,GEO00000001128,35.0,25.56,56.85,18.64,25.09,26.18,12.39,19.457,18.77,7.32,32.75,1070.31,96.52,31.63,0.6318,80.78,24.53,1233
2011,GEO00000001129,0.9,27.03,7.89,23.55,26.18,11.34,21.22,3.239,30.55,7.03,12.62,937.85,47.96,87.77,0.45,93.31,20.56,649
2021,GEO00000001130,11.95,25.38,29.15,31.05,23.41,40.82,28.46,5.332,22.68,2.59,3.57,1058.88,28.64,75.69,0.4659,55.92,50.74,420
2018,GEO00000001131,46.57,8.46,49.37,3.07,30.59,23.23,9.8,18.938,37.54,20.21,14.88,1313.84,43.63,54.26,0.3565,97.06,50.4,1040
2007,GEO00000001132,42.25,27.94,28.77,0.41,12.38,30.2,8.49,0.493,27.94,1.2,6.47,90.21,75.33,13.43,0.4494,69.77,29.57,1870
2007,GEO00000001133,14.01,29.55,26.45,14.88,16.92,30.25,2.64,14.421,46.96,29.44,38.93,707.65,19.33,60.22,0.4957,18.93,13.18,1339
2012,GEO00000001134,24.26,4.51,33.82,11.06,30.63,7.72,16.98,16.579,39.55,7.0,10.82,180.68,71.72,5.29,0.3058,26.75,86.62,1921
2009,GEO00000001135,52.58,10.67,41.3,42.38,36.75,3.47,27.69,7.018,21.24,9.81,14.51,843.03,20.05,35.62,0.6199,52.02,0.16,1012
2020,GEO00000001136,5.16,13.5,70.37,1.02,31.66,44.66,8.93,17.276,20.95,6.58,35.36,1035.98,61.62,45.8,0.0244,88.41,28.7,1936
2018,GEO00000001137,32.61,2.76,41.27,48.83,23.22,15.95,4.22,1.502,52.52,20.3,24.27,891.13,85.23,26.35,0.9138,86.95,23.32,43
2015,GEO00000001138,23.27,4.49,32.45,25.91,15.6,7.21,39.44,15.612,9.04,27.31,30.2,1180.84,3.79,62.66,0.7455,80.25,95.39,44
2007,GEO00000001139,6.31,33.05,11.94,16.08,20.59,31.2,24.59,2.378,32.13,8.78,39.92,1338.06,11.16,94.04,0.001,27.81,86.91,812
2008,GEO00000001140,20.65,31.69,41.47,43.31,34.31,0.29,1.37,14.706,3.22,27.68,26.9,263.24,24.53,51.49,0.3983,77.17,92.25,1875
2025,GEO00000001141,10.4,10.12,14.36,8.55,15.2,35.84,2.17,13.264,30.52,2.85,23.03,14.89,77.11,13.79,0.6405,32.36,32.15,1908
2018,GEO00000001142,39.97,20.92,62.25,2.68,27.56,35.89,21.89,2.683,50.55,9.68,22.55,1153.34,71.24,36.6,0.6206,47.79,86.37,114
2020,GEO00000001143,53.14,28.88,65.7,28.3,15.17,3.93,3.94,9.309,26.51,2.39,38.63,636.11,28.22,50.58,0.9011,79.75,80.59,916
2025,GEO00000001144,17.41,13.27,31.99,8.24,32.56,16.77,37.06,6.951,37.06,17.31,20.96,656.88,28.79,44.13,0.6571,1.66,36.77,1377
2009,GEO00000001145,9.11,25.48,44.31,7.79,5.87,30.29,29.2,18.226,33.96,23.56,34.07,1483.56,29.84,38.77,0.9504,98.33,63.03,1683
2012,GEO00000001146,19.67,1.7,8.42,47.93,8.88,41.96,18.81,14.076,46.5,25.09,5.89,803.9,49.1,68.93,0.401,95.81,1.9,1888
2009,GEO00000001147,0.93,16.51,11.32,17.28,17.07,26.5,29.89,0.576,31.76,25.42,15.82,228.81,0.09,19.62,0.0421,89.07,83.47,1420
2024,GEO00000001148,19.04,22.17,47.27,39.54,7.67,26.46,21.06,7.489,7.06,15.69,27.81,194.5,39.9,67.26,0.6478,90.97,35.94,330
2010,GEO00000001149,22.8,29.34,33.3,22.73,31.95,3.34,28.47,15.77,44.26,17.29,39.57,323.13,31.65,4.08,0.7672,33.11,3.13,326
2013,GEO00000001150,30.81,9.73,61.08,20.99,3.4,20.48,3.79,7.487,43.9,23.32,24.99,415.17,44.39,46.96,0.4822,0.3,57.85,1294
2023,GEO00000001151,24.59,15.67,18.18,15.55,34.89,34.62,10.01,0.421,59.41,28.84,36.07,843.34,79.15,99.24,0.7366,54.4,82.57,1653
2010,GEO00000001152,14.36,3.19,44.88,32.89,14.24,23.14,27.5,15.521,46.16,0.89,30.36,1107.79,99.18,89.82,0.5653,75.9,11.14,411
2009,GEO00000001153,37.35,25.03,71.93,43.38,36.2,0.05,10.19,12.011,8.47,5.64,19.95,770.63,36.52,24.49,0.4112,66.13,3.48,1473
2023,GEO00000001154,21.3,16.72,32.67,39.09,28.34,19.96,27.96,11.682,45.42,0.96,16.52,307.35,92.4,68.03,0.1898,79.25,61.39,1322
2022,GEO00000001155,1.7,5.66,22.18,3.96,37.67,38.17,32.88,6.696,32.64,29.85,25.98,829.26,85.29,64.07,0.5392,73.71,87.25,971
