civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_inr,civic_ballot_campaign_spend_oppose_inr,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2022,BM2022-00923,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_2BVW,166360,129589,FAILED,57040655,47056993,6,7,1289,69.85,26.52,167344,260968,0,2023-09-04,0
2024,BM2024-00924,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_Y5YC,65625,74700,QUALIFIED,40747419,43741297,7,3,1289,53.25,29.58,357455,385132,0,2025-06-18,0
2019,BM2019-00925,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_IDS1,214838,194027,FAILED,47688677,58769860,4,9,1418,35.64,27.6,45128,31642,1,2019-05-14,0
2020,BM2020-00926,STATE_POLICY,HEALTH,HEALTH_MEASURE_22Y0,50756,62633,QUALIFIED,34471638,14413613,6,6,997,51.3,20.8,123841,190500,0,2022-05-11,0
2019,BM2019-00927,INITIATIVE,HEALTH,HEALTH_MEASURE_AP50,9668,10688,QUALIFIED,67129014,49606407,9,7,1359,64.7,29.47,231987,160888,1,2021-05-09,0
2024,BM2024-00928,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_YBXI,123170,130237,QUALIFIED,18810054,66316804,6,5,1675,42.34,24.57,79586,118814,0,2025-06-14,0
2020,BM2020-00929,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_PDKU,12047,9813,PENDING,73843173,71870206,2,13,1719,52.01,44.26,533994,393585,1,2021-02-27,0
2019,BM2019-00930,STATE_POLICY,TAX,TAX_MEASURE_FV0D,27496,23319,FAILED,45611195,69852428,8,3,989,68.54,28.75,720487,359642,1,2020-01-09,1
2026,BM2026-00931,REFERENDUM,TAX,TAX_MEASURE_SGFQ,82887,90965,QUALIFIED,19178128,35297270,9,4,1530,69.22,25.17,234871,163305,1,2026-12-11,0
2021,BM2021-00932,INITIATIVE,TAX,TAX_MEASURE_DM1I,131685,153378,PENDING,46404604,56493063,8,5,1686,69.91,23.83,315684,267353,1,2022-01-09,0
2014,BM2014-00933,STATE_POLICY,HEALTH,HEALTH_MEASURE_HYOV,211874,170951,FAILED,59270239,57480357,12,5,432,65.7,20.09,156169,97397,1,2015-04-04,1
2014,BM2014-00934,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_MVAU,149746,137015,FAILED,65646593,77522244,5,3,1184,62.77,28.21,84485,32301,1,2015-01-10,1
2024,BM2024-00935,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_2KN2,218187,212098,FAILED,51043953,19037684,6,4,161,38.37,37.84,152728,230443,0,2024-10-07,1
2020,BM2020-00936,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_CCRB,87652,73876,FAILED,61865018,47748531,5,8,1298,54.04,41.51,224443,368170,0,2021-10-24,1
2026,BM2026-00937,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_4AF3,17003,20609,QUALIFIED,43039912,68043405,4,5,1147,39.94,32.17,103816,55535,1,2026-10-01,0
2018,BM2018-00938,STATE_POLICY,TAX,TAX_MEASURE_NNY9,115002,100561,FAILED,45910873,58169045,6,2,1373,65.94,31.93,512676,452219,1,2020-06-25,0
2018,BM2018-00939,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_O2HZ,26935,25881,FAILED,39922063,66782825,9,7,476,64.71,33.8,478929,364565,1,2018-12-06,0
2017,BM2017-00940,INITIATIVE,TAX,TAX_MEASURE_8H7Q,158222,192312,QUALIFIED,1148394,27275676,12,5,1638,36.92,32.87,156871,165838,0,2017-11-25,0
2014,BM2014-00941,INITIATIVE,ENV,ENV_MEASURE_9PO2,7759,8650,QUALIFIED,53049578,84659431,4,9,913,33.1,34.18,252658,169330,1,2015-12-06,0
2022,BM2022-00942,REFERENDUM,EDU,EDU_MEASURE_VKSO,133531,145054,QUALIFIED,13377182,39529470,10,6,1480,50.59,20.0,363423,373761,0,2023-02-12,0
2024,BM2024-00943,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_P90O,239045,206082,FAILED,73823747,32537942,9,10,865,47.63,50.61,63972,106014,0,2024-11-22,0
2023,BM2023-00944,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_1UUY,172785,131485,FAILED,26926476,48301797,7,6,1081,31.19,44.83,293809,246247,1,2025-03-27,0
2014,BM2014-00945,STATE_POLICY,ENV,ENV_MEASURE_MN7D,47426,52157,QUALIFIED,47811812,57056731,5,9,1169,50.47,31.87,713653,436846,1,2015-03-29,1
2017,BM2017-00946,STATE_POLICY,EDU,EDU_MEASURE_2WAH,238252,219768,FAILED,38461345,9570954,6,5,663,69.22,25.23,155749,170274,0,2017-09-10,1
2026,BM2026-00947,REFERENDUM,INFRA,INFRA_MEASURE_K7ZX,42262,48899,QUALIFIED,59146435,5256664,17,4,83,33.85,59.93,399166,267377,1,2026-03-05,0
2016,BM2016-00948,REFERENDUM,EDU,EDU_MEASURE_K13Z,14594,12022,FAILED,66046170,80177157,5,8,895,44.42,25.66,442150,461218,0,2018-07-10,0
2018,BM2018-00949,STATE_POLICY,INFRA,INFRA_MEASURE_84JR,147772,136762,FAILED,1485066,3581089,6,3,12,50.94,20.62,445247,565348,0,2020-08-14,0
2026,BM2026-00950,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_8IPT,52684,48364,FAILED,18332249,88370344,8,5,189,52.16,22.1,36764,39850,0,2026-12-06,0
2016,BM2016-00951,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_16ZE,170040,187286,QUALIFIED,57353306,27144586,8,8,611,53.81,33.75,285647,209403,1,2018-02-11,0
2020,BM2020-00952,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_LP7D,147127,125461,FAILED,49692282,16538727,9,5,1766,61.69,32.48,248980,372098,0,2021-03-01,0
2018,BM2018-00953,INITIATIVE,INFRA,INFRA_MEASURE_T60P,238448,175016,FAILED,14841081,65825265,5,9,615,32.49,49.42,399689,259230,1,2018-06-05,1
2021,BM2021-00954,INITIATIVE,INFRA,INFRA_MEASURE_J3MV,132758,140353,QUALIFIED,61628166,14573190,5,3,1187,41.43,22.07,185293,234947,0,2021-07-15,0
2018,BM2018-00955,STATE_POLICY,ENV,ENV_MEASURE_LHBF,150691,156521,PENDING,55297846,5751782,7,5,1646,66.2,22.93,220870,308002,0,2018-07-26,0
2016,BM2016-00956,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_FB4X,49530,58403,QUALIFIED,21796995,25265132,7,5,876,55.78,40.25,28009,30988,0,2016-12-12,0
2014,BM2014-00957,STATE_POLICY,HEALTH,HEALTH_MEASURE_OVXJ,65246,71502,QUALIFIED,35112631,84627139,5,6,1295,66.68,26.21,590401,500674,1,2015-08-20,0
2021,BM2021-00958,INITIATIVE,HEALTH,HEALTH_MEASURE_1IJO,145493,167263,QUALIFIED,10203920,22131956,7,4,548,60.36,25.59,137484,95237,1,2022-12-27,0
2019,BM2019-00959,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_9GDM,14009,9953,FAILED,12340439,32787584,5,8,937,33.21,37.54,517975,323161,1,2021-06-12,1
2026,BM2026-00960,REFERENDUM,TAX,TAX_MEASURE_SCSB,79712,87152,PENDING,59659667,66834252,7,7,851,30.75,30.65,468065,404043,1,2026-09-27,0
2016,BM2016-00961,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_PKP6,90367,97551,QUALIFIED,18108830,87938755,2,3,1790,40.76,45.26,463790,390798,1,2018-03-23,0
2016,BM2016-00962,REFERENDUM,TAX,TAX_MEASURE_RJJP,99268,106293,QUALIFIED,63368668,34774022,1,5,1331,48.66,26.15,412670,309653,1,2016-12-24,1
2015,BM2015-00963,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_0CCG,122995,95366,FAILED,35641346,24823931,7,5,660,53.6,22.92,155120,411706,0,2016-03-19,0
2018,BM2018-00964,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_9IUY,244655,257445,PENDING,1799042,23416473,8,8,1251,55.24,23.49,146270,53882,1,2019-07-16,0
2016,BM2016-00965,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_TOS7,211776,243568,QUALIFIED,58690192,19671911,11,5,940,59.19,40.26,111388,97659,1,2017-11-03,0
2014,BM2014-00966,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_UWB3,137774,155468,QUALIFIED,25446251,86008830,5,8,1459,59.39,25.62,138517,255869,0,2014-06-14,0
2014,BM2014-00967,REFERENDUM,HEALTH,HEALTH_MEASURE_SHHE,181775,224805,QUALIFIED,28678238,14189137,5,10,521,50.66,43.69,393212,280118,1,2014-12-08,0
2022,BM2022-00968,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_ZODI,162476,201663,QUALIFIED,7481571,89343240,7,4,895,45.9,41.41,30783,40286,0,2024-01-17,0
2016,BM2016-00969,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_01AV,128964,94000,FAILED,61018818,61494799,11,4,130,42.36,38.85,82051,110639,0,2017-11-25,0
2020,BM2020-00970,STATE_POLICY,TAX,TAX_MEASURE_2A95,192364,169718,FAILED,74365014,914500,8,3,465,41.15,23.56,715641,201847,1,2022-03-05,0
2019,BM2019-00971,REFERENDUM,TAX,TAX_MEASURE_434D,92540,93175,QUALIFIED,51206085,84738995,9,7,1636,40.32,54.63,741045,338763,1,2020-03-08,0
2014,BM2014-00972,REFERENDUM,HEALTH,HEALTH_MEASURE_UN63,242266,289637,QUALIFIED,49604310,55065905,6,4,1567,38.01,23.38,376220,334150,1,2015-01-04,0
2020,BM2020-00973,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_UUGO,202364,248501,PENDING,56871056,33226633,11,7,437,45.58,33.01,307355,539873,0,2021-09-14,0
2015,BM2015-00974,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_5MUY,206170,179235,FAILED,27075699,48728041,9,6,99,34.24,50.21,159311,124450,1,2015-01-10,0
2014,BM2014-00975,INITIATIVE,ENV,ENV_MEASURE_OPS2,187640,146755,PENDING,43031570,65340157,12,1,118,35.44,38.99,382766,379587,1,2015-03-14,0
2024,BM2024-00976,STATE_POLICY,EDU,EDU_MEASURE_RTXV,33771,38519,QUALIFIED,21379881,27225040,8,2,787,50.76,26.43,598362,423160,1,2025-12-21,1
2022,BM2022-00977,INITIATIVE,ENV,ENV_MEASURE_4Z18,71168,56007,FAILED,18820103,29478927,11,10,1458,53.02,42.35,117483,86999,1,2022-04-30,0
2024,BM2024-00978,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_R6DP,84523,102103,QUALIFIED,30048944,14319899,6,7,1641,59.53,24.63,460951,472418,0,2025-03-10,0
2016,BM2016-00979,INITIATIVE,ENV,ENV_MEASURE_H3CH,39375,27952,FAILED,71797317,8623600,5,4,1206,61.61,34.62,637757,446672,1,2018-11-11,0
2022,BM2022-00980,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_8B54,81488,73718,FAILED,46922906,5028762,10,3,1487,63.55,21.35,240128,544201,0,2022-06-05,0
2026,BM2026-00981,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_X73R,239241,210742,PENDING,11641174,80906266,6,4,1325,59.59,22.76,414274,381466,1,2026-12-07,0
2020,BM2020-00982,REFERENDUM,INFRA,INFRA_MEASURE_RSMF,106970,119181,QUALIFIED,64262200,39401743,9,4,681,68.06,20.91,190995,211250,0,2021-12-22,1
2026,BM2026-00983,STATE_POLICY,HEALTH,HEALTH_MEASURE_TNDY,66017,73549,QUALIFIED,24224338,4844365,5,6,662,66.72,22.85,345730,341296,1,2026-02-03,1
2021,BM2021-00984,INITIATIVE,INFRA,INFRA_MEASURE_20ZX,66069,64602,FAILED,2423243,64734109,4,2,4,46.95,43.85,268551,333835,0,2022-09-25,0
2014,BM2014-00985,REFERENDUM,INFRA,INFRA_MEASURE_V37P,235595,172133,FAILED,37236477,17443675,6,7,1311,34.7,36.25,254474,330186,0,2016-04-17,0
2023,BM2023-00986,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_DDTB,127756,156798,PENDING,4077072,13692077,2,1,798,36.83,37.51,203534,286506,0,2024-09-15,0
2019,BM2019-00987,REFERENDUM,ENV,ENV_MEASURE_CE05,111426,87566,PENDING,25101080,29426399,10,10,413,45.56,38.21,583211,444746,1,2021-07-18,0
2026,BM2026-00988,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_WVHC,228204,261598,QUALIFIED,37356558,82426430,8,4,212,43.63,49.96,361861,519495,0,2026-09-07,0
2026,BM2026-00989,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_V01U,187846,213823,QUALIFIED,62529371,78198977,6,15,1754,34.66,51.92,292114,270497,1,2026-05-09,0
2014,BM2014-00990,INITIATIVE,EDU,EDU_MEASURE_PFEK,161775,148215,PENDING,51691790,55564629,2,6,994,46.47,32.16,409304,534937,0,2015-10-15,0
2014,BM2014-00991,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_PXSV,184513,217233,QUALIFIED,72596014,85032592,6,9,1711,35.74,34.0,422481,154079,1,2014-04-18,1
2024,BM2024-00992,REFERENDUM,EDU,EDU_MEASURE_5ZWU,152051,173070,QUALIFIED,22089392,42980409,8,3,1025,30.93,35.12,262352,407277,0,2024-01-06,0
2016,BM2016-00993,STATE_POLICY,ENV,ENV_MEASURE_BKBF,172766,121564,PENDING,69333151,87040603,6,9,1202,56.32,28.03,429191,294733,1,2017-04-11,0
2025,BM2025-00994,REFERENDUM,TAX,TAX_MEASURE_142A,209102,234527,QUALIFIED,58397062,35292149,4,8,213,64.24,34.24,58873,48542,1,2025-11-20,0
2017,BM2017-00995,REFERENDUM,INFRA,INFRA_MEASURE_2176,188133,183927,FAILED,16408778,26120937,7,2,1295,48.27,36.4,686520,492068,1,2018-01-31,0
2024,BM2024-00996,REFERENDUM,HEALTH,HEALTH_MEASURE_J2OB,111720,126626,QUALIFIED,27054344,88632075,8,9,1672,55.19,31.23,213838,408925,0,2025-06-22,0
2021,BM2021-00997,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_W6J2,196761,204053,QUALIFIED,13979624,83725196,6,6,90,52.32,40.54,750052,422988,1,2021-11-12,0
2019,BM2019-00998,INITIATIVE,HEALTH,HEALTH_MEASURE_PLK5,84837,85860,PENDING,23921457,63503316,7,4,449,49.45,38.31,337146,194941,1,2020-05-25,0
2014,BM2014-00999,REFERENDUM,INFRA,INFRA_MEASURE_AY4L,135225,149983,QUALIFIED,33498914,10747654,6,9,536,59.68,21.13,251883,407327,0,2014-06-07,0
2023,BM2023-01000,REFERENDUM,INFRA,INFRA_MEASURE_3YQM,86501,92129,QUALIFIED,69474673,1316333,8,6,1774,59.24,27.71,412867,663109,0,2024-01-27,0
2019,BM2019-01001,STATE_POLICY,ENV,ENV_MEASURE_UYW6,178711,142891,FAILED,11576944,21494358,11,7,280,30.68,31.15,110195,127655,0,2019-06-08,0
2020,BM2020-01002,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_XRF9,125077,131880,PENDING,48562848,9520095,5,5,1,53.89,23.56,385619,590929,0,2021-10-22,1
2024,BM2024-01003,REFERENDUM,HEALTH,HEALTH_MEASURE_FWAW,142003,139755,FAILED,36368925,2037714,5,4,188,54.43,41.53,484826,475370,1,2024-03-18,0
2018,BM2018-01004,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_PPLG,172175,179489,QUALIFIED,10519167,35969435,8,2,1019,65.84,33.4,403631,281011,1,2020-11-16,0
2022,BM2022-01005,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_OODV,154863,173006,QUALIFIED,60153256,17131289,8,5,1132,68.28,22.5,331424,248929,1,2022-07-09,0
2019,BM2019-01006,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_BO4K,141320,102437,PENDING,66909222,71980749,6,8,50,58.05,23.45,729501,457900,1,2021-08-03,0
2015,BM2015-01007,INITIATIVE,ENV,ENV_MEASURE_9OQK,109599,105843,PENDING,15990721,18745280,6,3,1341,56.04,27.14,394985,551685,0,2016-09-05,0
2020,BM2020-01008,STATE_POLICY,ENV,ENV_MEASURE_L6E2,214705,238013,PENDING,71877557,54631875,7,5,291,65.54,25.61,363991,395095,0,2022-09-06,0
2014,BM2014-01009,STATE_POLICY,TAX,TAX_MEASURE_VQNE,180515,162042,FAILED,46209501,58417712,10,5,581,38.7,42.4,493302,554127,0,2014-06-08,0
2019,BM2019-01010,STATE_POLICY,INFRA,INFRA_MEASURE_EZOA,21221,22419,QUALIFIED,3332235,77268951,6,4,313,66.33,33.02,589728,364848,1,2019-12-02,0
2014,BM2014-01011,INITIATIVE,HEALTH,HEALTH_MEASURE_VE3O,106868,126418,QUALIFIED,21021690,73544787,12,3,861,46.3,32.86,298988,321274,0,2015-07-25,0
2025,BM2025-01012,STATE_POLICY,INFRA,INFRA_MEASURE_XENF,216687,206162,PENDING,50472981,38850328,5,6,1242,57.97,34.28,26039,42178,0,2025-09-23,0
2020,BM2020-01013,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_RYBC,205467,147661,FAILED,10781874,52266531,11,2,1583,50.64,20.61,400847,312467,1,2020-01-27,0
2024,BM2024-01014,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_8HZF,87081,72838,PENDING,53047512,79243772,9,9,1109,57.88,31.23,119519,145112,0,2026-07-18,0
2016,BM2016-01015,INITIATIVE,HEALTH,HEALTH_MEASURE_GHF3,146966,137799,FAILED,42105474,16843649,6,4,1284,59.0,36.49,166496,141306,1,2016-05-06,0
2026,BM2026-01016,STATE_POLICY,EDU,EDU_MEASURE_AL44,207971,193542,FAILED,2995094,78489499,5,4,1702,65.69,21.9,558484,593338,0,2026-10-08,0
2025,BM2025-01017,MUNICIPAL_RESOLUTION,ENV,ENV_MEASURE_OCGN,189455,156532,FAILED,41642355,69612458,9,4,100,54.63,41.62,443132,548324,0,2025-01-12,0
2014,BM2014-01018,REFERENDUM,HEALTH,HEALTH_MEASURE_1AM0,155020,119861,FAILED,67273167,22567854,5,7,203,53.85,27.21,81512,172942,0,2015-03-20,0
2016,BM2016-01019,INITIATIVE,HEALTH,HEALTH_MEASURE_HDZS,5301,4122,FAILED,44414078,31003125,7,6,1318,48.8,22.67,604039,311344,1,2018-04-09,0
2016,BM2016-01020,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_AW3I,223296,164905,FAILED,43429730,72546436,9,10,258,66.21,24.81,70093,85692,0,2018-01-20,0
2022,BM2022-01021,INITIATIVE,TAX,TAX_MEASURE_F0ZA,191563,141621,FAILED,66046330,32692595,6,3,105,36.69,48.8,398346,139880,1,2022-01-24,0
2022,BM2022-01022,REFERENDUM,TAX,TAX_MEASURE_7U66,214100,228793,QUALIFIED,27897451,44756888,6,5,212,30.16,40.6,159338,228547,0,2024-04-14,0
2024,BM2024-01023,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_D36X,36995,35596,FAILED,31536445,86335985,8,6,985,68.59,29.66,670865,456137,1,2025-01-31,1
2017,BM2017-01024,REFERENDUM,HEALTH,HEALTH_MEASURE_53T2,7033,6138,FAILED,14742937,20693219,10,7,630,32.02,31.79,300024,207394,1,2018-02-08,1
2014,BM2014-01025,INITIATIVE,HEALTH,HEALTH_MEASURE_Z2H4,139865,119576,PENDING,50077983,29582041,9,1,146,64.88,34.03,340844,332450,1,2015-12-09,0
2017,BM2017-01026,STATE_POLICY,INFRA,INFRA_MEASURE_VTYK,156984,166858,QUALIFIED,72149541,21644522,7,3,1434,65.85,30.93,190230,241367,0,2018-09-07,0
2025,BM2025-01027,INITIATIVE,EDU,EDU_MEASURE_7PTI,114899,103964,FAILED,15006375,64033077,5,7,359,54.62,29.95,241306,292432,0,2025-08-30,0
2024,BM2024-01028,INITIATIVE,INFRA,INFRA_MEASURE_WUY0,27547,20486,FAILED,37818981,74379247,7,6,175,36.12,42.23,33426,29962,1,2026-08-29,0
2020,BM2020-01029,REFERENDUM,ENV,ENV_MEASURE_DABY,10900,12737,QUALIFIED,67397731,38904815,7,7,823,54.95,20.71,330338,552132,0,2022-07-24,0
2023,BM2023-01030,STATE_POLICY,TAX,TAX_MEASURE_5FO9,78523,79645,QUALIFIED,33564741,52657213,3,12,593,62.66,21.45,102629,82039,1,2025-07-31,0
2015,BM2015-01031,STATE_POLICY,TAX,TAX_MEASURE_YNR9,135115,158708,QUALIFIED,64912905,63019496,6,5,835,38.61,35.26,277107,201159,1,2017-08-21,0
2022,BM2022-01032,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_P1KS,245961,307212,PENDING,68233755,3618858,4,5,434,63.12,29.75,279230,681335,0,2022-07-12,0
2015,BM2015-01033,INITIATIVE,TAX,TAX_MEASURE_093F,134464,104445,PENDING,15954920,38100722,4,6,1125,69.96,24.14,41282,47169,0,2016-11-06,0
2018,BM2018-01034,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_0ELL,234671,204232,PENDING,15705309,33263206,8,10,1753,63.05,30.46,878444,307168,1,2019-07-20,0
2018,BM2018-01035,REFERENDUM,INFRA,INFRA_MEASURE_8Y1T,43301,32248,FAILED,33437468,89428398,6,4,642,63.03,33.88,271132,329784,0,2019-01-28,0
2018,BM2018-01036,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_9JNT,98880,114583,QUALIFIED,24433167,30634155,12,5,751,69.15,23.68,344066,792049,0,2018-04-25,0
2022,BM2022-01037,INITIATIVE,ENV,ENV_MEASURE_8F9P,118785,98966,PENDING,39848187,52899124,10,6,1778,61.28,37.92,444326,516875,0,2024-12-09,0
2016,BM2016-01038,STATE_POLICY,INFRA,INFRA_MEASURE_NNBE,211049,193288,PENDING,4652278,50271400,4,4,1460,46.23,38.38,367089,566934,0,2016-01-10,0
2016,BM2016-01039,STATE_POLICY,HEALTH,HEALTH_MEASURE_LZSC,249457,311482,QUALIFIED,45821416,49467046,4,3,717,40.66,29.69,465474,637305,0,2016-03-25,0
2019,BM2019-01040,INITIATIVE,EDU,EDU_MEASURE_WLC4,72560,53425,FAILED,41456802,61741349,7,5,232,68.06,28.13,383450,201630,1,2019-01-11,0
2025,BM2025-01041,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_6TVD,166039,173693,QUALIFIED,74373987,88553849,7,6,1299,65.42,30.63,543256,217273,1,2025-06-08,0
2026,BM2026-01042,INITIATIVE,INFRA,INFRA_MEASURE_EXB4,6907,6761,FAILED,38692172,60808165,10,2,477,31.86,38.66,292959,400026,0,2026-12-03,0
2023,BM2023-01043,REFERENDUM,HEALTH,HEALTH_MEASURE_2JA3,109461,76891,FAILED,49430470,78026474,9,6,81,59.02,36.85,496639,310793,1,2023-10-31,0
2019,BM2019-01044,REFERENDUM,INFRA,INFRA_MEASURE_C7MV,194681,225472,PENDING,55086098,81679142,12,5,391,53.81,44.86,386699,188052,1,2020-06-30,0
2022,BM2022-01045,STATE_POLICY,HEALTH,HEALTH_MEASURE_MQJH,175667,157109,FAILED,67691010,61368743,10,5,613,57.06,42.16,39218,31643,1,2022-05-15,0
2025,BM2025-01046,REFERENDUM,ENV,ENV_MEASURE_24DE,17641,18760,PENDING,48620321,13717331,3,5,1771,38.04,46.03,201020,247735,0,2025-07-06,0
2019,BM2019-01047,MUNICIPAL_RESOLUTION,TAX,TAX_MEASURE_IIJU,59116,44507,PENDING,38841315,38501880,4,7,23,49.67,21.9,396597,360728,1,2021-12-11,0
2015,BM2015-01048,STATE_POLICY,TAX,TAX_MEASURE_W4QD,166624,205193,QUALIFIED,72203412,22870332,6,9,143,31.48,51.02,400397,547652,0,2015-08-18,0
2019,BM2019-01049,REFERENDUM,GOVERNANCE,GOVERNANCE_MEASURE_HWIK,51149,45176,FAILED,10995443,64975101,7,6,587,41.29,55.42,285843,204628,1,2019-10-12,0
2014,BM2014-01050,STATE_POLICY,HEALTH,HEALTH_MEASURE_0TMT,79481,77252,FAILED,45763914,76247873,7,4,275,43.89,24.37,145199,207858,0,2015-04-18,0
2021,BM2021-01051,STATE_POLICY,GOVERNANCE,GOVERNANCE_MEASURE_CTS4,65051,77023,QUALIFIED,63987104,68144102,9,8,642,43.29,39.84,119634,97793,1,2022-05-11,0
2026,BM2026-01052,STATE_POLICY,ENV,ENV_MEASURE_O893,181887,224791,QUALIFIED,49357641,23841990,7,8,39,47.74,50.96,517605,284724,1,2026-06-26,0
2024,BM2024-01053,INITIATIVE,EDU,EDU_MEASURE_NVRJ,62332,47282,PENDING,70422361,64325132,7,8,1224,47.85,27.81,157247,268714,0,2026-10-25,0
2026,BM2026-01054,STATE_POLICY,INFRA,INFRA_MEASURE_9HE6,165861,148798,FAILED,71044669,30118571,5,4,1131,48.5,21.42,732981,426231,1,2026-05-14,0
2025,BM2025-01055,REFERENDUM,TAX,TAX_MEASURE_HFG5,61959,61256,FAILED,14761188,71809777,5,4,1691,43.5,51.44,502904,295292,1,2026-03-11,0
2020,BM2020-01056,MUNICIPAL_RESOLUTION,HEALTH,HEALTH_MEASURE_U7PK,231759,285635,PENDING,677161,27085446,10,6,1567,35.97,26.04,363347,279178,1,2021-11-15,0
2016,BM2016-01057,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_EL70,179854,166833,FAILED,30616592,89528528,9,6,1239,61.73,28.46,285454,361854,0,2016-09-22,0
2016,BM2016-01058,INITIATIVE,INFRA,INFRA_MEASURE_ULQ4,157593,166087,QUALIFIED,10325483,69212166,10,7,1373,30.13,67.77,208795,142977,1,2017-08-21,0
2023,BM2023-01059,MUNICIPAL_RESOLUTION,EDU,EDU_MEASURE_QHN4,105846,131223,QUALIFIED,12721733,30809044,5,6,1439,47.77,40.28,149518,134136,1,2025-09-02,0
2021,BM2021-01060,MUNICIPAL_RESOLUTION,INFRA,INFRA_MEASURE_AYQ8,92803,80864,FAILED,65502553,3583778,5,12,310,41.91,22.28,401619,363121,1,2021-12-08,0
2023,BM2023-01061,INITIATIVE,TAX,TAX_MEASURE_4TF5,90763,91908,PENDING,21380031,45379742,6,12,131,37.35,25.11,424174,448199,0,2023-09-18,0
2019,BM2019-01062,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_XEU7,224106,214465,FAILED,45864922,54257894,7,7,169,51.96,44.1,90630,45316,1,2020-06-01,0
2025,BM2025-01063,STATE_POLICY,ENV,ENV_MEASURE_FUJP,235690,196609,PENDING,10058685,2973147,6,3,277,64.48,23.43,194856,121193,1,2026-04-24,0
2022,BM2022-01064,STATE_POLICY,HEALTH,HEALTH_MEASURE_ZHH4,223601,223760,PENDING,45919329,83147546,9,6,627,44.17,53.42,446463,471427,0,2023-05-30,0
2015,BM2015-01065,MUNICIPAL_RESOLUTION,GOVERNANCE,GOVERNANCE_MEASURE_2X9P,43786,43610,FAILED,10453850,60809281,5,5,914,57.94,29.49,627184,472378,1,2017-10-11,0
2015,BM2015-01066,INITIATIVE,GOVERNANCE,GOVERNANCE_MEASURE_16O8,125525,103980,FAILED,53272580,5838678,7,3,972,45.19,28.3,96293,34890,1,2017-02-04,0
