edu_he_reference_year,edu_he_country_iso2,edu_he_institution_id,edu_he_institution_type_code,edu_he_students_total,edu_he_international_students_share_pct,edu_he_graduation_rate_pct,edu_he_staff_fte_total,edu_he_research_expenditure_eur,edu_he_publications_count,edu_he_citations_normalised_index,edu_he_horizon_participation_count,edu_he_patents_count,edu_he_spinouts_count,edu_he_open_access_share_pct,edu_he_microcredential_offers_count,edu_he_european_universities_alliance_flag,edu_he_data_source,edu_he_revision_round,edu_he_data_extract_date
2025,NL,HEI_NL_7133,TECHNICAL_UNIVERSITY,56885,28.98,79.61,6562,737880490.19,27880,2.02,599,203,81,65.68,169,0,INSTITUTIONAL_REPORT,FIRST,2025-06-29
2006,SI,HEI_SI_7140,PUBLIC_UNIVERSITY,69491,28.25,51.91,5058,824640048.78,646,1.072,261,103,65,51.5,44,0,EUROSTAT_EDU,FLASH,2025-10-06
2007,BG,HEI_BG_7147,PRIVATE_UNIVERSITY,39140,8.89,47.11,3665,2489221615.98,9386,1.746,89,23,30,56.45,119,0,SCIMAGO_EXPORT,BENCHMARK,2025-01-13
2008,EE,HEI_EE_7154,UNIVERSITY_OF_APPLIED_SCIENCES,63186,13.99,46.91,4932,1795465453.76,3397,1.07,74,105,87,33.51,42,0,NATIONAL_HE_REGISTRY,SECOND,2025-09-26
2009,HU,HEI_HU_7161,RESEARCH_INSTITUTE,46426,21.83,65.16,3274,1177622383.89,1386,0.712,307,133,71,37.26,33,0,INSTITUTIONAL_REPORT,FIRST,2024-03-27
2010,LU,HEI_LU_7168,TECHNICAL_UNIVERSITY,80744,21.35,74.43,5955,2076903711.85,13039,1.552,310,17,70,31.95,14,0,EUROSTAT_EDU,FLASH,2024-06-27
2011,RO,HEI_RO_7175,PUBLIC_UNIVERSITY,80463,28.22,66.0,5408,625726186.77,4046,1.157,360,105,82,47.5,45,0,SCIMAGO_EXPORT,BENCHMARK,2025-10-31
2012,AT,HEI_AT_7182,PRIVATE_UNIVERSITY,22477,9.0,44.33,919,1213438532.81,17370,1.846,67,3,56,26.15,11,0,NATIONAL_HE_REGISTRY,SECOND,2024-06-19
2013,CZ,HEI_CZ_7189,UNIVERSITY_OF_APPLIED_SCIENCES,47366,13.23,55.95,3939,1507991009.73,7055,1.612,124,86,8,49.27,168,0,INSTITUTIONAL_REPORT,FIRST,2025-07-30
2014,DE,HEI_DE_7196,RESEARCH_INSTITUTE,16335,30.66,52.67,638,2971278677.85,24079,0.926,32,78,87,56.65,124,0,EUROSTAT_EDU,FLASH,2024-12-07
2015,LV,HEI_LV_7203,TECHNICAL_UNIVERSITY,13895,6.89,50.64,832,5712766133.0,8706,0.784,360,274,84,55.7,73,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-09
2016,PL,HEI_PL_7210,PUBLIC_UNIVERSITY,18423,20.69,49.37,1438,601166890.3,14677,1.175,170,15,67,26.78,31,0,NATIONAL_HE_REGISTRY,SECOND,2024-01-30
2017,ES,HEI_ES_7217,PRIVATE_UNIVERSITY,34984,9.2,43.97,1004,2238925732.04,19980,0.977,196,18,24,53.36,121,0,INSTITUTIONAL_REPORT,FIRST,2024-07-20
2018,HR,HEI_HR_7224,UNIVERSITY_OF_APPLIED_SCIENCES,44557,23.94,61.58,5235,3268047492.85,3866,1.385,263,31,91,68.27,201,0,EUROSTAT_EDU,FLASH,2025-11-25
2019,FI,HEI_FI_7231,RESEARCH_INSTITUTE,58704,22.44,49.5,2547,1129928763.44,33779,1.161,283,34,27,36.24,128,0,SCIMAGO_EXPORT,BENCHMARK,2026-02-21
2020,IE,HEI_IE_7238,TECHNICAL_UNIVERSITY,81693,31.07,53.78,6122,521687489.0,8504,2.031,246,210,114,35.08,19,0,NATIONAL_HE_REGISTRY,SECOND,2024-07-29
2021,MT,HEI_MT_7245,PUBLIC_UNIVERSITY,25359,15.69,53.19,2056,1265464371.82,14894,2.002,525,28,84,70.48,453,0,INSTITUTIONAL_REPORT,FIRST,2025-05-02
2022,SK,HEI_SK_7252,PRIVATE_UNIVERSITY,22837,15.87,50.74,2141,2248511900.68,5479,1.016,16,66,63,25.32,377,0,EUROSTAT_EDU,FLASH,2025-10-06
2023,BE,HEI_BE_7259,UNIVERSITY_OF_APPLIED_SCIENCES,56725,32.06,56.02,2913,2775316293.5,13365,1.931,24,178,27,52.05,527,0,SCIMAGO_EXPORT,BENCHMARK,2024-09-04
2024,DK,HEI_DK_7266,RESEARCH_INSTITUTE,30869,36.29,48.99,3116,4782027639.07,10348,1.964,185,208,60,59.11,189,0,NATIONAL_HE_REGISTRY,SECOND,2025-03-02
2025,GR,HEI_GR_7273,TECHNICAL_UNIVERSITY,39865,15.69,56.67,2458,1325507837.67,26502,0.889,480,223,36,30.15,355,0,INSTITUTIONAL_REPORT,FIRST,2024-01-19
2006,LT,HEI_LT_7280,PUBLIC_UNIVERSITY,42964,7.62,81.37,5198,2518046974.23,5888,1.891,304,17,30,16.39,158,0,EUROSTAT_EDU,FLASH,2025-02-12
2007,PT,HEI_PT_7287,PRIVATE_UNIVERSITY,61061,20.71,63.56,1646,2940468390.53,774,0.723,144,19,27,25.82,10,0,SCIMAGO_EXPORT,BENCHMARK,2024-12-08
2008,SE,HEI_SE_7294,UNIVERSITY_OF_APPLIED_SCIENCES,3925,29.08,53.1,250,2185949636.36,11425,1.212,74,166,113,41.36,150,0,NATIONAL_HE_REGISTRY,SECOND,2025-11-02
2009,CY,HEI_CY_7301,RESEARCH_INSTITUTE,28604,18.71,51.36,1145,2907219530.84,19687,1.006,12,229,32,63.4,66,0,INSTITUTIONAL_REPORT,FIRST,2025-09-17
2010,FR,HEI_FR_7308,TECHNICAL_UNIVERSITY,41926,31.09,72.31,5091,4502744902.33,20110,1.17,12,262,35,52.12,161,0,EUROSTAT_EDU,FLASH,2025-04-09
2011,IT,HEI_IT_7315,PUBLIC_UNIVERSITY,11590,27.28,82.49,677,389177069.33,1063,0.889,158,20,40,28.04,189,0,SCIMAGO_EXPORT,BENCHMARK,2025-02-02
2012,NL,HEI_NL_7322,PRIVATE_UNIVERSITY,18301,17.57,73.72,1945,1179738227.37,7546,1.232,41,153,12,25.33,21,0,NATIONAL_HE_REGISTRY,SECOND,2024-01-18
2013,SI,HEI_SI_7329,UNIVERSITY_OF_APPLIED_SCIENCES,57453,15.82,70.65,5397,3023253811.33,18455,1.138,71,152,42,35.21,50,0,INSTITUTIONAL_REPORT,FIRST,2025-09-16
2014,BG,HEI_BG_7336,RESEARCH_INSTITUTE,2596,19.99,51.61,360,645876452.59,11700,1.484,386,134,83,45.69,18,0,EUROSTAT_EDU,FLASH,2025-10-21
2015,EE,HEI_EE_7343,TECHNICAL_UNIVERSITY,80576,30.26,59.33,8821,5315350720.58,15074,1.815,294,80,114,44.83,139,0,SCIMAGO_EXPORT,BENCHMARK,2025-11-02
2016,HU,HEI_HU_7350,PUBLIC_UNIVERSITY,82771,20.45,53.72,2651,1101397673.57,8721,1.223,341,94,5,50.01,112,0,NATIONAL_HE_REGISTRY,SECOND,2024-01-03
2017,LU,HEI_LU_7357,PRIVATE_UNIVERSITY,18380,10.25,62.03,2101,3031810410.76,16140,1.636,297,61,54,62.75,62,0,INSTITUTIONAL_REPORT,FIRST,2025-11-30
2018,RO,HEI_RO_7364,UNIVERSITY_OF_APPLIED_SCIENCES,52716,25.88,49.44,5802,2274573168.37,498,1.046,218,127,99,64.36,161,0,EUROSTAT_EDU,FLASH,2026-02-21
2019,AT,HEI_AT_7371,RESEARCH_INSTITUTE,46688,20.14,46.56,5142,1623045178.04,27799,1.96,189,238,113,48.25,88,0,SCIMAGO_EXPORT,BENCHMARK,2024-12-30
2020,CZ,HEI_CZ_7378,TECHNICAL_UNIVERSITY,74721,25.18,71.7,5866,6313734697.74,30963,0.808,28,114,39,69.03,174,0,NATIONAL_HE_REGISTRY,SECOND,2024-05-11
2021,DE,HEI_DE_7385,PUBLIC_UNIVERSITY,50076,17.37,84.95,2751,2719466471.88,14684,1.956,66,166,100,32.88,427,0,INSTITUTIONAL_REPORT,FIRST,2025-10-30
2022,LV,HEI_LV_7392,PRIVATE_UNIVERSITY,32859,20.79,71.4,3983,3324940357.96,17050,1.158,162,119,74,28.99,424,1,EUROSTAT_EDU,FLASH,2024-10-06
2023,PL,HEI_PL_7399,UNIVERSITY_OF_APPLIED_SCIENCES,17595,21.23,48.11,714,2018765472.84,14002,1.543,23,58,56,38.7,60,0,SCIMAGO_EXPORT,BENCHMARK,2024-10-19
2024,ES,HEI_ES_7406,RESEARCH_INSTITUTE,53262,5.25,71.65,7222,6295757783.14,21391,1.977,93,285,87,81.69,85,1,NATIONAL_HE_REGISTRY,SECOND,2024-09-28
2025,HR,HEI_HR_7413,TECHNICAL_UNIVERSITY,72049,24.48,85.64,6215,3431626015.68,6132,1.232,565,133,108,72.69,22,0,INSTITUTIONAL_REPORT,FIRST,2025-10-11
2006,FI,HEI_FI_7420,PUBLIC_UNIVERSITY,62579,24.06,47.69,6068,452138091.68,20042,0.957,53,69,15,20.5,93,0,EUROSTAT_EDU,FLASH,2024-03-30
2007,IE,HEI_IE_7427,PRIVATE_UNIVERSITY,58207,25.55,50.97,2656,2543484232.86,12465,0.773,178,110,96,21.26,75,0,SCIMAGO_EXPORT,BENCHMARK,2024-08-09
2008,MT,HEI_MT_7434,UNIVERSITY_OF_APPLIED_SCIENCES,12254,17.4,58.57,1472,1451379408.83,10647,1.469,162,112,42,42.53,141,0,NATIONAL_HE_REGISTRY,SECOND,2025-08-03
2009,SK,HEI_SK_7441,RESEARCH_INSTITUTE,39106,3.95,69.65,1562,3014868949.54,22337,0.925,271,142,28,46.06,158,0,INSTITUTIONAL_REPORT,FIRST,2025-01-21
2010,BE,HEI_BE_7448,TECHNICAL_UNIVERSITY,82414,19.76,53.1,4141,544462838.45,23476,0.862,205,343,24,62.67,100,0,EUROSTAT_EDU,FLASH,2025-04-26
2011,DK,HEI_DK_7455,PUBLIC_UNIVERSITY,6136,23.18,86.1,779,1624638154.8,9667,1.641,194,155,25,35.11,137,0,SCIMAGO_EXPORT,BENCHMARK,2025-07-14
2012,GR,HEI_GR_7462,PRIVATE_UNIVERSITY,46726,16.32,61.9,2378,1469603120.79,4698,1.144,66,120,60,29.96,43,0,NATIONAL_HE_REGISTRY,SECOND,2024-05-15
2013,LT,HEI_LT_7469,UNIVERSITY_OF_APPLIED_SCIENCES,42693,30.57,54.78,2461,3202717459.14,446,1.572,164,113,85,44.99,160,0,INSTITUTIONAL_REPORT,FIRST,2024-11-03
2014,PT,HEI_PT_7476,RESEARCH_INSTITUTE,45207,8.65,50.47,3212,2525718493.79,32405,1.244,202,220,78,45.63,47,0,EUROSTAT_EDU,FLASH,2025-11-11
2015,SE,HEI_SE_7483,TECHNICAL_UNIVERSITY,69568,16.99,69.91,8811,3007982977.86,9061,2.051,576,213,39,41.49,183,0,SCIMAGO_EXPORT,BENCHMARK,2024-05-21
2016,CY,HEI_CY_7490,PUBLIC_UNIVERSITY,87412,19.29,53.42,9915,3038434814.53,7351,1.894,125,101,51,24.21,72,0,NATIONAL_HE_REGISTRY,SECOND,2025-10-14
2017,FR,HEI_FR_7497,PRIVATE_UNIVERSITY,46694,23.09,66.85,2282,2344838004.74,8848,1.823,280,66,49,44.64,41,0,INSTITUTIONAL_REPORT,FIRST,2026-02-04
2018,IT,HEI_IT_7504,UNIVERSITY_OF_APPLIED_SCIENCES,5349,21.88,47.79,390,1029865092.8,6003,0.746,243,167,7,27.54,150,0,EUROSTAT_EDU,FLASH,2026-01-15
2019,NL,HEI_NL_7511,RESEARCH_INSTITUTE,24870,8.83,66.69,3785,6053825839.16,19628,1.236,442,94,72,52.72,149,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-21
2020,SI,HEI_SI_7518,TECHNICAL_UNIVERSITY,77192,20.94,57.69,5698,1733142370.83,6359,1.803,164,140,115,81.47,190,1,NATIONAL_HE_REGISTRY,SECOND,2025-02-10
2021,BG,HEI_BG_7525,PUBLIC_UNIVERSITY,93782,21.51,59.81,10307,1701082591.13,13554,1.426,10,39,0,64.71,438,0,INSTITUTIONAL_REPORT,FIRST,2024-06-25
2022,EE,HEI_EE_7532,PRIVATE_UNIVERSITY,4372,25.36,72.71,221,1245618420.33,1972,1.012,98,21,38,43.36,86,0,EUROSTAT_EDU,FLASH,2025-11-09
2023,HU,HEI_HU_7539,UNIVERSITY_OF_APPLIED_SCIENCES,38515,13.35,77.36,4447,2001449714.91,3461,1.513,162,31,24,37.99,207,0,SCIMAGO_EXPORT,BENCHMARK,2025-06-05
2024,LU,HEI_LU_7546,RESEARCH_INSTITUTE,23765,20.31,69.65,1899,6512010721.79,15148,0.902,384,202,50,60.9,189,0,NATIONAL_HE_REGISTRY,SECOND,2024-12-28
2025,RO,HEI_RO_7553,TECHNICAL_UNIVERSITY,19028,14.37,68.32,955,115145539.87,25933,0.854,231,283,113,75.04,511,1,INSTITUTIONAL_REPORT,FIRST,2024-08-25
2006,AT,HEI_AT_7560,PUBLIC_UNIVERSITY,25755,8.91,80.7,1484,476455203.99,10378,1.564,172,68,24,46.42,84,0,EUROSTAT_EDU,FLASH,2025-01-10
2007,CZ,HEI_CZ_7567,PRIVATE_UNIVERSITY,55482,26.05,52.33,3673,2203262420.98,4782,1.678,178,172,83,34.32,122,0,SCIMAGO_EXPORT,BENCHMARK,2024-03-18
2008,DE,HEI_DE_7574,UNIVERSITY_OF_APPLIED_SCIENCES,40838,34.98,55.39,2577,1285354023.06,8862,0.881,17,55,20,35.85,97,0,NATIONAL_HE_REGISTRY,SECOND,2024-09-19
2009,LV,HEI_LV_7581,RESEARCH_INSTITUTE,35656,7.34,66.7,3441,2897488826.93,26546,2.005,152,14,36,44.26,125,0,INSTITUTIONAL_REPORT,FIRST,2025-01-07
2010,PL,HEI_PL_7588,TECHNICAL_UNIVERSITY,13564,23.79,80.1,1329,4910893634.87,8964,1.233,56,44,17,16.59,97,0,EUROSTAT_EDU,FLASH,2025-11-15
2011,ES,HEI_ES_7595,PUBLIC_UNIVERSITY,25095,6.6,67.8,1874,289761433.61,3325,0.84,323,82,91,54.28,125,0,SCIMAGO_EXPORT,BENCHMARK,2024-02-15
2012,HR,HEI_HR_7602,PRIVATE_UNIVERSITY,54302,16.91,56.14,2934,835089036.57,18632,0.959,236,96,9,61.07,23,0,NATIONAL_HE_REGISTRY,SECOND,2024-01-14
2013,FI,HEI_FI_7609,UNIVERSITY_OF_APPLIED_SCIENCES,57848,22.14,58.47,6626,757629326.24,5980,1.252,216,20,45,42.98,50,0,INSTITUTIONAL_REPORT,FIRST,2024-03-02
2014,IE,HEI_IE_7616,RESEARCH_INSTITUTE,15296,13.34,47.67,791,3076612240.34,18535,2.038,224,282,23,37.4,35,0,EUROSTAT_EDU,FLASH,2025-02-09
2015,MT,HEI_MT_7623,TECHNICAL_UNIVERSITY,74214,12.69,69.25,8630,529116703.39,24988,1.438,5,187,84,29.65,67,0,SCIMAGO_EXPORT,BENCHMARK,2024-08-02
2016,SK,HEI_SK_7630,PUBLIC_UNIVERSITY,58485,23.35,49.6,1993,2304961648.48,8795,1.672,548,136,30,57.93,115,0,NATIONAL_HE_REGISTRY,SECOND,2026-02-19
2017,BE,HEI_BE_7637,PRIVATE_UNIVERSITY,45118,8.8,44.6,1744,1213226816.77,7742,1.863,143,150,103,17.42,170,0,INSTITUTIONAL_REPORT,FIRST,2025-09-04
2018,DK,HEI_DK_7644,UNIVERSITY_OF_APPLIED_SCIENCES,55744,22.45,54.51,2806,2268543293.46,8672,1.568,141,47,74,25.8,184,0,EUROSTAT_EDU,FLASH,2024-06-01
2019,GR,HEI_GR_7651,RESEARCH_INSTITUTE,29075,16.81,77.74,4771,68405590.75,22067,1.408,254,339,26,62.13,153,0,SCIMAGO_EXPORT,BENCHMARK,2024-07-07
2020,LT,HEI_LT_7658,TECHNICAL_UNIVERSITY,76963,26.28,84.92,7475,147423533.18,20502,1.334,421,209,18,56.95,25,0,NATIONAL_HE_REGISTRY,SECOND,2025-10-21
2021,PT,HEI_PT_7665,PUBLIC_UNIVERSITY,33239,26.61,51.15,2866,2767951777.76,11949,2.017,522,176,43,48.48,317,0,INSTITUTIONAL_REPORT,FIRST,2025-04-13
2022,SE,HEI_SE_7672,PRIVATE_UNIVERSITY,9602,17.78,58.48,508,962184699.87,3596,0.687,298,14,44,80.81,200,0,EUROSTAT_EDU,FLASH,2024-02-17
2023,CY,HEI_CY_7679,UNIVERSITY_OF_APPLIED_SCIENCES,43208,24.94,59.34,5062,860144364.67,3624,1.482,392,22,30,45.11,124,0,SCIMAGO_EXPORT,BENCHMARK,2024-10-30
2024,FR,HEI_FR_7686,RESEARCH_INSTITUTE,52847,11.41,67.61,3299,3830238274.13,25644,2.016,451,24,30,70.34,378,0,NATIONAL_HE_REGISTRY,SECOND,2025-04-22
2025,IT,HEI_IT_7693,TECHNICAL_UNIVERSITY,47037,25.61,52.33,1316,1216544102.08,15566,1.64,331,276,40,72.53,540,0,INSTITUTIONAL_REPORT,FIRST,2025-07-30
2006,NL,HEI_NL_7700,PUBLIC_UNIVERSITY,9100,35.89,75.18,276,443815427.4,4655,1.396,56,72,98,62.21,94,0,EUROSTAT_EDU,FLASH,2025-09-16
2007,SI,HEI_SI_7707,PRIVATE_UNIVERSITY,28191,26.41,76.69,3094,2350340617.46,3872,1.585,31,134,35,48.23,140,0,SCIMAGO_EXPORT,BENCHMARK,2025-02-18
2008,BG,HEI_BG_7714,UNIVERSITY_OF_APPLIED_SCIENCES,46088,23.23,76.65,5846,3016690851.88,14964,1.217,246,82,50,37.32,149,0,NATIONAL_HE_REGISTRY,SECOND,2026-01-08
2009,EE,HEI_EE_7721,RESEARCH_INSTITUTE,38592,6.1,52.67,5590,1963567079.14,32133,1.208,133,24,60,57.38,81,0,INSTITUTIONAL_REPORT,FIRST,2024-10-26
2010,HU,HEI_HU_7728,TECHNICAL_UNIVERSITY,15790,7.8,71.71,1159,2984842517.45,2457,1.599,160,319,49,42.79,103,0,EUROSTAT_EDU,FLASH,2024-08-20
2011,LU,HEI_LU_7735,PUBLIC_UNIVERSITY,70005,15.24,78.35,2220,122767910.9,6725,2.037,341,128,106,26.39,164,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-24
2012,RO,HEI_RO_7742,PRIVATE_UNIVERSITY,54068,9.51,76.98,2383,1505237201.46,3412,1.21,95,150,3,56.77,17,0,NATIONAL_HE_REGISTRY,SECOND,2025-10-28
2013,AT,HEI_AT_7749,UNIVERSITY_OF_APPLIED_SCIENCES,39443,18.67,52.19,2804,2732491142.14,15457,1.619,142,13,61,40.89,138,0,INSTITUTIONAL_REPORT,FIRST,2024-04-24
2014,CZ,HEI_CZ_7756,RESEARCH_INSTITUTE,60170,17.88,77.28,5972,3869946307.98,24106,0.99,138,244,71,56.34,56,0,EUROSTAT_EDU,FLASH,2024-12-20
2015,DE,HEI_DE_7763,TECHNICAL_UNIVERSITY,79214,20.31,79.87,5817,583847870.41,244,0.647,8,158,42,29.17,152,0,SCIMAGO_EXPORT,BENCHMARK,2024-11-28
2016,LV,HEI_LV_7770,PUBLIC_UNIVERSITY,96826,12.34,73.45,12024,805986891.66,5649,1.991,319,125,98,17.07,58,0,NATIONAL_HE_REGISTRY,SECOND,2024-04-09
2017,PL,HEI_PL_7777,PRIVATE_UNIVERSITY,6190,6.31,44.66,206,404465308.67,7090,0.908,244,38,114,39.99,6,0,INSTITUTIONAL_REPORT,FIRST,2024-02-14
2018,ES,HEI_ES_7784,UNIVERSITY_OF_APPLIED_SCIENCES,17076,4.73,64.77,688,2627989731.54,3069,1.422,82,140,39,60.64,89,0,EUROSTAT_EDU,FLASH,2025-07-12
2019,HR,HEI_HR_7791,RESEARCH_INSTITUTE,10297,11.29,63.54,659,1954383435.32,9081,1.744,76,184,110,25.19,179,0,SCIMAGO_EXPORT,BENCHMARK,2024-03-08
2020,FI,HEI_FI_7798,TECHNICAL_UNIVERSITY,21496,28.47,70.27,2407,5532548157.3,14481,0.747,337,259,34,57.92,83,0,NATIONAL_HE_REGISTRY,SECOND,2024-07-18
2021,IE,HEI_IE_7805,PUBLIC_UNIVERSITY,56107,33.16,80.19,5660,1783867662.46,11812,1.242,574,167,71,24.53,486,0,INSTITUTIONAL_REPORT,FIRST,2025-07-04
2022,MT,HEI_MT_7812,PRIVATE_UNIVERSITY,25258,3.45,50.99,1031,3679504555.62,2842,0.844,140,123,6,60.8,477,0,EUROSTAT_EDU,FLASH,2024-02-25
2023,SK,HEI_SK_7819,UNIVERSITY_OF_APPLIED_SCIENCES,50429,23.79,55.67,2060,1516134038.73,15518,1.379,2,118,65,30.49,52,0,SCIMAGO_EXPORT,BENCHMARK,2024-12-09
2024,BE,HEI_BE_7826,RESEARCH_INSTITUTE,59876,34.07,71.45,3087,4445162549.06,33524,1.046,561,77,87,80.27,402,0,NATIONAL_HE_REGISTRY,SECOND,2024-08-22
2025,DK,HEI_DK_7833,TECHNICAL_UNIVERSITY,28172,32.61,75.29,1456,2654873397.27,215,0.762,234,348,96,24.98,123,0,INSTITUTIONAL_REPORT,FIRST,2024-01-22
2006,GR,HEI_GR_7840,PUBLIC_UNIVERSITY,19397,5.3,72.85,1619,2790763417.8,14656,1.013,61,113,66,44.62,173,0,EUROSTAT_EDU,FLASH,2026-01-16
2007,LT,HEI_LT_7847,PRIVATE_UNIVERSITY,37399,8.36,58.86,3869,2251723461.65,10383,1.204,114,149,96,23.64,147,0,SCIMAGO_EXPORT,BENCHMARK,2024-03-18
2008,PT,HEI_PT_7854,UNIVERSITY_OF_APPLIED_SCIENCES,17572,8.82,72.2,1402,715622879.18,17994,1.049,77,16,15,33.92,78,0,NATIONAL_HE_REGISTRY,SECOND,2024-03-17
2009,SE,HEI_SE_7861,RESEARCH_INSTITUTE,51944,27.13,57.67,2791,2314902904.09,14141,1.208,79,39,19,63.26,135,0,INSTITUTIONAL_REPORT,FIRST,2025-03-25
2010,CY,HEI_CY_7868,TECHNICAL_UNIVERSITY,4831,4.5,85.28,608,4943231441.7,20302,1.343,257,13,21,21.4,83,0,EUROSTAT_EDU,FLASH,2025-09-28
2011,FR,HEI_FR_7875,PUBLIC_UNIVERSITY,90471,11.66,70.04,5900,840417965.26,4734,1.465,324,16,28,19.03,151,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-22
2012,IT,HEI_IT_7882,PRIVATE_UNIVERSITY,54223,20.73,49.72,2335,6382777.91,8074,1.554,116,56,37,61.64,65,0,NATIONAL_HE_REGISTRY,SECOND,2024-10-12
2013,NL,HEI_NL_7889,UNIVERSITY_OF_APPLIED_SCIENCES,57282,40.65,58.33,4672,1446198117.16,468,1.179,133,77,9,22.61,57,0,INSTITUTIONAL_REPORT,FIRST,2024-10-27
2014,SI,HEI_SI_7896,RESEARCH_INSTITUTE,13156,12.53,71.04,1813,3284521967.99,29371,1.249,79,118,41,57.91,85,0,EUROSTAT_EDU,FLASH,2025-10-09
2015,BG,HEI_BG_7903,TECHNICAL_UNIVERSITY,45062,17.33,63.44,2058,5157519036.59,31294,1.62,402,95,26,37.47,71,0,SCIMAGO_EXPORT,BENCHMARK,2024-08-12
2016,EE,HEI_EE_7910,PUBLIC_UNIVERSITY,42958,27.93,58.3,4371,1484090368.77,949,1.174,290,72,104,60.71,73,0,NATIONAL_HE_REGISTRY,SECOND,2025-09-13
2017,HU,HEI_HU_7917,PRIVATE_UNIVERSITY,12359,3.65,57.82,342,789128741.1,18054,0.808,205,60,48,27.29,36,0,INSTITUTIONAL_REPORT,FIRST,2025-03-06
2018,LU,HEI_LU_7924,UNIVERSITY_OF_APPLIED_SCIENCES,41820,5.58,68.45,2058,3024867204.0,7599,0.914,227,140,0,71.23,187,0,EUROSTAT_EDU,FLASH,2024-07-10
2019,RO,HEI_RO_7931,RESEARCH_INSTITUTE,61089,27.7,48.2,10308,6604004510.14,31357,0.756,437,197,89,74.37,90,0,SCIMAGO_EXPORT,BENCHMARK,2024-01-17
2020,AT,HEI_AT_7938,TECHNICAL_UNIVERSITY,94371,19.65,49.86,9047,1676185635.68,2079,1.034,409,255,51,31.18,164,1,NATIONAL_HE_REGISTRY,SECOND,2026-01-06
2021,CZ,HEI_CZ_7945,PUBLIC_UNIVERSITY,36212,12.34,56.42,3036,1938363048.05,15212,0.793,507,86,41,26.92,442,0,INSTITUTIONAL_REPORT,FIRST,2026-02-10
2022,DE,HEI_DE_7952,PRIVATE_UNIVERSITY,44675,32.37,69.3,1820,1644154841.71,4464,0.79,115,84,43,21.77,554,0,EUROSTAT_EDU,FLASH,2025-08-04
2023,LV,HEI_LV_7959,UNIVERSITY_OF_APPLIED_SCIENCES,37944,27.46,67.08,3737,407701631.03,14114,1.54,256,130,75,55.38,252,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-23
2024,PL,HEI_PL_7966,RESEARCH_INSTITUTE,12969,8.0,54.91,1356,4210514318.88,31353,1.123,307,157,37,40.43,314,0,NATIONAL_HE_REGISTRY,SECOND,2025-11-30
2025,ES,HEI_ES_7973,TECHNICAL_UNIVERSITY,62707,22.08,74.29,4010,7043501465.75,25171,1.997,238,165,82,67.86,491,0,INSTITUTIONAL_REPORT,FIRST,2024-10-03
2006,HR,HEI_HR_7980,PUBLIC_UNIVERSITY,40076,15.28,55.2,2665,1454298632.68,4430,1.042,108,61,100,34.52,19,0,EUROSTAT_EDU,FLASH,2025-09-14
2007,FI,HEI_FI_7987,PRIVATE_UNIVERSITY,56245,26.18,77.45,6805,290740976.29,7684,0.975,236,133,101,26.98,98,0,SCIMAGO_EXPORT,BENCHMARK,2025-08-16
2008,IE,HEI_IE_7994,UNIVERSITY_OF_APPLIED_SCIENCES,34924,26.52,69.18,3158,1879463355.26,3085,0.843,97,95,71,24.57,73,0,NATIONAL_HE_REGISTRY,SECOND,2025-07-27
2009,MT,HEI_MT_8001,RESEARCH_INSTITUTE,10184,22.14,51.52,797,2864184302.02,1687,1.07,124,217,12,18.7,167,0,INSTITUTIONAL_REPORT,FIRST,2024-12-12
2010,SK,HEI_SK_8008,TECHNICAL_UNIVERSITY,78287,13.94,50.87,5202,466921143.37,15464,1.463,152,176,92,46.99,54,0,EUROSTAT_EDU,FLASH,2024-12-21
2011,BE,HEI_BE_8015,PUBLIC_UNIVERSITY,43363,23.25,51.34,2934,1993011187.57,3486,1.134,40,49,102,59.69,68,0,SCIMAGO_EXPORT,BENCHMARK,2025-04-15
2012,DK,HEI_DK_8022,PRIVATE_UNIVERSITY,57143,29.41,73.8,2859,2419530132.3,9814,1.778,107,38,29,28.48,132,0,NATIONAL_HE_REGISTRY,SECOND,2024-03-26
2013,GR,HEI_GR_8029,UNIVERSITY_OF_APPLIED_SCIENCES,47829,14.45,61.13,3860,884819819.08,8643,1.537,154,35,15,43.97,152,0,INSTITUTIONAL_REPORT,FIRST,2025-01-13
2014,LT,HEI_LT_8036,RESEARCH_INSTITUTE,49461,18.86,67.83,7602,1971645974.4,15982,1.953,363,102,105,35.4,42,0,EUROSTAT_EDU,FLASH,2025-07-27
2015,PT,HEI_PT_8043,TECHNICAL_UNIVERSITY,53872,11.38,66.79,3136,3050684242.06,21414,1.601,597,241,48,61.7,133,0,SCIMAGO_EXPORT,BENCHMARK,2025-06-21
2016,SE,HEI_SE_8050,PUBLIC_UNIVERSITY,21574,28.13,56.6,695,3289671334.37,2767,0.948,303,60,0,60.97,178,0,NATIONAL_HE_REGISTRY,SECOND,2024-06-08
2017,CY,HEI_CY_8057,PRIVATE_UNIVERSITY,17579,24.81,66.73,1987,1006209418.72,10100,1.148,300,123,43,23.79,13,0,INSTITUTIONAL_REPORT,FIRST,2025-07-07
