safe_crime_reference_year,safe_crime_country_iso2,safe_crime_region_nuts_code,safe_crime_offence_code,safe_crime_reported_cases_count,safe_crime_victim_age_group,safe_crime_victim_sex,safe_crime_suspect_age_group,safe_crime_suspect_sex,safe_crime_clearance_rate_pct,safe_crime_convictions_count,safe_crime_imprisonment_rate_per_100k,safe_crime_prison_population_count,safe_crime_alternative_sanctions_count,safe_crime_domestic_violence_flag,safe_crime_hate_crime_flag,safe_crime_eurostat_table_code,safe_crime_data_source,safe_crime_revision_round,safe_crime_data_extract_date
2021,SE,MT59,VEHICLE_THEFT,58,20_24,U,45_54,M,24.3,11,54.21,10969,17,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-04
2022,DK,PL4,CYBER_ENABLED_FRAUD,8406,55_64,F,55_64,F,55.09,2100,87.77,116410,555,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-05-28
2023,IE,LT5,SEXUAL_VIOLENCE,4774,15_19,M,65_PLUS,U,33.33,1292,114.31,116628,645,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-10-22
2024,PL,HR5,ROBBERY,2786,45_54,X,UNKNOWN,X,37.22,789,100.67,57600,1129,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2026-01-12
2025,AT,SI371,HUMAN_TRAFFICKING,517,0_14,U,0_14,M,50.62,128,116.95,100999,95,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-12
2006,EE,GR864,PROPERTY_DAMAGE,308,35_44,F,15_19,F,22.99,57,59.35,14170,76,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-25
2007,IT,HU863,DRUG_TRAFFICKING,3759,UNKNOWN,M,20_24,U,57.69,796,224.37,9160,1274,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-01-25
2008,PT,SI700,HOMICIDE,96,25_34,X,25_34,X,69.54,48,131.57,1620,30,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-23
2009,BE,ES82,BURGLARY,17329,65_PLUS,U,35_44,M,28.99,2103,30.67,5957,3438,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-02-06
2010,FI,SE964,DOMESTIC_VIOLENCE,15150,20_24,F,45_54,F,46.76,5904,97.17,16007,3768,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-17
2011,LV,SE18,HATE_SPEECH,11531,55_64,M,55_64,U,53.41,3494,37.07,62722,2460,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-01
2012,RO,AT6,FRAUD,2995,15_19,X,65_PLUS,X,55.87,1083,143.57,100718,1810,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-01
2013,BG,ES385,ASSAULT,12000,45_54,U,UNKNOWN,M,66.12,4368,160.23,99993,6948,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-04-29
2014,FR,PT809,THEFT,4940,0_14,F,0_14,F,30.49,823,58.91,37543,1117,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-02
2015,LT,AT719,VEHICLE_THEFT,3948,35_44,M,15_19,U,16.17,493,111.4,70736,129,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-02-24
2016,SK,IT81,CYBER_ENABLED_FRAUD,11986,UNKNOWN,X,20_24,X,33.83,2482,158.77,33674,1985,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-10-11
2017,HR,MT588,SEXUAL_VIOLENCE,2590,25_34,U,25_34,M,45.69,873,114.1,22843,1075,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-10-08
2018,DE,ES88,ROBBERY,4018,65_PLUS,F,35_44,F,34.38,772,57.95,59297,524,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-09-20
2019,LU,IT11,HUMAN_TRAFFICKING,289,20_24,M,45_54,U,28.2,64,79.81,62296,74,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-08-27
2020,SI,IT74,PROPERTY_DAMAGE,7226,55_64,X,55_64,X,54.81,2490,178.38,57657,3541,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-02-04
2021,CY,PT734,DRUG_TRAFFICKING,2240,15_19,U,65_PLUS,M,33.06,473,97.9,24497,712,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-12-09
2022,GR,DE42,HOMICIDE,53,45_54,F,UNKNOWN,F,92.72,33,153.34,111821,48,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-10-06
2023,MT,EE7,BURGLARY,20841,0_14,M,0_14,U,29.05,3083,169.51,10246,2137,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-01-24
2024,ES,DE24,DOMESTIC_VIOLENCE,99,35_44,X,15_19,X,64.03,39,66.08,90870,66,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-24
2025,CZ,IE428,HATE_SPEECH,2139,UNKNOWN,U,20_24,M,51.67,858,111.69,52498,684,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-01-11
2006,HU,IT4,FRAUD,7129,25_34,F,25_34,F,24.54,1062,32.59,103040,1657,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-08-13
2007,NL,CY225,ASSAULT,21052,65_PLUS,M,35_44,U,35.49,4056,45.12,30041,5465,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-07-03
2008,SE,LT329,THEFT,5211,20_24,X,45_54,X,27.62,766,62.3,35695,387,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-07-30
2009,DK,DK712,VEHICLE_THEFT,970,55_64,U,55_64,M,29.06,146,161.82,18757,223,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-01-10
2010,IE,PL442,CYBER_ENABLED_FRAUD,22010,15_19,F,65_PLUS,F,43.08,7547,103.92,29192,6347,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-29
2011,PL,CZ38,SEXUAL_VIOLENCE,2220,45_54,M,UNKNOWN,U,37.57,391,131.48,55105,385,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-01-13
2012,AT,GR9,ROBBERY,1367,0_14,X,0_14,X,22.73,149,46.54,55550,185,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-02-10
2013,EE,PL87,HUMAN_TRAFFICKING,126,35_44,U,15_19,M,35.42,20,49.46,97168,6,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-12
2014,IT,ES901,PROPERTY_DAMAGE,4075,UNKNOWN,F,20_24,F,48.48,978,119.92,56572,929,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-06-24
2015,PT,SE8,DRUG_TRAFFICKING,4759,25_34,M,25_34,U,56.67,1834,121.92,27355,2676,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-09-04
2016,BE,LV782,HOMICIDE,26,65_PLUS,X,35_44,X,94.3,9,103.05,95518,14,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-15
2017,FI,LV95,BURGLARY,15679,20_24,U,45_54,M,17.36,2253,46.23,124257,2612,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-05-10
2018,LV,AT35,DOMESTIC_VIOLENCE,23784,55_64,F,55_64,F,63.47,7161,38.01,109660,3302,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-22
2019,RO,IE537,HATE_SPEECH,3970,15_19,M,65_PLUS,U,28.23,878,121.52,64522,385,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-11-20
2020,BG,CZ5,FRAUD,4674,45_54,X,UNKNOWN,X,45.77,1054,94.3,74683,1235,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-05-25
2021,FR,FR24,ASSAULT,12764,0_14,U,0_14,M,45.01,3785,53.73,61842,1666,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-06-17
2022,LT,LU10,THEFT,2194,35_44,F,15_19,F,34.91,345,70.04,99293,222,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-08-30
2023,SK,LT9,VEHICLE_THEFT,1757,UNKNOWN,M,20_24,U,29.16,258,177.85,30154,56,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-10-29
2024,HR,BE93,CYBER_ENABLED_FRAUD,465,25_34,X,25_34,X,44.14,121,81.82,100720,178,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-24
2025,DE,BE8,SEXUAL_VIOLENCE,2475,65_PLUS,U,35_44,M,19.85,357,147.31,68228,408,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-08-09
2006,LU,PL71,ROBBERY,2705,20_24,F,45_54,F,26.36,312,174.37,67869,530,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-02-13
2007,SI,CZ1,HUMAN_TRAFFICKING,421,55_64,M,55_64,U,40.51,116,57.28,25723,38,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-18
2008,CY,ES946,PROPERTY_DAMAGE,6085,15_19,X,65_PLUS,X,50.26,1495,99.8,20808,564,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-06-13
2009,GR,PT16,DRUG_TRAFFICKING,1767,45_54,U,UNKNOWN,M,15.59,98,168.33,45941,119,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-09
2010,MT,MT993,HOMICIDE,71,0_14,F,0_14,F,93.17,27,61.75,138210,46,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-02-16
2011,ES,IE749,BURGLARY,7672,35_44,M,15_19,U,15.83,696,111.85,51322,482,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-02
2012,CZ,HU719,DOMESTIC_VIOLENCE,3595,UNKNOWN,X,20_24,X,25.69,325,145.76,62275,390,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-09-19
2013,HU,EE69,HATE_SPEECH,6305,25_34,U,25_34,M,14.66,433,149.15,31802,641,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-05
2014,NL,LV4,FRAUD,2140,65_PLUS,F,35_44,F,17.41,272,54.33,85782,245,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-05-09
2015,SE,PL704,ASSAULT,14367,20_24,M,45_54,U,67.91,6629,125.88,112605,9366,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-04-18
2016,DK,ES28,THEFT,10317,55_64,X,55_64,X,15.43,924,173.88,43550,889,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-09
2017,IE,EE236,VEHICLE_THEFT,7981,15_19,U,65_PLUS,M,26.47,1529,32.2,66660,667,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-02-26
2018,PL,HR323,CYBER_ENABLED_FRAUD,8630,45_54,F,UNKNOWN,F,41.18,2276,121.5,32508,1520,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-06-09
2019,AT,DK732,SEXUAL_VIOLENCE,6568,0_14,M,0_14,U,20.15,1004,50.61,84946,993,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-10-25
2020,EE,FR939,ROBBERY,1897,35_44,X,15_19,X,12.0,108,104.0,104553,42,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-11
2021,IT,SK61,HUMAN_TRAFFICKING,184,UNKNOWN,U,20_24,M,44.18,48,99.4,93667,77,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-11-28
2022,PT,DK3,PROPERTY_DAMAGE,14310,25_34,F,25_34,F,29.88,3444,173.63,119955,840,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-24
2023,BE,IT2,DRUG_TRAFFICKING,6779,65_PLUS,M,35_44,U,56.3,1804,115.84,9938,2792,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-05-15
2024,FI,LV3,HOMICIDE,64,20_24,X,45_54,X,93.93,30,50.33,93027,49,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-27
2025,LV,CY58,BURGLARY,7924,55_64,U,55_64,M,22.82,1464,173.61,120705,2324,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-05-02
2006,RO,SE27,DOMESTIC_VIOLENCE,11840,15_19,F,65_PLUS,F,67.66,6552,156.24,27995,9399,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-12-29
2007,BG,MT528,HATE_SPEECH,3113,45_54,M,UNKNOWN,U,18.64,287,168.84,24218,176,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-06
2008,FR,BG873,FRAUD,12742,0_14,X,0_14,X,16.97,1077,168.44,85681,1176,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-10-26
2009,LT,CY63,ASSAULT,9844,35_44,U,15_19,M,49.88,2392,106.67,127810,3440,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-12-04
2010,SK,MT3,THEFT,8880,UNKNOWN,F,20_24,F,29.4,1996,139.13,7600,3438,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-07-11
2011,HR,SI467,VEHICLE_THEFT,13172,25_34,M,25_34,U,32.2,1624,145.44,128139,659,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-08-24
2012,DE,EE78,CYBER_ENABLED_FRAUD,21458,65_PLUS,X,35_44,X,57.7,9046,165.22,75938,10433,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-05-27
2013,LU,HR6,SEXUAL_VIOLENCE,2137,20_24,U,45_54,M,47.03,694,63.1,56491,560,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-11
2014,SI,SI490,ROBBERY,3924,55_64,F,55_64,F,15.99,504,138.99,88331,315,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-04-27
2015,CY,GR908,HUMAN_TRAFFICKING,69,15_19,M,65_PLUS,U,25.21,11,207.14,104966,18,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-05
2016,GR,IE347,PROPERTY_DAMAGE,24668,45_54,X,UNKNOWN,X,55.81,7158,157.34,38708,10820,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-05
2017,MT,ES64,DRUG_TRAFFICKING,9460,0_14,U,0_14,M,21.26,853,109.76,15818,1060,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-06-14
2018,ES,NL26,HOMICIDE,3,35_44,F,15_19,F,56.97,0,198.56,105070,0,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-11
2019,CZ,FR91,BURGLARY,1040,UNKNOWN,M,20_24,U,15.0,70,171.83,29810,69,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-27
2020,HU,RO328,DOMESTIC_VIOLENCE,4471,25_34,X,25_34,X,67.63,1942,96.98,24870,2023,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-15
2021,NL,CZ572,HATE_SPEECH,5901,65_PLUS,U,35_44,M,44.34,1285,61.81,25177,527,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-08-25
2022,SE,IE104,FRAUD,6707,20_24,F,45_54,F,27.41,989,167.92,30124,1013,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-10-10
2023,DK,MT5,ASSAULT,21454,55_64,M,55_64,U,56.82,8377,79.51,10508,9614,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-06-09
2024,IE,PT4,THEFT,18632,15_19,X,65_PLUS,X,8.62,801,154.16,46345,728,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-01-30
2025,PL,SE26,VEHICLE_THEFT,9183,45_54,U,UNKNOWN,M,20.24,1407,129.84,74997,1079,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-01-10
2006,AT,SE639,CYBER_ENABLED_FRAUD,9117,0_14,F,0_14,F,16.06,1002,58.49,83804,1056,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-10-26
2007,EE,NL9,SEXUAL_VIOLENCE,1761,35_44,M,15_19,U,12.85,123,106.55,15180,220,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-03-20
2008,IT,HR269,ROBBERY,1415,UNKNOWN,X,20_24,X,19.85,175,84.33,108730,66,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2026-02-06
2009,PT,ES450,HUMAN_TRAFFICKING,187,25_34,U,25_34,M,17.0,26,125.38,42191,30,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-04-21
2010,BE,RO573,PROPERTY_DAMAGE,8401,65_PLUS,F,35_44,F,50.23,1842,121.1,112878,1935,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-02-14
2011,FI,SI3,DRUG_TRAFFICKING,3274,20_24,M,45_54,U,39.61,811,111.47,33155,1438,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-09-27
2012,LV,DE9,HOMICIDE,29,55_64,X,55_64,X,65.48,13,128.0,29377,10,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-08-19
2013,RO,CZ13,BURGLARY,15790,15_19,U,65_PLUS,M,30.99,3918,38.89,71146,6716,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-12-11
2014,BG,RO134,DOMESTIC_VIOLENCE,19911,45_54,F,UNKNOWN,F,44.36,4691,113.14,67662,2651,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-11-29
2015,FR,DE6,HATE_SPEECH,21169,0_14,M,0_14,U,12.62,2087,78.26,108202,2309,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-01-23
2016,LT,BE549,FRAUD,4866,35_44,X,15_19,X,40.95,1266,46.78,22705,2147,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-02-24
2017,SK,HR46,ASSAULT,4284,UNKNOWN,U,20_24,M,28.8,838,126.09,69509,1047,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-09-10
2018,HR,GR87,THEFT,12187,25_34,F,25_34,F,32.03,2290,113.4,23481,820,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-08-24
2019,DE,IT347,VEHICLE_THEFT,28107,65_PLUS,M,35_44,U,17.34,2641,85.56,23594,4057,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-03-24
2020,LU,SI851,CYBER_ENABLED_FRAUD,15119,20_24,X,45_54,X,27.82,2632,105.41,44155,1304,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-12-07
2021,SI,ES592,SEXUAL_VIOLENCE,2225,55_64,U,55_64,M,55.71,491,90.11,42280,865,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-07-23
2022,CY,PL69,ROBBERY,518,15_19,F,65_PLUS,F,19.6,44,150.77,79321,60,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-01-07
2023,GR,NL950,HUMAN_TRAFFICKING,91,45_54,M,UNKNOWN,U,33.34,15,51.35,14671,13,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-05-15
2024,MT,EE101,PROPERTY_DAMAGE,23924,0_14,X,0_14,X,25.65,4220,95.18,89213,6869,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-05-16
2025,ES,LU20,DRUG_TRAFFICKING,986,35_44,U,15_19,M,28.43,116,197.98,45422,177,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-09-03
2006,CZ,BE850,HOMICIDE,65,UNKNOWN,F,20_24,F,74.34,37,118.54,105998,16,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-01-12
2007,HU,SE76,BURGLARY,2583,25_34,M,25_34,U,11.69,233,120.26,58061,289,1,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-07-04
2008,NL,LT431,DOMESTIC_VIOLENCE,286,65_PLUS,X,35_44,X,39.52,88,31.82,1591,127,1,1,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-07-19
2009,SE,EE64,HATE_SPEECH,18103,20_24,U,45_54,M,20.87,2116,47.06,29342,2501,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-01-11
2010,DK,SI44,FRAUD,16456,55_64,F,55_64,F,27.2,2061,68.81,60528,2999,0,1,crim_gen,EUROSTAT_CRIME,FLASH,2024-10-31
2011,IE,DK198,ASSAULT,1676,15_19,M,65_PLUS,U,43.31,482,99.18,70395,359,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-01-21
2012,PL,LU529,THEFT,6307,45_54,X,UNKNOWN,X,18.86,1004,125.82,67187,307,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-10-04
2013,AT,MT196,VEHICLE_THEFT,11479,0_14,U,0_14,M,8.56,345,57.77,70468,335,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-03-14
2014,EE,GR30,CYBER_ENABLED_FRAUD,4243,35_44,F,15_19,F,12.55,402,169.28,13079,239,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-01-30
2015,IT,CZ17,SEXUAL_VIOLENCE,1557,UNKNOWN,M,20_24,U,54.87,488,64.63,9196,478,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-30
2016,PT,EE55,ROBBERY,3626,25_34,X,25_34,X,54.07,854,104.43,85914,597,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-14
2017,BE,AT236,HUMAN_TRAFFICKING,265,65_PLUS,U,35_44,M,34.55,40,66.14,76659,13,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-02-24
2018,FI,CY16,PROPERTY_DAMAGE,4288,20_24,F,45_54,F,53.05,1039,155.29,8662,1277,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-10-13
2019,LV,LU4,DRUG_TRAFFICKING,8483,55_64,M,55_64,U,40.38,2076,207.32,7423,1085,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-12
2020,RO,EE91,HOMICIDE,120,15_19,X,65_PLUS,X,85.24,40,164.76,29814,44,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2026-01-14
2021,BG,DK1,BURGLARY,13676,45_54,U,UNKNOWN,M,15.98,1647,140.82,22066,1963,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2026-02-01
2022,FR,SI45,DOMESTIC_VIOLENCE,5497,0_14,F,0_14,F,39.62,826,91.23,13856,1207,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-12-06
2023,LT,AT239,HATE_SPEECH,8056,35_44,M,15_19,U,45.03,2214,34.96,13371,1351,0,1,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-12-10
2024,SK,DK28,FRAUD,12584,UNKNOWN,X,20_24,X,56.24,2712,114.33,4191,2502,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-07-26
2025,HR,BE857,ASSAULT,9240,25_34,U,25_34,M,60.73,3946,113.94,44257,3207,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2024-07-14
2006,DE,EE45,THEFT,15055,65_PLUS,F,35_44,F,34.0,1945,173.51,46951,2619,1,0,crim_gen,EUROSTAT_CRIME,FLASH,2026-01-21
2007,LU,FR854,VEHICLE_THEFT,8815,20_24,M,45_54,U,11.95,480,47.03,63133,416,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-01-27
2008,SI,BG530,CYBER_ENABLED_FRAUD,93,55_64,X,55_64,X,47.1,25,84.6,110327,13,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2024-06-23
2009,CY,LV7,SEXUAL_VIOLENCE,5412,15_19,U,65_PLUS,M,16.01,459,106.99,20767,174,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-08-07
2010,GR,PT213,ROBBERY,220,45_54,F,UNKNOWN,F,18.47,30,86.77,62040,53,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-03-05
2011,MT,NL50,HUMAN_TRAFFICKING,325,0_14,M,0_14,U,57.56,87,223.11,60939,59,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2026-01-12
2012,ES,LV333,PROPERTY_DAMAGE,6062,35_44,X,15_19,X,46.65,1350,163.14,113765,1594,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2026-02-24
2013,CZ,IT599,DRUG_TRAFFICKING,2863,UNKNOWN,U,20_24,M,26.36,531,227.99,120816,689,1,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-01-07
2014,HU,LU31,HOMICIDE,82,25_34,F,25_34,F,75.58,23,50.24,7019,33,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-02-18
2015,NL,GR27,BURGLARY,13954,65_PLUS,M,35_44,U,13.4,1067,70.37,27353,634,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-11-03
2016,SE,NL59,DOMESTIC_VIOLENCE,3465,20_24,X,45_54,X,33.4,611,140.63,93309,204,1,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2026-02-09
2017,DK,BG3,HATE_SPEECH,5685,55_64,U,55_64,M,37.7,1597,37.53,129455,2811,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-07-05
2018,IE,ES18,FRAUD,9515,15_19,F,65_PLUS,F,40.04,3232,165.26,7294,955,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-08-18
2019,PL,BG28,ASSAULT,777,45_54,M,UNKNOWN,U,61.6,241,64.38,58796,123,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-06-30
2020,AT,SE4,THEFT,4379,0_14,X,0_14,X,21.3,487,98.6,19222,396,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-11-09
2021,EE,IE56,VEHICLE_THEFT,5015,35_44,U,15_19,M,9.29,225,82.0,74982,155,0,0,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-05-28
2022,IT,LU484,CYBER_ENABLED_FRAUD,3784,UNKNOWN,F,20_24,F,35.22,639,119.09,75720,764,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2024-11-11
2023,PT,BE41,SEXUAL_VIOLENCE,1198,25_34,M,25_34,U,14.27,106,133.05,7340,95,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2024-05-23
2024,BE,CY91,ROBBERY,3289,65_PLUS,X,35_44,X,53.6,1149,35.43,69905,404,0,0,crim_vict_age,JUDICIAL_ADMIN_DATA,SECOND,2025-09-14
2025,FI,PL969,HUMAN_TRAFFICKING,352,20_24,U,45_54,M,54.88,160,113.61,9156,181,0,1,crim_susp_age,NATIONAL_POLICE_STATS,BENCHMARK,2025-10-10
2006,LV,LT58,PROPERTY_DAMAGE,15446,55_64,F,55_64,F,50.54,3471,73.45,91448,6028,0,0,crim_gen,EUROSTAT_CRIME,FLASH,2025-01-28
2007,RO,ES7,DRUG_TRAFFICKING,878,15_19,M,65_PLUS,U,23.17,109,185.86,136762,115,0,0,crim_off_cat,VICTIMISATION_SURVEY,FIRST,2025-04-04
