gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_inr,gov_grants_award_max_inr,gov_grants_award_median_inr,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_inr,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2024,GOVTUPFW,1,GOVB24OX,GOV54GXJ,54.39,120745,443541,210651,311871,4533,131894,GOVDLOEA,1.03,0.95,93.08,0,60.22,490736,PFMS
2021,GOVVLZ6I,1,GOV0Z0EC,GOV7HM1O,97.07,278799,293872,242529,495599,222178,187222,GOVVB9Q4,5.65,14.94,70.46,1,25.19,151474,CPGRAMS
2018,GOVD06YR,0,GOV6D397,GOVEE2GU,21.53,146553,33204,40860,347814,497414,311198,GOVQ8M95,1.84,48.86,14.09,1,70.79,69808,PFMS
2019,GOVO0V36,1,GOVJPR1O,GOVOVU9N,17.6,324870,437255,347940,260118,446674,128345,GOVQVENO,95.75,38.97,13.08,1,71.13,326726,eProcure
2018,GOVLMWJW,0,GOV6BCI9,GOVPIA0G,56.25,159020,383017,121033,376887,182439,311182,GOVMGSDU,17.0,73.43,33.65,0,92.38,217552,eProcure
2021,GOV5B5W6,0,GOVJN96K,GOVTTJVH,98.02,493092,158294,473055,419291,133779,158353,GOVZH6XT,28.9,93.25,79.26,0,13.31,471456,IFMIS
2016,GOV7XQT2,0,GOVCEDUF,GOVEFD1C,6.51,445432,432270,144594,431136,184935,31716,GOVA28DQ,98.86,48.11,54.98,0,21.06,140739,CPGRAMS
2015,GOVU05DQ,0,GOV23JSJ,GOV79JNH,7.03,271880,172145,201128,157015,441922,240938,GOVD7W8S,24.98,94.4,44.56,0,8.11,19885,CPGRAMS
2026,GOV58IBE,0,GOVTMPYS,GOVK0HVA,17.33,335254,339747,443889,169038,195864,422486,GOVFAAEB,4.92,75.45,71.83,1,40.39,429213,eProcure
2026,GOVIV857,1,GOVVTCG7,GOVHCI04,86.59,324690,367773,5874,197907,262448,392047,GOV810EL,3.86,26.4,83.56,1,88.39,179734,GeM
2024,GOV70GCR,0,GOVTZRUU,GOV79RIW,82.0,41133,23331,390332,98355,151104,317968,GOV4PQH7,57.9,79.18,30.64,0,90.43,363882,PFMS
2026,GOVG19BK,0,GOVXVS03,GOV5SYA3,76.84,356660,73079,121936,222961,116393,340824,GOV898PB,53.72,60.28,92.63,0,3.95,481536,GeM
2025,GOVTJKEF,1,GOVPK0TD,GOVFG8X3,27.06,340331,468965,287768,1692,14720,46446,GOVTTU2N,29.77,44.63,23.12,0,58.21,361827,DBT
2021,GOVMWV58,0,GOVRBQ0T,GOVL00NZ,72.53,35907,304475,417477,361170,349545,169445,GOVFSTXH,26.64,27.18,73.5,1,32.72,46447,IFMIS
2017,GOVFO0BY,1,GOVPQNOZ,GOVJCEP3,67.78,88442,85307,454658,156226,442178,264266,GOVZ1W7C,85.8,8.96,28.4,1,68.63,74788,GeM
2014,GOV7KKAX,0,GOVY6HWE,GOVN43E2,46.81,349300,219171,62760,192514,370254,460108,GOV968BB,4.91,37.65,85.69,1,90.36,20888,eProcure
2014,GOV8GI0C,0,GOVQQZYE,GOVSX9BP,77.94,196154,353002,228204,295717,254399,42714,GOV8J5WK,7.39,8.53,48.79,0,53.38,463782,PFMS
2022,GOVOZKO0,1,GOV7F6YN,GOV5U82A,97.53,147873,326869,304850,339338,149576,109716,GOVEWBOA,65.58,19.47,90.45,1,45.61,465351,eProcure
2023,GOVLYZ1O,1,GOVF5ZZU,GOVY6TJ0,67.16,472768,444891,495549,493151,12275,350590,GOVF632T,15.49,99.54,57.97,1,80.94,64559,eProcure
2020,GOVDFUE9,1,GOVEX1AB,GOV7OPFT,2.71,211519,154261,318084,103469,190388,376576,GOVR9DSK,46.95,1.87,31.68,1,68.17,214854,DBT
2014,GOVFQ8ZC,1,GOVG56FW,GOV68G28,0.28,139650,83737,427028,193447,281538,370252,GOVJVZ0P,53.53,86.3,13.44,0,97.6,451495,eProcure
2010,GOV8PSPG,0,GOV9NMZ0,GOVSYMHR,13.81,303106,261833,211832,185632,260672,441147,GOVLMJF9,68.5,87.41,32.27,0,63.36,413413,PFMS
2016,GOV0GZXY,1,GOVDY4PG,GOV6VNLS,81.3,332285,34319,288076,382103,157652,28155,GOV2K9W2,18.84,83.96,37.73,1,51.37,148138,IFMIS
2021,GOVISH6Z,1,GOVGLS81,GOVWLAVS,49.39,165408,157297,19884,372058,305797,117872,GOVJM0M9,93.07,53.98,70.69,1,22.74,320634,CAG
2021,GOV0JZX6,0,GOVMFK4J,GOVPM81F,65.83,114601,459248,24552,346375,18387,408357,GOV4UA7G,18.26,51.13,59.7,0,9.73,147528,IFMIS
2024,GOVM43CZ,1,GOVVKDR5,GOVNI4Z8,7.98,81334,70641,128020,432818,415841,69116,GOVSSTGZ,73.79,39.74,98.57,1,66.26,167675,CAG
2011,GOVRUUUI,1,GOVJRYWZ,GOV46FRJ,29.18,259490,77984,199763,329745,99493,68069,GOVKDTZO,91.69,29.75,84.36,1,28.55,188512,GeM
2018,GOVIT3PD,1,GOV206BS,GOVT3YMI,34.63,370167,444036,431872,246919,465772,357722,GOVGI35F,82.06,53.37,92.83,1,94.83,472849,CPGRAMS
2021,GOVGFY43,0,GOV1CJDG,GOVZS66N,67.18,206205,338736,376278,443963,484595,315784,GOVEVALK,93.71,66.13,33.54,1,9.67,2814,IFMIS
2010,GOVRJXOH,1,GOVN1DXG,GOVBVH7C,22.56,378848,148719,395636,140568,69729,498271,GOVBUPV9,83.59,81.69,8.95,0,10.77,117761,CAG
2017,GOVYIYJ2,0,GOVXX4YU,GOVVEHBD,56.36,436548,51441,80218,487275,355966,335833,GOV622PV,52.57,46.56,36.17,0,90.75,273686,CAG
2019,GOV8LX1R,1,GOVZYPDG,GOV76KU9,5.98,100875,101878,420440,219133,148968,165229,GOVN00MN,94.71,16.04,21.84,1,95.08,9556,DBT
2021,GOVQ79EB,0,GOV009W2,GOVI04P4,17.89,411242,123584,153624,492817,117876,193984,GOVL2OA9,58.06,53.52,64.91,0,61.82,414405,CPGRAMS
2017,GOVKULE2,1,GOV7RS46,GOVON08C,25.36,32146,164147,210586,136015,272837,228807,GOV5AKL9,84.9,84.21,37.17,1,33.03,291914,PFMS
2022,GOVQWYN0,1,GOVA3DY5,GOVGM9LP,70.72,322202,145775,328350,19087,280041,354262,GOVASWJO,22.12,78.86,2.5,0,30.9,51168,GeM
2021,GOVDPCBT,1,GOVYYQE6,GOV5Y1LG,99.96,180672,151133,416037,492933,209,358896,GOVP8ETI,11.46,21.45,3.89,0,71.71,336212,GeM
2017,GOV0WLY9,1,GOV77R7Y,GOVS37I5,51.86,496666,448101,405044,402420,159024,260386,GOV50V3F,10.17,3.25,14.22,0,95.08,223048,GeM
2014,GOVHPMUW,1,GOVZ8N8S,GOV7RFTM,94.16,409488,370782,32469,52177,439203,264705,GOVW2L43,11.42,48.78,85.82,0,48.58,329438,PFMS
2016,GOVUMXGO,1,GOV3SIOT,GOVLPM1J,52.57,212604,431777,180630,489700,404187,238798,GOVX17IC,86.65,9.89,94.22,0,97.8,455305,GeM
2019,GOVB9QJY,1,GOVLIXMJ,GOV2OWWB,63.02,189487,40061,101074,241422,136272,334035,GOV7ZI5B,81.22,17.5,69.78,1,68.47,329416,PFMS
2023,GOVDI6MZ,0,GOV8BNO1,GOVQF24Y,7.92,203926,94400,367464,310256,328061,280945,GOV2G10F,23.59,3.5,21.71,0,84.1,413934,CAG
2020,GOVN7OFR,1,GOVBE3DW,GOVMQNS4,87.91,333003,448676,471705,266230,57898,457976,GOVEUGO4,71.76,37.63,84.33,1,7.29,74446,PFMS
2019,GOV32XR7,0,GOVRMPF5,GOVW6JPA,64.06,125208,276974,54850,309306,52802,75867,GOV2B35L,36.9,57.35,25.95,1,84.77,426608,PFMS
2018,GOVK0BTW,1,GOVHBKWD,GOV0ES89,66.37,422418,221912,439066,372373,69331,133113,GOVETOZV,47.65,8.04,34.96,1,15.48,167983,PFMS
2015,GOV2CIS7,1,GOVSR8UL,GOVHTLE1,91.35,273872,376555,10659,68654,310648,488137,GOVM33GN,79.27,53.81,25.15,1,85.62,258745,CAG
2019,GOVXBPGH,0,GOVOBS0J,GOVC9YIU,0.55,196601,264287,174881,466792,98085,85364,GOVE6P6V,71.31,83.44,15.54,1,90.09,338589,IFMIS
2025,GOVCYOKE,1,GOV0UAWX,GOV83CUC,87.2,281305,14784,379226,391330,240106,108143,GOV79Z79,96.45,8.29,53.01,1,38.63,484491,GeM
2010,GOV3DVKS,1,GOV9LLP4,GOVNNIH1,75.89,189491,152739,404514,403168,240876,408643,GOVK2XSL,23.53,23.37,58.94,0,44.97,80348,IFMIS
2025,GOVHUHSM,1,GOV58H6L,GOVTFLGB,5.46,227271,22883,41302,194200,338575,207485,GOV88GKZ,92.05,45.21,63.02,1,88.08,157629,CAG
2024,GOVEJDUL,0,GOVEBV5Z,GOV7UBZH,16.43,154062,126171,407495,454521,204612,88963,GOV97PKK,75.08,20.24,23.73,1,43.13,25852,GeM
2021,GOVTYZKQ,1,GOVMU5DF,GOV6AWL8,74.24,361533,85008,416165,81490,431170,125583,GOVVARCD,10.83,85.67,43.15,1,76.62,464313,CPGRAMS
2016,GOVKDHS5,0,GOV9CP9N,GOV2XW4X,49.69,67833,102955,349250,80556,378767,149110,GOVX4IIK,7.62,56.24,50.93,0,34.59,19402,IFMIS
2019,GOVD0F1F,1,GOVL1RRT,GOVMKGQJ,97.8,145975,136626,35860,214514,420831,149064,GOVFAT1F,33.42,8.58,54.08,1,53.94,468171,PFMS
2015,GOVTCSMS,0,GOVVHD4M,GOVM6ZD8,99.26,123740,203905,360735,11889,225121,124770,GOVW0ICT,63.98,78.65,59.08,1,55.17,314999,CAG
2010,GOVVK6NV,1,GOVS8RQ9,GOVV94LP,9.12,286391,107274,476359,396782,49272,100901,GOVWY3A3,96.81,37.88,60.93,1,76.59,183025,GeM
2015,GOVIBMEL,0,GOVTQY5L,GOVLN4XH,33.0,427423,21544,480315,153749,473358,388364,GOV7BMXZ,25.83,51.07,37.79,1,71.98,315838,GeM
2010,GOVT2I86,1,GOVI3ZN6,GOVMW8K3,92.91,346744,143115,48240,329582,69930,286596,GOVHLKNT,53.31,82.01,74.17,1,93.01,33262,eProcure
2026,GOV0CL7A,0,GOVKN4HJ,GOVQD5A4,28.92,9688,387825,371113,279718,219922,460894,GOVB92R4,16.74,41.44,22.4,1,27.46,491272,CPGRAMS
2020,GOVAI54R,0,GOVEN01P,GOVC6BTH,33.54,298268,167438,139788,194364,346247,443553,GOVSO9A2,17.7,22.01,41.53,1,8.63,148867,CAG
2010,GOV94K8O,0,GOV9G2OF,GOV8V5Q2,21.64,61880,257895,8856,329386,453112,373563,GOVU7DAO,75.53,19.87,9.03,1,2.15,399211,IFMIS
2023,GOVUN8QB,0,GOVS999G,GOVQEZT5,52.22,123365,365032,439022,147503,83528,359164,GOVCRW34,55.93,4.04,63.13,0,19.11,44496,CAG
2019,GOVZHLEB,1,GOVDNW5X,GOVH7OYA,9.84,394797,37970,280736,32656,454056,385072,GOVFALPH,38.69,76.62,94.42,0,5.23,116909,PFMS
2023,GOVV14QW,1,GOVBBZP4,GOVCQDX2,76.91,381738,62486,301944,41899,56532,354619,GOVF1TAU,70.23,99.67,54.09,1,72.11,29071,eProcure
2018,GOV49ZDY,1,GOVKX3Q4,GOVH25XL,35.34,5361,132177,280206,419470,187412,250210,GOVJVZ1S,34.27,43.77,87.89,1,81.91,19075,IFMIS
2022,GOVCF53E,0,GOV2BPSS,GOVXLW0R,96.13,123643,491752,433538,133518,311274,54011,GOVWHBA4,78.13,14.71,66.96,0,88.2,220538,CAG
2018,GOV4PYCM,1,GOVZGK7T,GOV6RS6Z,38.88,115527,494014,208777,213048,377019,187580,GOVINN3V,41.37,94.55,48.41,1,35.94,466082,CPGRAMS
2012,GOV1WWHD,0,GOV6054H,GOVWMUUA,69.34,232201,465244,411844,366848,118645,461664,GOV9SU7A,35.44,64.01,59.06,1,33.4,41317,IFMIS
2026,GOVG63QP,1,GOVHQG0U,GOVIF7WT,78.37,450743,406311,205039,22072,304069,389922,GOV37662,72.88,81.52,33.7,1,71.42,132855,IFMIS
2018,GOVPPKLF,0,GOVTJ6Q8,GOVG5KMU,83.17,404566,488707,18946,478635,240825,84354,GOVV42M2,86.69,55.11,51.47,0,9.1,189555,IFMIS
2023,GOVY2BDO,1,GOV28SEP,GOV44TW6,38.44,47566,401071,326313,342724,382416,39428,GOVIPA27,62.65,71.94,43.21,0,9.87,477169,IFMIS
2016,GOVTQ8BG,1,GOVDSBCD,GOV1KMH7,39.04,66710,315332,3062,26218,116037,188648,GOV6PREA,3.28,87.44,86.99,0,93.51,246960,CAG
2018,GOVHD37X,0,GOV37HC1,GOV7W7KA,58.54,260643,283561,379186,304008,349627,476585,GOVEON2U,4.22,86.09,48.94,0,48.69,338097,eProcure
2018,GOVSZ6VL,0,GOVX0OHA,GOVS5VHD,65.61,202703,414243,399257,225177,395302,319554,GOV1DVD4,74.96,19.58,7.8,1,97.44,125259,eProcure
2020,GOVWU1MT,1,GOVR06WJ,GOVSHTJ5,86.06,174710,283984,447856,159604,41134,135713,GOVR7KO4,47.85,24.72,31.85,0,16.53,100004,IFMIS
2015,GOVUTQJO,0,GOVHIF6O,GOVNDEA5,47.59,198344,499718,401700,431556,467922,251528,GOVTWFEG,19.76,16.65,71.5,1,89.42,499744,DBT
2015,GOVHNINR,1,GOVYY2EL,GOVKX3B7,81.48,377254,1354,352494,323015,91168,35749,GOVPSBVE,4.08,19.79,82.77,1,88.3,294963,IFMIS
2017,GOVXVSSD,1,GOVCABSM,GOV2H9ZE,6.93,182577,233454,378992,223836,144067,296960,GOV4VJ8A,92.24,95.35,15.88,0,73.3,400180,IFMIS
2020,GOV5C99U,1,GOVN2ZUJ,GOV3SZKT,40.1,201355,314644,93541,3504,112313,64643,GOVLEEW3,43.56,93.26,44.8,1,69.67,42130,DBT
2013,GOV1EGIH,1,GOV2IVVS,GOVAO6UQ,22.32,486963,287149,182069,390339,460667,60774,GOVBJNO6,87.54,43.74,70.72,0,46.87,8785,PFMS
2012,GOV8XH4M,0,GOVYPRX7,GOVAGVPZ,40.86,242293,343498,143040,476129,21282,209626,GOVD2677,50.75,87.23,46.03,1,31.73,289106,CPGRAMS
2015,GOV43AKZ,0,GOVVPAR9,GOVZQTV1,47.14,118229,44654,53280,207994,399286,372642,GOVGZQHS,38.98,14.9,5.41,0,47.23,308351,CAG
2019,GOV79QNG,1,GOVTSFIZ,GOVH0H60,7.59,442533,353400,117136,489811,355006,269153,GOVQFL6T,8.01,72.47,63.58,0,86.22,212554,CAG
2011,GOVJ8UW1,1,GOVC77BZ,GOVQ4JWW,72.2,352280,353320,96366,4629,381972,490438,GOVMJFWM,25.66,95.97,23.17,1,30.92,430919,CPGRAMS
2017,GOV3C89D,0,GOV893NH,GOVKRSSV,52.0,94846,391678,425553,322921,130407,216153,GOVVPFUN,68.5,96.56,77.6,1,24.69,470593,CAG
2019,GOVE1141,0,GOVYH8CT,GOVRNAKA,60.46,289949,3991,236858,249009,373300,443472,GOVW836P,88.2,82.07,1.79,1,18.98,461560,GeM
2012,GOVF2KHR,1,GOVXHFNN,GOV3FXGW,30.59,255557,382224,297217,82882,403079,201820,GOVMM5IN,18.95,90.53,57.07,1,72.52,202501,PFMS
2022,GOVZ2AA7,0,GOVHNSVG,GOVFADXY,38.32,384543,453765,163738,265036,199824,371527,GOVFG4IS,44.31,46.48,79.81,0,27.76,132032,CPGRAMS
2019,GOVZXTAW,1,GOVAHWWM,GOV7KDK8,91.28,399417,21710,388107,494591,173532,378815,GOV08LD2,89.75,59.95,28.34,1,5.88,43220,eProcure
2016,GOVG0B2J,1,GOVJ3U5T,GOVU9HH1,54.24,130723,473033,159909,124389,241821,232225,GOV1D08C,31.58,95.87,70.39,1,42.29,264025,DBT
2014,GOVZXCHH,1,GOV6GOVL,GOVI58ZO,10.8,484160,448318,187407,247663,340328,158986,GOV80NAJ,12.65,49.09,62.98,1,37.92,291092,CPGRAMS
2025,GOVWNRP8,1,GOVPYWS5,GOVN4M3U,61.59,230262,81464,449542,211384,403554,95398,GOV6RJP3,50.02,44.36,0.38,1,65.54,376596,IFMIS
2019,GOVONT54,1,GOVQ28PM,GOVY2N0Q,63.12,339472,251216,390884,64640,350550,452993,GOV7IQGV,92.62,38.92,4.93,1,95.19,364080,GeM
2020,GOVXJ7EO,1,GOV1PITM,GOVGRPU1,14.61,174240,396110,96987,210949,306751,71039,GOVW3V5R,16.02,38.88,16.03,0,54.31,371692,CPGRAMS
2014,GOV8HYZG,0,GOVUSS9D,GOVEPHOB,55.64,207914,75369,322297,182604,367022,456789,GOV7BWVI,18.91,0.16,62.25,1,94.86,439436,PFMS
2010,GOVI7A04,1,GOVXJ873,GOVY5TSG,36.07,68351,176905,453449,277551,349193,300876,GOVLW6ZA,99.66,9.91,57.72,0,22.03,357143,GeM
2012,GOVY225N,1,GOVXO888,GOVWVOLT,1.24,217189,42056,286448,226780,216230,18323,GOVKKUHD,55.85,36.95,62.75,1,36.13,309322,IFMIS
2024,GOV648PO,1,GOVNEQPQ,GOVJKT17,63.05,188158,204311,289722,406494,329439,284990,GOV70Z1W,80.21,14.88,8.34,0,37.74,180083,DBT
2018,GOV2ZN31,0,GOVWYHWB,GOVTED3Z,70.34,237813,458174,122602,18165,54413,440907,GOVOLADI,41.66,78.34,18.93,1,4.77,231038,eProcure
2019,GOV1M86Y,0,GOVFJVEK,GOVVK3E5,30.93,174992,495897,316237,228139,133530,252962,GOV5F1KZ,25.43,81.13,65.15,0,29.95,52390,GeM
2018,GOV0J530,0,GOVCRXXD,GOVDJ60C,81.23,300025,114965,71440,141835,65477,165387,GOVM128I,32.56,81.5,97.62,1,70.68,77643,DBT
2021,GOV2ZU6C,0,GOV15UA5,GOVI7IDC,10.27,257489,495110,383080,117611,138831,253300,GOV1H2F3,3.32,34.08,23.65,1,23.32,372651,DBT
2010,GOV7BHH1,1,GOV5P97I,GOV84Y4A,46.71,217611,485226,50235,50070,137324,308984,GOVMNG7N,98.26,83.34,55.97,0,24.39,23903,DBT
2015,GOVGKCR2,0,GOVWCX3W,GOVB007B,21.16,444110,145346,168080,155772,440734,250103,GOV2UT5H,82.61,45.53,68.85,0,25.44,398226,CPGRAMS
2019,GOVD0WST,1,GOVZPTAD,GOV0EWJT,80.36,476790,67109,288101,382785,396064,129251,GOVIZBOG,89.75,37.19,90.21,0,54.74,376743,DBT
2018,GOVZXNRN,1,GOVM18PE,GOVJ7J36,76.84,183150,492115,119955,180763,127650,130017,GOVVV517,36.06,2.51,46.85,0,12.84,108834,GeM
2020,GOVURF5F,1,GOVEVUXO,GOV5D3PZ,69.54,6703,221162,202597,216048,400181,429819,GOVRXE0Q,2.78,30.98,52.45,0,13.66,11315,DBT
2026,GOVFJDLK,1,GOV44SF7,GOVROK2V,73.01,311961,271138,457986,302556,391565,369410,GOVEEGXO,60.91,14.61,28.03,0,34.94,88576,DBT
2016,GOV9BTOR,0,GOVHY1TX,GOVC29IP,75.94,459084,341657,402391,261611,314400,161830,GOV4J05Y,35.51,46.43,95.72,0,89.5,300380,GeM
2012,GOVOU9VZ,1,GOVQ7IO2,GOVR6LNA,7.81,393191,334708,283048,55472,192383,133080,GOVIZ3JV,34.73,67.51,35.03,1,53.69,389462,CAG
2016,GOV3PUZ1,1,GOVDCP3Z,GOVS6OB7,96.2,289400,902,434979,483024,34404,192658,GOVIKBJI,39.36,95.11,26.34,0,73.98,346634,CPGRAMS
2020,GOVK0102,1,GOVWSYW3,GOV4VRW1,49.92,458695,312226,418431,386858,256427,132482,GOVGDEZP,95.24,80.34,76.05,1,41.89,471461,PFMS
2016,GOVQ6RFC,0,GOVCXU0X,GOVBVUEH,82.53,427865,222044,444386,265055,25328,435909,GOVGA3K0,26.65,4.13,62.35,1,51.17,477319,CAG
2019,GOVSX4UR,0,GOVZ8DGD,GOV7NUHC,94.34,23936,36093,316935,279127,19411,228900,GOVQKAFV,47.56,74.16,44.6,1,4.06,108981,DBT
2025,GOVP60UY,0,GOVF0XJR,GOVGTIB2,70.65,275126,443708,498235,319976,328984,407939,GOV9CICN,16.19,58.96,44.97,0,76.47,58856,DBT
2026,GOV8RC82,1,GOV3RBHF,GOVGNUO6,87.88,322037,464383,194040,357500,104110,469886,GOV2YSHM,60.9,54.36,52.35,1,7.25,42730,IFMIS
2016,GOVO6BWJ,0,GOVHSOCX,GOVGQ88X,14.61,378808,46628,135045,196120,17274,89127,GOVUL0EN,32.08,86.36,29.96,0,99.15,15185,GeM
2020,GOVELJSU,1,GOVTV7LK,GOVJU0HE,48.75,451610,274347,257728,470332,74513,119074,GOVXNX5P,67.56,42.66,83.51,1,58.88,354016,DBT
2023,GOVUZ8NJ,0,GOV7NAAT,GOV4UOSP,57.44,451579,223856,370498,299427,92038,20845,GOV78TIS,35.4,34.57,52.1,0,82.64,407850,PFMS
2017,GOV9YZKL,0,GOV14UMW,GOVARVOS,53.63,9366,9706,333058,402107,334231,486796,GOV6M94F,90.75,14.64,48.99,0,21.58,266483,PFMS
2014,GOVXODUH,1,GOVHD09F,GOV7Q46E,23.68,245698,242762,271255,280046,409833,285623,GOVAI9NB,44.02,75.12,2.65,1,68.08,288549,eProcure
2012,GOVMHYJ4,0,GOVYRWTL,GOVNLSW3,88.31,328098,373321,471506,341760,386137,8522,GOVKCOUR,53.57,75.87,38.06,0,40.93,48876,PFMS
2020,GOVMNE76,1,GOVD8G1P,GOVW0E07,72.66,171323,339743,238252,466137,129204,377421,GOVNTOLK,7.43,9.49,89.58,0,29.72,316305,CPGRAMS
2026,GOVX9INJ,1,GOVK57E8,GOV6IH60,49.42,57957,268664,15806,280310,40595,27850,GOV8OAV9,33.29,95.3,54.89,1,22.42,151339,GeM
2023,GOVMGLQS,0,GOVQP2LH,GOVI7UHH,67.68,437039,465994,44131,383390,2139,424263,GOVUTN1D,40.08,30.22,6.23,0,86.07,281379,DBT
2026,GOVQP3J7,1,GOVHAJL4,GOVUDCPH,94.14,338706,300637,82524,388518,221128,67462,GOVBPKOQ,70.56,45.66,36.61,0,0.5,198296,IFMIS
2024,GOVSPHLL,0,GOVWBAF2,GOV2UYYU,55.71,371254,484331,200351,231561,31265,345923,GOVAQXAB,21.84,99.32,61.37,0,4.37,277158,GeM
2020,GOVUFI8E,0,GOV1BSKU,GOVD2QGE,96.93,31083,458361,420004,307239,148448,247941,GOVVUX05,75.71,67.19,25.71,0,19.75,238466,eProcure
2015,GOVQ3QNE,1,GOVTNFYT,GOV0YSG8,31.68,277785,449480,198606,143141,334048,77404,GOV0W9VD,91.98,26.63,96.68,0,23.17,14471,CAG
2015,GOVEE875,1,GOV4542V,GOVWQ4H9,69.06,401659,371543,337724,291215,496572,79856,GOV7ACIN,87.18,36.45,11.24,1,86.29,54122,PFMS
2021,GOVXZXSP,0,GOV14RAF,GOVML915,69.41,195632,221420,56246,173946,453220,14164,GOVNTVA6,1.89,61.08,68.46,0,6.31,315500,GeM
2019,GOV4YVSN,0,GOVJ8JX4,GOVK202M,10.03,402363,471136,337762,463549,477764,76145,GOV1T0L1,46.55,37.99,16.28,0,17.25,72434,GeM
2017,GOV7IAOC,0,GOV6Z13Y,GOV3PGWJ,35.42,191269,297513,94024,87789,481978,188710,GOVGH8TQ,13.11,97.43,19.54,0,18.29,169707,eProcure
2025,GOV5QHAZ,1,GOV0QQ9V,GOVQJ7AD,24.47,353902,371167,408625,369569,234460,284755,GOVSOZLA,85.03,10.73,31.43,1,91.63,242812,IFMIS
2024,GOVVOSAG,1,GOVM1ULQ,GOVNBVQE,95.17,117534,87005,153062,434772,236254,496520,GOVI0TEF,69.44,36.2,72.29,0,46.66,342925,GeM
2021,GOVXI8A7,1,GOV7L6DR,GOV160RP,48.5,391253,146189,470212,54996,191626,462445,GOVVLKPE,30.08,72.95,77.35,1,3.56,221347,CPGRAMS
2022,GOV64466,0,GOV700CB,GOV3WD5Y,79.38,390107,275932,415135,266926,117038,283671,GOV4R30K,97.82,38.45,72.77,0,64.82,312937,eProcure
2010,GOVJE5CI,1,GOVSTI69,GOVWEO2L,35.38,10786,478165,116943,26063,295040,187853,GOVSZP3O,54.58,32.0,91.53,0,30.78,89669,CPGRAMS
2013,GOVLHXVG,1,GOVV5G77,GOVOU3R1,70.26,306522,156115,437251,285465,330800,226830,GOV0KULL,56.86,43.25,73.83,1,76.44,472054,GeM
2022,GOVZ5U49,1,GOVBO9HU,GOV7DY2F,61.49,200325,357702,49158,373851,415605,480900,GOVU06MX,69.76,83.91,33.46,0,75.07,482,eProcure
2014,GOVFIP04,1,GOV60JX3,GOVWFXM8,98.75,403624,490533,410465,118479,393821,139530,GOVZLWO4,72.43,59.48,42.01,1,66.47,26550,GeM
2020,GOVV4FE6,1,GOVOHM84,GOVH2HHI,19.56,465365,389134,78952,155485,4493,480319,GOVVWMQN,18.31,76.42,8.13,1,25.0,46859,eProcure
2024,GOV374CP,1,GOVRS46I,GOVYZJQM,80.45,379287,226399,143042,443360,107189,320227,GOVQZ57H,75.63,84.0,61.65,0,73.26,8836,eProcure
2010,GOVK52GK,0,GOV7RYG7,GOV6ATPU,7.69,179332,311668,56301,368989,184945,262142,GOVFB7YH,39.33,64.16,74.2,0,2.78,240260,DBT
2016,GOVA1D71,1,GOVBPQJ3,GOV1YWLL,18.41,378856,495044,148695,228789,124400,268813,GOV3GKRD,34.39,26.06,79.98,0,18.13,197463,CAG
2010,GOVFZX22,1,GOVX5GYP,GOV17ZKI,29.76,440863,172048,372979,86022,12929,290650,GOVVLMBH,92.97,13.17,61.41,1,33.5,297337,eProcure
2022,GOVK8JO4,1,GOVY4Y9R,GOVX2P9A,58.54,466833,21612,224079,306377,408248,473468,GOVLH0KC,33.15,35.28,64.22,1,1.17,349083,GeM
2019,GOVW95RF,1,GOV25FM3,GOV66CNS,60.6,265672,4470,202059,369278,218239,455731,GOVKEBRA,22.93,21.82,42.1,1,10.59,301457,CAG
2010,GOV372VJ,0,GOVEZAW1,GOV9LICF,26.03,50445,363385,247089,278601,56135,316656,GOVI7HC8,38.26,19.06,77.22,1,31.59,59383,CAG
2024,GOV0F3NP,0,GOVXC52H,GOVEPL08,53.76,387709,283566,164875,155384,422244,405896,GOVEQQ98,31.63,81.18,34.55,1,97.95,18625,CPGRAMS
2011,GOVI8MEP,1,GOVKPYQ1,GOVZ5WQG,87.16,105486,310366,33665,460776,47268,207557,GOV88MDY,9.71,97.77,77.05,0,68.32,70887,IFMIS
2019,GOVBKW4I,0,GOV9ZSNT,GOV25I5H,27.61,361147,106128,414951,265660,309942,88415,GOVBYMHQ,83.24,91.92,64.34,0,65.85,228147,CPGRAMS
2022,GOVR6OSZ,0,GOV56B92,GOVXEVK0,24.76,143409,64467,252547,401635,232616,222616,GOVJU2AJ,32.04,82.21,24.46,0,79.59,155188,CPGRAMS
2014,GOV9LORW,0,GOVIXOSK,GOV6CPN8,86.1,489110,385503,493311,11817,454377,216892,GOV6CRZ7,4.62,98.22,35.94,1,38.56,167402,DBT
2026,GOVOH3AQ,1,GOVRSTQ1,GOVO7JYY,80.9,338351,439831,168418,291943,232367,53907,GOVOKU6W,89.04,78.88,36.41,1,18.36,187690,eProcure
