tax_property_assessment_year,tax_property_parcel_geocode,tax_property_property_class_code,tax_property_assessed_value_total,tax_property_market_value_estimate,tax_property_tax_rate_millage,tax_property_tax_bill_amount_inr,tax_property_homestead_exemption_flag,tax_property_senior_exemption_flag,tax_property_disabled_exemption_flag,tax_property_appeal_filed_flag,tax_property_appeal_outcome_code,tax_property_assessment_ratio,tax_property_equalization_factor,tax_property_delinquency_rate_pct,tax_property_foreclosure_initiation_flag,tax_property_tax_increment_district_flag,tax_property_school_levy_share_pct,tax_property_municipal_levy_share_pct,tax_property_payment_plan_enrolled_flag
2022,470436321986,RES,7125430,10409222,24.62,203672,0,0,0,0,NA,0.685,1.161,4.1,0,0,0.6,0.4,0
2024,509631480995,RES,12768112,21695272,17.36,246036,0,0,0,0,NA,0.589,1.11,0.62,0,0,0.7,0.3,0
2019,123147732965,COM,8162534,8769481,9.71,74027,1,0,0,0,NA,0.931,0.934,6.29,0,0,0.57,0.43,0
2019,884362064410,COM,17319118,19515818,4.41,84855,1,0,0,0,NA,0.887,1.111,3.44,0,0,0.39,0.61,0
2021,933803807248,COM,8089359,12048270,21.51,148424,0,0,0,0,NA,0.671,0.853,3.99,0,0,0.41,0.59,0
2024,199658954112,RES,16923050,19054148,8.74,175714,1,0,0,0,NA,0.888,1.188,0.52,0,0,0.3,0.7,0
2022,786299701799,RES,23394163,28391367,23.61,538528,0,0,0,1,PENDING,0.824,0.975,1.22,0,1,0.59,0.41,0
2022,579872793427,RES,13491794,21879142,5.65,83318,1,0,0,0,NA,0.617,1.093,4.54,0,0,0.51,0.49,0
2023,236436904605,AGR,13440068,21073336,13.63,179708,0,0,0,1,PENDING,0.638,0.981,1.57,0,0,0.38,0.62,0
2022,704505652357,RES,10277793,14610459,17.96,191973,0,0,0,0,NA,0.703,1.04,8.13,0,0,0.63,0.37,0
2023,806963415000,RES,24132432,29765592,5.27,117894,1,0,0,1,UPHELD,0.811,0.927,3.09,0,0,0.74,0.26,0
2019,590470890020,RES,4738854,6241261,3.91,21697,1,0,0,0,NA,0.759,1.171,6.93,0,0,0.43,0.57,0
2020,252044643018,COM,17684481,20360080,8.77,169206,1,0,0,1,INCREASED,0.869,1.091,5.92,0,1,0.31,0.69,0
2022,968886657002,MIX,8738154,15366646,24.57,187859,0,0,0,0,NA,0.569,0.875,1.19,1,0,0.55,0.45,1
2023,536280023995,RES,1367376,2255797,11.01,13956,1,0,0,0,NA,0.606,0.927,5.12,0,0,0.58,0.42,0
2021,954758380059,RES,1470961,1821177,8.98,11611,1,0,0,0,NA,0.808,0.879,5.39,0,0,0.55,0.45,0
2022,438985134139,AGR,18743974,22443570,9.86,166334,1,0,0,0,NA,0.835,0.9,7.64,0,0,0.46,0.54,0
2022,597031527419,COM,15407113,24337217,24.9,333381,1,0,0,0,NA,0.633,0.869,4.58,0,0,0.61,0.39,0
2025,579236052680,RES,4009775,4433226,3.18,15187,0,0,0,0,NA,0.904,1.191,2.58,0,0,0.4,0.6,0
2025,239088786335,AGR,21505241,25823631,1.4,32546,1,0,0,0,NA,0.833,1.081,4.81,0,0,0.44,0.56,0
2020,937876515209,RES,1467232,2370942,14.2,21814,0,0,0,0,NA,0.619,1.047,7.53,0,0,0.73,0.27,1
2019,682366961780,MIX,2485467,2980275,17.53,47143,0,0,0,0,NA,0.834,1.082,1.36,0,1,0.6,0.4,1
2022,851105130609,RES,16443165,25624706,3.77,67880,0,1,1,0,NA,0.642,1.095,3.3,0,0,0.25,0.75,0
2024,134139119530,AGR,10486492,17028265,3.37,37036,1,0,0,0,NA,0.616,1.048,4.78,0,1,0.43,0.57,0
2018,156583050655,MIX,9992263,10812857,15.56,175226,0,0,0,0,NA,0.924,1.127,4.97,0,1,0.65,0.35,0
2022,460813755880,COM,5600496,9657898,22.07,130154,1,0,0,0,NA,0.58,1.053,8.63,0,0,0.7,0.3,0
2021,969340482973,COM,18442775,27870399,8.89,147561,1,0,0,0,NA,0.662,0.9,8.56,0,0,0.34,0.66,0
2025,879901865650,AGR,7177118,10465287,11.03,71247,1,0,0,1,PENDING,0.686,0.9,3.53,0,0,0.65,0.35,0
2023,832610302742,RES,9005664,11232446,2.71,21477,1,0,0,0,NA,0.802,0.88,7.26,0,1,0.41,0.59,1
2020,787683134912,AGR,6219057,6769783,21.96,125508,1,0,0,0,NA,0.919,0.919,0.57,0,0,0.48,0.52,0
2025,668762401351,COM,14892090,20977749,3.54,45601,1,0,0,1,UPHELD,0.71,0.865,4.95,0,0,0.46,0.54,1
2025,721014229257,RES,9982060,12076990,9.69,96823,1,0,1,0,NA,0.827,1.001,1.66,0,0,0.48,0.52,0
2020,451323787421,RES,17808106,25317943,5.06,82900,0,0,0,0,NA,0.703,0.92,0.3,0,0,0.35,0.65,0
2019,894489914251,IND,17757678,20014228,10.01,189664,0,0,0,1,PENDING,0.887,1.067,8.26,0,0,0.26,0.74,1
2018,407639566074,RES,16687429,18867220,23.4,464288,1,0,0,0,NA,0.884,1.189,8.69,0,0,0.36,0.64,0
2023,446448634228,IND,5592139,6799834,17.23,91439,0,0,0,0,NA,0.822,0.949,8.7,0,0,0.58,0.42,1
2018,250113272415,RES,20260006,29930726,6.86,121889,0,1,1,1,UPHELD,0.677,0.877,7.76,0,0,0.46,0.54,0
2023,137208333838,RES,17340611,28241284,22.79,418904,1,0,0,1,PENDING,0.614,1.06,1.54,0,0,0.33,0.67,0
2018,297706297627,COM,8530279,12103809,14.6,119187,0,0,0,0,NA,0.705,0.957,1.1,0,0,0.65,0.35,0
2021,195681718017,COM,19946908,26161380,14.88,288796,1,0,0,0,NA,0.762,0.973,0.62,0,0,0.4,0.6,1
2025,576690672839,RES,15460414,22428375,9.54,176548,0,0,0,0,NA,0.689,1.197,4.42,0,0,0.52,0.48,0
2021,377554482065,RES,2892131,4365720,5.75,16181,1,1,0,0,NA,0.662,0.973,8.61,0,1,0.31,0.69,1
2020,459387219049,RES,2877381,4386302,20.27,56341,0,1,0,0,NA,0.656,0.966,8.06,0,0,0.38,0.62,0
2025,518351451789,RES,9525645,11631907,22.28,195677,1,0,0,0,NA,0.819,0.922,6.38,0,0,0.4,0.6,1
2021,383429910217,COM,9302037,10508479,5.75,59691,0,0,0,0,NA,0.885,1.116,7.75,0,1,0.54,0.46,0
2023,258613682889,RES,9980715,13235732,1.87,19765,0,0,0,0,NA,0.754,1.059,8.41,0,0,0.4,0.6,0
2025,197451790368,RES,14452123,17277284,14.21,182569,1,0,0,1,PENDING,0.836,0.889,7.06,0,0,0.49,0.51,0
2024,898132680059,RES,9643146,15213072,23.43,254859,0,0,0,0,NA,0.634,1.128,8.5,0,0,0.44,0.56,0
2019,409035746999,IND,9865068,16661888,9.05,102224,0,0,1,0,NA,0.592,1.145,8.51,0,1,0.66,0.34,0
2024,458487824374,AGR,18863682,28168064,16.03,309340,1,0,0,0,NA,0.67,1.023,3.59,0,0,0.72,0.28,0
2021,856480161680,RES,9049694,14739885,4.57,37263,0,1,0,0,NA,0.614,0.901,0.39,0,0,0.74,0.26,1
2020,425609801719,MIX,16497234,27887698,20.31,361864,0,0,0,0,NA,0.592,1.08,2.13,0,1,0.54,0.46,1
2018,784390233409,RES,21208015,27212810,14.8,349033,0,0,1,0,NA,0.779,1.112,8.63,0,0,0.57,0.43,0
2019,293652274060,COM,15283809,24492477,14.55,261073,0,0,0,0,NA,0.624,1.174,2.28,0,0,0.28,0.72,0
2021,165105888370,MIX,13003414,16282674,12.7,163822,0,0,0,0,NA,0.799,0.992,1.79,0,0,0.26,0.74,0
2019,803732265689,MIX,13873955,17419944,17.58,239758,0,0,0,0,NA,0.796,0.983,5.81,0,0,0.5,0.5,1
2019,616138104194,RES,14921886,27109040,7.25,110239,1,0,0,0,NA,0.55,1.019,0.79,0,0,0.7,0.3,1
2022,232680633243,COM,10228904,11193268,21.94,238561,0,0,0,0,NA,0.914,1.063,7.9,0,0,0.35,0.65,0
2023,527559504384,RES,218703,371100,17.06,3806,0,0,0,0,NA,0.589,1.02,2.72,0,1,0.42,0.58,0
2021,807570346548,RES,11804383,20747506,13.87,179936,1,0,0,1,UPHELD,0.569,1.099,7.8,0,0,0.57,0.43,0
2022,994797537812,COM,23271556,25678179,24.0,588119,0,0,0,0,NA,0.906,1.053,4.32,0,0,0.61,0.39,0
2020,432583167201,MIX,15424296,24157264,15.53,282417,1,0,0,0,NA,0.638,1.179,4.38,0,0,0.43,0.57,1
2019,473797951768,AGR,3319901,4396244,23.56,70395,0,0,1,0,NA,0.755,0.9,4.82,0,0,0.39,0.61,0
2019,812236103264,RES,17509115,22521102,5.12,88661,0,0,0,0,NA,0.777,0.989,4.01,0,0,0.26,0.74,0
2024,145785185878,RES,10440239,17840582,4.17,37092,1,0,0,0,NA,0.585,0.852,0.05,0,0,0.26,0.74,0
2019,622642986778,COM,1403407,2284694,5.43,8665,0,0,0,0,NA,0.614,1.137,7.46,0,1,0.45,0.55,0
2021,566382669096,RES,13918457,19909071,21.13,324977,1,0,0,0,NA,0.699,1.105,5.95,0,0,0.37,0.63,0
2020,256211748702,COM,10569531,14408586,15.49,190245,1,1,0,0,NA,0.734,1.162,2.14,0,0,0.53,0.47,0
2024,526320058715,RES,21888666,27289448,24.86,599656,1,1,0,0,NA,0.802,1.102,4.12,0,0,0.34,0.66,1
2023,990101987968,RES,24178105,27945582,5.02,126715,0,0,0,0,NA,0.865,1.044,7.25,0,0,0.39,0.61,0
2018,818617544011,RES,7057440,9327759,14.5,113999,0,0,0,0,NA,0.757,1.114,8.87,0,0,0.5,0.5,0
2023,547644829180,RES,1640306,2661260,3.86,6237,0,0,0,0,NA,0.616,0.985,3.35,0,0,0.69,0.31,1
2023,786711662676,IND,6176413,7600957,21.99,130794,0,0,0,0,NA,0.813,0.963,5.78,0,0,0.73,0.27,1
2023,412126851306,COM,20901283,27461334,21.32,526272,0,0,0,0,NA,0.761,1.181,6.38,0,1,0.69,0.31,0
2022,219233554763,RES,20326144,26576172,20.06,378793,0,0,0,0,NA,0.765,0.929,0.96,0,1,0.28,0.72,0
2023,415243148620,RES,612084,717251,6.68,3704,0,0,0,0,NA,0.853,0.906,2.55,0,0,0.42,0.58,0
2018,250194299896,COM,9818601,10782739,11.72,115304,0,1,0,0,NA,0.911,1.002,8.28,0,0,0.41,0.59,0
2023,532757048095,RES,8638285,12494689,21.74,164134,1,1,0,0,NA,0.691,0.874,4.01,0,0,0.25,0.75,0
2024,978933601319,COM,18116903,22185353,16.25,294694,0,0,0,0,NA,0.817,1.001,2.37,0,0,0.45,0.55,1
2018,809610209173,RES,2123348,2463640,3.24,7685,0,0,0,0,NA,0.862,1.117,5.14,1,0,0.42,0.58,0
2025,726381273943,COM,1318645,2034365,20.37,26055,0,0,0,0,NA,0.648,0.97,2.14,0,0,0.4,0.6,0
2023,434779018761,MIX,10672785,13676280,10.17,104201,1,1,0,0,NA,0.78,0.96,7.19,0,0,0.64,0.36,1
2024,240678792382,COM,1519400,1641825,3.64,5431,0,0,0,0,NA,0.925,0.982,8.32,0,0,0.46,0.54,0
2025,712033486394,MIX,2995063,3516461,11.8,36861,0,0,0,0,NA,0.852,1.043,5.89,0,1,0.66,0.34,0
2018,213281912255,RES,13234309,23543945,2.32,36507,0,0,0,0,NA,0.562,1.189,5.91,0,1,0.26,0.74,0
2025,578697247143,AGR,18880891,26282146,2.7,47359,0,0,0,1,PENDING,0.718,0.929,3.0,0,0,0.54,0.46,0
2023,860590113438,RES,625183,911554,10.3,6890,0,0,0,0,NA,0.686,1.07,4.59,0,1,0.55,0.45,0
2018,895993744570,RES,23478963,25979329,20.68,519533,0,0,0,1,INCREASED,0.904,1.07,7.37,0,1,0.71,0.29,0
2018,519616708302,RES,7346405,10138805,2.57,20296,1,0,0,1,REDUCED,0.725,1.075,4.98,0,0,0.66,0.34,0
2021,126154195431,RES,1005898,1697843,11.15,12752,0,0,0,1,INCREASED,0.592,1.137,0.9,0,0,0.73,0.27,0
2020,939891082531,RES,4601113,5645614,14.77,65036,0,0,1,1,UPHELD,0.815,0.957,4.86,0,1,0.61,0.39,0
2020,587391691854,COM,10686344,11446907,22.05,212070,0,0,0,0,NA,0.934,0.9,0.78,0,0,0.7,0.3,0
2023,701616615293,RES,14997058,19177019,14.89,226432,1,0,0,0,NA,0.782,1.014,3.15,0,0,0.65,0.35,0
2019,972296437506,MIX,6276209,10402357,13.65,100149,1,1,0,0,NA,0.603,1.169,8.54,0,0,0.25,0.75,0
2025,199943209614,COM,8436311,9427075,11.84,100685,0,0,0,0,NA,0.895,1.008,3.98,0,0,0.27,0.73,0
2023,831246061204,RES,9814325,14930984,14.11,141804,0,0,0,0,NA,0.657,1.024,8.13,0,0,0.54,0.46,0
2025,940040404297,COM,5316363,8413224,15.07,77313,0,0,0,0,NA,0.632,0.965,4.25,0,1,0.72,0.28,0
2021,215871774931,IND,6003996,6754666,24.22,172173,0,0,0,0,NA,0.889,1.184,3.55,0,0,0.27,0.73,1
2023,990110754092,RES,21995117,25942196,12.26,275862,0,1,1,1,PENDING,0.848,1.023,5.02,0,0,0.61,0.39,0
2024,983460921753,IND,11093726,12364407,5.14,68027,1,0,0,0,NA,0.897,1.193,5.58,0,0,0.5,0.5,0
2020,301768584419,RES,746559,912330,10.88,8407,1,0,0,1,PENDING,0.818,1.035,6.43,0,0,0.49,0.51,0
2023,629923481462,RES,23147902,27728504,16.59,454300,1,1,0,0,NA,0.835,1.183,2.49,0,0,0.72,0.28,0
2025,489132204185,RES,4500554,6460037,8.21,37393,0,0,0,0,NA,0.697,1.012,1.04,0,0,0.33,0.67,0
2020,796395109893,RES,6660359,10858031,19.84,113113,1,0,0,0,NA,0.613,0.856,4.28,0,0,0.69,0.31,0
2022,972102597645,COM,10870274,18472111,22.43,237725,0,0,1,0,NA,0.588,0.975,5.76,0,0,0.41,0.59,0
2019,992088638169,RES,6506953,10147795,15.4,97501,0,0,1,0,NA,0.641,0.973,1.38,0,0,0.33,0.67,0
2024,604007530590,RES,1681781,2839629,23.55,45190,0,0,0,0,NA,0.592,1.141,0.28,0,0,0.51,0.49,0
2018,758266601346,RES,6419088,7307600,3.53,25968,0,0,0,0,NA,0.878,1.146,6.84,0,1,0.45,0.55,0
2021,990619593641,AGR,16970276,22161708,10.21,201682,1,0,0,0,NA,0.766,1.164,3.84,0,1,0.39,0.61,0
2020,101930309653,COM,14552821,19714126,3.09,41686,0,0,0,0,NA,0.738,0.927,6.1,1,0,0.73,0.27,1
2021,227054178641,IND,17247236,24589394,15.06,286757,0,0,0,0,NA,0.701,1.104,0.08,0,0,0.32,0.68,0
2021,503029072208,COM,11353102,13389698,18.25,210509,0,0,0,0,NA,0.848,1.016,7.49,0,0,0.34,0.66,0
2020,801936653413,RES,16344285,28553042,4.34,63061,1,1,0,0,NA,0.572,0.889,8.19,0,0,0.68,0.32,1
2018,412255795719,COM,5858999,9861017,1.91,11638,0,0,0,0,NA,0.594,1.04,1.05,0,0,0.32,0.68,0
2025,462480944787,RES,23075877,24885117,24.18,478184,0,0,0,0,NA,0.927,0.857,1.33,0,0,0.5,0.5,0
2021,924702822921,COM,4519548,7531598,21.53,106063,0,0,0,0,NA,0.6,1.09,4.9,0,0,0.52,0.48,0
2020,113928128696,RES,14872708,23508968,5.55,92944,0,0,0,0,NA,0.633,1.126,1.48,0,0,0.33,0.67,0
2024,315938614325,MIX,13230768,21896179,11.03,160675,1,0,0,0,NA,0.604,1.101,2.36,0,0,0.59,0.41,0
2019,994355564855,RES,2881787,4789200,2.36,6651,1,0,0,0,NA,0.602,0.978,7.33,0,0,0.72,0.28,0
2020,293843708013,AGR,4647260,5552171,8.34,38681,1,1,0,1,REDUCED,0.837,0.998,6.75,0,0,0.42,0.58,0
2025,772934537207,RES,1050830,1207425,6.22,7151,0,0,0,0,NA,0.87,1.094,8.58,0,1,0.53,0.47,0
2018,177648002131,RES,22324865,28177655,11.89,239164,1,0,0,0,NA,0.792,0.901,8.02,0,0,0.65,0.35,0
2023,169456395030,RES,10625981,14905640,4.66,45457,0,0,0,0,NA,0.713,0.918,2.72,0,0,0.34,0.66,1
2025,410786043291,AGR,11076781,17174965,24.82,302968,1,0,0,0,NA,0.645,1.102,8.87,0,0,0.43,0.57,0
2019,611049824922,RES,13421475,22447321,3.67,44577,0,0,0,0,NA,0.598,0.905,3.89,0,0,0.44,0.56,1
2020,694794663027,MIX,13579208,16936487,18.44,263421,0,0,0,0,NA,0.802,1.052,4.95,0,0,0.33,0.67,0
2021,346429374155,IND,2278945,2737781,8.42,17212,0,0,1,1,UPHELD,0.832,0.897,3.27,0,0,0.58,0.42,0
2020,460315708247,RES,15307121,16813885,22.3,336570,0,0,0,0,NA,0.91,0.986,5.21,0,0,0.62,0.38,1
2018,957768806388,IND,21354896,27868170,2.32,50088,0,0,0,0,NA,0.766,1.011,4.52,0,1,0.49,0.51,1
2018,220158811948,RES,1740675,2598594,20.73,41461,1,0,0,0,NA,0.67,1.149,2.67,0,0,0.47,0.53,1
2025,100034413817,RES,10894443,16890059,6.93,75045,0,0,0,0,NA,0.645,0.994,4.69,0,1,0.42,0.58,0
2022,512704457426,AGR,21984593,27100716,21.78,504202,1,0,0,0,NA,0.811,1.053,6.4,0,0,0.43,0.57,0
2023,967222366228,RES,4283829,7703570,13.87,54604,0,0,0,0,NA,0.556,0.919,4.58,0,0,0.58,0.42,0
2023,876808838738,RES,9530555,11786858,2.48,24605,1,0,0,0,NA,0.809,1.041,7.51,0,0,0.58,0.42,1
2021,337071281588,RES,22149488,23851773,4.2,94795,0,0,0,0,NA,0.929,1.019,7.92,0,0,0.6,0.4,0
2020,232702199864,COM,4255062,4585752,18.61,80770,0,0,0,0,NA,0.928,1.02,3.72,0,0,0.55,0.45,0
2025,505162770027,RES,3641368,4693144,12.97,54596,0,0,1,0,NA,0.776,1.156,6.82,0,0,0.54,0.46,0
2020,987052981266,IND,10722486,14564471,22.26,271382,1,0,0,0,NA,0.736,1.137,8.27,0,0,0.75,0.25,0
2019,780383359880,RES,528698,804868,10.87,6212,0,0,0,0,NA,0.657,1.081,6.83,0,1,0.45,0.55,0
2025,842307139883,COM,7208718,10725444,23.76,203308,0,0,0,0,NA,0.672,1.187,4.25,0,0,0.38,0.62,0
2018,407143551142,MIX,6014867,8856503,7.38,48651,0,0,0,0,NA,0.679,1.096,6.36,0,1,0.33,0.67,0
2022,375704960591,MIX,15564835,19347749,8.67,161262,1,0,0,0,NA,0.804,1.195,3.78,0,1,0.46,0.54,1
2020,114061235826,IND,11613853,18949159,13.18,172664,1,0,0,0,NA,0.613,1.128,2.92,0,0,0.46,0.54,1
2024,581327377494,RES,290349,488992,6.68,2277,0,0,0,0,NA,0.594,1.174,5.64,0,0,0.31,0.69,0
2021,531269161548,RES,19440840,21201024,8.69,162690,0,0,0,0,NA,0.917,0.963,0.56,0,0,0.64,0.36,0
2020,292430834619,COM,7330168,11281937,7.91,54329,0,0,0,0,NA,0.65,0.937,1.5,0,0,0.34,0.66,0
2020,204977011785,RES,7242291,9394508,24.26,199417,0,0,0,0,NA,0.771,1.135,5.06,0,0,0.29,0.71,0
2020,683152080441,IND,10103762,17119852,19.26,190706,0,0,0,0,NA,0.59,0.98,3.67,0,0,0.47,0.53,0
2025,528622600402,RES,201350,308220,3.67,711,1,0,0,0,NA,0.653,0.962,1.65,0,1,0.62,0.38,0
2019,721562507345,AGR,17387038,23385884,3.95,73074,1,0,0,0,NA,0.743,1.064,8.45,0,1,0.33,0.67,0
2018,261838637099,RES,12396601,17942774,20.37,220196,0,0,0,0,NA,0.691,0.872,8.97,0,0,0.38,0.62,0
2019,157130572682,COM,641046,1021193,14.45,10301,0,0,0,0,NA,0.628,1.112,3.5,0,0,0.59,0.41,0
2024,251186899773,RES,11303536,15288479,5.91,58787,1,0,0,0,NA,0.739,0.88,6.36,0,0,0.46,0.54,1
2021,734438575235,AGR,16036873,25992716,12.1,172701,1,0,0,0,NA,0.617,0.89,7.32,0,0,0.72,0.28,0
2023,102834938245,IND,8705691,14036079,24.1,188826,1,0,0,0,NA,0.62,0.9,2.28,0,0,0.72,0.28,1
2020,690822984230,COM,11647790,15499202,18.93,262166,1,0,0,0,NA,0.752,1.189,2.07,0,0,0.28,0.72,0
2024,478747239013,RES,12022132,17584863,16.54,170411,1,0,0,0,NA,0.684,0.857,5.87,0,1,0.32,0.68,0
2020,904979709431,COM,1242867,1563217,19.27,21244,0,0,0,0,NA,0.795,0.887,3.28,0,0,0.38,0.62,0
2023,588375240071,IND,7680920,11321761,23.76,171549,0,0,0,0,NA,0.678,0.94,2.72,0,0,0.47,0.53,1
2022,786080946072,AGR,5083194,7311348,15.2,90090,1,0,0,1,INCREASED,0.695,1.166,6.85,0,0,0.37,0.63,0
2023,606207282849,COM,18568875,27480466,18.54,335660,1,0,0,0,NA,0.676,0.975,7.74,0,0,0.4,0.6,0
2023,636415714923,RES,612936,766621,12.45,8997,0,0,0,1,PENDING,0.8,1.179,0.61,0,0,0.6,0.4,0
2022,308475930179,MIX,18011229,26687230,19.95,326985,0,0,1,0,NA,0.675,0.91,3.48,0,0,0.37,0.63,0
2025,426739520179,RES,13956568,15977320,16.69,213369,0,0,0,0,NA,0.874,0.916,7.61,0,0,0.57,0.43,0
2020,836380829087,RES,12579807,16739124,11.6,126664,0,0,0,1,UPHELD,0.752,0.868,6.6,0,1,0.68,0.32,0
2018,984122202757,MIX,5709964,8000053,23.82,123634,1,0,0,0,NA,0.714,0.909,8.48,0,0,0.26,0.74,1
2023,452625933829,AGR,5489688,9544675,8.28,52727,0,0,0,0,NA,0.575,1.16,5.04,0,0,0.65,0.35,0
2021,564563621166,RES,285655,348389,23.12,6611,0,0,0,0,NA,0.82,1.001,6.97,0,0,0.34,0.66,0
2021,332355345927,RES,5601591,6450959,5.79,34574,0,0,0,0,NA,0.868,1.066,2.13,0,0,0.69,0.31,0
2020,283406985344,RES,3230209,3543988,20.35,62317,0,0,0,0,NA,0.911,0.948,1.29,0,0,0.5,0.5,0
2020,611190760707,COM,10956813,16290654,13.88,139154,0,0,1,0,NA,0.673,0.915,0.85,0,0,0.64,0.36,0
2020,163749139432,RES,15895250,21402785,14.92,243086,1,0,0,0,NA,0.743,1.025,7.92,0,0,0.39,0.61,1
2025,759691224593,MIX,16593373,21914434,6.79,98135,0,0,0,0,NA,0.757,0.871,6.13,0,1,0.48,0.52,0
2018,197488753301,RES,1259421,1745809,12.16,17964,1,0,0,1,PENDING,0.721,1.173,3.64,0,0,0.63,0.37,0
2025,155261616372,MIX,9412666,15293558,11.66,112934,0,0,0,0,NA,0.615,1.029,6.72,0,0,0.42,0.58,0
2019,287440688319,IND,19882965,22823414,21.26,401999,1,0,0,0,NA,0.871,0.951,7.76,0,0,0.41,0.59,0
2020,904740093406,MIX,20478729,28344701,18.51,323339,1,1,0,0,NA,0.722,0.853,6.35,0,0,0.34,0.66,0
2020,206504455801,RES,22445764,24108609,13.58,266407,0,0,0,0,NA,0.931,0.874,0.31,0,0,0.41,0.59,0
2023,633280825615,RES,7995485,9205527,21.11,159839,0,0,0,1,INCREASED,0.869,0.947,2.54,0,1,0.65,0.35,0
2022,508649925182,MIX,2177553,3689963,18.06,35827,0,0,0,0,NA,0.59,0.911,0.73,0,1,0.74,0.26,0
2022,660472152192,RES,5260414,6162843,24.55,131984,0,1,0,0,NA,0.854,1.022,6.59,0,1,0.25,0.75,0
2018,461340007696,RES,12576777,21544605,6.07,78326,0,0,0,0,NA,0.584,1.026,8.18,0,0,0.33,0.67,0
2019,523642167263,RES,13061233,19210214,9.57,111996,1,0,0,1,INCREASED,0.68,0.896,4.28,0,1,0.57,0.43,1
2022,981346410605,RES,20776125,27694359,15.97,357343,1,0,0,0,NA,0.75,1.077,5.24,0,0,0.52,0.48,0
2023,376847000778,AGR,6339764,10460190,22.79,169623,0,0,0,0,NA,0.606,1.174,6.7,0,0,0.72,0.28,1
2025,260363907345,COM,26662993,28665407,17.78,509623,0,0,0,0,NA,0.93,1.075,0.02,0,0,0.37,0.63,0
2021,129137220443,RES,7310791,12962416,14.62,108808,1,0,0,1,UPHELD,0.564,1.018,3.34,0,0,0.3,0.7,0
2024,670120535723,RES,15652674,16847432,8.01,114595,0,0,0,0,NA,0.929,0.914,1.1,1,0,0.27,0.73,0
2018,212846500347,IND,14183503,24443687,17.88,262477,0,1,0,0,NA,0.58,1.035,4.74,0,0,0.47,0.53,0
2023,875864615072,RES,305588,429286,17.37,6157,1,0,0,0,NA,0.712,1.16,1.09,1,1,0.39,0.61,0
2021,650137792950,RES,4886104,7520928,21.55,118142,0,0,0,0,NA,0.65,1.122,8.41,0,0,0.41,0.59,0
2022,813280503693,RES,12341085,14245947,11.67,146325,1,0,0,1,INCREASED,0.866,1.016,4.64,0,1,0.58,0.42,0
2025,738725991332,RES,16262474,17458425,3.91,65049,1,0,0,0,NA,0.931,1.023,8.03,0,0,0.54,0.46,0
2021,777032267425,MIX,15841778,21598809,4.21,77165,0,1,0,0,NA,0.733,1.157,4.94,0,0,0.42,0.58,0
2018,984494118800,MIX,20889212,27005015,20.38,380170,1,0,0,0,NA,0.774,0.893,7.39,0,0,0.47,0.53,0
2020,634166767973,AGR,7870809,8652412,3.67,27095,0,0,0,0,NA,0.91,0.938,1.32,0,0,0.42,0.58,0
2018,377996318530,RES,4659674,6964160,14.41,59961,0,0,0,0,NA,0.669,0.893,2.48,0,1,0.48,0.52,0
2022,642296931066,MIX,17008215,19846797,11.34,214475,1,0,0,0,NA,0.857,1.112,0.35,0,0,0.27,0.73,0
2023,575148341544,COM,11866315,21350350,8.37,107863,1,0,0,0,NA,0.556,1.086,8.97,0,0,0.49,0.51,0
2021,286837412270,MIX,13525289,22403490,20.74,311652,0,0,0,0,NA,0.604,1.111,0.35,0,0,0.36,0.64,0
2023,377340636462,MIX,11397072,14214253,3.28,39663,0,0,0,0,NA,0.802,1.061,0.05,0,0,0.42,0.58,0
2024,691001593735,RES,15157378,20885837,14.68,250547,1,0,0,0,NA,0.726,1.126,4.52,0,0,0.59,0.41,0
2025,523015320900,RES,7267362,11514188,9.99,81749,1,0,1,0,NA,0.631,1.126,8.28,0,0,0.54,0.46,0
2020,383798089007,COM,5715058,8935844,3.04,19997,1,0,1,0,NA,0.64,1.151,5.97,0,0,0.59,0.41,0
2020,624226030287,MIX,5278607,9154768,19.22,89077,0,0,0,0,NA,0.577,0.878,1.37,0,1,0.71,0.29,0
2019,347563601619,RES,16816397,27762929,10.38,152211,0,0,0,0,NA,0.606,0.872,3.75,0,1,0.71,0.29,0
2024,984097532309,COM,8355024,9643948,7.44,63467,0,1,1,0,NA,0.866,1.021,3.54,0,0,0.46,0.54,0
2024,785415678474,RES,4621629,4923480,19.53,79429,1,0,0,0,NA,0.939,0.88,8.01,0,0,0.71,0.29,0
2018,237465781340,RES,12816175,21175023,5.04,59103,0,0,0,0,NA,0.605,0.915,3.65,0,0,0.6,0.4,0
2022,409704633837,COM,2458267,3551618,23.47,58272,1,0,0,0,NA,0.692,1.01,2.09,0,0,0.5,0.5,0
2019,336214303050,RES,12683745,19100944,6.83,101184,0,0,0,0,NA,0.664,1.168,2.55,0,0,0.41,0.59,0
2024,329050772097,MIX,3801602,4390526,12.31,44692,0,0,0,0,NA,0.866,0.955,7.63,0,0,0.26,0.74,1
2021,313588874345,RES,501822,555558,8.4,5016,0,0,0,0,NA,0.903,1.19,4.95,0,0,0.53,0.47,1
2024,187384016993,RES,9180180,15029148,15.99,170131,0,0,0,0,NA,0.611,1.159,0.61,0,0,0.66,0.34,1
2022,392901373680,RES,11816108,17673648,22.86,280381,0,0,0,0,NA,0.669,1.038,6.64,0,0,0.47,0.53,0
