biz_demog_reference_year,biz_demog_country_iso2,biz_demog_region_nuts_code,biz_demog_nace_section,biz_demog_enterprise_size_class,biz_demog_enterprises_active_count,biz_demog_births_count,biz_demog_deaths_count,biz_demog_survival_rate_1y_pct,biz_demog_survival_rate_3y_pct,biz_demog_employment_total,biz_demog_turnover_total_eur,biz_demog_value_added_total_eur,biz_demog_high_growth_enterprise_count,biz_demog_scaleup_count,biz_demog_business_register_source,biz_demog_missing_data_flag,biz_demog_data_revision_round,biz_demog_eurostat_table_code,biz_demog_data_extract_date
2019,LT,LU59,C,SMALL,2769,191,158,90.9,56.39,7103,1403632383.98,666323030.82,27,14,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-10-17
2020,SK,CZ455,H,MICRO,2649,306,270,73.88,59.96,31675,2851006169.34,688159373.46,29,15,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-11-06
2021,HR,GR522,M,LARGE,3037,321,173,55.24,31.25,48251,15407048926.65,5503009767.84,41,7,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-05-03
2022,DE,CY513,R,MEDIUM,2778,344,127,76.04,48.09,4828,1538907173.68,348756230.48,50,28,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-04-18
2023,LU,LV957,B,SMALL,2883,389,369,88.56,64.49,8299,1859252099.18,473127541.81,6,1,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-12-20
2024,SI,BG557,G,MICRO,2853,413,374,83.58,70.18,5195,632762946.03,230633335.63,41,19,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-08-29
2025,CY,IE807,L,LARGE,2921,375,379,89.93,81.26,25144,1267842097.81,353458008.97,47,27,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-09-07
2026,GR,PL195,Q,MEDIUM,3197,160,440,65.27,39.48,12883,3333656165.45,1415217780.02,57,11,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-03-18
2010,MT,FR833,A,SMALL,2666,216,180,89.48,80.27,41129,5003552624.21,1351295049.03,21,4,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2024-01-11
2011,ES,FR95,F,MICRO,2688,285,304,87.26,62.62,12146,1875243058.86,750486532.74,32,8,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2026-01-04
2012,CZ,BG28,K,LARGE,2936,415,184,63.19,38.78,44737,9229281226.59,2258457197.67,50,9,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-04-29
2013,HU,SE957,P,MEDIUM,3242,311,296,93.28,64.82,42264,10731183645.76,4246598563.27,44,21,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-09-07
2014,NL,LV5,U,SMALL,2717,312,106,74.26,49.78,22534,3959480971.62,1684866736.36,6,2,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-07-23
2015,SE,SI856,E,MICRO,2966,136,200,75.35,52.05,16106,3174399233.62,1312556057.63,58,22,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-04-01
2016,DK,LT181,J,LARGE,2920,246,107,81.58,68.43,38881,5224760807.41,1266274800.47,30,8,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-09-05
2017,IE,BE4,O,MEDIUM,2738,266,213,58.14,24.65,29906,8106358301.56,2078240891.24,13,5,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-07-04
2018,PL,PT884,T,SMALL,2970,208,161,75.93,56.82,20215,1583217051.88,728245740.35,34,7,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2024-11-01
2019,AT,ES4,D,MICRO,3098,309,277,73.41,53.5,54585,4605987288.49,1353747950.07,7,1,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-03-09
2020,EE,SK550,I,LARGE,2949,260,109,67.63,37.76,51682,2576669519.31,703478841.9,12,7,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2025-05-25
2021,IT,RO750,N,MEDIUM,2799,258,98,87.31,71.44,31083,2621019919.37,1298703620.49,15,7,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-10-30
2022,PT,FR199,S,SMALL,2889,109,373,65.15,56.08,36118,11326487546.67,2592475105.28,49,28,MIXED_SOURCE,1,BENCHMARK,bd_9bd_sz_cl_r2d,2024-06-22
2023,BE,EE30,C,MICRO,3196,490,346,66.21,35.62,40867,6894884408.44,1275759035.43,60,21,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2024-05-27
2024,FI,LV6,H,LARGE,3068,379,61,75.48,63.01,44764,5560242754.29,1173320582.87,58,10,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-04-16
2025,LV,BE1,M,MEDIUM,2710,100,170,79.68,45.6,15370,2351714488.77,554875595.78,51,18,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-10-27
2026,RO,DE27,R,SMALL,3200,433,105,93.26,74.98,8283,1670214679.76,327862048.69,41,17,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-10-27
2010,BG,FI698,B,MICRO,2982,252,209,84.39,70.03,7889,2261810120.09,806285122.23,8,1,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2025-09-15
2011,FR,NL65,G,LARGE,3206,416,221,78.19,69.04,21773,1076253987.71,468871272.23,51,10,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-01-18
2012,LT,LT43,L,MEDIUM,2708,400,72,84.22,55.05,40049,10986197035.3,4311596300.47,32,13,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-01-26
2013,SK,FR49,Q,SMALL,3221,419,104,63.75,39.43,22071,2813769799.42,561585996.72,33,13,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-02-03
2014,HR,SE82,A,MICRO,3094,126,355,69.57,48.41,6203,1492365645.64,373282563.09,26,12,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-08-05
2015,DE,DE10,F,LARGE,2747,362,75,64.2,31.61,25815,3732937370.64,903078514.65,13,2,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-01-23
2016,LU,CZ527,K,MEDIUM,3213,511,146,63.44,50.21,30885,2165615244.82,902418793.41,53,15,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-07-09
2017,SI,SI11,P,SMALL,3003,120,286,85.41,62.8,46154,13892425926.97,7186114299.3,25,3,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-12-15
2018,CY,CZ29,U,MICRO,3002,266,136,71.02,46.64,52520,14682605009.62,7357283541.4,9,3,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2024-01-17
2019,GR,PT81,E,LARGE,3146,309,417,71.93,59.58,42805,8063038403.0,3226513026.39,52,17,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-07-03
2020,MT,FI522,J,MEDIUM,2921,365,353,56.49,44.9,21902,6570948929.23,2318888339.5,48,21,MIXED_SOURCE,1,SECOND,bd_9bd_sz_cl_r2d,2026-01-19
2021,ES,BE586,O,SMALL,2875,428,149,61.21,31.58,49133,2776251742.65,741829707.84,40,21,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2025-06-17
2022,CZ,FR91,T,MICRO,2821,235,286,78.47,62.75,6788,707562318.18,305991501.97,46,11,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-12-05
2023,HU,BE3,D,LARGE,3296,367,246,91.59,83.37,48360,7502309371.14,2272178098.74,63,27,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2024-02-06
2024,NL,BE298,I,MEDIUM,2849,116,66,66.49,48.7,41826,2101263771.11,570382524.2,49,20,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-11-25
2025,SE,IT309,N,SMALL,2961,405,249,86.38,75.75,9621,1344327929.58,677707443.56,58,24,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2024-12-18
2026,DK,PL92,S,MICRO,3305,299,349,62.26,39.0,15204,1102363115.08,250911661.88,47,14,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2024-08-16
2010,IE,PT31,C,LARGE,3267,339,110,56.85,24.56,15310,2010069890.73,877319243.25,49,11,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-12-04
2011,PL,GR41,H,MEDIUM,2911,232,152,92.33,63.08,29793,9095245440.68,1699362783.12,56,27,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-07-30
2012,AT,DK518,M,SMALL,2907,124,382,93.53,70.38,49940,15293954487.03,5796785784.15,46,23,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-05-30
2013,EE,CZ92,R,MICRO,2779,192,179,69.37,58.01,17162,2599240852.32,578780977.78,52,7,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-01-20
2014,IT,GR40,B,LARGE,2842,271,272,55.37,25.58,26417,2047623690.25,686839619.67,18,8,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-09-08
2015,PT,DK319,G,MEDIUM,2798,117,82,56.97,43.19,20663,5317331845.03,1433339776.0,12,4,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-08-01
2016,BE,FR661,L,SMALL,3128,310,88,58.64,44.51,50592,16054280162.26,6735954271.7,9,4,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-08-05
2017,FI,DK908,Q,MICRO,2851,146,159,92.36,63.13,49223,6993521065.8,2701677471.78,20,5,VAT_REGISTER,1,FLASH,bd_9bd_sz_cl_r2e,2025-09-20
2018,LV,LT51,A,LARGE,2854,138,182,92.89,67.3,9417,929770010.53,275867109.42,8,4,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-10-20
2019,RO,CZ77,F,MEDIUM,3287,353,232,65.95,51.5,15431,4787178933.2,1987134693.57,50,8,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-01-18
2020,BG,ES764,K,SMALL,2851,366,80,80.11,67.73,27278,7081098320.09,3580387702.93,22,5,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-03-31
2021,FR,DK14,P,MICRO,3036,223,206,88.33,71.46,39310,9955858572.4,4036201973.64,6,2,EU_BUSINESS_REGISTER_NETWORK,1,FLASH,bd_9bd_sz_cl_r2f,2024-05-23
2022,LT,HR24,U,LARGE,2772,216,378,56.34,38.22,32491,7586776644.07,2660385600.56,14,3,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-05-19
2023,SK,DK421,E,MEDIUM,3136,396,422,74.12,59.47,12872,3045366729.06,1481354393.21,33,14,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-01-26
2024,HR,RO258,J,SMALL,2758,127,109,84.08,74.76,39144,2733943642.35,898629303.73,11,5,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2025-10-21
2025,DE,LT77,O,MICRO,3175,400,393,84.94,58.51,20963,5649937952.11,2626310218.02,62,23,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-07-30
2026,LU,ES280,T,LARGE,3115,215,326,86.01,74.26,16890,4374639399.38,1644642348.68,38,7,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2024-05-18
2010,SI,SI386,D,MEDIUM,3098,296,149,89.42,58.68,32224,5858312624.94,2797936323.87,60,11,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-10-19
2011,CY,NL91,I,SMALL,2985,314,335,61.45,50.0,42294,10809390102.63,5378550135.58,40,7,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-07-26
2012,GR,AT6,N,MICRO,3278,267,275,80.07,58.4,36744,6667878062.36,2537809337.26,18,10,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-10-29
2013,MT,BE42,S,LARGE,3134,367,72,90.45,78.02,48425,15035108708.79,6601004973.35,9,3,NATIONAL_BUSINESS_REGISTER,1,FIRST,bd_9bd_sz_cl_r2,2025-01-01
2014,ES,DK24,C,MEDIUM,3053,419,213,68.73,52.89,43254,7828966600.09,3271972521.17,52,13,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-11-15
2015,CZ,IT4,H,SMALL,2838,122,378,83.94,74.74,41623,5515919680.22,1915694790.18,21,9,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-02-14
2016,HU,SE89,M,MICRO,3032,468,371,60.88,42.83,12294,2569505256.32,639692186.41,33,5,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2025-08-25
2017,NL,RO366,R,LARGE,2898,338,391,56.8,22.83,33501,10216471038.52,3724054397.38,9,3,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-05-02
2018,SE,FR3,B,MEDIUM,2911,192,256,58.72,26.35,41515,13177711424.21,3344208031.79,33,10,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-01-24
2019,DK,PT83,G,SMALL,3154,176,312,88.88,61.32,54193,7763467435.83,2787509579.52,53,17,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-04-07
2020,IE,LU272,L,MICRO,2866,383,346,82.9,74.51,23172,4063830136.84,941642290.87,14,5,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2025-08-20
2021,PL,FR2,Q,LARGE,2885,155,261,59.16,36.97,49857,4826215444.41,1573683952.52,22,4,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-03-15
2022,AT,LV978,A,MEDIUM,3122,332,253,60.9,51.37,6064,1164324420.54,593735766.93,34,17,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-07-04
2023,EE,LV2,F,SMALL,3292,305,402,82.96,74.88,7265,1300014629.99,261245640.93,33,19,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-04-11
2024,IT,BE35,K,MICRO,3108,332,411,91.39,81.61,15751,2342887270.37,534510621.91,6,1,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-02-10
2025,PT,HU79,P,LARGE,3156,205,386,93.59,63.99,32853,8657776636.6,3601796764.84,31,5,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-11-08
2026,BE,BG66,U,MEDIUM,2848,297,185,64.46,31.21,42254,8563720229.38,3310096901.77,54,18,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-08-17
2010,FI,FR74,E,SMALL,2950,305,412,55.57,23.93,40692,2994193248.03,614471553.97,6,3,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2024-01-03
2011,LV,LU86,J,MICRO,3331,415,279,90.94,63.08,38584,6543601305.09,2450346088.3,40,13,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-12-12
2012,RO,DE86,O,LARGE,3288,464,179,67.26,57.9,43669,13890580314.98,6881546176.88,42,7,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2024-12-02
2013,BG,IE529,T,MEDIUM,3137,208,86,56.67,44.37,28263,2399390835.15,684111621.68,39,22,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2024-01-04
2014,FR,NL900,D,SMALL,3336,523,409,75.9,53.09,34643,7699964843.08,3295015630.91,21,5,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2026-02-12
2015,LT,ES691,I,MICRO,2834,278,291,62.04,53.2,25219,2793223500.37,1206403825.14,42,13,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2024-01-21
2016,SK,CZ98,N,LARGE,3276,402,347,56.61,37.11,6899,1188925314.16,383403991.8,61,25,NATIONAL_BUSINESS_REGISTER,1,FIRST,bd_9bd_sz_cl_r2,2025-09-14
2017,HR,DK7,S,MEDIUM,3387,540,428,67.47,58.33,34495,7104035446.52,2781074113.7,35,10,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-03-10
2018,DE,LU493,C,SMALL,2857,211,189,60.19,35.61,49469,7288045095.1,1604354088.67,5,2,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-12-10
2019,LU,GR481,H,MICRO,3030,276,100,81.52,59.69,54200,3370169768.89,702180103.42,43,21,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-05-05
2020,SI,IT8,M,LARGE,3112,251,268,64.76,52.74,45906,11283293737.63,4118048456.29,57,19,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-08-09
2021,CY,LV475,R,MEDIUM,2871,216,248,64.76,32.63,28788,2940970465.15,980662272.07,43,13,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2025-09-23
2022,GR,AT562,B,SMALL,3394,400,221,73.73,54.75,43067,3270590122.5,1423949622.22,57,25,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-08-30
2023,MT,AT42,G,MICRO,2858,397,180,71.84,54.33,30290,4099593716.94,1500021150.6,11,4,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-12-05
2024,ES,BG7,L,LARGE,3267,479,177,66.16,57.09,47024,7034538343.24,2936848499.18,38,16,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-09-25
2025,CZ,LV26,Q,MEDIUM,2851,130,248,84.87,61.75,27557,5532521310.18,1893529065.57,51,25,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-08-22
2026,HU,ES412,A,SMALL,2912,456,192,88.64,79.9,26808,4237411537.44,798715757.8,57,15,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-08-14
2010,NL,DK2,F,MICRO,3071,352,290,94.65,84.91,49257,15623254887.07,6642320727.26,16,7,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-05-18
2011,SE,IT747,K,LARGE,2915,188,254,67.56,54.79,10627,1269098213.77,367589777.98,27,4,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-03-23
2012,DK,BG74,P,MEDIUM,3221,422,247,81.11,48.82,33261,10562252158.37,2831850540.47,52,14,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2024-06-23
2013,IE,GR95,U,SMALL,3306,494,104,91.98,82.6,55878,6604874320.27,2031013489.05,33,7,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2024-07-03
2014,PL,PT328,E,MICRO,3208,244,432,89.18,63.5,30764,1601604800.22,485230476.5,38,21,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2024-11-07
2015,AT,NL55,J,LARGE,2917,149,153,86.04,66.26,4637,913997452.73,373167894.96,7,1,EU_BUSINESS_REGISTER_NETWORK,1,FIRST,bd_9bd_sz_cl_r2f,2024-07-22
2016,EE,CY1,O,MEDIUM,3142,428,96,72.1,37.92,11594,3508514813.83,1701788930.65,61,27,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-09-18
2017,IT,AT573,T,SMALL,3375,108,452,94.01,76.4,29135,5511223662.28,2688183170.85,48,19,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2025-06-10
2018,PT,PT37,D,MICRO,2880,90,104,58.68,46.16,41505,9210187247.11,2562742387.12,54,23,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-08-21
2019,BE,FR908,I,LARGE,3197,203,319,86.4,74.77,35326,6634408233.81,3407196514.63,24,12,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-07-11
2020,FI,SE584,N,MEDIUM,2903,400,386,89.92,72.77,17300,4065831016.31,1954955543.98,15,4,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2024-08-13
2021,LV,FR19,S,SMALL,2964,124,360,85.34,61.49,51325,13754834682.88,5413688426.26,11,5,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2024-03-07
2022,RO,EE28,C,MICRO,2981,184,151,85.01,75.11,38994,10382027554.11,4612806230.44,16,5,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-05-13
2023,BG,DK3,H,LARGE,2933,424,92,60.11,44.47,12945,2620360453.96,937301907.41,56,30,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2025-11-03
2024,FR,MT52,M,MEDIUM,3084,140,364,63.73,55.04,10756,2265811508.4,652032601.9,48,8,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2026-02-16
2025,LT,PT113,R,SMALL,2965,148,135,60.29,27.47,21628,5031663397.16,2417298124.16,32,11,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-11-06
2026,SK,LT149,B,MICRO,3302,376,322,71.0,58.2,49701,5271985888.94,1931318186.16,39,9,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-06-13
2010,HR,GR87,G,LARGE,3192,215,305,84.03,56.74,52504,6477958877.81,1998015486.56,55,30,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2024-07-04
2011,DE,CZ1,L,MEDIUM,3013,277,167,70.15,48.82,51818,13110966512.89,3880766773.15,18,6,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2024-05-08
2012,LU,IE11,Q,SMALL,2985,180,255,68.52,48.88,13606,3356029200.8,1363172062.61,6,2,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2025-09-05
2013,SI,ES880,A,MICRO,2896,303,76,67.17,43.07,18542,4322618844.46,874721341.49,24,4,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-02-09
2014,CY,LV23,F,LARGE,2954,365,262,78.05,52.22,52324,7418849025.0,1588718773.32,10,5,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2024-09-27
2015,GR,HR434,K,MEDIUM,3441,231,278,85.45,68.08,61093,8210442635.27,1575415633.74,22,8,MIXED_SOURCE,0,SECOND,bd_9bd_sz_cl_r2d,2025-02-04
2016,MT,GR3,P,SMALL,2974,271,170,57.61,26.28,27513,3911881603.44,1404233088.28,57,28,SOCIAL_SECURITY_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2b,2025-11-22
2017,ES,LT73,U,MICRO,3208,472,201,73.5,61.04,5523,1112233036.15,271573421.67,12,7,NATIONAL_BUSINESS_REGISTER,0,FLASH,bd_9bd_sz_cl_r2,2025-09-25
2018,CZ,HU82,E,LARGE,3025,456,156,68.52,53.91,50216,15713808050.32,6763307298.77,37,7,EU_BUSINESS_REGISTER_NETWORK,0,FIRST,bd_9bd_sz_cl_r2f,2026-02-21
2019,HU,HR983,J,MEDIUM,3211,349,305,92.03,77.18,49883,11205973000.28,2557613821.46,44,14,VAT_REGISTER,0,SECOND,bd_9bd_sz_cl_r2e,2025-06-25
2020,NL,FI4,O,SMALL,2884,343,403,61.65,52.74,19960,4313662832.49,806313353.47,39,17,MIXED_SOURCE,0,BENCHMARK,bd_9bd_sz_cl_r2d,2024-10-18
2021,SE,DE419,T,MICRO,3209,253,163,78.28,60.68,28375,5380285652.3,2004362412.76,25,5,SOCIAL_SECURITY_REGISTER,0,FLASH,bd_9bd_sz_cl_r2b,2025-09-04
2022,DK,BE41,D,LARGE,3447,360,424,55.34,33.99,41916,2057510813.87,401713102.61,60,9,NATIONAL_BUSINESS_REGISTER,0,FIRST,bd_9bd_sz_cl_r2,2024-06-04
2023,IE,CY635,I,MEDIUM,3197,158,109,86.91,58.76,17203,4053062669.33,1926504469.11,13,4,EU_BUSINESS_REGISTER_NETWORK,0,SECOND,bd_9bd_sz_cl_r2f,2025-08-02
2024,PL,IT69,N,SMALL,3138,357,86,65.97,36.65,12767,4070468157.5,775987991.69,21,8,VAT_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2e,2025-01-26
2025,AT,BE81,S,MICRO,3004,472,274,91.25,58.63,33531,10508504352.02,5405226534.2,6,2,MIXED_SOURCE,0,FLASH,bd_9bd_sz_cl_r2d,2024-10-04
2026,EE,SI67,C,LARGE,3471,256,387,82.26,54.39,47152,11287793646.44,2438036459.2,31,10,SOCIAL_SECURITY_REGISTER,0,FIRST,bd_9bd_sz_cl_r2b,2024-01-18
2010,IT,SK625,H,MEDIUM,3078,276,80,93.14,74.74,26780,6308811617.81,2059226716.26,19,10,NATIONAL_BUSINESS_REGISTER,0,SECOND,bd_9bd_sz_cl_r2,2024-11-04
2011,PT,SE72,M,SMALL,3441,379,450,91.8,79.83,24275,6334352894.22,1483376637.33,7,2,EU_BUSINESS_REGISTER_NETWORK,0,BENCHMARK,bd_9bd_sz_cl_r2f,2025-04-22
2012,BE,NL728,R,MICRO,2887,170,370,88.86,55.47,45986,4973849931.21,1462306260.0,20,6,VAT_REGISTER,0,FLASH,bd_9bd_sz_cl_r2e,2024-10-07
2013,FI,PT858,B,LARGE,3374,245,380,76.66,49.6,28248,3857368626.87,1980104482.38,60,28,MIXED_SOURCE,0,FIRST,bd_9bd_sz_cl_r2d,2025-10-04
2014,LV,LT609,G,MEDIUM,3126,424,293,56.84,44.51,27071,2151601287.83,600235206.05,29,12,SOCIAL_SECURITY_REGISTER,0,SECOND,bd_9bd_sz_cl_r2b,2025-04-16
2015,RO,RO845,L,SMALL,3099,362,134,72.17,52.36,29887,6151183961.79,2305646436.18,45,13,NATIONAL_BUSINESS_REGISTER,0,BENCHMARK,bd_9bd_sz_cl_r2,2024-11-21
2016,BG,DE39,Q,MICRO,3000,306,328,60.52,31.4,52925,7443694241.91,1930211192.87,59,13,EU_BUSINESS_REGISTER_NETWORK,0,FLASH,bd_9bd_sz_cl_r2f,2025-11-28
2017,FR,AT49,A,LARGE,3043,264,273,80.36,60.37,49417,12658528931.3,2778343493.68,9,2,VAT_REGISTER,0,FIRST,bd_9bd_sz_cl_r2e,2025-02-28
