demo_household_survey_year,demo_household_household_id_sample,demo_household_country_iso2,demo_household_region_nuts_code,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_household_size,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly_eur,demo_household_sampling_stratum
2020,EUHH2020001009,PL,DK81,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,65.72,1.18,3,CABLE,ET,SEVERE,74,10.99,URBAN_MIXED
2021,EUHH2021001010,RO,FR72,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,1,0,0,38.66,1.68,0,FIBER,PL,SOME,28,1391.71,RURAL_LOW_DENSITY
2022,EUHH2022001011,SI,DE417,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,0,0,0,62.31,2.54,3,DSL,LV,NONE,42,0.0,RURAL_AGRI
2023,EUHH2023001012,SE,HR685,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,1,1,0,56.26,2.47,1,MOBILE,RO,SEVERE,5,50.32,INTERMEDIATE_TOWNS
2024,EUHH2024001013,BE,DE3,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,2,1,0,14.77,2.06,2,NONE,LT,SOME,17,1448.35,COASTAL_TOURISM
2025,EUHH2025001014,HR,DE312,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,0,1,0,49.06,1.8,1,CABLE,NL,NONE,70,0.0,URBAN_HIGH_INCOME
2026,EUHH2026001015,CZ,SE2,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,2,0,0,54.93,1.06,0,FIBER,GA,SEVERE,6,187.91,URBAN_MIXED
2019,EUHH2019001016,EE,MT7,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,48.12,1.51,4,DSL,SV,SOME,25,0.0,RURAL_LOW_DENSITY
2020,EUHH2020001017,FR,FR699,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,29.54,1.84,1,MOBILE,MT,NONE,52,1307.13,RURAL_AGRI
2021,EUHH2021001018,GR,SI55,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,29.39,1.97,2,NONE,FI,SEVERE,78,106.35,INTERMEDIATE_TOWNS
2022,EUHH2022001019,IE,IT616,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,0,0,50.16,1.31,0,CABLE,SK,SOME,28,1064.61,COASTAL_TOURISM
2023,EUHH2023001020,LV,BG84,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,2,0,0,25.49,1.31,1,FIBER,EL,NONE,76,584.81,URBAN_HIGH_INCOME
2024,EUHH2024001021,LU,RO9,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,3,1,0,60.47,1.88,1,DSL,SL,SEVERE,69,313.49,URBAN_MIXED
2025,EUHH2025001022,NL,PL729,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,4,0,0,39.15,1.47,3,MOBILE,HU,SOME,53,600.08,RURAL_LOW_DENSITY
2026,EUHH2026001023,PT,SI396,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,1,0,0,17.01,1.73,0,NONE,CY,NONE,77,122.57,RURAL_AGRI
2019,EUHH2019001024,SK,ES340,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,21.87,0.85,4,CABLE,CS,SEVERE,22,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020001025,ES,ES3,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,44.36,1.62,0,FIBER,EN,SOME,45,1016.04,COASTAL_TOURISM
2021,EUHH2021001026,AT,EE721,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,48.35,0.85,2,DSL,PT,NONE,4,1415.4,URBAN_HIGH_INCOME
2022,EUHH2022001027,BG,DK4,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,3,0,0,22.57,1.69,2,MOBILE,DE,SEVERE,12,1465.84,URBAN_MIXED
2023,EUHH2023001028,CY,FI7,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,3,0,0,46.63,2.03,2,NONE,BG,SOME,76,1336.88,RURAL_LOW_DENSITY
2024,EUHH2024001029,DK,CY855,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,3,0,0,19.67,0.82,4,CABLE,FR,NONE,31,391.05,RURAL_AGRI
2025,EUHH2025001030,FI,PT28,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,2,0,0,58.4,1.08,2,FIBER,HR,SEVERE,76,487.81,INTERMEDIATE_TOWNS
2026,EUHH2026001031,DE,PT628,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,6,0,0,26.75,1.77,1,DSL,ES,SOME,27,1268.82,COASTAL_TOURISM
2019,EUHH2019001032,HU,BE539,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,58.46,1.26,3,MOBILE,DA,NONE,4,0.0,URBAN_HIGH_INCOME
2020,EUHH2020001033,IT,FR73,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,41.89,1.58,2,NONE,IT,SEVERE,55,125.63,URBAN_MIXED
2021,EUHH2021001034,LT,LU26,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,2,0,0,41.7,1.81,1,CABLE,ET,SOME,29,1160.56,RURAL_LOW_DENSITY
2022,EUHH2022001035,MT,HU595,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,2,0,0,25.3,1.67,4,FIBER,PL,NONE,49,872.17,RURAL_AGRI
2023,EUHH2023001036,PL,SI802,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,4,0,0,38.1,0.93,1,DSL,LV,SEVERE,78,151.38,INTERMEDIATE_TOWNS
2024,EUHH2024001037,RO,ES541,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,2,0,0,19.54,1.64,1,MOBILE,RO,SOME,43,958.76,COASTAL_TOURISM
2025,EUHH2025001038,SI,PL83,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,5,1,0,8.1,2.66,0,NONE,LT,NONE,10,1052.69,URBAN_HIGH_INCOME
2026,EUHH2026001039,SE,CY843,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,5,0,0,32.42,2.12,2,CABLE,NL,SEVERE,57,786.26,URBAN_MIXED
2019,EUHH2019001040,BE,RO1,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,59.19,2.62,1,FIBER,GA,SOME,16,0.0,RURAL_LOW_DENSITY
2020,EUHH2020001041,HR,CY779,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,0,0,0,34.74,1.77,0,DSL,SV,NONE,51,0.0,RURAL_AGRI
2021,EUHH2021001042,CZ,CY612,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,2,0,0,21.46,2.44,4,MOBILE,MT,SEVERE,18,590.84,INTERMEDIATE_TOWNS
2022,EUHH2022001043,EE,NL130,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,3,0,0,66.84,0.78,3,NONE,FI,SOME,7,1070.26,COASTAL_TOURISM
2023,EUHH2023001044,FR,FR38,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,2,0,0,42.15,2.08,2,CABLE,SK,NONE,2,526.11,URBAN_HIGH_INCOME
2024,EUHH2024001045,GR,DK50,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,2,1,0,9.2,2.37,4,FIBER,EL,SEVERE,74,448.85,URBAN_MIXED
2025,EUHH2025001046,IE,MT742,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,5,0,0,46.14,2.04,0,DSL,SL,SOME,15,1372.71,RURAL_LOW_DENSITY
2026,EUHH2026001047,LV,AT9,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,2,1,0,10.19,0.89,3,MOBILE,HU,NONE,39,42.67,RURAL_AGRI
2019,EUHH2019001048,LU,FR201,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,10.32,0.97,1,NONE,CY,SEVERE,67,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020001049,NL,BG39,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,26.39,2.45,4,CABLE,CS,SOME,72,965.29,COASTAL_TOURISM
2021,EUHH2021001050,PT,RO365,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,1,0,0,47.23,0.67,0,FIBER,EN,NONE,6,1114.93,URBAN_HIGH_INCOME
2022,EUHH2022001051,SK,SK498,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,2,0,0,22.95,2.6,4,DSL,PT,SEVERE,72,1471.41,URBAN_MIXED
2023,EUHH2023001052,ES,CZ64,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,0,1,0,46.99,1.88,1,MOBILE,DE,SOME,32,0.0,RURAL_LOW_DENSITY
2024,EUHH2024001053,AT,NL78,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,3,1,0,54.26,2.56,1,NONE,BG,NONE,69,940.04,RURAL_AGRI
2025,EUHH2025001054,BG,GR8,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,2,0,0,42.02,2.2,3,CABLE,FR,SEVERE,22,600.52,INTERMEDIATE_TOWNS
2026,EUHH2026001055,CY,CZ358,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,6,0,0,47.4,0.72,0,FIBER,HR,SOME,1,830.41,COASTAL_TOURISM
2019,EUHH2019001056,DK,NL796,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,33.75,0.72,1,DSL,ES,NONE,74,0.0,URBAN_HIGH_INCOME
2020,EUHH2020001057,FI,CZ679,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,58.66,1.59,0,MOBILE,DA,SEVERE,27,483.3,URBAN_MIXED
2021,EUHH2021001058,DE,HR248,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,7.99,2.44,2,NONE,IT,SOME,19,1118.41,RURAL_LOW_DENSITY
2022,EUHH2022001059,HU,ES195,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,1,0,60.4,1.85,4,CABLE,ET,NONE,35,1212.52,RURAL_AGRI
2023,EUHH2023001060,IT,BG268,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,4,0,0,30.9,1.97,0,FIBER,PL,SEVERE,68,1077.09,INTERMEDIATE_TOWNS
2024,EUHH2024001061,LT,HR801,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,3,0,0,54.73,1.74,2,DSL,LV,SOME,9,1486.04,COASTAL_TOURISM
2025,EUHH2025001062,MT,AT151,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,0,1,0,23.31,1.44,2,MOBILE,RO,NONE,77,0.0,URBAN_HIGH_INCOME
2026,EUHH2026001063,PL,HR319,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,5,1,0,37.48,2.15,1,NONE,LT,SEVERE,59,214.8,URBAN_MIXED
2019,EUHH2019001064,RO,BG905,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,14.05,1.19,1,CABLE,NL,SOME,48,0.0,RURAL_LOW_DENSITY
2020,EUHH2020001065,SI,FR283,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,0,0,0,12.21,2.46,4,FIBER,GA,NONE,68,0.0,RURAL_AGRI
2021,EUHH2021001066,SE,CY510,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,8.76,1.3,0,DSL,SV,SEVERE,55,242.55,INTERMEDIATE_TOWNS
2022,EUHH2022001067,BE,MT10,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,3,0,0,37.34,1.42,2,MOBILE,MT,SOME,64,739.33,COASTAL_TOURISM
2023,EUHH2023001068,HR,FI8,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,0,0,0,8.43,1.55,3,NONE,FI,NONE,15,0.0,URBAN_HIGH_INCOME
2024,EUHH2024001069,CZ,LU427,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,2,0,0,44.64,1.73,4,CABLE,SK,SEVERE,80,528.69,URBAN_MIXED
2025,EUHH2025001070,EE,HU42,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,5,1,0,33.25,1.53,2,FIBER,EL,SOME,70,1376.99,RURAL_LOW_DENSITY
2026,EUHH2026001071,FR,LT5,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,3,0,0,56.03,1.76,2,DSL,SL,NONE,29,1099.97,RURAL_AGRI
2019,EUHH2019001072,GR,PT92,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,45.18,2.29,1,MOBILE,HU,SEVERE,78,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020001073,IE,BE28,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,7.68,2.01,0,NONE,CY,SOME,78,855.99,COASTAL_TOURISM
2021,EUHH2021001074,LV,CZ83,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,1,0,0,13.18,2.21,1,CABLE,CS,NONE,69,1388.18,URBAN_HIGH_INCOME
2022,EUHH2022001075,LU,MT905,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,3,0,0,68.98,1.99,3,FIBER,EN,SEVERE,36,1476.4,URBAN_MIXED
2023,EUHH2023001076,NL,HU5,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,4,0,0,66.51,1.02,3,DSL,PT,SOME,68,299.55,RURAL_LOW_DENSITY
2024,EUHH2024001077,PT,SK344,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,5,0,0,48.84,1.59,3,MOBILE,DE,NONE,9,824.77,RURAL_AGRI
2025,EUHH2025001078,SK,SE92,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,2,0,0,40.39,1.6,3,NONE,BG,SEVERE,14,1035.41,INTERMEDIATE_TOWNS
2026,EUHH2026001079,ES,EE8,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,0,0,0,31.9,1.27,3,CABLE,FR,SOME,40,0.0,COASTAL_TOURISM
2019,EUHH2019001080,AT,MT5,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,30.34,2.12,1,FIBER,HR,NONE,50,0.0,URBAN_HIGH_INCOME
2020,EUHH2020001081,BG,SE5,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,1,0,0,68.4,1.81,0,DSL,ES,SEVERE,26,1374.66,URBAN_MIXED
2021,EUHH2021001082,CY,IE467,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,1,0,0,56.76,2.38,1,MOBILE,DA,SOME,26,1291.55,RURAL_LOW_DENSITY
2022,EUHH2022001083,DK,SI834,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,2,0,0,16.9,0.72,3,NONE,IT,NONE,76,1124.34,RURAL_AGRI
2023,EUHH2023001084,FI,RO7,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,4,0,0,17.09,0.67,4,CABLE,ET,SEVERE,57,844.22,INTERMEDIATE_TOWNS
2024,EUHH2024001085,DE,CY30,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,5,0,0,37.4,0.7,0,FIBER,PL,SOME,22,347.62,COASTAL_TOURISM
2025,EUHH2025001086,HU,IT552,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,2,0,0,59.18,1.85,1,DSL,LV,NONE,63,944.7,URBAN_HIGH_INCOME
2026,EUHH2026001087,IT,GR826,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,5,0,0,43.81,0.78,4,MOBILE,RO,SEVERE,16,884.48,URBAN_MIXED
2019,EUHH2019001088,LT,EE778,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,45.37,1.96,0,NONE,LT,SOME,8,0.0,RURAL_LOW_DENSITY
2020,EUHH2020001089,MT,HR923,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,18.59,0.63,2,CABLE,NL,NONE,41,1325.09,RURAL_AGRI
2021,EUHH2021001090,PL,CZ5,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,2,0,0,51.38,2.06,2,FIBER,GA,SEVERE,6,1386.0,INTERMEDIATE_TOWNS
2022,EUHH2022001091,RO,PL5,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,3,0,0,44.13,0.77,0,DSL,SV,SOME,28,905.98,COASTAL_TOURISM
2023,EUHH2023001092,SI,LT871,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,4,1,0,61.75,1.51,3,MOBILE,MT,NONE,39,934.81,URBAN_HIGH_INCOME
2024,EUHH2024001093,SE,SE171,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,4,0,0,55.25,1.83,0,NONE,FI,SEVERE,30,823.22,URBAN_MIXED
2025,EUHH2025001094,BE,LU9,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,5,1,0,49.54,2.67,4,CABLE,SK,SOME,25,1245.89,RURAL_LOW_DENSITY
2026,EUHH2026001095,HR,IT855,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,3,0,0,53.57,2.43,1,FIBER,EL,NONE,51,105.24,RURAL_AGRI
2019,EUHH2019001096,CZ,ES69,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,66.24,1.22,3,DSL,SL,SEVERE,9,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020001097,EE,CZ2,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,23.76,1.4,3,MOBILE,HU,SOME,11,1359.31,COASTAL_TOURISM
2021,EUHH2021001098,FR,EE69,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,25.77,0.84,0,NONE,CY,NONE,9,17.53,URBAN_HIGH_INCOME
2022,EUHH2022001099,GR,DK9,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,3,0,0,44.15,2.06,1,CABLE,CS,SEVERE,74,276.58,URBAN_MIXED
2023,EUHH2023001100,IE,RO71,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,1,1,0,45.33,2.24,4,FIBER,EN,SOME,43,1070.75,RURAL_LOW_DENSITY
2024,EUHH2024001101,LV,BE53,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,4,0,0,18.67,2.03,0,DSL,PT,NONE,8,1360.02,RURAL_AGRI
2025,EUHH2025001102,LU,SK91,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,0,0,0,41.37,2.35,0,MOBILE,DE,SEVERE,0,0.0,INTERMEDIATE_TOWNS
2026,EUHH2026001103,NL,FI956,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,3,1,0,14.61,2.35,3,NONE,BG,SOME,38,1494.8,COASTAL_TOURISM
2019,EUHH2019001104,PT,IE6,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,1,0,0,0,38.72,2.36,0,CABLE,FR,NONE,79,0.0,URBAN_HIGH_INCOME
2020,EUHH2020001105,SK,LU909,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,2,1,0,0,25.08,0.87,4,FIBER,HR,SEVERE,68,305.18,URBAN_MIXED
2021,EUHH2021001106,ES,BG3,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,3,2,0,0,66.12,1.15,2,DSL,ES,SOME,31,728.64,RURAL_LOW_DENSITY
2022,EUHH2022001107,AT,HR8,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,4,1,0,0,54.27,0.8,3,MOBILE,DA,NONE,64,497.32,RURAL_AGRI
2023,EUHH2023001108,BG,MT91,OTHER,COUPLE_WITH_CHILDREN,MARRIED,5,2,0,0,37.46,0.94,4,NONE,IT,SEVERE,16,760.34,INTERMEDIATE_TOWNS
2024,EUHH2024001109,CY,ES15,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,6,5,1,0,8.59,0.74,3,CABLE,ET,SOME,8,895.76,COASTAL_TOURISM
2025,EUHH2025001110,DK,EE878,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,7,0,1,0,46.68,2.23,3,FIBER,PL,NONE,73,0.0,URBAN_HIGH_INCOME
2026,EUHH2026001111,FI,LU62,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,8,5,0,0,65.37,1.13,2,DSL,LV,SEVERE,11,42.22,URBAN_MIXED
2019,EUHH2019001112,DE,CY3,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,1,0,0,0,61.23,2.76,2,MOBILE,RO,SOME,18,0.0,RURAL_LOW_DENSITY
2020,EUHH2020001113,HU,PL68,OTHER,COUPLE_WITH_CHILDREN,MARRIED,2,1,0,0,7.99,1.94,3,NONE,LT,NONE,26,159.58,RURAL_AGRI
2021,EUHH2021001114,IT,BE82,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,3,2,0,0,54.57,1.53,4,CABLE,NL,SEVERE,37,422.42,INTERMEDIATE_TOWNS
2022,EUHH2022001115,LT,LT28,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,4,0,0,0,35.46,2.32,3,FIBER,GA,SOME,69,0.0,COASTAL_TOURISM
2023,EUHH2023001116,MT,BE58,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,5,4,0,0,49.84,2.64,4,DSL,SV,NONE,56,1052.88,URBAN_HIGH_INCOME
2024,EUHH2024001117,PL,BG38,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,6,4,0,0,13.15,2.51,2,MOBILE,MT,SEVERE,21,1152.59,URBAN_MIXED
2025,EUHH2025001118,RO,IT3,OTHER,COUPLE_WITH_CHILDREN,MARRIED,7,3,0,0,51.11,1.98,0,NONE,FI,SOME,11,1032.77,RURAL_LOW_DENSITY
2026,EUHH2026001119,SI,LU52,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,8,2,1,0,51.96,1.76,1,CABLE,SK,NONE,44,1381.32,RURAL_AGRI
2019,EUHH2019001120,SE,PL326,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,1,0,0,0,16.63,0.7,2,FIBER,EL,SEVERE,12,0.0,INTERMEDIATE_TOWNS
2020,EUHH2020001121,BE,IE178,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,2,0,0,0,36.12,1.83,2,DSL,SL,SOME,15,0.0,COASTAL_TOURISM
2021,EUHH2021001122,HR,CZ63,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,3,2,0,0,62.69,2.56,4,MOBILE,HU,NONE,65,39.22,URBAN_HIGH_INCOME
2022,EUHH2022001123,CZ,LT94,OTHER,COUPLE_WITH_CHILDREN,MARRIED,4,0,0,0,64.11,2.67,2,NONE,CY,SEVERE,35,0.0,URBAN_MIXED
2023,EUHH2023001124,EE,LT979,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,5,3,0,0,29.27,0.69,2,CABLE,CS,SOME,75,1110.82,RURAL_LOW_DENSITY
2024,EUHH2024001125,FR,LT9,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,6,5,0,0,35.86,2.62,2,FIBER,EN,NONE,16,1210.94,RURAL_AGRI
2025,EUHH2025001126,GR,MT966,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,7,6,0,0,18.69,0.65,4,DSL,PT,SEVERE,56,838.36,INTERMEDIATE_TOWNS
2026,EUHH2026001127,IE,SI64,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,8,6,0,0,65.36,1.45,1,MOBILE,DE,SOME,21,1307.65,COASTAL_TOURISM
2019,EUHH2019001128,LV,CZ842,OTHER,COUPLE_WITH_CHILDREN,MARRIED,1,0,0,0,61.72,1.25,1,NONE,BG,NONE,29,0.0,URBAN_HIGH_INCOME
2020,EUHH2020001129,LU,PT514,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,2,1,0,0,17.48,1.81,0,CABLE,FR,SEVERE,22,1024.99,URBAN_MIXED
2021,EUHH2021001130,NL,BE840,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,3,0,0,0,8.87,1.66,3,FIBER,HR,SOME,1,0.0,RURAL_LOW_DENSITY
2022,EUHH2022001131,PT,LU92,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,4,0,1,0,58.65,1.3,1,DSL,ES,NONE,25,0.0,RURAL_AGRI
2023,EUHH2023001132,SK,HU48,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,5,2,0,0,60.91,1.56,3,MOBILE,DA,SEVERE,39,1003.85,INTERMEDIATE_TOWNS
2024,EUHH2024001133,ES,LV4,OTHER,COUPLE_WITH_CHILDREN,MARRIED,6,5,0,0,55.96,1.64,0,NONE,IT,SOME,65,1408.16,COASTAL_TOURISM
2025,EUHH2025001134,AT,SK49,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,7,6,0,0,18.11,1.72,3,CABLE,ET,NONE,4,395.8,URBAN_HIGH_INCOME
2026,EUHH2026001135,BG,DK46,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,8,3,1,0,19.61,2.45,1,FIBER,PL,SEVERE,38,877.35,URBAN_MIXED
2019,EUHH2019001136,CY,IT19,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,1,0,0,0,51.49,2.03,4,DSL,LV,SOME,73,0.0,RURAL_LOW_DENSITY
2020,EUHH2020001137,DK,HU78,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,2,1,0,0,59.64,2.41,2,MOBILE,RO,NONE,57,1093.78,RURAL_AGRI
2021,EUHH2021001138,FI,EE785,OTHER,COUPLE_WITH_CHILDREN,MARRIED,3,2,0,0,32.35,1.25,1,NONE,LT,SEVERE,25,1484.31,INTERMEDIATE_TOWNS
2022,EUHH2022001139,DE,GR2,CHILD,COUPLE_WITH_CHILDREN,WIDOWED,4,0,0,0,6.04,2.58,0,CABLE,NL,SOME,43,0.0,COASTAL_TOURISM
2023,EUHH2023001140,HU,CZ722,HOUSEHOLDER,COUPLE_WITH_CHILDREN,SINGLE,5,4,0,0,37.56,1.39,4,FIBER,GA,NONE,44,354.3,URBAN_HIGH_INCOME
2024,EUHH2024001141,IT,SK893,PARENT,COUPLE_WITH_CHILDREN,DIVORCED,6,0,0,0,32.94,1.93,2,DSL,SV,SEVERE,68,0.0,URBAN_MIXED
2025,EUHH2025001142,LT,LT780,SPOUSE,COUPLE_WITH_CHILDREN,REGISTERED_PARTNERSHIP,7,5,1,0,53.69,2.37,2,MOBILE,MT,SOME,78,94.52,RURAL_LOW_DENSITY
2026,EUHH2026001143,MT,HR71,OTHER,COUPLE_WITH_CHILDREN,MARRIED,8,4,0,0,54.8,2.3,3,NONE,FI,NONE,25,357.31,RURAL_AGRI
