trans_urban_reference_year,trans_urban_city_id,trans_urban_country_iso2,trans_urban_population_city,trans_urban_modal_share_public_transport_pct,trans_urban_modal_share_car_pct,trans_urban_modal_share_walk_pct,trans_urban_modal_share_bike_pct,trans_urban_pt_service_km_per_capita,trans_urban_pt_fare_affordability_index,trans_urban_bike_lane_km,trans_urban_shared_mobility_trips_per_capita,trans_urban_vision_zero_policy_flag,trans_urban_zero_emission_bus_share_pct,trans_urban_air_quality_low_emission_zone_flag,trans_urban_urban_logistics_plan_flag,trans_urban_congestion_charge_flag,trans_urban_data_source,trans_urban_data_quality_flag,trans_urban_data_extract_date
2016,GR_CITY_471,GR,7797988,22.52,33.88,30.85,12.75,12.155,1.4706,888.31,68.66,0,44.5,1,0,1,NATIONAL_URBAN_STAT,1,2024-07-02
2017,MT_CITY_472,MT,843534,39.35,26.46,16.95,17.24,54.254,1.4467,3396.43,20.3,0,39.71,1,0,0,CITY_MOBILITY_SURVEY,1,2024-11-07
2018,ES_CITY_473,ES,3189107,33.92,45.77,14.17,6.14,32.589,0.6859,1481.81,165.25,1,6.28,1,1,0,URBAN_AUDIT,1,2024-11-12
2019,CZ_CITY_474,CZ,8868089,27.94,20.55,37.94,13.57,79.866,1.1239,3456.84,226.23,1,21.27,1,0,0,MODEL_ESTIMATE,1,2024-01-14
2020,HU_CITY_475,HU,404060,26.28,28.02,14.41,20.74,77.81,0.9493,649.41,176.81,1,110.47,1,0,0,NATIONAL_URBAN_STAT,1,2024-02-01
2021,NL_CITY_476,NL,8411871,10.82,23.9,24.41,4.66,40.318,1.6491,2317.25,128.55,1,19.12,0,0,0,CITY_MOBILITY_SURVEY,1,2025-12-31
2022,SE_CITY_477,SE,8188288,24.92,37.41,20.21,17.46,9.335,0.4393,1237.01,8.43,1,92.86,1,1,1,URBAN_AUDIT,1,2025-04-02
2023,DK_CITY_478,DK,9463658,7.29,62.28,11.98,18.45,44.328,1.6238,148.0,145.19,0,57.95,1,1,0,MODEL_ESTIMATE,1,2025-02-10
2024,IE_CITY_479,IE,5932552,37.98,29.75,11.72,20.55,42.165,0.7928,433.21,159.52,0,32.5,0,1,0,NATIONAL_URBAN_STAT,0,2025-07-03
2025,PL_CITY_480,PL,3352127,46.27,25.47,20.2,8.06,63.9,1.3179,566.51,187.24,0,50.12,0,0,0,CITY_MOBILITY_SURVEY,1,2024-03-14
2006,AT_CITY_481,AT,8511425,9.07,58.38,32.09,0.46,26.286,1.0824,1400.66,96.28,0,46.45,0,0,0,URBAN_AUDIT,1,2025-05-10
2007,EE_CITY_482,EE,6673644,8.05,26.99,9.22,12.59,42.581,1.5772,473.57,71.13,0,46.87,0,0,0,MODEL_ESTIMATE,1,2025-06-25
2008,IT_CITY_483,IT,1037696,24.85,41.28,19.38,14.49,7.528,0.741,1624.66,32.54,0,31.32,1,1,0,NATIONAL_URBAN_STAT,1,2024-11-15
2009,PT_CITY_484,PT,8098452,8.07,59.28,18.91,13.74,41.488,0.4567,3465.26,66.04,0,55.12,0,0,0,CITY_MOBILITY_SURVEY,1,2026-01-25
2010,BE_CITY_485,BE,10848073,56.63,15.37,21.64,6.36,49.382,1.0681,175.26,127.93,0,29.0,1,0,0,URBAN_AUDIT,1,2024-01-27
2011,FI_CITY_486,FI,2216986,42.55,40.36,10.97,6.12,12.275,0.7124,2215.98,101.63,0,43.57,0,0,0,MODEL_ESTIMATE,1,2024-11-04
2012,LV_CITY_487,LV,5851569,12.84,20.76,23.7,19.81,15.329,1.1264,1179.97,46.01,0,31.3,0,1,1,NATIONAL_URBAN_STAT,1,2025-10-24
2013,RO_CITY_488,RO,7960710,13.44,18.35,36.43,19.1,13.351,1.3052,2334.9,9.03,1,41.31,0,0,1,CITY_MOBILITY_SURVEY,1,2025-03-17
2014,BG_CITY_489,BG,10278130,29.02,30.32,40.22,0.44,76.224,1.2663,670.49,40.81,1,16.04,0,0,0,URBAN_AUDIT,0,2025-01-03
2015,FR_CITY_490,FR,5394795,45.84,9.93,25.64,18.59,31.789,0.7203,2.02,78.43,1,11.84,1,1,0,MODEL_ESTIMATE,1,2025-12-03
2016,LT_CITY_491,LT,144972,49.2,21.32,29.05,0.43,11.067,1.5053,2226.07,80.35,0,34.47,1,0,0,NATIONAL_URBAN_STAT,1,2025-05-01
2017,SK_CITY_492,SK,1580664,35.23,32.69,23.69,8.39,40.911,1.1611,336.68,116.74,0,28.31,0,1,1,CITY_MOBILITY_SURVEY,1,2024-06-21
2018,HR_CITY_493,HR,4211709,30.76,49.3,19.58,0.36,52.637,1.1489,422.74,48.96,0,27.26,0,1,0,URBAN_AUDIT,1,2025-10-13
2019,DE_CITY_494,DE,11456821,35.06,37.25,27.38,0.31,37.946,1.385,1606.57,99.77,0,8.94,0,0,0,MODEL_ESTIMATE,1,2024-06-06
2020,LU_CITY_495,LU,12357774,20.02,34.93,30.3,14.75,54.189,1.1015,1175.37,219.16,1,82.77,1,1,0,NATIONAL_URBAN_STAT,0,2024-03-22
2021,SI_CITY_496,SI,3552114,38.36,43.68,9.73,8.23,75.801,1.0566,308.06,61.39,1,17.71,1,1,0,CITY_MOBILITY_SURVEY,1,2026-02-21
2022,CY_CITY_497,CY,8725860,29.65,47.23,20.75,2.37,80.478,1.2194,463.17,179.84,0,9.34,0,1,0,URBAN_AUDIT,1,2025-03-20
2023,GR_CITY_498,GR,3126947,36.15,35.5,20.09,8.26,3.7,0.69,646.69,185.4,0,19.54,0,0,0,MODEL_ESTIMATE,1,2024-01-22
2024,MT_CITY_499,MT,7577027,38.52,30.0,28.41,3.07,23.064,0.5815,1358.89,146.45,0,44.92,1,0,0,NATIONAL_URBAN_STAT,1,2025-02-27
2025,ES_CITY_500,ES,13483310,36.46,31.25,19.21,13.08,82.692,0.4506,3357.2,212.04,0,6.91,1,0,0,CITY_MOBILITY_SURVEY,0,2024-01-19
2006,CZ_CITY_501,CZ,8319977,30.96,30.04,26.19,12.81,79.137,0.9664,2958.41,29.98,0,41.59,1,0,0,URBAN_AUDIT,1,2025-09-16
2007,HU_CITY_502,HU,6637681,18.53,40.72,25.65,15.1,70.275,1.006,3374.27,106.11,1,11.64,0,0,0,MODEL_ESTIMATE,1,2024-01-28
2008,NL_CITY_503,NL,7984597,45.98,28.41,25.18,0.43,3.779,0.921,885.41,71.57,1,23.46,0,0,0,NATIONAL_URBAN_STAT,1,2024-09-27
2009,SE_CITY_504,SE,7409227,29.83,14.42,42.03,2.63,53.823,1.0904,650.55,131.0,0,23.45,0,1,0,CITY_MOBILITY_SURVEY,1,2024-03-13
2010,DK_CITY_505,DK,2396397,17.76,44.06,27.22,10.96,34.213,1.4472,1155.23,69.32,0,17.64,1,1,0,URBAN_AUDIT,1,2026-02-12
2011,IE_CITY_506,IE,6961238,17.92,35.83,35.63,10.62,84.273,1.203,298.65,87.39,0,19.95,0,1,0,MODEL_ESTIMATE,1,2024-01-01
2012,PL_CITY_507,PL,5090527,20.76,19.49,18.23,19.27,60.797,1.3638,1873.52,142.64,1,10.49,0,1,0,NATIONAL_URBAN_STAT,1,2024-08-06
2013,AT_CITY_508,AT,6141125,48.5,40.09,6.41,5.0,69.938,1.5961,1145.54,104.99,1,17.34,1,0,0,CITY_MOBILITY_SURVEY,1,2024-03-29
2014,EE_CITY_509,EE,3455501,20.79,41.33,29.88,7.4,11.009,0.5977,2375.28,53.72,1,53.32,0,0,0,URBAN_AUDIT,1,2024-10-18
2015,IT_CITY_510,IT,2441257,28.44,16.11,37.48,17.97,15.664,1.2664,789.81,26.79,0,2.49,0,1,0,MODEL_ESTIMATE,1,2025-07-30
2016,PT_CITY_511,PT,5036444,23.84,40.18,23.09,12.89,78.897,0.5093,30.43,13.06,0,3.43,1,0,0,NATIONAL_URBAN_STAT,1,2025-09-04
2017,BE_CITY_512,BE,998986,39.57,36.55,13.28,10.6,83.99,1.1702,616.82,66.11,0,36.39,1,0,0,CITY_MOBILITY_SURVEY,1,2025-10-28
2018,FI_CITY_513,FI,5201549,36.89,43.74,5.08,14.29,18.328,0.8306,218.65,4.76,0,2.7,0,0,0,URBAN_AUDIT,0,2025-03-24
2019,LV_CITY_514,LV,9796829,19.63,12.07,14.12,5.5,12.715,0.671,2205.31,212.44,0,41.6,0,1,1,MODEL_ESTIMATE,1,2024-02-12
2020,RO_CITY_515,RO,12991019,21.04,29.4,26.67,7.26,5.714,0.9101,2257.17,42.28,0,111.66,0,1,0,NATIONAL_URBAN_STAT,1,2024-09-07
2021,BG_CITY_516,BG,1991929,39.56,13.55,9.67,13.74,66.678,1.275,3063.46,70.47,1,63.75,0,0,0,CITY_MOBILITY_SURVEY,1,2024-07-02
2022,FR_CITY_517,FR,3424217,24.25,35.1,16.99,23.66,36.552,0.6171,679.65,136.61,0,8.18,1,1,1,URBAN_AUDIT,1,2024-10-22
2023,LT_CITY_518,LT,2894509,30.26,43.34,25.96,0.44,51.414,0.6456,2171.48,158.96,0,35.71,1,0,1,MODEL_ESTIMATE,1,2025-09-26
2024,SK_CITY_519,SK,7331318,20.92,42.01,9.89,14.37,40.337,1.2212,2844.01,235.75,1,98.29,1,0,0,NATIONAL_URBAN_STAT,1,2024-07-27
2025,HR_CITY_520,HR,10259174,36.33,29.59,30.11,3.97,39.763,0.7447,55.99,261.12,0,23.45,1,1,1,CITY_MOBILITY_SURVEY,1,2024-08-15
2006,DE_CITY_521,DE,3149695,29.87,32.1,25.54,12.49,67.564,0.7647,2016.22,0.23,0,55.45,0,1,1,URBAN_AUDIT,1,2024-08-31
2007,LU_CITY_522,LU,10231395,29.25,22.55,33.52,14.68,23.88,1.3556,3238.13,31.08,0,4.8,1,0,0,MODEL_ESTIMATE,1,2024-05-02
2008,SI_CITY_523,SI,11039664,41.69,19.43,25.76,13.12,44.268,1.5915,2088.53,35.52,0,12.28,1,0,0,NATIONAL_URBAN_STAT,1,2025-08-19
2009,CY_CITY_524,CY,2910596,36.71,13.55,35.38,14.36,45.727,0.4404,376.29,73.72,0,14.76,1,0,0,CITY_MOBILITY_SURVEY,1,2026-02-03
2010,GR_CITY_525,GR,394581,31.2,28.86,28.86,11.08,25.815,0.8241,213.07,40.31,0,42.37,0,0,0,URBAN_AUDIT,1,2025-08-03
2011,MT_CITY_526,MT,5552494,51.0,17.51,17.59,13.9,13.909,0.3533,2784.57,68.32,0,16.1,1,0,0,MODEL_ESTIMATE,1,2025-05-07
2012,ES_CITY_527,ES,2062551,40.1,29.58,11.58,18.74,20.744,0.3907,713.16,132.23,1,53.59,1,0,0,NATIONAL_URBAN_STAT,1,2024-06-23
2013,CZ_CITY_528,CZ,324062,21.09,37.95,37.24,3.72,0.701,1.5551,1832.74,18.93,1,1.64,1,0,0,CITY_MOBILITY_SURVEY,1,2026-01-19
2014,HU_CITY_529,HU,5234135,19.92,37.78,12.67,6.52,46.571,0.6116,22.97,8.41,0,32.72,0,0,0,URBAN_AUDIT,1,2024-02-14
2015,NL_CITY_530,NL,3903987,33.22,17.5,32.13,17.15,46.707,1.2068,304.62,103.31,0,29.1,1,1,1,MODEL_ESTIMATE,1,2024-08-21
2016,SE_CITY_531,SE,4196210,25.02,31.67,28.05,13.76,44.887,1.427,258.5,119.11,1,16.54,1,1,0,NATIONAL_URBAN_STAT,1,2024-08-27
2017,DK_CITY_532,DK,7985870,28.07,56.6,14.94,0.39,19.038,0.6724,754.59,28.62,0,34.43,1,1,0,CITY_MOBILITY_SURVEY,1,2025-05-30
2018,IE_CITY_533,IE,10323226,17.62,18.74,21.65,41.99,34.403,1.18,172.1,117.42,1,34.79,1,0,0,URBAN_AUDIT,1,2025-07-23
2019,PL_CITY_534,PL,7476189,26.86,17.03,42.96,13.15,42.631,0.72,199.73,268.6,1,2.52,0,0,0,MODEL_ESTIMATE,1,2024-09-21
2020,AT_CITY_535,AT,6672664,22.43,48.65,23.2,5.72,19.074,1.4714,973.69,47.21,1,59.74,0,1,0,NATIONAL_URBAN_STAT,1,2024-02-05
2021,EE_CITY_536,EE,4738527,7.99,52.82,37.25,1.94,82.736,0.4406,543.81,243.29,1,47.22,0,1,1,CITY_MOBILITY_SURVEY,0,2024-09-03
2022,IT_CITY_537,IT,331669,21.09,37.96,30.87,10.08,10.953,1.2524,321.08,255.36,0,56.01,1,0,1,URBAN_AUDIT,1,2024-01-26
2023,PT_CITY_538,PT,5188480,41.02,35.0,23.63,0.35,6.662,0.5237,2059.39,103.93,0,37.18,0,1,0,MODEL_ESTIMATE,1,2024-07-28
2024,BE_CITY_539,BE,5777425,39.28,39.5,20.87,0.35,79.627,1.0867,842.69,144.77,1,87.64,0,0,0,NATIONAL_URBAN_STAT,1,2025-12-29
2025,FI_CITY_540,FI,11358423,12.31,24.48,25.39,11.74,24.658,0.9044,299.01,157.81,1,68.15,1,0,0,CITY_MOBILITY_SURVEY,1,2024-09-23
2006,LV_CITY_541,LV,5995396,51.22,13.94,24.01,10.83,15.5,0.4725,1973.04,0.67,0,46.39,1,0,0,URBAN_AUDIT,1,2025-12-08
2007,RO_CITY_542,RO,9960428,28.77,21.1,30.63,19.5,69.184,1.4408,1326.15,135.32,0,46.55,0,0,0,MODEL_ESTIMATE,1,2025-06-01
2008,BG_CITY_543,BG,6983416,28.83,43.35,26.49,1.33,71.426,1.4697,1552.36,140.89,0,29.66,1,0,0,NATIONAL_URBAN_STAT,1,2025-10-22
2009,FR_CITY_544,FR,2463691,25.99,19.86,37.16,1.94,21.793,0.9697,1751.27,117.48,1,43.22,0,1,0,CITY_MOBILITY_SURVEY,1,2025-10-21
2010,LT_CITY_545,LT,9188422,21.01,62.9,15.09,1.0,77.735,0.5869,2224.03,110.78,0,0.24,0,1,0,URBAN_AUDIT,1,2025-11-17
2011,SK_CITY_546,SK,8005876,20.43,42.07,32.51,4.99,8.827,0.7467,2063.55,116.62,1,16.33,1,1,0,MODEL_ESTIMATE,1,2024-04-06
2012,HR_CITY_547,HR,970979,45.84,21.1,17.41,15.65,41.614,0.6353,186.92,17.74,0,52.32,1,0,0,NATIONAL_URBAN_STAT,1,2024-07-31
2013,DE_CITY_548,DE,5340683,30.53,40.06,24.25,5.16,65.749,0.9162,913.39,113.98,1,47.91,0,1,0,CITY_MOBILITY_SURVEY,1,2025-02-02
2014,LU_CITY_549,LU,11035083,17.51,39.15,24.7,18.64,7.59,1.1152,799.09,17.93,1,50.96,1,0,1,URBAN_AUDIT,1,2024-04-14
2015,SI_CITY_550,SI,7170651,30.22,14.64,37.1,1.52,27.928,0.3909,676.31,114.09,1,40.49,1,1,1,MODEL_ESTIMATE,1,2024-01-11
2016,CY_CITY_551,CY,1237773,21.3,62.84,15.37,0.49,9.787,1.5242,1290.52,88.24,1,25.58,1,0,0,NATIONAL_URBAN_STAT,1,2025-03-28
2017,GR_CITY_552,GR,8684192,20.99,46.48,28.66,3.87,15.979,1.1452,1680.4,73.62,1,3.62,1,0,0,CITY_MOBILITY_SURVEY,0,2025-04-03
2018,MT_CITY_553,MT,2155869,10.58,48.85,9.61,30.96,64.355,1.2789,2570.53,18.54,0,9.04,1,0,1,URBAN_AUDIT,1,2025-05-05
2019,ES_CITY_554,ES,7205761,32.69,46.41,8.76,12.14,15.503,1.1473,211.7,181.49,0,5.57,1,0,0,MODEL_ESTIMATE,1,2025-05-30
2020,CZ_CITY_555,CZ,4705860,43.5,48.65,7.5,0.35,40.834,0.555,511.14,231.5,0,22.65,1,0,1,NATIONAL_URBAN_STAT,1,2025-03-19
2021,HU_CITY_556,HU,4834366,36.24,13.84,24.54,17.6,66.974,1.1245,2418.3,70.52,0,86.31,1,0,0,CITY_MOBILITY_SURVEY,1,2024-12-01
2022,NL_CITY_557,NL,3720578,13.25,48.56,18.77,19.42,22.872,0.7755,2328.63,80.0,0,18.46,0,1,0,URBAN_AUDIT,1,2025-07-25
2023,SE_CITY_558,SE,1831967,22.8,20.34,41.34,15.52,0.544,0.4463,397.39,179.92,1,30.04,0,0,1,MODEL_ESTIMATE,1,2024-03-13
2024,DK_CITY_559,DK,3524137,28.8,30.89,23.09,17.22,72.886,1.0129,103.29,151.35,1,58.34,0,0,0,NATIONAL_URBAN_STAT,1,2025-06-23
2025,IE_CITY_560,IE,2757573,50.04,11.99,37.54,0.43,71.688,0.6987,953.86,214.45,1,76.89,0,0,0,CITY_MOBILITY_SURVEY,0,2024-07-25
2006,PL_CITY_561,PL,4273848,37.16,41.96,19.93,0.95,16.452,1.138,384.32,94.65,1,29.3,0,0,0,URBAN_AUDIT,1,2024-10-17
2007,AT_CITY_562,AT,2924699,12.05,34.32,35.82,17.81,77.896,0.6811,575.79,82.99,1,27.35,1,0,1,MODEL_ESTIMATE,1,2025-11-19
2008,EE_CITY_563,EE,3311021,51.84,32.17,15.57,0.42,13.806,0.4147,1236.71,96.11,1,18.54,1,1,0,NATIONAL_URBAN_STAT,1,2025-10-13
2009,IT_CITY_564,IT,854594,42.15,51.42,6.07,0.36,47.555,0.3633,2114.79,32.86,1,37.37,0,0,0,CITY_MOBILITY_SURVEY,1,2025-10-24
2010,PT_CITY_565,PT,8672463,13.18,25.53,44.9,16.39,0.676,0.9905,1451.88,52.9,0,14.13,1,0,0,URBAN_AUDIT,1,2024-06-16
2011,BE_CITY_566,BE,6796779,32.79,37.76,26.26,3.19,34.2,0.557,351.64,3.78,0,2.94,0,0,0,MODEL_ESTIMATE,1,2025-06-22
2012,FI_CITY_567,FI,7102795,24.58,44.61,30.37,0.44,19.727,1.085,180.01,69.14,0,44.44,1,0,0,NATIONAL_URBAN_STAT,1,2025-06-25
2013,LV_CITY_568,LV,1368310,19.21,51.53,16.97,12.29,69.533,0.7268,2007.6,24.82,1,38.47,0,0,0,CITY_MOBILITY_SURVEY,1,2024-03-05
2014,RO_CITY_569,RO,1632133,25.36,15.78,28.43,30.43,65.206,0.6813,1944.8,10.12,0,42.78,0,0,0,URBAN_AUDIT,1,2025-12-19
2015,BG_CITY_570,BG,6901177,22.36,65.27,6.27,6.1,9.07,0.939,1477.56,18.73,1,8.52,1,0,0,MODEL_ESTIMATE,1,2024-05-13
2016,FR_CITY_571,FR,7468899,12.72,49.68,22.8,14.8,22.924,0.6114,3412.94,63.83,1,31.36,0,1,1,NATIONAL_URBAN_STAT,1,2026-01-20
2017,LT_CITY_572,LT,5582665,43.55,28.54,11.35,16.56,23.894,1.4608,971.62,45.64,0,33.14,0,1,1,CITY_MOBILITY_SURVEY,1,2025-11-08
2018,SK_CITY_573,SK,7388022,16.28,32.21,30.32,6.28,74.713,1.0718,1277.15,227.18,0,13.52,0,0,0,URBAN_AUDIT,1,2025-12-31
2019,HR_CITY_574,HR,9124139,12.57,23.82,47.01,16.6,46.948,0.3652,225.86,38.47,1,45.75,0,0,0,MODEL_ESTIMATE,1,2025-08-30
2020,DE_CITY_575,DE,1481648,25.92,59.6,11.94,2.54,43.066,0.3999,1476.29,80.63,0,91.57,0,1,0,NATIONAL_URBAN_STAT,1,2024-08-14
2021,LU_CITY_576,LU,676302,9.45,48.12,33.27,9.16,21.849,1.5888,1416.34,78.94,1,79.3,0,0,0,CITY_MOBILITY_SURVEY,1,2024-08-19
2022,SI_CITY_577,SI,6740588,33.62,44.66,9.36,12.36,11.01,0.4132,311.07,168.08,1,108.87,1,0,0,URBAN_AUDIT,1,2026-02-19
2023,CY_CITY_578,CY,8926198,29.61,50.62,11.45,4.63,22.372,0.6696,200.46,220.72,0,72.98,0,0,0,MODEL_ESTIMATE,1,2025-06-06
2024,GR_CITY_579,GR,11938382,23.17,36.26,30.0,10.57,31.757,0.5934,610.29,209.03,0,38.89,0,0,0,NATIONAL_URBAN_STAT,1,2025-05-22
2025,MT_CITY_580,MT,6155030,8.66,52.93,20.33,18.08,57.579,1.297,2024.8,259.3,1,30.54,1,0,1,CITY_MOBILITY_SURVEY,0,2024-11-23
2006,ES_CITY_581,ES,3626859,9.95,21.68,40.7,21.69,77.23,0.7339,636.48,45.58,1,11.26,0,0,1,URBAN_AUDIT,1,2025-08-11
2007,CZ_CITY_582,CZ,7042361,35.56,45.09,18.92,0.43,19.278,1.0383,373.04,114.25,1,41.93,0,0,0,MODEL_ESTIMATE,1,2024-12-30
2008,HU_CITY_583,HU,1165023,18.96,49.43,19.59,12.02,1.24,0.5292,206.69,62.1,0,24.33,1,1,0,NATIONAL_URBAN_STAT,1,2025-07-11
2009,NL_CITY_584,NL,4109763,10.94,58.29,14.25,16.52,43.596,0.6018,1839.88,99.28,1,5.02,0,0,0,CITY_MOBILITY_SURVEY,1,2024-10-27
2010,SE_CITY_585,SE,11574935,28.78,45.92,14.4,10.9,41.638,1.1311,1475.19,85.4,0,10.18,1,0,0,URBAN_AUDIT,1,2024-11-02
2011,DK_CITY_586,DK,7859524,16.98,44.6,33.68,4.74,71.156,1.0677,12.18,130.11,0,11.75,0,0,0,MODEL_ESTIMATE,1,2024-05-29
2012,IE_CITY_587,IE,8104716,11.38,24.23,38.56,17.66,25.769,0.3793,1500.41,102.39,0,13.92,0,1,0,NATIONAL_URBAN_STAT,1,2024-06-01
2013,PL_CITY_588,PL,1258546,39.17,13.23,23.49,20.28,15.859,1.4396,2432.61,25.81,0,7.02,1,0,1,CITY_MOBILITY_SURVEY,1,2024-12-03
2014,AT_CITY_589,AT,2817520,17.78,42.97,30.72,8.53,67.188,0.7377,739.43,52.01,0,12.1,0,0,0,URBAN_AUDIT,1,2025-11-23
2015,EE_CITY_590,EE,10218170,25.67,47.69,17.51,9.13,66.508,1.5207,687.35,51.27,0,39.72,0,0,0,MODEL_ESTIMATE,1,2025-10-03
2016,IT_CITY_591,IT,4786378,30.47,18.92,24.37,4.4,69.747,1.0398,1160.0,112.43,1,14.44,0,1,0,NATIONAL_URBAN_STAT,1,2024-07-08
2017,PT_CITY_592,PT,1889448,9.36,15.67,26.91,16.71,29.451,1.2313,114.5,44.26,0,44.39,0,0,0,CITY_MOBILITY_SURVEY,1,2024-07-03
2018,BE_CITY_593,BE,1251350,30.66,25.42,26.91,17.01,59.325,1.4052,753.46,184.61,0,49.51,1,1,0,URBAN_AUDIT,1,2024-04-21
2019,FI_CITY_594,FI,974426,8.66,49.91,11.94,29.49,54.643,0.5553,1372.72,58.02,1,47.53,0,1,0,MODEL_ESTIMATE,1,2024-08-01
2020,LV_CITY_595,LV,5699256,16.34,37.66,6.52,4.47,51.936,0.7484,179.45,109.94,1,41.89,0,0,0,NATIONAL_URBAN_STAT,1,2024-01-24
2021,RO_CITY_596,RO,4079320,19.0,47.48,14.67,18.85,61.694,0.927,1851.96,212.37,0,34.15,0,0,0,CITY_MOBILITY_SURVEY,1,2024-11-01
2022,BG_CITY_597,BG,10749709,18.69,44.07,33.36,3.88,77.855,0.6054,52.61,13.22,1,6.38,0,0,0,URBAN_AUDIT,1,2024-06-09
2023,FR_CITY_598,FR,2170434,46.41,23.58,21.4,8.61,31.985,1.1672,144.76,90.68,1,30.42,1,0,0,MODEL_ESTIMATE,1,2024-05-07
2024,LT_CITY_599,LT,2451654,16.44,41.48,8.73,8.8,66.156,1.3286,1391.49,84.68,0,59.36,0,0,0,NATIONAL_URBAN_STAT,0,2025-04-20
2025,SK_CITY_600,SK,3046668,21.25,42.96,35.41,0.38,72.334,0.9097,1942.36,69.35,1,90.97,1,0,0,CITY_MOBILITY_SURVEY,1,2024-07-02
2006,HR_CITY_001,HR,3804299,21.29,45.33,7.03,18.12,56.832,0.479,1596.43,66.72,1,19.81,0,1,1,URBAN_AUDIT,1,2024-07-31
2007,DE_CITY_002,DE,2669534,29.8,44.78,9.42,16.0,5.308,0.3779,929.11,81.16,1,41.54,1,0,0,MODEL_ESTIMATE,0,2025-02-21
2008,LU_CITY_003,LU,4669711,35.81,45.5,12.41,6.28,25.091,0.3933,1340.26,10.23,1,14.47,1,0,0,NATIONAL_URBAN_STAT,1,2024-12-31
2009,SI_CITY_004,SI,1681082,31.04,30.02,27.31,11.63,6.423,1.1746,1206.75,18.57,0,37.52,0,1,0,CITY_MOBILITY_SURVEY,0,2024-08-01
2010,CY_CITY_005,CY,2213859,14.16,18.95,30.04,36.85,82.714,0.4607,91.93,40.07,0,10.94,0,1,0,URBAN_AUDIT,1,2025-08-08
2011,GR_CITY_006,GR,5795669,23.15,40.58,27.44,8.83,12.116,1.397,1166.25,67.45,0,38.0,0,0,0,MODEL_ESTIMATE,1,2024-07-22
2012,MT_CITY_007,MT,3602684,33.53,37.75,21.29,7.43,34.37,1.0863,1082.41,54.32,0,54.02,0,0,0,NATIONAL_URBAN_STAT,1,2024-03-01
2013,ES_CITY_008,ES,13196521,36.0,24.55,23.18,16.27,53.173,1.2028,2591.43,80.09,0,40.43,1,1,0,CITY_MOBILITY_SURVEY,1,2024-04-12
2014,CZ_CITY_009,CZ,8629397,26.86,41.14,23.45,8.55,30.071,1.2838,1157.46,65.7,0,25.3,0,1,0,URBAN_AUDIT,1,2026-02-15
2015,HU_CITY_010,HU,3224606,20.57,33.45,10.33,35.65,80.274,1.6361,2116.7,79.68,1,18.69,0,1,1,MODEL_ESTIMATE,1,2025-07-20
2016,NL_CITY_011,NL,2982192,34.55,28.14,29.38,7.93,10.217,1.3304,616.88,30.23,0,46.25,1,0,0,NATIONAL_URBAN_STAT,1,2024-03-10
2017,SE_CITY_012,SE,6497631,25.86,38.61,24.87,10.66,6.306,0.6419,198.63,102.73,1,33.52,1,0,0,CITY_MOBILITY_SURVEY,1,2025-05-29
2018,DK_CITY_013,DK,7287406,24.7,45.78,22.94,6.58,80.101,0.4781,335.28,86.18,0,43.93,1,1,0,URBAN_AUDIT,1,2024-01-26
2019,IE_CITY_014,IE,258690,30.42,33.14,25.66,10.78,26.275,0.9574,654.42,63.14,0,53.12,0,1,1,MODEL_ESTIMATE,1,2025-06-25
2020,PL_CITY_015,PL,382162,33.22,29.37,22.62,14.79,70.413,0.9517,3284.46,267.68,1,88.12,1,0,0,NATIONAL_URBAN_STAT,1,2025-10-07
2021,AT_CITY_016,AT,2206772,22.01,44.43,31.52,2.04,12.367,0.5615,647.34,146.87,0,23.94,1,0,0,CITY_MOBILITY_SURVEY,1,2024-01-21
2022,EE_CITY_017,EE,11806635,26.19,15.51,15.5,1.96,27.97,0.9404,1709.95,130.29,1,104.18,0,1,0,URBAN_AUDIT,1,2024-02-27
2023,IT_CITY_018,IT,3674012,33.98,34.04,13.64,18.34,8.798,0.8342,3428.05,224.74,1,83.67,0,0,0,MODEL_ESTIMATE,1,2025-11-25
2024,PT_CITY_019,PT,3800131,19.22,19.04,20.64,16.86,33.681,0.8185,1770.29,174.76,0,42.34,0,1,0,NATIONAL_URBAN_STAT,1,2025-04-12
2025,BE_CITY_020,BE,1364403,22.36,24.38,20.3,5.26,80.044,1.0349,780.18,136.93,0,38.88,0,1,1,CITY_MOBILITY_SURVEY,1,2024-03-24
2006,FI_CITY_021,FI,1406355,34.61,38.25,26.79,0.35,20.576,1.1322,850.97,81.95,1,56.84,1,1,0,URBAN_AUDIT,1,2024-07-08
2007,LV_CITY_022,LV,6516715,36.82,29.24,33.48,0.46,1.692,1.5425,1291.5,38.83,1,33.45,0,1,1,MODEL_ESTIMATE,1,2025-06-27
2008,RO_CITY_023,RO,3523409,43.55,37.15,18.94,0.36,62.139,0.9145,178.81,37.27,0,0.02,1,0,1,NATIONAL_URBAN_STAT,1,2025-01-14
2009,BG_CITY_024,BG,9108882,29.93,41.3,9.29,19.48,37.794,1.2069,853.67,49.92,0,28.57,1,0,0,CITY_MOBILITY_SURVEY,1,2025-02-13
2010,FR_CITY_025,FR,4297890,18.93,52.54,11.03,8.64,20.508,0.627,1791.86,130.35,0,15.61,0,1,0,URBAN_AUDIT,0,2025-09-04
2011,LT_CITY_026,LT,8307099,22.07,50.46,26.98,0.49,46.237,1.2974,966.8,52.39,0,53.33,1,1,0,MODEL_ESTIMATE,0,2026-01-11
