agri_crops_harvest_year,agri_crops_country_iso2,agri_crops_region_nuts_code,agri_crops_crop_code,agri_crops_area_harvested_ha,agri_crops_production_tonnes,agri_crops_yield_t_per_ha,agri_crops_irrigated_area_ha,agri_crops_input_fertiliser_kg_per_ha,agri_crops_input_pesticide_kg_per_ha,agri_crops_seed_type_code,agri_crops_gmo_flag,agri_crops_extreme_weather_event_code,agri_crops_soil_moisture_index,agri_crops_market_price_eur_per_t,agri_crops_storage_capacity_tonnes,agri_crops_supply_chain_disruption_flag,agri_crops_eurostat_table_code,agri_crops_methodology_version,agri_crops_data_extract_date
2012,SE,IE14,BARLEY,182.51,913.1,5.003,115.67,81.77,4.777,DROUGHT_TOLERANT,0,STORM,0.151,936.19,1594.57,0,aei_pr_gnb,CROPS_2024C,2024-01-26
2013,DK,BG907,POTATO,254.9,4593.81,18.022,120.2,151.43,2.915,CERTIFIED,0,HEATWAVE,0.5378,240.89,8666.5,0,apro_cpshr,CROPS_2023B,2024-01-19
2014,IE,SE33,OATS,197.74,859.97,4.349,117.62,135.69,6.499,ORGANIC,0,NONE,0.5281,225.96,1764.16,0,apro_cpnh1,CROPS_2022A,2025-08-11
2015,PL,CY36,RAPESEED,388.39,1086.33,2.797,52.14,180.81,6.871,CONVENTIONAL,0,HAIL,0.8181,96.0,2204.46,0,apro_cpsh1,CROPS_2025D,2024-05-01
2016,AT,DE538,OLIVES,344.48,780.25,2.265,200.39,226.41,3.207,HYBRID,0,FLOOD,0.6003,794.1,1232.31,0,prc_hicp_midx,CROPS_2024C,2024-09-19
2017,EE,LU66,WHEAT,785.7,2546.45,3.241,150.49,73.11,1.553,DROUGHT_TOLERANT,0,WILDFIRE,0.8131,892.15,2201.41,0,aei_pr_gnb,CROPS_2023B,2024-07-13
2018,IT,MT648,SUGAR_BEET,756.56,30943.3,40.9,260.87,39.35,3.141,CERTIFIED,0,FROST,0.279,173.48,66660.8,0,apro_cpshr,CROPS_2022A,2024-11-03
2019,PT,DE63,SOY,376.58,767.47,2.038,76.03,142.35,2.929,ORGANIC,0,DROUGHT,0.0953,355.86,1674.61,0,apro_cpnh1,CROPS_2025D,2025-06-13
2020,BE,BG301,MAIZE,405.8,3126.28,7.704,66.41,72.59,3.712,CONVENTIONAL,0,STORM,0.7353,893.25,2795.29,0,apro_cpsh1,CROPS_2024C,2025-03-31
2021,FI,FR64,TOMATO,1225.45,86555.98,70.632,408.06,119.63,1.568,HYBRID,0,HEATWAVE,0.2849,187.12,126584.64,0,prc_hicp_midx,CROPS_2023B,2024-07-25
2022,LV,CZ88,RYE,628.53,2691.99,4.283,53.0,205.12,5.775,DROUGHT_TOLERANT,0,NONE,0.6762,364.97,5157.73,0,aei_pr_gnb,CROPS_2022A,2025-02-09
2023,RO,HU19,SUNFLOWER,288.82,499.08,1.728,131.95,238.37,0.225,CERTIFIED,0,HAIL,0.5148,972.83,819.9,1,apro_cpshr,CROPS_2025D,2024-01-31
2024,BG,NL98,GRAPES,77.03,539.67,7.006,21.67,205.64,6.836,ORGANIC,0,FLOOD,0.1281,308.06,255.27,0,apro_cpnh1,CROPS_2024C,2024-06-23
2025,FR,ES39,BARLEY,207.55,466.99,2.25,129.37,221.26,3.937,CONVENTIONAL,0,WILDFIRE,0.0883,633.92,156.04,0,apro_cpsh1,CROPS_2023B,2024-07-22
2026,LT,IT675,POTATO,191.78,3798.59,19.807,93.71,62.56,3.612,HYBRID,0,FROST,0.6031,405.13,7023.03,0,prc_hicp_midx,CROPS_2022A,2025-04-17
2010,SK,SI8,OATS,686.02,1979.85,2.886,308.52,136.88,7.492,DROUGHT_TOLERANT,0,DROUGHT,0.9281,186.46,4230.03,0,aei_pr_gnb,CROPS_2025D,2024-01-28
2011,HR,DE528,RAPESEED,981.12,3044.42,3.103,335.11,219.58,3.105,CERTIFIED,0,STORM,0.4478,925.0,6325.79,0,apro_cpshr,CROPS_2024C,2024-11-20
2012,DE,FI63,OLIVES,849.56,961.7,1.132,106.78,67.14,5.801,ORGANIC,0,HEATWAVE,0.5039,604.99,293.27,0,apro_cpnh1,CROPS_2023B,2026-01-28
2013,LU,HU581,WHEAT,113.52,854.35,7.526,11.65,60.91,3.44,CONVENTIONAL,0,NONE,0.2865,486.86,395.08,0,apro_cpsh1,CROPS_2022A,2025-08-13
2014,SI,RO677,SUGAR_BEET,153.69,4976.02,32.377,21.79,92.78,1.815,HYBRID,0,HAIL,0.2949,423.63,6241.67,0,prc_hicp_midx,CROPS_2025D,2024-11-19
2015,CY,LT871,SOY,208.88,661.11,3.165,135.04,194.29,4.348,DROUGHT_TOLERANT,0,FLOOD,0.4963,550.6,1119.81,0,aei_pr_gnb,CROPS_2024C,2024-12-25
2016,GR,HR76,MAIZE,154.95,1260.36,8.134,10.36,76.74,5.151,CERTIFIED,0,WILDFIRE,0.5878,561.38,615.11,0,apro_cpshr,CROPS_2023B,2025-03-19
2017,MT,FR180,TOMATO,213.05,10762.01,50.514,62.47,137.49,1.341,ORGANIC,0,FROST,0.5802,145.24,24699.96,0,apro_cpnh1,CROPS_2022A,2025-05-02
2018,ES,HU7,RYE,141.8,523.1,3.689,88.86,128.03,4.831,CONVENTIONAL,0,DROUGHT,0.5619,643.29,552.88,0,apro_cpsh1,CROPS_2025D,2026-02-03
2019,CZ,CZ82,SUNFLOWER,329.46,818.05,2.483,69.86,218.38,6.213,HYBRID,0,STORM,0.1839,634.53,1760.13,0,prc_hicp_midx,CROPS_2024C,2026-01-07
2020,HU,SK91,GRAPES,147.52,1747.23,11.844,13.71,44.47,3.273,DROUGHT_TOLERANT,0,HEATWAVE,0.1272,198.2,3863.3,0,aei_pr_gnb,CROPS_2023B,2025-11-10
2021,NL,GR29,BARLEY,271.63,1046.59,3.853,145.07,138.07,2.117,CERTIFIED,0,NONE,0.2384,716.71,1757.71,0,apro_cpshr,CROPS_2022A,2024-11-01
2022,SE,LU68,POTATO,679.3,12524.25,18.437,344.59,148.16,4.967,ORGANIC,0,HAIL,0.7008,657.05,17666.33,0,apro_cpnh1,CROPS_2025D,2024-02-26
2023,DK,GR341,OATS,704.07,886.42,1.259,246.61,135.11,6.05,CONVENTIONAL,0,FLOOD,0.3567,358.1,360.32,0,apro_cpsh1,CROPS_2024C,2024-05-29
2024,IE,MT6,RAPESEED,245.83,457.0,1.859,12.56,32.29,2.941,HYBRID,0,WILDFIRE,0.4458,278.44,498.97,0,prc_hicp_midx,CROPS_2023B,2025-04-17
2025,PL,SE365,OLIVES,191.79,752.97,3.926,114.74,131.83,1.056,DROUGHT_TOLERANT,0,FROST,0.5557,460.2,1354.25,0,aei_pr_gnb,CROPS_2022A,2024-09-09
2026,AT,PT43,WHEAT,315.79,1176.0,3.724,139.5,27.86,4.268,CERTIFIED,0,DROUGHT,0.2453,717.96,2333.14,0,apro_cpshr,CROPS_2025D,2024-10-23
2010,EE,HU21,SUGAR_BEET,137.42,6427.55,46.773,79.65,211.25,2.782,ORGANIC,0,STORM,0.3149,428.22,4452.8,0,apro_cpnh1,CROPS_2024C,2025-02-28
2011,IT,RO12,SOY,237.83,415.25,1.746,132.46,166.79,5.091,CONVENTIONAL,1,HEATWAVE,0.5168,421.99,654.49,0,apro_cpsh1,CROPS_2023B,2025-08-22
2012,PT,ES655,MAIZE,221.96,1829.84,8.244,82.65,138.47,2.077,HYBRID,1,NONE,0.4792,889.42,3124.46,0,prc_hicp_midx,CROPS_2022A,2025-04-05
2013,BE,HU254,TOMATO,444.33,13550.73,30.497,126.32,236.76,0.209,DROUGHT_TOLERANT,0,HAIL,0.7475,557.53,7527.05,0,aei_pr_gnb,CROPS_2025D,2025-05-30
2014,FI,AT4,RYE,509.28,2474.08,4.858,125.02,145.28,5.445,CERTIFIED,0,FLOOD,0.1709,955.26,1587.2,0,apro_cpshr,CROPS_2024C,2024-04-29
2015,LV,AT58,SUNFLOWER,1659.76,2109.55,1.271,451.03,175.03,2.508,ORGANIC,0,WILDFIRE,0.5144,951.72,705.18,0,apro_cpnh1,CROPS_2023B,2024-08-09
2016,RO,BE633,GRAPES,581.91,3040.48,5.225,38.79,147.11,3.26,CONVENTIONAL,0,FROST,0.4857,766.98,5646.6,0,apro_cpsh1,CROPS_2022A,2025-12-05
2017,BG,SI800,BARLEY,476.4,2369.61,4.974,169.23,197.68,0.831,HYBRID,0,DROUGHT,0.1794,257.67,753.65,1,prc_hicp_midx,CROPS_2025D,2024-03-28
2018,FR,LT864,POTATO,365.54,15291.63,41.833,109.92,70.36,7.029,DROUGHT_TOLERANT,0,STORM,0.0807,811.52,16223.06,0,aei_pr_gnb,CROPS_2024C,2024-03-19
2019,LT,FR719,OATS,1260.21,3233.7,2.566,585.74,66.54,3.418,CERTIFIED,0,HEATWAVE,0.5797,226.54,4951.55,0,apro_cpshr,CROPS_2023B,2024-04-30
2020,SK,FR950,RAPESEED,457.75,1610.36,3.518,75.77,153.03,4.475,ORGANIC,0,NONE,0.1245,482.59,2730.26,0,apro_cpnh1,CROPS_2022A,2024-12-12
2021,HR,SI88,OLIVES,183.39,450.96,2.459,41.06,114.28,7.38,CONVENTIONAL,0,HAIL,0.8899,890.39,672.59,0,apro_cpsh1,CROPS_2025D,2024-02-22
2022,DE,IE478,WHEAT,795.9,5656.46,7.107,363.39,224.41,3.217,HYBRID,0,FLOOD,0.715,452.47,6419.82,0,prc_hicp_midx,CROPS_2024C,2024-06-03
2023,LU,HR3,SUGAR_BEET,425.59,17923.3,42.114,259.2,218.91,3.373,DROUGHT_TOLERANT,0,WILDFIRE,0.1121,340.08,33169.17,1,aei_pr_gnb,CROPS_2023B,2025-09-03
2024,SI,PT8,SOY,773.91,2111.23,2.728,122.03,209.92,5.726,CERTIFIED,0,FROST,0.3681,859.65,967.51,0,apro_cpshr,CROPS_2022A,2025-07-08
2025,CY,FR576,MAIZE,854.29,3972.45,4.65,335.76,142.49,5.88,ORGANIC,1,DROUGHT,0.0762,645.0,5852.01,0,apro_cpnh1,CROPS_2025D,2025-01-22
2026,GR,GR33,TOMATO,575.33,40789.75,70.898,220.84,126.74,6.54,CONVENTIONAL,0,STORM,0.86,177.33,37122.53,0,apro_cpsh1,CROPS_2024C,2025-12-02
2010,MT,MT490,RYE,336.27,1315.15,3.911,177.64,131.13,3.407,HYBRID,0,HEATWAVE,0.9067,410.92,597.75,0,prc_hicp_midx,CROPS_2023B,2024-08-04
2011,ES,GR603,SUNFLOWER,397.4,1168.75,2.941,182.09,239.52,5.609,DROUGHT_TOLERANT,0,NONE,0.8603,120.15,1103.93,0,aei_pr_gnb,CROPS_2022A,2025-07-20
2012,CZ,IT643,GRAPES,1080.29,5191.87,4.806,375.41,71.48,0.53,CERTIFIED,0,HAIL,0.5135,532.08,12503.78,0,apro_cpshr,CROPS_2025D,2025-10-15
2013,HU,MT567,BARLEY,989.56,4460.94,4.508,171.35,124.5,2.855,ORGANIC,0,FLOOD,0.8964,378.98,2129.21,0,apro_cpnh1,CROPS_2024C,2025-11-07
2014,NL,LV528,POTATO,421.83,9179.44,21.761,226.61,114.76,4.765,CONVENTIONAL,0,WILDFIRE,0.6353,513.22,10655.04,0,apro_cpsh1,CROPS_2023B,2025-04-27
2015,SE,IE63,OATS,746.68,2363.24,3.165,186.2,222.17,1.486,HYBRID,0,FROST,0.1464,584.27,4053.53,0,prc_hicp_midx,CROPS_2022A,2025-07-19
2016,DK,FI9,RAPESEED,180.06,535.14,2.972,24.28,107.39,5.063,DROUGHT_TOLERANT,0,DROUGHT,0.6266,119.27,544.55,0,aei_pr_gnb,CROPS_2025D,2024-01-15
2017,IE,DE4,OLIVES,105.94,168.02,1.586,44.0,126.9,6.355,CERTIFIED,0,STORM,0.322,410.41,59.07,0,apro_cpshr,CROPS_2024C,2025-08-19
2018,PL,DE28,WHEAT,361.1,1144.69,3.17,154.24,126.16,0.474,ORGANIC,0,HEATWAVE,0.6975,976.72,390.82,0,apro_cpnh1,CROPS_2023B,2025-11-12
2019,AT,ES12,SUGAR_BEET,4027.44,182012.1,45.193,2091.1,64.0,3.097,CONVENTIONAL,0,NONE,0.924,724.01,54734.92,0,apro_cpsh1,CROPS_2022A,2024-04-21
2020,EE,FR8,SOY,380.77,600.47,1.577,86.55,145.51,6.019,HYBRID,0,HAIL,0.5615,349.72,1136.77,0,prc_hicp_midx,CROPS_2025D,2024-07-25
2021,IT,PT21,MAIZE,908.01,8842.2,9.738,166.0,189.49,2.262,DROUGHT_TOLERANT,1,FLOOD,0.3456,518.93,13197.03,0,aei_pr_gnb,CROPS_2024C,2025-01-31
2022,PT,LU267,TOMATO,1448.43,42191.32,29.129,325.54,50.63,1.912,CERTIFIED,0,WILDFIRE,0.4666,894.57,79006.38,0,apro_cpshr,CROPS_2023B,2025-03-16
2023,BE,AT419,RYE,202.65,955.29,4.714,119.96,32.82,3.223,ORGANIC,0,FROST,0.4679,540.41,546.68,0,apro_cpnh1,CROPS_2022A,2025-04-25
2024,FI,SE62,SUNFLOWER,423.82,866.71,2.045,176.94,136.91,6.024,CONVENTIONAL,0,DROUGHT,0.6446,148.91,1847.89,0,apro_cpsh1,CROPS_2025D,2025-01-26
2025,LV,HU102,GRAPES,230.01,1323.71,5.755,143.17,107.66,1.347,HYBRID,0,STORM,0.4749,893.96,1948.7,1,prc_hicp_midx,CROPS_2024C,2025-07-14
2026,RO,DE742,BARLEY,675.75,3158.46,4.674,108.71,139.85,2.654,DROUGHT_TOLERANT,0,HEATWAVE,0.4431,579.87,5774.49,0,aei_pr_gnb,CROPS_2023B,2025-09-10
2010,BG,LU29,POTATO,297.01,6966.07,23.454,161.3,52.37,5.735,CERTIFIED,0,NONE,0.4237,181.9,7401.08,1,apro_cpshr,CROPS_2022A,2025-06-03
2011,FR,SE547,OATS,694.0,2288.81,3.298,440.36,41.56,2.091,ORGANIC,0,HAIL,0.0925,812.84,5522.98,0,apro_cpnh1,CROPS_2025D,2025-09-02
2012,LT,IE768,RAPESEED,1097.29,3217.25,2.932,478.67,54.7,6.642,CONVENTIONAL,0,FLOOD,0.3497,703.53,1649.23,0,apro_cpsh1,CROPS_2024C,2024-06-28
2013,SK,CZ158,OLIVES,123.42,126.51,1.025,56.36,35.51,6.46,HYBRID,0,WILDFIRE,0.5891,450.65,313.74,0,prc_hicp_midx,CROPS_2023B,2026-02-13
2014,HR,NL8,WHEAT,844.79,3969.67,4.699,93.2,192.77,3.319,DROUGHT_TOLERANT,0,FROST,0.8164,280.79,6549.44,0,aei_pr_gnb,CROPS_2022A,2024-07-08
2015,DE,LV21,SUGAR_BEET,189.98,9378.55,49.366,104.03,179.31,3.236,CERTIFIED,0,DROUGHT,0.1989,486.56,14586.23,0,apro_cpshr,CROPS_2025D,2025-03-03
2016,LU,HR55,SOY,599.94,1307.87,2.18,118.47,77.37,2.285,ORGANIC,0,STORM,0.4838,216.77,2117.82,0,apro_cpnh1,CROPS_2024C,2026-01-04
2017,SI,PL129,MAIZE,279.17,1272.18,4.557,152.91,158.9,0.678,CONVENTIONAL,0,HEATWAVE,0.779,582.6,1151.18,1,apro_cpsh1,CROPS_2023B,2025-03-03
2018,CY,DE8,TOMATO,208.62,16569.02,79.422,41.02,163.28,1.108,HYBRID,0,NONE,0.7808,939.36,16896.81,1,prc_hicp_midx,CROPS_2022A,2024-08-21
2019,GR,EE76,RYE,368.15,777.9,2.113,120.18,60.57,1.602,DROUGHT_TOLERANT,0,HAIL,0.1627,298.35,987.66,0,aei_pr_gnb,CROPS_2025D,2025-02-14
2020,MT,IT331,SUNFLOWER,520.74,1347.15,2.587,85.16,211.5,4.306,CERTIFIED,0,FLOOD,0.234,725.89,2564.3,0,apro_cpshr,CROPS_2024C,2025-04-29
2021,ES,CZ8,GRAPES,249.48,1092.47,4.379,52.85,140.48,2.142,ORGANIC,0,WILDFIRE,0.6126,885.0,2210.69,1,apro_cpnh1,CROPS_2023B,2024-01-27
2022,CZ,SI2,BARLEY,368.98,1146.42,3.107,134.07,214.3,7.399,CONVENTIONAL,0,FROST,0.5423,305.28,860.12,0,apro_cpsh1,CROPS_2022A,2024-11-23
2023,HU,EE6,POTATO,319.76,10565.51,33.042,87.8,162.5,1.196,HYBRID,0,DROUGHT,0.1548,354.88,20614.1,0,prc_hicp_midx,CROPS_2025D,2025-04-19
2024,NL,IE77,OATS,435.95,1219.79,2.798,140.78,160.91,2.699,DROUGHT_TOLERANT,0,STORM,0.7985,249.71,2164.98,0,aei_pr_gnb,CROPS_2024C,2025-08-06
2025,SE,ES1,RAPESEED,327.3,868.98,2.655,96.08,225.4,3.348,CERTIFIED,0,HEATWAVE,0.3046,630.74,1627.78,0,apro_cpshr,CROPS_2023B,2024-04-29
2026,DK,SE9,OLIVES,350.63,1633.59,4.659,207.24,146.08,5.17,ORGANIC,0,NONE,0.7677,799.35,2844.9,0,apro_cpnh1,CROPS_2022A,2025-12-22
2010,IE,PT777,WHEAT,175.59,536.08,3.053,92.67,65.24,1.441,CONVENTIONAL,0,HAIL,0.5181,748.66,1133.37,0,apro_cpsh1,CROPS_2025D,2025-02-18
2011,PL,PL97,SUGAR_BEET,520.09,26783.59,51.498,164.9,171.23,6.918,HYBRID,0,FLOOD,0.8393,863.82,10448.23,0,prc_hicp_midx,CROPS_2024C,2024-05-01
2012,AT,PT769,SOY,1785.34,3745.64,2.098,534.63,224.84,3.347,DROUGHT_TOLERANT,0,WILDFIRE,0.07,923.79,7582.26,0,aei_pr_gnb,CROPS_2023B,2025-01-20
2013,EE,NL21,MAIZE,306.89,1754.49,5.717,166.63,138.29,0.216,CERTIFIED,0,FROST,0.5892,156.62,2773.7,1,apro_cpshr,CROPS_2022A,2024-06-11
2014,IT,ES249,TOMATO,1386.66,66945.17,48.278,809.62,145.22,2.062,ORGANIC,0,DROUGHT,0.5225,788.05,166935.98,0,apro_cpnh1,CROPS_2025D,2025-10-31
2015,PT,SK3,RYE,114.75,282.97,2.466,58.19,191.25,6.884,CONVENTIONAL,0,STORM,0.8856,827.02,673.83,0,apro_cpsh1,CROPS_2024C,2025-04-13
2016,BE,DK253,SUNFLOWER,865.73,1169.6,1.351,133.74,175.84,2.869,HYBRID,0,HEATWAVE,0.6613,708.71,601.46,0,prc_hicp_midx,CROPS_2023B,2025-04-04
2017,FI,SK912,GRAPES,418.55,2023.69,4.835,189.96,114.05,1.576,DROUGHT_TOLERANT,0,NONE,0.5546,712.17,2776.87,0,aei_pr_gnb,CROPS_2022A,2025-02-24
2018,LV,AT589,BARLEY,279.36,1576.71,5.644,90.65,96.74,6.246,CERTIFIED,0,HAIL,0.4385,143.08,3293.5,0,apro_cpshr,CROPS_2025D,2025-12-01
2019,RO,MT134,POTATO,552.72,19509.36,35.297,73.13,61.31,4.348,ORGANIC,0,FLOOD,0.1658,822.13,30354.62,0,apro_cpnh1,CROPS_2024C,2025-07-02
2020,BG,SI47,OATS,537.62,1102.12,2.05,102.82,132.82,3.28,CONVENTIONAL,0,WILDFIRE,0.2289,215.51,481.79,0,apro_cpsh1,CROPS_2023B,2025-07-25
2021,FR,RO20,RAPESEED,220.25,363.19,1.649,27.29,147.72,1.055,HYBRID,0,FROST,0.3153,506.38,460.64,0,prc_hicp_midx,CROPS_2022A,2024-11-18
2022,LT,DK439,OLIVES,719.13,1437.54,1.999,317.63,104.32,5.277,DROUGHT_TOLERANT,0,DROUGHT,0.3552,600.41,2761.85,0,aei_pr_gnb,CROPS_2025D,2025-03-05
2023,SK,HU35,WHEAT,385.07,2221.08,5.768,128.76,217.66,6.392,CERTIFIED,0,STORM,0.7319,186.6,3088.02,0,apro_cpshr,CROPS_2024C,2025-01-19
2024,HR,SI73,SUGAR_BEET,211.81,11945.45,56.397,96.19,90.72,4.802,ORGANIC,0,HEATWAVE,0.3692,133.9,10010.77,0,apro_cpnh1,CROPS_2023B,2026-02-04
2025,DE,SK208,SOY,629.97,1213.95,1.927,335.64,186.84,6.557,CONVENTIONAL,0,NONE,0.0762,252.75,400.68,0,apro_cpsh1,CROPS_2022A,2024-04-07
2026,LU,LU975,MAIZE,716.14,3667.35,5.121,201.99,78.54,0.248,HYBRID,1,HAIL,0.7358,659.25,9087.01,0,prc_hicp_midx,CROPS_2025D,2025-08-31
2010,SI,HR377,TOMATO,532.42,16877.71,31.7,213.66,170.52,0.733,DROUGHT_TOLERANT,0,FLOOD,0.4936,868.27,8334.7,0,aei_pr_gnb,CROPS_2024C,2024-05-04
2011,CY,IE652,RYE,359.8,774.65,2.153,113.76,164.86,5.42,CERTIFIED,0,WILDFIRE,0.2216,225.8,1916.17,0,apro_cpshr,CROPS_2023B,2024-05-23
2012,GR,ES4,SUNFLOWER,225.02,513.5,2.282,25.82,238.59,3.142,ORGANIC,0,FROST,0.7141,301.13,789.25,0,apro_cpnh1,CROPS_2022A,2024-10-28
2013,MT,ES55,GRAPES,211.65,1858.92,8.783,97.7,74.03,3.188,CONVENTIONAL,0,DROUGHT,0.4366,763.37,3799.76,1,apro_cpsh1,CROPS_2025D,2025-02-28
2014,ES,LV29,BARLEY,277.05,1443.15,5.209,97.09,85.03,1.107,HYBRID,0,STORM,0.8964,420.08,3386.12,0,prc_hicp_midx,CROPS_2024C,2024-03-26
2015,CZ,PL965,POTATO,179.98,3618.86,20.107,80.32,186.65,4.728,DROUGHT_TOLERANT,0,HEATWAVE,0.0746,830.21,7727.39,0,aei_pr_gnb,CROPS_2023B,2024-12-11
2016,HU,RO7,OATS,673.7,3466.19,5.145,369.29,132.33,2.957,CERTIFIED,0,NONE,0.4202,457.02,5219.76,0,apro_cpshr,CROPS_2022A,2024-08-21
2017,NL,BE93,RAPESEED,445.86,988.47,2.217,75.61,28.04,6.611,ORGANIC,0,HAIL,0.3872,975.71,2233.33,0,apro_cpnh1,CROPS_2025D,2025-06-06
2018,SE,BG57,OLIVES,637.98,1436.09,2.251,408.2,233.58,3.424,CONVENTIONAL,0,FLOOD,0.623,210.99,498.65,0,apro_cpsh1,CROPS_2024C,2024-08-24
2019,DK,LV157,WHEAT,336.13,687.05,2.044,66.49,132.62,2.58,HYBRID,0,WILDFIRE,0.5633,907.05,1171.68,1,prc_hicp_midx,CROPS_2023B,2024-06-22
2020,IE,NL61,SUGAR_BEET,253.86,14304.76,56.349,22.28,194.89,1.972,DROUGHT_TOLERANT,0,FROST,0.4993,200.78,12492.68,0,aei_pr_gnb,CROPS_2022A,2025-08-01
2021,PL,ES6,SOY,283.97,983.96,3.465,41.03,96.01,5.175,CERTIFIED,0,DROUGHT,0.6139,158.54,1476.55,0,apro_cpshr,CROPS_2025D,2024-03-26
2022,AT,PL945,MAIZE,151.56,795.84,5.251,78.81,45.31,7.04,ORGANIC,0,STORM,0.9167,177.53,1822.46,0,apro_cpnh1,CROPS_2024C,2024-08-19
2023,EE,HU1,TOMATO,272.29,25928.0,95.222,87.72,213.11,6.054,CONVENTIONAL,0,HEATWAVE,0.5418,752.67,55752.99,0,apro_cpsh1,CROPS_2023B,2024-07-08
2024,IT,DK86,RYE,113.36,349.6,3.084,36.36,33.82,6.949,HYBRID,0,NONE,0.4247,380.01,873.81,0,prc_hicp_midx,CROPS_2022A,2024-09-19
2025,PT,LV3,SUNFLOWER,281.85,716.18,2.541,22.77,104.15,7.308,DROUGHT_TOLERANT,0,HAIL,0.8882,638.43,743.52,0,aei_pr_gnb,CROPS_2025D,2025-07-01
2026,BE,HU62,GRAPES,1053.0,8878.9,8.432,315.28,230.02,5.667,CERTIFIED,0,FLOOD,0.8649,363.85,15514.91,0,apro_cpshr,CROPS_2024C,2025-01-18
2010,FI,AT1,BARLEY,210.09,887.0,4.222,68.91,86.62,5.691,ORGANIC,0,WILDFIRE,0.6566,709.94,1882.24,0,apro_cpnh1,CROPS_2023B,2025-07-26
2011,LV,AT42,POTATO,414.97,7499.34,18.072,100.4,53.07,3.169,CONVENTIONAL,0,FROST,0.3692,338.08,2269.58,0,apro_cpsh1,CROPS_2022A,2025-05-10
2012,RO,IT6,OATS,201.57,644.02,3.195,107.97,136.9,1.744,HYBRID,0,DROUGHT,0.5765,887.62,1199.26,0,prc_hicp_midx,CROPS_2025D,2024-02-16
2013,BG,SE97,RAPESEED,426.08,890.08,2.089,97.01,196.8,5.425,DROUGHT_TOLERANT,0,STORM,0.6327,735.13,270.04,1,aei_pr_gnb,CROPS_2024C,2025-11-14
2014,FR,BE9,OLIVES,105.97,364.32,3.438,48.41,71.13,0.952,CERTIFIED,0,HEATWAVE,0.5292,898.6,677.41,0,apro_cpshr,CROPS_2023B,2025-11-08
2015,LT,DK3,WHEAT,429.07,3187.56,7.429,130.62,121.02,0.638,ORGANIC,0,NONE,0.7956,459.52,972.75,0,apro_cpnh1,CROPS_2022A,2024-03-06
2016,SK,BG5,SUGAR_BEET,277.44,13703.87,49.394,142.06,144.48,7.038,CONVENTIONAL,0,HAIL,0.4698,832.92,23855.31,0,apro_cpsh1,CROPS_2025D,2024-11-22
2017,HR,PT66,SOY,187.79,248.26,1.322,83.73,45.74,4.189,HYBRID,0,FLOOD,0.2321,207.99,356.63,0,prc_hicp_midx,CROPS_2024C,2025-11-28
2018,DE,SI624,MAIZE,300.3,957.66,3.189,106.0,226.28,5.128,DROUGHT_TOLERANT,0,WILDFIRE,0.9276,340.22,1653.62,1,aei_pr_gnb,CROPS_2023B,2025-09-02
2019,LU,DE47,TOMATO,922.65,53701.92,58.204,265.64,69.47,3.997,CERTIFIED,0,FROST,0.8394,574.68,134246.08,1,apro_cpshr,CROPS_2022A,2025-02-21
2020,SI,NL165,RYE,108.39,277.04,2.556,33.14,84.1,5.487,ORGANIC,0,DROUGHT,0.849,805.77,339.6,0,apro_cpnh1,CROPS_2025D,2025-01-06
2021,CY,FI4,SUNFLOWER,382.18,708.18,1.853,121.19,101.64,2.041,CONVENTIONAL,0,STORM,0.1282,119.08,1415.91,0,apro_cpsh1,CROPS_2024C,2024-04-07
2022,GR,SI6,GRAPES,373.36,1626.73,4.357,130.02,151.67,4.78,HYBRID,0,HEATWAVE,0.7143,800.61,2188.75,0,prc_hicp_midx,CROPS_2023B,2026-01-08
2023,MT,GR91,BARLEY,623.08,4484.31,7.197,394.88,213.32,6.697,DROUGHT_TOLERANT,0,NONE,0.3381,844.7,5976.73,0,aei_pr_gnb,CROPS_2022A,2024-02-14
2024,ES,CZ357,POTATO,535.66,12436.42,23.217,216.81,51.49,2.049,CERTIFIED,0,HAIL,0.4441,595.76,6058.52,0,apro_cpshr,CROPS_2025D,2025-08-20
2025,CZ,DK91,OATS,263.61,485.83,1.843,110.13,131.65,3.444,ORGANIC,0,FLOOD,0.9464,288.15,1076.08,0,apro_cpnh1,CROPS_2024C,2025-02-17
2026,HU,AT91,RAPESEED,560.46,1303.63,2.326,51.89,64.76,1.625,CONVENTIONAL,0,WILDFIRE,0.4265,524.62,3237.5,0,apro_cpsh1,CROPS_2023B,2025-07-26
2010,NL,SE675,OLIVES,433.71,1117.67,2.577,35.42,103.73,1.621,HYBRID,0,FROST,0.8234,423.72,541.51,1,prc_hicp_midx,CROPS_2022A,2024-06-06
2011,SE,HU93,WHEAT,106.05,467.68,4.41,24.52,194.38,5.022,DROUGHT_TOLERANT,0,DROUGHT,0.2054,270.73,377.56,0,aei_pr_gnb,CROPS_2025D,2025-11-12
2012,DK,LU3,SUGAR_BEET,157.85,8780.25,55.624,81.93,74.45,1.204,CERTIFIED,0,STORM,0.7233,441.72,4359.16,0,apro_cpshr,CROPS_2024C,2024-07-06
2013,IE,ES673,SOY,194.47,447.48,2.301,95.05,163.38,0.919,ORGANIC,0,HEATWAVE,0.3343,957.77,229.65,0,apro_cpnh1,CROPS_2023B,2026-02-07
2014,PL,LV83,MAIZE,483.95,5023.4,10.38,106.87,217.51,4.682,CONVENTIONAL,0,NONE,0.3068,352.24,10962.44,0,apro_cpsh1,CROPS_2022A,2026-02-23
