biz_sme_reference_year,biz_sme_country_iso2,biz_sme_region_nuts_code,biz_sme_sector_nace_section,biz_sme_sme_definition_code,biz_sme_micro_enterprises_count,biz_sme_small_enterprises_count,biz_sme_medium_enterprises_count,biz_sme_employment_sme_total,biz_sme_value_added_sme_eur,biz_sme_access_to_finance_index,biz_sme_venture_capital_investment_eur,biz_sme_interest_rate_on_loans_pct,biz_sme_digital_intensity_score,biz_sme_exporting_sme_share_pct,biz_sme_innovation_active_share_pct,biz_sme_sustainability_reporting_csrd_flag,biz_sme_late_payment_days_avg,biz_sme_eurostat_table_code,biz_sme_data_extract_date
2013,HU,RO473,O,NATIONAL_SME,2985,480,177,21521,1064895851.51,83.5,397884170.52,1.161,91.16,54.46,49.85,0,62.57,bd_9bd_sz_cl_r2,2024-12-03
2014,LV,NL6,E,BANKING_SME,3285,533,177,16004,705713000.55,54.91,79716575.03,6.831,18.44,26.54,50.54,0,26.87,sbs_na_sca_r2,2024-05-10
2015,MT,FR766,P,MIXED,3741,728,128,24357,1873048131.21,75.76,203264519.8,5.074,13.05,35.81,12.88,1,15.12,isoc_sme,2024-03-16
2016,PT,IE7,F,EU_SME_2003_361_EC,3412,295,134,18545,2488995554.49,46.83,87245483.02,1.408,39.29,19.33,37.97,1,64.49,sbs_sc_sca_r2,2025-07-30
2017,SI,DK518,Q,NATIONAL_SME,3597,449,122,22341,599102560.4,57.32,107311611.29,6.439,61.96,37.01,27.43,1,49.17,tin00145,2024-12-17
2018,AT,LT609,G,BANKING_SME,3194,316,135,16224,2025178545.74,39.59,63160337.79,8.197,46.17,42.01,35.33,0,8.99,bd_9bd_sz_cl_r2,2025-09-21
2019,HR,ES209,R,MIXED,2934,309,234,23008,1976271973.16,34.66,32078582.53,5.358,65.16,10.74,39.66,0,53.54,sbs_na_sca_r2,2025-09-02
2020,DK,BG1,H,EU_SME_2003_361_EC,3070,667,146,22605,2346282912.76,60.36,157408110.66,2.883,19.08,25.87,53.04,1,42.81,isoc_sme,2025-10-30
2021,FR,SE749,S,NATIONAL_SME,2981,367,188,13741,784946078.59,59.27,66362768.65,9.397,55.29,29.8,21.92,1,67.62,sbs_sc_sca_r2,2026-02-03
2022,HU,LV714,I,BANKING_SME,3092,292,144,17457,1336549774.31,65.96,241139433.79,5.42,10.79,28.52,8.77,0,58.91,tin00145,2025-03-26
2023,LV,SK676,T,MIXED,3798,449,248,25598,836688553.66,33.38,65738074.56,0.956,25.23,26.01,54.19,0,29.25,bd_9bd_sz_cl_r2,2024-12-28
2024,MT,SE994,J,EU_SME_2003_361_EC,3735,720,232,30743,770642374.15,59.42,131553804.14,5.875,59.04,30.9,21.93,0,15.64,sbs_na_sca_r2,2025-03-02
2025,PT,FI976,U,NATIONAL_SME,3605,705,95,25580,3468760412.98,49.73,72421538.85,7.471,13.35,49.38,29.85,0,39.15,isoc_sme,2024-10-27
2026,SI,CZ75,K,BANKING_SME,3255,629,198,31029,3105361453.06,47.83,76760085.6,3.181,79.83,32.32,28.38,1,35.91,sbs_sc_sca_r2,2025-04-13
2010,AT,BE647,A,MIXED,3245,486,246,33031,1372556521.74,82.2,224544376.15,6.935,54.71,56.12,50.69,0,10.67,tin00145,2024-04-20
2011,HR,CZ77,L,EU_SME_2003_361_EC,3169,676,86,24341,2907450396.43,52.34,11471545.76,6.408,26.91,38.14,23.26,1,34.17,bd_9bd_sz_cl_r2,2025-10-04
2012,DK,CZ28,B,NATIONAL_SME,3282,642,261,18638,2595596138.11,73.56,24718724.8,5.734,34.7,58.91,16.56,1,7.09,sbs_na_sca_r2,2024-09-11
2013,FR,FI919,M,BANKING_SME,3504,332,72,12757,726107007.24,30.03,95610549.4,4.681,74.07,20.18,19.16,0,43.84,isoc_sme,2025-09-24
2014,HU,EE88,C,MIXED,3839,606,152,25321,1811884940.54,83.36,61632681.55,7.847,20.88,33.01,6.37,0,4.7,sbs_sc_sca_r2,2025-07-16
2015,LV,CZ793,N,EU_SME_2003_361_EC,3450,673,205,20257,2018907553.67,69.3,53050733.32,2.035,34.66,32.88,43.61,0,63.93,tin00145,2024-06-11
2016,MT,CZ233,D,NATIONAL_SME,3374,519,147,18796,763320941.05,40.16,59246839.58,4.693,77.25,61.43,6.24,1,48.89,bd_9bd_sz_cl_r2,2025-03-09
2017,PT,SI59,O,BANKING_SME,3197,308,152,21952,777330340.07,46.86,2078598.39,5.685,77.28,29.95,11.79,0,33.43,sbs_na_sca_r2,2024-01-19
2018,SI,PT5,E,MIXED,3637,706,180,27647,2308656671.25,61.86,227722223.47,0.734,35.96,53.32,40.77,1,4.34,isoc_sme,2025-10-28
2019,AT,IE361,P,EU_SME_2003_361_EC,3849,381,77,16595,2082904257.57,70.76,5595898.15,5.284,15.95,42.4,39.15,1,27.38,sbs_sc_sca_r2,2025-05-28
2020,HR,FI3,F,NATIONAL_SME,3271,473,160,24617,1383261747.69,79.4,246173882.72,5.638,77.93,8.8,48.39,0,38.49,tin00145,2025-09-14
2021,DK,MT2,Q,BANKING_SME,3539,730,273,31972,3294106270.17,68.63,31575665.96,8.593,74.64,38.23,28.87,0,48.0,bd_9bd_sz_cl_r2,2025-03-19
2022,FR,ES280,G,MIXED,3508,696,91,21226,1455710286.67,35.55,123717544.19,4.033,78.86,12.54,40.12,0,34.57,sbs_na_sca_r2,2024-06-14
2023,HU,DE99,R,EU_SME_2003_361_EC,3657,774,266,20057,1357905926.11,49.74,44286106.69,0.351,32.35,35.16,26.62,0,11.77,isoc_sme,2024-07-03
2024,LV,EE173,H,NATIONAL_SME,3006,430,110,13246,759278953.98,36.56,96064331.99,4.128,51.35,36.37,53.78,0,67.92,sbs_sc_sca_r2,2024-05-13
2025,MT,LT47,S,BANKING_SME,3400,326,177,10984,1067759171.35,45.44,61865358.74,7.23,93.45,56.28,32.47,0,51.21,tin00145,2024-10-06
2026,PT,PT3,I,MIXED,3382,467,98,16350,857300517.63,48.44,142596843.66,7.95,69.92,28.56,53.92,0,48.24,bd_9bd_sz_cl_r2,2025-05-02
2010,SI,AT56,T,EU_SME_2003_361_EC,3270,343,251,20789,2709529513.44,31.32,32452115.95,6.177,31.14,6.57,29.85,0,67.55,sbs_na_sca_r2,2024-05-20
2011,AT,LU6,J,NATIONAL_SME,3057,652,183,16440,842486306.78,61.85,113431600.17,9.378,44.56,8.65,45.29,1,52.5,isoc_sme,2025-03-02
2012,HR,MT1,U,BANKING_SME,3732,459,104,21383,2021293736.83,53.86,218271216.39,8.068,74.83,38.23,47.51,1,58.0,sbs_sc_sca_r2,2025-09-19
2013,DK,DK56,K,MIXED,3728,357,128,17182,601250155.5,62.81,233935919.57,7.029,82.04,12.57,48.13,1,58.38,tin00145,2025-03-26
2014,FR,AT9,A,EU_SME_2003_361_EC,3445,549,109,20728,2659382128.77,39.5,31773536.59,5.501,41.62,50.87,45.9,0,54.13,bd_9bd_sz_cl_r2,2024-01-01
2015,HU,ES8,L,NATIONAL_SME,3557,609,253,32298,1349906261.09,76.96,182763470.89,7.239,58.15,17.56,31.84,0,65.81,sbs_na_sca_r2,2024-10-18
2016,LV,SE89,B,BANKING_SME,3062,362,139,20441,690009559.3,41.43,63163962.3,7.305,38.03,36.63,38.02,1,37.61,isoc_sme,2025-06-01
2017,MT,LV675,M,MIXED,3874,693,98,23213,2415080682.62,62.62,138162231.04,4.342,55.97,38.35,48.72,0,8.37,sbs_sc_sca_r2,2024-09-30
2018,PT,PT49,C,EU_SME_2003_361_EC,3133,583,224,24648,2861182905.06,76.95,196410991.67,1.569,35.55,35.49,33.01,0,12.61,tin00145,2025-02-16
2019,SI,BE6,N,NATIONAL_SME,3693,341,143,21151,671460251.33,70.21,295429200.99,7.296,88.15,44.87,44.7,0,53.91,bd_9bd_sz_cl_r2,2026-01-24
2020,AT,SK123,D,BANKING_SME,3245,543,223,22502,865546757.71,79.03,245862083.42,6.922,39.15,17.42,21.87,0,37.21,sbs_na_sca_r2,2025-12-03
2021,HR,ES7,O,MIXED,3739,396,97,11843,953145137.09,32.55,9267488.32,7.12,84.47,58.97,11.39,0,60.31,isoc_sme,2024-05-19
2022,DK,BE9,E,EU_SME_2003_361_EC,3306,374,160,23688,3124612720.97,40.31,33698748.15,4.128,81.42,53.85,12.17,0,3.99,sbs_sc_sca_r2,2024-08-29
2023,FR,NL2,P,NATIONAL_SME,3692,760,199,35987,1364059924.27,86.44,230151616.04,0.73,16.15,59.37,36.49,0,14.57,tin00145,2025-04-23
2024,HU,HU21,F,BANKING_SME,3484,423,92,15768,974218469.24,41.81,50791609.78,7.806,81.88,43.53,39.16,1,5.67,bd_9bd_sz_cl_r2,2025-02-20
2025,LV,SE49,Q,MIXED,3296,462,197,23490,946920561.0,82.66,35358496.59,1.612,40.66,38.32,36.53,0,66.32,sbs_na_sca_r2,2024-06-18
2026,MT,SK854,G,EU_SME_2003_361_EC,3533,546,180,32580,3992996387.06,35.21,16592191.69,9.278,87.42,50.49,31.26,0,43.09,isoc_sme,2025-04-17
2010,PT,LV2,R,NATIONAL_SME,3742,701,176,22696,2382314420.28,58.92,48359160.89,3.503,50.98,27.81,35.52,1,5.73,sbs_sc_sca_r2,2024-01-05
2011,SI,IT9,H,BANKING_SME,3909,755,98,23457,1495066359.64,54.68,221963801.9,1.657,67.05,58.54,20.1,1,61.06,tin00145,2024-02-08
2012,AT,FI5,S,MIXED,3856,760,277,36675,2870579103.99,51.63,78249222.11,5.905,45.11,39.66,10.93,0,29.66,bd_9bd_sz_cl_r2,2025-04-13
2013,HR,PL1,I,EU_SME_2003_361_EC,3354,312,133,22707,1636683142.29,45.4,1675340.21,3.415,91.67,39.81,13.79,0,65.64,sbs_na_sca_r2,2024-02-14
2014,DK,FR69,T,NATIONAL_SME,3363,736,91,21664,2183817491.97,33.42,30149362.73,5.085,24.02,49.92,20.45,0,6.61,isoc_sme,2024-07-28
2015,FR,FI78,J,BANKING_SME,3743,652,237,28042,3671154020.98,67.82,8220128.13,1.672,66.33,34.8,24.48,0,2.07,sbs_sc_sca_r2,2024-01-22
2016,HU,DK549,U,MIXED,3611,483,93,20297,2011798040.48,74.25,220181602.5,8.466,32.52,45.67,30.25,1,49.91,tin00145,2024-07-01
2017,LV,BG6,K,EU_SME_2003_361_EC,3361,471,236,28526,3878336421.1,37.53,45050984.11,1.97,58.64,40.58,57.48,0,31.38,bd_9bd_sz_cl_r2,2024-06-24
2018,MT,BG8,A,NATIONAL_SME,3588,306,130,19083,597178306.72,67.68,156248078.38,4.53,86.56,16.91,6.43,0,4.92,sbs_na_sca_r2,2024-12-30
2019,PT,SE4,L,BANKING_SME,3057,668,227,27623,2011710506.55,44.94,212053710.55,6.932,33.73,44.45,18.06,0,32.69,isoc_sme,2024-08-29
2020,SI,DK643,B,MIXED,3417,286,91,14080,1676184472.09,80.39,159563167.89,6.084,70.49,31.4,16.28,0,31.43,sbs_sc_sca_r2,2024-01-23
2021,AT,IE529,M,EU_SME_2003_361_EC,3703,316,242,23572,819128232.76,70.18,93347405.07,6.179,17.49,4.92,32.59,0,20.26,tin00145,2025-02-10
2022,HR,LV126,C,NATIONAL_SME,3580,574,157,27224,1590764288.75,53.1,105248364.3,3.787,34.04,30.49,26.85,0,2.89,bd_9bd_sz_cl_r2,2024-10-26
2023,DK,BG752,N,BANKING_SME,3112,428,177,25783,2270223391.3,35.29,106740372.3,1.142,85.51,27.86,30.58,0,47.98,sbs_na_sca_r2,2024-07-18
2024,FR,LV27,D,MIXED,3239,634,258,19706,1917757514.36,49.82,103971650.75,3.797,20.79,6.89,52.98,1,8.97,isoc_sme,2025-10-25
2025,HU,FR315,O,EU_SME_2003_361_EC,3109,455,103,21277,2523358134.22,72.78,56505654.99,9.414,33.34,33.86,52.93,0,65.56,sbs_sc_sca_r2,2024-05-24
2026,LV,LT371,E,NATIONAL_SME,3105,253,209,13951,1313584721.53,59.88,105359361.95,9.328,31.89,48.01,55.39,0,63.32,tin00145,2024-05-12
2010,MT,SI6,P,BANKING_SME,3851,333,260,31123,4210999455.04,69.89,140564232.32,0.358,32.42,54.2,27.07,1,8.72,bd_9bd_sz_cl_r2,2025-10-03
2011,PT,BE173,F,MIXED,3067,643,127,21958,2653661869.47,50.9,137962315.01,1.46,11.37,57.33,33.12,0,19.8,sbs_na_sca_r2,2025-06-05
2012,SI,HR7,Q,EU_SME_2003_361_EC,3685,341,147,18907,2477327432.42,52.48,17960657.6,1.894,90.87,19.92,27.57,1,37.86,isoc_sme,2024-05-23
2013,AT,NL8,G,NATIONAL_SME,3591,305,180,15939,483289906.55,74.76,196212806.66,3.327,75.9,42.46,44.29,0,50.68,sbs_sc_sca_r2,2024-06-30
2014,HR,EE27,R,BANKING_SME,3721,630,194,27282,2292771912.66,49.92,80313833.82,2.458,26.1,41.67,37.8,0,64.4,tin00145,2025-05-02
2015,DK,IT8,H,MIXED,3493,534,177,25163,1536636413.0,32.52,55028997.95,1.823,43.09,36.35,13.42,1,39.76,bd_9bd_sz_cl_r2,2025-12-16
2016,FR,PL474,S,EU_SME_2003_361_EC,3838,464,217,25191,2633432274.42,45.6,125246227.89,7.594,80.07,57.37,41.27,0,64.91,sbs_na_sca_r2,2025-12-21
2017,HU,LT238,I,NATIONAL_SME,3377,590,157,23172,2741048621.73,68.5,94737664.99,3.866,67.81,19.24,28.53,1,32.47,isoc_sme,2024-08-10
2018,LV,PL597,T,BANKING_SME,3735,800,139,22374,1674981569.74,35.19,78090594.52,7.009,38.63,23.26,50.38,0,55.44,sbs_sc_sca_r2,2026-01-09
2019,MT,HR95,J,MIXED,3808,780,228,35840,3877477582.58,59.48,47767884.77,1.699,93.34,8.38,12.27,0,23.43,tin00145,2026-01-11
2020,PT,NL67,U,EU_SME_2003_361_EC,3547,319,191,16173,2182083434.7,34.59,11001262.26,3.049,65.29,44.81,16.27,0,47.09,bd_9bd_sz_cl_r2,2024-02-26
2021,SI,FR8,K,NATIONAL_SME,3078,367,168,15981,1868170585.65,38.19,101071861.9,8.988,54.61,20.93,36.52,0,8.87,sbs_na_sca_r2,2025-04-16
2022,AT,DK8,A,BANKING_SME,3368,637,128,24067,1199599973.15,45.22,76249496.07,4.353,31.91,46.93,18.98,1,64.02,isoc_sme,2025-05-17
2023,HR,PL62,L,MIXED,3763,304,229,20120,1352840049.02,38.11,6154780.09,8.158,11.4,26.79,24.36,1,23.55,sbs_sc_sca_r2,2024-02-01
2024,DK,PT29,B,EU_SME_2003_361_EC,3324,425,189,24123,1882595137.98,36.5,146465928.66,1.696,37.52,20.74,51.65,1,44.38,tin00145,2024-05-20
2025,FR,IE807,M,NATIONAL_SME,3423,303,201,18690,1095502186.8,74.15,102235183.85,8.629,74.05,11.6,20.83,0,67.09,bd_9bd_sz_cl_r2,2025-10-30
2026,HU,DK2,C,BANKING_SME,3210,486,101,19559,2464075236.78,70.74,146575179.94,3.231,35.13,41.26,26.31,0,64.83,sbs_na_sca_r2,2024-04-21
2010,LV,DE813,N,MIXED,3475,516,268,29566,2978138872.25,43.36,68315611.64,0.941,39.39,11.38,6.74,1,58.11,isoc_sme,2024-06-29
2011,MT,BG2,D,EU_SME_2003_361_EC,3730,786,194,23783,904340880.25,69.29,73884111.0,3.077,29.31,28.74,24.54,0,39.52,sbs_sc_sca_r2,2025-07-16
2012,PT,BG140,O,NATIONAL_SME,3883,514,172,21916,1908955373.2,66.95,45071777.85,5.272,40.31,8.63,37.24,0,56.38,tin00145,2024-01-28
2013,SI,LV8,E,BANKING_SME,3237,461,238,18399,1182640301.67,55.88,82484521.55,8.392,70.11,5.11,9.3,0,2.48,bd_9bd_sz_cl_r2,2024-04-22
2014,AT,PL6,P,MIXED,3675,730,195,26204,1680515965.74,54.63,239248730.43,1.866,67.13,37.82,28.41,1,14.4,sbs_na_sca_r2,2026-02-17
2015,HR,LT851,F,EU_SME_2003_361_EC,3840,517,115,22164,1754758610.23,68.56,54641885.91,2.89,62.99,7.01,29.3,0,31.48,isoc_sme,2025-06-13
2016,DK,BG47,Q,NATIONAL_SME,3417,422,251,20745,805375822.1,38.18,67492867.05,1.627,46.85,47.27,12.5,1,27.46,sbs_sc_sca_r2,2024-05-30
2017,FR,CY15,G,BANKING_SME,3722,751,274,29979,764216883.35,36.86,55635510.25,9.121,80.03,23.59,6.71,0,64.16,tin00145,2025-12-30
2018,HU,HU266,R,MIXED,3907,817,227,32515,3384698479.3,49.81,182029909.61,0.404,37.31,50.17,53.12,0,17.22,bd_9bd_sz_cl_r2,2024-06-15
2019,LV,SI856,H,EU_SME_2003_361_EC,3518,612,189,32438,2851510992.18,80.04,75364988.39,1.049,73.94,20.73,20.55,1,47.79,sbs_na_sca_r2,2025-07-03
2020,MT,AT573,S,NATIONAL_SME,3279,421,78,11811,571930989.1,55.38,47247753.83,4.243,43.4,39.88,53.96,0,63.65,isoc_sme,2025-07-16
2021,PT,LT349,I,BANKING_SME,3774,789,81,22011,2532582106.75,41.72,8487626.94,0.75,32.1,51.98,26.23,0,4.8,sbs_sc_sca_r2,2024-08-07
2022,SI,GR21,T,MIXED,3278,653,91,19493,2693219717.4,80.39,73114447.41,0.339,17.05,59.57,41.51,0,46.47,tin00145,2025-10-18
2023,AT,LT78,J,EU_SME_2003_361_EC,3685,494,193,16773,1053495382.34,33.14,65240282.18,6.378,56.59,23.02,26.45,0,3.92,bd_9bd_sz_cl_r2,2026-02-22
2024,HR,BE38,U,NATIONAL_SME,3533,361,243,21508,834257785.33,42.81,163073694.31,5.55,19.07,42.64,56.83,0,19.29,sbs_na_sca_r2,2026-01-30
2025,DK,IE601,K,BANKING_SME,3467,443,260,26469,3595286383.49,76.05,72832063.24,8.735,11.07,43.62,26.12,1,30.83,isoc_sme,2025-04-08
2026,FR,SI3,A,MIXED,3813,389,231,19098,2309980131.05,58.89,64941155.34,2.391,66.18,42.46,50.97,1,9.84,sbs_sc_sca_r2,2025-11-16
2010,HU,LT781,L,EU_SME_2003_361_EC,3693,676,217,28696,740465074.35,30.85,54320287.85,6.298,30.37,13.29,27.09,1,40.92,tin00145,2025-11-15
2011,LV,SE12,B,NATIONAL_SME,3584,781,136,26091,3190708032.76,69.44,130422768.4,7.345,74.02,27.39,52.7,0,2.8,bd_9bd_sz_cl_r2,2024-08-20
2012,MT,SE433,M,BANKING_SME,3531,607,180,26249,3141373531.99,53.53,98224517.38,7.895,58.16,49.96,53.6,0,52.41,sbs_na_sca_r2,2024-09-05
2013,PT,FR199,C,MIXED,3794,686,122,15492,1116765048.27,75.37,9452678.45,7.777,69.32,52.98,43.74,0,8.56,isoc_sme,2025-05-02
2014,SI,MT52,N,EU_SME_2003_361_EC,3542,302,88,14195,871178093.35,47.61,3297327.0,9.35,88.03,10.09,33.32,0,7.8,sbs_sc_sca_r2,2025-02-05
2015,AT,CZ949,D,NATIONAL_SME,3180,487,199,20517,992190827.93,55.94,124996516.28,3.658,86.93,53.6,33.86,0,61.82,tin00145,2024-10-01
2016,HR,SE967,O,BANKING_SME,3881,467,88,15233,1692237610.56,80.88,81779016.59,8.21,80.05,55.33,35.3,0,10.58,bd_9bd_sz_cl_r2,2024-09-29
2017,DK,PT402,E,MIXED,3322,366,224,22599,804751663.51,46.25,78476111.92,1.37,33.48,24.88,23.63,0,3.23,sbs_na_sca_r2,2024-10-27
2018,FR,HR54,P,EU_SME_2003_361_EC,3152,662,184,29065,3998158525.56,59.28,197936749.01,7.19,22.8,51.77,51.9,1,11.75,isoc_sme,2024-12-08
2019,HU,GR677,F,NATIONAL_SME,3706,299,248,23464,667751640.57,45.29,147599035.24,4.238,33.24,31.19,10.92,1,66.76,sbs_sc_sca_r2,2024-07-21
2020,LV,DE751,Q,BANKING_SME,3988,711,111,24798,852802727.18,66.43,235299603.88,0.488,54.67,32.95,52.01,0,2.38,tin00145,2025-09-09
2021,MT,FI25,G,MIXED,3347,429,232,27417,1402732308.78,33.38,3047720.95,5.77,18.26,53.25,38.23,1,34.42,bd_9bd_sz_cl_r2,2025-01-05
2022,PT,CY244,R,EU_SME_2003_361_EC,3706,808,74,18124,740702235.56,76.28,129233265.63,7.833,86.24,61.87,20.11,0,63.7,sbs_na_sca_r2,2024-01-10
2023,SI,SI121,H,NATIONAL_SME,3742,349,246,24856,1695858067.77,58.53,238659744.7,7.13,68.46,21.06,54.43,1,28.28,isoc_sme,2025-04-06
2024,AT,LT43,S,BANKING_SME,3201,666,164,22825,1377177759.13,69.47,173526793.9,3.002,84.85,30.23,27.83,1,53.42,sbs_sc_sca_r2,2025-11-25
2025,HR,LV23,I,MIXED,3428,611,103,22539,840301341.46,75.38,150500807.54,2.077,12.63,28.05,30.59,0,2.56,tin00145,2025-06-03
2026,DK,IE929,T,EU_SME_2003_361_EC,3312,681,92,19068,1430529621.55,82.53,100838114.93,2.511,12.23,39.17,53.33,1,56.1,bd_9bd_sz_cl_r2,2024-07-01
2010,FR,FR66,J,NATIONAL_SME,3501,399,260,20369,865538904.76,64.98,206359276.99,9.014,72.12,6.65,49.83,0,66.69,sbs_na_sca_r2,2024-04-18
2011,HU,IE472,U,BANKING_SME,3665,480,160,14836,1096104827.86,33.6,92886708.44,6.261,25.51,18.5,57.77,0,6.79,isoc_sme,2025-05-08
2012,LV,LU89,K,MIXED,3514,665,122,25570,1675824230.2,61.26,42086842.6,0.484,14.21,52.61,37.88,0,8.96,sbs_sc_sca_r2,2024-04-04
2013,MT,BG97,A,EU_SME_2003_361_EC,3515,329,152,14004,565042831.02,70.42,64151884.46,7.119,41.04,51.28,19.57,0,41.71,tin00145,2024-09-12
2014,PT,BE71,L,NATIONAL_SME,4042,696,132,25344,1850494649.68,42.69,142299104.55,1.875,15.99,42.94,43.66,1,35.64,bd_9bd_sz_cl_r2,2024-12-29
2015,SI,LT81,B,BANKING_SME,3448,513,266,25152,969656533.13,38.25,63361179.09,7.115,21.63,51.91,29.77,0,47.12,sbs_na_sca_r2,2024-04-05
2016,AT,CZ332,M,MIXED,3363,318,117,16197,1462174039.38,43.54,188484940.97,3.619,92.04,19.98,19.6,1,31.11,isoc_sme,2025-12-03
2017,HR,PL48,C,EU_SME_2003_361_EC,3854,686,226,24912,1943041816.34,41.98,81017026.05,2.237,62.15,19.66,25.43,0,11.05,sbs_sc_sca_r2,2024-12-13
2018,DK,PT81,N,NATIONAL_SME,3372,671,154,29652,4067087052.71,66.34,279228158.08,2.77,80.2,48.61,26.52,0,55.35,tin00145,2025-10-16
2019,FR,DE419,D,BANKING_SME,3319,476,85,20409,975429415.99,49.64,106325034.78,1.742,36.2,52.47,36.09,0,27.43,bd_9bd_sz_cl_r2,2025-08-07
2020,HU,SK782,O,MIXED,3725,370,294,25671,3123739266.42,37.0,129585869.35,8.058,24.36,30.48,28.04,0,10.52,sbs_na_sca_r2,2025-06-25
2021,LV,CZ68,E,EU_SME_2003_361_EC,3722,624,119,20393,2484867675.51,84.89,219182867.89,3.782,38.3,55.98,57.16,0,42.26,isoc_sme,2024-05-17
2022,MT,EE62,P,NATIONAL_SME,3434,701,268,23911,1125468831.64,41.72,27178132.2,4.395,61.9,42.19,40.13,0,21.33,sbs_sc_sca_r2,2025-09-21
2023,PT,BE88,F,BANKING_SME,3379,655,112,19262,1542730706.9,31.0,15490170.66,2.281,56.83,35.67,21.92,0,33.67,tin00145,2025-07-21
2024,SI,PL54,Q,MIXED,3634,687,87,18909,2415368206.36,52.37,98780267.85,0.641,51.98,48.06,48.49,0,5.77,bd_9bd_sz_cl_r2,2024-08-27
2025,AT,PL80,G,EU_SME_2003_361_EC,3988,394,106,20875,1109511171.77,85.91,272944183.35,9.382,73.07,44.07,9.94,0,51.51,sbs_na_sca_r2,2025-11-04
2026,HR,FR6,R,NATIONAL_SME,3978,469,168,25812,1783093132.12,66.24,165628701.84,5.434,73.7,35.32,55.36,0,67.25,isoc_sme,2024-03-09
2010,DK,IT81,H,BANKING_SME,3821,316,116,16740,1053934584.81,69.88,14343022.31,3.498,43.39,60.82,49.04,0,16.65,sbs_sc_sca_r2,2024-07-08
2011,FR,BE13,S,MIXED,3976,368,125,17488,1804760108.54,84.58,394009608.66,4.562,87.67,48.73,48.12,1,25.17,tin00145,2025-07-10
2012,HU,PL92,I,EU_SME_2003_361_EC,4027,861,103,25854,2414106710.52,42.13,195615015.11,8.203,25.92,33.8,32.65,1,24.97,bd_9bd_sz_cl_r2,2025-12-14
2013,LV,SE72,T,NATIONAL_SME,3378,533,136,25782,1655158935.03,30.31,78522399.96,4.106,78.31,19.63,10.41,0,52.23,sbs_na_sca_r2,2025-08-16
2014,MT,LU8,J,BANKING_SME,4036,443,298,38633,3628278500.61,56.63,94726098.83,2.661,65.78,26.88,55.96,0,29.8,isoc_sme,2025-07-19
2015,PT,NL865,U,MIXED,3337,648,95,15578,863432398.68,35.82,65445104.31,3.759,20.32,32.02,15.35,0,63.79,sbs_sc_sca_r2,2026-01-16
2016,SI,BG648,K,EU_SME_2003_361_EC,3492,618,98,20605,1268122970.67,50.14,89499100.61,3.464,19.63,44.69,21.65,0,13.4,tin00145,2025-10-28
2017,AT,ES269,A,NATIONAL_SME,3266,690,237,32671,4008793095.73,76.28,126728291.36,7.932,22.57,26.56,41.89,0,54.3,bd_9bd_sz_cl_r2,2025-10-05
2018,HR,HR121,L,BANKING_SME,3543,767,216,30481,2455094975.36,63.93,33458675.72,3.745,38.44,40.22,25.0,0,41.47,sbs_na_sca_r2,2024-09-04
2019,DK,HU6,B,MIXED,3455,567,266,28503,2850868362.61,36.96,92974387.67,5.274,55.75,17.19,8.48,0,13.67,isoc_sme,2025-08-20
2020,FR,BG29,M,EU_SME_2003_361_EC,3391,395,158,16293,1699618592.12,58.08,154385497.22,4.778,37.97,43.15,16.54,0,3.99,sbs_sc_sca_r2,2024-04-06
2021,HU,LV991,C,NATIONAL_SME,3530,454,175,17723,1962082159.13,64.29,212023163.07,1.592,60.17,5.25,44.06,0,5.21,tin00145,2024-07-01
2022,LV,CZ72,N,BANKING_SME,3722,606,269,28820,1543810051.45,73.4,274078138.45,4.59,56.76,28.73,10.3,0,15.93,bd_9bd_sz_cl_r2,2024-11-26
2023,MT,FR661,D,MIXED,3586,725,182,28974,3014232705.11,49.44,43838170.04,0.783,30.55,12.38,14.54,1,19.36,sbs_na_sca_r2,2025-06-18
2024,PT,LT961,O,EU_SME_2003_361_EC,3293,324,204,16560,1543720362.51,40.51,102605825.32,3.506,89.0,40.6,36.69,1,57.96,isoc_sme,2024-01-25
2025,SI,MT61,E,NATIONAL_SME,3235,490,67,10518,1386239201.84,74.53,264163762.69,1.87,83.29,16.55,13.43,0,34.07,sbs_sc_sca_r2,2025-01-29
2026,AT,LV554,P,BANKING_SME,3857,330,278,32532,931514888.58,58.35,2239007.35,8.543,10.66,12.18,11.23,0,9.33,tin00145,2025-09-27
2010,HR,SE790,F,MIXED,3350,362,96,10489,1072916072.1,65.17,57636324.97,6.673,52.62,31.08,28.32,1,57.13,bd_9bd_sz_cl_r2,2024-08-11
2011,DK,DK13,Q,EU_SME_2003_361_EC,4005,552,118,13330,535091031.38,48.65,56881940.08,5.664,74.57,12.16,40.71,1,42.01,sbs_na_sca_r2,2024-06-16
2012,FR,SK73,G,NATIONAL_SME,3602,413,128,21235,1741729324.51,58.14,80682289.43,5.89,92.49,15.94,48.02,0,12.68,isoc_sme,2024-11-13
2013,HU,DE520,R,BANKING_SME,4038,431,170,19443,1600365485.71,85.94,172831215.05,7.003,94.73,20.78,41.7,1,56.33,sbs_sc_sca_r2,2024-12-28
2014,LV,CY6,H,MIXED,3429,553,146,17420,2353329406.41,42.06,58280867.3,1.126,54.3,13.44,23.76,1,17.72,tin00145,2024-07-19
2015,MT,SE2,S,EU_SME_2003_361_EC,3874,584,118,21464,2530367576.89,55.48,70762521.12,3.033,17.36,34.16,10.24,1,38.1,bd_9bd_sz_cl_r2,2025-12-30
