tax_sales_collection_month,tax_sales_state_ut_code,tax_sales_gstin_hash,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_gst_rate_pct,tax_sales_gross_taxable_sales_inr,tax_sales_gst_collected_inr,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_e_invoice_share_pct,tax_sales_e_waybill_count,tax_sales_itc_claimed_inr,tax_sales_reverse_charge_liability_inr,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_inr,tax_sales_interest_assessed_inr,tax_sales_compliance_gap_estimate,tax_sales_refunds_issued_inr,tax_sales_data_certification_level
2024-02,AP,5001e510e91b68862b89b727304563cc58707d05d7408b7cd97f98b0223c3182,GST-LA-28,MIXED,12,189062240,16297431,26654,MONTHLY,17.45,174341,11380384,860480,5.68,417395,156349,14.52,135614,L3
2021-01,MH,798dca4c50759e70330ac893b05f1593220cdbac8b7a3ed9faca41747356f9ac,GST-UP-98,GOODS,12,143122493,13047765,6507,MONTHLY,73.11,50117,2604734,405609,0.82,94085,30834,5.7,1083391,L2
2025-07,ML,47e3fef6d54a450b718c1c7e5413fcf40df1dbf7ac6cd47820a2fab2e7cb888f,GST-LD-36,SERVICES,5,10397232,478227,44241,MONTHLY,31.37,22169,107706,16327,0.69,1816,9271,10.1,59596,L1
2021-07,GJ,07cf002ba9bc591e22f9d27c2b85f1f796f2e99ca35187bb23a6e98f1eca1745,GST-SK-71,MIXED,28,180295252,41274494,32513,MONTHLY,76.47,150367,9945259,1452870,0.36,792529,755732,12.89,4945857,L2
2025-10,ML,4926819b2fee5c7710620011f1b1727e8f96a8dada3f89eddd1e5af645af06c6,GST-MZ-50,MIXED,12,127363683,13006814,34052,MONTHLY,81.64,141315,10847228,307914,11.57,293130,174100,11.78,680889,L1
2026-03,MH,5844cca5181440742c6e3befedc58dd714dcbcd54335b20086e84c0ec954b7ed,GST-AR-09,MIXED,18,154634921,27140911,139,MONTHLY,26.31,52530,9307089,913423,11.48,403282,281699,3.52,5240628,L3
2021-10,SK,e8837372bfbebbd51af256a24d6902330e5c58fdd2e2cbc747f7b46ab239f762,GST-LA-08,SERVICES,3,100854773,2006557,44730,MONTHLY,33.8,42032,854050,128944,4.66,39198,23089,8.34,147193,L2
2026-03,KL,0a6451f1a82afbf43f8a39df6a94a980610176fc797073e184e59e317166e15e,GST-MN-76,GOODS,18,130978067,23488324,37960,MONTHLY,49.52,70649,7961728,1570982,8.06,339083,82025,6.41,992299,L1
2024-07,MP,37951d6123e3ec01606172161b40b62e70866624cb5d8129ae696edd07b61c3a,GST-BR-86,GOODS,18,66386343,10464554,36080,MONTHLY,5.18,160564,6971384,500657,0.64,261389,144741,4.28,2240313,L1
2026-03,DL,7f8b43164124c54cd7d7e61a2f1fec178b60f1cde7d70b77d223608b88c8b8e5,GST-UK-43,GOODS,12,83769068,8912308,8784,MONTHLY,2.41,107409,2990474,216605,8.48,190115,129917,9.46,1785189,L3
2022-08,MN,b96df24e157b5f9668ed44471dca0bc95aaa94e60fe2508fd28b7d6998dc3c64,GST-KL-10,SERVICES,18,79950108,10968682,39045,MONTHLY,81.55,136307,6002134,355854,5.47,315942,134632,0.12,1553816,L3
2026-10,GJ,bba098dbbf4e4cee6ff4b3df35c39dca3ad34631dc872558835e6cd5dbaa8950,GST-PB-76,MIXED,12,47159120,4051603,15145,QUARTERLY,45.6,172376,919804,228045,5.98,73607,550,2.45,226576,L3
2023-05,UP,c6f5ed1c6d883c9039fe410b55df64d89425c1818de409225456523a5f9009d7,GST-PY-27,GOODS,5,213265259,9370828,21528,MONTHLY,49.83,9053,6741827,355352,1.22,189706,14127,1.52,2216768,L1
2021-05,JH,ee464bdcc03d15fcfa82a840d82a5b31116101d35ef8ed6709e73f2c3b20c8fe,GST-TS-03,SERVICES,18,74967491,13317335,21889,QUARTERLY,60.75,96020,10897517,130064,4.69,212426,38535,14.91,931163,L2
2026-03,GJ,453f77645c84e85fc89c4559cd12348d23686c817744e84d2db570d6a5f59fdd,GST-AP-19,SERVICES,18,5045914,864930,5286,MONTHLY,32.89,157673,344850,45990,2.19,14117,12327,2.32,104481,L1
2026-04,WB,0882bd15e5f1057829961b011cabb10156988ec85c6920de44d23be9a48e02e2,GST-AS-30,GOODS,18,107841300,18826726,6525,QUARTERLY,76.24,15713,4116453,140752,0.08,44159,160597,12.47,4238109,L3
2020-09,HP,bab63553bffa95a86670fbd9e9a0de3f27744273a748312d1c42236e55ecf1d7,GST-RJ-16,GOODS,18,174515304,24657978,24163,MONTHLY,2.27,101621,9728775,1947785,4.96,329934,400138,12.95,4681636,L2
2023-09,AP,4e7bfe04593dde5df90c4bf5ddce446bf566fbaddf4d33253fc59e04f1a17efd,GST-AR-38,GOODS,18,181459523,29445766,31079,MONTHLY,12.74,115976,7792729,755393,1.25,209212,567682,7.54,3536037,L3
2026-02,BR,41f1e87346d5e86fc17faee1a671420e4a3a2f256fae7c86076511183d5b7b1f,GST-AP-62,SERVICES,12,127605699,13416029,27107,MONTHLY,92.79,118632,10371512,169909,2.22,389541,138631,0.82,1518700,L2
2023-04,UP,c2fa41032b75857f9943873a077df2a39dce4587b26693cf1251f1195fcaa3ac,GST-KL-76,SERVICES,28,3379446,648673,23226,MONTHLY,87.63,15527,535242,30925,3.69,17461,4090,11.41,47255,L1
2023-04,JH,a9e201bee2f7bb943fefc7be24f1321b74b55ba99abf10b196c792f918184ccb,GST-AS-34,SERVICES,28,94091087,22804715,12583,MONTHLY,7.66,32918,8143357,1378608,5.44,280207,264097,8.9,4519431,L2
2021-07,MN,23efd4f3702819bd9e5cd1b816d1766c3bbf036fd7e4aeb73bc21ae85bacd60d,GST-DH-36,MIXED,12,166011521,12961699,41880,MONTHLY,55.42,47476,8834167,745010,2.89,42140,84404,9.63,3067377,L3
2022-10,OD,ccb94a88114693247a887df82492776a6c4b514206a3333e0ac982207967784b,GST-MH-04,GOODS,28,223625659,59121065,11533,QUARTERLY,73.32,91601,40467619,1265195,11.43,682433,464755,8.38,12745008,L3
2023-08,JH,919df919eb90d587459c11b73c501aedb8f4795e05b89e3cd731f6938ab745cd,GST-NL-70,SERVICES,28,162480964,45748541,12235,QUARTERLY,25.72,22190,31768124,1977028,11.03,1363976,62971,5.01,5158208,L2
2024-01,GJ,471aa8a5ef747fa8a75c38fa39243a21491ce4a2218dfce218e5c168b3ed907a,GST-WB-16,GOODS,18,189924965,34360218,18504,MONTHLY,1.6,159074,7359382,1902309,2.98,70276,229739,14.9,8283514,L1
2023-07,AS,f558870da09fc43a0c60e6f97c80ad869a8b3abe35374c7b6b5d0cfaea3109ec,GST-KL-08,SERVICES,18,224908721,31558997,17772,MONTHLY,65.97,115947,23486735,2055702,5.38,853214,614573,10.38,105212,L1
2024-01,AS,017d2aa7990c21f3f9c15eeed4ff1c31aa1e0c036f61e0f901e038c910305b04,GST-KL-90,SERVICES,5,151312058,6765430,21019,MONTHLY,77.47,171440,3102387,262083,7.29,21562,101131,10.64,538764,L1
2020-11,JK,a09f6c461aef94ab516ea3dfdd1e77efad9b8dc964de38b4c6818c1daedcc00e,GST-JH-49,SERVICES,12,131767812,14997014,11966,MONTHLY,73.23,49231,10877301,9551,2.24,250669,280627,8.26,2974660,L1
2025-06,PY,e14d1c5b494833c24771cfa51d203804c1ee56bd7bc1a8fad7d7e4064d88802c,GST-PY-94,SERVICES,5,104531209,4736136,31076,MONTHLY,16.95,155312,1818785,160066,7.54,123357,29740,0.89,1135384,L2
2020-04,TS,56482421c7ca4638ce458550a9804e538791493ac3502dbce5dc6917eaa7273a,GST-HR-42,SERVICES,5,88274144,2893149,28799,MONTHLY,56.68,123095,2291752,142251,5.05,53661,12811,8.81,699804,L2
2024-09,MZ,5a95d32d49a142290bd84e234bd6ba75372ea55efc32335af8dd88cd7125999e,GST-TR-97,GOODS,18,228607226,35383859,14626,MONTHLY,22.76,152177,10809985,398573,0.37,184861,50417,7.14,4507567,L1
2025-07,CH,77501ada39b319b7b7e15a13f25ce5b24d114812870c5fcf2ecfdc067fee1264,GST-TS-76,MIXED,5,30201811,1292586,45704,MONTHLY,61.45,132385,358087,95736,3.08,38607,14433,6.24,307400,L3
2025-03,CH,63ad85100e268b82fcd76c90440f80d348efcdecee97e0e8dcfb95738149b07f,GST-MZ-13,SERVICES,12,234664900,27421751,3501,MONTHLY,48.21,25399,4346163,391998,2.2,708351,444657,6.98,4146052,L2
2021-05,ML,5a9e86897f00e446ac4e5f8016c417a6eeef37a1cb09f575970f2f03867c21ed,GST-WB-39,SERVICES,12,163686150,19084761,14433,QUARTERLY,57.01,95111,6704791,232886,9.87,86537,372672,12.79,3525068,L2
2025-11,UP,bc15913f763f81f36e1c4ba5281407a80aeeeff64afc074db70c6060037b58ab,GST-GJ-50,MIXED,3,183449191,5027562,16685,QUARTERLY,31.47,49975,2247637,450,5.97,78044,20852,12.95,690968,L2
2020-03,BR,223b64173e6926211bd40c8ab64c8b9e1b0dc59250abc7e2babbf543d915071b,GST-AS-67,SERVICES,18,165798197,21249377,13831,MONTHLY,52.7,388,14596242,424957,2.16,413837,30016,13.0,1546849,L2
2020-10,GA,d216155e03c1b5fc2f330a04c08376866e38c9cf011ac4a3cc7b1b744a84a4ff,GST-TS-44,GOODS,18,106230410,16708649,11170,MONTHLY,51.54,7170,3255164,1117425,6.83,295793,148737,8.53,760860,L3
2025-12,DH,2bfca81049eb2e45e37913730a364c968640e81a56c22a60f9d998c9e3b8661c,GST-JH-47,SERVICES,0,198380855,0,40677,QUARTERLY,17.17,6150,0,0,5.23,0,0,11.22,0,L3
2021-07,OD,b32f7901117058bba28ae686cdae889d11a1bd6e476b145912ce03f889918946,GST-DL-29,SERVICES,18,245804159,31642355,30937,QUARTERLY,1.91,44454,18034262,380028,5.13,776192,388231,4.03,6847207,L2
2023-12,CH,c48635aefb342459a0b75600a8ae2d52ed5f936c2ab2d39bdc5504f7df671d52,GST-RJ-54,GOODS,18,80963680,14471010,38396,MONTHLY,65.92,96372,9940342,1080764,2.42,121105,167604,2.32,2225625,L3
2026-11,RJ,b50acf5a52177feb59ac1794c1572b182fe9c891e1cc52ec328c32e791bf98af,GST-GJ-53,SERVICES,18,11366439,1397668,18884,QUARTERLY,24.38,141615,884802,71552,7.67,12726,16187,9.46,201973,L2
2021-05,CG,85cbcf596e4894fd109eff5f92be7ea51d1ee9cfc10ab857fa431730c5e3e76c,GST-KA-83,SERVICES,5,102149709,5287795,25148,MONTHLY,53.09,42013,3634735,214123,9.84,86774,101701,13.55,566755,L1
2025-08,GA,a47c70255196f4d3e438871795b42bee10487bdaec9190138e33abca32d44559,GST-SK-56,SERVICES,5,212393595,11002107,29194,MONTHLY,1.79,113788,7632678,110390,5.82,20897,178067,10.13,1024827,L1
2024-01,PB,a03300f3459704ccd493ad0892f01975c4f03bbae810d5a4ac24826dc090d8f3,GST-LA-38,GOODS,5,29896011,1559973,34606,MONTHLY,26.73,96471,415761,110996,1.79,3652,15460,13.88,361640,L3
2022-12,CG,3067a4ef0b6fb04d46ee905b5ff8c98dfcc7b8430b231fe5d9ad06d346d47148,GST-MH-24,SERVICES,18,74325801,10519206,18064,MONTHLY,4.05,131327,3674098,505349,3.14,305018,40740,6.59,181430,L3
2023-11,DH,921dc91498bd8c1ca98ff377d5518e061d659ccbf987f819caba8cdbebb13a2d,GST-AS-80,GOODS,12,202714738,24116990,28239,MONTHLY,29.45,115338,18783198,265429,3.77,313872,404261,6.24,3436064,L3
2022-11,JH,925b69d03352887b41e3a7b90e0cc49bae212f98f34d4035c40d5cf1c7771975,GST-TR-67,GOODS,18,121973667,17286234,28718,QUARTERLY,73.0,29411,11407437,666976,10.6,292461,18936,13.19,621891,L2
2025-08,UK,00dd045afdbd446944b670d5c0dc045b1108cc6da98eb0e3109e91d1e6246420,GST-RJ-65,SERVICES,18,133304248,16565398,5466,QUARTERLY,62.72,93276,13629072,49121,7.49,492223,121552,8.55,2388658,L2
2025-01,JH,1cfcf7a90cc2963a9dec4523811c58582b77d7b2aeafbf13cba36a0f1558f7a9,GST-WB-08,SERVICES,18,21637634,3203330,231,MONTHLY,16.45,100467,2652837,19529,11.12,93737,21073,3.56,282711,L3
2022-02,WB,334271adc9495631d9c185aee6b0a5802703e782b795fea56fc416e33b883306,GST-OD-83,SERVICES,18,204145734,35674869,48032,QUARTERLY,12.13,107557,5432132,531302,3.86,825262,24685,0.53,873155,L2
2024-04,JH,1466fb09faa51a402bd42526d74dda903e8993aa33cbe5015fb2d9e2e4780157,GST-MN-56,GOODS,5,116726035,3850643,29735,MONTHLY,11.8,81452,2176850,131267,10.48,67674,26482,3.88,56439,L2
2023-11,OD,cbc24dd83f562ff2610611d5d06696ff2956d926dff765cc093c500d395e8446,GST-ML-84,SERVICES,18,57522957,8556784,29536,MONTHLY,84.95,193258,6064793,559835,9.5,63835,35351,0.07,1702902,L3
2025-08,JH,075ed43c77e159e2730fa5d96c67b9e46ad1b9fdea7ac31817a0b7518977672e,GST-CH-78,GOODS,12,4624453,494527,2556,MONTHLY,28.47,176160,299016,26562,11.39,2698,6295,14.81,5322,L1
2020-08,DL,ff8c256597a881c148736b12b1ab67acb91acb83ab1d6e872dec45f290348231,GST-MN-94,GOODS,0,79079055,0,48911,MONTHLY,99.53,126449,0,0,2.9,0,0,2.37,0,L2
2022-12,PB,6d0049398a5952122de3c334d912a11b983b44e5cc49099557c41b9a0d271c2e,GST-MZ-73,MIXED,18,45028991,6076974,38286,MONTHLY,55.48,3905,3810880,36825,11.37,68189,112434,2.41,490966,L2
2022-09,OD,d699d6954b0e1b0a93c7aada1f8d19b9f9a1161b0ef0e9eff9fbe80fabc239fc,GST-JH-18,GOODS,18,141623270,17688852,16381,MONTHLY,99.88,39326,8490870,281271,7.91,140181,259318,10.83,4331149,L2
2024-05,KA,f28fb00db8ee1be0028783cd3515f976f5308eb61e1ce79ae21b1efa639d86b0,GST-AP-28,MIXED,18,75377706,9919323,45487,MONTHLY,24.07,47660,5469864,352162,8.81,251259,25472,14.19,1001555,L3
2021-04,GJ,fbe301a7fb31c951633dbbe21893afe3fd6e18da9ed4f31ff4864074ee829759,GST-HR-95,SERVICES,12,243041127,26099636,36931,MONTHLY,94.89,32417,18425033,1959236,2.23,720131,406668,2.5,5177631,L2
2023-11,WB,12c50e84608ba83bb899e3bb4829b8f749012fc8345be93050aaafc07d21b6ff,GST-CH-97,GOODS,18,67720901,10936906,26583,MONTHLY,92.27,52499,2933858,548668,2.59,198488,203311,3.3,477349,L2
2026-04,AR,4e65bd03a57469ed198f413458368df39c5fc3c8fd5cc41ea6d805b81fc11f1d,GST-JK-56,GOODS,12,56476795,5380983,949,MONTHLY,17.08,190229,2154260,90396,11.93,105341,5176,5.21,272841,L2
2020-03,AR,a6d217ddd02e25057d16cfe1cacb8f8f5fa48d976348986b88db2351b83a7b3a,GST-UP-21,GOODS,12,72654159,7471288,1264,MONTHLY,98.61,116975,1386125,3393,9.41,119932,60599,7.39,1147785,L2
2023-05,TS,165d12fe9403935e3524874dc8a77ff8f4b6d41494f91d43946a5513a1770adf,GST-ML-81,SERVICES,12,85842931,8232684,13882,MONTHLY,35.0,196093,4530725,42831,10.67,27351,147197,1.16,1946673,L1
2020-03,TN,eadb1f3dd68d8671fc9483ba9cd4072c325f0863e61c66c31b392ebe67ecfb22,GST-TR-94,GOODS,18,187976537,23221354,15372,MONTHLY,14.75,91318,4915258,327854,3.15,597194,74018,0.65,5252279,L2
2024-04,KL,06e584a901d7e68fccd92991e9b1337c10e880d0ea5e4f104c4fadd3a0f2b902,GST-CG-46,MIXED,5,60098781,2061368,34808,MONTHLY,36.47,91657,673001,103736,5.94,2402,33548,0.04,393458,L1
2021-05,WB,165f25cc3289c4f1dd953687c5cd6c7d431043baa5d11167eb5213edf098288a,GST-BR-16,GOODS,3,191249617,4895788,5330,QUARTERLY,8.16,124102,3308680,56313,6.35,99134,12250,14.94,985478,L2
2026-11,AS,35d20cc2a718ea99bc2697ca6ba5a91b9edb0332b0b9d24bb45c81be6061fd86,GST-GJ-72,GOODS,5,126356803,6455960,12422,QUARTERLY,59.74,172307,1479493,21522,3.2,32269,32331,9.77,1610458,L2
2022-10,ML,d1ba4bf9774f2213a29a087d71d67c42da7d8f0ca7b66901e528c019510a7120,GST-SK-48,GOODS,12,207887036,20581338,3600,QUARTERLY,59.97,979,8074876,946261,1.73,481661,271479,13.51,3908871,L2
2026-04,JK,f966f4671e7b2a1898e7c59fb42474921520cbfca4d378b851b3cdaeb6c29a50,GST-ML-82,SERVICES,12,67040812,6908324,27026,MONTHLY,33.2,127457,4670580,98107,2.23,134932,3669,11.54,660379,L1
2020-03,KL,6bc8abbc46eb4a5af1fb97c67ee1a9bd3e32bcf03c07caaee70c4dfb995bcc60,GST-GJ-38,GOODS,18,111350178,19510932,32002,QUARTERLY,31.41,159365,13448467,349442,3.83,144199,305825,13.59,1598744,L2
2025-02,AN,3d37e8a667e80dd703af9a5472a48e5adaca23c2c647628d30df78182dea5309,GST-PB-39,SERVICES,3,48216862,1255602,42107,MONTHLY,3.59,8829,846629,97008,5.06,29283,16914,6.0,157396,L2
2021-12,KA,192c4460109aa2014be9455eacb8a4d9bcc1182992edaaaec7d5352c1e92965c,GST-JK-39,SERVICES,18,106409224,12867399,33362,MONTHLY,66.58,65242,7316831,838050,0.22,302696,243879,12.11,3013598,L1
2021-06,HP,d8fcc764c2daa01ee3292371b2a929d0f41f4b9d0d0a51efa959e5f51e3c2999,GST-PB-59,MIXED,12,163091780,15665373,5637,QUARTERLY,25.06,154609,9989943,1046660,5.72,234721,1878,14.62,61908,L2
2026-11,KL,a8afd96a32b0534606df72814752bd0bc04616a9b73cacad2f0f99f8748bac41,GST-OD-20,GOODS,5,138551201,4564600,31131,MONTHLY,47.33,77875,2809746,11590,6.35,75221,17762,7.72,1053269,L2
2022-03,KA,da90b1abbfcbd99d19e0f387205a8d326d21c6140c1af6e44be7852e968a4d83,GST-MP-98,SERVICES,5,44097447,2244232,9932,MONTHLY,50.63,73875,1194922,174269,5.7,7151,18752,12.13,520819,L2
2024-04,CG,f7612f498e5d11b30d8402a1b83f3ab0955b14f034b2a9c456f6caf8bcace3aa,GST-AP-82,GOODS,5,169912966,8851695,7629,QUARTERLY,78.76,20272,3728606,340705,7.11,113362,126881,14.45,271835,L1
2025-09,JK,50bedd46ef5db00a4fa96c8189d8a6d6d41057dded3b42a66b20ff25be1040f2,GST-HP-61,GOODS,18,140889263,18751202,10290,MONTHLY,63.32,115476,4265583,131045,1.08,371302,183035,11.02,126297,L2
2022-05,RJ,41c68bc6cf34b73630b4cd5edbaba82fae711486df01f3388e2ba9b274b8c50c,GST-KL-16,MIXED,12,137404965,14310657,8976,MONTHLY,97.07,132012,10479239,360262,10.58,29572,31339,0.16,2193781,L2
2020-09,LD,b667a90644be0fda3a690ed77a0c3f429b16890e432585c253ace90182163471,GST-MZ-44,MIXED,18,13715033,1679859,44284,MONTHLY,63.21,178052,838250,13683,2.8,18101,1679,11.99,28435,L2
2026-11,TN,7d6b05855d806176b33b808f3fb4c73417d88a98a3240d629f8f7e77d72ff8b9,GST-LA-18,GOODS,12,97288576,8620660,15087,MONTHLY,35.72,88525,6018771,225779,5.25,116538,59785,1.62,1578243,L3
2024-09,JK,06f32344e0770c2ad1cdb950e601c73e23fbb00004843c8d86d4463eaaafa483,GST-KA-83,SERVICES,0,179593935,0,13057,MONTHLY,86.98,105352,0,0,10.28,0,0,14.16,0,L3
2026-03,MN,780671467bbfcd5f6d2be157676e7d5a670a81faf8671748765504aa7b926b83,GST-KL-02,SERVICES,0,98645625,0,20471,MONTHLY,51.59,103496,0,0,8.59,0,0,13.13,0,L3
2025-02,GJ,8e169c1791e06dfda413300076adc9e26dbb924e9d11b19e1a66646c233ce600,GST-KL-45,GOODS,12,320529,35051,6849,MONTHLY,18.77,117124,29338,189,8.66,973,206,4.84,2248,L2
2025-03,LD,3c040120400b8b40922712d0bb84d27e1cb3fbf0be6c3d26b145a0c9ae8bcdfe,GST-HR-16,GOODS,18,68543853,10172757,11520,MONTHLY,56.51,21089,2203213,208562,9.61,245143,118526,9.52,2119658,L2
2024-01,CH,a041727ef28394ef2a30948a075ff7f2fd6d825e9de843cc503f6423ef764aad,GST-ML-04,MIXED,18,169827391,28371562,39603,QUARTERLY,12.28,161527,10005127,773307,11.6,426982,445069,14.55,6660006,L2
2020-08,JK,271f81117a6dee610f396d2d33f12b8ee315c398a15dc41d7e414c430f5d4c4b,GST-UP-39,SERVICES,18,52767138,9857820,44512,QUARTERLY,34.53,13800,3255723,720963,0.49,210541,41073,4.92,227412,L3
2026-02,LA,69714c47ef217494ed5784ea35b16bdab8d98d612534c3326701ff065203bb66,GST-UP-49,GOODS,12,36398255,4404135,42843,MONTHLY,3.05,161237,3418094,66629,11.97,41153,37942,11.28,141145,L2
2025-10,KA,2437f7c9a0363db0646f43cbbcbaa09b676c224ac33a66b1bc83ed5f674e864a,GST-AP-97,GOODS,12,185318519,14775688,1395,MONTHLY,7.83,119771,3495547,978722,11.22,218451,213777,4.9,2689966,L2
2025-04,PB,f36cff57c98963b8f25a433b6ed4d04701bfce133e416edfc288d223415abdbc,GST-WB-08,MIXED,18,175764641,25739276,29473,QUARTERLY,21.85,125791,18978807,1683784,1.7,441390,442568,7.64,5894094,L3
2026-08,UP,27383b81e141b579ee27de79493355baf02b6288cc60c379d3fdf45794511ebd,GST-MN-65,GOODS,18,148190009,27319807,24187,MONTHLY,62.2,86616,6095868,1226265,3.54,232146,114185,14.08,6328173,L3
2021-11,DL,12a73c7ec8052b00ca53a2723ce079b019f1026b40e5246b394fcb8fa386b7fd,GST-AP-20,SERVICES,3,20476841,635774,41895,QUARTERLY,49.32,7544,532444,22257,7.91,16127,10686,6.93,139155,L3
2021-06,CG,8c9e827e602c99853613ec76265e77fba225553d0498115ba2cde27b5c2974bf,GST-PY-72,GOODS,18,81426824,13769195,47454,MONTHLY,43.3,23097,3459815,441648,10.57,228210,119785,0.29,1362844,L2
2021-05,LA,05cbfcb1520db3c0fb33e790d9d89265cabfe2b80f042d7082fbae2671da4275,GST-DL-89,GOODS,18,79901889,10804434,16879,MONTHLY,57.12,174863,1902155,786935,6.51,149650,139868,7.6,37901,L2
2024-11,WB,513effb787e414ad0dcd74ce78c26488816bac7f8225709bcd4cb9ca61dcf5e5,GST-MP-80,GOODS,12,97947982,9664853,49335,MONTHLY,19.55,76296,7640329,737460,6.16,91441,89745,4.82,17171,L2
2023-08,NL,f1a1f6ace8cc291186ec4e4cb1c7bb5b5d75585f37eaf0c963a3406e44be1c87,GST-TR-61,GOODS,12,177670107,16264733,15828,MONTHLY,68.23,124855,13014792,912228,1.44,433384,242399,12.83,18746,L1
2020-03,UP,26ab8e83077bcc5b72e7653404d3a36dc01ac743482120d257a10d0ff3b9a5e0,GST-TN-20,GOODS,18,227944774,30835898,16268,MONTHLY,54.42,80007,14508275,2130787,8.69,285503,444609,12.07,3914085,L1
2024-01,KA,671df0afda8d24f75df4b23d2e2d4257638d9f986e554cc535e6218f1df32e35,GST-PY-16,GOODS,12,154877706,14003504,27865,MONTHLY,13.95,108965,8166706,878378,5.99,52048,145022,11.6,1016207,L1
2022-01,MP,8fd6e1f53951c864da5e29f2ebbbcf821002be31e3dd6d51898a69b6483b9ab5,GST-GJ-88,SERVICES,12,32248926,3582108,31546,QUARTERLY,55.41,89906,1024280,204703,1.25,9298,68326,10.46,875181,L1
2023-04,HR,a2fc650681e801f1061eb25431dfe886f1b78b4145358c1bb299465754c1671a,GST-HR-07,GOODS,18,72577278,12171285,47613,QUARTERLY,11.28,169690,9970499,234825,10.95,314332,219960,14.8,1960921,L2
2021-06,MH,aa45ed54c4487dcd40e98993419ff412ca66e4d93cb6166a363620e0a464f1e4,GST-TR-31,MIXED,28,22456419,5519802,40240,MONTHLY,67.43,190605,4071315,183018,2.85,52876,37313,4.29,1136647,L3
2021-10,KL,5b08467a154cb618735fc288f79ec6fc0a8c3108fb7afde1db16cd02442ec56e,GST-AS-19,MIXED,5,114474633,5873877,44730,QUARTERLY,22.59,75325,4528485,116962,6.39,114061,14096,1.28,1326321,L2
2023-11,SK,a794ad43a27c741fbf7d18f078a30281231c0e30f713624483591cc2c0416563,GST-CH-15,GOODS,12,55928828,6405335,11417,MONTHLY,4.89,129353,4750264,386028,10.01,190957,18819,10.4,603093,L2
2021-01,ML,0d46dfea4974965b5d57f93a8c9fe7ea75882ef33c7db5612c599c6b99793326,GST-HR-64,SERVICES,0,83449231,0,48431,MONTHLY,18.75,19713,0,0,8.1,0,0,9.54,0,L2
2022-02,KA,de040ef3b60b22ba9a9abe37a4beadb9ac975b6411765c20376ae75bf4ac2062,GST-WB-55,GOODS,12,110982764,13042084,27758,QUARTERLY,48.29,198226,4988089,734216,2.82,247502,170586,5.51,83269,L1
2022-10,MH,85d347e9a0a8790fe27e5be4fe580d82bc6e7999f0177ded963e6342df8c3e8d,GST-GA-30,SERVICES,12,3224096,288981,39916,QUARTERLY,71.16,51319,244274,7646,12.0,4735,1081,0.29,58380,L2
2026-06,RJ,8e394bb1bb489488b713142e2e93f7563d4f5781c1390ef6261f6e95e7ec9523,GST-UP-46,GOODS,18,148621082,21834645,48478,QUARTERLY,37.07,9199,9362373,109153,1.11,44094,245668,5.55,164226,L2
2021-05,AN,bd24b8ef87d1fc48119b745af5731ac69aba9c3927e83495a711c1c82a6963cf,GST-AS-87,MIXED,28,140476526,26396597,22377,MONTHLY,36.55,182507,21915861,1883951,9.67,273718,395675,2.51,3741584,L1
2022-02,DL,20889ab16b0675ab42d848bde7bdbee11adb9d457009c58fbbffc0cf87ef2afc,GST-BR-68,GOODS,5,124917675,6345820,44693,MONTHLY,43.94,19962,1987818,210644,5.57,24263,26302,2.27,832007,L1
2025-09,JH,079937c39b8fbc1c0ff10ad7a9c4ec5d2f262fe96de6ad262bfc23e8a397aa66,GST-AR-41,GOODS,18,247449759,33868493,4846,MONTHLY,86.64,158074,19289298,623287,0.87,245795,208351,13.22,4217036,L1
2022-06,MZ,fd91218273acd4f3c6f7200f38a0fce41f5856b47b5d695151137f14074773e0,GST-TS-17,SERVICES,5,101882901,3520743,44271,QUARTERLY,80.06,45271,1885035,150755,2.91,90737,3177,7.55,854307,L2
2023-06,UK,0727a9e7b56a4312ba9f1bb1dac55b33e1ba8a5dcc560cf90a17dfe358900fdd,GST-GA-65,SERVICES,12,128448026,14783374,46563,MONTHLY,92.67,98034,4970090,157279,1.0,146738,33886,7.71,366034,L3
2025-09,HR,b95d9c8dd0a85f733ac4ef6d7fa43ed3ae8962c235db741c5295b9e292946e38,GST-MH-28,GOODS,18,132208962,24462537,30435,QUARTERLY,78.56,199843,8116374,21920,2.48,20253,183139,2.15,3740109,L3
2020-03,UP,5ba7dd8926ebd80c319e78912bffa81ff4347eaf827878ff87d5cfac9391243e,GST-DL-30,SERVICES,12,93191080,11021915,27900,QUARTERLY,44.53,164200,7684225,21405,10.62,293206,60558,14.02,497034,L1
2026-05,RJ,ea6ebe51ed2712663ee5a2a878245454fa6beb841f7157bace67adca1a1d6319,GST-KL-79,SERVICES,0,233526371,0,31176,MONTHLY,57.19,13210,0,0,3.51,0,0,5.57,0,L1
2023-10,CG,327a68a25cb988f8306c37aaaf792628c8acd0440df0aefa734595a09a00b0c9,GST-GA-44,GOODS,3,123823506,3897092,38684,QUARTERLY,55.17,174288,2407593,248099,7.33,63492,25465,8.81,603132,L1
2025-07,TS,008b4573bdc30ac011b6849cfa7be8c4bc12e3a1f8953aa21744f1b0d94fea3d,GST-TR-07,GOODS,12,238388957,21750863,11654,MONTHLY,98.85,134186,11281795,1470068,2.39,230492,47322,1.18,2330717,L1
