qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_ncoial_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2017,REG859,3.7,7.88,6.31,7.68,7.8,6.37,8.45,7.26,5.77,7.61,49.78,48.53,33.97,84.72,2.99,2.51,2.2,66.05
2018,REG873,8.68,6.98,7.9,1.41,0.15,0.81,6.77,1.03,4.72,8.03,35.77,4.7,88.34,70.83,0.35,3.24,3.72,86.87
2017,REG825,9.57,7.99,2.76,3.25,4.02,7.85,9.27,4.4,3.01,2.43,25.65,0.69,23.41,29.49,7.76,5.49,3.31,59.71
2020,REG349,6.1,0.7,2.41,2.86,3.63,0.25,7.44,4.7,8.97,5.18,98.82,70.07,88.69,97.33,4.72,6.33,9.14,57.53
2025,REG195,8.95,6.14,0.52,9.71,7.78,5.93,4.59,0.98,0.1,4.35,97.34,52.57,39.23,45.53,2.98,9.77,1.33,69.52
2025,REG993,1.53,5.88,5.95,1.8,4.61,8.99,1.14,9.76,0.08,6.23,56.16,1.14,62.04,79.68,0.58,5.02,7.3,79.3
2020,REG775,6.64,7.21,2.75,9.75,7.18,9.17,6.94,1.3,2.59,4.23,42.87,64.56,57.92,8.58,8.41,8.53,8.51,21.99
2025,REG728,7.36,4.06,4.47,5.97,0.33,0.31,0.6,2.23,9.81,0.98,88.39,11.99,73.68,63.66,7.28,0.87,7.52,32.67
2021,REG397,6.25,1.01,2.41,5.53,7.8,8.69,4.26,9.76,7.74,4.02,39.15,43.98,74.72,31.98,1.02,5.63,6.17,94.03
2023,REG643,5.33,2.16,7.56,3.54,6.38,1.72,5.81,0.15,8.41,5.9,22.05,33.46,15.0,67.3,3.75,9.54,8.95,81.41
2021,REG796,2.91,4.09,9.18,4.74,0.96,2.33,0.48,0.57,9.23,6.17,10.13,58.37,97.14,1.52,7.45,1.76,3.77,11.41
2023,REG861,7.2,0.29,9.91,7.18,9.69,0.87,6.94,7.45,0.65,0.64,76.23,79.77,91.02,77.2,2.4,9.69,2.67,72.72
2019,REG169,1.22,9.27,5.88,0.92,3.83,7.65,6.18,2.23,5.69,3.09,52.73,31.8,49.63,84.22,2.12,0.02,1.55,84.19
2023,REG366,7.4,0.31,1.46,5.69,7.2,7.88,6.43,7.57,1.66,6.58,42.53,91.49,61.53,54.17,5.78,8.31,0.11,86.03
2023,REG268,9.25,2.72,9.56,5.48,5.03,1.03,9.55,7.91,0.03,7.93,55.33,9.97,70.13,66.61,6.82,8.76,7.6,91.1
2021,REG301,5.62,9.86,5.9,4.22,4.67,7.39,3.65,0.48,9.15,4.82,51.88,36.2,92.01,18.46,3.91,3.79,5.03,96.91
2023,REG651,2.62,4.13,4.22,2.32,4.84,1.86,2.06,8.49,9.34,3.9,1.04,89.03,79.12,41.6,6.19,9.14,9.88,46.6
2017,REG706,8.71,7.46,7.96,6.19,3.65,1.91,9.53,1.52,4.48,4.78,89.06,71.01,24.05,20.04,9.47,0.44,8.95,21.8
2020,REG257,5.18,5.18,9.99,8.34,0.67,1.57,0.34,1.97,2.12,0.9,52.72,97.5,80.38,20.34,7.83,9.82,8.35,46.87
2025,REG687,7.48,7.86,2.97,2.24,6.72,8.88,0.21,9.87,1.92,3.49,5.29,5.55,27.28,56.5,9.01,0.7,5.46,41.61
2019,REG784,3.7,0.33,9.14,6.22,5.88,0.49,0.99,7.9,5.49,1.99,54.98,96.81,10.37,97.02,7.75,1.44,8.15,74.4
2024,REG777,4.84,3.57,6.77,5.28,8.48,5.57,5.22,1.98,0.74,2.11,16.14,72.38,25.57,67.58,5.82,2.51,6.12,69.57
2019,REG302,5.58,7.72,1.14,3.92,2.96,6.38,7.62,9.65,4.98,7.18,52.38,35.86,20.45,88.79,5.84,6.41,6.17,23.72
2022,REG865,8.45,4.49,0.15,4.37,2.33,8.62,5.12,9.94,0.33,5.52,5.25,28.41,22.98,28.22,9.81,2.78,1.64,95.13
2023,REG738,2.87,6.59,7.89,0.17,2.35,5.71,5.11,4.21,0.31,9.51,71.51,99.53,87.48,57.37,3.52,1.64,2.11,86.8
2022,REG871,9.93,5.39,9.59,0.86,5.31,9.44,1.56,2.75,2.12,9.65,26.35,12.1,79.68,51.35,5.9,6.07,6.13,45.43
2021,REG236,1.74,9.58,2.92,1.9,6.26,8.92,3.63,0.75,5.37,9.85,38.96,2.0,50.09,38.37,0.67,8.75,6.19,15.42
2017,REG669,6.89,5.83,9.78,8.91,0.17,0.15,4.88,3.14,5.39,3.38,87.82,16.98,5.73,34.29,1.39,5.92,4.72,70.8
2020,REG198,0.8,8.39,5.52,4.68,8.41,5.98,2.12,4.23,6.88,9.86,61.23,19.44,1.73,30.36,4.28,6.23,1.95,8.39
2017,REG905,5.34,1.3,1.53,8.96,0.89,6.99,0.25,5.87,8.25,5.34,25.54,2.03,1.0,82.12,6.28,4.55,5.06,53.07
2022,REG150,8.3,9.94,5.11,4.94,9.27,6.62,6.39,0.62,4.9,6.01,81.83,73.35,99.04,7.83,5.47,1.11,8.04,57.51
2017,REG714,7.67,5.41,8.65,2.36,7.37,2.49,7.99,4.38,9.89,6.69,74.17,4.27,70.31,41.88,3.23,7.95,2.29,18.18
2021,REG461,6.29,2.57,5.59,3.85,3.97,2.03,3.22,2.74,2.43,0.81,43.31,24.47,96.1,60.17,4.62,3.38,4.61,34.15
2021,REG788,2.8,7.1,9.01,6.8,0.85,8.99,7.69,2.4,0.63,7.17,23.46,52.38,8.96,56.82,0.21,5.34,8.34,58.07
2017,REG323,5.49,6.87,3.66,2.97,3.36,1.03,2.54,3.87,3.42,4.96,48.83,73.54,39.57,67.72,8.91,4.56,5.53,67.72
2025,REG812,1.63,2.94,0.28,6.84,2.8,8.24,6.56,7.36,8.82,4.26,18.86,93.55,99.58,21.8,7.41,0.72,0.27,67.51
2018,REG791,6.03,6.78,9.48,9.9,2.45,2.94,7.35,7.02,1.46,9.48,80.59,33.14,58.04,72.39,8.82,9.89,7.07,58.53
2017,REG968,2.01,4.67,8.0,9.55,7.0,1.96,3.83,5.54,8.71,5.48,49.13,25.97,49.96,31.87,5.64,8.09,9.46,80.96
2022,REG393,6.79,5.24,8.49,8.78,5.99,5.84,6.85,5.69,5.79,5.98,32.2,75.37,35.82,64.77,7.26,5.57,2.33,57.86
2020,REG954,8.31,2.25,3.18,6.95,5.74,8.9,4.78,6.72,2.72,9.29,36.98,53.95,61.65,25.43,3.17,5.02,2.71,13.02
2024,REG373,8.56,1.65,9.8,3.63,9.51,7.02,8.65,9.43,6.69,7.8,20.31,38.2,40.06,17.08,5.61,7.46,2.52,72.64
2021,REG187,0.15,8.4,2.17,0.17,8.01,7.89,0.14,0.72,9.21,9.05,52.22,85.41,29.81,15.48,9.76,5.78,2.96,51.74
2025,REG862,8.66,0.5,3.87,7.62,7.49,1.45,1.97,5.46,6.84,7.52,62.05,78.31,43.99,56.06,4.33,7.61,1.75,25.24
2017,REG743,7.14,7.35,0.99,4.84,5.64,7.8,4.22,5.41,2.38,8.32,91.39,46.42,43.72,32.83,2.67,5.53,1.69,58.93
2017,REG436,6.94,2.26,7.02,0.17,5.34,8.44,7.28,8.51,1.48,7.19,46.91,32.32,35.58,10.19,6.97,6.32,1.53,54.42
2026,REG335,3.13,0.44,6.21,0.12,2.61,2.67,7.48,4.51,5.73,2.49,54.76,14.92,99.24,51.7,8.79,1.06,5.9,67.1
2019,REG751,9.73,5.49,4.59,7.48,1.41,0.33,3.52,8.37,0.78,5.91,5.15,50.1,13.01,60.76,3.1,3.71,0.63,77.6
2019,REG828,2.42,9.46,2.22,8.64,5.81,8.39,9.82,8.76,8.17,2.07,85.99,16.58,51.27,50.23,5.19,7.23,3.96,45.66
2022,REG534,0.98,1.69,1.83,1.34,9.45,7.4,4.55,2.98,1.15,0.24,64.99,50.51,59.24,16.75,5.89,2.04,0.41,87.22
2024,REG228,2.03,2.09,0.97,1.18,7.62,2.76,8.69,8.58,1.16,5.32,73.95,68.26,10.37,32.17,6.12,5.84,8.14,5.61
2020,REG995,8.49,9.94,1.28,6.46,0.01,3.5,4.45,3.46,6.25,0.15,90.83,31.85,15.04,43.32,5.14,0.52,7.99,73.74
2024,REG316,1.86,9.27,7.94,2.34,7.36,1.01,1.18,4.45,7.02,9.17,97.1,69.19,78.32,51.04,0.56,1.25,9.71,39.3
2017,REG239,2.85,6.05,9.22,7.89,8.31,4.38,0.84,4.87,0.73,4.97,49.71,81.72,54.65,10.07,4.57,7.32,1.04,49.0
2017,REG804,0.99,6.9,1.31,9.76,0.5,2.33,5.3,5.84,5.13,7.4,0.16,56.38,61.5,20.91,6.59,6.54,5.3,25.93
2025,REG901,6.46,4.65,5.05,2.18,8.37,5.03,2.11,1.38,9.95,7.27,53.27,56.65,11.03,72.15,9.19,8.97,7.88,65.27
2023,REG392,3.45,8.32,7.17,9.9,0.85,3.48,8.8,0.26,3.36,9.74,54.67,30.83,93.01,34.71,1.33,5.79,7.14,7.93
2021,REG651,3.72,1.25,6.36,2.69,1.7,0.94,4.01,6.21,9.75,3.38,61.25,11.76,93.61,74.06,7.12,5.48,5.63,44.68
2024,REG919,2.79,2.02,6.39,2.25,3.95,4.93,9.33,9.78,2.47,1.32,22.49,51.89,78.29,52.2,9.33,6.37,4.84,77.03
2026,REG657,3.14,3.11,5.32,8.24,8.73,0.73,1.92,3.09,6.84,4.02,47.68,78.44,64.19,58.75,5.8,1.99,1.11,32.66
2020,REG741,7.3,8.84,5.93,7.66,4.15,3.5,3.4,1.59,4.38,8.11,1.21,57.49,17.29,74.42,1.4,1.64,0.43,44.27
2023,REG609,1.13,1.4,4.68,6.64,6.66,4.56,6.19,9.59,9.82,8.45,91.44,13.6,27.88,95.4,1.3,8.75,4.39,97.5
2026,REG237,3.37,1.18,2.39,7.04,3.21,9.49,5.35,5.25,8.07,7.97,68.7,95.21,57.98,90.05,4.7,7.62,2.34,85.05
2021,REG886,5.27,2.56,3.92,7.94,4.76,1.1,0.03,2.36,1.83,7.94,66.66,83.83,41.88,58.36,4.17,2.21,6.31,38.86
2025,REG939,9.38,1.08,7.77,5.5,7.63,0.9,3.9,7.96,8.15,7.89,74.43,37.66,71.62,10.94,1.63,5.4,5.5,47.18
2019,REG157,5.11,0.54,4.16,3.4,3.83,7.19,3.61,7.91,9.91,5.46,27.76,95.79,73.18,22.48,9.94,0.1,5.76,68.45
2020,REG361,0.51,0.07,9.26,5.83,1.71,6.16,0.03,3.74,7.68,1.0,60.37,31.57,9.86,82.46,5.48,7.91,9.68,18.36
2024,REG376,4.55,6.54,7.8,0.15,2.19,7.03,4.01,5.22,6.85,5.27,83.69,37.92,69.18,42.54,5.29,1.14,8.31,31.99
2017,REG551,0.89,5.06,4.18,0.99,7.52,0.66,1.45,4.61,3.58,2.76,56.39,52.43,43.24,77.62,4.98,9.79,8.02,10.64
2022,REG508,5.36,4.69,0.47,5.28,6.05,4.63,8.66,5.57,7.86,5.87,90.93,21.42,83.17,44.8,6.98,5.66,1.09,43.66
2021,REG552,2.18,3.55,3.61,5.24,8.63,3.96,1.47,5.07,0.38,3.44,51.42,51.77,81.95,80.11,2.83,3.01,9.82,39.15
2017,REG222,6.57,2.44,6.03,8.21,1.74,4.52,3.83,9.99,7.12,0.82,22.86,15.73,1.52,31.59,3.24,2.35,5.53,21.85
2023,REG232,9.92,6.78,3.18,8.93,3.12,3.61,9.22,6.21,3.8,4.42,68.01,65.28,36.36,11.94,4.21,6.7,2.66,88.43
2019,REG418,2.05,4.2,2.38,4.55,0.89,4.37,7.39,2.82,9.84,1.85,34.33,49.2,84.34,43.48,7.36,0.15,0.26,3.79
2022,REG433,2.04,5.96,7.9,5.68,0.81,7.04,5.53,3.16,1.77,0.81,49.47,84.12,10.07,10.61,2.74,3.8,9.93,53.94
2023,REG122,2.25,9.1,7.44,3.34,7.54,8.87,3.59,8.32,4.45,7.45,29.44,69.08,87.61,47.96,7.79,5.57,8.49,23.71
2026,REG404,7.77,0.79,6.59,2.1,9.9,7.83,1.55,4.75,7.88,5.22,97.87,43.26,88.69,9.24,5.49,9.95,6.79,15.38
2017,REG605,7.04,3.51,4.94,2.17,1.61,2.99,7.76,7.93,5.44,1.87,80.91,86.69,10.23,41.43,5.51,8.06,6.32,41.21
2019,REG929,4.29,1.27,7.86,0.64,6.86,1.53,4.19,1.21,5.91,9.01,60.88,39.31,93.79,29.65,2.56,7.15,9.57,77.84
2025,REG510,1.91,3.13,5.86,1.31,9.85,8.17,5.85,9.08,4.94,8.97,82.6,1.41,79.67,78.39,3.17,4.93,1.38,66.66
2025,REG885,9.81,7.23,4.47,1.8,7.88,3.54,9.44,2.77,1.97,6.2,91.56,14.11,4.13,96.74,1.37,6.08,1.99,16.77
2025,REG149,8.43,5.22,3.99,4.32,2.53,6.58,2.64,1.11,3.21,4.87,72.84,48.73,3.48,70.44,7.74,1.03,7.21,65.68
2023,REG578,5.21,6.99,5.77,7.52,9.99,6.33,2.21,5.72,2.45,3.3,35.2,52.0,52.37,66.73,4.38,1.88,4.91,79.65
2021,REG346,1.5,7.48,7.24,0.95,9.59,0.72,4.97,6.45,8.88,2.7,26.76,78.13,41.1,20.57,0.21,7.46,0.15,63.76
2023,REG734,8.98,2.63,6.74,1.52,0.86,9.32,8.62,5.01,1.38,2.63,56.74,65.18,69.06,74.78,2.1,2.96,0.13,7.4
2023,REG308,1.86,4.93,8.49,7.23,7.55,6.0,7.0,1.8,5.52,5.71,62.87,77.93,94.4,71.17,9.23,5.5,2.89,65.85
2022,REG594,6.14,0.67,3.61,9.27,2.3,5.29,3.53,9.04,5.21,4.5,89.16,64.42,35.72,99.31,9.16,2.65,0.34,12.08
2019,REG928,3.39,5.59,1.36,2.76,4.85,4.69,6.12,3.1,3.82,0.63,64.9,49.93,4.18,50.48,2.61,1.47,0.05,98.15
2020,REG283,8.25,2.16,8.69,8.97,0.82,5.21,1.07,5.33,8.44,6.27,6.29,0.98,9.43,90.87,9.85,4.83,3.57,34.43
2021,REG408,6.62,9.98,2.23,0.1,0.41,2.23,9.93,0.77,7.49,1.5,20.38,8.59,22.81,11.55,0.17,7.99,1.9,11.86
2025,REG959,7.54,2.25,5.42,2.17,3.87,5.21,7.58,2.82,4.46,6.43,27.52,22.0,56.89,95.24,9.1,6.0,4.22,56.58
2026,REG906,3.79,3.34,3.6,0.99,4.62,5.26,8.76,0.64,8.11,6.28,96.66,82.84,45.09,77.93,9.23,4.96,2.66,40.47
2021,REG392,6.02,4.26,6.0,0.33,3.77,6.68,1.11,2.15,7.31,6.61,34.57,99.24,31.08,24.72,3.41,7.51,0.92,28.76
2025,REG473,8.65,4.36,3.81,3.51,0.53,9.38,0.44,5.62,7.93,8.57,18.47,3.25,76.84,6.14,4.37,3.55,1.34,53.12
2019,REG741,6.64,7.97,2.31,7.4,6.46,2.7,1.95,8.74,2.01,0.79,31.81,90.45,58.59,71.82,2.19,4.94,7.91,36.98
2026,REG593,1.68,4.48,8.08,2.46,8.08,2.35,7.49,8.74,8.16,7.38,3.84,33.02,19.65,47.46,3.54,6.18,5.66,43.09
2019,REG846,1.13,6.9,2.66,3.18,4.0,1.9,8.59,0.88,1.7,3.81,37.58,5.19,33.85,76.43,8.91,1.24,6.52,92.66
2021,REG579,1.56,8.61,4.27,8.25,2.11,0.69,5.96,2.66,8.07,8.25,72.34,49.77,92.32,58.55,1.8,5.82,5.76,64.01
2019,REG872,6.89,4.03,6.1,9.21,3.39,5.52,7.7,1.21,3.54,1.36,83.97,77.19,31.67,2.93,4.1,0.17,2.92,21.03
2026,REG570,6.9,7.09,7.06,8.2,7.93,6.27,2.27,3.54,4.12,7.07,53.64,74.24,15.89,23.23,0.57,5.85,9.65,54.35
2024,REG809,4.38,7.2,8.79,5.45,6.52,2.67,2.02,3.96,5.59,0.34,9.21,63.08,19.93,45.34,9.37,8.63,0.64,5.87
2025,REG526,6.66,1.78,8.7,9.89,5.53,1.17,6.86,1.33,9.02,5.86,80.04,62.49,52.6,52.52,7.39,9.03,2.19,11.39
2022,REG116,3.46,6.39,5.68,8.78,6.12,4.89,0.74,9.75,4.22,5.73,50.2,73.8,64.65,34.27,5.2,8.26,6.33,95.46
2026,REG907,4.85,8.07,4.42,2.13,6.3,3.54,0.25,2.14,1.67,7.95,72.67,61.45,93.43,17.81,1.63,9.09,6.47,55.76
2018,REG534,2.82,5.95,4.27,3.07,8.76,1.61,0.18,3.59,1.98,8.11,12.66,93.75,16.75,88.93,1.68,0.48,4.88,35.64
2024,REG473,3.27,9.9,7.82,4.85,3.74,3.19,6.92,4.17,6.5,4.16,37.15,33.17,91.89,76.64,6.55,6.65,1.82,93.56
2026,REG853,2.24,0.24,3.69,3.07,8.42,6.67,7.93,1.49,5.71,4.9,42.64,99.33,44.65,10.69,0.33,7.98,0.1,91.79
2017,REG907,6.58,2.46,5.34,2.44,6.83,0.75,7.21,3.37,4.54,4.84,19.44,94.22,0.02,37.27,1.29,3.6,1.04,37.87
2024,REG458,2.83,3.21,3.55,6.53,7.58,3.3,9.25,7.46,4.04,0.98,56.03,61.38,13.63,85.2,3.81,1.52,5.21,42.2
2026,REG799,9.51,5.06,8.28,3.93,3.81,0.34,4.59,6.44,1.3,1.85,97.16,73.16,90.85,47.61,1.79,1.66,5.42,71.54
2026,REG711,9.12,0.81,0.12,4.73,3.32,0.87,1.5,2.57,0.99,3.19,13.28,62.47,69.66,77.55,8.7,0.03,1.76,81.47
2021,REG159,6.52,6.84,8.57,2.88,8.06,4.99,0.16,1.53,8.39,2.68,29.7,73.52,68.59,45.03,7.3,6.1,1.83,27.68
2020,REG866,6.62,0.55,7.43,5.33,4.39,5.97,6.2,5.84,7.13,6.36,48.31,82.95,97.37,61.26,7.12,5.08,4.01,86.08
2026,REG843,6.9,1.37,7.67,2.35,6.07,1.39,0.01,7.41,8.75,8.0,13.29,23.47,82.44,1.68,5.28,8.36,1.95,14.41
2023,REG817,1.96,9.6,5.95,2.23,8.33,3.07,7.3,6.28,1.6,0.94,60.75,66.83,13.11,17.27,0.5,1.34,5.88,20.06
2019,REG355,7.15,1.23,5.24,2.97,9.63,2.12,6.83,3.09,4.16,8.27,99.72,12.1,45.95,62.03,3.93,1.32,0.24,3.13
2019,REG724,4.11,9.79,9.12,6.11,4.75,5.73,4.64,3.47,6.1,9.3,64.6,17.74,47.59,17.26,1.19,3.3,1.99,93.53
2022,REG381,9.64,8.41,2.61,0.93,5.67,2.46,2.51,5.74,4.58,5.07,31.91,32.42,99.94,39.32,2.23,7.04,7.84,23.52
2021,REG360,2.94,5.25,3.81,1.55,0.25,5.06,8.71,5.95,8.69,7.66,34.32,41.32,86.23,70.54,5.59,9.47,0.47,85.69
2023,REG268,6.49,9.15,3.54,4.95,3.23,7.04,1.3,7.53,7.81,0.66,39.97,69.68,9.43,79.34,6.42,4.63,0.95,7.13
2018,REG900,8.9,2.48,3.04,1.7,6.86,0.28,9.31,2.75,7.7,9.65,14.69,12.43,27.58,58.96,0.01,6.06,5.77,4.59
2019,REG524,8.34,2.99,8.18,4.42,8.42,4.71,9.01,9.14,0.06,3.86,88.73,1.39,10.21,43.09,9.8,9.27,5.85,25.26
2018,REG391,3.23,6.53,1.69,6.02,6.92,7.15,9.77,0.26,0.77,6.05,48.25,62.89,69.37,3.44,4.82,4.97,6.21,35.84
2017,REG328,2.18,7.86,8.8,1.74,6.09,2.01,8.32,7.72,5.82,3.17,98.31,64.64,73.87,88.05,8.24,8.21,2.54,31.59
2023,REG933,0.57,2.59,4.43,7.15,1.62,5.07,3.35,2.16,0.62,8.22,68.46,28.09,38.92,54.81,3.21,1.87,2.11,85.07
2022,REG835,9.0,4.54,5.29,6.05,2.89,8.36,9.58,2.83,0.0,5.26,59.28,6.35,67.29,29.21,9.59,7.81,0.73,95.44
2017,REG907,7.98,6.43,5.36,9.33,6.06,8.59,8.28,6.72,4.9,0.98,15.4,53.28,33.22,20.78,9.67,8.59,4.3,87.11
2022,REG711,9.48,6.89,7.64,8.33,0.53,7.18,3.57,8.18,3.88,7.68,90.13,33.93,46.94,53.74,6.88,8.44,2.1,94.56
2017,REG594,1.4,3.36,2.51,1.59,6.45,0.66,5.99,8.28,3.62,4.9,14.41,72.04,90.87,73.28,1.23,3.45,1.73,58.94
2018,REG863,6.82,5.43,9.37,5.44,9.91,9.69,4.02,0.34,8.08,8.53,55.3,73.27,47.71,63.28,5.12,4.8,8.2,17.95
2023,REG906,6.74,9.86,5.72,5.5,5.08,0.52,6.51,9.64,7.23,3.2,65.69,50.39,66.66,99.75,6.1,0.19,2.54,42.34
2025,REG321,4.63,4.52,8.77,2.89,4.08,2.36,8.0,7.91,9.45,8.32,80.66,23.61,68.35,4.19,0.22,3.04,8.69,27.54
2026,REG882,2.21,0.47,5.94,8.17,5.7,5.05,4.39,7.16,9.66,3.14,34.28,6.69,16.52,52.61,3.15,8.2,6.22,73.13
2024,REG955,1.0,5.62,2.59,5.22,1.12,7.79,3.99,6.65,4.92,4.67,38.19,48.28,61.27,22.41,7.14,4.86,6.17,47.26
2026,REG658,9.64,8.65,1.8,7.01,7.54,0.35,9.61,2.33,9.08,6.54,51.21,78.58,67.5,74.02,8.58,4.71,4.26,89.98
2017,REG662,9.01,7.44,9.21,4.85,0.03,9.34,2.69,3.35,5.53,2.17,95.98,12.97,33.4,96.19,9.91,6.42,7.85,57.69
2020,REG935,7.46,4.61,7.14,9.62,9.63,4.47,2.34,2.51,8.19,0.8,4.04,68.14,91.01,23.08,0.55,8.95,3.54,54.97
2021,REG782,2.5,6.01,9.92,7.41,3.97,7.68,0.22,2.15,7.45,2.62,12.61,29.33,17.13,42.06,1.25,8.38,7.8,30.7
2023,REG120,8.55,9.29,0.91,7.22,1.35,0.2,0.79,5.76,3.77,1.19,47.43,50.82,78.74,66.37,4.66,3.24,0.02,83.2
2022,REG600,2.13,7.35,0.72,2.63,4.35,4.42,1.58,0.4,4.71,3.57,28.48,27.06,50.42,2.17,1.06,3.25,4.8,69.38
2022,REG308,6.67,3.87,7.75,4.81,5.41,4.35,1.33,1.71,4.0,0.99,14.02,62.37,63.32,12.74,8.54,8.57,3.8,49.8
2018,REG884,7.63,3.63,3.17,6.64,3.64,6.89,1.3,6.72,7.85,9.05,45.62,56.03,28.89,15.05,1.73,8.45,5.41,37.63
2025,REG858,1.14,5.94,7.91,1.25,1.21,0.33,9.42,6.92,0.71,6.71,30.36,10.93,99.22,17.99,7.99,8.81,5.3,97.6
2019,REG792,9.61,0.71,4.77,8.55,5.53,5.83,1.61,9.84,2.31,8.59,95.66,28.08,73.05,8.04,7.41,4.84,1.18,89.46
2020,REG726,1.69,5.33,3.26,7.11,6.27,1.9,2.42,7.05,6.75,3.12,47.82,46.72,12.44,62.11,2.64,4.6,0.72,61.4
2022,REG948,5.7,5.97,6.73,1.96,0.69,8.54,8.47,5.45,1.97,8.17,22.02,86.09,42.38,5.75,8.17,5.61,3.18,45.29
2024,REG214,2.03,1.04,7.85,6.22,8.7,3.13,5.61,0.42,8.47,1.91,11.46,48.46,74.49,20.98,2.33,3.16,8.11,74.74
2026,REG454,0.69,1.41,8.31,9.93,7.83,1.97,0.25,0.39,2.68,8.81,21.32,64.27,13.83,70.65,1.47,3.84,2.06,27.67
2024,REG760,0.76,0.75,4.42,4.84,0.33,9.66,4.86,7.88,6.35,6.19,30.31,88.71,29.97,95.15,0.39,1.15,7.27,60.87
2023,REG490,6.42,5.27,0.31,8.09,5.1,1.06,1.92,6.62,0.77,8.69,79.07,30.63,88.35,88.52,8.38,3.08,6.56,45.14
2022,REG851,8.46,4.17,5.51,9.66,4.55,2.36,0.21,9.22,0.54,2.39,85.66,93.93,66.55,25.87,2.68,5.05,9.34,94.68
2018,REG730,1.26,2.06,9.79,8.1,3.52,4.05,2.99,2.25,0.61,0.34,50.16,53.01,76.16,9.51,5.15,9.24,8.53,53.46
2023,REG366,1.56,4.77,6.17,9.79,8.31,4.14,3.5,0.13,0.08,4.74,6.93,15.64,98.04,71.72,4.52,8.58,1.77,38.93
2026,REG531,9.95,9.01,5.26,4.24,9.98,2.06,4.08,7.12,7.04,5.74,95.19,24.68,56.86,81.05,2.32,8.71,6.39,38.11
2017,REG182,9.88,2.81,9.09,0.39,0.07,6.02,4.82,4.69,2.34,5.97,1.69,43.38,36.69,19.31,5.11,6.9,8.13,46.22
2017,REG899,2.1,5.79,3.89,3.18,5.23,5.56,2.34,3.78,7.08,3.87,44.41,64.0,19.08,86.68,3.38,6.88,2.97,64.81
2021,REG357,7.48,1.05,3.07,5.68,6.33,1.38,3.2,1.02,8.34,9.84,28.38,48.31,50.65,16.45,6.68,5.17,5.14,5.86
2022,REG460,9.64,9.4,0.18,5.4,0.65,7.93,0.49,5.49,6.19,0.96,59.44,94.17,9.73,68.47,2.71,2.74,5.44,92.78
2025,REG936,9.93,0.91,9.4,0.18,1.62,9.76,2.66,0.07,8.85,9.14,74.44,93.96,26.57,64.53,7.42,9.74,8.98,5.91
2019,REG186,4.7,9.85,5.99,8.49,8.9,0.71,4.81,9.62,1.49,1.88,50.61,13.32,85.99,76.28,8.5,4.05,6.47,32.71
2021,REG201,7.01,0.65,8.89,9.07,1.57,7.81,4.73,6.81,4.75,0.79,84.0,8.57,36.02,98.6,4.27,8.2,1.69,83.01
2017,REG120,9.69,8.86,3.48,9.49,1.03,0.26,5.33,7.7,2.21,0.8,84.55,98.63,69.43,97.53,8.33,2.52,1.1,80.89
2017,REG426,8.13,7.18,5.05,9.41,7.54,0.09,7.04,5.44,1.38,4.35,52.42,46.85,43.44,63.12,6.59,6.98,7.61,83.31
2021,REG900,0.73,3.65,0.04,5.95,9.75,8.27,4.86,7.08,7.42,5.95,88.56,32.18,67.34,6.46,1.38,9.38,5.43,75.44
2018,REG916,3.25,5.88,1.97,6.28,8.01,2.04,9.58,5.03,2.18,0.67,28.65,47.34,47.86,20.44,2.58,6.78,7.75,10.78
2024,REG683,9.16,0.35,6.13,5.83,2.36,8.25,0.07,9.29,5.98,4.91,74.01,94.22,82.19,56.78,1.26,3.81,8.73,85.12
2022,REG612,2.28,9.68,8.8,2.19,7.76,0.86,1.58,1.82,0.43,4.85,39.06,58.96,68.87,59.53,2.78,0.83,7.32,30.91
2023,REG948,5.84,6.89,9.5,8.86,2.25,8.16,9.8,7.89,1.29,6.2,65.28,14.74,55.51,92.32,2.95,8.07,6.43,67.45
2018,REG693,5.74,0.35,6.09,3.44,5.29,1.25,3.36,5.82,5.72,1.58,41.47,51.95,8.12,59.94,2.32,9.2,2.69,78.74
2025,REG834,7.24,3.94,5.29,7.76,4.93,7.26,5.67,7.13,0.91,9.78,8.7,63.61,2.31,51.71,0.96,0.9,2.85,24.16
2023,REG528,5.79,8.85,9.17,2.9,8.65,9.68,3.12,9.37,4.26,4.64,48.04,73.11,26.06,24.04,6.3,5.58,0.71,90.25
2021,REG721,7.51,5.78,5.72,8.59,8.8,5.6,4.28,6.2,1.2,4.2,66.2,76.3,72.13,17.46,6.12,0.9,5.96,74.59
2023,REG333,7.03,0.2,1.91,3.89,2.34,5.32,8.98,7.38,2.67,3.98,5.2,0.62,42.51,72.79,8.61,4.31,1.8,26.14
2021,REG761,0.09,1.11,9.19,4.7,5.38,1.53,9.87,1.82,6.02,5.69,6.54,99.64,55.01,15.56,7.55,3.92,6.7,22.34
