house_change_analysis_period_start,house_change_analysis_period_end,house_change_ward_lgd_code,house_change_median_rent_change_pct,house_change_median_value_change_pct,house_change_income_change_pct,house_change_education_ba_share_change,house_change_racial_composition_shift_index,house_change_business_turnover_rate,house_change_new_building_permits_rate,house_change_short_term_rental_density,house_change_property_tax_increase_pct,house_change_cost_burden_change_pct,house_change_eviction_rate_change,house_change_foreclosure_rate_change,house_change_transit_access_change_score,house_change_amenity_openings_count,house_change_anti_displacement_policy_flag,house_change_vulnerability_score,house_change_gentrification_stage_code
2023-11-08,2025-10-05,LGD-W-9777081,47.61,28.37,36.61,-3.54,99.87,1.74,26.27,19.526,48.82,-1.58,7.147,6.335,-28.34,12,Y,56.19,Stabilizing
2019-10-03,2020-03-19,LGD-W-7804111,-24.92,34.11,43.35,21.32,75.61,29.19,27.85,3.723,22.6,34.44,-1.351,-2.645,26.76,29,Y,11.67,AtRisk
2023-07-30,2024-04-22,LGD-W-8982445,1.28,-10.36,9.69,-3.27,83.27,28.81,38.6,17.917,23.71,3.91,1.867,6.01,-31.08,137,N,31.51,EarlySignals
2023-12-28,2024-09-27,LGD-W-6921083,13.57,78.63,1.45,27.49,77.0,18.67,10.14,5.99,-3.79,19.34,-1.258,3.737,19.7,134,N,56.54,Emerging
2019-09-23,2021-07-06,LGD-W-6890349,28.53,4.5,19.42,9.85,20.37,10.36,23.31,1.323,60.96,6.57,6.454,0.64,0.88,38,N,31.7,Accelerating
2022-11-14,2024-03-12,LGD-W-5886020,28.56,27.01,7.88,7.33,86.63,58.47,37.68,0.034,19.26,4.02,3.963,-1.316,5.68,180,N,22.56,Stabilizing
2020-09-27,2021-05-28,LGD-W-8188795,20.03,-12.33,-9.71,12.2,29.7,12.14,0.29,19.723,58.7,32.53,-3.919,3.582,12.09,20,N,32.16,AtRisk
2021-10-20,2022-10-02,LGD-W-7748273,-19.13,-27.51,43.21,0.75,4.04,50.22,0.96,6.622,26.74,-11.91,-0.015,1.718,-5.2,219,Y,48.06,LateStage
2019-12-13,2020-07-10,LGD-W-3819672,-21.6,14.14,-9.8,24.52,39.37,37.14,42.88,11.901,-2.29,13.59,3.308,-1.189,-6.78,34,Y,69.65,LateStage
2018-10-16,2020-09-17,LGD-W-9035121,31.58,30.37,22.11,14.33,27.65,31.45,16.34,2.711,63.14,-12.39,-2.819,2.792,-14.24,84,N,61.19,AtRisk
2024-04-19,2025-04-30,LGD-W-5944590,40.12,-18.99,44.32,-7.43,30.61,37.27,43.0,20.826,-1.4,15.63,8.498,0.996,-0.16,29,N,56.53,AtRisk
2018-05-11,2019-01-22,LGD-W-6579040,29.85,29.23,14.44,7.2,57.83,38.92,4.32,14.371,18.25,9.43,-3.929,-0.531,-2.1,195,N,22.3,AtRisk
2022-02-20,2023-07-16,LGD-W-1150078,-0.3,79.62,30.79,15.66,26.35,4.71,36.74,16.792,7.31,7.2,3.897,-0.125,24.21,150,N,47.25,Emerging
2021-04-17,2023-01-06,LGD-W-5328178,21.65,12.06,23.59,-6.78,87.17,25.89,5.14,2.67,4.24,7.03,2.502,1.604,-15.38,186,Y,2.28,EarlySignals
2020-03-20,2020-08-12,LGD-W-2487043,27.69,29.98,19.91,-2.54,60.09,43.52,3.69,20.336,42.44,-14.38,0.058,0.969,-5.71,110,Y,71.07,AtRisk
2021-04-01,2022-07-18,LGD-W-8179631,48.23,70.35,15.03,24.24,58.61,38.67,16.68,15.414,8.26,4.99,8.558,2.352,19.3,162,N,24.57,EarlySignals
2023-04-03,2024-10-23,LGD-W-7602796,-5.32,76.11,1.43,14.61,71.08,29.84,16.36,10.584,56.98,15.63,-3.184,3.448,-20.51,69,N,37.93,AtRisk
2021-10-29,2022-03-26,LGD-W-7165921,-10.3,25.65,13.43,5.59,20.55,49.6,37.42,6.409,38.2,-7.72,-0.762,-2.338,23.83,178,N,85.04,Stabilizing
2022-10-26,2023-10-08,LGD-W-3388350,-3.47,4.27,-5.89,5.52,68.43,52.5,1.73,10.34,15.49,-13.73,7.417,5.57,-3.54,173,N,73.14,LateStage
2023-12-03,2024-06-27,LGD-W-5029939,10.24,61.37,37.48,1.29,87.35,18.66,1.44,20.327,54.06,13.17,8.346,3.491,-0.87,108,Y,86.63,EarlySignals
2021-12-11,2023-09-03,LGD-W-2433517,32.31,2.42,25.03,11.44,92.99,31.49,33.6,12.342,58.26,2.34,-5.012,3.345,-0.57,51,Y,16.52,EarlySignals
2024-10-01,2026-08-16,LGD-W-7906449,-22.3,67.11,35.76,20.03,93.66,31.79,24.75,13.694,33.93,15.85,-0.324,-1.697,2.36,214,Y,75.89,AtRisk
2019-02-04,2019-07-26,LGD-W-2028007,18.71,33.35,-0.02,-7.68,37.76,23.62,13.35,10.5,19.31,-3.58,2.207,-0.105,17.85,197,Y,34.3,Accelerating
2018-08-15,2019-07-08,LGD-W-8043668,-16.92,-21.8,19.97,6.11,54.82,16.4,11.8,18.032,39.67,18.72,-0.813,6.827,9.47,87,N,42.71,Stabilizing
2018-07-29,2020-02-21,LGD-W-8156865,1.67,5.62,8.99,-3.24,25.04,53.18,23.94,3.579,52.23,27.2,0.69,6.348,22.48,115,N,88.55,EarlySignals
2022-05-04,2023-11-15,LGD-W-2555999,-1.11,38.83,-1.96,3.81,37.27,10.11,36.92,11.575,38.59,1.35,-0.321,1.017,19.4,181,Y,23.44,Emerging
2022-05-14,2023-11-03,LGD-W-5252770,7.8,82.9,12.23,1.13,9.87,46.85,4.67,7.205,43.77,-1.66,-4.404,2.788,-9.02,55,Y,16.5,EarlySignals
2023-03-30,2024-09-26,LGD-W-9334641,-6.03,-2.25,44.57,0.84,74.44,41.61,13.17,21.739,21.97,18.84,10.033,4.295,23.25,79,N,71.29,Accelerating
2019-04-08,2021-03-02,LGD-W-7819942,-19.77,34.79,-11.99,12.09,84.81,25.63,41.0,14.374,34.55,-10.4,4.219,0.279,26.65,204,Y,1.46,LateStage
2022-04-15,2024-04-04,LGD-W-8434456,47.6,53.88,20.64,-6.58,43.81,37.69,25.55,16.164,36.77,-1.2,7.315,-2.903,12.71,176,Y,74.53,EarlySignals
2022-10-10,2023-04-05,LGD-W-5778362,26.86,9.55,-1.14,-4.12,68.0,17.93,43.81,19.934,5.26,-13.16,11.814,-2.271,16.08,163,N,86.29,AtRisk
2022-02-08,2022-07-09,LGD-W-8660107,41.37,81.51,18.4,21.34,13.6,56.28,19.07,3.691,41.76,-5.76,-2.947,3.896,24.26,219,N,55.49,EarlySignals
2021-06-28,2023-01-09,LGD-W-5251073,15.76,-22.48,34.87,-9.49,11.33,11.12,6.77,5.744,6.76,-4.83,8.084,-0.325,21.26,55,N,72.87,EarlySignals
2020-09-24,2022-01-23,LGD-W-3714227,46.33,78.28,8.31,-4.54,8.22,59.72,12.4,12.562,21.14,29.75,11.602,-2.679,7.72,36,N,98.07,EarlySignals
2018-02-19,2019-11-10,LGD-W-9713652,8.2,-2.01,22.99,1.32,88.31,2.61,21.19,12.493,49.94,0.66,9.578,3.084,32.87,42,N,32.13,Emerging
2019-07-23,2020-12-20,LGD-W-1884604,29.33,17.3,27.89,23.55,20.78,37.34,41.36,0.485,18.34,-5.29,3.58,-1.268,29.33,32,N,59.51,AtRisk
2022-05-09,2022-10-13,LGD-W-9643469,-7.61,20.1,-3.25,-1.65,34.66,28.8,44.4,20.404,62.12,14.8,8.514,5.664,10.7,35,Y,5.18,LateStage
2020-09-28,2021-12-01,LGD-W-4023539,27.83,28.74,-13.05,2.0,60.48,3.27,8.59,16.986,10.35,13.68,5.166,5.662,34.62,117,N,4.53,AtRisk
2021-08-16,2022-12-25,LGD-W-2965110,31.58,48.14,27.55,24.17,74.6,11.28,7.71,5.679,60.15,-9.55,1.295,4.096,28.69,24,N,42.04,EarlySignals
2018-06-13,2018-09-22,LGD-W-2549787,46.16,33.59,23.87,-7.1,23.18,34.55,13.29,6.902,32.02,-13.21,8.686,1.958,-9.56,104,N,51.19,AtRisk
2019-06-21,2020-03-18,LGD-W-4244328,51.94,68.35,28.58,20.17,70.97,45.78,13.66,6.917,62.86,29.22,-1.452,-2.772,-8.61,42,N,95.62,LateStage
2021-04-18,2022-05-17,LGD-W-4053762,6.25,67.39,16.81,25.96,56.31,17.49,41.0,14.273,27.9,-9.95,11.428,5.67,-20.41,117,Y,27.03,Emerging
2020-10-04,2022-06-01,LGD-W-4913946,35.09,22.38,32.0,-2.98,44.95,57.87,31.36,16.752,21.81,33.61,-0.8,0.853,15.39,150,N,56.41,Stabilizing
2018-02-10,2018-07-13,LGD-W-5132510,45.99,70.59,2.43,10.21,44.99,31.48,19.46,6.281,16.67,-5.51,11.163,2.027,8.46,28,Y,99.71,EarlySignals
2021-08-05,2022-05-06,LGD-W-7869467,49.19,-28.25,32.02,25.94,57.76,24.63,1.49,5.073,25.18,9.77,2.749,5.015,2.55,135,Y,34.18,Accelerating
2018-09-09,2020-01-21,LGD-W-5577975,-0.01,83.31,24.94,-3.84,42.73,47.79,14.18,7.628,33.05,0.53,5.432,-1.388,19.81,21,Y,9.14,Accelerating
2023-04-16,2023-08-07,LGD-W-3609986,24.57,67.66,22.29,6.43,49.4,41.12,19.59,15.939,32.84,31.89,11.772,-0.174,-7.23,166,N,48.39,LateStage
2019-09-07,2020-07-17,LGD-W-1898531,22.17,70.31,33.26,7.77,92.63,12.8,33.54,18.721,58.36,-12.76,7.101,-1.898,-19.4,168,Y,56.75,AtRisk
2018-06-22,2019-12-28,LGD-W-2618201,-24.55,26.74,29.64,2.88,37.98,57.91,30.47,0.663,2.56,2.11,-5.363,5.253,18.79,43,Y,9.01,Stabilizing
2019-09-25,2020-04-14,LGD-W-6311298,6.66,-6.68,-8.27,27.2,63.4,55.74,24.38,10.197,42.34,-1.13,-2.463,3.658,-15.01,180,N,27.27,AtRisk
2019-09-04,2020-05-31,LGD-W-8304766,5.72,62.12,-0.85,0.83,37.92,11.99,15.26,8.278,43.3,34.32,-5.118,3.144,3.31,31,Y,15.32,Stabilizing
2019-04-28,2020-12-04,LGD-W-2518745,-11.75,7.1,-1.2,-11.45,3.61,52.07,21.54,13.827,2.79,-0.03,8.267,5.591,-4.82,117,N,52.72,EarlySignals
2023-01-12,2023-11-22,LGD-W-5790986,22.74,29.91,19.66,7.15,16.7,43.29,33.07,1.392,26.49,6.9,0.715,2.339,-20.41,98,N,74.9,Stabilizing
2022-03-18,2022-07-21,LGD-W-9212307,-12.21,-9.86,-8.59,15.83,21.16,33.17,34.35,10.886,27.08,31.8,9.755,5.958,-14.61,170,Y,0.24,Stabilizing
2024-01-29,2024-08-31,LGD-W-2027682,-21.17,82.49,5.11,-11.89,80.56,0.2,31.42,3.718,60.18,21.98,6.341,-0.906,3.14,33,N,21.86,AtRisk
2019-11-17,2020-02-19,LGD-W-3140594,15.16,25.77,30.03,1.01,52.88,41.55,1.1,10.666,8.74,11.1,0.969,6.269,11.54,22,N,82.09,EarlySignals
2023-11-30,2025-09-05,LGD-W-7948840,17.65,71.46,6.4,-11.29,35.47,24.52,43.84,1.012,50.69,-9.07,2.551,0.457,5.35,61,Y,30.7,AtRisk
2019-03-16,2020-05-03,LGD-W-6244182,21.34,3.89,-10.65,13.27,9.54,8.5,39.78,15.021,8.13,-12.77,11.694,-1.166,12.5,160,Y,98.5,Emerging
2019-10-13,2020-03-15,LGD-W-4024087,52.04,33.87,21.0,27.82,27.28,58.56,1.88,8.217,60.21,-13.7,0.097,-2.178,-26.89,121,Y,35.29,EarlySignals
2019-09-27,2021-06-06,LGD-W-3623855,-22.75,-12.04,5.2,5.53,53.02,1.1,3.22,18.802,60.61,9.59,11.692,4.391,27.23,198,Y,15.82,Emerging
2023-02-17,2024-07-25,LGD-W-6208277,19.09,45.96,32.58,13.19,4.95,53.56,10.72,7.077,38.61,21.52,-3.32,2.144,-29.36,83,Y,80.28,AtRisk
2024-04-24,2025-07-22,LGD-W-5106776,21.79,28.08,-6.43,16.99,61.87,26.99,11.47,14.402,29.68,-13.36,2.646,-1.219,-16.05,30,N,20.31,Emerging
2023-04-05,2024-01-04,LGD-W-3944302,29.89,52.9,-10.11,10.49,98.76,51.55,21.31,0.848,-1.97,8.63,0.426,4.128,-24.86,116,Y,71.42,Emerging
2018-10-29,2019-03-31,LGD-W-4130180,4.6,-6.11,5.85,14.32,52.31,41.22,3.58,18.631,7.43,1.82,3.866,-2.803,18.39,167,Y,86.44,EarlySignals
2024-12-11,2026-05-20,LGD-W-6987290,24.54,-2.58,-6.31,0.3,58.32,44.5,24.23,18.388,37.33,14.6,-5.381,-0.28,34.42,148,Y,67.67,AtRisk
2021-01-21,2022-08-29,LGD-W-2178350,-22.62,18.25,13.89,3.09,36.73,50.17,1.89,18.191,1.09,14.3,3.153,4.414,-25.03,209,Y,83.07,AtRisk
2023-07-15,2025-06-11,LGD-W-6915682,50.72,7.91,6.33,9.58,71.23,1.18,7.49,13.982,50.68,24.68,8.692,-1.205,28.23,138,Y,71.73,Stabilizing
2020-04-02,2021-07-01,LGD-W-4505847,13.99,11.28,31.33,4.6,0.16,25.23,24.1,11.941,11.5,15.33,1.009,3.378,-3.91,118,N,72.37,Emerging
2023-05-25,2024-12-22,LGD-W-7843890,19.87,9.92,5.82,15.01,53.88,41.57,36.73,9.524,1.22,13.61,-3.655,-1.292,-17.11,194,N,73.36,Emerging
2020-01-14,2021-02-25,LGD-W-4993192,5.12,74.46,-10.38,-8.68,55.99,35.01,37.98,20.247,24.91,12.12,5.683,-2.192,-30.23,63,N,31.47,AtRisk
2022-11-17,2024-10-22,LGD-W-2690897,22.02,-23.82,40.76,0.26,7.63,16.28,42.8,11.824,39.28,23.86,9.055,-0.007,-14.62,119,Y,55.28,Stabilizing
2023-03-20,2023-12-01,LGD-W-4773631,-7.45,4.96,34.17,-10.36,82.64,40.02,18.84,11.341,-2.79,14.69,10.294,6.012,-23.95,17,Y,19.05,Emerging
2020-01-06,2020-06-05,LGD-W-9781377,-4.8,-19.22,0.87,15.83,22.61,33.75,29.24,7.238,11.46,4.6,10.311,-1.013,13.2,143,N,36.52,EarlySignals
2019-08-11,2020-09-06,LGD-W-9280802,-3.8,0.01,42.36,-5.83,86.39,3.97,32.66,8.955,37.4,6.35,-3.43,2.361,26.21,169,N,39.3,Accelerating
2019-03-11,2019-11-21,LGD-W-2489111,29.22,59.96,12.56,22.05,32.46,28.53,26.35,21.032,38.19,22.59,8.344,-2.749,-14.2,93,Y,68.55,Stabilizing
2021-06-03,2023-04-16,LGD-W-2787490,44.18,30.62,-14.18,16.25,71.44,52.0,17.15,11.669,36.61,32.84,5.655,5.522,-2.45,113,N,29.05,EarlySignals
2020-12-15,2022-02-23,LGD-W-8681743,15.58,84.05,30.88,-6.76,29.41,26.59,23.7,8.576,24.88,8.69,8.031,4.662,-26.35,76,Y,3.36,LateStage
2024-07-22,2025-03-17,LGD-W-4938235,46.65,69.19,23.01,14.74,2.11,23.47,29.16,7.696,8.15,-7.68,1.28,6.848,-8.66,41,N,35.79,Stabilizing
2019-11-23,2020-08-25,LGD-W-8270792,3.83,58.7,25.19,20.46,43.36,4.16,9.17,18.516,34.07,-10.16,6.37,4.083,-17.61,204,N,44.87,LateStage
2022-09-23,2024-03-06,LGD-W-4104887,-21.33,-25.02,16.72,-5.13,92.22,24.21,37.95,13.667,58.54,8.04,8.293,-2.682,24.37,178,Y,58.47,Emerging
2018-10-20,2020-05-12,LGD-W-6040211,51.55,71.77,33.99,27.26,92.84,56.66,8.42,2.768,47.3,19.39,5.108,-2.125,3.55,95,Y,24.83,AtRisk
2023-06-15,2024-02-23,LGD-W-2854812,21.1,38.01,31.0,21.81,76.79,34.27,40.71,16.096,34.5,21.56,-4.926,1.229,-19.0,117,N,59.34,LateStage
2018-07-17,2020-06-23,LGD-W-1668437,-15.57,82.6,11.17,22.85,3.81,24.65,44.34,8.312,7.16,32.1,-0.531,6.052,27.88,57,N,27.26,Stabilizing
2018-10-09,2020-02-28,LGD-W-9567813,2.61,28.53,-10.87,23.14,52.15,16.76,20.83,3.709,21.79,18.76,11.22,1.831,-29.63,70,Y,86.51,AtRisk
2022-12-12,2024-06-28,LGD-W-9572581,41.74,7.41,21.78,19.03,81.28,27.65,25.88,13.967,25.23,-11.09,9.266,-2.721,-17.31,209,Y,93.35,Emerging
2023-03-26,2024-11-24,LGD-W-8833387,18.06,25.97,36.02,7.61,23.68,39.68,7.44,5.048,41.83,18.76,1.954,2.378,25.12,203,Y,37.36,EarlySignals
2022-05-19,2023-05-15,LGD-W-8683705,-8.63,78.66,34.99,15.14,51.16,33.39,26.78,10.136,20.67,14.45,0.853,2.739,-31.82,76,Y,61.78,AtRisk
2022-05-10,2023-01-11,LGD-W-6453909,-9.36,72.79,4.83,15.89,17.84,32.62,9.37,16.903,42.01,-2.74,11.486,-0.561,-22.68,157,N,33.83,Accelerating
2022-12-24,2024-11-02,LGD-W-4563767,-0.85,75.42,7.08,2.98,74.15,36.61,24.5,2.536,35.2,-0.14,10.68,-2.734,-25.54,171,N,54.75,LateStage
2023-07-06,2024-02-12,LGD-W-8293203,40.11,-8.38,26.91,-3.49,97.32,49.6,25.22,2.589,9.06,3.91,-0.567,-1.717,13.39,169,Y,74.39,Accelerating
2024-11-11,2026-04-20,LGD-W-2977223,-17.7,81.22,0.36,27.35,95.68,43.61,30.44,16.537,42.42,24.33,-3.53,-2.837,4.5,49,Y,79.82,EarlySignals
2020-09-23,2021-05-29,LGD-W-7150605,-14.11,-14.37,25.22,16.56,14.36,41.3,5.75,21.741,40.66,12.11,10.475,6.686,30.84,205,N,30.93,EarlySignals
2020-09-19,2020-12-22,LGD-W-3857058,-19.69,-1.19,24.34,23.95,56.29,4.74,28.2,18.62,6.23,27.81,9.367,1.167,-18.57,29,N,23.26,Stabilizing
2021-08-06,2023-05-09,LGD-W-5982217,-5.74,-29.69,3.01,-1.25,80.38,7.52,37.65,14.155,34.85,23.73,10.588,3.994,24.28,206,N,8.61,Emerging
2018-05-04,2019-06-15,LGD-W-1692164,39.5,-8.14,7.86,-9.59,52.13,0.0,26.37,10.663,27.69,11.04,2.124,1.159,14.88,19,Y,49.87,Accelerating
2024-01-24,2024-10-04,LGD-W-5319320,-0.19,-5.35,12.83,-6.36,27.89,28.36,9.89,2.843,4.6,15.09,-1.425,3.295,-33.95,116,Y,40.71,EarlySignals
2024-07-19,2024-11-20,LGD-W-6802084,48.11,-4.68,-15.37,-6.55,41.35,49.91,20.95,5.027,25.18,28.46,5.883,2.155,1.03,125,N,83.73,Accelerating
2023-01-11,2024-06-25,LGD-W-9389484,32.27,34.51,-9.75,20.94,76.8,50.46,24.38,4.364,54.44,21.52,3.678,-0.049,-31.26,201,N,98.84,LateStage
2024-01-25,2025-06-11,LGD-W-4260903,40.9,68.18,24.28,-2.41,61.48,56.29,0.03,17.458,23.67,6.63,-0.635,-1.968,-4.79,122,N,58.39,Emerging
2019-09-29,2020-07-24,LGD-W-4447967,-14.27,55.42,-8.83,27.25,46.78,14.32,12.19,3.45,59.5,14.12,-3.049,2.391,-11.8,139,Y,62.49,AtRisk
2024-12-26,2025-08-13,LGD-W-3023945,-23.8,22.61,27.7,2.12,41.32,58.17,4.79,14.846,-1.1,11.91,1.211,-1.335,34.04,116,Y,8.56,EarlySignals
2024-01-16,2024-06-08,LGD-W-2318793,9.36,0.93,36.7,26.69,72.69,2.01,20.4,8.002,49.3,-9.35,9.778,1.977,-30.95,85,Y,86.21,Stabilizing
2022-01-09,2023-04-10,LGD-W-6347380,51.81,-6.14,43.13,5.22,54.33,45.1,21.88,9.803,-0.17,-2.65,7.698,-0.34,29.09,54,Y,13.66,AtRisk
2019-05-23,2020-06-05,LGD-W-9637087,-3.11,4.63,-4.54,12.62,40.72,13.82,6.12,21.449,26.88,-13.74,9.214,2.121,7.61,141,Y,67.74,EarlySignals
2022-09-05,2024-01-12,LGD-W-3676531,2.76,20.38,-16.1,-10.11,61.23,37.14,13.87,18.996,23.78,22.69,0.884,-2.065,-19.74,72,Y,80.77,Stabilizing
2018-02-16,2018-06-09,LGD-W-2874198,9.39,40.62,-1.39,13.13,74.19,53.03,38.57,0.097,46.29,21.13,9.781,-0.971,0.88,61,N,18.69,Accelerating
2022-01-18,2023-12-10,LGD-W-8997859,40.57,-28.21,-0.59,0.09,62.76,27.18,12.13,1.743,21.12,0.54,0.87,1.04,23.44,137,N,72.72,Emerging
2020-11-09,2021-08-17,LGD-W-7236695,39.94,-9.27,40.9,19.78,50.98,55.87,36.62,15.85,5.59,-14.4,8.043,6.098,-1.09,122,N,74.16,Emerging
2021-06-10,2022-03-15,LGD-W-1984874,3.23,50.89,33.91,9.07,74.9,10.21,13.56,8.874,8.42,-13.6,10.61,-0.947,-3.19,98,Y,43.35,EarlySignals
2021-03-31,2021-08-25,LGD-W-6725183,40.8,6.04,36.15,1.7,40.9,1.54,32.09,0.654,60.23,15.06,6.454,1.722,-6.95,188,N,37.44,Emerging
2023-03-26,2023-12-18,LGD-W-1781454,35.5,9.68,-14.58,27.75,16.34,40.18,7.53,8.372,30.47,0.06,3.307,0.362,16.06,34,Y,59.29,Accelerating
2020-09-18,2022-09-09,LGD-W-1241057,-3.38,45.96,35.21,12.49,64.24,36.77,8.81,8.177,-0.89,27.7,0.317,3.417,-14.25,102,N,57.6,Accelerating
2024-06-27,2025-03-17,LGD-W-9246197,-3.9,-0.83,-16.25,20.67,36.36,2.31,36.89,19.716,40.5,24.41,-4.91,5.734,13.38,173,N,51.55,Emerging
2023-03-23,2023-07-04,LGD-W-2515106,-4.95,60.06,40.77,26.0,74.23,41.98,16.63,9.733,60.03,23.32,6.716,6.986,-31.78,26,Y,16.85,Accelerating
2018-11-19,2019-03-10,LGD-W-4037592,20.48,-29.44,34.09,12.81,49.18,16.48,9.81,18.298,21.15,13.1,5.996,2.415,-4.68,112,Y,8.8,Stabilizing
2024-10-01,2026-04-08,LGD-W-1839645,9.94,77.25,22.74,3.52,84.1,52.91,32.33,20.192,18.09,-1.04,4.859,4.322,-28.0,177,Y,75.39,LateStage
2022-12-08,2024-09-25,LGD-W-2799575,42.97,79.16,-11.63,10.64,26.48,16.23,30.76,8.048,39.97,8.06,0.851,0.044,-21.51,166,Y,58.58,Emerging
2020-03-09,2020-08-25,LGD-W-9147768,-22.34,57.96,14.25,-11.81,85.65,29.1,17.41,15.242,-0.88,3.25,11.216,1.054,31.87,41,N,87.7,LateStage
2018-12-12,2019-10-23,LGD-W-6271419,39.77,50.0,22.8,4.04,80.08,33.79,30.8,5.577,-4.33,19.24,-0.381,3.557,2.59,88,Y,81.76,AtRisk
2023-09-01,2024-09-16,LGD-W-5168671,-4.3,17.18,20.91,12.68,57.59,5.63,34.41,21.543,50.75,27.27,8.623,-1.496,-3.2,209,Y,6.75,EarlySignals
2021-01-10,2021-10-25,LGD-W-8676885,34.83,-7.4,33.77,23.98,56.42,4.02,44.42,3.017,36.18,20.25,-5.41,-1.63,32.94,34,N,81.31,AtRisk
2018-05-08,2019-03-12,LGD-W-9907614,40.02,24.8,24.27,-2.94,8.16,12.71,0.92,20.591,26.4,29.81,6.687,-0.083,9.97,33,N,79.45,EarlySignals
2018-06-22,2019-10-08,LGD-W-5133688,34.19,55.57,25.25,-4.08,82.84,54.91,6.29,15.037,42.68,11.2,-2.257,6.5,-28.11,109,N,49.8,Stabilizing
2022-06-28,2024-03-25,LGD-W-7316558,42.69,7.03,31.98,-2.8,55.01,20.11,2.67,10.793,32.07,19.76,10.004,6.0,-31.79,43,N,50.57,LateStage
2019-08-06,2020-11-02,LGD-W-1110080,39.0,21.43,15.21,8.67,82.37,30.43,30.25,19.282,-2.31,-2.25,3.695,0.193,29.58,120,N,14.08,EarlySignals
2020-05-24,2022-01-02,LGD-W-8109933,-24.37,32.76,-8.69,-4.32,15.87,34.76,30.25,18.075,7.34,8.49,10.013,-1.603,5.58,61,Y,19.43,EarlySignals
2018-07-01,2020-03-29,LGD-W-3495672,-16.16,34.83,5.34,4.54,36.73,34.99,6.76,21.211,63.38,-10.97,-0.375,6.336,23.48,104,N,97.54,Stabilizing
2020-08-04,2022-03-22,LGD-W-8487840,-16.21,42.7,30.11,-7.39,91.96,51.23,25.72,14.558,61.83,1.43,0.325,5.81,-15.23,159,N,18.03,Emerging
2019-09-14,2021-09-01,LGD-W-6882370,6.75,78.76,19.42,-4.46,53.82,38.07,32.49,21.456,55.75,30.35,-3.16,6.775,-8.08,43,Y,74.38,LateStage
2019-02-09,2020-11-17,LGD-W-3709171,-18.33,28.14,32.7,-0.71,49.18,12.01,13.89,5.265,-2.69,13.39,9.588,-0.261,9.42,47,Y,78.78,AtRisk
2021-11-04,2022-05-27,LGD-W-7765839,-19.33,49.44,21.74,-8.56,76.2,52.55,23.4,21.96,59.22,27.91,8.018,0.271,-17.81,122,N,50.14,EarlySignals
2022-12-20,2024-10-07,LGD-W-8803661,37.51,72.47,43.66,-1.26,51.35,14.15,42.39,6.155,47.12,-0.11,-3.237,5.431,3.01,84,Y,44.56,Stabilizing
2019-10-11,2020-02-20,LGD-W-3293027,14.06,-27.55,32.46,7.85,25.93,54.36,31.65,9.698,3.0,23.43,-2.033,-1.625,29.57,117,N,48.6,AtRisk
2024-11-06,2026-03-24,LGD-W-4154162,-3.37,58.8,35.48,-7.82,16.08,6.2,15.17,17.103,63.84,4.31,11.506,0.966,-27.69,72,N,84.13,LateStage
2020-06-13,2022-01-15,LGD-W-7198243,11.35,23.85,8.29,4.08,70.03,16.49,25.91,12.766,41.45,6.15,-5.538,5.246,-27.4,71,N,2.47,EarlySignals
2023-05-26,2024-12-09,LGD-W-7999652,28.62,-4.92,32.96,-6.6,19.46,36.85,36.92,18.304,54.58,10.69,1.602,6.774,26.32,35,N,69.58,EarlySignals
2020-10-20,2022-01-23,LGD-W-2346550,31.3,7.21,12.24,-5.02,45.24,4.29,39.23,6.471,43.85,27.05,7.795,-2.124,32.56,204,Y,62.47,Stabilizing
2024-02-14,2025-06-25,LGD-W-6304957,50.66,83.0,28.18,17.85,85.3,51.19,13.96,10.819,38.98,28.68,4.63,1.845,-3.71,17,Y,56.74,EarlySignals
2024-09-15,2025-12-13,LGD-W-5173476,42.68,42.94,20.03,6.39,53.95,48.77,44.92,10.963,61.55,2.34,4.069,-0.318,-14.84,122,Y,81.21,EarlySignals
2020-02-13,2022-01-15,LGD-W-2016322,54.23,-28.45,28.02,7.28,12.45,55.27,31.54,6.646,34.98,3.62,1.876,-0.794,16.65,209,N,67.55,AtRisk
2022-04-22,2022-11-09,LGD-W-1665530,0.22,20.65,-7.67,23.09,69.37,59.42,13.87,19.907,0.79,-13.13,10.873,2.798,28.58,207,Y,12.87,Stabilizing
2024-09-28,2025-08-17,LGD-W-2157116,-19.81,39.85,33.31,-6.9,68.44,13.72,18.44,12.526,4.67,-9.38,-5.247,-0.261,-14.92,193,N,44.04,LateStage
2021-05-12,2023-01-12,LGD-W-2131040,34.82,50.16,8.08,8.57,59.15,25.61,14.61,1.387,42.68,3.35,6.061,2.15,12.14,99,Y,89.58,Stabilizing
2024-01-23,2025-07-12,LGD-W-2147825,30.82,-6.84,24.19,24.5,17.37,42.83,13.13,12.255,39.34,26.31,-2.672,5.251,5.67,81,Y,75.78,AtRisk
2020-04-04,2021-05-24,LGD-W-6864149,50.27,-4.05,-1.64,4.43,28.47,12.82,37.96,18.755,30.21,10.93,11.462,1.083,21.97,74,Y,79.64,EarlySignals
2020-04-01,2021-01-05,LGD-W-8468702,-6.31,70.72,31.82,1.0,55.11,23.95,11.45,7.26,30.02,-6.95,-4.32,4.005,31.09,38,Y,45.41,EarlySignals
2024-10-04,2025-06-23,LGD-W-3634931,43.88,9.21,14.94,26.05,32.13,39.43,9.83,7.928,44.89,-9.72,9.449,5.224,26.81,216,N,30.75,Stabilizing
