soc_vuln_index_year,soc_vuln_community_lgd_code,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_ncoial_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2024,653306,45.01,7.92,43.99,12.84,8.92,3.75,52.76,14.58,35.07,8.36,2.09,2.06,0.003,0.304,0.664,2.2,81.2,42
2022,235718,3.63,11.99,40.52,1.05,10.91,3.69,47.63,4.41,27.04,6.47,23.11,8.87,0.632,0.995,0.422,47.3,74.1,570
2021,484057,23.26,8.6,36.93,2.2,0.9,5.56,52.41,13.47,38.09,15.93,22.3,2.39,0.363,0.779,0.518,29.0,32.5,621
2022,166489,48.72,9.72,16.5,10.0,3.88,3.21,60.92,9.77,15.15,39.25,8.03,3.71,0.153,0.818,0.892,48.4,54.2,294
2024,222716,51.65,12.77,49.81,2.58,9.7,3.95,39.3,7.46,25.3,16.93,6.27,8.2,0.43,0.514,0.893,86.3,40.2,28
2023,615127,46.8,16.09,22.73,16.48,9.7,2.05,59.13,12.8,17.87,25.93,8.95,3.71,0.282,0.596,0.161,15.0,56.0,28
2024,643390,49.34,8.97,18.55,12.54,7.15,6.12,17.3,7.31,29.86,35.59,14.84,4.08,0.19,0.835,0.838,17.7,8.2,745
2020,960474,22.18,6.92,12.16,1.8,1.22,0.41,35.78,7.2,7.03,23.46,18.83,5.53,0.991,0.146,0.047,39.9,83.3,844
2016,802499,39.78,16.78,32.62,11.22,7.25,0.98,42.43,9.54,35.04,43.17,18.81,5.83,0.153,0.446,0.756,0.1,36.3,652
2020,571284,16.32,15.74,44.05,7.95,9.99,3.21,33.24,12.8,35.6,14.92,31.91,4.38,0.549,0.68,0.457,2.1,6.9,42
2020,358697,49.97,15.11,14.29,1.71,0.74,2.79,41.74,17.96,25.72,3.0,20.85,1.22,0.81,0.394,0.776,83.4,2.6,327
2022,679534,5.84,4.14,29.5,17.41,2.94,4.09,34.11,16.32,8.2,13.82,8.8,7.71,0.565,0.861,0.711,84.2,74.2,731
2022,632757,36.26,14.6,49.71,2.88,10.26,0.58,61.96,16.78,27.86,31.27,28.35,4.17,0.977,0.666,0.769,83.7,59.9,758
2024,766430,20.35,9.68,41.34,18.87,3.19,3.16,50.64,16.23,23.89,23.53,15.86,9.48,0.07,0.829,0.716,27.8,72.5,467
2016,709660,20.7,3.86,17.4,13.91,1.17,6.29,40.33,9.95,0.94,33.71,28.6,5.4,0.386,0.822,0.951,80.8,71.8,861
2025,171081,39.76,16.62,25.16,12.32,8.77,4.16,24.65,9.28,11.56,34.72,19.73,1.44,0.103,0.591,0.457,96.5,8.9,355
2017,545305,12.22,1.87,10.48,12.8,9.41,0.66,16.42,12.48,3.17,34.64,36.78,7.37,0.228,0.784,0.645,35.9,50.8,78
2017,581465,22.88,6.98,8.63,16.36,5.09,2.7,36.22,16.26,20.54,9.37,7.83,3.99,0.904,0.872,0.858,42.9,91.0,819
2020,848345,5.71,15.94,40.4,8.69,8.8,4.46,26.17,16.26,5.99,10.3,12.56,6.32,0.632,0.992,0.726,30.0,81.8,809
2017,578448,53.56,17.08,10.46,1.48,7.07,2.97,61.85,8.86,13.48,36.35,24.28,8.27,0.419,0.76,0.77,54.7,31.1,683
2020,815670,34.11,17.53,37.73,15.76,3.33,1.86,31.95,15.13,7.65,26.71,25.0,3.32,0.481,0.581,0.959,68.7,57.7,917
2019,583733,10.78,6.59,48.83,1.24,5.28,2.16,51.93,16.0,38.42,35.77,20.31,8.14,0.771,0.688,0.948,86.6,47.1,17
2022,284968,50.96,12.34,9.44,2.92,7.52,1.19,28.9,10.21,8.05,37.12,16.63,2.5,0.127,0.571,0.692,48.3,81.8,722
2018,665375,24.85,6.04,15.88,6.8,10.27,3.56,30.57,17.37,14.46,2.28,33.59,8.52,0.283,0.22,0.83,4.0,94.7,767
2022,343295,41.98,13.57,7.19,18.04,3.26,0.08,2.61,12.15,4.31,14.82,34.54,3.9,0.975,0.097,0.905,57.8,61.0,403
2024,802254,15.05,11.46,36.16,1.08,2.0,6.34,64.77,10.68,39.48,41.96,36.08,1.87,0.492,0.994,0.083,90.5,37.1,385
2024,738814,36.56,14.36,18.38,2.85,10.49,2.37,18.79,17.98,21.69,42.67,24.94,8.15,0.718,0.97,0.558,35.2,33.2,203
2018,768015,51.79,11.75,34.23,12.38,11.45,7.49,33.69,6.24,11.23,29.77,34.88,4.84,0.606,0.305,0.398,6.9,28.0,425
2023,342796,14.87,3.93,42.92,5.31,1.1,0.53,63.42,4.35,29.59,20.95,7.46,6.7,0.197,0.686,0.117,13.2,26.2,593
2017,183967,4.2,2.89,23.39,6.35,11.57,7.03,21.44,9.1,1.84,25.0,27.12,3.93,0.313,0.439,0.352,38.6,44.2,681
2019,766695,42.55,8.43,12.91,12.38,9.03,0.57,3.41,4.76,26.73,37.03,36.2,3.62,0.927,0.12,0.544,59.3,4.1,116
2022,412329,33.33,14.66,8.72,4.39,11.11,6.09,10.42,14.54,17.11,12.37,12.8,4.51,0.63,0.874,0.127,62.5,48.1,60
2016,608449,38.03,3.85,34.51,14.08,0.79,4.89,45.25,13.92,2.75,41.53,18.53,7.39,0.553,0.343,0.06,8.4,14.7,909
2020,527204,30.15,11.0,8.25,12.07,11.33,5.3,38.4,12.71,16.64,7.5,27.69,1.08,0.09,0.777,0.556,48.7,26.7,465
2020,149260,29.07,10.89,39.56,10.26,2.58,2.83,28.09,7.87,3.15,44.8,18.18,3.96,0.2,0.96,0.131,68.9,84.8,271
2019,214184,43.78,4.71,7.92,10.04,1.41,0.23,63.71,6.02,38.2,27.66,10.8,5.18,0.203,0.734,0.338,10.7,49.0,696
2016,163253,25.39,5.75,19.08,16.72,10.4,4.34,63.11,17.9,31.11,16.27,12.11,8.96,0.118,0.273,0.305,16.2,56.4,261
2020,291776,31.31,12.96,45.11,7.85,9.65,3.43,14.0,8.09,20.95,2.5,36.07,8.26,0.657,0.239,0.031,4.2,75.8,827
2024,133434,19.98,17.4,45.09,9.6,5.65,2.59,37.85,13.51,14.4,29.02,30.07,3.19,0.832,0.718,0.019,9.0,37.4,266
2020,802993,42.07,14.89,19.22,5.87,10.25,2.91,43.36,7.09,11.53,43.01,25.16,5.16,0.819,0.351,0.112,46.7,11.8,270
2023,453943,31.61,13.22,29.33,6.88,10.66,6.81,7.59,10.39,20.81,35.46,37.05,6.29,0.488,0.806,0.337,89.9,23.7,305
2024,540695,43.05,10.57,35.63,16.58,0.61,1.28,20.14,7.82,38.5,12.76,10.52,0.35,0.987,0.93,0.947,96.4,37.9,805
2024,519327,5.91,2.34,33.6,13.64,1.21,6.73,12.45,8.58,21.75,34.68,30.18,0.65,0.846,0.729,0.456,32.8,40.6,794
2023,488028,18.51,10.19,49.25,18.88,7.23,0.52,37.5,17.86,33.96,32.83,15.05,4.02,0.22,0.851,0.948,61.9,14.5,662
2016,795903,43.0,13.18,31.56,1.54,0.99,5.89,48.34,15.66,0.82,2.11,29.99,2.3,0.489,0.989,0.198,21.0,86.8,286
2017,487164,14.88,5.15,35.78,15.24,7.85,2.95,47.73,6.27,14.89,9.28,8.52,1.84,0.786,0.863,0.169,87.2,85.4,703
2016,890468,12.12,4.77,38.43,18.45,4.46,1.25,6.91,0.55,11.48,33.25,27.45,5.5,0.268,0.594,0.352,43.6,12.1,964
2019,699417,50.82,10.68,24.25,11.69,6.29,2.07,15.25,8.02,0.94,39.57,23.16,8.66,0.102,0.145,0.182,76.3,43.6,231
2020,956848,40.6,15.46,47.0,6.96,11.05,4.72,46.24,1.91,10.79,21.84,14.57,2.39,0.474,0.328,0.895,8.2,18.2,803
2024,731779,27.07,17.39,13.22,13.02,9.05,6.34,17.13,10.0,10.56,36.16,30.61,7.04,0.734,0.301,0.975,4.8,19.4,695
2023,549651,34.96,4.75,40.52,3.03,4.64,5.5,54.9,1.98,9.91,27.7,30.85,2.08,0.247,0.309,0.449,91.5,96.3,242
2019,235843,47.71,1.87,12.97,2.71,10.87,3.23,37.28,9.96,0.77,12.64,31.17,7.54,0.908,0.723,0.351,23.8,18.3,275
2021,771488,17.21,8.54,16.18,19.45,6.05,6.25,6.98,14.73,5.36,13.4,34.88,0.78,0.866,0.196,0.011,87.1,38.0,691
2016,172875,13.89,14.44,44.79,16.04,4.88,1.74,28.81,4.55,5.2,14.34,34.93,7.28,0.065,0.989,0.272,63.1,79.9,131
2016,735937,33.39,12.16,36.91,10.44,11.31,5.94,53.39,3.2,24.05,38.6,24.6,0.52,0.871,0.699,0.226,97.3,7.0,993
2017,702386,15.87,4.06,36.3,18.12,0.74,4.66,48.79,2.57,14.06,14.51,20.42,9.14,0.941,0.17,0.329,76.0,64.7,132
2020,371302,16.99,1.75,23.03,7.19,6.82,7.36,40.43,7.79,22.02,37.37,4.11,5.34,0.774,0.435,0.315,46.0,67.6,547
2016,475220,48.53,11.98,52.34,19.59,11.27,6.04,18.72,9.33,14.72,23.08,35.03,2.37,0.497,0.297,0.918,13.4,82.8,421
2020,487994,7.55,8.91,21.15,2.37,11.25,5.14,59.26,3.46,24.64,24.31,36.64,2.58,0.462,0.12,0.418,43.6,37.1,816
2022,187859,30.39,3.15,12.85,13.0,2.29,2.16,5.48,12.64,22.45,24.79,6.83,0.33,0.761,0.473,0.862,18.1,57.7,650
2024,833991,22.53,7.84,21.82,1.35,9.92,1.71,21.24,9.26,31.64,7.5,11.65,5.86,0.438,0.494,0.774,41.4,58.2,246
2016,211168,34.86,4.87,12.4,13.15,4.8,0.57,36.64,4.96,33.09,2.38,21.05,1.74,0.89,0.784,0.75,15.9,65.7,933
2022,412321,11.56,14.43,53.98,17.05,9.36,2.34,23.79,0.87,17.93,35.51,29.46,7.9,0.433,0.252,0.487,20.5,63.6,821
2025,965955,33.41,1.1,51.24,18.35,0.55,2.55,52.84,12.24,32.59,33.81,3.68,4.61,0.24,0.667,0.002,6.6,78.4,352
2021,247662,41.41,4.07,43.65,17.51,0.79,6.58,41.79,7.85,6.27,44.09,9.04,4.21,0.832,0.599,0.117,91.4,9.5,815
2023,262888,23.65,2.5,41.5,17.21,2.9,0.55,19.5,8.59,18.37,22.58,27.02,5.66,0.855,0.449,0.375,54.0,9.9,845
2022,245236,14.64,5.79,9.23,16.07,7.13,0.59,32.43,12.03,10.12,9.74,12.45,7.73,0.588,0.95,0.999,10.3,28.6,559
2022,955582,35.09,14.62,24.22,6.28,11.32,3.5,15.93,15.33,39.14,20.65,31.72,3.51,0.722,0.94,0.023,84.5,82.7,257
2021,697834,52.69,16.67,19.63,12.93,9.86,4.21,24.21,6.75,16.8,3.02,26.05,5.76,0.98,0.585,0.546,96.3,15.8,191
2016,103750,54.97,8.99,9.31,18.81,2.54,2.48,50.44,12.46,23.64,14.21,9.71,7.82,0.649,0.091,0.357,9.3,0.8,161
2021,638504,9.33,16.88,47.07,7.8,2.63,0.12,26.81,12.41,32.91,9.65,34.9,6.12,0.34,0.922,0.674,90.2,40.4,338
2023,966706,3.73,4.78,51.5,3.77,10.71,3.68,39.31,5.27,16.51,2.54,28.89,1.76,0.799,0.394,0.967,86.4,17.7,402
2025,246311,33.42,15.7,39.34,15.39,9.03,5.92,39.32,3.98,16.58,29.63,9.27,2.22,0.945,0.836,0.661,14.0,5.3,950
2019,296921,18.39,10.9,14.09,19.93,7.15,4.62,53.59,16.21,20.27,38.67,23.89,1.38,0.388,0.717,0.139,39.3,60.1,690
2016,510288,43.88,2.16,48.23,1.21,1.06,0.35,21.57,4.44,36.0,27.55,22.69,7.16,0.739,0.11,0.197,5.4,31.5,546
2025,117175,47.15,15.92,41.58,10.39,2.2,0.21,14.13,2.01,16.14,28.14,31.56,2.13,0.412,0.821,0.739,87.4,39.1,291
2024,802601,20.76,1.45,9.21,1.07,7.06,7.55,62.78,3.72,7.0,31.86,19.55,2.38,0.302,0.322,0.46,70.0,21.6,729
2019,329557,53.29,6.95,39.57,12.2,10.22,7.65,29.14,15.29,7.36,39.49,4.56,0.74,0.318,0.859,0.62,76.6,72.0,339
2020,790104,19.44,11.72,9.19,2.22,7.95,0.09,4.95,15.81,20.17,32.91,19.64,4.83,0.263,0.767,0.181,61.7,56.5,26
2016,679290,10.25,14.17,22.3,14.19,6.19,5.31,53.57,15.56,28.67,17.8,5.38,5.8,0.847,0.507,0.178,100.0,34.0,996
2021,460002,21.82,2.36,7.05,5.34,11.06,4.21,4.11,6.86,16.88,37.31,8.89,1.83,0.85,0.047,0.967,52.1,83.4,712
2024,720492,44.09,5.48,42.99,15.86,1.08,5.83,41.03,16.47,21.48,26.07,3.37,4.95,0.543,0.914,0.246,41.3,21.7,386
2023,775727,50.25,14.06,33.92,16.07,2.14,1.8,27.2,16.95,19.76,39.8,26.23,7.06,0.273,0.915,0.327,72.0,44.9,495
2024,854862,44.72,10.8,27.61,18.95,3.18,1.14,53.71,8.79,34.25,31.53,20.89,5.85,0.559,0.977,0.329,37.6,54.9,421
2020,734964,48.75,10.51,45.05,14.54,0.61,6.25,61.23,13.2,4.98,24.39,20.9,1.73,0.3,0.921,0.272,6.6,97.2,93
2016,934323,20.15,11.19,44.7,5.65,5.61,3.73,7.32,3.71,32.11,29.68,23.6,8.16,0.224,0.474,0.937,56.5,39.1,733
2020,892966,47.65,3.84,34.9,7.28,5.0,1.91,13.21,8.63,4.65,32.67,33.67,3.9,0.173,0.851,0.048,23.3,69.5,157
2024,889980,46.34,9.34,5.11,15.78,2.1,3.24,46.69,2.55,15.89,8.1,13.9,8.73,0.447,0.574,0.257,86.5,31.4,172
2024,668490,39.49,2.83,54.77,10.33,1.16,1.31,42.78,15.81,29.01,33.55,3.14,8.24,0.371,0.73,0.057,76.8,1.7,515
2019,319363,49.46,16.79,50.54,15.4,1.43,7.5,4.65,6.64,19.91,19.36,24.23,6.15,0.494,0.102,0.603,34.4,41.7,254
2021,488493,19.77,15.24,28.78,18.13,5.71,4.41,22.09,1.44,2.59,35.05,3.05,4.87,0.85,0.707,0.092,74.1,33.9,221
2025,801362,26.15,1.75,48.57,14.07,8.78,3.87,26.96,9.75,4.82,33.52,9.15,8.29,0.44,0.141,0.292,27.0,93.1,454
2025,327536,15.7,11.62,22.45,2.62,2.14,5.57,14.64,4.16,37.81,2.53,17.04,5.72,0.565,0.258,0.951,62.6,54.2,475
2021,260891,32.03,2.73,14.6,13.06,9.02,0.39,38.96,11.81,14.5,25.77,35.24,5.32,0.794,0.28,0.139,12.3,14.7,1
2025,905109,5.84,16.72,22.3,12.58,2.44,1.09,25.63,13.89,27.36,17.57,13.54,3.59,0.835,0.26,0.553,78.1,56.1,787
2021,967944,4.48,10.47,44.84,3.73,7.12,7.36,11.0,6.28,2.97,3.51,27.85,7.59,0.039,0.094,0.169,72.4,52.6,222
2021,571641,7.46,6.63,7.16,9.79,4.18,3.72,59.09,9.15,37.83,12.79,10.75,8.26,0.856,0.461,0.085,36.7,60.9,271
2017,738121,14.98,7.99,50.26,6.54,1.82,7.83,21.43,2.99,29.32,43.74,33.73,5.79,0.708,0.78,0.109,54.9,93.9,812
2024,772220,11.45,3.87,49.75,15.14,9.08,4.02,4.04,11.79,23.37,25.6,11.72,5.69,0.677,0.744,0.909,25.7,64.7,762
2025,828727,47.83,9.15,10.36,2.41,6.2,3.54,53.13,10.09,26.66,30.23,5.36,6.96,0.214,0.235,0.27,80.3,54.5,190
2022,274700,48.91,17.61,24.43,2.96,6.04,1.66,53.83,2.49,5.38,4.52,36.11,6.35,0.673,0.371,0.717,95.9,68.6,58
2024,703063,32.15,16.46,44.64,11.71,5.91,3.95,64.21,17.03,37.24,39.41,19.1,6.22,0.452,0.624,0.354,6.0,60.1,570
2020,587987,19.65,12.51,53.52,15.3,3.26,2.97,11.86,16.04,39.69,9.0,33.51,3.78,0.955,0.591,0.157,37.2,14.9,718
2024,379409,16.39,14.09,45.8,13.89,4.82,1.12,55.43,5.93,9.07,11.33,10.15,3.44,0.116,0.076,0.214,93.0,100.0,242
2018,296086,27.01,9.41,12.95,16.24,7.27,0.3,29.99,12.0,25.44,14.84,18.46,2.99,0.9,0.147,0.713,74.5,99.3,106
2025,651491,51.03,1.32,20.28,5.8,0.63,5.97,21.41,15.75,27.57,34.84,5.86,6.28,0.868,0.561,0.304,59.2,80.3,30
2024,534168,37.23,3.17,23.13,11.28,11.91,0.34,19.4,3.3,15.33,25.27,3.8,8.26,0.094,0.033,0.283,66.2,7.5,826
2025,569794,49.45,13.82,18.51,14.94,1.51,0.39,5.45,8.53,37.52,9.44,23.93,2.61,0.098,0.939,0.827,56.1,44.9,56
2020,195144,36.08,13.56,29.67,4.54,11.3,4.8,17.67,11.97,8.65,37.5,35.13,6.25,0.215,0.225,0.203,17.6,81.2,682
2022,839937,14.62,6.76,33.49,8.59,11.77,3.4,42.2,15.49,13.02,27.09,35.35,4.98,0.001,0.383,0.365,61.9,56.8,694
2020,568051,13.16,11.81,36.52,11.26,11.68,6.51,3.84,16.67,22.93,3.28,35.99,5.24,0.233,0.758,0.876,15.7,13.2,976
2025,748087,38.11,5.39,11.46,19.33,10.94,4.73,19.67,4.55,8.14,9.07,7.84,2.63,0.8,0.375,0.424,9.4,3.1,330
2017,486547,32.35,1.47,10.63,18.47,7.72,0.88,4.46,17.46,5.96,39.0,34.08,8.49,0.797,0.32,0.161,24.8,35.0,891
2024,724565,20.76,12.47,42.08,1.55,3.79,4.34,32.05,6.96,22.88,40.81,20.09,0.83,0.116,0.014,0.859,60.7,23.7,796
2016,695640,17.02,10.36,53.17,7.95,4.75,6.3,59.02,11.36,20.95,27.09,12.99,2.25,0.917,0.032,0.26,34.8,3.2,805
2016,887976,49.35,14.12,29.01,12.83,10.28,5.45,43.25,4.64,18.74,41.35,9.94,7.89,0.965,0.17,0.248,13.7,60.1,912
2019,292840,34.45,1.33,45.43,16.74,2.83,5.2,9.42,11.57,36.3,12.01,6.14,6.83,0.187,0.026,0.82,51.6,69.5,944
2022,940334,53.97,13.44,10.34,18.59,1.69,7.56,50.38,9.57,27.84,30.47,11.44,1.37,0.603,0.936,0.497,15.2,75.5,473
2019,730301,29.03,15.51,15.88,1.9,2.06,4.92,37.64,1.59,37.37,41.6,3.58,2.9,0.119,0.884,0.765,54.1,45.4,289
2016,909264,30.34,4.71,51.41,19.67,11.06,2.09,32.69,3.54,4.23,41.19,16.31,0.41,0.507,0.955,0.445,5.2,99.2,275
2021,935081,37.51,4.93,47.69,12.17,5.89,0.16,61.28,6.7,14.94,34.25,11.19,3.53,0.533,0.925,0.628,9.7,90.0,533
2025,120740,42.26,8.47,27.39,5.41,11.23,3.5,4.73,3.42,2.38,22.97,35.56,6.91,0.173,0.895,0.349,73.4,68.4,225
2022,713595,52.12,7.62,54.25,16.25,7.31,3.65,6.34,2.21,28.14,28.29,16.39,4.93,0.847,0.617,0.341,16.4,13.9,284
2021,882777,3.38,10.64,45.42,2.47,5.44,0.55,50.21,6.81,35.97,6.17,31.26,6.0,0.287,0.722,0.373,41.1,77.6,56
2017,620956,13.79,1.79,28.75,14.53,3.59,5.59,54.97,12.08,25.85,17.25,17.78,7.46,0.098,0.334,0.588,71.5,17.8,242
2016,252647,22.74,12.83,15.98,19.7,4.4,3.06,40.15,14.17,11.4,22.82,22.15,8.64,0.481,0.056,0.477,78.0,17.5,73
2022,536979,34.45,9.24,24.92,19.26,4.3,3.55,20.82,8.38,13.24,11.64,30.83,2.36,0.145,0.359,0.039,13.4,78.5,860
2025,823441,3.84,17.42,32.96,1.42,3.73,0.46,28.57,4.03,4.52,13.38,19.78,8.53,0.645,0.709,0.138,38.1,69.1,780
2020,728653,47.98,7.2,13.65,9.47,2.26,1.09,46.18,14.76,27.33,24.09,19.16,9.4,0.442,0.58,0.185,30.7,28.7,515
2024,209390,37.9,17.4,15.69,5.91,2.36,4.03,54.27,9.26,21.4,31.56,6.63,8.79,0.776,0.559,0.738,85.8,33.0,774
2018,989954,37.08,8.99,25.8,16.6,6.74,1.39,61.8,14.08,11.04,33.1,24.57,4.88,0.651,0.824,0.433,4.2,34.9,933
2021,842581,41.96,8.77,18.2,18.67,8.53,7.22,59.15,13.19,30.22,33.96,31.54,5.03,0.203,0.273,0.162,15.4,84.9,470
2023,710380,20.83,12.13,22.96,11.7,0.74,2.74,49.65,2.75,39.14,23.71,31.89,2.73,0.664,0.172,0.483,31.7,3.1,516
2024,152263,40.39,6.15,50.63,2.59,4.6,6.16,53.86,5.41,14.7,18.76,5.23,8.89,0.236,0.7,0.728,2.3,65.9,752
2025,214188,15.6,9.69,38.24,16.06,3.81,5.26,38.48,16.09,5.09,29.7,17.84,7.5,0.411,0.441,0.606,8.2,29.8,575
2023,199191,15.16,9.74,37.63,7.04,7.24,1.05,64.74,14.49,24.09,37.7,13.21,6.15,0.668,0.929,0.059,49.7,7.4,718
2020,144012,47.88,15.75,45.24,15.94,8.4,4.55,10.08,0.75,26.62,26.93,35.65,0.71,0.941,0.437,0.365,66.4,20.9,825
2023,962391,13.39,15.36,32.5,2.23,8.84,4.79,22.15,8.9,23.97,22.15,34.81,9.11,0.644,0.315,0.972,31.7,45.9,664
2023,180752,47.21,6.92,29.89,7.29,6.88,6.79,49.95,12.08,17.1,11.9,8.81,5.65,0.218,0.779,0.893,26.6,1.0,199
2016,662139,28.52,4.79,16.26,18.22,4.13,4.07,18.68,10.45,29.17,28.23,32.2,9.0,0.301,0.272,0.078,78.9,25.9,315
2025,103124,6.95,11.79,54.97,3.67,11.3,2.3,8.95,8.04,12.69,14.92,17.17,8.03,0.182,0.676,0.423,86.3,99.7,551
2024,676210,10.63,10.96,41.12,18.2,3.88,4.27,45.09,13.62,15.17,13.21,33.9,2.88,0.422,0.534,0.629,42.9,56.8,699
2025,776663,18.45,17.11,39.1,17.73,5.5,6.69,7.29,2.87,38.15,37.55,4.81,7.97,0.831,0.733,0.159,10.6,11.7,602
2025,719507,35.82,6.73,21.85,5.05,8.03,1.2,34.27,16.45,28.52,44.33,19.75,1.41,0.427,0.889,0.182,28.1,71.3,188
2020,454071,30.63,16.88,14.92,7.68,7.85,2.94,10.47,11.23,0.68,15.93,5.06,7.09,0.728,0.262,0.337,39.4,80.9,67
2022,481093,54.52,7.61,39.84,5.49,6.54,4.25,40.73,16.07,15.02,34.35,5.91,5.53,0.418,0.743,0.588,14.6,48.8,530
2016,309979,54.43,1.54,26.5,18.23,3.33,4.42,5.02,17.26,31.93,7.39,20.28,8.33,0.021,0.796,0.596,69.8,65.5,826
2019,322198,18.8,6.39,35.65,18.78,11.36,7.67,10.11,10.82,35.81,8.21,34.25,4.42,0.204,0.775,0.361,94.4,47.2,916
2019,660711,22.75,11.64,10.88,1.32,4.56,7.61,49.54,0.54,7.98,33.63,5.5,2.06,0.587,0.431,0.942,49.6,25.0,81
2022,132712,3.82,4.78,47.42,16.63,8.56,3.14,13.99,1.92,32.45,8.75,36.88,3.59,0.547,0.19,0.168,62.3,87.8,946
2021,900295,31.33,3.19,43.5,16.63,5.19,6.45,38.67,14.83,12.76,44.08,15.22,0.31,0.402,0.904,0.862,55.0,5.8,864
2024,176762,10.89,16.47,44.21,7.47,2.58,0.51,34.99,11.96,18.32,16.17,16.18,5.71,0.234,0.599,0.678,25.0,90.2,591
2024,137447,23.89,7.88,42.84,18.39,2.81,4.4,32.59,9.06,17.1,42.57,5.07,0.23,0.542,0.17,0.737,65.5,85.5,273
2019,156894,17.9,6.28,16.42,11.59,3.69,1.47,34.26,9.51,18.85,32.23,27.52,6.94,0.409,0.684,0.572,25.7,0.4,471
2024,293495,34.15,6.94,5.97,9.35,1.83,0.27,7.6,6.47,8.6,18.14,24.26,0.26,0.884,0.572,0.908,83.3,63.6,259
2021,543667,15.53,9.04,34.7,4.23,7.91,7.34,43.84,2.24,1.3,36.74,22.56,1.26,0.601,0.766,0.341,25.8,86.5,528
2024,282488,25.69,12.29,32.04,2.97,10.76,7.73,18.77,9.73,8.9,13.01,13.57,5.53,0.293,0.848,0.728,47.5,53.8,399
2025,526367,28.23,7.53,30.09,19.97,7.65,7.74,51.69,9.78,26.92,35.78,17.86,4.64,0.81,0.519,0.762,37.7,75.9,842
2017,148321,26.92,1.79,25.89,6.64,9.42,6.9,30.13,4.52,17.19,15.18,27.76,6.87,0.674,0.127,0.001,1.5,56.8,612
2020,539330,26.56,6.49,35.51,11.7,5.39,1.37,36.22,6.1,7.12,4.26,18.03,1.25,0.803,0.698,0.134,43.2,4.9,493
2023,210486,21.4,11.03,31.98,5.05,3.75,0.97,57.4,6.23,32.39,24.23,16.71,3.89,0.422,0.382,0.047,95.3,23.2,94
2024,484020,20.15,4.08,42.76,1.42,2.8,0.56,17.86,2.64,12.37,36.99,9.81,7.5,0.573,0.361,0.608,92.5,78.2,677
2022,395948,18.76,15.7,48.29,5.57,7.71,3.93,4.65,5.47,21.89,5.07,31.57,1.47,0.968,0.082,0.185,41.5,32.8,529
2020,199307,34.28,7.18,13.71,15.86,0.71,7.66,61.93,17.6,5.35,37.85,25.27,8.94,0.794,0.811,0.482,6.0,82.5,644
2023,556992,26.42,8.91,33.45,11.14,1.9,7.17,18.79,0.67,11.05,10.33,16.38,9.32,0.641,0.133,0.553,20.9,17.5,520
2024,213736,32.57,13.5,31.25,18.17,9.51,5.67,43.7,4.25,12.74,39.24,4.63,1.21,0.191,0.626,0.588,39.2,45.4,242
2018,345915,46.02,5.61,34.95,12.57,9.7,6.89,58.47,14.79,23.15,34.83,36.07,2.18,0.363,0.118,0.836,53.9,11.3,722
2024,760703,21.65,16.39,13.93,16.44,8.47,7.48,63.77,7.53,12.34,18.5,31.85,4.87,0.643,0.095,0.723,80.9,13.7,40
2024,958522,6.19,12.91,14.58,15.01,3.37,6.27,24.06,1.26,19.13,21.98,25.47,4.75,0.945,0.044,0.423,73.5,64.8,799
2025,255006,41.03,14.74,20.81,2.48,5.6,7.55,52.34,13.88,15.35,25.6,17.23,5.09,0.871,0.658,0.829,15.7,55.1,422
2018,213208,21.56,9.5,28.95,8.79,2.09,7.56,36.85,16.35,32.53,20.41,15.56,9.02,0.487,0.968,0.879,85.0,60.0,528
2018,853970,24.97,7.45,20.93,10.55,7.51,3.19,41.0,2.34,37.46,32.38,23.37,2.06,0.306,0.414,0.446,88.3,58.0,933
2017,810741,5.29,3.21,24.57,12.83,6.68,0.35,34.08,3.66,39.45,41.59,31.3,3.53,0.234,0.817,0.338,27.4,82.4,571
2023,367685,4.82,1.61,9.88,16.33,10.51,1.89,61.28,17.08,23.35,39.52,3.82,2.34,0.848,0.786,0.409,91.8,71.3,279
2025,642843,14.19,2.6,31.6,10.37,9.3,7.67,61.72,10.89,26.03,14.99,23.36,6.04,0.596,0.398,0.061,79.9,19.6,475
2019,466644,19.8,9.15,14.51,12.35,3.56,2.02,46.11,3.15,3.25,32.22,16.87,7.15,0.651,0.329,0.855,11.6,61.3,836
2024,137623,39.93,13.06,46.11,17.34,1.33,1.59,41.38,12.8,1.35,26.52,34.05,2.2,0.055,0.79,0.409,56.1,10.5,396
2021,600000,7.64,16.65,31.53,2.95,5.99,5.16,4.4,13.2,20.42,43.34,7.13,7.3,0.987,0.99,0.883,80.5,61.2,254
2020,213182,22.36,17.95,20.77,5.06,8.5,0.7,9.97,3.27,36.32,42.41,26.37,6.79,0.182,0.741,0.017,15.9,25.3,608
