demo_popproj_projection_year,demo_popproj_geography_nuts_code,demo_popproj_nuts_level,demo_popproj_age_cohort_5yr,demo_popproj_sex,demo_popproj_citizenship_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_fertility_rate_assumption,demo_popproj_mortality_rate_assumption,demo_popproj_net_migration_assumption,demo_popproj_household_projection_total,demo_popproj_urban_rural_typology,demo_popproj_dependency_ratio_old_age,demo_popproj_median_age,demo_popproj_life_expectancy_at_birth,demo_popproj_eurostat_release_vintage,demo_popproj_methodology_code
2027,CZ949,3,30-34,M,NATIONAL,50532,48420,48141,49719,1.91,7.14,1236,22628,URBAN,30.69,38.2,81.3,2025-03,REG_DEMO_MODEL_A
2030,ES876,3,55-59,F,UNKNOWN,51026,56871,55264,58754,2.04,12.88,1671,22793,RURAL,21.57,37.3,76.7,2024-06,EUROPOP2023
2033,SE553,3,80-84,T,NON_EU,51197,54390,52722,56400,2.11,7.64,5915,20607,INTERMEDIATE,41.26,48.8,74.2,2023-09,NUTS_PROJ_V1
2036,MT750,3,0-4,M,EU,51381,64370,62036,64859,1.51,8.16,-1118,25290,URBAN,41.32,30.2,74.1,2026-12,REG_DEMO_MODEL_B
2039,LV37,2,25-29,F,NATIONAL,52326,52559,52128,52951,1.74,14.24,2549,21525,RURAL,26.93,44.0,80.4,2026-03,EUROPOP2024
2042,DK55,2,50-54,T,UNKNOWN,51807,66082,63900,68137,1.19,7.69,-3500,32996,INTERMEDIATE,39.37,34.9,74.5,2025-06,REG_DEMO_MODEL_A
2045,FI580,3,75-79,M,NON_EU,52081,54214,53232,54850,2.0,12.31,3115,22367,URBAN,23.02,36.0,81.1,2024-09,EUROPOP2023
2048,LT2,1,100+,F,EU,53135,82477,80455,84354,1.19,14.31,-687,39261,RURAL,32.63,50.4,81.3,2023-12,NUTS_PROJ_V1
2020,EE778,3,20-24,T,NATIONAL,53219,53219,51440,55065,1.93,8.71,1466,21769,INTERMEDIATE,33.99,42.6,79.3,2023-03,REG_DEMO_MODEL_B
2023,SI8,1,45-49,M,UNKNOWN,53042,52494,50855,53389,1.36,7.05,6198,24122,URBAN,38.37,31.4,74.7,2026-06,EUROPOP2024
2026,PL870,3,70-74,F,NON_EU,53352,59058,56820,60915,1.57,12.06,6732,25542,RURAL,44.38,44.2,77.3,2025-09,REG_DEMO_MODEL_A
2029,BG46,2,95-99,T,EU,54039,63165,61437,64986,1.85,7.49,-701,25175,INTERMEDIATE,26.61,37.5,82.5,2024-12,EUROPOP2023
2032,RO5,1,15-19,M,NATIONAL,53879,57195,56435,58108,2.2,8.43,4621,26986,URBAN,36.65,38.6,83.2,2024-03,NUTS_PROJ_V1
2035,LT78,2,40-44,F,UNKNOWN,54082,70367,69637,73113,1.61,13.74,2408,33398,RURAL,37.92,38.1,84.0,2023-06,REG_DEMO_MODEL_B
2038,DE84,2,65-69,T,NON_EU,54894,49421,47992,51380,1.8,10.0,-4772,21449,INTERMEDIATE,40.07,49.0,75.6,2026-09,EUROPOP2024
2041,FR41,2,90-94,M,EU,55218,50246,48402,51185,1.26,9.53,-4645,21398,URBAN,22.27,47.4,83.0,2025-12,REG_DEMO_MODEL_A
2044,SK6,1,10-14,F,NATIONAL,54784,50767,49600,52306,1.58,14.1,-2382,21684,RURAL,35.98,37.4,75.1,2025-03,EUROPOP2023
2047,HR923,3,35-39,T,UNKNOWN,55725,55273,53984,56109,1.36,14.08,-1455,24121,INTERMEDIATE,18.35,36.5,75.7,2024-06,NUTS_PROJ_V1
2050,DK849,3,60-64,M,NON_EU,55645,54518,53517,55957,1.76,10.97,588,21743,URBAN,39.79,48.1,77.9,2023-09,REG_DEMO_MODEL_B
2022,SI513,3,85-89,F,EU,56243,56717,54483,57735,1.37,14.08,6276,26216,RURAL,41.54,36.6,83.6,2026-12,EUROPOP2024
2025,FR6,1,5-9,T,NATIONAL,56495,57716,55974,58692,1.97,12.24,-2918,21569,INTERMEDIATE,39.1,42.0,83.6,2026-03,REG_DEMO_MODEL_A
2028,CZ18,2,30-34,M,UNKNOWN,56475,60089,58183,62113,1.64,10.52,-4683,27074,URBAN,41.78,38.1,75.6,2025-06,EUROPOP2023
2031,CY10,2,55-59,F,NON_EU,56329,51817,50634,53168,2.08,14.19,-642,25315,RURAL,28.52,34.1,82.1,2024-09,NUTS_PROJ_V1
2034,LU37,2,80-84,T,EU,56978,52590,52046,52961,1.37,11.75,361,23380,INTERMEDIATE,34.76,41.8,82.2,2023-12,REG_DEMO_MODEL_B
2037,HR5,1,0-4,M,NATIONAL,57479,57090,56775,58583,1.69,13.18,5581,26780,URBAN,42.94,42.7,77.1,2023-03,EUROPOP2024
2040,LV85,2,25-29,F,UNKNOWN,56812,72211,69815,74591,1.41,12.93,1930,28995,RURAL,41.02,36.3,76.1,2026-06,REG_DEMO_MODEL_A
2043,CZ5,1,50-54,T,NON_EU,57303,46284,45488,47750,1.19,10.49,-2582,20013,INTERMEDIATE,28.31,33.3,78.7,2025-09,EUROPOP2023
2046,HU29,2,75-79,M,EU,57571,48253,46784,48960,1.88,10.4,-2332,20017,URBAN,26.72,30.4,74.6,2024-12,NUTS_PROJ_V1
2049,PL122,3,100+,F,NATIONAL,57834,69943,68048,71064,1.89,11.13,5303,30357,RURAL,26.74,33.7,80.4,2024-03,REG_DEMO_MODEL_B
2021,ES513,3,20-24,T,UNKNOWN,58528,58003,56257,59441,1.73,13.62,-4085,23146,INTERMEDIATE,37.27,40.4,83.7,2023-06,EUROPOP2024
2024,HR799,3,45-49,M,NON_EU,58143,56885,55650,59041,1.36,12.66,850,25432,URBAN,29.14,45.8,79.2,2026-09,REG_DEMO_MODEL_A
2027,ES486,3,70-74,F,EU,58808,55539,54126,57351,1.86,11.11,-3535,21610,RURAL,30.11,32.4,83.6,2025-12,EUROPOP2023
2030,IT59,2,95-99,T,NATIONAL,58767,56925,54760,58571,1.13,11.82,6424,26380,INTERMEDIATE,19.14,34.6,76.4,2025-03,NUTS_PROJ_V1
2033,IE19,2,15-19,M,UNKNOWN,58906,74883,72248,76094,1.53,11.76,1484,37190,URBAN,38.67,40.3,81.0,2024-06,REG_DEMO_MODEL_B
2036,SK4,1,40-44,F,NON_EU,59713,62095,59758,62840,1.14,8.72,3052,30969,RURAL,36.95,42.2,77.9,2023-09,EUROPOP2024
2039,PL5,1,65-69,T,EU,60170,79650,77571,80472,1.11,11.71,5203,36254,INTERMEDIATE,33.02,40.7,75.7,2026-12,REG_DEMO_MODEL_A
2042,PT3,1,90-94,M,NATIONAL,59706,78684,76242,79616,2.09,9.94,5657,35769,URBAN,18.78,42.7,80.8,2026-03,EUROPOP2023
2045,BG1,1,10-14,F,UNKNOWN,60274,83453,80712,84199,1.53,7.8,-1632,38994,RURAL,33.4,45.7,82.7,2025-06,NUTS_PROJ_V1
2048,IE84,2,35-39,T,NON_EU,60690,54907,53850,55764,1.61,11.86,-1235,22908,INTERMEDIATE,41.88,35.3,79.4,2024-09,REG_DEMO_MODEL_B
2020,BE5,1,60-64,M,EU,60567,60567,59902,62693,1.33,14.1,1366,24188,URBAN,30.36,38.2,81.9,2023-12,EUROPOP2024
2023,RO81,2,85-89,F,NATIONAL,61442,62321,61051,63255,2.19,13.43,-929,30335,RURAL,20.9,30.0,74.3,2023-03,REG_DEMO_MODEL_A
2026,ES461,3,5-9,T,UNKNOWN,60801,66763,66304,69270,1.43,9.86,4307,24978,INTERMEDIATE,20.63,37.7,80.8,2026-06,EUROPOP2023
2029,NL571,3,30-34,M,NON_EU,61994,63513,62920,63999,1.56,7.17,7622,31372,URBAN,21.24,33.0,78.8,2025-09,NUTS_PROJ_V1
2032,IT564,3,55-59,F,EU,62204,75810,74901,76732,2.11,12.58,6171,29672,RURAL,41.77,49.6,75.8,2024-12,REG_DEMO_MODEL_B
2035,LT871,3,80-84,T,NATIONAL,61615,55104,53352,57057,1.74,11.18,-576,27336,INTERMEDIATE,33.21,31.3,81.3,2024-03,EUROPOP2024
2038,NL7,1,0-4,M,UNKNOWN,61970,53583,52711,53906,1.65,13.23,1757,25245,URBAN,18.36,48.8,80.9,2023-06,REG_DEMO_MODEL_A
2041,SK50,2,25-29,F,NON_EU,62982,82753,80256,83982,1.63,13.01,-4601,33505,RURAL,44.01,33.9,81.2,2026-09,EUROPOP2023
2044,SI590,3,50-54,T,EU,63079,49630,48774,51395,2.02,10.27,6517,21191,INTERMEDIATE,24.25,47.8,74.5,2025-12,NUTS_PROJ_V1
2047,LT842,3,75-79,M,NATIONAL,62872,51520,50121,53257,1.7,9.8,1082,20539,URBAN,32.6,36.7,80.7,2025-03,REG_DEMO_MODEL_B
2050,MT81,2,100+,F,UNKNOWN,63166,54706,53287,55874,1.48,9.19,6020,21655,RURAL,31.35,41.4,77.8,2024-06,EUROPOP2024
2022,LV75,2,20-24,T,NON_EU,63442,62505,60558,63118,2.12,11.84,2385,24729,INTERMEDIATE,41.27,33.4,74.4,2023-09,REG_DEMO_MODEL_A
2025,DE225,3,45-49,M,EU,63768,69563,69173,70263,1.48,11.75,7202,32943,URBAN,39.57,32.9,82.6,2026-12,EUROPOP2023
2028,IE846,3,70-74,F,NATIONAL,63710,71622,69750,74044,2.07,14.43,3912,35292,RURAL,20.8,30.1,83.8,2026-03,NUTS_PROJ_V1
2031,SE171,3,95-99,T,UNKNOWN,64430,78627,77517,80902,1.97,10.67,332,31296,INTERMEDIATE,39.52,41.5,78.1,2025-06,REG_DEMO_MODEL_B
2034,DE61,2,15-19,M,NON_EU,64672,79200,76639,80569,1.55,12.64,-3257,36699,URBAN,35.39,33.3,81.3,2024-09,EUROPOP2024
2037,SI90,2,40-44,F,EU,65021,60376,57962,62354,1.65,7.81,-2635,22860,RURAL,36.76,36.4,81.9,2023-12,REG_DEMO_MODEL_A
2040,PT860,3,65-69,T,NATIONAL,64810,86872,85044,87600,2.0,7.18,-4491,39361,INTERMEDIATE,23.59,47.4,81.1,2023-03,EUROPOP2023
2043,DK697,3,90-94,M,UNKNOWN,64818,61337,60925,62549,1.49,10.02,6433,25363,URBAN,27.27,37.9,77.2,2026-06,NUTS_PROJ_V1
2046,PL13,2,10-14,F,NON_EU,65634,80100,78237,82224,1.15,10.69,-4484,34085,RURAL,27.49,35.4,79.0,2025-09,REG_DEMO_MODEL_B
2049,FI347,3,35-39,T,EU,66066,69026,67567,69607,1.86,11.65,751,25906,INTERMEDIATE,36.49,50.9,78.0,2024-12,EUROPOP2024
2021,RO20,2,60-64,M,NATIONAL,66485,66792,66238,68236,1.7,7.62,6866,25873,URBAN,35.05,32.0,78.0,2024-03,REG_DEMO_MODEL_A
2024,PL424,3,85-89,F,UNKNOWN,66095,65368,65004,65773,1.44,12.83,2392,30381,RURAL,29.09,30.2,75.3,2023-06,EUROPOP2023
2027,LU9,1,5-9,T,NON_EU,66883,71835,69032,73467,1.18,8.36,-499,28872,INTERMEDIATE,28.48,49.4,80.9,2026-09,NUTS_PROJ_V1
2030,IE4,1,30-34,M,EU,66299,64722,62399,66216,1.29,10.39,-2334,31916,URBAN,34.23,39.0,81.2,2025-12,REG_DEMO_MODEL_B
2033,SE8,1,55-59,F,NATIONAL,67491,82031,79321,83837,1.11,12.82,5713,31145,RURAL,38.86,30.9,75.9,2025-03,EUROPOP2024
2036,HR374,3,80-84,T,UNKNOWN,67098,86453,84760,88378,1.89,13.06,-3098,41743,INTERMEDIATE,21.76,45.5,83.9,2024-06,REG_DEMO_MODEL_A
2039,LT567,3,0-4,M,NON_EU,67576,56595,55313,58451,1.57,12.31,6367,25066,URBAN,32.67,38.8,74.4,2023-09,EUROPOP2023
2042,LV8,1,25-29,F,EU,67696,78440,76461,79011,1.39,14.11,859,33632,RURAL,31.69,35.1,83.7,2026-12,NUTS_PROJ_V1
2045,DK921,3,50-54,T,NATIONAL,67640,57653,55673,59092,1.83,10.35,3944,25495,INTERMEDIATE,25.1,31.4,82.3,2026-03,REG_DEMO_MODEL_B
2048,FI68,2,75-79,M,UNKNOWN,67939,83664,80656,84198,1.32,9.25,7232,33586,URBAN,18.3,31.3,82.3,2025-06,EUROPOP2024
2020,SK82,2,100+,F,NON_EU,68115,68115,66024,69720,1.43,13.09,235,25757,RURAL,41.24,46.8,76.0,2024-09,REG_DEMO_MODEL_A
2023,IT855,3,20-24,T,EU,68736,69636,67372,70404,1.71,11.7,-3839,33124,INTERMEDIATE,21.43,40.7,83.0,2023-12,EUROPOP2023
2026,LU775,3,45-49,M,NATIONAL,68569,70370,69993,70900,1.28,11.7,1774,27192,URBAN,27.77,34.7,76.8,2023-03,NUTS_PROJ_V1
2029,DK496,3,70-74,F,UNKNOWN,68811,76999,74034,78247,1.53,8.44,6902,29039,RURAL,28.55,42.7,83.1,2026-06,REG_DEMO_MODEL_B
2032,EE15,2,95-99,T,NON_EU,69766,85634,83645,88907,1.66,10.05,7376,35027,INTERMEDIATE,24.52,40.9,79.2,2025-09,EUROPOP2024
2035,SK76,2,15-19,M,EU,69326,72492,69670,73022,1.19,13.69,-2616,28528,URBAN,19.08,35.8,76.9,2024-12,REG_DEMO_MODEL_A
2038,PT370,3,40-44,F,NATIONAL,70165,90443,89728,91855,1.69,9.45,48,34802,RURAL,30.69,40.2,82.0,2024-03,EUROPOP2023
2041,CY617,3,65-69,T,UNKNOWN,70609,88208,86826,91500,1.77,11.96,4404,42082,INTERMEDIATE,27.1,44.5,84.2,2023-06,NUTS_PROJ_V1
2044,HR802,3,90-94,M,NON_EU,70545,80489,79048,81600,1.4,9.03,-266,33313,URBAN,24.15,49.5,77.4,2026-09,REG_DEMO_MODEL_B
2047,IE317,3,10-14,F,EU,70495,85060,82695,86397,2.01,10.88,1742,38752,RURAL,34.14,44.1,76.0,2025-12,EUROPOP2024
2050,ES69,2,35-39,T,NATIONAL,71127,116958,112849,120694,1.42,12.15,922,46805,INTERMEDIATE,32.93,34.3,78.9,2025-03,REG_DEMO_MODEL_A
2022,RO25,2,60-64,M,UNKNOWN,71282,70599,69565,73116,1.8,8.54,7942,28893,URBAN,27.11,48.6,82.5,2024-06,EUROPOP2023
2025,PT757,3,85-89,F,NON_EU,71383,70448,68824,71467,1.73,11.03,-2603,32340,RURAL,19.95,32.6,78.0,2023-09,NUTS_PROJ_V1
2028,EE531,3,5-9,T,EU,71813,83821,80477,84794,2.13,13.96,2450,31579,INTERMEDIATE,32.87,47.2,79.4,2026-12,REG_DEMO_MODEL_B
2031,IE2,1,30-34,M,NATIONAL,71930,68809,66179,70183,2.18,11.46,2804,29838,URBAN,26.45,32.9,75.3,2026-03,EUROPOP2024
2034,AT6,1,55-59,F,UNKNOWN,72528,88159,84800,91213,1.41,11.11,-603,42197,RURAL,20.59,45.6,78.4,2025-06,REG_DEMO_MODEL_A
2037,ES5,1,80-84,T,NON_EU,72040,95529,93602,96039,1.47,11.68,-459,43443,INTERMEDIATE,24.5,34.6,80.3,2024-09,EUROPOP2023
2040,GR72,2,0-4,M,EU,73019,70155,68705,72570,1.27,11.15,189,27689,URBAN,22.64,50.3,78.0,2023-12,NUTS_PROJ_V1
2043,EE792,3,25-29,F,NATIONAL,73054,88731,88145,89457,1.91,14.34,-581,34570,RURAL,21.36,35.2,78.3,2023-03,REG_DEMO_MODEL_B
2046,CZ2,1,50-54,T,UNKNOWN,72997,80531,77776,81422,1.34,7.81,-1088,32606,INTERMEDIATE,29.75,48.1,82.9,2026-06,EUROPOP2024
2049,NL47,2,75-79,M,NON_EU,73456,66164,63749,66684,1.88,10.32,7110,25237,URBAN,40.97,45.8,74.2,2025-09,REG_DEMO_MODEL_A
2021,MT4,1,100+,F,EU,74033,73896,73220,75536,1.97,10.93,276,36682,RURAL,31.7,38.1,78.6,2024-12,EUROPOP2023
2024,IT574,3,20-24,T,NATIONAL,73710,74061,72922,75989,1.87,9.83,7911,32442,INTERMEDIATE,23.88,37.4,76.9,2024-03,NUTS_PROJ_V1
2027,PT8,1,45-49,M,UNKNOWN,74482,73817,71460,75737,1.62,7.18,4229,34003,URBAN,36.83,39.5,82.4,2023-06,REG_DEMO_MODEL_B
2030,FR921,3,70-74,F,NON_EU,74398,79891,77700,80347,1.58,10.34,1949,38732,RURAL,24.88,34.8,77.8,2026-09,EUROPOP2024
2033,IT56,2,95-99,T,EU,74516,78847,76158,81596,1.81,11.49,-1794,30417,INTERMEDIATE,44.44,37.7,82.0,2025-12,REG_DEMO_MODEL_A
2036,RO84,2,15-19,M,NATIONAL,74592,89161,86089,91527,1.71,8.88,3605,33615,URBAN,30.23,36.2,83.0,2025-03,EUROPOP2023
2039,DK81,2,40-44,F,UNKNOWN,75035,101695,98289,103660,1.28,7.5,-3489,41769,RURAL,33.46,46.4,83.2,2024-06,NUTS_PROJ_V1
2042,EE69,2,65-69,T,NON_EU,75887,112958,109135,115689,2.14,13.71,-1130,56141,INTERMEDIATE,43.96,42.7,74.8,2023-09,REG_DEMO_MODEL_B
2045,FR506,3,90-94,M,EU,76041,63866,63138,64584,1.24,10.47,7465,28281,URBAN,22.83,41.2,76.0,2026-12,EUROPOP2024
2048,FI1,1,10-14,F,NATIONAL,76305,58017,57433,59863,1.66,7.16,3265,22090,RURAL,28.63,33.5,78.9,2026-03,REG_DEMO_MODEL_A
2020,NL843,3,35-39,T,UNKNOWN,76616,76616,75862,79236,1.73,9.09,-973,33046,INTERMEDIATE,37.18,45.0,75.7,2025-06,EUROPOP2023
2023,NL43,2,60-64,M,NON_EU,76620,79561,76565,81009,1.1,10.46,3027,32155,URBAN,28.67,41.4,78.2,2024-09,NUTS_PROJ_V1
2026,NL31,2,85-89,F,EU,76787,78647,77283,80470,1.97,11.33,7277,34439,RURAL,24.79,49.7,75.8,2023-12,REG_DEMO_MODEL_B
2029,PL147,3,5-9,T,NATIONAL,77378,80924,79966,81914,1.76,9.76,-111,38889,INTERMEDIATE,42.41,38.0,77.1,2023-03,EUROPOP2024
2032,BE621,3,30-34,M,UNKNOWN,76774,76256,73736,76680,1.58,11.79,-2589,32940,URBAN,33.94,45.9,75.5,2026-06,REG_DEMO_MODEL_A
2035,FR72,2,55-59,F,NON_EU,77812,76721,74308,77148,1.35,10.29,2975,33657,RURAL,37.25,37.8,76.1,2025-09,EUROPOP2023
2038,DK9,1,80-84,T,EU,77383,80902,77811,83990,2.09,13.92,-160,35768,INTERMEDIATE,27.46,49.1,83.3,2024-12,NUTS_PROJ_V1
2041,GR942,3,0-4,M,NATIONAL,78393,83485,81893,84939,1.66,10.58,2855,40775,URBAN,26.95,36.5,79.3,2024-03,REG_DEMO_MODEL_B
2044,FI55,2,25-29,F,UNKNOWN,77761,124378,120038,128095,1.4,7.19,-1417,50943,RURAL,28.02,39.4,77.5,2023-06,EUROPOP2024
2047,ES8,1,50-54,T,NON_EU,78627,87126,85536,88430,1.16,10.88,-2980,33273,INTERMEDIATE,38.48,39.1,79.4,2026-09,REG_DEMO_MODEL_A
2050,PT785,3,75-79,M,EU,78932,117601,115896,120520,1.17,14.26,1191,52709,URBAN,37.29,45.4,80.7,2025-12,EUROPOP2023
2022,BG14,2,100+,F,NATIONAL,78647,77747,77126,78389,1.52,9.96,-4314,38283,RURAL,18.33,32.8,78.4,2025-03,NUTS_PROJ_V1
2025,GR596,3,20-24,T,UNKNOWN,78948,79950,79063,80774,1.7,8.91,-1550,39967,INTERMEDIATE,19.79,48.0,76.8,2024-06,REG_DEMO_MODEL_B
2028,SE613,3,45-49,M,NON_EU,79494,88573,85709,91852,1.28,12.04,-3129,43080,URBAN,30.41,48.9,80.5,2023-09,EUROPOP2024
2031,DE417,3,70-74,F,EU,79631,94328,93710,95651,1.71,13.67,7158,42272,RURAL,35.95,41.1,81.0,2026-12,REG_DEMO_MODEL_A
2034,RO71,2,95-99,T,NATIONAL,80355,94301,92245,95693,1.75,13.72,-1294,36686,INTERMEDIATE,29.71,35.7,83.9,2026-03,EUROPOP2023
2037,FR21,2,15-19,M,UNKNOWN,80057,87091,85815,88760,2.15,9.25,-779,41980,URBAN,22.0,34.7,82.2,2025-06,NUTS_PROJ_V1
2040,EE367,3,40-44,F,NON_EU,80901,117153,114370,118367,1.21,11.07,947,51184,RURAL,28.8,41.9,77.1,2024-09,REG_DEMO_MODEL_B
2043,GR969,3,65-69,T,EU,80498,71522,69865,74203,1.17,9.35,-4068,31029,INTERMEDIATE,40.01,33.2,79.0,2023-12,EUROPOP2024
2046,SK361,3,90-94,M,NATIONAL,80531,80559,78380,81830,1.64,14.48,1493,33400,URBAN,28.94,47.8,77.0,2023-03,REG_DEMO_MODEL_A
2049,SE74,2,10-14,F,UNKNOWN,81375,122258,118805,125428,1.75,13.4,-3351,59421,RURAL,39.5,30.2,79.7,2026-06,EUROPOP2023
2021,BE637,3,35-39,T,NON_EU,81504,82881,82276,85597,1.87,8.14,-4159,41410,INTERMEDIATE,22.79,32.8,84.3,2025-09,NUTS_PROJ_V1
2024,IT6,1,60-64,M,EU,81625,85061,84391,87570,1.83,7.66,-2294,32403,URBAN,26.91,30.8,80.1,2024-12,REG_DEMO_MODEL_B
2027,HR685,3,85-89,F,NATIONAL,81540,86475,85502,87489,1.29,9.93,3034,41669,RURAL,34.02,42.9,79.5,2024-03,EUROPOP2024
2030,BE53,2,5-9,T,UNKNOWN,82601,89791,86634,91692,2.04,8.18,7715,36061,INTERMEDIATE,20.6,42.7,81.2,2023-06,REG_DEMO_MODEL_A
2033,HR23,2,30-34,M,NON_EU,82032,83974,81610,84872,1.62,10.39,3337,37920,URBAN,35.64,47.1,78.4,2026-09,EUROPOP2023
2036,PL105,3,55-59,F,EU,83202,79365,78925,80621,1.46,8.81,-2564,31844,RURAL,18.99,31.2,83.2,2025-12,NUTS_PROJ_V1
2039,BG493,3,80-84,T,NATIONAL,82651,72643,70878,73385,1.18,12.78,6267,32663,INTERMEDIATE,24.46,40.1,78.3,2025-03,REG_DEMO_MODEL_B
2042,SI1,1,0-4,M,UNKNOWN,83702,102673,101953,105170,1.75,14.03,-1564,39085,URBAN,35.72,37.6,78.1,2024-06,EUROPOP2024
2045,FI3,1,25-29,F,NON_EU,83353,68157,65505,70532,1.38,8.4,3152,29321,RURAL,44.1,46.5,83.1,2023-09,REG_DEMO_MODEL_A
2048,LU31,2,50-54,T,EU,83710,70703,68683,73448,1.56,9.36,7312,29501,INTERMEDIATE,36.9,30.2,82.2,2026-12,EUROPOP2023
2020,AT49,2,75-79,M,NATIONAL,84477,84477,81373,87488,1.47,7.32,-2701,38965,URBAN,34.31,50.1,83.5,2026-03,NUTS_PROJ_V1
2023,DE3,1,100+,F,UNKNOWN,84488,83331,80109,83774,1.5,9.57,5074,36853,RURAL,18.07,40.1,82.7,2025-06,REG_DEMO_MODEL_B
2026,SK91,2,20-24,T,NON_EU,84513,82530,79655,84907,2.04,12.58,-520,34799,INTERMEDIATE,42.02,50.9,80.4,2024-09,EUROPOP2024
2029,SK8,1,45-49,M,EU,84876,81794,80725,84296,1.14,14.23,4682,34324,URBAN,32.55,45.9,74.5,2023-12,REG_DEMO_MODEL_A
2032,IT99,2,70-74,F,NATIONAL,84840,75692,74225,78627,1.17,13.22,1836,28559,RURAL,42.68,42.8,76.4,2023-03,EUROPOP2023
2035,HR93,2,95-99,T,UNKNOWN,85072,106429,103002,107947,2.08,13.39,-1241,43125,INTERMEDIATE,33.65,38.3,74.0,2026-06,NUTS_PROJ_V1
2038,NL9,1,15-19,M,NON_EU,85234,72718,72232,74224,1.54,10.23,-3754,28386,URBAN,25.39,47.1,79.7,2025-09,REG_DEMO_MODEL_B
2041,FR10,2,40-44,F,EU,85676,70099,69425,72247,1.94,12.91,7597,28964,RURAL,19.38,50.8,76.2,2024-12,EUROPOP2024
2044,LV71,2,65-69,T,NATIONAL,86177,100845,99563,104367,2.12,9.92,6890,45221,INTERMEDIATE,32.72,34.2,81.2,2024-03,REG_DEMO_MODEL_A
2047,LV811,3,90-94,M,UNKNOWN,85831,85514,82828,87377,1.21,13.98,6976,39213,URBAN,35.75,44.1,78.4,2023-06,EUROPOP2023
2050,DE312,3,10-14,F,NON_EU,86927,94514,93145,96182,1.94,9.17,3885,38047,RURAL,35.25,31.6,75.6,2026-09,NUTS_PROJ_V1
2022,FI956,3,35-39,T,EU,86374,89088,85534,90280,1.96,12.96,-576,33296,INTERMEDIATE,21.06,39.5,75.3,2025-12,REG_DEMO_MODEL_B
2025,NL578,3,60-64,M,NATIONAL,87284,94055,92052,96206,1.63,11.61,7869,45695,URBAN,39.3,37.4,78.1,2025-03,EUROPOP2024
2028,NL21,2,85-89,F,UNKNOWN,86943,91465,88607,91980,2.11,13.03,7997,36058,RURAL,44.79,33.4,77.6,2024-06,REG_DEMO_MODEL_A
2031,PL936,3,5-9,T,NON_EU,87534,102504,100322,104733,2.12,11.74,-4512,45799,INTERMEDIATE,28.51,45.9,75.1,2023-09,EUROPOP2023
2034,IT7,1,30-34,M,EU,87774,105573,102837,106719,1.78,10.63,4606,41837,URBAN,19.81,50.9,76.4,2026-12,NUTS_PROJ_V1
2037,DE76,2,55-59,F,NATIONAL,88172,119438,117924,122365,1.6,9.42,1043,55828,RURAL,19.13,39.5,74.0,2026-03,REG_DEMO_MODEL_B
2040,IE55,2,80-84,T,UNKNOWN,88113,72819,71600,74132,1.47,12.62,-4879,27184,INTERMEDIATE,41.27,31.8,82.9,2025-06,EUROPOP2024
2043,CY811,3,0-4,M,NON_EU,88608,100787,99458,103382,1.62,11.15,4037,40184,URBAN,27.2,43.1,74.3,2024-09,REG_DEMO_MODEL_A
2046,SE2,1,25-29,F,EU,89105,112892,109348,115578,1.57,7.29,-3254,55381,RURAL,26.11,50.2,75.4,2023-12,EUROPOP2023
2049,IE6,1,50-54,T,NATIONAL,88764,134643,133966,136638,2.03,14.36,3699,59717,INTERMEDIATE,31.45,45.5,78.3,2023-03,NUTS_PROJ_V1
2021,ES9,1,75-79,M,UNKNOWN,88776,90501,87919,93208,2.06,13.99,4878,37402,URBAN,20.7,32.4,84.2,2026-06,REG_DEMO_MODEL_B
2024,BE985,3,100+,F,NON_EU,89786,89790,88990,90812,1.33,13.0,-1207,44136,RURAL,26.41,46.0,81.9,2025-09,EUROPOP2024
2027,PT7,1,20-24,T,EU,90184,100628,99461,103064,1.74,12.18,-131,38197,INTERMEDIATE,35.76,32.1,78.2,2024-12,REG_DEMO_MODEL_A
2030,GR704,3,45-49,M,NATIONAL,90453,82819,82169,84451,1.82,9.02,-4148,39516,URBAN,20.55,49.8,74.0,2024-03,EUROPOP2023
2033,NL61,2,70-74,F,UNKNOWN,90662,95874,93613,97565,1.7,8.98,4680,36073,RURAL,42.17,35.2,77.5,2023-06,NUTS_PROJ_V1
2036,MT427,3,95-99,T,NON_EU,90189,104843,102737,108547,1.79,7.13,-1422,41768,INTERMEDIATE,21.42,45.5,82.6,2026-09,REG_DEMO_MODEL_B
2039,LU24,2,15-19,M,EU,90948,100538,99998,101059,1.68,9.05,6957,39529,URBAN,23.06,41.5,74.6,2025-12,EUROPOP2024
2042,MT7,1,40-44,F,NATIONAL,90716,109039,106159,112732,1.42,8.02,4679,47655,RURAL,33.61,35.7,80.5,2025-03,REG_DEMO_MODEL_A
2045,LU909,3,65-69,T,UNKNOWN,91660,78341,76359,80510,1.65,14.33,1644,32459,INTERMEDIATE,38.16,44.5,80.1,2024-06,EUROPOP2023
2048,PT502,3,90-94,M,NON_EU,91833,118756,114504,122138,1.25,7.3,-905,47098,URBAN,37.74,44.4,75.4,2023-09,NUTS_PROJ_V1
2020,FI555,3,10-14,F,EU,91473,91473,88174,91939,1.33,7.83,6406,45517,RURAL,20.89,34.3,75.5,2026-12,REG_DEMO_MODEL_B
