soc_poverty_reference_year,soc_poverty_country_iso2,soc_poverty_region_nuts_code,soc_poverty_age_group,soc_poverty_sex,soc_poverty_equivalised_disposable_income_eur,soc_poverty_median_income_eur,soc_poverty_at_risk_of_poverty_rate_pct,soc_poverty_severe_material_deprivation_rate_pct,soc_poverty_low_work_intensity_rate_pct,soc_poverty_arope_rate_pct,soc_poverty_gini_coefficient,soc_poverty_in_work_poverty_rate_pct,soc_poverty_housing_cost_overburden_rate_pct,soc_poverty_energy_poverty_rate_pct,soc_poverty_social_transfer_impact_pp,soc_poverty_minimum_income_adequacy_index,soc_poverty_eurostat_table_code,soc_poverty_survey_weight,soc_poverty_data_extract_date
2024,BE,IT49,18-24,T,26193.52,31643.9,10.88,4.32,13.2,18.02,32.52,2.2,5.89,21.99,12.86,0.6553,ilc_di12,1.7187,2025-05-22
2025,DK,NL190,50-64,M,14051.44,16217.98,20.26,7.04,7.47,24.04,28.69,12.9,6.94,18.22,11.86,0.8524,ilc_lvhl11,3.3367,2025-06-19
2026,GR,CY294,0-17,F,8926.22,9564.87,26.41,8.36,14.82,35.33,27.11,11.23,12.23,1.94,9.33,0.4773,ilc_peps01n,1.2779,2025-02-04
2010,LT,ES47,25-49,T,25845.71,22163.91,28.35,4.58,2.45,30.37,37.91,15.66,19.09,18.8,7.17,0.7577,ilc_li02,3.4151,2025-01-23
2011,PT,SK755,65+,M,13330.92,18344.03,18.56,9.4,4.88,25.14,40.95,14.24,17.07,2.66,11.25,0.5824,ilc_lvho07,0.7701,2025-05-01
2012,SE,LV698,18-24,F,24887.18,27055.39,24.65,6.44,13.81,32.2,32.43,2.76,5.74,4.05,13.19,0.8295,ilc_di12,3.1967,2025-09-10
2013,CY,MT7,50-64,T,15482.93,24909.15,27.76,1.24,11.9,28.8,21.89,9.81,6.87,6.83,11.99,0.5705,ilc_lvhl11,2.2409,2025-06-16
2014,FR,LT302,0-17,M,16690.38,17551.22,30.4,0.81,3.75,31.2,22.12,6.52,3.07,20.72,14.72,0.8711,ilc_peps01n,1.4052,2025-03-07
2015,IT,GR135,25-49,F,28577.89,27894.65,14.48,2.27,12.84,18.8,22.06,2.89,14.1,17.66,5.94,0.4382,ilc_li02,0.4971,2026-02-12
2016,NL,DE39,65+,T,33329.2,25172.35,25.03,2.88,3.97,28.11,24.76,3.74,12.55,14.0,11.04,0.4508,ilc_lvho07,0.8234,2024-03-10
2017,SI,BE9,18-24,M,16161.59,16822.23,22.58,4.35,14.3,26.99,34.62,15.73,10.03,17.93,5.57,0.1678,ilc_di12,2.5425,2024-03-15
2018,BG,FR9,50-64,F,15878.52,24908.28,22.21,7.19,12.24,29.55,38.33,6.83,6.7,21.99,5.78,0.1731,ilc_lvhl11,3.5841,2025-05-06
2019,EE,PL6,0-17,T,13712.21,16274.43,25.0,10.01,1.52,28.35,31.07,4.75,17.3,8.54,12.97,0.2214,ilc_peps01n,3.0031,2025-04-24
2020,HU,NL22,25-49,M,10089.1,12678.68,17.03,4.53,12.53,21.82,36.22,10.03,19.54,15.56,4.81,0.5717,ilc_li02,0.3598,2024-07-09
2021,LU,IT9,65+,F,35211.86,32183.59,10.34,10.6,7.93,16.14,36.64,10.92,7.97,18.32,9.3,0.3661,ilc_lvho07,3.2029,2024-04-03
2022,RO,CZ84,18-24,T,24364.04,21687.76,26.23,7.93,2.43,31.7,30.93,9.56,7.93,7.12,3.82,0.5092,ilc_di12,0.8017,2025-12-03
2023,AT,LT27,50-64,M,14329.87,15915.29,17.49,5.55,8.88,23.52,21.22,10.91,11.6,22.97,4.74,0.3173,ilc_lvhl11,0.9064,2025-01-16
2024,CZ,ES55,0-17,F,10519.43,12546.13,24.62,2.27,13.59,28.3,41.21,3.21,10.79,5.49,6.86,0.8509,ilc_peps01n,0.5486,2024-08-31
2025,DE,PL4,25-49,T,29349.09,29183.65,8.75,6.28,16.95,15.04,28.39,8.37,12.19,22.8,15.01,0.3105,ilc_li02,1.0182,2025-11-16
2026,LV,LU482,65+,M,33324.62,29989.88,8.94,0.86,14.57,11.17,21.66,7.6,11.99,13.44,9.34,0.241,ilc_lvho07,3.3236,2025-08-13
2010,PL,BG6,18-24,F,17070.33,19087.89,13.54,5.26,12.0,18.46,41.43,11.98,14.59,3.11,6.86,0.223,ilc_di12,0.6436,2025-02-05
2011,ES,LT1,50-64,T,9962.5,16604.16,6.37,7.35,16.67,13.55,40.94,3.96,5.55,12.2,6.29,0.9403,ilc_lvhl11,1.1581,2025-02-11
2012,HR,SK765,0-17,M,19026.0,19433.77,10.02,8.28,2.66,13.62,29.9,14.96,4.47,8.82,8.07,0.6035,ilc_peps01n,0.9282,2024-10-23
2013,FI,SK3,25-49,F,39412.76,32039.1,9.8,4.29,13.79,12.57,34.71,6.66,12.02,2.45,10.67,0.603,ilc_li02,0.5217,2024-03-04
2014,IE,HR64,65+,T,14243.94,17143.19,25.65,0.57,9.44,28.91,30.59,13.96,10.17,9.81,13.91,0.7994,ilc_lvho07,0.7751,2025-06-28
2015,MT,IE2,18-24,M,15194.18,12716.51,25.15,12.29,4.26,31.52,35.67,12.56,12.04,4.27,5.24,0.2775,ilc_di12,0.763,2024-03-12
2016,SK,FR475,50-64,F,31944.39,33859.62,24.69,10.47,12.44,31.4,33.42,2.82,20.93,4.23,4.65,0.8114,ilc_lvhl11,0.4157,2025-06-28
2017,BE,AT4,0-17,T,12627.09,13152.26,17.46,0.9,15.4,22.92,24.16,8.68,14.07,19.37,8.48,0.5448,ilc_peps01n,1.851,2024-09-07
2018,DK,EE61,25-49,M,10315.89,15956.65,25.33,7.89,10.87,29.73,31.61,15.54,10.75,6.59,8.73,0.224,ilc_li02,2.3852,2024-04-25
2019,GR,PL13,65+,F,32447.65,27758.73,13.07,6.81,16.84,18.64,31.81,11.8,5.23,10.25,3.07,0.4439,ilc_lvho07,0.447,2024-11-27
2020,LT,LV30,18-24,T,20189.78,15377.15,9.59,2.44,16.91,15.9,22.8,9.54,8.98,7.13,15.04,0.5082,ilc_di12,2.7499,2025-01-26
2021,PT,CY2,50-64,M,15016.91,25977.94,9.88,4.83,1.28,11.53,29.2,11.21,7.99,5.84,13.51,0.2209,ilc_lvhl11,0.6535,2024-03-26
2022,SE,DE205,0-17,F,17075.54,13080.84,26.87,4.72,14.94,30.95,26.77,4.86,7.96,22.54,8.79,0.9473,ilc_peps01n,3.3315,2024-07-04
2023,CY,LU389,25-49,T,32642.92,30882.55,15.97,7.14,3.9,19.36,40.93,5.12,6.22,21.62,7.94,0.1871,ilc_li02,2.6075,2025-03-23
2024,FR,ES401,65+,M,34280.32,26296.94,7.2,2.08,11.38,10.63,20.63,3.74,12.12,19.98,10.19,0.5916,ilc_lvho07,0.6756,2025-07-16
2025,IT,AT106,18-24,F,24476.17,18469.08,27.21,6.18,11.5,33.87,34.79,6.18,10.43,20.78,9.78,0.6051,ilc_di12,2.7823,2024-10-09
2026,NL,ES945,50-64,T,22803.27,29362.55,28.21,4.06,8.43,29.79,40.09,8.49,10.02,17.04,4.61,0.7378,ilc_lvhl11,3.5779,2025-12-09
2010,SI,PL5,0-17,M,30915.1,25041.38,25.97,7.22,10.47,31.29,36.87,6.45,9.44,16.73,11.36,0.7307,ilc_peps01n,2.4582,2026-02-05
2011,BG,FI55,25-49,F,29765.18,24478.18,27.44,2.77,17.55,33.96,26.05,3.3,20.32,13.33,13.35,0.7462,ilc_li02,2.9353,2025-04-23
2012,EE,RO3,65+,T,18999.68,14975.29,10.49,1.74,10.03,11.81,24.44,7.54,10.79,15.46,11.74,0.6674,ilc_lvho07,1.1183,2026-01-01
2013,HU,HR987,18-24,M,31044.52,30422.74,19.44,8.85,3.07,23.5,37.78,11.44,9.09,11.4,9.85,0.4968,ilc_di12,1.684,2025-07-09
2014,LU,CZ4,50-64,F,39112.46,29487.02,15.67,5.44,15.38,20.49,21.5,12.94,7.67,7.79,3.73,0.4824,ilc_lvhl11,0.9612,2024-01-18
2015,RO,HR38,0-17,T,17122.81,27147.18,30.98,12.43,15.85,40.72,37.58,10.64,12.61,20.92,5.75,0.734,ilc_peps01n,2.6422,2024-06-13
2016,AT,DK866,25-49,M,28616.4,22476.07,31.95,6.68,17.33,37.71,37.56,3.33,6.8,11.85,5.9,0.8846,ilc_li02,2.536,2024-12-09
2017,CZ,SE15,65+,F,27650.52,32861.46,29.27,10.81,6.25,34.66,22.63,2.5,15.72,16.31,5.49,0.3263,ilc_lvho07,3.2212,2025-05-07
2018,DE,LV396,18-24,T,11813.44,10133.84,13.24,2.48,3.26,13.19,32.97,12.92,14.43,13.08,4.93,0.2991,ilc_di12,1.0118,2025-08-08
2019,LV,PL36,50-64,M,37845.37,28443.63,13.57,8.11,1.43,19.0,37.85,11.53,3.17,17.11,15.17,0.7659,ilc_lvhl11,3.0792,2025-01-25
2020,PL,IE953,0-17,F,25775.95,23067.74,30.06,11.82,11.47,34.99,28.75,10.32,16.2,18.75,8.67,0.6962,ilc_peps01n,1.2084,2024-03-21
2021,ES,CY3,25-49,T,23016.36,27075.88,28.79,5.77,15.68,35.84,26.13,14.61,20.95,14.46,9.5,0.758,ilc_li02,2.9388,2025-11-06
2022,HR,LT55,65+,M,21346.8,18977.41,26.44,2.51,11.17,27.98,21.91,3.87,5.6,8.22,10.11,0.3547,ilc_lvho07,1.8464,2024-09-01
2023,FI,CY152,18-24,F,26061.88,30742.75,10.93,5.04,15.41,18.15,39.42,14.26,3.51,3.01,15.9,0.6973,ilc_di12,0.8428,2026-02-12
2024,IE,SK169,50-64,T,23735.54,30510.98,27.4,1.37,14.31,29.6,20.62,4.28,13.39,9.29,14.86,0.3184,ilc_lvhl11,0.6859,2024-06-12
2025,MT,LU82,0-17,M,17293.76,23085.54,17.39,7.36,7.69,23.64,31.53,14.32,5.58,2.7,8.41,0.3687,ilc_peps01n,0.8422,2024-07-14
2026,SK,BE455,25-49,F,10446.9,13451.44,27.55,11.45,6.25,31.12,21.21,4.23,3.67,15.73,12.01,0.6288,ilc_li02,1.3312,2024-06-11
2010,BE,PT100,65+,T,7246.73,12426.27,15.87,9.92,2.84,20.32,40.31,15.78,11.81,4.19,15.0,0.5472,ilc_lvho07,3.472,2024-09-19
2011,DK,SE182,18-24,M,8433.9,10804.02,18.16,4.66,3.52,20.54,31.41,9.92,13.94,17.99,15.08,0.7566,ilc_di12,2.9111,2025-05-02
2012,GR,PT34,50-64,F,34998.1,32048.6,31.65,6.81,10.81,38.03,26.62,8.16,17.2,2.39,3.83,0.5465,ilc_lvhl11,2.217,2024-08-26
2013,LT,ES45,0-17,T,11032.86,16178.79,10.39,1.9,8.14,10.94,34.45,9.24,12.92,23.21,13.86,0.4915,ilc_peps01n,1.6963,2025-10-15
2014,PT,AT290,25-49,M,12209.9,14466.76,8.53,4.97,13.86,12.47,32.12,2.88,3.49,22.02,10.95,0.3473,ilc_li02,2.2124,2024-05-12
2015,SE,FR1,65+,F,14419.62,14329.8,9.85,1.66,3.86,12.89,38.48,15.23,8.0,22.51,4.38,0.2298,ilc_lvho07,2.7087,2024-11-17
2016,CY,HU36,18-24,T,10507.37,11942.68,6.39,7.15,13.89,13.66,25.14,8.08,3.2,4.12,15.19,0.2966,ilc_di12,1.9404,2024-05-15
2017,FR,EE19,50-64,M,12892.47,15485.82,30.8,12.43,4.29,35.77,37.57,14.52,15.09,8.75,13.49,0.1798,ilc_lvhl11,2.6696,2024-10-04
2018,IT,AT611,0-17,F,18261.06,17400.64,8.5,11.74,14.17,18.15,40.29,3.62,17.05,3.4,10.73,0.3577,ilc_peps01n,1.248,2024-08-31
2019,NL,HU399,25-49,T,17611.21,23247.29,20.09,10.87,12.11,29.25,29.99,11.91,7.34,16.8,5.32,0.328,ilc_li02,3.2451,2024-06-04
2020,SI,HU99,65+,M,21472.72,21966.97,22.67,6.91,6.19,24.9,28.35,9.98,8.36,19.6,4.56,0.6243,ilc_lvho07,1.927,2025-12-06
2021,BG,FI2,18-24,F,35711.28,27909.36,21.12,5.83,10.62,25.92,27.86,8.78,11.83,1.24,3.18,0.2931,ilc_di12,0.4415,2026-02-06
2022,EE,FR10,50-64,T,19382.62,15725.62,12.77,11.57,14.65,21.06,27.11,11.77,18.12,9.65,15.37,0.249,ilc_lvhl11,2.472,2025-03-27
2023,HU,DE55,0-17,M,32646.52,24958.12,21.01,9.14,7.67,24.38,30.89,13.53,17.67,22.74,8.99,0.6486,ilc_peps01n,2.5722,2025-10-06
2024,LU,LU99,25-49,F,31992.42,29117.97,12.26,6.41,15.92,17.18,33.47,11.13,18.45,11.22,16.49,0.2492,ilc_li02,1.9042,2024-07-20
2025,RO,NL34,65+,T,32666.21,30462.16,6.3,5.87,3.89,9.79,25.68,14.65,3.05,1.9,9.38,0.6301,ilc_lvho07,1.9157,2025-09-21
2026,AT,DK234,18-24,M,24472.73,20530.27,27.3,8.27,3.06,29.35,35.77,3.1,16.46,18.52,12.25,0.5582,ilc_di12,1.6975,2026-01-12
2010,CZ,BG879,50-64,F,29011.5,28198.3,19.5,3.28,4.32,19.73,41.01,15.78,3.07,15.83,9.33,0.685,ilc_lvhl11,2.2818,2025-10-19
2011,DE,MT630,0-17,T,39025.17,33955.27,14.48,8.52,16.27,24.01,36.27,6.12,19.81,14.8,5.78,0.4166,ilc_peps01n,3.5883,2025-07-23
2012,LV,LU81,25-49,M,21007.27,23585.28,16.81,11.99,1.22,20.74,31.2,13.37,18.88,22.71,12.4,0.2502,ilc_li02,0.4698,2026-01-14
2013,PL,HR152,65+,F,26442.86,23264.56,21.14,10.05,15.28,29.2,39.56,12.4,10.5,15.59,13.06,0.3279,ilc_lvho07,0.3818,2025-01-22
2014,ES,NL39,18-24,T,41721.56,33065.6,12.55,0.88,8.8,13.73,38.04,2.77,3.67,12.96,17.79,0.7249,ilc_di12,2.7854,2024-02-09
2015,HR,MT78,50-64,M,11265.94,12741.9,10.0,3.29,12.02,14.01,25.18,5.49,11.27,21.7,13.57,0.426,ilc_lvhl11,1.7226,2025-11-25
2016,FI,IT187,0-17,F,38602.24,29211.35,20.68,3.81,2.98,24.58,34.64,2.18,15.64,10.18,9.49,0.1634,ilc_peps01n,2.675,2025-04-28
2017,IE,DE889,25-49,T,18424.19,18373.53,15.93,11.77,9.56,22.65,26.27,8.8,16.47,18.36,12.55,0.3578,ilc_li02,1.6378,2024-01-17
2018,MT,RO63,65+,M,12267.3,19459.02,17.01,11.43,12.0,22.24,23.81,7.63,19.93,7.46,8.22,0.4818,ilc_lvho07,2.2034,2024-11-11
2019,SK,HU8,18-24,F,7224.16,11898.41,7.87,6.35,5.62,11.87,29.5,14.9,14.01,1.89,12.81,0.7246,ilc_di12,1.1944,2025-10-10
2020,BE,FR2,50-64,T,28744.54,24496.81,25.26,11.88,5.3,31.41,30.18,5.08,6.71,9.29,17.81,0.2761,ilc_lvhl11,1.7572,2024-05-13
2021,DK,CZ28,0-17,M,22979.73,18015.83,13.67,2.57,8.74,18.72,25.65,2.81,19.72,12.46,3.59,0.6388,ilc_peps01n,3.349,2024-04-21
2022,GR,SE724,25-49,F,30513.16,28207.71,13.64,7.26,16.52,17.96,20.06,10.54,10.49,2.02,12.29,0.3449,ilc_li02,3.2983,2025-12-02
2023,LT,BE4,65+,T,12647.33,18504.7,15.27,8.99,12.98,22.56,20.3,5.59,19.45,1.88,4.66,0.4178,ilc_lvho07,0.3006,2025-10-18
2024,PT,FI57,18-24,M,22116.58,23812.85,8.56,1.67,14.11,15.01,26.59,7.75,14.68,15.18,16.56,0.2473,ilc_di12,1.2766,2025-11-14
2025,SE,MT62,50-64,F,29412.1,27877.46,31.58,9.55,14.51,36.47,39.04,14.97,8.31,13.54,17.93,0.7688,ilc_lvhl11,3.2303,2025-02-05
2026,CY,PT2,0-17,T,21916.98,24571.88,22.07,9.04,5.19,28.84,21.6,12.08,6.68,9.91,6.9,0.3597,ilc_peps01n,3.3103,2025-06-18
2010,FR,IT250,25-49,M,21059.51,29393.65,16.93,9.68,17.21,26.13,37.09,5.71,18.19,8.76,16.78,0.3025,ilc_li02,0.6067,2025-10-30
2011,IT,FI8,65+,F,28035.31,26873.87,21.25,1.31,5.68,23.16,21.79,10.55,13.84,16.57,5.25,0.2437,ilc_lvho07,0.7834,2024-09-23
2012,NL,RO5,18-24,T,26707.38,23351.52,18.0,11.75,5.49,21.84,39.19,11.54,10.12,19.81,11.81,0.7765,ilc_di12,1.9935,2025-01-23
2013,SI,AT180,50-64,M,33751.85,31712.9,6.17,6.51,1.45,9.78,27.45,2.32,7.35,17.74,3.2,0.7267,ilc_lvhl11,0.3787,2026-01-07
2014,BG,IT628,0-17,F,29837.14,32718.65,13.02,5.73,3.96,16.23,25.93,14.01,3.83,4.18,3.04,0.5888,ilc_peps01n,3.021,2026-02-09
2015,EE,SI5,25-49,T,7822.15,10318.91,8.67,0.71,8.89,9.35,26.61,11.56,8.94,18.74,4.28,0.7581,ilc_li02,3.4124,2025-01-27
2016,HU,SK5,65+,M,33364.8,24768.84,25.18,11.77,5.91,28.98,34.17,7.64,20.38,18.51,10.03,0.8943,ilc_lvho07,1.2349,2025-04-02
2017,LU,CZ438,18-24,F,17886.44,15323.97,24.33,0.92,15.08,28.34,39.5,7.82,5.01,18.55,9.19,0.6465,ilc_di12,3.292,2025-03-07
2018,RO,SE716,50-64,T,31267.2,24596.46,30.54,9.97,15.28,39.66,32.83,9.71,10.51,10.34,16.6,0.3665,ilc_lvhl11,0.9948,2024-06-29
2019,AT,DE2,0-17,M,14006.68,14540.83,8.02,5.19,4.22,10.77,34.49,14.53,20.25,3.43,13.08,0.5991,ilc_peps01n,2.9669,2024-05-15
2020,CZ,IE1,25-49,F,15011.79,22968.52,29.25,2.12,6.11,29.62,39.33,3.12,17.14,2.45,12.67,0.2532,ilc_li02,0.7485,2025-10-22
2021,DE,SE9,65+,T,39358.52,29704.71,9.7,8.31,5.03,12.81,33.07,13.83,19.18,4.27,16.5,0.1945,ilc_lvho07,1.2163,2025-08-12
2022,LV,ES94,18-24,M,10382.91,14746.91,11.72,3.24,11.96,15.46,29.11,8.73,3.27,23.71,12.45,0.2133,ilc_di12,2.7608,2025-09-10
2023,PL,LT81,50-64,F,27503.0,20518.13,19.31,2.77,17.23,24.76,23.51,5.11,13.33,11.86,13.51,0.19,ilc_lvhl11,1.2547,2025-12-08
2024,ES,LU7,0-17,T,29203.65,32473.98,22.81,8.81,7.25,29.1,27.55,4.83,14.41,15.3,9.07,0.3951,ilc_peps01n,2.3404,2024-11-12
2025,HR,ES5,25-49,M,16143.99,20979.86,13.74,6.23,7.11,15.33,27.98,4.65,19.06,22.6,12.49,0.9454,ilc_li02,1.6931,2024-10-25
2026,FI,HR181,65+,F,22784.64,25574.34,22.95,1.57,13.4,25.97,28.3,10.11,18.93,9.1,10.67,0.8994,ilc_lvho07,2.4824,2025-08-23
2010,IE,LV56,18-24,T,23526.54,19766.06,18.35,7.1,17.67,24.29,32.34,8.2,17.73,3.49,16.37,0.2018,ilc_di12,2.7694,2024-06-19
2011,MT,LV63,50-64,M,21126.25,17978.85,17.4,11.93,7.13,22.41,31.02,14.72,16.57,3.43,17.88,0.389,ilc_lvhl11,2.7366,2025-08-23
2012,SK,BE327,0-17,F,19958.93,22945.87,28.12,3.17,11.62,30.85,39.14,3.84,19.56,1.61,8.37,0.4418,ilc_peps01n,0.435,2024-10-08
2013,BE,AT61,25-49,T,11499.39,12641.9,7.4,3.24,4.01,8.75,22.4,2.04,12.57,1.96,6.22,0.1545,ilc_li02,3.2995,2024-11-19
2014,DK,DK630,65+,M,7551.55,11464.88,10.55,7.56,5.92,16.52,36.75,10.84,9.9,16.04,6.54,0.4796,ilc_lvho07,0.8208,2024-02-29
2015,GR,GR1,18-24,F,31485.65,24054.97,14.32,3.64,1.5,17.38,25.98,12.94,13.24,9.16,5.51,0.1563,ilc_di12,3.0217,2025-03-16
2016,LT,CZ92,50-64,T,7281.8,9657.6,22.37,8.66,8.32,29.45,36.59,11.87,6.56,6.39,16.68,0.7547,ilc_lvhl11,0.7026,2024-08-11
2017,PT,BG78,0-17,M,26616.87,24670.69,26.16,3.96,5.56,30.06,33.78,13.81,13.44,20.97,6.17,0.4014,ilc_peps01n,1.5028,2025-09-15
2018,SE,LT388,25-49,F,31186.83,23670.42,31.52,7.77,12.04,37.81,33.22,8.38,18.19,10.51,14.22,0.255,ilc_li02,2.9089,2025-03-13
2019,CY,BG17,65+,T,15038.73,11758.12,14.81,8.39,11.46,20.92,34.07,2.28,10.89,9.59,4.9,0.7078,ilc_lvho07,2.0553,2024-04-30
2020,FR,SE3,18-24,M,35459.13,26882.2,18.56,1.69,17.05,23.41,24.4,9.75,7.17,9.2,3.53,0.7671,ilc_di12,2.1962,2026-02-15
2021,IT,LT56,50-64,F,22742.02,22991.09,22.3,6.21,9.72,26.32,22.51,10.15,17.24,1.08,14.1,0.7336,ilc_lvhl11,1.5236,2026-01-01
2022,NL,SE45,0-17,T,6937.93,10710.43,16.29,8.96,9.21,20.83,35.72,4.82,9.43,8.62,6.94,0.2075,ilc_peps01n,0.6286,2025-06-01
2023,SI,SI229,25-49,M,20593.77,25075.94,20.07,2.9,17.73,24.75,28.21,13.69,20.29,17.4,8.52,0.6298,ilc_li02,1.0692,2025-09-22
2024,BG,AT84,65+,F,26751.16,21407.25,27.93,8.41,12.36,36.37,37.46,9.68,16.04,23.61,7.97,0.4933,ilc_lvho07,3.2773,2025-02-06
2025,EE,CY333,18-24,T,11986.49,16316.93,22.64,0.55,17.53,27.86,33.41,4.3,10.7,20.76,15.18,0.2031,ilc_di12,0.6835,2026-01-06
2026,HU,BE717,50-64,M,14682.59,23317.28,23.02,8.95,7.95,26.65,34.68,3.2,19.14,8.82,15.06,0.8084,ilc_lvhl11,0.5115,2024-05-25
2010,LU,PL602,0-17,F,14673.01,21195.28,28.03,4.42,9.7,29.74,29.91,9.79,9.39,22.6,4.03,0.1906,ilc_peps01n,1.3927,2025-06-12
2011,RO,IT5,25-49,T,30777.72,29490.14,16.27,2.39,8.22,17.24,20.9,8.98,5.05,22.75,4.86,0.7086,ilc_li02,0.66,2025-01-22
2012,AT,BE732,65+,M,38220.11,28508.69,12.78,4.11,4.84,15.87,40.77,3.36,18.2,10.72,3.72,0.5972,ilc_lvho07,3.3796,2024-03-06
2013,CZ,EE913,18-24,F,38376.13,31440.8,14.74,8.98,10.16,20.46,35.5,14.51,15.54,4.2,3.05,0.9096,ilc_di12,1.4068,2026-02-10
2014,DE,FI887,50-64,T,16846.18,20419.64,19.53,11.37,13.09,28.72,22.55,10.82,3.36,14.45,11.75,0.1975,ilc_lvhl11,2.3888,2024-08-06
2015,LV,HR498,0-17,M,10074.12,11052.24,10.24,2.92,7.2,10.86,40.27,10.05,14.95,18.78,12.99,0.1563,ilc_peps01n,0.9527,2025-09-24
2016,PL,HU279,25-49,F,8803.66,11412.37,18.9,6.99,15.12,24.02,35.86,6.67,14.06,19.09,6.35,0.2998,ilc_li02,3.2688,2024-12-31
2017,ES,LT5,65+,T,24710.93,24276.11,23.96,8.19,8.62,30.19,33.79,8.92,18.08,13.37,6.57,0.3051,ilc_lvho07,2.0508,2025-02-24
2018,HR,IE376,18-24,M,19753.13,20469.02,18.37,10.69,4.26,24.86,28.48,3.59,12.5,11.84,8.94,0.6178,ilc_di12,0.5669,2025-06-07
2019,FI,DK56,50-64,F,24510.61,30186.88,7.5,2.38,17.72,11.16,29.68,14.09,17.57,15.99,10.21,0.5646,ilc_lvhl11,1.7446,2025-11-23
2020,IE,MT870,0-17,T,19501.92,19808.44,12.86,4.73,17.7,18.65,30.18,15.95,8.5,15.02,15.32,0.8022,ilc_peps01n,3.4813,2025-02-18
2021,MT,LV258,25-49,M,25786.95,20850.84,31.9,2.73,8.12,32.7,23.29,12.61,18.59,12.11,13.14,0.581,ilc_li02,3.5748,2024-08-04
2022,SK,DK2,65+,F,12725.05,18035.28,26.75,11.36,14.12,36.06,24.96,15.46,13.84,14.06,9.68,0.6322,ilc_lvho07,3.0175,2025-08-17
2023,BE,GR6,18-24,T,11489.44,10067.11,26.65,0.74,7.78,30.07,37.42,6.45,8.94,15.89,8.09,0.4913,ilc_di12,2.0204,2024-10-18
2024,DK,NL29,50-64,M,22872.29,17719.33,31.85,5.8,14.57,36.97,36.13,15.02,6.6,16.58,11.61,0.4398,ilc_lvhl11,0.7137,2025-10-06
2025,GR,FI48,0-17,F,8140.91,11755.6,20.22,3.32,6.8,22.19,27.83,3.54,19.81,16.48,11.82,0.3891,ilc_peps01n,2.031,2024-06-29
2026,LT,LT650,25-49,T,17473.88,18856.66,7.84,3.59,16.18,11.67,38.23,11.87,5.03,8.87,15.97,0.8053,ilc_li02,2.8329,2024-09-07
2010,PT,SK2,65+,M,24471.49,18432.2,12.81,10.48,3.7,18.58,20.73,5.22,7.05,13.14,4.49,0.7717,ilc_lvho07,0.5538,2024-04-16
2011,SE,IT67,18-24,F,18638.14,15824.99,6.7,0.72,2.24,6.95,29.76,11.27,4.09,17.76,8.96,0.8923,ilc_di12,1.7399,2024-02-09
2012,CY,PT3,50-64,T,10219.18,18038.79,15.44,0.75,15.79,18.4,35.59,10.3,7.2,14.14,6.16,0.8023,ilc_lvhl11,0.6611,2024-01-30
2013,FR,LU691,0-17,M,13604.91,12911.06,9.75,7.63,11.36,13.52,38.78,15.76,3.66,3.11,15.52,0.2055,ilc_peps01n,1.1412,2025-05-26
2014,IT,ES33,25-49,F,15002.7,23744.15,14.77,3.99,1.16,14.79,26.63,7.6,12.86,18.15,15.88,0.4615,ilc_li02,3.3764,2024-11-06
2015,NL,SK67,65+,T,18089.01,30016.28,12.83,4.87,13.68,16.57,31.78,11.99,5.84,20.05,9.54,0.531,ilc_lvho07,2.3901,2025-11-13
2016,SI,LU3,18-24,M,33756.83,33387.2,30.91,2.39,12.97,33.08,30.58,9.94,7.54,1.8,14.06,0.7635,ilc_di12,3.2563,2025-06-19
2017,BG,FR6,50-64,F,23321.12,33102.35,6.08,1.06,14.74,8.28,28.62,3.65,3.93,5.19,3.92,0.84,ilc_lvhl11,1.4315,2024-04-11
2018,EE,CZ510,0-17,T,21233.71,33986.17,17.29,1.78,11.62,21.28,32.34,3.09,7.13,17.78,13.7,0.7465,ilc_peps01n,3.0011,2024-12-26
2019,HU,MT131,25-49,M,19191.96,19519.69,30.34,10.55,7.99,36.2,38.73,3.14,9.39,11.69,4.34,0.5846,ilc_li02,3.5403,2024-08-18
2020,LU,CY35,65+,F,15667.78,13815.09,22.9,5.05,5.93,26.48,38.32,4.78,3.79,15.87,3.59,0.3872,ilc_lvho07,1.3078,2024-07-23
2021,RO,HU35,18-24,T,19278.84,21359.37,22.55,2.65,8.77,27.21,22.05,5.32,8.0,8.23,17.29,0.2135,ilc_di12,2.814,2025-09-10
2022,AT,BE6,50-64,M,21062.92,20334.32,11.37,2.65,5.81,11.48,36.0,8.66,19.0,22.86,4.21,0.8462,ilc_lvhl11,1.5548,2024-07-19
2023,CZ,IE219,0-17,F,12531.57,19728.23,29.43,8.12,16.99,36.94,32.18,13.09,8.65,1.75,6.96,0.6411,ilc_peps01n,2.1587,2024-07-31
2024,DE,NL73,25-49,T,28938.19,32488.9,25.14,6.08,17.23,30.88,26.7,3.8,19.19,19.66,13.87,0.1714,ilc_li02,2.6161,2024-10-02
2025,LV,HR9,65+,M,30994.08,23344.52,23.21,7.88,4.88,25.09,40.08,7.56,6.76,23.46,8.88,0.2187,ilc_lvho07,2.8737,2024-06-15
2026,PL,NL3,18-24,F,22855.09,32701.61,9.41,11.38,1.28,12.8,22.78,11.32,6.6,15.36,15.49,0.2109,ilc_di12,1.9813,2025-04-04
