health_chronic_surveillance_year,health_chronic_small_area_id,health_chronic_condition_code,health_chronic_prevalence_rate_pct,health_chronic_incidence_rate_per_100k,health_chronic_hospitalization_rate_per_100k,health_chronic_mortality_rate_per_100k,health_chronic_comorbidity_index,health_chronic_risk_factor_smoking_rate,health_chronic_risk_factor_obesity_rate,health_chronic_risk_factor_diabetes_rate,health_chronic_physical_activity_rate,health_chronic_diet_quality_score,health_chronic_medication_adherence_rate,health_chronic_preventive_screening_rate,health_chronic_avoidable_ed_visit_rate,health_chronic_healthcare_access_barrier_index,health_chronic_socioeconomic_deprivation_index,health_chronic_age_adjustment_standard,health_chronic_confidence_interval_width
2016,SA0001053,CANCER,9.17,1583.36,1039.43,421.05,5.23,8.47,22.69,9.48,42.25,55.2,94.28,50.99,713.73,0.3166,0.5893,2000_US_STD,1.214
2010,SA0001054,ASTHMA,44.68,1344.44,766.25,595.74,7.22,18.69,21.41,9.06,53.71,45.9,74.4,61.8,262.18,0.6186,0.9162,2000_US_STD,2.708
2024,SA0001055,DM2,13.01,445.51,1061.99,779.07,5.55,23.67,46.41,12.84,35.61,11.7,68.21,45.17,138.9,0.4841,0.1365,2010_US_STD,0.606
2010,SA0001056,CKD,31.02,1172.49,438.73,242.59,6.32,21.46,15.83,13.91,58.73,96.0,69.08,78.88,155.89,0.4761,0.8717,2010_US_STD,4.754
2025,SA0001057,CKD,6.49,1402.31,892.88,820.86,2.9,9.12,21.51,13.7,76.06,93.6,79.46,29.67,21.3,0.6079,0.9762,2000_US_STD,1.278
2012,SA0001058,STROKE,28.63,602.44,5.57,142.38,3.63,12.55,32.16,9.03,59.24,76.4,94.16,43.48,222.69,0.6118,0.5088,2010_US_STD,2.125
2022,SA0001059,CKD,40.22,1707.36,394.31,524.83,0.29,17.92,17.13,16.01,45.86,3.4,51.54,58.33,722.81,0.6144,0.7872,2010_US_STD,2.988
2010,SA0001060,DM2,31.0,1277.81,1077.06,829.11,2.58,3.02,24.63,9.54,71.73,94.3,73.21,79.49,619.13,0.6599,0.7891,2010_US_STD,5.295
2024,SA0001061,DEMENTIA,41.72,1400.13,977.83,691.06,4.08,3.27,44.41,5.21,50.26,80.6,68.36,65.38,753.06,0.1968,0.1672,2000_US_STD,3.67
2011,SA0001062,DM2,28.95,1624.33,1079.3,340.38,0.57,18.0,18.81,11.67,71.06,75.5,58.14,76.96,789.9,0.2481,0.8798,2000_US_STD,1.306
2025,SA0001063,CANCER,29.45,1577.67,221.95,201.74,6.05,19.42,39.56,5.47,38.65,80.6,56.49,48.3,786.21,0.0126,0.7205,WHO_STD,1.471
2024,SA0001064,CAD,18.98,654.97,207.25,203.39,4.91,25.24,39.06,7.21,62.38,63.7,90.91,21.8,466.43,0.226,0.016,2010_US_STD,0.202
2013,SA0001065,ASTHMA,42.48,209.31,753.53,160.29,3.77,10.72,45.31,4.91,38.41,3.9,57.24,57.17,717.28,0.93,0.1179,WHO_STD,0.735
2019,SA0001066,ASTHMA,28.22,1625.51,186.06,130.16,2.85,24.48,35.84,5.27,30.11,75.1,59.86,72.38,417.51,0.4174,0.849,WHO_STD,2.263
2010,SA0001067,ARTHRITIS,41.85,451.25,632.01,51.67,5.35,8.39,31.26,5.27,67.48,28.3,94.71,70.61,67.71,0.5216,0.412,2000_US_STD,2.22
2020,SA0001068,STROKE,13.87,723.92,791.41,323.71,3.67,15.61,28.85,15.91,38.48,85.8,46.65,23.38,562.02,0.575,0.4937,2010_US_STD,3.593
2023,SA0001069,CKD,29.59,1465.35,959.86,467.06,4.6,12.08,43.06,9.82,64.85,24.5,60.07,84.42,802.29,0.0052,0.4856,2010_US_STD,5.049
2011,SA0001070,ARTHRITIS,19.49,1388.52,411.03,339.99,0.83,22.43,41.57,14.84,38.35,39.7,48.85,57.58,536.02,0.7585,0.9133,2000_US_STD,1.9
2018,SA0001071,COPD,27.52,540.38,1051.98,536.48,7.8,12.47,20.65,3.27,63.87,91.4,54.82,84.03,859.21,0.637,0.6442,2010_US_STD,5.593
2018,SA0001072,STROKE,28.03,360.53,1174.37,203.0,6.38,23.71,13.47,7.26,73.1,25.6,85.33,24.64,147.59,0.5441,0.3632,2000_US_STD,4.182
2021,SA0001073,STROKE,3.82,702.63,808.8,510.0,7.82,16.44,42.76,4.16,60.33,13.0,81.64,66.83,755.63,0.8228,0.4527,WHO_STD,3.133
2014,SA0001074,DM2,20.66,397.24,916.68,467.63,4.32,14.28,19.3,3.07,41.1,67.0,93.91,20.91,134.43,0.2599,0.2277,2010_US_STD,3.873
2012,SA0001075,CKD,10.25,377.86,1194.13,427.92,3.44,6.09,36.84,9.16,35.21,19.8,74.38,43.03,453.12,0.7983,0.1919,WHO_STD,4.875
2017,SA0001076,CAD,13.0,1168.63,318.43,18.84,1.74,8.94,17.04,7.33,51.3,95.2,78.02,40.94,649.68,0.1219,0.6182,2010_US_STD,5.543
2018,SA0001077,COPD,33.03,893.18,431.92,533.06,7.76,8.48,26.3,6.22,59.44,13.1,67.99,29.17,864.08,0.8978,0.0751,WHO_STD,2.301
2018,SA0001078,COPD,13.95,700.12,508.55,780.22,5.68,23.1,34.59,5.09,36.07,62.5,85.6,72.95,687.56,0.4001,0.74,2010_US_STD,5.248
2016,SA0001079,CAD,4.14,951.41,814.9,845.43,1.4,19.19,12.58,3.2,58.52,99.2,49.01,21.82,727.19,0.4415,0.2713,2010_US_STD,5.769
2016,SA0001080,DEMENTIA,37.59,883.98,540.28,728.95,0.76,18.38,40.05,12.77,51.75,66.1,63.57,41.9,43.97,0.366,0.0618,WHO_STD,3.097
2024,SA0001081,COPD,8.54,1149.03,104.61,555.83,5.78,27.89,25.65,2.35,75.78,50.3,58.05,67.99,606.67,0.3275,0.2943,2010_US_STD,2.686
2019,SA0001082,STROKE,34.63,105.17,273.81,133.82,3.68,21.05,43.07,4.02,67.16,23.0,54.65,43.27,97.27,0.775,0.5837,2000_US_STD,3.017
2015,SA0001083,HTN,31.2,449.34,457.01,527.59,3.94,6.21,29.69,15.62,37.05,54.3,76.58,42.65,568.49,0.3985,0.7338,2010_US_STD,1.294
2021,SA0001084,DEMENTIA,7.31,1119.23,844.47,530.33,3.16,6.76,19.9,16.78,45.22,73.5,85.07,42.4,685.75,0.8425,0.7877,2000_US_STD,5.615
2015,SA0001085,ARTHRITIS,15.3,1264.66,281.82,223.19,0.66,21.17,29.95,11.99,68.55,2.2,47.63,41.22,25.41,0.9461,0.4029,WHO_STD,3.793
2015,SA0001086,CKD,1.74,830.58,934.37,374.81,2.31,3.56,44.96,12.64,33.63,55.8,50.22,86.49,173.3,0.0547,0.8543,WHO_STD,5.878
2015,SA0001087,ARTHRITIS,3.24,171.51,67.11,528.37,5.65,12.68,28.37,5.0,64.8,5.0,53.21,57.5,351.66,0.624,0.0829,WHO_STD,2.095
2025,SA0001088,COPD,39.78,297.75,653.86,680.9,1.57,14.97,35.25,15.65,44.46,76.4,77.8,66.18,555.12,0.8241,0.2184,WHO_STD,0.847
2010,SA0001089,DM2,7.92,1120.47,843.79,94.09,2.78,13.5,43.24,4.61,42.63,72.6,48.9,51.99,109.47,0.0382,0.0668,2010_US_STD,1.068
2025,SA0001090,DM2,21.77,808.83,210.67,694.07,0.5,27.27,26.57,5.74,37.79,34.8,84.5,77.17,821.98,0.4212,0.7907,2000_US_STD,5.78
2015,SA0001091,CAD,30.14,1462.32,365.58,82.35,3.24,22.35,24.31,4.72,77.5,23.3,75.49,70.48,460.91,0.3561,0.3579,WHO_STD,5.599
2012,SA0001092,ASTHMA,37.1,770.75,282.8,347.84,5.52,17.79,16.68,17.69,77.14,72.9,49.55,87.13,32.76,0.9372,0.5495,WHO_STD,5.884
2012,SA0001093,CANCER,18.51,698.81,412.4,649.16,3.71,18.57,30.0,12.48,42.93,52.4,94.05,71.46,207.11,0.0643,0.4664,2010_US_STD,0.573
2017,SA0001094,CANCER,35.62,1330.73,1148.89,196.08,0.09,4.58,14.91,7.52,31.98,40.3,60.04,27.5,664.61,0.4917,0.051,2010_US_STD,2.524
2019,SA0001095,HTN,12.11,1602.17,121.68,506.07,1.05,16.0,30.53,2.14,66.36,74.1,50.94,49.49,809.23,0.0238,0.589,2000_US_STD,0.13
2023,SA0001096,DEMENTIA,13.91,1574.35,132.99,82.34,3.18,19.05,15.53,13.77,51.44,1.3,48.64,21.96,257.33,0.3654,0.4202,2000_US_STD,3.941
2015,SA0001097,DM2,41.2,141.32,141.21,341.15,3.44,23.76,46.35,13.97,36.16,1.9,79.58,29.02,626.2,0.3289,0.0408,WHO_STD,3.477
2018,SA0001098,ARTHRITIS,1.26,1723.16,964.91,594.24,7.72,8.79,21.94,3.79,35.08,20.5,46.02,38.23,610.39,0.0703,0.908,WHO_STD,3.993
2015,SA0001099,HTN,28.4,1531.84,503.19,653.83,3.67,16.96,23.46,15.6,49.69,10.8,90.29,43.32,564.37,0.3969,0.505,2010_US_STD,0.803
2024,SA0001100,CANCER,12.33,1504.99,902.49,144.91,6.24,13.19,38.86,6.09,31.4,8.9,84.82,82.14,664.13,0.3468,0.8129,2010_US_STD,1.828
2015,SA0001101,STROKE,8.63,469.33,161.66,540.68,5.32,23.58,40.24,10.25,40.82,79.2,73.86,59.32,400.17,0.233,0.3296,2010_US_STD,5.829
2012,SA0001102,COPD,20.4,236.78,1100.94,321.64,5.85,23.45,28.51,14.01,72.54,52.9,81.67,72.69,558.64,0.3536,0.7356,WHO_STD,0.608
2025,SA0001103,COPD,25.42,1597.9,1098.58,122.86,3.94,9.76,22.56,10.86,33.72,52.9,93.22,33.35,396.67,0.3402,0.3195,2010_US_STD,0.495
2015,SA0001104,CANCER,2.52,1582.71,693.35,637.32,2.6,11.02,20.16,6.32,75.67,56.9,85.21,50.69,464.93,0.2592,0.2103,2010_US_STD,4.855
2020,SA0001105,CAD,37.57,988.71,786.51,152.53,1.23,8.18,13.52,10.19,39.4,16.9,85.67,70.26,216.28,0.963,0.7586,2010_US_STD,2.276
2012,SA0001106,CANCER,33.25,822.37,699.48,394.79,5.44,21.48,30.06,6.87,44.47,55.2,66.16,38.5,286.43,0.5626,0.0259,2010_US_STD,2.828
2024,SA0001107,DM2,22.42,1470.78,986.19,416.3,1.0,21.5,17.4,17.77,65.46,21.3,58.27,49.07,64.22,0.6821,0.9831,2000_US_STD,4.515
2019,SA0001108,COPD,41.58,651.31,411.42,564.44,7.84,19.2,35.65,14.09,57.56,25.6,75.69,52.35,290.73,0.7803,0.333,2000_US_STD,0.274
2012,SA0001109,CKD,38.26,337.86,299.1,280.26,6.89,4.4,35.96,8.68,53.06,12.7,79.49,77.56,744.68,0.5381,0.3189,2000_US_STD,1.734
2010,SA0001110,ARTHRITIS,25.59,1274.92,557.43,359.48,1.97,27.51,40.35,3.65,46.3,88.4,54.59,20.92,168.08,0.4823,0.1249,2000_US_STD,1.456
2023,SA0001111,CANCER,34.05,648.37,1128.09,214.12,2.49,12.26,35.28,10.42,40.2,87.1,94.91,85.7,447.49,0.2295,0.3934,2000_US_STD,3.403
2012,SA0001112,STROKE,29.27,1709.51,305.42,202.84,5.51,13.48,18.08,11.98,45.76,71.3,86.6,72.13,372.04,0.2232,0.9599,2010_US_STD,2.848
2024,SA0001113,STROKE,13.34,872.77,788.97,814.01,6.38,6.69,42.27,16.51,30.37,51.4,62.16,65.57,208.11,0.708,0.8139,2000_US_STD,1.122
2023,SA0001114,ARTHRITIS,19.93,570.22,1067.79,473.44,2.53,3.34,19.97,5.46,66.8,54.5,70.01,88.27,419.61,0.5021,0.8384,WHO_STD,5.326
2010,SA0001115,DM2,12.45,1002.78,939.53,774.63,0.3,13.96,33.8,6.34,77.64,88.5,47.41,86.94,707.08,0.8866,0.2067,2000_US_STD,4.664
2024,SA0001116,COPD,9.87,1588.39,587.56,373.94,7.52,9.82,21.17,15.06,37.89,87.0,51.59,51.43,475.05,0.9447,0.7974,WHO_STD,5.647
2021,SA0001117,HTN,42.8,1636.13,881.12,527.27,1.98,22.2,24.86,3.02,43.03,27.8,52.58,83.83,460.69,0.6244,0.1045,WHO_STD,2.063
2011,SA0001118,STROKE,4.07,773.46,62.59,521.15,3.7,18.92,46.99,6.95,48.94,0.0,88.21,48.43,299.25,0.5027,0.0891,2000_US_STD,1.837
2015,SA0001119,CAD,23.67,1123.75,149.56,15.25,4.39,25.66,35.39,14.34,67.75,72.7,81.67,67.54,64.22,0.0063,0.6126,2010_US_STD,0.251
2012,SA0001120,CAD,4.89,799.35,448.87,625.54,0.33,13.9,41.48,10.42,32.53,51.8,66.29,51.19,337.01,0.5782,0.3974,2000_US_STD,5.167
2020,SA0001121,DM2,39.07,638.46,234.92,731.66,6.82,16.13,41.8,11.14,77.16,84.4,84.39,34.37,569.09,0.5552,0.6303,2010_US_STD,4.749
2015,SA0001122,CAD,15.21,1059.7,376.53,532.22,2.03,4.79,20.11,15.6,33.17,78.9,80.89,46.22,97.36,0.4768,0.6675,2000_US_STD,4.74
2013,SA0001123,DM2,42.37,818.86,500.71,681.79,0.58,23.18,45.23,13.86,75.79,86.7,61.43,33.78,724.58,0.7186,0.3852,2010_US_STD,4.247
2018,SA0001124,ARTHRITIS,37.71,209.13,1054.47,410.28,4.47,26.38,12.02,15.34,34.9,60.2,50.13,79.99,245.45,0.5706,0.2749,2010_US_STD,4.59
2020,SA0001125,DM2,11.72,244.05,1020.19,689.34,2.98,24.91,36.95,15.52,75.18,5.3,60.47,52.13,870.39,0.3162,0.6904,2000_US_STD,0.218
2023,SA0001126,COPD,44.47,596.01,1027.43,538.0,4.94,22.23,22.0,2.16,50.91,67.3,72.3,25.58,211.56,0.2716,0.8422,WHO_STD,2.502
2018,SA0001127,ASTHMA,16.27,1252.16,1129.45,457.72,6.33,15.98,32.08,12.56,70.45,36.6,49.47,22.12,513.24,0.9992,0.9622,2000_US_STD,2.63
2023,SA0001128,CKD,33.11,324.94,71.1,606.28,0.1,4.51,45.73,6.43,67.45,57.3,81.85,26.86,210.99,0.9924,0.8713,2010_US_STD,3.612
2010,SA0001129,STROKE,32.51,103.18,294.88,519.25,2.04,11.77,36.33,11.5,57.6,17.4,58.95,37.96,129.32,0.0462,0.7894,2000_US_STD,4.016
2024,SA0001130,ARTHRITIS,41.62,1332.2,346.73,126.01,1.51,21.19,17.94,14.46,40.29,92.3,81.0,62.6,443.0,0.1532,0.676,WHO_STD,5.314
2020,SA0001131,ARTHRITIS,13.92,1764.93,399.81,288.71,4.98,21.5,43.06,12.61,37.75,54.5,86.66,28.38,203.6,0.7737,0.9563,WHO_STD,0.256
2023,SA0001132,CKD,2.73,1708.17,754.72,895.15,7.72,14.36,15.58,17.61,49.92,7.6,52.63,31.64,577.57,0.3907,0.6262,2010_US_STD,5.953
2015,SA0001133,CAD,37.24,768.5,99.71,604.15,5.55,16.39,25.83,4.59,54.76,29.3,66.24,57.54,120.59,0.803,0.5981,WHO_STD,5.051
2014,SA0001134,ASTHMA,4.32,1653.13,244.02,230.23,1.75,20.5,42.51,8.1,71.23,33.9,76.54,26.42,778.04,0.2042,0.1482,WHO_STD,5.304
2010,SA0001135,ARTHRITIS,22.13,428.77,768.78,713.57,7.11,11.05,43.68,2.17,69.25,17.0,62.6,84.22,304.4,0.1094,0.6455,WHO_STD,2.783
2024,SA0001136,ASTHMA,9.96,332.38,620.75,610.7,3.59,17.51,41.96,2.13,32.37,39.4,70.13,82.28,461.67,0.1684,0.1508,2000_US_STD,1.939
2012,SA0001137,STROKE,14.74,671.03,786.43,97.58,5.34,11.66,31.44,10.34,55.35,27.6,61.23,26.17,189.91,0.5062,0.162,WHO_STD,4.289
2012,SA0001138,CANCER,10.26,1620.48,294.81,603.76,0.37,22.61,43.63,9.26,77.9,13.0,89.71,32.23,311.37,0.6235,0.1174,2000_US_STD,2.315
2025,SA0001139,DM2,40.03,709.76,476.16,411.4,3.89,4.85,34.64,13.85,62.66,85.9,66.88,51.94,540.12,0.2099,0.9989,WHO_STD,0.465
2013,SA0001140,DEMENTIA,28.32,1240.37,1022.51,781.74,7.72,6.44,20.12,5.74,50.83,56.6,73.46,37.12,625.97,0.6527,0.9979,2010_US_STD,0.932
2025,SA0001141,STROKE,11.83,665.13,837.45,24.85,4.07,20.29,40.29,9.96,36.36,25.4,65.31,57.0,73.2,0.1151,0.3593,WHO_STD,3.183
2019,SA0001142,ARTHRITIS,31.04,1415.96,187.58,806.36,6.2,16.53,20.29,9.81,67.78,80.1,45.85,83.46,186.75,0.3253,0.7621,2000_US_STD,5.953
2018,SA0001143,ARTHRITIS,8.07,728.16,922.45,440.42,6.57,26.75,25.77,7.85,77.8,91.7,65.56,57.75,881.49,0.2862,0.3214,WHO_STD,2.717
2025,SA0001144,DEMENTIA,20.91,1622.95,638.86,63.75,2.22,6.29,23.92,16.95,44.67,44.2,79.35,66.13,238.62,0.827,0.9509,WHO_STD,4.969
2014,SA0001145,DEMENTIA,42.13,1160.93,1024.91,362.34,5.29,17.13,37.84,11.89,60.16,11.4,46.69,45.39,27.24,0.5262,0.1879,2010_US_STD,3.8
2017,SA0001146,ARTHRITIS,43.54,445.73,943.11,845.05,3.06,10.41,38.65,10.79,65.57,35.7,92.03,77.1,267.52,0.9163,0.2299,2000_US_STD,0.281
2024,SA0001147,ASTHMA,17.35,246.82,282.37,357.24,7.52,14.34,39.28,15.71,50.79,28.4,71.44,47.13,712.58,0.8515,0.9927,2010_US_STD,3.143
2018,SA0001148,CANCER,30.47,317.13,938.7,244.23,2.41,22.21,25.14,7.07,70.82,90.4,79.44,24.97,462.22,0.1859,0.7548,WHO_STD,2.734
2025,SA0001149,HTN,35.66,1136.68,454.21,8.07,2.7,7.98,40.16,5.12,77.15,34.1,53.14,28.51,575.49,0.8098,0.255,WHO_STD,3.042
2022,SA0001150,CANCER,17.66,1434.06,1191.5,779.99,6.36,20.68,29.65,5.67,51.15,43.7,68.29,82.72,751.71,0.2068,0.1854,2000_US_STD,5.42
2018,SA0001151,COPD,40.55,1136.29,120.36,415.88,4.89,11.25,42.48,3.98,43.9,77.1,92.36,31.25,632.33,0.2604,0.8541,2010_US_STD,2.299
2017,SA0001152,DM2,1.25,479.62,569.77,103.39,6.53,5.85,29.8,11.37,38.91,26.0,85.53,61.3,389.63,0.2513,0.774,2010_US_STD,0.509
2010,SA0001153,DEMENTIA,31.58,719.02,687.75,104.18,0.26,21.2,25.94,10.49,35.57,80.7,90.47,61.12,882.53,0.1918,0.4528,WHO_STD,1.657
2019,SA0001154,STROKE,14.75,299.81,228.45,60.98,4.07,17.09,23.56,7.3,54.83,23.4,46.55,57.52,139.73,0.9749,0.6806,WHO_STD,3.122
2016,SA0001155,STROKE,26.63,734.41,1144.81,491.87,3.77,20.2,42.18,4.21,77.14,35.9,76.71,30.13,17.12,0.0349,0.8105,WHO_STD,4.085
2020,SA0001156,STROKE,5.59,86.92,932.89,89.34,0.69,13.83,32.69,8.31,36.49,27.5,84.56,46.03,104.1,0.0246,0.728,2000_US_STD,1.877
2015,SA0001157,ARTHRITIS,21.23,847.49,252.87,532.56,3.54,14.39,32.91,16.67,61.09,62.0,47.66,27.66,204.14,0.482,0.2085,2000_US_STD,2.204
2016,SA0001158,COPD,28.23,1200.22,885.06,768.72,4.85,17.59,21.43,7.71,54.37,43.7,93.52,48.03,698.69,0.7544,0.3842,2000_US_STD,2.199
2025,SA0001159,CANCER,15.49,871.66,426.95,754.67,6.92,16.22,29.3,8.6,48.39,35.0,87.47,31.73,389.44,0.3159,0.9289,2000_US_STD,4.263
2023,SA0001160,ARTHRITIS,33.51,1250.71,717.33,505.9,0.62,11.84,12.24,17.6,48.78,86.6,65.47,52.25,863.54,0.0133,0.1247,WHO_STD,2.738
2020,SA0001161,STROKE,3.43,729.01,156.76,793.34,3.77,12.01,47.41,10.43,54.5,2.2,93.89,35.07,879.95,0.1967,0.4124,2010_US_STD,3.522
2019,SA0001162,ARTHRITIS,15.11,612.01,860.48,785.78,7.56,19.67,24.93,17.22,57.41,50.9,51.2,23.86,498.24,0.1298,0.8884,2000_US_STD,3.65
2020,SA0001163,DEMENTIA,5.69,1691.61,977.64,555.08,0.38,5.77,41.33,8.16,44.15,34.5,87.55,75.04,737.43,0.935,0.5842,2000_US_STD,0.08
2022,SA0001164,COPD,20.69,922.78,598.07,566.3,6.91,25.36,45.49,8.21,54.53,59.7,64.4,80.55,61.98,0.1334,0.4154,2010_US_STD,1.603
2011,SA0001165,COPD,9.88,1306.56,252.54,402.27,1.19,6.94,40.23,6.58,35.71,11.1,52.64,83.19,588.05,0.1167,0.1855,2010_US_STD,4.345
2020,SA0001166,CKD,27.67,293.45,1071.23,702.73,2.8,10.08,38.4,2.53,35.39,53.9,63.13,22.0,242.99,0.0581,0.3834,2010_US_STD,2.589
2017,SA0001167,CANCER,37.14,1345.48,280.59,586.61,0.28,15.73,26.72,10.11,75.77,6.4,65.99,62.2,385.55,0.6306,0.5112,2000_US_STD,5.747
2012,SA0001168,STROKE,43.29,876.57,1145.4,616.84,1.17,6.11,34.37,4.67,63.74,7.2,67.37,46.51,648.77,0.6471,0.5066,WHO_STD,2.95
2016,SA0001169,CANCER,38.24,203.47,1020.91,356.41,6.55,7.65,21.44,12.89,45.73,78.3,94.88,76.17,874.63,0.2788,0.1511,2000_US_STD,2.172
2022,SA0001170,DM2,1.81,758.83,477.42,867.34,0.54,7.33,46.93,4.96,33.21,2.4,84.62,26.94,221.8,0.9657,0.1715,2000_US_STD,3.007
2017,SA0001171,STROKE,41.0,782.19,902.86,478.08,4.36,15.01,25.87,15.56,69.57,59.9,67.36,22.01,619.54,0.0647,0.7847,2010_US_STD,0.567
2010,SA0001172,CAD,25.13,1065.01,262.01,201.95,0.96,23.65,23.07,12.65,35.36,7.1,86.15,55.63,848.38,0.0714,0.9604,2010_US_STD,5.468
2020,SA0001173,HTN,33.6,334.0,1165.83,843.33,4.36,12.06,31.83,15.08,40.43,33.3,51.42,68.39,23.97,0.4397,0.8637,WHO_STD,2.291
2017,SA0001174,STROKE,14.99,1764.01,861.4,852.97,2.53,21.73,17.89,9.93,61.36,96.1,72.97,76.66,433.44,0.2541,0.153,2010_US_STD,5.336
2015,SA0001175,CKD,19.04,1752.96,818.78,553.35,3.53,9.41,18.75,16.37,52.8,59.8,83.42,21.44,551.99,0.2354,0.8832,WHO_STD,0.244
2023,SA0001176,ARTHRITIS,6.91,491.36,474.85,262.03,5.48,21.48,38.12,15.92,64.59,67.8,94.72,56.93,218.68,0.1329,0.7414,2000_US_STD,1.378
2021,SA0001177,DM2,30.92,924.57,703.9,617.1,1.22,22.2,33.49,14.85,61.06,35.4,74.55,39.07,580.51,0.1833,0.2515,2000_US_STD,3.674
2013,SA0001178,DM2,37.42,779.87,15.65,869.21,1.28,27.49,41.21,16.46,52.99,18.9,62.23,36.98,18.78,0.6763,0.6804,WHO_STD,2.169
2014,SA0001179,CKD,25.64,554.59,152.79,475.71,1.59,6.88,41.59,11.63,52.95,78.6,54.61,31.17,343.23,0.6203,0.225,2010_US_STD,2.576
2010,SA0001180,HTN,7.76,822.44,993.95,218.35,3.75,21.01,19.25,7.61,76.82,98.7,93.58,42.11,73.3,0.0638,0.3701,WHO_STD,4.173
2020,SA0001181,STROKE,15.03,1236.47,405.6,879.76,1.49,19.77,26.93,10.45,62.43,73.4,52.66,70.67,314.85,0.9643,0.5534,2010_US_STD,5.328
2010,SA0001182,COPD,4.28,305.29,1005.09,421.8,0.08,5.34,24.82,11.76,76.37,87.7,91.37,43.86,339.36,0.165,0.1975,2010_US_STD,4.199
2024,SA0001183,CAD,1.61,1154.97,265.5,135.83,3.06,18.77,31.74,2.6,67.61,79.4,62.48,82.53,439.87,0.2484,0.4991,WHO_STD,2.605
2014,SA0001184,DEMENTIA,39.28,1734.12,752.71,766.53,1.55,16.9,12.05,7.22,67.24,67.8,74.77,26.66,254.49,0.8875,0.4733,2010_US_STD,1.092
2020,SA0001185,ASTHMA,8.39,571.89,1143.35,274.47,0.08,14.58,30.07,4.42,48.06,7.5,72.32,68.1,876.25,0.5448,0.798,WHO_STD,5.996
2020,SA0001186,CKD,17.96,258.37,21.08,70.87,1.64,14.38,12.51,9.68,64.94,92.5,54.09,56.8,747.07,0.9748,0.2761,2010_US_STD,4.642
2013,SA0001187,CAD,38.58,447.26,831.16,377.81,2.47,18.49,17.94,10.93,40.71,15.2,86.19,42.73,324.09,0.0288,0.7948,WHO_STD,2.479
2024,SA0001188,HTN,9.41,431.11,406.27,315.12,4.8,17.73,29.1,8.95,57.9,59.2,81.42,44.55,331.31,0.8697,0.5801,2000_US_STD,5.882
2013,SA0001189,STROKE,40.06,1100.4,766.09,276.11,2.79,10.2,28.53,11.21,67.74,44.5,56.73,52.28,318.26,0.8542,0.9045,WHO_STD,5.039
2015,SA0001190,DEMENTIA,3.92,261.21,570.59,192.9,3.18,9.71,46.16,16.61,62.74,60.3,64.18,62.13,562.73,0.7069,0.2066,2000_US_STD,1.954
2021,SA0001191,ARTHRITIS,42.21,565.39,1170.99,145.25,0.64,23.84,28.03,4.03,70.26,61.9,52.85,27.23,11.9,0.7307,0.1702,WHO_STD,5.756
2022,SA0001192,ARTHRITIS,18.08,151.31,954.97,178.29,4.23,23.47,22.57,17.58,31.6,11.9,78.43,77.76,866.2,0.9533,0.5846,2000_US_STD,5.039
2024,SA0001193,CANCER,19.68,862.89,468.8,594.48,2.02,4.39,18.69,10.51,76.62,67.1,88.81,74.99,56.93,0.7159,0.6832,WHO_STD,2.333
2019,SA0001194,ARTHRITIS,41.05,55.42,878.82,13.81,5.44,16.37,33.74,5.01,72.19,49.5,49.31,74.18,362.32,0.6381,0.9326,2000_US_STD,0.12
2024,SA0001195,ARTHRITIS,23.34,787.78,451.07,415.13,7.02,18.5,41.9,12.75,61.09,28.1,56.59,81.19,307.8,0.4939,0.82,2010_US_STD,4.131
2012,SA0001196,ASTHMA,9.88,1644.23,721.73,187.69,4.25,19.73,30.34,12.86,66.64,82.1,57.43,57.74,698.84,0.5359,0.8661,2000_US_STD,5.196
2024,SA0001197,CAD,3.59,961.86,899.89,407.51,1.17,19.35,28.39,10.45,52.89,54.3,75.42,75.75,67.58,0.4817,0.6072,2000_US_STD,4.983
2013,SA0001198,STROKE,34.82,1364.78,519.54,22.17,7.76,12.8,45.81,13.7,40.55,38.3,82.54,66.45,652.34,0.1393,0.0602,2000_US_STD,0.763
2014,SA0001199,DEMENTIA,29.2,1445.99,1028.82,57.37,4.31,13.69,19.51,17.79,31.7,94.1,91.92,22.45,847.87,0.8946,0.9194,2000_US_STD,2.365
2017,SA0001200,CKD,12.52,513.0,587.59,346.12,6.75,18.83,39.48,9.26,77.26,50.3,56.09,74.52,411.5,0.1489,0.7577,2010_US_STD,5.756
2015,SA0001201,DEMENTIA,24.23,824.73,59.73,24.7,7.26,18.91,13.55,10.28,46.23,93.4,59.68,79.56,771.4,0.7706,0.2886,2000_US_STD,2.063
2020,SA0001202,COPD,21.57,673.63,200.7,156.63,1.44,21.98,38.13,17.71,51.94,53.8,49.28,82.78,598.05,0.7285,0.726,2000_US_STD,5.266
2017,SA0001203,DEMENTIA,32.63,859.13,159.81,213.1,6.66,3.55,27.59,5.55,49.82,31.6,90.31,63.19,833.14,0.9893,0.6054,2000_US_STD,2.479
2024,SA0001204,ARTHRITIS,26.58,361.94,1164.52,510.73,5.01,9.5,38.38,14.63,61.46,36.4,82.87,87.26,747.84,0.3258,0.6637,2010_US_STD,0.391
2016,SA0001205,HTN,35.88,500.01,771.74,672.21,1.79,19.7,40.66,4.77,44.52,33.7,82.11,36.68,779.06,0.1581,0.1569,WHO_STD,4.318
2011,SA0001206,CAD,29.99,618.04,667.48,488.41,5.51,12.95,19.26,13.85,73.2,94.2,46.46,35.53,48.72,0.0345,0.3376,2000_US_STD,5.589
