health_pharma_reference_year,health_pharma_country_iso2,health_pharma_atc_code,health_pharma_medicine_type_code,health_pharma_authorisation_type_code,health_pharma_price_eur_pack_median,health_pharma_reimbursement_rate_pct,health_pharma_volume_units_sold,health_pharma_generic_share_pct,health_pharma_biosimilar_share_pct,health_pharma_shortage_reports_count,health_pharma_shortage_duration_days_median,health_pharma_htA_decision_code,health_pharma_time_to_market_days_median,health_pharma_parallel_trade_flag,health_pharma_joint_procurement_flag,health_pharma_clinical_trials_count,health_pharma_data_source_ema_flag,health_pharma_revision_round,health_pharma_data_extract_date
2010,DK,J88IA28,BRANDED_ORIGINATOR,CENTRALISED_EMA,390.64,92.93,26299916,6.85,12.91,98,105.98,PENDING,501.94,0,0,569,1,FLASH,2024-10-13
2011,GR,L95TN45,ORPHAN,NATIONAL_MA,248.44,73.25,27431340,51.32,14.76,109,53.67,POSITIVE,627.17,0,0,620,0,BENCHMARK,2025-07-14
2012,LT,M02EA62,OTC,MUTUAL_RECOGNITION,213.44,84.25,38570727,11.44,15.13,454,194.62,NEGATIVE,415.38,0,0,214,0,SECOND,2024-05-09
2013,PT,N09PN79,VACCINE,DECENTRALISED,50.06,18.29,3525597,58.13,16.41,443,113.27,NOT_REQUIRED,345.13,0,0,322,0,FIRST,2025-10-31
2014,SE,P16AA96,BIOSIMILAR,CENTRALISED_EMA,54.41,62.77,13078400,66.16,31.89,287,59.56,CONDITIONAL,221.43,0,0,62,1,FLASH,2025-01-29
2015,CY,R23LN13,GENERIC,NATIONAL_MA,98.5,37.42,15223263,32.46,21.19,75,7.99,PENDING,183.55,1,0,260,0,BENCHMARK,2024-04-26
2016,FR,S30WA30,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,202.55,66.62,15669293,6.13,15.29,405,134.54,POSITIVE,293.33,0,0,243,0,SECOND,2025-03-29
2017,IT,V37HN47,ORPHAN,DECENTRALISED,361.88,41.59,26172081,79.77,0.57,196,25.12,NEGATIVE,748.09,0,0,354,0,FIRST,2026-02-01
2018,NL,A44SA64,OTC,CENTRALISED_EMA,295.07,30.43,29752546,75.06,7.17,311,203.8,NOT_REQUIRED,829.43,0,1,185,1,FLASH,2024-11-10
2019,SI,B51DN81,VACCINE,NATIONAL_MA,185.82,57.71,22685093,51.97,15.62,364,145.46,CONDITIONAL,375.03,0,0,455,0,BENCHMARK,2025-11-20
2020,BG,C58OA98,BIOSIMILAR,MUTUAL_RECOGNITION,113.78,97.95,11918475,31.64,15.39,236,67.3,PENDING,105.74,1,0,4,0,SECOND,2024-09-06
2021,EE,D65ZN15,GENERIC,DECENTRALISED,209.2,39.85,42088792,69.85,15.62,18,68.02,POSITIVE,518.71,0,0,67,0,FIRST,2024-07-10
2022,HU,E72KA32,BRANDED_ORIGINATOR,CENTRALISED_EMA,423.27,25.01,19395889,76.13,13.91,3,131.05,NEGATIVE,810.03,0,0,601,1,FLASH,2024-09-19
2023,LU,F79VN49,ORPHAN,NATIONAL_MA,318.73,64.78,17115556,60.86,1.4,50,89.65,NOT_REQUIRED,284.84,0,0,344,0,BENCHMARK,2025-07-03
2024,RO,G86GA66,OTC,MUTUAL_RECOGNITION,211.38,19.59,17080272,56.51,7.64,188,77.19,CONDITIONAL,742.5,0,0,34,0,SECOND,2025-03-15
2025,AT,H93RN83,VACCINE,DECENTRALISED,129.24,82.44,18394659,68.63,9.66,89,90.0,PENDING,88.85,1,1,283,0,FIRST,2024-11-10
2006,CZ,J00CA00,BIOSIMILAR,CENTRALISED_EMA,192.33,69.21,13241855,63.99,11.04,230,30.36,POSITIVE,703.32,0,0,42,1,FLASH,2024-03-05
2007,DE,L07NN17,GENERIC,NATIONAL_MA,226.34,58.35,37325609,47.57,0.27,261,168.48,NEGATIVE,393.4,0,0,254,0,BENCHMARK,2025-06-06
2008,LV,M14YA34,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,48.8,68.91,20744071,37.87,4.07,59,94.43,NOT_REQUIRED,628.63,0,0,203,0,SECOND,2025-12-01
2009,PL,N21JN51,ORPHAN,DECENTRALISED,283.52,36.89,26938732,45.49,10.39,93,54.71,CONDITIONAL,310.57,0,0,464,0,FIRST,2025-11-27
2010,ES,P28UA68,OTC,CENTRALISED_EMA,221.55,41.55,12381251,67.84,17.85,5,140.34,PENDING,782.02,1,0,210,1,FLASH,2026-01-23
2011,HR,R35FN85,VACCINE,NATIONAL_MA,215.38,30.52,14278155,17.56,14.0,284,194.44,POSITIVE,562.73,0,0,632,0,BENCHMARK,2025-05-06
2012,FI,S42QA02,BIOSIMILAR,MUTUAL_RECOGNITION,263.0,65.31,2018883,11.2,38.79,376,8.07,NEGATIVE,791.06,0,0,184,0,SECOND,2025-03-06
2013,IE,V49BN19,GENERIC,DECENTRALISED,12.03,67.51,41776645,86.12,20.27,281,144.92,NOT_REQUIRED,639.06,1,0,245,0,FIRST,2026-02-14
2014,MT,A56MA36,BRANDED_ORIGINATOR,CENTRALISED_EMA,98.39,31.2,838834,33.4,6.18,13,83.4,CONDITIONAL,35.67,1,0,389,1,FLASH,2025-08-14
2015,SK,B63XN53,ORPHAN,NATIONAL_MA,245.89,30.36,9931673,73.71,19.37,179,68.1,PENDING,393.95,0,0,435,0,BENCHMARK,2024-07-31
2016,BE,C70IA70,OTC,MUTUAL_RECOGNITION,159.52,84.5,19103479,72.68,22.98,323,129.56,POSITIVE,390.48,0,0,190,0,SECOND,2024-07-07
2017,DK,D77TN87,VACCINE,DECENTRALISED,277.76,104.51,557793,31.32,22.17,363,95.07,NEGATIVE,108.69,0,0,369,0,FIRST,2024-08-19
2018,GR,E84EA04,BIOSIMILAR,CENTRALISED_EMA,178.34,68.12,1755113,85.52,45.92,46,142.87,NOT_REQUIRED,691.86,0,0,29,1,FLASH,2025-09-21
2019,LT,F91PN21,GENERIC,NATIONAL_MA,142.85,24.35,3139079,36.55,12.44,457,110.33,CONDITIONAL,535.98,0,0,279,0,BENCHMARK,2025-11-30
2020,PT,G98AA38,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,263.45,25.24,24754817,71.29,19.43,87,37.4,PENDING,173.83,0,1,500,0,SECOND,2025-03-19
2021,SE,H05LN55,ORPHAN,DECENTRALISED,142.52,30.47,5684749,81.88,6.7,674,75.71,POSITIVE,700.68,1,0,173,0,FIRST,2025-01-08
2022,CY,J12WA72,OTC,CENTRALISED_EMA,186.24,55.38,8518627,78.06,14.95,205,68.66,NEGATIVE,589.46,0,0,38,1,FLASH,2024-06-05
2023,FR,L19HN89,VACCINE,NATIONAL_MA,138.29,38.37,6201528,50.7,5.96,684,8.35,NOT_REQUIRED,736.82,0,0,88,0,BENCHMARK,2024-11-23
2024,IT,M26SA06,BIOSIMILAR,MUTUAL_RECOGNITION,289.59,62.33,27246420,7.57,44.83,227,37.58,CONDITIONAL,403.03,0,0,162,0,SECOND,2024-12-30
2025,NL,N33DN23,GENERIC,DECENTRALISED,55.01,66.79,5610102,22.75,9.95,91,29.76,PENDING,504.21,1,0,177,0,FIRST,2025-09-01
2006,SI,P40OA40,BRANDED_ORIGINATOR,CENTRALISED_EMA,29.83,22.34,15908200,23.43,15.03,356,5.56,POSITIVE,821.13,1,0,257,1,FLASH,2024-05-05
2007,BG,R47ZN57,ORPHAN,NATIONAL_MA,39.99,66.26,21494877,42.12,17.21,401,188.56,NEGATIVE,527.78,0,0,451,0,BENCHMARK,2025-12-25
2008,EE,S54KA74,OTC,MUTUAL_RECOGNITION,47.46,84.65,43187189,52.64,10.31,106,8.25,NOT_REQUIRED,655.75,0,0,202,0,SECOND,2024-05-22
2009,HU,V61VN91,VACCINE,DECENTRALISED,23.38,85.31,12171524,19.33,21.38,301,9.64,CONDITIONAL,724.99,0,0,544,0,FIRST,2026-01-08
2010,LU,A68GA08,BIOSIMILAR,CENTRALISED_EMA,86.2,24.74,5510212,44.48,49.96,113,45.97,PENDING,698.07,0,0,75,1,FLASH,2024-03-09
2011,RO,B75RN25,GENERIC,NATIONAL_MA,92.12,85.46,37137057,24.72,2.71,168,149.7,POSITIVE,705.64,1,0,115,0,BENCHMARK,2025-09-07
2012,AT,C82CA42,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,29.68,14.9,11046425,61.33,15.04,439,100.58,NEGATIVE,469.09,0,0,83,0,SECOND,2025-06-08
2013,CZ,D89NN59,ORPHAN,DECENTRALISED,177.55,86.5,19335284,33.54,2.03,447,168.69,NOT_REQUIRED,689.75,1,0,465,0,FIRST,2025-10-24
2014,DE,E96YA76,OTC,CENTRALISED_EMA,131.19,27.2,2576973,10.42,21.54,145,170.68,CONDITIONAL,381.06,0,0,132,1,FLASH,2025-10-20
2015,LV,F03JN93,VACCINE,NATIONAL_MA,127.59,55.31,21264454,41.72,18.51,429,95.89,PENDING,660.59,0,0,330,0,BENCHMARK,2024-04-24
2016,PL,G10UA10,BIOSIMILAR,MUTUAL_RECOGNITION,115.69,97.05,22448661,41.36,27.23,425,136.7,POSITIVE,530.7,1,1,245,0,SECOND,2025-01-03
2017,ES,H17FN27,GENERIC,DECENTRALISED,285.26,106.87,9404858,79.87,22.1,110,81.99,NEGATIVE,353.85,0,0,140,0,FIRST,2025-01-31
2018,HR,J24QA44,BRANDED_ORIGINATOR,CENTRALISED_EMA,435.54,76.37,14782362,58.9,15.06,233,63.35,NOT_REQUIRED,522.23,0,0,39,1,FLASH,2025-01-16
2019,FI,L31BN61,ORPHAN,NATIONAL_MA,258.47,37.33,21102980,55.14,4.3,212,64.78,CONDITIONAL,307.3,0,0,479,0,BENCHMARK,2025-11-29
2020,IE,M38MA78,OTC,MUTUAL_RECOGNITION,140.24,21.9,28329001,15.58,5.2,234,44.0,PENDING,278.44,0,1,276,0,SECOND,2025-05-20
2021,MT,N45XN95,VACCINE,DECENTRALISED,72.5,95.71,4814463,65.22,9.96,490,100.3,POSITIVE,109.58,0,1,638,0,FIRST,2025-10-27
2022,SK,P52IA12,BIOSIMILAR,CENTRALISED_EMA,157.0,77.21,15226058,33.15,5.62,351,119.12,NEGATIVE,650.07,0,0,283,1,FLASH,2024-12-12
2023,BE,R59TN29,GENERIC,NATIONAL_MA,7.05,75.49,8726280,59.97,15.59,172,169.23,NOT_REQUIRED,646.5,0,0,202,0,BENCHMARK,2024-03-07
2024,DK,S66EA46,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,81.63,17.86,26125236,83.33,0.95,619,14.32,CONDITIONAL,117.1,0,0,372,0,SECOND,2026-02-19
2025,GR,V73PN63,ORPHAN,DECENTRALISED,77.65,81.79,5528414,9.37,12.7,117,3.94,PENDING,390.1,0,0,541,0,FIRST,2024-05-11
2006,LT,A80AA80,OTC,CENTRALISED_EMA,38.06,77.31,38674815,44.82,17.38,207,165.25,POSITIVE,818.06,1,0,38,1,FLASH,2024-07-07
2007,PT,B87LN97,VACCINE,NATIONAL_MA,105.04,24.86,1437497,77.77,20.35,141,60.82,NEGATIVE,96.8,0,0,414,0,BENCHMARK,2024-12-28
2008,SE,C94WA14,BIOSIMILAR,MUTUAL_RECOGNITION,227.24,55.12,835934,16.77,44.56,96,21.15,NOT_REQUIRED,503.97,0,0,127,0,SECOND,2025-11-23
2009,CY,D01HN31,GENERIC,DECENTRALISED,157.36,44.04,7751724,37.61,7.35,286,121.81,CONDITIONAL,425.8,0,0,43,0,FIRST,2025-06-07
2010,FR,E08SA48,BRANDED_ORIGINATOR,CENTRALISED_EMA,237.08,48.26,471421,41.04,16.86,131,8.43,PENDING,32.32,0,0,193,1,FLASH,2025-08-27
2011,IT,F15DN65,ORPHAN,NATIONAL_MA,448.33,76.8,18423081,12.12,9.08,136,201.54,POSITIVE,280.97,0,0,425,0,BENCHMARK,2024-07-18
2012,NL,G22OA82,OTC,MUTUAL_RECOGNITION,48.0,46.25,40948546,71.59,22.46,94,43.24,NEGATIVE,195.65,1,0,188,0,SECOND,2024-09-23
2013,SI,H29ZN99,VACCINE,DECENTRALISED,133.85,58.88,25785254,31.17,18.29,209,196.92,NOT_REQUIRED,416.18,1,0,101,0,FIRST,2024-06-06
2014,BG,J36KA16,BIOSIMILAR,CENTRALISED_EMA,91.17,63.11,26439389,12.16,19.96,272,6.57,CONDITIONAL,1020.37,0,0,136,1,FLASH,2025-02-07
2015,EE,L43VN33,GENERIC,NATIONAL_MA,100.28,28.96,34250230,53.81,5.56,401,80.19,PENDING,30.42,0,1,230,0,BENCHMARK,2024-03-19
2016,HU,M50GA50,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,190.62,74.65,24889540,5.23,0.99,71,32.62,POSITIVE,85.59,1,0,403,0,SECOND,2024-07-04
2017,LU,N57RN67,ORPHAN,DECENTRALISED,292.0,65.86,17423426,21.15,8.43,224,28.78,NEGATIVE,692.2,1,0,347,0,FIRST,2025-08-04
2018,RO,P64CA84,OTC,CENTRALISED_EMA,187.76,58.03,23537195,30.58,4.7,218,204.72,NOT_REQUIRED,298.6,0,1,109,1,FLASH,2025-08-13
2019,AT,R71NN01,VACCINE,NATIONAL_MA,76.3,61.38,7463686,33.96,8.49,379,178.8,CONDITIONAL,332.63,0,0,638,0,BENCHMARK,2026-02-03
2020,CZ,S78YA18,BIOSIMILAR,MUTUAL_RECOGNITION,287.67,30.4,14196868,78.1,48.92,133,61.92,PENDING,155.56,0,0,197,0,SECOND,2024-09-30
2021,DE,V85JN35,GENERIC,DECENTRALISED,33.06,100.0,25052828,52.14,22.94,198,40.68,POSITIVE,51.6,0,0,227,0,FIRST,2024-03-15
2022,LV,A92UA52,BRANDED_ORIGINATOR,CENTRALISED_EMA,269.85,72.45,20123303,15.59,9.99,653,102.76,NEGATIVE,417.08,0,0,152,1,FLASH,2025-12-07
2023,PL,B99FN69,ORPHAN,NATIONAL_MA,291.21,39.18,3782914,20.26,3.99,526,154.58,NOT_REQUIRED,461.87,0,0,397,0,BENCHMARK,2025-07-20
2024,ES,C06QA86,OTC,MUTUAL_RECOGNITION,43.5,79.14,27014016,86.35,15.94,504,70.81,CONDITIONAL,178.23,0,0,206,0,SECOND,2025-06-06
2025,HR,D13BN03,VACCINE,DECENTRALISED,289.51,103.89,27395822,6.77,4.19,317,36.86,PENDING,359.74,0,0,612,0,FIRST,2025-03-28
2006,FI,E20MA20,BIOSIMILAR,CENTRALISED_EMA,165.16,76.71,24748621,57.4,13.65,448,10.73,POSITIVE,1036.72,0,0,10,1,FLASH,2024-10-12
2007,IE,F27XN37,GENERIC,NATIONAL_MA,54.53,33.66,12114587,63.0,17.52,79,109.12,NEGATIVE,436.06,0,0,243,0,BENCHMARK,2024-03-24
2008,MT,G34IA54,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,214.25,46.99,7257936,64.17,3.47,30,29.61,NOT_REQUIRED,40.7,0,0,100,0,SECOND,2024-06-25
2009,SK,H41TN71,ORPHAN,DECENTRALISED,178.43,66.5,6482738,39.55,4.41,128,199.82,CONDITIONAL,754.97,0,0,412,0,FIRST,2024-10-09
2010,BE,J48EA88,OTC,CENTRALISED_EMA,55.81,42.77,37133074,69.88,3.87,371,92.16,PENDING,743.41,0,0,103,1,FLASH,2024-12-24
2011,DK,L55PN05,VACCINE,NATIONAL_MA,101.3,50.54,11872880,57.01,12.39,113,109.87,POSITIVE,609.97,0,0,301,0,BENCHMARK,2025-06-17
2012,GR,M62AA22,BIOSIMILAR,MUTUAL_RECOGNITION,121.37,98.6,6015296,76.34,32.17,196,92.61,NEGATIVE,388.37,0,0,153,0,SECOND,2024-01-15
2013,LT,N69LN39,GENERIC,DECENTRALISED,215.57,85.41,29954366,86.57,3.52,227,199.35,NOT_REQUIRED,256.5,1,0,152,0,FIRST,2024-10-24
2014,PT,P76WA56,BRANDED_ORIGINATOR,CENTRALISED_EMA,69.64,81.12,6807883,40.76,7.38,291,66.68,CONDITIONAL,396.73,1,0,41,1,FLASH,2024-11-08
2015,SE,R83HN73,ORPHAN,NATIONAL_MA,168.37,15.38,15462094,15.06,7.94,257,190.38,PENDING,180.54,0,0,367,0,BENCHMARK,2024-11-16
2016,CY,S90SA90,OTC,MUTUAL_RECOGNITION,61.23,46.84,36999583,19.96,16.03,39,77.51,POSITIVE,542.16,0,1,56,0,SECOND,2024-05-23
2017,FR,V97DN07,VACCINE,DECENTRALISED,102.4,61.23,14018423,33.13,1.2,454,54.33,NEGATIVE,384.0,0,0,69,0,FIRST,2024-05-03
2018,IT,A04OA24,BIOSIMILAR,CENTRALISED_EMA,21.17,40.88,4518123,49.53,36.2,439,205.93,NOT_REQUIRED,501.6,0,0,78,1,FLASH,2025-01-18
2019,NL,B11ZN41,GENERIC,NATIONAL_MA,71.38,78.74,36704931,28.46,1.88,66,38.88,CONDITIONAL,73.08,0,0,79,0,BENCHMARK,2026-02-06
2020,SI,C18KA58,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,417.71,59.93,14240247,25.28,7.24,111,134.72,PENDING,64.54,1,0,105,0,SECOND,2024-09-04
2021,BG,D25VN75,ORPHAN,DECENTRALISED,289.21,18.43,20217835,76.86,19.97,165,82.32,POSITIVE,741.05,1,0,424,0,FIRST,2024-08-04
2022,EE,E32GA92,OTC,CENTRALISED_EMA,152.53,37.41,15230095,74.12,7.85,571,101.21,NEGATIVE,143.25,0,0,123,1,FLASH,2025-01-28
2023,HU,F39RN09,VACCINE,NATIONAL_MA,187.04,34.25,17425558,42.78,1.62,633,2.57,NOT_REQUIRED,140.47,0,1,27,0,BENCHMARK,2024-07-10
2024,LU,G46CA26,BIOSIMILAR,MUTUAL_RECOGNITION,122.91,59.76,4877916,73.5,3.66,435,197.18,CONDITIONAL,651.41,0,0,251,0,SECOND,2024-09-18
2025,RO,H53NN43,GENERIC,DECENTRALISED,42.68,87.83,25842058,32.13,9.81,157,120.68,PENDING,200.11,0,0,260,0,FIRST,2025-06-24
2006,AT,J60YA60,BRANDED_ORIGINATOR,CENTRALISED_EMA,308.24,35.31,28088213,87.44,17.72,279,73.08,POSITIVE,70.37,0,0,525,1,FLASH,2025-01-10
2007,CZ,L67JN77,ORPHAN,NATIONAL_MA,9.41,15.54,15276389,70.47,5.53,315,128.41,NEGATIVE,96.95,0,0,334,0,BENCHMARK,2024-10-16
2008,DE,M74UA94,OTC,MUTUAL_RECOGNITION,169.89,66.25,13711244,18.09,17.16,211,121.2,NOT_REQUIRED,635.22,0,0,16,0,SECOND,2024-12-19
2009,LV,N81FN11,VACCINE,DECENTRALISED,221.28,23.99,12323514,29.34,21.57,180,173.23,CONDITIONAL,301.39,0,0,260,0,FIRST,2024-01-25
2010,PL,P88QA28,BIOSIMILAR,CENTRALISED_EMA,118.31,28.68,8821006,68.35,47.12,68,80.68,PENDING,213.37,0,1,95,1,FLASH,2024-03-13
2011,ES,R95BN45,GENERIC,NATIONAL_MA,153.13,72.32,23388059,26.76,0.12,291,138.05,POSITIVE,500.88,1,0,46,0,BENCHMARK,2025-01-15
2012,HR,S02MA62,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,136.58,43.11,18093835,7.76,20.85,383,203.13,NEGATIVE,650.81,0,0,424,0,SECOND,2026-01-30
2013,FI,V09XN79,ORPHAN,DECENTRALISED,239.98,53.02,26036004,68.39,17.03,170,197.03,NOT_REQUIRED,169.41,0,0,491,0,FIRST,2025-12-26
2014,IE,A16IA96,OTC,CENTRALISED_EMA,3.39,67.63,18202181,38.96,7.61,169,206.7,CONDITIONAL,119.64,0,0,205,1,FLASH,2025-09-13
2015,MT,B23TN13,VACCINE,NATIONAL_MA,256.24,85.65,14317159,80.41,12.78,188,94.27,PENDING,267.74,0,1,569,0,BENCHMARK,2025-10-04
2016,SK,C30EA30,BIOSIMILAR,MUTUAL_RECOGNITION,154.1,18.61,22167657,65.66,46.57,147,144.72,POSITIVE,184.19,0,0,128,0,SECOND,2025-10-20
2017,BE,D37PN47,GENERIC,DECENTRALISED,129.66,25.89,23437461,75.39,14.36,361,156.03,NEGATIVE,357.59,1,0,210,0,FIRST,2024-07-30
2018,DK,E44AA64,BRANDED_ORIGINATOR,CENTRALISED_EMA,338.51,73.78,10046258,38.04,10.78,247,87.59,NOT_REQUIRED,178.78,0,0,21,1,FLASH,2024-03-15
2019,GR,F51LN81,ORPHAN,NATIONAL_MA,73.48,49.89,26553999,25.57,12.45,185,144.61,CONDITIONAL,420.95,0,0,100,0,BENCHMARK,2025-08-27
2020,LT,G58WA98,OTC,MUTUAL_RECOGNITION,104.27,89.42,35109656,49.66,18.35,103,151.32,PENDING,446.89,1,0,260,0,SECOND,2025-04-05
2021,PT,H65HN15,VACCINE,DECENTRALISED,289.65,30.25,5538180,79.44,22.92,384,142.39,POSITIVE,100.0,0,1,169,0,FIRST,2025-05-06
2022,SE,J72SA32,BIOSIMILAR,CENTRALISED_EMA,191.53,21.12,25881199,27.72,52.15,238,33.93,NEGATIVE,776.3,0,0,100,1,FLASH,2026-01-01
2023,CY,L79DN49,GENERIC,NATIONAL_MA,21.3,56.09,27633159,59.23,18.86,237,164.29,NOT_REQUIRED,170.33,1,0,240,0,BENCHMARK,2025-09-22
2024,FR,M86OA66,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,367.1,74.92,20739868,54.65,4.9,752,112.75,CONDITIONAL,216.4,1,0,388,0,SECOND,2024-08-06
2025,IT,N93ZN83,ORPHAN,DECENTRALISED,366.72,33.7,28391964,7.42,16.79,586,128.55,PENDING,294.66,0,0,593,0,FIRST,2025-08-27
2006,NL,P00KA00,OTC,CENTRALISED_EMA,319.0,37.38,23082271,20.56,21.66,381,80.66,POSITIVE,921.66,1,0,15,1,FLASH,2026-02-19
2007,SI,R07VN17,VACCINE,NATIONAL_MA,51.57,58.81,13071211,33.83,15.76,313,129.95,NEGATIVE,324.33,0,0,49,0,BENCHMARK,2025-01-04
2008,BG,S14GA34,BIOSIMILAR,MUTUAL_RECOGNITION,110.3,91.69,1721022,40.29,6.46,41,92.77,NOT_REQUIRED,591.78,1,0,196,0,SECOND,2026-01-14
2009,EE,V21RN51,GENERIC,DECENTRALISED,98.19,48.49,44798081,74.44,9.41,218,41.75,CONDITIONAL,605.4,0,0,147,0,FIRST,2024-08-22
2010,HU,A28CA68,BRANDED_ORIGINATOR,CENTRALISED_EMA,313.52,82.85,12520098,70.34,18.34,37,76.76,PENDING,214.3,0,0,236,1,FLASH,2024-04-29
2011,LU,B35NN85,ORPHAN,NATIONAL_MA,153.8,74.43,15228432,25.17,12.07,130,146.99,POSITIVE,451.25,0,0,59,0,BENCHMARK,2024-12-07
2012,RO,C42YA02,OTC,MUTUAL_RECOGNITION,65.68,81.68,3480332,67.03,21.39,441,160.73,NEGATIVE,584.87,0,0,280,0,SECOND,2025-01-07
2013,AT,D49JN19,VACCINE,DECENTRALISED,222.59,81.63,4007466,25.78,18.16,2,59.78,NOT_REQUIRED,790.06,0,0,334,0,FIRST,2025-10-22
2014,CZ,E56UA36,BIOSIMILAR,CENTRALISED_EMA,34.87,87.42,5307917,77.27,3.96,122,72.05,CONDITIONAL,184.52,0,0,260,1,FLASH,2024-05-26
2015,DE,F63FN53,GENERIC,NATIONAL_MA,4.85,88.63,19071628,23.73,19.45,413,74.9,PENDING,479.04,0,0,22,0,BENCHMARK,2024-05-19
2016,LV,G70QA70,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,274.18,64.48,24248891,47.34,11.98,212,151.45,POSITIVE,376.9,1,0,300,0,SECOND,2025-08-13
2017,PL,H77BN87,ORPHAN,DECENTRALISED,212.33,25.76,9567252,43.81,5.08,448,72.38,NEGATIVE,802.15,1,0,422,0,FIRST,2025-07-22
2018,ES,J84MA04,OTC,CENTRALISED_EMA,200.1,77.51,22148281,83.55,11.49,397,103.61,NOT_REQUIRED,854.86,0,0,89,1,FLASH,2024-09-05
2019,HR,L91XN21,VACCINE,NATIONAL_MA,68.34,59.77,6663375,86.4,17.72,238,126.32,CONDITIONAL,447.41,0,0,367,0,BENCHMARK,2025-12-21
2020,FI,M98IA38,BIOSIMILAR,MUTUAL_RECOGNITION,185.61,67.4,15889486,55.91,14.89,433,199.59,PENDING,280.36,0,0,0,0,SECOND,2026-01-24
2021,IE,N05TN55,GENERIC,DECENTRALISED,183.93,30.19,36665568,66.89,17.26,70,109.89,POSITIVE,317.91,0,0,173,0,FIRST,2025-03-26
2022,MT,P12EA72,BRANDED_ORIGINATOR,CENTRALISED_EMA,396.24,62.27,24753508,46.94,12.82,177,67.16,NEGATIVE,626.29,0,0,455,1,FLASH,2024-02-02
2023,SK,R19PN89,ORPHAN,NATIONAL_MA,467.75,34.4,5885265,42.01,14.23,710,199.91,NOT_REQUIRED,156.65,0,0,77,0,BENCHMARK,2025-04-03
2024,BE,S26AA06,OTC,MUTUAL_RECOGNITION,212.7,92.58,46715832,44.83,10.2,716,23.34,CONDITIONAL,802.96,1,0,261,0,SECOND,2025-10-30
2025,DK,V33LN23,VACCINE,DECENTRALISED,9.87,71.81,3900086,29.65,11.16,534,156.85,PENDING,294.92,0,0,360,0,FIRST,2024-06-11
2006,GR,A40WA40,BIOSIMILAR,CENTRALISED_EMA,236.06,25.06,4048800,43.09,17.27,440,168.89,POSITIVE,783.89,0,0,66,1,FLASH,2024-09-03
2007,LT,B47HN57,GENERIC,NATIONAL_MA,147.07,54.11,1008595,83.41,12.96,61,13.12,NEGATIVE,414.47,1,0,60,0,BENCHMARK,2025-09-02
2008,PT,C54SA74,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,472.54,93.05,23919732,62.82,13.8,264,6.5,NOT_REQUIRED,278.48,1,0,315,0,SECOND,2024-01-07
2009,SE,D61DN91,ORPHAN,DECENTRALISED,472.46,79.96,14582294,31.61,1.67,93,150.86,CONDITIONAL,512.66,1,0,576,0,FIRST,2024-11-03
2010,CY,E68OA08,OTC,CENTRALISED_EMA,25.14,56.54,32459480,46.45,16.44,178,24.47,PENDING,845.25,0,0,258,1,FLASH,2025-12-11
2011,FR,F75ZN25,VACCINE,NATIONAL_MA,84.79,41.91,13075628,5.55,8.31,71,107.04,POSITIVE,414.48,0,0,627,0,BENCHMARK,2025-06-28
2012,IT,G82KA42,BIOSIMILAR,MUTUAL_RECOGNITION,257.44,99.15,19744212,40.74,39.67,403,110.02,NEGATIVE,94.84,0,0,59,0,SECOND,2025-08-31
2013,NL,H89VN59,GENERIC,DECENTRALISED,222.5,91.05,43775011,54.7,23.08,155,113.28,NOT_REQUIRED,113.97,0,1,106,0,FIRST,2025-01-12
2014,SI,J96GA76,BRANDED_ORIGINATOR,CENTRALISED_EMA,134.43,54.16,4103698,23.46,8.34,427,88.92,CONDITIONAL,431.64,0,0,159,1,FLASH,2025-08-21
2015,BG,L03RN93,ORPHAN,NATIONAL_MA,204.43,29.68,10186372,41.97,17.07,26,138.19,PENDING,64.76,0,1,524,0,BENCHMARK,2024-04-24
2016,EE,M10CA10,OTC,MUTUAL_RECOGNITION,190.3,14.49,17894273,64.77,8.72,148,59.11,POSITIVE,308.26,0,0,95,0,SECOND,2024-11-14
2017,HU,N17NN27,VACCINE,DECENTRALISED,102.2,68.63,13167857,54.5,11.27,171,8.32,NEGATIVE,754.7,0,0,41,0,FIRST,2024-08-11
2018,LU,P24YA44,BIOSIMILAR,CENTRALISED_EMA,178.72,54.47,4017353,17.73,43.44,452,13.79,NOT_REQUIRED,943.79,0,0,229,1,FLASH,2024-08-07
2019,RO,R31JN61,GENERIC,NATIONAL_MA,119.05,36.93,44650345,14.83,14.94,166,76.3,CONDITIONAL,512.57,0,1,195,0,BENCHMARK,2025-09-05
2020,AT,S38UA78,BRANDED_ORIGINATOR,MUTUAL_RECOGNITION,326.35,56.41,21381933,70.22,2.23,707,78.17,PENDING,275.88,0,0,145,0,SECOND,2024-10-10
