edu_erasmus_project_year,edu_erasmus_programme_period_code,edu_erasmus_participant_id_hash,edu_erasmus_home_country_iso2,edu_erasmus_host_country_iso2,edu_erasmus_home_institution_id,edu_erasmus_host_institution_id,edu_erasmus_mobility_type_code,edu_erasmus_duration_days,edu_erasmus_grant_amount_eur,edu_erasmus_inclusion_support_flag,edu_erasmus_green_travel_flag,edu_erasmus_virtual_component_flag,edu_erasmus_recognition_ects_flag,edu_erasmus_language_preparation_flag,edu_erasmus_student_satisfaction_score,edu_erasmus_employability_outcome_flag,edu_erasmus_data_source,edu_erasmus_last_update_date,edu_erasmus_data_extract_date
2012,2014_2020,75a7d9d731f303a671b82b,RO,SK,HEI_RO_1030,HEI_SK_1054,BLENDED_INTENSIVE,181,4177.91,0,0,0,1,0,4.43,1,NATIONAL_AGENCY_EXPORT,2017-09-03,2025-01-10
2013,2014_2020,fb293e6e27b54693a62c33,BG,EE,HEI_BG_1035,HEI_EE_1063,TRAINEESHIP,143,2375.55,0,0,0,1,1,3.65,0,INSTITUTION_REPORTING,2017-09-26,2025-01-08
2014,2014_2020,d459bd4bd7c8b62b207925,FR,MT,HEI_FR_1040,HEI_MT_1072,STUDY,90,1626.07,1,0,0,0,0,4.12,1,ERASMUS_DASHBOARD,2017-10-19,2025-08-21
2015,2014_2020,bafe82f76d6065a8200779,LT,BG,HEI_LT_1045,HEI_BG_1081,YOUTH_EXCHANGE,195,3047.19,0,0,0,0,0,4.03,0,NATIONAL_AGENCY_EXPORT,2017-11-11,2024-09-21
2016,2014_2020,332e1cd1849e3b81286cda,SK,IE,HEI_SK_1050,HEI_IE_1090,STAFF_TRAINING,69,1729.47,0,0,0,0,0,4.64,1,INSTITUTION_REPORTING,2017-12-04,2025-12-13
2017,2014_2020,7c84a51f4e2b49f8ff18ea,HR,SI,HEI_HR_1055,HEI_SI_1099,STAFF_TEACHING,77,1665.25,0,0,0,0,1,4.05,1,ERASMUS_DASHBOARD,2017-12-27,2024-05-27
2018,2014_2020,1c3b3006c37de0ac61ffd7,DE,FI,HEI_DE_1060,HEI_FI_1108,BLENDED_INTENSIVE,133,3011.26,0,0,0,1,0,4.11,1,NATIONAL_AGENCY_EXPORT,2018-01-19,2024-03-04
2019,2014_2020,0c46fa4254b45ed02b2791,LU,NL,HEI_LU_1065,HEI_NL_1117,TRAINEESHIP,137,4639.18,1,0,0,0,0,4.26,1,INSTITUTION_REPORTING,2018-02-11,2025-04-19
2020,2014_2020,abb9a3ac5176c16e309d5a,SI,HR,HEI_SI_1070,HEI_HR_1126,STUDY,226,7139.05,1,0,0,1,0,3.83,1,ERASMUS_DASHBOARD,2018-03-06,2025-05-10
2021,2021_2027,f7a86332d6b637320c02e8,CY,IT,HEI_CY_1075,HEI_IT_1135,YOUTH_EXCHANGE,42,1437.5,0,0,0,0,0,3.86,1,NATIONAL_AGENCY_EXPORT,2018-03-29,2026-01-02
2022,2021_2027,6c11c789650a18debdd210,GR,ES,HEI_GR_1080,HEI_ES_1144,STAFF_TRAINING,52,1105.79,0,1,0,0,1,4.74,0,INSTITUTION_REPORTING,2018-04-21,2024-02-16
2023,2021_2027,cc63ccce46e67d496cfc17,MT,FR,HEI_MT_1085,HEI_FR_1153,STAFF_TEACHING,105,3282.17,0,1,0,0,1,3.61,0,ERASMUS_DASHBOARD,2018-05-14,2025-04-05
2024,2021_2027,9c3cec30894d93af5fa26b,ES,PL,HEI_ES_1090,HEI_PL_1162,BLENDED_INTENSIVE,54,1464.74,0,1,0,1,1,3.77,1,NATIONAL_AGENCY_EXPORT,2018-06-06,2025-04-09
2025,2021_2027,f0a21722f12fc26e9d8346,CZ,CY,HEI_CZ_1095,HEI_CY_1171,TRAINEESHIP,344,11302.12,0,1,0,0,1,3.68,0,INSTITUTION_REPORTING,2018-06-29,2024-02-10
2006,2014_2020,ed7f9406c531e8bfdbaa7e,HU,LV,HEI_HU_1100,HEI_LV_1180,STUDY,205,7392.8,0,0,0,1,1,4.2,0,ERASMUS_DASHBOARD,2018-07-22,2024-10-29
2007,2014_2020,35309712cd2a83a95b1d11,NL,SE,HEI_NL_1105,HEI_SE_1189,YOUTH_EXCHANGE,11,429.58,0,0,0,1,0,4.41,0,NATIONAL_AGENCY_EXPORT,2018-08-14,2024-06-28
2008,2014_2020,0b393eaaa3ac81a3670a16,SE,DE,HEI_SE_1110,HEI_DE_1198,STAFF_TRAINING,150,2962.69,0,0,0,0,0,4.41,1,INSTITUTION_REPORTING,2018-09-06,2024-09-04
2009,2014_2020,40cb98e4ec317e9f9d589e,DK,PT,HEI_DK_1115,HEI_PT_1207,STAFF_TEACHING,72,1261.43,0,0,0,0,0,3.49,0,ERASMUS_DASHBOARD,2018-09-29,2025-09-22
2010,2014_2020,f5e9f81a25dc048620b598,IE,CZ,HEI_IE_1120,HEI_CZ_1216,BLENDED_INTENSIVE,112,1520.24,0,0,0,1,0,3.43,1,NATIONAL_AGENCY_EXPORT,2018-10-22,2024-08-22
2011,2014_2020,9d23130c2cd60bc5eea484,PL,LT,HEI_PL_1125,HEI_LT_1225,TRAINEESHIP,220,6891.04,0,0,0,0,1,4.46,0,INSTITUTION_REPORTING,2018-11-14,2024-10-07
2012,2014_2020,eff19c8e0e85c6c41ecede,AT,AT,HEI_AT_1130,HEI_AT_1234,STUDY,156,3542.46,0,0,0,1,0,3.15,0,ERASMUS_DASHBOARD,2018-12-07,2025-05-15
2013,2014_2020,038d6b86fd2fed45c6d641,EE,GR,HEI_EE_1135,HEI_GR_1243,YOUTH_EXCHANGE,177,6161.18,0,1,0,0,0,3.68,1,NATIONAL_AGENCY_EXPORT,2018-12-30,2025-01-19
2014,2014_2020,a11ec9335aabcfb180b617,IT,RO,HEI_IT_1140,HEI_RO_1252,STAFF_TRAINING,115,3346.05,0,0,0,0,1,3.26,1,INSTITUTION_REPORTING,2019-01-22,2024-02-25
2015,2014_2020,028f35692212470902607d,PT,DK,HEI_PT_1145,HEI_DK_1261,STAFF_TEACHING,25,579.45,0,0,0,0,0,3.38,1,ERASMUS_DASHBOARD,2019-02-14,2024-08-08
2016,2014_2020,61d9dd2c8f651955e62834,BE,LU,HEI_BE_1150,HEI_LU_1270,BLENDED_INTENSIVE,169,2643.96,0,0,0,1,0,4.0,1,NATIONAL_AGENCY_EXPORT,2019-03-09,2024-04-19
2017,2014_2020,64450173d1f61adaedf04d,FI,BE,HEI_FI_1155,HEI_BE_1279,TRAINEESHIP,303,3144.97,0,0,0,0,0,4.47,1,INSTITUTION_REPORTING,2019-04-01,2025-09-15
2018,2014_2020,1d947335eb005777e332dc,LV,HU,HEI_LV_1160,HEI_HU_1288,STUDY,186,6616.33,1,0,0,0,1,3.42,1,ERASMUS_DASHBOARD,2019-04-24,2025-09-15
2019,2014_2020,8cf024a6690361d035291a,RO,SK,HEI_RO_1165,HEI_SK_1297,YOUTH_EXCHANGE,25,881.36,0,0,0,0,1,3.38,1,NATIONAL_AGENCY_EXPORT,2019-05-17,2025-10-30
2020,2014_2020,5d71de3a3fac0d701a9b6a,BG,EE,HEI_BG_1170,HEI_EE_1306,STAFF_TRAINING,13,192.07,0,0,0,0,1,4.45,0,INSTITUTION_REPORTING,2019-06-09,2024-04-28
2021,2021_2027,c96f156a24e07d4daf1d28,FR,MT,HEI_FR_1175,HEI_MT_1315,STAFF_TEACHING,127,1468.46,0,0,0,0,1,4.28,0,ERASMUS_DASHBOARD,2019-07-02,2025-10-02
2022,2021_2027,114e3d086de0aeeba07edb,LT,BG,HEI_LT_1180,HEI_BG_1324,BLENDED_INTENSIVE,50,608.15,1,0,0,1,0,3.43,0,NATIONAL_AGENCY_EXPORT,2019-07-25,2024-06-06
2023,2021_2027,3f20e3eacbede2cd97d1dd,SK,IE,HEI_SK_1185,HEI_IE_1333,TRAINEESHIP,50,520.39,0,0,0,0,1,4.83,1,INSTITUTION_REPORTING,2019-08-17,2024-10-07
2024,2021_2027,33b934f3ef273a21b2b393,HR,SI,HEI_HR_1190,HEI_SI_1342,STUDY,267,5842.54,0,0,0,0,0,3.06,1,ERASMUS_DASHBOARD,2019-09-09,2024-03-31
2025,2021_2027,1400862ddbdc070b897cea,DE,FI,HEI_DE_1195,HEI_FI_1351,YOUTH_EXCHANGE,180,4960.03,0,1,1,0,1,4.51,1,NATIONAL_AGENCY_EXPORT,2019-10-02,2026-01-17
2006,2014_2020,d82af73b1f75f13a2343b4,LU,NL,HEI_LU_1200,HEI_NL_1360,STAFF_TRAINING,65,2467.46,0,0,0,0,1,4.82,1,INSTITUTION_REPORTING,2019-10-25,2025-07-03
2007,2014_2020,a9438dc3a62164a45a0f81,SI,HR,HEI_SI_1205,HEI_HR_1369,STAFF_TEACHING,190,5283.84,0,0,0,0,1,3.81,1,ERASMUS_DASHBOARD,2019-11-17,2024-04-25
2008,2014_2020,c085fca9687800bf3c49b7,CY,IT,HEI_CY_1210,HEI_IT_1378,BLENDED_INTENSIVE,16,420.27,1,0,0,1,1,4.94,1,NATIONAL_AGENCY_EXPORT,2019-12-10,2024-12-24
2009,2014_2020,705e143b3537f1cd5b133b,GR,ES,HEI_GR_1215,HEI_ES_1387,TRAINEESHIP,187,6077.09,0,0,0,0,1,3.51,1,INSTITUTION_REPORTING,2020-01-02,2025-04-20
2010,2014_2020,027786bdacd52902b79190,MT,FR,HEI_MT_1220,HEI_FR_1396,STUDY,352,5160.61,1,1,0,1,0,3.77,1,ERASMUS_DASHBOARD,2020-01-25,2024-09-09
2011,2014_2020,b118e944f2c397194c6faa,ES,PL,HEI_ES_1225,HEI_PL_1405,YOUTH_EXCHANGE,11,168.54,0,0,0,1,1,4.09,0,NATIONAL_AGENCY_EXPORT,2020-02-17,2024-05-07
2012,2014_2020,b76e948f953e87ea9dc054,CZ,CY,HEI_CZ_1230,HEI_CY_1414,STAFF_TRAINING,186,5918.22,0,0,0,0,1,4.43,0,INSTITUTION_REPORTING,2020-03-11,2024-01-28
2013,2014_2020,7f7b1b07365b7e60a9df45,HU,LV,HEI_HU_1235,HEI_LV_1423,STAFF_TEACHING,10,198.58,0,0,1,0,0,3.38,1,ERASMUS_DASHBOARD,2020-04-03,2025-10-11
2014,2014_2020,6613c54b600822b7ad21a1,NL,SE,HEI_NL_1240,HEI_SE_1432,BLENDED_INTENSIVE,44,1411.73,0,0,0,1,0,3.39,1,NATIONAL_AGENCY_EXPORT,2020-04-26,2025-02-12
2015,2014_2020,0fcf94b0346193c448419c,SE,DE,HEI_SE_1245,HEI_DE_1441,TRAINEESHIP,233,7404.31,0,0,0,0,0,4.49,0,INSTITUTION_REPORTING,2020-05-19,2025-05-26
2016,2014_2020,d5122df5f0722bbc122167,DK,PT,HEI_DK_1250,HEI_PT_1450,STUDY,219,4564.56,0,0,0,1,1,3.26,0,ERASMUS_DASHBOARD,2020-06-11,2025-11-03
2017,2014_2020,9ce3d0bc1e7da3d37b0008,IE,CZ,HEI_IE_1255,HEI_CZ_1459,YOUTH_EXCHANGE,188,4003.31,0,0,0,1,0,4.17,1,NATIONAL_AGENCY_EXPORT,2020-07-04,2026-01-21
2018,2014_2020,7326b82c8aba12675d600c,PL,LT,HEI_PL_1260,HEI_LT_1468,STAFF_TRAINING,14,186.01,0,0,0,0,1,4.43,0,INSTITUTION_REPORTING,2020-07-27,2025-05-07
2019,2014_2020,d2cab0e811e218745220b7,AT,AT,HEI_AT_1265,HEI_AT_1477,STAFF_TEACHING,115,3587.36,0,0,0,1,1,3.44,0,ERASMUS_DASHBOARD,2020-08-19,2024-03-13
2020,2014_2020,378d52ea33a4958e24eb27,EE,GR,HEI_EE_1270,HEI_GR_1486,BLENDED_INTENSIVE,17,267.78,0,0,1,1,1,4.63,0,NATIONAL_AGENCY_EXPORT,2020-09-11,2025-04-29
2021,2021_2027,8176842f4496051a9e8112,IT,RO,HEI_IT_1275,HEI_RO_1495,TRAINEESHIP,45,1438.01,0,1,0,0,1,3.89,0,INSTITUTION_REPORTING,2020-10-04,2025-11-20
2022,2021_2027,3b3d9e6a4ad5f355d31cfc,PT,DK,HEI_PT_1280,HEI_DK_1504,STUDY,102,1648.58,0,1,0,0,1,4.86,0,ERASMUS_DASHBOARD,2020-10-27,2025-07-31
2023,2021_2027,b75f134f8aebeb09cc8636,BE,LU,HEI_BE_1285,HEI_LU_1513,YOUTH_EXCHANGE,48,964.68,0,0,0,0,0,4.25,1,NATIONAL_AGENCY_EXPORT,2020-11-19,2024-01-08
2024,2021_2027,0d37697c9bcf813d9b50f7,FI,BE,HEI_FI_1290,HEI_BE_1522,STAFF_TRAINING,70,881.23,0,1,0,0,1,4.53,1,INSTITUTION_REPORTING,2020-12-12,2025-12-15
2025,2021_2027,6f3a182d4a634d47236962,LV,HU,HEI_LV_1295,HEI_HU_1531,STAFF_TEACHING,28,338.18,0,0,0,0,1,3.93,1,ERASMUS_DASHBOARD,2021-01-04,2024-11-22
2006,2014_2020,495c1bd9fecd1475c51f95,RO,SK,HEI_RO_1300,HEI_SK_1540,BLENDED_INTENSIVE,19,199.35,1,0,1,0,1,4.87,0,NATIONAL_AGENCY_EXPORT,2021-01-27,2024-08-21
2007,2014_2020,3eb0b0c4b6b67b8e304ea7,BG,EE,HEI_BG_1305,HEI_EE_1549,TRAINEESHIP,138,4237.2,1,0,0,0,1,3.76,1,INSTITUTION_REPORTING,2021-02-19,2024-12-03
2008,2014_2020,879ce8837489ea25197641,FR,MT,HEI_FR_1310,HEI_MT_1558,STUDY,190,5107.18,0,0,0,1,0,4.6,1,ERASMUS_DASHBOARD,2021-03-14,2025-04-16
2009,2014_2020,45580eb983aa2798a6d1b3,LT,BG,HEI_LT_1315,HEI_BG_1567,YOUTH_EXCHANGE,152,3684.55,1,0,0,1,1,3.91,0,NATIONAL_AGENCY_EXPORT,2021-04-06,2024-06-11
2010,2014_2020,b65fee46d6bdda9086010b,SK,IE,HEI_SK_1320,HEI_IE_1576,STAFF_TRAINING,143,6213.02,1,0,0,0,0,3.12,1,INSTITUTION_REPORTING,2021-04-29,2024-10-27
2011,2014_2020,d65fad1865068ca76efc7f,HR,SI,HEI_HR_1325,HEI_SI_1585,STAFF_TEACHING,180,4561.43,0,0,0,0,0,3.27,1,ERASMUS_DASHBOARD,2021-05-22,2026-01-29
2012,2014_2020,44543563bd8d60192f1c5c,DE,FI,HEI_DE_1330,HEI_FI_1594,BLENDED_INTENSIVE,121,2064.16,1,1,0,1,1,4.23,1,NATIONAL_AGENCY_EXPORT,2021-06-14,2024-04-29
2013,2014_2020,8f0ec052148384ff7ce7a8,LU,NL,HEI_LU_1335,HEI_NL_1603,TRAINEESHIP,262,10480.57,0,0,1,1,0,4.08,0,INSTITUTION_REPORTING,2021-07-07,2024-05-12
2014,2014_2020,09051df91c0a3ddcc90268,SI,HR,HEI_SI_1340,HEI_HR_1612,STUDY,90,963.85,1,0,0,1,1,3.6,1,ERASMUS_DASHBOARD,2021-07-30,2025-02-20
2015,2014_2020,205ee45516e619be38b2fa,CY,IT,HEI_CY_1345,HEI_IT_1621,YOUTH_EXCHANGE,47,832.45,1,0,1,1,0,4.72,1,NATIONAL_AGENCY_EXPORT,2021-08-22,2024-08-06
2016,2014_2020,4dab5c7f12d61452075e41,GR,ES,HEI_GR_1350,HEI_ES_1630,STAFF_TRAINING,64,1062.74,0,0,0,0,0,3.6,1,INSTITUTION_REPORTING,2021-09-14,2024-08-24
2017,2014_2020,ae9ab9fe246af027a24e57,MT,FR,HEI_MT_1355,HEI_FR_1639,STAFF_TEACHING,149,4053.86,0,0,0,0,1,3.58,1,ERASMUS_DASHBOARD,2021-10-07,2024-12-20
2018,2014_2020,98bae47af7d4c4848b7de6,ES,PL,HEI_ES_1360,HEI_PL_1648,BLENDED_INTENSIVE,119,1752.78,0,0,1,1,1,3.79,0,NATIONAL_AGENCY_EXPORT,2021-10-30,2025-06-04
2019,2014_2020,49d39c944c6a06ea4d9663,CZ,CY,HEI_CZ_1365,HEI_CY_1657,TRAINEESHIP,234,4649.7,0,0,0,0,0,4.32,1,INSTITUTION_REPORTING,2021-11-22,2024-07-09
2020,2014_2020,d26631213d522c4853b973,HU,LV,HEI_HU_1370,HEI_LV_1666,STUDY,202,5426.15,0,0,0,1,0,3.24,1,ERASMUS_DASHBOARD,2021-12-15,2024-05-21
2021,2021_2027,9d4769de03d962d5ea0663,NL,SE,HEI_NL_1375,HEI_SE_1675,YOUTH_EXCHANGE,123,3641.4,0,0,0,0,0,4.02,1,NATIONAL_AGENCY_EXPORT,2022-01-07,2024-10-18
2022,2021_2027,3f82d2af3870950edc01e5,SE,DE,HEI_SE_1380,HEI_DE_1684,STAFF_TRAINING,74,2008.2,0,0,0,0,1,4.64,0,INSTITUTION_REPORTING,2022-01-30,2025-01-04
2023,2021_2027,b3d664548ae32a1ab6dd2b,DK,PT,HEI_DK_1385,HEI_PT_1693,STAFF_TEACHING,112,3266.21,1,1,0,0,1,4.06,1,ERASMUS_DASHBOARD,2022-02-22,2025-07-08
2024,2021_2027,5dc7c98d67d9b8cfb7c74a,IE,CZ,HEI_IE_1390,HEI_CZ_1702,BLENDED_INTENSIVE,197,3375.25,0,0,0,1,0,4.25,0,NATIONAL_AGENCY_EXPORT,2022-03-17,2025-03-10
2025,2021_2027,f67257a9ccbd8d4ce33bce,PL,LT,HEI_PL_1395,HEI_LT_1711,TRAINEESHIP,282,7790.73,1,1,0,0,1,4.49,0,INSTITUTION_REPORTING,2022-04-09,2025-04-08
2006,2014_2020,2040eaa428f7b7d32069c8,AT,AT,HEI_AT_1400,HEI_AT_1720,STUDY,122,4222.71,0,0,0,1,0,3.6,0,ERASMUS_DASHBOARD,2022-05-02,2024-12-16
2007,2014_2020,014e74931d4113ee4fd6ab,EE,GR,HEI_EE_1405,HEI_GR_1729,YOUTH_EXCHANGE,114,3711.1,0,0,0,0,1,4.42,0,NATIONAL_AGENCY_EXPORT,2022-05-25,2026-02-14
2008,2014_2020,ad203fb6df902f788a205c,IT,RO,HEI_IT_1410,HEI_RO_1738,STAFF_TRAINING,34,761.52,1,0,0,0,1,4.32,1,INSTITUTION_REPORTING,2022-06-17,2024-07-13
2009,2014_2020,df2c4d78257bc8bd79e95f,PT,DK,HEI_PT_1415,HEI_DK_1747,STAFF_TEACHING,167,6307.45,0,0,0,0,1,4.72,0,ERASMUS_DASHBOARD,2022-07-10,2025-08-28
2010,2014_2020,bef3cfe674c692aae754ec,BE,LU,HEI_BE_1420,HEI_LU_1756,BLENDED_INTENSIVE,134,3838.84,0,0,0,1,0,3.99,1,NATIONAL_AGENCY_EXPORT,2022-08-02,2024-05-09
2011,2014_2020,a69431bf27429e1327d73d,FI,BE,HEI_FI_1425,HEI_BE_1765,TRAINEESHIP,137,4122.78,1,0,0,0,0,3.07,1,INSTITUTION_REPORTING,2022-08-25,2025-06-15
2012,2014_2020,1b6d00ff068eab2023fe0c,LV,HU,HEI_LV_1430,HEI_HU_1774,STUDY,319,6975.06,0,0,0,1,1,4.54,1,ERASMUS_DASHBOARD,2022-09-17,2025-06-23
2013,2014_2020,07f091b6161b4cbcffa506,RO,SK,HEI_RO_1435,HEI_SK_1783,YOUTH_EXCHANGE,90,2311.68,0,0,0,1,1,4.28,0,NATIONAL_AGENCY_EXPORT,2022-10-10,2024-03-11
2014,2014_2020,f8047cc15affa9c944260a,BG,EE,HEI_BG_1440,HEI_EE_1792,STAFF_TRAINING,37,919.96,1,0,0,0,0,4.8,0,INSTITUTION_REPORTING,2022-11-02,2025-10-26
2015,2014_2020,28421a239dd50edb839b9a,FR,MT,HEI_FR_1445,HEI_MT_1801,STAFF_TEACHING,183,3382.1,0,0,0,1,1,4.59,0,ERASMUS_DASHBOARD,2022-11-25,2024-03-09
2016,2014_2020,9a38bb342f5f6bae283b7b,LT,BG,HEI_LT_1450,HEI_BG_1810,BLENDED_INTENSIVE,19,408.9,0,0,0,1,1,3.61,0,NATIONAL_AGENCY_EXPORT,2022-12-18,2024-04-06
2017,2014_2020,ef57ef2a7e623755fd78bc,SK,IE,HEI_SK_1455,HEI_IE_1819,TRAINEESHIP,89,1400.06,0,0,0,0,1,3.84,0,INSTITUTION_REPORTING,2023-01-10,2024-08-18
2018,2014_2020,72324ab9415a91b40870fa,HR,SI,HEI_HR_1460,HEI_SI_1828,STUDY,27,794.59,0,0,0,0,1,3.71,0,ERASMUS_DASHBOARD,2023-02-02,2025-03-16
2019,2014_2020,563f0501e2c5a2ce92c271,DE,FI,HEI_DE_1465,HEI_FI_1837,YOUTH_EXCHANGE,107,1798.49,0,0,0,0,0,3.23,1,NATIONAL_AGENCY_EXPORT,2023-02-25,2025-12-28
2020,2014_2020,7e8aa103de17ef2abadb38,LU,NL,HEI_LU_1470,HEI_NL_1846,STAFF_TRAINING,188,6574.77,0,0,0,1,1,4.03,1,INSTITUTION_REPORTING,2023-03-20,2025-07-28
2021,2021_2027,f2cb7c8d83b7cf624d6f87,SI,HR,HEI_SI_1475,HEI_HR_1855,STAFF_TEACHING,188,4267.79,0,0,1,0,0,3.48,1,ERASMUS_DASHBOARD,2023-04-12,2024-07-22
2022,2021_2027,76c91d10c869d63b221943,CY,IT,HEI_CY_1480,HEI_IT_1864,BLENDED_INTENSIVE,143,4826.52,0,0,0,1,0,3.56,1,NATIONAL_AGENCY_EXPORT,2023-05-05,2024-04-23
2023,2021_2027,678181d3778e249e2bf1cd,GR,ES,HEI_GR_1485,HEI_ES_1873,TRAINEESHIP,340,3640.42,0,1,0,0,0,4.05,0,INSTITUTION_REPORTING,2023-05-28,2025-09-23
2024,2021_2027,a0bbc57244ca8e3ff536bf,MT,FR,HEI_MT_1490,HEI_FR_1882,STUDY,286,8177.74,0,1,0,1,1,3.56,1,ERASMUS_DASHBOARD,2023-06-20,2025-03-27
2025,2021_2027,a6898db84c86ee9b4a3c6b,ES,PL,HEI_ES_1495,HEI_PL_1891,YOUTH_EXCHANGE,49,1252.96,0,1,0,0,1,4.83,0,NATIONAL_AGENCY_EXPORT,2023-07-13,2024-09-02
2006,2014_2020,53711ae072e055589de683,CZ,CY,HEI_CZ_1500,HEI_CY_1900,STAFF_TRAINING,46,527.99,1,0,0,0,0,3.23,1,INSTITUTION_REPORTING,2023-08-05,2024-08-04
2007,2014_2020,93e6baced1587693a22dc3,HU,LV,HEI_HU_1505,HEI_LV_1909,STAFF_TEACHING,53,539.63,0,0,0,0,1,4.51,1,ERASMUS_DASHBOARD,2023-08-28,2024-04-07
2008,2014_2020,0afc765c1cb0204fd6e82e,NL,SE,HEI_NL_1510,HEI_SE_1918,BLENDED_INTENSIVE,87,2694.7,0,0,0,1,0,4.56,1,NATIONAL_AGENCY_EXPORT,2023-09-20,2024-05-02
2009,2014_2020,e0eedf4f9169e847cd0dba,SE,DE,HEI_SE_1515,HEI_DE_1927,TRAINEESHIP,56,649.89,0,0,0,0,1,4.56,1,INSTITUTION_REPORTING,2023-10-13,2024-12-20
2010,2014_2020,07d603a95f80c9b856c380,DK,PT,HEI_DK_1520,HEI_PT_1936,STUDY,47,473.91,0,0,0,1,0,3.54,1,ERASMUS_DASHBOARD,2023-11-05,2024-04-08
2011,2014_2020,7c019d1de6da42f3a5458e,IE,CZ,HEI_IE_1525,HEI_CZ_1945,YOUTH_EXCHANGE,97,2365.5,0,0,0,0,1,3.47,0,NATIONAL_AGENCY_EXPORT,2023-11-28,2025-06-04
2012,2014_2020,dfd8dcc1dcb46687b55898,PL,LT,HEI_PL_1530,HEI_LT_1954,STAFF_TRAINING,78,986.29,0,0,0,0,0,4.0,0,INSTITUTION_REPORTING,2023-12-21,2025-11-02
2013,2014_2020,3ebea5efa50d873cec7e20,AT,AT,HEI_AT_1535,HEI_AT_1963,STAFF_TEACHING,100,1627.77,0,0,0,0,0,4.64,0,ERASMUS_DASHBOARD,2024-01-13,2025-11-09
2014,2014_2020,8f791259988f67129ff6d1,EE,GR,HEI_EE_1540,HEI_GR_1972,BLENDED_INTENSIVE,183,3187.6,0,0,0,1,0,3.85,1,NATIONAL_AGENCY_EXPORT,2024-02-05,2024-03-10
2015,2014_2020,53fc02d6cec712c7f7d2f0,IT,RO,HEI_IT_1545,HEI_RO_1981,TRAINEESHIP,70,976.54,0,0,0,0,1,3.83,1,INSTITUTION_REPORTING,2024-02-28,2024-07-13
2016,2014_2020,1fff23606ff19b1839e7ba,PT,DK,HEI_PT_1550,HEI_DK_1990,STUDY,156,5515.21,0,1,0,0,1,4.98,0,ERASMUS_DASHBOARD,2024-03-22,2024-10-20
2017,2014_2020,59212bed637ed94bc35774,BE,LU,HEI_BE_1555,HEI_LU_1999,YOUTH_EXCHANGE,162,3032.72,0,0,0,0,1,4.41,1,NATIONAL_AGENCY_EXPORT,2024-04-14,2024-12-30
2018,2014_2020,43c0383cc628a907f3eae9,FI,BE,HEI_FI_1560,HEI_BE_2008,STAFF_TRAINING,185,5900.33,0,0,0,0,1,4.33,0,INSTITUTION_REPORTING,2024-05-07,2026-01-29
2019,2014_2020,1b85265fb43aa3d45bbb49,LV,HU,HEI_LV_1565,HEI_HU_2017,STAFF_TEACHING,51,1210.27,0,0,1,0,0,3.68,0,ERASMUS_DASHBOARD,2024-05-30,2025-09-30
2020,2014_2020,8f94253447d3f0be9cd3ba,RO,SK,HEI_RO_1570,HEI_SK_2026,BLENDED_INTENSIVE,129,3509.53,0,0,1,1,1,4.48,0,NATIONAL_AGENCY_EXPORT,2024-06-22,2025-04-18
2021,2021_2027,737b7c2bf672079ffa13af,BG,EE,HEI_BG_1575,HEI_EE_2035,TRAINEESHIP,130,4238.02,0,1,0,1,0,3.05,1,INSTITUTION_REPORTING,2024-07-15,2025-06-15
2022,2021_2027,2bd576b5cf0141493a746b,FR,MT,HEI_FR_1580,HEI_MT_2044,STUDY,128,2217.82,0,1,0,1,0,4.27,1,ERASMUS_DASHBOARD,2024-08-07,2025-07-03
2023,2021_2027,640276675e83ef0a437035,LT,BG,HEI_LT_1585,HEI_BG_2053,YOUTH_EXCHANGE,126,3091.66,0,0,0,0,1,3.66,1,NATIONAL_AGENCY_EXPORT,2024-08-30,2025-07-28
2024,2021_2027,f20efd6dfcde42bef9f269,SK,IE,HEI_SK_1590,HEI_IE_2062,STAFF_TRAINING,25,988.45,1,0,0,0,1,4.95,1,INSTITUTION_REPORTING,2024-09-22,2025-07-13
2025,2021_2027,ea265c4fa2f5182aec0ec8,HR,SI,HEI_HR_1595,HEI_SI_2071,STAFF_TEACHING,118,4132.56,0,1,0,0,1,4.71,1,ERASMUS_DASHBOARD,2024-10-15,2026-01-29
2006,2014_2020,9e28b17591a9e860824378,DE,FI,HEI_DE_1600,HEI_FI_2080,BLENDED_INTENSIVE,101,1802.63,0,0,0,1,1,3.48,1,NATIONAL_AGENCY_EXPORT,2024-11-07,2025-07-03
2007,2014_2020,e507bfb0142ba54d2219b2,LU,NL,HEI_LU_1605,HEI_NL_2089,TRAINEESHIP,86,1682.78,0,0,0,0,1,3.73,1,INSTITUTION_REPORTING,2024-11-30,2024-02-25
2008,2014_2020,d3cfee4e10f5a3388e7823,SI,HR,HEI_SI_1610,HEI_HR_2098,STUDY,88,812.43,0,0,0,1,1,4.61,1,ERASMUS_DASHBOARD,2024-12-23,2025-12-05
2009,2014_2020,7ff5b47c09611f3d73ce48,CY,IT,HEI_CY_1615,HEI_IT_2107,YOUTH_EXCHANGE,62,595.84,0,0,0,0,1,3.68,1,NATIONAL_AGENCY_EXPORT,2025-01-15,2024-11-14
2010,2014_2020,2c9ab8668ee900c5432397,GR,ES,HEI_GR_1620,HEI_ES_2116,STAFF_TRAINING,180,3737.94,0,1,0,0,1,3.36,1,INSTITUTION_REPORTING,2025-02-07,2025-07-31
