gov_gfs_reference_year,gov_gfs_country_iso2,gov_gfs_gov_subsector_code,gov_gfs_revenue_total_eur,gov_gfs_expenditure_total_eur,gov_gfs_compensation_employees_eur,gov_gfs_social_benefits_eur,gov_gfs_interest_payments_eur,gov_gfs_gross_fixed_capital_formation_eur,gov_gfs_taxes_on_production_imports_eur,gov_gfs_current_taxes_on_income_wealth_eur,gov_gfs_social_contributions_eur,gov_gfs_capital_taxes_eur,gov_gfs_property_income_eur,gov_gfs_subsidies_eur,gov_gfs_net_lending_borrowing_eur,gov_gfs_function_cofog_code,gov_gfs_eurostat_table_code,gov_gfs_revision_round,gov_gfs_data_extract_date
2016,AT,S1313_LOCAL,59938627762.03,67578608299.09,19255447203.71,29762892603.18,2950273499.92,2722290335.7,9793189477.17,15322407488.57,8426914275.52,906979182.11,1260973294.36,3664503801.67,-7639980537.05,GF07_HEALTH,gov_10a_rev,SECOND,2025-11-07
2017,CZ,S1312_STATE,979419566498.78,1166117487664.25,302375551968.49,487386294201.06,69224640550.3,101291954679.99,239521110996.81,223740876670.7,209113221655.46,15335244333.46,21171422757.86,28802259236.62,-186697921165.46,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-07-30
2018,DE,S1311_CENTRAL,527765915600.69,554109481632.11,115683241185.22,160501764619.68,23870879650.77,54786086185.79,114996966153.85,136041122033.84,97102124308.94,5859591739.43,26517150900.96,28402597787.15,-26343566031.42,GF09_EDUCATION,gov_10a_main,FLASH,2025-05-19
2019,LV,S1314_SOCIAL_SECURITY,1309707409630.91,1399487265147.63,455892007319.79,411976361042.04,74300234268.78,72551437515.89,414500100867.41,407925378146.26,194527474780.39,10944741444.13,96039045671.44,27952535570.2,-89779855516.72,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-07-31
2020,PL,S1313_LOCAL,1190171330045.39,1373734454194.48,321574870593.21,314668329467.41,28192898070.04,46418904734.83,343140663156.56,395484896751.56,256348399477.71,13843563533.97,77124861436.33,41031651047.65,-183563124149.09,GF01_GENERAL,gov_10a_rev,SECOND,2025-09-29
2021,ES,S1312_STATE,1556971946000.33,1660174274525.44,353558863926.77,659455919044.5,26481886626.34,152746086789.13,497466548440.77,317501736678.96,167735438914.49,3096042410.5,86697389609.26,26461988389.06,-103202328525.11,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-06-29
2022,HR,S1311_CENTRAL,1070664588941.29,1207617522294.02,197087827304.98,524285196451.51,54248927188.66,37326555167.76,292370510856.43,194177015957.42,294121443061.56,4310753278.07,36486501673.6,57787658393.07,-136952933352.73,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2025-06-03
2023,FI,S1314_SOCIAL_SECURITY,1018521386539.97,1046128218405.71,380712404317.01,411304006951.21,29471933741.65,48951674322.9,278870700872.22,258921851399.46,253521638849.77,27977775789.08,19069112031.82,14587595266.01,-27606831865.74,GF04_ECONOMIC,gov_10a_exp,FIRST,2026-02-18
2024,IE,S1313_LOCAL,971637875955.58,1135652635119.2,309895471780.37,275423334816.4,35338356203.0,53015536949.11,265783385218.37,276797392500.66,128450540684.78,13435295036.35,19935049215.75,46885126656.04,-164014759163.62,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-11-12
2025,MT,S1312_STATE,226430153137.51,210758283580.22,47979705185.84,75874780713.1,4941307877.03,13861510884.38,35746523247.32,36113105645.83,54663446905.96,3606091954.99,6784104530.77,12484546197.9,15671869557.29,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-11-20
2026,SK,S1311_CENTRAL,366893316615.65,425637929896.54,84960743802.04,122883944835.13,26246568542.35,35724853533.6,99213579051.56,101370859230.36,93745069993.24,2253995973.59,11153950851.84,10768433364.71,-58744613280.89,GF07_HEALTH,gov_10a_main,FLASH,2026-01-23
2010,BE,S1314_SOCIAL_SECURITY,1149252216802.14,1395920926673.64,374435518128.2,630027207034.58,16549758015.34,84566600670.96,290557355727.38,370266961027.38,311257490109.11,22455407940.25,39946935704.7,81284039252.56,-246668709871.5,GF08_RECREATION,gov_10a_exp,FIRST,2024-03-07
2011,DK,S1313_LOCAL,432141086441.23,431219068473.81,163963584370.27,195812375358.65,16095528497.97,15200629258.94,69204487770.56,117507738046.85,36528440798.97,7729829105.99,31128277929.03,16788847034.52,922017967.42,GF09_EDUCATION,gov_10a_rev,SECOND,2024-06-01
2012,GR,S1312_STATE,382566884027.96,410111803119.71,79712449935.94,164965061222.81,28000640589.95,20297134712.04,80835752151.67,70442440867.57,35952362590.71,6440740313.78,8183520277.65,23085624950.76,-27544919091.75,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-11-05
2013,LT,S1311_CENTRAL,422423034008.04,404798791092.8,110855432387.73,152607792083.11,8538489166.91,36825527506.8,69635241422.16,115329479318.14,91681677951.93,11661343289.56,32451756638.76,11905780164.51,17624242915.24,GF01_GENERAL,gov_10a_main,FLASH,2024-07-17
2014,PT,S1314_SOCIAL_SECURITY,1826602934199.78,2057586947272.71,625624674168.82,521578297852.92,72769509018.52,180458169626.55,502679153286.82,452609629295.21,505246257420.79,53271560031.29,138237703101.38,27422605691.91,-230984013072.93,GF02_DEFENCE,gov_10a_exp,FIRST,2024-04-28
2015,SE,S1313_LOCAL,384819807640.68,407327455681.26,104906078225.68,102151834561.53,17580564101.49,35315087192.06,76095081640.26,71781349185.61,40209014805.6,8633433190.41,25027296066.57,9569905774.65,-22507648040.58,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2024-04-18
2016,CY,S1312_STATE,272159275115.62,265036565332.54,51097917186.31,95547872113.47,14679800256.3,16354065604.18,86625704110.13,49854950320.31,65243042761.99,7894377994.61,21224805729.45,12410332719.57,7122709783.08,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2024-08-14
2017,FR,S1311_CENTRAL,847419741152.61,920259817944.99,266659226906.42,425900325438.78,24207889301.98,90960455324.86,211077397394.09,162833764871.53,119899006343.11,2555957413.5,23339023089.1,44943788189.38,-72840076792.38,GF05_ENVIRONMENT,gov_10a_main,FLASH,2024-03-04
2018,IT,S1314_SOCIAL_SECURITY,385660020298.75,356273831038.81,103438577037.64,129915255316.85,20176255006.18,16074654473.93,72825335492.38,55437705407.97,82662272334.81,2076499712.05,12754950370.72,10815075107.27,29386189259.93,GF06_HOUSING,gov_10a_exp,FIRST,2025-11-19
2019,NL,S1313_LOCAL,352076334094.08,414463044008.13,94900123625.11,188199527854.25,27988339275.17,34678336865.69,83964304895.3,72525126175.25,39361604873.45,4311667928.41,25583695567.17,17953092586.85,-62386709914.05,GF07_HEALTH,gov_10a_rev,SECOND,2024-04-13
2020,SI,S1312_STATE,1360010853627.51,1306863250209.17,307119614180.52,555251321340.63,83984572642.62,100043644521.75,339156173313.2,413788126886.66,139152465684.15,9045610024.6,98904730482.43,71446151841.19,53147603418.34,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2024-10-08
2021,BG,S1311_CENTRAL,709851274512.56,695712429287.9,130771750275.08,199070255077.33,12437008521.44,68991108470.01,180911265378.15,133344049000.69,59755642220.69,19808229418.18,44867533657.6,23682382609.92,14138845224.67,GF09_EDUCATION,gov_10a_main,FLASH,2024-09-15
2022,EE,S1314_SOCIAL_SECURITY,954958971547.2,978129321065.53,235512385786.58,288032283478.5,20143925743.51,39590509915.09,265027284549.78,160074314591.65,224473890078.25,7695471852.23,21455750789.02,47806292709.66,-23170349518.32,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-07-26
2023,HU,S1313_LOCAL,274459136307.88,326749238591.9,56706587231.98,155907086389.08,11003781838.9,13879500638.59,42103581458.49,88208405453.7,26203357729.94,6283260983.69,8363567188.97,19447010512.37,-52290102284.03,GF01_GENERAL,gov_10a_rev,SECOND,2026-01-06
2024,LU,S1312_STATE,660171967721.08,738734498933.58,220375205809.94,353504455288.84,40268299262.79,71470616581.13,166893686528.18,178988069398.17,181767410742.88,3675642674.96,37992512923.61,8187424480.96,-78562531212.51,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-08-11
2025,RO,S1311_CENTRAL,574306491874.8,599981205385.58,205957265224.25,190198522560.74,26191952140.73,24087996298.61,179516937535.48,191500906283.1,66350248592.1,9121950907.34,29691391192.33,17866247187.58,-25674713510.78,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2024-01-01
2026,AT,S1314_SOCIAL_SECURITY,973912087461.54,1060845093551.3,200538917204.18,355833252573.31,34173688862.07,92623788843.86,218998189963.18,209784057070.2,148837181622.35,27277417868.94,49007416056.7,22928160127.2,-86933006089.75,GF04_ECONOMIC,gov_10a_exp,FIRST,2025-10-09
2010,CZ,S1313_LOCAL,282334342206.17,339017936971.32,74118536718.84,131826670340.66,10158965783.55,13094728043.89,79965424245.32,64681637160.64,31015960895.62,1975630329.22,4369335264.01,9176933759.71,-56683594765.14,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2024-02-19
2011,DE,S1312_STATE,759264020192.63,836781449792.88,279782540533.44,326152565945.67,58369126962.93,74518705852.91,179732429496.64,235227968702.19,86974267713.45,10659543240.45,51623576250.96,49453392364.17,-77517429600.25,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-09-19
2012,LV,S1311_CENTRAL,527627971446.83,617723579390.51,171519947108.2,263434919577.58,8924981632.12,34538180103.19,133438773177.69,145422099533.25,82471823108.94,9612667319.31,27657481033.79,10477438398.37,-90095607943.68,GF07_HEALTH,gov_10a_main,FLASH,2026-02-24
2013,PL,S1314_SOCIAL_SECURITY,557001007932.09,545254561503.46,184071890331.61,197878010463.03,6318363068.63,31381320175.43,94075268762.35,182166428023.05,78543171156.98,11729699672.84,11755305579.09,6654615688.65,11746446428.64,GF08_RECREATION,gov_10a_exp,FIRST,2025-03-01
2014,ES,S1313_LOCAL,599110010319.58,626268973511.12,176003347091.55,202291584327.38,39810849229.67,19385944877.89,173685894239.38,113541640713.38,118807450065.46,12369243656.77,40437305232.34,18876895874.92,-27158963191.54,GF09_EDUCATION,gov_10a_rev,SECOND,2025-06-20
2015,HR,S1312_STATE,544969923514.64,548079097803.64,107205181319.39,226655461106.73,22842690575.15,44015932952.45,151455148092.26,169878268831.66,146753708624.99,1668879836.96,16438564524.76,8396502739.67,-3109174289.0,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2025-03-11
2016,FI,S1311_CENTRAL,981865082509.75,951003148126.78,208917586635.15,404662825595.51,32623171751.32,92268290222.64,194102615354.91,315180588858.98,178701169354.25,23240903528.03,18349916040.39,26004062278.87,30861934382.97,GF01_GENERAL,gov_10a_main,FLASH,2025-07-03
2017,IE,S1314_SOCIAL_SECURITY,482669811804.25,581170475494.3,125881864913.08,268417911385.35,27486783729.39,52685470805.26,107071776401.34,121503642173.6,101657497535.91,11356248004.92,19173845952.87,30060797140.02,-98500663690.05,GF02_DEFENCE,gov_10a_exp,FIRST,2025-10-05
2018,MT,S1313_LOCAL,1185058525816.56,1422296162540.08,441763908858.79,631906381217.3,32749331335.4,63907146607.91,329627342142.86,176974760290.07,271386530240.66,24346801553.37,92937700310.06,62963520764.41,-237237636723.53,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2024-12-22
2019,SK,S1312_STATE,472817976598.16,543740817696.09,117028486614.77,144582966574.28,10755651403.75,23919227324.93,128145129251.84,122008625562.94,43629329669.93,11279558470.66,36554460515.14,22475030767.71,-70922841097.93,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2026-01-06
2020,BE,S1311_CENTRAL,1133870787993.21,1137500260013.04,364776978943.92,319867908990.3,28330440286.6,105211795202.88,316281532366.01,289095374970.0,117260300633.02,11790650450.44,19536798003.74,64372087177.79,-3629472019.83,GF05_ENVIRONMENT,gov_10a_main,FLASH,2025-11-19
2021,DK,S1314_SOCIAL_SECURITY,419430498942.94,504278267215.32,96998688641.97,170053967771.6,8383794466.43,27883400517.29,106677427798.98,129965348477.11,52626780954.06,10156413684.97,4614277917.07,24792421668.98,-84847768272.37,GF06_HOUSING,gov_10a_exp,FIRST,2024-12-05
2022,GR,S1313_LOCAL,840727298468.66,948006817650.12,270118848323.96,298063623760.34,31663794172.66,72080209563.05,170540764721.14,240247692937.98,223061089338.07,17085178527.69,10128021014.69,42755026704.37,-107279519181.46,GF07_HEALTH,gov_10a_rev,SECOND,2026-02-08
2023,LT,S1312_STATE,295239610600.71,348424129644.47,90708271739.59,140685645720.68,3736049985.6,21062154203.9,79869195371.54,54812418724.82,80782886226.87,3105046125.38,8300676588.73,14977251365.75,-53184519043.76,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-10-31
2024,PT,S1311_CENTRAL,1063753125467.21,1125445178112.06,256991003532.38,397730442102.85,56284440346.29,82089020030.19,223730238385.92,181038700560.1,220969334291.13,29432767972.61,76940810886.68,31283347356.08,-61692052644.85,GF09_EDUCATION,gov_10a_main,FLASH,2024-04-24
2025,SE,S1314_SOCIAL_SECURITY,1054421719079.16,1165206595241.1,285229053126.95,507058700307.93,66231157609.46,99130312279.96,192815909173.44,176989190196.57,191162085477.55,7162650366.93,29051851015.95,24785031316.36,-110784876161.94,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-09-04
2026,CY,S1313_LOCAL,1118085520398.59,1278140143342.65,420278475491.1,396700442459.79,43124042094.71,120230950451.85,342462593124.72,207732774290.81,180637001138.31,10699057484.16,71352620374.6,28889550745.44,-160054622944.06,GF01_GENERAL,gov_10a_rev,SECOND,2025-11-05
2010,FR,S1312_STATE,553665526259.45,533598581055.07,140806717956.89,149596475328.34,28364516584.12,50662579265.79,94642310997.79,96970374052.39,55679942905.69,7650011134.24,13720044916.15,14466405914.17,20066945204.37,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-01-23
2011,IT,S1311_CENTRAL,449029833621.88,511555202006.37,127618971907.89,160709333967.15,19631858941.82,42317722777.73,75544029183.42,138467648573.68,47527315394.77,6676933692.5,18212966509.57,25266154422.38,-62525368384.48,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2024-06-06
2012,NL,S1314_SOCIAL_SECURITY,183114642650.44,194374964610.71,59698025176.21,79562792426.71,12866896904.67,19245931633.15,55278734512.32,45354799677.23,36768220734.64,1245406756.13,4187207615.73,9144658423.33,-11260321960.28,GF04_ECONOMIC,gov_10a_exp,FIRST,2025-05-29
2013,SI,S1313_LOCAL,1312399897002.22,1571536256543.31,451297394762.2,388096884111.07,28936034160.06,68351462999.95,304971800045.64,261486662177.5,283289872403.77,37277047659.25,97667678119.38,69287103772.79,-259136359541.09,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2025-10-14
2014,BG,S1312_STATE,743497258300.84,706781033105.16,214870927976.29,338755697456.59,11321473509.96,50884042481.4,173030743037.86,113889927983.81,112792188538.34,6688757136.59,32874339988.6,33794453236.13,36716225195.69,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2024-03-13
2015,EE,S1311_CENTRAL,58129181976.11,68661914947.7,19130080206.55,28958992077.69,3649145537.89,6499993161.87,11521344135.85,9401808492.44,15337525903.2,1539228090.03,2654045647.81,2665474735.39,-10532732971.59,GF07_HEALTH,gov_10a_main,FLASH,2025-01-19
2016,HU,S1314_SOCIAL_SECURITY,248614937614.73,290890930794.29,86558033794.16,71641929637.48,7389336634.53,17596142310.94,38643079095.52,79294509682.01,54965366147.35,4578128370.84,6587473408.1,14431093218.06,-42275993179.57,GF08_RECREATION,gov_10a_exp,FIRST,2025-10-12
2017,LU,S1313_LOCAL,872989041863.72,1044016392053.94,223880402412.36,432758896834.15,68544346387.59,35380110845.06,140026320704.84,186821373665.34,216125764633.51,13283259828.41,31183455449.43,25363813282.62,-171027350190.22,GF09_EDUCATION,gov_10a_rev,SECOND,2025-07-23
2018,RO,S1312_STATE,967179087996.57,1118734465093.45,364805036749.54,426614612261.44,37914469284.82,65908255944.65,225943539873.61,187969957477.5,197851894897.88,19803797767.89,24351278658.05,65284884691.76,-151555377096.88,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2024-02-26
2019,AT,S1311_CENTRAL,1235620841761.48,1241472902270.79,249345717933.58,283589841443.09,46856643517.28,101647163735.07,291279285132.87,400878036280.38,139063077894.98,5914276943.91,57925962840.48,42412693687.54,-5852060509.31,GF01_GENERAL,gov_10a_main,FLASH,2025-07-09
2020,CZ,S1314_SOCIAL_SECURITY,647929858436.84,638182330180.46,215044267141.82,242951913742.82,26100727964.87,61100312294.22,172579975681.32,105796529519.35,155622219838.79,6282916104.71,30936710786.97,26768969650.58,9747528256.38,GF02_DEFENCE,gov_10a_exp,FIRST,2025-01-15
2021,DE,S1313_LOCAL,469649922143.05,433462945542.85,98758293578.62,188376294014.08,20385698096.33,25570847040.87,73647048136.58,151240229057.01,52697321451.89,10764649974.83,33652549237.11,23707742457.89,36186976600.19,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2025-10-15
2022,LV,S1312_STATE,478659993668.21,517738013156.35,110066146335.8,184314279543.97,21472402411.74,28371543856.23,87639500664.4,123382480608.58,122160405533.79,13017904769.18,7254441035.52,25572383767.51,-39078019488.14,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2024-02-15
2023,PL,S1311_CENTRAL,589200431573.62,563143046080.63,197399491708.4,191404515810.59,23659474967.74,45779253206.76,145530813608.33,116431821859.03,93356744477.05,16866025817.77,41332083698.01,33340894184.43,26057385492.99,GF05_ENVIRONMENT,gov_10a_main,FLASH,2025-05-22
2024,ES,S1314_SOCIAL_SECURITY,801372973350.47,771280155060.59,234963257458.99,248951802989.25,43757003189.03,29002837514.89,249192470181.71,192832283536.72,105255971460.75,2738986011.35,47666053882.49,26176231534.1,30092818289.88,GF06_HOUSING,gov_10a_exp,FIRST,2025-01-07
2025,HR,S1313_LOCAL,970961372519.87,980132825130.51,193299895541.31,438621799691.19,39310757451.41,49701607943.93,185715273568.27,184774435020.7,267807532178.77,8933741608.36,66806663805.79,31262900439.35,-9171452610.64,GF07_HEALTH,gov_10a_rev,SECOND,2024-10-01
2026,FI,S1312_STATE,1306218597160.5,1229704758861.9,430788512154.64,273766551155.57,76340145468.47,59984229342.26,388487414415.35,305545289223.48,144901389960.86,15521466146.9,36226505414.89,48748231078.74,76513838298.6,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2024-05-07
2010,IE,S1311_CENTRAL,1354313433071.46,1449521797369.58,320376538937.9,589408748992.77,94510707857.08,137468901957.56,341159226745.96,354355224318.09,111332859872.41,33086826934.03,48662462026.15,32435865188.19,-95208364298.12,GF09_EDUCATION,gov_10a_main,FLASH,2025-07-06
2011,MT,S1314_SOCIAL_SECURITY,1250073765110.08,1252181870347.58,454128769878.44,446996914645.21,42250034713.58,86146174255.06,336246853689.11,222412523195.6,300899511342.98,30577660680.19,80174242619.02,69438991688.92,-2108105237.5,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2025-01-10
2012,SK,S1313_LOCAL,625280991514.0,728707706597.4,178381344844.12,311538392936.75,45037226346.61,27537944122.69,152110997628.07,208407137848.13,75911881272.16,5754307965.61,47197263191.64,35720218450.41,-103426715083.4,GF01_GENERAL,gov_10a_rev,SECOND,2025-09-15
2013,BE,S1312_STATE,823652179125.26,896137930359.97,165240986552.62,344980587764.71,58378939775.53,68673473228.93,163989872832.89,269693398452.13,183332898554.57,605870857.37,19541190407.69,26319125372.7,-72485751234.71,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2025-05-10
2014,DK,S1311_CENTRAL,875700443170.25,867125453545.91,189461284438.05,242120348915.52,14991809511.77,68936356160.4,139410756881.86,234053438074.85,74310801700.19,10130238809.12,61931903871.8,40104162529.57,8574989624.34,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2024-02-08
2015,GR,S1314_SOCIAL_SECURITY,265899184336.5,305461431225.34,75331234960.84,112225673341.62,4167014403.32,20545017639.29,55747502769.24,74459042905.27,68137401825.0,2713604385.42,2853430178.17,13161273442.31,-39562246888.85,GF04_ECONOMIC,gov_10a_exp,FIRST,2024-02-04
2016,LT,S1313_LOCAL,731197497980.16,860766195656.25,251916277114.66,358749547801.03,40765187765.42,56164038579.54,211523242431.36,110471617576.59,133348894653.28,8678289263.9,19961919763.58,16361791270.77,-129568697676.09,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2024-01-06
2017,PT,S1312_STATE,856500979965.77,1006664383448.82,321076259193.18,419834291966.86,18065438036.88,62021901176.8,270691908341.88,159368399425.11,90193275076.61,22561526556.76,32040526668.23,26567251764.13,-150163403483.05,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2024-04-21
2018,SE,S1311_CENTRAL,208690672952.45,198369131800.45,49370579535.92,94744541204.53,6890525606.69,10818033609.7,41581417442.23,67788039285.46,17244999196.07,3473232662.41,6565050682.93,11334952955.83,10321541151.99,GF07_HEALTH,gov_10a_main,FLASH,2026-01-16
2019,CY,S1314_SOCIAL_SECURITY,872329350877.22,894358635118.93,302602981821.6,389444305998.07,42763883940.92,34219995763.7,224738105342.81,189155263505.07,177789999802.9,25484463516.32,41510336453.06,44915783111.33,-22029284241.71,GF08_RECREATION,gov_10a_exp,FIRST,2025-03-13
2020,FR,S1313_LOCAL,281565521901.58,265637374483.53,60431345284.97,84376832931.93,18350701877.21,20334076949.31,43547140505.68,57755070791.73,64006224421.04,3297568160.47,4452196192.39,7782592747.38,15928147418.05,GF09_EDUCATION,gov_10a_rev,SECOND,2025-03-09
2021,IT,S1312_STATE,752311990642.52,836312956661.17,214772339613.98,212470710629.04,39607431524.45,32783856265.97,156188308363.57,179033997928.24,181449574015.58,15017020370.43,55179259248.46,42132238528.51,-84000966018.65,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2024-10-26
2022,NL,S1311_CENTRAL,509961812574.7,561554287159.82,141781662699.37,147960939189.47,25921098053.66,46828293636.86,82332413354.3,122562227370.28,117374633633.51,5279478864.66,21129919116.63,30073637294.95,-51592474585.12,GF01_GENERAL,gov_10a_main,FLASH,2026-01-26
2023,SI,S1314_SOCIAL_SECURITY,115742332100.56,127149225922.95,34953433417.01,57237259341.33,5492403204.62,8430150436.82,34475369305.12,35323389909.7,15431392663.02,1819481133.13,2308233817.33,3415741025.38,-11406893822.38,GF02_DEFENCE,gov_10a_exp,FIRST,2026-02-10
2024,BG,S1313_LOCAL,172787835173.18,178729850008.79,37795524542.64,65196769018.96,11886735931.98,12422834703.96,54755190774.85,34171810642.33,20346977023.55,561936800.74,11712980105.42,6861933641.81,-5942014835.62,GF03_PUBLIC_ORDER,gov_10a_rev,SECOND,2024-12-14
2025,EE,S1312_STATE,104496929102.94,117985353728.97,33525443588.15,38879479455.16,1828012836.28,11412697508.82,27936270149.32,20118666819.67,14301317733.16,783005350.31,3892512144.15,6175213438.8,-13488424626.04,GF04_ECONOMIC,gov_10a_taxag,BENCHMARK,2024-12-07
2026,HU,S1311_CENTRAL,889883065927.57,944781123294.26,229583906614.94,372463700925.64,58855479675.0,28641595317.33,234532406990.51,259920625968.37,158780022717.51,13781988793.67,13697572308.1,48713433260.9,-54898057366.69,GF05_ENVIRONMENT,gov_10a_main,FLASH,2024-12-15
2010,LU,S1314_SOCIAL_SECURITY,1024092316852.44,1087279416981.6,347695969377.0,471348674409.48,20599914938.04,82845066810.26,283909899087.28,176084396563.42,175075513342.87,27851367914.75,65756874808.73,33707887160.97,-63187100129.16,GF06_HOUSING,gov_10a_exp,FIRST,2026-02-15
2011,RO,S1313_LOCAL,1287601053186.27,1447477627678.15,283112397735.65,343178522229.36,45563887496.72,54364047989.18,226273965146.8,193339197782.91,267680580588.24,36238593803.3,24571183923.14,16206238072.71,-159876574491.88,GF07_HEALTH,gov_10a_rev,SECOND,2024-10-12
2012,AT,S1312_STATE,542764933743.59,642843764154.63,184324084047.13,242769982360.28,24616723456.75,44329472924.85,107160337407.92,150499682097.79,49931413134.0,13975685724.62,21461718560.18,13401825206.67,-100078830411.03,GF08_RECREATION,gov_10a_taxag,BENCHMARK,2025-09-23
2013,CZ,S1311_CENTRAL,233974562292.07,281436703222.43,43130491905.12,76795994559.8,15130225220.49,8589395225.72,69889552312.84,58462359629.6,60383848320.96,4652509687.57,17068996934.71,11492773640.8,-47462140930.35,GF09_EDUCATION,gov_10a_main,FLASH,2024-09-11
2014,DE,S1314_SOCIAL_SECURITY,342429192871.39,347902193786.26,80072487512.5,141464609038.17,21742782321.61,32709901718.59,62520344259.56,110895046057.41,47835599292.19,1437447289.07,25015617347.96,19438123101.16,-5473000914.87,GF10_SOCIAL_PROTECTION,gov_10a_exp,FIRST,2024-12-15
2015,LV,S1313_LOCAL,488954329912.74,511389343924.87,159598856974.45,122325023251.76,18825507767.74,16677972132.09,152428703379.78,125324155033.28,71073124857.77,2426925735.34,37799897652.49,14445428280.53,-22435014012.13,GF01_GENERAL,gov_10a_rev,SECOND,2025-05-18
2016,PL,S1312_STATE,84371751020.73,97253096460.73,25183396892.87,29899125853.54,1211302055.81,7527660332.13,16043693116.57,12889152738.29,14022932083.94,1981579910.31,5024877035.15,1883362139.29,-12881345439.99,GF02_DEFENCE,gov_10a_taxag,BENCHMARK,2024-04-30
2017,ES,S1311_CENTRAL,1307819066138.83,1489642522654.49,296162647276.74,464087032938.49,37748437954.12,91747521422.64,237283098853.86,443157508013.75,142463421495.81,26716995128.5,87824748042.24,45595154151.05,-181823456515.66,GF03_PUBLIC_ORDER,gov_10a_main,FLASH,2025-03-08
2018,HR,S1314_SOCIAL_SECURITY,648904756375.97,662228575186.83,127763616401.9,305923933313.72,23145603117.24,38037827626.06,134048107160.7,206498505157.75,60361532868.79,4395149812.37,43850198016.17,20223173959.87,-13323818810.86,GF04_ECONOMIC,gov_10a_exp,FIRST,2025-07-09
2019,FI,S1313_LOCAL,326471460994.99,375797182465.52,114703082563.62,89934925906.53,20416161889.01,12802828501.01,95361907520.87,93483178583.18,75638189126.01,4066164419.37,16849804081.54,17718252241.12,-49325721470.54,GF05_ENVIRONMENT,gov_10a_rev,SECOND,2026-02-20
2020,IE,S1312_STATE,1135544599769.33,1294206193671.84,227023809948.93,325303640620.28,36755045440.36,63222776696.92,287947204445.23,331020504525.54,268521892605.6,17556524937.47,42630300626.18,23917042276.3,-158661593902.52,GF06_HOUSING,gov_10a_taxag,BENCHMARK,2025-10-02
2021,MT,S1311_CENTRAL,464201615223.42,480728265703.66,160047712221.33,197925051513.49,10891267704.42,28709680828.68,115756170583.82,96019511558.88,122968478549.14,7450314892.79,23114612953.75,5952095122.28,-16526650480.24,GF07_HEALTH,gov_10a_main,FLASH,2024-08-17
2022,SK,S1314_SOCIAL_SECURITY,1378228707506.14,1659004165863.26,494178276015.6,591010718034.43,35884212049.26,119675041005.83,238311822526.56,400283085504.18,155415175603.28,34859782604.92,43219327662.08,51354915641.65,-280775458357.12,GF08_RECREATION,gov_10a_exp,FIRST,2024-10-07
2023,BE,S1313_LOCAL,307737714586.45,363186040389.9,115853641438.35,139716654733.32,19478192593.63,24559734273.39,66394044119.5,73160668340.96,36889839073.92,544943520.12,16459637179.21,19162149975.03,-55448325803.45,GF09_EDUCATION,gov_10a_rev,SECOND,2025-07-03
2024,DK,S1312_STATE,1188059922139.39,1161127240959.31,238552934428.51,459787677058.0,27130862782.22,42432775794.25,344374859214.77,386326090918.86,196410027904.87,16550985319.8,72383108507.46,24240509507.33,26932681180.08,GF10_SOCIAL_PROTECTION,gov_10a_taxag,BENCHMARK,2024-02-22
2025,GR,S1311_CENTRAL,436583722205.93,506088011120.99,145001933581.29,182551377992.02,10981108863.3,20371576951.34,133884393262.16,88006866167.16,56418458047.34,9041430912.96,22287432327.84,20620677015.09,-69504288915.06,GF01_GENERAL,gov_10a_main,FLASH,2026-01-03
