ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_usd,ag_econ_operating_expenses_usd,ag_econ_net_farm_income_usd,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_usd,ag_econ_land_rent_paid_usd,ag_econ_machinery_depreciation_usd,ag_econ_labor_hired_cost_usd,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_usd,ag_econ_crop_insurance_indemnities_usd,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2021,CORPORATE,215409250.51,147164953.33,68472211.07,1.65,4893690.84,3429425.76,3718982.83,4308364.36,143.21,238.68,107.67,111.61,7784743.39,12732636.34,3.488,-24.073,1.66,1
2004,FAMILY,100624974.72,58026728.44,42357616.05,1.5375,7740573.87,3209733.08,3069108.34,8067985.11,69.66,241.03,191.51,226.48,18025300.94,3592973.56,5.828,0.108,11.27,0
2012,CORPORATE,173489635.12,135049787.67,38233065.82,1.0484,245177.9,3426018.37,3619522.81,11772855.06,112.3,92.68,187.44,114.69,20722960.07,16173686.91,1.533,33.002,36.54,0
2016,FAMILY,76775678.58,51187360.28,25455253.34,0.5856,5183294.61,5471945.03,4466204.31,247670.22,182.87,141.08,148.92,237.69,21952016.5,14720072.57,5.604,-16.926,85.75,0
2010,CORPORATE,43559750.98,37301368.03,6082951.27,0.5826,2831493.76,5957994.75,2816321.21,11195480.45,163.87,244.79,139.78,219.87,24873831.71,11489931.56,2.603,26.477,20.9,0
2013,FAMILY,11665560.99,9537359.75,2146637.3,0.4498,1035373.44,4734170.07,809496.28,5245666.78,156.5,149.05,121.72,87.76,13181291.69,9371649.43,4.543,33.538,5.04,1
2011,TRUST,153892512.57,91770745.42,62087122.43,1.3096,5690288.73,4808721.07,1656896.13,5401943.5,115.74,94.93,140.14,213.45,21891288.25,9938155.65,2.249,-12.571,18.49,0
2004,COOPERATIVE,149436069.03,112348937.55,37326777.28,0.3135,4141640.61,731536.21,4748315.42,1646061.96,98.84,98.49,107.59,119.25,13478907.33,1633577.05,3.366,-19.964,4.32,0
2012,FAMILY,120581166.6,92582606.31,28227343.83,0.5412,7770399.82,2192251.37,2120263.63,5292011.0,99.71,200.83,175.95,157.48,12733351.54,80283.39,4.011,-15.292,12.83,0
2017,FAMILY,43534181.2,36744963.32,7008716.17,0.3424,3029964.53,2729429.54,2486147.04,4389480.84,132.81,186.74,208.39,122.47,21501609.6,9628602.7,5.09,-14.148,86.6,0
2017,FAMILY,227332345.69,134504198.81,92706187.47,0.1272,2284926.18,3508515.41,2936053.32,3386070.33,110.4,65.28,129.42,97.17,9918704.69,17048731.38,0.914,9.88,91.38,0
2021,FAMILY,242318544.55,160472270.09,81656756.49,1.1886,4185983.75,1550126.79,4403076.24,6608838.21,144.57,165.26,193.88,220.98,10073466.45,3512636.0,1.716,-9.186,49.74,0
2005,FAMILY,153916264.45,85891655.48,67972223.0,0.783,3096962.62,3614515.41,4105074.86,10489918.92,161.55,76.61,205.31,74.2,23342199.05,5263390.18,2.117,19.329,8.58,0
2019,CORPORATE,162468295.14,120617047.91,41657575.98,1.7453,2280010.05,3869002.41,2077634.77,6895921.37,150.3,119.79,178.63,201.11,894336.59,14800855.24,5.835,-7.458,41.04,0
2018,FAMILY,240608570.07,233658097.24,6992970.18,0.7718,1104702.05,2399261.04,3209163.38,1995028.15,96.55,250.03,143.91,166.91,23321619.32,789910.55,0.345,2.104,73.17,0
2016,FAMILY,33819392.16,27615410.68,6403254.09,0.2614,4467294.88,1686547.54,3390800.54,10790930.25,76.7,249.23,70.54,134.37,8077414.22,225923.27,5.459,21.226,60.64,1
2020,FAMILY,36435558.95,23678495.48,12578333.32,1.3489,4372397.05,1704546.26,3717417.71,3847067.21,165.34,167.22,202.14,60.01,9147909.85,11741323.49,1.324,-20.2,61.3,0
2009,FAMILY,96164259.75,87784203.74,8152616.15,1.2684,4731103.13,5792126.98,4739678.72,5531951.72,144.09,166.21,70.27,85.62,4713973.09,17297051.62,2.703,2.077,58.19,0
2004,FAMILY,180804048.11,162106262.71,18763561.42,1.3778,1758546.4,5033460.49,2604593.08,10721255.09,112.07,212.64,170.53,224.62,22765997.53,8198597.79,3.772,30.825,95.23,1
2022,FAMILY,135069162.53,117836427.67,17170953.43,0.0768,6369184.56,5851427.86,1350496.51,6869745.64,110.01,123.7,136.05,191.82,2953353.42,15356104.04,1.456,1.084,1.76,0
2007,PARTNERSHIP,110231997.02,62918241.14,47501878.84,1.1701,7033789.65,2252173.67,3145767.11,10592651.06,163.84,107.08,77.6,94.2,11010979.22,7363198.31,3.427,34.195,77.17,1
2010,CORPORATE,105069712.91,71293309.13,33575708.08,0.3959,5841121.41,2142159.38,647698.41,1522253.18,213.33,219.33,74.98,217.62,22346309.9,12855862.96,4.267,-11.366,64.29,1
2009,CORPORATE,170145374.12,128584947.77,41544455.15,0.7075,7425583.99,3562575.9,1091880.24,5663387.62,165.35,243.53,144.45,225.39,13725524.62,14014099.55,3.909,-12.651,37.12,0
2010,FAMILY,113040360.37,67574805.72,45355342.96,1.3547,2556632.97,4486628.63,589351.44,8628807.39,93.07,186.54,176.42,202.97,5047427.79,15064347.53,5.413,1.689,4.3,1
2024,CORPORATE,219325012.84,170500871.93,49062486.62,1.4321,1153294.76,1535819.78,4856259.04,405766.31,185.46,93.18,200.7,238.28,6626149.02,1077012.69,5.107,-16.216,75.08,0
2011,FAMILY,202838314.63,182395259.18,20662661.13,1.7385,1379947.85,1564296.97,4282017.67,9691828.93,116.18,238.73,176.27,105.75,1423318.23,8337982.75,2.247,30.138,53.06,0
2013,FAMILY,248311930.8,213459277.98,35036124.58,0.4838,4320002.05,3466817.44,4276222.4,530475.29,146.36,141.98,153.03,114.32,21802264.68,14391863.56,5.517,30.219,68.74,1
2020,CORPORATE,202389781.22,131117324.01,71307333.3,0.035,3244983.14,1064459.23,793597.74,4334638.42,182.42,62.29,154.76,158.25,13625165.31,10642225.2,4.97,12.98,78.61,0
2012,TRUST,92442871.0,53962368.44,38686000.77,0.2162,7183260.69,3135473.16,771467.94,5611841.15,62.84,135.84,95.26,90.76,7559826.92,10116777.4,4.383,8.885,32.33,1
2016,PARTNERSHIP,69223287.21,55954665.39,13022087.79,1.6939,2881815.07,420016.42,4326433.12,5850684.27,126.14,229.04,123.27,169.51,16880752.08,11497445.87,2.196,3.348,33.23,1
2022,FAMILY,231169718.43,224599630.23,6579622.51,0.6006,1932871.92,186383.08,3194917.87,2427409.91,163.15,133.34,75.55,146.7,20613787.23,11154151.39,5.706,-4.162,63.12,1
2016,FAMILY,117079368.69,69173085.76,47949904.9,1.3675,3621505.61,208343.46,162230.87,11334193.74,65.7,163.33,75.63,105.44,3152623.16,7313507.82,2.495,24.369,19.47,1
2021,FAMILY,129957936.7,123834915.73,6167021.85,1.3677,595649.2,4926395.03,426314.41,2483504.15,186.77,63.46,189.07,66.02,24460028.4,11618845.79,0.297,-1.609,47.6,0
2009,COOPERATIVE,235865660.77,192955827.0,42672909.59,1.5014,4660300.38,4348795.47,3452496.13,3323208.44,202.17,232.18,128.19,180.21,19794290.33,17966741.17,3.581,10.439,34.21,0
2005,FAMILY,194571166.6,163852771.68,30744176.53,1.2354,1645370.14,2277766.26,4388624.97,507763.85,68.81,171.37,137.11,218.2,375879.39,15461795.95,4.801,23.866,90.58,0
2010,FAMILY,35144193.7,22411444.06,12593075.49,1.1391,775041.13,2261021.59,3414348.7,6603672.33,148.5,78.44,171.11,124.06,6648870.27,5629211.3,1.125,-10.518,81.19,1
2008,PARTNERSHIP,21130964.88,15782532.64,5394487.48,0.8253,6645593.76,4658935.48,1436617.88,11664482.51,75.5,71.81,204.44,81.57,10845140.26,1454007.02,5.479,-13.661,43.45,0
2011,FAMILY,232735608.54,134692504.2,97968474.89,1.2683,5785464.55,4791734.94,1195836.07,4744291.67,116.26,219.25,187.68,155.32,16899323.08,5228245.24,1.17,-23.391,29.92,1
2005,FAMILY,103451440.65,71810897.79,31392600.95,1.7656,546101.46,2835154.84,3648933.44,3684708.3,217.42,103.47,204.8,78.74,19224248.28,10962599.74,2.695,-9.732,75.12,0
2007,FAMILY,25408192.61,22536340.39,3079578.84,0.517,1818029.15,2210251.78,3434088.0,10265023.19,80.19,96.38,159.99,218.99,2373161.41,17204875.26,2.054,-1.645,3.98,1
2024,FAMILY,127374205.62,78661960.82,48773843.09,1.0703,1962782.32,4717769.54,1359084.94,10328000.43,153.05,211.12,169.47,72.7,14059424.33,17799556.02,5.725,11.478,10.61,1
2009,PARTNERSHIP,32338380.49,22578625.84,9885631.41,0.1908,5644811.9,5283414.56,990135.09,3159842.35,65.83,98.22,91.1,198.22,14829497.23,13291905.09,1.152,33.519,12.23,1
2014,FAMILY,199791281.29,190673116.42,9134550.19,1.0021,1963639.59,3608867.53,4332245.82,10401997.97,107.67,257.72,205.24,139.85,20501879.02,13100475.56,5.536,9.467,47.94,0
2022,FAMILY,111019391.16,100214430.79,10971059.47,1.6755,2407013.27,2756594.78,4051748.37,8897629.17,170.58,84.98,163.22,203.82,10552436.9,17007850.66,2.166,6.374,79.23,1
2023,OTHER,219659344.25,181612859.11,37979706.28,1.4234,6577165.97,5668101.1,2313502.23,7849432.46,154.64,179.86,155.54,228.46,20321547.45,13151827.06,5.759,6.262,63.05,0
2024,PARTNERSHIP,159862114.8,112182656.03,47810364.38,0.7086,5701812.94,4813730.23,1526665.17,2810328.35,72.62,199.91,119.76,115.06,4228372.62,8606153.76,3.917,-0.196,23.66,0
2021,FAMILY,114487250.01,87293684.94,27207981.75,0.4146,7702986.35,1345956.72,3813239.94,1405469.01,144.97,99.67,115.62,206.83,18427069.27,3875910.67,0.681,-12.726,94.95,0
2011,FAMILY,192040775.62,177384804.45,14725204.68,0.8902,5464193.91,46754.6,2592009.44,6110889.26,182.35,254.14,170.24,60.33,13129726.52,5522916.41,1.266,-12.855,35.73,0
2004,PARTNERSHIP,126970705.66,110998625.46,15727385.39,1.7705,1624126.22,3210991.51,4060698.4,11941026.06,163.16,233.5,84.76,166.77,2330570.81,8358160.16,1.323,-21.508,24.19,1
2007,FAMILY,123242457.49,95550831.03,27672764.37,0.7208,396131.52,261770.44,3805197.99,6247649.14,77.47,116.81,135.0,194.77,3467243.66,12862680.27,1.723,-24.866,11.73,1
2025,COOPERATIVE,103273362.65,92627330.26,10892052.19,0.966,712610.07,1373882.57,1511711.59,9410546.65,181.01,181.99,104.33,241.1,9478755.99,1222688.09,0.471,-14.692,50.33,0
2013,FAMILY,208691837.41,132638660.7,75898432.07,0.7691,5907728.2,5911222.41,2609141.93,4606868.9,142.09,74.03,94.22,189.87,13557735.24,6011196.35,2.191,-13.917,98.03,0
2021,FAMILY,49579808.93,36461957.36,13098169.74,0.5686,6987661.59,283717.14,1050462.61,11772529.44,149.99,136.1,201.72,137.09,6691976.55,5020274.67,0.813,21.814,22.89,0
2023,FAMILY,97747782.53,60434745.58,37244099.68,0.1711,5157132.2,4948262.02,445614.73,6320623.01,98.63,199.12,139.84,73.94,10762227.84,12615119.93,1.272,-11.975,50.7,1
2004,FAMILY,242165473.82,203660686.4,38519916.78,0.9788,6012759.74,2929027.53,454778.74,5151809.8,69.8,250.52,162.62,76.91,23334629.46,3692619.4,5.662,7.848,92.29,0
2017,PARTNERSHIP,150038995.56,113338166.19,36712452.25,0.7682,6015883.21,566285.76,2240572.68,10982132.59,76.53,64.53,209.68,140.41,1977450.9,7990839.13,2.319,2.248,85.26,1
2019,FAMILY,12091157.13,11801774.41,42448.21,1.3558,7943714.01,5252190.6,3083044.14,9365572.67,107.22,179.33,114.79,154.11,1546254.5,1876998.46,0.995,1.496,43.06,0
2016,FAMILY,50075271.03,32534376.56,17418800.42,0.079,2882877.42,2693828.7,1661066.34,2921595.73,193.58,253.94,107.77,184.77,302590.05,4510442.49,2.277,20.895,79.54,0
2006,FAMILY,119663070.99,89913740.07,29672163.32,1.6141,2523154.13,5778815.88,4395997.17,6165530.52,72.49,133.45,77.41,170.87,2688947.9,16324831.63,2.844,6.272,4.35,1
2011,FAMILY,32762369.66,31641954.34,1055893.41,0.9863,7443786.67,2998835.17,1639680.07,509262.12,176.13,222.25,188.73,198.25,3121070.52,296061.67,1.338,-23.233,52.23,0
2006,FAMILY,208738543.0,167176071.17,41682443.87,1.4847,6362042.3,4913139.01,411720.14,6240337.75,78.14,212.07,82.15,85.07,4711297.42,10751160.28,5.249,23.067,75.98,0
2011,PARTNERSHIP,166478824.15,98707980.23,67726726.36,0.1689,518512.16,5134662.15,2531092.58,7908597.16,177.77,114.55,152.44,152.81,19127597.56,2167995.5,4.303,19.968,52.18,0
2012,FAMILY,47723280.32,44655555.81,2819588.2,0.6787,139713.11,4293433.1,3893143.46,4055492.3,63.5,138.39,181.05,149.36,17212013.07,11760531.88,5.483,5.234,77.12,1
2016,FAMILY,88476771.74,74344147.73,14157503.5,1.3998,5663653.79,4911945.79,636301.51,10015833.17,83.55,141.59,136.2,206.45,22771837.3,1670876.25,1.942,2.676,37.59,0
2010,PARTNERSHIP,197170464.95,110764700.29,86363575.36,0.423,852677.22,4932361.23,674528.32,9676691.73,147.46,123.01,100.61,186.52,9242759.34,9702252.12,4.762,20.651,59.71,0
2015,PARTNERSHIP,158016269.56,144126113.2,13931369.05,0.862,387434.57,2218595.35,1462997.71,7716890.32,162.95,257.66,155.8,228.98,7046893.86,1164334.69,2.098,14.06,84.17,0
2025,PARTNERSHIP,110130868.65,101800310.76,8134024.44,1.7029,633417.16,2512273.48,101028.42,11187048.16,181.75,75.51,157.36,171.2,21905050.68,7963507.99,4.67,5.944,42.07,0
2024,CORPORATE,213323203.51,132812044.65,80700071.84,0.7106,7130706.77,4853278.34,4576286.06,5435040.28,128.97,194.53,174.66,87.51,3445362.83,3977937.81,2.853,-22.984,28.83,0
2011,COOPERATIVE,180693170.99,99688393.7,80846291.72,0.9726,1412563.22,4261060.27,3107623.83,10229185.96,115.85,64.02,194.14,137.55,6784098.62,14725261.82,3.808,1.264,97.36,0
2008,FAMILY,94726769.74,74621739.04,20002697.11,0.1326,2863561.8,2174437.59,4049717.61,11491265.7,114.12,80.9,166.39,94.94,22856997.8,17130485.25,4.429,-1.252,16.67,1
2014,PARTNERSHIP,180045801.29,102155155.79,77844486.15,0.636,6923733.58,2887859.69,3488848.12,5914792.09,71.91,60.52,95.65,178.52,3366964.59,1327791.87,2.078,-8.45,87.49,0
2018,FAMILY,186001640.22,139464528.93,46616149.49,1.4082,3205235.54,5615204.2,2364047.58,11115439.46,60.07,145.56,207.12,227.52,6476612.71,17716888.57,4.679,24.807,61.1,0
2010,FAMILY,16150476.2,9441893.24,6704760.86,0.1035,2666018.33,1792836.24,3175715.7,4342315.89,124.77,115.58,170.37,84.45,24487545.63,9727759.43,2.308,18.361,63.69,1
2014,FAMILY,5904304.88,4829492.32,1272845.31,0.6588,6619698.64,5016600.24,4828841.67,3166497.96,143.28,165.36,200.97,156.25,1450079.38,12729621.94,4.244,-19.089,40.81,1
2024,PARTNERSHIP,22937169.99,13549939.72,9545742.23,1.7779,2268672.03,5352478.74,1616380.43,5666713.5,70.01,112.36,76.89,216.53,357621.16,8472476.7,0.356,19.952,22.92,1
2004,CORPORATE,116717405.04,64895109.3,51975685.67,1.4698,1363245.37,2742070.2,863607.87,11050382.38,152.31,174.28,199.82,167.47,318620.4,12879001.44,5.108,-9.478,77.13,0
2024,CORPORATE,230877997.33,211876863.27,19052472.45,0.676,1359914.99,1093055.71,4636551.38,2353907.75,112.32,170.82,119.42,237.12,16709152.69,9893041.28,4.553,26.602,54.52,0
2016,PARTNERSHIP,192990896.92,176416212.58,16693055.84,0.5104,3190454.51,567577.99,4625506.31,4104761.73,75.46,214.75,161.11,101.73,14471964.56,68620.72,1.375,16.176,76.16,0
2014,TRUST,42240818.75,32040181.07,10000676.78,0.8872,5451679.11,781969.12,1294042.45,1590427.81,209.38,200.82,158.6,139.98,16993640.2,14862685.28,2.269,-4.375,38.75,1
2013,FAMILY,46993265.2,36843402.65,10299020.06,0.746,4261110.15,3619526.84,1618369.18,342904.5,128.21,71.94,141.12,206.15,5818637.65,14757674.48,1.433,-5.332,5.71,1
2010,CORPORATE,199913247.78,114865728.66,85257366.5,0.9422,3057715.78,1594838.09,4785673.05,4546871.54,80.82,163.67,89.81,139.35,10588923.03,2398950.57,2.022,-8.188,33.08,0
2012,CORPORATE,144917271.07,99830975.24,44922110.94,0.7278,4925783.92,4283505.41,3550440.86,9337350.52,185.32,171.67,125.52,150.74,7916413.94,15915654.75,2.026,-4.742,26.49,1
2024,CORPORATE,49082540.47,46709853.9,2486724.11,0.5492,1998574.25,5864107.1,4558572.73,6736946.73,204.82,207.64,140.94,186.25,17386499.72,9939247.7,5.051,-9.064,5.75,1
2021,CORPORATE,142574386.72,135756151.64,7051459.82,0.6862,838731.81,628622.38,1533732.27,6130669.07,67.65,211.78,164.59,218.25,8693258.01,17466487.98,2.46,27.112,1.34,1
2015,FAMILY,202304150.19,123166382.86,79163631.76,1.0946,263763.92,2902745.82,2132455.45,640957.93,181.69,64.8,121.17,111.66,24963761.21,11370696.03,1.414,-9.964,89.62,1
2014,FAMILY,3456671.13,2630179.72,586264.67,0.677,341614.35,4343133.03,3011556.5,8333543.99,108.04,242.57,181.52,116.31,13114049.67,61588.75,1.806,26.68,46.45,0
2006,FAMILY,148578462.13,114215850.16,34354122.37,1.3246,7671297.93,2203520.46,2411791.4,3640504.87,196.69,78.82,102.03,75.82,12984798.36,13139283.4,1.508,-9.445,32.86,0
2016,CORPORATE,174077465.57,119789958.03,54072900.84,1.4184,7499271.15,221526.27,2793538.24,8926412.3,165.98,128.07,144.6,121.01,24072896.03,6351307.41,0.226,-23.337,46.25,1
2015,CORPORATE,220327022.8,167147980.03,53388700.16,1.669,1625567.15,3907015.09,3519066.11,4248495.14,93.1,166.97,88.73,68.91,16228802.35,17738264.14,1.354,-17.356,56.18,0
2005,CORPORATE,121755707.58,106829088.67,14690510.41,0.0202,5754822.7,5705912.41,4829095.85,3810081.6,132.07,182.96,111.22,184.74,15998251.44,6266813.67,4.93,23.594,20.73,0
2020,FAMILY,35404393.42,24520627.36,10926031.56,1.3144,3233651.12,4127315.07,2215587.41,359895.42,217.75,230.94,150.1,64.99,13122150.48,4084871.9,3.902,31.48,89.26,0
2007,FAMILY,239412953.98,214001661.86,25546487.82,1.164,3034287.52,775189.43,734314.24,11470138.71,150.44,223.95,90.34,233.02,19217755.37,7403433.62,1.494,6.801,22.44,0
2009,FAMILY,70269010.13,57313710.18,12753950.93,1.4833,2494269.04,4452587.88,19286.98,11130932.45,138.72,63.04,74.01,77.3,17183766.47,16828149.17,2.825,13.239,53.99,0
2017,FAMILY,85021963.78,47360211.31,37694245.89,1.5735,730925.74,5525850.84,2361743.99,6196903.82,148.29,94.28,113.74,199.18,9800486.59,5405975.77,2.07,9.423,27.53,0
2019,FAMILY,111125504.42,90663075.73,20690385.41,1.5742,1479843.86,2936401.23,1768739.64,3218591.56,202.52,222.81,113.29,75.18,22226872.05,2202945.54,0.488,-21.498,1.21,0
2022,FAMILY,55174201.91,39886321.9,15181664.57,0.7741,5735309.86,5165947.35,1734238.32,7602000.7,177.16,234.51,198.66,121.9,7048993.95,9326862.35,2.91,-3.477,20.96,0
2020,COOPERATIVE,41247525.18,40070611.61,1206277.51,1.7337,827415.26,4328866.97,57073.21,7316284.91,178.15,165.33,149.44,167.24,4984764.99,757413.15,5.77,13.683,72.77,0
2020,FAMILY,155711483.29,97929996.66,57850954.41,0.0605,1522583.2,111148.27,2226600.44,11417710.94,188.85,133.73,112.36,116.92,13916062.69,3652099.51,1.2,2.032,95.82,0
2011,FAMILY,239341767.5,143997038.59,95141082.79,1.4423,6247519.42,1850468.84,1297801.65,3041747.66,96.29,126.27,72.8,158.09,4195845.51,2840935.15,1.447,22.735,12.7,0
2004,FAMILY,175102057.47,171032558.75,4002833.15,1.2917,1985154.54,4126783.01,3289242.23,7025193.2,202.65,167.21,180.76,139.5,9086571.47,12180867.33,5.784,-1.912,24.02,0
2007,FAMILY,202548971.19,147350120.51,55379729.88,0.1748,7864880.32,5849315.57,752271.29,10457409.23,108.18,251.7,150.38,164.85,11322187.92,17257419.93,3.446,6.334,65.81,1
2014,FAMILY,145306971.48,128915397.86,16161066.11,1.677,2997004.17,240644.71,2449587.62,11536096.63,64.5,232.27,122.37,187.47,22906997.69,5957414.66,4.714,-12.46,77.85,1
2025,FAMILY,66245175.4,60958081.71,5121067.38,1.0918,3019128.09,4326569.74,2134950.5,3637115.69,61.25,246.9,206.76,150.93,12305001.26,13319182.23,5.877,-24.201,76.93,1
2010,CORPORATE,54442602.64,44493252.63,9939975.08,1.5036,4768992.41,2872100.64,417632.23,1576200.23,115.4,89.34,177.87,128.16,2441318.7,12411241.03,4.619,-1.129,28.44,0
2021,FAMILY,79154474.82,54843782.56,24400153.06,0.6971,210955.15,5350054.03,3471087.1,5133535.73,198.69,250.92,170.13,210.11,19254471.17,7562681.57,4.864,-19.731,23.68,0
2011,FAMILY,122762886.21,81461296.29,41184762.56,1.6451,6003475.99,5761374.81,812192.29,6904950.19,197.56,165.97,174.66,181.47,15612972.02,1590648.25,3.541,-16.117,48.62,1
2012,FAMILY,167754061.96,112286286.02,55497244.21,1.5413,5909327.63,1061810.8,291245.63,1704440.42,110.5,155.36,175.85,109.97,660838.31,17363634.69,4.027,3.729,25.02,0
2017,CORPORATE,207863643.08,122045577.01,85668697.4,0.5699,6915829.94,871238.3,549883.27,137628.24,178.74,114.74,182.43,232.11,14171103.98,9537564.67,2.727,11.128,25.26,0
2019,FAMILY,55601300.23,44005023.37,11471872.43,1.1517,4938094.26,4218197.0,3474633.32,6716743.8,158.74,85.99,175.53,235.62,5467049.6,6789067.31,0.444,-4.846,32.4,1
2015,PARTNERSHIP,46072048.11,43904972.97,1923250.18,0.2457,3757293.85,330076.04,3545694.85,4981130.39,103.66,86.91,85.54,67.32,13138836.31,5975875.11,3.461,2.621,13.67,0
2014,COOPERATIVE,237737351.79,163096667.16,74800375.47,0.7064,7443874.24,2475657.05,2505211.29,7729668.09,78.15,125.26,95.8,138.09,14635913.66,9032743.02,3.484,1.524,62.55,0
2004,FAMILY,36608385.45,22958611.19,13818562.24,0.8832,1803727.14,3816979.02,396855.68,9918077.74,158.95,159.27,135.66,247.02,15310027.65,973040.4,1.411,6.973,94.36,0
2011,OTHER,157254809.53,87451495.92,69610161.8,0.1959,5764761.95,662867.87,3144435.22,5283462.19,151.1,165.33,128.51,196.06,221554.96,15495444.26,4.772,26.048,90.26,1
2011,OTHER,40390619.13,36559101.91,4036112.4,1.103,1971821.5,1491388.46,2659315.22,5636410.35,197.57,103.46,112.11,218.05,6266545.8,3947661.07,3.854,7.301,50.34,0
2013,COOPERATIVE,150981376.77,119735082.51,31185843.66,0.3956,4361836.61,3066334.69,4876927.72,6842482.59,107.47,83.79,74.36,208.06,8801469.96,4549681.47,0.208,21.371,49.54,1
2011,FAMILY,74969235.97,67630189.66,7560680.74,1.6722,810433.68,1371128.5,1943548.21,9181274.37,80.6,75.25,198.52,115.91,23203710.48,9830643.62,5.741,-6.176,70.52,0
2006,FAMILY,69953657.32,64742283.09,5262257.62,0.839,5258327.79,2968362.48,182465.34,6900650.36,210.52,239.89,107.09,92.58,15223309.16,6607191.02,5.978,-7.149,50.59,0
2022,TRUST,15370050.18,13023759.83,2493604.58,0.1792,3207496.11,5306787.3,4220486.75,10392836.74,117.64,239.04,98.14,104.07,20592956.98,13751667.61,5.907,-9.566,91.25,0
2020,OTHER,101886817.68,99743333.53,1970165.92,0.2703,3533304.46,3015936.91,3999664.09,11531661.43,83.68,182.94,136.39,174.82,17883043.92,6972950.43,0.819,8.648,43.66,1
2013,PARTNERSHIP,173966056.22,121714763.46,52495982.43,1.3101,5531596.98,522478.06,3849992.94,6545902.36,94.14,250.79,194.35,202.88,12031023.52,15900208.88,0.509,-17.903,29.93,0
2016,FAMILY,123638589.27,85055883.19,38511349.14,0.264,6528686.24,2515449.74,2190507.12,9540065.83,84.64,65.71,109.01,103.77,3674274.7,9904297.82,1.472,32.807,52.94,0
2018,PARTNERSHIP,44200659.76,29280129.6,14675731.15,1.0122,3140491.41,2240509.94,4196940.26,479694.09,71.73,137.36,157.74,247.71,6214644.57,17073435.07,3.338,23.307,12.05,0
2025,PARTNERSHIP,56101237.04,39733100.6,16277371.1,1.6526,4149785.89,5022999.01,2051616.68,282480.06,119.69,204.83,206.09,83.86,24185016.36,14811072.56,2.072,-4.656,42.83,0
2025,TRUST,51793671.45,44620811.66,7189129.58,1.5,6842086.72,1696678.12,4313193.04,2642654.57,139.96,219.82,204.07,90.8,9900007.91,17583303.42,3.876,10.645,51.0,0
2006,FAMILY,222583503.17,201455269.56,21015109.91,1.5154,4800778.6,2752036.0,797133.0,1623132.71,96.03,152.67,131.09,195.95,4325024.1,13771775.42,2.471,-21.507,84.99,0
2016,FAMILY,217077990.46,187487009.0,29363270.04,0.5678,598678.28,924448.47,3633121.17,5018659.9,216.02,222.05,166.45,192.62,21031778.41,3227273.33,0.438,-8.088,50.59,0
2005,FAMILY,203258335.6,179630853.24,23791630.46,0.9975,204638.78,4754868.63,1051126.04,6644375.83,105.77,136.12,110.49,128.79,5055608.94,5746819.79,3.651,-2.091,22.04,0
2013,OTHER,198709047.24,166688564.49,31796442.32,0.7891,2980055.72,1126290.94,2933956.39,6790163.16,168.26,177.94,86.21,197.34,15090933.29,13605428.04,1.567,17.887,10.79,0
2004,TRUST,189549227.27,118108989.19,71316123.03,1.0624,812592.3,1194159.55,2284704.73,7522892.04,98.21,117.44,141.27,95.16,2897015.26,9381426.42,4.705,-21.007,16.09,1
2024,FAMILY,169947056.49,145598066.18,24417093.93,1.3735,5147963.91,2511562.82,4644736.41,4158531.1,127.81,196.91,89.93,181.89,20610594.44,5248530.41,1.575,1.198,63.6,1
2021,FAMILY,212449035.86,148045502.56,64182743.86,0.0343,6186755.48,524268.65,265476.53,7159756.45,101.17,255.51,184.26,144.81,24137485.99,4920156.75,3.585,9.862,96.27,0
2016,FAMILY,129098710.75,103017594.48,26151941.17,0.6129,4328304.0,1652536.23,4370294.71,11885603.89,193.83,169.9,109.57,109.08,8466616.28,16628677.37,3.056,1.016,0.28,1
2018,FAMILY,179477229.15,160077916.41,19210035.85,0.4588,6629117.25,4159420.27,1659340.9,6002780.92,215.15,133.82,155.37,206.8,22154066.9,15729743.82,4.252,17.313,26.98,0
2021,FAMILY,11567245.77,7584431.77,3775959.61,1.4262,2912465.95,5180238.94,4813235.19,3113640.44,203.93,139.59,79.58,115.32,8724142.52,8042021.66,2.072,-12.173,58.09,0
2020,CORPORATE,210413938.22,192540285.07,17938945.19,0.2783,7851519.39,2651139.15,1497396.47,2201968.21,195.43,185.7,140.72,235.08,20725896.97,3533000.44,4.953,25.405,91.04,1
2015,PARTNERSHIP,147745287.74,111796702.16,36074084.77,1.1264,3774796.92,5399231.9,4796560.15,5250557.52,191.18,166.56,156.89,83.92,15596955.17,9247115.2,4.374,-3.102,7.89,0
2011,PARTNERSHIP,22545074.31,17703350.31,4781782.65,1.111,7139325.47,4341451.76,1846134.2,8332958.99,109.81,225.47,159.56,80.7,12113192.61,4400621.32,0.994,28.097,77.56,1
2011,FAMILY,39134269.56,30714009.15,8257406.14,1.4641,6475470.2,254364.41,561665.55,9119070.64,174.01,112.76,124.36,92.39,8112259.61,3800941.5,2.341,-18.774,64.36,1
2024,FAMILY,214554944.28,131453294.02,83153735.59,0.9448,6535760.4,496212.87,2429741.21,4098541.78,152.86,172.98,99.13,108.87,22059685.9,16078912.35,2.709,-21.518,74.74,0
