qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_social_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2017,REG000001016,0.2715,8.415,4.204,2.972,4.225,6.901,0.967,5.74,3.433,5.612,0.1634,0.9218,0.6334,1.704,4.754,9.366,5.257,4.126
2021,REG000001017,1.7806,2.487,6.268,8.696,8.329,7.569,8.206,5.637,5.537,3.307,0.6612,0.6925,0.8344,7.986,1.371,4.282,9.822,5.421
2010,REG000001018,6.6897,4.489,5.26,3.287,7.058,8.806,3.684,7.894,8.473,0.353,0.4484,0.086,0.1883,3.523,2.284,4.534,0.046,5.946
2008,REG000001019,10.0488,2.918,8.211,9.792,3.447,1.343,7.941,2.957,7.749,3.593,0.0101,0.2859,0.115,3.277,2.066,1.178,9.113,5.441
2012,REG000001020,8.7289,2.126,5.51,2.3,9.062,7.168,7.46,6.068,1.362,8.925,0.6057,0.0995,0.0865,3.563,4.593,6.044,8.654,5.926
2008,REG000001021,0.84,5.156,5.906,9.518,9.074,1.917,4.489,3.193,2.506,2.005,0.4665,0.8123,0.9569,5.223,3.242,3.166,7.578,4.326
2014,REG000001022,5.3421,3.023,2.385,4.693,2.77,1.603,2.03,7.174,9.479,9.519,0.4213,0.5279,0.2273,4.198,4.097,3.969,0.389,4.598
2022,REG000001023,0.2452,6.012,0.392,3.814,6.063,6.978,1.279,8.545,4.629,2.115,0.4105,0.4443,0.0344,5.377,4.377,4.277,5.981,4.786
2010,REG000001024,8.1803,7.034,0.593,0.695,7.205,2.071,1.445,6.387,9.502,5.121,0.0306,0.1903,0.8529,2.113,5.411,5.078,7.596,5.749
2011,REG000001025,2.6354,9.262,8.589,3.353,2.246,2.507,2.754,2.205,3.278,6.725,0.4466,0.9582,0.1561,1.715,3.836,1.891,3.752,3.397
2021,REG000001026,6.5515,1.107,4.453,2.779,7.849,8.054,5.885,4.689,6.577,3.146,0.7398,0.9716,0.1743,2.273,0.051,0.835,8.98,5.456
2010,REG000001027,9.8076,9.699,6.663,0.304,3.165,2.949,6.872,6.495,7.8,2.334,0.7256,0.7967,0.3057,3.027,1.303,0.532,4.028,5.73
2014,REG000001028,7.8107,8.905,2.175,7.117,6.111,8.653,1.495,4.345,6.283,2.549,0.5255,0.8907,0.6497,1.116,3.555,6.087,1.009,6.647
2014,REG000001029,3.1978,4.243,9.588,5.529,2.592,6.943,3.543,3.621,0.18,4.515,0.4994,0.1309,0.0587,9.868,0.241,3.525,4.536,3.55
2024,REG000001030,8.5469,7.087,3.193,6.416,5.963,0.776,1.683,6.617,4.835,8.154,0.1432,0.8993,0.8143,2.516,2.175,7.388,8.359,5.652
2020,REG000001031,8.679,5.748,4.656,1.612,2.853,8.589,2.02,6.877,9.361,9.648,0.2417,0.7857,0.9353,4.268,3.438,0.741,2.895,5.809
2010,REG000001032,8.4921,3.267,9.947,2.574,5.933,7.221,0.235,0.887,2.854,9.955,0.6587,0.2946,0.0037,0.405,1.218,7.225,9.64,4.208
2012,REG000001033,0.8672,5.561,4.51,6.93,2.157,6.577,6.225,8.026,0.735,2.833,0.0002,0.0975,0.9542,2.392,8.163,2.013,1.987,4.46
2016,REG000001034,2.3823,7.16,7.572,6.387,4.423,9.087,7.143,2.112,3.538,1.311,0.3464,0.6014,0.11,7.497,5.73,1.069,6.982,4.894
2012,REG000001035,2.0194,5.11,8.134,1.708,6.948,2.575,4.047,1.715,1.857,0.271,0.8743,0.6214,0.3222,0.796,2.548,6.394,9.008,3.117
2017,REG000001036,4.8175,8.923,9.452,4.724,1.257,1.96,4.84,8.687,5.841,2.735,0.721,0.0362,0.0556,0.448,2.693,5.543,7.228,4.417
2024,REG000001037,4.7016,1.299,7.587,4.17,4.528,8.098,1.97,4.027,8.614,9.069,0.8558,0.4309,0.8672,1.041,3.553,9.466,4.009,4.374
2019,REG000001038,2.6647,8.985,1.243,6.213,6.454,2.586,0.898,8.125,6.643,0.023,0.1776,0.939,0.8163,7.166,4.953,1.391,0.705,5.26
2014,REG000001039,6.4708,5.459,6.033,6.613,3.797,5.402,4.486,6.588,1.739,3.497,0.1511,0.3315,0.2587,0.238,0.469,4.287,1.311,5.113
2023,REG000001040,9.1959,6.56,5.304,3.046,3.748,0.99,4.491,0.401,0.507,1.043,0.472,0.6661,0.1794,9.747,3.126,9.871,8.335,4.299
2011,REG000001041,1.705,3.678,9.889,8.149,6.496,0.973,4.31,1.241,1.383,7.967,0.2073,0.4204,0.5603,7.288,1.007,6.612,7.217,3.224
2021,REG000001042,6.7221,6.971,2.652,8.464,2.447,6.597,8.115,3.185,3.259,4.574,0.7931,0.7508,0.3951,1.365,2.266,7.04,4.471,6.048
2022,REG000001043,7.2082,3.531,1.695,6.324,9.446,0.582,5.056,1.707,1.52,0.59,0.9447,0.9159,0.5184,3.1,8.23,7.465,3.367,5.114
2021,REG000001044,1.8833,5.937,6.401,3.481,7.155,4.777,9.622,3.493,4.034,6.371,0.518,0.4772,0.109,3.007,2.429,5.349,1.473,4.784
2025,REG000001045,6.9924,6.423,0.044,8.025,9.171,9.359,1.802,4.201,6.797,1.553,0.4976,0.82,0.2326,1.406,1.382,4.123,9.615,6.987
2020,REG000001046,1.7915,0.381,3.662,8.143,5.528,4.613,3.267,4.807,1.389,2.294,0.2516,0.7555,0.6213,3.032,5.697,5.339,4.142,3.855
2012,REG000001047,1.1346,5.254,6.236,8.868,5.19,9.979,8.399,6.471,3.921,2.633,0.0241,0.3676,0.4781,4.891,2.258,9.125,5.241,5.545
2024,REG000001048,9.5087,2.634,2.848,9.509,5.767,6.406,8.366,8.2,0.585,3.837,0.2108,0.6394,0.8704,9.221,5.619,1.803,9.16,6.74
2015,REG000001049,7.7478,5.248,5.435,5.787,6.356,7.068,4.759,6.614,8.81,0.33,0.1037,0.682,0.2435,8.868,7.758,4.882,7.501,6.192
2008,REG000001050,4.1609,9.484,5.59,9.833,7.402,1.312,4.832,6.007,8.984,6.296,0.7325,0.9564,0.5466,5.135,9.735,2.704,4.998,5.967
2019,REG000001051,2.962,8.787,2.507,3.782,4.258,8.155,9.692,8.359,4.815,2.698,0.2743,0.3058,0.9899,7.782,2.777,7.737,2.571,6.167
2016,REG000001052,6.4601,1.859,6.486,1.126,7.117,8.879,3.177,1.032,3.739,7.09,0.2553,0.6281,0.6983,8.731,2.14,1.651,8.701,4.517
2009,REG000001053,1.2762,2.33,1.207,3.228,9.611,8.022,2.399,5.349,2.916,8.745,0.4408,0.0877,0.2844,8.278,3.043,5.218,0.588,4.826
2021,REG000001054,0.1303,3.534,9.284,0.756,4.31,7.017,2.186,9.443,0.297,4.007,0.8511,0.9655,0.1308,5.51,1.537,2.437,0.602,3.007
2013,REG000001055,6.8414,9.869,2.751,2.264,9.975,0.586,3.905,5.804,3.373,5.801,0.9878,0.9625,0.7637,9.277,1.545,2.209,9.391,5.789
2015,REG000001056,7.8485,8.77,7.602,8.119,4.025,7.031,6.717,5.216,6.96,5.189,0.4911,0.8367,0.158,0.409,3.461,1.361,9.175,6.435
2010,REG000001057,4.5906,5.7,4.792,9.742,0.406,6.848,3.258,0.886,7.494,2.203,0.8954,0.0381,0.6731,4.503,4.601,2.808,3.517,4.747
2013,REG000001058,2.1527,1.583,5.481,1.203,4.4,3.619,0.58,0.142,7.558,2.742,0.8094,0.8136,0.9019,1.981,2.443,1.627,1.722,2.671
2009,REG000001059,1.9408,1.87,6.741,1.806,4.841,1.695,9.287,9.6,4.248,3.173,0.1798,0.9415,0.9156,6.009,1.503,9.113,4.262,3.861
2009,REG000001060,8.2789,0.912,5.226,2.802,9.495,1.863,6.572,4.393,5.957,3.572,0.3264,0.4076,0.611,1.967,3.805,1.653,9.471,5.139
2023,REG000001061,4.34,9.308,5.797,8.587,0.997,3.116,9.749,9.817,9.143,4.934,0.1307,0.5947,0.1206,1.044,6.33,1.0,4.278,6.059
2009,REG000001062,9.4111,1.882,0.31,4.22,5.101,9.758,1.518,6.774,9.366,3.821,0.5227,0.9452,0.5483,0.127,6.431,5.742,4.768,6.407
2019,REG000001063,7.1012,7.852,8.652,4.69,3.586,7.409,4.878,1.747,4.473,1.105,0.6817,0.5321,0.9917,4.735,5.438,3.304,1.163,5.043
2014,REG000001064,7.4503,5.303,7.244,2.722,0.585,7.318,8.042,3.96,2.959,6.337,0.1706,0.8681,0.8895,6.652,9.025,3.044,0.075,4.88
2018,REG000001065,0.2144,1.449,7.797,8.015,1.216,6.358,3.563,5.804,5.607,5.67,0.7884,0.3829,0.8546,0.294,1.459,2.46,0.768,3.394
2009,REG000001066,0.5915,2.17,9.844,6.65,2.496,2.435,4.097,8.396,2.7,4.989,0.707,0.8708,0.8743,6.861,2.565,1.172,1.055,2.963
2015,REG000001067,8.4166,9.059,6.233,2.266,7.686,4.521,6.332,7.294,8.184,1.22,0.791,0.2865,0.5466,4.803,8.275,4.038,9.578,6.383
2015,REG000001068,1.9527,5.613,4.917,5.011,9.621,3.752,0.087,4.448,3.651,3.219,0.2339,0.6706,0.4527,5.699,8.947,8.994,4.086,4.268
2023,REG000001069,1.5588,8.658,2.317,7.99,9.858,3.085,5.915,8.68,4.343,3.446,0.8214,0.1581,0.2294,9.801,6.061,5.716,8.772,6.036
2024,REG000001070,2.6199,4.554,4.284,4.309,3.852,2.712,8.93,2.795,9.865,1.87,0.1618,0.8931,0.2241,8.369,4.928,7.863,9.098,4.535
2025,REG000001071,9.583,6.044,5.646,9.124,1.544,4.646,8.558,5.299,5.81,4.415,0.1906,0.3836,0.444,4.14,6.364,8.527,5.989,6.238
2015,REG000001072,10.0091,5.793,6.522,2.716,5.312,0.992,1.501,1.633,7.19,4.589,0.7229,0.5323,0.5647,8.869,2.201,8.362,5.157,4.657
2021,REG000001073,0.1802,3.71,3.226,2.333,8.879,7.012,4.942,3.962,2.152,6.742,0.1948,0.7489,0.7798,4.244,9.925,0.479,5.626,4.351
2016,REG000001074,9.5673,8.749,0.746,9.951,3.15,3.05,1.531,1.998,8.506,7.054,0.0434,0.1715,0.1782,7.605,8.385,8.144,9.03,6.382
2019,REG000001075,6.8734,2.757,0.504,4.392,9.129,0.66,1.596,7.344,9.376,9.993,0.2075,0.6884,0.1013,7.274,2.376,4.908,2.753,5.622
2015,REG000001076,8.2955,9.288,6.842,4.089,3.665,3.276,2.494,1.623,1.408,5.538,0.586,0.891,0.8816,2.181,6.864,0.327,7.81,4.72
2014,REG000001077,1.3656,5.073,0.277,2.445,1.893,2.133,1.249,8.678,5.145,5.053,0.1778,0.049,0.3057,4.972,0.119,6.748,0.514,3.764
2009,REG000001078,7.7417,7.208,6.515,2.058,4.452,0.844,7.569,8.809,4.253,8.855,0.426,0.1706,0.2613,1.844,2.689,6.62,0.816,5.323
2020,REG000001079,1.1548,2.271,9.876,5.612,6.641,5.829,2.092,3.989,9.336,1.523,0.5873,0.018,0.1535,2.958,4.645,3.564,0.368,3.65
2012,REG000001080,6.3599,6.657,2.803,8.544,4.66,7.292,7.248,7.223,6.438,7.779,0.9977,0.3819,0.9291,0.173,9.982,5.547,9.359,6.777
2015,REG000001081,2.73,6.003,8.397,8.03,4.899,4.536,7.095,4.285,5.479,7.026,0.7588,0.0217,0.8368,0.666,5.33,1.704,5.318,4.809
2020,REG000001082,9.9001,5.61,1.431,5.5,2.88,9.992,5.829,2.368,4.734,5.183,0.5794,0.0674,0.5875,4.595,2.892,5.867,5.025,6.547
2020,REG000001083,8.3962,9.075,6.754,1.937,1.5,3.988,1.903,3.288,9.1,9.303,0.3057,0.3543,0.7607,8.041,8.487,2.085,4.341,4.943
2012,REG000001084,6.9503,8.286,6.402,8.673,6.6,2.092,7.512,8.875,2.184,1.15,0.1007,0.0762,0.6419,0.94,8.386,8.843,1.83,6.111
2013,REG000001085,9.2734,0.016,0.967,1.434,0.497,7.531,5.427,8.371,8.281,4.353,0.6221,0.5757,0.4707,3.292,2.649,5.895,3.792,5.458
2008,REG000001086,9.2835,0.905,6.409,3.527,0.663,0.619,3.28,3.558,7.14,9.03,0.141,0.866,0.5854,9.056,4.664,6.2,5.655,3.847
2023,REG000001087,7.9546,5.124,1.827,3.715,5.93,5.587,2.322,5.754,0.55,4.242,0.3943,0.4089,0.2102,5.14,3.534,2.635,6.573,5.408
2018,REG000001088,4.6857,6.338,8.936,4.282,3.418,9.559,0.621,4.317,4.377,1.275,0.2729,0.4567,0.3874,6.071,1.207,5.537,9.981,4.372
2021,REG000001089,8.1308,1.758,8.672,9.258,5.937,1.021,8.101,8.231,3.301,6.431,0.9393,0.511,0.4595,8.188,1.051,9.728,3.512,5.344
2013,REG000001090,7.2759,5.618,9.059,1.22,7.988,3.788,3.657,4.668,7.895,8.077,0.4655,0.3002,0.1687,1.776,1.207,7.926,8.556,4.968
2013,REG000001091,3.307,5.645,1.725,8.627,1.454,0.217,5.361,6.145,7.365,7.959,0.9843,0.6161,0.7325,9.327,6.971,6.842,2.576,4.773
2013,REG000001092,0.7791,5.61,6.937,6.91,5.602,1.89,0.934,7.269,2.429,1.211,0.0459,0.6708,0.5846,5.008,1.293,1.876,0.26,3.535
2014,REG000001093,2.0582,2.778,5.795,5.233,4.063,5.164,5.713,7.539,7.535,0.907,0.6311,0.2715,0.0152,1.328,9.345,4.363,3.026,4.38
2015,REG000001094,3.6303,3.323,8.317,5.571,3.007,1.868,7.67,5.41,9.238,9.853,0.072,0.3884,0.496,8.605,0.518,5.802,9.214,4.294
2021,REG000001095,9.4754,2.424,4.392,0.978,3.348,6.357,9.838,7.581,0.339,5.274,0.9449,0.5607,0.3679,7.887,4.85,8.744,4.662,5.516
2015,REG000001096,1.3445,7.282,9.929,1.856,9.206,9.562,4.069,0.497,6.261,3.131,0.9076,0.8993,0.1721,0.033,1.254,1.225,4.446,4.426
2018,REG000001097,2.3996,7.1,4.929,8.837,3.589,0.019,1.602,4.091,0.456,4.943,0.4687,0.0391,0.5641,2.504,5.937,7.478,5.246,3.702
2025,REG000001098,6.1417,6.634,6.26,9.799,9.732,6.469,2.754,4.651,7.751,4.215,0.8738,0.5358,0.0294,1.272,6.777,4.352,4.111,6.377
2021,REG000001099,1.9268,3.004,5.786,5.781,4.102,9.482,2.056,5.084,7.67,0.161,0.7895,0.9455,0.8298,8.169,0.643,9.66,9.15,4.393
2020,REG000001100,2.3349,7.262,0.217,8.604,9.629,5.828,5.922,6.2,4.661,1.14,0.6935,0.1426,0.5168,7.035,2.88,0.343,7.577,6.356
2010,REG000001101,4.024,9.163,7.209,1.278,6.474,7.55,7.824,1.91,0.446,8.306,0.8331,0.3998,0.99,7.815,8.517,2.495,9.156,5.022
2018,REG000001102,2.5741,4.927,1.626,8.021,2.506,5.737,8.877,2.482,6.722,1.32,0.3113,0.0822,0.8219,5.749,2.8,2.156,9.777,5.179
2012,REG000001103,2.4602,6.828,3.239,1.984,6.856,0.108,4.785,2.535,8.653,5.454,0.6678,0.8974,0.89,0.248,0.074,6.273,0.038,4.262
2022,REG000001104,4.0433,5.323,9.631,4.469,7.944,0.824,3.45,3.536,0.677,6.831,0.9535,0.1589,0.1382,1.491,7.666,0.314,9.768,3.688
2010,REG000001105,0.9594,3.207,9.911,0.548,5.403,5.935,4.291,9.236,6.013,4.254,0.5726,0.6349,0.3338,5.961,8.908,4.672,4.167,3.576
2014,REG000001106,8.8545,7.071,1.805,4.41,0.282,7.537,4.466,4.786,9.798,7.341,0.5481,0.5243,0.0046,2.539,4.057,6.8,2.065,6.185
2015,REG000001107,3.3676,5.159,6.69,8.663,2.854,8.789,4.307,7.064,8.931,8.778,0.5683,0.7452,0.3609,6.699,5.362,0.543,7.328,5.507
2025,REG000001108,3.5867,7.664,9.27,8.595,2.442,1.984,2.844,3.54,4.476,6.755,0.2288,0.6473,0.5068,8.514,9.114,9.418,8.868,3.98
2024,REG000001109,8.7158,1.65,6.542,4.089,1.336,7.872,2.025,6.584,5.572,6.624,0.5153,0.3084,0.2588,4.011,5.485,5.63,0.707,4.803
2019,REG000001110,2.2959,2.736,5.352,2.824,4.794,1.933,3.1,7.087,1.305,9.927,0.9737,0.8712,0.2609,4.071,2.163,6.244,8.54,3.43
2012,REG000001111,0.15,6.004,1.159,7.679,5.004,1.071,9.575,2.701,4.406,0.535,0.0303,0.7911,0.0686,6.795,7.776,8.436,1.762,4.557
2023,REG000001112,0.9591,2.603,1.894,6.906,9.466,2.862,4.752,7.535,5.38,5.147,0.5274,0.0424,0.6391,8.465,2.431,1.759,0.442,4.949
2020,REG000001113,7.0012,0.18,3.364,7.983,9.264,8.979,9.366,4.772,2.829,2.289,0.6068,0.1374,0.3854,7.012,3.537,0.255,2.99,6.447
2012,REG000001114,0.1613,4.143,9.812,6.292,2.868,7.933,8.124,2.709,5.788,1.081,0.3287,0.8178,0.0484,4.151,6.704,4.263,1.052,3.848
2010,REG000001115,6.5034,7.454,7.762,7.707,9.859,5.597,0.419,6.95,1.459,8.94,0.9755,0.0,0.9228,3.588,2.514,7.969,3.504,5.759
2009,REG000001116,4.8295,3.253,3.373,8.05,8.208,7.508,3.232,0.717,0.487,7.446,0.4674,0.1406,0.3104,8.831,9.485,6.076,0.145,5.152
2020,REG000001117,0.6856,6.75,7.047,0.764,1.294,5.665,0.522,1.787,4.736,0.88,0.0943,0.4256,0.3859,3.774,0.082,1.117,2.853,2.617
2016,REG000001118,4.5827,3.234,3.609,8.741,1.102,1.821,5.241,9.104,2.944,3.12,0.4861,0.4737,0.0067,7.871,1.624,7.467,0.987,4.548
2014,REG000001119,8.2398,3.041,1.195,3.918,4.432,0.754,9.225,3.582,3.969,3.305,0.9176,0.207,0.7608,5.722,9.434,3.553,2.802,5.236
2025,REG000001120,4.4379,5.65,1.911,6.151,6.374,4.137,2.911,0.183,2.932,5.749,0.028,0.6541,0.6501,8.086,9.368,4.581,5.002,4.739
2010,REG000001121,7.543,9.04,6.252,1.847,4.677,0.354,5.369,7.096,6.328,6.923,0.4022,0.9827,0.2894,7.701,7.043,9.1,0.853,5.208
2010,REG000001122,7.1441,9.118,9.335,2.638,4.309,6.061,4.267,0.417,6.519,0.096,0.9048,0.9556,0.4691,2.183,0.491,3.739,2.17,4.788
2016,REG000001123,4.3532,7.226,6.828,4.412,2.62,0.269,9.477,9.318,7.49,2.341,0.8574,0.1033,0.0083,4.605,4.011,5.173,0.186,4.925
2010,REG000001124,9.7323,6.425,6.66,8.086,3.243,2.254,4.301,8.917,7.054,9.099,0.4171,0.4293,0.6826,9.478,5.352,4.326,3.033,6.054
2024,REG000001125,4.1814,3.86,2.734,8.11,8.595,9.829,7.354,7.294,6.7,1.456,0.0062,0.5658,0.3816,8.485,5.727,9.148,6.257,6.694
2019,REG000001126,3.0525,5.221,2.953,2.452,4.88,8.081,9.608,7.611,0.062,7.953,0.8138,0.6191,0.0696,8.011,6.794,1.413,4.676,5.393
2016,REG000001127,3.8916,1.731,0.136,7.814,3.407,4.9,3.871,0.283,1.514,6.668,0.957,0.9714,0.9903,8.025,3.653,5.767,5.361,4.287
2014,REG000001128,1.1937,4.249,1.645,5.485,2.94,6.091,2.846,4.52,0.565,2.114,0.2344,0.484,0.0539,5.398,2.324,7.138,4.69,3.895
2018,REG000001129,8.7388,0.247,6.63,3.727,2.319,8.311,6.16,3.402,2.5,5.363,0.3399,0.8986,0.0372,1.72,0.859,0.877,7.45,4.713
2017,REG000001130,3.5769,0.673,6.85,8.065,9.372,1.256,4.019,6.765,4.968,7.756,0.3354,0.0328,0.8413,5.706,1.214,0.958,6.825,4.497
2024,REG000001131,2.48,1.876,7.187,1.781,9.458,5.55,5.138,9.749,6.903,5.799,0.8323,0.8178,0.745,7.441,8.352,4.298,9.028,4.735
2021,REG000001132,3.6591,8.389,0.695,9.725,1.579,6.555,8.701,7.992,2.05,2.427,0.5322,0.9776,0.5104,7.019,8.129,2.026,6.831,6.205
2024,REG000001133,2.3732,7.219,4.679,4.751,6.695,5.29,6.545,5.056,9.334,0.748,0.1863,0.6556,0.0679,8.326,7.308,5.075,9.176,5.352
2023,REG000001134,3.1473,5.307,2.522,9.261,8.351,2.199,4.902,6.097,0.038,4.752,0.0803,0.0355,0.7084,1.062,8.888,3.003,8.272,5.198
2011,REG000001135,3.6774,2.355,0.132,4.321,9.543,2.544,3.618,4.139,1.114,4.083,0.8813,0.4632,0.5764,9.324,0.174,5.635,4.162,4.635
2009,REG000001136,1.8345,6.83,5.718,3.817,2.315,8.583,6.806,7.057,9.786,1.665,0.2359,0.5904,0.8552,2.12,2.901,8.29,8.389,5.113
2008,REG000001137,0.5216,4.11,2.155,0.372,7.898,3.711,2.175,5.425,6.009,0.906,0.1802,0.8358,0.8019,5.841,0.68,2.895,2.744,3.812
2010,REG000001138,6.2737,1.628,7.336,6.49,5.444,8.024,8.816,1.58,2.238,7.118,0.7391,0.7011,0.3204,2.792,9.152,1.346,2.811,5.12
2017,REG000001139,1.6698,0.636,1.381,0.685,3.906,5.976,8.711,6.033,1.737,5.435,0.5293,0.7818,0.8423,9.327,2.396,9.263,6.837,4.039
2016,REG000001140,6.9119,9.181,7.866,0.729,5.768,5.088,3.419,2.093,0.216,4.303,0.4299,0.5246,0.8988,0.137,7.719,2.9,8.989,4.523
2016,REG000001141,2.232,0.552,6.215,9.779,7.63,0.813,0.558,9.764,6.777,4.575,0.3185,0.3841,0.4182,7.856,0.115,3.113,9.667,4.152
2018,REG000001142,8.5711,6.404,0.585,5.395,7.098,3.906,6.958,3.225,1.851,4.342,0.0468,0.211,0.4196,6.543,3.231,9.675,5.164,6.244
2016,REG000001143,7.0632,2.211,6.887,8.622,4.161,0.971,6.736,0.542,3.556,9.767,0.157,0.9774,0.9337,0.964,0.943,5.555,8.658,4.431
2012,REG000001144,7.1023,9.715,9.13,4.893,7.383,6.594,2.2,9.148,3.125,7.983,0.2579,0.5786,0.0552,7.51,9.371,3.686,9.885,5.976
2015,REG000001145,3.7714,3.663,6.321,2.589,0.115,3.027,6.015,7.201,3.71,1.463,0.0965,0.8665,0.0796,6.735,3.436,2.496,5.564,3.531
2016,REG000001146,4.8015,0.214,0.846,5.359,0.728,2.304,4.258,3.954,2.811,4.39,0.1372,0.1736,0.1236,8.495,0.888,6.613,3.895,3.683
2013,REG000001147,6.6706,7.324,4.352,9.183,7.114,7.29,7.217,1.015,7.126,6.047,0.9053,0.0853,0.8294,0.062,8.046,4.534,5.995,6.622
2014,REG000001148,0.1337,4.468,3.668,5.473,2.408,3.816,2.325,8.082,5.257,1.068,0.4209,0.3656,0.1982,1.226,5.841,6.243,7.039,3.683
2025,REG000001149,7.1978,2.406,6.642,2.649,2.408,7.595,9.432,4.843,9.088,0.685,0.2509,0.0406,0.6755,5.567,9.819,4.716,9.317,5.254
2022,REG000001150,7.5809,2.563,9.502,9.289,3.645,2.694,5.302,9.7,4.997,0.743,0.7817,0.2553,0.2452,7.864,1.354,3.365,7.101,5.012
2019,REG000001151,8.259,6.764,3.24,7.15,9.025,0.563,3.143,5.833,9.617,4.505,0.0874,0.3388,0.9038,7.903,2.707,6.044,1.037,6.267
2016,REG000001152,6.4601,8.841,7.159,9.861,4.638,5.295,5.683,1.217,1.043,4.572,0.782,0.6261,0.3885,8.355,8.963,2.525,5.59,5.485
2025,REG000001153,3.0772,2.782,8.702,7.164,4.064,2.682,4.33,3.424,6.956,0.429,0.5272,0.2601,0.428,7.244,3.098,5.454,6.333,3.656
2024,REG000001154,2.1703,2.601,1.795,6.459,6.013,3.758,2.812,2.835,8.508,7.095,0.5419,0.475,0.9861,1.1,3.501,9.936,9.555,4.481
2025,REG000001155,5.3604,5.792,8.259,4.012,7.121,0.955,2.703,7.414,9.604,2.343,0.7865,0.1791,0.3726,0.5,3.042,4.452,3.407,4.67
2010,REG000001156,1.8345,9.425,7.98,9.557,7.334,8.503,8.71,0.334,4.609,0.949,0.5264,0.0127,0.8444,4.893,8.794,7.74,9.099,5.692
2024,REG000001157,2.1536,9.535,0.749,0.793,7.555,3.67,3.338,3.963,1.14,6.273,0.6337,0.226,0.5059,3.085,6.925,7.834,3.895,4.707
2018,REG000001158,7.6987,0.167,7.939,7.503,1.117,8.676,1.602,5.926,1.931,5.636,0.0263,0.8487,0.1684,5.259,3.925,9.327,6.623,4.379
2018,REG000001159,3.0618,7.556,0.09,7.598,2.363,3.138,0.518,5.598,6.003,3.799,0.6015,0.9222,0.5042,4.963,8.418,6.619,7.528,4.784
2016,REG000001160,1.5079,9.492,2.366,8.054,9.598,3.845,5.306,8.828,9.382,1.06,0.1847,0.2862,0.2922,0.112,2.193,4.282,5.825,6.393
2024,REG000001161,6.701,4.1,9.861,5.201,6.004,3.076,6.009,5.655,8.112,10.0,0.286,0.2422,0.4169,0.647,6.319,8.876,0.918,5.041
2024,REG000001162,4.6761,5.125,5.105,0.488,7.164,2.923,6.14,0.274,3.856,4.518,0.7366,0.7781,0.1072,8.994,8.617,6.2,9.871,4.142
2008,REG000001163,3.7122,5.408,0.826,2.799,8.846,9.946,4.696,4.588,6.161,5.711,0.8977,0.4867,0.6558,2.095,5.729,1.572,1.988,6.069
2011,REG000001164,6.2513,1.937,4.212,9.356,4.563,8.062,6.658,3.14,9.725,2.568,0.6398,0.6606,0.085,6.402,3.181,6.781,7.719,5.918
2010,REG000001165,6.3684,9.214,3.094,3.66,0.152,3.681,5.617,8.109,0.833,4.527,0.3551,0.3065,0.4284,5.822,9.553,6.253,4.434,5.099
2011,REG000001166,9.8345,5.508,2.489,0.482,5.054,7.783,8.089,7.283,7.835,7.113,0.311,0.1785,0.2407,4.195,9.495,7.56,0.806,6.754
2019,REG000001167,1.9796,9.612,6.511,4.291,2.871,8.039,1.647,4.893,7.721,4.279,0.877,0.451,0.2135,6.779,8.237,8.481,7.475,4.681
2015,REG000001168,3.2497,6.55,8.582,7.689,3.057,5.584,2.902,8.332,2.797,6.309,0.2618,0.8712,0.4236,4.464,6.064,7.95,5.571,4.548
2011,REG000001169,0.5128,6.739,1.582,0.694,0.322,2.02,6.526,4.218,6.128,8.909,0.2,0.5626,0.8599,6.241,5.038,1.545,1.731,3.608
2024,REG000001170,5.9929,0.252,9.95,6.895,9.163,7.813,5.656,3.346,3.222,9.883,0.0347,0.1459,0.3207,1.56,2.583,6.619,8.516,5.044
2010,REG000001171,6.138,5.386,9.647,8.993,0.05,6.309,5.391,0.53,4.076,3.29,0.9295,0.7296,0.049,2.993,2.071,3.878,0.353,4.32
2016,REG000001172,4.7411,1.557,4.67,3.107,5.797,2.324,8.212,1.732,0.058,0.768,0.0687,0.8664,0.0114,9.239,6.743,3.823,1.191,3.816
2009,REG000001173,2.7702,1.639,4.612,3.421,9.134,8.639,3.222,9.136,0.016,4.478,0.9475,0.0822,0.2733,1.025,7.217,8.481,9.206,4.831
2014,REG000001174,5.2013,2.639,6.878,8.332,1.068,8.997,7.497,0.002,3.19,6.364,0.0948,0.226,0.8218,4.783,3.513,8.726,8.338,4.654
2017,REG000001175,0.3454,9.075,2.872,5.494,0.908,5.901,5.339,0.452,4.527,0.835,0.4571,0.6362,0.247,6.403,5.642,1.939,9.512,4.068
2008,REG000001176,8.9395,8.856,7.196,8.707,8.956,1.021,9.545,1.143,1.626,9.661,0.8988,0.5499,0.9634,6.485,3.512,8.321,0.239,6.336
2011,REG000001177,2.7766,1.173,3.581,7.651,7.785,0.151,8.506,8.282,3.731,5.2,0.7442,0.8592,0.5654,9.742,7.835,1.254,9.606,4.82
