tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_naics,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_usd,tax_incent_credits_claimed_usd,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_usd,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2021,INC000000899,ABATEMENT,454110,LOCATION,173,45,1694626815.79,673315147.81,204235,91140,17557,17877392589.5,3450987139.38,0,215528267.93,58.58,38350.24,0,2031-05-29
2023,INC000000900,CREDIT,423450,HIRING,2226,1655,314190697.32,317879584.58,112369,109123,73921,1977754275.27,817647990.4,0,11508731.8,32.88,4300.26,0,2030-07-02
2012,INC000000901,ABATEMENT,541511,HIRING,710,488,1952539451.49,829760329.29,51163,2754,581,1444217487.36,1001309465.79,0,111811989.51,90.4,1428158.91,0,2035-10-18
2022,INC000000902,CREDIT,311811,CAPEX,2145,931,741301236.19,349404833.49,20551,1588,1588,4233070174.25,4092660325.35,0,26146802.58,68.48,220028.23,1,2033-05-09
2009,INC000000903,OTHER,512110,HIRING,2266,1704,420110790.44,361981864.97,113499,18328,13285,23286614160.26,3567506369.84,0,43746557.0,47.33,27247.41,0,2032-03-05
2008,INC000000904,ABATEMENT,236220,HIRING,1502,935,782211396.61,79286670.13,149195,66374,14191,15996407218.66,7713765768.67,0,77488085.85,51.62,5587.11,0,2034-09-18
2022,INC000000905,OTHER,325412,TRAINING,1093,512,1789859505.28,1420891488.75,136362,13780,10800,7742806674.92,4293601022.08,0,267130220.35,36.95,131564.03,0,2026-11-05
2014,INC000000906,EXEMPTION,512110,HIRING,1182,461,300601350.43,143627091.93,48974,105950,21813,3512616788.66,2008347299.6,0,19548539.75,64.57,6584.47,1,2028-05-10
2015,INC000000907,ABATEMENT,311811,BROWNFIELD,2183,1134,1084215018.12,891082301.93,16298,104893,100914,8311185211.95,4202925573.31,1,26734867.34,33.85,8830.12,0,2031-07-05
2023,INC000000908,CREDIT,334111,R_AND_D,153,143,1549812653.71,828853654.43,105026,37477,14718,14154892709.83,2599416210.84,0,211557168.47,39.97,56315.64,0,2034-08-10
2011,INC000000909,GRANT,445110,CAPEX,942,578,637012185.78,268939537.5,221767,111856,89217,13405608617.51,10454442033.97,0,95149762.74,27.0,3014.44,1,2032-04-05
2018,INC000000910,ABATEMENT,621111,INNOVATION,1943,1143,316192110.58,314794381.59,120215,46220,19678,23405334784.12,1818222955.15,0,29088252.0,69.42,15997.28,0,2026-11-16
2023,INC000000911,GRANT,325412,LOCATION,1846,1011,868672918.1,112413098.37,99448,35771,35332,14798492635.13,13832718749.9,0,33372470.44,56.34,3181.62,1,2035-01-29
2022,INC000000912,CREDIT,512110,CLEAN_ENERGY,1710,612,1584418287.77,1511398906.14,116743,94579,9969,18302684640.5,13555891531.87,0,46942366.61,76.73,151609.88,1,2032-07-16
2018,INC000000913,REBATE,334111,TRAINING,546,144,1583316150.97,297001271.66,145804,83794,24423,4179021766.47,1460568147.76,0,135774350.4,34.9,12160.72,0,2033-10-31
2017,INC000000914,CREDIT,621111,LOCATION,1602,1310,160315275.47,139742853.65,242381,61165,57393,1811675897.13,349281914.61,0,11966926.24,40.24,2434.84,1,2031-04-18
2022,INC000000915,REBATE,311811,LOCATION,178,83,1730763400.11,1007137416.28,155154,114047,98453,10901287840.06,9501014469.88,1,211332080.92,87.69,10229.63,0,2026-03-15
2019,INC000000916,ABATEMENT,334111,R_AND_D,483,446,123507622.24,13568621.41,205722,82150,59843,5277832217.35,2233541627.92,0,3329.01,40.57,226.74,0,2035-10-21
2009,INC000000917,GRANT,454110,HIRING,2156,792,1610539263.6,1315176612.17,24523,46157,32737,11483819396.66,8582101053.49,0,142439775.54,15.41,40174.01,1,2033-07-01
2014,INC000000918,EXEMPTION,454110,CAPEX,2036,983,1557767197.32,221351441.03,142515,50815,50815,9976694593.52,1605904832.31,0,80493817.57,58.9,4356.03,0,2029-05-01
2014,INC000000919,CREDIT,334111,INNOVATION,170,104,1219807832.55,410943729.37,152817,98909,18898,2942883655.67,2714253192.4,0,382154.89,91.61,21745.36,0,2028-05-12
2009,INC000000920,EXEMPTION,325412,CAPEX,2058,1806,86821217.04,74315279.88,162980,35449,28243,18821534425.89,3118324305.96,1,4629828.1,19.93,2631.28,0,2026-12-06
2019,INC000000921,REBATE,541511,CAPEX,1135,450,1327627856.63,587151206.38,9757,25567,18241,24072856603.35,11060877603.07,0,43435476.45,7.02,32188.54,0,2030-09-09
2017,INC000000922,OTHER,423450,HIRING,1104,939,798142235.11,225874267.73,61722,113342,35048,20091481579.21,18629709529.1,0,34422418.16,99.09,6444.71,0,2026-07-06
2023,INC000000923,EXEMPTION,334111,R_AND_D,1733,1138,627833127.32,451746855.36,201453,96936,37497,19241249514.81,11037488759.69,0,19211373.33,61.1,12047.55,0,2026-08-04
2022,INC000000924,GRANT,334111,CAPEX,1009,668,1829912464.43,1449600139.94,226314,65735,38295,919307921.44,272579575.68,0,181237490.37,69.6,37853.51,0,2034-10-16
2016,INC000000925,CREDIT,423450,LOCATION,2485,1039,786559066.58,760427036.21,3700,67302,23090,21111520585.13,15781498788.22,0,56165190.4,12.25,32933.18,0,2031-07-15
2009,INC000000926,REBATE,311811,EXPORT,356,124,1532217097.79,1441090571.62,244292,5449,1569,24205481042.0,20760452993.4,0,228543375.97,21.16,918477.1,0,2028-05-01
2011,INC000000927,ABATEMENT,423450,LOCATION,2147,1407,648202197.83,454200220.7,24826,68728,17766,4686301476.86,4121903189.6,0,18450712.39,87.27,25565.7,1,2028-07-06
2020,INC000000928,CREDIT,445110,CLEAN_ENERGY,2345,870,562940408.97,530483709.57,52582,105702,100430,15979147499.18,4870415368.78,0,69936760.42,13.77,5282.12,1,2032-10-05
2016,INC000000929,LOAN,236220,R_AND_D,1512,1285,522345507.22,186686555.45,174681,39985,39985,4176932788.47,1118194376.62,1,49732416.52,21.47,4668.91,1,2031-11-27
2015,INC000000930,EXEMPTION,423450,LOCATION,2494,1552,663718584.05,341597780.5,72370,57209,31212,24291905493.16,18941179159.39,0,17159538.48,36.09,10944.44,0,2031-07-16
2018,INC000000931,CREDIT,334111,R_AND_D,1604,874,920899635.26,776820848.31,57866,102929,38682,6718948222.83,6151861004.29,1,134465844.21,29.62,20082.23,0,2030-07-14
2008,INC000000932,REBATE,423450,INNOVATION,566,145,331460258.86,256667157.8,94978,7168,6909,2026834966.54,962883450.08,0,6141732.47,66.36,37149.68,0,2033-08-10
2025,INC000000933,CREDIT,334111,EXPORT,2185,756,397475049.86,190425498.24,30742,89669,69294,23965462512.45,10015863168.09,0,59476577.96,47.61,2748.08,0,2027-10-03
2020,INC000000934,CREDIT,237310,CAPEX,2034,1227,430906412.49,418669132.14,18036,108403,41710,22508084986.36,14782194823.06,0,43202323.54,25.14,10037.62,0,2031-03-15
2025,INC000000935,ABATEMENT,512110,CAPEX,200,103,1819448182.62,583348156.02,87811,68123,22619,11953410664.07,1309736469.21,0,106752388.1,62.59,25790.18,0,2027-05-08
2022,INC000000936,ABATEMENT,541511,CAPEX,2341,594,669310963.17,412045047.58,144444,19317,12794,4503548444.22,4520376314.07,0,54855719.0,86.62,32206.12,0,2031-04-08
2017,INC000000937,CREDIT,236220,EXPORT,2355,1154,859511268.27,448895257.33,143642,97819,68985,20333400559.56,8087121681.57,0,106121232.34,24.55,6507.14,1,2027-07-08
2015,INC000000938,ABATEMENT,236220,LOCATION,601,414,448620933.77,351415690.32,85646,98555,10198,13303680991.69,678610338.97,0,62187230.7,79.87,34459.28,1,2032-01-04
2022,INC000000939,CREDIT,541511,CLEAN_ENERGY,507,277,435796893.03,346842975.96,135547,60182,45144,13341874078.57,5817768794.96,0,47737149.64,34.95,7683.04,1,2032-08-19
2019,INC000000940,CREDIT,541511,EXPORT,59,34,1377969065.02,893443434.95,21604,22925,8069,14720967502.42,10756125663.4,0,193879717.09,82.15,110725.42,0,2030-02-02
2024,INC000000941,LOAN,512110,CLEAN_ENERGY,1521,695,1288287347.81,500978748.75,118726,50336,47219,13796731103.06,13668835016.84,0,84598458.49,5.55,10609.69,0,2026-01-25
2019,INC000000942,CREDIT,445110,CAPEX,2470,2123,350862283.08,195723377.68,124277,37123,30020,15882294419.85,7025879744.9,1,34779792.04,9.41,6519.77,0,2035-07-16
2016,INC000000943,REBATE,423450,EXPORT,1619,1416,820731905.98,496115258.43,60050,108716,105270,10009496008.49,6300092288.46,0,86053834.24,32.11,4712.79,1,2030-10-26
2015,INC000000944,ABATEMENT,454110,INNOVATION,2172,1628,1023389979.72,178397345.31,215223,26526,5185,10128178506.93,7535565052.88,0,73474388.7,59.5,34406.43,0,2034-08-09
2015,INC000000945,CREDIT,325412,CAPEX,304,254,15082076.09,7303148.01,119809,28020,20442,11212289079.0,9829603154.79,0,765376.84,45.53,357.26,1,2026-03-04
2013,INC000000946,CREDIT,236220,R_AND_D,85,35,366720568.63,145900908.16,7681,46425,12036,3043822079.07,1344919485.33,0,7737702.62,0.02,12122.04,1,2034-12-18
2010,INC000000947,CREDIT,236220,CAPEX,369,230,665333676.11,398784382.87,76589,39008,36423,6594974521.82,5850717962.43,0,56011218.94,45.73,10948.7,0,2027-12-12
2007,INC000000948,GRANT,325412,LOCATION,2397,871,1704992184.82,1507126759.22,226497,1262,312,110309835.91,69946976.51,0,156968187.26,33.45,4830534.48,0,2035-12-15
2020,INC000000949,CREDIT,423450,TRAINING,2334,1452,1318493650.32,539504874.73,157368,33133,8641,7127851037.61,4151985661.63,0,172649686.69,60.18,62435.47,0,2032-07-26
2025,INC000000950,CREDIT,621111,HIRING,894,287,1335873547.13,956822566.75,48919,34898,15846,21295672648.64,2185341865.1,0,116665081.38,5.55,60382.59,0,2035-03-30
2017,INC000000951,LOAN,621111,R_AND_D,825,325,898983271.17,691430958.56,60391,26780,3596,3896977319.5,575108969.29,0,11159684.06,84.51,192277.8,1,2028-02-29
2019,INC000000952,REBATE,541511,R_AND_D,1331,897,1139462889.29,394193383.99,174971,63295,42305,9305737843.97,529197418.16,0,96534521.8,34.29,9317.89,0,2027-01-08
2012,INC000000953,REBATE,621111,TRAINING,93,61,1903035951.34,1932657072.61,150560,65212,43109,15137095113.7,4652656861.93,1,192276456.97,80.78,44831.87,0,2030-07-04
2007,INC000000954,CREDIT,541511,BROWNFIELD,1676,1299,156897851.97,16260102.94,207500,118222,40486,15588663126.73,3168499631.27,1,5364553.3,97.04,401.62,1,2026-06-01
2010,INC000000955,CREDIT,334111,TRAINING,625,227,438927109.26,308340008.72,140632,28945,28371,4839352276.18,1048522984.09,0,64253456.0,51.91,10868.14,0,2028-12-31
2007,INC000000956,REBATE,237310,CAPEX,1140,779,1027713521.59,265161520.35,243614,96400,60587,10915739912.09,7965171191.45,0,22081462.18,34.89,4376.54,0,2034-11-21
2018,INC000000957,CREDIT,454110,CAPEX,1585,914,1629170985.79,1388543997.13,53452,36128,10955,15110496710.68,8634001429.97,0,71179215.23,65.89,126749.79,0,2032-11-01
2009,INC000000958,REBATE,445110,LOCATION,1223,564,1528486817.19,413604553.1,104812,101528,56213,8888984141.08,6415669787.9,0,101751525.34,33.68,7357.81,0,2035-01-28
2014,INC000000959,CREDIT,541511,BROWNFIELD,275,258,1764743565.21,1435494235.22,31449,29098,26915,11446277327.14,5370407468.3,0,257983395.65,25.92,53334.36,1,2033-09-04
2017,INC000000960,EXEMPTION,423450,R_AND_D,323,263,1568313010.51,521649169.69,102460,78975,73862,16288730614.39,6968903461.51,0,105237203.51,89.15,7062.48,1,2026-04-19
2020,INC000000961,CREDIT,621111,EXPORT,1158,330,1971905965.97,1766979959.71,70693,101349,48601,16254752658.79,16231380137.0,0,183192162.61,77.67,36356.86,1,2035-06-18
2011,INC000000962,EXEMPTION,334111,CAPEX,652,291,190580034.79,37990983.03,59589,28122,7016,526500934.27,128938537.64,0,7769225.05,48.64,5414.91,0,2032-09-19
2020,INC000000963,CREDIT,454110,CAPEX,1641,831,359300669.53,254023070.51,79965,56357,34575,20785632516.43,1120686457.59,0,39609934.82,2.89,7347.02,0,2032-07-26
2011,INC000000964,GRANT,236220,HIRING,1969,1236,1953920064.03,1743685992.03,90731,48220,23953,5108874723.92,2226257904.85,0,63808025.2,62.02,72796.14,0,2026-09-30
2010,INC000000965,ABATEMENT,334111,EXPORT,1716,1207,717853508.2,745061611.62,149779,104599,27707,13014456671.71,8412963040.0,1,14770387.53,37.83,26890.74,0,2032-05-30
2020,INC000000966,CREDIT,237310,BROWNFIELD,376,206,937332720.8,832078257.16,231210,114181,20089,869803771.44,574499035.93,0,10055388.2,66.49,41419.6,0,2029-11-30
2016,INC000000967,ABATEMENT,541511,LOCATION,1782,577,1076292703.2,378961621.19,100052,99922,81844,7672587737.34,5848652212.37,0,28267157.74,77.68,4630.29,0,2028-11-21
2012,INC000000968,CREDIT,512110,R_AND_D,131,111,70733860.82,11946412.87,214581,116721,88908,10325987478.86,1606075490.64,1,7431320.35,9.21,134.37,0,2033-07-20
2020,INC000000969,REBATE,454110,TRAINING,988,815,1367964686.67,1414047342.59,190365,34061,27519,62747665.39,10386220.74,0,28157537.46,20.54,51384.4,0,2034-12-24
2022,INC000000970,ABATEMENT,237310,HIRING,853,732,1174523825.59,278810367.0,211436,5114,1681,15961323333.49,15959684279.44,1,79768337.69,83.82,165859.83,1,2028-12-08
2025,INC000000971,EXEMPTION,454110,EXPORT,829,237,63490583.42,48856010.85,25086,42872,32887,24202979098.53,17151390635.0,0,5665515.1,64.72,1485.57,0,2035-11-22
2021,INC000000972,GRANT,236220,CAPEX,708,419,213772405.18,177952943.39,62581,32467,31558,12733390743.02,7707469709.57,0,8253805.58,43.97,5638.92,0,2035-03-28
2020,INC000000973,REBATE,236220,INNOVATION,1717,538,53710937.08,47319064.64,235158,68955,21243,15301942312.39,13926558523.78,0,858532.29,86.81,2227.51,0,2026-07-04
2019,INC000000974,CREDIT,334111,EXPORT,2441,1032,527314759.22,236015268.09,159187,97136,51351,1981260290.22,1352288931.39,0,56599543.85,45.21,4596.12,0,2028-05-10
2009,INC000000975,LOAN,237310,CLEAN_ENERGY,355,137,1701489259.33,1194106729.04,58874,52098,12234,3727872529.05,3569039552.2,0,54846018.07,65.54,97605.59,0,2033-11-16
2010,INC000000976,REBATE,541511,TRAINING,2399,1645,1206110397.66,1264784353.84,116926,66448,52970,2040299657.5,1088293647.53,0,102004021.76,86.08,23877.37,0,2032-05-11
2024,INC000000977,GRANT,237310,HIRING,76,40,468179837.91,153737673.34,90631,64057,64057,24866337062.81,1296947132.79,0,37616187.94,86.64,2400.01,0,2033-09-09
2007,INC000000978,EXEMPTION,236220,BROWNFIELD,2473,895,565171343.99,146219775.09,190134,11218,2849,7395979183.4,5879679515.65,0,6615634.74,50.4,51323.19,0,2026-01-21
2018,INC000000979,ABATEMENT,423450,EXPORT,2195,1699,172636070.3,49919943.96,135204,53351,27274,20837856398.19,20193768203.45,0,6087496.0,20.39,1830.31,0,2026-05-22
2018,INC000000980,CREDIT,621111,CAPEX,1741,618,327671505.81,201175147.37,5850,75877,39699,17934245610.77,14875043676.71,0,22224125.17,82.33,5067.51,1,2030-07-26
2014,INC000000981,ABATEMENT,423450,TRAINING,2341,1087,753608913.77,256993019.11,207208,48088,33261,3874663946.02,1977321473.98,0,57981995.53,3.78,7726.56,0,2030-06-07
2010,INC000000982,REBATE,237310,HIRING,1153,321,633086590.86,577463283.56,132573,60042,50486,20740722408.09,16359752563.28,0,54383227.96,89.8,11438.09,1,2029-08-16
2009,INC000000983,CREDIT,512110,CLEAN_ENERGY,852,467,444691852.89,449125535.28,97813,24081,3762,13026323921.24,1585076519.27,0,54297080.65,7.98,119384.78,0,2033-09-19
2011,INC000000984,EXEMPTION,334111,R_AND_D,123,59,815133227.32,650901354.13,79520,103273,25445,18916413830.76,12870282044.66,0,75123450.56,81.47,25580.72,0,2034-06-14
2012,INC000000985,GRANT,512110,TRAINING,2410,1877,764752008.95,235487387.2,100117,86490,14745,20166457230.06,7748642364.89,0,66950887.45,92.02,15970.66,0,2028-03-29
2007,INC000000986,CREDIT,423450,CLEAN_ENERGY,68,39,1556453066.07,606698282.81,238804,22010,15709,688491140.64,473324943.31,1,157269010.0,17.78,38621.06,1,2027-09-03
2017,INC000000987,REBATE,454110,TRAINING,905,463,528927998.17,541533729.09,180308,71890,48974,4431206516.64,3947151602.81,0,27773995.82,53.14,11057.58,0,2027-10-08
2007,INC000000988,CREDIT,541511,CLEAN_ENERGY,234,105,1065695485.41,131165199.95,3944,36948,18706,3455326390.82,1787660523.64,0,100723999.43,30.16,7011.93,0,2035-04-18
2019,INC000000989,GRANT,541511,INNOVATION,2299,673,676758481.44,505284772.03,3385,90082,41771,3891122877.12,365320305.27,0,23837220.28,46.16,12096.54,0,2034-09-30
2007,INC000000990,CREDIT,237310,INNOVATION,971,315,1555042643.82,210182215.04,31775,100599,94153,15962239726.51,4822616238.37,0,7994944.62,16.7,2232.35,0,2033-11-02
2014,INC000000991,OTHER,311811,INNOVATION,26,22,1034440763.15,993602907.34,133786,82520,22441,6091454284.76,1923362203.41,0,128326463.53,52.94,44276.23,1,2029-08-18
2024,INC000000992,CREDIT,237310,CAPEX,705,205,1237022951.08,734884447.49,162945,25172,13325,15303328644.54,13398035388.81,0,149478038.54,46.66,55150.8,1,2032-11-25
2008,INC000000993,EXEMPTION,621111,CLEAN_ENERGY,317,198,1469154009.28,276627980.07,145217,101161,73868,22047673318.91,6203684932.6,0,174654011.42,94.29,3744.9,1,2034-08-16
2010,INC000000994,OTHER,454110,R_AND_D,868,278,425424060.35,95091295.6,3506,55304,21610,11643090897.68,4708580521.55,0,29682306.56,98.6,4400.34,0,2035-02-08
2007,INC000000995,ABATEMENT,325412,R_AND_D,986,261,1182745021.37,949655960.04,204736,64699,50772,19362581813.96,13432404304.25,0,2590999.05,0.44,18704.32,1,2027-07-26
2022,INC000000996,CREDIT,454110,TRAINING,271,78,1355146144.74,1283898534.65,144382,103279,100680,15914292312.06,12347385380.11,0,137923306.35,75.14,12752.27,1,2029-08-22
2025,INC000000997,GRANT,454110,R_AND_D,1913,670,1059594133.59,350970880.79,196711,24635,18663,13334499743.06,8269149961.39,0,76427001.33,17.95,18805.71,1,2035-11-04
2012,INC000000998,CREDIT,423450,R_AND_D,146,85,386247113.94,329704904.78,83859,117210,53335,3786595242.01,2954652079.19,0,54473191.46,68.43,6181.77,1,2033-05-03
2015,INC000000999,LOAN,621111,CLEAN_ENERGY,657,454,933901810.87,604959716.35,96358,63574,33345,14454571690.63,1536572303.13,0,121922981.38,6.9,18142.44,1,2034-02-19
2009,INC000001000,REBATE,334111,CLEAN_ENERGY,1471,879,669296453.92,337314946.03,32038,89838,34392,23844510559.55,17898524305.41,1,96600869.43,4.67,9807.95,0,2034-03-16
2010,INC000001001,OTHER,445110,TRAINING,1915,897,587739868.29,342645013.81,193440,33670,25069,8142975276.72,8115570630.92,0,59201439.73,53.98,13668.08,1,2033-08-05
2007,INC000001002,GRANT,311811,EXPORT,2493,895,1665843962.53,1517870152.79,118222,29471,25446,20993943700.02,14035811599.3,0,26833295.72,83.66,59650.64,1,2030-10-28
2014,INC000001003,REBATE,236220,TRAINING,608,523,1199478028.51,897031512.62,108894,12437,12238,10990236195.47,3312304348.46,0,72158342.83,41.84,73298.87,1,2026-10-11
2018,INC000001004,CREDIT,454110,TRAINING,448,408,1736633550.04,609568744.25,150805,50148,36161,21103016909.64,16272213077.63,0,247427879.12,44.21,16857.08,0,2034-06-03
2015,INC000001005,ABATEMENT,512110,LOCATION,392,162,8167455.36,1609235.79,89198,5104,5003,16797987850.43,12735877424.78,0,1165333.05,52.09,321.65,0,2034-10-29
2007,INC000001006,GRANT,423450,HIRING,1187,637,399410932.94,337311412.69,108913,61135,8445,9304958765.7,8983083030.72,0,37209844.19,89.38,39942.14,0,2034-09-08
2010,INC000001007,LOAN,512110,TRAINING,2382,2172,984550145.16,364193596.61,50980,22085,7850,14907096879.78,7940676906.25,0,130594984.25,81.16,46394.09,0,2030-07-31
2020,INC000001008,CREDIT,454110,INNOVATION,1133,371,1667210309.72,212838266.99,111647,104751,55084,3980119099.13,1431590012.06,0,66175319.71,22.05,3863.89,0,2027-02-17
2019,INC000001009,CREDIT,236220,INNOVATION,28,8,180444298.6,138531318.73,125365,103940,15313,10104863630.96,10244567101.74,0,15262395.53,53.04,9046.65,0,2032-09-07
2010,INC000001010,LOAN,541511,LOCATION,2356,1564,782397099.34,342889018.36,203039,69066,69066,4500526844.39,2641762892.76,0,111557451.9,7.51,4964.66,1,2031-04-11
2018,INC000001011,CREDIT,237310,EXPORT,895,669,1225896489.73,367033191.8,80301,94450,46213,8076491965.36,2434327842.15,1,117354105.94,20.66,7942.21,1,2027-08-10
2013,INC000001012,CREDIT,236220,LOCATION,110,38,666921845.49,508570084.24,49617,56972,56972,14457037233.62,12526656924.08,0,8168454.14,45.99,8926.67,0,2026-05-21
2011,INC000001013,OTHER,325412,CAPEX,2110,1188,655315088.28,316932167.97,54840,85586,74236,6229627367.2,2004404956.91,0,62466516.92,73.75,4269.25,1,2033-10-05
2009,INC000001014,LOAN,454110,TRAINING,1453,510,858910464.86,598685662.58,70259,786,786,14924797302.88,11930679275.49,0,100133166.6,29.31,761686.59,0,2026-11-17
2009,INC000001015,REBATE,237310,CAPEX,1991,1635,1246750863.31,585118568.0,64871,18334,18334,4930265218.17,3963184482.15,0,89744045.28,69.92,31914.4,1,2033-03-30
2011,INC000001016,OTHER,512110,HIRING,2445,1802,1353892404.95,885407476.77,22745,79816,47340,2146357078.14,630720103.2,0,145636788.25,48.29,18703.16,0,2034-08-15
2019,INC000001017,CREDIT,334111,R_AND_D,586,407,570268179.07,65670397.15,48049,46734,34470,2779021777.01,739303013.36,0,11989336.18,96.97,1905.15,0,2033-01-27
2021,INC000001018,CREDIT,541511,CLEAN_ENERGY,1547,684,1385352879.14,934085662.87,76604,5040,4808,13832101132.71,6162571062.7,0,90823821.7,94.97,194277.38,0,2028-11-06
2012,INC000001019,OTHER,237310,HIRING,1001,598,1552810664.55,1619914685.36,94116,97112,17312,12156138474.68,5844160645.58,1,208377146.86,93.08,93571.78,0,2026-05-16
2025,INC000001020,GRANT,236220,LOCATION,630,216,745206626.78,778386344.81,74520,35707,16509,18200332113.6,11925568912.56,0,5881408.66,36.45,47149.21,1,2032-05-04
2015,INC000001021,CREDIT,423450,CLEAN_ENERGY,345,268,823100888.19,86502485.73,129832,59905,49115,4190933138.2,2165624962.68,0,113667424.79,9.63,1761.22,1,2035-12-11
2022,INC000001022,ABATEMENT,237310,HIRING,1890,1225,1004348096.98,467793838.63,172023,105031,60632,10618657393.0,5704166505.94,0,86878656.64,9.27,7715.3,0,2034-08-17
2023,INC000001023,ABATEMENT,237310,TRAINING,580,208,241717018.01,35103492.48,80624,117858,77959,33918850.89,11950132.92,0,14341315.89,0.78,450.28,0,2035-12-29
2020,INC000001024,REBATE,325412,CAPEX,1246,1098,1943585516.6,1303405566.04,68222,17085,9690,18003796047.05,10134267682.74,0,71500804.79,9.42,134510.38,1,2035-10-23
2020,INC000001025,LOAN,621111,LOCATION,1923,769,1204158413.26,1149770013.82,169090,80612,51741,14857346113.2,5874653201.42,0,111987589.37,64.17,22221.64,1,2033-05-15
2014,INC000001026,REBATE,423450,HIRING,444,158,604046551.06,175216378.21,189773,8501,5417,21806192166.03,12843215495.86,0,31068245.41,51.76,32345.65,0,2029-08-15
2017,INC000001027,CREDIT,311811,CAPEX,1568,1078,986837258.47,281425513.74,94619,25782,19943,3915584223.14,2856907574.69,0,57783820.9,29.2,14111.49,1,2029-05-18
2007,INC000001028,CREDIT,445110,R_AND_D,2148,827,593196999.15,453984405.29,116917,35630,4380,11333630606.39,6173240167.42,0,51919302.16,36.1,103649.41,1,2031-02-22
2013,INC000001029,GRANT,512110,INNOVATION,1232,610,724146626.81,363127276.34,241711,26842,15688,22204402221.64,19799068931.52,0,85779275.76,40.17,23146.82,0,2026-10-05
2023,INC000001030,CREDIT,621111,BROWNFIELD,836,247,1038297330.8,288443929.02,26359,78354,17310,13993548348.74,11044544593.18,0,43019093.21,72.85,16663.43,0,2035-08-05
2020,INC000001031,GRANT,423450,CLEAN_ENERGY,2207,1391,785487916.2,368028809.48,212053,76684,42598,637899107.71,200902438.32,1,58333691.18,59.49,8639.58,1,2028-04-14
2019,INC000001032,CREDIT,423450,LOCATION,1019,638,1169446604.44,687045480.28,122816,93994,54118,22747467306.48,13017260808.18,0,133927361.86,53.79,12695.32,0,2033-09-02
2018,INC000001033,REBATE,236220,BROWNFIELD,2415,1372,1640188410.47,1698228576.15,118826,8137,2202,11849435773.18,4580828836.01,0,231072616.5,38.68,771220.97,1,2029-05-26
2016,INC000001034,ABATEMENT,236220,CLEAN_ENERGY,154,95,986914052.06,809084951.49,229021,58791,20511,7061802292.58,4516348107.34,0,76067955.58,1.81,39446.39,1,2029-02-15
2017,INC000001035,LOAN,454110,INNOVATION,483,447,1313965236.86,649831806.99,45240,44007,25089,13408244001.43,5671725886.07,0,2764937.26,71.11,25901.06,0,2033-04-29
2017,INC000001036,GRANT,423450,CAPEX,989,617,291341299.35,297926817.3,198117,82771,17468,19727984416.49,5793533565.9,1,31811907.24,49.84,17055.58,1,2031-11-21
2017,INC000001037,EXEMPTION,512110,LOCATION,2224,2005,578427786.76,594850919.24,180019,11015,1665,8453249242.44,1442037557.06,0,2830386.64,67.07,357267.82,0,2033-08-08
2018,INC000001038,CREDIT,236220,EXPORT,1182,409,1934317706.31,843833318.53,15339,106999,89711,11882081206.74,5795161525.44,1,85613758.68,82.7,9406.13,0,2026-08-28
2010,INC000001039,ABATEMENT,621111,TRAINING,1914,1729,879001849.88,160981268.8,127960,54976,40725,9631639556.66,3097492970.81,0,126051591.79,54.9,3952.89,0,2033-05-06
2021,INC000001040,ABATEMENT,236220,CLEAN_ENERGY,1196,759,1022798928.25,413107859.59,50138,117962,25602,23156141250.12,20180245257.05,0,68518952.45,60.26,16135.77,1,2034-05-07
2018,INC000001041,ABATEMENT,237310,R_AND_D,1279,1213,386604838.43,279626512.65,213921,118634,100369,3912185879.12,1723326571.24,0,20996081.57,19.01,2785.98,0,2026-08-11
2014,INC000001042,REBATE,512110,LOCATION,484,235,943996773.84,328194341.94,181542,118400,25889,746476654.48,723008381.69,1,6021092.19,19.49,12676.98,0,2033-03-09
2015,INC000001043,EXEMPTION,454110,EXPORT,2491,1339,1846508212.26,386695659.82,21848,90140,50371,2827487145.09,1598284774.26,0,60164556.07,78.14,7676.95,0,2030-03-01
2012,INC000001044,ABATEMENT,237310,CAPEX,1288,965,612096042.02,184956813.51,162836,56818,14885,15272840353.29,11523143968.87,0,42024308.53,88.88,12425.72,0,2035-08-01
2017,INC000001045,CREDIT,237310,CAPEX,1243,840,1260832630.32,1038446575.86,73501,102737,61396,4799546463.63,2454683816.34,0,35709047.75,40.32,16913.91,0,2034-06-18
2010,INC000001046,REBATE,237310,R_AND_D,2434,1091,1156566736.83,439048831.08,239272,112029,112029,19576694005.58,7378553466.46,0,113700913.54,84.6,3919.06,0,2029-11-01
2012,INC000001047,CREDIT,311811,CAPEX,2272,1200,406749259.87,256903203.11,108461,61863,34392,1965932485.51,521461737.96,0,55025866.89,7.77,7469.85,0,2035-11-28
2011,INC000001048,CREDIT,236220,TRAINING,615,467,786173837.86,186457688.29,201867,107355,33065,14316285592.02,13977050526.63,0,38327120.66,97.42,5639.13,0,2030-07-25
