qol_trust_reference_year,qol_trust_country_iso2,qol_trust_region_nuts_code,qol_trust_trust_in_parliament_score,qol_trust_trust_in_government_score,qol_trust_trust_in_police_score,qol_trust_trust_in_media_score,qol_trust_corruption_perception_score,qol_trust_satisfaction_with_democracy_score,qol_trust_sense_of_safety_night_pct,qol_trust_victimisation_rate_pct,qol_trust_social_capital_index,qol_trust_volunteering_rate_pct,qol_trust_civic_participation_rate_pct,qol_trust_hate_speech_exposure_rate_pct,qol_trust_disinformation_exposure_index,qol_trust_institutional_quality_index,qol_trust_survey_source,qol_trust_survey_weight,qol_trust_data_extract_date
2022,LU,HU48,2.61,5.74,5.64,3.89,46.09,6.53,56.51,16.06,46.57,38.72,29.33,9.14,35.94,74.77,EUROBAROMETER,0.2813,2024-11-10
2023,RO,RO40,3.48,4.89,5.83,5.12,43.37,2.99,51.16,14.66,32.93,8.04,36.13,17.64,55.86,80.06,NATIONAL_TRUST_SURVEY,3.8105,2025-08-08
2024,AT,FI15,4.27,5.14,5.34,3.85,34.06,5.52,75.61,12.54,48.55,21.32,23.73,13.99,31.82,56.9,EUQLS,3.4008,2025-05-31
2025,CZ,HR142,5.87,5.45,6.82,2.08,50.53,6.79,80.04,16.24,62.7,24.02,24.48,21.9,77.93,69.08,ESS,2.7934,2025-07-24
2006,DE,AT86,5.85,4.5,5.69,2.14,40.46,4.41,82.92,9.92,67.01,14.31,9.83,20.57,71.99,61.72,EUROBAROMETER,2.6562,2025-05-15
2007,LV,ES4,5.19,2.01,5.35,5.43,66.44,3.97,43.25,6.8,34.2,6.75,38.09,21.42,55.09,77.46,NATIONAL_TRUST_SURVEY,4.2361,2025-04-21
2008,PL,LU591,5.3,3.27,7.61,5.08,37.64,5.9,64.56,12.84,68.67,16.96,11.52,7.05,58.07,49.41,EUQLS,1.4434,2025-01-17
2009,ES,LT798,2.37,5.93,5.59,5.81,62.25,4.61,69.43,14.05,62.66,16.36,41.76,5.22,36.43,36.8,ESS,4.7415,2025-05-22
2010,HR,MT34,6.36,5.01,5.76,4.79,80.58,5.58,64.54,9.02,65.03,8.52,45.42,5.13,52.14,58.6,EUROBAROMETER,2.074,2025-11-11
2011,FI,LT5,7.16,5.44,4.86,4.44,72.66,5.62,55.62,6.67,43.24,27.89,25.21,14.48,43.41,43.8,NATIONAL_TRUST_SURVEY,4.3439,2024-05-05
2012,IE,IE34,5.96,5.01,5.05,5.25,35.4,6.05,56.28,12.64,50.15,13.79,19.1,14.66,40.06,82.8,EUQLS,3.9276,2025-10-09
2013,MT,GR875,5.91,3.6,6.23,2.48,38.23,5.1,68.7,14.76,79.8,12.1,11.68,5.21,56.84,76.66,ESS,3.5537,2025-01-28
2014,SK,BE96,2.96,2.74,4.63,3.94,50.99,7.16,75.56,12.51,59.46,23.2,16.1,12.92,32.31,61.64,EUROBAROMETER,1.8232,2024-08-08
2015,BE,FI3,3.43,5.81,4.1,5.86,46.01,3.82,51.04,12.16,55.13,17.36,25.58,4.71,55.84,62.85,NATIONAL_TRUST_SURVEY,1.9101,2024-09-27
2016,DK,SK55,3.85,5.79,4.66,5.37,61.03,6.66,97.96,5.71,98.0,15.72,10.27,12.32,75.94,75.51,EUQLS,1.797,2024-10-29
2017,GR,IT5,6.35,2.46,5.74,4.65,56.3,5.24,49.89,13.21,74.37,5.46,20.48,16.06,44.84,36.52,ESS,0.8438,2024-12-27
2018,LT,ES373,3.33,2.26,4.78,4.39,55.45,4.33,87.34,8.26,77.77,17.8,16.66,15.67,52.78,63.78,EUROBAROMETER,1.9571,2026-01-20
2019,PT,LT38,5.49,3.01,5.92,2.67,69.66,4.46,51.59,16.13,44.74,12.52,16.32,21.74,36.12,34.4,NATIONAL_TRUST_SURVEY,2.1371,2026-01-20
2020,SE,IT43,5.09,3.03,6.7,1.9,93.67,6.17,70.83,10.31,42.02,35.75,37.94,21.05,54.9,50.46,EUQLS,0.9946,2024-11-03
2021,CY,FR71,4.6,6.17,3.87,5.26,76.05,4.48,81.13,8.31,40.61,25.12,23.85,16.89,52.1,61.44,ESS,4.7361,2024-03-12
2022,FR,PT2,5.95,5.58,7.05,4.66,68.88,6.42,46.68,11.43,71.81,16.64,29.6,4.56,73.99,47.64,EUROBAROMETER,1.2902,2024-09-25
2023,IT,PT19,5.8,3.61,6.13,2.54,55.57,4.98,42.8,8.15,69.33,26.6,41.5,8.55,85.1,82.72,NATIONAL_TRUST_SURVEY,0.7908,2024-04-18
2024,NL,CZ683,3.55,5.7,6.83,3.65,75.48,4.15,96.56,7.75,82.47,39.45,31.56,7.01,68.47,46.82,EUQLS,4.2383,2025-08-03
2025,SI,PT563,6.08,3.76,5.67,4.48,79.82,5.04,71.24,16.12,32.45,20.81,16.85,10.38,29.99,38.11,ESS,0.7829,2024-09-20
2006,BG,BG50,2.44,4.79,4.32,5.39,33.84,3.95,53.46,6.89,53.42,17.87,26.82,7.92,62.64,36.74,EUROBAROMETER,2.0626,2025-04-16
2007,EE,DK240,3.8,3.12,6.41,2.07,64.52,3.6,58.18,15.09,47.91,19.24,32.77,18.48,57.34,57.31,NATIONAL_TRUST_SURVEY,1.2293,2025-01-16
2008,HU,SE883,5.56,3.25,4.72,5.07,53.15,3.3,61.37,11.31,64.72,26.32,38.42,18.25,49.49,58.16,EUQLS,1.5026,2024-06-19
2009,LU,SE736,3.11,6.92,8.16,5.88,39.71,4.11,64.09,15.92,41.95,38.68,17.73,21.71,50.74,76.0,ESS,0.4266,2024-12-17
2010,RO,PL39,3.65,4.98,5.1,2.83,68.91,3.91,73.07,11.94,68.07,14.67,25.7,20.21,48.18,72.52,EUROBAROMETER,1.8454,2025-09-08
2011,AT,MT93,3.66,2.15,6.91,6.03,54.32,3.86,55.78,10.57,73.95,6.85,12.53,17.32,44.86,61.33,NATIONAL_TRUST_SURVEY,4.6638,2024-04-26
2012,CZ,NL33,3.05,4.7,3.76,2.39,72.3,4.86,62.61,5.85,78.4,21.94,10.45,24.7,59.69,59.49,EUQLS,4.057,2025-04-01
2013,DE,RO3,3.89,2.64,5.17,4.87,38.49,6.37,63.19,7.42,57.48,9.58,19.48,4.31,62.01,84.26,ESS,4.092,2026-02-11
2014,LV,IT61,5.84,5.74,5.1,3.53,47.24,7.11,87.31,7.76,53.49,8.1,11.94,15.77,49.32,41.78,EUROBAROMETER,1.6876,2024-10-04
2015,PL,NL4,5.34,5.7,6.56,3.38,35.05,7.09,62.93,13.75,61.86,7.68,43.26,14.13,68.98,84.62,NATIONAL_TRUST_SURVEY,4.5573,2025-11-28
2016,ES,FI431,2.86,2.77,4.43,3.84,67.68,4.07,61.43,6.47,77.33,15.94,29.55,19.42,44.04,70.91,EUQLS,1.7204,2025-05-16
2017,HR,BG16,2.69,4.37,7.55,5.61,78.56,6.31,68.27,11.57,35.46,15.63,22.82,20.33,76.41,82.74,ESS,3.975,2024-07-10
2018,FI,NL7,4.62,6.55,6.92,2.73,84.11,5.03,92.08,16.06,83.94,21.67,28.43,27.41,38.2,39.27,EUROBAROMETER,3.1713,2024-12-07
2019,IE,SI252,5.75,6.09,4.61,4.22,43.98,4.03,69.26,15.51,75.45,21.53,38.73,14.85,43.37,63.16,NATIONAL_TRUST_SURVEY,3.6343,2024-11-05
2020,MT,HR84,4.33,4.38,4.52,5.28,78.24,3.74,44.2,16.87,43.14,7.12,23.54,17.32,39.0,42.3,EUQLS,0.6218,2024-11-07
2021,SK,SI8,4.22,4.02,5.59,4.62,68.36,3.4,52.14,10.65,38.28,22.39,12.24,6.13,71.13,71.51,ESS,0.8367,2026-02-01
2022,BE,FR2,5.13,2.53,4.32,2.93,62.55,5.63,43.01,11.09,76.28,29.23,8.98,8.39,54.84,33.35,EUROBAROMETER,4.6657,2024-01-27
2023,DK,DE93,6.75,3.83,5.42,2.01,43.66,6.19,49.81,15.83,74.46,14.51,35.79,9.76,98.34,41.63,NATIONAL_TRUST_SURVEY,2.0477,2024-11-29
2024,GR,RO510,3.3,3.2,5.83,3.67,42.95,7.3,58.34,7.69,40.2,25.67,22.84,18.17,73.78,71.29,EUQLS,4.0302,2024-06-14
2025,LT,AT88,3.41,3.97,6.31,2.78,72.12,4.74,51.17,5.75,78.76,21.71,18.28,21.99,56.63,66.07,ESS,3.6647,2026-01-02
2006,PT,HU3,3.82,3.79,3.78,2.84,49.45,4.77,63.55,9.32,48.98,14.65,12.9,14.52,72.51,78.42,EUROBAROMETER,4.4746,2024-10-06
2007,SE,EE77,6.09,4.86,6.02,2.13,73.7,7.96,56.54,15.95,48.96,19.22,18.27,25.97,37.08,100.0,NATIONAL_TRUST_SURVEY,1.6609,2025-09-14
2008,CY,CY2,5.64,3.93,4.93,3.04,67.16,3.32,81.88,5.99,69.06,21.88,27.62,9.06,44.1,75.95,EUQLS,1.3633,2025-01-12
2009,FR,LV1,4.59,5.83,6.53,6.18,35.26,7.08,46.68,5.77,75.88,7.73,11.17,11.08,49.27,64.84,ESS,1.4588,2025-12-12
2010,IT,NL280,5.23,3.44,3.86,1.87,64.18,3.73,43.37,10.26,74.21,25.48,12.0,10.49,36.75,59.68,EUROBAROMETER,3.3109,2025-09-10
2011,NL,SE9,7.24,4.94,5.3,3.75,68.63,8.43,91.76,15.4,46.45,26.7,17.5,19.4,58.23,79.07,NATIONAL_TRUST_SURVEY,1.9292,2026-01-23
2012,SI,GR496,4.49,2.85,4.15,4.87,33.87,3.22,72.67,16.07,38.02,6.99,38.23,11.13,49.52,68.64,EUQLS,2.1919,2024-04-30
2013,BG,SK944,3.79,3.72,4.1,2.01,74.2,3.71,82.93,5.9,33.66,15.84,31.99,14.27,52.57,78.07,ESS,4.7066,2024-09-20
2014,EE,FI33,2.68,5.88,6.42,3.95,36.78,5.96,49.11,15.73,43.73,25.86,31.61,17.25,61.32,34.91,EUROBAROMETER,0.5731,2024-08-20
2015,HU,ES179,4.26,4.3,7.47,2.52,35.35,4.15,84.44,11.75,43.96,10.02,14.18,14.54,44.75,54.67,NATIONAL_TRUST_SURVEY,2.5195,2024-05-27
2016,LU,HR548,3.36,5.04,6.85,3.12,74.14,8.1,77.38,10.83,76.96,39.53,42.5,17.41,98.45,81.96,EUQLS,2.0794,2024-06-10
2017,RO,PT41,4.3,3.19,4.26,4.09,50.57,3.23,56.74,16.72,41.34,26.78,28.11,6.97,74.11,48.61,ESS,4.6782,2025-10-06
2018,AT,SE58,6.27,5.97,5.97,3.8,43.29,4.7,59.32,16.07,58.31,15.03,25.22,8.72,46.53,40.64,EUROBAROMETER,0.8869,2024-05-19
2019,CZ,DK953,3.43,2.22,4.88,4.61,61.15,4.0,81.16,9.76,70.02,11.37,13.75,15.13,75.32,69.46,NATIONAL_TRUST_SURVEY,0.6791,2025-04-20
2020,DE,SE4,5.58,5.55,6.61,1.83,62.49,5.03,58.29,18.68,63.67,22.44,43.61,14.21,85.63,38.06,EUQLS,1.6188,2025-06-29
2021,LV,HU1,3.41,3.95,5.93,4.46,74.49,5.07,66.26,12.49,62.41,23.61,24.91,16.36,72.23,39.74,ESS,3.4146,2025-09-25
2022,PL,CZ9,4.47,3.97,5.23,2.55,64.06,6.76,68.98,12.19,37.59,6.92,33.82,25.36,83.72,45.65,EUROBAROMETER,2.8932,2024-06-02
2023,ES,SI366,4.35,2.33,3.69,1.97,54.18,4.64,57.08,16.18,36.54,17.13,38.21,10.69,98.27,43.47,NATIONAL_TRUST_SURVEY,2.0207,2025-07-06
2024,HR,SK1,4.54,5.45,7.57,4.8,41.8,6.92,85.38,9.37,62.46,11.26,23.73,15.15,73.75,69.19,EUQLS,1.2553,2025-05-22
2025,FI,AT768,2.64,2.32,8.09,1.97,64.49,7.92,98.89,14.79,66.23,9.68,34.61,17.61,42.93,68.57,ESS,3.6535,2024-12-15
2006,IE,HR75,2.87,4.98,3.93,3.08,41.93,3.62,83.37,7.14,60.74,8.73,39.49,20.04,65.57,36.12,EUROBAROMETER,1.4224,2025-07-10
2007,MT,SE54,6.23,2.43,6.87,2.22,53.27,4.64,71.3,14.88,36.19,29.46,15.31,5.35,64.81,64.85,NATIONAL_TRUST_SURVEY,4.3324,2024-02-24
2008,SK,CZ474,2.91,5.18,7.63,4.14,62.11,4.19,67.61,9.85,59.56,16.9,38.46,6.15,20.43,50.33,EUQLS,3.8,2025-02-19
2009,BE,PT5,6.0,4.28,5.38,4.26,51.81,3.87,59.89,11.34,38.9,22.69,9.41,8.58,53.23,53.87,ESS,3.6401,2025-07-07
2010,DK,EE6,4.59,5.06,9.32,3.71,72.19,6.11,73.5,15.96,87.51,23.99,37.44,17.03,34.95,40.46,EUROBAROMETER,1.0904,2025-07-21
2011,GR,SE14,2.36,1.93,3.83,5.9,48.44,6.16,69.14,12.18,70.17,24.03,42.78,7.95,39.68,63.86,NATIONAL_TRUST_SURVEY,4.7717,2025-10-09
2012,LT,LV328,4.81,2.52,7.4,5.98,46.6,3.31,83.36,14.1,41.46,12.53,9.7,15.37,60.99,46.1,EUQLS,2.315,2024-10-25
2013,PT,DE680,5.47,5.1,5.07,2.38,53.14,4.66,60.58,7.25,75.29,14.22,40.99,9.63,52.9,82.3,ESS,3.079,2025-05-14
2014,SE,DE450,5.02,3.98,7.9,2.27,83.29,3.54,87.46,7.31,45.68,30.21,37.43,6.33,60.51,38.95,EUROBAROMETER,2.1333,2025-07-26
2015,CY,LT869,3.58,5.52,4.06,4.82,62.03,7.29,75.36,14.77,48.59,23.32,37.46,14.17,60.04,33.62,NATIONAL_TRUST_SURVEY,3.6911,2024-02-28
2016,FR,LU771,4.14,3.94,7.25,3.01,50.55,7.12,77.04,15.22,57.71,15.02,19.73,21.34,86.77,32.3,EUQLS,3.3193,2025-08-24
2017,IT,ES956,2.12,4.66,6.37,2.85,71.66,5.74,84.44,11.63,73.33,6.54,33.94,27.08,55.47,56.92,ESS,2.1028,2024-08-18
2018,NL,SE3,3.78,2.43,5.45,5.76,64.55,6.56,100.0,15.65,42.12,7.25,36.45,5.68,43.54,42.64,EUROBAROMETER,4.1739,2024-11-09
2019,SI,FI4,3.69,2.62,7.31,4.3,45.2,3.0,72.82,11.11,53.89,18.87,12.48,6.56,33.71,37.27,NATIONAL_TRUST_SURVEY,0.7909,2025-04-04
2020,BG,FI76,2.81,2.05,6.9,2.69,67.5,5.29,53.03,8.7,75.88,25.57,12.54,25.5,46.16,42.31,EUQLS,1.3166,2025-06-05
2021,EE,DE9,2.83,3.02,6.98,3.59,67.24,3.04,78.85,13.29,38.37,16.71,8.47,13.11,69.38,71.49,ESS,3.8607,2024-08-26
2022,HU,DE344,4.96,3.59,4.38,3.39,57.37,5.02,48.61,12.2,41.26,14.47,10.03,12.88,84.66,79.52,EUROBAROMETER,4.101,2025-04-15
2023,LU,HR144,3.84,2.78,5.92,4.39,67.14,3.82,52.15,6.72,74.65,31.48,42.75,8.92,58.48,48.02,NATIONAL_TRUST_SURVEY,3.9818,2024-10-12
2024,RO,PL99,3.47,5.23,4.54,3.06,61.04,7.22,86.95,16.61,48.17,6.16,25.74,9.51,54.14,66.55,EUQLS,2.6682,2024-04-04
2025,AT,LV56,3.06,3.43,5.76,6.06,56.09,3.91,56.9,15.85,39.22,13.41,32.05,11.28,27.75,68.4,ESS,3.8714,2025-06-12
2006,CZ,ES66,5.73,3.13,7.3,3.63,72.83,5.68,71.92,12.57,75.02,17.53,40.3,13.06,56.55,48.46,EUROBAROMETER,0.3044,2025-01-10
2007,DE,NL113,5.01,2.62,5.13,5.83,45.85,3.49,72.35,8.98,35.57,5.65,17.49,14.6,21.12,53.06,NATIONAL_TRUST_SURVEY,3.124,2024-12-30
2008,LV,FI112,4.55,2.69,4.9,1.98,49.24,3.95,48.45,7.69,32.33,27.15,7.81,14.77,71.01,75.94,EUQLS,3.0605,2025-03-07
2009,PL,CZ5,2.62,5.94,5.99,4.64,72.43,6.71,49.9,15.67,42.53,21.44,35.85,17.08,40.4,63.05,ESS,1.2052,2024-02-21
2010,ES,NL952,2.69,3.55,3.96,3.31,34.72,5.78,61.46,12.88,74.81,11.71,14.23,7.74,54.59,32.38,EUROBAROMETER,2.735,2025-11-10
2011,HR,SK7,2.35,5.49,4.65,5.73,70.95,3.72,58.15,10.53,33.99,18.06,31.18,4.84,60.54,44.14,NATIONAL_TRUST_SURVEY,1.0971,2026-01-07
2012,FI,HR323,2.94,2.38,9.58,5.53,63.1,8.86,96.04,14.93,47.38,24.64,18.64,11.34,49.69,43.32,EUQLS,1.2788,2024-10-12
2013,IE,SI10,6.25,2.11,6.78,2.06,72.43,5.5,57.69,13.34,43.98,24.09,21.62,18.23,48.35,77.03,ESS,0.3575,2024-12-21
2014,MT,AT1,4.25,4.03,7.84,3.26,58.57,4.73,72.8,9.35,45.38,23.61,20.62,11.96,35.22,33.8,EUROBAROMETER,4.7555,2026-01-29
2015,SK,SE754,3.67,5.17,7.03,4.81,52.83,6.7,56.88,13.28,36.56,13.16,25.26,14.11,54.96,62.12,NATIONAL_TRUST_SURVEY,2.4773,2024-08-23
2016,BE,CZ11,3.19,3.38,4.21,3.24,44.48,5.22,70.82,12.16,57.24,25.7,26.89,19.95,88.97,55.8,EUQLS,1.1663,2024-06-12
2017,DK,IE455,5.0,6.68,9.32,2.82,73.62,6.14,84.4,13.7,59.78,39.11,7.81,27.43,44.64,80.02,ESS,0.792,2024-10-21
2018,GR,RO936,5.05,3.45,7.42,6.08,54.15,6.28,73.46,7.41,66.0,17.63,26.86,5.82,47.29,77.23,EUROBAROMETER,1.1389,2024-10-28
2019,LT,HR29,3.96,5.5,3.9,2.56,42.73,3.65,46.35,13.55,80.83,29.4,15.62,20.67,77.93,59.5,NATIONAL_TRUST_SURVEY,1.5288,2024-02-19
2020,PT,HR3,2.63,4.65,3.8,3.91,66.19,6.21,76.17,19.53,39.99,15.63,10.29,12.87,53.63,57.6,EUQLS,0.7139,2024-04-08
2021,SE,FR77,7.68,3.91,4.41,5.43,95.57,3.52,62.6,18.39,65.0,35.24,23.17,19.97,44.11,99.31,ESS,1.8597,2024-12-24
2022,CY,LU94,3.63,2.35,5.85,3.25,46.15,3.8,77.86,10.67,55.65,28.34,19.39,12.33,74.11,43.04,EUROBAROMETER,4.7257,2025-12-28
2023,FR,ES3,5.42,4.15,4.14,2.07,78.12,6.9,81.07,10.33,80.78,20.72,13.53,24.15,68.4,47.59,NATIONAL_TRUST_SURVEY,1.0152,2024-12-24
2024,IT,PL586,3.29,5.18,3.78,5.16,59.88,4.99,80.27,16.19,60.62,9.79,37.05,14.58,79.53,69.76,EUQLS,2.181,2025-04-18
2025,NL,LT39,6.46,4.89,9.03,5.62,66.98,3.59,61.02,10.95,92.46,16.35,17.04,12.69,46.23,44.4,ESS,1.7358,2024-02-01
2006,SI,BE82,4.38,4.81,7.81,4.18,64.98,4.73,85.54,11.34,32.28,6.55,29.53,12.51,35.94,79.83,EUROBAROMETER,1.7428,2024-03-29
2007,BG,AT26,6.41,5.96,6.73,4.44,80.54,4.84,67.1,9.75,42.05,7.53,25.77,20.38,30.28,32.98,NATIONAL_TRUST_SURVEY,1.4856,2025-12-02
2008,EE,DE302,2.7,3.69,6.01,4.68,33.31,6.38,44.77,15.26,77.14,6.52,21.42,18.03,61.83,75.46,EUQLS,1.6027,2025-09-21
2009,HU,HU59,2.25,6.06,6.81,2.9,50.27,6.6,80.09,9.18,73.06,7.91,42.21,12.21,65.71,44.36,ESS,4.3032,2024-09-03
2010,LU,LU130,3.51,4.3,6.48,2.57,89.37,6.41,72.39,10.89,91.57,9.26,42.37,7.44,57.74,55.57,EUROBAROMETER,4.6297,2025-12-25
2011,RO,ES9,3.12,3.06,4.71,3.63,40.43,3.4,47.56,7.7,35.98,16.41,12.54,8.61,21.36,36.01,NATIONAL_TRUST_SURVEY,1.6769,2026-01-20
2012,AT,IE748,3.12,3.72,7.21,2.38,55.11,3.06,83.67,13.87,67.5,5.69,44.98,23.39,64.44,35.55,EUQLS,1.3361,2024-08-08
2013,CZ,PT20,2.94,4.88,5.88,2.57,45.17,6.13,73.08,11.94,58.49,6.3,7.45,26.24,49.43,56.69,ESS,3.2122,2025-04-12
2014,DE,EE75,2.14,4.32,4.54,1.89,73.67,3.16,52.12,12.64,38.97,17.94,32.63,6.96,39.73,47.65,EUROBAROMETER,2.5107,2025-03-27
2015,LV,HU39,4.46,3.93,4.68,4.68,71.55,5.35,76.6,6.53,66.01,18.79,32.06,12.75,46.7,73.68,NATIONAL_TRUST_SURVEY,2.5704,2025-09-05
2016,PL,EE62,4.97,5.6,3.82,4.66,58.24,5.01,65.53,8.33,33.4,26.69,26.49,17.9,34.87,54.97,EUQLS,0.3702,2025-04-01
2017,ES,FI744,3.67,2.11,6.49,5.28,38.75,4.08,77.99,11.13,75.32,16.71,36.23,16.69,65.45,80.17,ESS,3.8279,2025-12-16
2018,HR,IE820,4.75,2.34,3.94,2.17,46.71,6.87,81.56,6.88,57.9,18.21,36.04,13.33,54.57,61.63,EUROBAROMETER,4.2676,2025-03-24
2019,FI,MT355,6.99,5.45,5.56,4.39,94.59,8.17,58.37,12.23,73.39,36.4,13.84,18.56,55.01,92.68,NATIONAL_TRUST_SURVEY,2.3129,2026-02-19
2020,IE,IT927,5.33,2.25,6.12,3.03,79.8,3.62,46.31,19.36,77.01,8.84,29.95,22.27,75.94,45.6,EUQLS,2.4472,2025-02-15
2021,MT,BG78,3.25,5.87,6.84,5.75,54.54,6.72,45.41,7.17,55.85,9.39,33.8,14.67,50.84,77.95,ESS,3.8116,2025-06-25
2022,SK,BG60,6.38,1.93,7.73,4.62,78.67,4.45,45.59,13.71,62.46,23.81,26.48,11.3,69.89,54.42,EUROBAROMETER,3.0391,2026-02-08
2023,BE,ES61,4.44,6.14,4.47,2.31,75.08,5.93,58.72,9.58,48.28,23.41,20.64,18.38,45.42,54.0,NATIONAL_TRUST_SURVEY,4.0397,2024-11-14
2024,DK,PT554,5.6,6.15,5.74,2.74,90.44,4.86,78.41,15.27,65.94,14.03,31.25,22.63,47.32,95.32,EUQLS,0.9122,2025-03-06
2025,GR,CZ904,2.59,6.18,7.51,4.18,55.93,3.36,73.06,12.87,36.0,18.7,21.88,6.27,77.66,54.76,ESS,4.77,2025-12-29
2006,LT,LV30,6.43,5.71,4.82,4.27,54.28,3.66,52.03,12.96,32.81,15.5,14.51,16.86,26.38,45.86,EUROBAROMETER,0.7524,2025-06-05
2007,PT,IE983,3.92,3.12,3.85,6.01,59.57,5.82,65.01,12.91,37.92,27.09,28.29,8.07,54.72,68.85,NATIONAL_TRUST_SURVEY,1.1015,2024-03-29
2008,SE,SI82,3.91,3.95,5.38,5.68,95.69,7.38,88.74,9.15,64.62,19.97,21.33,8.47,24.6,38.82,EUQLS,0.8235,2024-12-01
2009,CY,MT77,5.43,5.8,3.74,2.7,47.09,7.07,71.75,6.77,35.18,27.57,33.6,21.13,36.39,33.66,ESS,3.1584,2026-02-06
2010,FR,LT14,2.19,2.27,5.77,2.11,76.68,3.34,62.02,13.95,51.28,18.0,10.3,9.07,76.08,77.6,EUROBAROMETER,4.7467,2024-10-11
2011,IT,LT8,6.36,2.47,6.37,5.51,62.98,5.57,66.3,13.91,37.05,27.76,26.26,13.27,42.56,44.79,NATIONAL_TRUST_SURVEY,0.9973,2025-08-22
2012,NL,DE271,2.85,4.68,4.76,3.66,80.99,8.02,94.76,12.97,41.32,37.94,9.53,13.05,57.82,47.49,EUQLS,1.6109,2025-04-19
2013,SI,IE52,5.78,2.78,4.62,4.5,32.2,4.77,69.78,7.97,79.97,18.14,38.4,8.48,44.74,66.79,ESS,1.7831,2025-03-13
2014,BG,CY388,3.01,3.28,6.71,4.34,41.03,4.4,55.1,12.11,62.68,11.13,41.03,11.55,62.66,41.11,EUROBAROMETER,4.6837,2025-01-05
2015,EE,NL828,5.29,2.73,4.9,5.8,35.2,3.38,59.67,15.69,54.43,17.35,35.19,17.45,62.24,69.11,NATIONAL_TRUST_SURVEY,0.8488,2025-03-28
2016,HU,CZ49,4.07,3.09,5.66,2.1,59.45,5.18,84.63,11.43,59.08,24.02,31.25,14.71,86.23,73.29,EUQLS,4.0007,2025-04-26
2017,LU,CY23,5.63,4.46,6.93,5.74,72.86,6.17,88.33,7.76,81.99,27.17,26.3,22.54,57.61,52.19,ESS,4.1359,2025-11-22
2018,RO,CY394,5.1,3.2,7.32,5.09,62.34,6.77,79.87,16.42,44.94,16.15,19.03,17.06,64.66,76.72,EUROBAROMETER,4.5128,2024-04-06
2019,AT,CZ163,5.71,4.71,6.99,4.61,52.62,5.68,60.43,12.9,70.24,10.94,19.01,22.24,58.82,42.85,NATIONAL_TRUST_SURVEY,2.0657,2024-12-05
2020,CZ,RO51,5.02,5.37,6.09,4.77,64.42,5.08,53.19,10.75,50.27,8.69,19.02,18.79,58.24,46.59,EUQLS,0.963,2025-10-23
2021,DE,PT355,5.16,5.92,3.69,2.38,43.38,4.2,70.07,17.31,69.77,13.96,42.48,19.74,52.69,69.27,ESS,0.3955,2026-02-18
2022,LV,SI930,3.29,4.22,7.53,3.87,78.61,5.07,64.1,14.85,69.61,23.73,45.97,7.38,29.32,83.38,EUROBAROMETER,1.3951,2024-01-02
2023,PL,PL549,3.02,3.04,6.79,5.99,32.97,3.41,59.47,14.51,68.83,13.99,24.93,15.16,51.04,70.22,NATIONAL_TRUST_SURVEY,2.853,2024-01-26
2024,ES,LU925,6.3,2.16,5.9,2.59,62.93,3.15,77.51,12.91,58.66,11.78,22.89,14.67,71.91,33.58,EUQLS,2.9307,2025-11-03
2025,HR,IE89,2.93,6.08,5.28,2.48,54.45,5.22,70.5,16.99,42.05,14.1,23.77,8.47,63.32,53.58,ESS,3.9417,2025-11-05
2006,FI,CY12,5.67,7.01,6.0,2.97,89.56,7.96,52.98,11.88,84.68,20.06,28.19,12.18,71.61,76.81,EUROBAROMETER,2.7939,2024-02-18
2007,IE,LV50,2.74,4.49,7.82,4.25,64.54,3.46,85.28,6.89,36.69,17.14,29.64,5.52,23.31,63.88,NATIONAL_TRUST_SURVEY,3.8946,2025-12-30
2008,MT,SI184,5.78,1.91,6.65,4.47,73.58,3.4,62.22,8.03,44.92,12.35,8.6,8.31,29.48,35.14,EUQLS,0.9556,2024-05-19
2009,SK,HR41,5.23,3.38,3.97,5.37,73.95,4.29,74.17,13.69,44.48,14.24,27.26,15.7,33.16,70.82,ESS,3.6058,2024-10-30
2010,BE,HR728,2.12,4.74,5.94,2.67,66.36,3.2,52.01,9.97,48.57,7.93,26.55,14.19,70.35,55.73,EUROBAROMETER,2.9731,2025-09-14
2011,DK,BG638,6.1,2.47,8.05,2.13,52.27,5.19,93.28,9.64,41.97,10.39,33.92,22.67,53.15,42.68,NATIONAL_TRUST_SURVEY,3.0558,2024-08-06
2012,GR,CZ117,4.15,4.23,4.79,4.97,47.48,4.39,85.13,11.35,43.54,29.73,23.71,10.72,58.97,64.22,EUQLS,3.027,2024-12-11
2013,LT,CY34,2.42,5.22,7.25,3.85,61.97,2.96,54.69,10.33,54.09,21.77,26.52,12.28,61.56,82.42,ESS,1.1564,2024-06-19
2014,PT,SE205,6.33,3.97,7.54,4.72,36.42,7.01,45.16,9.41,66.86,16.19,17.02,10.59,38.37,58.59,EUROBAROMETER,4.3854,2024-03-08
2015,SE,HU49,5.51,4.89,5.11,4.26,62.04,8.81,84.1,5.97,39.28,21.56,7.88,10.8,54.65,48.38,NATIONAL_TRUST_SURVEY,3.2886,2025-03-25
2016,CY,GR8,5.95,5.48,4.01,6.11,77.73,6.5,76.34,7.35,42.27,26.07,34.74,20.16,69.76,48.53,EUQLS,0.5612,2026-02-07
2017,FR,CZ392,4.52,2.95,7.17,2.62,72.92,5.59,74.27,7.06,66.11,17.43,37.36,20.06,69.22,54.77,ESS,1.8708,2024-10-06
