gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_usd,gov_grants_award_max_usd,gov_grants_award_median_usd,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_usd,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2020,TRANS_FORMULA,0,MATCHING,NONPROFIT,50.96,541068.68,17836631.43,9188850.06,3511,666,6904111046.67,QUALITY_C,49.41,81.46,16.18,1,0.5986,19,STATE_PORTAL
2015,ENERGY_EFF,1,OTHER,STATE,39.06,817952.24,187742680.08,94280316.16,5669,964,92621665806.13,ACCESS_E,46.46,26.03,7.23,1,0.9981,11,CUSTOM_PORTAL_B
2011,JUSTICE_ASSIST,0,MATCHING,SCHOOL_DISTRICT,42.37,511902.1,28500310.5,14506106.3,96,15,191754474.64,OUTCOME_B,80.94,83.18,4.34,1,0.3264,17,GRANTS_GOV
2012,HOUSING_CDBG,0,COMPETITIVE,NONPROFIT,44.74,652082.79,129665890.23,65158986.51,839,264,16484065604.08,QUALITY_C,46.87,66.48,11.27,1,0.7303,33,GRANTS_GOV
2019,BROADBAND,0,POPULATION,LOCAL,32.71,20033.29,4358852.12,2189442.7,3701,1194,2877896349.18,EQUITY_D,70.65,68.02,8.52,0,0.5873,9,CUSTOM_PORTAL_B
2016,TRANS_FORMULA,0,OTHER,STATE,3.48,258259.66,128505409.59,64381834.62,4799,1916,125183937416.83,EQUITY_D,71.1,96.44,5.42,0,0.8592,29,GRANTS_GOV
2014,WATER_SR,0,EQUAL_SHARE,TRIBAL,51.18,228488.9,77494854.98,38861671.94,1527,357,13986602754.76,ACCESS_E,52.95,26.84,2.14,1,0.6338,23,GRANTS_GOV
2022,JUSTICE_ASSIST,0,NEED_BASED,LOCAL,43.99,375718.16,81258373.37,40817045.76,2860,650,25737083106.25,ACCESS_E,60.25,27.63,7.45,1,0.5524,26,GRANTS_GOV
2024,WATER_SR,1,OTHER,NONPROFIT,5.15,900639.57,274337938.58,137619289.07,2031,373,58286230444.14,QUALITY_C,54.44,39.82,1.57,1,0.0631,33,GRANTS_GOV
2015,JUSTICE_ASSIST,1,POPULATION,HOSPITAL,27.09,979707.14,263431103.62,132205405.38,5416,1816,212874669890.99,QUALITY_C,64.46,68.27,13.4,0,0.4903,24,CUSTOM_PORTAL_A
2012,ENERGY_EFF,0,POPULATION,STATE,30.01,809542.83,69512621.74,35161082.28,1756,120,4161207365.27,OUTPUT_A,64.22,61.92,15.1,0,0.3135,9,GRANTS_GOV
2025,WATER_SR,0,COMPETITIVE,SCHOOL_DISTRICT,59.32,840526.91,287125538.12,143983032.52,699,264,35191002720.13,NONE,96.0,50.45,5.64,0,0.7441,19,CUSTOM_PORTAL_A
2018,ENERGY_EFF,0,COMPETITIVE,NONPROFIT,22.49,636316.5,15585946.78,8111131.64,1326,115,981558059.8,EQUITY_D,68.72,26.49,1.61,1,0.653,46,GRANTS_GOV
2025,HEALTH_MCH,1,MATCHING,STATE,56.46,847878.86,369706426.49,185277152.68,3794,511,81439617266.0,OUTPUT_A,58.24,65.7,19.03,0,0.7864,29,GRANTS_GOV
2019,BROADBAND,1,NEED_BASED,HOSPITAL,34.14,704431.34,310901121.14,155802776.24,1230,471,79497245352.91,EQUITY_D,40.21,80.07,4.09,1,0.0234,12,GRANTS_GOV
2020,TRANS_FORMULA,0,NEED_BASED,STATE,15.2,822848.94,310551195.42,155687022.18,3221,808,113369893726.38,OUTCOME_B,48.92,94.05,3.77,1,0.2777,15,GRANTS_GOV
2014,HEALTH_MCH,0,COMPETITIVE,SCHOOL_DISTRICT,50.86,210782.81,63059117.54,31634950.18,3221,440,14535856784.36,ACCESS_E,58.71,43.19,8.62,0,0.4553,13,GRANTS_GOV
2019,TRANS_FORMULA,1,NEED_BASED,TRIBAL,41.26,316011.34,135145054.38,67730532.86,723,260,18665155017.18,OUTPUT_A,83.19,52.99,12.15,0,0.5224,25,GRANTS_GOV
2025,HOUSING_CDBG,1,NEED_BASED,NONPROFIT,28.97,964777.73,23343288.45,12154033.09,2073,782,10587505332.28,ACCESS_E,83.08,42.34,5.14,1,0.5873,34,GRANTS_GOV
2023,BROADBAND,0,NEED_BASED,STATE,23.66,953901.43,77818079.53,39385990.48,1558,579,24830818618.84,OUTCOME_B,65.26,69.25,18.77,1,0.0969,20,GRANTS_GOV
2013,BROADBAND,0,MATCHING,SCHOOL_DISTRICT,19.81,68601.4,12741109.8,6404855.6,4877,1273,7338945929.35,NONE,88.99,33.19,10.57,1,0.9059,32,CUSTOM_PORTAL_A
2010,TRANS_FORMULA,0,NEED_BASED,LOCAL,47.92,173104.65,77917902.7,39045503.68,4388,1099,41100674739.15,OUTPUT_A,81.08,42.06,3.09,0,0.8566,21,GRANTS_GOV
2016,HEALTH_MCH,0,NEED_BASED,NONPROFIT,41.24,775679.91,152563507.37,76669593.64,1096,88,5959837128.03,OUTPUT_A,57.22,89.3,12.85,1,0.2328,11,GRANTS_GOV
2010,EDU_BLOCK,1,POPULATION,NONPROFIT,34.02,669889.86,138332643.56,69501266.71,4853,1744,115543259134.69,OUTPUT_A,75.67,72.43,13.77,1,0.7321,1,GRANTS_GOV
2013,HOUSING_CDBG,0,NEED_BASED,LOCAL,12.98,727396.45,222741185.36,111734290.9,1989,679,79224213581.45,QUALITY_C,59.01,54.88,2.02,1,0.398,39,GRANTS_GOV
2020,EDU_BLOCK,0,COMPETITIVE,STATE,35.63,155079.04,72302417.52,36228748.28,4832,1178,38441219433.0,OUTCOME_B,74.04,39.47,8.76,1,0.0763,35,STATE_PORTAL
2016,HEALTH_MCH,0,NEED_BASED,TRIBAL,12.99,190046.53,76961263.07,38575654.8,5661,2384,105628953751.1,ACCESS_E,50.44,28.0,10.72,1,0.4731,33,STATE_PORTAL
2020,ENERGY_EFF,1,POPULATION,STATE,36.86,403662.74,17636592.45,9020127.59,3710,865,8341566253.77,OUTCOME_B,51.27,80.58,2.45,1,0.4852,40,CUSTOM_PORTAL_B
2014,ENERGY_EFF,0,COMPETITIVE,UNIVERSITY,57.44,912693.23,59817793.65,30365243.44,4950,1116,29323135112.11,QUALITY_C,75.74,66.76,5.73,0,0.0594,45,GRANTS_GOV
2020,JUSTICE_ASSIST,1,POPULATION,NONPROFIT,43.59,597183.67,224879733.5,112738458.58,1970,577,62118168295.71,QUALITY_C,81.69,86.45,12.63,1,0.119,14,GRANTS_GOV
2025,HOUSING_CDBG,1,NEED_BASED,TRIBAL,50.6,554984.86,73772016.89,37163500.88,2781,995,41762435975.38,ACCESS_E,69.31,85.79,7.65,1,0.1502,11,CUSTOM_PORTAL_B
2016,ENERGY_EFF,0,POPULATION,STATE,32.73,643956.74,97621972.7,49132964.72,2517,647,28564711473.48,OUTCOME_B,54.3,99.47,9.85,0,0.5364,24,GRANTS_GOV
2023,WATER_SR,0,MATCHING,STATE,49.38,446867.4,78640640.44,39543753.92,4875,309,13920151153.71,OUTPUT_A,58.66,69.92,2.53,0,0.1783,46,STATE_PORTAL
2017,HEALTH_MCH,0,COMPETITIVE,UNIVERSITY,59.83,495072.82,155902537.98,78198805.4,3908,1514,118291506511.44,EQUITY_D,55.8,86.42,16.14,1,0.2019,12,CUSTOM_PORTAL_A
2019,BROADBAND,1,COMPETITIVE,STATE,44.53,51419.71,24057625.59,12054522.65,5215,1024,11677555582.08,QUALITY_C,88.92,61.48,8.0,0,0.5965,28,GRANTS_GOV
2023,HOUSING_CDBG,1,POPULATION,NONPROFIT,34.73,955930.67,268273947.49,134614939.08,1124,249,29011681918.26,OUTCOME_B,58.2,71.59,5.67,1,0.085,0,CUSTOM_PORTAL_B
2022,BROADBAND,1,EQUAL_SHARE,NONPROFIT,43.94,712420.62,181026091.98,90869256.3,1415,533,49450232992.54,ACCESS_E,61.21,58.39,13.56,1,0.944,31,GRANTS_GOV
2009,HEALTH_MCH,1,NEED_BASED,STATE,12.81,93721.08,35416785.66,17755253.37,3623,702,14154327164.91,OUTPUT_A,64.13,68.3,12.29,0,0.5513,8,CUSTOM_PORTAL_B
2011,ENERGY_EFF,1,OTHER,SCHOOL_DISTRICT,5.0,550277.27,117894535.16,59222406.22,3502,1374,78494524933.41,OUTPUT_A,99.39,53.58,2.92,0,0.7698,1,CUSTOM_PORTAL_A
2015,JUSTICE_ASSIST,0,POPULATION,NONPROFIT,40.88,736455.94,48455397.82,24595926.88,1477,184,4890860751.37,OUTPUT_A,86.61,47.18,7.82,1,0.2238,4,STATE_PORTAL
2010,BROADBAND,0,COMPETITIVE,STATE,3.25,528093.42,223357979.21,111943036.32,4386,643,76603426416.47,EQUITY_D,44.11,54.18,0.82,1,0.6027,24,CUSTOM_PORTAL_A
2011,BROADBAND,0,POPULATION,NONPROFIT,42.11,641378.48,254617685.3,127629531.89,2394,265,34515970289.31,OUTCOME_B,89.27,29.7,16.37,0,0.8765,49,CUSTOM_PORTAL_A
2020,EDU_BLOCK,0,COMPETITIVE,NONPROFIT,10.38,581505.32,128574904.7,64578205.01,2275,821,45815126540.29,NONE,80.92,64.48,7.39,1,0.1145,10,CUSTOM_PORTAL_B
2023,JUSTICE_ASSIST,0,COMPETITIVE,LOCAL,37.1,995415.2,88266419.86,44630917.53,1936,867,38410427442.89,EQUITY_D,77.75,38.99,17.11,1,0.5598,17,GRANTS_GOV
2010,WATER_SR,1,EQUAL_SHARE,UNIVERSITY,37.52,389659.19,122461289.18,61425474.18,2582,444,26611583770.09,QUALITY_C,66.16,57.26,6.9,1,0.2394,43,CUSTOM_PORTAL_A
2009,BROADBAND,1,COMPETITIVE,LOCAL,32.5,123169.54,3731020.93,1927095.24,4607,1807,3151296930.31,QUALITY_C,71.12,90.53,15.86,0,0.4186,3,GRANTS_GOV
2021,EDU_BLOCK,1,NEED_BASED,UNIVERSITY,33.78,861603.69,359969551.0,180415577.34,1690,110,22343614319.04,OUTCOME_B,93.89,26.73,15.28,0,0.468,19,GRANTS_GOV
2015,BROADBAND,0,OTHER,NONPROFIT,42.48,830494.47,385816454.88,193323474.68,420,177,32664311821.38,QUALITY_C,47.28,89.84,15.6,0,0.8962,32,CUSTOM_PORTAL_A
2013,TRANS_FORMULA,0,POPULATION,STATE,3.36,785449.02,36622611.28,18704030.15,4722,1519,32123432382.92,ACCESS_E,45.47,99.9,10.79,1,0.3724,47,CUSTOM_PORTAL_A
2014,WATER_SR,0,NEED_BASED,STATE,42.63,534241.14,203596975.99,102065608.56,1293,575,59344265909.64,OUTCOME_B,83.35,33.24,9.27,1,0.2588,31,CUSTOM_PORTAL_A
2017,TRANS_FORMULA,0,POPULATION,LOCAL,55.58,708229.87,122655187.77,61681708.82,2733,985,56018106713.89,OUTPUT_A,60.54,52.04,19.14,1,0.5952,7,STATE_PORTAL
2019,TRANS_FORMULA,0,NEED_BASED,LOCAL,42.73,107149.3,13619470.51,6863309.9,533,46,332374612.21,EQUITY_D,91.08,92.42,13.86,0,0.2441,39,GRANTS_GOV
2021,JUSTICE_ASSIST,0,EQUAL_SHARE,STATE,15.96,997245.05,480558784.09,240778014.57,2713,148,33695259633.71,EQUITY_D,60.05,52.3,1.79,1,0.5983,38,GRANTS_GOV
2021,BROADBAND,1,NEED_BASED,UNIVERSITY,52.8,170086.38,6951622.37,3560854.38,5583,393,1511335836.43,ACCESS_E,55.8,87.1,4.43,1,0.4231,19,STATE_PORTAL
2011,ENERGY_EFF,1,COMPETITIVE,NONPROFIT,57.22,415466.38,168195937.74,84305702.06,193,43,3595003859.57,OUTPUT_A,55.22,59.98,3.01,0,0.508,3,GRANTS_GOV
2011,HOUSING_CDBG,0,COMPETITIVE,LOCAL,45.3,698676.07,212884059.06,106791367.56,4062,507,46197083685.24,ACCESS_E,61.88,74.66,2.04,1,0.3574,33,CUSTOM_PORTAL_A
2016,JUSTICE_ASSIST,1,POPULATION,STATE,41.46,952893.34,15609105.47,8280999.4,5339,788,6192544809.83,OUTCOME_B,76.28,54.46,11.3,1,0.517,46,STATE_PORTAL
2020,TRANS_FORMULA,0,EQUAL_SHARE,NONPROFIT,45.28,772050.95,151912043.48,76342047.21,1358,420,34885379814.08,OUTCOME_B,94.71,59.02,18.98,1,0.9002,11,CUSTOM_PORTAL_A
2011,BROADBAND,1,POPULATION,SCHOOL_DISTRICT,15.78,22176.46,9736695.48,4879435.97,5824,2283,9726724895.42,EQUITY_D,75.58,33.91,3.44,0,0.5597,15,GRANTS_GOV
2025,ENERGY_EFF,1,POPULATION,LOCAL,36.78,382090.91,40783542.15,20582816.53,5699,2124,45269866191.24,EQUITY_D,55.77,33.88,2.59,1,0.8434,28,GRANTS_GOV
2018,WATER_SR,0,POPULATION,NONPROFIT,8.92,223435.65,1081167.13,652301.39,2180,213,122199270.03,OUTCOME_B,88.06,83.99,18.21,1,0.1616,18,GRANTS_GOV
2015,TRANS_FORMULA,1,MATCHING,UNIVERSITY,37.03,476475.22,110391215.27,55433845.24,2729,1017,50567969772.7,NONE,56.04,26.14,8.61,0,0.336,21,GRANTS_GOV
2018,JUSTICE_ASSIST,0,COMPETITIVE,STATE,45.72,362077.15,94543325.72,47452701.44,2009,162,8250910031.16,NONE,58.45,96.38,3.73,0,0.9545,20,GRANTS_GOV
2017,WATER_SR,0,NEED_BASED,LOCAL,1.28,428811.25,139656045.62,70042428.44,3444,1430,92881724305.75,OUTCOME_B,68.85,49.37,19.97,1,0.3418,44,STATE_PORTAL
2017,JUSTICE_ASSIST,1,COMPETITIVE,LOCAL,26.61,478039.97,148910874.96,74694457.46,3225,324,23736428925.53,NONE,75.7,87.17,5.42,0,0.0179,33,STATE_PORTAL
2019,HOUSING_CDBG,0,POPULATION,LOCAL,19.15,752972.42,291577218.45,146165095.44,3023,915,118314570778.17,ACCESS_E,55.88,86.08,14.09,1,0.9135,17,STATE_PORTAL
2025,JUSTICE_ASSIST,1,POPULATION,LOCAL,15.13,591630.57,8782535.04,4687082.8,3050,609,3204685347.91,OUTCOME_B,41.35,76.48,9.8,1,0.9137,11,GRANTS_GOV
2018,EDU_BLOCK,1,POPULATION,LOCAL,3.22,748165.62,108847988.97,54798077.3,3465,1028,50365919307.24,OUTCOME_B,99.48,36.9,0.95,1,0.7223,9,GRANTS_GOV
2017,JUSTICE_ASSIST,1,POPULATION,STATE,49.19,717987.88,284433199.18,142575593.53,750,58,8415628700.71,OUTCOME_B,65.38,53.06,10.14,0,0.9829,7,GRANTS_GOV
2010,BROADBAND,0,POPULATION,LOCAL,40.97,257555.45,92641207.67,46449381.56,5039,2217,116268465941.8,OUTCOME_B,53.74,39.54,13.81,1,0.158,11,GRANTS_GOV
2014,HEALTH_MCH,1,EQUAL_SHARE,TRIBAL,25.54,842741.7,228095436.45,114469089.07,696,79,8472653348.09,NONE,68.84,57.82,11.75,0,0.3845,46,CUSTOM_PORTAL_A
2021,HEALTH_MCH,0,OTHER,SCHOOL_DISTRICT,59.45,702873.25,347633908.48,174168390.86,5922,1283,233963179508.8,OUTCOME_B,67.36,29.25,7.57,1,0.6911,2,CUSTOM_PORTAL_A
2015,TRANS_FORMULA,1,NEED_BASED,SCHOOL_DISTRICT,50.23,832596.8,46734096.93,23783346.86,1880,772,18367340250.25,EQUITY_D,78.06,77.11,8.61,0,0.7346,0,STATE_PORTAL
2013,BROADBAND,0,NEED_BASED,LOCAL,15.59,148163.95,52043944.1,26096054.02,1369,327,9570573970.46,OUTCOME_B,57.77,85.09,13.99,1,0.9166,44,CUSTOM_PORTAL_A
2014,TRANS_FORMULA,0,COMPETITIVE,NONPROFIT,41.74,216003.31,86779523.8,43497763.56,2909,1178,56173903008.14,OUTCOME_B,90.83,26.8,8.68,1,0.8367,1,CUSTOM_PORTAL_A
2011,HEALTH_MCH,1,NEED_BASED,SCHOOL_DISTRICT,14.01,618759.09,253274277.25,126946518.17,3046,1057,127737502843.08,ACCESS_E,77.67,56.49,0.44,1,0.4794,46,GRANTS_GOV
2018,ENERGY_EFF,0,MATCHING,LOCAL,39.81,382976.62,151046659.74,75714818.18,5753,298,23641794330.26,OUTPUT_A,64.66,29.93,13.78,1,0.3451,18,STATE_PORTAL
2016,JUSTICE_ASSIST,1,COMPETITIVE,LOCAL,12.86,444529.79,74171862.77,37308196.28,186,51,1746528221.67,EQUITY_D,62.18,91.33,19.35,0,0.9282,38,STATE_PORTAL
2018,TRANS_FORMULA,0,POPULATION,UNIVERSITY,48.9,46657.82,12207977.86,6127317.84,1011,185,1196754135.89,ACCESS_E,62.67,34.93,10.64,0,0.4614,0,CUSTOM_PORTAL_A
2024,EDU_BLOCK,1,NEED_BASED,STATE,21.21,777486.52,371408220.21,186092853.36,2418,547,115890206890.43,NONE,54.01,88.58,2.24,0,0.0328,17,CUSTOM_PORTAL_A
2024,WATER_SR,0,MATCHING,STATE,0.51,152757.44,74726625.37,37439691.4,5929,386,15398020152.71,OUTCOME_B,48.45,41.77,10.85,1,0.4987,34,GRANTS_GOV
2022,EDU_BLOCK,1,POPULATION,STATE,22.26,7507.0,853104.77,430305.88,5068,2251,1074222957.46,OUTCOME_B,84.75,48.42,8.16,1,0.8403,26,GRANTS_GOV
2011,EDU_BLOCK,0,NEED_BASED,LOCAL,7.73,361297.21,115086026.76,57723661.98,511,158,9062020532.88,EQUITY_D,84.04,55.09,6.2,1,0.9073,29,GRANTS_GOV
2017,TRANS_FORMULA,0,COMPETITIVE,SCHOOL_DISTRICT,14.31,282575.78,102447862.76,51365219.27,231,97,4811465386.04,EQUITY_D,57.58,35.23,7.54,0,0.955,0,CUSTOM_PORTAL_A
2020,BROADBAND,0,EQUAL_SHARE,LOCAL,27.9,959967.21,180243035.16,90601501.18,2463,892,70990169800.77,NONE,65.19,84.69,5.66,0,0.4929,33,CUSTOM_PORTAL_B
2018,TRANS_FORMULA,0,NEED_BASED,STATE,58.0,440348.89,159816759.12,80128554.0,2964,157,12995398656.46,OUTCOME_B,76.04,28.3,5.59,1,0.1267,9,STATE_PORTAL
2012,WATER_SR,0,MATCHING,NONPROFIT,5.77,363627.7,66532760.46,33448194.08,5543,1380,51168768511.42,OUTCOME_B,96.76,78.54,1.03,1,0.5378,30,GRANTS_GOV
2024,TRANS_FORMULA,0,NEED_BASED,LOCAL,32.92,548535.13,115551599.02,58050067.08,3227,816,42546513155.51,OUTPUT_A,47.44,45.81,9.22,1,0.4322,42,CUSTOM_PORTAL_A
2019,BROADBAND,1,OTHER,LOCAL,19.52,532136.1,70379041.94,35455589.02,4693,1574,51541420164.33,OUTCOME_B,59.14,89.89,15.66,1,0.1719,50,CUSTOM_PORTAL_B
2017,WATER_SR,0,POPULATION,LOCAL,19.72,203380.72,48108766.54,24156073.63,3359,1043,25679258275.93,NONE,59.53,48.86,9.25,0,0.7499,38,STATE_PORTAL
2016,TRANS_FORMULA,1,OTHER,LOCAL,42.55,339076.18,129878125.46,65108600.82,2353,924,52759671593.84,OUTPUT_A,64.96,74.77,2.61,1,0.1088,46,GRANTS_GOV
2014,JUSTICE_ASSIST,0,POPULATION,NONPROFIT,2.15,159662.3,9603174.56,4881418.43,2334,168,868050931.87,EQUITY_D,98.05,61.07,17.34,1,0.139,22,CUSTOM_PORTAL_A
2015,TRANS_FORMULA,0,NEED_BASED,STATE,0.41,807737.0,219834991.62,110321364.31,3533,1050,113092183148.41,NONE,55.69,30.83,16.77,1,0.9509,8,CUSTOM_PORTAL_A
2016,TRANS_FORMULA,0,COMPETITIVE,NONPROFIT,37.37,360964.95,38949460.77,19655212.86,3540,737,15797299566.5,OUTPUT_A,58.06,34.01,2.7,1,0.7537,23,STATE_PORTAL
2013,EDU_BLOCK,1,POPULATION,UNIVERSITY,37.89,430062.51,80077498.1,40253780.3,4670,300,11501686460.81,QUALITY_C,85.51,33.65,0.33,1,0.8277,3,CUSTOM_PORTAL_A
2025,BROADBAND,0,POPULATION,STATE,1.63,581917.36,180514642.52,90548279.94,143,39,3705996289.33,ACCESS_E,54.44,28.57,0.48,1,0.2552,50,CUSTOM_PORTAL_B
2023,JUSTICE_ASSIST,0,EQUAL_SHARE,LOCAL,15.72,293593.84,20997249.43,10645421.64,1267,316,3502186730.65,QUALITY_C,54.77,45.95,13.03,0,0.7465,28,CUSTOM_PORTAL_B
2018,HOUSING_CDBG,0,EQUAL_SHARE,NONPROFIT,8.43,684592.07,243565354.15,122124973.11,754,222,30858353671.9,NONE,47.89,65.92,6.33,1,0.9285,22,GRANTS_GOV
2013,JUSTICE_ASSIST,0,COMPETITIVE,NONPROFIT,17.35,161781.68,6741350.06,3451565.87,2103,799,3145902332.58,OUTPUT_A,78.84,85.96,8.2,1,0.264,18,CUSTOM_PORTAL_B
2010,JUSTICE_ASSIST,1,COMPETITIVE,HOSPITAL,55.04,370141.05,147060041.4,73715091.23,2325,1007,67112078508.9,QUALITY_C,72.27,51.09,18.45,1,0.3998,17,STATE_PORTAL
2025,EDU_BLOCK,1,OTHER,TRIBAL,5.58,926043.32,428694922.74,214810483.03,191,20,3782932681.31,OUTPUT_A,73.37,67.2,4.34,1,0.8402,23,CUSTOM_PORTAL_B
2009,HOUSING_CDBG,0,POPULATION,LOCAL,48.02,893339.61,49001915.12,24947627.36,119,7,165231532.53,NONE,78.93,30.73,18.86,0,0.6223,4,GRANTS_GOV
2019,HEALTH_MCH,1,POPULATION,STATE,50.77,658844.76,133640429.36,67149637.06,2831,513,30410582860.22,OUTPUT_A,98.94,48.27,9.0,1,0.6771,31,GRANTS_GOV
2025,HEALTH_MCH,0,POPULATION,SCHOOL_DISTRICT,47.61,629046.21,58601529.14,29615287.68,3316,806,25409087921.16,QUALITY_C,66.15,47.04,10.32,1,0.2336,15,CUSTOM_PORTAL_B
2009,BROADBAND,0,EQUAL_SHARE,LOCAL,43.12,253183.4,111053906.24,55653544.82,4529,421,22433823303.13,OUTCOME_B,90.79,64.34,7.12,0,0.2153,38,GRANTS_GOV
2012,TRANS_FORMULA,0,POPULATION,LOCAL,46.65,916324.22,65280874.98,33098599.6,865,196,6092983188.94,OUTCOME_B,89.63,39.41,14.34,1,0.9907,8,CUSTOM_PORTAL_A
2013,HOUSING_CDBG,0,POPULATION,NONPROFIT,10.14,268723.71,59332575.21,29800649.46,3544,557,15520661365.73,NONE,53.97,27.68,11.16,0,0.0636,17,CUSTOM_PORTAL_B
2018,HOUSING_CDBG,0,OTHER,LOCAL,24.41,402100.66,195898720.35,98150410.5,5180,814,76892761533.5,QUALITY_C,85.13,66.83,10.93,1,0.3921,48,GRANTS_GOV
2015,TRANS_FORMULA,0,POPULATION,LOCAL,54.22,661113.16,320446991.03,160554052.1,5955,1680,296644817466.72,EQUITY_D,81.49,63.27,6.39,1,0.6793,11,CUSTOM_PORTAL_B
2014,ENERGY_EFF,1,POPULATION,NONPROFIT,15.84,421163.42,59941721.96,30181442.69,4085,1678,45265072019.11,OUTPUT_A,50.3,39.23,10.47,1,0.6669,3,GRANTS_GOV
2016,EDU_BLOCK,0,POPULATION,STATE,28.4,946990.79,35164651.77,18055821.28,5816,1729,27552523749.15,ACCESS_E,62.4,98.8,19.12,1,0.8404,44,STATE_PORTAL
2011,HEALTH_MCH,0,POPULATION,STATE,33.35,535360.89,151632817.39,76084089.14,4229,671,44562566074.86,NONE,76.82,76.78,1.66,0,0.7223,23,CUSTOM_PORTAL_A
2017,WATER_SR,0,POPULATION,NONPROFIT,52.08,843798.84,332141093.93,166492446.38,3446,1138,208599703017.78,ACCESS_E,77.65,97.35,9.03,0,0.4315,17,STATE_PORTAL
2013,JUSTICE_ASSIST,1,NEED_BASED,TRIBAL,42.03,192151.49,30163948.11,15178049.8,2296,215,3508078148.59,ACCESS_E,84.69,52.97,18.4,1,0.7006,19,CUSTOM_PORTAL_A
2011,BROADBAND,0,COMPETITIVE,STATE,7.51,201129.1,95531641.24,47866385.17,4979,351,18824350028.39,NONE,44.59,64.23,7.09,1,0.2174,15,CUSTOM_PORTAL_B
2009,BROADBAND,1,NEED_BASED,STATE,21.43,401024.93,10111904.97,5256464.95,752,104,514264115.4,EQUITY_D,96.66,70.61,14.81,1,0.4005,45,STATE_PORTAL
2012,BROADBAND,0,COMPETITIVE,LOCAL,53.37,833504.59,414478028.87,207655766.73,25,7,1357943090.55,OUTCOME_B,63.15,95.75,6.97,1,0.4868,14,CUSTOM_PORTAL_A
2015,EDU_BLOCK,1,NEED_BASED,NONPROFIT,31.62,13806.33,3094133.04,1553969.68,1081,456,734219725.27,QUALITY_C,82.01,54.89,5.29,0,0.924,44,CUSTOM_PORTAL_B
2018,EDU_BLOCK,1,COMPETITIVE,LOCAL,12.44,762571.2,260236816.42,130499693.81,5494,552,64903769892.64,OUTPUT_A,97.6,73.07,5.93,1,0.8491,31,GRANTS_GOV
2020,HEALTH_MCH,1,NEED_BASED,LOCAL,4.59,601193.88,7025299.22,3813246.55,4907,1052,4444877652.44,EQUITY_D,67.69,48.91,10.59,1,0.9079,25,GRANTS_GOV
2011,BROADBAND,1,NEED_BASED,LOCAL,12.8,387872.27,161978259.03,81183065.65,1623,92,8386073718.65,OUTPUT_A,85.55,53.19,4.48,1,0.9083,18,CUSTOM_PORTAL_A
2016,TRANS_FORMULA,1,NEED_BASED,SCHOOL_DISTRICT,38.09,723495.29,323408381.8,162065938.55,4525,627,115886384525.51,OUTPUT_A,92.86,82.39,8.23,0,0.6117,8,GRANTS_GOV
2013,JUSTICE_ASSIST,0,POPULATION,LOCAL,27.78,588795.52,45242861.28,22915828.4,3122,828,20845047602.53,QUALITY_C,88.4,44.72,10.24,1,0.8778,34,GRANTS_GOV
2010,HOUSING_CDBG,0,NEED_BASED,UNIVERSITY,11.67,378511.64,20178499.15,10278505.4,2599,727,8384442453.94,ACCESS_E,43.58,41.29,12.59,0,0.64,49,CUSTOM_PORTAL_B
2011,ENERGY_EFF,0,NEED_BASED,UNIVERSITY,3.68,120677.93,58132119.89,29126398.91,2874,346,10249635668.66,OUTPUT_A,43.59,34.7,12.25,1,0.9807,3,GRANTS_GOV
2020,HOUSING_CDBG,1,MATCHING,STATE,28.58,657127.64,145042944.82,72850036.23,2192,720,47730248578.2,OUTPUT_A,63.31,33.85,1.11,1,0.9305,41,GRANTS_GOV
2021,HOUSING_CDBG,0,NEED_BASED,SCHOOL_DISTRICT,39.25,438990.67,11908044.5,6173517.58,1222,268,1765391852.46,QUALITY_C,69.47,51.52,7.98,1,0.2405,11,GRANTS_GOV
2012,WATER_SR,1,COMPETITIVE,SCHOOL_DISTRICT,9.57,603027.16,212335381.15,106469204.16,1250,528,50336429684.31,ACCESS_E,74.3,93.96,0.55,1,0.4278,44,STATE_PORTAL
2023,HEALTH_MCH,1,POPULATION,HOSPITAL,57.38,426216.61,149054426.52,74740321.57,5086,1879,146129880040.41,OUTCOME_B,45.7,27.85,1.06,1,0.0675,18,GRANTS_GOV
2022,ENERGY_EFF,1,POPULATION,NONPROFIT,53.44,578390.79,146252042.4,73415216.6,2107,889,57240636720.85,QUALITY_C,55.07,84.39,18.39,0,0.6305,15,CUSTOM_PORTAL_A
2016,ENERGY_EFF,0,OTHER,LOCAL,27.6,830496.43,230952742.22,115891619.32,1801,792,101134132461.59,EQUITY_D,58.4,51.12,13.7,0,0.4618,1,GRANTS_GOV
2017,WATER_SR,0,POPULATION,UNIVERSITY,58.54,746517.07,365102233.58,182924375.32,3544,1345,218646328785.87,EQUITY_D,43.99,59.06,11.48,1,0.4096,9,CUSTOM_PORTAL_B
