civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_usd,civic_ballot_campaign_spend_oppose_usd,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2016,MEAS000001147,INITIATIVE,HOUSING,HOUSING_TITLE001147,1289945,1309164,QUALIFIED,19852539.13,148997057.62,1626,358,90125,21.46,78.33,330540,273998,1,2007-03-11,0
2010,MEAS000001148,RECALL,EDU,EDU_TITLE001148,670588,675221,QUALIFIED,201539902.35,88948214.26,723,1192,11250,21.09,77.79,950190,1376245,0,2022-09-30,0
2021,MEAS000001149,INITIATIVE,ELECTIONS,ELECTIONS_TITLE001149,1356219,1366934,QUALIFIED,152324089.99,73059119.13,1976,1954,113177,27.89,74.21,307071,354988,0,2023-02-23,0
2010,MEAS000001150,INITIATIVE,EDU,EDU_TITLE001150,1110213,1123958,QUALIFIED,242168591.14,187165482.97,576,853,81654,57.22,42.47,2302278,1817556,1,2021-12-30,0
2005,MEAS000001151,CHARTER,TRANSPORT,TRANSPORT_TITLE001151,548311,564332,FAILED,103005868.9,177817111.2,286,652,97597,33.72,66.92,828513,650204,1,2003-05-22,0
2004,MEAS000001152,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001152,997757,1015305,FAILED,6292484.51,30256221.04,2018,947,61735,50.38,48.81,1856493,2697502,0,2017-12-22,0
2000,MEAS000001153,BOND,HEALTH,HEALTH_TITLE001153,628624,614547,FAILED,235684300.88,174124327.01,2365,122,18528,43.57,54.52,1524363,2222349,0,2010-11-19,1
2003,MEAS000001154,REFERENDUM,TAX,TAX_TITLE001154,396012,405525,FAILED,247727932.95,200867266.99,684,1347,75312,59.65,39.96,942254,1616973,0,2024-02-19,1
2020,MEAS000001155,REFERENDUM,EDU,EDU_TITLE001155,269058,282852,QUALIFIED,248958571.18,236488663.56,437,383,19982,49.42,46.16,1590001,2002778,0,2018-12-25,0
2025,MEAS000001156,BOND,EDU,EDU_TITLE001156,968431,966703,QUALIFIED,213819498.23,170383474.63,1035,1542,675,45.88,55.61,543366,550327,0,2020-08-27,1
2019,MEAS000001157,CHARTER,HEALTH,HEALTH_TITLE001157,33857,44127,QUALIFIED,3877392.58,60026623.21,1952,1596,40880,26.03,71.49,238086,537619,0,2018-08-29,0
2020,MEAS000001158,AMENDMENT,ENVIRONMENT,ENVIRONMENT_TITLE001158,449539,445366,QUALIFIED,85660424.85,98725925.84,403,660,49897,21.87,79.69,1447096,1261152,1,2025-08-27,0
2024,MEAS000001159,BOND,ELECTIONS,ELECTIONS_TITLE001159,880421,860750,QUALIFIED,85822949.67,127847513.07,2072,42,90051,27.54,75.27,1273434,1592053,0,2019-08-28,0
2017,MEAS000001160,BOND,LABOR,LABOR_TITLE001160,151185,161743,LITIGATED,55924269.41,63887495.61,174,254,62893,73.06,22.11,746854,436359,1,2019-12-09,0
2001,MEAS000001161,AMENDMENT,ELECTIONS,ELECTIONS_TITLE001161,285920,281554,QUALIFIED,205173601.01,107261842.15,2111,33,70507,66.11,36.22,1718440,864906,1,2020-10-27,0
2008,MEAS000001162,REFERENDUM,LABOR,LABOR_TITLE001162,665442,677629,QUALIFIED,77733536.23,8112348.83,1385,2113,5985,74.95,25.72,1101745,1254014,0,2004-05-28,0
2011,MEAS000001163,AMENDMENT,LABOR,LABOR_TITLE001163,100107,110167,FAILED,242190861.54,71998789.43,1958,364,74871,36.63,59.89,1596903,2047879,0,2008-07-14,0
2001,MEAS000001164,BOND,HEALTH,HEALTH_TITLE001164,1185646,1204280,PENDING,142895333.37,236730723.25,506,1631,25859,60.42,40.75,475759,598878,0,2008-06-16,0
2014,MEAS000001165,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001165,1424760,1442281,LITIGATED,129954665.54,90623788.56,865,1215,110790,59.88,36.62,41776,93235,0,2013-07-24,0
2010,MEAS000001166,REFERENDUM,TAX,TAX_TITLE001166,1144321,1152381,QUALIFIED,245476863.22,190027991.87,516,2346,40730,66.28,34.5,1110078,1166633,0,2002-11-26,0
2005,MEAS000001167,REFERENDUM,EDU,EDU_TITLE001167,1304728,1307189,QUALIFIED,26225650.2,152817895.92,465,1688,141629,52.88,51.76,284776,160132,1,2006-05-03,0
2011,MEAS000001168,RECALL,ELECTIONS,ELECTIONS_TITLE001168,343304,350576,FAILED,71858087.96,223493457.82,1480,2000,51362,67.06,28.79,1443483,869880,1,2013-09-12,0
2009,MEAS000001169,REFERENDUM,ELECTIONS,ELECTIONS_TITLE001169,910442,919201,PENDING,53570377.7,144162956.6,2186,411,81257,29.61,68.83,987518,964413,1,2010-06-15,0
2000,MEAS000001170,CHARTER,LABOR,LABOR_TITLE001170,1435836,1434776,PENDING,99460284.26,35222200.63,1065,1128,84328,71.91,25.92,1598350,1196607,1,2025-01-28,0
2002,MEAS000001171,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001171,879731,884853,QUALIFIED,4538128.42,88678057.88,2201,1543,76536,58.8,45.16,1763559,1164721,1,2004-04-07,0
2004,MEAS000001172,BOND,LABOR,LABOR_TITLE001172,325097,314699,FAILED,71233317.87,33424645.9,1706,674,70843,47.0,49.97,368299,567629,0,2004-04-23,0
2017,MEAS000001173,INITIATIVE,HOUSING,HOUSING_TITLE001173,961706,974114,FAILED,53025972.58,58911594.4,1640,2176,20782,32.68,67.0,2392329,1576610,1,2022-08-14,0
2012,MEAS000001174,AMENDMENT,TRANSPORT,TRANSPORT_TITLE001174,1464796,1462907,QUALIFIED,244865168.54,125692153.93,1041,6,57936,72.96,22.57,427552,711088,0,2008-11-12,0
2011,MEAS000001175,BOND,TAX,TAX_TITLE001175,749473,744734,QUALIFIED,39176273.65,111775482.39,559,1842,82841,57.43,47.39,651674,550534,1,2009-09-20,0
2000,MEAS000001176,CHARTER,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001176,1405054,1391365,FAILED,178491237.76,238188209.89,1842,1847,64293,64.29,32.78,1236411,930277,1,2005-09-22,0
2018,MEAS000001177,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE001177,233912,231492,QUALIFIED,184501329.97,199778744.77,1040,1313,92043,54.23,44.72,3085716,1683213,1,2024-04-10,0
2025,MEAS000001178,REFERENDUM,TAX,TAX_TITLE001178,442542,443446,FAILED,203712656.09,139842847.16,1106,787,114523,62.36,34.96,2210156,1501554,1,2010-12-29,1
2014,MEAS000001179,INITIATIVE,TAX,TAX_TITLE001179,295686,289460,FAILED,161992619.99,123255525.9,1533,1204,27271,43.96,55.94,555862,472262,1,2017-04-03,1
2012,MEAS000001180,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001180,712153,703650,QUALIFIED,238979423.29,54813398.08,235,745,60981,34.57,63.14,684485,623320,1,2005-07-24,0
2015,MEAS000001181,AMENDMENT,EDU,EDU_TITLE001181,655547,665312,QUALIFIED,152008922.79,68464351.68,1747,1426,75537,20.1,80.88,309202,451133,0,2003-09-19,0
2001,MEAS000001182,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001182,113731,124289,FAILED,91749292.66,237718315.54,2195,1444,49587,30.87,66.88,157578,314630,0,2012-10-20,0
2023,MEAS000001183,INITIATIVE,HEALTH,HEALTH_TITLE001183,1373904,1355638,PENDING,155309657.03,203083340.22,1985,952,66731,26.35,69.78,1113101,536543,1,2009-07-06,0
2005,MEAS000001184,REFERENDUM,TAX,TAX_TITLE001184,824429,808189,LITIGATED,95010602.99,169812109.73,1641,351,147898,65.48,37.84,1389289,1834643,0,2012-06-01,0
2023,MEAS000001185,INITIATIVE,OTHER,OTHER_TITLE001185,364920,367160,FAILED,208157250.84,95754845.26,1331,1173,43378,70.0,28.92,1612482,1097147,1,2017-01-21,0
2009,MEAS000001186,AMENDMENT,OTHER,OTHER_TITLE001186,620000,633490,FAILED,78202197.71,42733440.02,1727,1937,85942,50.31,54.4,1199216,1562258,0,2006-08-10,0
2012,MEAS000001187,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001187,775053,772112,FAILED,116487247.4,24116658.99,806,1005,101457,66.84,29.64,2641472,2245994,1,2004-05-08,0
2019,MEAS000001188,INITIATIVE,EDU,EDU_TITLE001188,764940,765884,FAILED,24345189.2,31018997.59,923,1194,103608,58.79,37.53,1752161,1239963,1,2001-09-25,1
2012,MEAS000001189,REFERENDUM,ELECTIONS,ELECTIONS_TITLE001189,123346,119486,FAILED,236711793.85,90173225.21,2460,923,90497,34.41,64.7,228113,274632,0,2017-09-05,0
2020,MEAS000001190,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001190,1457273,1460131,QUALIFIED,208712378.75,140323375.91,1912,1242,96621,45.66,55.21,36854,43135,0,2010-01-16,0
2019,MEAS000001191,INITIATIVE,HOUSING,HOUSING_TITLE001191,413680,426734,QUALIFIED,140010160.41,189480836.37,1876,1529,28801,66.2,31.27,569625,612913,0,2023-09-08,0
2001,MEAS000001192,BOND,HOUSING,HOUSING_TITLE001192,1459522,1477808,FAILED,76698061.69,20380192.49,1978,1934,30528,78.42,18.61,1969227,969460,1,2013-04-10,0
2018,MEAS000001193,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001193,275654,287177,PENDING,210980338.69,34360292.45,655,557,60486,25.67,75.96,1638978,1336301,1,2000-02-15,0
2014,MEAS000001194,CHARTER,ENVIRONMENT,ENVIRONMENT_TITLE001194,682371,667765,QUALIFIED,19105640.16,78940048.54,1546,2462,23920,32.11,66.82,997821,1263686,0,2007-06-04,0
2018,MEAS000001195,AMENDMENT,HOUSING,HOUSING_TITLE001195,243737,235298,FAILED,244391140.16,226018939.11,2041,1092,104431,39.65,60.45,1529743,1536955,0,2013-11-03,0
2013,MEAS000001196,REFERENDUM,TAX,TAX_TITLE001196,743282,737581,QUALIFIED,137681477.22,2170195.89,1301,1047,71803,33.1,67.79,615083,581675,1,2005-03-22,0
2025,MEAS000001197,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001197,794521,807205,WITHDRAWN,161794826.31,91154685.36,545,2235,2621,38.54,60.0,3024960,1877170,1,2018-11-28,0
2002,MEAS000001198,REFERENDUM,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001198,1230084,1233394,QUALIFIED,112167068.29,152894072.35,1029,1566,27935,37.9,59.72,597674,469670,1,2023-10-26,0
2012,MEAS000001199,CHARTER,HOUSING,HOUSING_TITLE001199,260101,253639,FAILED,126921194.64,58279085.4,2286,1459,56251,49.17,55.34,135845,121186,1,2010-07-03,0
2003,MEAS000001200,AMENDMENT,HEALTH,HEALTH_TITLE001200,1432457,1415261,QUALIFIED,204672878.05,151165481.78,760,1506,54771,63.18,35.99,1388418,1302190,1,2005-05-04,0
2016,MEAS000001201,REFERENDUM,LABOR,LABOR_TITLE001201,390749,375287,QUALIFIED,107732205.57,120159802.17,1568,1759,106726,41.95,56.77,962182,527454,1,2009-05-16,0
2006,MEAS000001202,REFERENDUM,HOUSING,HOUSING_TITLE001202,461716,444310,FAILED,161412105.4,201427611.55,2361,2236,35029,21.01,82.72,1110273,1912685,0,2003-06-11,0
2021,MEAS000001203,AMENDMENT,TAX,TAX_TITLE001203,511099,505703,FAILED,133613223.26,11914241.27,646,1950,99456,68.11,27.57,1874991,1503835,1,2018-10-07,0
2023,MEAS000001204,REFERENDUM,ELECTIONS,ELECTIONS_TITLE001204,433819,444311,LITIGATED,114555153.31,177042872.99,14,744,97761,66.46,35.56,43178,62986,0,2015-04-06,0
2020,MEAS000001205,CHARTER,ELECTIONS,ELECTIONS_TITLE001205,584600,595571,PENDING,180463685.45,179388382.29,478,2187,47222,75.31,24.93,2878189,1709556,1,2015-06-20,1
2013,MEAS000001206,AMENDMENT,OTHER,OTHER_TITLE001206,1031686,1029314,PENDING,145792873.95,18686108.45,1044,1489,10419,71.42,27.77,135860,295358,0,2024-11-12,0
2005,MEAS000001207,INITIATIVE,TAX,TAX_TITLE001207,726787,728426,LITIGATED,214345213.4,46463480.61,1710,1757,6099,37.77,64.41,55574,25658,1,2002-02-09,0
2017,MEAS000001208,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE001208,877148,892840,PENDING,191313909.29,237497167.93,621,1215,64996,41.22,57.77,1437582,1249619,1,2022-07-11,0
2020,MEAS000001209,INITIATIVE,HEALTH,HEALTH_TITLE001209,406841,411094,PENDING,70698691.42,40257870.16,2499,676,34172,26.05,69.25,2185804,1295636,1,2012-01-15,0
2015,MEAS000001210,AMENDMENT,ENVIRONMENT,ENVIRONMENT_TITLE001210,1438019,1442255,QUALIFIED,39769155.24,110579232.92,1835,875,53368,68.02,33.96,1770966,1451783,1,2016-11-15,0
2006,MEAS000001211,BOND,ENVIRONMENT,ENVIRONMENT_TITLE001211,370858,367939,QUALIFIED,30452162.7,74698539.88,1666,652,13283,38.53,59.76,2603734,2315346,1,2025-11-19,0
2000,MEAS000001212,INITIATIVE,HOUSING,HOUSING_TITLE001212,486166,495766,LITIGATED,177546933.68,230400473.64,56,613,53984,20.14,79.26,795178,866542,0,2015-08-27,0
2014,MEAS000001213,REFERENDUM,TRANSPORT,TRANSPORT_TITLE001213,1228664,1247423,FAILED,31881347.79,149604610.3,151,1219,52800,35.84,67.13,537475,1089905,0,2020-07-31,0
2011,MEAS000001214,CHARTER,HOUSING,HOUSING_TITLE001214,334336,338897,PENDING,100298943.39,136477249.52,412,1812,103355,37.95,66.43,1175839,1443922,0,2003-06-02,0
2004,MEAS000001215,INITIATIVE,LABOR,LABOR_TITLE001215,478502,486985,QUALIFIED,16696324.97,102585009.23,684,1648,103918,23.98,72.65,269360,261956,1,2007-11-02,0
2022,MEAS000001216,REFERENDUM,ENVIRONMENT,ENVIRONMENT_TITLE001216,1222293,1231084,PENDING,206692756.06,23307578.07,1386,973,73717,34.99,63.12,531331,841031,0,2025-02-14,0
2020,MEAS000001217,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001217,1135889,1119873,FAILED,64717556.11,102664887.93,1957,1234,114624,58.96,42.99,2561710,1371147,1,2013-11-11,0
2004,MEAS000001218,INITIATIVE,LABOR,LABOR_TITLE001218,1116311,1105230,FAILED,235888050.06,221382177.3,1299,2469,96689,51.04,49.34,804524,1646526,0,2024-08-31,0
2001,MEAS000001219,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE001219,1236513,1247136,QUALIFIED,10580994.48,31728278.83,2121,772,100902,75.41,25.24,1490630,1081570,1,2022-12-17,0
2025,MEAS000001220,AMENDMENT,LABOR,LABOR_TITLE001220,479526,475009,QUALIFIED,72413783.82,16510651.74,1975,900,8827,31.67,63.46,1282459,776220,1,2022-04-21,0
2019,MEAS000001221,AMENDMENT,ELECTIONS,ELECTIONS_TITLE001221,1149291,1136626,QUALIFIED,39756744.11,136600569.31,1521,95,40122,45.33,55.41,1770806,1164162,1,2000-04-14,0
2022,MEAS000001222,REFERENDUM,ELECTIONS,ELECTIONS_TITLE001222,1283026,1280342,QUALIFIED,22383399.95,64941962.66,1554,487,54167,59.48,44.37,375857,409145,0,2012-05-03,0
2013,MEAS000001223,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001223,1332435,1341721,QUALIFIED,59417402.95,113829118.83,2084,2339,147563,79.46,19.1,2296300,1266452,1,2017-01-08,1
2021,MEAS000001224,REFERENDUM,LABOR,LABOR_TITLE001224,1260885,1260295,FAILED,247069422.75,150041070.39,1457,1580,54608,66.8,37.03,3428381,1527440,1,2021-06-09,0
2022,MEAS000001225,AMENDMENT,HEALTH,HEALTH_TITLE001225,1403432,1392747,QUALIFIED,22524180.38,90748335.07,1181,1525,31059,40.61,55.32,164574,161246,1,2014-05-23,0
2021,MEAS000001226,AMENDMENT,OTHER,OTHER_TITLE001226,1214837,1219021,FAILED,178458690.01,178353278.93,2261,1082,654,69.78,25.38,3072607,1558984,1,2002-08-14,0
2004,MEAS000001227,RECALL,LABOR,LABOR_TITLE001227,605006,611640,QUALIFIED,121663329.62,183039947.94,276,1551,125438,25.59,76.03,3190436,1756781,1,2016-10-25,1
2018,MEAS000001228,REFERENDUM,OTHER,OTHER_TITLE001228,450437,441432,QUALIFIED,70604929.81,20554216.45,2375,688,68989,47.64,47.67,1533251,743883,1,2015-05-16,1
2005,MEAS000001229,BOND,TAX,TAX_TITLE001229,625005,638688,FAILED,65477776.38,80655949.51,100,970,148845,31.72,64.48,1459725,675894,1,2013-10-16,0
2016,MEAS000001230,AMENDMENT,TRANSPORT,TRANSPORT_TITLE001230,832303,837985,QUALIFIED,25679181.97,159150628.45,601,1323,101273,51.25,44.02,809492,512383,1,2020-12-11,0
2008,MEAS000001231,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001231,1481410,1486439,QUALIFIED,113639913.95,71131111.72,914,45,102120,47.22,55.96,1490702,984809,1,2019-02-19,0
2015,MEAS000001232,AMENDMENT,OTHER,OTHER_TITLE001232,412004,410206,QUALIFIED,199094246.82,129262080.19,1734,1274,103341,42.67,59.75,1008842,596110,1,2016-11-03,0
2005,MEAS000001233,INITIATIVE,EDU,EDU_TITLE001233,358284,358593,QUALIFIED,62023912.4,62162097.09,300,2102,98638,67.99,31.45,473029,870101,0,2023-03-15,0
2003,MEAS000001234,BOND,TAX,TAX_TITLE001234,828014,832710,LITIGATED,237880888.82,87202260.23,462,2346,89385,41.15,60.57,2549086,1843112,1,2016-09-13,0
2012,MEAS000001235,CHARTER,TRANSPORT,TRANSPORT_TITLE001235,485563,474723,QUALIFIED,91577390.01,83563747.32,343,251,51089,36.92,67.36,1675108,1401165,1,2012-09-28,1
2001,MEAS000001236,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001236,621868,639986,QUALIFIED,101483021.15,138567186.98,394,2301,70552,64.55,32.18,874721,973291,0,2021-08-21,0
2000,MEAS000001237,INITIATIVE,HEALTH,HEALTH_TITLE001237,1272198,1252992,PENDING,249496995.38,7180243.0,165,2219,99163,44.74,50.77,343181,460912,0,2004-07-19,0
2025,MEAS000001238,AMENDMENT,EDU,EDU_TITLE001238,1249043,1235638,PENDING,34358730.85,113188702.74,339,367,7534,30.67,66.22,1344325,2604830,0,2007-01-07,0
2003,MEAS000001239,AMENDMENT,OTHER,OTHER_TITLE001239,1465946,1473848,QUALIFIED,241057003.09,232328705.51,1742,2374,58033,42.07,54.97,122312,102330,1,2003-11-04,0
2005,MEAS000001240,INITIATIVE,LABOR,LABOR_TITLE001240,722904,739094,PENDING,125879729.93,69862476.12,1889,639,132997,27.59,75.85,2679583,1695062,1,2009-11-18,0
2023,MEAS000001241,REFERENDUM,HEALTH,HEALTH_TITLE001241,1468724,1460535,QUALIFIED,150763095.13,56399497.65,1970,1031,91014,64.37,37.09,1519912,3094133,0,2019-05-14,0
2016,MEAS000001242,INITIATIVE,EDU,EDU_TITLE001242,1050673,1049029,PENDING,231629018.01,59945056.78,284,1741,123134,76.61,23.36,2095549,1084554,1,2013-08-20,0
2008,MEAS000001243,REFERENDUM,TRANSPORT,TRANSPORT_TITLE001243,742782,760734,QUALIFIED,20403299.31,163668988.09,1331,316,44888,64.91,36.01,2158139,2441707,0,2022-12-23,0
2011,MEAS000001244,CHARTER,HOUSING,HOUSING_TITLE001244,902504,910820,QUALIFIED,165608797.69,71149723.74,806,628,22501,55.84,47.85,240183,289185,0,2018-12-24,0
2013,MEAS000001245,BOND,HOUSING,HOUSING_TITLE001245,1178850,1183033,FAILED,117139675.77,39372452.37,1396,241,31853,68.82,28.73,1913972,2748228,0,2012-07-30,0
2017,MEAS000001246,INITIATIVE,LABOR,LABOR_TITLE001246,1106459,1118251,WITHDRAWN,24244807.23,75189476.26,858,675,26547,69.12,35.2,1732954,1747507,0,2009-04-01,0
2009,MEAS000001247,AMENDMENT,EDU,EDU_TITLE001247,1188113,1174686,QUALIFIED,192887429.41,6168575.91,570,1299,115389,25.08,75.13,2100040,2537973,0,2003-09-15,0
2024,MEAS000001248,REFERENDUM,ELECTIONS,ELECTIONS_TITLE001248,901725,913349,PENDING,124184691.07,22580191.7,1453,2443,148827,27.85,69.62,2374006,2459303,0,2016-07-25,1
2023,MEAS000001249,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001249,500029,515995,LITIGATED,171027491.85,210587512.55,1973,1229,37833,51.07,50.85,349350,449640,0,2004-12-28,0
2005,MEAS000001250,INITIATIVE,EDU,EDU_TITLE001250,36765,19276,PENDING,204734458.89,185800176.69,1090,135,66555,65.17,38.88,163909,223956,0,2009-01-04,0
2020,MEAS000001251,CHARTER,HEALTH,HEALTH_TITLE001251,780964,762672,QUALIFIED,110970586.67,223577133.9,349,914,90028,50.97,53.3,1198717,602856,1,2025-09-13,0
2013,MEAS000001252,REFERENDUM,TRANSPORT,TRANSPORT_TITLE001252,470227,489925,LITIGATED,199813040.63,104119199.67,932,37,17665,21.05,82.74,41545,47411,0,2001-07-18,0
2010,MEAS000001253,INITIATIVE,LABOR,LABOR_TITLE001253,136973,155740,FAILED,107311333.88,212492531.46,1837,1089,114989,25.26,75.69,1416701,1804164,0,2005-09-06,0
2013,MEAS000001254,AMENDMENT,EDU,EDU_TITLE001254,589224,579759,QUALIFIED,97634798.72,5265430.3,1038,2016,51791,76.36,26.19,2427556,1365167,1,2005-01-31,0
2025,MEAS000001255,CHARTER,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001255,994148,998937,FAILED,64162094.59,204559481.73,2233,1561,126698,44.8,52.69,2357073,1854245,1,2005-01-14,0
2024,MEAS000001256,AMENDMENT,OTHER,OTHER_TITLE001256,270231,258238,LITIGATED,101192453.77,235083172.61,1632,1811,43264,21.1,74.58,435111,440198,0,2013-12-05,0
2018,MEAS000001257,BOND,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001257,911040,909222,PENDING,208766853.35,158837615.56,36,1079,117167,22.39,80.61,1900406,2644215,0,2001-01-15,0
2023,MEAS000001258,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001258,330456,312272,QUALIFIED,157118590.64,20991685.72,1367,997,40385,74.85,25.73,861724,1426133,0,2025-11-01,0
2002,MEAS000001259,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001259,54519,48734,FAILED,83004282.02,240230310.36,1429,1514,52098,29.75,71.54,2256428,1334158,1,2023-11-08,1
2018,MEAS000001260,CHARTER,HOUSING,HOUSING_TITLE001260,21940,2483,WITHDRAWN,171039297.12,174662356.18,997,1444,98483,34.35,70.53,914131,2092844,0,2022-05-28,0
2023,MEAS000001261,AMENDMENT,HOUSING,HOUSING_TITLE001261,730901,733367,QUALIFIED,238593691.72,163984770.55,2410,63,24226,30.24,74.32,2225836,2596962,0,2024-05-30,0
2025,MEAS000001262,REFERENDUM,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001262,464412,472194,LITIGATED,185280282.95,206328778.32,967,2038,38128,30.66,68.37,2945173,1403246,1,2017-05-22,0
2008,MEAS000001263,INITIATIVE,TRANSPORT,TRANSPORT_TITLE001263,1102562,1098929,QUALIFIED,227230267.8,89213675.56,148,424,130797,55.09,45.95,1431758,722125,1,2006-11-05,0
2003,MEAS000001264,AMENDMENT,TAX,TAX_TITLE001264,997341,988318,QUALIFIED,32608124.47,92446515.26,191,2360,40384,73.41,23.61,245161,422073,0,2006-08-20,0
2018,MEAS000001265,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001265,783029,786713,LITIGATED,84863112.16,65284482.38,809,1726,94940,31.38,65.14,1412033,993729,1,2014-06-15,0
2004,MEAS000001266,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001266,1158374,1177429,QUALIFIED,166893536.34,2500874.26,2261,1289,29665,75.35,21.59,2980,2022,1,2022-06-21,0
2025,MEAS000001267,REFERENDUM,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001267,989021,975770,QUALIFIED,124768732.38,164553743.42,25,832,52434,43.15,61.61,1195098,583942,1,2016-01-22,0
2013,MEAS000001268,CHARTER,EDU,EDU_TITLE001268,106529,119197,QUALIFIED,197471990.46,222180407.35,1836,1410,25947,47.15,56.17,1832954,1456001,1,2008-11-16,0
2004,MEAS000001269,BOND,HOUSING,HOUSING_TITLE001269,286567,273334,PENDING,143816798.32,222665951.92,2249,1667,16653,61.27,39.31,288455,160985,1,2017-04-24,0
2010,MEAS000001270,INITIATIVE,HOUSING,HOUSING_TITLE001270,1137233,1144286,QUALIFIED,234415059.38,132873370.96,869,385,115580,74.64,20.76,327378,474979,0,2023-03-01,0
2022,MEAS000001271,INITIATIVE,ELECTIONS,ELECTIONS_TITLE001271,520321,522040,WITHDRAWN,245040911.67,244375899.75,1023,562,45138,46.11,57.22,494856,600452,0,2019-07-31,1
2002,MEAS000001272,REFERENDUM,EDU,EDU_TITLE001272,56592,49820,LITIGATED,213685939.18,23977585.74,916,505,23654,57.9,41.23,2620815,2192295,1,2005-12-31,0
2017,MEAS000001273,INITIATIVE,TAX,TAX_TITLE001273,804616,806430,FAILED,137763692.58,231136030.45,2103,1517,24598,77.44,22.21,1599554,3291742,0,2006-01-30,0
2004,MEAS000001274,BOND,HOUSING,HOUSING_TITLE001274,390242,391313,LITIGATED,222900046.46,160296855.23,1710,2039,127112,60.93,44.01,489108,1103876,0,2003-07-13,1
2017,MEAS000001275,REFERENDUM,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001275,145552,126874,QUALIFIED,229780367.21,228913456.31,335,2382,53892,54.96,43.46,1845950,1230872,1,2000-08-03,0
2005,MEAS000001276,INITIATIVE,OTHER,OTHER_TITLE001276,250915,254484,QUALIFIED,50008343.48,62730333.08,1936,2202,86477,25.18,76.67,2492922,2160705,1,2001-12-10,0
2023,MEAS000001277,BOND,ENVIRONMENT,ENVIRONMENT_TITLE001277,1060251,1042886,QUALIFIED,171290004.28,65486544.19,1921,1382,46555,75.03,29.17,246649,232677,1,2019-02-07,0
2007,MEAS000001278,INITIATIVE,HOUSING,HOUSING_TITLE001278,1140095,1149520,QUALIFIED,149479613.25,125679221.71,937,1200,130591,46.09,50.33,1339215,2412145,0,2016-07-06,0
2001,MEAS000001279,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE001279,351055,360993,FAILED,25058525.61,135758247.06,126,1238,148018,20.32,77.13,564163,437746,1,2014-12-11,0
2010,MEAS000001280,AMENDMENT,ENVIRONMENT,ENVIRONMENT_TITLE001280,751571,762947,PENDING,14158108.28,93939339.62,774,1401,47728,30.68,70.07,910553,1551184,0,2018-01-23,0
2022,MEAS000001281,REFERENDUM,HOUSING,HOUSING_TITLE001281,512505,524364,QUALIFIED,64369805.77,89809537.93,2058,1353,50689,40.65,60.62,820788,577212,1,2007-05-13,0
2006,MEAS000001282,REFERENDUM,TAX,TAX_TITLE001282,520184,516209,QUALIFIED,11317793.81,97665052.38,2242,403,117454,32.02,63.49,2370398,1733122,1,2022-12-09,0
2023,MEAS000001283,AMENDMENT,ENVIRONMENT,ENVIRONMENT_TITLE001283,12606,5260,QUALIFIED,30960836.48,144687383.93,2088,162,11342,72.44,32.36,1031752,579589,1,2013-04-19,0
2019,MEAS000001284,AMENDMENT,ENVIRONMENT,ENVIRONMENT_TITLE001284,1306299,1297609,LITIGATED,74092413.99,121563747.78,411,373,90411,29.27,68.77,501471,1137109,0,2019-05-17,0
