energy_eff_program_year,energy_eff_program_id,energy_eff_measure_type_code,energy_eff_rebate_amount_usd,energy_eff_participant_count,energy_eff_kwh_savings_first_year,energy_eff_kw_savings_peak,energy_eff_therm_savings_first_year,energy_eff_lifetime_savings_mwh,energy_eff_cost_effectiveness_trc,energy_eff_cost_effectiveness_pac,energy_eff_net_to_gross_ratio,energy_eff_free_ridership_rate,energy_eff_spillover_rate,energy_eff_verification_method_code,energy_eff_evaluation_report_link_id,energy_eff_income_qualification_flag,energy_eff_contractor_network_size,energy_eff_market_transformation_score,energy_eff_measure_installation_time_days
2011,PROG0001067,INDUSTRIAL_PROCESS,515.93,218646,168352.93,4503.38,71688.51,1735.453,0.314,1.599,0.592,0.213,0.181,DEEMED,RPT00001067,0,269,38.41,20
2024,PROG0001068,WEATHERIZATION,154.83,131131,93278.74,3202.81,75635.62,1432.665,2.557,0.523,0.995,0.367,0.041,DEEMED,RPT00001068,0,2634,59.15,102
2021,PROG0001069,BUILDING_CONTROLS,2849.42,100005,229477.35,1525.31,16559.53,3720.012,1.419,1.26,0.995,0.244,0.265,INSPECTION,RPT00001069,0,6400,47.7,119
2011,PROG0001070,HEAT_PUMP,237.97,15479,65946.41,2539.8,39967.67,284.556,2.009,2.48,0.942,0.176,0.449,DEEMED,RPT00001070,1,3535,69.14,123
2011,PROG0001071,INSULATION,4478.95,194776,131876.2,176.85,33529.67,877.804,1.725,2.089,0.981,0.127,0.044,BILLING_ANALYSIS,RPT00001071,0,822,23.39,68
2015,PROG0001072,LED,3478.8,147694,2948.77,286.08,3038.94,51.494,3.046,0.139,0.51,0.257,0.173,DEEMED,RPT00001072,0,11269,10.53,45
2010,PROG0001073,INSULATION,554.85,7982,181943.64,52.43,76192.51,1817.542,0.462,1.087,0.312,0.026,0.1,DEEMED,RPT00001073,1,7571,19.55,92
2023,PROG0001074,BUILDING_CONTROLS,7149.34,218039,73785.8,3320.58,68552.3,572.394,2.258,2.558,0.541,0.092,0.396,EQUIPMENT_TRACKING,RPT00001074,1,5118,87.97,62
2023,PROG0001075,APPLIANCE,6318.84,180662,36934.98,3393.47,12445.69,288.507,2.831,1.447,0.411,0.508,0.306,DEEMED,RPT00001075,1,9665,43.79,7
2022,PROG0001076,LED,6774.53,6524,244781.1,2379.88,10936.12,2915.661,2.784,1.82,0.845,0.249,0.433,INSPECTION,RPT00001076,0,10501,15.88,103
2025,PROG0001077,BUILDING_CONTROLS,2275.3,208950,26975.69,2665.26,26092.4,341.384,1.838,2.039,0.401,0.493,0.361,DEEMED,RPT00001077,0,3869,87.33,100
2025,PROG0001078,LED,4221.39,215899,116235.21,2601.0,26189.94,1829.341,0.286,0.709,0.628,0.57,0.194,METERED,RPT00001078,0,5905,70.24,86
2019,PROG0001079,BUILDING_CONTROLS,6459.76,31036,9306.78,443.0,13101.99,134.34,0.913,1.648,0.552,0.383,0.393,BILLING_ANALYSIS,RPT00001079,1,9102,89.9,179
2022,PROG0001080,SOLAR_WATER_HEAT,5572.23,237382,150182.27,1193.07,20052.08,607.731,2.939,0.384,0.641,0.53,0.195,BILLING_ANALYSIS,RPT00001080,1,11712,50.7,147
2025,PROG0001081,INSULATION,2283.34,188399,112386.29,4285.37,39495.35,367.393,0.763,1.557,0.603,0.004,0.389,METERED,RPT00001081,1,6910,62.31,28
2014,PROG0001082,OTHER,6136.98,31754,117085.35,4576.17,83963.5,1862.697,3.318,1.07,0.54,0.148,0.384,BILLING_ANALYSIS,RPT00001082,0,7462,30.09,165
2012,PROG0001083,HEAT_PUMP,4305.24,28237,161417.41,4534.39,92763.82,1845.587,2.661,2.472,0.927,0.404,0.251,METERED,RPT00001083,0,5250,2.58,77
2010,PROG0001084,INSULATION,737.35,44636,234427.62,1664.54,27011.3,3767.781,2.492,1.107,0.587,0.293,0.152,METERED,RPT00001084,0,11319,18.18,79
2012,PROG0001085,HVAC,4246.38,172442,149667.96,4316.08,24247.98,718.503,1.148,2.452,1.08,0.487,0.412,DEEMED,RPT00001085,0,3755,67.09,128
2014,PROG0001086,INSULATION,5696.56,223597,203555.87,3778.86,88349.66,2687.971,2.683,0.687,0.318,0.009,0.151,EQUIPMENT_TRACKING,RPT00001086,1,10513,79.83,148
2016,PROG0001087,LED,1679.34,237449,23596.61,1966.32,46993.73,351.741,3.101,2.661,0.765,0.133,0.296,BILLING_ANALYSIS,RPT00001087,0,8298,27.99,163
2015,PROG0001088,OTHER,3924.45,186876,63863.91,4014.72,6086.18,219.053,0.629,0.901,0.84,0.355,0.16,METERED,RPT00001088,1,4039,15.07,121
2013,PROG0001089,LED,7223.68,75257,58920.5,937.21,1071.04,678.529,1.089,0.119,0.575,0.579,0.183,INSPECTION,RPT00001089,1,1634,94.86,20
2009,PROG0001090,APPLIANCE,2634.83,231801,228436.74,2794.65,12918.75,1281.91,1.193,1.032,0.882,0.354,0.304,METERED,RPT00001090,1,2949,61.92,131
2018,PROG0001091,HVAC,318.53,201991,174292.4,3813.9,29842.7,1156.058,0.348,1.516,0.932,0.461,0.256,EQUIPMENT_TRACKING,RPT00001091,0,10399,83.82,40
2021,PROG0001092,LED,6820.35,104155,62743.81,2571.39,20139.91,540.697,0.749,0.904,0.387,0.494,0.095,METERED,RPT00001092,0,7051,35.55,116
2013,PROG0001093,APPLIANCE,2302.63,49657,45486.35,1761.2,9664.95,252.642,2.034,1.972,0.908,0.288,0.087,INSPECTION,RPT00001093,0,7372,4.97,159
2024,PROG0001094,OTHER,1842.13,34427,224135.26,2056.15,82823.2,2018.936,2.85,2.347,0.596,0.183,0.241,INSPECTION,RPT00001094,0,2318,59.98,109
2021,PROG0001095,HVAC,6400.82,11281,130356.4,4680.41,69942.12,1218.805,1.779,2.871,0.861,0.131,0.377,INSPECTION,RPT00001095,0,8844,94.87,37
2011,PROG0001096,HVAC,5647.61,142615,215295.03,297.44,79584.24,2932.247,2.392,2.155,0.331,0.244,0.042,BILLING_ANALYSIS,RPT00001096,0,2995,32.62,76
2016,PROG0001097,INSULATION,5552.75,9011,63893.17,1123.44,77631.03,867.505,1.225,0.616,0.807,0.507,0.004,DEEMED,RPT00001097,1,157,59.44,104
2022,PROG0001098,SOLAR_WATER_HEAT,6164.12,207502,162616.28,4286.69,70520.55,912.044,2.121,1.284,0.871,0.125,0.186,EQUIPMENT_TRACKING,RPT00001098,1,3620,89.92,78
2014,PROG0001099,BUILDING_CONTROLS,1353.22,71419,104249.17,482.99,38144.8,1743.111,2.003,1.471,0.876,0.174,0.382,EQUIPMENT_TRACKING,RPT00001099,0,6685,55.19,74
2010,PROG0001100,HVAC,4790.44,188858,207563.9,3701.86,49144.78,1533.351,1.001,1.795,0.849,0.243,0.142,EQUIPMENT_TRACKING,RPT00001100,0,3686,99.1,76
2010,PROG0001101,INSULATION,1750.22,196923,197192.32,746.91,88830.69,3338.077,1.783,0.167,0.822,0.424,0.153,INSPECTION,RPT00001101,1,135,37.28,66
2014,PROG0001102,INSULATION,2291.39,151518,219324.8,2119.14,47499.76,3145.489,0.977,0.212,0.735,0.165,0.218,BILLING_ANALYSIS,RPT00001102,1,2325,56.47,112
2012,PROG0001103,HVAC,4693.99,131948,80543.77,1884.68,74630.1,1024.606,2.636,2.481,1.026,0.417,0.35,INSPECTION,RPT00001103,0,4772,0.99,82
2022,PROG0001104,SOLAR_WATER_HEAT,2784.84,52724,127264.55,44.66,17937.32,1887.692,2.212,2.044,0.644,0.378,0.39,BILLING_ANALYSIS,RPT00001104,0,3453,96.35,132
2023,PROG0001105,LED,897.7,128283,2030.3,4752.25,76559.7,9.375,1.281,0.616,0.37,0.487,0.293,DEEMED,RPT00001105,0,11251,42.65,138
2022,PROG0001106,HVAC,282.46,68210,240053.68,4643.41,54365.96,3480.433,3.14,2.157,1.028,0.514,0.339,BILLING_ANALYSIS,RPT00001106,0,9759,37.58,142
2017,PROG0001107,HVAC,254.03,197667,75500.05,4227.11,53710.36,701.874,0.303,2.797,0.489,0.33,0.366,EQUIPMENT_TRACKING,RPT00001107,0,2446,28.09,9
2023,PROG0001108,BUILDING_CONTROLS,6652.4,215074,206788.55,4835.77,34685.15,1839.653,3.448,1.56,0.609,0.373,0.219,INSPECTION,RPT00001108,1,6350,84.11,36
2021,PROG0001109,BUILDING_CONTROLS,661.4,203425,66307.09,2598.81,22251.3,450.348,0.69,0.675,0.749,0.445,0.17,BILLING_ANALYSIS,RPT00001109,0,7631,94.76,7
2019,PROG0001110,INSULATION,3893.97,221370,235037.83,1892.87,12071.83,2354.838,1.148,2.509,1.032,0.14,0.319,METERED,RPT00001110,1,11573,44.76,30
2019,PROG0001111,SOLAR_WATER_HEAT,6478.44,248571,231895.17,2141.17,59061.08,3130.771,1.075,2.186,0.501,0.327,0.425,METERED,RPT00001111,1,7060,64.38,117
2025,PROG0001112,LED,6586.24,124175,71792.63,1175.19,89566.64,1188.199,1.973,2.841,0.862,0.202,0.19,BILLING_ANALYSIS,RPT00001112,0,5229,89.52,74
2020,PROG0001113,BUILDING_CONTROLS,2190.16,66739,248175.56,4119.69,93661.65,3515.056,0.991,2.535,0.539,0.564,0.443,METERED,RPT00001113,0,3590,14.74,122
2023,PROG0001114,SOLAR_WATER_HEAT,5617.64,49068,91918.07,3227.23,24956.87,1196.304,1.95,1.099,1.097,0.238,0.417,BILLING_ANALYSIS,RPT00001114,0,11461,23.16,114
2019,PROG0001115,SOLAR_WATER_HEAT,5322.72,161183,201074.13,1243.22,42827.04,1932.444,1.063,1.272,0.969,0.06,0.344,EQUIPMENT_TRACKING,RPT00001115,1,6541,98.39,144
2023,PROG0001116,SOLAR_WATER_HEAT,7209.62,69063,60051.27,3147.66,18525.85,948.083,1.333,0.385,0.832,0.15,0.312,METERED,RPT00001116,1,5364,71.78,66
2012,PROG0001117,HVAC,247.34,99260,227786.82,4816.03,2106.68,2234.786,1.343,2.782,0.419,0.375,0.333,INSPECTION,RPT00001117,1,6690,76.18,112
2010,PROG0001118,INDUSTRIAL_PROCESS,5579.11,145795,197891.24,219.25,42509.08,1024.739,2.4,1.666,0.926,0.14,0.148,EQUIPMENT_TRACKING,RPT00001118,0,3764,51.31,12
2025,PROG0001119,WEATHERIZATION,1561.25,229395,13506.52,3598.21,67215.25,134.089,3.01,0.237,1.033,0.311,0.088,METERED,RPT00001119,1,961,34.31,158
2024,PROG0001120,OTHER,2972.8,92774,69170.68,1666.03,84121.26,905.487,1.917,2.898,0.51,0.378,0.182,EQUIPMENT_TRACKING,RPT00001120,1,6229,91.23,67
2022,PROG0001121,WEATHERIZATION,5707.66,45921,148063.1,248.31,9632.88,1922.043,0.315,1.125,0.457,0.037,0.419,INSPECTION,RPT00001121,0,5594,52.89,35
2011,PROG0001122,SOLAR_WATER_HEAT,7261.18,189829,80772.12,4809.76,43283.51,821.409,2.876,1.359,1.059,0.306,0.387,INSPECTION,RPT00001122,0,2543,57.58,144
2022,PROG0001123,INDUSTRIAL_PROCESS,269.1,20478,240919.96,3424.8,5868.51,4271.766,1.954,1.44,0.487,0.559,0.388,INSPECTION,RPT00001123,0,8097,41.73,85
2019,PROG0001124,INDUSTRIAL_PROCESS,386.76,95952,49604.78,1954.71,3044.99,589.986,2.364,1.894,0.516,0.511,0.223,METERED,RPT00001124,0,181,52.79,7
2023,PROG0001125,OTHER,1595.27,62980,54358.56,2373.38,27361.19,961.406,1.639,2.217,0.346,0.562,0.081,INSPECTION,RPT00001125,0,814,23.14,162
2017,PROG0001126,INSULATION,2451.83,103306,181958.23,1045.83,84600.38,816.824,1.478,0.478,0.42,0.458,0.266,DEEMED,RPT00001126,1,3069,52.11,66
2014,PROG0001127,SOLAR_WATER_HEAT,50.89,62698,128414.22,1088.41,93455.32,1502.433,0.767,1.802,0.953,0.31,0.326,BILLING_ANALYSIS,RPT00001127,0,1027,72.86,98
2019,PROG0001128,HVAC,2645.71,104252,122653.47,937.82,46389.48,1819.257,3.064,2.477,0.94,0.519,0.353,BILLING_ANALYSIS,RPT00001128,1,6091,56.94,161
2018,PROG0001129,WEATHERIZATION,3552.9,222186,78878.21,3902.74,4179.75,850.803,2.158,1.003,0.872,0.426,0.034,DEEMED,RPT00001129,0,4302,84.62,79
2014,PROG0001130,SOLAR_WATER_HEAT,6645.07,172804,235088.56,484.62,56299.05,3924.576,1.864,1.073,0.798,0.066,0.193,DEEMED,RPT00001130,0,6166,94.7,49
2017,PROG0001131,INSULATION,954.58,37947,165911.8,4708.63,6466.16,2146.157,2.703,0.62,1.084,0.532,0.111,DEEMED,RPT00001131,1,10851,52.15,83
2018,PROG0001132,INSULATION,2330.1,27122,164988.09,3671.87,14412.02,1614.217,0.793,0.946,1.008,0.039,0.253,METERED,RPT00001132,0,5978,72.97,74
2011,PROG0001133,SOLAR_WATER_HEAT,7288.88,170068,243123.4,1674.63,35232.61,1426.009,3.157,2.01,0.713,0.075,0.475,BILLING_ANALYSIS,RPT00001133,0,3693,99.2,113
2025,PROG0001134,BUILDING_CONTROLS,5069.18,69544,160129.61,3912.02,48645.22,1556.26,1.731,0.998,0.797,0.025,0.051,METERED,RPT00001134,0,740,65.52,153
2018,PROG0001135,WEATHERIZATION,560.49,134190,99966.38,3578.17,23752.48,816.012,0.554,1.998,0.36,0.126,0.419,METERED,RPT00001135,0,10010,55.6,137
2019,PROG0001136,INDUSTRIAL_PROCESS,7493.79,14953,10321.9,4354.16,28208.08,134.045,3.364,0.393,1.008,0.171,0.307,INSPECTION,RPT00001136,1,8026,3.65,126
2024,PROG0001137,INSULATION,3970.45,52532,212316.71,2581.41,18908.2,2839.061,2.063,0.751,0.963,0.155,0.176,BILLING_ANALYSIS,RPT00001137,0,3222,26.72,7
2012,PROG0001138,HEAT_PUMP,5316.3,127962,225979.05,2103.74,69606.27,1067.586,2.609,1.935,0.911,0.112,0.238,DEEMED,RPT00001138,0,7132,5.85,78
2015,PROG0001139,HVAC,2225.31,81819,22798.23,4583.71,18757.72,265.304,1.731,1.393,0.904,0.441,0.127,BILLING_ANALYSIS,RPT00001139,0,5324,77.6,78
2012,PROG0001140,APPLIANCE,391.09,60007,80452.18,463.22,50831.88,1306.112,1.011,2.96,0.57,0.365,0.396,METERED,RPT00001140,0,2510,97.48,72
2013,PROG0001141,HEAT_PUMP,58.34,202548,53350.47,1034.65,71090.8,406.15,2.437,2.541,0.592,0.545,0.152,INSPECTION,RPT00001141,1,9037,3.16,177
2011,PROG0001142,HEAT_PUMP,1476.75,137195,26957.34,2062.33,61527.24,159.613,3.324,1.539,1.034,0.204,0.123,DEEMED,RPT00001142,0,1388,83.0,18
2016,PROG0001143,APPLIANCE,3263.25,153020,38489.32,4155.61,708.59,539.911,2.943,1.248,0.408,0.206,0.195,INSPECTION,RPT00001143,0,9424,42.38,48
2025,PROG0001144,INDUSTRIAL_PROCESS,1771.85,53080,104141.88,3446.04,3363.52,1386.708,2.894,0.499,0.702,0.451,0.203,BILLING_ANALYSIS,RPT00001144,0,5774,68.64,166
2024,PROG0001145,SOLAR_WATER_HEAT,5278.47,187971,148087.43,1154.36,32499.12,1476.604,0.291,2.098,0.924,0.467,0.385,BILLING_ANALYSIS,RPT00001145,0,2720,89.97,25
2013,PROG0001146,INSULATION,5465.16,125166,24830.15,431.9,72052.49,330.827,2.459,2.105,0.982,0.302,0.455,DEEMED,RPT00001146,1,8568,66.75,56
2014,PROG0001147,BUILDING_CONTROLS,2701.96,95369,209373.48,939.98,28608.71,2962.341,3.462,1.905,1.072,0.285,0.088,INSPECTION,RPT00001147,0,681,23.39,144
2024,PROG0001148,INDUSTRIAL_PROCESS,4573.41,119006,224964.24,3084.69,77819.39,2258.367,1.198,0.877,1.053,0.06,0.022,DEEMED,RPT00001148,1,4720,88.52,90
2019,PROG0001149,LED,665.59,152593,153999.8,2993.5,52736.26,942.909,3.453,0.555,0.506,0.079,0.144,DEEMED,RPT00001149,1,3858,33.82,62
2012,PROG0001150,SOLAR_WATER_HEAT,126.53,90713,111329.88,2476.8,30484.92,413.916,0.793,2.605,0.596,0.139,0.37,DEEMED,RPT00001150,0,3376,47.09,141
2021,PROG0001151,INDUSTRIAL_PROCESS,4048.55,132961,189322.84,4145.91,56168.15,1809.187,2.36,0.892,0.985,0.475,0.146,INSPECTION,RPT00001151,1,5892,23.75,19
2014,PROG0001152,INDUSTRIAL_PROCESS,2417.38,83434,147030.71,2143.4,38571.0,1748.343,1.189,2.455,0.368,0.215,0.488,METERED,RPT00001152,0,1720,41.66,23
2017,PROG0001153,HEAT_PUMP,3044.71,158463,199315.91,2200.51,14074.08,1974.662,2.686,1.128,0.682,0.493,0.423,BILLING_ANALYSIS,RPT00001153,0,10133,19.13,127
2020,PROG0001154,INDUSTRIAL_PROCESS,6783.85,97926,191576.4,979.23,32809.84,1188.898,3.196,2.175,0.87,0.408,0.209,EQUIPMENT_TRACKING,RPT00001154,1,11175,86.56,72
2025,PROG0001155,HVAC,4483.46,239809,68822.98,2916.98,16263.53,1062.348,3.381,2.915,0.989,0.477,0.421,BILLING_ANALYSIS,RPT00001155,1,6580,48.1,145
2023,PROG0001156,HEAT_PUMP,2636.93,103648,201475.26,2385.08,20778.28,2298.322,3.494,1.814,0.654,0.054,0.042,INSPECTION,RPT00001156,0,1193,79.41,0
2015,PROG0001157,INDUSTRIAL_PROCESS,6793.65,64065,84251.82,76.86,66283.95,728.16,0.323,2.654,0.584,0.142,0.364,METERED,RPT00001157,1,11568,90.57,151
2013,PROG0001158,BUILDING_CONTROLS,4037.89,130618,108328.25,4110.23,24385.88,336.038,3.228,2.329,0.993,0.039,0.318,BILLING_ANALYSIS,RPT00001158,1,5187,29.88,48
2018,PROG0001159,HVAC,7196.42,46113,92132.78,1505.9,25866.14,647.603,2.557,1.266,0.49,0.356,0.052,INSPECTION,RPT00001159,1,6221,64.55,75
2020,PROG0001160,HVAC,782.52,206140,194744.43,2983.1,3142.28,2008.21,1.756,0.367,0.923,0.574,0.118,BILLING_ANALYSIS,RPT00001160,0,8230,82.05,105
2015,PROG0001161,OTHER,405.11,98985,56292.89,2443.91,11088.44,427.119,1.014,0.955,0.847,0.319,0.049,INSPECTION,RPT00001161,1,10965,32.25,104
2012,PROG0001162,HVAC,3510.69,70927,45268.58,4313.87,49616.19,618.291,1.262,1.552,0.978,0.495,0.159,INSPECTION,RPT00001162,0,234,34.36,157
2011,PROG0001163,INSULATION,3571.86,105341,39693.45,3946.69,45655.07,402.334,1.621,2.299,0.849,0.032,0.201,BILLING_ANALYSIS,RPT00001163,1,11896,92.58,112
2016,PROG0001164,WEATHERIZATION,5474.44,207126,107840.04,391.81,89090.28,1020.271,2.099,1.482,0.968,0.188,0.227,EQUIPMENT_TRACKING,RPT00001164,1,7341,42.11,110
2019,PROG0001165,INSULATION,5087.96,239785,53156.9,4223.67,94377.26,728.225,2.334,2.255,0.856,0.448,0.214,DEEMED,RPT00001165,0,11680,17.29,54
2017,PROG0001166,WEATHERIZATION,6134.63,112682,216978.55,2807.4,19855.3,3009.517,1.508,0.41,0.899,0.303,0.397,BILLING_ANALYSIS,RPT00001166,0,7623,85.84,161
2023,PROG0001167,APPLIANCE,6209.58,239393,174741.19,563.8,89068.47,2176.051,1.483,1.113,0.712,0.418,0.256,EQUIPMENT_TRACKING,RPT00001167,1,6171,20.09,29
2023,PROG0001168,INDUSTRIAL_PROCESS,5818.84,84948,103545.8,4128.91,73606.19,885.126,2.333,1.213,0.76,0.469,0.346,DEEMED,RPT00001168,1,9890,47.91,50
2019,PROG0001169,LED,5480.13,194962,5996.09,2883.29,38723.55,67.986,0.641,1.775,0.677,0.293,0.023,BILLING_ANALYSIS,RPT00001169,0,1643,24.26,144
2009,PROG0001170,INDUSTRIAL_PROCESS,2900.41,200656,45683.72,1550.08,42474.87,643.21,2.166,2.974,1.077,0.134,0.418,EQUIPMENT_TRACKING,RPT00001170,1,2099,88.31,58
2011,PROG0001171,HEAT_PUMP,3497.54,21633,233607.22,1730.32,49239.31,3660.763,1.392,1.948,0.782,0.423,0.224,INSPECTION,RPT00001171,0,3621,42.53,92
2025,PROG0001172,OTHER,3334.26,131436,246327.69,3751.22,58962.45,3116.333,1.995,1.381,0.363,0.404,0.492,BILLING_ANALYSIS,RPT00001172,1,2138,1.09,137
2012,PROG0001173,HEAT_PUMP,6692.37,47544,117373.78,761.44,46502.75,1664.295,0.89,1.638,1.04,0.16,0.251,INSPECTION,RPT00001173,0,9661,18.18,49
2024,PROG0001174,BUILDING_CONTROLS,269.77,194566,24500.01,3944.51,20104.48,311.588,0.718,1.215,0.524,0.286,0.291,BILLING_ANALYSIS,RPT00001174,0,10907,79.51,3
2022,PROG0001175,INSULATION,5510.22,162006,171389.49,1503.46,28756.84,1313.637,1.308,1.951,0.728,0.492,0.362,EQUIPMENT_TRACKING,RPT00001175,0,2203,29.04,35
2019,PROG0001176,BUILDING_CONTROLS,6113.11,7324,205836.86,3648.6,68668.33,3565.398,0.944,2.375,0.666,0.151,0.412,DEEMED,RPT00001176,1,11563,58.99,18
2012,PROG0001177,LED,5425.21,237715,121875.82,4304.05,78224.47,1718.697,3.214,1.268,1.007,0.389,0.432,EQUIPMENT_TRACKING,RPT00001177,1,11768,95.69,147
2012,PROG0001178,LED,452.11,236340,131066.59,374.8,39945.07,574.09,3.399,1.104,0.672,0.171,0.127,BILLING_ANALYSIS,RPT00001178,1,8357,60.2,148
2023,PROG0001179,BUILDING_CONTROLS,4718.23,48274,233421.43,1590.06,89299.66,3259.145,3.234,0.353,0.382,0.337,0.035,METERED,RPT00001179,1,1018,13.81,118
2016,PROG0001180,INSULATION,1622.61,91258,5399.03,2950.33,69212.38,61.163,1.095,2.773,0.356,0.482,0.238,DEEMED,RPT00001180,0,7423,19.22,78
2020,PROG0001181,APPLIANCE,2984.16,108092,127459.87,2007.68,42136.13,2237.597,3.057,0.675,0.748,0.106,0.463,BILLING_ANALYSIS,RPT00001181,0,542,25.47,179
2009,PROG0001182,BUILDING_CONTROLS,1903.91,204314,93297.04,2219.43,35252.2,455.002,3.143,2.362,0.569,0.023,0.025,DEEMED,RPT00001182,1,3380,1.62,106
2012,PROG0001183,INSULATION,3275.9,11855,133687.28,312.73,89980.83,1967.878,2.087,2.134,0.778,0.249,0.056,DEEMED,RPT00001183,0,9805,20.86,67
2009,PROG0001184,WEATHERIZATION,1639.86,54928,77329.24,4943.47,13391.71,1027.124,1.333,0.87,0.652,0.407,0.253,DEEMED,RPT00001184,0,8563,32.84,104
2025,PROG0001185,APPLIANCE,3014.48,207053,139422.62,1406.08,52312.97,606.839,3.366,2.013,0.41,0.593,0.014,METERED,RPT00001185,1,11418,55.43,75
2016,PROG0001186,APPLIANCE,6914.58,241905,225053.76,3904.37,26880.32,2894.398,3.024,1.186,0.738,0.05,0.384,BILLING_ANALYSIS,RPT00001186,1,9092,52.02,113
2024,PROG0001187,HVAC,4610.84,64330,127138.86,365.25,66971.35,1517.453,1.035,2.763,1.006,0.516,0.251,DEEMED,RPT00001187,1,2562,79.21,39
2013,PROG0001188,BUILDING_CONTROLS,1890.34,97545,195173.39,1164.1,73789.35,2202.126,3.336,0.454,0.612,0.46,0.366,METERED,RPT00001188,1,1978,71.8,54
2012,PROG0001189,WEATHERIZATION,3092.02,214931,69130.53,4177.93,49175.71,805.523,2.626,1.314,0.535,0.386,0.099,INSPECTION,RPT00001189,0,1239,43.11,120
2022,PROG0001190,HVAC,217.18,23102,162726.34,893.13,93901.79,1730.685,0.366,1.876,0.354,0.086,0.484,DEEMED,RPT00001190,1,928,10.08,79
2019,PROG0001191,OTHER,6075.71,58064,89142.42,436.36,20835.09,1068.149,1.903,0.947,0.654,0.054,0.201,METERED,RPT00001191,0,7162,61.98,43
2019,PROG0001192,INSULATION,5168.32,32482,64898.75,1662.39,63042.69,327.148,1.466,2.98,0.314,0.148,0.037,METERED,RPT00001192,1,1083,40.08,171
2011,PROG0001193,HVAC,4524.37,63596,53915.05,2040.75,39224.2,499.259,2.417,0.476,1.001,0.003,0.289,INSPECTION,RPT00001193,1,6101,39.0,60
2015,PROG0001194,WEATHERIZATION,3100.68,10207,38119.1,1690.62,63639.79,384.051,1.861,0.54,0.395,0.391,0.077,INSPECTION,RPT00001194,1,11467,61.62,31
2024,PROG0001195,HEAT_PUMP,6076.87,30128,79704.52,4634.87,65930.22,1423.686,3.283,1.289,0.609,0.021,0.0,EQUIPMENT_TRACKING,RPT00001195,1,9977,34.04,71
2025,PROG0001196,SOLAR_WATER_HEAT,2506.05,81566,130146.02,1919.32,76583.64,2156.172,1.429,2.781,0.647,0.483,0.472,BILLING_ANALYSIS,RPT00001196,1,4114,66.1,135
2020,PROG0001197,HEAT_PUMP,6656.11,99994,123167.18,1479.32,45054.82,546.926,1.437,1.281,0.336,0.155,0.08,METERED,RPT00001197,0,11660,22.62,100
2021,PROG0001198,INDUSTRIAL_PROCESS,665.82,197093,226868.03,3019.16,34247.08,3602.474,1.561,0.624,0.565,0.299,0.081,BILLING_ANALYSIS,RPT00001198,0,7059,53.17,176
2025,PROG0001199,BUILDING_CONTROLS,6586.93,130010,165003.82,2505.85,20141.66,2166.763,3.09,2.842,0.649,0.414,0.149,INSPECTION,RPT00001199,0,10665,89.25,10
2024,PROG0001200,HVAC,4245.65,236826,249091.33,2267.73,30350.23,1902.523,0.93,2.881,0.47,0.405,0.134,EQUIPMENT_TRACKING,RPT00001200,1,1846,61.13,180
2015,PROG0001201,HEAT_PUMP,6510.64,74806,49579.57,4590.74,55415.34,854.628,0.856,0.579,1.055,0.428,0.401,EQUIPMENT_TRACKING,RPT00001201,1,10462,27.44,126
2010,PROG0001202,OTHER,343.4,55421,103910.35,1246.32,78164.13,1815.359,0.241,0.684,0.51,0.066,0.491,BILLING_ANALYSIS,RPT00001202,1,7931,93.41,99
2010,PROG0001203,INSULATION,5565.18,78019,223543.21,4648.34,38540.94,3818.959,0.39,0.213,0.449,0.389,0.271,DEEMED,RPT00001203,1,11788,68.36,111
2023,PROG0001204,HVAC,4053.63,144172,234697.42,4677.91,73646.17,2958.379,0.877,1.433,0.452,0.176,0.377,INSPECTION,RPT00001204,0,6842,96.99,90
2022,PROG0001205,BUILDING_CONTROLS,4384.49,114368,222563.59,638.07,94796.18,3166.468,0.768,1.691,0.678,0.432,0.071,EQUIPMENT_TRACKING,RPT00001205,1,4379,49.16,138
2010,PROG0001206,INSULATION,2759.34,208452,215189.29,3649.23,80756.37,1405.798,2.711,0.219,0.321,0.56,0.476,BILLING_ANALYSIS,RPT00001206,0,6255,51.33,124
2011,PROG0001207,WEATHERIZATION,7104.44,79403,170811.07,1788.39,33151.62,1923.495,1.899,1.463,0.774,0.126,0.44,INSPECTION,RPT00001207,1,11869,89.59,159
2015,PROG0001208,SOLAR_WATER_HEAT,6229.84,169041,190100.07,4475.99,16303.71,1053.414,2.017,1.806,1.086,0.222,0.219,INSPECTION,RPT00001208,1,10157,62.28,165
2014,PROG0001209,WEATHERIZATION,2779.43,225543,220244.09,2040.52,1173.94,2447.609,2.201,0.92,0.83,0.221,0.042,INSPECTION,RPT00001209,0,5777,11.78,64
2019,PROG0001210,INSULATION,2640.77,133523,160237.03,3967.77,22806.49,1018.306,3.412,1.709,1.046,0.254,0.106,EQUIPMENT_TRACKING,RPT00001210,0,8456,83.96,84
2024,PROG0001211,INSULATION,6397.2,204109,54863.58,46.52,82898.72,511.187,1.832,2.11,0.78,0.049,0.077,DEEMED,RPT00001211,1,11730,21.59,74
2018,PROG0001212,SOLAR_WATER_HEAT,4015.42,241830,30735.06,649.78,35920.0,393.608,3.437,2.147,0.569,0.443,0.342,BILLING_ANALYSIS,RPT00001212,0,6979,26.99,61
2015,PROG0001213,INSULATION,295.62,166923,58796.05,3944.4,23792.36,220.063,0.26,2.595,0.534,0.183,0.046,EQUIPMENT_TRACKING,RPT00001213,1,11191,14.27,173
