civ_part_reference_year,civ_part_instrument_type_code,civ_part_topic_policy_area_code,civ_part_submission_date,civ_part_member_state_iso2,civ_part_petition_id_hash,civ_part_signatures_count,civ_part_signature_threshold_reached_flag,civ_part_eci_registration_decision_code,civ_part_response_publication_date,civ_part_consultation_id_hash,civ_part_responses_count,civ_part_stakeholder_group_code,civ_part_ngos_participation_count,civ_part_business_participation_count,civ_part_citizen_participation_count,civ_part_feedback_summary_published_flag,civ_part_follow_up_action_code,civ_part_source_portal,civ_part_data_extract_date
2021,PETITION,AGRICULTURE,2021-12-25,IT,c4418fa332e712b29a4d74d9,131918,0,,2022-12-03,,45606,MIXED,1172,396,114910,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-08-28
2022,PETITION,DIGITAL,2022-10-18,ES,4a0e5cf3ce01323da416e568,225454,0,,2023-04-04,,89473,PUBLIC_AUTHORITY,289,940,32196,1,COMMUNICATION,YOUR_VOICE_EUROPE,2026-01-16
2023,PETITION,MIGRATION,2023-08-14,FR,79e3c789bd563c5f7f8bc8eb,852610,0,,2023-10-25,,63493,ACADEMIA,30,1051,143559,0,IMPLEMENTATION,EUROPA_FORUMS,2026-01-18
2024,PETITION,CLIMATE,2024-03-10,PL,533c5bcc67b5f667efc169a4,986202,1,,,,93502,NGO,992,563,14872,0,REVIEW,ECI_REGISTER,2024-11-16
2025,PETITION,SECURITY,2025-11-21,CY,1252bc578f1c829eb26fad9c,1033041,0,,,,108786,BUSINESS,736,262,108567,1,FUNDING_CALL,EU_PETITIONS_PORTAL,2024-03-21
2012,PETITION,ENERGY,2012-11-07,LV,cdf3238e162b61da226ea6b3,1419808,0,,2014-03-05,,13342,CITIZENS,87,1156,68774,0,NO_ACTION,OPEN_DATA_PORTAL,2025-07-16
2013,PETITION,CONSUMER,2013-08-12,SE,4503915915d2bc4a1b3575d6,1119343,0,,2013-09-21,,76339,MIXED,1312,1256,222714,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-12-23
2014,PETITION,HEALTH,2014-11-04,DE,23886dc16992d35d894b068b,673516,1,,2015-08-21,,22589,PUBLIC_AUTHORITY,648,1030,23911,0,COMMUNICATION,EUROPA_FORUMS,2025-11-07
2015,PETITION,COMPETITION,2015-04-17,PT,801bbe7fa091ee9dbf59ed8c,292787,0,,2015-10-29,,134315,ACADEMIA,225,827,84322,0,IMPLEMENTATION,ECI_REGISTER,2024-03-05
2016,PETITION,TRANSPORT,2016-07-24,CZ,b6e423759045f29704f76e75,437014,0,,2017-06-26,,66552,NGO,700,260,15061,1,REVIEW,EU_PETITIONS_PORTAL,2025-06-30
2017,PETITION,DATA_GOV,2017-05-18,LT,9e5cbc29aeaf8456afb6b5ef,407571,1,,,,75925,BUSINESS,158,442,91429,0,FUNDING_CALL,OPEN_DATA_PORTAL,2024-01-19
2018,PETITION,FINANCE,2018-01-02,AT,ee28fc5f2dd901150dea9b37,350987,0,,2019-03-12,,138362,CITIZENS,292,870,181740,0,NO_ACTION,YOUR_VOICE_EUROPE,2024-06-21
2019,PETITION,SPACE,2019-03-13,GR,21cfcfa2987f8ad2d49ce43c,1055370,0,,,,147806,MIXED,1132,2342,135636,1,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2025-07-30
2020,PETITION,AGRICULTURE,2020-09-21,RO,6d9c00851c58b6dd948610a8,1487052,1,,2021-01-08,,149218,PUBLIC_AUTHORITY,738,588,93063,0,COMMUNICATION,ECI_REGISTER,2024-02-14
2021,PETITION,DIGITAL,2021-11-06,DK,dc2267eeb15eb4e04a272e7b,652243,0,,2021-12-08,,143553,ACADEMIA,140,1087,80521,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2025-06-29
2022,PETITION,MIGRATION,2022-06-04,LU,b57f91e96174d5f5bf365bc7,191129,0,,2023-10-07,,99030,NGO,754,1034,53978,1,REVIEW,OPEN_DATA_PORTAL,2024-06-14
2023,PETITION,CLIMATE,2023-02-28,BE,eaf6aa9edf76e703ec2eb0d0,9725,0,,,,119682,BUSINESS,595,1592,107866,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-10-06
2024,PETITION,SECURITY,2024-06-15,HU,a7bf4f5c0c0d4ce3d16a8668,484202,0,,,,106487,CITIZENS,313,995,61572,0,NO_ACTION,EUROPA_FORUMS,2024-08-19
2025,PETITION,ENERGY,2025-02-15,SK,8488959328b86fd66243ac32,105815,0,,,,69838,MIXED,1486,2104,246000,0,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-11-12
2012,PETITION,CONSUMER,2012-11-08,EE,0c4ca0527de40d64c04fcb9b,1606837,0,,2014-03-29,,53988,PUBLIC_AUTHORITY,658,1164,102817,0,COMMUNICATION,EU_PETITIONS_PORTAL,2025-10-29
2013,PETITION,HEALTH,2013-06-18,MT,f63b19e77540c0448717a83a,170472,1,,2014-07-25,,35086,ACADEMIA,100,185,36917,0,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-07-29
2014,PETITION,COMPETITION,2014-08-18,BG,840fed8c64995fd18c50e579,900956,1,,2015-09-12,,1981,NGO,988,1016,119494,0,REVIEW,YOUR_VOICE_EUROPE,2025-02-13
2015,PETITION,TRANSPORT,2015-08-13,IE,4b3fdd15614bdb7d7793e33e,110286,0,,,,77496,BUSINESS,7,2370,115830,1,FUNDING_CALL,EUROPA_FORUMS,2024-06-11
2016,PETITION,DATA_GOV,2016-05-12,SI,98d4af12e25735a11afe0896,1264320,0,,2016-10-12,,135903,CITIZENS,741,1189,82610,1,NO_ACTION,ECI_REGISTER,2026-02-11
2017,PETITION,FINANCE,2017-11-14,FI,ee19ed709ae30d09d0433dbd,1623269,0,,,,115478,MIXED,1152,1940,2314,0,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2024-12-24
2018,PETITION,SPACE,2018-07-25,NL,a1b0a529b738caaa3f5ea2b5,198513,1,,,,144746,PUBLIC_AUTHORITY,183,732,144383,0,COMMUNICATION,OPEN_DATA_PORTAL,2025-06-25
2019,PETITION,AGRICULTURE,2019-07-02,HR,d523b21123a1f9a6623198d1,1390918,0,,,,74684,ACADEMIA,544,882,37116,0,IMPLEMENTATION,YOUR_VOICE_EUROPE,2024-04-07
2020,PETITION,DIGITAL,2020-11-06,IT,3511f70b81712a07e842d26d,419371,0,,,,63839,NGO,310,493,57106,0,REVIEW,EUROPA_FORUMS,2024-12-11
2021,PETITION,MIGRATION,2021-03-27,ES,6f906644207dd97561d8e7ac,690969,0,,2022-02-12,,141441,BUSINESS,785,442,132352,1,FUNDING_CALL,ECI_REGISTER,2024-07-14
2022,PETITION,CLIMATE,2022-12-17,FR,7304a195bd689abf72f0d31f,1651625,1,,2023-08-17,,46741,CITIZENS,329,378,266298,0,NO_ACTION,EU_PETITIONS_PORTAL,2025-06-24
2023,PETITION,SECURITY,2023-09-19,PL,812214015f7bd500ea3aeade,480240,0,,,,94391,MIXED,864,1786,99700,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2025-06-22
2024,PETITION,ENERGY,2024-01-13,CY,b26f8646de9e3cd42b7926c5,133287,0,,,,111652,PUBLIC_AUTHORITY,525,905,55858,1,COMMUNICATION,YOUR_VOICE_EUROPE,2025-05-10
2025,PETITION,CONSUMER,2025-07-22,LV,d2644fcaffc633fde354c4fd,1488420,0,,,,55284,ACADEMIA,266,94,23371,0,IMPLEMENTATION,EUROPA_FORUMS,2025-11-11
2012,PETITION,HEALTH,2012-02-08,SE,b1b94fed72d6a629d6622b8b,1126896,0,,,,120557,NGO,858,761,108580,1,REVIEW,ECI_REGISTER,2025-07-28
2013,PETITION,COMPETITION,2013-11-04,DE,632406d7a2eeb43db5cbb088,1028925,0,,2015-01-25,,110576,BUSINESS,431,2364,18066,1,FUNDING_CALL,EU_PETITIONS_PORTAL,2024-07-07
2014,PETITION,TRANSPORT,2014-09-11,PT,6f2a46c9d7053277855b7370,483663,1,,2015-02-12,,28044,CITIZENS,522,753,263650,0,NO_ACTION,OPEN_DATA_PORTAL,2024-11-11
2015,PETITION,DATA_GOV,2015-09-09,CZ,15c491788ae4be8332f0048c,842783,1,,,,142477,MIXED,542,438,110456,0,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-08-11
2016,PETITION,FINANCE,2016-06-02,LT,9c1346ad35f28548bfe21156,1378791,1,,2016-08-20,,34920,PUBLIC_AUTHORITY,120,494,20582,1,COMMUNICATION,EUROPA_FORUMS,2024-08-04
2017,PETITION,SPACE,2017-03-17,AT,21f11c80539acf9f6ca03c11,534687,0,,2018-06-17,,86819,ACADEMIA,742,888,3025,1,IMPLEMENTATION,ECI_REGISTER,2024-12-26
2018,PETITION,AGRICULTURE,2018-12-24,GR,930d574522745d23fdb6620d,679225,0,,2019-09-24,,95237,NGO,142,978,73590,1,REVIEW,EU_PETITIONS_PORTAL,2025-02-01
2019,PETITION,DIGITAL,2019-04-22,RO,f21375a737a172b2645f6a53,712741,0,,2020-03-31,,6817,BUSINESS,738,2314,65206,1,FUNDING_CALL,OPEN_DATA_PORTAL,2024-06-23
2020,PETITION,MIGRATION,2020-03-15,DK,98edac39c5f0d19f9a89fbab,783919,1,,2020-12-28,,54256,CITIZENS,429,953,78026,1,NO_ACTION,YOUR_VOICE_EUROPE,2024-12-21
2021,PETITION,CLIMATE,2021-08-03,LU,d4522b2b4f1499979d4d6d9e,1168816,1,,,,124094,MIXED,510,1956,283466,1,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2024-02-20
2022,PETITION,SECURITY,2022-09-18,BE,7eaf92aaab469278c01dc27a,413978,0,,2022-12-15,,38237,PUBLIC_AUTHORITY,28,610,107846,1,COMMUNICATION,ECI_REGISTER,2025-03-17
2023,PETITION,ENERGY,2023-12-27,HU,244b2f8246f2551ee4c936f3,548881,1,,2024-03-03,,55764,ACADEMIA,249,1007,76152,0,IMPLEMENTATION,EU_PETITIONS_PORTAL,2024-07-02
2024,PETITION,CONSUMER,2024-12-13,SK,b592a18fb52d244ed2e32539,615576,0,,,,117351,NGO,728,113,50392,1,REVIEW,OPEN_DATA_PORTAL,2025-08-14
2025,PETITION,HEALTH,2025-01-17,EE,8fc846140608551607c61403,1071796,0,,,,11175,BUSINESS,0,874,26595,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-06-09
2012,PETITION,COMPETITION,2012-05-03,MT,516c4b88f80559afef08d4c0,680374,0,,,,36793,CITIZENS,69,1081,112948,0,NO_ACTION,EUROPA_FORUMS,2026-01-13
2013,PETITION,TRANSPORT,2013-08-28,BG,1abfb73010a0116a88dfa226,1414805,0,,2013-10-15,,15546,MIXED,340,222,95204,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-02-27
2014,PETITION,DATA_GOV,2014-05-27,IE,18cb103d66ae365eabcb5a1e,13532,0,,,,3973,PUBLIC_AUTHORITY,516,641,12558,0,COMMUNICATION,EU_PETITIONS_PORTAL,2024-11-07
2015,PETITION,FINANCE,2015-02-05,SI,cd1b80ab9e37f0df104c08bf,285074,0,,2015-10-21,,78108,ACADEMIA,545,309,1302,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2025-11-07
2016,PETITION,SPACE,2016-10-20,FI,3a6cc0c8cce3fc418a41c019,870913,1,,2017-11-03,,127413,NGO,1106,650,76502,1,REVIEW,YOUR_VOICE_EUROPE,2024-12-20
2017,PETITION,AGRICULTURE,2017-09-15,NL,ac5bbd1c74d0e7a1aa222240,729459,1,,2018-05-23,,50499,BUSINESS,316,310,127062,1,FUNDING_CALL,EUROPA_FORUMS,2025-05-08
2018,PETITION,DIGITAL,2018-01-08,HR,9d5f626575b4538392e8e7a1,1042112,1,,2018-07-07,,49816,CITIZENS,446,200,215430,1,NO_ACTION,ECI_REGISTER,2024-10-19
2019,PETITION,MIGRATION,2019-09-14,IT,2e965aa2acf473c358dcb6b5,1108755,1,,2020-08-05,,14953,MIXED,1178,1132,193346,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2025-12-16
2020,PETITION,CLIMATE,2020-01-26,ES,ec7eb519eebf7f7140f9145f,704918,1,,,,2385,PUBLIC_AUTHORITY,290,168,93756,1,COMMUNICATION,OPEN_DATA_PORTAL,2024-09-11
2021,PETITION,SECURITY,2021-10-09,FR,6c1f909b2a61378ceca32f64,1614886,1,,2022-01-18,,23558,ACADEMIA,21,1058,111757,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2025-09-06
2022,PETITION,ENERGY,2022-07-22,PL,5efba3c1a3783f697e0dd38a,1194913,1,,,,18962,NGO,1480,781,32251,1,REVIEW,EUROPA_FORUMS,2024-02-14
2023,PETITION,CONSUMER,2023-06-23,CY,ddcb5aaa376ec32c5e6ef3ee,53043,0,,,,3476,BUSINESS,259,1196,38398,0,FUNDING_CALL,ECI_REGISTER,2024-03-06
2024,PETITION,HEALTH,2024-06-12,LV,62d217a08f81722a65ca83e3,576784,0,,2024-12-04,,112328,CITIZENS,47,581,260366,1,NO_ACTION,EU_PETITIONS_PORTAL,2024-08-25
2025,PETITION,COMPETITION,2025-06-12,SE,72b32990acee5923528f8911,1608780,1,,,,60790,MIXED,954,784,112328,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-07-21
2012,PETITION,TRANSPORT,2012-09-22,DE,2827250500cfea58ff89322f,1229169,1,,,,116826,PUBLIC_AUTHORITY,438,926,76158,0,COMMUNICATION,YOUR_VOICE_EUROPE,2024-09-26
2013,PETITION,DATA_GOV,2013-04-17,PT,fecc230e2c4e12465882c6c5,894526,0,,2013-08-18,,86659,ACADEMIA,630,633,55164,0,IMPLEMENTATION,EUROPA_FORUMS,2025-05-11
2014,PETITION,FINANCE,2014-11-11,CZ,51124bbbd85e735292029047,617724,1,,2015-09-27,,77707,NGO,0,306,6773,1,REVIEW,ECI_REGISTER,2026-01-02
2015,PETITION,SPACE,2015-04-23,LT,e0d88ea3d6df2a56e9239903,1304565,1,,,,51836,BUSINESS,123,526,18706,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2024-04-29
2016,PETITION,AGRICULTURE,2016-09-20,AT,7bc6e75a4eca51d509c3c2ff,1679204,1,,2017-01-12,,81940,CITIZENS,799,1027,32618,1,NO_ACTION,OPEN_DATA_PORTAL,2024-04-21
2017,PETITION,DIGITAL,2017-04-28,GR,88aa477d3974949b67b26cae,363192,0,,2018-03-17,,15731,MIXED,142,254,81414,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-05-19
2018,PETITION,MIGRATION,2018-01-26,RO,1939d96845293ad4ce40b009,972615,0,,,,68180,PUBLIC_AUTHORITY,689,45,39710,1,COMMUNICATION,EUROPA_FORUMS,2024-08-24
2019,PETITION,CLIMATE,2019-12-01,DK,4f0bf3e8deac7b443acd146d,946881,1,,2020-06-21,,84208,ACADEMIA,471,662,29510,1,IMPLEMENTATION,ECI_REGISTER,2025-10-02
2020,PETITION,SECURITY,2020-02-27,LU,1898d79b333c2bae6d2ded4b,490204,0,,2021-04-28,,60260,NGO,590,626,8295,1,REVIEW,EU_PETITIONS_PORTAL,2024-12-03
2021,PETITION,ENERGY,2021-07-21,BE,9861c628a89b7829a22cbeee,521205,0,,,,69562,BUSINESS,586,1052,16770,1,FUNDING_CALL,OPEN_DATA_PORTAL,2025-03-20
2022,PETITION,CONSUMER,2022-09-14,HU,6f168fff56d7a00b90ebf996,1430471,1,,2023-02-04,,15370,CITIZENS,332,864,24784,1,NO_ACTION,YOUR_VOICE_EUROPE,2024-01-04
2023,PETITION,HEALTH,2023-07-27,SK,c743e53499696bea14127b96,912445,0,,,,19635,MIXED,1358,1504,32044,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2024-10-14
2024,PETITION,COMPETITION,2024-01-28,EE,fc8c4b53b8bd00c0bf7e40cc,1459094,0,,2024-11-04,,119292,PUBLIC_AUTHORITY,345,983,81892,1,COMMUNICATION,ECI_REGISTER,2025-12-19
2025,PETITION,TRANSPORT,2025-03-14,MT,2173d4246bda19c8cdf7e8b3,1527561,0,,2026-02-02,,32655,ACADEMIA,186,847,3801,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2025-01-10
2012,PETITION,DATA_GOV,2012-05-12,BG,a5ce56ee756a8491ec5bf4ae,920026,0,,,,94519,NGO,1198,27,53518,0,REVIEW,OPEN_DATA_PORTAL,2024-11-16
2013,PETITION,FINANCE,2013-11-18,IE,b342da21f35393e2609fc49d,571170,0,,2015-02-14,,42470,BUSINESS,571,116,114732,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-04-11
2014,PETITION,SPACE,2014-09-10,SI,5bf46e667913b5880be9cff3,619800,1,,2014-12-10,,60626,CITIZENS,583,360,155354,1,NO_ACTION,EUROPA_FORUMS,2026-01-04
2015,PETITION,AGRICULTURE,2015-01-19,FI,6f1091e16664e43a9978bb53,1457878,0,,2015-09-14,,67911,MIXED,952,244,207390,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-08-05
2016,PETITION,DIGITAL,2016-10-01,NL,853de9718602a225ec457ee9,1108220,0,,,,105047,PUBLIC_AUTHORITY,142,1097,24197,1,COMMUNICATION,EU_PETITIONS_PORTAL,2024-03-12
2017,PETITION,MIGRATION,2017-09-09,HR,b51e9758557ec1f5bf4af787,300703,0,,2018-12-21,,13403,ACADEMIA,278,414,53919,0,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-11-13
2018,PETITION,CLIMATE,2018-04-14,IT,fbf929df0573181602f5fabc,573431,0,,,,87989,NGO,1038,244,29594,1,REVIEW,YOUR_VOICE_EUROPE,2025-12-23
2019,PETITION,SECURITY,2019-07-28,ES,69762472d4e5c8cd7491891a,552201,1,,,,33653,BUSINESS,362,612,142369,1,FUNDING_CALL,EUROPA_FORUMS,2025-09-23
2020,PETITION,ENERGY,2020-04-19,FR,5f95cf13688e71cf2712d347,1353903,0,,2021-02-24,,95441,CITIZENS,41,302,275496,1,NO_ACTION,ECI_REGISTER,2025-01-01
2021,PETITION,CONSUMER,2021-10-16,PL,8be3dcd5d5d9d43039fd95d7,683541,0,,2022-06-23,,97730,MIXED,48,162,19270,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2025-02-01
2022,PETITION,HEALTH,2022-02-19,CY,761d35adaa4cb7d62d580787,1377346,1,,2022-06-19,,39256,PUBLIC_AUTHORITY,384,488,114504,0,COMMUNICATION,OPEN_DATA_PORTAL,2025-11-08
2023,PETITION,COMPETITION,2023-08-08,LV,b5a080d0ed19d2b57d27ec9a,1167157,1,,,,112244,ACADEMIA,297,927,93530,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2025-06-14
2024,PETITION,TRANSPORT,2024-04-08,SE,6c423bd4adc763b2319dd36a,589474,0,,2025-07-02,,32122,NGO,1526,331,56646,1,REVIEW,EUROPA_FORUMS,2024-12-04
2025,PETITION,DATA_GOV,2025-05-10,DE,00aa01df1351d3271a20f44b,1486781,0,,2026-01-01,,69767,BUSINESS,567,1686,37623,0,FUNDING_CALL,ECI_REGISTER,2024-12-07
2012,PETITION,FINANCE,2012-12-25,PT,22cc04e7cfb5e9b470ba73ac,1340606,0,,2014-04-21,,30436,CITIZENS,407,799,215360,1,NO_ACTION,EU_PETITIONS_PORTAL,2025-08-04
2013,PETITION,SPACE,2013-03-07,CZ,c105d4bde56b6c09a035fc5c,721511,0,,2014-07-16,,65503,MIXED,30,1638,215768,0,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2025-04-16
2014,PETITION,AGRICULTURE,2014-03-11,LT,373e49ee7359c15dc5f701f2,914944,1,,,,148630,PUBLIC_AUTHORITY,157,1004,78934,0,COMMUNICATION,YOUR_VOICE_EUROPE,2026-01-19
2015,PETITION,DIGITAL,2015-10-18,AT,4143fa95be9657ddb7b5993b,417370,1,,2016-07-27,,26347,ACADEMIA,261,944,28736,1,IMPLEMENTATION,EUROPA_FORUMS,2025-04-25
2016,PETITION,MIGRATION,2016-10-16,GR,f984ba5c5b049331e22f1b39,1138618,0,,2017-08-02,,133686,NGO,1576,784,40286,0,REVIEW,ECI_REGISTER,2024-02-05
2017,PETITION,CLIMATE,2017-10-04,RO,c56a56807b6eeff64c987a25,792402,1,,,,113796,BUSINESS,791,2374,70658,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2025-03-12
2018,PETITION,SECURITY,2018-07-04,DK,5db5ff2de80b4a282fa0bd9f,1246494,1,,2019-05-08,,134191,CITIZENS,215,578,34840,0,NO_ACTION,OPEN_DATA_PORTAL,2026-01-23
2019,PETITION,ENERGY,2019-07-10,LU,26e20232685fa68a81ece1d0,1624253,0,,2019-08-24,,41170,MIXED,74,164,93902,0,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2024-09-24
2020,PETITION,CONSUMER,2020-03-17,BE,5a573142560878ce006fc3a1,1234082,0,,2020-05-21,,9588,PUBLIC_AUTHORITY,560,2,67580,0,COMMUNICATION,EUROPA_FORUMS,2024-05-04
2021,PETITION,HEALTH,2021-03-17,HU,4af2841d39a4e7185ad0d29c,1634172,0,,,,9881,ACADEMIA,223,659,85811,1,IMPLEMENTATION,ECI_REGISTER,2024-11-19
2022,PETITION,COMPETITION,2022-11-07,SK,e820f6c274937653eec1246b,562245,0,,2023-06-25,,87702,NGO,148,950,117512,0,REVIEW,EU_PETITIONS_PORTAL,2025-11-17
2023,PETITION,TRANSPORT,2023-10-04,EE,083ec3b9aa5cf97ac4d95121,41853,0,,,,96441,BUSINESS,14,1220,67051,0,FUNDING_CALL,OPEN_DATA_PORTAL,2024-05-30
2024,PETITION,DATA_GOV,2024-06-21,MT,67ceffa3cc57dc6405744539,1345439,1,,2025-04-22,,4778,CITIZENS,610,764,275256,0,NO_ACTION,YOUR_VOICE_EUROPE,2025-12-18
2025,PETITION,FINANCE,2025-11-25,BG,9960411638f99315def8594d,1040065,1,,,,35854,MIXED,1332,1014,135030,1,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2024-04-16
2012,PETITION,SPACE,2012-05-16,IE,2d2929a81168c957f8e88ef7,918618,0,,2013-01-01,,147134,PUBLIC_AUTHORITY,177,249,36713,1,COMMUNICATION,ECI_REGISTER,2025-11-26
2013,PETITION,AGRICULTURE,2013-11-25,SI,114443325eb10a88fcc54f15,825717,0,,2014-08-28,,131166,ACADEMIA,176,421,144507,0,IMPLEMENTATION,EU_PETITIONS_PORTAL,2024-02-03
2014,PETITION,DIGITAL,2014-10-11,FI,1702a8ce2034ed1c2875f8f7,223211,1,,2015-03-10,,75131,NGO,1232,719,39371,1,REVIEW,OPEN_DATA_PORTAL,2025-08-15
2015,PETITION,MIGRATION,2015-04-28,NL,e00732f60ccce670a541ccc7,187471,1,,2016-06-20,,137921,BUSINESS,119,1504,52198,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-03-23
2016,PETITION,CLIMATE,2016-07-01,HR,3afd0d868c3a89720cd2e348,628606,1,,2017-10-08,,143288,CITIZENS,472,287,236228,1,NO_ACTION,EUROPA_FORUMS,2025-03-16
2017,PETITION,SECURITY,2017-06-08,IT,b70741d662c342e6e2641cc8,944506,1,,,,45068,MIXED,206,1642,124164,0,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-03-21
2018,PETITION,ENERGY,2018-12-13,ES,bf42530a79495de3b91b94a3,608566,0,,,,122567,PUBLIC_AUTHORITY,738,67,85315,0,COMMUNICATION,EU_PETITIONS_PORTAL,2024-12-18
2019,PETITION,CONSUMER,2019-11-03,FR,65dc09cf13713f5f5fe14046,273055,0,,2020-07-26,,17129,ACADEMIA,7,250,133437,0,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-08-30
2020,PETITION,HEALTH,2020-11-18,PL,0088e06ed173522e8b4fea97,1598307,0,,2021-08-23,,112161,NGO,378,18,98416,1,REVIEW,YOUR_VOICE_EUROPE,2024-09-03
2021,PETITION,COMPETITION,2021-11-19,CY,ce9dcf3d148d9f3f13fb94d8,798738,0,,,,136738,BUSINESS,408,1054,96846,1,FUNDING_CALL,EUROPA_FORUMS,2024-03-11
2022,PETITION,TRANSPORT,2022-12-25,LV,c46640c1e8eb3489084b0180,538773,0,,2023-02-03,,36195,CITIZENS,165,517,188040,0,NO_ACTION,ECI_REGISTER,2025-07-09
2023,PETITION,DATA_GOV,2023-11-03,SE,6216ae73aed8a43448670439,1576682,1,,2024-11-18,,115285,MIXED,292,64,5262,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2025-09-07
2024,PETITION,FINANCE,2024-08-08,DE,ed5234488298227cf2d91d77,1579766,0,,2024-10-22,,64175,PUBLIC_AUTHORITY,617,962,99808,1,COMMUNICATION,OPEN_DATA_PORTAL,2024-10-08
2025,PETITION,SPACE,2025-04-17,PT,77a6a6b4902db44b68c3a818,1500654,0,,2025-12-11,,65939,ACADEMIA,227,732,17857,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2024-04-30
2012,PETITION,AGRICULTURE,2012-02-01,CZ,420b089b3590d5f459476211,1433631,1,,,,71923,NGO,886,849,48539,1,REVIEW,EUROPA_FORUMS,2025-06-18
2013,PETITION,DIGITAL,2013-07-03,LT,9659f65a18488b0233287076,1318366,0,,2014-01-17,,57742,BUSINESS,677,618,103930,0,FUNDING_CALL,ECI_REGISTER,2024-05-22
2014,PETITION,MIGRATION,2014-02-24,AT,87ce1d0dd54411d658f7b0d2,191324,0,,2015-07-17,,39863,CITIZENS,610,616,53710,1,NO_ACTION,EU_PETITIONS_PORTAL,2025-06-23
2015,PETITION,CLIMATE,2015-08-28,GR,995d8a36d381812ca038aa0f,688640,0,,2016-04-07,,76848,MIXED,470,86,249524,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-02-27
2016,PETITION,SECURITY,2016-09-12,RO,ef483b46d4f2cf26cb94d1af,939123,0,,,,133670,PUBLIC_AUTHORITY,133,577,94350,1,COMMUNICATION,YOUR_VOICE_EUROPE,2025-06-29
2017,PETITION,ENERGY,2017-01-16,DK,a0016c05cfe5adee8a1b9a46,210763,1,,2017-11-14,,56824,ACADEMIA,350,967,1348,1,IMPLEMENTATION,EUROPA_FORUMS,2024-03-06
2018,PETITION,CONSUMER,2018-11-23,LU,b5aa2896560eb8fb7d64fd29,693426,1,,2019-11-18,,72923,NGO,324,1066,90909,0,REVIEW,ECI_REGISTER,2024-12-10
2019,PETITION,HEALTH,2019-10-06,BE,e3fc4b544bed194cd6dba73c,1053452,1,,2020-04-01,,136222,BUSINESS,134,436,58180,1,FUNDING_CALL,EU_PETITIONS_PORTAL,2025-01-11
2020,PETITION,COMPETITION,2020-09-10,HU,c621a7f5e69f2508f1dd40ea,398939,1,,2022-01-30,,46261,CITIZENS,307,403,113988,0,NO_ACTION,OPEN_DATA_PORTAL,2024-11-22
2021,PETITION,TRANSPORT,2021-12-08,SK,e0746f0119e497c7c44b1b8f,272206,0,,,,93592,MIXED,982,2114,122050,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-10-18
2022,PETITION,DATA_GOV,2022-07-16,EE,9f84a10c6470787fd8bfb9a7,618377,1,,,,105097,PUBLIC_AUTHORITY,665,438,58234,0,COMMUNICATION,EUROPA_FORUMS,2024-07-24
2023,PETITION,FINANCE,2023-03-26,MT,3b18184d01467e7ac98a540d,184367,0,,2024-04-09,,84790,ACADEMIA,473,209,89388,1,IMPLEMENTATION,ECI_REGISTER,2025-08-22
2024,PETITION,SPACE,2024-03-22,BG,91c1c386518cd6590b8c3304,364186,1,,2024-06-18,,45100,NGO,584,814,134969,0,REVIEW,EU_PETITIONS_PORTAL,2025-05-20
